GEN.1.1	In the 
2KI.14.18	Now the rest of the acts of Amaziah, 
2KI.14.19	And 
2KI.14.20	Then they brought him on horses, and he was buried at Jerusalem with his fathers in the City of David.
2KI.14.21	And all the people of Judah took 
2KI.14.22	He built 
2KI.14.23	In the fifteenth year of Amaziah the son of Joash, king of Judah, Jeroboam the son of Joash, king of Israel, became king in Samaria, 
2KI.14.24	And he did evil in the sight of the 
2KI.14.25	He 
2KI.14.26	For the 
2KI.14.27	And the 
2KI.14.28	Now the rest of the acts of Jeroboam, and all that he did—his might, how he made war, and how he recaptured for Israel, from 
2KI.14.29	So Jeroboam rested with his fathers, the kings of Israel. Then 
2KI.15.1	In the twenty-seventh year of Jeroboam king of Israel, 
2KI.15.2	He was sixteen years old when he became king, and he reigned fifty-two years in Jerusalem. His mother’s name 
2KI.15.3	And he did 
2KI.15.4	except that the high places were not removed; the people still sacrificed and burned incense on the high places. 
2KI.15.5	Then the 
2KI.15.6	Now the rest of the acts of Azariah, and all that he did, 
2KI.15.7	So Azariah rested with his fathers, and 
2KI.15.8	In the thirty-eighth year of Azariah king of Judah, 
2KI.15.9	And he did evil in the sight of the 
2KI.15.10	Then Shallum the son of Jabesh conspired against him, and 
2KI.15.11	Now the rest of the acts of Zechariah, indeed they 
2KI.15.12	This 
2KI.15.13	Shallum the son of Jabesh became king in the thirty-ninth year of Uzziah king of Judah; and he reigned a full month in Samaria. 
2KI.15.14	For Menahem the son of Gadi went up from 
2KI.15.15	Now the rest of the acts of Shallum, and the conspiracy which he led, indeed they 
2KI.15.16	Then from Tirzah, Menahem attacked 
2KI.15.17	In the thirty-ninth year of Azariah king of Judah, Menahem the son of Gadi became king over Israel, 
2KI.15.18	And he did evil in the sight of the 
2KI.15.19	Pul king of Assyria came against the land; and Menahem gave Pul a thousand talents of silver, that his hand might be with him to 
2KI.15.20	And Menahem 
2KI.15.21	Now the rest of the acts of Menahem, and all that he did, 
2KI.15.22	So Menahem rested with his fathers. Then Pekahiah his son reigned in his place.
2KI.15.23	In the fiftieth year of Azariah king of Judah, Pekahiah the son of Menahem became king over Israel in Samaria, 
2KI.15.24	And he did evil in the sight of the 
2KI.15.25	Then Pekah the son of Remaliah, an officer of his, conspired against him and killed him in Samaria, in the 
2KI.15.26	Now the rest of the acts of Pekahiah, and all that he did, indeed they 
2KI.15.27	In the fifty-second year of Azariah king of Judah, 
2KI.15.28	And he did evil in the sight of the 
2KI.15.29	In the days of Pekah king of Israel, Tiglath-Pileser king of Assyria 
2KI.15.30	Then Hoshea the son of Elah led a conspiracy against Pekah the son of Remaliah, and struck and killed him; so he 
2KI.15.31	Now the rest of the acts of Pekah, and all that he did, indeed they 
2KI.15.32	In the second year of Pekah the son of Remaliah, king of Israel, 
2KI.15.33	He was twenty-five years old when he became king, and he reigned sixteen years in Jerusalem. His mother’s name 
2KI.15.34	And he did 
2KI.15.35	However the high places were not removed; the people still sacrificed and burned incense on the high places. 
2KI.15.36	Now the rest of the acts of Jotham, and all that he did, 
2KI.15.37	In those days the 
2KI.15.38	So Jotham rested with his fathers, and was buried with his fathers in the City of David his father. Then Ahaz his son reigned in his place.
2KI.16.1	In the seventeenth year of Pekah the son of Remaliah, Ahaz the son of Jotham, king of Judah, began to reign. 
2KI.16.2	Ahaz 
2KI.16.3	But he walked in the way of the kings of Israel; indeed 
2KI.16.4	And he sacrificed and burned incense on the 
2KI.16.5	Then Rezin king of Syria and Pekah the son of Remaliah, king of Israel, came up to Jerusalem to 
2KI.16.6	At that time Rezin king of Syria 
2KI.16.7	So Ahaz sent messengers to 
2KI.16.8	And Ahaz 
2KI.16.9	So the king of Assyria heeded him; for the king of Assyria went up against 
2KI.16.10	Now King Ahaz went to Damascus to meet Tiglath-Pileser king of Assyria, and saw an altar that 
2KI.16.11	Then 
2KI.16.12	And when the king came back from Damascus, the king saw the altar; and 
2KI.16.13	So he burned his burnt offering and his grain offering; and he poured his drink offering and sprinkled the blood of his peace offerings on the altar. 
2KI.16.14	He also brought 
2KI.16.15	Then King Ahaz commanded Urijah the priest, saying, “On the great 
2KI.16.16	Thus did Urijah the priest, according to all that King Ahaz commanded.
2KI.16.17	And King Ahaz cut off 
2KI.16.18	Also he removed the Sabbath pavilion which they had built in the temple, and he removed the king’s outer entrance from the house of the 
2KI.16.19	Now the rest of the acts of Ahaz which he did, 
2KI.16.20	So Ahaz rested with his fathers, and 
2KI.17.1	In the twelfth year of Ahaz king of Judah, 
2KI.17.2	And he did evil in the sight of the 
2KI.17.3	Shalmaneser king of Assyria came up against him; and Hoshea 
2KI.17.4	And the king of Assyria uncovered a conspiracy by Hoshea; for he had sent messengers to So, king of Egypt, and brought no tribute to the king of Assyria, as 
2KI.17.5	Now 
2KI.17.6	In the ninth year of Hoshea, the king of Assyria took Samaria and 
2KI.17.7	For 
2KI.17.8	and 
2KI.17.9	Also the children of Israel secretly did against the 
2KI.17.10	They set up for themselves 
2KI.17.11	There they burned incense on all the high places, like the nations whom the 
2KI.17.12	for they served idols, 
2KI.17.13	Yet the 
2KI.17.14	Nevertheless they would not hear, but 
2KI.17.15	And they 
2KI.17.16	So they left all the commandments of the 
2KI.17.17	And they caused their sons and daughters to pass through the fire, 
2KI.17.18	Therefore the 
2KI.17.19	Also 
2KI.17.20	And the 
2KI.17.21	For 
2KI.17.22	For the children of Israel walked in all the sins of Jeroboam which he did; they did not depart from them, 
2KI.17.23	until the 
2KI.17.24	Then the king of Assyria brought 
2KI.17.25	And it was so, at the beginning of their dwelling there, 
2KI.17.26	So they spoke to the king of Assyria, saying, “The nations whom you have removed and placed in the cities of Samaria do not know the rituals of the God of the land; therefore He has sent lions among them, and indeed, they are killing them because they do not know the rituals of the God of the land.” 
2KI.17.27	Then the king of Assyria commanded, saying, “Send there one of the priests whom you brought from there; let him go and dwell there, and let him teach them the rituals of the God of the land.” 
2KI.17.28	Then one of the priests whom they had carried away from Samaria came and dwelt in Bethel, and taught them how they should fear the 
2KI.17.29	However every nation continued to make gods of its own, and put 
2KI.17.30	The men of 
2KI.17.31	and the Avites made Nibhaz and Tartak; and the Sepharvites 
2KI.17.32	So they feared the 
2KI.17.33	They feared the 
2KI.17.34	To this day they continue practicing the former rituals; they do not fear the 
2KI.17.35	with whom the 
2KI.17.36	but the 
2KI.17.37	And the statutes, the ordinances, the law, and the commandment which He wrote for you, 
2KI.17.38	And the covenant that I have made with you, 
2KI.17.39	But the 
2KI.17.40	However they did not obey, but they followed their former rituals. 
2KI.17.41	So these nations feared the 
2KI.18.1	Now it came to pass in the third year of 
2KI.18.2	He was twenty-five years old when he became king, and he reigned twenty-nine years in Jerusalem. His mother’s name 
2KI.18.3	And he did 
2KI.18.4	He removed the high places and broke the 
2KI.18.5	He 
2KI.18.6	For he 
2KI.18.7	The 
2KI.18.8	He subdued the Philistines, as far as Gaza and its territory, 
2KI.18.9	Now 
2KI.18.10	And at the end of three years they took it. In the sixth year of Hezekiah, that 
2KI.18.11	Then the king of Assyria carried Israel away captive to Assyria, and put them 
2KI.18.12	because they 
2KI.18.13	And 
2KI.18.14	Then Hezekiah king of Judah sent to the king of Assyria at Lachish, saying, “I have done wrong; turn away from me; whatever you impose on me I will pay.” And the king of Assyria assessed Hezekiah king of Judah three hundred talents of silver and thirty talents of gold. 
2KI.18.15	So Hezekiah 
2KI.18.16	At that time Hezekiah stripped 
2KI.18.17	Then the king of Assyria sent 
2KI.18.18	And when they had called to the king, 
2KI.18.19	Then 
2KI.18.20	You speak of 
2KI.18.21	Now look! You are trusting in the staff of this broken reed, Egypt, on which if a man leans, it will go into his hand and pierce it. So 
2KI.18.22	But if you say to me, ‘We trust in the 
2KI.18.23	Now therefore, I urge you, give a pledge to my master the king of Assyria, and I will give you two thousand horses—if you are able on your part to put riders on them! 
2KI.18.24	How then will you repel one captain of the least of my master’s servants, and put your trust in Egypt for chariots and horsemen? 
2KI.18.25	Have I now come up without the 
2KI.18.26	Then Eliakim the son of Hilkiah, Shebna, and Joah said to 
2KI.18.27	But 
2KI.18.28	Then 
2KI.18.29	Thus says the king: 
2KI.18.30	nor let Hezekiah make you trust in the 
2KI.18.31	Do not listen to Hezekiah; for thus says the king of Assyria: ‘Make 
2KI.18.32	until I come and take you away to a land like your own land, 
2KI.18.33	Has any of the gods of the nations at all delivered its land from the hand of the king of Assyria? 
2KI.18.34	Where 
2KI.18.35	Who among all the gods of the lands have delivered their countries from my hand, 
2KI.18.36	But the people held their peace and answered him not a word; for the king’s commandment was, “Do not answer him.” 
2KI.18.37	Then Eliakim the son of Hilkiah, who 
2KI.19.1	And 
2KI.19.2	Then he sent Eliakim, who 
2KI.19.3	And they said to him, “Thus says Hezekiah: ‘This day 
2KI.19.4	It may be that the 
2KI.19.5	So the servants of King Hezekiah came to Isaiah. 
2KI.19.6	And Isaiah said to them, “Thus you shall say to your master, ‘Thus says the 
2KI.19.7	Surely I will send 
2KI.19.8	Then 
2KI.19.9	And 
2KI.19.10	“Thus you shall speak to Hezekiah king of Judah, saying: ‘Do not let your God 
2KI.19.11	Look! You have heard what the kings of Assyria have done to all lands by utterly destroying them; and shall you be delivered? 
2KI.19.12	Have the gods of the nations delivered those whom my fathers have destroyed, Gozan and Haran and Rezeph, and the people of 
2KI.19.13	Where 
2KI.19.14	And Hezekiah received the letter from the hand of the messengers, and read it; and Hezekiah went up to the house of the 
2KI.19.15	Then Hezekiah prayed before the 
2KI.19.16	Incline Your ear, O 
2KI.19.17	Truly, 
2KI.19.18	and have cast their gods into the fire; for they 
2KI.19.19	Now therefore, O 
2KI.19.20	Then Isaiah the son of Amoz sent to Hezekiah, saying, “Thus says the 
2KI.19.21	This 
2KI.19.21	‘The virgin, 
2KI.19.21	Has despised you, laughed you to scorn;
2KI.19.21	The daughter of Jerusalem
2KI.19.21	Has shaken 
2KI.19.22	‘Whom have you reproached and blasphemed?
2KI.19.22	Against whom have you raised 
2KI.19.22	And lifted up your eyes on high?
2KI.19.22	Against 
2KI.19.23	By your messengers you have reproached the Lord,
2KI.19.23	And said: 
2KI.19.23	I have come up to the height of the mountains,
2KI.19.23	To the limits of Lebanon;
2KI.19.23	I will cut down its tall cedars
2KI.19.23	 its choice cypress trees;
2KI.19.23	I will enter the extremity of its borders,
2KI.19.23	 its fruitful forest.
2KI.19.24	I have dug and drunk strange water,
2KI.19.24	And with the soles of my feet I have 
2KI.19.24	All the brooks of defense.”
2KI.19.25	‘Did you not hear long ago
2KI.19.25	From ancient times that I formed it?
2KI.19.25	Now I have brought it to pass,
2KI.19.25	That 
2KI.19.25	For crushing fortified cities 
2KI.19.26	Therefore their inhabitants had little power;
2KI.19.26	They were dismayed and confounded;
2KI.19.26	They were 
2KI.19.26	And the green herb,
2KI.19.26	And 
2KI.19.27	‘But 
2KI.19.27	Your going out and your coming in,
2KI.19.27	And your rage against Me.
2KI.19.28	Because your rage against Me and your tumult
2KI.19.28	Have come up to My ears,
2KI.19.28	Therefore 
2KI.19.28	And My bridle in your lips,
2KI.19.28	And I will turn you back
2KI.19.28	By the way which you came.
2KI.19.29	‘This 
2KI.19.29	You shall eat this year such as grows of itself,
2KI.19.29	And in the second year what springs from the same;
2KI.19.29	Also in the third year sow and reap,
2KI.19.29	Plant vineyards and eat the fruit of them.
2KI.19.30	And the remnant who have escaped of the house of Judah
2KI.19.30	Shall again take root downward,
2KI.19.30	And bear fruit upward.
2KI.19.31	For out of Jerusalem shall go a remnant,
2KI.19.31	And those who escape from Mount Zion.
2KI.19.31	The zeal of the 
2KI.19.32	“Therefore thus says the 
2KI.19.32	‘He shall 
2KI.19.32	Nor shoot an arrow there,
2KI.19.32	Nor come before it with shield,
2KI.19.32	Nor build a siege mound against it.
2KI.19.33	By the way that he came,
2KI.19.33	By the same shall he return;
2KI.19.33	And he shall not come into this city,’
2KI.19.33	Says the 
2KI.19.34	‘For 
2KI.19.34	For My own sake and 
2KI.19.35	And 
2KI.19.36	So Sennacherib king of Assyria departed and went away, returned 
2KI.19.37	Now it came to pass, as he was worshiping in the temple of Nisroch his god, that his sons 
2KI.20.1	In 
2KI.20.2	Then he turned his face toward the wall, and prayed to the 
2KI.20.3	“Remember now, O 
2KI.20.4	And it happened, before Isaiah had gone out into the middle court, that the word of the 
2KI.20.5	“Return and tell Hezekiah 
2KI.20.6	And I will add to your days fifteen years. I will deliver you and this city from the hand of the king of Assyria; and 
2KI.20.7	Then 
2KI.20.8	And Hezekiah said to Isaiah, 
2KI.20.9	Then Isaiah said, 
2KI.20.10	And Hezekiah answered, “It is an easy thing for the shadow to go down ten degrees; no, but let the shadow go backward ten degrees.”
2KI.20.11	So Isaiah the prophet cried out to the 
2KI.20.12	At that time Berodach-Baladan the son of Baladan, king of Babylon, sent letters and a present to Hezekiah, for he heard that Hezekiah had been sick. 
2KI.20.13	And 
2KI.20.14	Then Isaiah the prophet went to King Hezekiah, and said to him, “What did these men say, and from where did they come to you?”
2KI.20.14	So Hezekiah said, “They came from a far country, from Babylon.”
2KI.20.15	And he said, “What have they seen in your house?”
2KI.20.15	So Hezekiah answered, 
2KI.20.16	Then Isaiah said to Hezekiah, “Hear the word of the 
2KI.20.17	‘Behold, the days are coming when all that 
2KI.20.18	‘And 
2KI.20.19	So Hezekiah said to Isaiah, 
2KI.20.20	Now the rest of the acts of Hezekiah—all his might, and how he 
2KI.20.21	So 
2KI.21.1	Manasseh 
2KI.21.2	And he did evil in the sight of the 
2KI.21.3	For he rebuilt the high places 
2KI.21.4	He also built altars in the house of the 
2KI.21.5	And he built altars for all the host of heaven in the 
2KI.21.6	Also he made his son pass through the fire, practiced 
2KI.21.7	He even set a carved image of Asherah that he had made, in the house of which the 
2KI.21.8	and I will not make the feet of Israel wander anymore from the land which I gave their fathers—only if they are careful to do according to all that I have commanded them, and according to all the law that My servant Moses commanded them.” 
2KI.21.9	But they paid no attention, and Manasseh 
2KI.21.10	And the 
2KI.21.11	“Because Manasseh king of Judah has done these abominations (
2KI.21.12	therefore thus says the 
2KI.21.13	And I will stretch over Jerusalem 
2KI.21.14	So I will forsake the 
2KI.21.15	because they have done evil in My sight, and have provoked Me to anger since the day their fathers came out of Egypt, even to this day.’ ”
2KI.21.16	Moreover Manasseh shed very much innocent blood, till he had filled Jerusalem from one end to another, besides his sin by which he made Judah sin, in doing evil in the sight of the 
2KI.21.17	Now 
2KI.21.18	So 
2KI.21.19	Amon 
2KI.21.20	And he did evil in the sight of the 
2KI.21.21	So he walked in all the ways that his father had walked; and he served the idols that his father had served, and worshiped them. 
2KI.21.22	He 
2KI.21.23	Then the servants of Amon 
2KI.21.24	But the people of the land 
2KI.21.25	Now the rest of the acts of Amon which he did, 
2KI.21.26	And he was buried in his tomb in the garden of Uzza. Then Josiah his son reigned in his place.
2KI.22.1	Josiah 
2KI.22.2	And he did 
2KI.22.3	Now it came to pass, in the eighteenth year of King Josiah, 
2KI.22.4	“Go up to Hilkiah the high priest, that he may count the money which has been 
2KI.22.5	And let them 
2KI.22.6	to carpenters and builders and masons—and to buy timber and hewn stone to repair the house. 
2KI.22.7	However 
2KI.22.8	Then Hilkiah the high priest said to Shaphan the scribe, 
2KI.22.9	So Shaphan the scribe went to the king, bringing the king word, saying, “Your servants have gathered the money that was found in the house, and have delivered it into the hand of those who do the work, who oversee the house of the 
2KI.22.10	Then Shaphan the scribe showed the king, saying, “Hilkiah the priest has given me a book.” And Shaphan read it before the king.
2KI.22.11	Now it happened, when the king heard the words of the Book of the Law, that he tore his clothes. 
2KI.22.12	Then the king commanded Hilkiah the priest, 
2KI.22.13	“Go, inquire of the 
2KI.22.14	So Hilkiah the priest, Ahikam, Achbor, Shaphan, and Asaiah went to Huldah the prophetess, the wife of Shallum the son of 
2KI.22.15	Then she said to them, “Thus says the 
2KI.22.16	“Thus says the 
2KI.22.17	because they have forsaken Me and burned incense to other gods, that they might provoke Me to anger with all the works of their hands. Therefore My wrath shall be aroused against this place and shall not be quenched.’ ” ’ 
2KI.22.18	But as for 
2KI.22.19	because your 
2KI.22.20	“Surely, therefore, I will gather you to your fathers, and you 
2KI.23.1	Now 
2KI.23.2	The king went up to the house of the 
2KI.23.3	Then the king 
2KI.23.4	And the king commanded Hilkiah the high priest, the 
2KI.23.5	Then he removed the idolatrous priests whom the kings of Judah had ordained to burn incense on the high places in the cities of Judah and in the places all around Jerusalem, and those who burned incense to Baal, to the sun, to the moon, to the constellations, and to 
2KI.23.6	And he brought out the 
2KI.23.7	Then he tore down the 
2KI.23.8	And he brought all the priests from the cities of Judah, and defiled the high places where the priests had burned incense, from 
2KI.23.9	Nevertheless the priests of the high places did not come up to the altar of the 
2KI.23.10	And he defiled 
2KI.23.11	Then he removed the horses that the kings of Judah had dedicated to the sun, at the entrance to the house of the 
2KI.23.12	The altars that 
2KI.23.13	Then the king defiled the high places that 
2KI.23.14	And he 
2KI.23.15	Moreover the altar that 
2KI.23.16	As Josiah turned, he saw the tombs that 
2KI.23.17	Then he said, “What gravestone 
2KI.23.17	So the men of the city told him, “
2KI.23.18	And he said, “Let him alone; let no one move his bones.” So they let his bones alone, with the bones of 
2KI.23.19	Now Josiah also took away all the shrines of the high places that 
2KI.23.20	He 
2KI.23.21	Then the king commanded all the people, saying, 
2KI.23.22	Such a Passover surely had never been held since the days of the judges who judged Israel, nor in all the days of the kings of Israel and the kings of Judah. 
2KI.23.23	But in the eighteenth year of King Josiah this Passover was held before the 
2KI.23.24	Moreover Josiah put away those who consulted mediums and spiritists, the household gods and idols, all the abominations that were seen in the land of Judah and in Jerusalem, that he might perform the words of 
2KI.23.25	Now before him there was no king like him, who turned to the 
2KI.23.26	Nevertheless the 
2KI.23.27	And the 
2KI.23.28	Now the rest of the acts of Josiah, and all that he did, 
2KI.23.29	In his days Pharaoh Necho king of Egypt went to the aid of the king of Assyria, to the River Euphrates; and King Josiah went against him. And 
2KI.23.30	Then his servants moved his body in a chariot from Megiddo, brought him to Jerusalem, and buried him in his own tomb. And 
2KI.23.31	Jehoahaz 
2KI.23.32	And he did evil in the sight of the 
2KI.23.33	Now Pharaoh Necho put him in prison 
2KI.23.34	Then 
2KI.23.35	So Jehoiakim gave 
2KI.23.36	Jehoiakim 
2KI.23.37	And he did evil in the sight of the 
2KI.24.1	In 
2KI.24.2	And the 
2KI.24.3	Surely at the commandment of the 
2KI.24.4	and also because of the innocent blood that he had shed; for he had filled Jerusalem with innocent blood, which the 
2KI.24.5	Now the rest of the acts of Jehoiakim, and all that he did, 
2KI.24.6	So Jehoiakim rested with his fathers. Then Jehoiachin his son reigned in his place.
2KI.24.7	And 
2KI.24.8	Jehoiachin 
2KI.24.9	And he did evil in the sight of the 
2KI.24.10	At that time the servants of Nebuchadnezzar king of Babylon came up against Jerusalem, and the city was besieged. 
2KI.24.11	And Nebuchadnezzar king of Babylon came against the city, as his servants were besieging it. 
2KI.24.12	Then Jehoiachin king of Judah, his mother, his servants, his princes, and his officers went out to the king of Babylon; and the king of Babylon, 
2KI.24.13	And he carried out from there all the treasures of the house of the 
2KI.24.14	Also 
2KI.24.15	And 
2KI.24.16	All the valiant men, seven thousand, and craftsmen and smiths, one thousand, all 
2KI.24.17	Then 
2KI.24.18	Zedekiah 
2KI.24.19	He also did evil in the sight of the 
2KI.24.20	For because of the anger of the 
2KI.25.1	Now it came to pass 
2KI.25.2	So the city was besieged until the eleventh year of King Zedekiah. 
2KI.25.3	By the ninth 
2KI.25.4	Then 
2KI.25.5	But the army of the Chaldeans pursued the king, and they overtook him in the plains of Jericho. All his army was scattered from him. 
2KI.25.6	So they took the king and brought him up to the king of Babylon 
2KI.25.7	Then they killed the sons of Zedekiah before his eyes, 
2KI.25.8	And in the fifth month, 
2KI.25.9	He burned the house of the 
2KI.25.10	And all the army of the Chaldeans who 
2KI.25.11	Then Nebuzaradan the captain of the guard carried away captive 
2KI.25.12	But the captain of the guard 
2KI.25.13	The bronze 
2KI.25.14	They also took away 
2KI.25.15	The firepans and the basins, the things of solid gold and solid silver, the captain of the guard took away. 
2KI.25.16	The two pillars, one Sea, and the carts, which Solomon had made for the house of the 
2KI.25.17	The height of one pillar 
2KI.25.18	And the captain of the guard took 
2KI.25.19	He also took out of the city an officer who had charge of the men of war, 
2KI.25.20	So Nebuzaradan, captain of the guard, took these and brought them to the king of Babylon at Riblah. 
2KI.25.21	Then the king of Babylon struck them and put them to death at Riblah in the land of Hamath. 
2KI.25.22	Then he made Gedaliah the son of 
2KI.25.23	Now when all the 
2KI.25.24	And Gedaliah took an oath before them and their men, and said to them, “Do not be afraid of the servants of the Chaldeans. Dwell in the land and serve the king of Babylon, and it shall be well with you.”
2KI.25.25	But 
2KI.25.26	And all the people, small and great, and the captains of the armies, arose 
2KI.25.27	Now it came to pass in the thirty-seventh year of the captivity of Jehoiachin king of Judah, in the twelfth month, on the twenty-seventh 
2KI.25.28	He spoke kindly to him, and gave him a more prominent seat than those of the kings who 
2KI.25.29	So Jehoiachin changed from his prison garments, and he 
2KI.25.30	And as for his provisions, 
1CH.1.1	Adam, 
1CH.1.2	Cainan, Mahalalel, Jared, 
1CH.1.3	Enoch, Methuselah, Lamech, 
1CH.1.4	Noah, Shem, Ham, and Japheth.
1CH.1.5	The sons of Japheth 
1CH.1.6	The sons of Gomer 
1CH.1.7	The sons of Javan 
1CH.1.8	The sons of Ham 
1CH.1.9	The sons of Cush 
1CH.1.10	Cush 
1CH.1.11	Mizraim begot Ludim, Anamim, Lehabim, Naphtuhim, 
1CH.1.12	Pathrusim, Casluhim (from whom came the Philistines and the 
1CH.1.13	Canaan begot Sidon, his firstborn, and Heth; 
1CH.1.14	the Jebusite, the Amorite, and the Girgashite; 
1CH.1.15	the Hivite, the Arkite, and the Sinite; 
1CH.1.16	the Arvadite, the Zemarite, and the Hamathite.
1CH.1.17	The sons of 
1CH.1.18	Arphaxad begot Shelah, and Shelah begot Eber. 
1CH.1.19	To Eber were born two sons: the name of one 
1CH.1.20	Joktan begot Almodad, Sheleph, Hazarmaveth, Jerah, 
1CH.1.21	Hadoram, Uzal, Diklah, 
1CH.1.22	Ebal, Abimael, Sheba, 
1CH.1.23	Ophir, Havilah, and Jobab. All these 
1CH.1.24	Shem, Arphaxad, Shelah, 
1CH.1.25	Eber, Peleg, Reu, 
1CH.1.26	Serug, Nahor, Terah, 
1CH.1.27	and 
1CH.1.28	The sons of Abraham 
1CH.1.29	These 
1CH.1.30	Mishma, Dumah, Massa, Hadad, Tema, 
1CH.1.31	Jetur, Naphish, and Kedemah. These 
1CH.1.32	Now 
1CH.1.33	The sons of Midian 
1CH.1.34	And 
1CH.1.35	The sons of 
1CH.1.36	And the sons of Eliphaz 
1CH.1.37	The sons of Reuel 
1CH.1.38	The sons of Seir 
1CH.1.39	And the sons of Lotan 
1CH.1.40	The sons of Shobal 
1CH.1.41	The son of Anah 
1CH.1.42	The sons of Ezer 
1CH.1.43	Now these 
1CH.1.44	And when Bela died, Jobab the son of Zerah of Bozrah reigned in his place. 
1CH.1.45	When Jobab died, Husham of the land of the Temanites reigned in his place. 
1CH.1.46	And when Husham died, Hadad the son of Bedad, who attacked Midian in the field of Moab, reigned in his place. The name of his city 
1CH.1.47	When Hadad died, Samlah of Masrekah reigned in his place. 
1CH.1.48	And when Samlah died, Saul of Rehoboth-by-the-River reigned in his place. 
1CH.1.49	When Saul died, Baal-Hanan the son of Achbor reigned in his place. 
1CH.1.50	And when Baal-Hanan died, Hadad reigned in his place; and the name of his city was Pai. His wife’s name was Mehetabel the daughter of Matred, the daughter of Mezahab. 
1CH.1.51	Hadad died also. And the chiefs of Edom were Chief Timnah, Chief Aliah, Chief Jetheth, 
1CH.1.52	Chief Aholibamah, Chief Elah, Chief Pinon, 
1CH.1.53	Chief Kenaz, Chief Teman, Chief Mibzar, 
1CH.1.54	Chief Magdiel, and Chief Iram. These 
1CH.2.1	These 
1CH.2.2	Dan, Joseph, Benjamin, Naphtali, Gad, and Asher.
1CH.2.3	The sons of 
1CH.2.4	And 
1CH.2.5	The sons of 
1CH.2.6	The sons of Zerah 
1CH.2.7	The son of 
1CH.2.8	The son of Ethan 
1CH.2.9	Also the sons of Hezron who were born to him 
1CH.2.10	Ram 
1CH.2.11	Nahshon begot Salma, and Salma begot Boaz; 
1CH.2.12	Boaz begot Obed, and Obed begot Jesse; 
1CH.2.13	Jesse begot Eliab his firstborn, Abinadab the second, Shimea the third, 
1CH.2.14	Nethanel the fourth, Raddai the fifth, 
1CH.2.15	Ozem the sixth, 
1CH.2.16	Now their sisters 
1CH.2.17	Abigail bore Amasa; and the father of Amasa 
1CH.2.18	Caleb the son of Hezron had children by Azubah, 
1CH.2.19	When Azubah died, Caleb took 
1CH.2.20	And Hur begot Uri, and Uri begot 
1CH.2.21	Now afterward Hezron went in to the daughter of 
1CH.2.22	Segub begot 
1CH.2.23	(Geshur and Syria took from them the towns of Jair, with Kenath and its towns—sixty towns.) All these 
1CH.2.24	After Hezron died in Caleb Ephrathah, Hezron’s wife Abijah bore him 
1CH.2.25	The sons of Jerahmeel, the firstborn of Hezron, 
1CH.2.26	Jerahmeel had another wife, whose name was Atarah; she was the mother of Onam. 
1CH.2.27	The sons of Ram, the firstborn of Jerahmeel, were Maaz, Jamin, and Eker. 
1CH.2.28	The sons of Onam were Shammai and Jada. The sons of Shammai 
1CH.2.29	And the name of the wife of Abishur 
1CH.2.30	The sons of Nadab 
1CH.2.31	The son of Appaim 
1CH.2.32	The sons of Jada, the brother of Shammai, 
1CH.2.33	The sons of Jonathan 
1CH.2.34	Now Sheshan had no sons, only daughters. And Sheshan had an Egyptian servant whose name 
1CH.2.35	Sheshan gave his daughter to Jarha his servant as wife, and she bore him Attai. 
1CH.2.36	Attai begot Nathan, and Nathan begot 
1CH.2.37	Zabad begot Ephlal, and Ephlal begot 
1CH.2.38	Obed begot Jehu, and Jehu begot Azariah; 
1CH.2.39	Azariah begot Helez, and Helez begot Eleasah; 
1CH.2.40	Eleasah begot Sismai, and Sismai begot Shallum; 
1CH.2.41	Shallum begot Jekamiah, and Jekamiah begot Elishama.
1CH.2.42	The descendants of Caleb the brother of Jerahmeel 
1CH.2.43	The sons of Hebron 
1CH.2.44	Shema begot Raham the father of Jorkoam, and Rekem begot Shammai. 
1CH.2.45	And the son of Shammai 
1CH.2.46	Ephah, Caleb’s concubine, bore Haran, Moza, and Gazez; and Haran begot Gazez. 
1CH.2.47	And the sons of Jahdai 
1CH.2.48	Maachah, Caleb’s concubine, bore Sheber and Tirhanah. 
1CH.2.49	She also bore Shaaph the father of Madmannah, Sheva the father of Machbenah and the father of Gibea. And the daughter of Caleb 
1CH.2.50	These were the descendants of Caleb: The sons of 
1CH.2.51	Salma the father of Bethlehem, 
1CH.2.52	And Shobal the father of Kirjath Jearim had descendants: Haroeh, 
1CH.2.53	The families of Kirjath Jearim 
1CH.2.54	The sons of Salma 
1CH.2.55	And the families of the scribes who dwelt at Jabez 
1CH.3.1	Now these were the sons of David who were born to him in Hebron: The firstborn 
1CH.3.2	the third, 
1CH.3.3	the fifth, Shephatiah, by Abital; the sixth, Ithream, by his wife 
1CH.3.4	 six were born to him in Hebron. 
1CH.3.5	And these were born to him in Jerusalem: Shimea, Shobab, Nathan, and 
1CH.3.6	Also 
1CH.3.7	Nogah, Nepheg, Japhia, 
1CH.3.8	Elishama, Eliada, and Eliphelet—
1CH.3.10	Solomon’s son 
1CH.3.11	Joram his son, Ahaziah his son, Joash his son, 
1CH.3.12	Amaziah his son, Azariah his son, Jotham his son, 
1CH.3.13	Ahaz his son, Hezekiah his son, Manasseh his son, 
1CH.3.14	Amon his son, 
1CH.3.15	The sons of Josiah 
1CH.3.16	The sons of 
1CH.3.17	And the sons of Jeconiah 
1CH.3.18	 Malchiram, Pedaiah, Shenazzar, Jecamiah, Hoshama, and Nedabiah. 
1CH.3.19	The sons of Pedaiah 
