GEN.1.1	Ku lubereberye Katonda yatonda eggulu n'ensi.
JOS.1.6	Ddamu amaanyi, guma omwoyo; kubanga ggwe olisobozesa abantu bano okusikira ensi eno gye nnalayirira okuwa bajjajjaabwe. 
JOS.1.7	Naye mala okuddamu amaanyi, n'okuguma ennyo omwoyo, weekuumenga okole ng'amateeka gonna bwe gali, Musa, omuweereza wange, ge yakulagira. Togaviirangako ddala n'akatono, olyoke oweebwenga omukisa buli gy'onoogendanga yonna.
JOS.1.8	Ekitabo kino eky'amateeka tekiivenga mu kamwa ko, naye onookirowoolezangamu emisana n'ekiro, olyoke weekuumenga okukola nga byonna bwe biri ebikiwandiikiddwamu; kubanga bw'otyo bw'onooterezanga ekkubo lyo era bw'otyo bw'onooweebwanga omukisa.
JOS.1.9	Si nze nkulagidde? Ddamu amaanyi, guma omwoyo; totyanga, so teweekanganga; kubanga Mukama Katonda wo ali naawe buli gy'onoogendanga yonna.”
JOS.1.10	Yoswa n'alyoka alagira abakulembeze b'abantu nti, 
JOS.1.11	“Muyite wakati mu lusiisira, mulagire abantu nti, ‘Mwetegekere emmere; kubanga mu nnaku ssatu mugenda kusomoka omugga guno Yoludaani, okuyingira mu nsi, Mukama Katonda wammwe gy'abawa okubeeramu.’ ”
JOS.1.12	Yoswa n'agamba ab'ekika kya Lewubeeni n'ekya Gaadi, n'ekitundu eky'ekika kya Manase nti 
JOS.1.13	“Mujjukire ekigambo Musa omuweereza wa Mukama kye yabagamba, ng'ayogera nti, ‘Mukama Katonda wammwe abawa ekifo eky'okuwummula, era alibawa ensi eno.’
JOS.1.14	Bakazi bammwe, n'abaana bammwe abato, n'ebisibo byammwe, balisigala mu nsi eno Musa gye yabawa emitala wa Yoludaani; naye abasajja bonna abazira, abalwanyi, balisomoka nga bakutte eby'okulwanyisa byabwe nga bakulembeddemu baganda baabwe; 
JOS.1.15	okutuusa Mukama lw'alimala okuwa baganda bammwe ekiwummulo, awamu nammwe, olwo n'abo baatwale ensi Mukama, Katonda wammwe gy'abawa bo. Olwo ne mulyoka muddayo mu butaka bwammwe bwe mwafuna ebuvanjuba bw'Omugga Yoludaani, Musa omuweereza wa Mukama bwe yabawa.”
JOS.1.16	Ne bamuddamu Yoswa nti, “Byonna by'otulagidde tulibikola, era buli gy'onootutumanga tunaagendanga. 
JOS.1.17	Nga bwe twawuliranga Musa mu bigambo byonna, naawe tunaakuwuliranga bwe tutyo; kyokka Mukama Katonda wo abe naawe, nga bwe yali ne Musa.
JOS.1.18	Buli muntu yenna anaajeemeranga ekiragiro kyo, era ataawulirenga bigambo byo mu byonna by'onoomulagiranga, anattibwanga; naye ddamu amaanyi, guma omwoyo.”
JOS.2.1	Yoswa omwana wa Nuuni n'atuma abantu babiri mu nkiso okuva mu Sittimu, ng'ayogera nti, “Mugende, mukette ensi naddala Yeriko.” Ne bagenda, ne bayingira mu nnyumba ey'omwenzi, erinnya lye Lakabu, ne basulayo.
JOS.2.2	Kabaka w'e Yeriko ne bamubuulira, nga boogera nti, “Laba, wayingidde muno ekiro ku baana ba Isiraeri okuketta ensi.” 
JOS.2.3	Kabaka w'e Yeriko n'atumira Lakabu, ng'ayogera nti, “Goba abantu abazze gy'oli, abaayingidde mu nnyumba yo; kubanga bazze okuketta ensi yonna.” 
JOS.2.4	Naye omukazi n'abatwala bombi, n'abakweka; n'ayogera nti, “Weewaawo, abantu bazze gye ndi, naye nnabadde simanyi gye bavudde; 
JOS.2.5	awo obudde bwe bwatuuse okuggalawo wankaaki, ng'enzikiza ekutte, abantu ne bagenda; abantu gye bazze simanyi, mubagoberere mangu; kubanga munaabatuukako.” 
JOS.2.6	Naye yali abalinnyisizza ku kasolya, n'ababikkako obuti obw'obugoogwa, bwe yali ateeseteese obulungi ku kasolya. 
JOS.2.7	Abantu ne babagoberera mu kkubo erya Yoludaani okutuuka ku musomoko, abaabagoberera bwe baamala okuvaayo, ne balyoka baggalawo wankaaki.
JOS.2.8	Bo nga tebanneebaka, n'alinnya gyebali ku kasolya; 
JOS.2.9	n'agamba abantu nti, “Mmanyi nga Mukama abawadde ensi, era ng'entiisa yammwe etukutte, era ng'abali mu nsi bonna batekemuse ku lwammwe.
JOS.2.10	Kubanga twawulira Mukama bwe yakaliza Ennyanja Emmyufu mu maaso gammwe, bwe mwava mu Misiri; era kye mwakola bakabaka ababiri ab'Abamoli, abaali emitala wa Yoludaani, Sikoni ne Ogi, be mwazikiririza ddala.
JOS.2.11	Naffe bwe twakiwulira, emitima gyaffe ne giryoka gitekemuka, so tewali muntu asigalamu omwoyo gwonna, ku lwammwe; kubanga Mukama Katonda wammwe, oyo ye Katonda waggulu mu ggulu, era wansi ku nsi.
JOS.2.12	Kale kaakano, mbeegayiridde, mundayirire Mukama, kubanga mbakoze bulungi, nammwe okugikola obulungi ennyumba ya kitange, era mumpe akabonero akankakasa ekyo, 
JOS.2.13	era n'okuwonya kitange ne mmange ne bannyinaze ne baganda bange ne byonna bye balina, n'okulokola obulamu bwaffe mu kufa.” 
JOS.2.14	Abantu ne bamugamba nti, “Obulamu bwaffe buligatta obulamu bwammwe! bwe mutalibuulira bigambo byaffe bino, awo Mukama bw'alituwa ensi, ne tulyoka tukukolera ekisa n'amazima.”
JOS.2.15	Awo n'abassa n'omugwa ng'abayisa mu ddirisa; kubanga ennyumba ye yali ekwataganye ku bbugwe ow'ekibuga, naye yabeeranga ku bbugwe.
JOS.2.16	N'abagamba nti, “Mugende ku lusozi, ababagoberedde baleme okubasanga; era mwekwekereyo ennaku ssatu, okutuusa ababagoberedde lwe balikomawo; oluvannyuma muliyinza okugenda.” 
JOS.2.17	Abantu ne bamugamba nti, “Tetulimenya kirayiro kyo kino ky'otulayizizza. 
JOS.2.18	Laba, bwe tulijja mu nsi, olisiba akagwa kano akamyufu mu ddirisa ly'otuyisizzaamu; era olikuŋŋaanyiza mu nnyumba gy'oli kitaawo ne nnyoko ne baganda bo, n'ennyumba yonna eya kitaawo.
JOS.2.19	Bwe kityo, omuntu yenna aliva mu miryango egy'ennyumba yo ku luguudo, omusaayi gwe guliba ku mutwe gwe, naffe tetulizza musango; era omuntu yenna alibeera naawe mu nnyumba yo ku luguudo, omusaayi gwe guliba ku mutwe gwe, naffe tetulizza musango, era omuntu yenna alibeera naawe mu nnyumba, omusaayi gwe guliba ku mutwe gwaffe, bw'alikwatibwa omukono gwonna.
JOS.2.20	Naye bw'olibuulira ebigambo byaffe bino, tetulizza musango olw'ekirayiro kyo ky'otulayizizza.”
JOS.2.21	N'ayogera nti, “Ng'ebigambo byammwe bwe biri, kibeere bw'ekityo.” N'abasindika, ne bagenda, n'asiba akagwa akamyufu mu ddirisa. 
JOS.2.22	Ne bagenda ne batuuka ku lusozi, ne babeera eyo ennaku ssatu, okutuusa abaabagoberera lwe baamala okukomawo, kubanga, abaabagoberera baabanoonya mu kkubo lyonna, ne batabalaba. 
JOS.2.23	Awo abantu ababiri ne bakomawo, ne baserengeta ku lusozi, ne basomoka, ne bajja eri Yoswa omwana wa Nuuni; ne bamubuulira byonna ebyababaako. 
JOS.2.24	Ne bamugamba Yoswa nti, “Mazima Mukama atuwadde mu mikono gyaffe ensi yonna; era nate abali mu nsi bonna batekemukira ddala mu maaso gaffe.”
JOS.3.1	Yoswa n'akeera enkya n'agolokoka, ne bava mu Sittimu, ne batuuka ku Yoludaani, ye n'abaana ba Isiraeri bonna; ne basulawo nga tebannasomoka. 
JOS.3.2	Oluvannyuma lwe nnaku ssatu abakulembeze ne bayita wakati mu lusiisira;
JOS.3.3	ne balagira abantu, nga boogera nti, “Bwe munaalaba essanduuko ey'endagaano ya Mukama Katonda wammwe, ne bakabona Abaleevi nga bagyetisse, ne mulyoka muva mu kifo kyammwe, ne mugigoberera.
JOS.3.4	Naye wanaabaawo ebbanga wakati wammwe nayo, ng'emikono enkumi bbiri (2,000) egigerebwa, temugisemberera, mulyoke mumanye ekkubo eribagwanidde okuyitamu; kubanga okutuuka kaakano temunnayita mu kkubo lino.”
JOS.3.5	Yoswa n'agamba abantu nti, “Mwetukuze, kubanga enkya Mukama anaakola eby'amagero mu mmwe.”
JOS.3.6	Yoswa n'agamba bakabona, ng'ayogera nti, “Musitule essanduuko ey'endagaano, musomoke mukulembere abantu.” Ne basitula essanduuko ey'endagaano n'ebakulembera abantu. 
JOS.3.7	Mukama n'agamba Yoswa nti, “Leero n'atanula okukugulumiza mu maaso g'Abaisiraeri bonna, bamanye nti, nga bwe nnali ne Musa, bwe ntyo bwe nnaabeeranga naawe.
JOS.3.8	Era onoolagira bakabona abasitula essanduuko ey'endagaano, ng'oyogera nti, ‘Bwe munaatuuka ku mabbali g'amazzi aga Yoludaani, munaayimirira mu mazzi ago.’ ”
JOS.3.9	Yoswa n'agamba abaana ba Isiraeri nti, “Mujje wano, muwulire ebigambo bya Mukama Katonda wammwe.” 
JOS.3.10	Yoswa n'ayogera nti, “Ku kino kwe munaamanyira nga Katonda omulamu ali mu mmwe, era nga talirema kugoba mu maaso gammwe Abakanani, n'Abakiiti, n'Abakiivi, n'Abaperizi, n'Abagirugaasi, n'Abamoli, n'Abayebusi.
JOS.3.11	Laba, essanduuko ey'endagaano ya Mukama w'ensi zonna, ebakulembera okusomoka Yoludaani. 
JOS.3.12	Kale kaakano mwerondere abasajja kkumi na babiri (12) mu bika bya Isiraeri, buli kika omu.
JOS.3.13	Awo, ebigere bya bakabona abasitula essanduuko ya Mukama, Mukama w'ensi zonna bwe biribeera mu mazzi ga Yoludaani, amazzi ga Yoludaani ne galyoka gayimirizibwa okukulukuta, amazzi agava engulu; ne gayimirira entuumu wamu.”
JOS.3.14	Awo, abantu bwe baava mu weema zaabwe, okusomoka Yoludaani, bakabona abaasitula essanduuko ey'endagaano nga bakulembedde abantu;
JOS.3.15	era abaasitula essanduuko bwe baatuuka ku Yoludaani, ebigere bya bakabona abaasitula essanduuko ne byennyika ku mabbali g'amazzi (kubanga Yoludaani gwanjaala ku ttale lyagwo lyonna mu biro byonna eby'amakungula),
JOS.3.16	amazzi agaava engulu ne galyoka gayimirira ne getuuma entuumu wamu, wala nnyo, ku Adamu, ekibuga ekiriraanye e Zalesani; n'ago agakka ku nnyanja ey'e Alaba, ye nnyanja ey'omunnyo, ne gaggweerawo ddala, abantu ne basomokera awaliraanye e Yeriko.
JOS.3.17	Bakabona abaasitula essanduuko ey'endagaano ya Mukama ne bayimirira ne banywera ku lukalu wakati mu Yoludaani, n'Abaisiraeri bonna ne bayita awakalu, okutuusa eggwanga lyonna lwe lyayitira ddala mu Yoludaani.
JOS.4.1	Awo eggwanga lyonna bwe lyamala okuyitira ddala mu Yoludaani, Mukama n'agamba Yoswa, ng'ayogera nti, 
JOS.4.2	“Mwerondere abasajja kkumi na babiri (12), mu buli kika omu,
JOS.4.3	era mubalagire, balonde amayinja kkumi n'abiri (12) wakati mu Yoludaani, mu kifo kye nnyini bakabona we baayimiridde mugatwale mugateeke mu kifo kye munaasulamu ekiro kino.”
JOS.4.4	Awo Yoswa n'ayita abasajja kkumi na babiri (12), be yateekateeka mu baana ba Isiraeri, mu buli kika omu; 
JOS.4.5	Yoswa n'abagamba nti, “Mukulembere essanduuko ya Mukama Katonda wammwe wakati mu Yoludaani, buli muntu mu mmwe asitule ejjinja ku kibegabega kye, ng'omuwendo ogw'ebika eby'abaana ba Isiraeri bwe guli. 
JOS.4.6	Ako kabeere akabonero mu mmwe, abaana bammwe bwe banaabuuzanga mu biro ebigenda okujja, nga boogera nti, ‘Amayinja gano amakulu gaago ki? ’ ”
JOS.4.7	“Kubanga amazzi ga Yoludaani gaavaawo ne gasegulira essanduuko ey'Endagaano ya Mukama bwe yayita mu Yoludaani; era amayinja gano galibeera ekijjukizo eri abaana ba Isiraeri emirembe egitaggwaawo.”
JOS.4.8	Abaana ba Isiraeri ne bakola nga Yoswa bwe yabalagira, ne balonda amayinja kkumi n'abiri (12) wakati mu Yoludaani, nga Mukama bwe yagamba Yoswa, ng'omuwendo ogw'ebika eby'abaana ba Isiraeri bwe guli; ne bagasomosa ne bagateeka mu kifo mwe baasula. 
JOS.4.9	Yoswa n'asimba amayinja kkumi n'abiri wakati mu Yoludaani, mu kifo ebigere bya bakabona abaasitula essanduuko ey'endagaano mwe byayimirira; era weegali ne kaakano. 
JOS.4.10	Kubanga bakabona abaasitula essanduuko baayimirira wakati mu Yoludaani, ne kituukirira buli kigambo Mukama kye yalagira Yoswa okubuulira abantu, nga byonna bwe byali Musa bye yalagira Yoswa; abantu ne banguwa okusomoka. 
JOS.4.11	Awo, abantu bonna bwe baamala okusomoka bakabona abaali n'Essanduuko ya Mukama nabo ne balyoka basomoka, ne batambula ne bakulemberamu abantu. 
JOS.4.12	Abaana ba Lewubeeni, n'abaana ba Gaadi, n'ekitundu eky'ekika kya Manase, ne bakulembera abaana ba Isiraeri nga bakutte eby'okulwanyisa, nga Musa bwe yabagamba;
JOS.4.13	abantu ng'emitwalo ena (40,000) abeeteeseteese okulwana olutalo ne bayita mu maaso ga Mukama mu lusenyi olw'e Yeriko. 
JOS.4.14	Ku lunaku olwo Mukama n'akuza Yoswa mu maaso g'Abaisiraeri bonna; ne bamutya, nga bwe baatyanga Musa, ennaku zonna ez'obulamu bwe.
JOS.4.15	Mukama n'agamba Yoswa ng'ayogera nti, 
JOS.4.16	“Lagira bakabona abasitula essanduuko ey'obujulirwa bambuke okuva mu Yoludaani.”
JOS.4.17	Awo Yoswa n'alagira bakabona ng'ayogera nti, “Mwambuke muve mu Yoludaani.” 
JOS.4.18	Awo, bakabona abaasitula essanduuko ey'endagaano ya Mukama bwe baamala okwambuka okuva mu Yoludaani; n'ebigere bya bakabona bwe byalinnya ku lukalu, amazzi ga Yoludaani, ne gaddamu okukulukuta n'okwanjaala ku mbalama zaagwo ng'edda.
JOS.4.19	Abantu ne basomoka Yoludaani ku lunaku olw'ekkumi mu mwezi ogwolubereberye, ne basula e Girugaali mu buvanjuba bwa Yeriko. 
JOS.4.20	N'amayinja gali ekkumi n'abiri (12) ge baggya mu Yoludaani, Yoswa n'agasimba mu Girugaali.
JOS.4.21	N'agamba abaana ba Isiraeri nti, “Abaana bammwe bwe banaabuuzanga bakitaabwe mu biro ebigenda okujja, nti, ‘Amakulu g'amayinja gano ki?’
JOS.4.22	ne mulyoka mutegeezanga abaana bammwe, nga mwogera nti, ‘Abaisiraeri baasomoka omugga guno Yoludaani nga mukalu.’ 
JOS.4.23	Kubanga Mukama Katonda wammwe yakaliza amazzi ga Yoludaani mu maaso gammwe, okutuuka bwe mwamala okusomoka, nga Mukama Katonda wammwe bwe yakola Ennyanja Emmyufu, gye yakaliza mu maaso gaffe, okutuuka bwe twamala okusomoka,
JOS.4.24	amawanga gonna ag'ensi galyoke gamanye omukono gwa Mukama nga gwa maanyi; batyenga Mukama Katonda wammwe emirembe egitaggwaawo.”
JOS.5.1	Awo, bakabaka bonna ab'Abamoli, abaali emitala wa Yoludaani ku luuyi olw'ebugwanjuba, ne bakabaka ab'Abakanani, abaali ku lubalama lw'ennyanja Eyawakati, bwe baawulira Mukama bwe yakaliza amazzi ga Yoludaani okutuusa abaana ba Isiraeri lwe baamala okusomoka, ne batekemuka ne baggwamu amaanyi olw'abaana ba Isiraeri.
JOS.5.2	Mu biro ebyo Mukama n'agamba Yoswa nti, “Kola obwambe obw'amayinja, okomole abaana ba Isiraeri abatakomolebwanga.”
JOS.5.3	Yoswa n'akola obwambe obw'amayinja, n'akomolera abaana ba Isiraeri ku lusozi, olw'ebikuta. 
JOS.5.4	Eno ye nsonga Yoswa kye yava akomola abasajja; kubanga abasajja bonna abalwanyi abava mu Misiri nga bakomole baafiira mu kkubo mu ddungu nga bava e Misiri.
JOS.5.5	Naye abantu bonna abaazaalirwa mu kkubo mu ddungu nga bava e Misiri baali tebakomolwanga. 
JOS.5.6	Kubanga abaana ba Isiraeri baatambulira emyaka ana (40) mu ddungu, okutuusa eggwanga lyonna, be balwanyi bonna abaava e Misiri, lwe baggwaawo, kubanga tebaawulira ddoboozi lya Mukama. Mukama kye yava alayira obutabaganya kulaba nsi gye yalayira bajjajjaabwe, ensi ekulukuta amata n'omubisi gw'enjuki.
JOS.5.7	Era baali baana baabwe be yazza mu kifo kyabwe, abo Yoswa be yakomola; kuba baali si bakomole, olw'okuba tebaabakomolera mu kkubo.
JOS.5.8	Awo, bwe baamala okukomola eggwanga lyonna, ne babeera mu bifo byabwe mu lusiisira okutuusa lwe bamala okuwona. 
JOS.5.9	Mukama n'agamba Yoswa nti, “Leero mbaggyeeko ekivume eky'e Misiri.” Erinnya ery'ekifo ekyo kyeryava liyitibwa Girugaali
JOS.5.10	Abaana ba Isiraeri bwe baali baasisidde e Girugaali, ne baakwata Okuyitako olw'eggulo ku lunaku olw'ekkumi n'ennya (14) olw'omwezi mu lusenyi olw'e Yeriko.
JOS.5.11	Ku lunaku olwaddirira Okuyitako ne balya emmere enkalu ey'omwaka ogwaggwaako, emigaati egitazimbulukusiddwa ne kasooli omusiike. 
JOS.5.12	Awo bwe baamala okulya emmere ey'ensi ey'omwaka ogwaggwako; emmaanu n'erekera awo okugwa; awo ne batandika okulya emmere ey'ensi eya Kanani omwaka ogwo.
JOS.5.13	Awo, Yoswa bwe yali ng'asemberedde e Yeriko, n'ayimusa amaaso ge n'atunula, era, laba, omusajja ng'ayimiridde okumwolekera, ng'alina ekitala ekisowole mu mukono gwe; Yoswa n'amusemberera, n'amubuuza nti, “Oli ku lwaffe, oba oli ku lwa balabe baffe?”
JOS.5.14	Omusajja n'amuddamu nti, “Nedda; naye nze omukulu ow'eggye lya Mukama ntuuse kaakano.” Yoswa n'afukamira mu maaso ge, n'asinza, n'amugamba nti, “Mukama wange, kiki ky'ogamba omuddu wo?” 
JOS.5.15	Omukulu ow'eggye lya Mukama n'agamba Yoswa nti, “Ggyamu engato mu bigere byo; kubanga ekifo mw'oyimiridde kitukuvu.” Yoswa n'akola bw'atyo.
JOS.6.1	Yeriko kyali kiggaliddwawo ddala olw'okutya abaana ba Isiraeri; tewaali afuluma, newakubadde ayingira. 
JOS.6.2	Mukama n'agamba Yoswa nti, “Laba, Yeriko nkikuwadde mu mukono gwo, ne kabaka waamu, n'abazira ab'amaanyi.
JOS.6.3	Era mulikyetooloola ekibuga, abalwanyi mwenna, nga mukyetooloola omulundi gumu buli lunaku. Bw'onookolanga bw'otyo okumala ennaku mukaaga. 
JOS.6.4	Ne bakabona omusanvu balisitula eŋŋombe omusanvu ez'amayembe ag'endiga ensajja nga bakulembedde essanduuko. Ku lunaku olw'omusanvu mulyetooloola ekibuga emirundi musanvu, nga bakabona bafuuwa eŋŋombe.
JOS.6.5	Awo, bwe balifuuwa eŋŋombe ez'amayembe ag'endiga ensajja, era bwe muliwulira eddoboozi ery'eŋŋombe, abantu bonna ne balyoka baleekaanira waggulu n'eddoboozi eddene; bbugwe w'ekibuga n'agwiira ddala wansi, olwo eggye lyonna ne liyingira butereevu mu kibuga.” 
JOS.6.6	Awo Yoswa, omwana wa Nuuni, n'ayita bakabona, n'abagamba nti, “Musitule essanduuko ey'endagaano, era bakabona omusanvu basitule eŋŋombe omusanvu ez'amayembe ag'endiga ensajja bakulembere essanduuko ya Mukama.” 
JOS.6.7	N'agamba abantu nti, “Mutambule, mwetooloole ekibuga, n'abalina eby'okulwanyisa bakulembere essanduuko ya Mukama.” 
JOS.6.8	Awo, Yoswa bwe yamala okwogera n'abantu, bakabona omusanvu abaasitula eŋŋombe omusanvu ez'amayembe ag'endiga ensajja mu maaso ga Mukama ne batambula nga bafuuwa eŋŋombe; essanduuko ey'endagaano ya Mukama ng'ebavaako emabega. 
JOS.6.9	Abalina eby'okulwanyisa ne bakulembera bakabona abaafuuwa eŋŋombe, ab'emabega ne bagoberera essanduuko, nga bafuuwa eŋŋombe. 
JOS.6.10	Yoswa n'alagira abantu nti, “ Temuleekaana n'eddoboozi lyammwe lireme okuwulirwa, n'ekigambo kyonna kireme okuva mu kamwa kammwe, okutuusa ku lunaku lwe ndibalagira okuleekaana; ne mulyoka muleekaana.” 
JOS.6.11	Bwe batyo ne beetoolooza essanduuko ya Mukama ekibuga omulundi gumu. Ne baddayo mu lusiisira lwabwe ne basula omwo.
JOS.6.12	Olunaku olwokubiri ku makya Yoswa n'agolokoka, ne bakabona ne basitula essanduuko ya Mukama. 
JOS.6.13	Ne bakabona omusanvu abaasitula eŋŋombe omusanvu ez'amayembe ag'endiga ensajja ne bakulembera essanduuko ya Mukama, nga bafuuwa eŋŋombe obutasalako; n'abalina eby'okulwanyisa nga babakulembedde. N'abaali emabega w'Essanduuko ya Mukama ne bafuuwa eŋŋombe nga batambula. 
JOS.6.14	Ku lunaku olwo olwokubiri ne beetooloola ekibuga omulundi gumu, ne baddayo mu lusiisira. Ne bakola bwe batyo okumala ennaku mukaaga. 
JOS.6.15	Awo ku lunaku olw'omusanvu ne bakeera enkya mu matulutulu, ne beetooloola ekibuga emirundi musanvu nga bulijjo. Naye ku lunaku olwo lwokka lwe beetooloola ekibuga emirundi omusanvu. 
JOS.6.16	Awo ku mulundi ogw'omusanvu, bakabona bwe baafuuwa eŋŋombe, Yoswa n'agamba abantu nti, “Muleekaane; kubanga Mukama abawadde ekibuga. 
JOS.6.17	Ekibuga ne byonna ebikirimu biweereddwayo eri Mukama bizikirizibwe; okuggyako Lakabu omwenzi ne bonna abali awamu naye mu nnyumba ye be baliwona, kubanga Lakabu yakweka abakessi be twatuma.
JOS.6.18	Nammwe mwewalire ddala okutwala ku biweereddwayo eri Mukama okuzikirizibwa muleme okuleetera olusiisira lwa Isiraeri emitawaana n'okuzikirizibwa.
JOS.6.19	Naye effeeza yonna n'ezaabu, n'ebintu eby'ebikomo n'eby'ebyuma, bye bitukuvu eri Mukama; birireetebwa ggwanika lya Mukama.” 
JOS.6.20	Awo bwe baafuuwa eŋŋombe, abantu ne bawulira eddoboozi ly'eŋŋombe, ne baleekaana n'eddoboozi eddene, bbugwe n'agwiira ddala wansi, eggye lyonna neriyingira butereevu mu kibuga.
JOS.6.21	Ne bazikiririza ddala ebyali mu kibuga byonna, abasajja n'abakazi, abato n'abakulu, n'ente, n'endiga, n'endogoyi, ne babitta n'ekitala.
JOS.6.22	Yoswa n'agamba abasajja ababiri abaaketta ensi nti, “Mugende mu nnyumba ey'omukazi omwenzi, mumufulumye n'abantu be bonna ne by'alina byonna nga bwe mwamulayirira.”
JOS.6.23	Abavubuka abakessi ne bayingira, ne bafulumya Lakabu, ne kitaawe, ne nnyina, ne baganda be, n'ekika kye kyonna, ne byonna by'alina; ne babafulumya, ne babateeka ebweru mu lusiisira lwa Isiraeri.
JOS.6.24	Ekibuga ne bakyokya omuliro, n'ebyalimu byonna; naye effeeza n'ezaabu n'ebintu eby'ekikomo, n'eby'ebyuma byonna baabissa mu ggwanika ery'ennyumba ya Mukama.
JOS.6.25	Naye Yoswa n'awonya Lakabu omwenzi, n'ab'ennyumba ya kitaawe, ne byonna bye yalina. Lakabu n'abeera wakati mu Isiraeri, okutuusa kaakano; kubanga yakweka abakessi, Yoswa be yatuma okuketta Yeriko.
JOS.6.26	Yoswa n'abalayiza ekirayiro mu biro ebyo, ng'ayogera nti, “Akolimirwe mu maaso ga Mukama oyo aliyimirira n'azimba ekibuga kino Yeriko.”
JOS.6.26	“Buli alissaawo omusingi gwakyo,
JOS.6.26	alifiirwa omwana we
JOS.6.26	omuggulanda.
JOS.6.26	Buli aliwangamu enzigi zaakyo,
JOS.6.26	alifiirwa omwana we omuggalanda.”
JOS.6.27	Bw'atyo Mukama yabeeranga ne Yoswa; n'ayatiikirira mu nsi yonna.
JOS.7.1	Naye abaana ba Isiraeri ne boonoona bwe baamenya ekiragiro kya Mukama eky'obutatwala ku bintu ebyali eby'okuzikirizibwa; kubanga Akani, mutabani wa Kalumi, muzzukulu wa Zabudi, muzzukulu wa Zeera, ow'omukika kya Yuda, yatwala ku bintu ebyali eby'okuzikirizibwa; obusungu bwa Mukama ne bubuubuukira ku baana ba Isiraeri.
JOS.7.2	Yoswa n'atuma abantu okuva mu Yeriko okugenda okuketta ekibuga Ayi, ekiriraanye Besaveni, ku luuyi olw'ebuvanjuba bwa Beseri, n'abagamba nti, “Mugende mukette ekitundu ekyo.” Abantu ne bagenda ne baketta Ayi. 
JOS.7.3	Awo ne bakomawo eri Yoswa, ne bamugamba nti, “Abantu bonna tekibeetaagisa kugendayo, wabula abantu ng'enkumi bbiri oba ssatu (2,000 oba 3,000), bagende bakirumbe bakikube. Toteganya bantu bonna kugendayo, kubanga abaayo batono.” 
JOS.7.4	Awo abalwanyi ng'enkumi ssatu (3,000), ne bagenda ne balumba Ayi, naye ne badduka mu maaso g'ab'e Ayi.
JOS.7.5	Abasajja ab'e Ayi ne bakuba mu bo abantu ng'asatu mu mukaaga (36), ne babagoba okubaggya ku wankaaki w'ekibuga okubatuusa ku Sebalimu, ne babakubira awaserengeterwa, emitima gy'Abaisiraeri ne giterebuka, ne giba ng'amazzi.
JOS.7.6	Awo Yoswa n'ayuza engoye ze, n'agwa ne yeevuunika awali essanduuko ya Mukama n'atuusa olw'eggulo, ye n'abakadde ba Isiraeri; ne beesiiga enfuufu ku mitwe gyabwe.
JOS.7.7	Yoswa n'akaaba nti, “Woowe, ayi Mukama Katonda, lwaki wasomosa abantu bano omugga Yoludaani, okutuwaayo eri Abamoli okutuzikiriza? Singa twasigala emitala wa Yoludaani!
JOS.7.8	Ayi Mukama, naayogera ntya, ng'Abaisiraeri bamaze okudduka abalabe baabwe? 
JOS.7.9	Kubanga Abakanani n'abali mu nsi bonna bwe banaakiwulira, banaatuzingiza, ne batusaanyawo okuva ku nsi. Kale onookola otya okukuuma ekitiibwa ky'erinnya lyo?” 
JOS.7.10	Mukama n'agamba Yoswa nti, “Situka; kiki ekikwevuunisizza bw'otyo? 
JOS.7.11	Abaisiraeri boonoonye; era bamenye endagaano yange gye nnabalagira; batutte ku bintu ebiteekwa okuzikirizibwa. Babbye, bakuusizzakuusizza, era babikwese mu bintu byabwe.
JOS.7.12	Ekyo kye kibalobera abaana ba Isiraeri okuyimirira mu maaso g'abalabe baabwe, ne babadduka, kubanga bafuuse baakuzikirizibwa. Sijja kuddayo kubeera nammwe wabula nga muzikirizza ekyo kye mugugubiddeko.
JOS.7.13	Kale, mutukuze abantu, mubagambe beetukuze, beeteekereteekere olunaku olw'enkya,” kubanga bw'ati bw'ayogera Mukama Katonda wa Isiraeri nti, “Wakati mu ggwe waliwo ebintu bye nnabalagira okuzikiriza bye mukwese mu byammwe. Temuyinza kuyimirira mu maaso g'abalabe bammwe nga temunnabiggyayo kubizikiriza.”
JOS.7.14	Kale enkya munaasembeza abantu mu bika byammwe; ekika Mukama ky'anaalondamu kinaasembera ng'enda zaakyo bwe ziri; n'enda Mukama gy'anaalondamu eneesembera nga ennyumba zaayo bwe ziri; n'ennyumba Mukama gy'anaalondamu eneesembera buli muntu kinnoomu.
JOS.7.15	Awo olunaatuuka omuntu anaalondebwa mu nnyumba eyo n'asangibwa ng'akwese ekyo Mukama kye yalagira okuzikiriza, anaayokebwa omuliro ne by'alina byonna; kubanga anaaba amenye endagaano ya Mukama, era ng'akoze eky'obusirusiru mu Isiraeri.
JOS.7.16	Awo Yoswa n'agolokoka enkya ku makya, n'asembeza Isiraeri ng'ebika byabwe bwe byali; ekika kya Yuda ne kirondebwamu; 
JOS.7.17	Mu kika kya Yuda ne mulondebwamu Enda ya Bazera; n'esembezebwa buli muntu kinnoomu; Zabudi n'alondebwamu. 
JOS.7.18	Ennyumba ya Zabudi n'esembezebwa buli muntu kinnoomu. Ne Akani Mutabani wa Kalumi, muzzukulu wa Zabudi era muzzukulu wa Zeera mu kika kya Yuda n'alondebwamu. 
