GEN.1.1	Tamin’ny fiandohana, fony Andriamanitra nahary ny lanitra sy ny tany
DEU.29.22	«Main’ny solifara sy ny sira avokoa ity tany ity; tsy azo amafazana intsony, tsy hanirian-javatra intsony, ary tsy hisy ahitra hitrebona intsony ao. Ny mihatra aminy dia ny nanjo an’i Sôdôma sy i Gômôra ary i Admà sy i Tsebôima, izay tanàna noravan’ny TOMPO satria nirehetan’ny fahatezerany
DEU.29.23	Ny firenena hafa rehetra koa dia ho loa-bolana hoe: «Nahoana re ny TOMPO no dia nanao toy izany tamin’ity tany ity? Inona no hevitr’izao fahatezerany mirehitra mafy izao?» 
DEU.29.24	Dia hovalian’ny olona hoe: «Tonga izao satria nafoin’izany vahoaka izany ny 
DEU.29.25	kanjo nandeha nanompo andriamani-kafa izy ka niankohoka teo anatrehan’ireny andriamanitra tsy fantany sady tsy navela hotompoiny ireny. 
DEU.29.26	Dia nirehitra tamin’ity tany ity ny fahatezeran’ny TOMPO, ka nataony tonga taminy avokoa ny ozona rehetra izay voasoratra amin’ity boky ity; 
DEU.29.27	eny, fahatezerana mirehitra mafy tokoa no nandroahan’ny TOMPO azy sy nanilihany azy any an-tany hafa, tahaka ny misy azy ankehitriny izao.»
DEU.29.28	Anjaran’ny TOMPO Andriamanitsika ny mahafantatra ny zava-miafina. Ny tenantsika sy ny taranatsika hatrany hatrany kosa no mahafantatra ny zavatra ambarany, mba hanatanterahantsika ny didy rehetra raketin’ity Lalàna ity.
DEU.30.1	Ho tonga aminareo izany zavatra rehetra izany, dia ny fampanantenàm-pitahiana sy fanambaràn-doza izay nataoko teo anoloanareo
DEU.30.2	ka hiverina amin’ny TOMPO Andriamanitrareo ianareo; eny, hanaiky Azy ianareo sy ny taranakareo, hanaiky Azy amin’ny fonareo manontolo sy amin’ny fanahinareo manontolo araka ny didy rehetra izay ampitaiko aminareo anio. 
DEU.30.3	Dia haverin’ny TOMPO Andriamanitrareo amin’ny fiainanareo taloha ianareo
DEU.30.4	Na misy voaroaka any am-paran’ny tany aza ianareo, dia avy any no hangalan’ny TOMPO Andriamanitrareo azy sy hanangonany azy 
DEU.30.5	mba hampidiriny ao amin’ny tany izay fananan’ny razambenareo ka ho fanananareo koa. Hanisy soa anareo ny TOMPO Andriamanitrareo ary hahamaro isa anareo, mihoatra noho ny nataony tamin’ny razambenareo; 
DEU.30.6	dia hodiovin’ny TOMPO Andriamanitrareo ny fonareo sy ny fon’ny taranakareo hitiavanareo AZY amin’ny fonareo manontolo sy amin’ny fanahinareo manontolo, mba ho velona ianareo. 
DEU.30.7	Ary hampiharin’ny TOMPO Andriamanitrareo amin’ny fahavalo mpankahala sy mpanenjika anareo ireny ozona rehetra ireny. 
DEU.30.8	Dia hanaiky ny TOMPO indray ianareo ka hanatanteraka ny didiny rehetra izay ampitaiko aminareo anio. 
DEU.30.9	Ary hataon’ny TOMPO Andriamanitrareo manana amby ampy ny soa hafafiny aminareo: hambininy avokoa ny asanareo; ho maro anaka ianareo; ho maro taranaka ny biby fiompinareo; ary hiavosa ny vokatry ny taninareo. Araka izay nifalian’ny TOMPO nanasoa ny razambenareo no hifaliany hanasoa anareo koa, 
DEU.30.10	satria manaiky ny TOMPO Andriamanitrareo ianareo ka mitandrina ny didy aman-dalàny, izay voasoratra amin’ity bokin’ny Lalàna ity, ary satria iverenanareo amin’ny fonareo manontolo sy amin’ny fanahinareo manontolo ny TOMPO Andriamanitrareo.
DEU.30.11	Fa izao didy ampitaiko aminareo izao dia tsy saro-pantarina aminareo na ivelan’ny takatrareo. 
DEU.30.12	Tsy any an-danitra
DEU.30.13	Tsy any ampitan’ny ranomasina izany ka hanaovanareo hoe: «Iza no hiampita ny ranomasina haka azy ho antsika sy hampahafantatra azy antsika mba harahintsika?» 
DEU.30.14	Fa eo akaikinareo tokoa ny teny, dia eo am-bavanareo sy ao am-ponareo, mba harahinareo.
DEU.30.15	Ry Israelita, indro ataoko eo anoloanareo anio ny fiainana sy ny soa ankilany ary ny fahafatesana sy ny loza andaniny. 
DEU.30.16	Raha ankatoavinareo ny didin’ny TOMPO Andriamanitrareo, izay ampitaiko aminareo anio, ka hotiavinareo
DEU.30.17	Fa raha mivily kosa ny fonareo, ka tsy mankatò ny TOMPO ianareo fa voataona hiankohoka eo anatrehan’ny andriamani-kafa sy hanompo azy, 
DEU.30.18	dia ambarako aminareo dieny izao fa ho ringana tokoa ianareo, ary tsy ho maro andro eo amin’ny tany izay hidiranareo mba halainareo ho fananana, rehefa tafita ny ony Jôrdàna ianareo.
DEU.30.19	Miantso ny tany amana habakabaka aho anio ho vavolombelona aminareo fa ataoko eo anoloanareo ny fiainana sy ny fahafatesana ary ny 
DEU.30.20	Tiavo ny TOMPO Andriamanitrareo ka ekeo sy ifikiro, fa izany no hahavelona anareo sy hahamaro ny andro honenanareo any amin’ny tany izay nianianan’ny TOMPO tamin’i Abrahama sy i Itsehàka ary i Jakôba razambenareo fa homena azy
DEU.31.1	Dia avy indray i Mosesy nampita ireto teny ireto tamin’ny Israelita ka nanao taminy hoe:
DEU.31.2	–Feno 120 taona androany aho ka tsy afa-misahana ny andraikitra fitarihana anareo intsony; sady ny TOMPO efa nilaza tamiko hoe: «Tsy hita io Jôrdàna io ianao!» 
DEU.31.3	Ny TOMPO Andriamanitrareo mihitsy no hita eo alohanareo, Izy no handringana ireo firenena ireo tsy ho eo anoloanareo, mba hahazoanareo ny taniny; ary i Josoa mihitsy no hita eo alohanareo araka izay efa voalazan’ny TOMPO. 
DEU.31.4	Tahaka ny nataon’ny TOMPO tamin’i Sihôna sy i Hôga, mpanjaka 
DEU.31.5	Hatolotry ny TOMPO eo anoloanareo ireo ka araka ny didy nampitaiko manontolo taminareo no hataonareo aminy. 
DEU.31.6	Mahereza sy matanjaha! Aza matahotra na manahy an’ireo firenena ireo, satria ny TOMPO Andriamanitrareo no miara-mandeha aminareo ary tsy handao anareo na hahafoy anareo.
DEU.31.7	Dia nantsoin’i Mosesy i Josoa ka nitenenany teo imason’ny Israelita rehetra hoe:
DEU.31.7	–Mahereza sy matanjaha, satria ianao sy ity vahoaka ity dia hiara-miditra ao amin’ny tany izay nianianan’ny TOMPO fa homena ny razambenareo; ary ianao no hizara izany tany izany ho fananan’ity vahoaka ity. 
DEU.31.8	Ny TOMPO mihitsy no handeha eo alohanao, Izy no hiaraka aminao ary tsy handao anao na hahafoy anao
DEU.31.9	Dia nataon’i Mosesy an-tsoratra izany Lalànan’Andriamanitra izany, ka natolony tamin’ireo mpisorona, taranak’i Levỳ, dia ireo mpitondra ny 
DEU.31.10+DEU.31.11	Dia nanome didy azy i Mosesy ka nanao hoe:
DEU.31.10+DEU.31.11	–Isaky ny fito taona, amin’ny taona famotsoran-trosa, mandritra ny fankalazana ny Tranotomboka
DEU.31.12	Vorio ny vahoaka rehetra, na lehilahy, na vehivavy, na ankizy madinika, ary na dia ny vahiny ao an-tanànanareo aza, mba hihainoany sy hianarany izany ka hanajany ny TOMPO Andriamanitrareo sy himasoany hanatanteraka ny teny rehetra raketin’ity Lalàna ity. 
DEU.31.13	Ny zaza izay tsy mbola mahalala ity Lalàna ity, dia mba handre izany ka hianatra hanaja ny TOMPO Andriamanitrareo amin’ny andro rehetra hiainanareo eo amin’ny tany izay efa hidiranareo mba halainareo ho fananana, rehefa tafita ny ony Jôrdàna ianareo.
DEU.31.14	Dia hoy ny TOMPO tamin’i Mosesy:
DEU.31.14	–Indro antomotra ny andro hahafatesanao; koa antsoy i Josoa, ary tongava eo anoloan’ny 
DEU.31.14	Dia nandeha nankeo anoloan’ny Tranolay fihaonana ry i Mosesy sy i Josoa 
DEU.31.15	ka nisehoan’ny TOMPO tamin’ny andry rahona
DEU.31.16	Dia hoy ny TOMPO tamin’i Mosesy:
DEU.31.16	–Indro hodimandry any amin’ny razanao ianao; ary ity vahoaka ity kosa hiainga hanompo sampy ka hanaraka andriamani-kafa tompoina any amin’ny tany izay efa hidirany honenana. Hilaozany Aho ary hivadihany ny 
DEU.31.17	Dia hirehetan’ny fahatezerako amin’izany andro izany ity vahoaka ity ka hilaozako ary hanafenako ny tavako; hataon’ny olona levona izy sady hianjadian’ny loza amam-pahoriana maro. Amin’izany andro izany no hitenenan’ny Israelita hoe: «Noho Andriamanitra tsy eto aminay no mahatonga anay hianjadian’izao fahoriana izao!» 
DEU.31.18	Eny, hafeniko aminy tokoa ny tavako amin’izany andro izany noho ny ratsy rehetra izay nataony tamin’ny niviliany hanaraka andriamani-kafa. 
DEU.31.19	Ary ankehitriny, aoka hisy hanoratra izao tononkira hampitaiko aminareo izao
DEU.31.20	Any amin’ny tany izay nampanantenaiko ny razambeny manko, dia ilay tany tondra-dronono sy tantely
DEU.31.21	Rehefa hianjadian’ny zava-dratsy amam-pahoriana maro ity vahoaka ity, dia ho vavolombelona hiampanga azy izao tononkira izao, satria tsy ho afaka eo am-bavan’ny taranany. Fantatro manko ny fisainany, na dia izao ankehitriny alohan’ny hitondrako azy any amin’ny tany izay nianianako homena azy izao aza.
DEU.31.22	Dia nataon’i Mosesy an-tsoratra androtrizay ihany izany tononkira izany ka nampianariny ny Israelita.
DEU.31.23	Avy eo dia nofeperan’ny TOMPO i Josoa, zanakalahin’i Nona, ka nilazany hoe:
DEU.31.23	–Mahereza sy matanjaha; fa ianao no hitondra ny Israelita hiditra ao amin’ny tany izay nianianako taminy homena azy, Izaho mihitsy no hiaraka aminao
DEU.31.24	Rehefa voasoratr’i Mosesy tao anaty boky avokoa ny teny raketin’ity Lalàna ity, 
DEU.31.25	dia nofeperany ny Levita, izay mpitondra ny Vatamasina mirakitra ny fanekempihavanan’ny TOMPO ka nataony hoe:
DEU.31.26	–Raiso ity bokin’ny Lalàna ity, ka apetraho ao anilan’ny Vatamasina mirakitra ny fanekempihavanan’ny TOMPO Andriamanitrareo; ka ho eo hatrany izany boky izany mba ho vavolombelona hiampanga ny Israelita. 
DEU.31.27	Fantatro fa maditra sy mafy hatoka ireo; izao ankehitriny mbola velona eto aminy izao aza aho, dia efa nikomy tamin’ny TOMPO ireo, ka mainka rehefa maty aho. 
DEU.31.28	Vorio eto amiko ny 
DEU.31.29	Fantatro fa rehefa maty aho, dia hihasimba tokoa ny Israelita ka hiala amin’ny sori-dalana izay nasaiko hizorany; dia ho tratry ny loza ireo, any am-parany any, satria hanao izay ratsy eo imason’ny TOMPO ireo ka hampahatezitra Azy amin’ny asany.
DEU.31.30	Avy eo dia nolazain’i Mosesy mivantana tamin’ny Israelita rehetra tafavondrona teo izao tononkira manontolo izao:
DEU.32.1	Mihainoa, ry lanitra fa hiteny aho;
DEU.32.1	ny tany mandrenesa ny lazain’ny vavako.
DEU.32.2	Ny anatro anie hitosaka toy ny orana,
DEU.32.2	dia toy ny oram-batravatra amin’ny vilona;
DEU.32.2	ny teniko anie hirotsaka toy ny ando,
DEU.32.2	dia toy ny erikerika amin’ny ahi-maitso.
DEU.32.3	Miantso ny anaran’ny Tompo aho;
DEU.32.3	ry Israelita, ekeo fa lehibe ny Andriamanitsika!
DEU.32.4	Ny TOMPO no Vatolampy: lavorary ny asany;
DEU.32.4	ny sori-dàlany rehetra rariny avokoa.
DEU.32.4	Andriamanitra mahatoky Izy, tsy misy ratsy eo aminy:
DEU.32.4	marina sy mahitsy Izy.
DEU.32.5	Nanjary simba ianareo,
DEU.32.5	ka tsy zanany intsony fa feno tsiny;
DEU.32.5	taranaka melo-tsaina
DEU.32.5	sady mpivadibadika
DEU.32.6	Moa izany no tokony ho navalinareo ny TOMPO,
DEU.32.6	ry vahoaka adala, tsy misy fahendrena?
DEU.32.6	Moa tsy Izy no Rainareo, ka fananany ianareo?
DEU.32.6	Tsy Izy ve no nanao sy nampiorina anareo?
DEU.32.7	Tsarovy ny andro fahiny,
DEU.32.7	saino ny taona fahagola.
DEU.32.7	Anontanio ny rainareo sy loholonareo
DEU.32.7	fa hanambara sy hitantara aminareo.
DEU.32.8	Raha nanome zaratany an’ireo firenena ilay Avo
DEU.32.8	ka nampiely ny taranak’olombelona,
DEU.32.8	dia nozarazarainy am-paritany ireny
DEU.32.8	araka ny isan’ireo anjely
DEU.32.9	Anjaran’ny TOMPO kosa ilay vahoakany;
DEU.32.9	ny taranak’i Jakôba no natokany ho fananany.
DEU.32.10	Tany an-taniefitra no nanangonany azy,
DEU.32.10	dia tany amin’ny tany foana misy bibidia mierona.
DEU.32.10	Koa nokarakarainy izy, nokolokoloiny,
DEU.32.10	notandremany tahaka ny anakandriamasony.
DEU.32.11	Mova Izy tsy ny voromahery mitaona ny zanany hisidina
DEU.32.11	ka manaitaitra azy eo ambonin’ny akaniny.
DEU.32.11	ary mamelatra ny elany handraisany ny reraka
DEU.32.11	mba hitondrana azy eo ambonin’ny elany?
DEU.32.12	Ny TOMPO irery no nitarika ny vahoakany;
DEU.32.12	tsy nisy andriamani-kafa niaraka taminy.
DEU.32.13	Nakariny teo an-tendron-kavoan’ilay tany izy,
DEU.32.13	nampihinaniny ny vokatry ny saha,
DEU.32.13	nampitsentsefiny tantely teny an-tsefatsefa-bato,
DEU.32.13	sy nomeny menaka avy amin’ny faritra vatoana;
DEU.32.14	novokisany mena-drononon’omby,
DEU.32.14	sy rononon’ondry aman’osy izy,
DEU.32.14	nofahanany henan-janakondry
DEU.32.14	sy ondrilahy matavy aman’osilahy
DEU.32.14	ary notolorany vary tsara indrindra
DEU.32.14	sy ranom-boaloboka ho divay fisotro.
DEU.32.15	Koa nihinana ny taranak’i Jakôba, ka voky;
DEU.32.15	nihanatavy i Jesoròna
DEU.32.15	Eny, tonga natavy izy,
DEU.32.15	vory nofo sy dongadonga
DEU.32.15	ka nandao an’Andriamanitra Izay nanao azy
DEU.32.15	ary nanamavo an’ilay Vatolampy famonjena azy.
DEU.32.16	Andriamani-kafa no nampitoviny lanja tamin’ny Tompo,
DEU.32.16	zava-maharikoriko no naniratsirany Azy;
DEU.32.17	ny nanolorany 
DEU.32.17	sady andriamanitra tsy fantany,
DEU.32.17	andriamani-baovao niseho tatỳ aoriana
DEU.32.17	sady tsy nohajain’ny razany.
DEU.32.18	«Tsy raharahainao, ry Israely,
DEU.32.18	ilay Vatolampy niteraka anao;
DEU.32.18	hadinonao ilay Andriamanitra nahitanao masoandro.»
DEU.32.19	Hitan’ny TOMPO ka nampisafoaka Azy
DEU.32.19	ny zanany izay naniratsira Azy;
DEU.32.20	dia hoy Izy hoe: «Hanafenako tava ireo,
DEU.32.20	dia ho hitako izay hiafarany
DEU.32.20	fa taranaka mpivadibadika
DEU.32.20	sy zaza tsy mahatoky.
DEU.32.21	Ireo no nampitovy lanja Ahy tamin’andriamani-tsiizy
DEU.32.21	sy naniratsira Ahy tamin’ny sampy tsinontsinona.
DEU.32.21	Izaho kosa hampitovy lanja azy
DEU.32.21	amin’izay tsy vahoaka akory;
DEU.32.21	firenena adala no hampanaratsiako azy
DEU.32.22	Nirehitra ny afon’ny fahatezerako
DEU.32.22	ka nandoro ny toeran’ny maty,
DEU.32.22	hatrany amin’ny farany ambany
DEU.32.22	sy nandevona ny tany mbamin’ny vokatra ao aminy
DEU.32.22	ary nampirehitra ny fanambanin’ny tendrombohitra.
DEU.32.22	HEAVEN-THE DWELLING PLACE OF GOD
DEU.32.22	NY LANITRA-TOERAM-PONENAN’ANDRIAMANITRA
DEU.32.22	THE WATER ABOVE THE VAULT
DEU.32.22	NY RANO AMBONIN’NY HABAKABAKA
DEU.32.22	VAULT OF HEAVEN
DEU.32.22	NY HABAKABAKA ANDOHALAMBON’NY LANITRA
DEU.32.22	EARTH
DEU.32.22	NY TANY
DEU.32.22	Pillars of the sky (2)
DEU.32.22	Andry fanorenan’ny lanitra (2)
DEU.32.22	Pillars of the earth (3)
DEU.32.22	Andry fanorenan’ny tany (3)
DEU.32.22	Sheol
DEU.32.22	Toeran’ny maty
DEU.32.22	The Abyss of waters (2)
DEU.32.22	Ranolalimbe
DEU.32.22	Early conception of the universe
DEU.32.22	Fiheverana fahagola ny amin’ny firafitr’izao tontolo izao (Deôterônômy 32.22) [NEB 148]
DEU.32.23	Havangongoko amin’ny Israelita ny loza
DEU.32.23	ary holanîko aminy ny zana-tsipîkako;
DEU.32.24	hofezahin’ny mosary ireo
DEU.32.24	sady holevon’ny tazo sy ny areti-mandripaka
DEU.32.24	ary halefako hamely azy ny biby masiaka
DEU.32.24	mbamin’ny bibilava misy poizina.
DEU.32.25	Eny ivelany, dia ny sabatra no handringana;
DEU.32.25	ao an-trano, dia ny tahotra no hahafaty.
DEU.32.25	Ka samy hiharan’izany avokoa
DEU.32.25	na zatovolahy na zatovovavy
DEU.32.25	na zazakely na beantitra.»
DEU.32.26	«Nokasaiko haparitaka ireo
DEU.32.26	ka ho foana eo amin’ny olombelona
DEU.32.26	ny fahatsiarovana azy,
DEU.32.27	raha tsy ny fahavalo hirehaka no natahorako;
DEU.32.27	mety diso hevitra manko ny mpandrafy azy
DEU.32.27	ka hiteny hoe: ‹Ny tananay no nahery,
DEU.32.27	fa tsy ny TOMPO velively no nanao izany.›
DEU.32.28	Firenena
DEU.32.28	sady tsy manam-pahalalana.
DEU.32.29	Raha mba hendry ireo dia ho nahalala izao
DEU.32.29	sy ho nahafantatra ny hiafarany:
DEU.32.30	Fahavalo iraika lahy ve hahenjika Israelita arivo?
DEU.32.30	Fahavalo roa lahy ve hampandositra Israelita iray alina?
DEU.32.30	Eny, raha Izaho TOMPO, ilay Vatolampy ianteherany,
DEU.32.30	no efa nanolotra azy ho eo am-pelatanan’ny fahavalony.
DEU.32.31	Na ny fahavalony aza no mitsara,
DEU.32.31	dia miaiky fa tsy mitovy
DEU.32.31	amin’ilay Vatolampy ianteheran’i Israely
DEU.32.31	ny vatolampy izay mba ianteherany
DEU.32.32	Tahaka an’i Sôdôma sy i Gômôra
DEU.32.32	ireo fahavalon’i Israely:
DEU.32.32	tahom-boaloboka mamokatra voaloboka mahafaty
DEU.32.32	sy sampaho mangidy.
DEU.32.33	Ny divainy dia toy ny zava-mahafaty avy amin’ny dragona
DEU.32.33	ary toy ny poizina mahery avy amin’ny menarana.
DEU.32.34	Voatahiry ato amiko izany nafitsok’ireo izany
DEU.32.34	sady voaisy tombokase ato an-trano firaketako:
DEU.32.35	Ahy ny famaliana sy ny fampanodiavana
DEU.32.35	raha avy izay hahasolafaka ny tongony
DEU.32.35	fa antomotra ny andro hahitany loza
DEU.32.35	ary ho avy faingana ny anjara voatendry ho azy.»
DEU.32.36	Eny, homen’ny TOMPO rariny tokoa ny vahoakany
DEU.32.36	rehefa hitany fa lany hery;
DEU.32.36	hohasoaviny indray ireo manompo Azy
DEU.32.36	rehefa hitany fa tsy misy ianteherany intsony
DEU.32.37	Amin’izay i Israely hitenenan’ny Tompo hoe:
DEU.32.37	«Aiza ireo andriamani-kafa
DEU.32.37	nataonareo ho vatolampy fialofana?
DEU.32.38	Ireo no nihinana ny sabora soronareo
DEU.32.38	sy nisotro ny divay fanatitrareo.
DEU.32.38	Aoka ireo hitsangana hamonjy anareo
DEU.32.38	ary ho fierena ho anareo!
DEU.32.39	Fantaro ankehitriny fa Izaho ihany no Andriamanitra
DEU.32.39	ary tsy misy andriamani-kafa miolotra amiko:
DEU.32.39	Izaho no mahafaty sy mahavelona,
DEU.32.39	Izaho no maharatra sy mahasitrana,
DEU.32.39	ary tsy misy mahafaka olona eo am-pelatanako.
DEU.32.40	Manangan-tanana amin’ny lanitra Aho,
DEU.32.40	ka mianiana hoe: ‹Velona mandrakizay Aho,
DEU.32.41	ka horanitiko hanelatselatra ny sabatro,
DEU.32.41	harangarangan’ny tanako ny famaizana,
DEU.32.41	dia hovaliako ny mpandrafy Ahy
DEU.32.41	ary hampanodiaviko ny mpankahala Ahy ny ataony.
DEU.32.42	Hataoko vonton-dra ny zana-tsipîkako,
DEU.32.42	dia ny ran’ireo voavono sy voababo;
DEU.32.42	hotrebotrebonin’ny sabatro ny nofo
DEU.32.42	mbamin’ny loha lavavolon’ny fahavalo›!»
DEU.32.43	Ry hafa firenena, hobio ilay vahoakan’Andriamanitra!
DEU.32.43	Fa valian’ny TOMPO ny nahafatesan’ny mpanompony;
DEU.32.43	eny, valiany tokoa ireo mpandrafy Azy,
DEU.32.43	ary avotany kosa ny taniny mbamin’ny vahoakany
DEU.32.44	I Mosesy dia niaraka tamin’i Josoa
DEU.32.45	Nony tapitra voalazany avokoa tamin’ny Israelita rehetra ireo teny ireo, 
DEU.32.46	dia hoy i Mosesy taminy:
DEU.32.46	–Araiketo ao am-ponareo ny teny rehetra izay ambarako hiampangana anareo anio; didio ny taranakareo mba himasoany hotanterahina ny teny rehetra raketin’ity Lalàna ity. 
DEU.32.47	Tsy zava-poana ho anareo izany fa fiainanareo; izany teny izany no hahamaro andro anareo any amin’ny tany izay efa halainareo ho fananana, rehefa tafita an’i Jôrdàna ianareo.
DEU.32.48	Androtrizay koa no nitenenan’ny TOMPO tamin’i Mosesy hoe:
DEU.32.49	–Mankanesa ianao amin’itsy tandavan-tendrombohitra Habarîma itsy, izay ao amin’ny faritany Môaba, tandrifin’i Jerikao, dia miakara eo an-tampon’ny tendrombohitra Nebao: ary tazano ny tany Kanahàna izay omeko ny Israelita ho fananany. 
DEU.32.50	Dia aoka ianao ho faty eo an-tampon’io tendrombohitra hiakaranao io ka ho voaangona any amin’ny razanao, tahaka ny nahafatesan’i Aharôna rahalahinao tany an-tampon’ny tendrombohitra Hôra sy nanangonana azy tany amin’ny razany
DEU.32.51	Ianao sy i Aharôna manko dia diso tamiko teo anatrehan’ny Israelita, teo amin’ny ranon’i Meribà any Kadesy, tao an-taniefitra Tsina; tamin’izay no tsy nanehoanareo ny fahamasinako teo anatrehan’ny Israelita
DEU.32.52	Eny, avy lavitra no hitazananao ny tany izay omeko ny Israelita, kanefa tsy hiditra ao ianao
DEU.33.1	Rehefa nadiva ho faty i Mosesy,
DEU.33.1	lehilahin’Andriamanitra, dia izao no 
DEU.33.2	Tonga avy tany Sinay ny TOMPO,
DEU.33.2	avy tany Sehîra no nisehoany tamin’ny vahoakany,
DEU.33.2	avy tao an-tendrombohitra Paràna no namirapiratany.
DEU.33.2	Otronin’ny 
DEU.33.2	avy teo amin’ny tanan-kavanany no nanjelanjelatra ny lalàna
DEU.33.3	Eny, tia ireo fokon’i Israely ianao, ry Tompo!
DEU.33.3	Ambany fifehezanao avokoa ny olona voatokana ho Anao;
DEU.33.3	miankohoka eo an-tongotrao ireo
DEU.33.3	ka samy mandray ny teninao.
DEU.33.4	Ny Lalàna naroson’i Mosesy tamintsika
DEU.33.4	no lovan’ny taranaka narovan’i Jakôba;
DEU.33.5	ary tonga mpanjakan’i Jesoròna ny Tompo
DEU.33.5	fony tafangona ny lehiben’ny vahoaka
DEU.33.5	mbamin’ireo foko israelita rehetra.
DEU.33.6	Ny amin’ny taranak’i Reobena, dia hoy i Mosesy hoe:
DEU.33.6	«Aoka ho velona ny fokon’i Reobena fa tsy ho faty,
DEU.33.6	ary aoka ho tsy tambo isaina ny olony!»
DEU.33.7	Ny amin’ny taranak’i Joda dia izao no voalazan’i Mosesy;
DEU.33.7	«TOMPO ô, henoy antso ny fokon’i Joda!
DEU.33.7	Ento izy hifandray amin’ireo mpiray firenena aminy;
DEU.33.7	ny tanany no hiadiany ho an’ny fokony
DEU.33.7	ka ampio izy hamely ny mpandrafy azy.»
DEU.33.8	Ny amin’ny taranak’i Levỳ, dia hoy i Mosesy hoe:
DEU.33.8	«Tompo ô, ny Orîmanao sy Tomîmanao
DEU.33.8	dia nankininao amin’ireto olona mahatoky Anao ireto,
DEU.33.8	izay efa nozahanao toetra tany Masà
DEU.33.8	sy nanarinao mafy teo amin’ny ranon’i Meribà
DEU.33.9	Noho Ianao, dia tsy mba niraiki-po
DEU.33.9	tamin’ny ray aman-dreniny ireo,
DEU.33.9	na nifikitra tamin’ny mpiray tampo na fatra-pitia zanaka,
DEU.33.9	fa nitandrina ny teninao
DEU.33.9	sy nitana ny 
DEU.33.10	Ireo no mampianatra ny fitsipika aman-dalànanao
DEU.33.10	amin’ny Israelita namany
DEU.33.10	sy manolotra vovo-javamanitra eo anatrehanao
DEU.33.10	ary mitondra 
DEU.33.10	eo amin’ny 
DEU.33.11	TOMPO ô, tahio ny ezaka vitany
DEU.33.11	ary aoka ho sitrakao ny asa ataony;
DEU.33.11	folahy ny herin’izay mitsangan-kanohitra azy,
DEU.33.11	ary aoka tsy hiarina intsony izay mankahala azy.»
DEU.33.12	Ny amin’ny taranak’i Benjamîna, dia hoy i Mosesy hoe:
DEU.33.12	«Foko malalan’ny TOMPO ianareo
DEU.33.12	ka monina feizay eo akaikiny;
DEU.33.12	miaro anao isan’andro vaky Izy
DEU.33.12	sady monina eo anivon’ny havoanareo
DEU.33.13	Ny amin’ny taranak’i Jôsefa, dia hoy i Mosesy hoe:
DEU.33.13	«Hotahîn’ny TOMPO anie ny taninareo,
DEU.33.13	ka hahazo ny ando fanomezan-tsoan’ny lanitra
DEU.33.13	sy ny rano misoko avy any ambany lalina any,
DEU.33.14	handray ny zava-tsoa entin’ny masoandro
DEU.33.14	sy ny zava-tsoa matoy isam-bolana,
DEU.33.15	ho rakotry ny voka-tsoan’ny tendrombohitra
DEU.33.15	sy ny voka-tsoan’ny havoana hatrizay hatrizay!
DEU.33.16	Enga anie ny zava-tsoan’izany tany mahavokatra izany
DEU.33.16	sy ny fanambinan’Ilay nitoetra tao amin’ny Roimemy
DEU.33.16	hitosaka eo amin’ny taranak’i Jôsefa,
DEU.33.16	dia ny taranak’ilay navahana tamin’ny rahalahiny
DEU.33.17	Homem-boninahitra anie ny taranak’i Jôsefa
DEU.33.17	satria mahery tahaka ny ombalahy izy!
DEU.33.17	Tahaka ny ombimanga be tandroka izy,
DEU.33.17	ka manan-tandroka roa hanotoany ny firenena rehetra
DEU.33.17	hatrany amin’ny faravazan-tany,
DEU.33.17	dia ny miaramila alinalin’ny fokon’i Efraîma
DEU.33.17	sy ny miaramila arivoarivon’ny fokon’i Manase.»
DEU.33.18	Ny amin’ny taranak’i Zebolòna sy i Jisakara,
DEU.33.18	dia hoy i Mosesy hoe:
DEU.33.18	«Mifalia, ry fokon’i Zebolòna,
DEU.33.18	amin’ny varotra ataonao;
DEU.33.18	mifalia, ry fokon’i Jisakara, ao an-dainao.
DEU.33.19	Firenena maro no antsoinareo hankeo an-tendrombohitra
DEU.33.19	mba hanolotra sorona araka ny voalahatra,
DEU.33.19	satria angoronanareo harena ny ranomasina
DEU.33.19	sy ny zava-tsoa miafina ao amin’ny fasika
DEU.33.20	Ny amin’ny taranak’i Gada, dia hoy i Mosesy hoe:
DEU.33.20	«Hankalazaina anie ny Tompo
DEU.33.20	Izay manome faritra malalaka ho an’ny fokon’i Gada!
DEU.33.20	Tahaka ny liona no amitsahan’ny fokon’i Gada,
DEU.33.20	dia liona vonon-kamiravira ny sandrin’ny rembiny
DEU.33.20	mbamin’ny lohany koa aza.
DEU.33.21	Nahazo ny zaratany tsara indrindra ho azy izy,
DEU.33.21	dia anjara voatokana ho an’ny mpifehy;
DEU.33.21	avy eo niaraka tamin’ny lehiben’ny vahoaka izy
DEU.33.21	ka nanao ny marina soritan’ny TOMPO
DEU.33.21	sy ny fitsipiny hanasoavana an’i Israely
DEU.33.22	Ny amin’ny taranak’i Dana, dia hoy i Mosesy hoe:
DEU.33.22	«Ny fokon’i Dana dia tahaka ny vanton-diona
DEU.33.22	izay miantoraka avy ao 
DEU.33.23	Ny amin’ny taranak’i Naftalỳ, dia hoy i Mosesy hoe:
DEU.33.23	«Ry fokon’i Naftalỳ, tototra tombontsoa ianao
DEU.33.23	sady heniky ny fitahian’ny TOMPO.
DEU.33.23	Aoka hitatra miankandrefana sy mianatsimo
DEU.33.23	ny faritany anananao
