MAT.1.2	Abraham Isak ka abatii, ho Isak Jakob ka aba, ho Jakob Juda la mohka anuabañ atañka aba, 
MAT.14.29	 Mo lutii, “Ahto.” Ho Pitar hulu hokii agoho daliñtii ho yasie ho intii ho Jisu ko ahtii; 
MAT.14.30	hojalo mo allyi henii mi kappa lala, mo biisotii, ho huhapa miikele gyuritii, “Attoh, lyangurpe ngiimi.” 
MAT.14.31	 Jisu nyibyaloda mohka alah lyuliñla mohmi gatutii, mohmi lubiido, “Henje papo giiniibo miyu, niimpa hemmodu?” 
MAT.14.32	Ho mo anye huluho chaku kiile, allyi hengu ritiiku. 
MAT.14.33	 Ho hulu hoka dunii atañ mohmi heriinyatii, lubiidola, “Jijeloda no Pinii ka Oho.”
MAT.14.35	Ho hoka miyuatañ mohmi kala lala, mohlu hikha aruñare ho kiiniñtii ho hikha achihnii atañmi mohko ahgii bitii, 
MAT.14.36	 ho mohmi lyartii, mohlumi mohka pulye nyetañ mijalo tene kiinepe; ho hutii tenetii hii hempyo nyatii.
MAT.15.2	“Niimpa niika henjeajiñ atañ miigyanyada amiabañ atañka ayu muju-lujumi? Niimpalukoda mohlu mohluka alah mi yasii nyama mohluka diilyiho.” 
MAT.15.3	Mo mohlumi lusitii, Ho niimpa nunu miigyanyadanii Pinii ka lujubiniiñmi, nunuka ayu miiju-lujju miya atiidupa? 
MAT.15.4	Niimpalukoda Pinii lutii, khiitolya nunuka annii-aba mi, ho Huna ayamapa luchinii annii-aba mi, hiimi siike nento loda. 
MAT.15.5	Hojalo nunu luda, Mi kone matiirḛ atohka annii-aba mi ludo koda, No nii ngiiko hokii labiikenne hiimi Pinii mi bito kuke, hii chulipa mo atoh aba mi khiima. 
MAT.15.6	Hopa, nunuka ayu miiju-lujju piigopa, nunu Pinii ka aguñ miya khiima miipa biido. 
MAT.15.7	Nunu apukahi! Aijaya mihu kadi ko katii nunumi, mo hiila lutii:
MAT.15.8	Siika miyuatañ ngiimi mohluka nyachu lasu herii siidonii,
MAT.15.8	hojalo mohluka ahha hii ngiiko hokii hempḛr adho ho do;
MAT.15.9	piigo ama pasu mohlu ngiimi herii siidonii,
MAT.15.9	tonsḛr nyada miyu ka khenyo niimi Pinii ka tonjuke hiila.
MAT.15.10	Ho mo miyu atañmi mohko gyoliitii ho mohlumi lutii, “Tato ho talanyato: 
MAT.15.11	 ura hoka diilii giinii miyu mi kacho miipa make, hojalo niihna aguñhokii lindonii, hiike miyu mi kacho miipa donii.” 
MAT.15.12	Ho henjeajiñ atañ ahbiila ho mohmi lutii, “No chinduha Parisi atañ chekho nyane siika luniiñ siimi tapa lala?” 
MAT.15.13	 Mo lusitii, “Sannii buhe abi ngiika dariiganda daka Aba ka ali manii mi bupa kendoke. 
MAT.15.14	Mohlumi kapa siito, mohlu micha lembo pagii niike. Ho micha kone matiirḛ micha mi ingii dokoda, anyeru paka ho chupa hikiñdo.” 
MAT.15.15	Hojalo Pitar mohmi lutii, “Lukoludḛrpe ngunumi lutiñnaniiñmi.” 
MAT.15.16	Ho mo lutii, “Nunu tiirḛ siisilohepa tachiñ nyama rampo? 
MAT.15.17	Nunu kapama aguñ hoka diilii giinii erre hosu ahsu donii, ho limpa siido? 
MAT.15.18	 Hojalo nii aguñhokii luliñdo hii ahha hokii lindo, ho hiikahii miyumi kacho miipa giido. 
MAT.15.19	 Niimpalukoda ahha hokiisii diimmah heniiñ hii linsu donii, mensuniiñ, ipfyonii, datuapu, diipyoniiñ, amuhpaka haki duniiñ, nipasiiniiñ. 
MAT.15.20	siika atañ sinya miyu mi miibḛr donii; hojalo alah yasii mapa ka diiniihii miyu mi miibḛr make.”
MAT.15.22	Ho kato, Kanan hoka annii akha kone hiika ganda hokii ahtii ho gyutii, “ngiimi arohpe, O Attoh, David ka Oho; ngiika nyimii wiinga si hempḛr uropa igii lo jarpiñ kobiitola doke.” 
MAT.15.23	Hojalo mo hang aguñ lusimatii mohmi. Ho mohka henjeajiñ atañ ahtii ho mohmi lyartii, lubiidola, Mohmi kiiniñ toku, niimpalukoda mo ngunuka kiiliñ khejo mola doke. 
MAT.15.24	 Mo lusitii, “Ngiimi Isrel ude daka subuñ lyunii atañ kosu kiiniñ siitiinii.” 
MAT.15.25	 Hojalo nyimii ahtii ho mohka hataho liibañ khangala, lubiido, “Attoh, ngiimi hembyuñpe.” 
MAT.15.26	Ho mo lusitii, “Hiila ka miiniiñsi ayama, himme ka yatañmi labiila ho akie atañ mika kubi niisi.” 
MAT.15.27	Nyimii lutii, “ḛh, Attoh, hojalo akie tiirḛ diitananii hokiika mohluka attoh ka diibi loniiñmi dusudu.” 
MAT.15.28	 Ho Jisu lusitii mohmi, “Annii akha, niika henje hempḛr kahe doke! Niipa lyibi kiine talyike no hiila hendo.” Ho mohka nyimii wiinga ohepada hempyo datii.
MAT.15.30	Ho hempḛr miyuabuje mohko ahtii, mohluka agiñho liicha, liikuñnii, micha, luha mi ahgiila, ho hiika atañmi mohka alih aruñho atiibitii, ho mo mohlumi miipya bitii, 
MAT.15.31	hopa miyuatañ hemur nyatii, mohlu luha ka luniiñmi kapalala, liikuñnii mi aya dopa kapalala, liicha mi indokupa kapalala, ho micha kapatiiku; ho mohlu Isrel ka Pinii mi assañtii.
MAT.15.33	Ho henjeajiñ atañ mohmi lutii, “Nohkii ngunu hiimkane yatañ siika zabyo so lahchi hiimkane miyu taropa?” 
MAT.15.34	Ho Jisu mohlumi lutii, “Nunuko Yatañ penne do?” Mohlu lutii, “Pekkanuhe, ho ngiiyyi sonyo sonye sohiñhe.” 
MAT.15.35	Ho miyu atañmi kiiddi ho duha tote hiila lutii, 
MAT.15.36	mo yatañ pekkanuhemi la ngiiyyi mi tulala, ho payapacho lulala mo petutii ho henjeajiñ atañmi bitii, ho henjeajiñ atañ miyu atañmi bitii. 
MAT.15.37	Ho miilañru diitii ho diide giitii; ho mohlu yagii giikkanuhe petu pepo nii diingo tango mi tukuñ tiiku. 
MAT.15.38	Hoka diiniihe milobo jarpe diitii, nyimii la himme nyimi khiita mapa. 
MAT.15.39	Ho miyu atañmi kiiniñ kulala, mo huluho chatiiku ho Magadan gandaho intii.
MAT.16.2	Mo mohlumi lusitii, “Alyiñdalyi lyikuho, nunu ludu, Miidoyasie si aya nedo; niimpalukoda yapuñsi lanchañ do. 
MAT.16.3	Ho aro konchiho, ‘Siilo miido hunedo, niimpalukoda yapuñsi lanchañ do ho kamo ramba doniiñ.’ Nunu lulado yapuñ mi kala la nii lyikiñdo, hojalo nunu lula ma myodu ka kagiñnanii mi. 
MAT.16.4	 Diimmah ho ipfyodiipyo santuñ atañsi kagiñnanii medo, hojalo hang kagiñnanii kakiñ kema Jona mika kagiñnanii mi apa lala.” Ho mohlumi apatela ho intiiku.
MAT.16.6	 Jisu mohlumi lutii, “Hendi nyato ho hendi latiika Parisi atañ la Herod ka ipo nyi hokii.” 
MAT.16.7	Ho mohluka punkoho taka siinyatii, lubiidola, “ngunu hang yatañ bagiima.” 
MAT.16.8	 Hojalopa Jisu, siimi hempa biitola, lutii, “Nunu henje papo atañ, niimpa nunu taka siinyada jije nunuko yatañ nyimaja? 
MAT.16.9	 Nunu siisi lohepa tala nyama rampo? Nunu yatañ pengo hela harje jarngo hemika honiiñmi hendḛr mapo, ho yagii giine nunu tukuñ toku? 
MAT.16.10	 Malo yatañ pekkanuhemi ka harje jarpe mika honiiñ, ho yagii giine nunu tukuñ toku? 
MAT.16.11	Niihtañpa nunu siimi tala nyama Ngo yatañ ka piigo mi luma hiila? Hendi nyatiika Parisi atañ la Sadusi atañka ipo hokii.” 
MAT.16.12	Ho mohlu tala nyatii mo mohlumi ipo miiyo nii yatañ hokii hendito hiila mapa, hojalo Parisi atañ la Sadusi atañka tonsḛr niihokii ludo hiila.
MAT.16.14	 Ho mohlu lutii, “Tange ludo Jon Baptisma biniibo, tange ludo Elija, ho tange Jeremiah malo nyibuhenii kone.” 
MAT.16.15	Mo mohlumi lutii, “Hojalo nunu Ngiimi hu hiila ludu?” 
MAT.16.16	 Saimon Pitar lusitii, “No Kristo, turnii Pinii ka Oho.” 
MAT.16.17	 Ho Jisu lukotii mohmi, “Lyanko niike nunu, Saimon Bar-Jona! Asiialyo la ai nyi siika simi kakiñ make niimi, hojalo ngiika Aba ke huna dariiganda ho dunii. 
MAT.16.18	 Ho Ngo niimi lukoso, no Pitar ke, ho siika yalañ so Ngo ngiika gyoliñkonii mi penchi, ho shiigo ka harchichike hiitḛr siimi lutiñ lakiñ make. 
MAT.16.19	 Ngo niimi dariiganda ka raddeganda mika hekko naniimi biso, ho niijalo nunu kiiddiapiñ so ahnga siichi hii dariiganda ho ahnga kendoke, ho niijalo nunu kiiddiapiñ so ahnga siitema hii dariiganda hotiirḛ ahnga siikiñma.” 
MAT.16.20	 Ho hempḛr uropa henjeajiñ atañmi lutiñ biido mo Kristo ke hiila mihmi lukoyo hiila.
MAT.16.22	Ho Pitar mohmi sebiila ho mohmi gatii, lubiidola, “Pinii nyike neyo siimi, Attoh! Siimi pema niiko lyike nente make.” 
MAT.16.23	 Hojalo mo mokur biila ho Pitar mi lutii, “Ngiiko hokii insato, Saitan! No ngiimi lutiñluko papo; niimpalukoda no Pinii kii dalyi damake, hojalo miyu kii dalyike.”
MAT.16.25	 Niimpalukoda hujalopa atoh ka sango mi lyangur siichi hiimi alyu siikiñ doke, ho hujalopa mohka sango mi ngiipa alyu siichi hiimi pakiñ doke. 
MAT.16.26	Niimpalukoda niihpe miyu pa aya donii, mo matiirḛ hikha supuñ mi biisu dojalo ho mohka sango mi alyu siido koda? Malo niihpe miyu si mohka sango pa bisi siila kendo nii? 
MAT.16.27	 Niimpalukoda Miyu ka Oho ahkiñdo mohka miidopopi agiñho mohka Aba ka tatukatu lyiho, ho mo hikha miyu atañmi bikiñdo niihna mohlu miitiinii. 
MAT.16.28	Jijeloda, Ngo nunumi lukoso, so tange danyada mohlu miyu ka Oho mi mohka raddeganda ho ahma rampa mohlu shiinii mi hempa kempa ke.
MAT.17.2	Ho mo lyilutii mohluka kadopa, ho mohka nyimohii danyi chitañ byotii, ho mohka abitarii hii hudakiila puloo tii. 
MAT.17.3	Ho kato, hiiko Mose la Elija nyi mohluka agiñho ahtii, mohmi luriitii. 
MAT.17.4	Ho Pitar Jisu mi lutii, “Attoh, ayado ngunu so da; no matiirḛ hendo milo, ngo so tabyo pehiñhe pentoso, kone niipa ho kone Mose pa ho kone Elija pa.” 
MAT.17.5	 Mo luriila datiirañ, kato, hempḛr puloo jomii mohlumi hipu biitii, ho jomii hokii aguñ gonge lutii, “Siikasi ngiika heniiñja Oho
MAT.17.6	Siimi henjeajiñ atañ tapa lala, mohlu mohluka nyimo mi nyañki giitii, ho miilañru biiso nyatii. 
MAT.17.7	Hojalo Jisu ahbiila ho mohlumi tennetii, lubiidola, “Gurito, ho biiso nyayo.” 
MAT.17.8	Ho mohlu amee kacha biikele, mohlu kone mitrḛ kappa kuma hojalo Jisu kontii misu.
MAT.17.10	 Ho henjeajiñ atañ mohmi tahii biido, Hokoda niimpa pagenii atañ ludo kapyopa Elija ahpyo kendo lodake hiila? 
MAT.17.11	Mo lusitii, “Elija ahkiñdo, ho mo hikha drih atañmi miilyañ kendo; 
MAT.17.12	 hojalo Ngo nunumi lukoso Elija ahto kula datiiku, ho mohlu mohmi kala matii, hojalo nii mohlu miinatii mohmi miitii. Hopa miyu ka Oho tiirḛ mohluka alah ho heru henkiñdo.” 
MAT.17.13	Ho henjeajiñ atañ helanyatii mo Jon Baptisma binii bomi ngunumi lukodo hiila.
MAT.17.15	“Attoh, ngiika oho mi aroh tope, niimpalukoda mo tahiñ shiitiñnii ho hempḛr uropa herudo; kiirañ mo yamuho chuhado, ho yasie hotiirḛ chuhado. 
MAT.17.16	Ho ngo mohmi niika henjeajiñ ko ahgii bihañ kiile, ho mohlu mohmi miipya lama.” 
MAT.17.17	Ho Jisu lusitii, “O henje manii ho ingyamiigya halugiira atañ, nii dahepa Ngo nunu agiñho dabo monchi? Nii dahepa Ngo nunumi hembyuñ mola dachi? Mohmi so ngiiko ahgii.” 
MAT.17.18	Ho Jisu mohmi gatii, ho igii mohkokii lintiiku, ho himme mi atta jaho miipyatii. 
MAT.17.19	 Ho henjeajiñ atañ ahsiela Jisu ko ahbiila ho lutii, Niimpa ngunu hiimi mompa lamato? 
MAT.17.20	Mo mohlumi lutii, “Nunuka henje papo kopa. Niimpalukoda jijeloda, Ngo nunumi lukoso, nunuko matiirḛ gihañ kormo kane jalo henje giido koda, nunu siika putoo mitrḛ luto, sokii inkaso iehi he, ho hii iehi kendo; ho hang miila manii hiila nyikiñma nunupa.” 
MAT.17.23	ho mohlu mohmi menkiñdo, ho mo lohiñ niika allo ho turi kendoku.” Ho mohlu hempḛr hengahenkhatii.
MAT.17.24	Mohlu Keparnam ho ahbii kiile, piniiude daka biijokajo myanii atañ Pitar ko ahbiila ho lutii, “Nunuka tonsḛrbo biijokajo bima ehna?” 
MAT.17.25	 Mo lutii, “Ḛh.” Ho mo ude ahbii kiile, Jisu kapyopa mohmi lutii, lubiidola, “No nii hiila hendo, Saimon? Kiiddiapiñ daka radde hukohokii biijokajo myadu malo bibyuñkodu? Mohka oho atañ kokii ha malo miko hokiiha?” 
MAT.17.26	Ho mo hiila lutii, “Miko hokii,” Jisu mohmi lutii, Hokoda oho atañ dasḛr kuke. 
MAT.17.27	 Hojalopa, mohlumi khiilii madopa, yasie siimie ho ingela ngiiyyi akho mi kulohe, ho kapyo japa ka ngiiyyi kubiiniimi lacha lala, ho hiika ngiiyyi ka aguñmi no khoko dokoda ho posa pere kappa kendoke; hiimi labiila mohlumi bito Ngiipa ho nunu pala.
MAT.18.2	Ho himme kone mi mohko gyolii lala, mo hiika himme mi mohluka punko jaho dake nentii, 
MAT.18.3	 ho lutii, Jijeloda, Ngo nunumi lukoso, nii dahepa nunu hengu la siika himme chitañpa lyitema, nunu pema dariiganda ka raddeganda ho ahla kemake. 
MAT.18.4	Hujalopa siika himme chitañ yanu talyi, hii dariiganda ka raddeganda ho kayeja. 
MAT.18.5	 Hujalopa si chitañ himme mi karii talyi ngiika armyañ pa hii ngiimi ke karii donii;
MAT.18.7	Aya hiila hembido dohadolo mi ingyamiigya dopaka tenkalarka niimi! Niimpalukoda tenkalarka ahniiñ ahkiñdo, hojalo aiya la hembido huko hokiina tenkalarka hii ahdonii! 
MAT.18.8	 Ho niika alah malo niika alih matiirḛ niimi ingyamiigya dopa miigii domilo, hiimi papa siito ho hiimi ripato; alih alah buhe giima paka sango kappa nii niipa aya lyakiñ doke alah bunye malo alih bunye giito laka lyangu lama nii yamuganda hoka jolii kosa niimi. 
MAT.18.9	 Ho niika amee matiirḛ niimi ingyamiigya giido milo, hiimi harpa lila la ho hiimi ripato; amee puhe giima paka sango kappa niisi niipa aya lyakiñ doke amee punye giito laka yamuganda hoka jopa loko saniiñmi.
MAT.18.11	Niimpalukoda Miyu ka Oho lyunii mi lyangur dupake ahtiinii. 
MAT.18.13	Ho hiimi matiirḛ mebii doku koda, jijeloda, Ngo nunumi lukoso, mo hiika dore pa ano hempyo kendo lyuma nii kowakhangela dorkowahemi hentola. 
MAT.18.14	Hopa siikasi ngiika dariiganda daka Aba ka henju ke sokii donyo dore tiirḛ lyuma dokoda hiila.
MAT.18.16	Hojalo mo matiirḛ niika luniiñ tama koda, kone jalo malo anye jalo niika agiñho ingiito, niimpalukoda aguñ gonge abi goliñ niimi talya niipa anye jalo malo hingejalo. 
MAT.18.17	Mo matiirḛ mohluka luniiñmi tama lyimilo, hiimi gyoliñkonii mi lukoto; ho gyoliñkonii ka luniiñ mitrḛ mo talii tama lulyi milo, mohmi no Midomiyu malo biijokajo myaniipa henda siito ku.
MAT.18.19	 Hiira ngo nunumi lukoso, niinyi anye matiirḛ kiiddiapiñ so talii siila niijalo niinyi kuchi, hiimi niinyipa miibi kendo ngiika dariiganda daka Aba. 
MAT.18.20	Niimpalukoda noh anye malo hinge ngiika armyañ pa dachi, ho Ngo mohluka punkoho dadu.
MAT.18.22	Jisu mohmi lutii, Ngo niimi rongkanuhe hiila lumake, hojalo rongkanuhe adi kanukhange.
MAT.18.24	Mohka khiiri bulyi ho, mohko kone ahgii bitii huna mohkokii pagi jarlyañhe talents
MAT.18.25	 ho mo bila kuma tola, mohka attoh mohmi pyunge hiila lubiido, mohka mihie oho atañ miilañmi ho hikha mohkoka donii miilañmi, ho ngentoku. 
MAT.18.26	 Hopa miira hii mohka liibañ khangala, mohmi lyartii, Attoh, ngiimi ichuche kalyape, ho ngo niimi hikha ngensu talyi kuke. 
MAT.18.27	Ho mohmi arrola hiika miira ka attoh hii mohmi apabitii ho mohka gyandi mi hello bitii. 
MAT.18.28	Hojalo hiika miira hii, mo ago limbii kula, mohka miira ahiñ ko ahtii huna mohkokii lange denarii
MAT.18.29	Hopa mohka miira dahiñ giihila ho mohmi lyarbiido, Ngiimi iche kalyape, ho ngo niimi ngensu talyi kuke. 
MAT.18.30	Mo ma lubiido ho intiiku ho mohmi pattiih ude ho aliitii nii dahepa mo gyandi mi tupya matii. 
MAT.18.31	Mohka miira dahiñ niihna lyitiinii hiimi kappa lala, mohlu hempḛr henga henkhatii, ho mohlu ila ho hikha lyiniiñmi mohluka attoh mi luko biido. 
MAT.18.32	Ho mohka attoh mohmi gyola lala ho mohmi lutii, No diimmah miira! Ngo niimi hikha pagi mi hello bihañ hangkele niika lyarko hopa; 
MAT.18.33	ho no tiirḛ niika miira dahiñ ahiñ mi aroh bikiñma, niihtañpa ngo niimi arohtii? 
MAT.18.34	Ho hadiila mohka attoh mohmi pattiih bonii bomi nembitii, nii dahepa mohka hikha gyandi mi tupyatama. 
MAT.18.35	Hopa hiichulipa ngiika dariiganda daka Aba tiirḛ nunu kone abimi miikiñdo, nunu matiirḛ nunuka anubarmii mi nunuka ahha lo hello makoda.
MAT.19.2	ho hempḛr miyu taro mohmi imbo montii, ho mo mohlumi hiiko miipya bitii.
MAT.19.3	Ho Parisi atañ mohko ahtii ho mohmi tenkatii takabiidola, “Atoh ka mihie mi byasu lakiñ dopeha hang lugo konepa?” 
MAT.19.4	Mo lusitii, “Nunu rika matopo huna lotuho mo anye mi putiinii mo anye mi milo bola nyimii pa putii hiila, 
MAT.19.5	ho lutii, ‘Hopa milobo mohka annii-aba mi apatela mohka mihie agiñho dubo kendo, ho anye hii apo konepa lyikiñdo hiila’? 
MAT.19.6	Hopa mo anye, anye kumake hojalo apo koneku. Niihmina Pinii pudiñ bitiinii, hiimi miyu diipelupe bilyalyo.” 
MAT.19.7	 Mohlu mohmi lutii, Hokoda niimpa Mose lutii byasu tiiku hiila paniiñpota bila lala, ho mohmi apatolya hiila? 
MAT.19.8	Mo mohlumi lutii, Niimpalukoda nunuka ahha alḛr kopa Mose nunumi atoh mihie mi byasu dopa lutii, hojalo lotuho si hiila nyimane. 
MAT.19.9	 Ho Ngo nunumi lukoso: hujalopa atoh mihie mi byasu talyi, ipfyo niimi kontii apalala, ho koneya mihie lahchi, hii ipfyo dokuke.
MAT.19.10	Henjeajiñ atañ mohmi lutii, “Milo boka lugo matiirḛ sitañ koda mohka mihie agiñho, mihie millo lasu maniilya aya yamasa?” 
MAT.19.11	 Hojalo mo mohlumi lutii, “Hikha miyuatañ siika luniiñ siimi talii lakiñ make, hojalo hutii mina siimi bitiinii hiipa siike. 
MAT.19.12	Niimpalukoda tange bulyi hokiija nyimlo pa bukotii, ho nyimlo tange mi miyuatañ nyimlo pa miitii, ho nyimlo tange atoh atoh nyimlo pa miisutii dariiganda ka raddeganda ka piigopa. Huna simi talii ladonii, hiimi talii kiineto siimi.
MAT.19.14	hojalo Jisu lutii, “Himme atañmi ngiiko ahke nento, ho mohlumi lutiñyo; niimpalukoda dariiganda ka raddeganda hii mo lutañ payake.” 
MAT.19.15	Ho mo mohka alah mi mohlumi tenka tekula ho intiiku.
MAT.19.17	Ho mo mohmi lutii, “Niimpa no ngiimi takadu niihna aya hiila? So kone aya hiila dopeha. No matiirḛ sango kappa nando koda, lujubiniiñ mi taliito.” 
MAT.19.18	Mo mohmi lutii, “Nii bomi?” Ho Jisu lutii, No melyayo, no ipfyo lyayo, no diipyo lyayo, no amuhpa haki dulyayo, 
MAT.19.19	Niika aba la annii nyimi khiitolya, ho, no niika ariapii mi atoh mika henchañho hentolya. 
MAT.19.20	Hiika yapa atu mohmi lutii, “Hikha siika atañmi ngo miitii; niihpe ngo miigo tiinii?” 
MAT.19.21	 Jisu mohmi lutii, “No matiirḛ digoabiaya nando koda, inge, pyunge niihna niiko donii ho arro atu atañmi binge, ho niikii dariiganda ho alḛrdrih dokiñ doke; ho ahto, ngiimi imbo monto.” 
MAT.19.22	Yapa atu siimi tapa lala mo heru biidola intiiku; niimpalukoda mohkii abuje ganda nencha dotii.
MAT.19.24	Hiira ngo lukoso, uth ka pasu ubu hoka pabonii ya papyo boya kendo mingo miyu ka Pinii ka raddeganda hoka ahniiñmi hentola.” 
MAT.19.25	Siimi henjeajiñ atañ tapa lala mohlu hempḛr hemurtii, lubiidola, Hu hokoda lyangur kola kendo? 
MAT.19.26	Hojalo Jisu mohlumi kadi lala ho mohlumi lutii, “miyu pakoda si miila kema, hojalo Pinii pakoda kapane drih mi miila kendoke.” 
MAT.19.27	 Ho Pitar lusila lutii, “Kato, ngunu kapanemi apateku ho niimi imbomondu. Niihpe hokoda ngunupa donii?” 
MAT.19.28	 Jisu mohlumi lutii, Jijeloda, Ngo nunumi lukoso, niti dohadolo so, niida miyu ka Oho mohka akhoja radde dukoho duchiku, nunu hutiina ngiimi imbo mondonii hiitḛr alyañlenye radde dukoho dukiñ doke, Isrel ka halu alyañlenye mi sangii gyagiila. 
MAT.19.29	Ho kone abi huna ude malo anuabañ malo barmii malo aba malo annii malo himme malo ganda nencha, ngiika armyañ kiipa apatiinii, hii lange abuyapa pasi kendo, ho santḛrlamanii sango mi kappa kendota. 
MAT.19.30	 Hojalo abuje kapyo hii kami kendo, ho kami hii kapyo kendo.
MAT.20.2	Ajho innii atañ loheka denarii
MAT.20.3	Ho gunta takkowa ho ago linkele mo biijḛr lengo ho enne pa dapasiila tange kappatii; 
MAT.20.4	ho mohlumi mo lutii, Nunu tiirḛ robalu ho inge, ho kalii biidola ngo nunumi bisu talyike. Hopa mohlu intii. 
MAT.20.5	Hiira gunta talyañ lenyeho ago lintii ho alyiñdalyi ka gunta tahiñ ho, mo hiika muju jaho miitii. 
MAT.20.6	Ho mo alyiñdalyi ka gunta tango kupa miila dola mo agoho lintii ho miyutange dapa kappatii; ho mo mohlumi lutii, Niimpa nunu so assuale hang miimapa lotejeda? 
MAT.20.7	Mohlu mohmi lutii, Niimpalukoda ngunumi kone tiirḛ ajhoma. Mo mohlumi lutii, Nunu tiirḛ robalu ho inge. 
MAT.20.8	Ho alyiñdalyi kukele, robalu ka atoh mohkiimi ka kalya bomi lutii, Ajho innii atañmi gyokuñ lala mohluka injomi bitoku. Kami jahokii biribiila, kapyo lohepa. 
MAT.20.9	Ho hiika gunta tangonii myodu hoka ajho koniibo ahkele, kone abimi denarii bitii. 
MAT.20.10	Siisi ajho jotu japa ka jokonii ahtii, mohlu hentii mohlumi abu yapa bilyi do hiila; hojalo mohlumi tiirḛ denarii sii bisu tiinii. 
MAT.20.11	Ho hiila bihañ kiile mohlu ude atoh mi budubude lutii, 
MAT.20.12	lubiidola, Siika kami japaka ahniiñsi gunta tahesii lyisu nenii, ho no ngunu mila mohmi ahiñpa khiila ngunu hutiina loteje miikiñdo hembiidola ho danyi bengko biidola miitiinii. 
MAT.20.13	 Hojalo mo lusitii mohluka punko hoka konemi, Ajiñsi, Ngo nunumi aya mapa miimasii; nunu ngiimi denarii pa talii matoha ehna? 
MAT.20.14	Labiihe niika injomi, ho ingeku; Ngo siika kamijami tiirḛ bichi hiila hentiiku nunumi ngo ne bichi. 
MAT.20.15	 Ngo nii miichi hiila hentii hiimi nunu ngiimi miike nente ma ha niihna ngiiko donii? Malo nunu ngiika hela laka biniiñmi kariñ dopo? 
MAT.20.16	 Hopa kamihii kapyo kendo, ho kapyohii kami kendo.
MAT.20.18	“Kato, ngunu Jerusalem ho chalyi; ho miyu ka Oho mi nyibu burii la pagenii atañmi nembi kendo, ho mohlu mohmi mendopa halii kendo, 
MAT.20.19	ho Midomiyu atañmi nembi kendo nyapa kiinedupa ho hike nendupa ho pogyañ ho leda kiine dupa, ho mo allo lohiñ niika hiiba ho turi kendoku.”
MAT.20.21	 Ho Jisu mohmi lutii, “No nii anna do?” Mo Jisu mi lutii, “Hiila lutope siika ngiika wiinga anye mi, konemi niika lahbi dalyiho kone mi niika lahchi dalyiho piijoda dudopa, niika raddeganda ho.” 
MAT.20.22	 Hojalo Jisu lusitii, “No chinsu make no niihna kudonii hiila. Nunu tambo lakiñ dopeha Ngiika tango taniiñ mi?” Mohlu Jisu mi lutii, “Ngunu tambo lakiñdo.” 
MAT.20.23	 Jisu mohlumi lutii, “Nunu ngiika tango mi tala kendo, hojalo ngiika lahbi dalyiho ngiika lahchi dalyi hoka dusa niimi ngo lula kema, hojalo hiikahii hiipasii dokiñ donii hupana ngiika Aba miimyo bitiinii.” 
MAT.20.24	Ho midiñ alyañhe siimi tapa lala, mohlu siika anuabañ anye mi hadiitii. 
MAT.20.25	 Hojalo Jisu miilañrumi mohko gyolii lala ho lutii, “Nunu chindo Midomiyu atañ mika sangiibo mohlumi lumiñ biitola biidu, ho mohluka kaye miyuatañ mohlumi otority ho biitola dudu. 
MAT.20.26	 Si chulipa nunuka punkoho lyikiñmake; hojalo huna nunuka punkoho kaye japa dana donii hii miilañ rumi ihomiiho kendo lodake, 
MAT.20.27	ho hujalopa kapyopa danado nunuka punkoho hii nunuka miirapa lyikiñdo lodake; 
MAT.20.28	 sichuli miyu ka Oho tiirḛ miiho kopa ahmake miiho dupake ahnii, ho mohka sango mi abuje miyu mi tupya naniipa.”
MAT.20.30	Ho kato, michanii anye lembo aruñho dutii, mo anye Jisu impo biila do hiila tapa lala, gyuritii, “Ngiinyi mi arohpe, David ka Oho!” 
MAT.20.31	Miyu atañ mo anye mi gabiido, mo anye mi aduyo lutii; hojalo mo anye goro yapalya gyutii, “Attoh, Ngiinyi mi arohpe, David ka Oho!” 
MAT.20.32	Ho Jisu damo lala mo anye mi gyobiido, lubiidola, Ngiimi niinyipa nii miibi kencho hendu? 
MAT.20.33	Mo anye mohmi lutii, “Attoh, ngiinyi ka amee mi kappa kiine kupe.” 
MAT.20.34	Ho Jisu aroh biidola mo anye ka amee mi tenetii, ho ohepada mo anye kappa datiiku ho mohmi imbo montii.
MAT.21.2	mohlumi lubiido, “Niinyi ka pache dalyi daka lemba ho ahnge, ho niinyi gadoh dore rantola kappa kendoke, ho hiika agiñho atu miilañ, hiimi tapya biila so ngiiko boliibii. 
MAT.21.3	Mi matiirḛ niinyi mi hang taka lyimilo, niinyi luko tolya, ‘Attoh siimi anna doke’ ho mo nyibya loda nenkur bikiñ doke.” 
MAT.21.4	Siika lyiniiñsi nyibuhenii ka luniiñmi lyipe kiine dupa lyitii, lubiidola,
MAT.21.5	“Zayon ka nyimii wiinga atañmi lukoto,
MAT.21.5	kato, nunuka radde nunuko ahla doke,
MAT.21.5	yanu, ho gadoh ayoho dula,
MAT.21.5	ho gadoh atu ho, gadoh ka oho.”
MAT.21.6	Henjeajiñ anye ila Jisu ka luniiñ chulipa miitii; 
MAT.21.7	mo anye gadoh la gadoh ka atu mi bolii bitii, ho hiiko mohluka pulye tarii mi pyucha bitii, ho mo hiiko dutii. 
MAT.21.8	Abuya miyu mohluka pulye tarii mi lembo ho pyubitii, ho tange sannii halloh pala lala ho lembo ho hiimi tembitii 
