GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
LEV.22.16	for gør de det, pådrager de sig skyld. Jeg er Herren, som gør dem hellige.”
LEV.22.17	Og Herren sagde til Moses: 
LEV.22.18	„Sig til Aron og hans sønner og hele Israels folk, at hvis en israelit eller en fremmed iblandt jer gerne vil give en gave som et brændoffer til Herren, uanset om det er for at opfylde et løfte, han har givet Herren, eller det er et spontant, frivilligt offer, 
LEV.22.19+LEV.22.20	vil offeret kun blive godkendt af Herren, hvis det er et handyr uden skavanker. Det skal være enten en tyr, en vædder eller en gedebuk.
LEV.22.21	Hvis nogen ønsker at bringe et takoffer fra hornkvæget eller småkvæget som indfrielse af et løfte eller som et frivilligt offer, må dyret for at kunne være et acceptabelt offer ikke have fysiske defekter. 
LEV.22.22	Det må hverken være blindt, skadet eller lemlæstet, og det må ikke have sår eller udslæt eller lide af nogen hudsygdom. 
LEV.22.23	Et stykke hornkvæg eller småkvæg, der er lidt vanskabt, må imidlertid godt bringes som et frivilligt offer, men ikke som et løfteoffer. 
LEV.22.24	Et dyr med beskadigede kønsdele, eller som er blevet kastreret, må under ingen omstændigheder ofres til Herren. Det vil jeg ikke tillade i det land, jeg vil give jer. 
LEV.22.25	I må heller ikke hos de fremmede, der bor iblandt jer, købe og bringe offerdyr med skavanker. Sådanne dyr kan ikke bruges som ofre til jeres Gud.”
LEV.22.26	Herren sagde til Moses: 
LEV.22.27	„Efter at en kalv, et lam eller et kid er født, skal det nyfødte dyr blive hos sin mor i syv dage. Men fra den ottende dag kan det bruges som et offer til Herren. 
LEV.22.28	Afkommet må ikke slagtes samme dag som moderen, hvad enten moderen er en ko, et får eller en ged. 
LEV.22.29+LEV.22.30	Når I ofrer et taknemmelighedsoffer til Herren, skal I gøre det på behørig vis ved at spise offerdyret samme dag, det er slagtet. Intet af kødet må levnes til næste dag. Jeg er Herren.
LEV.22.31	I skal nøje overholde alle mine befalinger, for jeg er Herren. 
LEV.22.32	I må ikke krænke mig ved at være ulydige. I skal vise mig ærefrygt og respekt, for jeg er Herren, der gør jer hellige. 
LEV.22.33	Jeg førte jer ud af Egypten, for at I skulle tilbede mig som jeres Gud. Jeg er Herren!”
LEV.23.1+LEV.23.2	Herren bad Moses give israelitterne følgende instrukser: „Det følgende er mine hellige dage, hvor I skal komme sammen for at holde højtid for mig.
LEV.23.3	Ugens syvende dag skal være en fuldstændig hviledag, hvor I skal samles for at tilbede Herren. I kan udføre jeres arbejde på ugens øvrige seks dage, men sabbatsdagen skal være helliget mig, lige meget hvor I bor.
LEV.23.4	De følgende højtider skal I fejre hvert år på det fastsatte tidspunkt.
LEV.23.5	Påskedagen falder på den 14. dag i den første måned, og påskemåltidet skal fejres efter solnedgang.
LEV.23.6	De usyrnede brøds højtid begynder den 15. dag i den samme måned, og den skal vare i syv dage. Under den fest må I ikke spise brød, der er bagt med surdej. 
LEV.23.7	På festugens første dag skal folket mødes og tilbede mig, og I skal hvile fra alt arbejde. 
LEV.23.8	Det samme skal I gøre på festugens sidste dag, og hver eneste af de syv festdage skal I bringe ildofre til Herren.”
LEV.23.9	Herren fortsatte med at tale til Moses: 
LEV.23.10	„Når I kommer ind i det land, jeg vil give jer, og begynder at høste afgrøde fra jeres marker, skal I hvert år bringe det første neg fra jeres kornhøst til præsten. 
LEV.23.11	Det skal I gøre dagen efter sabbatsdagen,
LEV.23.12	Samme dag skal I ofre et etårs lam uden skavanker som et brændoffer til Herren. 
LEV.23.13	Offeret skal ledsages af et afgrødeoffer på fire liter fint mel rørt op i olivenolie. Det skal være et ildoffer til Herren sammen med et drikoffer bestående af en liter vin. 
LEV.23.14	I må hverken spise friske kerner, brød eller ristet korn fra jeres nye høst, før I har bragt denne gave til Herren. Denne lov skal altid gælde, hvor I end bor.
LEV.23.15	Fra dagen efter denne sabbat, den dag, hvor det første neg blev svunget for Herrens ansigt, skal I så tælle nøjagtig syv uger frem, 
LEV.23.16	indtil I når frem til dagen efter den syvende sabbat. I skal altså tælle 50 dage
LEV.23.17	I skal komme med to brød hjemmefra. Brødene skal bages af fire liter fint mel ved brug af surdej, og de skal svinges foran Herrens alter som en taknemmelighedsgave for høsten. 
LEV.23.18	Foruden dette afgrødeoffer og drikofferet skal I ofre syv etårs lam uden skavanker, en ung tyr og to væddere som et lifligt brændoffer. 
LEV.23.19	Dernæst skal I ofre en gedebuk som syndoffer og to etårs vædderlam som takoffer.
LEV.23.20	Sammen med brødene, som repræsenterer jeres høst, skal præsten svinge disse offergaver foran Herrens alter. De er givet til Herren, men præsterne må spise dem. 
LEV.23.21	Denne dag skal udråbes til en hellig festdag for hele folket. Ingen må arbejde den dag. Dette er en permanent forordning, som skal gælde fra slægt til slægt, hvor I end bor.
LEV.23.22	Når I høster jeres marker, skal I lade noget af kornet langs kanten stå, og de få aks, som høstfolkene overser, skal I lade ligge på marken. Det er til føde for de fattige og fremmede, som ikke selv ejer jord. Jeg er Herren, jeres Gud.”
LEV.23.23	Herren fortsatte med at tale til Moses: 
LEV.23.24	„Den første dag i den syvende måned skal være en hvile- og højtidsdag, en mindedag, som indvarsles med lyden fra et vædderhorn.
LEV.23.25	Ingen må udføre normalt arbejde på den dag, men I skal bringe Herren ildofre.”
LEV.23.26	Herren fortsatte sine instruktioner til Moses: 
LEV.23.27	„Den tiende dag i den syvende måned skal være forsoningsdagen. På den dag skal I faste
LEV.23.28	I må ikke udføre normalt arbejde, for den dag er afsat til at skabe forsoning mellem jer og Herren, jeres Gud. 
LEV.23.29	Enhver, der undlader at faste på den dag, 
LEV.23.30	og enhver, som udfører normalt arbejde på den dag, skal dø. 
LEV.23.31	Dette er en permanent forordning, der skal gælde fra slægt til slægt, hvor I end bor. 
LEV.23.32	Det skal være en fuldkommen hviledag, hvor I skal undlade at spise noget. Forsoningsdagen begynder ved solnedgang den niende og varer til solnedgang næste dag.”
LEV.23.33	Herren fortsatte: 
LEV.23.34	„På den 15. dag i den syvende måned skal I påbegynde løvhyttefesten for Herren, og festen skal vare i syv dage. 
LEV.23.35	På den første dag skal folket samles til højtid, og der må ikke udføres noget arbejde på den dag. 
LEV.23.36	På hver af festens syv dage skal I bringe ildofre til Herren. På den ottende dag skal folket samles igen til højtid og bringe ildofre til Herren. Heller ikke på den dag må der arbejdes.
LEV.23.37	Dette er de hellige fester, hvor folket skal holde højtid og bringe ildofre til Herren, både brændofre og afgrødeofre, madofre og drikofre. 
LEV.23.38	Disse højtider skal fejres ud over de normale sabbatsdage, og de ofre, I bringer ved disse lejligheder, skal være i tilgift til jeres normale gaver og taknemmelighedsofre til Herren.
LEV.23.39	Hvad løvhyttefesten angår, skal den vare i en hel uge. Når høsten er overstået, skal festen påbegyndes på den 15. dag i den syvende måned, og både den første dag og den ottende dag skal være hviledage. 
LEV.23.40	På den første dag skal I komme med de flotteste frugter, palmegrene, løvrige grene og pilegrene, og i syv dage skal I danse og juble for Herren. 
LEV.23.41	Husk, at festen skal være en tilbagevendende begivenhed, som I fejrer år efter år. 
LEV.23.42	I syv dage skal alle indfødte israelitter bo i løvhytter, 
LEV.23.43	for at de kommende generationer kan vide, hvordan det var, da jeg, Herren, jeres Gud, førte jer ud af Egypten og lod jer bo i løvhytter.”
LEV.23.44	Da Herren var færdig med alle disse instruktioner om festerne, gav Moses dem videre til Israels folk.
LEV.24.1	Herren sagde nu til Moses: 
LEV.24.2+LEV.24.3+LEV.24.4	„Giv Israels folk besked om at bringe dig ren olivenolie, så lamperne på guldlysestagen, der står uden for forhænget til det allerhelligste rum, kan blive ved at brænde. Hver morgen og aften skal Aron gøre lamperne i stand og fylde olie på, for at de kan blive ved at brænde for Herrens ansigt fra slægt til slægt.
LEV.24.5+LEV.24.6	Sørg for, at der hver sabbat bliver placeret 12 runde fladbrød i to stabler, seks i hver, på det guldbelagte bord, som står for Herrens ansigt. Brødene skal bages af det fineste hvedemel, og der skal bruges fire liter til hvert. 
LEV.24.7	Oven på hver stabel skal der anbringes en skål med ren røgelse, der skal brænde som et mindeoffer
LEV.24.8	Israelitterne skal bringe deres gaver som en permanent pagtsforpligtelse, så nye brød kan blive lagt frem for Herrens ansigt hver sabbat. 
LEV.24.9	De gamle brød skal tilfalde præsterne, som skal spise dem på et indviet sted, for de er et helligt offer og præsternes retmæssige andel fra ildofferet til alle tider.”
LEV.24.10	En dag skete det, at en ung mand, hvis mor var israelit, og hvis far var egypter, kom i slagsmål med en israelit. 
LEV.24.11	I kampens hede kom den unge mand til at misbruge Herrens navn ved at komme med en forbandelse, og han blev ført til Moses for at få sin dom. Mandens mor hed Shelomit, en datter af Dibri af Dans stamme. 
LEV.24.12	Manden blev varetægtsfængslet, indtil Herren ville vise, hvad der videre skulle ske med ham.
LEV.24.13	Da sagde Herren til Moses: 
LEV.24.14	„I skal føre manden uden for lejren, og de, der hørte ham udsige forbandelsen, skal lægge deres hænder på hans hoved. Derefter skal alle de forsamlede stene ham. 
LEV.24.15+LEV.24.16	Sig til Israels folk, at enhver, der forbander Gud, skal idømmes dødsstraf og stenes af folket. Denne lov gælder for de indfødte israelitter såvel som for de fremmede iblandt jer: Enhver, der udtaler Herrens navn i en forbandelse, er skyldig i blasfemi og skal idømmes dødsstraf.
LEV.24.17	Der skal også være dødsstraf for mord. 
LEV.24.18	Hvis nogen slår et dyr ihjel, som tilhører en anden, skal vedkommende give ejeren et tilsvarende levende dyr. 
LEV.24.19	Hvis man lemlæster en anden, skal man selv lemlæstes tilsvarende: 
LEV.24.20	Brud for brud, øje for øje, tand for tand. Straffen skal svare til den skade, man har forvoldt.
LEV.24.21	Altså: Den, der slår en andens husdyr ihjel, skal erstatte dyret, men den, der slår et andet menneske ihjel, må betale med sit eget liv. 
LEV.24.22	Den samme lov skal gælde for alle indbyggere i landet, hvad enten de er fremmede eller indfødte, for jeg er Herren, jeres Gud.”
LEV.24.23	Moses gav nu disse instruktioner videre til israelitterne, hvorefter de førte den unge mand udenfor lejren og stenede ham. Israelitterne gjorde, som Herren havde befalet.
LEV.25.1	Dengang Moses var på Sinaibjerget, sagde Herren til ham: 
LEV.25.2	„Du skal give Israels folk følgende instruktioner: Når I kommer ind i det land, som jeg vil give jer, skal landet hvert syvende år ligge uopdyrket hen som en sabbatshvile. 
LEV.25.3	I seks år kan I tilså jeres marker, beskære jeres vinstokke og høste jeres afgrøder, 
LEV.25.4	men hvert syvende år skal landet ligge brak. Det er en sabbatshvile for Herren. I det år må I ikke pløje jorden eller tilså jeres marker. I må heller ikke arbejde i jeres vingårde. 
LEV.25.5	Det korn, der vokser på markerne fra resterne af det foregående års afgrøde, og de druer, der alligevel gror på vinrankerne, må I heller ikke indhøste, for i det år skal jorden hvile sig. 
LEV.25.6	Men I må gerne spise de frugter og andet, der gror vildt. Den regel gælder også jeres daglejere og slaver og de fremmede, som bor iblandt jer. 
LEV.25.7	Kvæget og de vilde dyr skal også leve af det, der gror vildt.
LEV.25.8+LEV.25.9+LEV.25.10	Tæl nu syv gange syv år frem. Efter 49 år, når forsoningsdagen er inde, på den 10. dag i den syvende måned, skal der blæses i vædderhorn ud over landet. Hvert syvende sabbatår skal være et jubelår, og i hele landet skal både jorden og daglejerne frigives. Enhver skal sættes fri til at vende tilbage til sin slægt og sit tidligere jordstykke. 
LEV.25.11	I jubelåret må I ikke tilså landet eller høste jeres korn og druer på sædvanlig vis. 
LEV.25.12	Jubelåret skal holdes helligt, men I må gerne spise det, der gror vildt.
LEV.25.13	I det år skal enhver af jer tage sit tidligere jordstykke i besiddelse igen. 
LEV.25.14+LEV.25.15+LEV.25.16	Hvis jorden købes eller sælges i perioden mellem to jubelår, skal I enes om en rimelig pris ved at tælle frem til næste jubelår. Hvis jubelåret ligger langt ude i fremtiden, skal prisen være højere, end hvis jubelåret er nært forestående, for når I sælger jeres jord, er det i virkeligheden jeres årsafgrøder, I sælger til den nye ejer, og afgrøderne fra jorden tilhører så ham indtil næste jubelår. 
LEV.25.17	I skal have ærefrygt for jeres Gud og ikke være urimelige, så I udnytter hinanden, for jeg er Herren.
LEV.25.18	Adlyd mine love, så skal I bo trygt i landet. 
LEV.25.19	Ja, hvis I adlyder mig, skal I opleve en god høst, have rigeligt at spise og have fred i landet. 
LEV.25.20	Nu vil I spørge: ‚Jamen, hvad skal vi spise hvert syvende år, hvis vi ikke må så noget i det år og derfor ingen høst får?’ 
LEV.25.21	Svaret lyder: ‚Det, I sår og høster i det sjette år, vil jeg velsigne så meget, at I har mad nok til tre
LEV.25.22	I skal tilså jeres marker i det ottende år, og det opmagasinerede korn vil vare ved til begyndelsen af det niende år. Når den nye høst kommer, kan I begynde at spise af den.’
LEV.25.23	Landet tilhører jo i virkeligheden mig. Derfor må I ikke sælge noget af jeres jord for bestandig, for I er forpagtere og har kun fået det til låns. 
LEV.25.24	I enhver salgsaftale skal der indgå den klausul, at jorden kan købes tilbage. 
LEV.25.25	Hvis en mand er tvunget til at sælge noget af sin jord, skal det være muligt for de nærmeste slægtninge at købe jorden tilbage. 
LEV.25.26	Men hvis der ingen slægtninge findes, som kan gøre det, og hvis han selv efterhånden får skrabet tilstrækkeligt med penge sammen, 
LEV.25.27	skal han selv have mulighed for at købe jorden tilbage for en pris, der skal fastsættes efter antallet af årsafgrøder, der endnu er tilbage til næste jubelår. Når han har gjort det, kan han flytte tilbage til sin jord. 
LEV.25.28	Men hvis han ikke er i stand til at købe jorden tilbage, skal den være på den nye ejers hænder frem til næste jubelår. Til den tid skal den gives tilbage til den tidligere ejer.
LEV.25.29	Hvis en mand sælger sit hus i en by med mure omkring, har han tilbagekøbsret i op til et år. 
LEV.25.30	Hvis han ikke har købt huset tilbage ved årets udgang, tilfalder det den nye ejer, og i det tilfælde forbliver det den nye ejers ejendom—også efter næste jubelår. 
LEV.25.31	Men huse i bebyggelser uden mure omkring regnes som landejendomme, og for dem gælder de samme regler for tilbagekøb som for landejendomme: Tilbagekøbsretten gælder på ubegrænset tid, og i jubelåret skal en landejendom under alle omstændigheder overdrages til den tidligere ejer.
LEV.25.32	Med hensyn til salg af huse i byerne er der en enkelt undtagelse, der kommer levitterne til gode: Deres huse kan købes tilbage når som helst 
LEV.25.33	og skal under alle omstændigheder gives tilbage i jubelåret. Levitterne får nemlig ikke jord som de øvrige stammer, kun huse i byerne og tilhørende græsmarker til deres kvæg. 
LEV.25.34	De græsmarker må ikke sælges, for de tilhører levitterne for altid.
LEV.25.35	Hvis din landsmand er kommet ud i så store problemer, at han ikke længere kan forsørge sig selv, er du ansvarlig for at hjælpe ham. Du kan støtte ham økonomisk eller lade ham bo hos dig. 
LEV.25.36	Vis ærefrygt for din Gud ved at tilbyde den pågældende mad og logi, og kræv ikke renter af de penge, du låner ham. 
LEV.25.37	Du skal give ham, hvad han har behov for, og ikke drage økonomisk fordel af ham. 
LEV.25.38	For jeg, Herren jeres Gud, førte jer ud af Egyptens land, så I kunne få Kanaʼans land i eje, og jeg kunne være jeres Gud.
LEV.25.39	Hvis din landsmand er blevet nødt til at sælge sin arbejdskraft til dig, må du ikke behandle ham som en slave, 
LEV.25.40	men som en daglejer eller en gæst, og han skal arbejde for dig indtil næste jubelår. 
LEV.25.41	På det tidspunkt står det ham frit for at rejse—og tage sin familie med sig—så han kan vende tilbage til sin slægt og sin tidligere ejendom, 
LEV.25.42	for jeg er den, som førte jer ud af Egypten, og I er mine tjenere! Derfor må I ikke behandle hinanden som almindelige slaver 
LEV.25.43	eller undertrykke hinanden på nogen måde. I skal vise ærefrygt for jeres Gud.
LEV.25.44	Derimod må I gerne opkøbe slaver fra de fremmede folkeslag, som bor omkring jer, 
LEV.25.45	og I må også gerne købe efterkommere af disse fremmede, selv om de er født i landet. 
LEV.25.46	De skal være jeres slaver på livstid, og I kan overdrage dem til jeres børn efter jer. Men jeres israelitiske landsmænd må I ikke undertrykke på nogen måde.
LEV.25.47	Hvis en af de fremmede, som bor iblandt jer, bliver rig, og en af jeres egne landsmænd bliver så fattig, at han er nødsaget til at sælge sig selv som slave til den fremmede eller til en efterkommer af en fremmed, 
LEV.25.48	kan en af hans brødre løskøbe ham, 
LEV.25.49	eller hans farbror, farbroderens søn eller en anden nær slægtning kan gøre det. Endelig kan han løskøbe sig selv, hvis han kan skrabe pengene sammen. 
LEV.25.50	Prisen for hans frihed skal udregnes efter antallet af år frem til næste jubelår og svare til den løn, en daglejer ville få i samme periode. 
LEV.25.51	Jo længere ude i fremtiden, jubelåret ligger, des tættere ligger løsesummen på det beløb, han oprindelig solgte sig selv for, 
LEV.25.52	men hvis jubelåret er nært forestående, bliver løsesummen et lille beløb i forhold til salgssummen. 
LEV.25.53	Hvis han sælger sig til en af de fremmede iblandt jer, skal den fremmede behandle ham, som hans egne landsmænd ville gøre, nemlig som en daglejer. Han må ikke undertrykke ham eller behandle ham som en slave. 
LEV.25.54	Og hvis han stadig ikke er løskøbt, når jubelåret oprinder, skal han og hans familie have deres frihed. 
LEV.25.55	For Israels folk er mine tjenere, og jeg er Herren deres Gud, som førte dem ud af Egypten.
LEV.26.1	I må ikke lave afguder eller tilbede stenstøtter og udskårne billeder i træ eller sten, for jeg er Herren, jeres Gud.
LEV.26.2	I skal overholde loven om sabbatsdagen og vise respekt for min helligdom, for jeg er Herren.
LEV.26.3	Hvis I adlyder mine befalinger og nøje overholder mine love, 
LEV.26.4	vil jeg sende regn til rette tid, så jorden giver gode afgrøder, og træerne bugner med frugt. 
LEV.26.5	Når vinhøsten nærmer sig om efteråret, vil I endnu ikke være færdige med at tærske korn, og når tiden kommer til at så jeres vinterkorn, vil I endnu ikke være færdige med at høste vindruerne. Adlyder I mig, vil jeg give jer rigeligt med mad og love jer tryghed i landet, 
LEV.26.6	for jeg vil give jer fred, og I skal lægge jer til ro uden frygt. Jeg vil jage de vilde dyr bort og sørge for, at landet ikke hærges af krig. 
LEV.26.7	I skal jage jeres fjender på flugt, og I skal forfølge dem og hugge dem ned. 
LEV.26.8	Fem af jer vil være nok til at jage 100 fjender på flugt—og 100 af jer nok til 10.000! Fjenderne skal falde for jeres sværd.
LEV.26.9	Adlyder I mig, vil jeg hjælpe jer og gøre jer til et stort folk, for da vil jeg opfylde mine pagtsløfter til jer. 
LEV.26.10	Jeres høst skal blive så stor, at I må smide den gamle høst ud for at få plads til den nye. 
LEV.26.11	Jeg vil bo midt iblandt jer, og jeg vil ikke lade jer i stikken. 
LEV.26.12	Jeg vil holde til hos jer, og I skal være mit folk, 
LEV.26.13	for jeg er Herren, jeres Gud, som førte jer ud af Egyptens land, så I ikke længere skulle være slaver. Jeg har fjernet slaveåget fra jeres skuldre og givet jer jeres værdighed og selvrespekt tilbage.
LEV.26.14	Men hvis I ikke vil lytte til mig og ikke adlyder mine befalinger, 
LEV.26.15	hvis I bryder min pagt ved at foragte mine love og forskrifter, 
LEV.26.16	så vil jeg give jer hvad I fortjener: Jeg vil straffe jer med sygdom og pest, som skal fylde jer med rædsel og tage livsmodet fra jer. Da er det forgæves, at I tilsår jeres marker, for jeres fjender skal spise afgrøderne. 
LEV.26.17	Jeg vil være imod jer, så jeres fjender vil besejre jer og tage magten fra jer. Da bliver I forvandlet til et frygtsomt folk, der flygter blot ved tanken om fjender.
LEV.26.18	Hvis det ikke hjælper, og I stadig ikke vil adlyde mig, da vil jeg straffe jer syv gange værre for jeres synd. 
LEV.26.19	Jeg vil knække jeres stolthed ved at holde regnen tilbage, så jorden bliver hård som sten, 
LEV.26.20	og uanset hvor hårdt I knokler, er jeres arbejde forgæves: Afgrøderne vokser ikke, og frugttræerne blomstrer ikke.
LEV.26.21	Hvis det ikke hjælper, og I stadig sætter jer op imod mig og nægter at adlyde mig, så vil jeg straffe jer endnu syv gange værre for jeres synd: 
LEV.26.22	Jeg vil sende vilde dyr imod jer, og de skal drive rovdrift på jeres børn og jeres kvæg. Jeg vil tynde ud iblandt jer, så vejene ligger øde hen.
LEV.26.23	Hvis det ikke hjælper, og I stadig står mig imod og ikke vil tage ved lære, 
LEV.26.24	da vil jeg stå jer imod og straffe jer syv gange værre for jeres synd: 
LEV.26.25	Fordi I har brudt min pagt, vil jeg hævne mig på jer ved at sende fjender imod jer. Søger I tilflugt i byerne, vil jeg sende epidemier imod jer, så I bliver nødt til at overgive jer til fjenderne. 
LEV.26.26	Der vil blive en sådan mangel på korn, at ti husstande må deles om det, der kan bages i en enkelt ovn. Brødet vil blive delt ud i småstykker efter vægt, og I vil ikke blive mætte af det.
LEV.26.27	Men hvis det ikke hjælper, og I stadig nægter at adlyde mig, 
LEV.26.28	da vil jeg give min vrede frit løb og straffe jer syv gange værre for jeres synder: 
LEV.26.29	I skal blive tvunget til at spise kødet af jeres egne sønner og døtre! 
LEV.26.30	Jeg vil vælte de statuer og ødelægge de røgelsesaltre, I har bygget rundt omkring på højene for at dyrke jeres afguder. Jeg vil lægge jeres lig i bunker oven på jeres afguders ‚lig’. Ja, jeg vil vende mig bort fra jer i afsky. 
LEV.26.31	Jeg vil lægge jeres byer øde, nedbryde jeres offersteder og nægte at tage imod røgelsesofre. 
LEV.26.32	Og ikke nok med det: Jeg vil lægge hele jeres land øde og lade jeres fjender overtage det, mens de undrende er vidne til den straf, jeg sender over jer.
LEV.26.33	I vil opleve en frygtelige krig, og jeg vil sprede jer blandt fremmede folkeslag. Jeres land skal lægges øde, og jeres byer skal jævnes med jorden. 
LEV.26.34+LEV.26.35	Da skal jorden langt om længe få fred og hvile. Og den skal få godtgjort alle de år, I udpinte den. Den skal ligge brak i den tid, I opholder jer som fanger i fjendens land. I den tid skal jorden opleve fred og ro. Det skal være den sabbatshvile, jeg godtgør den, fordi I udpinte den ved at overtræde budet om sabbatåret.
LEV.26.36+LEV.26.37	Og de af jer, som overlever krigen, skal pines af frygt og bekymring i landflygtigheden. Selv lyden af et blad, der hvirvles af sted for vinden, skal få jer til at fare sammen og flygte, som var der en hær i hælene på jer. I skal falde over jeres egne ben og snuble over hinanden i vild forvirring, selv om der ikke er nogen, som forfølger jer. I kan ikke klare jer mod jeres fjender. 
LEV.26.38	I vil dø blandt fremmede folkeslag og blive begravet i fremmed jord. 
LEV.26.39	Den sidste rest af overlevende skal sygne hen i fortvivlelse i fjendeland som følge af deres egen og deres forfædres ulydighed.
LEV.26.40	Til sidst vil de så angre deres egen og deres forfædres oprør og utroskab imod mig. De vil erkende, at fordi de først vendte ryggen til mig, 
LEV.26.41	måtte jeg vende ryggen til dem. Det var grunden til, at jeg førte dem i eksil i fjendeland. Når deres stolte, uomskårne hjerter til sidst ydmyger sig, og de accepterer den straf, jeg måtte sende over dem som følge af deres ulydighed, 
LEV.26.42	da vil jeg mindes mine løfter til Abraham, Isak og Jakob, og jeg vil føre dem tilbage til det land, jeg lovede dem. 
LEV.26.43	Men i mellemtiden skal landet opleve fred og hvile, for jeg godtgør landet de tabte sabbatter, mens folket i eksil må afsone straffen for at have forkastet mine love og forskrifter. 
LEV.26.44	På trods af det onde, de har gjort, vil jeg dog ikke forkaste dem fuldstændigt og udrydde dem helt, for derved ville jeg helt annullere min pagt med dem. Jeg er stadig Herren, deres Gud. 
LEV.26.45	For at redde den sidste rest vil jeg opfylde mine løfter til forfædrene om at være deres Gud. Jeg førte jo deres forfædre ud af Egypten og ind i landet for øjnene af mange folkeslag. Jeg er Herren.”
LEV.26.46	Det var alle de love, forskrifter og anvisninger, som Herren gav Israels folk gennem Moses på Sinaibjerget.
LEV.27.1	Herren sagde til Moses: 
LEV.27.2	„Sig til Israels folk, at hvis et menneske er blevet givet eller giver sig selv til Herrens tjeneste som følge af et særligt løfte, kan dette menneske købes fri mod følgende betaling: 
LEV.27.3	50 shekel for en mand mellem 20 og 60 år, 
LEV.27.4	30 shekel for en kvinde, 
LEV.27.5	20 shekel for en dreng mellem 5 og 20 år, 10 shekel for en pige, 
LEV.27.6	fem shekel for en dreng mellem en måned og fem år, tre shekel for en pige, 
LEV.27.7	15 shekel for en mand over 60 år; og ti shekel for en kvinde over 60 år. 
LEV.27.8	Men hvis den, der aflagde løftet, ikke har råd til at betale det forlangte beløb, skal han føre personen til præsten, og præsten skal vurdere, hvor meget den pågældende kan betale.
LEV.27.9	Har man lovet Herren et af de dyr, der kan anvendes som offerdyr, kan det ikke købes fri. Når det først er lovet til Herren, er det blevet hans ejendom. 
LEV.27.10	Når løftet skal indfries, kan man ikke bytte det lovede dyr med et andet, hvad enten det er et ringere eller et bedre dyr. Kommer man med et andet dyr end det lovede, skal begge dyr tilfalde Herren.
LEV.27.11	Har man lovet Herren et af de dyr, der ikke kan anvendes som offerdyr, skal man føre dyret til præsten, 
LEV.27.12	så han kan vurdere dets pris, og den vurdering kan ikke ankes. 
LEV.27.13	Ønsker giveren nu at løskøbe dyret, kan han gøre det ved at betale vurderingssummen plus 20 procent.
LEV.27.14	Har nogen lovet at give sit hus til Herren, skal præsten vurdere husets værdi, og den vurdering kan ikke ankes. 
LEV.27.15	Hvis giveren ønsker at tilbagekøbe huset, skal han betale vurderingssummen med et tillæg på 20 procent.
LEV.27.16	Har nogen lovet at give et stykke af sin slægtsjord til Herren, skal jordens pris vurderes efter, hvor meget såsæd, der skal bruges til at tilså jordstykket med byg, 50 shekel pr. tønde
LEV.27.17	Dette beløb skal gælde, hvis jorden bliver givet i et jubelår. 
LEV.27.18	Men sker det efter et jubelår, skal vurderingssummen udregnes i forhold til antallet af de årsafgrøder, der er tilbage indtil næste jubelår, så beløbet bliver reduceret. 
LEV.27.19	Ønsker giveren senere at tilbagekøbe sit jordstykke, skal han betale vurderingssummen med et tillæg på 20 procent. 
LEV.27.20	Men hvis han ikke køber jorden tilbage inden jubelåret, eller hvis præsten allerede har solgt den videre, kan jorden ikke senere købes tilbage af den oprindelige ejer. 
LEV.27.21	Når jubelåret kommer, og jordstykket gives fri, skal den tilhøre Herren og overdrages til præsternes brug.
LEV.27.22	Hvis nogen har købt et stykke jord, som ikke er hans egen slægtsjord, og ønsker at give jorden til Herren, 
LEV.27.23	skal præsten vurdere jordens værdi efter, hvor lang tid der er til jubelåret. Giveren skal så i stedet for jorden straks betale et beløb svarende til præstens vurderingssum. 
LEV.27.24	Når jubelåret kommer, skal jorden overdrages den oprindelige ejer, som i sin tid solgte den. 
LEV.27.25	En shekel sølv skal vejes efter den standardvægt, der bruges i helligdommen.
LEV.27.26	Ingen kan give den førstefødte kalv eller det førstefødte lam eller kid til Herren, for det førstefødte tilhører i forvejen Herren. 
LEV.27.27	Men hvis det førstefødte dyr er af den slags, der ikke kan bruges som offerdyr, skal ejeren betale præsten vurderingsprisen med et tillæg på 20 procent, og hvis ejeren ikke vil løskøbe dyret, skal præsten sælge det til en anden for vurderingssummen. 
LEV.27.28	Men alt, som betingelsesløst er helliget Herren, hvad enten det drejer sig om mennesker, dyr eller arvet jord, kan ikke købes tilbage eller sælges, for det er helligt og tilhører Herren ubetinget. 
LEV.27.29	Hvis et menneske er skyldig til døden, kan det ikke købes fri mod at betale en løsesum. Det menneske skal dø.
LEV.27.30	En tiendedel af landets korn- og frugthøst er helliget Herren og tilhører ham. 
LEV.27.31	Hvis nogen ønsker at betale med rede penge i stedet, skal han betale vurderingssummen med et tillæg på 20 procent. 
LEV.27.32	Også hver tiende af jeres hornkvæg og småkvæg skal gives til Herren. 
LEV.27.33	I må ikke skele til om dyrene er gode eller dårlige, når I betaler jeres tiende til Herren. Et lovet dyr kan ikke senere ombyttes med et andet. Kommer nogen med et andet dyr, skal begge dyr tilfalde Herren, og de kan ikke købes fri med penge.”
LEV.27.34	Det var, mens Moses opholdt sig på Sinaibjerget, at Herren gav ham alle de her love, som skulle gives videre til Israels folk.
NUM.1.1	På den første dag i den anden måned
NUM.1.1	Herren sagde: 
