GEN.1.1	Sa kauna-unahan, gingtuga it Dios kag langit ag duta. 
EXO.6.18	Kag pangruhang anak ni Levi ay si Kohat, ag kag ida mga anak nak kayake ay sina Amram, Izar, Hebron ag Uziel. Kag haba it kabuhi ni Kohat ay usang gatos ag trentay-tres (133) nak tuig.
EXO.6.19	Kag pangtatlong anak ni Levi ay si Merari, ag kag ida mga anak nak kayake ay sina Mali ag Musi.
EXO.6.19	Kumporme sa mga listahan, kali kag tatlong anak ni Levi ag rili sa tatlong anak, kang Kohat gihalin kag lahi nina Aaron ag Moises.
EXO.6.20	Kag panganay nak apo ni Levi kang Kohat ay si Amram, nak gingpangasawa kag hali it ida tatay nak si Jocabed, ag kag inra mga anak nak kayake ay sina Aaron ag Moises. Kag haba it kabuhi ni Amram ay usang gatos ag trentay-syeteng (137) tuig.
EXO.6.21	Kag pangruhang apo ni Levi kang Kohat ay si Izar, ag kag ida mga anak nak kayake ay sina Core, Nepeg ag Zikri.
EXO.6.22	Kag pang-ap-at nak apo ni Levi kang Kohat ay si Uziel, ag kag ida mga anak nak kayake ay sina Misael, Elsapan ag Sitri.
EXO.6.23	Si Aaron ay panganay nak apo ni Kohat kang Amram. Gingpangasawa ni Aaron si Eliseba nak hali ni Nason, nak mga anak ni Aminadab. Ag kag inra mga anak nak kayake ay sina Nadab, Abihu, Eleazar ag Itamar.
EXO.6.24	Si Core ay panganay nak apo ni Kohat kang Izar. Kag mga anak nak kayake ni Core ay sina Asir, Elcana ag Abiasap. Kali sinra kag mga inghalinan it lahi nak Corenhon.
EXO.6.25	Si Eleazar nak pangruhang anak ni Aaron ay nagpangasawa it usa sa mga rayagang anak ni Putiel, ag kag inra anak nak kayake ay si Pines.
EXO.6.25	Imaw kali kag listahan it mga pinuno it mga pamilya ni Levi, kumporme sa inra mga inanak.
EXO.6.26	Ngani, imaw kali kag inghalinan nina Aaron ag Moises nak gingsugo it GINO-O sa pagsiling, “Haw-asa kag mga Israelinhon sa bansa it Ehipto kumporme sa inra mga grupo.” 
EXO.6.27	Kaling si Moises ag si Aaron ay imaw kag nagbisaya kang Paraon nak hari it Ehipto tungor sa paghaw-as sa mga Israelinhon.
EXO.6.28	It katong gingbisayahan it GINO-O si Moises sa lugar it Ehipto, 
EXO.6.29	nagsiling Sida rili, “Ako kag GINO-O. Silinggan kang Paraon, nak hari it Ehipto, kag tanan nak Ako gingbisaya sa imo.”
EXO.6.30	Ugaling nagrason si Moises sa GINO-O, “Ayam nimo GINO-O nak ako ay nauuta magbisaya, pauno mapati si Paraon sa ako?”
EXO.7.1	Nagsiling kag GINO-O kang Moises, “Muyati, ginghimo ka Nako nak nupay dios sa atubangan ni Paraon. Ag si Aaron nak imo maguyáng kag imo magiging propeta. 
EXO.7.2	Imo isiling kag tanang Ako gingbisaya sa imo, ag si Aaron nak imo maguyáng ay imaw it masiling kang Paraon nak paliwason kag mga Israelinhon halin sa ida bansa. 
EXO.7.3	Pero Ako apatugason kag tagipusuon ni Paraon, kada aber mahimo Ako it maramong milagro bilang pamatuor it Ako gahom raha sa Ehipto, 
EXO.7.4	ay indi gihapon sida magpati sa inro. Pagkatapos, Ako iparaya kag mabug-at nak parusa it Ako damot sa mga Ehiptohanon ag matugpa sa inra kag Ako rakong mga paghusgar. Bag-o Ako iliwas kag Ako mga katawuhan nak Israelinhon nak sunor-sunor kumporme sa inra mga grupo. 
EXO.7.5	Maaayaman it mga Ehiptohanon nak Ako kag GINO-O, pag Akoey naipatagam sa inra kag Ako parusa ag Akoey naraya kag mga Israelinhon paliwas it Ehipto.”
EXO.7.6	Ingtuman matuor nina Moises ag Aaron kag gingsugo sa inra it GINO-O. 
EXO.7.7	Tong panahon nak nagbisaya sinra kang Paraon, si Moises ay otsenta't (80) edad, ag si Aaron ay otsentay-tres (83).
EXO.7.8	Nagsiling pa kag GINO-O kana Moises ag Aaron, 
EXO.7.9	“Moises, pag magsiling sa inro si Paraon nak, ‘Pamatuuri kag inro sarili nak kamo talaga ay ingsugo it inro DIOS. Hala baga, himo it milagro!’ Silingga si Aaron nak, ‘Gamiton kinang imo bakulo. Itsahan kina sa atubangan ni Paraon ag kina ay magiging sawa.’ ”
EXO.7.10	Kada, nagpagto sina Moises ag Aaron kang Paraon ag inra ingtuman kag tanang gingsugo it GINO-O. Ging-itsa ni Aaron kag ida bakulo sa atubangan nina Paraon ag ida mga opisyales, ag kali ay naging sawa. 
EXO.7.11	Pagkatapos it kali, gingpatawag ni Paraon kag mga maayam nak mga tawo ag mga amulitan sa irayom it ida sinakupan. Ag nagpatuyar ra sinra sa inghimo ni Aaron parayan sa inra paglimot. 
EXO.7.12	Bawat usa ay nag-itsa it inra bakulo, ag kali ra ay nagiging sawa. Pero gingtulon kali tanan it sawa nak halin sa bakulo ni Aaron. 
EXO.7.13	Ugaling sa yudo it kali, kag tagipusuon ni Paraon ay nagmatugas ag waya sida gipati sa inra, tuyar sa gingpauna nak bisaya it GINO-O.
EXO.7.14	Ngasing nagsiling kag GINO-O kang Moises, “Talagang indi matiog-tiog kag tagipusuon ni Paraon, waya nida gisugti kag Ako mga katawuhan nak maghalin. 
EXO.7.15	Insulip sa aga atabuon nimo si Paraon sa ida pagpagto sa suba. Ray-a kag imo bakulo nak naging sawa ag bantaye sida ruto sa habig it Suba it Nilo. 
EXO.7.16	Ag kali kag imo ibisaya sa ida, ‘Kag GINO-O nak Dios it mga Hebreo ay nagsugo sa ako nak isiling sa imo kali, “Sugti kag Ako mga katawuhan nak magpanaw agor madayaw sinra sa Ako ruto sa disyerto. Pero hasta ngasing waya pa nimo nasunra.” ’ ”
EXO.7.17	Kada siling it GINO-O, “Parayan dili sa Ako ahimuon, imo masasaduran nak Ako kag GINO-O. Bantaye! Dahil ako asikwilon it kaling ako hudot nak bakulo kaling tubi dili sa Suba it Nilo, ag kali ay magiging rugo. 
EXO.7.18	Ngani, kag mga isra rili ay magkakamatay, ag kag tubi ay mayang-og, kada waya't maiinom nak tubi kag mga Ehiptohanon halin dili sa Suba it Nilo.”
EXO.7.19	Siling pa it GINO-O kang Moises, “Silingga si Aaron nak, ‘Bay-a kag imo bakulo ag itudlo sa tanang lugar nak inggwa it tubi rili sa Ehipto, sa mga suba, sa mga kanal, sa mga tubog ag sa tanang mga deposito it tubi.’ Ag kag tubi raha ra ay magiging rugo. Kag makikita sa tanang lugar sa sakop it Ehipto ay rugo, aber sa inra mga batya ag gining.”
EXO.7.20	Ingtuman matuor nina Moises ag Aaron kag gingsugo it GINO-O. Sa atubangan ni Paraon ag sa ida mga opisyales ay gingtaas ni Aaron kag ida bakulo ag gingbakoy sa tubi nak asa Suba it Nilo, ag kag tanang tubi ruto ay naging rugo. 
EXO.7.21	Kag mga isra sa suba ay nagkamatay ag kag suba ay nagbaho, kada kag mga Ehiptohanon ay indi kainom it tubi halin ruto. Ag sa bug-os nak Ehipto matuor ay nakikita kag rugo.
EXO.7.22	Pero kag mga amulitan nak tawo it Ehipto ay naghimo ra it tuyar kali parayan sa inra paglimot. Kada kag tagipusuon ni Paraon ay nagmatugas pa gihapon ag waya sida gipati sa inra, kumporme sa gingbisaya it GINO-O, 
EXO.7.23	kundi gingtalikuran yang sinra ag nagbalik sida sa palasyo nak pay waya't natabo. 
EXO.7.24	Myentras kag tanang mga Ehiptohanon ay nagkutkot it mga bal-ong sa habig it Suba it Nilo agor inggwa sinra it maiinom, dahil indi nak gador ninra mainom katong tubi.
EXO.7.25	Pitong adlaw kag nakalipas pagkatapos nak inghimo matuor it GINO-O nak rugo kag tubi sa Suba it Nilo.
EXO.8.1	Masunor, nagsiling ray kag GINO-O kang Moises, “Pagtu-e si Paraon ag silinggan nak, ‘Gingpapasiling it GINO-O nak, sugti nganat kag Ako mga katawuhan nak magpanaw agor madayaw sinra sa Ako. 
EXO.8.2	Pag indi nimo sinra gisugtan, Ako abut-on nak kag imo bug-os nak bansa ay mapupuno it mga paka. 
EXO.8.3	Indi mabilang-bilang nak mga paka kag matakas halin sa Suba it Nilo. Kali ay masuyor sa imo palasyo, imo kwarto, imo katri, sa mga bayay it imo mga opisyales ag sa tanang imo mga sinakupan. Masuyor ra sinra aber sa inro pugon ag sa inro mga hurnuhan nak kung hariin ingpapaalsa ninro kag tinapay. 
EXO.8.4	Mayinukso kali sa imo, sa imo mga opisyales ag sa imo tanang sinakupan.’ ”
EXO.8.5	Nagsiling pa kag GINO-O kang Moises, “Silinggan kang Aaron, ‘Gamita kinang imo hudot nak bakulo, ag itudlo sa mga suba, mga kanal, ag mga tubog, ag patakason kag mga paka sa Ehipto!’ ”
EXO.8.6	Kada, gingtudlo matuor ni Aaron kag ida bakulo sa mga katubian nak asa Ehipto, ag nagtinakas kag mga paka ag nagpangkalat sa duta. 
EXO.8.7	Pero kag mga amulitan nak tawo it Ehipto ay nagpatuyar ra parayan sa inra paglimot. Nagpatakas sinra it mga paka ruto sa duta it Ehipto.
EXO.8.8	Masunor, gingpatawag ni Paraon sina Moises ag Aaron, ag nagsiling, “Pangamuyo kamo sa GINO-O nak Ida bay-on kaling mga paka sa ako ag sa ako mga tawong sinakupan, ag ako asugtan kag inro mga katawuhan nak magpanaw agor sinra ay mag-ihaw it hadop nak inughalar sa Ida.”
EXO.8.9	Siling ni Moises kang Paraon, “Haring Paraon, kasadyahan nako nak maayaman kung sauno nimo gustong magpangamuyo ako para sa imo, para sa imo mga opisyales ag para sa imo mga sinakupan, nak mawagit kag mga paka sa imo ag sa mga bayay it imo sinakupan. Ag kag mabibilin nak mga paka ay sa suba yang.”
EXO.8.10	Sabat ni Paraon, “Insulip yangey.”
EXO.8.10	Siling ni Moises, “Matutuman kina kumporme sa imo gingbisaya, agor imo maaayaman nak waya't ibang tuyar sa GINO-O nak ato Dios. 
EXO.8.11	Kag mga paka ay mahalin sa imo ag sa inro mga bayay, sa imo mga opisyales ag sa imo mga sinakupan. Kag mabibilin yangey ay tong ruto sa Suba it Nilo.”
EXO.8.12	Pagkahalin nina Moises ag Aaron sa atubangan ni Paraon ay nagpangamuyo si Moises sa GINO-O nak bay-on kag mga paka nak Ida gingpatakas ruto. 
EXO.8.13	Gingtuman matuor it GINO-O kag ginghagar sa ida ni Moises. Nagkamatay kag mga paka sa suyor it mga bayay, sa mga rayaag ag sa mga bukir. 
EXO.8.14	Gingtipon kali it mga Ehiptohanon sa mga maragkong tumpok ag kag bug-os nak lugar ay abang baho. 
EXO.8.15	Pero tong nakita ni Paraon nak maado ray kag inra kahimtangan, pinatugas ray nida kag ida tagipusuon ag waya gipati kana Moises, tuyar sa gingpauna nak bisaya it GINO-O.
EXO.8.16	Pagkatapos, nagsugo ray kag GINO-O kang Moises, “Silingga si Aaron nak abakuyon kag raga it kinang ida hudot nak bakulo ag mahimo kaling mga hayukhok sa duta it Ehipto.” 
EXO.8.17	Gingtuman matuor ninra. Gingbakoy ni Aaron kag ida hudot nak bakulo sa raga ag halin sa taybo ay nagliniwas kag mga hayukhok ag nag-inapon sa mga tawo ag sa mga hadop. Kag taybo ruto sa Ehipto ay nahimong hayukhok. 
EXO.8.18	Pero tong nagpurba ra kag mga amulitan nak tawo it Ehipto nak makapaliwas ra sinra it hayukhok parayan sa inra paglimot ay waya ninra kali nahimo. Kag mga tawo ag mga hadop ay ingpapahirapan it kaling mga hayukhok.
EXO.8.19	Ag napasiling kaling mga amulitan nak tawo kang Paraon, “Halandong Paraon, kali ay waya't makakahimo kundi Dios yang.” Ugaling tuyar it tong una, kag tagipusuon ni Paraon ay nagmatugas gihapon ag waya gipati, tuyar sa gingpauna nak bisaya it GINO-O.
EXO.8.20	Masunor, nagsugo kag GINO-O kang Moises, “Paaga it bati insulip, ag bantayan si Paraon sa ida pagpagto sa suba. Payunguti sida ag silinggon nak, ‘Siling it GINO-O, “Sugti kag Ako mga katawuhan nak magpanaw agor madayaw sinra sa Ako. 
EXO.8.21	Pag indi nimo sinra gisugtan, Ako iparaya kag abang ramong yangaw sa imo, sa imo mga opisyales ag sa imo mga sinakupan, pati sa inro mga bayay. Kag tanang mga bayay it mga Ehiptohanon ay mapupuno it kayangawan aber kag duta nak inra atungtungan.
EXO.8.22	“ ‘ “Pero sa adlaw nak matabo kali, iba kag Ako pagtratar sa lugar it Gosen kung hariin giistar kag mga Israelinhon. Waya't aber usang makikitang yangaw ruto. Parayan dili inro maaayaman nak Ako nak imaw kag GINO-O kag naggagahom dili sa inro duta. 
EXO.8.23	Ipakita Nako sa inro nak iba kag Ako pagmuyat sa Ako mga katawuhan ag sa imo mga katawuhan. Insulip makikita ninro kaling katitingayang bagay bilang pamatuor it Ako gahom.”
EXO.8.24	“ ‘Ag imaw matuor kag inghimo it GINO-O. Nagliniwas kag abang ramong yangaw ag nagsinuyor sa palasyo ni Paraon ag sa mga bayay it ida mga opisyales. Ag kag duta it Ehipto ay napuno it mga yangaw.
EXO.8.25	“ ‘Pagkatabo it kali, ingpatawag ni Paraon sina Moises ag Aaron ag nagsiling, “Hala, asugtan kamo nako nak mag-ihaw it hadop nak inughalar para sa inro Dios dili sa sakop yang it Ehipto.” ’ ”
EXO.8.26	Pero nagsabat si Moises, “Halandong Paraon, indi puyde rili sa Ehipto, dahil kag mga hadop nak amo ging-iihaw bilang inughalar sa GINO-O nak amo Dios ay bawal sa pagmuyat ninro nak mga Ehiptohanon. Kung amo kali ahimuon sa inra atubangan, indi aboy kami ninra gimatyon parayan sa pagbunggo? 
EXO.8.27	Kinahangyan nak magpanaw kami it tatlong adlaw sa disyerto ag ruto kami maihaw it hadop bilang inughalar sa GINO-O nak amo Dios, kumporme sa Ida gingsugo sa amo.”
EXO.8.28	Kada, siling ni Paraon, “Hala sige, asugtan kamo nako nak magpanaw agor himuon kina para sa inro GINO-O sa disyerto. Ugaling indi dapat kamo magpakapayado. Ag pangamuyuan ra ninro ako.”
EXO.8.29	Nagsabat si Moises kang Paraon, “Pagkahalin nako, ako ipangamuyo sa GINO-O, ag insulip kaling maramong yangaw ay mahalin sa imo, sa imo mga opisyales, ag sa imo mga sinakupan. Pero aya ray gibawi-a kinang imo binisayahan, parayan sa pagpiga sa mga tawo nak magpanaw agor mag-ihaw it hadop nak inughalar sa GINO-O.”
EXO.8.30	Pagkahalin ni Moises sa atubangan ni Paraon ay nagpangamuyo sida sa GINO-O. 
EXO.8.31	Gingtuman matuor it GINO-O kag inghagar sa ida ni Moises. Nagkawagit kag mga yangaw kana Paraon, sa ida mga opisyales ag sa ida mga sinakupan. Waya't aber usang yangaw nak nabilin. 
EXO.8.32	Pero pinatugas liwat ni Paraon kag ida tagipusuon ag waya gihapon nida gisugti kag mga Israelinhon.
EXO.9.1	Ngasing nagsugo kag GINO-O kang Moises, “Pagtu-e si Paraon ag silingga nak, ‘Gingpapasiling it GINO-O nak Dios it mga Hebreo, sugti nganat kag Ako mga katawuhan nak magpanaw agor madayaw sinra sa Ako. 
EXO.9.2	Pag indi nimo sinra gisugtan ag pigahan gihapon, 
EXO.9.3	kag Ako gamhanang damot ay maparaya it grabeng silot sa inro mga alagang kahadupan nak asa agsaman, mga kabayo, mga asno, mga kamelyo, mga baka, mga karnero ag mga kambing. 
EXO.9.4	Pero iba kag Ako pagtatap sa mga kahadupan it mga Israelinhon ag mga kahadupan it mga Ehiptohanon. Waya't aber usang alagang hadop kag mga Israelinhon nak mamamatay.’ 
EXO.9.5	Gingterminuhaney kali it GINO-O ag insulip kali ahimuon Nida sa inro duta.”
EXO.9.6	Pagkaaga gingtuman matuor it GINO-O kag Ida gingbisaya. Kag tanang kahadupan it mga Ehiptohanon nak asa agsaman ay nagkamatay. Pero waya't aber usang alagang hadop it mga Israelinhon nak namatay. 
EXO.9.7	Ingpausisa pa ni Paraon kaling natabo, ag klaro matuor nak waya't aber usang hadop it mga Israelinhon nak namatay. Pero waya gihapon natiog-tiog kag ida tagipusuon ag waya gisugti kag mga Israelinhon.
EXO.9.8	Masunor, nagsugo kag GINO-O kana Moises ag Aaron, “Hakop it abo halin sa abuhan ag ipasabuyak kang Moises sa atubangan ni Paraon. 
EXO.9.9	Kali ay mahihimong mapinong taybo sa duta it Ehipto, ag kag tanang tawo ag mga kahadupan ay magkakainggwa't maramong hubag nak waya gipipila.”
EXO.9.10	Kada, nagbaoy matuor sinra it abo halin sa abuhan ag ingraya sa atubangan ni Paraon. Ingsabwag kali ni Moises, ag nagtinubo kag mga hubag sa mga tawo ag sa mga hadop. 
EXO.9.11	Aber kag mga amulitan nak tawo it Ehipto ay indi makaatubang kang Moises dahil tanang yawas ninra ay puro hubag, pati kag tanang mga Ehiptohanon. 
EXO.9.12	Pero ingpatugas gihapon it GINO-O kag tagipusuon ni Paraon ag waya sida gipati sa inra, kumporme sa Ida gingpaunang bisaya kang Moises.
EXO.9.13	Masunor, nagsugo kag GINO-O kang Moises, “Paaga it bati insulip, ag bantayan si Paraon, payunguti ag silinggon nak, ‘Siling it GINO-O nak Dios it mga Hebreo: Sugti kag Ako mga katawuhan nak magpanaw agor madayaw sinra sa Ako. 
EXO.9.14	Pag indi, ngasing nak raan, ikaw ay Ako asiluton it grabe, pati kag imo mga opisyales ag imo mga sinakupan. Parayan dili, maaayaman nimo nak waya't ibang tuyar sa Ako sa bug-os nak kalibutan. 
EXO.9.15	Aber it kato nak raan puydey ka tan-a Nakong matyon, kamo it imo mga sinakupan, parayan sa pesti nak ikakamatay ninrong tanan. 
EXO.9.16	Ugaling waya kali Nako gihimu-a, dahil ingbuot Nako nak ikaw ay mabuhi pa agor ipakita kag Ako rakong gahom, ag agor kag Ako ngayan ay mabantog sa ibabaw it kalibutan.
EXO.9.17	“ ‘Pero padayon gihapon kag imo pagmarako it imo sarili sa Ako mga katawuhan ag waya nimo gisugti sinra nak magpanaw. 
EXO.9.18	Ngani, insulip sa tuyar kaling oras, Ako aparuguson it yelo rili, nak waya pang gador it katuyar nak kusog tuna tong mapundar kag Ehipto hastang ngasing. 
EXO.9.19	Kada sugu-a kag imo mga sinakupan nak pasilungan kag inro mga kahadupan, pati kag inro tanang sinakupan nak asa kabukiran ay mapasilong ra. Dahil kaling uyan it yelo ay imaw it mamatay sa tanang matutugpaan.’ ”
EXO.9.20	Katong mga opisyales ni Paraon nak nagkainggwa't kahadlok sa bisaya it GINO-O ay nagrali-rali sa pagpasilong sa inra mga ulipon ag mga alagang kahadupan nak asa kabukiran. 
EXO.9.21	Pero katong mga waya gialibhat sa bisaya it GINO-O ay gingpabad-an nak asa liwas yang kag inra mga ulipon ag mga kahadupan.
EXO.9.22	Masunor, nagsugo kag GINO-O kang Moises, “Tudluan kag imo damot sa langit agor matugpa kag uyan it yelo sa duta it Ehipto, sa mga tawo, sa mga hadop ag sa tanang pananom sa bukir.” 
EXO.9.23	Gingtuman kali ni Moises. Ag pagtudlo nida sa ida bakulo sa langit, kag GINO-O ay nagparaya it pagkakusog nak pangilat nak diretso sa duta, pangrayugrog, ag uyan it yelo. Kag GINO-O ay nagparugos matuor it yelo sa duta it Ehipto. 
EXO.9.24	Abang kusog kag bagyo it yelo, ag waya't tungon-tungon kag pagpangilat. Kaling natabo ay imaw nak gador kag pinaka-makusog nak bagyo sa lugar it Ehipto, tuna tong kali ay naging nasyon. 
EXO.9.25	Ingsira it kaling uyan it yelo kag tanang butang nak natamaan, maging tawo man o hadop nak asa liwas it bayay sa bug-os nak duta it Ehipto. Nagkabali-bali kag mga tanom nak asa bukir ag kag tanang kahoy ay naugoy. 
EXO.9.26	Pero sa Gosen kung hariin giiistar kag mga Israelinhon ay waya giuyan it yelo.
EXO.9.27	Pagkatabo it kali, ingpatawag ni Paraon sina Moises ag Aaron, ag nagsiling, “Ngasing nako naayami nak nagkasala ako. Tama kag GINO-O, ako ag kag ako mga sinakupan ay nakasala. 
EXO.9.28	Kada pangamuyo kamo sa GINO-O, dahil kung indi, orasey kali namo dahil diling pangrayugrog ag bagyo it yelo. Patungna nganat ag akoey kamo asugtan sa nak raan. Indiey nako kamo gipigahan pa.”
EXO.9.29	Sabat ni Moises sa ida, “Oho, Halandong Paraon, pagkaliwas nako riling syudad, ako itaas kag ako mga damot sa pagpangamuyo sa GINO-O. Matungon kag pagpangrayugrog, ag mahuyaw ra kag uyan it yelo, agor inro maaayaman nak kag kalibutan ay sa GINO-O. 
EXO.9.30	Pero ayam nako nak kamo it imo mga opisyales ay waya gihapon it kahadlok sa GINO-O nak Dios.”
EXO.9.31	Kag natabo habang nag-uuyan it yelo, kag sebada ag ibang tanom nak imaw kag inghahalinan it mga inghihimong tela nak lino
EXO.9.32	Ugaling waya nasira kag trigo ag iba pang uyas nak huley gitubo.
EXO.9.33	Pagkahalin ni Moises sa atubangan ni Paraon ay nagliwas sida sa syudad ag ingtaas kag ida mga damot sa pagpangamuyo sa GINO-O. Ag nagtungon kag pangrayugrog ag naghuyaw ra kag uyan, pati yelo. Wayaey matuor giuyan it yelo sa Ehipto. 
EXO.9.34	Pero pagkakita ni Paraon nak naghuyawey kag uyan ag yelo ag wayaey gipapangrayugrog, sida ay nagkasala liwat. Ida ray ingpatugas kag ida tagipusuon, pati kag ida mga opisyales. 
EXO.9.35	Talagang pay bato kag tagipusuon ni Paraon, ag indi ray nida gisugtan kag mga Israelinhon, kumporme sa gingpaunang bisaya it GINO-O parayan kang Moises.
EXO.10.1	Ngasing nagsugo kag GINO-O kang Moises, “Pagtu-e si Paraon dahil ingpatugas Nako kag ida tagipusuon, pati kag ida opisyales agor Ako maipakita kaling Ako ahimuong mga milagro bilang pamatuor it Ako gahom sa tunga ninra. 
EXO.10.2	Kali kag Ako ahimuon agor maaayaman ninro ag inro mga inanak kung pauno Nako gingpahud-an kag mga Ehiptohanon, tong naghimo Ako it mga milagro sa inra tunga. Ag usa pa, kali ay agor maaayaman ninro nak Ako kag GINO-O.”
EXO.10.3	Kada, nagpagto ray sina Moises ag Aaron kang Paraon ag nagsiling, “Halandong Paraon, gingsiling it GINO-O nak Dios it mga Hebreo, ‘Sauno pa ikaw mapaubos it imo sarili sa Ako? Sugtey kag Ako mga katawuhan nak magpanaw agor madayaw sinra sa Ako. 
EXO.10.4	Pag padayon gihapon nimo sinrang pigahan, insulip ay Ako kamo aparay-an it maramong apan-apan. 
EXO.10.5	Mainapon sinra sa ibabaw it duta hastang wayaey nak gador it makikitang raga. Aupton ninra katong mga tanom nak natura it bagyo it yelo, pati kag mga kahoy nak nabilin. 
EXO.10.6	Asudlon ninra ag apun-on kag imo palasyo, ag kag mga bayay it imo mga opisyales ag it tanang Ehiptohanon. Waya pang gador nakakakita it tuyar kali kag imo mga maguyang ag mga luluhon, tuna tong sinra'y natawo riling duta hastang ngasing.’ ” Pagkabisaya kali ni Moises, gingtalikuran nida si Paraon ag naghalin.
EXO.10.7	Nagsiling ngasing kag mga opisyales ni Paraon sa ida, “Halandong Paraon, hastang sauno kita aguluhon it kaling tawo? Maado pa siguro, sugti yangey kaling mga tawo sa inra kagustuhan, agor makadayaw sinra sa GINO-O nak inra Dios. Indi pa baga nimo mabaton nak yumosey kag mga Ehiptohanon sa kahirapan?”
EXO.10.8	Ngani, gingpabalik ni Paraon sina Moises ag Aaron, ag nagsiling sida, “Hala, pagtoy kamo ag magdayaw sa GINO-O nak inro Dios. Ugaling gusto anay nakong maayaman kung sasin-o kag mga mapinanaw.”
EXO.10.9	Sabat ni Moises, “Tanan kami, tuna sa pinaka-bata hastang sa pinaka-maguyang, kaibahan kag amo mga anak nak kayake ag kabade, raya pati namo kag amo mga karnero, kambing ag baka, dahil mahiwat kami it marakong Pista para sa GINO-O.”
EXO.10.10	Napasiling si Paraon, “Aba, ingsuswerte kamo no! Asi, masugot ako nak pati kag inro mga anak ag asawa ay magnunot! Ayam nako nak inggwa kamo it gingpaplanong mayain! 
EXO.10.11	Indi ako'g sugot! Kamong mga kayake yang. Kamo yang kag dayaw sa GINO-O, tutal imaw kina kag inro ingpapaka-hagar.” Ag sinra ay ingtabog nak maghalin sa atubangan ni Paraon.
EXO.10.12	Pagkahalin nina Moises, nagsugo kag GINO-O sa ida, “Itudlo nimo kinang imo damot sa bug-os nak duta it Ehipto agor maragsa kag pagkaruramong apan-apan dili. Ag inra aupton kag tanang tanom nak natura it bagyo it yelo.”
EXO.10.13	Gingtudlo matuor ni Moises kag ida bakulo sa bug-os nak duta it Ehipto. Ag nagpahuyop kag GINO-O it makusog nak hangin halin sa subatan ag kali ay waya gitungon-tungon, tuna tong aga hastang gab-i ag hastang aga ray liwat. Pagkaaga, rayay it hangin kag maramong apan-apan. 
EXO.10.14	Nag-uyob kali sa bug-os nak duta it Ehipto. Abang ramo talaga kali. Pinaka-grabe kali sa mga dating silot it apan-apan ag wayaey it makakapareho dili. 
EXO.10.15	Ingtabunan it kaling mga apan-apan kag bug-os nak duta hastang kali ay nagruyom. Ingpang-upot ninra kag tanang tanom nak waya nasira it katong yelo, kaumir kag tanang bunga nak nabilin sa mga puno. Wayaey nak gador it aber usang pisik it hilamunon nak makikita sa bug-os nak duta it Ehipto, ugoy nak gador.
EXO.10.16	Pagkatabo it kali, gingparali-rali it patawag ni Paraon sina Moises ag Aaron ag nagsiling, “Nagkasala ako laban sa GINO-O nak imo Dios ag laban sa inro. 
EXO.10.17	Patawara ninro ako liwat, ag pangamuyo sa GINO-O nak inro Dios nak bay-on kaling nakakamatay nak pesti sa ako.”
EXO.10.18	Pagkahalin nina Moises sa atubangan ni Paraon ay nagpangamuyo sida sa GINO-O. 
EXO.10.19	Gingpalihis it GINO-O kag hangin agor makusog kag hangin halin sa sugbuhan, ag kali kag nagraya sa mga apan-apan papagto sa Puyang Ragat. Waya't natura aber usang apan-apan sa bug-os nak duta it Ehipto. 
EXO.10.20	Pero ingpatugas gihapon it GINO-O kag tagipusuon ni Paraon, ag waya ray nida gisugti nak magpanaw kag mga Israelinhon.
EXO.10.21	Masunor, nagsugo ray kag GINO-O kang Moises, “Tudluan kinang imo damot sa langit agor maruyom dili sa Ehipto, usang klase it ruyom nak talagang mababatyagan kag epekto.” 
EXO.10.22	Kada ingtudlo matuor ni Moises kag ida damot sa langit, ag nagruyom talaga sa Ehipto sa suyor it tatlong adlaw. 
EXO.10.23	Indi ninra makita kag usa'g-usa, ag waya't nakaliwas sa inra bayay sa sakop it katong tatlong adlaw. Pero raha sa lugar kung hariin giiistar kag mga Israelinhon ay mahadag.
EXO.10.24	Pagkatabo it kali, ingpatawag ni Paraon si Moises ag nagsiling, “Hala pagtoy kamo, dayawa kag inro GINO-O, pati kag inro mga asawa ag mga anak ay nuntan, ugaling bilinan kag inro mga karnero, kambing ag baka.”
EXO.10.25	Pero nagrason si Moises, “Haring Paraon, indi kato puyde, dapat nak sugtan nimo kami nak inunot ra kag amo mga hadop, agor inggwa kami it aihawon ag asunugon bilang inughalar kang Yahweh nak amo Dios. 
EXO.10.26	Kinahangyan nak ray-on namo kag tanang amo mga hadop, agor ruto ay puyding pilion kag mga inughalar pramas dayawon kag GINO-O nak amo Dios. Aber usang bayukag ay waya't ibilin. Dahil waya pa namo naaayami kung hariin sa inra kag amatyon hastang waya pa kami nakakaabot ruto.”
EXO.10.27	Pero ingpatugas gihapon it GINO-O kag tagipusuon ni Paraon ag waya nida gisugti sinra nak maghalin. 
EXO.10.28	Bag-o nagsiling si Paraon kang Moises, “Layas sa ako atubangan! Tanra-e kali, wayaey ako't gustong makita kag imo hitsura! Pag makita ka pa nako liwat ay mamamatayey ka!”
EXO.10.29	Sabat ni Moises, “Kung imaw kina kag imo gusto, indiey ako magpakita sa imo.”
EXO.11.1	Ngasing nagsiling ray kag GINO-O kang Moises, “Usa yangey nak silot kag Ako iparaya kang Paraon ag sa mga Ehiptohanon. Pagkatapos it kali, asugtaney kamo nida nak maghalin dili. Buko yang kina, halos ida pa kamo atabugon agor makahaliney. 
