GEN.1.1	Дар ибтидо Худо замину осмонро офарид. 
MAT.12.48	Исо дар ҷавоб гуфт: «Модари Ман кист ва бародарони Ман кистанд?» 
MAT.12.49	Баъд бо дасташ сӯйи шогирдонаш ишора карда, суханашро давом дод: «Ана инҳо модар ва бародарони Ман ҳастанд! 
MAT.12.50	Зеро ҳар касе, ки хости Падари осмониамро иҷро мекунад, бародар, хоҳар ва модари Ман аст».
MAT.13.1	Худи ҳамон рӯз Исо аз хона баромаду барои таълим додани мардум сӯйи кӯл рафт. 
MAT.13.2	Аммо дар гирдаш чунон одамони зиёд ҷамъ омаданд, ки Ӯ халқро дар соҳил монда, худаш ба қаиқе савор шуд. 
MAT.13.3	Исо ба онҳо бисёр чизҳоро бо масалҳо нақл карда мегуфт: «Рӯзе як деҳқон барои кишт кардан мебарояд. 
MAT.13.4	Вақте ки дона мепошад, як миқдори он ба пайраҳа меафтад ва паррандаҳо омада, онҳоро аз замин чида пок-покиза мехӯранд. 
MAT.13.5	Миқдори дигари он ба замини санглоху камхок меафтад. Аз сабаби чуқур набудани хоки замин онҳо зуд месабзанд. 
MAT.13.6	Вале бо баромади офтоб майсаи навхез пажмурда шуда, аз сабаби решаи мустаҳкам надоштан хушк мешавад. 
MAT.13.7	Миқдори дигараш ба замини хордор меафтад ва хорҳо қад кашида майсаи навсабзидаро пахш мекунанд. 
MAT.13.8	Лекин баъзе донаҳо ба замини хуби ҳосилхез афтода, баъзе сад, баъзе шаст ва баъзе сӣ баробар зиёдтар ҳосил медиҳанд».
MAT.13.9	Боз гуфт: «Пас ҳар кӣ Маро мешунавад, бигзор гӯш кунад!»
MAT.13.10	Баъдтар шогирдони Исо ба наздаш омада пурсиданд: «Чаро Шумо мардумро бо масалҳо таълим медиҳед?» 
MAT.13.11	Ӯ ба онҳо ҷавоб дод: «Худо ба шумо имконияти фаҳмидани сирру асрори подшоҳии худро додааст, аммо аз онҳо ин чизҳо пинҳон ҳастанд. 
MAT.13.12	Чунки ҳар кӣ чизе дорад, ба ӯ боз ва аз ҳад зиёд дода мешавад, аммо касе, ки надорад, ҳатто он андаке, ки дорад, аз ӯ кашида гирифта мешавад. 
MAT.13.13	Ана барои чӣ Ман ба онҳо бо масалҳо нақл мекунам: онҳо дида метавонанду намебинанд, шунида метавонанд, вале на мешунаванду на мефаҳманд. 
MAT.13.14+MAT.13.15	 Ишаъё пайғамбар пешгӯйӣ карда гуфта буд:
MAT.13.14+MAT.13.15	„Ин одамон ҳарчанд гӯш кунанд ҳам, намефаҳманд;
MAT.13.14+MAT.13.15	ҳарчанд нигоҳ кунанд ҳам, намебинанд,
MAT.13.14+MAT.13.15	чунки ин одамон кундфаҳм шудаанд,
MAT.13.14+MAT.13.15	гӯшҳояшон мадори шунидан надоранд
MAT.13.14+MAT.13.15	ва чашмонашонро онҳо пӯшидаанд.
MAT.13.14+MAT.13.15	Агар ин тавр намекарданд, чашмонашон дида,
MAT.13.14+MAT.13.15	гӯшҳояшон шунида
MAT.13.14+MAT.13.15	ва ақлашон дарк карда метавонист.
MAT.13.14+MAT.13.15	Он гоҳ онҳо сӯйи Ман — Худо рӯй меоварданд,
MAT.13.14+MAT.13.15	то ки Ман онҳоро шифо диҳам“.
MAT.13.14+MAT.13.15	Ин пешгӯйӣ ҳақиқатан дар ҳаёти онҳо амалӣ мегардад.
MAT.13.16	Шумо бошед, хушбахт ҳастед, чунки чашмонатон дида ва гӯшҳоятон шунида метавонанд. 
MAT.13.17	Ба ростӣ ба шумо мегӯям, ки бисёр пайғамбарон ва накӯкорон дар орзуи дидан ва шунидани он чи, ки шумо мебинед ва мешунавед, буданд. Вале онҳо на диданду на шуниданд.
MAT.13.18	Хуб, маънои масалро дар бораи деҳқон гӯш кунед. 
MAT.13.19	Ба пайраҳа афтодани донаҳо монанди он аст, ки баъзе касон каломро дар бораи подшоҳии Худо мешунаванду онро намефаҳманд. Шахси Бад омада каломи ба дили онҳо кошташударо кашида мегирад. 
MAT.13.20	Ба замини санглох афтодани донаҳо монанди он аст, ки баъзе касон каломро мешунаванду дарҳол бо хушҳолӣ онро қабул мекунанд. 
MAT.13.21	Вале азбаски реша надоранд, муддати кӯтоҳ бардошт мекунанд. Баъд вақте ки аз барои калом ба душворӣ ва азоб дучор мешаванд, зуд имони худро аз даст медиҳанд. 
MAT.13.22	Ба замини хорзор афтодани донаҳо монанди он аст, ки баъзе касон каломро мешунаванд, аммо ғаму ташвиши зиндагӣ ва орзуи бойигарӣ каломро пахш менамояд ва дар натиҷа он ҳеҷ ҳосиле намеорад. 
MAT.13.23	Вале ба замини ҳосилхез афтодани донаҳо монанди он аст, ки баъзе касон каломро мешунаванду онро мефаҳманд. Ана онҳо баъзан сад, баъзан шаст ва баъзан сӣ баробар бештар самара медиҳанд».
MAT.13.24	Ӯ боз дигар масалро нақл карда гуфт: «Подшоҳии Худоро чунин тасвир кардан мумкин: шахсе ба заминаш донаҳои киштбобро мекорад. 
MAT.13.25	Лекин, вақте ки ҳама хоб мераванд, душман меояду дар байни гандум тухми алафи бегонаро пошида, меравад. 
MAT.13.26	Сипас, баробари сабзидаву сарак баровардани гандум, алафи бегона низ намоён мегардад. 
MAT.13.27	Хизматгорон назди соҳиби киштзор омада мегӯянд: „Хоҷа, шумо дар киштзоратон донаҳои гандумро кошта будеду ин алафи бегона аз куҷо пайдо шуд?“ 
MAT.13.28	Ӯ ба онҳо ҷавоб дода мегӯяд: „Ин кори душман аст“. Хизматгорон боз мепурсанд: „Мехоҳед, ки мо рафта онҳоро канда партоем?“ 
MAT.13.29	„Не, — мегӯяд соҳиби киштзор, — чунки алафи бегонаро канданӣ шуда мабодо боз баъзе гандумро ҳам канда напартоед. 
MAT.13.30	Бигзор, то вақти ҳосилғундорӣ ҳам гандум ва ҳам алафи бегона истад. Баъд ба даравгарон фармон медиҳам, ки аввал алафи бегонаро канда, даста карда сӯзонанд, сонӣ гандумро даравида, ба анборам ҷамъ кунанд“».
MAT.13.31	Исо ба онҳо боз масали дигареро нақл карда гуфт: «Подшоҳии Худоро чунин тасвир кардан мумкин: шахсе донаи хардалро гирифта, дар замини худ мекорад. 
MAT.13.32	Ин дона аз ҳамаи донаҳои дунё майдатарин мебошад, вале вақте ки он месабзад, аз ҳамаи гиёҳҳо калонтар шуда, ба дарахт мубаддал мегардад ва паррандаҳо омада, дар шохаҳои он лона месозанд».
MAT.13.33	Масали дигаре, ки Вай ба онҳо нақл кард, ин буд: «Подшоҳии Худоро боз чунин тасвир кардан мумкин: Зане каме хамиртуруш мегираду бо як тағора орд омехта, хамир мекунад ва баъд тамоми хамир мерасад».
MAT.13.34	Исо ҳамаи ин чизҳоро фақат бо масалҳо ба мардум нақл кард ва бе масал сухане ҳам ба онҳо нагуфт. 
MAT.13.35	Пайғамбаре чунин гуфта буд:
MAT.13.35	«Ман ба онҳо бо масалҳо сухан меронам;
MAT.13.35	Ман ба онҳо чизҳои аз аввали офариниш пинҳонбударо нақл мекунам».
MAT.13.35	Барои амалӣ гаштани ин суханон Исо бо масалҳо гап мезад.
MAT.13.36	Вақте ки Исо мардумро монда, ба хона рафт, шогирдонаш ба наздаш омада хоҳиш карданд, ки Ӯ масали дар бораи алафи бегона нақлкардаашро ба онҳо маънидод кунад.
MAT.13.37	Вай дар ҷавоб гуфт: «Шахсе, ки донаҳои киштбобро мекорад, Фарзанди Инсон аст; 
MAT.13.38	киштзор ин ҷаҳон аст; донаҳои гандум одамони аз они подшоҳии Худо ҳастанд; алафи бегона бошад, одамони аз они Шахси Бад ҳастанд; 
MAT.13.39	ва душмане, ки тухми алафи бегонаро мекорад, иблис мебошад. Вақти ҳосилғундорӣ охирзамон аст, даравгарон бошанд, фариштаҳоянд. 
MAT.13.40	Чи тавре ки алафи бегонаро ҷамъ карда, дар оташ месӯзонанд, айнан ҳамин тавр дар охирзамон рӯй медиҳад. 
MAT.13.41	Яъне Фарзанди Инсон фариштаҳои худро мефиристад, то ки ҳамаи бадкорон ва ҳамаи васвасакоронро аз дохили подшоҳии Вай ҷудо карда гирифта 
MAT.13.42	ба оташи сӯзон партоянд. Дар он ҷо бошад, одамон аз дард дандон ба дандон зада гиря мекунанд.
MAT.13.43	Аммо накӯкорон дар подшоҳии Падарашон мисли офтоб медурахшанд. Пас ҳар кӣ Маро мешунавад, бигзор гӯш кунад!
MAT.13.44	Подшоҳии Худоро чунин тасвир кардан мумкин: рӯзе як мардикор дар саҳро ганҷинаи касе пинҳонкардаро меёбаду онро боз пинҳон мекунад. Аз шодӣ ӯ рафта тамоми дороияшро мефурӯшаду ҳамон саҳроро мехарад.
MAT.13.45	Подшоҳии Худоро боз ин тавр тасвир кардан мумкин: савдогаре марворидҳои зебо мекобаду мекобад 
MAT.13.46	ва ҳангоме ки марвориди аҷаб зеборо меёбад, рафта, тамоми молу мулкашро фурӯхта, онро мехарад.
MAT.13.47	Ана масали дигар, ки бо он подшоҳии Худоро тасвир кардан мумкин: якчанд моҳигир тӯрҳои худро ба кӯл мепартоянду ба тӯрашон ҳар гуна моҳиҳо меафтанд. 
MAT.13.48	Вақте ки тӯрҳо пур аз моҳӣ мешаванд, моҳигирон онҳоро ба соҳил мекашанду нишаста моҳиҳоро ба нағзу бад ҷудо мекунанд; нағзашро ба сабадҳо меандозанду бадашро мепартоянд.
MAT.13.49	Дар охирзамон низ ҳамин тавр рӯй медиҳад: фариштаҳо баромада, одамони бадкирдорро аз байни накӯкорон ҷудо мекунанд. 
MAT.13.50	Сонӣ одамони бадкирдорро ба оташи сӯзон мепартоянд, ки дар он ҷо одамон аз дард дандон ба дандон зада гиря мекунанд».
MAT.13.51	Исо аз шогирдонаш пурсид: «Шумо ин гуфтаҳоямро фаҳмидед?» «Фаҳмидем», — ҷавоб доданд онҳо.
MAT.13.52	Ӯ давом дода гуфт: «Пас, ҳар шариатдоне, ки дар бораи подшоҳии Худо таълим ёфтааст, монанди соҳиби хона аст, ки аз анбори худ чизҳои нав ва кӯҳнаро берун мебарорад».
MAT.13.53	Исо нақл кардани масалҳоро тамом карду аз он ҷо баромада 
MAT.13.54	ба диёраш баргашт. Ӯ дар ибодатхонаи он ҷо таълим медоду онҳое, ки таълимоташро мешуниданд, ангушти ҳайрат газида ба якдигар мегуфтанд: «Аз куҷо Вай ин қадар ҳикмат дорад-а?» «Қобилияти мӯъҷизакории Ӯ аз куҷо бошад-а? 
MAT.13.55	Магар Ӯ ҳамон Исои писари дуредгар нест, ки модараш Марям ва бародаронаш Ёқубу Юсуфу Шимъӯну Яҳудо ҳастанд? 
MAT.13.56	Магар ҳамаи хоҳаронаш дар шаҳри мо зиндагӣ намекунанд? Пас, аз куҷо Ӯ ин ҳикмату ин қудратро дорад?» 
MAT.13.57	Инак, онҳо дар ҳаққи Исо шакку шубҳа карданд.
MAT.13.57	Ӯ бошад, ба онҳо гуфт: «Пайғамбар дар диёри худ ва дар байни хонадони худ қадр надорад, вале дар ҳама ҷойи дигар ӯро бо эҳтиром қабул мекунанд». 
MAT.13.58	Ва аз сабаби он ки онҳо ба Исо боварӣ надоштанд, Ӯ дар он ҷо кам мӯъҷиза кард.
MAT.14.1	Дар он айём овоза дар бораи Исо то ба гӯши Ҳиродус, ки ҳокими вилояти Ҷалил буд, рафта расид. 
MAT.14.2	Ҳиродус ба мансабдоронаш гуфт, ки дар асл ин Яҳёи Таъмиддиҳанда аст, ки аз нав зинда шудааст, барои ҳамин ҳам Ӯ чунин қудрати мӯъҷизакорӣ дорад.
MAT.14.3+MAT.14.4	 Пеш аз марги Яҳёи Таъмиддиҳанда Ҳиродус Ҳиродия, зани бародараш Филиппусро ба занӣ гирифта буд. Гаштаю баргашта Яҳё ба ӯ мегуфт: «Аз рӯи шариати мо ба шумо гирифтани зани бародаратон раво нест». Бинобар ин Ҳиродус фармон дод, ки Яҳёро дастгир кунанду дасту пояшро баста, ба ҳабс андозанд. 
MAT.14.5	Ҳиродус мехост Яҳёро ба қатл расонад, аммо аз халқ метарсид, зеро халқ Яҳёро пайғамбар меҳисобид.
MAT.14.6	Бо вуҷуди ин, боре дар ҷашнгирии рӯзи таваллуди Ҳиродус духтари Ҳиродия дар пеши меҳмонон рақсу бозӣ карда, Ҳиродусро чунон мафтун кард, ки 
MAT.14.7	ӯ қасам ёд карда ба духтар ваъда дод: «Ҳар чӣ аз ман талаб кунӣ, бароят медиҳам!» 
MAT.14.8	Духтар аз рӯи маслиҳати модараш гуфт: «Бароям сари Яҳёи Таъмиддиҳандаро дар рӯи табақе оварда диҳед».
MAT.14.9	Ҳоким ғамгин гашт, вале ба хотири ваъдаи дар пеши меҳмонон додааш, фармон дод, ки гуфти духтарро иҷро кунанд. 
MAT.14.10	Ҷаллоди фиристодааш рафта, дар ҳабсхона сари Яҳёро аз танаш ҷудо кард 
MAT.14.11	ва дар рӯи табақе ба духтар оварда дод. Духтар бошад, онро ба дасти модараш супорид. 
MAT.14.12	Баъд аз ин шогирдони Яҳё омада, ҷасади ӯро бурда гӯрониданд ва ҳодисаи рӯйдодаро рафта ба Исо нақл карданд.
MAT.14.13	Ин ҳодисаро шунида, Исо ба қаиқ савор шуду худаш танҳо ба ҷойи хилвате рафт. Мардум аз ин огоҳ шуданду аз шаҳрҳои худ баромада пиёда аз пайи Ӯ рафтанд. 
MAT.14.14	Вақте ки Исо ба соҳил фаромад, мардуми зиёдеро дида, ба ҳоли онҳо раҳмаш омад ва беморони дар байнашон бударо шифо дод.
MAT.14.15	Рӯз ба охир мерасид ва шогирдони Исо ба наздаш омада гуфтанд: «Устод! Ин як ҷойи беодам аст, рӯз дер шуд. Мардумро ҷавоб намедиҳед, ки ба қишлоқҳои гирду атроф рафта, барояшон хӯрокворӣ харанд?» 
MAT.14.16	«Ба ҳеҷ ҷо рафтанашон лозим нест, — ҷавоб дод Вай. — Шумо ба онҳо хӯрок диҳед!» 
MAT.14.17	Онҳо гуфтанд: «Охир мо дар ин ҷо фақат панҷ нону ду моҳӣ дорем». 
MAT.14.18	«Онҳоро ба Ман оварда диҳед», — гуфт Исо.
MAT.14.19	Ӯ ба мардум гуфт, ки рӯи сабза нишинанд. Баъд он панҷ нону ду моҳиро ба дасташ гирифта, ба осмон нигаристу аз Худо баракат талабид ва нонҳоро пора карда, ба шогирдонаш дод, то ки ба мардум тақсим карда диҳанд. 
MAT.14.20	Ҳама то сер шудан хӯрданду шогирдон боз дувоздаҳ сабади пур аз нонпораҳо ҷамъ карданд. 
MAT.14.21	Шумораи онҳое, ки нону моҳӣ хӯрда буданд, ғайр аз занону кӯдакон, тақрибан панҷ ҳазор нафар буд.
MAT.14.22	Сипас Исо ба шогирдонаш фармуд, ки ба қаиқ савор шаванду пешопеши Ӯ ба дигар тарафи кӯл раҳсипор шаванд, то худаш ҳам баъд аз мардумро ҷавоб доданаш назди онҳо биравад. 
MAT.14.23	Вақте ки Вай мардумро ҷавоб дод, барои дар танҳоӣ дуо кардан ба теппае баромад. Баъд аз нишасти офтоб ҳам Ӯ яккаву танҳо дар он ҷо буд. 
MAT.14.24	Қаиқ бошад, аз соҳил хеле дур рафта буд ва аз сабаби боди сахте, ки мухолифи он мевазид, мавҷҳои кӯл қаиқро алвонҷ медоданд.
MAT.14.25	Ҳанӯз чашми рӯз накафида, Исо рӯ-рӯи об қадамзанон ба тарафи шогирдонаш равона шуд. 
MAT.14.26	Шогирдон Исои дар рӯи об роҳ рафтаистодаро дида, «Ин арвоҳ! Арвоҳ!» гӯён аз тарсу ваҳм дод заданд. 
MAT.14.27	Аммо Ӯ зуд ба онҳо гуфт: «Натарсед! Ин Манам. Ором шавед».
MAT.14.28	Он гоҳ Петрус овоз бароварда гуфт: «Хоҷа, агар дар ҳақиқат ин Ту бошӣ, ба ман амр намо, ки рӯ-рӯи об назди Ту биёям». 
MAT.14.29	«Биё», — амр дод Ӯ. Инак, Петрус аз қаиқ баромада дар рӯи об қадам занон ба Исо наздик мешуд. 
MAT.14.30	Сахт вазидани шамолро дида тарсид ва қариб ғарқ шуда буд ки, фарёд зад: «Хоҷа, маро наҷот деҳ!» 
MAT.14.31	Исо зуд дасташро дароз карда, Петрусро дошта гирифт ва гуфт: «Ин қадар имонат суст аст? Чаро шубҳа кардӣ?»
MAT.14.32	Бо ин суханон онҳо ба қаиқ савор шуданд ва шамол аз вазидан бозмонд. 
MAT.14.33	Он гоҳ онҳое, ки дар қаиқ нишаста буданд, ба Исо саҷда карда хитоб намуданд, ки Ӯ дар ҳақиқат Писари Худо аст.
MAT.14.34	Онҳо аз кӯл гузашта, ба сарзамини Ҷинесор омада расиданд. 
MAT.14.35	Мардуми он ҷо Исоро шинохтанд ва ба гирду атрофи он сарзамин одамонро фиристоданд, то ки беморонро назди Ӯ гирифта биёранд. 
MAT.14.36	Онҳо аз Исо илтимос мекарданд, ки ақаллан ба лаби доманаш даст расонанд ва ҳар касе ки даст мерасонд, шифо меёфт.
MAT.15.1	Сипас, ба назди Исо аз Ерусалим чанд нафаре аз фарисиёну шариатдонон омада пурсиданд: 
MAT.15.2	«Чаро шогирдони Шумо урфу одатҳои аҷдодони моро вайрон мекунанд? Онҳо бетаҳорат сари дастархон мешинанд!»
MAT.15.3	Ӯ ҷавоб дод: «Худи шумо-чӣ? Чаро барои иҷро кардани урфу одатҳои худ шуда, фармудаҳои Худоро вайрон мекунед? 
MAT.15.4	Худо ба мо фармудааст: „Падару модари худро эҳтиром кунед“ ва „ҳар кӣ дар ҳаққи падар ё модараш сухани қабеҳ гӯяд, ҷазояш марг аст“. 
MAT.15.5	Шумо бошед, таълим медиҳед, ки агар касе ба падару модараш бо чизе ёрӣ расонда тавонад, вале ёрӣ нарасонда гӯяд, ки ман инро ба Худо мебахшам, 
MAT.15.6	он гоҳ ҳоҷат нест, ки ба падараш изҳори эҳтиром кунад. Ҳамин тавр шумо барои риоя кардани урфу одатҳои худ шуда, фармудаҳои Худоро барҳам медиҳед. 
MAT.15.7	Эй одамони дурӯя! Ҳақ буд Ишаъё пайғамбар, вақте ки оид ба шумо пешгӯйӣ карда гуфта буд:
MAT.15.8	„Худо мегӯяд:
MAT.15.8	«Ин одамон бо суханонашон Маро таъриф мекунанд,
MAT.15.8	вале дар асл дилашон аз Ман дур аст.
MAT.15.9	Онҳо Маро бефоида парастиш мекунанд,
MAT.15.9	чунки қонуну қоидаҳои инсониро „қонуни Худо“ гуфта таълим медиҳанд!»“»
MAT.15.10	Баъд Исо мардумро ба наздаш ҷеғ зада гуфт: «Ҳамин чизро бидонед, ки 
MAT.15.11	он чи аз даҳони одам ба дарунаш медарояд, ӯро ҳаром намекунад, балки он чи аз даҳонаш берун мебарояд, ӯро ҳаром мекунад».
MAT.15.12	Он гоҳ шогирдонаш ба Ӯ наздик шуда гуфтанд: «Медонед, фарисиён аз суханони Шумо ранҷиданд».
MAT.15.13	Исо дар ҷавоб гуфт: «Ҳар гиёҳе, ки Падари осмониам нашинондааст, бо решааш канда партофта мешавад. 
MAT.15.14	Ба фарисиён аҳамият надиҳед. Онҳо худашон кӯр ҳастанду боз дигар кӯронро роҳнамоӣ мекунанд. Агар кӯр ба кӯри дигар роҳ нишон диҳад, ҳардуяшон рафта ба чоҳ меафтанд».
MAT.15.15	Дар ин вақт Петрус ба Исо мегӯяд: «Ба мо маънои масали пештар овардаатонро шарҳ диҳед». 
MAT.15.16	Ӯ ба онҳо мегӯяд: «Наход то ҳол нафаҳмида бошед? 
MAT.15.17	Магар намедонед, ки он чи шумо мехӯред, аз даҳон медарояду баъд аз меъда гузашта берун мебарояд? 
MAT.15.18	Лекин он чи аз даҳон мебарояд, одамро ҳаром мекунад, чунки он аз дили одам бармеояд. 
MAT.15.19	Зеро аз дил фикрҳои бад берун меоянд, ки сабаби одамкушӣ, алоқаи беникоҳ, фисқу фуҷур, дуздиву шаҳодати дурӯғдиҳӣ ва тӯҳматкунӣ мегарданд. 
MAT.15.20	Ана ин чизҳо одамро ҳаром мекунанд. Аммо бетаҳорат ба сари дастархон нишастан одамро ҳаром намекунад».
MAT.15.21	Исо аз он ҷо баромада, ба наздикиҳои шаҳрҳои Суру Сидӯн рафт. 
MAT.15.22	Инак, як зани канъонӣ, ки дар он маҳал зиндагӣ мекард, додзанон назди Исо рафта истода гуфт: «Эй Насли Довуд! Илтимос, Хоҷаам, ба ман раҳм кунед! Духтарам дев дорад ва аҳволаш бениҳоят вазнин аст».
MAT.15.23	Аммо аз Исо садое ҳам набаромад. Шогирдонаш ба Ӯ наздик шуда, хоҳиш карда гуфтанд: «Ин зан доду войкунон аз дунболи мо омада истодааст. Ба вай гӯед, ки биравад!» 
MAT.15.24	Исо ҷавоб дод: «Ман фақат ба назди гӯсфандони гумроҳшуда — халқи Исроил фиристода шудаам!»
MAT.15.25	Дар ин мобайн зан ба Ӯ расида омаду ба пеши пойҳояш худро партофта зориву илтиҷо кард: «Хоҷаам, ба ман ёрӣ диҳед!» 
MAT.15.26	Вай ҷавоб гардонд: «Нони фарзандонро гирифта ба сагон партофтан дуруст нест».
MAT.15.27	«Рост мегӯед, Хоҷаам, — гуфт дар ҷавоб зан, — лекин сагон ҳам нонрезаҳои аз дастархони соҳибашон боқимондаро мехӯранд-ку». 
MAT.15.28	Исо ба ин ҷавоби ӯ гуфт: «Имонат бениҳоят боқувват будааст, хоҳар! Он чи мехостӣ бароят иҷро мешавад». Худи ҳамон лаҳза духтари зан шифо ёфт.
MAT.15.29	Исо он ҷойро тарк карду қад-қади кӯли Ҷалил рафта ба теппае баромада нишаст. 
MAT.15.30	Ба назди Вай тӯда-тӯда одамон омада, бо худ одамони лангу маъюб, кӯру гунг ва боз дигар хел касалонро оварда пеши пойҳояш мегузоштанд ва Ӯ ҳамаи онҳоро шифо медод. 
MAT.15.31	Дар пеши назари ҳама гунгҳо гап задаву лангҳо роҳ рафтаву кӯрон дида метавонистагӣ шуданд, маъюбон сиҳат гаштанд. Инро дида ҳама ҳайрон монданд ва Худои Исроилро ситоиш карданд.
MAT.15.32	Исо шогирдонашро ба наздаш даъват карда гуфт: «Ба ин одамон раҳмам меояд, онҳо се рӯз боз бо Ман ҳастанд ва ҳеҷ хӯрдание надоранд. Ман намехоҳам, ки онҳоро аз пеши худ гурусна ҷавоб диҳам, мабодо дар роҳ аз ҳол нараванд». 
MAT.15.33	Шогирдонаш ба Ӯ гуфтанд: «Дар ин биёбон мо аз куҷо ин қадар нон меёбем, ки ба чунин тӯдаи одамон расонда тавонем?» 
MAT.15.34	Исо дар навбати худ аз онҳо пурсид: «Шумо чанд нон доред?» «Ҳафтто, — ҷавоб доданд онҳо, — ва якчанд моҳии хурд ҳам дорем».
MAT.15.35	Ӯ мардумро фармуд, ки рӯи замин бишинанд. 
MAT.15.36	Баъд он ҳафт нону моҳиҳоро ба даст гирифта, Худоро шукргӯён онҳоро пора кард ва ба шогирдонаш дод. Шогирдонаш нонпораҳоро гирифта ба мардум тақсим карданд. 
MAT.15.37	Ҳамаи то сер шудан хӯрданду шогирдон боз ҳафт сабади калон пур аз нонпораҳои боқимонда ҷамъ карданд. 
MAT.15.38	Шумораи онҳое, ки нону моҳӣ хӯрда буданд, ғайр аз занону кӯдакон, чор ҳазор нафар буд.
MAT.15.39	Пас Исо мардумро ҷавоб дода, ба қаиқ савор шуду ба сарзамини Маҷдал раҳсипор гашт.
MAT.16.1	Баъд аз чанд вақт ба назди Исо баъзе аз фарисиён ва саддуқиён омаданд. Онҳо Вайро озмуданӣ шуда, талаб намуданд, ки ба онҳо ягон нишонае аз ҷониби Худо диҳад. 
MAT.16.2	Аммо Исо дар ҷавоб гуфт: «Агар шомгоҳон осмон кушода бошад, шумо мегӯед, ки пагоҳ ҳавои нағз мешавад. 
MAT.16.3	Агар субҳидам осмон тираву гирифта бошад, мегӯед, ки имрӯз шамолу боронгарӣ мешавад. Шумо нишонаҳои осмонро дида чӣ гуна шудани ҳаворо фаҳмида метавонеду нишонаҳои ҳозиразамонро дида, онҳоро муайян карда наметавонед. 
MAT.16.4	Фақат насли ба Худо бевафою бадон нишона меҷӯяд! Худо ба ин насл ҳеҷ нишонаи дигаре ба ғайр аз он ки бо Юнус пайғамбар рӯй додааст, намедиҳад».
MAT.16.4	Инро гуфта Ӯ аз наздашон рафт.
MAT.16.5	Вақте ки шогирдон ба дигар тарафи кӯл расида омаданд, диданд, ки бо худ нон гирифтанро фаромӯш кардаанд.
MAT.16.6	Исо ба онҳо гуфт: «Ҳушёр бошед! Худро аз хамиртуруши фарисиёну саддуқиён эҳтиёт кунед». 
MAT.16.7	Он гоҳ шогирдонаш ба муҳокима даромада, ба якдигар мегуфтанд: «Ӯ аз сабаби бо худ нон нагирифтанамон инро гуфт».
MAT.16.8	Лекин Исо аз муҳокимаи онҳо дарак дошт ва пурсид: «Ҳой, барои чӣ шумо набудани нонро бо якдигар муҳокима мекунед? Имонатон ин қадар суст аст?! 
MAT.16.9	Наход то ҳол ҳеҷ чиз нафаҳмида бошед? Магар он панҷ нонро дар ёд надоред, ки чӣ хел панҷ ҳазор нафар хӯрданду боз боқимондаашро дар чанд сабад ҷамъ кардед? 
MAT.16.10	Ё он ҳафт нонро, ки чор ҳазор нафар хӯрданду боз боқимондаашро дар чанд сабади калон ҷамъ кардед? 
MAT.16.11	Чӣ тавр шумо намефаҳмед, ки Ман нонро дар назар надорам? Балки гуфтанӣ ҳастам, ки худро аз хамиртуруши фарисиён ва саддуқиён эҳтиёт кунед!»
MAT.16.12	Он гоҳ шогирдон фаҳмиданд, ки Ӯ на аз хамиртуруши нон, балки аз таълимоти фарисиёну саддуқиён эҳтиёт шудани онҳоро дар назар дошт.
MAT.16.13	Исо бо шогирдонаш ба маҳаллаи назди шаҳраки Қайсарияи Филиппус рафт. Дар он ҷо Ӯ ба онҳо савол дод: «Одамон дар бораи кӣ будани Фарзанди Инсон чӣ мегӯянд?» 
MAT.16.14	Онҳо ҷавоб дода гуфтанд: «Баъзеҳо мегӯянд, ки Ӯ Яҳёи Таъмиддиҳанда аст, қисми дигари одамон мегӯяд, ки Илёс ё Ирмиё ва ё яке аз дигар пайғамбарони гузашта омадааст». 
MAT.16.15	Исо аз онҳо пурсид: «Шумо чӣ? Шумо Маро кӣ мешуморед?» 
MAT.16.16	Шимъӯни Петрус ба Ӯ ҷавоб дод: «Ту ҳамон Таъиншуда ва Писари Худои зинда ҳастӣ».
MAT.16.17	Он гоҳ Исо ба Петрус гуфт: «Чӣ хел хушбахт ҳастӣ, Шимъӯн, писари Юҳанно! Чунки инро ба ту на одамизод, балки Падари Ман, ки дар осмон аст, ошкор кардааст. 
MAT.16.18	Бинобар ин ба ту мегӯям, ки ту Петрус — санг ҳастӣ
MAT.16.19	Ман ба ту калидҳои подшоҳии Худоро медиҳам ва ҳар чиро, ки ту дар замин манъ кунӣ, Худо аз осмон онро манъ мекунад ва ба ҳар чӣ, ки иҷозат диҳӣ, Худо аз осмон ба он иҷозат медиҳад».
MAT.16.20	Баъд Исо ба шогирдонаш қатъӣ таъкид кард, ки Таъиншудаи Худо будани Ӯро ба касе нагӯянд.
MAT.16.21	Аз ҳамон вақт сар карда Ӯ ба шогирдонаш кушоду равшан мегуфт, ки бояд ба Ерусалим равад ва дар он ҷо аз дасти пирони қавм, сардорони рӯҳонӣ ва шариатдонон бисёр азоб мекашад. Оқибат Ӯ кушта мешавад, вале баъд аз се рӯз аз нав зинда мегардад.
MAT.16.22	Петрус бошад, Исоро як сӯ бурда сарзаниш карда гуфт: «Худо нишон надиҳад! Эй Худованд, он чи гуфтӣ, бигзор ба сарат наояд!» 
MAT.16.23	Лекин Вай ба Петрус рӯй оварда гуфт: «Дур шав аз Ман, шайтон! Ту ба Ман халал расонда истодаӣ, чунки ту фикри Худоро надорӣ, балки фикри инсонӣ мекунӣ!»
