MAT.1.1	Dja nau nkoch yao u che Brah Yêsu Krist
MAT.25.14	“Nau Kôranh Brah mât uănh tâm ban ma du huê bu klô, ê lor ma păng hăn ƀon ngai, păng kuăl phung dâk păng, jêh ri jao drăp ndơ ma khân păng ăn mât uănh.
MAT.25.15	Du huê păng ăn 5000
MAT.25.16	Nơm i dơn 5000 ri, păng sŏ prăk i nây hăn tăch rgâl ro, păng hao geh 5000 jât. 
MAT.25.17	Nơm i dơn 2000 tâm ban kơt nây đŏng, păng sŏ prăk hăn tăch rgâl hao geh 2000 jât. 
MAT.25.18	Lŏng nơm i dơn 1000 ri, păng kuyh ntu tŏp lơi prăk i kôranh păng ăn ri. 
MAT.25.19	Tât jŏ nar bơh kơi sât i kôranh khân păng i nây bơh ri, păng ôp prăk tâng rnoh ŏk păng ăn ma khân păng ri nơh. 
MAT.25.20	Nơm i dơn prăk 5000 ri nơh hăn ta bơh năp păng ri, ndjôt prăk i hao 5000 ri nơh jât, lah ma kôranh păng: ‘Ơ kôranh, may ăn prăk ma gâp nơh 5000, aƀaơ dja hao geh 5000 jât’.
MAT.25.21	Kôranh lah ma păng: ‘Ueh ngăn! Ơ dâk ueh geh nuih n'hâm răp jăp, ndơ jê̆ gâp ăn, may jan lĕ răp jăp. Gâp mra ăn may mât uănh ndơ kuŏng jât. Lăp hŏm gŭ maak ndrel gâp nơm’. 
MAT.25.22	Nơm i dơn prăk 2000 ri nơh, ndjôt prăk i hao 2000 jât, hăn ndơ̆ a kôranh păng, lah kơt ndri đŏng: ‘Ơ kôranh! May ăn prăk ma gâp nơh 2000, aƀaơ dja hao geh 2000 jât’. 
MAT.25.23	Kôranh păng ơh: ‘Ueh ngăn! Ơ bunuyh jan kar ueh geh nuih n'hâm sŏng, ndơ jê̆ gâp ăn, may jan lĕ sŏng. Gâp mra ăn may mât uănh ndơ kuŏng jât. Lăp hŏm gŭ maak ndrel gâp nơm’. 
MAT.25.24	Jêh ri nơm i dơn prăk 1000 ri nơh hăn a kôranh păng đŏng, lah ma păng: ‘Ơ kôranh! Gâp gĭt may jêng bunuyh janh ngăn. Yorlah may kăch ta ntŭk may mâu prot tuch, jêh ri rek ta ntŭk mâu prot tăm. 
MAT.25.25	Kơt ndri gâp sŏ prăk i may ăn ma gâp nơh tŏp lơi, yorlah gâp klach hô ir ngăn. Dja prăk may nơm sŏ hŏm’. 
MAT.25.26	Yơn ma kôranh păng ơh: ‘Ơ bunuyh jan kar djơh mhĭk, ndrel ma rleh ƀlao! May gĭt gâp kăch ta ntŭk gâp mâu prot tuch, jêh ri rek ta ntŭk mâu prot tăm. 
MAT.25.27	Lah ndri di lah ăn may sŏ prăk i nây ăn ta jay bu tăch rgâl, tât gâp plơ̆ sât, gâp geh prăk ơm, geh nđâp ma lôh kon păng đŏng! 
MAT.25.28	Lah ndri khân may sŏ hŏm prăk bơh păng dja ăn ma bunuyh i geh 10000. 
MAT.25.29	Kơt ndri bu moh i lĕ geh, bu kơi ntop ăn tay, ăn geh ŏk rmeh jât. Yơn ma bu moh i mâu geh ôh, bu rhuăt lơi nđâp ma moh ndơ i păng lĕ geh đŏng.
MAT.25.30	Lŏng bunuyh i jan kar mâu geh nau khlay dja, nhŭp mƀăr lơi păng ta ntŭk ngo bơh dih, ta ntŭk nây nhhiăng nhŭm, ndrel ma rchiăt sêk!’”
MAT.25.31	“Nôk Gâp i Kon Bunuyh tă bơh Kôranh Brah plơ̆ văch nđâp ma nau chrêk lơp Gâp, ndrel ma dâng lĕ phung tông păr, nôk nây Gâp gŭ ta rnơl kađăch chrêk lơp Gâp nơm.
MAT.25.32	Nôk nây dâng lĕ bunuyh dâng lĕ ndŭl mpôl văch gum ta Gâp dadê. Gâp tâm nkhah lơi khân păng, tâm ban ma bunuyh chiăp tâm nkhah be biăp đah be. 
MAT.25.33	Bunuyh i tâm ban ma be biăp Gâp ăn gŭ bơh ma, bunuyh i tâm ban ma be Gâp ăn gŭ bơh chiao. 
MAT.25.34	Nôk nây Gâp i kađăch lah ma phung gŭ bơh ma Gâp ntŭk bu lư: ‘Ơ phung lĕ Bơ̆ Gâp ăn nau geh jêng jêh! Văch hŏm, lăp gŭ ta nau Kôranh Brah mât uănh i lĕ Păng ndrăp ăn ma khân ay may ntơm bơh njêng neh ntu nơh. 
MAT.25.35	Yorlah nôk Gâp ji ngot khân ay may lĕ ăn ndơ sông sa ma Gâp, nôk Gâp ji hir khân ay may ăn dak Gâp nhêt, nôk Gâp jêng bu năch i khân ay may mâu gĭt năl, khân ay may hôm rom ăn gŭ,
MAT.25.36	nôk Gâp gŭ săk kuh khân ay may ăn bok ao nsoh, nôk Gâp geh nau ji khân ay may hăn chop, nôk Gâp geh ndrung khân ay may hăn khŏl kơl Gâp đŏng’. 
MAT.25.37	Jêh ri phung sŏng lah ma Gâp: ‘Ơ Kôranh! Hên mâu prot ôh say May ji ngot, jêh ri ăn May sông, mâu lah ji hir dak ăn dak May nhêt. 
MAT.25.38	Hên mâu prot ôh say May jêng bu năch i hên mâu gĭt năl, jêh ri rom May lăp jay, mâu lah say May gŭ săk kuh hên ăn bok ao ma May. 
MAT.25.39	Hên mâu prot đŏng say May geh nau ji, mâu lah geh ndrung, jêh ri hăn chop khŏl kơl May’. 
MAT.25.40	Jêh ri Gâp i kađăch lah ma khân păng: ‘Gâp lah n'hêl nanê̆ ngăn ma khân ay may, ăp tơ̆ khân ay may lĕ geh jan nau i nây ma du huê bunuyh i dŭt jê̆ ta nâm bu ta phung oh nô Gâp, tâm ban ma khân ay may lĕ geh jan ăn ma Gâp đŏng’.
MAT.25.41	Jêh ri Gâp lah ma phung i gŭ bơh chiao Gâp: ‘Ơ phung lĕ Kôranh Brah rak rtăp! Rŭch du ngai hŏm bơh Gâp hăn ta ndrung ŭnh hit mro mrăng, jêng ntŭk ndrăp ma tê̆ dôih Satăng i kôranh mpôl brah djơh, ndrel ma phung i tâng păng
MAT.25.42	Yorlah nôk Gâp ji ngot khân ay may mâu ăn Gâp sông, nôk Gâp ji hir khân ay may mâu ăn dak Gâp nhêt, 
MAT.25.43	nôk Gâp jêng bu năch i khân ay may mâu gĭt năl, khân ay may mâu rom gŭ, nôk Gâp gŭ săk kuh khân ay may mâu ăn bok ao ma Gâp, Gâp geh nau ji, ndrel ma geh ndrung khân ay may mâu hăn khŏl kơl Gâp đŏng’. 
MAT.25.44	Jêh ri phung i nây ơh ma Gâp: ‘Ơ Kôranh! Hên mâu prot ôh say May ji ngot, ji hir dak, jêng bu năch i hên mâu gĭt năl, gŭ săk kuh, geh nau ji, mâu lah geh ndrung, jêh ri mâu geh kơl May!’ 
MAT.25.45	Jêh ri Gâp lah tay ma khân păng: ‘Gâp lah n'hêl nanê̆ ngăn ma khân ay may, ăp tơ̆ khân ay may mâu geh ôh jan nau i nây ma du huê bunuyh i dŭt jê̆ ta nâm bu ta phung oh nô Gâp, lah ndri jêng tâm ban ma khân ay may mâu geh đŏng jan ma Gâp’. 
MAT.25.46	Lŏng dâng lĕ phung i nây hăn ta ntŭk tê̆ dôih n'ho ro, yơn ma phung sŏng geh nau rêh n'ho ro.”
MAT.26.1	Jêh Brah Yêsu lah kơt nây, jêh ri Păng lah ma mpôl oh mon Păng: 
MAT.26.2	“Khân may lĕ gĭt jêh hôm bar nar jât di nar nhêt ƀŭn n'hot, jêh ri bu nhŭp njŭn Gâp i Kon Bunuyh tă bơh Kôranh Brah ăn bu nkhât ta si tâm rkăng.”
MAT.26.3	Nôk nây mpôl kôranh jan brah, ndrel ma phung kôranh ƀon lan gŭ rƀŭn ta jay kôranh jan brah dŭt kuŏng, rnha păng Kaiphas,
MAT.26.4	jêh ri tâm nchră băl joi nau, mơm dâng geh nhŭp ntŭng Brah Yêsu nkhât lơi.
MAT.26.5	Yơn ma khân păng tâm nchră băl lah: “Lơi ôh bân nhŭp ta nôk jan ƀŭn, klach lah geh nau uh ah tah tŏr ma phung ƀon lan.”
MAT.26.6	Nôk Brah Yêsu gŭ ta ƀon Ƀêthani, Păng gŭ ta jay Simôn bunuyh tă phŭng sa. 
MAT.26.7	Nôk Păng sông sa ndrel, geh du huê bu ur brô̆ tât lăp ta jay nây ndjôt du mlŏm đop lŭ. Ta trôm đop nây geh ngi ƀô kah i khlay ngăn. Jêh ri păng tŏ dak ngi ƀô kah ta bôk Brah Yêsu. 
MAT.26.8	Yơn ma mpôl oh mon say kơt nây ji nuih, khân păng lah: “Moh jan mpŭng mpăng kơt nây! 
MAT.26.9	Lah sŏ dak ngi i nây tăch geh prăk ŏk ngăn, jêh ri pă ăn bunuyh o ach!” 
MAT.26.10	Yơn ma Brah Yêsu gĭt nau khân păng ngơi, Păng lah ma khân păng: “Mơm dâng khân may jan ăn bu ur i nây geh nau rngot kơt nây? Păng lĕ jan nau ueh ăn ma Gâp. 
MAT.26.11	Bunuyh o ach hôm gŭ ndrel khân may mro, yơn ma Gâp dja mâu ôh gŭ ndrel khân may mro.
MAT.26.12	Yôh dja tŏ dak ngi ƀô kah ta săk Gâp, păng ndrăp tŏp Gâp ta môch. 
MAT.26.13	Gâp lah n'hêl nanê̆ ngăn ma khân may, ăp ntŭk bu hăn mbơh nkoch nau mhe mhan ueh dja lam n'gor bri ta neh ntu dja, bu nkoch ma nau i păng jan nơh đŏng, gay ma nkah tôr bu bah chuêl păng.”
MAT.26.14	Nôk nây geh du huê oh mon ta mpôl kôranh oh mon 12 nuyh ri, rnha păng Yuđas-Isakariyôt, păng hăn mâp mpôl kôranh jan brah, ôp khân păng:
MAT.26.15	“Moh ndơ khân may ăn ma gâp, lah gâp njŭn bunuyh i nây ma khân may?” Khân păng ăn prăk ma păng 30 kăk prăk
MAT.26.16	Ntơm bơh nôk nây Yuđas-Isakariyôt joi mong i ueh, gay ma leo bu hăn nhŭp Brah Yêsu.
MAT.26.17	Ta nar lăp nhêt ƀŭn nŭmpăng mâu geh ndrui, mpôl oh mon hăn a Brah Yêsu ôp Păng: “Hơi Kôranh, ah ntŭk May ŭch ăn hên ndrăp ma May nhêt sông ƀŭn n'hot
MAT.26.18	Brah Yêsu lah ma khân păng: “Khân may hăn ta ƀon kuŏng Yêrusalem ri, hăn ta du huê bu klô i nây, lah ma păng: ‘Nơm nti lah, nar nau jêr jŏt Gâp bơi tât jêh, Gâp ŭch ndrăp nhêt ƀŭn n'hot ndrel mpôl oh mon Gâp ta jay may’.”
MAT.26.19	Jêh ri mpôl oh mon jan tâng nau Brah Yêsu đă ma khân păng, n'ho ma khân păng ndrăp ndơ sông sa ma nau nhêt ƀŭn n'hot ta ntŭk nây. 
MAT.26.20	Tât kêng măng Brah Yêsu gŭ ta nsưng ndrel 12 nuyh mpôl kôranh oh mon Păng. 
MAT.26.21	Nôk gŭ sông sa Păng lah kơt nđa: “Gâp lah n'hêl nanê̆ ngăn ma khân may, ta mpôl khân may geh du huê leo bu hăn nhŭp Gâp.” 
MAT.26.22	Dâng lĕ mpôl kôranh oh mon rvê hô ngăn, khân păng ôp Brah Yêsu: “Ơ Kôranh! Gĭt gâp hơ?” 
MAT.26.23	Brah Yêsu lah ma khân păng: “Bu moh păng i lŭp nŭmpăng ta ngan ndrel Gâp, păng i nây leo bu hăn nhŭp Gâp. 
MAT.26.24	Gâp i Kon Bunuyh tă bơh Kôranh Brah bu mra nkhât, tâng ma nau lĕ nchih lah ma nau Gâp. Tih ma păng i leo bu hăn nhŭp Gâp i Kon Bunuyh tă bơh Kôranh Brah nây, păng i nây geh nau rêh rnhăl ngăn ro, ueh rlau lơi dâng deh păng i nây nơh.”
MAT.26.25	Yuđas-Isakariyôt i nơm leo bu hăn nhŭp Păng ri lah: “Ơ Nơm Nti! Gĭt gâp hơ?” Brah Yêsu lah ma păng: “Di kơt nau may lah nây ngăn!”
MAT.26.26	Khân păng hôm gŭ sông sa, jêh ri Brah Yêsu sŏ du mlŏm nŭmpăng, lah ueh ma Kôranh Brah, jêh ri gĭch ăn mpôl oh mon sa, n'ho ma lah: “Khân may sŏ sa yơ̆, dja i săk jăn Gâp
MAT.26.27	Jêh ri Păng sŏ kchok ndrănh play yŭng yar ƀon lah ueh ma Kôranh Brah, Păng ndơ̆ ăn ma khân păng, jêh ri lah: “Nhêt dâng lĕ ma băl hŏm, 
MAT.26.28	yorlah ndrănh play yŭng yar ƀon ta kchok dja i mham Gâp
MAT.26.29	Gâp mbơh ăn ma khân may gĭt, Gâp mâu hôm ôh nhêt ndrănh play yŭng yar ƀon dja jât, n'ho ma tât nar Gâp nhêt ndrănh play yŭng yar ƀon mhe tât nau Bơ̆ Gâp mât uănh lĕ tât ngăn mơ.”
MAT.26.30	Jêh mprơ rnê, Brah Yêsu ndrel mpôl oh mon Păng lôh bơh nây hăn jât yôk tơm Ôlive.
MAT.26.31	Brah Yêsu lah ma mpôl oh mon Păng: “Dâng lĕ khân may ntlơi Gâp ta măng dja, yor ma ta Nau Kôranh Brah Ngơi lĕ geh nchih: ‘Kôranh Brah lah:
MAT.26.31	‘Gâp mbang nkhât lơi nơm chiăp be biăp,
MAT.26.31	Jêh ri phung be biăp du chah chrai lĕ’’
MAT.26.32	Yơn ma jêh Gâp dâk rêh tay, Gâp hăn tât lor bơh năp khân may ta bri Galilê.”
MAT.26.33	Jêh tăng Brah Yêsu ngơi ndri Pêtrôs lah ma Păng: “Bol lah dâng lĕ khân păng ntlơi May kađôi, du njăr nau rêh gâp, gâp mâu ôh ntlơi May.” 
MAT.26.34	Brah Yêsu lah ma păng: “Gâp lah n'hêl nanê̆ ngăn ma may: Ta măng dja ro, ê lor ma iăr ndrau, may rlăch pe tơ̆ lah mâu gĭt năl Gâp.”
MAT.26.35	Pêtrôs lah ma Brah Yêsu: “Mâu ôh! Bol lah bu nkhât Gâp ndrel may kađôi, Gâp mâu geh ôh rlăch lah mâu gĭt năl may.” Dâng lĕ mpôl oh mon aƀă lah kơt păng dadê đŏng.
MAT.26.36	Jêh ri Brah Yêsu, ndrel ma phung oh mon Păng hăn jât du ntŭk rnha Gêtsêmanê. Păng lah: “Khân may gŭ ta dja ƀŏt yơ̆. Gâp hăn mbơh sơm a to ƀŏt.” 
MAT.26.37	Brah Yêsu jă Pêtrôs, ndrel ma bar hê i kon Sêƀêđê hăn ndrel Păng. Nôk nây ta nuih n'hâm Brah Yêsu ntơm geh nau rngot, ndrel ma geh nau ôh nuih ôh n'hâm hô ngăn.
MAT.26.38	Păng lah ma pe nuyh khân păng nây: “Nuih n'hâm Gâp rngot hô ngăn ndă ma khât ro. Khân may hôm gŭ ta dja ƀŏt, gŭ rngeh njrăng ndrel Gâp hŏ.” 
MAT.26.39	Jêh ri Brah Yêsu hăn jât năp đê̆, păn truyh a neh mbơh sơm dăn: “Ơ Bơ̆! Lah dơi, dăn May sŏ nau jêr jŏt dja ăn du ngai bơh Gâp, yơn ma lơi tâng nuih n'hâm Gâp ŭch ôh, ăn tâng nau May nơm ŭch hŏ.”
MAT.26.40	Jêh ri Păng plơ̆ jât mpôl oh mon nây, say khân păng hăk bêch, Păng lah ma Pêtrôs: “Mơm khân may gŭ rngeh ndrel Gâp du mong mâu dơi đŏng! 
MAT.26.41	Khân may njrăng hŏm n'ho ma mbơh sơm, gay ma mâu jan tih nôk geh nau ndơm. Nuih n'hâm bunuyh lĕ ŭch jan di ngăn, tih ma mâu ôh blao jan, yor ma hôm rdja.”
MAT.26.42	Jêh ri Păng plơ̆ mbơh sơm tay du tơ̆ jât: “Ơ Bơ̆! Lah nau jêr dja mâu ôh dơi ƀah ngai bơh Gâp, lah ndri tâng nau May nơm ŭch!” 
MAT.26.43	Tât Brah Yêsu plơ̆ tay ta mpôl oh mon ri, say khân păng hôm hăk bêch dadê, lin măt mâu dơi. 
MAT.26.44	Păng hăn bơh ntŭk nây du tơ̆ jât, plơ̆ mbơh sơm ăp pe tơ̆, Păng mbơh sơm kơt nau ơm. 
MAT.26.45	Jêh ri Păng plơ̆ tay ta phung oh mon ri, lah ma khân păng: “Khân may hôm bêch dah jŏ ma kah? Lŏng aƀaơ dja mong lĕ tât jêh, bu njŭn Gâp i Kon Bunuyh tă bơh Kôranh Brah ăn ma phung bunuyh tih.
MAT.26.46	Dâk hŏm leo băl hăn, nơm i leo bu hăn nhŭp Gâp, lĕ bơi tât hơi!”
MAT.26.47	Dôl Brah Yêsu hôm ngơi nây tât Yuđas-Isakariyôt i du huê bunuyh ta 12 nuyh mpôl kôranh oh mon nây. Geh du phung kuŏng hăn ndrel păng nây, ndjôt mŏng ndjôt đao. Khân păng i nây tă bơh mpôl kôranh jan brah, ndrel ma phung kôranh ƀon lan de đă. 
MAT.26.48	Yuđas-Isakariyôt i leo bu hăn nhŭp Brah Yêsu nây lĕ jêh mbơh du ntil nau ăn gĭt năl ma bu lah: “Bu moh i gâp chŭm
MAT.26.49	Yuđas-Isakariyôt tât ta ri, păng hăn jât Brah Yêsu, ôp Brah Yêsu: “Ueh lăng Nơm Nti!” Jêh ri chŭm Brah Yêsu. 
MAT.26.50	Brah Yêsu ôp păng: “Ơ jăng! Moh ndơ may hăn ta dja ŭch jan, may jan hŏm!” Jêh ri bu nhŭp krŭp Brah Yêsu. 
MAT.26.51	Dô ma say geh du huê ta phung gŭ ndrel Brah Yêsu, tăk đao sreh tăch tôr du ding dâk kôranh jan brah dŭt kuŏng. 
MAT.26.52	Brah Yêsu lah ma păng i nây: “Ntrŭp hŏm đao may nây ta ndrôm, yorlah bu moh i dŏng đao, păng khât ma đao đŏng.
MAT.26.53	Gĭt may nđôn lah Gâp mâu ôh dơi dăn ma Bơ̆ Gâp, jêh ri Păng njuăl phung tông păr rlau ma 12 phung, du phung geh 6000 nuyh hăn kơl Gâp ro?
MAT.26.54	Yơn ma lah jan kơt nây, mơm dâng geh ma di đah Nau Kôranh Brah Ngơi lĕ geh nchih ăn geh nau dja ngăn?” 
MAT.26.55	Jêh ri Brah Yêsu lah ma phung i nây: “Moh brô̆ khân may ndjôt nđâp ma mŏng ma đao kơt nây, kơp Gâp jêng bunuyh ntŭng bơh? Ăp nar kăl dơ̆ nơh, Gâp gŭ ntŭm nti ta jŏng gung nhih jan brah. Khân may gŭ ta nây đŏng, mâu ôh say nhŭp Gâp.
MAT.26.56	Dâng lĕ nau dja geh ngăn, gay ma jêng di kơt nau mpôl bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh lĕ nchih ta Nau Kôranh Brah Ngơi.” Jêh ri mpôl oh mon nchuăt lĕ rngŏt, ntlơi Brah Yêsu.
MAT.26.57	Phung i nhŭp Brah Yêsu njŭn Păng hăn ta jay Kaiphas i kôranh jan brah dŭt kuŏng, jêng ntŭk mpôl nơm nti nau vay phung Israel, ndrel ma phung kôranh bri Yuđa gŭ rgum đŏng. 
MAT.26.58	Pêtrôs tâng Brah Yêsu brô̆ ndŏp bôk mpơl bôk, n'ho ma tât ta jŏng gung jay kôranh jan brah i nây. Păng lăp gŭ ndrel mpôl bunuyh kơl jan kar ta ntŭk nây, gay ma ŭch gĭt moh ndơ nau geh. 
MAT.26.59	Mpôl kôranh jan brah, ndrel ma dâng lĕ phung kôranh jan kar phung Israel tâm nchră băl joi bunuyh ma tơm ntôn nklă Brah Yêsu gay ma tê̆ dôih nkhât lơi Păng. 
MAT.26.60	Joi mâu ôh dơi say, bol lah geh ŏk bunuyh ngơi nchơt ma Ôbăl kađôi đŏng. Jêh ri geh bar hê bunuyh lah:
MAT.26.61	“Bunuyh dja lĕ lah kơt nđa: ‘Gâp dơi rơih lơi nhih jan brah ma Kôranh Brah, jêh ri jan jêh tay pe nar dơm’.”
MAT.26.62	Jêh ri kôranh jan brah dŭt kuŏng dâk lah Brah Yêsu: “Mơm May mâu ơh nau bu ntôn May nây mêh?” 
MAT.26.63	Yơn ma Brah Yêsu gŭ iăt săk rklăk. Jêh ri kôranh jan brah dŭt kuŏng nây ôp tay: “Gâp đă May mbơh ma hên ma nau ton ta bơh năp Kôranh Brah i rêh ngăn: May jêng Brah Krist i nơm rklaih tă bơh Kôranh Brah de njuăl ngăn, i Kon Kôranh Brah ngăn ƀah?”
MAT.26.64	Brah Yêsu ơh: “Nau may lah i ri di ngăn, yơn ma Gâp mbơh nkoch ma khân may
MAT.26.64	Dâng lĕ khân may mra say Gâp i Kon Bunuyh tă bơh Kôranh Brah
MAT.26.64	Gŭ bơh ma ti Kôranh Brah nơm i dŭt nau dơi,
MAT.26.64	Jêh ri jŭr bơh trôk ri hăn rŏ ndŏr tŭk
MAT.26.65	Jêh tăng Păng ngơi kơt nây, kôranh jan brah dŭt kuŏng nây nkhêk chuik ao păng nơm
MAT.26.66	Lah ndri mơm khân may ŭch tê̆ dôih ma Păng?” Khân păng ơh: “Iăt ma tê̆ dôih nkhât Păng ro!” 
MAT.26.67	Jêh ri bu soh dak diu ta muh măt Brah Yêsu, thŭk Păng thăk Păng, bunuyh aƀă tap Păng,
MAT.26.68	nđâp ma lah Păng: “Ơ Brah Krist, lah May Brah Krist ngăn May gĭt dâng lĕ ndơ, lah ndri May mbơh ma hên bu moh thŭk May!”
MAT.26.69	Nôk nây Pêtrôs gŭ ta bơh dih jay ta jŏng gung. Geh du huê bu ur sơm kơl jan kar ta nây hăn dăch păng, jêh ri ôp: “Ngăn may băl mpôl đah Yêsu to i tă bơh bri Galilê đŏng!” 
MAT.26.70	Pêtrôs rlăch lah: “Gâp mâu gĭt ôh moh nau ay re lah ri.” 
MAT.26.71	Nôk Pêtrôs hăn gŭ a meng mpông, geh du huê bu ur a êng jât sơm kơl jan kar ta nây lah ma bu: “Păng dja đŏng gŭ ndrel Yêsu ƀon Nasaret!” 
MAT.26.72	Pêtrôs rlăch tay du tơ̆ jât nđâp ma ton: “Gâp mâu ôh gĭt năl bunuyh i nây!” 
MAT.26.73	Du ƀlât jât phung i gŭ ta nây hăn a păng lah: “May dja băl mpôl bunuyh i nây ngăn ro, yorlah nau may ngơi tâm ban ma nau ngơi bunuyh gŭ ta bri Galilê!” 
MAT.26.74	Pêtrôs lah: “Lah gâp mƀrôh gâp rtăp săk gâp nơm. Ăn Kôranh Brah tê̆ dôih ma gâp dôh. Gâp mâu gĭt năl bunuyh i nây.” Dô ma iăr ndrau.
MAT.26.75	Jêh ri Pêtrôs ntơm kah gĭt nau Brah Yêsu lah: “Ê lor ma iăr ndrau, may rlăch pe tơ̆ lah mâu gĭt năl Gâp.” Jêh ri păng lôh a dih nhŭm rngot hô ngăn ro.
MAT.27.1	Tât a ôi mpôl kôranh jan brah, ndrel ma mpôl kôranh phung Israel, khân păng tâm di du ntôr nau ŭch nkhât lơi Brah Yêsu. 
MAT.27.2	Khân păng kât Ôbăl leo njŭn a Pilat bunuyh ƀon Rôm, i kôranh kuŏng mât uănh bri Yuđa.
MAT.27.3	Nôk nây Yuđas-Isakariyôt i nơm leo bu hăn nhŭp Brah Yêsu nơh say bu tê̆ dôih Brah Yêsu, păng nduih tôr lăn ta nuih n'hâm. Păng sŏ prăk i 30 kăk ri nơh mplơ̆ ăn ma mpôl kôranh jan brah, ndrel ma phung kôranh phung Israel, 
MAT.27.4	jêh ri lah ma khân păng: “Gâp lĕ tih njŭn bunuyh mâu geh nau tih ăn khân may nkhât păng.” Khân păng ơh: “Gĭt eh may! I nây jêng nau may nơm!”
MAT.27.5	Yuđas-Isakariyôt mƀăr mbrach prăk i nây ta nhih jan brah, jêh ri du lôh bơh nây hăn nkhât yông ko săk păng nơm. 
MAT.27.6	Mpôl kôranh jan brah dônh prăk i nây, jêh ri lah: “Prăk dja bân mâu ôh di tê̆ ta keh prăk Kôranh Brah, yorlah prăk khlay mham.” 
MAT.27.7	Jêh khân păng tâm nchră ri, khân păng sŏ prăk i nây rvăt mir bunuyh mon glah ma ăn tŏp khât phung bu năch êng. 
MAT.27.8	Kơt ndri dâng bu kuăl ntŭk i nây n'ho ma tât nar dja lah ‘Mir mham’. 
MAT.27.9	Nau i nây jêng di đah nau bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh rnha Yêrêmi lĕ nchih: ‘Bu lĕ sŏ prăk 30 kăk i phung Israel lĕ lah khlay păng, 
MAT.27.10	jêh ri bu sŏ prăk i nây rvăt neh bunuyh mon glah, kơt Kôranh Brah lĕ đă jêh ma gâp’.
MAT.27.11	Brah Yêsu dâk bơh năp kôranh kuŏng Pilat, Pilat ôp Păng kơt nđa: “Ngăn lah May kađăch phung Israel ƀah?” Brah Yêsu ơh: “Ơ kơt nau may lah nau i nây.”
MAT.27.12	Yơn ma nôk mpôl kôranh jan brah, ndrel ma mpôl kôranh phung Israel ntôn Brah Yêsu, Păng mâu ơh ôh.
MAT.27.13	Pilat lah Păng: “May mâu tăng ƀah, dâng lĕ nau khân păng ntôn May nây?” 
MAT.27.14	Păng mâu ơh ôh, du tong Păng mâu ơh đŏng, n'ho ma tât kôranh kuŏng nây ndrŏt hih rhŏl ngăn.
MAT.27.15	Tâm ăp năm nhêt ƀŭn n'hot, kôranh kuŏng i nây vay mƀơk du huê bunuyh dôih tâng phung ƀon lan dăn. 
MAT.27.16	Nôk nây geh du huê bunuyh dôih bu lư gŭ ndrung, rnha păng Ƀaraƀas
MAT.27.17	Jêh phung ƀon lan tâm rgum băl, Pilat ôp khân păng: “Bu moh khân ay may ŭch ăn gâp mƀơk? Mƀơk Ƀaraƀas, mâu lah Yêsu i bu kuăl Brah Krist?” 
MAT.27.18	Păng lah kơt nây, yor ma păng lĕ gĭt jêh nuih n'hâm mpôl kôranh jan brah mâu nach, ndri dâng khân păng njŭn Brah Yêsu ăn ma păng nây.
MAT.27.19	Nôk Pilat hôm gŭ ta ntŭk phat dôih nây, ur păng đă bu hăn mbơh ma păng: “Lơi ôh jan ma bunuyh i nây, Păng mâu ôh geh nau tih. Yor ma bunuyh i nây măng to nơh gâp mbơi djơh hô ngăn.” 
MAT.27.20	Yơn ma mpôl kôranh jan brah, ndrel ma mpôl kôranh phung Israel nchâp ƀon lan dăn mƀơk Ƀaraƀas, jêh ri dăn nkhât lơi Brah Yêsu. 
MAT.27.21	Kôranh kuŏng Pilat ôp khân păng du tơ̆ jât: “Bar hê khân păng dja, bu moh khân ay may ŭch ăn gâp mƀơk?” Khân păng ơh: “Ƀaraƀas!”
MAT.27.22	Pilat ôp tay khân păng: “Lah ndri Yêsu i bu kuăl Brah Krist dja, mơm khân ay may ŭch ăn gâp jan?” Dâng lĕ khân păng nter drơu: “Nkhât Păng ta si tâm rkăng!” 
MAT.27.23	Pilat ôp tay lah: “Bunuyh dja moh nau djơh Păng lĕ jan?” Phung ƀon lan nter drơu lơ ma hô lah: “Đă bu nkhât Păng ta si tâm rkăng!” 
MAT.27.24	Pilat gĭt păng nơm mâu hôm dơi, say ƀon lan uh ah lơ ma hô đŏng. Jêh ri păng sŏ dak rao ti ta năp phung bunuyh ŏk, n'ho ma lah: “Nau dja dŭt ta khân ay may nơm yơ̆, gâp mâu ôh geh dôih đah nkhât bunuyh dja.”
MAT.27.25	Dâng lĕ phung ƀon lan ơh drơu: “Lah Păng mâu geh nau tih, ăn dôih i nây tŭp ta hên nơm, ndrel ma kon sau hên nơm mham Păng i nây!”
MAT.27.26	Ach ma Pilat ŭch jan tâng nau phung ƀon lan dăn nơh, păng mƀơk lơi Ƀaraƀas. Jêh ri păng đă tahen rpăt Brah Yêsu ma mŏng rse, n'ho ma jao ăn tahen nkhât Ôbăl ta si tâm rkăng. 
MAT.27.27	Phung tahen kôranh kuŏng Pilat leo Brah Yêsu hăn lăp ta jŏng gung nhih kôranh kuŏng nây, jêh ri dâng lĕ tahen ta nây gŭ jŭm Păng. 
MAT.27.28	Khân păng droh lơi bok ao Ôbăl, jêh ri sŏ ao chăng kuŏng i tâm ban ma ao kađăch nsoh ta Ôbăl. 
