MAT.1.1	Yesu Krɩstʋ weyi ɛ-cɔzɔ lɛ Daaviidi nɛ ɛ́lɛ́ cɔzɔ lɛ Abraham yɔ, ɛ-cɔzɔnaa hɩla yɔ:
MRK.8.28	Pocosi-i se: «Nabɛyɛ tɔŋ se ña lɛ Lɩm Sɔʋ Sɔnzɩ Laɖʋ Yohanɛɛsɩ. Lɛlaa se ña lɛ Elii weyi paaɖaŋaa yɔ nɛ lɛlaa se ña lɛ náyaa taa lɛlʋ.» 
MRK.8.29	Peeɖe ɛpɔzɩ-wɛ se: «Mɩ yɔ, mɩhʋʋ se ma lɛ anɩ?» Ɛlɛ́, Pɩyɛ cosi-i se: «Ña lɛ Weyi Ɛsɔ Lɩzaa Yɔ.» 
MRK.8.30	Ɛlɛ́, Yesu paɣ́-wɛ se pataaheyi-tʋ nɔɔyʋ kaʋ.
MRK.8.31	Yesu wɩlaɣ ɛ-tɔmkpɛlɩkɩyaa se peɖiɣzini se ɛnʋ Ɛyʋ Pɩyalʋ lɛ, pʋwɛɛ se ɛtɔɔ kʋñɔŋ siŋŋ nɛ Yuda ñɩma sɔsaa nɛ cɔjɔnaa sɔsaa nɛ pa-paɣtʋ wɩlɩyaa pekizi ɛ-tɔm nɛ pakʋ-ɩ ɛsɩ. Kɩyakʋ naadozo ñɩŋgʋ wiye lɛ, Ɛsɔ fezi-i. 
MRK.8.32	Eheyi-wɛ-tʋ camɩyɛ yayɩ yayɩ lɛ, Pɩyɛ yaa-ɩ nɛ pɛkɛɛ kɩjaʋ nɛ ekizini-i-tʋ. 
MRK.8.33	Peeɖe Yesu kisini ɛ-tɔmkpɛlɩkɩyaa yɔɔ nɛ ɛkalɩ Pɩyɛ se: «Satanɩ ña! Đɛɛ mɔ-yɔɔ. Ña-lɩmaɣza tɛkɛ Ɛsɔ ñɩna, ɛyáa ñɩna akɛnaa.»
MRK.8.34	Pʋwayɩ lɛ, Yesu yaa ɛyáa samaɣ nɛ ɛ-tɔmkpɛlɩkɩyaa nɛ eheyi-wɛ se: «Weyi e-liu wɛɛ se ɛtɩŋɩɣ ma-wayɩ yɔ, pʋwɛɛ se ɛsɔɔ ɛ-maɣmaɣ ɛ-yɔɔ nɛ etisi nɛ ɛtɔɔ kʋñɔŋ siŋŋ
MRK.8.35	Mbʋ́ pʋyɔɔ yɔ, weyi ɛñɩnɩɣ se ɛcaɣ wezuu tam yɔ, ɛtɛŋnɩ-kʋ lesuu. Weyi ɛ́lɛ́ sɩkɩ ma nɛ Laŋhɛzɩyɛ Tɔm ɖɔ-yɔɔ yɔ, ɛcakɩ wezuu tam. 
MRK.8.36	Yee ɛyʋ ehiɣ kedeŋa yɔɔ cɩnɛ ñɩm tɩŋa payɩ nɛ elesi e-wezuu lɛ, pɩwazɩɣ-ɩ we? 
MRK.8.37	Ɛbɛ ɛpɩzɩɣ ɛkpaɣ nɛ ɛlɛɣzɩ ku-lone taa? 
MRK.8.38	Yee fɛyɛ ɛkpa nɔɔyʋ ma nɛ mɔn-tɔm ɖɔ-yɔɔ lɛɛlɛɛyɔ ɛyáa mbá pɛkɛ kɩwɛɛkɩm laɖaa nɛ palakɩ acɛyɛ yɔ pɔ-cɔlɔ yɔ, ɖɩkaɣ kpaʋ ɖɔɖɔ Ɛyʋ Pɩyalʋ pʋdʋ yɔɔ, alɩwaatʋ ndʋ́ ɛ nɛ Ɛsɔ tiyiyaa pɛkpɛndɩɣnɩ ɛ-Caa Ɛsɔ koboyaɣ nɛ pɔkɔɔ yɔ.»
MRK.9.1	Pʋwayɩ lɛ, Yesu tasɩ-wɛ heyuu se: «Toovenim lɛ, meheyiɣ-mɩ se mbá pɛwɛ cɩnɛ yɔ, pa-taa lɛlaa naɣ ɛzɩma mbʋ́ Ɛsɔ Kewiyaɣ kɔŋnɩ ɖoŋ yɔ nɛ pʋcɔ pasɩ.»
MRK.9.2	Kɩyakɩŋ loɖo ɖɛwa lɛ, Yesu yaa Pɩyɛ nɛ Yakubu nɛ Yohanɛɛsɩ nɛ ɛ nɛ wɛ pakpa pʋʋ sɔsɔʋ nakʋyʋ yɔɔ pe-ɖeke. Peeɖe ɛlɛɣzɩ pɛ-ɛsɩndaa yem kpaagbaa kpɛlɩ nɛ 
MRK.9.3	e-wondu hʋlʋmɩ layɩ layɩ nɛ tɩñɩlɩzɩɣ. Nɔɔyʋ fɛyɩ kedeŋa yɔɔ cɩnɛ se ɛpɩzɩɣ ɛhʋlɩsɩ-tʋ ḿbʋ́. 
MRK.9.4	Alɩwaatʋ ńdʋ́ʋ́ Elii nɛ Mooyiizi palɩ pɔ-yɔɔ nɛ pa nɛ Yesu pɔyɔɔdʋʋ. 
MRK.9.5	Ɛlɛ́, Pɩyɛ heyi Yesu se: «Wɩlɩyʋ! Đɩwɛʋ cɩnɛ yɔ, pʋwɛ ɖeu pɩŋŋ. Pʋmʋnaa se ɖisiɣ kɩɖanɖɩŋ naadozo: ña lɛɛkʋ, Mooyiizi lɛɛkʋ nɛ Elii lɛɛkʋ.»
MRK.9.6	Toovenim lɛ se Pɩyɛ ɛɛnaɣ se ɛyɔɔdɩ se we. Sɔɔndʋ kpa ɛ nɛ ɛ-taabalaa lɛlaa. 
MRK.9.7	Ɛyɔɔdaɣ ḿbʋ́ lɛ, ɛsɔmɩnʋʋ nakʋyʋ kɔɔ kuhuuzi pɔ-yɔɔ nɛ panɩɩ pʋyɔɔdʋʋnɩ-wɛ nɛ kɩ-tɛɛ se: «Ɛnɛ lɛ man-Pɩyalʋ kʋsɔɔlʋ, maahʋʋ ɛ-yɔɔ kaʋ. Ɩnɩɩnɩ-ɩ.» 
MRK.9.8	Tɔmkpɛlɩkɩyaa ḿbá patɩcɔnɩ pɔ-cɔlɔ kpɛɛɛ lɛ, patatasɩ nɔɔyʋ naʋ nɛ pɩtasɩnɩ Yesu.
MRK.9.9	Pakʋyɩ pʋʋ yɔɔ nɛ petiki lɛ, Yesu paɣ́-wɛ se: «Ɩtaaheyi nɔɔyʋ mbʋ́ ɩnawa yɔ nɛ pʋkɔɔ pɩsɩɩnɩ kɩyakʋ ŋgʋ́ Ɛyʋ Pɩyalʋ fema nɛ ɛlɩɩnɩ sɩɖaa taa yɔ.» 
MRK.9.10	Ɛlɛ́, pɔ́ɖɔ́kɩ tɔm ńdʋ́ nɛ pɔpɔzʋʋ ɖama se: «Ɛyɔɔdʋʋ se efeŋ nɛ ɛlɩɩnɩ sɩɖaa taa yɔ, pʋ-tɔbʋʋ se we?» 
MRK.9.11	Pʋwayɩ lɛ, pɔpɔzɩ-ɩ se: «Pɩlabɩ ɛzɩma nɛ paɣtʋ wɩlɩyaa tɔŋ se pʋwɛɛ se náyʋ Elii ɛlayɩ Weyi Ɛsɔ Lɩzaa Yɔ kɔm?» 
MRK.9.12	Yesu cosi-wɛ se: «Toovenim, pʋwɛɛ se Elii ɛlayɩ kɔm nɛ ɛɖaɣnɩ pɩtɩŋa camɩyɛ. Meheyiɣ-mɩ ɖɔɖɔ se Ɛyʋ Pɩyalʋ tɔm pamawa se ɛkɔŋ tɔɔʋ kʋñɔŋ siŋŋ nɛ peniɣzi-i. 
MRK.9.13	Ɛlɛ́, mankaɖɩɣ-mɩ se Elii tɛm kɔm nɛ palabɩ-ɩ mbʋ́ pɔsɔɔlaa yɔ ɛzɩ paamaʋ ɛ-tɔm Ɛsɔtɔm Takayaɣ taa yɔ.»
MRK.9.14	Petibini pʋʋ yɔɔ nɛ patalɩ tɔmkpɛlɩkɩyaa lɛlaa cɔlɔ lɛ, pamaɣnɩ ɛyáa samaɣ kpeɣli peeɖe nɛ pa nɛ Yuda ñɩma paɣtʋ wɩlɩyaa pɔhɔŋnɩ ɖama tɔm. 
MRK.9.15	Ɛyáa samaɣ tɩna Yesu lɛ, pɩɖɩɣzɩ patɩŋa nɛ pese powolo se pɛsɛɛ-ɩ. 
MRK.9.16	Ɛlɛ́, ɛpɔzɩ ɛ-tɔmkpɛlɩkɩyaa se: «Ɛbɛ yɔɔ mɩ nɛ wɛ ɩhɔŋaɣnɩ ɖama tɔm ḿbʋ́?» 
MRK.9.17	Peeɖe ɛyáa samaɣ taa nɔɔyʋ kʋyaa nɛ ɛpazɩ yɔɔdʋʋ se: «Wɩlɩyʋ, mɔnkɔnɩ man-pɩyalʋ ñɔ-cɔlɔ, eleeu nɔɔyʋ wɛ ɛ-wayɩ nɛ ɛpɩsɩ-ɩ kaayɔɔdaɣ. 
MRK.9.18	Paa le, eleeu ɛnʋ ɛkpaɣ-ɩ nɛ ɛyakɩnɩ tɛtʋ nɛ ɛ-nɔɔ ñɛyɩɣ huluu nɛ ɛsalɩɣ e-kela nɛ ɛwɛɛ caŋjanaa. Mewini ñɔ-tɔmkpɛlɩkɩyaa se pɔɖɔɔnɩ eleeu ɛnʋ ɛ-wayɩ, ɛlɛ́, patapɩzɩ.» 
MRK.9.19	Peeɖe Yesu holini-wɛ se: «Ɛyáa lidaʋ fɛyɩ tɩnaa mɩ! Alɩwaatʋ ɛzɩma mantasɩɣ mɩ-cɔlɔ caɣʋ nɛ pʋwɛɛ se mɔnɖɔkɩ mɔ-hɔyɛ ɖɔɖɔ? Ɩkɔnɩ-m pɩɣa ŋ́gá cɩnɛ!» 
MRK.9.20	Ɛlɛ́, powoni-kɛ. Eleeu ɛnʋ ɛtɩlosi Yesu lɛ, ɛpazɩ pɩɣa ŋ́gá pɩsʋʋ kpɛndɛɣlɩsɩ nɛ kɔtɔlɩ tataa nɛ kepilimi nɛ huluu ñɛyɩ kɔ-nɔɔ. 
MRK.9.21	Yesu pɔzɩ ka-caa se: «Alɩwaatʋ ndʋ́ʋ́ eleeu pazɩ-kɛ labʋ ḿbʋ́?» Ɛ́lɛ́ cosi-i se: «Đooo ka-pɩjatʋ taa 
MRK.9.22	eleeu pazɩ-kɛ tuzuu nɛ ɛpɛɖɩɣ miŋ nɛ lɩm pa-taa se kasɩ. Ḿbʋ́ labɩna nɛ mentendiɣ-ŋ se yee ŋpɩzɩɣ yɔ, ŋna ɖa-pʋtɔdɩyɛ nɛ ŋsɩnɩ-ɖʋ.» 
MRK.9.23	Peeɖe Yesu pɔzɩ-ɩ se: «Pɩlabɩ ɛzɩma nɛ ŋtɔŋ se yee manpɩzɩɣ? Weyi ɛwɛnɩ lidaʋ Ɛsɔ yɔɔ yɔ, pʋyʋ nɔɔyʋ fɛyɩ se Ɛsɔ ɛɛpɩzɩɣ ɛlabɩ-ɩ-pʋ.» 
MRK.9.24	Ɛlɛ́, pɩɣa ŋ́gá ka-caa tɩmabʋ kubuka se: «Man-caa mɛwɛnɩ lidaʋ, ɛlɛ́ sɩnɩ-m nɛ mɛntɛzɩ wɛnaʋ lidaʋ Ɛsɔ yɔɔ pɩŋŋ.»
MRK.9.25	Yesu na ɛyáa samaɣ seɣaɣ powoki ɛ-cɔlɔ lɛ, eholini eleeu ɛnʋ se: «Weyi ña ŋwɛ pɩɣa ŋ́gá ka-wayɩ nɛ ŋpɩsɩ-kɛ kaayɔɔdaɣ nɛ ŋtɔ ka-nɩŋgbaaŋ taa yɔ, se! Wiɖiyi mantaatasɩ-ŋ naʋ ka-wayɩ.» 
MRK.9.26	Peeɖe eleeu ɛnʋ ɛmabɩ kubusi nɛ ɛñamsɩ-kɛ siŋŋ nɛ ese ka-wayɩ. Ɛlɛ́, kefiɣni nɛ halɩ pʋwɛɛ ɛzɩ kasɩba yɔ nɛ ɛyáa tɔŋ se: «Kasɩba kpem.» 
MRK.9.27	Ɛlɛ́, Yesu ɖɔkɩ ke-nesi taa nɛ ɛkʋsɩ-kɛ nɛ kasɩŋ.
MRK.9.28	Yesu woba ɛsʋʋ ɖɩɣa nɛ ɛ nɛ ɛ-tɔmkpɛlɩkɩyaa pacaɣ pe-ɖeke lɛ, pɔpɔzɩ-ɩ se: «Pɩlabɩ ɛzɩma nɛ ɖɩtapɩzɩ ɖɩɖɔɔnɩ eleeu ɛnʋ pɩɣa ŋ́gá ka-wayɩ?» 
MRK.9.29	Peeɖe ecosi-wɛ se: «Ɛsɔ sɛʋ ɖeke pɩzɩɣnɩ pɩha ɛyʋ ɖoŋ nɛ ɛɖɔɔnɩnɩ pɩtɛ eleeu ɛnʋ.»
MRK.9.30	Yesu nɛ ɛ-tɔmkpɛlɩkɩyaa pakʋyɩ ɖɩɣa lɛ, patɩŋnɩ Galilee egeetiye taa. Ɛlɛ́, ɛtaasɔɔlɩ se panɩɩ ɛ-taŋ. 
MRK.9.31	Mbʋ́ pʋyɔɔ yɔ, ɛwɩlaɣ ɛ-tɔmkpɛlɩkɩyaa. Eheyaɣ-wɛ se: «Pɔkɔŋ kpaʋ Ɛyʋ Pɩyalʋ nɛ paɖʋzɩ-ɩ ɛyáa nesi taa nɛ pakʋ-ɩ nɛ ɛsɩ. Kɩyakɩŋ naadozo wiye lɛ, Ɛsɔ fezi-i.» 
MRK.9.32	Ɛyɔɔdɩ ḿbʋ́ lɛ, ɛ-tɔmkpɛlɩkɩyaa tanɩɩ pʋ-tɔbʋʋ. Ŋgʋ́, patakatɩɣ se pɔpɔzɩ-ɩ natʋyʋ.
MRK.9.33	Yesu nɛ ɛ-tɔmkpɛlɩkɩyaa patalɩ Kapɛrnayum lɛ, pasʋʋ ɖɩɣa. Peeɖe ɛpɔzɩ-wɛ se: «Tɔm ndʋ́ ɩhɔŋaɣnɩ ɖama nʋmɔʋ taa?» 
MRK.9.34	Ɛlɛ́, posuma, mbʋ́ pʋyɔɔ yɔ, sɔsɔtʋ yɔɔ poyowaɣ. 
MRK.9.35	Peeɖe Yesu caɣaɣ nɛ ɛ́yáa pe-hiu nɛ naalɛ nɛ eheyi-wɛ se: «Weyi ɛcaɣ se ɛkɛ sɔsɔ yɔ, pʋdʋ ɛpɩsɩ ɛ-tɩ lɛlaa taa pɩɣa nɛ ɛla patɩŋa payɩ tʋmɩyɛ.» 
MRK.9.36	Ɛtɛm-wɛ heyuu ḿbʋ́ lɛ, ɛkpaɣ pɩɣa cikpelaɣ nakɛyɛ nɛ ewoni-kɛ pɛ-hɛkʋ taa nɛ ɛkpazɩ-kɛ ɛ-yɔɔ nɛ eheyi-wɛ se: 
MRK.9.37	«Yee nɔɔyʋ ɛmʋ piya cikpesi sɩnɛ sɩ-taa nakɛyɛ mɔ-yɔɔ yɔ, man-tɩ tɩŋa ɛmʋwa. Weyi ɛmʋ-m yɔ, pɩtɛkɛ man-tɩ tɩŋa ɛmʋwa, ɛlɛ́, weyi etiyi-m yɔ ɛmʋwa.»
MRK.9.38	Pʋwayɩ lɛ, Yohanɛɛsɩ heyi Yesu se: «Wɩlɩyʋ, ɖɩna nɔɔyʋ ɖɔɔnaɣ aleewaa nɛ ño-ɖoŋ nɛ ɖɩkʋyɩ se ɖikiziɣni-i se ɛtɛkɛ ɖa-ñɩnʋ.» 
MRK.9.39	Peeɖe Yesu cosi-wɛ se: «Ɩtaaɖaŋ-ɩ, mbʋ́ pʋyɔɔ yɔ, nɔɔyʋ fɛyɩ se ɛpɩzɩɣ ɛla hama lakasɩ nɛ mon-ɖoŋ nɛ ɛtɛ ɛyɔɔdɩ-m tɔm ɛzaɣ́tʋ ɖɔɖɔ. 
MRK.9.40	Toovenim lɛ, weyi ɛɛkʋyʋʋ ɖɔ-yɔɔ yɔ, ɛkɛ ɖa-ñɩnʋ. 
MRK.9.41	Mɩ lɛ, ɩkɛ ma-ñɩma. Ɛlɛ́, meheyiɣ-mɩ se yee nɔɔyʋ ɛha mɩ-taa nɔɔyʋ lɩm lɩkpadaɣ maɣmaɣ ma Krɩstʋ mɔ-yɔɔ yɔ, paa pɩɩla ɛzɩma, Ɛsɔ kɔŋ-ɩ hɛyʋʋ pu-lone taa.»
MRK.9.42	Yesu tasɩ yɔɔdʋʋ se: «Yee nɔɔyʋ eyeba nɛ mbá pɛwɛnɩ lidaʋ mɔ-yɔɔ nɛ patakpaɣ-wɛ payaa pʋyʋ yɔ pa-taa nɔɔyʋ la kɩwɛɛkɩm yɔ, pɩkɩlɩ weewee se pɛlɛɛ e-liu tɛɛ pɩyɛ sɔsɔɖɛ nɛ powoni pɛpɛɖɩ teŋgu taa. 
MRK.9.43	Yee ñe-nesi eyekini se ŋla kɩwɛɛkɩm yɔ, sɛtɩ-sɩ nɛ ŋlɔ. Pɩkɩlɩ ɖeu se ŋwɛnɩ nesi kʋɖʋmsɩ nɛ ŋhiɣ wezuu ɛzɩ ŋŋwɛnɩ ñe-nesi naalɛ nɛ Ɛsɔ pɛɖɩ-ŋ kʋñɔŋ maatɛŋ taa ɖenɖe miŋ eeɖeŋ kaʋ yɔ. [ 
MRK.9.44	Peeɖe ‹sonzoowe wena atɔkɩ ɛyáa nɛ aasɩkɩ kaʋ yɔ nɛ miŋ weyi eeɖeŋ kaʋ yɔ pɛwɛɛ.›] 
MRK.9.45	Yee ña-naŋgbaŋaɣ eyekini se ŋla kɩwɛɛkɩm yɔ, sɛtɩ-kɛ nɛ ŋlɔ. Pɩkɩlɩ ɖeu se ŋwɛnɩ naŋgbaŋaɣ kʋɖʋmaɣ nɛ ŋhiɣ wezuu ɛzɩ ŋŋwɛnɩ ña-naŋgbanzɩ naalɛ nɛ Ɛsɔ pɛɖɩ-ŋ ɖenɖe kʋñɔŋ maatɛŋ wɛɛ yɔ. [ 
MRK.9.46	Peeɖe ‹sonzoowe wena atɔkɩ ɛyáa nɛ aasɩkɩ kaʋ yɔ nɛ miŋ weyi eeɖeŋ kaʋ yɔ pɛwɛɛ.›] 
MRK.9.47	Yee ñɛ-ɛsɩyɛ eyekini se ŋla kɩwɛɛkɩm yɔ, hɔɔzɩ-ɖɩ nɛ ŋpɛɖɩ. Pɩkɩlɩ ɖeu se ŋsʋʋ Ɛsɔ Kewiyaɣ taa nɛ ɛsɩyɛ kʋɖʋmɖɩyɛ ɛzɩ ŋŋwɛnɩ ɛsɛ naalɛ nɛ Ɛsɔ pɛɖɩ-ŋ kʋñɔŋ maatɛŋ taa ɖenɖe miŋ eeɖeŋ kaʋ yɔ. 
MRK.9.48	Peeɖe ‹sonzoowe wena atɔkɩ ɛyáa nɛ aasɩkɩ kaʋ yɔ nɛ miŋ weyi eeɖeŋ kaʋ yɔ pɛwɛɛ.› 
MRK.9.49	«Ɛzɩma mbʋ́ paɖʋʋ ɖɔm tɔɔnaɣ taa nɛ kɛwɛɣ leleŋ yɔ, ḿbʋ́ ɖɔɖɔ Ɛsɔ tɩŋɩɣnɩ kʋñɔŋ yɔɔ nɛ ɛñɔɔzɩ paa weyi. 
MRK.9.50	«Đɔm kɛ pʋyʋ kɩbanʋ. Ɛlɛ́, yee pilesi pi-leleŋ lɛ, ɛzɩma palakɩ-pʋ nɛ pɩɖaɣnɩ kpaʋ leleŋ yɔ? Mɩ lɛ, pʋwɛɛ se mɩ-taa ɛwɛnɩ ɖama leleŋ pɩŋŋ ɛzɩ ɖɔm wɛʋ leleŋ yɔ nɛ mɩtɩŋa payɩ ɩwɛɛ laŋhɛzɩyɛ taa.»
MRK.10.1	Yesu tɛm-wɛ wɩlʋʋ ḿbʋ́ lɛ, ɛkʋyɩ ewolo Yudee egeetiye taa nɛ ɛtɛzɩ Yɔɔrdaŋ pɔɔ wayɩ. Ɛtɛzaa lɛ, ɛyáa samaɣ tasɩ kpeɣluu ɛ-cɔlɔ nɛ ɛpazɩ-wɛ wɩlʋʋ ɛzɩ ɛtɩɩlakʋʋ yɔ. 
MRK.10.2	Peeɖe Farɩsɩ ñɩma nabɛyɛ woba pañɩ ɛ-nɔɔ cɔlɔ tɔm se: «Đa-paɣtʋ taa lɛ, pɩha nʋmɔʋ se ɛyʋ pɩzɩɣ ɛɖɔɔnɩ ɛ-halʋ naa we?» 
MRK.10.3	Yesu pɔzɩ-wɛ se: «Paɣtʋ ndʋ́ Mooyiizi ɖʋ-mɩ?» 
MRK.10.4	Pocosi-i se: «Mooyiizi ha nʋmɔʋ se ɛyʋ pɩzɩɣ ɛma kizuu takayaɣ nɛ ɛcɛlɩ ɛ-halʋ nɛ ɛɖɔɔnɩ-ɩ.» 
MRK.10.5	Peeɖe Yesu cosi-wɛ se: «Mɩ-laŋa kpɩzɩŋ yɔɔ Mooyiizi ɖʋ-mɩ paɣtʋ ḿbʋ́. 
MRK.10.6	Đooo kajalaɣ lɛ, Ɛsɔ labɩ pɩtɩŋa nɛ ɛla halʋ nɛ abalʋ ɖɔɖɔ. 
MRK.10.7	Pʋ-yɔɔ abalʋ yeki ɛ-caa nɛ e-ɖoo nɛ ɛnɩɩnɩ ɛ-halʋ 
MRK.10.8	nɛ pa-naalɛ papɩsɩ ɛyʋ kʋɖʋm. Patatasɩ kɛʋ ɛyáa naalɛ. Ɛlɛ́, papɩsɩ ɛyʋ kʋɖʋm. 
MRK.10.9	Yee ḿbʋ́ pɩtamʋnɩ se ɛyʋ ɛyasɩ mbʋ́ Ɛsɔ kpɛndaa yɔ.»
MRK.10.10	Yesu nɛ ɛ-tɔmkpɛlɩkɩyaa pasʋ ɖɩɣa lɛ, paɖaɣnɩ-ɩ pɔzʋʋ tɔm ńdʋ́. 
MRK.10.11	Ɛlɛ́, ecosi-wɛ se: «Yee ɛyʋ ɛɖɔɔnɩ ɛ-halʋ nɛ ɛkpaɣ lɛlʋ yɔ, ɛyʋsɩnɩ kajalaɣ ñɩnʋ, ɛlabɩ acɛyɛ. 
MRK.10.12	Ḿbʋ́ ɖɔɖɔ yee halʋ nɔɔyʋ ekizi ɛ-walʋ nɛ ɛɖɛɛ ɛwalɩ kɩfalʋ yɔ, ɛlabɩ acɛyɛ.»
MRK.10.13	Pɩkɛdaa lɛ, ɛyáa wokini piya Yesu cɔlɔ se ɛtɩnɩ sɩ-yɔɔ nesi nɛ ɛwazɩ sɩ-yɔɔ. Peeɖe ɛ-tɔmkpɛlɩkɩyaa ɖaŋ-wɛ. 
MRK.10.14	Yesu na ḿbʋ́ lɛ, pɩtɛkɛdɩnɩ-ɩ, ɛlɛ́ ɛkalɩ ɛ-tɔmkpɛlɩkɩyaa se: «Iyele piya nɛ sɩkɔɔ mɔn-cɔlɔ, ɩtaaɖaŋ-sɩ. Mbʋ́ pʋyɔɔ yɔ, mbá pɛwɛ ɛzɩ piya ńzɩ́ yɔ lɛ Ɛsɔ Kewiyaɣ taa ñɩma. 
MRK.10.15	Toovenim lɛ, meheyiɣ-mɩ se yee nɔɔyʋ etetisi ɛzɩ piya cikpesi tisuu se Ɛsɔ tɔkɩnɩ kewiyaɣ yɔ yɔ, ɛɛsʋʋ Ɛsɔ Kewiyaɣ taa.» 
MRK.10.16	Peeɖe Yesu kpaɣ piya ńzɩ́ ɛ-yɔɔ nɛ ɛtɩnɩ sɩ-yɔɔ nesi nɛ ɛwazɩ sɩ-yɔɔ.
MRK.10.17	Yesu tɛm piya yɔɔ wazʋʋ nɛ ɛkpaɣ nʋmɔʋ lɛ, abalʋ nɔɔyʋ kpaɣ seya nɛ ewolo eluŋ ɛ-tɛɛ nɛ ɛpɔzɩ-ɩ se: «Wɩlɩyʋ kɩbanʋ! Ɛbɛ pʋwɛɛ kpem se mala nɛ mehiɣ wezuu maatɛŋ?» 
MRK.10.18	Peeɖe ɛpɔzɩ-ɩ se: «Pɩlabɩ ɛzɩma nɛ ŋyaɣ-m se kɩbanʋ? Nɔɔyʋ tɛkɛ kɩbanʋ nɛ pɩtasɩnɩ Ɛsɔ. 
MRK.10.19	Paa pɩɩla ɛzɩma, ŋsɩm Ɛsɔ paɣtʋ ndʋ́ paɖʋwa se: taakʋ ɛyʋ, taala acɛyɛ, taamɩlɩ, taacɛtɩnɩ lɛlʋ taa, taacɛzɩ lɛlaa nɛ ŋtɔɔ pa-ñɩm nɛ ŋña ña-caa nɛ ño-ɖoo yɔ.» 
MRK.10.20	Peeɖe abalʋ ɛnʋ eheyi-i se: «Wɩlɩyʋ! Mɔnɖɔm paɣtʋ ńdʋ́ tɩtɩŋa payɩ tɩ-yɔɔ ɖooo me-evebutu taa.» 
MRK.10.21	Yesu cɔnɩ-ɩ pɩŋŋ lɛ, ɛ-tɔm kɛdɩnɩ-ɩ nɛ eheyi-i se: «Pʋyʋ kʋɖʋm koŋ pɩkazaa se ŋtɛzɩ labʋ. Wolo ŋpɛdɩ mbʋ́ ŋwɛna yɔ pɩtɩŋa payɩ nɛ ŋtayɩ kʋñɔndɩnaa pi-liidiye nɛ ŋwɛnɩ ñɩm ɛsɔdaa. Yee ŋlabɩ ḿbʋ́ lɛ, ŋkɔɔ ŋtɩŋ-m.» 
MRK.10.22	Eheyi abalʋ ɛnʋ ḿbʋ́ lɛ, ɛ́lɛ́ laŋɩyɛ wɛɛkɩ nɛ ɛñɩŋ ɛsɩndaa nɛ ɛcaŋ ɛɖɛɛ hɛɛɛ. Mbʋ́ pʋyɔɔ yɔ, ɛwɛnɩ ñɩm pɩtɩɩfɛyɩ.
MRK.10.23	Ɛɖɛwa lɛ, Yesu cɔnɩ ɛ-tɔmkpɛlɩkɩyaa mbá pɛwɛ ɛ-cɔlɔ yɔ pɛ-ɛsɩndaa kpɛɛɛ nɛ eheyi-wɛ se: «Pʋwɛ kaɖɛ pɩtɩɩfɛyɩ se ñɩm tɩnaa ɛsʋʋ Ɛsɔ Kewiyaɣ taa.» 
MRK.10.24	Ɛyɔɔdɩ ḿbʋ́ lɛ, pɩlabɩ-wɛ piti. Peeɖe Yesu tasɩ-wɛ heyuu se: «Men-piya, ɩcɔnɩ ɩna ɛzɩma mbʋ́ pʋwɛ kaɖɛ kpem mbá pataɣ pa-ñɩm yɔ se pasʋʋ Ɛsɔ Kewiyaɣ taa yɔ. 
MRK.10.25	Pʋcɔ ñɩm tʋ nɔɔyʋ sʋʋ ka-taa lɛ, pʋwɛ kaɖɛ nɛ pɩkɩlɩ ɛzɩ kpaŋnɔ siɣá naalɛ tʋ sʋʋnɩ ɛjɔʋ pɔʋ taa yɔ.»
MRK.10.26	Peeɖe pɩtɛzɩ-wɛ ɖɩɣzʋʋ nɛ pɔpɔzʋʋ ɖama se: «Yee ḿbʋ́ apɩzɩɣ ehiɣ ñʋʋ yabʋ yɔ?» 
MRK.10.27	Yesu cɔnɩ-wɛ pɩŋŋ lɛ, eheyi-wɛ se: «Ɛyáa ɛɛpɩzɩɣna, ɛlɛ́, Ɛsɔ ñapɩzɩɣ, mbʋ́ pʋyɔɔ yɔ, ɛpɩzɩɣ ɛla pɩtɩŋa payɩ.»
MRK.10.28	Peeɖe Pɩyɛ pɔzɩ-ɩ se: «Cɔnɩ ŋna, ɖa yɔ, ɖiyebi pɩtɩŋa payɩ nɛ ɖɩtɩŋ ña-wayɩ, ɛbɛ ɖihikiɣ yɔ?» 
MRK.10.29	Yesu cosi-i se: «Toovenim lɛ, meheyiɣ-mɩ se yee nɔɔyʋ eyebi ɛ-caa yaa e-ɖoo yaa e-piya yaa ɛ-ɖalaa yaa ɛ-kɔɔnaa yaa e-newaa yaa ɛ-hayɩm yaa ɛ-ɖɩɣa yaa mbʋ́ pɩtɩŋa payɩ ɛwɛna yɔ ma nɛ Laŋhɛzɩyɛ Tɔm ɖɔ-yɔɔ yɔ, 
MRK.10.30	ɛkɔŋ wɛnaʋ mbʋ́ mbʋ́ ɛɛwɛna yɔ pɩ-tam mɩnʋʋ kpaɣnɩ nɔɔnɔɔ ɛjaɖɛ yɔɔ cɩnɛ. Ɛkɔŋ wɛnaʋ ɖɩsɩ, ɖalaa, kɔɔnaa, ɖoonaa, piya nɛ hayɩm sakɩyɛ. Đɔɖɔ lɛ, ɛyáa wɛɣ ɛ-wayɩ kaŋ kaŋ kedeŋa yɔɔ cɩnɛ. Piyele alɩwaatʋ ndʋ́ tɩkɔŋ yɔ tɩ-taa lɛ, ɛkɔŋ hiɣu wezuu maatɛŋ.» 
