GEN.1.1	Kerrngehkenh duninjh God bolkmarnbom rowk, kaddum dja kurorre. 
GEN.36.29	Bedda wanjh birrimekbe nawu bindimarnewohrnani bininj nawu birringeyyoy Hor. Kaluk birriwohrnani Lotan, Shobal, Zibeon, Anah, 
GEN.36.30	Dishon, Ezer, dja Dishan. Bedda wanjh bindibebbehmarnewohrnani nawu birringeyyoy Hor kore birribebbehmud kore kubolkwarlah Seir.
GEN.36.31	Nanih kabirringeydi king nawu birriwohrnani kore kubolkwarlah Edom, bu minj Israel birribangmekarrmeninj king benmarnewohrnayi. 
GEN.36.32	Bela nawu beywurd nuye Beor, nungka yimerranj king wohrnani kore Edom. Kubolkkimuk nuye bolkngeyyoy Dinhabah. 
GEN.36.33	Bu Bela doweng, wanjh Jobab nawu beywurd nuye Zerah nawu nakang Bozrah, nunganwali wanjh yimerranj king. 
GEN.36.34	Bu Jobab doweng, Husham nawu nakang kubolkwarlah bedberre nawu Teman benkebmawahmeng, nunganwali yimerranj king. 
GEN.36.35	Bu Husham doweng, wanjh Hadad nawu beywurd nuye Bedad, nawu bibom Midian kore kubolkwarlah Moab, nunganwali yimerranj king. Dja kubolkkimuk nuye bolkngeyyoy Avith. 
GEN.36.36	Bu Hadad doweng, Samlah nawu nakang Masrekah, nunganwali yimerranj king. 
GEN.36.37	Bu Samlah doweng, Shaul nawu nakang Rehoboth kore mankabo, nunganwali yimerranj king. 
GEN.36.38	Bu Shaul doweng Baal Hanan nawu beywurd nuye Acbor, nunganwali yimerranj king. 
GEN.36.39	Bu Baal Hanan nawu beywurd nuye Acbor doweng, Hadad nunganwali yimerranj king. Kubolkkimuk nuye bolkngeyyoy Pau, dja ngalbininjkobeng nuye ngeyyoy Mehetabel ngalyaw ngarre Matred, ngalbu ngalbeywurd nuye Mezahab.
GEN.36.40	Nanih wanjh birringeyyoy nawu birriwohrnani nawu Esau benkebmawahmeng, kaluk nawu birriyawmud duninjh birribolkngeykenkani kunred bedberre. Kaluk Timna, Alvah, Jetheth, 
GEN.36.41	Oholibamah, Elah, Pinon, 
GEN.36.42	Kenaz, Teman, Mibzar, 
GEN.36.43	Magdiel dja Iram. Bedda wanjh birrimekbe nawu birriwohrnani kore Edom. Kunred kore birrini nawu birriyawmud duninjh, wanjh birribolkngeykenkani.
GEN.36.43	Kuhni wanjh biyolyolmeng Esau nawu benkebmawahmeng bininj nawu birringeyyoy Edom.
GEN.37.1	Jacob ni kore kubolkwarlah bu kornkumo nuye djalwodjalwohrey korroko, kore kubolkwarlah Canaan. 
GEN.37.2	Nahni kunwok wanjh kabenyolyolme Jacob dja nawu nungka benbornang.
GEN.37.2	Kunkareni, Joseph nawu yawurrinjni bu mandjewk nuyeni seventeen, wanjh nungka mayh benmirndenahnani, birridjarrknahnani nawu birridanginj, nawu nayayaw berrewoneng Bilhah dja Zilpah nawu kornkumo nuye ngalbibininjkobeng. Wanjh Joseph benmulewam kore kornkumo, yimeng bu bedda kunwarre birriyimi nawu birridanginj.
GEN.37.3	Kaluk Israel biwernhmarnedjareni Joseph, dja nawu birribuyika wurdwurd nuye, nungka yiman walakkih benmarnedjareni. Nungka Joseph danginj bu kornkumo kohbanjminj, kunmekbekenh kunu nungka biwernhmarnedjareni. Wanjh Israel namak duninjh bimarnemarnbom Joseph nawu kadjongburrenkenh. 
GEN.37.4	Wanjh bu nawu birridanginj birrinang kornkumo biwernhmarnedjareni nungka nawu Joseph, wanjh kunu bedda birriwidnani, dja minj baleh kunmak birrimarneyimeninj.
GEN.37.5	Kaluk Joseph kodjbukirriwam, dja bu benmarneyimeng nawu birridanginj, bedda birriwernhwidnang. 
GEN.37.6	Nungka benmarneyimeng, “Kandibekka ngaye ngamulewarren bu ngakodjbukirriwam. 
GEN.37.7	Kaluk ngad karridalkdukkani kore kabbal, dja kumekbe ngaye ngardduk kundalk mandobbokenh wanjh dalkdolkkang dalkdjabdanginj mandjad, dja ngudda ngudberre kundalk birrimirndemornnamerrinj kore ngaye ngardduk kundalk, birrimarnedalkboddanj kore ngaye ngardduk kundalk.” 
GEN.37.8	Wanjh nawu birridanginj birrimarneyimeng, “Yiddok yiwohrnan ngadberre woybukkih, yiddok ngudda kaluk ngundiwokmarrkmang dja ngundimarnedurrkmirri?” Bu nungka kuhni kodjbukirriwam, dja mak bu benmarneyimeng, kunu wanjh birriwernhwidnani.
GEN.37.9	Wanjh nungka yawoyhkodjbukirriwam, dja benmarneyimeng birridanginj, yimeng, “Kandibekka, ngayawoyhkodjbukirriwam, dja kaluk kundung, dird dja eleven mankokkarrng ngandimarneboddangeni.” 
GEN.37.10	Wanjh bu kuhni bimarneyimeng kornkumo warridj, wanjh nawu kornkumo birruy bimarneyimeng, “Njale kuhni bu yibukirribom? Yiddok woybukkih ngaye dja ngalbadjan ke dja nawu ngurridanginj, wanjh ngarrimre ngarriboddan kurorre kumirrk ke?” 
GEN.37.11	Wanjh nawu birridanginj birrimarnekirnni, dja kornkumo nungka wanjh djalkarrmeng kunwok kukange nuye.
GEN.37.12	Kaluk nawu Joseph birridanginj birriwam kabindidalkwon mayh nuye kornkumo bedberre, birriwam darnkih kore kabolkngeyyo Shechem. 
GEN.37.13	Wanjh Israel bimarneyimeng Joseph, yimeng, “Ngudda yiburrbun bu nawu ngurridanginj kabindidalkwon mayh darnkih kore Shechem. Ngaye munkewe kore bedda.” Wanjh bimarneyimeng, “Mah kamak.” 
GEN.37.14	Wanjh kornkumo yimeng, “Yiray wanjh dja yinan bu kamak bedda kabirrini nawu ngurridanginj dja mayh warridj, dja yimdurndeng kanmarneyime.” Kunu wanjh nungka bimunkeweng kumekbebeh kanjdjikanjdji ngarre Hebron, dja wam kore Shechem.
GEN.37.15	Bu bebmeng kore darnkih Shechem, wanjh nakudji bininj bingalkeng bu nungka Joseph djahdjalrengehrey kore kabbal, dja bidjawam, “Ngudda njale yihyawan?” 
GEN.37.16	Nungka yimeng, “Ngabenyawan nawu ngarridanginj, kab kanmarneyime bu bedda baleh mayh kabindidalkwon.” 
GEN.37.17	Dja namekbe bininj yimeng, “Bedda birriwam dja ngabenbekkang birrimarneyimerrinj, ‘Karriray kunred Dothan.’” Wanjh Joseph djahdjalwam benyikang nawu birridanginj, benngalkeng kore darnkih Dothan. 
GEN.37.18	Bedda wanjh birrinang bu djarreh kumhrey, dja bu nungka minj bangmebebmeninj bedberre, bedda birriwokmarnburrinj kabirribunkenh. 
GEN.37.19	Bedda birrimarneyimerrinj, “Nanih nawu kamhre nawu munguyh kahkodjbukirrire. 
GEN.37.20	Wardi karribu dja karrikukburriwe kore mandjorlokburrk
GEN.37.21	Dja Reuben nawu nawernwarre duninjh bedberre, bu bekkang kuhni, nungka minj djareniwirrinj kunmekbe birrimarneyimeninj, yimeng, “Yuwn bu karribun!” 
GEN.37.22	“Yuwn mak ngurrikurlbawarrhke! Dja wardi ngurridjalburriwemen kore kudjorlok manbu kukkukenh kondah kore kubolkdarleh, yuwn baleh mak karrimarneyime.” Kuhni nungka Reuben yimeng ba kaluk bibebkemeninj kore bedda birrimarneyimeninj, dja birrurndiwemeninj kore kornkumo.
GEN.37.23	Wanjh kunu Joseph benmarnebebmeng nawu birridanginj, bedda wanjh birriyerrkkeng nawu namak duninjh nawu djongbuhdjongbuyindi, 
GEN.37.24	dja nungka birrikang birriburriweng kore kudjorlok, kaluk kumekbe kudjorlok bukni, minj boyuwirrinj.
GEN.37.25	Wanjh bedda birriyerrkang birrihnguni manme, dja birribolknang bindinang kabirrimhre bininj nawu Ishmael benkebmawahmeng kore Gileadbeh, camel dorrengh bedberre nawu birringorrkani namanjmak yiman spices, balm dja myrrh, kabirrikan kore Egypt kore birrihrey. 
GEN.37.26	Wanjh Judah benmarneyimeng nawu birridanginj, yimeng, “Njale kaluk karrimang bu karribun nawu karridanginj dja karrikukwarlkkan? 
GEN.37.27	Kab karrikukweyka kore bininj nawu Ishmael benkebmawahmeng, dja yuwn baleh karrimarneyime, dja nungka karridanginj bulkkidj.” Wanjh nawu birridanginj birrikodjdukmeng.
GEN.37.28	Bedda nawu Ishmael benkebmawahmeng bininj wanjh birribayahmeng dja birriweykani njalehnjale. Bu bindimarnebebmeng, wanjh Joseph birridanginj birriwayhkeng Joseph kudjorlokbeh, dja birrikukweykang bu bedda bindiwong kunwardde nawern, yiman twenty silver shekels, dja bedda birrikang Joseph kore Egypt.
GEN.37.29	Kaluk bu Reuben kumdurndi kore kudjorlok, dja nang Josephyak kumekbe kore kudjorlok, nungka welengdjobkerrinj manburrba nawu djongbuhdjongbuyindi, 
GEN.37.30	dja nungka yawoyhdurndi kore birridanginj dja yimeng, “Yawurrinj wanjh wam, dja ngaye baleh ngakurduyime?” 
GEN.37.31	Wanjh bedda birrimey Joseph nuye nawu djongburreni, dja birribom goat, dja namekbe nawu Joseph nuye nawu djongburreni wanjh birridjuhkeng kore goat kunkurlba. 
GEN.37.32	Wanjh bedda birrikang namekbe nawu namak duninjh nawu djongburreni, birrikang kore kornkumo, dja birriyimeng, “Ngad ngarringalkeng nanih, wardi yikukna, dja kunubewu nuye nawu beywurd ke dja nuk burrkyak.” 
GEN.37.33	Wanjh nungka wernhkukburrknang dja yimeng, “Namekbe wanjh nuye beywurd ngardduk. Mayh nabang bibom bikukyakwong, Joseph bonj wanjh, woybukkih bikukdjalkdjalkmey.”
GEN.37.34	Wanjh Jacob djobkeng manburrba nuye nawu djongbuhdjongbuyindi, dja djongburrinj nawu kunnjilngwarrekenh, dja bimarnenjilngwarreni kunkuyeng kunbarnangarra kunwern. 
GEN.37.35	Bebeywurd nuye rowk dja ngalbebeywurd birrimrey nuye kabirrinjilngmarnbunkenh, dja yiman bendabmeng rerrih, minj njilngmakmeninj. Nungka yimeng, “Bonj, ngadjalnjilngwarre munguyh nuye beywurd ngardduk, kaluk ngayemanwali ngarrowen, ngamalngre kanjdji kore nungka kore kunbolk Sheol.”
GEN.37.36	Kaluk bininj nawu Midianbeh birrikukweykang Joseph kore kunbolk Egypt. Nawu Potiphar bimey, nawu King Pharaoh bimarnedurrkmirri, dja benmarnewohrnani djamun nawu birrirurrknahnani Pharaoh nuye.
GEN.38.1	Wanjh Judah benbawong nawu birridanginj, dja wam beneni nakudji bininj nawu nakang kunred Adullam nawu nungka ngeyyoy Hirah. 
GEN.38.2	Bu kumekbe ni, Judah binang ngalbeywurd nuye nakudji bininj nawu Canaan bikebmawahmeng, nawu nungka ngeyyoy Shua. Wanjh Judah benemarrinj dja beneyoy ngalmekbe daluk. 
GEN.38.3	Wanjh ngaleng yawkani, kaluk narangem yawmey, kornkumo bingeykurrmeng Er. 
GEN.38.4	Kaluk yawoyhyawkani dja yawmey narangem, bingeykurrmeng Onan. 
GEN.38.5	Wanjh yawoyhyawmey nabuyika warridj, bingeykurrmeng Shelah. Ngaleng ni kore kunred Kezib bu nungka danginj.
GEN.38.6	Kaluk bu Er djordminj, wanjh Judah daluk bimarnemey daluk nuye nawu beywurd nadjdjaman nuye, ngaleng ngeyyoy Tamar. 
GEN.38.7	Dja Er nawu nadjdjaman nuye Judah, nungka bu Yawey binang kunwarre djalkadjuy, wanjh kunu Yawey bibom, doweng.
GEN.38.8	Wanjh Judah bimarneyimeng Onan, “Nguneyuwn ngalbu beneni Nakokok, bu mankarre kahyo bininj kabeneyo kamarrdjukun nuye nawu nawernwarre bu beneni, ba kunu wurdwurd yibenbornan nawu yiman nungka nuye rerrih.” 
GEN.38.9	Dja Onan burrbom bu wurdwurd benbornayi, bininj birriyimeninj minj nungka nuyeniwirrinj, wanjh kunu bu rey beneyoy ngalbu nawernwarre nuyeni, nungka manduk yakbom kore kurorre, ba minj yawbornayi nuyeniwirrinj nawu benedanginj. 
GEN.38.10	Wanjh Yawey nang bu kuhni kurduhkurduyimi kunwarre, wanjh kunu nungka warridj bibom doweng.
GEN.38.11	Wanjh Judah bimarneyimeng ngalbinjdoy nuye Tamar, yimeng, “Ngudda yidjalkamarrdjukunnin kore kornkumo ke nuye kunrurrk, kumekbe yidjalnin munguyh, kaluk beywurd ngardduk nawu Shelah kadjordmen.” (Kunmekbe yimeng bu nungka keleni bu yimankek nunganwali Shelah dowimeninj yiman birridanginj nuye benedoweng.) Wanjh kunu Tamar wam ningihni kore kornkumo ngarreni kunrurrk nuye.
GEN.38.12	Kaluk rerrikah Judah nuyeni ngalbininjkobeng ngalbu ngalbeywurd nuye Shua, wanjh doweng. Wanjh Judah njilngwahnjilngwarreni, wanjh kaluk bu njilngmakminj wanjh nungka wam bidbom kore kunred Timnah, kore bininj birrimuddadjkeyi sheep nuye, dja nawu benedabbolk Hirah Adullumbeh wanjh benedjarrkwam. 
GEN.38.13	Kaluk bu Tamar bekkang bu nabininjdoy kahre kore Timnah kabirrimuddadjke sheep, 
GEN.38.14	wanjh ngaleng yerrkkerrinj nawu kamarrdjukunkenh bu djongbuhdjongbuyindi, dja manburrba djongburrinj kebbarrkburrinj, wanjh wam yerrkang ni kore bininj kabirringimen kore kunred Enaim, kaluk kore manbolh manbu kahre kore Timnah. Kunmekbe yimeng bu ngaleng nang Shelah djordminj dja minj biwoyi beneniwirrinj.
GEN.38.15	Kaluk Judah binang Timnah, dja nungka yimeng bu yimankek ngaleng daluk ngalbu kakukweykarren kore bininj. Kunmekbe nungka yimeng bu ngaleng kebbarrkbuyindi. 
GEN.38.16	Nungka minj burrbuyi bu ngaleng ngalbinjdoy nuye, wanjh nungka wam kore ngaleng ni kore kubolhdid, dja yimeng, “Yimray wanjh, ngarryo.” Dja ngaleng bidjawam, “Njale kaluk kanwon ngarryokenh?” 
GEN.38.17	Nungka yimeng, “Ngaye marnemunkewe goat yaw kore ngardduk mayh kamirnderri.” Wanjh ngaleng bidjawam yimeng, “Yiddok ngudda kanwon njale ngadjalwohkarrme, kaluk marnedurndiwe bu ngudda yimmunkewe?”
GEN.38.18	Nungka yimeng, “Njale kaluk yidjare won yidjalwohkarrme?” Wanjh ngaleng biwokmey yimeng, “Kanwo ring kunbidkenh nawu yingan kekih nawu yiman rerrih yihngeybimdi, kaluk kunyarl dorrengh, dja mak kunkarndudj manbu yihkarndudjkarren.” Wanjh kunu nungka biwong, dja beneyonginj. Kaluk ngaleng yawkani nungka nuye wurdyaw. 
GEN.38.19	Wanjh ngaleng bu wam wanjh yerrkkerrinj nawu kebbarrkbuyindi dja yawoyhdjongburrinj kamarrdjukunkenh kunmadj.
GEN.38.20	Kaluk Judah munkeweng goat yaw, bininj nawu benedabbolk nawu nakang Adullam, nungka kang ba daluk bimarnedurndiwemeninj nawu biwong nawu djalwohkarrmi. Nungka kaluk bidjalyawam, minj bingalkemeninj. 
GEN.38.21	Wanjh bendjawam bininj nawu birrini kumekbe, yimeng, “Baleh daluk ngalbu kakukweykaweykarren kore ngudberre yiwarrudjkenh, ngalbu ni kore kubolhdid kore Enaim?” Bedda birriyimeng, “Minj kondah niwirrinj ngalbu kakukweykaweykarren kore ngadberre yiwarrudjkenh.” 
GEN.38.22	Wanjh kunu nungka durndi kore Judah ni dja yimeng, “Minj ngangalkemeninj dja mak bininj nawu kumekbe birrini birriyimeng bu minj kumekbe niwirrinj daluk ngalbu kakukweykaweykarren kore bedberre yiwarrudjkenh.” 
GEN.38.23	Wanjh Judah yimeng, “Bonj, balkarrmen nawu kahkarrme, marndi bu ngarryawan wanjh bininj kandidjekwiwon ngarrku. Ngaye ngamarnemunkeweng goat yaw, dja minj ngaleng yingalkemeninj.”
GEN.38.24	Kaluk rerrikah bu yiman dird danjbik Judah birrimarneyimeng, “Ngalbinjdoy ke ngalbu Tamar wanjh kukweykarrinj kore bininj, dja wanjh kayawkan.” Judah yimeng, “Ngurrimbebkemen dja kunak ngurrikukwurlhkemen karrowen.” 
GEN.38.25	Bu birrimbebkeng ngaleng kunwok munkeweng nuye nawu nabininjdoy, yimeng, “Ngaye wurdyaw ngakan nuye bininj nawu nuye nahni.” Dja mak yimeng, “Yinan bu yimankek yikukburrknan nangale nuye nawu nahni bininj nuye nawu yiman rerrih kahngeybimdi, kaluk kunyarl dorrengh, dja kunkarndudj?”
GEN.38.26	Wanjh Judah kukburrknang dja yimeng, “Ngaleng wanjh ngalmak, dja ngaye ngawarre bu minj ngawoyi beywurd ngardduk nawu Shelah.” Dja nungka Judah minj beneyawoyhyuwirrinj. 
GEN.38.27	Bu kumwam ngarre wurdyaw bibuni wanjh narahrangem bokenh kanihkani.
GEN.38.28	Bu wurdyaw mahmirri, nakudji bidbebmerrinj, wanjh kunu daluk ngalbu bibidyikarrmi wurdyawkenh, kunyarl mey nawu kukkurlbani dja bibendedukkang, yimeng, “Namekbe wanjh bebmeng werrk.” 
GEN.38.29	Dja bu nungka biddurndiwerrinj, wanjh nawu benedanginj danginj werrkwerrk, wanjh ngaleng yimeng, “Kunukka wanjh ngudda yibebmeng werrkwerrk.” Wanjh kunu nungka ngeyyoy Perez.
GEN.38.30	Wanjh nunganwali danginj nawu benedanginj nawu bendedukkayindi kukkurlba kunyarl, wanjh nungka ngeyyoy Zerah.
GEN.39.1	Bininj nawu Ishmael benkebmawahmeng, nawu birrikang Joseph kore Egypt, wanjh birribalkukweykang dja Potiphar bimey. Nungka Potiphar wanjh Egyptbeh bininj nawu king Pharaoh bimarnedurrkmirri, kaluk wohrnani bedberre djamun nawu king Pharaoh birrimarnerurrknahnani.
GEN.39.2	Yawey wanjh benedjarrkrey Joseph, dja nungka Joseph bu baleh yimerrangeni nuye wanjh kamak rowk, dja nungka Joseph ni kore kunrurrk nuye Egyptbeh bininj nawu bimarnewohrnani. 
GEN.39.3	Bu nungka nawu bimarnewohrnani nang bu Yawey benedjarrkrey Joseph, dja Yawey bibidyikarrmi ba bu baleh yimerrangeni nuyeni Joseph wanjh kamak rowk, 
GEN.39.4	wanjh namekbe bininj Potiphar bimarneyimeng Joseph namak, dja bikurrmeng nungan kabinahnan, dja bimarnbom nungka Joseph benmarnewohrnani bininj nuye nawu birridurrkmirri kururrk nuye, dja mak bimarnenahnani nawu yehyeng rowk nuye. 
GEN.39.5	Wanjh kundjalmekbe bu Potiphar yimeng bimarnbom Joseph kawohrnan kore kunrurrk nuye dja mak kore yehyeng nuye rowk, wanjh munguyh Yawey benmarnekurduyimi kunmak bininj nuye nawu namekbe Egyptbeh bininj. Kuhni Yawey kurduyimi bu nungka Josephkenh. Yehyeng nawu Potiphar karrmi wanjh God bimarnekurduyimi kunmak, kaluk kore kunrurrk dja mak kore kabbal. 
GEN.39.6	Wanjh kunu nungka bidjalyibawong rowk Joseph wohrnani. Dja bu nungka Joseph bikarrmi bimarnedurrkmirri, minj njale burrbuyi nawu Potiphar, nungka djalburrbuni manme nuye manbu nungan ngunihnguni.
GEN.39.6	Dja Joseph nungka wanjh kukmakni dja mak kebmakni warridj. 
GEN.39.7	Wanjh kaluk ngalbininjkobeng nuye nawu bimarnewohrnani, ngaleng wanjh binani Joseph dja yimeng, “Yimray, ngarryo.”
GEN.39.8	Dja nungka birrahmeng, yimeng, “Bu ngaye ngankarrme ngawohrnan, wanjh nungka nawu nganmarnewohrnan minj njale kaburrbun kondah kore kunrurrk, yehyeng nawu nungka kakarrme wanjh nungka ngankurrmeng ngamarnenahnan. 
GEN.39.9	Minj nangale nabuyika kawernhwohrnan kondah kore kunrurrk, dja ngaye ngadjalwohrnan. Minj njale ngankaybuyi, dja yidjalkudji ngudda nawu nuye ngalbininjkobeng. Kaluk baleh yimankek ngaye kuhni kunwarre duninjh ngayime, dja God ngamarneyime kunwarre?”
GEN.39.10	Dja madjamku ngaleng munguyh bu kunbarnangarrabubuyika bihmarneyimi, dja nungka Joseph bidjaldahmi, minj beneyuwirrinj dja minj mak niwirrinj kore ngaleng. 
GEN.39.11	Kaluk kunbarnangarrakudji bu nungka ngimeng kururrk kore durrkmihdurrkmirri, dja minj nangale mak nawu birridurrkmirri birriniwirrinj kururrk, 
GEN.39.12	wanjh ngaleng bimarnekarrmeng manburrba nawu kaddum djongbuyindi, dja yimeng, “Yimray ngarryo.” Dja nungka djalbawong manburrba kubid ngalengngarre dja kelerlobmeng kuberrk.
GEN.39.13	Bu ngaleng nang nungka bawong manburrba kubid ngalengngarre dja nungan kelerlobmeng kuberrk, 
GEN.39.14	wanjh ngaleng benkayhmeng nawu birrimarnedurrkmirri, dja benmarneyimeng, “Nabininjkobeng ngardduk bimkang nahni nawu Hebrew bininj kanyemikan kadberre. Nungka ngimeng kondah nganeyuwirrinjkenh dja ngaye ngakayhmeng. 
GEN.39.15	Bu nungka nganbekkang ngaye ngakayhmeng, wanjh nungka bawong manburrba nuye kore ngaye dja kelerlobmeng kuberrk.”
GEN.39.16	Wanjh ngaleng kurrmeng manburrba nuye Joseph darnkih kore ngaleng ni, dja bimadbuni kamdurndengkenh nawu Joseph bimarnewohrnani, 
GEN.39.17	dja kunkudjiwi kunwok bimarneyimeng, yimeng, “Nawu Hebrew bininj nawu ngunmarnedurrkmirri nawu ngudda yimkang kore ngad, nungka wanjh nganmarnengimeng nganyemikankenh, 
GEN.39.18	dja bu ngaye ngakayhmeng wanjh kundjalmekbe rerrih nungka bawong manburrba nuye kore ngaye, dja kelerlobmeng kuberrk.”
GEN.39.19	Wanjh namekbe nawu Joseph bimarnewohrnani bu bekkang kuhni kunwok nawu ngalbininjkobeng nuye bimarneyimeng bu yimeng, “Kuhni wanjh kunukka nganmarnekurduyimeng bininj nawu ngudda ngunmarnedurrkmirri”, wanjh nungka kangewurlhmeng. 
GEN.39.20	Wanjh nawu Joseph bimarnewohrnani bikang Joseph birrangbalhmeng kore prison, kore bininj nawu king benhdangbalhmi birridangbalhmiyindi, wanjh kumekbe dangbalhmiyindi.
GEN.39.21	Dja bu Joseph kumekbe ni kore dangbalhmiyindi, wanjh Yawey benedjarrkrey, bihkongibuni bihmarnekurduyimi kunmak munguyh, dja bininj nawu bennahnani nawu birridangbalhmiyindi, nungka Yawey bimarnbom bimarneyimeng Joseph namak. 
GEN.39.22	Wanjh kunu namekbe bininj nawu bennahnani bikurrmeng Joseph benmarnewohrnani bininj rowk nawu kumekbe birridangbalhmiyindi kore prison, dja nungka wohrnani kore yehyeng nawu kumekbe prison birrikurduyimi. 
GEN.39.23	Yawey benedjarrkrey Joseph dja bimarnbom bu baleh nungka yimi wanjh kamak rowk yimerrangeni, wanjh kunu namekbe nawu bennahnani minj baleh biyidjawayi kore Joseph nahnani.
GEN.40.1+GEN.40.2	Kaluk yerrekah bininj bokenh benenjilngwarrewong nungka nawu benehmarnedurrkmirri, nawu king Pharaoh, nawu wohrnawohrnani kubolkwarlah Egpyt. Nakudji bininj nawu wohrnani bedberre nawu birrimarnebokani king Pharaoh, dja nabuyika nawu wohrnani bedberre nawu manme birrimarnekinjeyi nawu king. Nungka wanjh yidduy bu kunmekbe beneyimeng bininj bokenh nawu benekihkimuk benemarnedurrkmirri, 
GEN.40.3	wanjh benbenedangbalhmeng kore prison, kore kunrurrk nuye bininj nawu wohrnani bedberre bininj nawu king birrimarnerurrknahnani, kaluk kubolkkudjiwi kore Joseph dangbalhmiyindi. 
GEN.40.4	Wanjh namekbe nawu wohrnani bedberre djamun nawu king birrimarnerurrknahnani, wanjh bikurrmeng Joseph kabenbenenahnan, wanjh nungka benbenemarnedurrkmirri, benbenemarnekani manme. Kaluk bedda kunkuyengwurd benedangbalhmiyindi.
GEN.40.5	Kaluk kunkudji kumunun king Pharaoh nuye bininj nawu bimarnebokani dja mak nabuyika nawu bimarnekinjeyi manme, nawu benedangbalhmiyindi kore prison, wanjh benebebbehkodjbukirriwam, kaluk manbebbehkarrebubuyika. 
GEN.40.6+GEN.40.7	Kaluk bu kukabel bu Joseph benbenemarnebebmeng benbenenang bedda nawu benekihkimukni benemarnedurrkmirri Pharaoh nawu birridjarrkdangbalhmiyindi, benbenenang bedda wanjh benenjilngwarreni. Wanjh kunu Joseph benbenedjawam, “Njalekah bolkkime ngunekebbume?” 
GEN.40.8	Wanjh bedda beneyimeng, “Ngad nganekodjbukirriwam, dja minj nangale kaburrbun bu kanbenemarnekarreyolyolme.”
GEN.40.8	Wanjh Joseph benbenemarneyimeng, “God nadjalkudji kaburrbun dja kanmarnekarreyolyolme. Wanjh ngadjare kandimarneyime nawu njale ngunekodjbukirriwam.” 
GEN.40.9	Wanjh kunu bininj nawu king bimarnebokani bimarneyimeng Joseph bukirri nawu nuye nungka kodjbukirriwam, yimeng, “Bu ngaye ngakodjbukirriwam nganang manrakel kore kumirrk ngardduk, 
GEN.40.10	dja kore manrakel kaluk danjbik manyenhyende, wanjh bu worrbebmerrinj, wanjh kundjalmekbe rerrih mannguy dangerrinj, dja manme mirndedjolengminj manbu grapes. 
GEN.40.11	Pharaoh nuye banikkin ngakarrmi kubid ngardduk wanjh ngamey grapes dja ngakalkkiddjuwimeng kore banikkin nuye Pharaoh, dja ngabidkenwong banikkin nuye.”
GEN.40.12	Wanjh Joseph bimarneyimeng, “Kuhni wanjh kakarreyime. Manbu danjbik manyende kayolyolme kunbarnangarra danjbik, 
GEN.40.13	kaluk bu minj kabangmeyakmen kunbarnangarra danjbik wanjh Pharaoh ngunbebke dja ngunmarnbun yiyawoyhmarnedurrkmirri, dja ngudda kaluk yibidkenwon banikkin yiman bu kerrngehkenh yihkurduyimi bu ngudda yimarnebokani. 
GEN.40.14	Dja yina! Kaluk bu ngudda ke kayimerran kamak rowk, wanjh kanburrbu ngaye, dja kankongibu kunmak kanmarnekurduyimen, ngadjare kanmulewan kore Pharaoh ba ngabebme kondah kururrkbeh. 
GEN.40.15	Kunmekbe yikurduyimen dja ngaye ngandidjirdmey kore Hebrew ngadberre kubolkwarlah, dja kondah Egypt warridj minj njale kunwarre ngayimeninj ngandikurrmengkenh kondah kubolkwarre kore kururrkmunun.”
GEN.40.16	Wanjh bininj nawu king bimarnekinjeyi manme, bu nungka bimarnekarrebekkang nabuyika nuye bu kamak rowk, wanjh nungka bimarneyimeng Joseph, “Ngaye warridj ngakodjbukirriwam, ngangorrkani kukodj ngardduk basket danjbik manmekenh. 
GEN.40.17	Kaluk kore basket manbu kaddum duninjh, dahkendi manme manbu mankerrikenh manbubuyika nuye Pharaoh, dja mayhmayh birringuni manme kore basketbeh kukodj ngardduk.” 
GEN.40.18	Wanjh Joseph yimeng, “Kuhni wanjh kakarreyime. Nawu basket danjbik kaluk wanjh kayolyolme kunbarnangarra danjbik. 
GEN.40.19	Kaluk bu minj kabangmeyakmen kunbarnangarra danjbik wanjh Pharaoh ngunbebke dja ngunkomdjobke wanjh ngunkukbarnname kurrulk, dja mayhmayh ngundikukngun.”
GEN.40.20	Wanjh bu kunbarnangarra danjbik kaluk Pharaoh nuyeni birthday bu burrbuni kore nungan danginj, nungka mulil marnbom bedberre bininj nawu birrikihkimukni birrimarnedurrkmirri, dja nungka benbenebebkeng bininj nawu bimarnebokani, dja nabuyika nawu bimarnekinjeyi manme, benbenemkang kore bininj nuye nawu birrimarnedurrkmirri birrikihkimukni. 
GEN.40.21	Nawu bimarnebokani nungka king bimarnbom biyawoyhmarnedurrkmirri, bibidkenwoni banikkin. 
GEN.40.22	Dja nawu bimarnekinjeyi manme, nungka bikukbarnnameng kore kurrulk, kunmekbe yimerranj bu Joseph benbenemarnekarreyolyolmeng.
GEN.40.23	Wanjh yiman djamku kuninjkunu karreyimerranj, dja bininj nawu king bimarnebokani minj biburrbuyi Joseph, bidjalbengmidjdanj.
GEN.41.1	Kaluk rerrikah bu mandjewk bokenh, wanjh Pharaoh kodjbukirriwam. Nungan bukirriburrinj kore yimankek darnkih mankabo Nile dingihdi. 
GEN.41.2	Wanjh kumekbe nang seven birrikukmak dja birridjurdudjurduh bulikki birrimbidburrinj kore kukabobeh, birringuni kunbak. 
