MAT.1.1	Ie sab naam Jiesoe Kriest ke baap-daada log ke hai. Oe Daawied aur Aabraaham ke aulaad hai.
MRK.5.9	Tab oe poetjhies: „Tor ka naam hai?” Tab oe bolies: „Hamaar naam Dher hai. Hamlog dher djane se baatie.” 
MRK.5.10	Oe ose bientie karies: „Hamlogke hia se doer na khaderiehe.”
MRK.5.11	Hoewa par ek djhoend soewar pahaar par tjarat raha, lagbhag doei hadjaar. 
MRK.5.12	Tab bhoet-paret log Jiesoe se bientie karies: „Hamlogke soewarwan me djaain de.” 
MRK.5.13	Tab oe bolies: „Dja!” Bhoet log aadmie me se niekarke gail soewar ke oeppar phaat paral. Tab djhoend bhar pahaar par se dhaure lagal aur samoendar me gierke doebke mar gail.
MRK.5.14	Tab soewar ke tjaraawe waalan bhaag gail sahar aur gaaw me sab koi se bataawe ke. Tab dher manai log aail dekhe kie ka howe hai. 
MRK.5.15	Tab djab oesab Jiesoe lage aail tab dekhies kie bhoet-paret waala aadmie sadhaaran se baithal hai aur kapra pahienies hai aur okar moerie thiek hoi gail. Tab oesab ghabaraai gail. 
MRK.5.16	Tab djaun aadmie log sab tjiedj dekhies raha, oesab bataais Jiesoe kaise bhoet-paret log ke bhagaais aur soewar log se ka bhail. 
MRK.5.17	Tab hoewa ke manai logan Jiesoe se bientie karies kie: „Toe hia se bestar tjal dja.”
MRK.5.18	Tab djab Jiesoe bot me gail, tab aadmie djaun attjha hoi gail raha, oe bolies: „Ham maangiela tor sanghe djaai.” 
MRK.5.19	Bakie oe bolies: „Toe dja ghare aapan palwaar lage. Aur sabhan se bataihe kie Prabhoe daaja karke tore khaat kaun biesaal kaam karies hai.” 
MRK.5.20	Aadmie tjal gail aur Dekaapoles galie me sab koi se bataawe lagal kie Jiesoe kaun barka kaam karies hai. Aur sab koi moeh baaike soenat raha.
MRK.5.21	Tab Jiesoe aur okar tjela log phieno samoendar ke habara kaaties. Tab oke pahoetjat der na lagal aur dher manai okar lage aail. Ohie khaatien oe samoendar lage rahie gail.
MRK.5.22	Tab ekgo aadmie aage aail. Oe ek partjaar ke ghar ke barkwa raha, aur okar naam Jaairas raha. Tab djab oe Jiesoe ke dekhies, tab okar gore gieral, 
MRK.5.23	aur bientie karies kie: „Hamaar bietia mare par atkal hai. Ham bahoet maangiela kie toe aaike aapan haath okar oeppar dharieho. Tab oe batj djaai.” 
MRK.5.24	Tab Jiesoe okar sanghe tjale lagal. Aur dher manai oke thelat-thaalat djaat raha.
MRK.5.25	Oman bhie ekgo aurat raha. Oke baara baries lek khaalie khoen gierat raha. 
MRK.5.26	Oe dher daaktar ke lage gail raha aur oesab oke bahoet doekh katwaais raha. Oe aapan sab paisa oman laga deis raha, bakie tabbo aur kharaab hoi gail raha. 
MRK.5.27+MRK.5.28	Oe Jiesoe ke baare me soenies raha kie oe kaun barka kaam kare hai. Tab oe apane me sotjies: „Djab ham khaalie okar kapra tjhoei leb tab ham attjha hoi djaabe.” Tab oe sab manai ke thelat-thaalat Jiesoe ke paatjhe gail aur okar kapra tjhoei leis. 
MRK.5.29	Ohie laage khoen ekdam se band hoi gail. Oe djaan gail kie oe attjha hoi gail hai.
MRK.5.30	Jiesoe toerant djaan gail kie okar saktie kaam me lewal gail hai. Tab oe ghoemke poetjhies: „Hamaar kapra ke tjhoeis hai?” 
MRK.5.31	Tab okar tjela log bolies: „Toe to dekhe hai manai log kaise dhakele hai. Tab toe kaise ie poetjh sake hai?” 
MRK.5.32	Bakie oe taakies kie ke oke tjhoeis hai. 
MRK.5.33	Tab aurat dar ke maare kaape lagal aur aage gail. Oe djaanat raha kie okar sanghe ka bhail hai. Tab oe Jiesoe ke gore gierke sab tjiedj bataais. 
MRK.5.34	Tab oe bolies: „Betie, toe hamare me bieswaas karle hai, ohie se toe batj gaile. Attjha se djaihe aur tjangga rahiehe.”
MRK.5.35	Abbe oe batiaite raha tab barkwa ke ek ghar waala aail aur aapan sardaar se bolies: „Tor bietia mar gail. Ab maastar djie ke moesiebat na de.” 
MRK.5.36	Bakie Jiesoe ie baat par dhiaan na lagaais. Oe barkwa se bolies: „Na ghabara, khaalie hamare me bieswaas kar.” 
MRK.5.37	Oe na maangat raha kie dher manai okar saath djaai. Oe khaalie Petras, Jaakobas aur okar bhaai Johaanas ke legail.
MRK.5.38	Djab sabhan barkwa ke ghar lage pahoetjal tab Jiesoe dekhies kie hoewa ke manai log oedaasie ke maare piet-pietke rowe hai. 
MRK.5.39	Tab Jiesoe aur ekwan bhiettar gail aur bolies: „Oe larkie na maral hai, oe soete hai. Toelog etana na row.” 
MRK.5.40	Tab sabhan oke hase lagal. Bakie oe sab koi ke bahare karies. Tab oe maai baap aur tieno tjela log ke leike larkie ke kamra me gail. 
MRK.5.41	Oe maral larkie ke haath pakarke bolies: „Taalieta koem!” Ekar matlab hai: „Betie, ham tose boliela: Oethke thara how!” 
MRK.5.42	Aur larkie toerant thara hoike tjale lagal. Oe baara baries ke raha. Okar maai baap aur tjela log dekhke bahoet atjambho bhail! 
MRK.5.43	Tab Jiesoe oelogke mienaahie karies kie: „Koi se na bataaw kie kaun tjiedj bhail hai.” Oe bhie bolies: „Koetjh khaaik oke dei de.”
MRK.6.1	Tab Jiesoe hoewa se tjal gail. Oe Naasaaret sahar me gail djaaha oe posaail raha. Okar tjela log okar sanghe bhie gail. 
MRK.6.2	Tab djab sabat ke dien bhail, tab oe partjaar ke ghar me Parmeswar ke baat siekhaawe lagal. Tab dher manai log soenke atjambho hoi gail aur apane me bolies: „Ie sab tjiedj oe kaaha se djaane hai? Etana gjaan oe kaise paais hai? Aur ie sab barka kaam oe kaise kar paawe hai? 
MRK.6.3	Oe to ghar banaawe waala hai, aur Maria ke betwa hai. Oe Jaakobas, Josaf, Joedaas aur Siemon ke bhaai hai, aur okar bahien log to bhie hia rahe hai.” Aur manai oke djaran kare lagal. 
MRK.6.4	Tab Jiesoe oelogse bolies: „Ekgo Parmeswar ke sanesia sagaro barka maanal dja hai, bakie aapan sahar aur palwaar me na.” 
MRK.6.5	Aur oe khaalie ekaatgo bemarian ke oeppar haath dharke attjha karies. Bakie hoewa par oe barka atjambho kaam na kar sakat raha. 
MRK.6.6	Aur oe hoewa ke manai log ke be-bieswaas dekhke atjambho bhail.
MRK.6.6	Tab Jiesoe aur okar tjela log ie gaaw me se oe gaaw djaat raha aur sagaro oe Parmeswar ke baat siekhaawat raha.
MRK.6.7	Tab ek rodj oe aapan baara tjoenal waala tjela log ke bolaais. Tab oelogke saktie deis bhoet-paret manai log me se niekaare ke aur doei doei djane ke pathaais khoes khabar djanaawe khaatien. 
MRK.6.8	Oe bolies: „Dher tjiedj na ledjaihe, khaalie ekgo ghoeme khaatien danda. Khaaik-paanie aur paisa bhie na ledjaihe. 
MRK.6.9	Toelogan dalaila pahien sakiehe, bakie kapra na ledjaihe.”
MRK.6.10	Aur bolies: „Djab toke koi apane ghare bolaai, tab hoewa par rahiehe djab talak toe doesar sahar na djaihe. 
MRK.6.11	Bakie djab toe kahoe djaihe aur hoewa ke manai log toke aapan ghare na bolaai aur tor baat par dhiaan na lagaai, tab hoewa se tjal djaihe. Tab toelogke tjaahie hoewa ke dhoer aapan gor me se djhaar dewe ke. Aise karke toelog dekhaihe kie toelogke kasoer na hai djab oesab Parmeswar ke aage kasoerwaar rahie.” 
MRK.6.12	Tab tjela log tjal gail aur sagaro ailaan karies kie: „Aapan paap pastaaw aur kharaab tjalaawa tjhor de.” 
MRK.6.13	Oelog dher manai me se bhoet-paret ke niekaarat raha aur tel lagaaike dher bemarian ke attjha karat raha.
MRK.6.14	Raadja Herodes Jiesoe ke baare me bhie soenies raha kie oe kaun partjaar aur atjambho kaam kare hai. Koetjh manai log Jiesoe ke biese me bolat raha: „Johaanas dopoe kare waala djie oethaawal gail hai. Ohie khaatien oe etana maahaan kaam kar paawe hai.” 
MRK.6.15	Koetjh doesar manai log bolat raha: „Oe Parmeswar ke sanesia Elia hai.” Aur koi koi bolat raha: „Ie aadmie ekgo Parmeswar ke sanesia hai djaise dher dien pahiele hamlogke des me bhie raha.”
MRK.6.16	Tab raadja Herodes djab ie baat soenies, tab bolies: „Ham Johaanas ke moerie katwaai deilie rahielie aur ab oe djie oethaawal gail hai.” 
MRK.6.17+MRK.6.18+MRK.6.19+MRK.6.20	Raadja aapan bhaai Fielepas ke aurat tjhienke ose biaah karies raha. Oe aurat ke naam Herodias raha. Tab Johaanas raadja se bolies raha kie: „Parmeswar ke bahoet kharaab lage hai kie toe aapan bhaai ke aurat se biaah karle hai.” Ohie khaatien oe Johaanas ke pakarwaaike djahal me band kar dewaais raha. Aurat goessaai gail raha Johaanas ke oeppar aur maangat raha oke marwaai dhaare, bakie oe na kar paawat raha. Raadja Herodes Johaanas ke barka maanat raha aur maangat raha oke batjaawe. Oe djaanat raha kie Johaanas ek bhala aadmie raha aur Parmeswar khaatien alag karal raha. Oe kabhie kabhie oke bolwaaike okar partjaar soenat raha aur okar baat oke bahoet attjha lagat raha. Bakie tabbo oe ghabaraai djaat raha.
MRK.6.21	Tab ek rodj aurat ke mauka mielal Johaanas ke marwaai dhaare khaatien. Oe dien raadja aapan djanam dien manaawat raha. Oe Gaalielea diehaat ke barka aur dhanie manai log aur bhie soerdjaatie ke barkwan ke nauta deis raha. 
MRK.6.22	Tab aurat ke bietia bhiettar aaike aur sab koi ke aage naatje lagal. Oesabke etana attjha lagal kie raadja ose bolies: „Toe tjaahe djaun tjiedj mangiehe, ham toke debe.” 
MRK.6.23	Aur oe kasam khaaike bolies: „Djaun tjiedj toe mangiehe, taun ham toke deb, tjaahe hamaar aadha raadj.” 
MRK.6.24	Tab larkie gail aapan maai lage aur poetjhies: „Ham kaun tjiedj maangie?” Tab okar maai bolies: „Dja Johaanas dopoe kare waala ke moerie maang!”
MRK.6.25	Larkie toerant raadja ke paas lautke gail aur bolies: „Ham maangiela kie toe ehie laage Johaanas ke moerie paletie par rakhke hamme deihe.” 
MRK.6.26	Tab raadja ie baat soenke oke bahoet sotj maaries. Bakie oe aapan pahoena ke aage kasam khaais raha, ohie khaatien oe na maangat raha aapan waada toere. 
MRK.6.27	Tab oe toerant ekgo soerdjaatie ke pathaais Johaanas ke moerie kaatke laawe ke. Soerdjaatie djahal me gail aur okar moerie kaat leis. 
MRK.6.28	Tab oe moerie paletie par dharke laais aur larkie ke deis. Tab larkie moerie leike aapan maai lage gail. 
MRK.6.29	Djab Johaanas ke tjela logan ie baat soenies, tab sabhan aaike okar mattie deis.
MRK.6.30	Ek dien Jiesoe ke pathaawal tjela log lautke aail aur ose bataawe lagal oesab kaun tjiedj karies aur siekhaais hai. 
MRK.6.31	Bakie hoewa par etana dher manai aawat djaat raha kie oesabke tem na raha koetjh khaai ke. Ohie se Jiesoe oelogse bolies: „Aaw tjalie ek djagaha djaaha koi na hai. Tab toelog soestaai sakiehe.” 
MRK.6.32	Oelog sab manai ke tjhorke bot leike tjal gail.
MRK.6.33	Bakie dher manai log oelogke djaat dekhies aur djaan gail sabhan kaaha dja hai. Tab oelog sab gaaw aur sahar me se haldie se gore gore bhie hoewa djaai lagal. Aur oelog bot se pahiele pahoetj gail.
MRK.6.34	Tab Jiesoe djab hoewa pahoetjal tab djhoend dekhke oke haat lagal. Oelog to ek djhoend bhera ghat dekhaat raha aur oelogke tjaraawe waala na raha. Tab oe soeroe karies oesabke dher baat siekhaawe ke.
MRK.6.35	Tab djab sandjha howe lagal tab okar tjela log aaike ose bolies: „Maastar djie, hia par ekko ghar na hai aur ab to sandjha hoi gail hai. 
MRK.6.36	Bestar hai kie toe sab manai ke hia ke aas-paas ke gaaw me pathaai de. Tab oesab koetjh khaaik kien sakie.” 
MRK.6.37	Bakie oe bolies: „Tohielog iesabke khaaik deihe.” Tab oelog bolies: „Ie sab manai khaat bret kiene ke ketana paisa lagie? Ek manai ke aath mahienna ke kamaai?” 
MRK.6.38	Tab oe poetjhies: „Toelogke lage kaigo bret hai? Dja dekh.” Oesab gail dekhe aur aaike bolies: „Paatjgo bret, aur doeigo matjharie.”
MRK.6.39	Tab oe bolies kie: „Sab manai ke doei-tien palwaar ke ek lage ghaas par baithaai de.” 
MRK.6.40	Koetjh der baad manai log baith gail, aur patjaas kie sau manai ek ek lage baith gail. 
MRK.6.41	Tab Jiesoe paatj bret aur doei matjharie leike oeppar taakke Parmeswar ke dhanbaad deis. Tab oe bret toer toerke tjela log ke deis baate ke. Aisane oe doei matjharie ke bhie toerke batwaais. 
MRK.6.42	Aur sab koi pet bharke khaais. 
MRK.6.43	Tab sabhan batjal bret batorke baara baskieta bharies. Aur koetjh matjharie bhie batjal raha. 
MRK.6.44	Aurat larkan tjhorke hoewa paatj hadjaar mardaana log raha, aur sab manai hoewa bhodjan karies raha!
MRK.6.45	Ekare baad Jiesoe aapan tjela log se bolies: „Bot me dja aur habara kaatke Betsaaida sahar dja. Ham baad me aabe. Pahiele ham sab manai log ke ghare pathaai debe.” 
MRK.6.46	Tab oe sab koi se bhet karke tjal gail pahaar par praatna kare.
MRK.6.47	Djab raat bhail tab tjela log samoendar ke bietj me raha, aur Jiesoe akel pahaar par raha. 
MRK.6.48	Tab djab tien badj ke paas hoi gail raha tab oe dekhies kaise oelog mehenat se khewe hai. Bahoet hauwa raha. Tab oe paanie par tjalke aail aur maangat raha bot lage se paas howe. 
MRK.6.49	Tab tjela log djab koi ke samoendar par tjalat dekhies tab bahoet deraai gail. Oesab sotjies kie bhoet hai, aur dar ke maare tjiellaai lagal. 
MRK.6.50	Bakie Jiesoe djor se bolies: „Na dera! Ham baatie!” 
MRK.6.51	Tab oe bot me gail, bas hauwa roek gail. Tjela log na djaanies kie oesab kaun tjiedj dekhies, tjakkariaai gail. 
MRK.6.52	Oesab tjaahe okar bret ke barka kaam dekhies raha, tabbo na samadjh paais kie oe ke hai. Oelogke diel to kharaab raha.
MRK.6.53	Tab djab oesabhan samoendar ke oepaar pahoetjal tab Genesaaret ke sahar ke nagietj aai gail. Hoewa par oesab bot baanh deis. 
MRK.6.54	Djaise oesab bot me se niekarke gail oisane hoewa ke manai log Jiesoe ke tjienh leis. 
MRK.6.55	Tab oelog galie bhar me gail bemarian ke tjataai par okar paas laawe khaatien. 
MRK.6.56	Aur tjaahe djaun gaaw kie to sahar oe djaat raha, sab koi aapan aapan bemarian ke daam ke lage dhar dewat raha. Aur oesab ose bientie karies kie bemarian khaalie okar kapra ke djhalarie tjhoei sake hai. Aur dje dje oke tjhoeis, oesab ekdam se attjha hoi gail.
MRK.7.1	Ek rodj ekaatgo Fariesie log aur dharam ke parhal waalan Jeroesaalem sahar me se Jiesoe ke lage ekattha bhail. 
MRK.7.2	Tab oesab dekhies kie okar koetjh tjela log biena haath dhowe bret kha hai. 
MRK.7.3	Israel logan, aur bieses karke Fariesie logan ke dharam ke nem hai khaai se pahiele haath dhowe ke. Oelogke baap-daada logan aisahie bhie karat raha. 
MRK.7.4	Aur djab oesab badjaar se ghare aawe hai tab khaai se pahiele naha hai. Oesab auro dharam ke nem maane hai, djaise kaam me laawe se pahiele bartan phien se khanghaare ke.
MRK.7.5	Ohie se djab Fariesie log aur dharam ke parhal log dekhies kie koetjh tjela log biena haath dhowe kha hai, tab sabhan Jiesoe se poetjhies: „Tor tjela log kaahe ke biena haath dhowe bret kha hai, aur hamlogke baap-daada logan ke nem na maane hai?” 
MRK.7.6	Tab oe bolies: „Are, dhokhaabaadj logan! Parmeswar ke sanesia Jasaaja ke baat toelogke baare me satj hai. Oe to liekhies raha kie: ‘Parmeswar bole hai: Ie djaatie log aapan moeh se hamaar aadar kare hai, bakie oesab hamke aapan diel se na maane hai. 
MRK.7.7	Djaun baat oesabhan siekhaawe hai khaalie iensaan ke hoekoem hai. Ohie se oelogke ieddjat hamaar lieje koetjh na hai.’ ”
MRK.7.8	Oe auro bolies: „Toelog manai log ke nem pakar leile hai, bakie Parmeswar ke baat tjhor deile hai. 
MRK.7.9	Toelog Parmeswar ke hoekoem barhia se ek alang kar deile hai aapan dharam ke nem pakare khaatien. 
MRK.7.10	Aisane Mosas Parmeswar ke hoekoem se bolies: ‘Aapan maai-baap ke barka maan.’ Aur bhie bolies: ‘Dje aapan maai-baap ke saraapie, oke djaan se maar dhaare ke tjaahie.’ 
MRK.7.11	Bakie toelog siekhaawe hai kie dje aapan maai-baap se bole hai kie: ‘Ham aapan sab dhan-daulat Parmeswar ke daan debe,’ 
MRK.7.12	oe oelogke madat na kare ke pare hai. 
MRK.7.13	Aisan baat siekhaaike toelog Parmeswar ke baat ek kait tjhor dewe hai. Ie khaalie ek tjiedj hai, bakie toelog auro rakam se aapan nem Parmeswar ke hoekoem se barka maane hai.”
MRK.7.14	Tab Jiesoe phien se ekwan ke bolaaike siekhaais kie: „Sab koi soen aur hamaar baat par thiek se dhiaan dhar. 
MRK.7.15	Koetjh na hai djaun manai ke bhiettar djaaike oke kharaab kare hai. Bakie djaun tjiedj okar moeh me se niekare hai, ohie oke kharaab kare hai. 
MRK.7.16	Dje ke kaan hai, oke tjaahie soene ke aur na tel daarke baithe ke.”
MRK.7.17	Tab djab oe manai log ke tjhorke ghare tjal gail, tab okar tjela log ose ie tjhiepal baat ke matlab poetjhies. 
MRK.7.18	Tab oe bolies: „Ka, toelog bhie na dekhe hai? Toelog na samdjhe hai kie djaun tjiedj ek manai me bhiettar dja hai, oe oke kharaab na banaawe hai? 
MRK.7.19	Oe khaaik okar diel me na dja hai, bakie pet me. Tab okare baad dehie me se niekar dja hai.” 
MRK.7.20	Aisahie oe siekhaais kie manai logan sab khaana khaai sake hai. 
MRK.7.21+MRK.7.22	Oe bhie bolies: „Djaun baat manai ke moeh me se niekare hai, ohie oke kharaab banaawe hai. Ie sab baat okar diel me se niekare hai. Hoewa se sab kharaab sotj-bietjaar oetpan howe hai. Iensaan logan tjhatjhoendaraipan kare hai, tjorie kare hai, djaan marwa hai, aapan biaah ke waada toere hai, haahie hai, goessaha hai, dhokhaabaadj hai, apane ke na samhaare hai, djarantoeha hai, Parmeswar ke bedjatie kare hai, ghamandie hai aur biena sotj-bietjaar se kaam kare hai. 
MRK.7.23	Ie sab tjiedj manai ke diel me se niekare hai aur ohie oke kharaab kare hai.”
MRK.7.24	Tab Jiesoe hoewa se tjalke Tieras sahar ke galie gail. Hoewa par oe ekgo ghar me gail. Oe na maangat raha kie koi djaane oe kaaha hai, bakie tabbo koetjh manai djaan gail. 
MRK.7.25+MRK.7.26	Hoewa par ekgo aurat raha. Okar bietia ke bhoet pakaries raha. Djab oe Jiesoe ke baare me soenies tab toerant okar paas gail. Oe Israel djaat ke aurat na raha, bakie oe Griek ke aurat raha aur Feniesia galie me Sieria des me rahat raha. Tab djab oe Jiesoe lage pahoetjal tab okar gore gierke aur poetjhies: „Toe hamaar bietia me se bhoet niekaar sakiehe?” 
MRK.7.27	Tab oe bolies: „Larkan ke pahiele pet bhar khaain de. Na thiek hai oelogke bret leike koetta ke khawaawe ke.” 
MRK.7.28	Tab aurat bolies: „Djie-ha, Prabhoe, bakie djab koetjh bret gier dja hai, tab koetta log to khaai sake hai.” 
MRK.7.29	Tab oe bolies: „Toe ie baat thiek bolle hai, ohie se toe ghare djaai sake hai. Ham tor bietia me se bhoet ke khader deilie hai.” 
MRK.7.30	Aurat gail ghare aur dekhies kie okar bietia attjha se bedie par letal hai aur bhoet tjal gail hai.
MRK.7.31	Tab Jiesoe aur okar tjela log Tieras me se Siedon sahar gail aur hoewa se Dekaapoles diehaat me lautke gail Gaalielea ke samoendar lage. 
MRK.7.32	Tab ekaat manai log ek bahiera ke okar paas laais. Oe aadmie thiek se bhie na batiaai paawat raha. Oesab Jiesoe se bientie karies kie oe aapan haath okar oeppar dharke oke attjha kare.
MRK.7.33	Tab oe oke manai log me se ek alang legail. Tab oe aapan angoerie okar kaan me daaries, aur thoekies, tab okar djieb tjhoeis. 
MRK.7.34	Tab oe oeppar taakke aur saas leike aapan bhaasa me bolies: „Efaata!” Ekar matlab hai: „Khoel dja!” 
MRK.7.35	Ohie laage aadmie soene lagal aur barhia se batiaai paais. 
MRK.7.36	Tab Jiesoe hoewa ke manai log se bolies: „Koi se na bataihe.” Bakie tjaahe oe doharaaike bolies, tabbo manai log sagaro bataais ka bhail hai. 
MRK.7.37	Oesab bahoet atjambho raha aur bolies: „Dekhle ketana biesaal kaam oe karies hai? Oe bahiera logan ke ekdam se attjha kar dewe hai aur goenga logan batiaai lage hai!”
MRK.8.1+MRK.8.2	Ek dien dher manai log phien se Jiesoe lage ekattha bhail raha. Bakie oesab ke khaaik na raha. Tab oe aapan tjela log ke bolaaike bolies: „Ie sab manai tien rodj se hia par hai aur ab oesabke khaaik don hoi gail hai. Hamke oesabke haat lage hai. 
MRK.8.3	Aur ham oesabke bhoekhe pet ghare to na pathaai sakiela. Ekaatgo bahoet doer rahe hai, oesab be-dam hoi djaai.” 
MRK.8.4	Tab tjela log bolies: „Hamlog etana dher manai khaatien kaaha se bret kienke laai? Hia koi na rahe hai.” 
MRK.8.5	Tab oe poetjhies: „Toelogke lage kaigo bret hai?” Tab oesab bolies: „Saatgo.”
MRK.8.6	Tab oe bolies: „Attjha, sab koi ke tjaahie djamien par baithe ke.” Tab oe saato bret leike Parmeswar ke dhanbaad deis. Tab oe bret ke toekkara toekkara toerke tjela log ke deis manai log ke baate ke. 
MRK.8.7	Aur oesabke bhie ekaatgo tjhota matjharie raha. Tab oe ekare khaat bhie dhanbaad karies aur tjela log se bolies: „Eke manai log ke bhie baat de.” 
MRK.8.8	Aur sab koi pet bharke khaais. Tab djetana batjal-koetjal raha sabhan ekattha karies, saat barka baskieta bhar. 
MRK.8.9	Hoewa par lagbhag tjaar hadjaar manai logan bhodjan karies raha.
MRK.8.9	Tab Jiesoe oesabse bolies: „Ab toelog ghare djaai sake hai.” 
MRK.8.10	Tab oe toerant aapan tjela log ke leike bot me djaaike Dalmaanoeta ke galie tjal gail.
MRK.8.11	Ek rodj ekaatgo Fariesie log Jiesoe lage aaike moeh laraawe lagal. Oesab maangat raha djaane kie oe aapan kaam kekar saktie se karat raha. Tab oesab bolies: „Ekgo atjambho kaam kar, tab hamlog dekhab kie Parmeswar toke saktie dewe hai kie na.” 
MRK.8.12	Tab Jiesoe aktaaike bolies: „Aadj-kaal ke manai log kaahe khaatien maange hai kie ham atjambho kaam karke dekhaai kie Parmeswar hamme pathaais hai? Ham toelogse satj boliela kie ham aisan kaam toelogke khaatien tanko na karab.” 
MRK.8.13	Tab oe oesabke hoewa par tjhor deis aur aapan tjela log ke sanghe phieno bot me gail aur samoendar ke habara tjal gail.
MRK.8.14	Djaite me tjela log dekhies kie oelog bret bhoelaai gail hai. Oesabke lage khaalie ekgo bret raha.
MRK.8.15	Etane me Jiesoe oesabse bataawe lagal: „Fariesie log aur raadja Herodes ke khatta karal piesaan se batjaaike rahiehe.” 
MRK.8.16	Tab tjela log apane me batiaai lagal kie oesab bret bhoelaai gail. 
MRK.8.17	Bakie Jiesoe djaan gail aur bolies: „Toelog kaahe ke oe bret ke baare me batia hai? Toelog abbe talak na samadjhle hai? Toelogke boeddhie na hai? Toelog kaahe ke etana bhoettjar baate? 
MRK.8.18	Toelog hamaar kaam aapan aakhie se dekhle aur kaan se soenle hai. Tab kaahe ke na samadjhle hai? 
MRK.8.19+MRK.8.20	Djab ham paatj bret toerke paatj hadjaar manai ke deilie khaai ke, tab kai baskieta bret batjal raha? Toelogke jaad na hai?” Tab oesab bolies: „Baaraago.” Tab oe bolies: „Aur djab ham saat bret me se tjaar hadjaar manai ke khawailie, tab ketana batorle rahiele?” Tab oesab bolies: „Saat baskieta.” 
MRK.8.21	Tab oe bolies: „Ka, toelog ab talak na samadjhle ham kaun tjiedj kar sakiela?”
MRK.8.22	Tab oesab Betsaaida sahar me djaaike pahoetjal. Tab koetjh manai ek andha ke laais, aur Jiesoe se poetjhies: „Aap eke tjhoeike attjha kar sako ho?” 
MRK.8.23	Tab oe okar haath pakarke gaaw me se legail. Tab okar aakhie par thoekies aur aapan haath okar oeppar rakhies aur poetjhies: „Ab toe koetjh dekhe hai?” 
MRK.8.24	Tab aadmie aas-paas taake lagal aur bolies: „Hamme manai djaise tjalat per dekha hai.” 
MRK.8.25	Tab oe phien se aapan haath okar aakhie par rakhies. Tab djab oe hataais tab aadmie barhia se dekhe lagal. Okar aakhie ekdam se attjha hoi gail raha. 
MRK.8.26	Tab oe bolies: „Ab gaaw me lautke na djaihe bakie dja ghare.”
MRK.8.27	Koetjh dien baad Jiesoe aur okar tjela log Sesaarea Fielepie sahar ke aas-paas ke gaaw me gail. Tab tjalte me Jiesoe poetjhies: „Manai logan hamaar biese me ka bole hai kie ham ke baatie?” 
MRK.8.28	Tab oesab bolies: „Koi koi bole hai kie toe Johaanas dopoe kare waala baate. Aur ekwan sotje hai kie toe Parmeswar ke sanesia Elia baate. Aur koetjh log bole hai kie toe ekgo doesar pahiele ke sanesia baate.” 
MRK.8.29	Tab oe poetjhies: „Aur toelog ka bole hai kie ham ke baatie?” Tab Petras bolies: „Toe Parmeswar ke Kriest baate.” 
MRK.8.30	Tab oe oesabke mienaahie karies aur bolies: „Koi se na bataihe.”
MRK.8.31	Tab oe samdjhaawe lagal kie: „Iensaan ke Beta ke bahoet doekh oethaawe ke parie. Barkwan, barka agwan aur dharam ke parhal waalan oke na maangiega aur oke marwaai dhaariega. Aur tien rodj baad oe phieno djie oethiega.” 
MRK.8.32	Oe ie sab baat kholke bolies. Tab Petras oke ek kait legail aur oke daate lagal aur bolies: „Maastar djie, aise na bol.” 
MRK.8.33	Tab oe ghoemke doesar tjela log ke aage oke daatke bolies: „Saitaan, hamaar paatjhe se bhaag dja! Toe iensaan ghat sotje hai aur na Parmeswar ghat.”
MRK.8.34	Tab oe aapan tjela log ke aur bhie ekwan manai logan ke aapan paas bolaaike bolies: „Dje hamaar rasta par maange hai tjale, oke tjaahie aapan rasta tjhor dewe ke, aur djab okar bieswaas dwaara oke doekh oethaawe ke parie, tabbo oke tjaahie hamaar paatjhe tjale ke. 
MRK.8.35	Dje maange hai aapan djiewan apane khaatien bietaawe, okar djiewan Parmeswar ke aage djhoetthe ke hoi djaai. Bakie dje aapan djiewan hamaar khaatien bietaaiga aur hamaar khoes khabar phailaaiga, oe sattja djiewan paaiga. 
MRK.8.36	Djab koi doenia ke sab tjiedj harap lei, aur oe Parmeswar se doer pahoetj djaai, tab oke kaun faida hoi? 
MRK.8.37	Iensaan Parmeswar ke kaun tjiedj dei sake hai sattja djiewan paawe ke? 
MRK.8.38	Koetjh manai kharaab hai aur Parmeswar ke tjhor deis hai. Oesab hamaar baat aur hamse sarma hai. Bakie djab iensaan ke Beta aapan Baap ke maahaanta me pawietr parie log ke sanghe aaiga, tab oe bhie oelogse sarmaaiga.”
MRK.9.1	Oe bhie bolies: „Sattje ke, hia ke koetjh manai mare se pahiele dekhiega kie Parmeswar kaise iensaan ke diel me aapan barka saktie se raadj tjalaawe hai.”
MRK.9.2	Tjhau dien baad Jiesoe Petras, Johaanas aur Jaakobas ke legail ek oetja pahaar par. Hoewa par doesar manai na raha.
MRK.9.2	Tab oe doesar rakam dekhaai lagal aur 
MRK.9.3	okar kapra oeddjar tjamke lagal. Doenia me koi na kapra etana oeddjar dhoi sake hai. 
MRK.9.4	Tab oesab Elia aur Mosas ke dekhies, aur oe doeno Jiesoe se batiaat raha. 
MRK.9.5	Tab Petras bolies: „Maastar djie, barhia hai kie hamlog hia baatie. Hamlog tiengo marai banaabe, ekgo tor khaatien, ekgo Mosas khaatien aur ekgo Elia khaat.” 
MRK.9.6	Tjela log bahoet ghabaraai gail raha, ohie khaat Petras ie and-band baat bolies. 
