MAT.1.1	Nönca tlapoale de tiebiebetcöhua de Jesucristo, öque iloac iconie David, hua iconie Abraham.
MRK.4.9	Entunses quemelfejque:
MRK.4.9	―Öque quepea itlacaqueles para tlacaques, ma tlacaque.
MRK.4.10	Sötiepa oijiloaya tieinsiel yejuatzi hua inu majtlactle huan ume ca tiehua quiesquete ocseque. Entunses yejua tietlajtlaniöya tli quejtusneque inu cuientos tli quenpubeliloöya. 
MRK.4.11	Yejuatzi quemelfejque:
MRK.4.11	―Nemejua nemiechtocöroa nencasojcömatesque inu secrietos de quiene ca Deus tlamandörurus. Pero ca giente tli amo cate de nemejua, mojtoa noche sösantle ca cuientos. 
MRK.4.12	Ejqueu mös yectlajtlacheasque, pero majcamo yetla quixomatecö. Mös tlayejcaquesque, pero majcamo yetla casojcömatecö. Ejqueu amo moyulcuepasque para ejqueu Deus amo quenperdonörfisque intlajtlacul.
MRK.4.13	Oquemelfejque:
MRK.4.13	―¿Amo nenquemate tli quejtusneque ini nönca cuiento? ¿Quiene noso nencasojcömatesque noche cuientos? 
MRK.4.14	Öque tlatuca icaca quieme tlö öque quetuca tlajtule de Deus. 
MRK.4.15	Inu xenöchtle tli obetz itienco ojtle icaca quieme cana giente tli ipa inyulo ye omotucac teotlajtule. Pero cuöc ye quecajque, nima yebitz Satanás. Quejcuenea inu tlajtule tli omotucac ipa inyulo. 
MRK.4.16	Öxö nuyejque inu xenöchtle tli omotucac intzölö teme icaca quieme cana giente tli quecajque teotlajtule hua nima queselejque ca meyac pöquelestle. 
MRK.4.17	Pero mochihua quieme cana inu tlajtule amo monelhuayute de melöhuac ipa inyulo. Pos impa yebitz tiecoco noso cox giente quentepotztoca por ipampa teotlajtule, hua nima modesanimöroa. 
MRK.4.18	Öxö inu xenöchtle tli omotucac intzölö betztle nele icaca quieme cana yejua tli quecajque teotlajtule, 
MRK.4.19	pero quentequepachoa sösantle ipa nönca tlöltecpactle. Mixcajcayöhua ca tomi hua quixeliebea meyac sösantle. Pos tönto hua tönto tlaixeliebea hasta quieme cana ye oquepötzmectejque teotlajtule ipa inyulo. Yaja ica teotlajtule amo quepea resultado inca yejua. 
MRK.4.20	Cache inu xenöchtle tli omotucac ipa cuale tlöle icaca quieme cana yejua tli quecajque teotlajtule. Cöna hua quechihua noche tlin cuale tlachihuale, quieme cana tlö sente xenöchtle quetiemacasquea treinta, hua ocsente quetiemacasquea sesenta, hua ocsente quetiemacasquea sie sientos töntos.
MRK.4.21	Nuyejque quemelfejque:
MRK.4.21	―Pos lalebes tunto öque quetlölis sente cantil itzintla almu noso itzintla tlapechtle. Tejua tectlölea sente cantil ipa canteliero cöne tlöbejtös. 
MRK.4.22	Pos noche tli mojyönteca sötiepa nieses, hua noche tli sa ichtacajtzi icaca sötiepa macheas. 
MRK.4.23	Tlö canajyeca quepea itlacaqueles para tlacaques ma tlacaque.
MRK.4.24	Nuyejque quemelfejque:
MRK.4.24	―Xecpeacö cueröro de lo que tli nenquecaque. Pos san quiene nenquentemachibelea ocseque giente, ejqueu nuyejque nemiechtemachibelisque, hua hasta cache meyac nemiechmacasque. 
MRK.4.25	Tiel öque tli quepea, quemacasque cache meyac. Pero öque amo bel quepea, quequextelisque hasta inu tepetzi tli oc quepea.
MRK.4.26	Nuyejque oquejtuloöya:
MRK.4.26	―Cuöc Deus tlamandöruro icaca quieme cana sente tlöcatl cuöc quetuca xenöchtle. 
MRK.4.27	Inu tlöcatl coche ca yohuale. Miehua ca tunale. Pos tlatuctle quisa hua mobepöhua pero yaja amo quemate quiene. 
MRK.4.28	Sie yaja tlöle quetlamochihualtea. Cachto ixejyo. Yecuöquenu imeyöhuayo, hua sötiepa itech imeyöhuayo quisa ixenöchyo. 
MRK.4.29	Entunses cuöc ye ochecö, sa nima queteque ca yusno, porque ye ura para moteques.
MRK.4.30	Nuyejque oquejtojque:
MRK.4.30	―¿Ca tli tejcomparörusque quiename cuöc tlamandöruro Deus? Noso ¿tli cuiento cuale tecönasque para tequejtusque que ejqueu tlamandöruro? 
MRK.4.31	Cuale tequejtusque que Deus tlamandöruro quiename cuöc mobepöhua ixenöch mostöza. Cuöc inu mostöza motuca, cache tzitzequetzi icaca que noche sösantle xenöchtle tli onca ipa tlöltecpactle. 
MRK.4.32	Pero cuöc ye omotucac, mobepöhua hua mochihua cache bieye que noche sösantle queletl. Lalebes momömöyutea hua tutume tli patlöne ipa yejyecatl quetlölea intepasol ipa isumbra.
MRK.4.33	Pos ca meyac cuientos quieme ini yejuatzi quennunutzaloöya de teotlajtule san quiene ca yejua cuale quecajque. 
MRK.4.34	Sin cuientos amo quennunutzaloöya. Cache tiemachtejcöhua, cuöc sa insiel oijiloaya, yejuatzi quenpanquexteliloöya noche sösantle.
MRK.4.35	Inu mismo tunale cuöc ixtlayohua oyeya quemelfejque:
MRK.4.35	―Ma tepanucö ca niepa.
MRK.4.36	Quencöjtiejque inu giente, pos tiemachtejcöhua tiebicaque ipa börco san quiene ca iloaya. Ompa nuyejque oyejyeya ocseque börcos. 
MRK.4.37	Pero omochi sente yejyecatl bel checöhuac. Ötzintle majcoteopancueya ipa börco, hasta ye tiemeya börco. 
MRK.4.38	Pos yejuatzi iloaya icuetlapa ijtec börco. Cochihuataya ipa sente tlacpale. Entunses tieixetejque hua tieyelfejque:
MRK.4.38	―Maestro, ¿amo metzmoimportörfea tlö necö temejmequesque?
MRK.4.39	Yecuöquenu neyehualuc, hua cajajuaque öyejyecatl. Quelfejque ötiescatl:
MRK.4.39	―Sa xeyeta. Xomosiebe.
MRK.4.39	Cuöquenuju öyejyecatl omoquetz por complieto hua sa tlacacta. 
MRK.4.40	Entunses quemelfejque yejua:
MRK.4.40	―¿Tlica tönto lalebes nemomajtejque? ¿Tlica ayemo nemoneltoca?
MRK.4.41	Hua yejua majcömejque lalebes. Omolfiöya sie yejua:
MRK.4.41	―¿Öqueniji noso? Pos hasta yejyecatl hua ötzintle tieneltoca.
MRK.5.1	Onajaxihuato ca nie löro de ötiescatl intzölö giente de puieblo de Gerasa. 
MRK.5.2	Cuöc Jesús oquixoac de ijtec börco, nima sente tlöcatl tli quepeaya moxicoöne ohuölie de mejcöustutl tienömequeco. 
MRK.5.3	Ini tlöcatl chönteya cöne motuca mimejque. Pero nionöque abele quelpiöya nion ca cariena. 
MRK.5.4	Pos meyacpa quejilpiöya ca carienajte pa icxehua hua pa imöhua. Pero yaja quenxexetune inu carienajte pa imöhua hua quencojcotunaya inu carienajte pa icxehua. Pos nionöque abele quequitzquiöya. 
MRK.5.5	Seme yohualen tunale tzajtzetenemeya ipa tepieme hua tzajtzetenemeya cöne motuca mimejque. Sie yaja mococojtenemeya ca teme. 
MRK.5.6	Entunses cuöc tieyejtac Jesús bejcateca, omomerö. Motlancuöquetzato tieixtla. 
MRK.5.7	Tzajtzec checöhuac hua oquejto:
MRK.5.7	―¿Tli tomopilea ca naja, Jesús, tieConietzi Deus bieyetzintle? Temetzmotlötlajtelea tieixtlantzinco Deus, amo xeniechmotlajcalele ipa tiecoco tietunie.
MRK.5.8	Ejqueu oquejto porque ye quelfejque Jesús:
MRK.5.8	―Xequisa de ini tlöcatl, taja temoxicoöne.
MRK.5.9	Entunses quetlajtlanque:
MRK.5.9	―¿Quiene tomotucö?
MRK.5.9	Tienönquele:
MRK.5.9	―Pos nenotucö Trupa, porque temeyactie tecate.
MRK.5.10	Yecuöquenu tietlötlajtiöya lalebes meyac majcamo quetitlanecö ca queyöhuac de inu nieca locör. 
MRK.5.11	Ompa oyejyeya itech nieca tepietl meyactie petzome tlajtlacuajtenemeya. 
MRK.5.12	Entunses inu moxicoöneme tietlötlajtejque:
MRK.5.12	―Xetiechmotitlane inca petzome ma tecalaquecö inmijtecopa.
MRK.5.13	Pos sa nima quencöjque yejuatzi. Entunses quistiejque moxicoöneme. Calaqueto imijtec petzome. Cuöquenuju momiemeröjtiejque noche petzome quiename ume mil. Motietepexebito hasta ijtec ötiescatl, hua ompa öijyumejque.
MRK.5.14	Inu tlöca tli quentlajtlacualtejtenemeya petzome ochucholojtiejque. Tlamachestito ipa puieblo hua ca caltienco. Pos quistiejque giente para quejtaque tlininu nieca tli omochi. 
MRK.5.15	Hua ohuölajque tieca Jesús. Quejtaque yehuataya inu tlöcatl tli antes quecocoöya demunios. Pos yaja cachto quepeaya inu trupa de moxicoöneme, pero öxö ye cuale. Ye möquejtaya itzotzomajua hua ayecmo lucojteya. Pos yejua giente momajtejque. 
MRK.5.16	Entunses yejua tli miero quejtaque lo que opasöre quenpubelejque lo que tli ipa omochi inu tlöcatl tli quepeaya demunios hua tli impa omochi petzome. 
MRK.5.17	Yecuöquenu opiejque tietlötlajtejque Jesús ma biloa de intlac. 
MRK.5.18	Cuöc calacoac yejuatzi ijtec börco, inu tlöcatl tli oquepex demunios tietlötlajtiöya ma seme iye tietlac. 
MRK.5.19	Cache Jesús amo quecöjque, tlöcamo quelfejque:
MRK.5.19	―Xebeya pa mochö inca motlöcaicnihua, hua xequenpubele tli bieye tlachihualestle oquechijque Tlöcatzintle ca taja, hua quiene ca oquepexque icnuejtelestle ca taja.
MRK.5.20	Melöhuac uya hua tlanunutz ipa inu estado de Decápolis tli bieye tlachihualestle oquechijque Jesús ica yaja. Pos noche giente quetietzöbiöya.
MRK.5.21	Cuöc Jesús panoac ocsajpa ca nepa löro omosentlölejque meyactie tieca. Ompa iloaya itienco ötiescatl. 
MRK.5.22	Entunses ohuöla sente tlayecönque de teopanconetzi itucö Jairo. Hua cuöc tieyejtac Jesús, mopechtiecac tieicxetla. 
MRK.5.23	Tietlötlajtiöya lalebes. Oquejto:
MRK.5.23	―Nochpuchconie ye mecteca. Xehualmobica hua xomotlölele momötzetzihua ipa yaja para ma pajte, hua ma neme.
MRK.5.24	Pos biloac ca yaja, hua tietocaque meyac giente. Tiepötzoöya. 
MRK.5.25	Sente sohuatl ye mococoöya majtlactle huan ume xebetl ica itlapalyeso. 
MRK.5.26	Lalebes obejcö mococoöya inmöpa miercojte. Quecastöro noche tli quepeaya hua amo opejtec, tlöcamo cache tlanabeya. 
MRK.5.27	Cuöc inu sohuatl oquecac lo que tli giente quejtoöya de Jesús, aseto ca tiecuetlapa intzölö giente. Quemötocac tietlaquie Jesús. 
MRK.5.28	Pos quejtoöya ijtecopa: “Tlö necmötocas mös sa tietlaque, nepajtes”.
MRK.5.29	Hua sa nima itlapalyeso omoquetz hua quemachele ipa icuierpo que ye opajtec de inu nieca tiecoco. 
MRK.5.30	Pos nima Jesús quemachelejque tieijtecopa que cusörojque checöhualestle. Onecuepaluc intzölö giente hua quemelfejque:
MRK.5.30	―¿Öquenu conmötocac notlaquie?
MRK.5.31	Tieyelfejque tiemachtejcöhua:
MRK.5.31	―Pos ¿quie amo tomojtelea meyac giente metzmopötzelfea, hua turavea tomojtalfea: “¿Öquenu niechonmötocac?”
MRK.5.32	Pero yejuatzi tlachealoöya ca nobeyo para quejtasque inu sohuatl tli tiemötocac. 
MRK.5.33	Yecuöquenu inu sohuatl omajcömec hua bebeyocac, porque oquemat ijtecopa tli omochi. Entunses ohuöla hua mopechtiecac tieixpa yejuatzi. Tiemelöjcöpubele noche. 
MRK.5.34	Yejuatzi oquelfejque:
MRK.5.34	―Nochpuch, por tomoneltocac ye tepajtec. Xebeya ca pöquelestle, hua xepajte de mococoles.
MRK.5.35	Mientras yejuatzi oc tlajtlajtulutaya, ohuölajque seque giente tli cate pa ichö de tlayecönque de teopanconetzi. Quelfejque tlayecönque:
MRK.5.35	―Pos moconietzi ye omec. ¿Tli para cache tetiemotequemaquelea nöiloac maestro?
MRK.5.36	Pero cuöc Jesús quecajque lo que oquejtojque, quelfejque tlayecönque de teopanconetzi:
MRK.5.36	―Amo xomomajte. Sa xomoneltoca.
MRK.5.37	Entunses yejuatzi amo quecöjque yeca ma tietoca tlöcamo sa Piero hua Jacobo hua Xohuö, icni de Jacobo. 
MRK.5.38	Obiloac ichö de tlayecönque de teopanconetzi. Quejtaque quiene ca cuejcueyuneya giente, quiene ca chojchucaya hua ara ca chuquestlajtoöya. 
MRK.5.39	Yecuöquenu ocalacoac hua oquemelfejque:
MRK.5.39	―¿Tlica nencuejcueyune hua nenchojchuca? Pos ini sisehuantu amo omec tlöcamo coche.
MRK.5.40	Cache moburlörojque de yejuatzi. Pero yejuatzi quenquextejque ca queyöhuac innochtie. Ocönque itajtzi de sisehuantu hua inöntzi hua tli oyejyeya tiehua hua ocajcalacoac cöne oyeya sisehuantu. 
MRK.5.41	Caseque imö sisehuantu. Oquelfejque:
MRK.5.41	―Talita, cumi ―quejtusneque: Sisehuantu, taja temetzelfea, xemiehua.
MRK.5.42	Pos sa nima sisehuantu omie, hua nejnemeya. Quepeaya majtlactle huan ume xebetl. Pos nima quetietzöbejque bel lalebes. 
MRK.5.43	Pero yejuatzi quennahuatejque checöhuac nele majcamo öque quemate de ini nönca, hua quemelfejque ma quetlamacacö sisehuantu.
MRK.6.1	Oquixoac Jesús de ompa hua hualiloac ca tiepuieblo. Tiehualtocaque tiemachtejcöhua. 
MRK.6.2	Ipan söbro, opiehualuc quenmachtiloöya ipa teopanconetzi. Meyactie quetietzöbejque cuöc tiecaqueya. Quejtojque:
MRK.6.2	―¿De cöne quetzeco nönca tlöcatl nocheji sösantle? ¿Hua tlininiji tlamatcöyutl tli yeca oquemacac? ¿Tli quejtusneque nöncate tietzöbeme tli quechihua ca imö? 
MRK.6.3	¿Amo yaja ini calpintiero, iconie María, hua icni de Jacobo, de Josie, de Judas, hua de Semu? ¿Amo oncöncate ca tejua icnihua sohuame?
MRK.6.3	Pos por inu amo quecualejtaya giente. 
MRK.6.4	Pero Jesús quemelfejque:
MRK.6.4	―Ca nobeyo giente queyequejta sente tlayulepante, cache amo öque pa quejta miero ipa ipuieblo hua intzölö ifamiliares hua tli cate pa ichö.
MRK.6.5	Pues yejuatzi abele oquechijque canajyetla tietzöbetl ompa. Sa quentlölejque tiemöhua impa quiesquete cocoxcötzetzi hua quenpajtejque. 
MRK.6.6	Quetietzöbejtaloöya quiene yejua amo moneltocaya.
MRK.6.6	Nejnemoatenemeya ipa noche puieblos tli ompa sierca oyejyeya, hua tlamachtiloöya.
MRK.6.7	Sötiepa quennutzque innochtie majtlactle huan ume tiemachtejcöhua. Opiehualuc quentitlanihuaya ca ojume. Quenmacaque checöhualestle para quenquextisque moxicoöneme. 
MRK.6.8	Pero quemelfejque majcamo tli quebicacö para pa ojtle, tlöcamo sa cuajfortu. Nimpor ijtacatl, nimpor morröl, nimpor tomi ijtec cinturón, 
MRK.6.9	tlöcamo ma sa mocacticö, hua majcamo quebicacö unte tlaquieme. 
MRK.6.10	Entunses quemelfiloöya:
MRK.6.10	―Cöne beletes nencalaquesque ipa sente chöntle, ompa xomocöhuacö hasta senamo nenquisasque de inu locör. 
MRK.6.11	Pues tlö giente de sente puieblo amo nemiechselisque nimpor amo nemiechcaquesque, xequisacö de ompa hua xectzetzelucö noche tlöle de nemocxehua. Yaja inu xecchihuacö para quematesque que amo cuale tli quechihua yejua.
MRK.6.12	Entunses cuöc oquisque, tlanunutzaya que ma moyulcuepacö tlöca. 
MRK.6.13	Quenquextiöya meyactie demunios. Quemajalöbeliöya asiete impa meyactie cocoxcötzetzi hua quenpajtiöya.
MRK.6.14	Oquemat rey Herodes de ini sösantle. Pos giente tlapoaya de Jesús ca nobeyo. Pos seque quejtoöya:
MRK.6.14	―Pos ini tlöcatl icaca Xohuö Bautista que ye oyule de intzölö mimejque. Por inu quechihua bieye tlachihualestle yaja.
MRK.6.15	Pero ocseque quejtoöya:
MRK.6.15	―Elías icaca.
MRK.6.15	Ocseque quejtoöya:
MRK.6.15	―Yaja sente tlayulepante, noso icaca quiename sente de inu tlayulepantejque de ca ye niepa.
MRK.6.16	Cuöc oquecac rey Herodes inu, oquejto:
MRK.6.16	―Ini nönca yaja Xohuö öque naja nejquechtejtec. Ye oyule de intzölö mimejque.
MRK.6.17	Pues sie yaja rey Herodes otlatitla para ma casecö Xohuö hua ma quetzajtzacuacö ca cariena ipa cörsel. Pos ejqueu oquechi Herodes porque yaja mismo Herodes oquesohuacuejcuele icni Felipe. 
MRK.6.18	Hua Xohuö quelfiöya rey Herodes:
MRK.6.18	―Amo cuale tecpextas isohua mocni.
MRK.6.19	Pero inu sohuatl Herodías quetlajyelejtac Xohuö hua quenequeya quemectis. Cache abele quechihuaya, 
MRK.6.20	porque rey Herodes quemabeliöya Xohuö. Quemajtaya que Xohuö oyeya sente tlöcatl yulmelactec hua yectec, hua por inu Herodes oquepex cueröro majcamo yetla pasörebe ca yaja. Hua cuöc quecaqueya tli yaja quejtoöya, amo oquemat tli quechihuas. Pero de todos modos quecaqueya ca meyac gönas. 
MRK.6.21	Aseco sente cuale tunale. Ca sente yelfetl de icumpleaños, Herodes quentlötlacualtiöya itlötlajtoönejua ca tiehua coronielte hua tli cache bejfeye momajtaya ipa estado de Galilea. 
MRK.6.22	Pos ompa pa yelfetl ocalac ichpuch Herodías hua omojtute. Quecualejtac rey Herodes ca tiehua tli tlatlalfilte. Entunses rey oquelfe sisehuantu:
MRK.6.22	―Xeniechtlajtlanele tli taja tecneques, hua naja temetzmacas.
MRK.6.23	Pos rey oquejto hua quejuröro lalebes:
MRK.6.23	―Paltzinco, noche tli taja teniechtlajtlanelis, temetzmacas hasta tlajcopa noche tli necpea necö cöne netlamandöroa.
MRK.6.24	Oquistie sisehuantu. Quelfito inöntzi:
MRK.6.24	―¿Tli netlajtlanes?
MRK.6.24	Hua yaja oquelfe:
MRK.6.24	―Itzonteco Xohuö Bautista.
MRK.6.25	Yecuöquenu yaja sa nima ocalac itlac rey hua quetlajtlane. Oquejto:
MRK.6.25	―Naja necneque teniechmomaquelis ahorita ipa sente plöto itzonteco Xohuö Bautista.
MRK.6.26	Pos rey motequepacho lalebes. Pero por oquejto paltzinco, hua por quecajque yejua tli tlacuöya ca yaja, amo oquenec quejtus que amo. 
MRK.6.27	Pos nima oquetitla sente guardia, hua oquenahuate ma quehualeca itzonteco Xohuö. 
MRK.6.28	Pos guardia quequechtejtequeto ompa cöne tzactaya Xohuö. Quehualecac itzonteco ipa plöto, hua quemacac sisehuantu, hua sisehuantu quemacac inöntzi. 
MRK.6.29	Entunses cuöc quematque imachtejcöhua, ohuölajque cajcoqueco icuierpo. Quetlölejque ijtec mejcöustutl.
MRK.6.30	Entunses tietlateotitlanhua de Jesús mosentlölejque tieca. Tiepubelejque noche tli oquechijque, hua tli otlamachtejque. 
MRK.6.31	Yejuatzi quemelfejque:
MRK.6.31	―Ma teyöcö nencua ipa locör cöne nionöque chönte, ma xomosiebicö tepetzi.
MRK.6.31	Pos meyactie giente oyöya hua huölöya, hasta nimpor amo quepejpealoöya locör para tlajtlacualus. 
MRK.6.32	Obejbiloac tieinsiel ipa börco. Ajaxihuato hasta ipa locör cöne nionöque chönte. 
MRK.6.33	Pero meyactie tieinmejtaque bejbiloac hua ocajasojcömatque cöne bejbiloasquiöya. Entunses meyactie sa icxepa onyajque de ipa nochemeju puieblos hasta para ca ompa. Aseto cachto que yejuantzetzi. 
MRK.6.34	Oquixoac Jesús de ijtec börco, hua quenmejtaque inu meyac giente. Tieyulcocojque porque oyejyeya quiename calnielojte cuöc amo quepea calnielojpexque. Entunses opiehualuc quenmachtiloöya meyac sösantle. 
MRK.6.35	Cuöc ye miero tlajtlayohuas, tiemachtejcöhua mopachojque tietlac. Oquejtojque:
MRK.6.35	―Amo öque chönte ca necö, hua ye yohuac tecate. 
MRK.6.36	Xequenmotitlane giente ma yöcö ipan caltiencalme hua ca pan puieblos para ma mocojcubicö tli quecuösque.
MRK.6.37	Yecuöquenu onöhuatihuac yejuatzi. Oquemelfejque:
MRK.6.37	―Xequentlamacacö nemejua.
MRK.6.37	Tieyelfejque:
MRK.6.37	―¿Teyösque tejcoatibe pöntzi ca ume sientos 
MRK.6.38	Yejuatzi quemelfejque:
MRK.6.38	―¿Quiejquech pöntzi nenquepea? Xeyöcö xequejtate.
MRK.6.38	Entunses cuöc quematque quejtojque:
MRK.6.38	―Möcuile pöntzi hua unte mimechte.
MRK.6.39	Quentitlanque quemelfisque giente ma motlamachtlölicö ca grupos tlölpa ipan sacatl xoxoctec. 
MRK.6.40	Omotlölejque ca grupos de sese sientos hua de tlötlajco sientos. 
MRK.6.41	Entunses yejuatzi ocönque inu möcuile pöntzi hua inu unte mimechte. Ajcopatlachealuc ca elfecac, queteochijque inu pöntzi, hua quecocototzque. Entunses quenmacaque tiemachtejcöhua para ma quentlamacacö giente. Nuyejque quenxiexelfejque inu unte mimechte. 
MRK.6.42	Pos otlacuajque innochtie hasta cöne ijixbeque. 
MRK.6.43	Cajcojque majtlactle huan ume chequejme tietieme de pöntzi cojcotoctec hua mimechte. 
MRK.6.44	Yejua tli quecuajque inu pöntzi oyejyeya quieme möcuile mil tlöca.
MRK.6.45	Nima quenchihualtejque tiemachtejcöhua ma tlejcucö ipa börco hua ma yöcö cachto que yejuatzi para ca puieblo de Betsaida ca nepa löro, mientras yejuatzi quentitlanque giente ma yöcö. 
MRK.6.46	Cuöc ye oquendespedirojque, obiloac ipa tepietl netlötlajtiluto. 
MRK.6.47	Cuöc ye otlayohuac, inu börco ye oyöya inepantla ötiescatl. Yejuatzi necöhualuc tiesiel ipa tlöle. 
MRK.6.48	Quemejtaque quiene ca tiemachtejcöhua moöpröroöya para ma möbelöna börco ijtec ötzintle porque bel yejyecaya cuntra yejua. Ca ise quieme entre yeye hua checuasie ura, hualiloac intlac. Hualnejnemoatöya ipa ötiescatl, hua quenequihuaya quenpanultisque. 
MRK.6.49	Pero cuöc tieijtaque yejua quiene nejnemoaya icpac ötiescatl, quejtojque que beles yaja sente mejque, hua majcötzajtzeque. 
MRK.6.50	Pos innochtie tieijtaque hua majcömejque. Pero nima quennutzque hua quemelfejque:
MRK.6.50	―Xomoyulölicö. Naja necaca; amo xomomajticö.
MRK.6.51	Entunses otlejcoac inca yejua ipa börco. Ye omoquetz yejyecatl. Pos yejua bel lalebes quetietzöbejque. 
MRK.6.52	Melöhuac ayemo casojcömateya tli quejtusneque lo que tli Jesús oquechijque ca inu pöntzi, porque oc yultepitzteque oyejyeya.
MRK.6.53	Cuöc ye opanoac ca nepa löro, huajhualiloac ipa locör de Genesaret. Ajaxihuaco itienco ötiescatl itech tlöle. 
MRK.6.54	Entunses quejquixoac de ijtec börco hua sa nima giente tieixomatque Jesús. 
MRK.6.55	Momiemeröjque ca nobeyo pa inu locör. Opiejque quenbecaya de ca nobeyo cocoxcötzetzi ipa incuajtlapech ca cöne quemateya nele ompa iloaya. 
MRK.6.56	Pos cöne beletes calacoaya Jesús, tlö pan puieblos tzequetzetzi, tlö pan puieblos bejbeye, tlö ca caltienco, giente quentlöliöya cocoxcötzetzi pan cayaju. Tietlötlajtiöya nele ma quencöhuacö quemötocasque mös sa itienco tietlaquie. Entunses noche tli quemötocaya opajpajteque.
MRK.7.1	Tieca Jesús mosentlölejque fariseos hua seque tlamachtiöneme de teotlajtule tli huölajque de ciudad de Jerusalén. 
MRK.7.2	Pos yejua quejtaque que seque de tiemachtejcöhua Jesús tlacuöya sin quechepöhuaya inmöhuö. Es decir, amo momöpajpöcaya. Por inu quentlajtlacultejque. 
MRK.7.3	(Pos inu fariseos hua noche joriojte quechihua ca meyac cueröro inu costumbre de biebentzetzi. Tlö amo momöyecpajpöca lalebes, amo tlajtlacua. 
MRK.7.4	Cuöc hualmocuepa de plöza, tlö amo majöltea, amo tlajtlacua. Pos meyac ocseque sösantle onca tli ocaseque para quechihuasque. Por ejiemplo, quenpajpöca bölsojte hua xölojte hua xocme de cobre hua tlapechme.) 
MRK.7.5	Tietlajtlanejque noso fariseos hua tlamachtiöneme de teotlajtule:
MRK.7.5	―¿Tlica noso amo quechihua momachtejcöhua inu costumbres de biebentzetzi tlöcamo tlacua sin momöpajpöca?
MRK.7.6	Onöhuatihuac yejuatzi, quemelfejque:
MRK.7.6	―Ara ca melöhuac tli oquejto Isaías de nemejua sa ume nemoxöyac. Pos tlajcuelulpanca cöne Deus quejtulo:
MRK.7.6	Ini nönca giente quejtoa que pa niechejta,
MRK.7.6	pero ca inyulo amo niechtlasojtla.
MRK.7.7	Pos san tlapic yejua niechmabesutea.
MRK.7.7	Pos quemachtea mandamientos de tlöca quieme tlö oyene tlamachtelestle de naja.
MRK.7.8	Pos nemejua ye nenquecöjque mandamientos de Deus hua nemajase itech costumbres de tlöca.
MRK.7.9	Nuyejque Jesús quemelfiloöya:
MRK.7.9	―Para cuale nenquechihuasque inu costumbres de nemejua, bel melöhuac nenquecaltechojtebitze mandamiento de Deus. 
MRK.7.10	Pos Moisés oquejto: “Pa xequejta motajtzi hua monöntzi”. Nuyejque oquejto: “Öque quechecuayejtus itajtzi noso inöntzi, ma meque sin remedio”. 
MRK.7.11	Pero nemejua nenquejtoa: “Sente tlöcatl cuale quelfis itajtzi noso inöntzi: Ayojcocuele yetla temetzmotlöocolelis porque ye Corbán”. (Corbán quejtusneque, ye netietlöocole Deus.) 
MRK.7.12	Hua ca inu ayecmo nenquecöhua ma öque quepaliebe itajtzi noso inöntzi. 
MRK.7.13	Pos nenquejtlacoa tietlajtultzi Deus por nenquechihua inu costumbres de nemejua tli nenquetlölejtebitze. Hua meyac ocseque sösantle nenquechihua quiename ini.
MRK.7.14	Quennutzque noche giente ca tietlac. Quemelfejque:
MRK.7.14	―Xeniechcaquecö nemonochtie hua xecasojcömatecö. 
MRK.7.15+MRK.7.16	Sente tlöcatl amo momöhuas por lo que tli quecuös noso por lo que tli conis, tlöcamo tli quisa de ijtec tlöcatl, yaja inu quemöhua.
MRK.7.17	Jesús nexeluluc de niecate giente hua calacoac pan cale. Tiemachtejcöhua tietlajtlanejque tli quejtusneque inu cuiento. 
MRK.7.18	Quemelfejque:
MRK.7.18	―¿Nuyejque nemejua ejqueu nencate que amo nencasojcömate? ¿Amo nenquemate que noche lo que tli quecuös sente tlöcatl calaques ijtecopa hua abele quemajmöhuas? 
MRK.7.19	Pues amo calaque ipa iyulo tlöcamo ipa ijte, hua quisa ca icuetlapa.
MRK.7.19	Ca inu Jesús tlamachestejque que noche sösantle tli mocuöne ica chepactec para cuale öque quecuös. 
MRK.7.20	Hua oquejtojque:
MRK.7.20	―Noche tli quisa de ijtec sente tlöcatl yaja inu quemöhua. 
MRK.7.21	Porque de imijtecopa tlöca, de ipa inyulo, quisa amo cuale pensamientos, öque mopöctea ca ocsente tli amo isohua noso tli amo inömec, öque tlachteque, öque tlamectea, 
MRK.7.22	öque mopöctea ca isohua ocsente, öque moricotlölisneque, san petzotec tlachihuale, öque tlacajcayöhua, öque amo pinöjque, öque moxicoöne, öque checuatlajtoa, öque mochajchamöhua, öque amo tlarespetöroa. 
MRK.7.23	Noche ini nönca sösantle tli amo cuale, quisa de ijtec tlöcatl, hua yaja ini quemöhua.
MRK.7.24	Ohuöliehualuc de ompa. Obiloac ca itlac puieblo de Tiro. Ocalacoac pa sente cale hua amo oquenejque ma yeca quemate. Pero abele neijyönaluc. 
MRK.7.25	Isisehuanconie sente sohuatl quepeaya moxicoöne. Pos inu sohuatl oquecac de yejuatzi hua nima ohuöla tietlac. Mopechtiecaco tieicxetla. 
MRK.7.26	Inu sohuatl oyeya griega hua chajchönteya ipa inu nación de Sirofenicia. Tietlötlajtiöya ma quequextelicö demunio ichpuch. 
MRK.7.27	Pero Jesús quelfiloöya:
MRK.7.27	―Xequencöhua ma cachto tlacuöcö pelantzetzi que yejua joriojte. Porque amo conbenierebe ma tequenquextelicö pöntzi de pelantzetzi hua ma nemiechtlajcalelicö nemejua tli nencate quiename nenchecheme.
MRK.7.28	Onöhuat sohuatl, tieyelfe:
