MAT.1.1	Tüfa Jesucristo tañi kuyfike tuwün pu che em, David em ka Abraam em tañi pu yomel ürke:
MRK.9.28	Feymew müten ta Jesus konpuy ta kiñe ruka mew, fey tañi pu disipulu wichu kafkü dungun mew ramtueyew:
MRK.9.28	—¿Chem mew anta iñchiñ pepi wemünentulafiyiñ ta tüfeychi weküfü?
MRK.9.29	Fey Jesus ta llowdungufi ñi pu disipulu:
MRK.9.29	—Fey tüfa famngechi weküfü pepi wemünentungeafuy re ngillatun ka ayuno
MRK.9.30	Fey tripatulu tiye mew, rumerpuy engün ta Galilea, welu Jesus pilay iney no rume tañi kimael, 
MRK.9.31	kimeltumekefilu am tañi pu disipulu. Ka feypimekefi: “Tati Wentrukünuwpalu chalintukungeay tüfachi mapu mew mülechi pu che mew ka langümngeay. Welu küla antüalu mew wiñomongetuay.”
MRK.9.32	Kisu engün kimürkelay chem dungu ñi feypimeken ta kisu, ka llükalerkey engün tañi ramtuafiel.
MRK.9.33	Fey puwi engün ta Kapernaum waria mew. Dew mülepulu ta ruka mew engün, Jesus ta ramtufi tañi pu disipulu:
MRK.9.33	—¿Chem dungu mew am notukawkülen küpalepeymün ta rüpü mew?
MRK.9.34	Welu chem pilay rume engün, kisu engün am notukawlu ta rüpü mew iney müngell tañi longkoleael kisu engün mew. 
MRK.9.35	Feymew ta Jesus anükünuwi, mütrümfi tati mari epu disipulu, fey feypifi:
MRK.9.35	—Iney rume ayüle tañi longkoleael, feley tañi doy ñom piwkengeael kom kakelu mew, ka ñi eluwküleael ñi poyeafiel ta itrokom che.
MRK.9.36	Feymew müten witrakünufi kiñe pichiwentru kisu engün ñi rangiñ mew, fey nükünufi ñi kuwü mew ka feypi:
MRK.9.37	—Iney rume llowfile kiñe pichiche tüfa reke iñche tañi üy mew, iñche ta llowaenew. Ka tati llowetew ta iñche, iñche müten ta llowlayaenew, welu may ka femngechi llowafi iñche tañi werküetew.
MRK.9.38	Juan ta feypieyew:
MRK.9.38	—Kimeltufe, pefiyiñ ta kiñe che wemünentuweküfükelu eymi tami üy mew, fey miyawkenolu am iñchiñ mew, feymew katrütufiyiñ.
MRK.9.39	Feymew Jesus ta llowdungufi ñi pu disipulu:
MRK.9.39	—Katrütukefilmün. Iney rume pengel-le kiñe afmatufal pepiluwün iñche tañi üy mew, wesa dunguyetulayafenew. 
MRK.9.40	Taiñ kayñetukenoetew ta iñchiñ, fey ta ingkanieeiñmew. 
MRK.9.41	Iney rume eluelmünmew ta eymün kiñe fasu kongeafuy rume tamün inaniefiel mew ta Cristo, rüf dungu feypiwayiñ fey tüfa füreneaeyew ta Ngünechen.
MRK.9.42	“Ka femngechi iney rume yafkangen tukufile kiñeke tüfachi we feyentulelu ta iñche mew, doy kümeafuy trapeltukukünulelngele ñi pel mew kiñe fütra kura, fey tañi ütrüftukungeael ta lafken mew.
MRK.9.43	“Tami kuwü ta yafkan mew tukukeelmew, katrünentufinge. Doy kümeay tami nieael kiñe kuwü müten tami konpuael ta rumel mongen mew, welu fey tami nien epu kuwü, mi amuael ta kütral mapu mew, chew chongkelay tati kütral, 
MRK.9.44	chew ñi lakenomum ta piru ka ñi chongkenomum ta kütral.
MRK.9.45	“Fey tami namun yafkan mew yekeelmew, katrünentufinge. Doy kümeay tami nieael kiñe namun müten tami konpuael ta rumel mongen mew, welu fey tami nien epu namun tami ütrüftukungeael ta kütral mapu mew. 
MRK.9.46	Chew ñi lakenomum ta piru ka ñi chongkenomum ta kütral.
MRK.9.47	“Fey tami nge yafkan mew tukukeelmew, entufinge eymi mew. Doy kümeay tami nien kiñe nge müten tami konpuael Ngünechen tañi ülmen mülewe mew, welu fey tami nien epu nge mi ütrüftukungeael ta kütral mapu mew
MRK.9.48	‘chew ñi lakenomum ta piru
MRK.9.48	ka ñi chongkenomum ta kütral.’
MRK.9.49	Kom ta alimkangealu am ta kütral mew. Ka kom chalintukuelchi ilo chadiñmangeay.
MRK.9.50	“Chadi ta kümey, welu kotrüwetunole, ¿chumngechi am pepi wiñome kotrütuafuy ta chadi? Eymün chadi reke felemün ka tüng mongen niemün welukonkechi eymün mew.”
MRK.10.1	Jesus tripay ta Kapernaum waria mew, fey amuy Judea trokiñ mapu mew ka ti trokiñ mapu mülelu Jordan lewfü tañi tripawe antü ad püle. Tiye mew ka wiñome trawüluwi tati pu che, fey kisu eluwi tañi wiñome kimeltuafiel, femngechi wimtulelu am.
MRK.10.2	Fey kiñeke farisew fülkonpuy ta Jesus mew femngechi tañi entuüñfilafiel engün, fey ramtufi engün:
MRK.10.2	—¿Kümey am ñi wüdakureael wentru chem dungu mew rume?
MRK.10.3	Fey Jesus llowdungueyew:
MRK.10.3	—¿Chem werkün dungu am elueymünmew ta Moyse?
MRK.10.4	Kisu engün feypi:
MRK.10.4	—Moyse wüli ti werkün dungu tañi wüdangeael ta kure fey ñi elungeael ta kiñe wirin dungu tañi dew wüdangen.
MRK.10.5	Feymew Jesus ta feypieyew:
MRK.10.5	—Moyse ta femngechi feypikünuy tamün rume wesa yafü piwkengen mew ta eymün. 
MRK.10.6	Welu llituka mew kom dewmangelu, ‘Ngünechen dewmafi ta wentru ka domo.’
MRK.10.7	‘Feymew ta wentru wichuay tañi chaw mew ka tañi ñuke mew tañi wichu amayewael ñi kure engu,
MRK.10.8	fey mür kiñe che reke ñi feleael engu.’
MRK.10.9	Fey ngelay tañi wüdamentumekeafiel Ngünechen tañi trapümel.
MRK.10.10	Dew müleputulu engün ta ruka mew, fey ti pu disipulu wiñome ramtufi ta Jesus fey tüfachi dungu.
MRK.10.11	Fey Jesus feypieyew:
MRK.10.11	—Tati wüdalu tañi kure fey ka domo kureyetule, ñiwaldomofengey ñi wüdafiel mew tañi wünen kure. 
MRK.10.12	Fey tati domo kay wüdakünutule tañi füta, fey fütayetufile kangelu wentru, ka femngechi ñiwafengey.
MRK.10.13	Yelelngey ta kiñeke pichikeche ta Jesus tañi fampuwülael ñi kuwü ta kisu engün mew, welu tati pu disipulu eluwi engün tañi katrütuafiel tüfey engün tati yeniefilu ti pu pichikeche.
MRK.10.14	Fey Jesus, ngüneduamfilu tüfachi dungu, lladküy ka feypifi ñi pu disipulu:
MRK.10.14	—Elufimün tati pichikeche ñi küpayael engün iñche mew. Katrütukefilmün. Tati pichikeche reke femngelu, fey engün koneltuley Ngünechen tañi longko ülmenngen mew. 
MRK.10.15	Rüf dungu feypiwayiñ tati llownofilu kiñe pichiche reke Ngünechen tañi longko ülmenngen, konpulayay ta Ngünechen ñi mülewe mew.
MRK.10.16	Fey fülümtukupafi ñi lipang mew ti pichikeche, fey fampuwülelfi ñi kuwü ta kisu, fey ngillatuñmafi.
MRK.10.17	Feymew Jesus amulerpulu tañi rüpütulen, lefkülen puwi kiñe wentru, lukunagpuy kisu tañi inafül ka ramtufi ta Jesus:
MRK.10.17	—Lif mongen kimeltufe, ¿chem chuman am tañi llowael tati rumel mongen?
MRK.10.18	Jesus ta llowdungueyew:
MRK.10.18	—¿Chem mew anta lif mongen pien? Kiñeley müten ta lif mongenngelu: Ngünechen llemay. 
MRK.10.19	Dew kimimi tati werkün dungu: ‘Langümchekilnge, ñiwaldomokilnge, weñekilnge, üñfitukefilnge ta koylake dungu mew ta iney no rume, ngünenkakilnge rume, ka yamafimi tami chaw ka tami ñuke.’
MRK.10.20	Fey tati wentru feypifi ta Jesus:
MRK.10.20	—Kimeltufe, kom tüfeychi dungu ta femken wechewentrungelu müten ta iñche.
MRK.10.21	Jesus leliwüleyew rume piwkeyen mew, fey llowdungueyew:
MRK.10.21	—Kiñe dungu ta petu femlaymi. Amutunge. Fendenge kom tami nieelchi chemkün ka elufinge tati nienolu chem rume. Femngechi ta nieaymi fütra küme felen ta wenu mapu mew. Fey wüla, fey nüaymi tami kürus,
MRK.10.22	Fey ti wentru allkülu tüfachi dungu, rume wesa duami, rume rikulelu am.
MRK.10.23	Feymew Jesus adkinturupay wall püle, fey feypifi tañi pu disipulu:
MRK.10.23	—¡Rume küdawngeay ñi konpuael tati nielu fentren chemkün Ngünechen ñi longko ülmenngeelchi mülewe mew!
MRK.10.24	Fey tüfachi dungu ta rumeñma afmatulkafi tati pu disipulu, welu Jesus ka wiñome feypifi ñi pu disipulu:
MRK.10.24	—Pu weni, ¡rume küdawngey konpuael Ngünechen ñi longko ülmenngeelchi mülewe mew, feyti pu che maneluwlu ñi fentren chemkün mew!
MRK.10.25	Doy küdawngelay ta kiñe kamellu ñi rumeael ti longko akucha mew, fey kiñe riku ñi konael Ngünechen ñi ülmen mülewe mew.
MRK.10.26	Femngechi allkülu ti pu disipulu, doy afmatulewey engün, fey welukonkechi ramtuwi engün:
MRK.10.26	—¿Iney anta pepi monturkeay?
MRK.10.27	Jesus ta leliwülfi ñi pu disipulu, fey feypifi:
MRK.10.27	—Che ñi pepilnoel, Ngünechen ta pepilniey. Kisu mew ta ngelay chem no rume ta pepilfalnolu.
MRK.10.28	Fey Pedro eluwi tañi feypiaetew:
MRK.10.28	—Iñchiñ ta elkünuiñ itrokom taiñ niekefel, fey inawiyiñ ta eymi.
MRK.10.29	Jesus feypifi ñi pu disipulu:
MRK.10.29	—Rüf dungu ta feypian iney rume fey iñche tañi duam ka tati werkün montuluwün dungu ñi duam elkünule ta ruka, kam peñi, kam lamngen, kam chaw, kam ñuke, kam domo,
MRK.10.30	welu fewla ta tüfachi mapu mew lloway doy pataka rupachi tañi niekefel ta ruka mew, peñi, lamngen, ñuke, fotüm ka mapu, tunte üyawtuniengeay rume. Fey tati we mületuachi mapu mew lloway tati rumel mongen. 
MRK.10.31	Welu fentren che wüneltulelu, inaletuay. Ka fentren che tati pu inalelu, fey ta wüneletuay.
MRK.10.32	Trekaley engün ñi amuael ta Jerusalen, fey Jesus ella wüne konküley tañi pu disipulu mew. Kisu engün ta afmatuley, ka tati pu inaleyelu llükaley engün. Jesus ka wiñome mütrümfi tañi wichudunguafiel tati mari epu disipulu, fey llituy tañi feypiafiel ñi rupayael ta kisu fey tüfachi dungu mew: 
MRK.10.33	“Fey fewla amuaiñ ta Jerusalen, chew tañi chalintukungeael tati Wentrukünuwpalu ti pu longkolechi pu saserdote mew ka tati pu kimeltukelu Moyse ñi ley dungu. Fey engün ta kondenayaeyew ñi langümngeael ka chalintukungeay tati pu katripanche mew. 
MRK.10.34	Ayentukangeay ta kisu, tofkütukangeay ka wülelkangeay ka langümngeay. Welu küla antü rupale, wiñomongetuay.”
MRK.10.35	Santiaw ka Juan, Sefedew tañi epu fotüm, fülkonpuy engu ta Jesus mew, fey feypifi:
MRK.10.35	—Kimeltufe, fürenemuayu tüfachi dungu mew.
MRK.10.36	Fey Jesus ramtueyew engu:
MRK.10.36	—¿Chem dungun anta duamtunieymu?
MRK.10.37	Fey feypifi engu:
MRK.10.37	—Elumuyu tami fütra longko ülmen mülewe mew tayu mülepuael kiñe tami man püle, kangelu tami wele püle.
MRK.10.38	Jesus ta llowdungueyew engu:
MRK.10.38	—Eymu ta kimlaymu tamu feypipeel. ¿Ayüafuymu tamu kutrankawael ka tamu langümngeael chumngechi ta iñche ñi rupayael feychi dungu mew?
MRK.10.39	Kisu engu ta llowdungufi ta Jesus:
MRK.10.39	—Femafuyu.
MRK.10.39	Fey Jesus ta feypieyew engu:
MRK.10.39	—Eymu kutrankawaymu ka langümngeaymu chumngechi ñi rupayael ta iñche feychi dungu mew,
MRK.10.40	welu tamu mülepuael iñche tañi man püle kam tañi wele püle iñche ta ngenngelan tañi ‘felepe’ ñi piael. Fey may ta elungeay ñi femael tüfey engün tati pu pepikanielel ñi puwam.
MRK.10.41	Feymew tati kakelu mari pu disipulu allkülu engün tüfachi dungu, lladkütufi engün ta Santiaw ka Juan, 
MRK.10.42	welu Jesus ta mütrümeyew engün, fey feypieyew:
MRK.10.42	—Eymün kimnieymün tüfa tati pu judiu tuwünngenolu mew müley ta longko ülmenkülelu ka chem awtoridad rume nielu rume aporia ngünekaniekefi tati pu che chumngechi ñi ayüel, 
MRK.10.43	welu ta eymün mew ngelay tamün femngechi femael. Ñi feleafel, tati küpa longkolelu kiñeke eymün mew, feley tañi rumel eluwküleael ñi poyeafiel ta kakelu. 
MRK.10.44	Ka kiñeke ta eymün mew küpa wünenkülele, fey ta feleay ta kiñe kona reke ta kakelu mew. 
MRK.10.45	Tati Wentrukünuwpalu rume am ta küpanolu tañi poyengeael, welu may ñi poyecheael ka ñi wülael tañi mongen ñi montulafiel ta rume fentren che.
MRK.10.46	Fey puwi engün ta Jeriko waria mew. Fey Jesus tripalepatulu tati waria mew, inaniepatueyew tañi pu disipulu ka rume fentren pu che. Fey mülerkey kiñe trawma limona pikelu, Bartimew pingelu, Timew ñi fotüm, anülelu ta inaltu rüpü. 
MRK.10.47	Allkülu ñi küpalen ta Jesus Nasaret tuwlu, tati trawma eluwi tañi wirarael:
MRK.10.47	—¡Jesus, David mew tripachi Dullin Yomelche,
MRK.10.48	Fentren che ta feypieyew tañi ñüküfküleael, welu kisu ta doy wirari:
MRK.10.48	—¡David ñi Yomelche, kutranduamyeen ta iñche!
MRK.10.49	Feymew Jesus witrakünuwi, fey feypi:
MRK.10.49	—Küpalfimün.
MRK.10.49	Fey küpalngey tati trawma, feypilen mew:
MRK.10.49	—Yafüluwnge. Witrapürange. Petu mütrümeymew tati.
MRK.10.50	Fey ti trawma ütrüfentukünuy tañi takuwün, fey ringkülen fülkonpuy ta Jesus mew, 
MRK.10.51	fey ramtueyew ta Jesus:
MRK.10.51	—¿Chem am duamnieymi ñi femael iñche ta eymi mew?
MRK.10.51	Fey tati trawma llowdunguy:
MRK.10.51	—Kimeltufe, ayülefun tañi wiñome pelotuael.
MRK.10.52	Jesus ta feypieyew:
MRK.10.52	—Amukatunge müten. Tami mupiltun mew ta dew tremotuymi.
MRK.10.52	Feychi lelen mew müten tati trawma pelotuy, fey inafi ta Jesus rüpü mew.
MRK.11.1	Fey dew fülpulu engün ta Jerusalen, tati epu waria Betfage ka Betania, Olifu pingechi wingkul ñi inafül mew, Jesus werküy ñi epu disipulu. 
MRK.11.2	Fey feypifi:
MRK.11.2	—Amumu ta tiyechi trokiñke ruka mew. Fey konpulmu ta tüfey mew, pepuaymu ta kiñe pichi furiku trapelkülelu, iney no rume petu pürakenoetew. Nentuneyfiafimu, fey küpalafimu. 
MRK.11.3	Fey iney rume ramtuelmumew chumngelu tamu nentutrapelpefiel, feypiafimu ‘Ñidol yelelmumechi pipeeyumew’, fey müchay müten wiñome elpatuafiyu.
MRK.11.4	Amuy engu, fey pepufi engu tati furiku trapelkülelu ina rüpü, kiñe wülngiñ ñi itrotripa, fey nentutrapelpufi engu. 
MRK.11.5	Fey kiñe wentru mülelu tiye mew ramtueyew engu:
MRK.11.5	—¿Chumpeymu anta eymu? ¿Chem mew anta nentutrapelpefimu tati furiku?
MRK.11.6	Kisu engu ta llowdungufi chumngechi ñi feypikünuetew ta Jesus, fey elungey engu tañi küpalafiel ti pichi furiku. 
MRK.11.7	Feymew chañukünulfi engu ñi takuwün ti furiku, fey yelelfi engu ta Jesus. Fey Jesus pürakawellufi ti furiku. 
MRK.11.8	Fentren pu che inüfkünuyey engün ñi takuwün ti rüpü mew, fey kakelu elkünuyey katrün pichike row mamüll ñi nentuel engün lemuntu mew. 
MRK.11.9	Feymew tati wüneleyelu ka ti pu inaleyelu kütu, wirarkülen amuley engün:
MRK.11.9	“¡Osana! ¡Rumel montulepe ti longko ülmen!
MRK.11.9	¡Fütra küme felen niepe tati küpalelu ta Ñidol ñi üy mew!
MRK.11.10	¡Fütra küme felen niepe tati longko ülmenngealu, taiñ longko ülmen David em ñi tuwünche!
MRK.11.10	¡Fütra küme püramyengepe ta wenu mapu mew!”
MRK.11.11	Fey konpulu Jesus ta Jerusalen mew, üngkü amuy tati ngillatuwe ruka mew. Wall püle adkintupuy, welu dew putrafiarkelu am feymew müten tripay Jerusalen mew fey amuy ta Betania waria mew tañi mari epu disipulu engün.
MRK.11.12	Fey ka antü mew puliwen, tripalepatulu engün ta Betania mew Jesus ta ngüñürkey. 
MRK.11.13	Alü kamapu pefi ta kiñe igera nielu ta tapül, fey fülkonpuy tañi peafiel tañi niepen may ta fün, welu peñmalafi tañi fün. Re tapül müten nierkey, femngen am petu mülekerkenolu ta fün igera. 
MRK.11.14	Feymew feypifi tati igera:
MRK.11.14	—¡Chumkawnorume ka iney no rume wiñome iwelayay eymi tami fün!
MRK.11.14	Fey kisu ñi pu disipulu allküy ñi feypifiel tati igera.
MRK.11.15	Fey dew puwlu engün ta Jerusalen, Jesus konpuy tati ngillatuwe ruka mew, fey wemünentufi ta tiye mew tati pu fendemekelu ka ti pu ngillakamekelu.
MRK.11.16	Ka elulafi iney no rume tañi konpuael ngillatuwe ruka mew fey ñi yenieael ta chemkün. 
MRK.11.17	Fey eluwi tañi kimeltuael, feypilen mew: “Tati Wirin Chillka mew ta feypiley:
MRK.11.17	‘Iñche ñi ruka ta ngillatuwe ruka pingeay kom chüf mapu mew’,
MRK.11.17	welu eymün ta pu weñefe ñi ruka reke niefimün.”
MRK.11.18	Femngechi allkülu ta tüfachi dungu tati longkolelu ti pu saserdote mew ka ti kimeltukelu Moyse ñi ley dungu, eluwi engün tañi kintukadungulelafiel chumngechi ñi langümafuel engün ta Jesus, llükaniefilu engün am ta Jesus, fey kom ti pu che am ta afmatulelu tañi femngechi kimeltukeel mew ta kisu.
MRK.11.19	Welu dew punlu, Jesus ka tañi pu disipulu tripatuy engün ti waria mew.
MRK.11.20	Kangelu puliwen mew, rupay engün inafül tati igera, fey pefi engün ñi angkün tañi folil kütu. 
MRK.11.21	Feymew ta Pedro, tukulpafi ti rupachi dungu, fey feypifi ta Jesus:
MRK.11.21	—Kimeltufe, tüfey, tati igera tami malisiael nga angkürkey.
MRK.11.22	Fey Jesus feypi:
MRK.11.22	—Mupiltulemün ta Ngünechen mew. 
MRK.11.23	Rüf dungu ta feypiwayiñ iney rume feypifile ta tüfachi wingkul: ‘¡Famtripange ta tüfey mew ka ütrüfkonpunge ta lafken mew’! fey feypile newe feyentunon mew, femlayay, welu feyentulele ñi rüf feleael tañi feypiel, feymewke ta femay tañi piel.
MRK.11.24	Feymew ta feypiwayiñ kom tamün eluen piel ta ngillatun mew, feyentuaymün fey tamün dew llowniewiyen, femngechi ta llowaymün. 
MRK.11.25	Fey petu ta ngillatulmün, wiñoduamatuafimün ti pu kakelu tamün yafkakeetew, feymew ta ka femngechi tamün Chaw ta wenu mapu mülelu wiñoduamatuaeymünmew kay eymün tamün yafkan mew. 
MRK.11.26	Fey eymün wiñoduamachenolmün, ka femngechi tamün Chaw mülelu wenu mapu wiñoduamalayaeymünmew tamün yafkan mew.
MRK.11.27	Kom rupalu tüfachi dungu, wiñotuy engün ta Jerusalen. Fey Jesus miyawi ta ngillatuwe ruka mew, fey fülkonpuy ta kisu mew tati pu longkolelu ti pu saserdote mew, ti pu kimeltukelu Moyse ñi ley dungu ka ti putrem fütakeche, 
MRK.11.28	fey ramtufi engün ta Jesus:
MRK.11.28	—¿Iney anta werküeymew tami femael tüfachi dungu? ¿Iney am elueymew tati pepiluwün tami femael tüfa?
MRK.11.29+MRK.11.30	Jesus ta llowdungueyew:
MRK.11.29+MRK.11.30	—Iñche ramtuwayiñ kay kiñe dungu: ¿Iney anta werküeyew ta Juan tañi fawtisacheael? ¿Ngünechen kam tati pu che? Llowdungumuchi. Fey eymün ta feypimuli tañi ramtupeel iñche, ka femngechi feypiwayiñ iney tañi werküetew ta iñche ñi femael ta tüfachi dungu.
MRK.11.31	Kisu engün ta eluwi ñi notukadunguwael welukonkechi: “Fey llowdunguliyiñ ‘Ngünechen ñi werküetew’, feypiay: ‘Fey ¿chumngelu am feyentulafimün?’ 
MRK.11.32	¿Fey chumngechi feypiafuiñ chey ‘ti pu che werküeyew pipeafiyiñ may?...’ ” (Ekuniefi engün tati pu che, itrokom feyentulelu engün am Juan tañi dunguken rüf mew Ngünechen tañi dungu.)
MRK.11.33	Fey llowdungufi engün ta Jesus:
MRK.11.33	—Kimlaiñ iney tañi werküetew.
MRK.11.33	Feymew Jesus ka feypieyew engün:
MRK.11.33	—Iñche ta ka feypiwlayayiñ iney ñi werküetew ñi femael iñche ta tüfachi dungu.
MRK.12.1	Jesus eluwi tañi dunguaetew engün kiñe adkünu dungu mew, fey feypi: “Kiñe wentru anümi fentren ofad ka malalmakünufi. Dewmay ta kiñe kütrüwe nentuam ñi pulku ka dewmay kiñe alü pürachi wenu ruka tañi kom puwkintunieam tañi ofadentu. Feymew amediakünulelfi ñi ofadentu kiñeke ti pu küdawkelu, fey kisu eluwi ñi amuael kañpüle. 
MRK.12.2	Fey puwlu ti antü ñi kosechangeael ti fün ofad, werküy kiñe tañi kona ñi llowpayael ti pu küdawkelu mew ñi koneltuleelchi kosecha. 
MRK.12.3	Welu ta kisu engün nüfi ñi wülelkayafiel ka wemütufi fey ñi elunofiel chem no rume. 
MRK.12.4	Feymew tati ngenngelu werküy ka kiñe kona, welu ta tüfa wedokañmangey tañi longko ka fill wesaka pingey. 
MRK.12.5	Feymew ka wiñome werküy ka kiñe kona, fey tüfa ta langümngey. Feymew ka werküy fentren kakelu pu kona, fey kiñeke ta wülelkafi engün, fey kakelu kay langümfi engün.
MRK.12.6	“Fey kiñelewey ñi werküael: kisu tañi fotüm tañi rume sakinieel. Inangechi mew werküfi ta kisu, rakiduamkülen: ‘Fey ñi kakünu rakiduamnon rume, yamüñmayaenew engün ñi fotüm tati’ pirkey.
MRK.12.7	“Welu tati pu küdawfe welukonkechi feypiwi engün: ‘Fey tüfa lle tati ngenngetualu ti ofadentu mew. Langümfiyiñ, fey iñchiñngetuay taiñ küdawpeyümchi ofadentu.’ 
MRK.12.8	Fey ta famngechi nüfi ka langümfi engün, fey ütrüfentufi engün tati la wekuntu ti ofadentu mew.
MRK.12.9	“¿Fey chumalu trokiniefimün kay tati ngenngelu ti ofadentu mew? Fey küpayay ka langümpayafi tüfeychi pu küdawfe, ka elutuafi ñi ofadentu ta kakelu pu küdawfe.
MRK.12.10	“¿Kimlaymün am ñi chem pilen tati Wirin Chillka? Feypiley:
MRK.12.10	‘Tati pu dewmarukakelu ñi illamelchi kura, dullin kurangetuy.
MRK.12.11	Fey tüfa ta Ñidol tañi femkünuel, fey rume afmatuleiñ.’
MRK.12.12	Feymew ayüfuy engün ñi püresuafiel ta Jesus, ngüneduamlu engün am kisu engün tañi nütramelngen ta tüfachi adkünu dungu. Welu llükaniefilu engün am tati pu che, elkünutufi ka amutuy engün.
MRK.12.13	Werkülelngey ta Jesus kiñeke tati pu farisew ka Erode tañi kelluntukunieetewchi pu che, femngechi tañi kintukaduamafiel engün ñi dungun mew ta Jesus femngechi ñi pepi dalluntukuafiel engün. 
MRK.12.14	Fey tüfa engün wütufi ta Jesus tañi feypimeafiel:
MRK.12.14	—Kimeltufe, kimnieiñ eymi tami feypiken ta rüf dungu. Chem dungu mew rume eluwkelaymi tami ngünenkangeael, ka kañmaniekelafimi ta che ineyngefule rume. Eymi ta kimeltukeymi rüf dungu mew chumngechi mongen ñi nieael ta che, Ngünechen tañi ayükeel. ¿Kümey am taiñ kulliafiel impuestu tati Roma tuwchi emperador, kam kümelay? ¿Feley kam felelay taiñ kulliael?
MRK.12.15	Welu Jesus am kimnieetew engün tañi koyla ngünen ñi nien engün, feypieyew:
MRK.12.15	—¿Chem mew anta femngechi ngünenkadungumupen? Küpalelmuchi ta kiñe moneda, tañi peafiel.
MRK.12.16	Fey yelelngey, fey Jesus ta feypieyew engün:
MRK.12.16	—¿Iney am tañi adentun ta tüfa ka ti üy wirikonkülelu ta tüfa mew?
MRK.12.16	Llowdungungey:
MRK.12.16	—Ti emperador tati.
MRK.12.17	Feymew Jesus ta feypieyew engün:
MRK.12.17	—Fey eluafimün tati emperador ñi koneltuleel tati emperador, fey ka femngechi eluafimün Ngünechen ñi koneltuleel ta Ngünechen.
MRK.12.17	Femngechi ñi llowdunguel mew ta Jesus, rumeñma afmatulewey engün.
MRK.12.18	Feymew amuy engün ñi pemeafiel ta Jesus kiñeke pu sadusew.
MRK.12.19	—Kimeltufe, Moyse ta eleleiñmew ta tüfachi wirin dungu fey kiñe kurengechi wentru ta lale ka nienole fotüm ñi kure mew, fey tati lachi wentru ñi peñi feley ñi kureyetuafiel ñi lantuchi fillka, femngechi ñi fotümeltuafiel tañi dew lachi peñi.
MRK.12.20	Feymew may, mülekerkey kiñe rupa regle peñiwen, fey ti wünen kurengerkey, welu larkey, fey ñi elnon kiñe fotüm no rume. 
MRK.12.21	Feymew ti inan wentru kureyetufi ti lantuchi domo, welu kisu ka femngechi lay fey ñi elnon fotüm. Ka femngechi femi tati epu mew inanngelu, 
MRK.12.22	fey kom tati regle peñiwen femngechi femi, welu kiñe no rume elkünulay engün ta fotüm ñawe no rume. Feymew ka larpuy tati domo. 
MRK.12.23	Fey, mülele wiñomongetun, feychi mongeletule engün,
MRK.12.24	Fey Jesus ta llowdungueyew engün:
MRK.12.24	—Eymün ta welulkawküleymün, küme adümnofilu am eymün tati Wirin Chillka Ngünechen tañi pepiluwün no rume. 
MRK.12.25	Feychi tati pu la wiñomongetule, tati pu wentru ka ti pu domo ngewetulayay ñi kureyewael. Tati pu werken püllü müleyelu wenu mapu, fey engün reke feletuay. 
MRK.12.26	Fey tañi wiñomongetuken tati pu la, ¿tukulpakelafimün am eymün Ngünechen tañi dungufiel ta Moyse tati üykülechi sarsa ti kütral mew? Fey Ngünechen feypifi ta Moyse: ‘Iñche ta Abraam, Isaak ka Jakob ñi Ngünechen’.
MRK.12.27	¡Fey Ngünechen ta lalechi pu che ñi Ngünechen no, welu may tati pu mongelelu ñi Ngünechen! Fey eymün ta rume welulkawküleymün.
MRK.12.28	Fey allkülu engün ñi fente küme wiñoldunguletew ta Jesus, kiñe tati kimeltukelu Moyse ñi ley dungu allküñmaetew ñi üyawtudungumeken, fülkonpay ta kisu mew, fey ramtufi ta Jesus:
MRK.12.28	—¿Chuchi am tati doy küme fütra werkün dungu kom ti kakelu werkün dungu mew?
MRK.12.29	Feymew Jesus ta llowdungueyew:
MRK.12.29	—Tati doy küme werkün dungu kom mew fey tüfa tati: ‘Allkünge, Israel: iñchiñ taiñ Ñidol Ngünechen kiñeley. 
MRK.12.30	Piwkeyefinge ta Ñidol Ngünechen kom tami piwke mew, kom tami rakiduam mew, ka kom tami kimün mew ka kom tami newen mew.’
MRK.12.31	Ka tüfa tati inalelu: ‘Piwkeyefinge tami chafche eymi chumngechi kisutu piwkeyewimi.’
MRK.12.32	Fey ti kimeltukelu Moyse ñi ley dungu feypieyew:
MRK.12.32	—Rume kümey tati, kimeltufe. Rüfngey tami piel: Kiñeley müten ta Ngünechen, ka ngelay kangelu kisu müten. 
MRK.12.33	Ñi piwkeyengeael ta Ngünechen kom piwke mew, kom kimün mew ka kom newen mew, ka ñi piwkeyengeael ta chafche chumngechi piwkeyewkeyiñ kisutu taiñ chengen, fey doy faliy kom chalintukukeel mew ka kom tati lüpümkeelchi ilo kulliñ ta ngillatuwe mew.
MRK.12.34	Fey allkülu ta Jesus ti kimeltukelu ta Moyse ñi ley dungu ñi llowdungun rume küme rakiduam mew, Jesus feypifi ti wentru:
MRK.12.34	—Pülleleymi reke Ngünechen tañi longko ülmenngen mew.
MRK.12.34	Fey iney no rume ta doy ramtuwelaeyew chem dungu no rume.
MRK.12.35	Jesus mekerkey ñi kimeltun ta ngillatuwe ruka mew, fey ramtuy:
MRK.12.35	—¿Chem mew am feypikey tati pu kimeltukelu Moyse ñi ley dungu ti Cristo David ñi tuwünngen? 
MRK.12.36	David, kellunieetew ti Lif Küme Püllü, feypi:
MRK.12.36	‘Tati Ñidol feypifi iñche tañi Ñidol:
MRK.12.36	Anüpange iñche tañi man püle,
