MAT.1.1	Na‘e tupu ‘a Sīsū Kalaisi mei he hako ‘o e Tu‘i ko Tēvitá, mei he hako ‘o ‘Ēpalahamé. 
LUK.6.49	Pea ka ‘ilonga leva ha taha kuo fanongo ki he‘eku ngaahi fakahinohinó kae ‘ikai talangofua ki ai, ‘oku hangē ia ko ha tufunga na‘e ‘ikai ke ne keli e fakava‘e ‘o e falé he maká. Pea ko ‘ene hake mai pē ‘a e vaitafé ‘o fa‘aki he falé, kuo holofa ia ‘o ‘auha.”
LUK.7.1	Pea hili e faiako ‘a Sīsū ki he kakaí, peá ne ‘alu ki Kāpaneume.
LUK.7.2	Na‘e nofo he kolo ko iá ha ‘eikitau na‘e puke lahi ‘ene tamaio‘eiki ‘o tei mate. Ko e ‘ofa lahi ‘a e ‘eikitaú he‘ene tamaio‘eikí. 
LUK.7.3	Pea na‘á ne fanongo he ngaahi ongoongo ‘o kau kia Sīsuú, peá ne fekau ha mātu‘a Siu ke nau ō mu‘a ‘o kole kia Sīsū ke ‘alu ange ‘o fakamo‘ui ‘ene tamaio‘eikí.
LUK.7.4	Pea a‘u mai e mātu‘á kia Sīsuú, pea nau kole fakamātoato kiate ia ke ne fai mu‘a ha me‘a. Na‘a nau pehē ange, “Ko e tangata eni ‘oku taau ke ke tokoni‘i! 
LUK.7.5	He ‘oku ‘ofa ‘i hotau fonuá, pea a‘u ki he‘ene langa homau fale lotú.” 
LUK.7.6	Pea na‘e ‘alu atu ‘a Sīsū mo kinautolu. Pea fakaofiofi mai ‘a Sīsū ki he ‘apí, kuo toe fekau ‘e he ‘eikitaú hano ngaahi kaungāme‘a ke nau ō ‘o fakahoko ki ai, “‘Eiki, ‘oua te ke toe ongosia mai koe‘uhí ko au. He ‘oku ‘ikai te u taau au mo ha‘o afe mai ki hoku ‘apí. 
LUK.7.7	Pea ‘oku ‘ikai pē ha‘aku taau ke lele atu kiate koe. Fai mai pē ha‘o folofola, pea ‘e mo‘ui ai ‘eku tamaio‘eikí. 
LUK.7.8	He ‘oku ou fakaongoongo mo au ki ha pule. Pea ‘oku toe ‘i ai mo ha kau tau ‘oku nau fakaongoongo mai kiate au. Ko ‘eku pehē ange pē ki ha taha, ‘‘Alu!’ kuo ‘alu. Peá u pehē ki ha taha, ‘Ha‘u!’ kuo ha‘u. Pea ko ‘eku pehē ki he‘eku tamaio‘eikí, ‘Fai ē!’ kuó ne fai leva.”
LUK.7.9	Na‘e ‘ohovale ‘aupito ‘a Sīsū he lau ‘a e ‘eikitaú, peá ne tafoki ‘o hanga fakahangatonu ki he kakaí, mo ne pehē ange kiate kinautolu, “Kuo te‘eki ke u fetaulaki mo ha tui mālohi pehē ‘i ‘Isileli!”
LUK.7.10	Pea na‘e foki atu e ngaahi kaungāme‘a ‘o e ‘eikitaú, tā kuo mo‘ui e tamaio‘eikí ia.
LUK.7.11	Pea fuoloa si‘i pē mei ai, pea fononga ‘a Sīsū mo ‘ene kau akó, mo ha toe kakai tokolahi, ki he kolo ko Neini. 
LUK.7.12	Pea fakaofiofi atu ‘enau fonongá ki he hū‘anga ki he koló, kuo fata mai ‘e ha ni‘ihi ha me‘a faka‘eiki, ko e tamasi‘i pē taha ‘a e fefine uitou. Pea kuo holo mai mo ha tokolahi mei he koló.
LUK.7.13	Na‘e fetaulaki ‘a Sīsū mo e fefiné, peá ne ongo‘i ‘aupito e me‘a kuo hoko ki aí, ‘o ne pehē ange, “Tuku ā ho‘o tangí.”
LUK.7.14	Pea laka atu ‘a Sīsū ‘o ala atu ki he fatá. Pea tu‘u hifo ai e kau fatá. Pea pehē atu ‘e Sīsū, “Tamasi‘i, tu‘u ki ‘olunga!”
LUK.7.15	Pea ta‘utu hake ai e tamasi‘í, ‘o ne kamata lea. Pea na‘e fakafoki ange ia ‘e Sīsū ki he‘ene fa‘eé.
LUK.7.16	Na‘e manavahē kotoa ai e kakaí, pea nau lau taha ai ki he ivi ‘o e ‘Otuá. Na‘a nau pehē ‘e kinautolu, “Tā ko e palōfita lahi eni ‘i hotau lotolotongá. Kuo afe mai ‘a e ‘Otuá ki he‘ene kakaí.”
LUK.7.17	Pea na‘e mafola atu ‘a e ongoongo ‘o kau kia Sīsuú ki he feitu‘u kotoa he fonua ko iá mo e tapa kotoa ‘o Siuteá.
LUK.7.18+LUK.7.19	Na‘e fakahoko ange ‘e he kau ako ‘a Sioné kia Sione ‘a e ngaahi talanoa kuo fai holo ‘o kau kia Sīsuú. Pea fekau ‘e Sione ha toko ua he‘ene kau akó ke na ō ‘o fehu‘i kia Sīsū, “Ko koe nai ‘oku fai ki ai ‘a e ‘amanakí? Pe te mau toe tatali ki ha taha?”
LUK.7.20	Pea a‘u mai ‘a e ongo talafekaú kia Sīsuú, peá na fehu‘i ange, “Na‘e fekau ‘e Sione Papitaiso ke ma ō mai ‘o ‘eke atu pe ko koe ‘apē ‘oku totonu ke mau ‘amanaki ki aí? Pe te mau toe tatali ki ha taha?”
LUK.7.21	Na‘e fe‘unga eni ‘oku lolotonga fakamo‘ui ‘e Sīsū ha tokolahi na‘e mahamahaki, mo faingata‘a‘ia, pe ma‘u ‘e ha fanga tēvolo. Pea kuó ne toe faka‘ā mo ha tokolahi na‘e kui. 
LUK.7.22	Pea pehē ange ‘e Sīsū ki he ongo talafekau ‘a Sioné, “Mo ō ‘o tala ange kia Sione ‘a e ngaahi me‘a kuó mo mamata ki aí mo fanongo ki aí. Kuo ‘ā e kau kuí. Kuo ‘alu e kau heké. Kuo malanga‘i e Ongoongo Leleí ki he kakai masivá. 
LUK.7.23	Pea ‘e tāpuaki‘i ‘e he ‘Otuá ‘a e kakai kotoa ‘oku ‘ikai te nau fehi‘a ‘iate au koe‘uhi ko ‘eku ngaahi me‘a ‘oku faí.”
LUK.7.24	Pea foki atu ‘a e ongo talafekau ‘a Sioné, pea toki fai ‘e Sīsū ki he kakaí ‘ene fakamatala ‘o kau kia Sione, ‘o pehē, “Na‘a mou ō atu ki he toafá mo e ‘amanaki te mou sio ki ha tangata ‘oku fēfē? Ki ha tangata ‘oku hangē ha va‘a kaho kuo femaleleaki he matangí? 
LUK.7.25	Ka ko e fa‘ahinga tangata hā na‘a mou ‘amanaki te mou ō atu ‘o sio ki aí? Ko ha taha koā ‘oku teunga faka‘ofo‘ofa? Ka ko e ‘api ‘o e tu‘í ‘oku nofo ai e kau teunga faka‘ofo‘ofá! 
LUK.7.26	Ko e hā leva e me‘a na‘a mou ō atu ke mamata ki aí? Ko ha palōfita koā? ‘Io, ko e palōfita! Ka ‘oku ou tala fakamātoato atu kiate kimoutolu, ‘oku ‘ikai ko ha palōfita pē. 
LUK.7.27	He kuo ui ‘e he ‘Otuá ‘a Sione ko ‘ene talafekau. ‘Io, ko e lau eni ‘a e Tohitapú, ‘Te u fekau ‘eku talafekau ke mu‘omu‘a atu ‘iate koe ‘o teuteu ho halá.’ 
LUK.7.28	Kuo te‘eki ke fanau‘i ‘e ha fefine he maama ko ení ha taha ‘e mā‘olunga ‘ia Sione. Ka na‘a mo ia ‘oku mā‘ulalo taha he Pule‘anga ‘o e ‘Otuá, ‘oku mā‘olunga ia ‘ia Sione.” 
LUK.7.29	Na‘e fakaongo kotoa kia Sione ‘a e kakaí. Pea na‘a mo e kau tānaki tukuhaú, na‘a nau talangofua ki he ‘Otuá ‘o tali ke papitaiso kinautolu ‘e Sione. 
LUK.7.30	Ka na‘e ‘ikai ke fie fakaongo ki he ‘Otuá ‘a e kau Fālesí mo e kau faiako Lao ‘a Mōsesé, pea na‘e ‘ikai te nau tali ke papitaiso kinautolu ‘e Sione.
LUK.7.31	Pea na‘e pehē ange ‘e Sīsū ki he kakaí, “Ko e hā te u fakatātā ki ai ‘a kimoutolú? 
LUK.7.32	Kuo mou hangē ko ha longa‘i fānau ‘oku fakamuna ‘i ha māketi mo feui‘aki,
LUK.7.32	‘Na‘a mau ifi fangufangu atu,
LUK.7.32	kae ‘ikai ke mou fie tau‘olunga!
LUK.7.32	Pea mau hiva putu atu,
LUK.7.32	kae ‘ikai ke mou fie tangi!’
LUK.7.33	Na‘e ‘ikai ke fa‘a kai fakaafe ‘a Sione, pe inu kava mālohi, pea mou lau ‘e kimoutolu, ‘Kuo ma‘u ia ‘e ha tēvolo!’ 
LUK.7.34	Pea kai fakaafe mo inu kava mālohi e Foha ‘o e Tangatá, pea mou lau ‘e kimoutolu, ‘Ko e tangata fa‘a kai mo fa‘a konā ‘a Sīsū, pea ko e kaume‘a ia ‘o e kau tānaki tukuhaú mo e kau faikoví!’ 
LUK.7.35	Kaekehe, ‘oku hā ‘a e mo‘oni ‘a Potó ‘i he ngaahi me‘a kotoa ‘oku fai ‘e he fa‘ahinga ‘oku nau kau mo iá.”
LUK.7.36	Na‘e fakaafe‘i ‘a Sīsū ‘e ha Fālesi ke ma‘u me‘atokoni ‘i hono ‘apí. Pea ‘alu ‘a Sīsū ki he ‘apí ‘o ta‘utu hifo ke ma‘u e me‘atokoní.
LUK.7.37	Pea tā ‘oku ‘i ai ha fefine fai angahala he koló, pea kuó ne ‘ilo ‘a e afe ‘a Sīsū ki he ‘api ‘o e Fālesí. Na‘e fakatau ‘e he fefiné ha fo‘i hina lolo mahu‘inga, 
LUK.7.38	peá ne ha‘u ‘o tu‘u mei he tu‘a ‘o Sīsuú ‘o tangitangi ai pē mo tafitafi ‘a e va‘e ‘o Sīsuú ‘aki hono lo‘imatá, mo holoholo mātu‘u ia ‘aki hono lou‘ulú. Pea toutou ‘uma e fefiné ki he va‘e ‘o Sīsuú mo tākai ‘aki e loló.
LUK.7.39	Pea sio atu e Fālesi na‘á ne fakaafe‘i ‘a Sīsuú ki he me‘a ‘oku fai ‘e he fefiné, peá ne pehē ‘i hono lotó, “Na‘e tonú ke fakatokanga‘i ‘e he tangatá ni ‘a e anga ‘o e fefine ‘oku ala ki aí, ‘o kapau ko ha palōfita mo‘oni ia.”
LUK.7.40	Pea pehē ange ‘e Sīsū ki he Fālesí, “Saimone! ‘Oku ‘i ai e me‘a ‘oku ou fie lea atu ai kiate koe.” Pea pehē ange ‘e Saimone, “Ko e hā e me‘a ‘okú ke tokanga mai ki aí, Tangata‘eiki?”
LUK.7.41	Pea pehē ange ‘e Sīsū, “Na‘e ‘i ai ha ongo me‘a ‘e toko ua na‘á na nō pa‘anga he motu‘a. Ko e pa‘anga siliva ‘e nima ngeau ‘a e mo‘ua ‘o e toko taha, pea nima ngofulu ‘a e mo‘ua ‘o e toko taha. 
LUK.7.42	Ka na‘e ‘ikai te na lava ‘o tā hona mo‘uá, pea toe tāmate‘i ai pē ‘e he motu‘á hona mo‘uá. Ko hai he ongo me‘á ‘e lahi ange ‘ene ‘ofa ki he motu‘á?”
LUK.7.43	Pea pehē ange ‘e Saimone, “Mahalo ko e toko taha na‘e mo‘ua lahi ki aí.”
LUK.7.44	Pea pehē ange leva ‘e Sīsū, “Tonu ho‘o talí.” Peá ne tafoki ‘o hanga ki he fefiné, mo ne toe pehē ange kia Saimone, “Saimone, ‘okú ke fakatokanga‘i e fefiné ni? Na‘á ku hū mai ki ho lotofalé, na‘e ‘ikai te ke ‘omi ha me‘i vai ke tafitafi ‘aki hoku va‘é. Ka kuo tafitafi ‘e he fefiné ni hoku va‘é ‘aki hono lo‘imatá, mo holo mātu‘u ‘aki hono lou‘ulú. 
LUK.7.45	Na‘e ‘ikai te ke ‘uma fakafe‘iloaki mai kiate au, ka ko e talu eni ‘eku hū mai mo e ‘uma ai pē e fefiné ki hoku va‘é. 
LUK.7.46	Na‘e ‘ikai te ke pani lolo hoku ‘ulú, ka kuo tākai ‘e he fefiné ni hoku va‘é ‘aki e lolo mahu‘inga. 
LUK.7.47	Pea ‘oku ou tala atu kiate koe, ko e ngaahi angahala kotoa ‘a e fefiné ni, kuo ‘osi fakamolemole‘i. Pea ko e ‘uhinga ia ‘oku lahi pehē ai ‘ene ‘ofá. Ko e kakai kuo fakamolemole‘i he me‘a si‘isi‘i, ‘oku si‘isi‘i ‘enau ‘ofá.”
LUK.7.48	Pea toki pehē ange ‘e Sīsū ki he fefiné, “Ko ho‘o ngaahi angahalá, kuo ‘osi fakamolemole‘i.”
LUK.7.49	Pea kamata felāuaki ai e kau fakaafe kehé, “Ko hai eni ‘oku fie fakamolemole angahalá!” 
LUK.7.50	Kae toe pehē ange ‘e Sīsū ki he fefiné, “Kuo fakamo‘ui koe koe‘uhi ko ho‘o tuí. ‘Alu fiemālie ā!”
LUK.8.1	Pea fuoloa si‘i pē mei aí, pea ‘alu ‘a Sīsū ki he ngaahi kolo lalahí mo e ngaahi kolo īkí ‘o malanga‘i ai ‘a e Ongoongo Lelei ‘o kau ki he Pule‘anga ‘o e ‘Otuá. Pea na‘á ne fononga holo mo ‘ene kau ‘apōsitolo ‘e toko hongofulu mā uá, 
LUK.8.2	mo ha kau fefine na‘á ne kapusi mei ai ha fanga tēvolo mo fakamo‘ui honau ngaahi alanga mahaki. Ko e fefine ‘e taha ai, ko Mele Makitala, na‘e ma‘u ia ‘e ha tēvolo e toko fitu. 
LUK.8.3	Pea na‘e hanga ‘e Sioana, mo Sūsana, pea mo e tokolahi kehe, ‘o tokoni‘i ‘a Sīsū mo ‘ene kau akó mei he‘enau me‘a na‘e ma‘ú. Ko e mali ‘o Sioaná, ‘a Susa, na‘e kau he kau ngāue ‘a Hēlotá.
LUK.8.4	Na‘e holo mai kia Sīsū ha tokolahi mei he ngaahi koló, peá ne fai kiate kinautolu e talanoa ko ení,
LUK.8.5	“Na‘e ‘alu atu ha tangata ngoue ke fai ‘ene lulu pulopula ‘i hono ‘api ‘utá. Pea ngangana e pulopula ‘e ni‘ihi he kau halá, pea tā moloki ia mo kai ‘e he fanga manupuná. 
LUK.8.6	Pea ngangana e pulopula ‘e ni‘ihi he kelekele makamaka, pea kamata tupu hake ia. Ka na‘e si‘isi‘i ai e vaí, pea toe mae hifo ai pē e pulopula ko iá. 
LUK.8.7	Pea ngangana e pulopula ‘e ni‘ihi he pota vao talatala. Pea tupu fakataha hake ai pē e vao talatalá mo e pulopula ko iá ‘o malumalungia ai e pulopula leleí.
LUK.8.8	Ka na‘e ngangana e pulopula ia ‘e ni‘ihi he kelekele lelei, pea na‘e tupu hake e pulopula ko iá ‘o fua teau.” Pea ‘osi e talanoa ko eni ‘a Sīsuú, peá ne pehē ange ki he kakaí, “Ko kimoutolu ‘oku lava ‘o fanongó, mou fanongo lelei mai!”
LUK.8.9	Na‘e toki ‘eke ange ‘e he kau akó kia Sīsū ‘a e ‘uhinga ‘o e talanoa ki he pulopulá, peá ne tala ange kiate kinautolu, 
LUK.8.10	“Kuó u ‘osi fakamahino atu kiate kimoutolu e ngaahi fakalilolilo ‘o e Pule‘anga ‘o e ‘Otuá. Ka kuo pau ke u ako‘i e kakai kehé ‘aki e ngaahi talanoa fakatātā. He ‘oku nau sio mai, ka ‘oku ‘ikai ke nau fakatokanga‘i ha me‘a. Pea ‘oku nau fanongo mai, ka ‘oku ‘ikai ke nau ongo‘i ha me‘a.”
LUK.8.11	Ko e ‘uhinga eni ‘o e talanoá. Ko e pulopulá, ko e Folofola ia ‘a e ‘Otuá. 
LUK.8.12	Pea ko e pulopula na‘e ngangana he kauhalá, ko e kakai ia kuo nau fanongo ki he Folofolá, pea ‘oku ha‘u e tēvoló ‘o fa‘ao e Folofolá mei honau lotó, na‘a faifai ka nau tui ‘o mo‘ui ai. 
LUK.8.13	Ko e pulopula na‘e ngangana he kelekele makamaká, ko e kakai ia kuo nau fanongo fiefia ki he Folofolá, pea nau tali. Kae tupunga he te‘eki ai ke aka loloto ‘i he‘enau mo‘uí, pea fuonounou ‘enau tuí. Ko e kamata pē ke faingata‘a e nofó pea nau holomui leva. 
LUK.8.14	Pea ko e pulopula na‘e ngangana he pota vao talatalá, ko e kakai mo kinautolu kuo nau fanongo ki he Folofolá, ka koe‘uhí ko e lahi ‘enau tokanga ki he koloá mo e ngaahi mālie ‘o māmaní pea nau hala ‘atā mo ha fua. 
LUK.8.15	Ka ko e pulopula na‘e ngangana he kelekele leleí, ko e kakai ia kuo nau fanongo ki he Folofolá, pea nau puke loto lelei ia mo loto ma‘a. Ko kinautolu ia ‘oku nau fa‘a kātaki, pea hoko ai pē mo e fakafua lelei mai e Folofolá ‘i he‘enau mo‘uí.
LUK.8.16	‘E ‘ikai fai ange pea tutu ‘e ha taha ha maama pea fakapūlou‘i ‘aki ha me‘a, pe te ne ‘ave ‘o fokotu‘u ‘i ha lalo mohenga. Ko e māmá ke fokotu‘u ki ha tu‘unga maama, koe‘uhí ke hū mai ha taha ki lotofale, ‘oku maama lelei. 
LUK.8.17	Ko e me‘a kotoa kuo fufuú, kuo pau ke hā. Pea ko e fakapulipuli kotoa pē, kuo pau ke ‘ilo. 
LUK.8.18	Mou tokanga lelei ki he anga ho‘omou fanongó! ‘Ilonga ha taha ‘oku ‘i ai ha‘ane me‘a ‘oku ma‘u, ‘e toe ‘oange ki ai mo ha me‘a. Pea ‘ilonga leva ha taha ‘oku hala mo ha me‘a, na‘a mo ‘ene ki‘i me‘a ‘oku ma‘ú, ‘e fa‘ao mo ia mei ai.”
LUK.8.19	Na‘e kumi mai kia Sīsū ‘a ‘ene fa‘eé mo hono ngaahi tokouá. Ka na‘e fu‘u tokolahi e kakaí, pea nau fiu feinga ke a‘u mai kiate ia. 
LUK.8.20	Pea pehē ange ‘e he toko taha kia Sīsū, “Ko ho‘o fa‘eé ē ‘i tu‘a, mo ho ngaahi tokouá. ‘Oku nau fie ma‘u koe.”
LUK.8.21	Pea tala ange ‘e Sīsū kiate kinautolu, “Ko ‘eku fa‘eé mo hoku ngaahi tokouá ‘a e kakai kuo nau fanongo ki he Folofola ‘a e ‘Otuá pea nau fakaongo ki aí.”
LUK.8.22	Na‘e heka vaka ‘a Sīsū mo ‘ene kau akó he ‘aho ‘e taha. Peá ne pehē ange kiate kinautolu, “Tau folau ki he kauvaí.” Pea nau tuku folau atu. 
LUK.8.23	Pea lolotonga ‘enau kei folaú, pea tō hifo ‘a Sīsū ‘o mohe. Pea fokifā pē kuo tō mai ha taufa ki ano, pea kamata ngoto e vaká.
LUK.8.24	Pea feinga e kau akó ke fafangu ‘a Sīsū mo nau kaikaila, “Tangata‘eiki! Tangata‘eiki! Te tau ‘auha!” Pea mālanga ‘a Sīsū ki ‘olunga ‘o fekau e matangí mo e tahí ke nonga. Pea na‘e ongo ‘a e matangí mo e tahí kiate ia, ‘o tofu ai e me‘a kotoa. 
LUK.8.25	Pea pehē ange ‘e Sīsū ki he kau akó, “Kuo hā ho‘omou tuí?” Pea nau manavahē ‘aupito mo ‘ohovale, ‘o nau pehē, “Ko hai nai eni? He kuó ne lea‘i e matangí mo e peaú, peá na ongo ki ai!”
LUK.8.26	Na‘e tau atu e folau ‘a Sīsū mo ‘ene kau akó ki he fonua ‘o e kau Kelasiní, ‘a ē he kauvai ‘o Ano Kālelí.
LUK.8.27	Pea lolotonga e kei hifo atu ‘a Sīsū ki ‘utá mo e fakafetaulaki mai ha tangata mei he koló. Ko e tangata eni na‘e ma‘u ‘e ha tēvolo. Pea kuo fuoloa mai mo e ‘ikai ke ne toe tui ha vala, pe nofo ha fale, kae nofo holo pē he ngaahi fa‘itoka he feitu‘u ko iá.
LUK.8.28	Pea sio atu e tangatá kia Sīsuú, peá ne kekē. Peá ne toki tō tū‘ulutui atu kia Sīsū mo kaila, “‘E Sīsū! Foha ‘o e ‘Otua ‘i langi! Ko e hā ‘okú ke tokanga mai ai kiate aú? ‘Oua mu‘a te ke fakamamahi‘i au!” 
LUK.8.29	Ko ‘ene lea peheé, he kuo ‘osi fekau ‘e Sīsū e tēvoló ke mavahe mei ai. Ne tā tu‘o lahi e fa‘a ‘ohofi e tangatá ni ‘e he tēvoló. Pea neongo hono fa‘a ha‘i seini he nima mo e va‘e, mo le‘ohi, ka ne laiki pē ‘e ia e me‘a kotoa, kae toki tekelele atu ia ‘e he tēvoló ki he ngaahi feitu‘u lala.
LUK.8.30	Pea pehē ange ‘e Sīsū ki he tangatá, “Ko hai ho hingoá?” Peá ne tali mai, “Ko Kongakau au!” Ko e ‘uhinga ‘o ‘ene talí, he ko e fanga tēvolo tokolahi kuo nau ma‘u iá. 
LUK.8.31	Pea nau kole fakamātoato kia Sīsū ke ‘oua te ne kapusi kinautolu ki he vanú, na‘a tautea ai kinautolu.
LUK.8.32	Pea lolotonga iá ‘oku huohua ha fanga puaka he tafatafa mo‘unga ofi maí. Pea kole ange ai e fanga tēvoló kia Sīsū ke tukuange mu‘a ke nau hū he fanga puaká, pea ‘io ange ‘a Sīsū kiate kinautolu. 
LUK.8.33	Pea nau mahu‘i mei he tangatá ‘o hū he fanga puaká. Pea ‘oho ai e fanga puaká ‘o felelei hifo he tahifohifo ki anó, ‘o ngangana ai pē ‘o melemo.
LUK.8.34	Pea sio ki ai e kau tauhi puaká, pea nau felelei ki he koló mo e ngaahi nofo vaó, ‘o tala ki he kakaí e me‘a kuo hokó. 
LUK.8.35	Pea toki holo mai ai e kakaí kia Sīsū mo e tangatá. Ka kuo mavahe foki mei ai e fanga tēvoló, pea kuo ta‘utu mai he tafa‘aki ‘o Sīsuú ‘oku toe tui vala mo toe ‘atamai lelei. Pea na‘e fu‘u manavahē ‘aupito ai e kakaí.
LUK.8.36	Pea ko e kakai na‘a nau sio tonu he anga hono fakamo‘ui e tangatá, na‘a nau tala ange ki he fa‘ahinga na‘e toki a‘u maí. 
LUK.8.37	Pea kole ange leva e kakai Kelesá kotoa kia Sīsū ke ‘alu ā mu‘a mei honau fonuá. He na‘a nau fu‘u manavahē ‘aupito. Pea heka ‘a Sīsū ki vaka ke tuku folau atú, 
LUK.8.38	kuo kole ange ‘e he tangata na‘e fakamo‘uí ke nau ō mu‘a mo ia. Kae tala ange ‘e Sīsū ki ai, 
LUK.8.39	“Foki koe ki ‘api ‘o tala ki he kakai kotoa pē ‘a e ngaahi me‘a kuo fai ‘e he ‘Otuá ma‘aú.” Pea ‘alu e tangatá ki he tukui koló ‘o tala ai e ngaahi me‘a kotoa na‘e fai ‘e Sīsū ma‘aná.
LUK.8.40	Pea kuo tatali e kakai kotoa pē he kauvaí ke a‘u mai ‘a Sīsū. Pea tū‘uta mai e folaú, pea talitali fiefia ia ‘e ha fu‘u kakai tokolahi. 
LUK.8.41	Pea ‘iloangé kuo a‘u mai e tangata na‘á ne tauhi e fale lotu ‘o e kakai Siu he feitu‘u ko iá. Ko hono hingoá ko Sailosi. Na‘e tō tū‘ulutui atu kia Sīsū mo ne kole fakamātoato ke ne ‘alu ange mu‘a ki hono ‘apí. 
LUK.8.42	He kuo tei mate hono ki‘i ‘ōfefine ta‘u hongofulu mā ua, pea ‘oku ‘ikai ke toe ‘i ai ha‘ane fānau. Pea fononga atu ‘a Sīsū he halá, kuo feta‘ota‘omi mai ha kakai tokolahi.
LUK.8.43	Pea tā ‘oku ‘i ai ha fefine he kakai na‘e feta‘ota‘omi mai kia Sīsuú kuo fe‘unga mo ha ta‘u ‘e hongofulu mā ua ‘ene puke he ‘aú. Pea kuo ‘osi‘osingamālie ‘ene pa‘angá he totongi e kau fai faito‘ó mo e te‘eki pē ke sai.
LUK.8.44	Na‘e tutui mai e fefiné he tu‘a ‘o Sīsuú ‘o ala ki he tapa hono kofú, pea matu‘u ai pē e ‘aú.
LUK.8.45	Pea pehē mai ‘e Sīsū, “Ko hai na‘e ala mai kiate aú?” Pea lolotonga e kei fe‘ekenaki e kakaí, pea lea ange ‘a Pita kia Sīsū, “Tangata‘eiki! Kuo feta‘ota‘omi e kakaí kiate koe mo pā atu mei he tafa‘aki kotoa pē!”
LUK.8.46	Kae pehē ange ‘e Sīsū, “Na‘e ‘i ai pē e taha na‘e ala mai kiate au. He na‘á ku ongo‘i ‘oku tafe atu ha ivi fakamo‘ui meiate au.” 
LUK.8.47	Pea toki mahino ai ki he fefiné he‘ikai te ne toe lava ‘o fufuu‘i ‘ene me‘a na‘e faí. Peá ne hūhū tetetete hake leva ki mu‘a ‘o tō tū‘ulutui atu kia Sīsū, peá ne fakamatala ange kiate kinautolu kotoa ‘a e ‘uhinga ‘o ‘ene ala kia Sīsuú, pea mo e mo‘ui ai hono alanga mahakí.
LUK.8.48	Pea pehē ange ‘e Sīsū ki he fefiné, “Ko ho‘o tuí kuó ke mo‘ui aí. ‘Alu fiemālie ā!”
LUK.8.49	Pea lolotonga e kei lea ‘a Sīsuú mo e a‘u mai ha taha mei he ‘api ‘o Sailosí ‘o tala ange kia Sailosi, “Kuo mālōlō ho ‘ōfefiné! ‘Oua te ke toe fakahoha‘asi e Tangata‘eikí!”
LUK.8.50	Pea fanongo ki ai ‘a Sīsuú, peá ne pehē ange kia Sailosi, “‘Oua ‘e lotosi‘i! Tui pē koe, pea ‘e mo‘ui ai ho ‘ōfefiné.”
LUK.8.51	Pea a‘u atu ‘a Sīsū ki he ‘apí, peá ne afe ki ai. Pea na‘e ‘ikai te ne tali ke toe muimui ange ha taha, tukukehe pē ‘a Pita mo Sione mo Sēmisi, pea mo e ongo mātu‘a ‘a e ki‘i ta‘ahiné.
LUK.8.52	Pea kuo fetāngihi e kakai kotoa pē he ki‘i ta‘ahiné. Pea pehē ange ‘e Sīsū kiate kinautolu, “Tuku ho‘omou tangí. He ‘oku ‘ikai mate e ki‘i ta‘ahiné. ‘Oku mohe pē ia.” 
LUK.8.53	Pea kata‘i ia ‘e he kakaí, koe‘uhí ko ‘enau fakakaukau kuo ‘osi mate e ki‘i ta‘ahiné. 
LUK.8.54	Pea lea ange ‘a Sīsū ki he ki‘i ta‘ahiné mo ne ala atu ki hono nimá, “Ta‘ahine, tu‘u hake!” 
LUK.8.55	Pea toe mo‘ui ai pē e ki‘i ta‘ahiné, peá ne ta‘utu hake. Pea na‘e fekau ‘e Sīsū ke ‘oange ha me‘atokoni ke ne ma‘u.
LUK.8.56	Na‘e ‘ohovale ‘aupito ‘a e ongo mātu‘a ‘a e ki‘i ta‘ahiné he me‘a na‘e hokó. Ka na‘e fekau ‘e Sīsū ke ‘oua te na talanoa ia ki ha taha.
LUK.9.1	Na‘e fekau ‘e Sīsū ‘ene kau ‘apōsitolo ‘e toko hongofulu mā uá ke nau kātoa mai, peá ne toki fakamafai‘i kinautolu ke nau kapusi tēvolo mo fakamo‘ui mahaki. 
LUK.9.2	Peá ne toki fekau ke nau ō ‘o malanga‘i e Pule‘anga ‘o e ‘Otuá mo fakamo‘ui ‘a e kakai mahamahakí. 
LUK.9.3	Peá ne tala ange kiate kinautolu, “Vakai na‘a mou ‘ave ha me‘a! ‘Oua ‘e to‘o ha tokotoko, pe ko ha kato ‘oho, pe ko ha pa‘anga, pe vala fetongi. 
LUK.9.4	Ka talitali lelei kimoutolu ‘e ha ‘api, pea mou nofo ai ‘o a‘u ki ho‘omou hiki mei he kolo ko iá. 
LUK.9.5	Pea kapau leva ‘e ‘ikai ke talitali lelei kimoutolu ‘e he kakai ‘o ha kolo, pea mou tūtuu‘i ‘a e efu ‘o e kolo ko iá mei homou va‘é ko e fakatokanga kiate kinautolu, pea mou hiki leva ki ha kolo ‘e taha.”
LUK.9.6	Pea mātuku atu e kau ‘apōsitoló, ‘o malanga‘i e Ongoongo Leleí ki he kolo mo e kolo he feitu‘u kotoa pē, mo fakamo‘ui e kakai na‘e mahamahakí.
LUK.9.7	Pea na‘e a‘u mai ki he tu‘í, kia Hēlota, ‘a e ongoongo ‘o kau ki he ngaahi me‘a kuo hokó, pea na‘e hoha‘a lahi ai hono lotó. He na‘e ‘i ai e ni‘ihi na‘a nau pehē, “Ko Sione Papitaiso eni kuo toe tu‘u mei he maté.” 
