MAT.1.1	Ene pitiiŋ to Yesu Krisi puughu tooni. Yesu, i siŋ to kinik David, ve David i siŋ to Abaram. 
MAT.24.46	Besooŋa tau ighe tiina tooni ila pa nugh ite, ve imuul ilam le ighita besooŋa tana igham katin uraat tooni, ene aat tintini pa poia tau pale izaa tooni. 
MAT.24.47	Onoon kat, yau nasaav payam: Tiina tooni pale ighuru imin daaba, ve iŋginiir gabua tooni naol isov. 
MAT.24.48	“Eemon isaav ighe i besooŋa saghati, ve loolo ighur ighe: ‘Ah, tiina tsiau irau imuul ilam soone.’ 
MAT.24.49	Tauvene iburig gha irav sorokin zeetŋa siriv, ve ipakpaak yes zeran to ghunuuŋ ve yesŋa tighanghan ve tighunghun. Besooŋa tana aat iyamaan ghi. 
MAT.24.50	Pasaa, tiina tooni pale imuul ilam ipaperekini pa saawe eta tau i iwataghi mako. 
MAT.24.51	Mako ilosi matini le uuli imotmot, ve isiki izila nugh saghati. Leso ileep ta sewe tomania yes tau tipapamir tauzi pa ghuruuŋ ila toozi na, ve yavyavuuŋ tiina igham zi, ve tiyakyak toman livozi kikikia, ve tilepleep.” 
MAT.25.1	Yesu isavia saveeŋ palelaaŋ tane pazi ighe: “Saawe tau Tamtamon Naatu imuul ilam ve itotoi pooz to nugh sambam ivot ighazooŋ, ene pale ŋgara imin zilivaa paghpaaghu saŋavul tau tisaŋan ŋeer ee tau ighe ivai. Tauvene tigham lam toozi ve tila tisaŋani izi eez livuugha. Leso tighur yesuru azaawa tila ruum toozi. 
MAT.25.2+MAT.25.3+MAT.25.4	Zilivaa tawe, liim lezi ŋgar mako, ve liim lezi ŋgar. Yes tau lezi ŋgar mako na, tigham lam toozi ve tila, eemon tikis ŋgoreeŋ 
MAT.25.5	Ŋeer tau ivai na, ila ivot toozi rekia mako. Tauvene zilivaa saŋavul tana matazi ighengheen, ve tizi tigheen le lolozi iveegh.
MAT.25.6	“Tighengheen le mboŋ anooŋa, ra tilooŋ bobaaŋ tighe: ‘Ou, ŋeer tau ivai paaghu na, ilam wa! Aburig alam aghita!’ 
MAT.25.7	Tauvene zilivaa tana tiburig, ve tipuleel lam toozi izaa gha ighan tiina. 
MAT.25.8	Ra yes tau lezi ŋgar mako na, tisaav pa zetazŋa tau lezi ŋgar na tighe: ‘Ai, auul ghei pa ŋgoreeŋ rigta lak! Pa lam tsiei ighe imaat tane.’
MAT.25.9	“Eemon yes tau lezi ŋgar na, tiyol aliŋazi tighe: ‘Ee-e, ŋgoreeŋ tane irau ghiit mako. Ene irau yei taumai mon. Yam ala to yes tau tiraraukol pa ŋgoreeŋ na, ve aghol lemim.’ 
MAT.25.10	Tauvene zilivaa tau lezi ŋgar mako na tiburig gha tila pa gholiiŋ lezi ŋgoreeŋ. Malau mako ve ŋeer tau ivai paaghu na ilam ivot. Tauvene yes zilivaa liim tau lezi ŋgar ve titartar poi na, titaghoni gha yesŋa tila. Tila peria ruum, ve tiloŋ tila pa ghanghaniiŋ to vaiŋ. Ra tipoon ataman ila ivool.
MAT.25.11	“Murei ra, zilivaa liim tau lezi ŋgar mako na, anazi tilam tipit ataman, ve tisaav tighe: ‘Tiina, Tiina, ukaak ataman payei lak!’
MAT.25.12	“Eemon ŋeer tana iyol aliŋazi ighe: ‘Yam savunugha? Onoon kat, yau nasaav payam. Yau nawatagh gham mako.’ ” 
MAT.25.13	Yesu isavia saveeŋ palelaaŋ tane le isov, ra isaav pazi muul ighe: “Tauvene yam aat amamaat ariaaŋ. Pa saawe duduuŋ to Tiina tsiam muleeŋ tooni, ene yam awataghi mako.” 
MAT.25.14	Yesu isaav muul ighe: “Pooz to nugh sambam, ene imin ŋeer ee tau ighe iburig gha ila pa nugh malau. Tauvene ipoi besooŋa tooni tilam, ve ighur gabua tooni siriv ila nimazi, leso tiŋgini ve tigham uratoini. 
MAT.25.15	Maet tau i ighuru ila nimazi na, itaghon gabizooŋ tooni pa ŋgar ve uraat toz toz. I ighur maet ndiŋndiŋ ndiŋndiŋ liim (5000) pa besooŋa ee. Ve ndiŋndiŋ ndiŋndiŋ ru (2000) ila to besooŋa ite. Ve ndiŋndiŋ ndiŋndiŋ ee (1000) ila to besooŋa tooni ite imin tol. 
MAT.25.16	“Besooŋa tau igham maet ndiŋndiŋ ndiŋndiŋ liim (5000) na, rekia mon ipaburigin uraat pa maet tawe. I iraraukol pani ve igham ndiŋndiŋ ndiŋndiŋ liim (5000) muul izala paavo le imin ndiŋndiŋ ndiŋndiŋ saŋavul (10,000). 
MAT.25.17	Besooŋa tau igham maet ndiŋndiŋ ndiŋndiŋ ru (2000) na, tauvene paam. Igham uratoi maet tawe le igham ndiŋndiŋ ru muul izala paavo gha imin ndiŋndiŋ ndiŋndiŋ paaŋ (4000). 
MAT.25.18	Eemon besooŋa tau igham maet ndiŋndiŋ ndiŋndiŋ ee (1000) na, ila itai puura, ve iŋgooz maet to tiina tooni izila.
MAT.25.19	“Tilepleep le malau rig, ra tiina toozi imuul ila, ve ipoi zi tilam. Leso tivotia uraat toozi, ve i iwatagh: Maet tau muuŋ i ireii pazi na, tigham uratoini le anooŋa piiz ivot wa. 
MAT.25.20	Besooŋa tau igham maet ndiŋndiŋ ndiŋndiŋ liim (5000) na, ikis ndiŋndiŋ ndiŋndiŋ saŋavul (10,000), ve ila ighuru ila to tiina tooni, ve ipaes pani ighe: ‘Tiina tsiau, ughita. Maet tsio ndiŋndiŋ ndiŋndiŋ liim (5000) tau upuli ila nimag, tauta nagham uratoini gha nagham ndiŋndiŋ ndiŋndiŋ liim muul izala paavo.’
MAT.25.21	“Tiina tooni ilooŋ saveeŋ tooni, ve ipaiti ighe: ‘Paghuuna, yo uraata poia ee! Pasaa, yo utaghon ŋgar tsiau ve uŋgin poghania gabua ŋgirŋgiira tau napul zi ila nimam na, ve ugham uratoi zi. Tauvene yau aat naghur ghom to uŋgin uraat tintiina siriv. Ulam uleep tomani ghau ve itiŋa tintiniin.’ 
MAT.25.22	“Ra besooŋa tau igham maet ndiŋndiŋ ndiŋndiŋ ru (2000) na, aana ila ivot tooni, ve ipaes pani ighe: ‘Tiina tsiau, ughita. Maet tsio ndiŋndiŋ ndiŋndiŋ ru tau upuli ila nimag, tauta nagham uratoini gha nagham ndiŋndiŋ ndiŋndiŋ ru muul izala paavo.’
MAT.25.23	“Tiina tooni isaav pani ighe: ‘Paghuuna, yo uraata poia ee! Pasaa, yo uŋgin poghania gabua ŋgirŋgiira tau napul zi ila nimam na, ve ugham uratoi zi. Tauvene yau aat naghur ghom to uŋgin uraat tintiina siriv. Ulam uleep tomani ghau ve itiŋa tintiniin.’
MAT.25.24	“Murei ra, besooŋa tau igham maet ndiŋndiŋ ndiŋndiŋ ee (1000) na, aana ila ivot tooni, ve ipaes pani ighe: ‘Tiina, yau nawatagh ghom wa. Yo ughamgham ariaaŋa pa tamtamon. Irau lolom isaghatin zi rigta mako. Ve ulepleep sorok ve tamtamon tighamgham uratoi ghom. Taum uvazogh aniiŋ mako. Eemon saawe to lupuuŋ aniiŋ, yo uyauyau sorokini imin lem. 
MAT.25.25	Tauta naroi payo, ve nala naŋgooz maet tsio izila taan. Ene, maet tsio ilat.’
MAT.25.26	“Tiina tooni ilooŋ saveeŋ tane, ve isaav pani ighe: ‘Yo tane, besooŋa saghati ee, ve tapirgom tamazi! Yo ughe yau nalepleep sorok ve tamtamon siriv tighamgham uratoi ghau. Ve ughe navazogh aniiŋ mako. Eemon saawe to lupuuŋ aniiŋ, nayauyau sorokini imin leg. 
MAT.25.27	Ighe tauvene, puughu mindai ta ughur maet tsiau tane iloŋ ila ruum to maet mako? Imin ta yo ugham tauvene, kanaŋ saawe tau namuul nalam navot, nagham maet tsiau anooŋa tomania geege izala paavo.’ 
MAT.25.28	Ra tiina tooni isaav pa zeran siriv tau tileep tigharau na ighe: ‘Maet ndiŋndiŋ ee tau ŋeer tane ikisi ne, awalaava pani, ve aghuru ila to iitete tau ikis maet ndiŋndiŋ ndiŋndiŋ saŋavul (10,000) na! 
MAT.25.29	Pa tamtamon tisov tau lezi gabua ve tigham uratoini, ene pale tigham lezi siriv muul izala paavo le tirau kat. Eemon isaav ighe tamtamon eta le gabua ŋgiira mon, ve igham uratoini mako, ene pale tigham mulin gabua tana, ve i ileep sorok. 
MAT.25.30	Aiyo, besooŋa saghati tane, i irau gabua eta mako. Aghamu ivot ila muuri, ve asiki ila ta ndoroom tiina loolo we. Yes tau tileep ta sewe, yavyavuuŋ tiina igham zi, ve tiyakyak toman livozi kikikia ve tilepleep.’ ” 
MAT.25.31	Yesu isaav muul ighe: “Murei, Tamtamon Naatu pale imuul ilam tomania yes aŋela tisov, ve itotoi pooz tooni ivot ighazooŋ toman tapiri ve mbonari tiina. Saawe tana ighe ivot, i pale ileep ila niia to ghamuuŋ pooz toman mbonari tiina, ve igabiiz tamtamon. Pasaa, i kinik. 
MAT.25.32	Mako aŋela tiyauur tamtamon tisov to nughmariŋ tila tiyooz ila i naagho, ve ivureer zi timin ŋgun ru, imin ŋginiiŋ ŋgaia ivureer ŋgai tooni. Sipsip tila soghan, ve mekmek tila soghan. 
MAT.25.33	I pale ighur sipsip tila tileep pa niima tapir, ve mekmek tileep pa niima ŋas.
MAT.25.34	“Mako kinik isaav pa yes tau tileep pa niima tapir na ighe: ‘Yam zeran tau poia to Tamaŋ Maaron igheen tomani gham na, alam aloŋ ala nugh tooni, ve agham lepoogh poia tau ezamim pani na. Muuŋ geeg, saawe tau i ighur sambam ve taan soone, i igharaat nugh tane payam. 
MAT.25.35	Pa saawe tau yau pitool ghau, yam agham leg aniiŋ. Ve murun ghau, yam agham leg yaa to naghun. Ve naleep namin loom, yam agham ghau nalat ruum tsiam ve aŋgin ghau. 
MAT.25.36	Ve nambool pa nonoghiiŋa, yam agham leg nonoghiiŋa to nanonogh ghau pani. Ve namorooŋ, yam alam aŋgin ghau. Ve saawe tau tighur ghau naloŋ nala ruum to yavyavuuŋ, yam alam agig ghau.’ 
MAT.25.37	“Mako yes zeran duduŋazi tawe pale tighasoni tighe: ‘Wai Tiina, yei nighit ghom ve nigham ŋgar tauvene payo ŋeez? Yo ughe saawe tau pitool ghom, yei nigham lem aniiŋ. Ve murun ghom, yei nigham lem yaa to ughun. 
MAT.25.38	Ve uleep umin loom, yei nigham ghom ulam uleep ruum tsiei ve niŋgin ghom. Ve umbool pa nonoghiiŋa, yei nigham lem nonoghiiŋa. 
MAT.25.39	Ve saawe tau nighita yo umorooŋ, ma tighur ghom uloŋ ula ruum to yavyavuuŋ loolo, yei nilat nigig ghom. Yei nigham tauvene payo ŋeez?’
MAT.25.40	“Ve kinik tana pale iyol aliŋazi ighe: ‘Yau nasaav payam kat tauvene: Saa ŋgar poia tau muuŋ yam agham pa tazigŋa, yau naghita naghe yam agham payau paam. Yes tau lezi ezazi mako kat paam. Isaav ighe muuŋ auul toozi eta, yau naghita naghe yam agham ŋgar tana payau paam.’ 
MAT.25.41	“Isavsaav pazi le isov, mako itoor ghi maata ila pa yes tau tiyozyooz pa niima ŋas na, ve isaav pazi ighe: ‘Yam zeran sasaghatmim kat. Tamaŋ Maaron aatyavyav tooni aat izaa tsiam. Aghau payau, ve azila ta yav we. Yav tawe, tigharaata pa Sadan tomania aŋela tooni, ve ighanghan irau saawe. Irau imaat mako. 
MAT.25.42	Pa saawe tau pitool ghau, yam agham leg aniiŋ mako. Ve murun ghau, yam agham leg yaa mako. 
MAT.25.43	Ve naleep namin loom, yam agham ghau nalat ruum tsiam mako. Ve nambool pa nonoghiiŋa, yam agham leg nonoghiiŋa mako. Ve saawe tau namorooŋ, ma naleep ila ruum to yavyavuuŋ loolo, yam alam aŋgin ghau mako.’
MAT.25.44	“Mako yes anazi tiyol aliiŋa tighe: ‘Wai Tiina, yo ughe saawe tau pitool ghom, murun ghom, uleep umin loom, umbool pa nonoghiiŋa, umorooŋ, ma uleep ila ruum to yavyavuuŋ loolo, yei niuul ghom mako. Ŋeez yei nigham tauvene payo?’
MAT.25.45	“Ve kinik tana pale iyol aliŋazi ighe: ‘Yau nasaav payam kat: Isaav ighe muuŋ tamtamon tsiau eta tau le eeza mako kat, ilepleep, ve yam auule mako ve aghur murimim pani, ene yau naghita naghe yam agham ŋgar tauvene payau paam.’ ”
MAT.25.46	Ra Yesu iparwai saveeŋ tooni ighe: “Zeran sasaghati tauvene, Maaron pale iziir zi tighau tila, leso tigham atuya toozi. Atuya toozi tawe irau isov mako. Pale iseeŋga taghon taghon gha ila. Eemon yes zeran duduŋazi, i pale igham zi tila tileep matazi yaryaare le alok.” 
MAT.26.1	Yesu isavia saveeŋ naol tana le isov, ra isaav pa mbiwa tooni muul ighe: 
MAT.26.2	“Yam awatagh: Mboŋ ru isov, mako tazaa pa saawe to lupuuŋ tiina to Pasova. Ve Tamtamon Naatu, aat tighamu ve tighuru ila koiŋa nimazi itaghon Maaron ŋgar tooni, leso tiravu izala ai pambarooŋ.” 
MAT.26.3+MAT.26.4	Saawe tana, yes daaba to watooŋrau tomania yes pooza siriv tilup zi ila ruum to Kaiapas loolo, ve tivasavo zi pa eez to tikis Yesu imin yoŋgaaŋ, leso tiravu imaat. Kaiapas, i daaba tau imuuŋ pa yes to watooŋrau. 
MAT.26.5	Yes tisaav tighe: “Iit irau takisi pa saawe to lupuuŋ tiina tane mako. Pa ighe tagham tauvene, ene pale tareu eval tiina lolozi, ve tipaburigin malmal.”
MAT.26.6+MAT.26.7	Ŋeer ee to nugh Betania, eeza Simon. I, muuŋ kolekole ighamu. Yesu tomania mbiwa tooni tila ruum tooni, ve yesŋa tilup zi pa ghanghaniiŋ, ve livaa ee igham ŋgoreeŋ paatu paghuuna ee tau ŋgoreeŋ igheen ila, ve ilam iliŋi izala Yesu daaba. Ŋgoreeŋ tawe, vaazi poia ve atuya tiina kat. 
MAT.26.8	Mbiwa tooni tighita ŋgar tau livaa tawe ighamu na, le irau lolozi mako. Tauvene tiyau avozi pani tighe: “Wai, ivaghamunia ŋgoreeŋ tawe pasaa? 
MAT.26.9	Gabua tawe, atuya tiina kat. Imin ta tagholia, kanaŋ tagham maet tiina kat, leso tauul yes mbolaaŋa pani.”
MAT.26.10	Eemon Yesu iwatagh saveeŋ toozi wa. Tauvene isaav pazi ighe: “Ayau avomim pa livaa tane pasaa? Ŋgar tau i igham payau, ene paghuuna. 
MAT.26.11	Yes mbolaaŋa pale yamŋa alepleep irau saawe. Eemon yau, malau mako pale napul gham, ve irau naleep tomani gham muul mako. 
MAT.26.12	Ŋgoreeŋ tau livaa tane iliŋi izala pavog, ene imin igharaat ghau pataghaaŋ pa mateegh tsiau. 
MAT.26.13	Tauvene yau nasaav payam kat: Murei, tamtamon pale tila tivotia vaaru poia irau taan isov. Ve nugh sindei tau tivotia vaaru poia pazi, ene pale tisavia ŋgar tau livaa tane igham payau. Leso tamtamon matazi kisini.”
MAT.26.14	Mbiwa to Yesu saŋavul ve ru, toozi ee, eeza Yudas Iskariot. Saawe tana, i ila to yes daaba to watooŋrau, 
MAT.26.15	ve ighason zi ighe: “Laak, isaav ighe yau naghur Yesu ila nimamim, pale agham leg saa?” Tauvene tigham le maet silva irau tamoot ee saŋavul (30). 
MAT.26.16	Tauta saawe tana ve ila, Yudas isasaŋan. Ighe saawe poia eta ivot, o ighur Yesu ila nimazi.
MAT.26.17	Tilepleep le saawe imin maata to lupuuŋ tiina to ghaniiŋ mberet tau le yis mako na ivot. Tauvene mbiwa to Yesu tila tooni, ve tighasoni tighe: “Yo ughe nigharaat aniiŋ to Pasova payo izi sindei?” 
MAT.26.18	Yesu isaav pazi ighe: “Yam aloŋ ala Yerusalem, mako aghita ŋeer ee ilepleep. Asaav pani aghe: ‘Paduduŋaaŋ toit isaav ighe: Saawe tsiau ilam igharau wa. Ve naghe yeŋa mbiwa tsiau nilup ghei ila ruum tsio loolo pa ghanghaniiŋ to Pasova.’ ”
MAT.26.19	Tauvene mbiwa tooni titaghon aliiŋa, ve tila tigharaat aniiŋ to Pasova izi ta sewe.
MAT.26.20	Ravrav izi, ve Yesu tomania mbiwa tooni saŋavul ve ru tilup zi, ve mbolezi izi pa ghanghaniiŋ to Pasova. 
MAT.26.21	Yes tighanghan, ve Yesu isaav pazi ighe: “Yau nasaav payam kat. Yam tane, tsiam eta pale ighur ghau nala koiagŋa nimazi.”
MAT.26.22	Mbiwa tooni tilooŋ saveeŋ tane, le lolozi ipataŋan kat. Tauvene yes eŋaeŋa tisaav pani tighe: “Wai, Tiina, pale nagham ŋgar tauvene payo wa? Yau irau nagham tauvene mako.”
MAT.26.23	Yesu iyol aliŋazi ighe: “Ŋeer tau yeiru nizeev mberet izila rubruub eemon, ene i ta pale ighur ghau nala koiagŋa nimazi. 
MAT.26.24	Tauvene Tamtamon Naatu aat ila gha tiravu imaat itaghon saveeŋ tau tiboode pani pataghaaŋ wa. Ve ŋeer tau pale ighuru ila koiŋa nimazi na, i ikaria tauu wa! Imin ta tiina ipoopa mako, kanaŋ poia!”
MAT.26.25	Ra Yudas, ŋeer tau ighe ighur Yesu ila koiŋa nimazi na, aana ighason Yesu ighe: “Paduduŋaaŋ, saveeŋ tau usavia na, iŋarui ghau, ma?”
MAT.26.25	Yesu iyol aliiŋa ighe: “Saveeŋ tauta yo usavia na.”
MAT.26.26	Yes tighanghan, ve Yesu igham mberet ve ipait Maaron pani. Ra iteeva, ve ireii irau mbiwa tooni, ve isaav pazi ighe: “Aghamu ve aghani. Ene yau mizag.” 
MAT.26.27	Ra igham rubruub vaen, ipait Maaron pani, ve izuzuuna ila pazi. Ve isaav pazi ighe: “Yam asov aghamu ve aghun ila. 
MAT.26.28	Ene yau siŋig tau pale imaliŋ pa tamtamon katini. Leso ireu sosor toozi, ve ipariaaŋ saveeŋ mbuaaŋ to eez paaghu tau pale Maaron ve tamtamon tivalupu zi timin eemon. 
MAT.26.29	Yau nasaav payam kat: Yau aat naghun vaen muul mako, le irau saawe paaghu ivot, ve itiŋa talup ghiit muul izi sambam, o itiŋa taghun.” 
MAT.26.30	Tighanghan le isov, ve timbou mbouŋ ee to tipakur Maaron, 
MAT.26.31	Yesu tomania mbiwa tooni tila tivot loloz Oliv, ra isaav pazi ighe: “Mboŋ aazne, yam asov pale atap pa ghuruuŋ ila tsiam, ve aghur murimim payau. Pasaa, Maaron aliiŋa tau tiboode na, isaav ighe:
MAT.26.32	“Eemon murei, saawe tau Tamaŋ Maaron ipaburigin ghau pa mateegh, yau aat namuuŋ nala nasaŋan gham izi Galilaia.” 
MAT.26.33	Petrus ilooŋ saveeŋ tane, ve isaav ariaaŋ pa Yesu ighe: “Ene aat yes siriv. Ve yau irau natap, ve naghur murig payo ne mako. Mako le mako kat!”
MAT.26.34	Yesu isaav pani ighe: “Aa Petrus, yau nasaav payo kat. Mboŋ aazne, yo aat upaisamun ghau pai tol le isov, o tatareek itaŋ.” 
MAT.26.35	Tauvene Petrus isaav pani muul ighe: “Sei isaav! Isaav ighe tirav ghau namaat tomani ghom, ene poia. Tirav ghau lak! Eemon irau napaisamun yo ezam mako.” Ve mbiwa tooni tisov tisavia saveeŋ raraate mon.
MAT.26.36	Ra Yesu igham mbiwa tooni gha yesŋa tilaagh tila tivot nugh ee, eeza Getsemane. Tila tivot ta sewe, ve i isaav pazi ighe: “Mbolemim izi ta sene, ve yau nala nasuŋ izi sewe.” 
MAT.26.37	Ra igham Petrus, ve Zebedi natŋa ru, gha yesŋa tila soghan rig. Saawe tana, Yesu loolo ipataŋan le ipataŋan kat, ve igham ŋgar naol pa pataŋani tau pale ivot pani. 
MAT.26.38	Tauvene isaav pazi ighe: “Oyai, lolog ipataŋan kat le rigmon kanaŋ namaat. Yam aleep ta sene, ve amamaat tomani ghau.”
MAT.26.39	Ra ilaagh ila rig, itap izi ve naagho izila pa taan, ve isuŋ pa Maaron ighe: “O Tamaŋ, isaav ighe yo irau upasalia rubruub 
MAT.26.40	I isuŋ le isov, ra imuul ila to mbiwa tooni tol tana, ve ighit zi tighengheen. Tauvene isaav pa Petrus ighe: “Mindai, yam irau amamaat tomani ghau rigta mako? 
MAT.26.41	Yam amamaat ariaaŋ ve asuŋ pa Maaron. Mako pale tovaaŋ ivot payam, ve rekia mon atap ve apul ghuruuŋ ila tsiam. Onoon, loloon taghe le tataghon Maaron ŋgar tooni. Eemon ŋgar to uliin iyaryaaŋ ila loloon, tauta igham ghiit tapiriin imbool.” 
MAT.26.42	Yesu isavsaav pazi le isov, ra ipul zi, ve ila isuŋ muul imin pai ru ighe: “Tamaŋ, ighe yo irau upasalia rubruub tane payau mako, ene poia. Yau aat naghamu ve naghun ila. Utaghon taum lolom.” 
MAT.26.43	Isuŋ le isov, ra imuul ila to mbiwa tooni, ve ighit zi tighengheen. Pasaa, matazi irav zi pa ghenooŋ.
MAT.26.44	Tauvene ipul zi, ve ila isuŋ muul imin pai tol. Ve itaghon suŋuuŋ raraate mon. 
MAT.26.45	Isuŋ le isov, ra imuul ila to mbiwa tooni, ve isaav pazi ighe: “Wai, aghengheen soone? Ene saawe to auul tinimim mako. Aburig lak! Saawe to tighur Tamtamon Naatu ila zeran sasaghatizi nimazi, tauta ivot wa. 
MAT.26.46	Aburig ve tala. Aghita. Ŋeer tau ighe ighur ghau nala koiagŋa nimazi, tauta ilam peria wa.” 
MAT.26.47	Yesu isavsaav soone, ve Yudas igherev eval tiina gha tilam peria. (Mbiwa saŋavul ve ru, i toozi ee.) Eval tiina tawe, yes daaba to watooŋrau tomania pooza siriv to yes Yuda timbaaŋ zi. Yes tikis mbuzaagh ma zaab le irau zi. 
MAT.26.48	Yudas igharaat saveeŋ pazi pataghaaŋ wa ighe: “Tala peria ve ighe aghita nasaghav ŋeer eta ve nayaŋin pani, ene i tauu tana. Akisi. Yau aat naghur ilaal tauvene payam, leso aghilaal ŋeer tawe.”
MAT.26.49	Tauvene saawe tau tila tivot toozi, Yudas iŋarui Yesu ila, ve isaav pani ighe: “Paduduŋaaŋ, mboŋ poia!” Ra isaghavu ve iyaŋin pani.
MAT.26.50	Yesu isaav pani ighe: “Ŋeer tsiau, uraat tau ulam pani ne, ughamu lak.” I isavia saveeŋ tane le isov, ra eval tiina tana tikisi. 
MAT.26.51	Tauvene yes tau tileep tomania Yesu na, tamtamon toozi ee ipas mbuzaagh tooni izaa, ve isiki le isap ŋeer ee taliiŋa. Ŋeer tawe, i besooŋa to daaba tau imuuŋ pa yes to watooŋrau. 
MAT.26.52	Eemon Yesu isaav pa ŋeer tau ighe imbut tamtamon tana ighe: “Ai, atem izi ve uzeev mbuzaagh tsio imuul ila niia. Pa tamtamon tisov tau tiparav pa mbuzaagh, ene pale mbuzaagh ighan zi timaat. 
MAT.26.53	Yo ugham ŋgar mindai? Ughe yau irau napoi Tamaŋ Maaron to iuul ghau mako? Isaav ighe yau nasaav pani, i aat rekia mon imbaaŋ aŋela ndiŋndiŋ ndiŋndiŋ iliiv 72,000 tizilam to tiuul ghau. 
MAT.26.54	Eemon isaav ighe yau nagham tauvene, pale Maaron aliiŋa tau tiboode pataghaaŋ na ighur anooŋa mindai?”
MAT.26.55	Ra Yesu isaav pa eval tiina tana ighe: “Mindai ta alaagh toman mbuzaagh ma zaab ve alam pa kisiiŋ ghau? Yau ŋeer to ghamuuŋ malmal? Saawe naol, yau napaghazoŋai gham pa Maaron aliiŋa izi Rumei Tiina naagho. Puughu mindai ta akis ghau pataghaaŋ ta sewe mako? 
MAT.26.56	Poia. Akis ghau lak. Gabua isov tau ivot ne, ene itaghon Maaron aliiŋa tau yes propet tivotia ve tiboode pataghaaŋ na. Leso saveeŋ tawe ighur anooŋa.” Yesu isavia saveeŋ tane, ve mbiwa tooni tisov tipuli, ve tighawaar. 
MAT.26.57	Zeran tau tikis Yesu na, tighamu tila, ve tighuru iloŋ ila ruum to Kaiapas. Kaiapas, i daaba tau imuuŋ pa yes to watooŋrau. Yes ŋgara to tutuuŋ tomania pooza siriv to yes Yuda tilup zi ta sewe ve tisasaŋan. 
MAT.26.58	Petrus ipaspas ghi poipoi, ve itaghon Yesu gha tila. Eemon ilaagh malau rig pasaa, iroi. Tauvene vene le ila peria sirsiir to ruum tawe. Ra iloŋ ila sirsiir loolo, ve mboole izi tomania uraata siriv to daaba to watooŋrau. Leso ighita saa ŋgar tau pale ivot pa Yesu. 
MAT.26.59	Yes daaba to watooŋrau tomania tamtamon tisov to lupuuŋ tiina tau tiŋginŋgin yes Yuda na, titoova to tiil tamtamon siriv to tipariaaŋ saveeŋ karom tighe yes tighita Yesu igham sosor. Leso imin puughu pani to tiravu imaat. 
MAT.26.60	Eemon ŋgar toozi ighur mako. Onoon, tamtamon katini tipariaaŋ saveeŋ karom tighe yes tighita Yesu igham sosor. Eemon saveeŋ toozi raraate mako. Tisavia saveeŋ maata ite ite. Ra zeran ru tiburig, ve tisaav tighe: 
MAT.26.61	“Yei nilooŋ ŋeer tane isaav ighe: ‘Yau irau nareu Rumei Tiina to Maaron izi, ve napayooze muul pa mboŋ tol mon.’ ” 
MAT.26.62	Tauvene daaba to watooŋrau iburig iyooz, ve isaav pa Yesu ighe: “Ulooŋ wa? Yes tipariaaŋ saveeŋ tighe tilooŋ ghom usavia saveeŋ tauvene. Mindai, irau uyol saveeŋ toozi, ma mako?” 
MAT.26.63	Eemon Yesu isaav mako. Ineneeŋ mon.
MAT.26.63	Tauvene daaba to watooŋrau isaav pani muul ighe: “Yau nasaav payo ila Maaron maata yaryaare eeza: Yo aat usaav ghazooŋa payei. Yo Mesia ve Maaron Naatu?” 
MAT.26.64	Yesu iyol aliiŋa ighe: “Saveeŋ tauta yo usavia na. Ve yau nasaav ghazooŋa payam tauvene: Murei, yam pale aghita:
MAT.26.65	Daaba to watooŋrau ilooŋ saveeŋ tane le ireu loolo. Tauvene iraŋgat nonoghiiŋa tooni, ve isaav ighe: “Isov wa! Tail tamtamon ite paam to ipariaaŋ saveeŋ muul pasaa? Aazne, yam taumim alooŋ katin saveeŋ ila i tauu aavo wa. I isavia saveeŋ veleghiiŋ pa Maaron. 
MAT.26.66	Laak, agham ŋgar pani mindai?”
MAT.26.66	Yes tiyol aliiŋa tighe: “I isosor wa. Tamtamon tauvene irau ileep mako. I aat imaat!” 
MAT.26.67+MAT.26.68	Ra tamtamon toozi siriv tiburig gha tivuragh naagho, tiravu, tiposaii, ve tipaŋiŋizaini tighe: “Yo Mesia ve propet ne? Na usaav payei: Sei ta irav ghom ne?” 
MAT.26.69	Saawe tau yes daaba tilooŋ saveeŋ to Yesu, Petrus mboole izi muuri ila sirsiir loolo. Livaa paaghu ee tau ibesbees pa daaba to watooŋrau na ila tooni, ve isaav pani ighe: “Ai, yo paam ulaghlaagh tomania Yesu to Galilaia.”
MAT.26.70	Eemon Petrus ipaisamun tauu ila yes tawe matazi ighe: “Wai, saveeŋ tau yo usavia ne, yau nawataghi mako.” 
MAT.26.71	Ra ipul niia tawe, ve izuur ivot igharau sirsiir aavo. Malau mako ve besooŋa livaa ite, aana ilam le ighita Petrus, ve isaav pa tamtamon siriv tau tiyooz tigharauu na, ighe: “Ai aghita! Ŋeer tane, i ilaghlaagh tomania Yesu to Nasaret.”
MAT.26.72	Eemon Petrus ipaisamun tauu muul, ve ipariaaŋ saveeŋ tooni ighe: “Ee-e, onoon sambam, ŋeer tawe, yau nawataghi mako.”
MAT.26.73	Tilepleep rig, ra tamtamon siriv tau tiyooz tigharau Petrus na, tiŋaruini tila, ve tisaav pani tighe: “Onoon kat, yo tane, toozi ee paam. Yei nighilaal ghom pa aliŋam. Yo to Galilaia.” 
MAT.26.74	Tauvene Petrus iburig ve aavo iyaryaaŋ kat ighe: “Onoon sambam, ŋeer tawe, yau nawataghi rigta mako kat. Ighe natoom, Maaron tauu pale ivaghamun ghau!” Saawe duduuŋ tana, tatareek itaŋ. 
