MAT.1.1	Nene pitiiŋ to Yesu Krisi pughu toni. Yesu, ye siŋ to kinik David, ve David, ye siŋ to Abaraam. 
LUK.9.29	Ye isuŋsuŋ, ve nagho itoora, ve nonogiiŋa toni paam ipisosooŋ ve isul kat. 
LUK.9.30+LUK.9.31	Mala maau ve ndiran ru, Mose ve Ilia, tivot toni toman ŋgurubadi tiina. Tisavsaav toman Yesu pa uraat to ye pale ighami izi Yerusalem, ve ataam to ye pale igham mulin tamtoghon, ve ipul taan ve imuul izala pa sambam. 
LUK.9.32	Petrus toman ndita ru tigheen le lolodi imaagh kat. Sawa to timundig ve matadi pakia, tighita Yesu ŋguruba, ve ndiran ru to tiyondyood tomani. 
LUK.9.33	Tinepneep le ndiran ru tonowen tighaze tipul Yesu, ve Petrus isaav ila pa Yesu ighaze: “Tiina, taneep sualen le poiawaat kat. Vena, pale nirei mbeez tol? Eez payom, eez pa Mose, ve eez pa Ilia.” Aliŋa tonene, ye igham ŋgar pooi ve isavia ne maau. Isaav sorok.
LUK.9.34	Petrus isavsaav, ve yaghur tae izi inim le ikau di. Tovenen matughezaaŋ tiina igham di. 
LUK.9.35	Ghoro tilooŋ Maaron aliŋa ivot ila yaghur tae tonowen lolo ighaze: “Nanan natug. You taug nasia ve naghuri pa uraat tiou wa. Alooŋ aliŋa, ve ataghoni!” 
LUK.9.36	Saveeŋ tonene isob, ve matadi ila le tighita Yesu eŋgeni. Mbeb to tighita, tisavia pa tamtoghon eta rikia maau. Ineep todi moghon le muri ghoro, tivotia.
LUK.9.37	Yesu toman taghoniiŋa toni tol tonenen tineep mboŋ ndugizau, ghoro tipul lolooz, ve timuul tizila le tindeeŋ ival tiina kat to tiŋarua di tinim. 
LUK.9.38+LUK.9.39	Ŋgeu eez to ineep ila ival tiina tonowen lolodi, imboob ila pa Yesu ighaze: “Patoŋaaŋ, you nataŋ roran ghom: Unum ughita natug tonene ve uuli lak! Natug ghora ee moghon kat, ve avuvu samia izeeva. Ighaze imundig pani, nene rikia moghon iyak tiina, itap izila taan, tua ikatotooŋ, ve mbeera izi. Mbeb tonene iwaghamuni le isami kat. Ve ipulpuli maau. 
LUK.9.40	You nataŋ roran taghoniiŋa tiom naghaze tindiir avuvu samia tonene ighau pani. Eemoghon titoova, le tiraua maau.”
LUK.9.41	Yesu ipamuul aliŋa ighaze: “Oyai, yam tamtoghon to aazne, aghur ila maau, ve ŋgar tiam iwaghamgham kat. Itiŋa takaria nepooŋ wa. Tovenen naghaze pa ŋgar tiam ivot ve aghilaal ris. Eemoghon maau. Moghon moghon, yam agham pataŋani payou. Pale ŋeez o ateg izi? Poia. Ugham natum inim.”
LUK.9.42	Pain tonowen iŋarua Yesu ila, ve avuvu samia tonowen imundig pani, ve ipiyaava izila taan, ve igham tua ikatotooŋ. Tovenen Yesu iyaan avuvu samia ighau, ve igharaat pain tonenen le tini poia. Ghoro ighuri imuul ila to tama. 
LUK.9.43	Yes to tighita mbeb gharatooŋa tonenen, tisob ruŋadi iza pa Maaron tapiri, le ŋgar todi isob.
LUK.9.43	Tamtoghon tighita uraat gharatooŋadi naol to Yesu ighamgham di ne, ve tisob avodi ikaak. Tovenen Yesu isaav pa taghoniiŋa toni ighaze: 
LUK.9.44	“Yam aghur taliŋamim pooi pa saveeŋ tonene. Tamtoghon Natu, pale tighuri ila koia nimadi.” 
LUK.9.45	Taghoniiŋa toni tilooŋ saveeŋ tonene, eemoghon tighazooŋ pani maau. Tikankaan pani. Pasa, pughu iyooŋ padi. Eemoghon tighason Yesu pa saveeŋ toni pughu maau. Pasa, timatughez. 
LUK.9.46	Sawa eez, taghoniiŋa toni tiwazoran di pa sei todi to iza tiina ilib padi tisob. 
LUK.9.47	Yesu iwatag ŋgar to ineep ila lolodi wa. Tovenen igham pain kainaŋen eez inim, ve ipayoonda iyoon izi ye dige, 
LUK.9.48	ve isaav padi: “Ighaze tamtoghon eta mata iŋgal ghou, ve igham pain tonene ve iuuli pa you izag, nene ye igham ghou paam. Ve ighaze tamtoghon eta igham ghou, nene ye igham Tamaŋ to imbaaŋ ghou nanim ne paam. Pasa, yes to tineep ila yam lolomim, ve tamtoghon matadi izi padi tighaze ledi izadi maau, nene Maaron ighita di ighaze izadi tintina.” 
LUK.9.49	Yoan ilooŋ saveeŋ tonene, ve isaav pa Yesu ighaze: “Tiina, yei nighita ŋgeu eez indirndiir avuvu samsamiadi ila yom izam. Eemoghon ye itaghon ghiit pa lupuuŋ toit tonene maau. Tovenen yei niŋgalsekini nighaze igham tovene malep.”
LUK.9.50	Eemoghon Yesu isaav padi ighaze: “Ai, yam agham vene malep. Pasa, tamtoghon to ighaze ighur koi payam maau, nene inim itamim ite, ve irau iuul gham.” 
LUK.9.51	Sawa to Maaron ighaze igham Yesu imuul iza ila pa ndug sambam, nene inim igharau wa. Tovenen Yesu ŋgar toni iyaryaaŋ ighaze izala pa Yerusalem. 
LUK.9.52	Ye imbaaŋ tamtoghon pida timuuŋ tila pa ndug eez to Samaria, leso tigharaat ataam pani. 
LUK.9.53	Eemoghon tamtoghon to ndug tonowen tilooŋ tighaze Yesu ŋgar toni iyaryaaŋ ighaze izala pa Yerusalem, tovenen lolodi pa tighami maau. 
LUK.9.54	Taghoniiŋa toni ru, Yakobus ve Yoan, tighita mbeb tonene le irau lolodi maau. Tovenen tighason Yesu tighaze: “Tiina, ughaze nigham vena? Pale nighason Maaron, leso igham yab sambam ve izi inim, ve ighan tamtoghon tonowen?” 
LUK.9.55	Eemoghon Yesu itoora ve iyaan di. 
LUK.9.56	Ghoro tipamundigin laghooŋ todi muul, ve tila pa ndug ite.
LUK.9.57	Yes tilaghlaagh taghon ataam tila, ve ŋgeu eez isaav pa Yesu ighaze: “Ndug sine to yom ughaze ula pani, you pale nataghon ghom ve ituru tala.”
LUK.9.58	Yesu ipamuul aliŋa ighaze: “Ŋgavuun sagsag ledi inadi ila taan saambu. Ve man to tirovroov ila tata paroŋania, ledi rumadi izala ai. Eemoghon Tamtoghon Natu, ye le ina to ghenooŋ maau.” 
LUK.9.59	Ghoro Yesu isaav pa ŋgeu ite ighaze: “Unum utaghon ghou.”
LUK.9.59	Eemoghon ŋgeu tonowen ipamuul aliŋa ighaze: “Tiina, vena? Irau upul ghou namuul nala naneep toman tamaŋ? Ve nasaŋani le imaat ve natavia, ghoro nalat nataghon ghom?”
LUK.9.60	Yesu ipamuul aliŋa ighaze: “Maau. Yes to ledi ghilalooŋ pa Maaron maau ve titaghon ataam to mateeŋ, yes irau titavia mateeŋa. Eemoghon yom, ghoro ula uvotia pooz to Maaron pa tamtoghon.”
LUK.9.61	Ghoro ŋgeu ite, ana inim ve isaav pa Yesu ighaze: “Tiina, you naghaze nataghon ghom. Ve vena? Irau upul ghou namuul nala pa ndug tiou ve yeiŋa nditag nineep ris? Ve nakis nimadi le isob, ghoro nalat nataghon ghom.”
LUK.9.62	Yesu ipamuul aliŋa ighaze: “Maau. Ighaze tamtoghon eta igham pooz pa waaŋ ve indandaleel, nene irau igham poian pooz to Maaron uraata maau.” 
LUK.10.1	Muri ghoro, Tiina toit Yesu ighur tamtoghon tamoot tol saaŋgul ve ru (72) paam pa uraat, ve imbaaŋ di ighaze tilaagh ruŋaruŋa, ve timuuŋ tila pa ndug tisob to ye ighaze ila padi, ve tigharaat ataam pani. 
LUK.10.2	Ve isaav padi ighaze: “Alooŋ. Aniiŋ katindi timatu wa. Eemoghon uraata to ŋgogaaŋ aniiŋ, yes ival maau. Tovenen aghason Uum Tau to iŋgin uraat to ŋgogaaŋ aniiŋ. Leso imbaaŋ uraata pida muul tila pa uraat to ŋgogaaŋ aniiŋ toni. 
LUK.10.3	Ala. You nambaaŋ gham ala animale sipsip ndinatu to tineep ila ŋgavuun sagsag lolodi. Tovenen apatum gham. 
LUK.10.4	Sawa to ala, alaagh toman mbeb naol inimale lugluug, pelpeel, ve duduuŋa to aghemim malep. Ve ighaze avot to ŋgeu eta izi ataam luvuŋa, avomim imbees tomani malep. Matamim pa laghooŋ moghon, ve malmalimim ala. 
LUK.10.5	“Ruum sine to alooŋ ala pani, asavia saveeŋ palotiiŋ pa ruum tonenen tamtoghona muuŋ aghaze: ‘Maaron pale igham gham aneep pooi toman lolomim luuma.’ 
LUK.10.6	Ighaze ruum tonenen tau, ye ŋgeu to ŋgar luuma, nene pale luuma to Maaron to asavia, ineep toni. Ve ighaze maau, nene pale palotiiŋ tiam imuul pa taumim. 
LUK.10.7	Ruum sine to papazogi tighur gham aneep pani, aneep tonanan moghon. Asakia gham ala ruum ite paam malep. Ve sa aniiŋ ma ya to tigham payam, arere malep. Aghan ve aghun moghon. Pasa, yes uraata irau tigham ledi atia. 
LUK.10.8	Tovenen ighaze yam alooŋ ala pa ndug eta, ve tigham gham toman lolodi poia, ve tigham amim aniiŋ, arere malep. Aghan moghon. 
LUK.10.9	Agharaat moroghooŋa to ndug tonenen le tinidi popoia, ve asaav padi tovene: ‘Pooz to Maaron, nene inim igharau gham wa!’ 
LUK.10.10+LUK.10.11	Eemoghon ighaze ala avot ndug eta, ve lolodi pa tigham gham maau, yam ala ayoon maran ate, ve atut aghemim ve ghavuur todi izi, ghoro asaav padi aghaze: ‘Aghita. Aazne, yei nitut aghemai ve ghavuur to ndug tiam izi. Leso inim ghilalooŋ payam pa sosor tiam. Yam irau awatag kat tovene: Pooz to Maaron inim igharau gham wa.’ 
LUK.10.12	“You nasaav payam kat: Sawa to Mboŋ Muri, pataŋani tiina kat pale iŋarua ndug tonenen tamtoghona le ilib pa pataŋani to pale ivot pa yes tamtoghon to Sodom. 
LUK.10.13	“Oyai, yam tamtoghon to Korazin ve Betsaida, akaria taumim wa! Pasa, you nagham mbeb gharatooŋadi tintina naol tivot izi ndug tiam. Eemoghon atoor ŋgar tiam ila pa Maaron sone. Inimale ndug Tiro ve Sidon to tikankaan pa Maaron ne, tighita mbeb tovene, tone lolodi ipataŋan pa sosor todi, ve tindud di pa nonogiiŋa to moŋiiŋ, ve mboledi izala avab, ve titoor ŋgar todi alok wa. 
LUK.10.14	Tovenen you nasaav payam: Sawa to Mboŋ Muri, ve Maaron ighaze iŋgabiiz tamtoghon ve ighur atia padi, ye pale ighur atia rauraua pa tamtoghon to ndug ru tonowen. Eemoghon yam pale agham atia tiina kat pa sosor tiam. 
LUK.10.15	Ve yam tamtoghon to ndug Kapernaum paam, yam agham ŋgar aghaze Maaron pale ipakur gham, ve igham gham azala pa ndug sambam? Maau kat! Yam pale azila ndug samia to mateeŋa.” 
LUK.10.16	Yesu isaav muul pa taghoniiŋa toni tovene: “Ighaze tamtoghon eta ilooŋ aliŋamim, ye ilooŋ ghou paam. Ve ighaze tamtoghon eta izurun gham, ye izurun ghou paam. Ve ighaze tamtoghon eta izurun ghou, ye izurun Ŋgeu to imbaaŋ ghou nanim ne paam.” 
LUK.10.17	Yes tamoot tol saaŋgul ve ru (72) to Yesu imbaaŋ di pa uraat, tila tilaagh pa uraat todi le isob, ghoro timuul tila to Yesu, ve tisaav pani toman tinidi iza tighaze: “Tiina, uraat tiei ilaan pooi, ve avuvu samsamiadi paam tineep ila sambamai. Sawa to nindiir di ila yom izam, yes tilooŋ ghei ve tighau.”
LUK.10.18	Yesu isaav padi ighaze: “You naghita Sadan itap sambam ve izi inim taan inimale lalaav waro to ilaan izi pa taan. 
LUK.10.19	Alooŋ. You nagham lemim tapirimim to avazag moot samsamiadi toman skorpion, ve atatan koiaad Sadan tapiri le isob. Ve mbeb eta pale irau iwaghamun gham maau. 
LUK.10.20	Eemoghon tinimim iza pa avuvu samsamiadi to tineep ila sambamim ve tilooŋ aliŋamim ne malep. Tinimim iza pasa, timbood izamim ila rau to ndug sambam wa.” 
LUK.10.21	Rikia moghon, Avuvu Patabuaŋ igham Yesu lolo poia le poia kat. Tovenen isaav ighaze: “O Tamaŋ, yom Tiina to uŋgin sambam ve taan. You napait ghom toman lolog poia. Pasa, yes to ledi ŋgar tintina ve tighazooŋ pa mbeb naol, yom uŋgooz uraat tiou tonene pughu padi. Ve upaghazoŋani pa yes to titatan taudi izadi, ve tinumeer ghom inimale yes ndipain tinumeer nditamandi ve nditinandi. Oo Tamaŋ, yom utaghon taum lolom ve poia tiom, tauto ugham tovene. 
LUK.10.22	“Tamaŋ Maaron ighur mbeb tisob tinim nimag wa. Ve ye moghon to iwatag katin tau Natu. Tamtoghon ite paam maau. Ve Tamaŋ Maaron tovene paam. Tamtoghon eta iwatagi kat maau. Tau Natu, ve yes to Natu ipaghazoŋan di pani, yes moghon to tiwatagi.” 
LUK.10.23	Ghoro Yesu itoora, mata ila pa taghoniiŋa toni, ve isaav padi ighaze: “Yam to aghita uraat tiou ne, tinimim iza pa poia to Maaron to iza tiam! 
LUK.10.24	Pasa, you nasaav payam: Muuŋ, propet ve kinik naol tighaze le tighita mbeb to yam aghita. Eemoghon yes tighita maau. Ve tighaze le tilooŋ saveeŋ to yam aloŋlooŋa. Eemoghon tilooŋa maau.” 
LUK.10.25	Sawa tonenen, ŋgeu eez to le ŋgar tiina pa tutuuŋ, imundig ve ighaze itoov Yesu. Tovenen ighasoni ighaze: “Patoŋaaŋ, pale nagham vena, leso naneep matag iyaryaar le alok?”
LUK.10.26	Yesu ipamuul aliŋa ighaze: “Saveeŋ to ineep ila tutuuŋ ne, yom uwaata ve ugham ŋgar pani vena?”
LUK.10.27	Ŋgeu tonowen ipamuul aliŋa ighaze:
LUK.10.28	Yesu ilooŋ saveeŋ toni, ve isaav pani ighaze: “Saveeŋ tiom, nene deŋia. Ugham tovene, ghoro ugham nepooŋ poia ila to Maaron, ve uneep matam iyaryaar le alok.” 
LUK.10.29	Eemoghon ŋgeu tonenen ighaze ipatooŋ tau ighaze ye ŋgeu deŋia. Tovenen ighason Yesu muul ighaze: “Nditag sei masin to yom ughaze you naghur lolog padi ne?”
LUK.10.30	Yesu ipamuul aliŋa ighaze: “Sawa eez, ŋgeu eez ineep Yerusalem, ve ighaze izila pa ndug Yeriko. Ye ilaghlaagh taghon ataam ila, ve mala maau yubyubŋa pida tivot toni, ve tirabi tirabi le nagho isami kat. Rismoghon tone imaat. Ve tiyou nonogiiŋa toman mbeb toni tisob. Ghoro tipuli izi, ve tighau tila.
LUK.10.31	“Mala maau ve ŋgeu eez to watooŋrau itaghon ataam tonowen inim, le ighita ŋgeu tonenen ighengheen izi ataam. Eemoghon iuuli maau. Isalib pani, ve malmali taghon ataam dige ve ila. 
LUK.10.32	Ye inim ila, ve uraata eez to Rumai Tiina ana inim, ve ighita ŋgeu tonenen ighengheen. Eemoghon ye paam, iuuli maau, ve isalib pani, ve malmali taghon ataam dige ve ila. 
LUK.10.33	“Ghoro Samaria taamdi eez, ana inim peria ndug to ŋgeu tonenen ighengheen pani. Ye ighita, le lolo isamini kat, ve ighaze iuuli. 
LUK.10.34	Tovenen ilaagh iŋarua ila, ve iliŋ ŋgoreeŋ toman vaen izala ndaab avo ina, ve ikaui. Ghoro isuri izala esele toni pogho, ve ighami ila pa ruum to yes loomba, ve iŋgini tonowe. 
LUK.10.35	Mboŋ ndugizau ghoro iwaan yaam denari ru ila lugluug toni, ighur di ila to ŋgeu to iŋgin ruum tonowen, ve isaav pani ighaze: ‘Nagham yaam tonene payom, leso uŋgin poian ŋgeu tonene. Ve ighaze iraua maau, yom uuli pa yaam tiom le irau namuul nanim. Ghoro nayat mulin yaam tiom.’ ”
LUK.10.36	Yesu isavia saveeŋ tonene le isob, ghoro ighason ŋgeu ŋgara to tutuuŋ tonenen ighaze: “Laak, yom ugham ŋgar vena pa ndiran tol tonenen? Sei to inim ŋgeu to yes yubyubŋa tirabi ne ita ite?”
LUK.10.37	Ŋgeu tonenen ipamuul aliŋa ighaze: “Ye to lolo isamini ve iuuli.”
LUK.10.37	Tovenen Yesu isaav pani: “Tau tonene. Ula ve utaghon ŋgar raraate moghon.”
LUK.10.38	Yesu toman taghoniiŋa toni tilaagh taghon ataam tila le tivot ndug eez. Liva eez to ndug tonowen, iza Marta. Ye igham Yesu ve tila ruum toni. 
LUK.10.39	Marta taziliva, iza Maria. Maria mbole izi igharau Yesu aghe pughu, ve iloŋlooŋ saveeŋ toni. 
LUK.10.40	Eemoghon Marta mata naol pa uraat to ŋginiiŋ yes loomba todi. Tovenen ila to Yesu, ve isaav pani ighaze: “Tiina, yom ugham ŋgar payou, ma maau? Ughita. Tazigliva ipul ghou, ve eŋgengou naghamgham uraat. Usaav pani inim iuul ghou lak!”
LUK.10.41	Eemoghon Tiina toit Yesu ipamuul aliŋa ighaze: “Aa Marta, yom matam naol pa uraat, tauto lolom ipataŋan ve ugham ŋgar naol. 
LUK.10.42	Yom irau ugham ŋgar pa mbeb ee moghon. Pasa, nene iraua. Tazimliva Maria iŋgabiiz pooi. Tauto izuaria tau pa mbeb to poia le poia kat. Ve mbeb tonene, eta irau iŋguaaza pani maau.”
LUK.11.1	Sawa eez, Yesu isuŋsuŋ izi ndug eez. Isuŋ le isob, ghoro taghoniiŋa toni eez isaav pani ighaze: “Tiina, yei nighaze upatooŋ ghei pa ataam to suŋuuŋ inimale Yoan ipatooŋ taghoniiŋa toni.”
LUK.11.2	Yesu isaav padi ighaze: “Sawa to yam aghaze asuŋ, asaav tovene:
LUK.11.2	‘Tamamai, ugham tamtoghon tisob tipatab pa yom izam.
LUK.11.2	Pooz tiom inim irau ndug le isob. 
LUK.11.3	Ugham aniiŋ to aazne payei. 
LUK.11.4	Upul sosor tiei. Pasa, tamtoghon tisob to tigham sosor payei, yei nipul sosor todi paam.
LUK.11.4	Upul tovaaŋ ivot payei malep.’ ” 
LUK.11.5+LUK.11.6	Yesu isaav padi muul tovene: “Ighaze tiam eta loom toni inim pa mboŋ anoŋa, ve a aniiŋ eta pa igham pani maau, nene pale igham vena? Ye pale ila to ita ite eta, ve ighasoni ighaze: ‘Ou, itag ite, ugham ag mberet tolta tinim. Leso nagham di pa loom tiou. Pasa, ye ineep ndug mala inim, ve ag aniiŋ eta to nagham pani ne maau. Pale nayati muri.’
LUK.11.7	“Ve ighaze ita ite to ineep ruum lolo, iyasiil pani ighaze: ‘Ah, upararai ghou pasa? You napoon ataam ila ivool, ve toman ndinatug nigheen wa. Irau namundig ve nauul ghom maau.’ ”
LUK.11.8	Ve Yesu iseeŋ saveeŋ toni muul ighaze: “Vena? Ighaze ita ite ipamuul aliŋa tovene, pale ŋgeu tonenen ipuli? Maau. Ye pale inoknok ghasoniiŋi. Ve you nasaav payam. Ita ite tonenen pale ilooŋ aliŋa, ve imundig ve igham mbeb tisob to ŋgeu tonenen imbool pani. Onoon, ye mata iŋgal ighaze ŋgeu tonenen, ye ita ite ve iuuli ne maau. Pale iuuli pasa, ŋgeu tonenen maya maau, ve inoknok ghasoniiŋi.” 
LUK.11.9	Ghoro Yesu iseeŋ saveeŋ toni muul ighaze: “Tovenen you nasaav payam: Aghason, ghoro aghami. Akaala, ghoro andeeŋa. Apit ataam, ghoro ataam ikaak payam. 
LUK.11.10	“Pasa, tamtoghon tisob to tighason, nene pale tighami. Ve ighaze tikaala, nene pale tindeeŋa. Ve ighaze tipit ataam, nene pale ataam ikaak padi. 
LUK.11.11	Vena? Ighaze tamtoghon tiam eta natu ighason tama pa iigh, pale tama igham moot pani? 
LUK.11.12	Ma ighaze ye ighason tama pa man atulu, pale tama igham skorpion pani? Maau. 
LUK.11.13	Aghita. Yam ndiran to ghamuuŋ ŋgar samsamia naol. Eemoghon aghamgham mbeb popoiadi moghon pa ndinatumim. Ve Tamamim to ineep sambam, poia toni, nene ilib payam kat. Tovenen tamtoghon tisob to tighasoni pa Avuvu Patabuaŋ, ye pale ilooŋ di, ve igham padi.” 
LUK.11.14	Ŋgeu eez, avuvu samia izeeva ve ighami avo ivool. Yesu indiir avuvu samia tonowen ighau pani, ghoro ŋgeu tonenen avo ikaak ve isavsaav. Yes to tineep ve tighita mbeb gharatooŋa tonenen, ruŋadi iza pani ve ŋgar todi isob. 
LUK.11.15	Eemoghon tamtoghon todi pida tisaav tighaze: “Nowe Belsebul, daba to avuvu samsamiadi, ipaloti. Tauto ye le tapiri pa indiir avuvu samsamiadi tighau.” 
LUK.11.16	Ve tamtoghon pida tighaze titoov Yesu. Tovenen tizoorndug tighaze ye igham mbeb gharatooŋa eta inim ghilalooŋ padi. Leso tiwatag tighaze Maaron to sambam ineep tomani pa uraat toni. 
LUK.11.17	Eemoghon Yesu iwatag ŋgar todi wa. Tovenen isaav padi: “Ighaze kinik eta toman tamtoghon toni tiwaghurun koi pa taudi, ve tivalag di tineep ledi ledi, nene pale ndug todi isami kat, ve tamtoghon tineep pani muul maau. Ve ruum paam. Ighaze tamtoghona tiwaghurun koi pa taudi, ve tivalag di tineep ledi ledi, nene pale tireu mbirisan ruum todi, ve lupuuŋ todi isami.
LUK.11.18	“Sadan tovene paam. Ighaze tamtoghon toni tiwaghurun koi pa taudi ve tivalag di, nene pale pooz toni iyaryaaŋ vena? Maau. Laak, yam aghaze you nandirndiir avuvu samsamiadi pa Belsebul tapiri. 
LUK.11.19	Ighaze venen, vena pa nditamim to tindirndiir avuvu samsamiadi? Sei ipalot di pa ŋgar todi tonowen? Ŋgar to yes tighami, nene ipatooŋ gham ighaze ŋgar tiam deŋia maau. 
LUK.11.20	Eemoghon ighaze you nandiir avuvu samsamiadi pa Maaron tapiri, nene yam irau awatagh aghaze pooz to Maaron inim peria tiam wa. 
LUK.11.21	“Ighaze ŋgeu ariaŋa eta igharaat tau pa malmal, ve iyoon ariaŋa pa ŋginiiŋ ruum toni, nene pale mbeb toni tisob tineep pooi. 
LUK.11.22	Eemoghon ighaze tamtoghon eta to tapiri ilib pa ŋgeu ariaŋa tonenen ila peria toni, ve igham malmal le ilib pani, nene pale iyou mbeb tisob to malmal to ŋgeu ariaŋa tonenen inumeer di ne, toman mbeb toni pida, ve irei di pa ndita. 
LUK.11.23	“Ighaze tamtoghon eta inim toman ghou maau, ye inim koiag. Ve ighaze ŋgeu eta iuul ghou pa lupuuŋ tamtoghon maau, nene pale ireu di timbiriis.” 
LUK.11.24+LUK.11.25	Yesu isaav padi muul: “Ighaze avuvu samia ipul ŋgeu eta ve ighau ila, nene pale iwalaghlaagh izi ndug balim to le ya maau ne, ve ikaal le ina pa ineep pani ve ate izi. Ighaze ikaal le maau, pale isaav pa tau ighaze: ‘You pale namuul nala naŋgig inag muŋgina to napuli ve nanim ne!’ Tovenen ye pale imuul ila. Ighaze ila ivot, ve ighita tizaar ruum lolo, ve tigharaata le paghuna kat, 
LUK.11.26	nene pale ila iyou ndita liim ve ru paam to tilib pani pa ghamuuŋ ŋgar samsamia ne, ve yesŋa timuul tinim tizeev tamtoghon tonenen, ve tineep le tineep kat. Irau tipuli muul maau. Tovenen ye pale isami kat. Muuŋ, nepooŋ toni poia ris. Ve aazne, isami le isami kat!” 
LUK.11.27	Yesu isavia saveeŋ tonene, ve liva eez to ineep ila ival tiina lolodi, imboob ila pani ighaze: “Liva to ipoop ghom ve igham payamyam payom, ye avaat tini iza pa poia to Maaron to iza toni.” 
LUK.11.28	Yesu ipamuul aliŋa ighaze: “Saveeŋ tiom poia. Eemoghon yes to tilooŋ Maaron aliŋa ve titaghoni, nene pale tinidi iza kat pa poia to Maaron to iza todi.” 
LUK.11.29	Sawa tonenen, tamtoghon katindi tiketkeet tila to Yesu. Tovenen ye isaav padi ighaze: “Ndiran to aazne, samsamiadi kat. Pasa, tizuaria di tighaze le tighita mbeb gharatooŋa eta inim ghilalooŋ padi, ghoro tighur ila. Ve mbeb ee moghon kat to pale Maaron ipatooŋa inim ghilalooŋ padi. Ite paam maau. Nene mbeb inimale muuŋ ivot pa sawa to propet Yona. 
LUK.11.30	Yona toman saveeŋ toni inim ghilalooŋ pa tamtoghon to Ninive. Tamtoghon Natu tovene paam. Pale inim ghilalooŋ pa ndiran to aazne. 
LUK.11.31	“Muuŋ, garawaat tidi (o kwin) to igham pooz pa taan suruvu to ineep ila pa daudau pughu ilaagh mala kat inim ighaze ilooŋ ŋgar popoia to kinik Solomon. Ve aazne, mbeb to ilib kat pa Solomon, ivotvot ila lolomim. [Eemoghon yam aghilaala maau.] Tovenen sawa to Mboŋ Muri, ve Maaron ighaze iŋgabiiz tamtoghon ve ighur atia padi, liva tonowen pale imundig toman yam ndiran to aazne, ve ivotia sosor tiam ivot ighazooŋ. 
LUK.11.32	“Yes Ninivea 
LUK.11.33	Yesu isaav muul: “Ighaze tamtoghon eta itun lam, pale iŋgooza, ma ipakudi pa uur? Maau. Pale isaroni iza imonau. Leso ŋguruba igham ndug ighazooŋ pa yes to tilooŋ tila pa ruum. 
LUK.11.34	Mataad, nene inimale lam to ineep ila anoŋaad. Pasa, taghita ghazooŋa pani. Tovenen ighaze matam poia ve ughilaal ghazooŋa to Maaron, nene ipatooŋ ghom ighaze ŋgar to ghazooŋa ivon ila lolom wa. Eemoghon ighaze matam ipis, ve ughilaal ghazooŋa to Maaron maau, nene ipatooŋ ghom ighaze ŋgar to ndoroom ivon ila lolom. 
LUK.11.35	Tovenen upatum ghom. Pa vene, unumeer sorok ughaze ghazooŋa to Maaron ineep ila lolom wa. Eemoghon maau. Lolom ivonvon pa ŋgar to ndoroom sone. 
LUK.11.36	Ighaze ndoroom rita ineep toman anoŋam pida eta maau, ve anoŋam isob itaghon ŋgar to ghazooŋa moghon, nene pale gabuam isob ipatooŋ ghazooŋa to Maaron inimale lam ŋguruba igham ndug ighazooŋ.”
LUK.11.37	Yesu isavsaav, ve ŋgeu eez to tutuuŋ ighasoni ighaze yesuru tila ruum toni ve tighan. Tovenen tilooŋ tila ruum toni, ve mboledi izi pa ghanghaniiŋ. 
LUK.11.38	Ŋgeu tonowen ighita Yesu itaghon tutuuŋ todi to menuuŋ nimadi maau, ve igham aniiŋ ve ighan moghon. Tovenen ruŋa iza ve igham ŋgar naol. 
LUK.11.39	Tiina toit Yesu isaav pani ighaze: “Yam ndiran tutuuŋa animale tamtoghon to imen rubruub dige le iŋgalaaŋ kat. Eemoghon lolo, nene muun inepneep. Pasa, ŋgar to yam aghamgham di ila tamtoghon matadi, nene agharaat di le popoia kat. Eemoghon lolomim, nene ivon pa ŋgar to yubuuŋ ve ŋgar samsamia naol naol. 
LUK.11.40	Yam lemim ŋgar maau! Vena, Maaron ighur mbeb to tineep ghazooŋa moghon, ve ighur mbeb lolodi maau? 
LUK.11.41	Eemoghon ighaze lolomim isamin yes mbolaaŋa ve arei mbeb tiam pida padi, nene pale ŋgar tiam isob iŋgalaaŋ, ve mbeb eta irau igham gham asami ila Maaron mata maau. 
LUK.11.42	“Yam ndiran tutuuŋa, akaria taumim wa! Onoon, ndoor soroksorok to aghagharaat sur pani, nene matamim iŋgalŋgal pa valagiiŋ di tinim ndouŋ saaŋgul, ve aghamgham ndouŋ eŋaeŋa ila pa Maaron. Nene poia. Ŋgar tonenen, apuli malep. Eemoghon tutuuŋ to tintina kat ila Maaron mata, nene lolomim imaghmaagh padi. Tutuuŋ tovene: ‘Uŋgabiiz poian pataŋani to tamtoghon, ve ugharaata le deŋia,’ ve ‘Lolom pa Maaron.’ Tutuuŋ tovene, yam ataghon di paam, ghoro poia. 
LUK.11.43	“Yam ndiran tutuuŋa, akaria taumim wa! Pasa, sawa to yam alooŋ ala rumai, aghaze le aneep ila watiiŋ popoiadi moghon to tighur di pa yes to izadi tintina. Ve ighaze alaagh ila maran ate, aghaze tamtoghon tighita gham, ve tisavia saveeŋ popoia payam inimale pakuruuŋ gham. 
LUK.11.44	Onoon kat, yam akaria taumim wa! Yam animale naal 
LUK.11.45	Ghoro ŋgeu ŋgara eez to tutuuŋ, imundig ve ipamuul Yesu aliŋa ighaze: “Patoŋaaŋ, saveeŋ to yom upiyaava, nene inimale yom uveleg ghei paam!”
