GEN.1.1	Ni fíĉilum fafu, Aláemit nátut fatiya ni ettam.
MAT.17.15	« Ataw, enili erum áᵽurom aloe me gaay ! Nálamelam nár, ban ñammeŋe naloelo ni sambun, ñañuño nalo ni mal. 
MAT.17.16	Niŋallolŋar ik’isen ulagorai, bare gújuut gukanol nahoy. » 
MAT.17.17	Ñer Yésu naah : « Jabbah je jaa bugan gabajut gáinen ! Ukana-galego we ! Bi nay ᵽan íni to ni buru nih’imutenul ? Jiŋallom tale añil ahu. » 
MAT.17.18	No guŋallol o me, Yésu nannur eseytane yay ni sembe, ban néᵽur ni o min ahoy to baenah.
MAT.17.19	Ᵽúrto, ulagoraaw n’gúloful Yésu min gúᵽur jolil, mbiban n’gurorenol guoh : « Wa uĉile wóli jújuut jiham eseytane yauyu ? » 
MAT.17.20	Naagil : « Gáinenul gatiti mee guĉile. Maagen, ínje ilobul yo : jibajen me gáinen garee ti jukol fuyaba, ᵽan jújuen juoh firijaŋ faufua : “Utennor taute bi baaba,” ban ᵽan may fitennor ; mati baj uce wo mati júju jikan. [
MAT.17.21	Ban siseytane sasu sáni me mee, galaw ni baor bare sújue súᵽuren so ni an.]
MAT.17.22	Funah fice, no Yésu ni ulagorol guomme tiñ tanur ni mof mamu maa Gálile, naagil : « Añol Arafuhow ᵽan abeni ni guñen gaa bugan ; 
MAT.17.23	ᵽan gukanol naĉet, bare funah fúfatten ᵽan ailo ni gaĉet me. » Ñer ni mujogil faŋ iki gúgogor.
MAT.17.24	No Yésu ni ulagorol guĉih me Kaᵽerinaum, bugan bugagu gayabe me búalen babu baa gávi-Aláemit n’gulof Ᵽier min guogol : « Afanul til nd’acam búalen babu baa gávi-Aláemit ? » 
MAT.17.25	Naagil : « Nacamecam ᵽe. »
MAT.17.25	No Ᵽier anogen me ni yaŋ yay, Yésu namundum aŋar firim fafu min arorenol aagol : « Simoŋ, aw bu nuᵽinor to ? Uvíaw bugaa mof ni bugay nihi guyab búalen, ni guñolil ter ni sijaora sasu ? » 
MAT.17.26	Naagol : « Ni sijaora sasu ! » Ñer Yésu naagol : « Kan guñolil gulet ni gaᵽin. 
MAT.17.27	Bare jambi uyogenail, ujow uk’ubet gabbut ni fal ; juol jítiar jo nujae me ejoh, úŋabul butum jo : ᵽan utoh ró éralam. Uŋárul yo íkiil usenil butum ínje ni aw. »
MAT.18.1	Ni tinah tautu, ulagoraaw n’gulof Yésu min guogol : « Ay ñer gufaŋ me n’gujoge jálo dó ni Jávi jaju jaa fatiya ? » 
MAT.18.2	Ñer návogul añil ace, aban nailenol n’etulil min aagil : 
MAT.18.3	« Maagen, ínje ilobul yo : jihalut me bakanerul baarat mee min jibbañ jíni ti uñil, mati júmus junogen ni Jávi jaju jaa fatiya. 
MAT.18.4	Yo eĉil me, ánoan ajae me ealenoro ák’áni ti añil ahume, an ahumu ᵽan afaŋ me bugagu ᵽe dó ni Jávi jaju jaa fatiya, 
MAT.18.5	ban ánoan ayabe añil ti ahume ni gajow gúmbam, ínje faŋaom nayabe. »
MAT.18.6	« An ajae me ebet ni gatil hani ace ni miñil me gáinen me n’ínje, an ahumu hóimol guhogol fuval fámah n’ehondor guban n’gútimenol ni fal. 
MAT.18.7	Mof mamu mimmeŋe mataño min waf waw wabele me bugan bugagu ni gatil ummeŋ dó me ! Maagen, ebet ni gatil yauyu eote ebaj ; bare mataño míni ni an ahu ajae me ebet apalol ni gatil.
MAT.18.8	Yo eĉil me ñer, íni me gañeni ter gaali ban guĉili min ulo ni gatil, uᵽirih go ban nubelen go gúralii ; hóimi unogen ni buroŋ babu bábaerit me n’gañen ganur ter gaat ganur, so n’ebaj guñen gúuba ter guot gúuba ban nubeni ni sambun sábaerit. 
MAT.18.9	Mb’íni me jíĉili ban jiĉili min ulo ni gatil, úloĉ jo ban nubelen jo jíralii ; hóimi unogen ni buroŋ babu bábaerit me ni jíĉil janur, so n’ebaj go ᵽoogo mbiban nubeni ni sambun sasu sajeh mee. »
MAT.18.10	« Jíkanum jambi juĉotihen hani ace ni miñil me ! Niegul n’émit emalakail gapoyeil me gujugejuh nánonan buul babu baa Ᵽayom aam dó me n’émit. [
MAT.18.11	Maagen 
MAT.18.12	Bu jiᵽinore ni dáure : Iní me an nabaje ubbarum wono ekeme, mbiban ganur ni wo n’gullim, mati ᵽiaŋ ahato ni gurijaŋ gagu wawu ᵽoowo min ake eliᵽ ganur gagu gallim me ? 
MAT.18.13	Ban, ake me araŋen go, maagen, ínje ilobul yo, ᵽan ásumaet mala go faŋ mala wawu ᵽe wallimut me. 
MAT.18.14	Manur mamu, Ᵽayul aamme fatiya mo namaŋut me may anur ni miñil maume allim. »
MAT.18.15	« Iní me atii natile ni aw, ujow uk’utogol buru éubaul min ugitenol gatilol ; áttuni me, nuffas búoh nubajol atiay. 
MAT.18.16	Bare alat me éttuni, uŋar an anur ter gúuba min jujow jutogol, mamu elob yauyu ᵽan ebaŋi jon bújoŋor bugan gúuba ter gúfaji gamate no elobei me. 
MAT.18.17	Alat me ᵽoᵽ éttunil, ugiten yo jangu yay, mbi ñer aroŋ me n’elat yay, ujogol ti an abajut gáinen, ti ayaba-búalen.
MAT.18.18	Maagen, ínje ilobul yo : wo jijae me ehoh ᵽe n’ettam uhogihoh fatiya uban, ban wo jijae me ejal ᵽe n’ettam ujalijal fatiya uban.
MAT.18.19	Injé ilobul yo itajen búoh : eno gúuba ni buru guunore n’ettam min gulaw waf, Ᵽayom aamme fatiya ᵽan asenil wo, 
MAT.18.20	mata tánotan to bugan gúuba, gúfaji guomunore ni gajow gúmbam, ínje umu to n’etulil. »
MAT.18.21	Ñer Ᵽier nalof Yésu aban naagol : « Ataw, bi ñono butumbu niote iboket atiom o batiler n’ínje ? Ñono futoh ni ñáuba ? » Yésu naagol : 
MAT.18.22	« Ioguti bi ñono futoh ni ñáuba, bare bi ñono úvi gúfaji ni guñen sono futoh ni súuba.
MAT.18.23	Niegul ñer, Jávi jaju jaa fatiya jínini ti nihi baj me ávi amaŋe ánoan n’urokaol agiten ganew gay naogore ni o. 
MAT.18.24	No ávi ahu aalo me eᵽin yay, n’guŋallol arokaol ace aogenol síralam sammemmeŋ, súuli ni súuli
MAT.18.25	Nemme aroka ahumu abajut bi ecam ganew gaugu, ávi ahu naboñ ban gunnomenol, aĉila, aarol ni guñolol, ni ᵽoᵽ wo nabaj me ᵽe, bi ecam ganeol. 
MAT.18.26	Ñer aroka ahu nalo n’ettam, naya gújul bújoŋor ávi ahu, aban naagol : “Avíom, uboket uirigenom, ᵽan icami ᵽe wo niogeni me.” 
MAT.18.27	Aví ahu enilol nerumol bireg naboketol ganew gagu ban nahalol nakay.
MAT.18.28	O n’éᵽurul dó yaŋ ávi ahu, aroka ahu najuh apalol aroka ace aogenol may síralam siman butum ekeme. Nagagol ban naagol : “Ucam wo nuogenom me.” 
MAT.18.29	Apalol ahumu nalo to n’guolol, aban nalaol aagol : “Uboket uirigenom, ban ᵽan icami.” 
MAT.18.30	Bare aĉila amaŋut aun min til aŋarol ák’árur ni fipeh bi no najae me eban elugenol wo naogenol me. 
MAT.18.31	No bugagu uroka gujuh me wabaj me, ni mujogil faŋ bireg n’gujow iki gulob yo ávi ahu. 
MAT.18.32	Ñer ávi ahu naboñ guvogulol aroka ahumu min aagol : “Aw aroka aarat om ! Niboketiboket ganei ᵽoogo mata nulaomlaw gaboket. 
MAT.18.33	Ujúenut may urum apali enil ti ínje irumi me enil ?” 
MAT.18.34	Ñer ávi ahu ni bitiña-fiiñol nasenol úlatiena-bugan gúrur ni fipeh bi no najae me elugen ᵽe wo naogenol me.
MAT.18.35	Mamu Ᵽayom aamme fatiya ajae mee ekan ánoan ni buru o balaler eboket atiol ni biinum bakure. »
MAT.19.1	No Yésu aban me elob gurim gaugu, náᵽur Gálile ajow bi ni mof mamu maa Yúde maamme ñagagu fal fafu fo guvoge me Suruden. 
MAT.19.2	Gútiman gámah n’gulagenol bi bo, ban nasen úsotail gahoy. 
MAT.19.3	Ni baj 
MAT.19.4	Naagil : « Buru jijangaut ni Bahiĉer babu búoh ni buju babu, no Aláemit átul me waf waw ᵽe, náuweuwen arafuhow áni ánaine ni anaare
MAT.19.5	Mbiban naah : “Yo eĉil me ánaine ᵽan áᵽur ahat ᵽayol ni jaol min ak’aĉin bugo n’aarol, ban ñer bugo gúuba n’gúbbañul gúni enil yanur
MAT.19.6	Mamu, mati gubbañ gúni bugan gúuba, bare an anur. Kan arafuhow jambi ñer áfaculor wo Aláemit ajogor me. »
MAT.19.7	N’guogol : « Ñer wa uĉile 
MAT.19.8	Yésu naagil : « Eakul uinum eĉile min Móis ájiul min júju jiham waarul, bare ni fíĉilum fafu níenut mee. 
MAT.19.9	Injé ilobul yo : ánaine aham me aarol mbiban nayab ace, íni let mala ekan wo búyabo bífiren me náhamumol, áine ahumu natile gatil gaa búyabo. »
MAT.19.10	Ñer ulagorol n’guogol : « Eno dáuru duomme gailo ánaine bi ni aarol, kan gayabut gufafaŋ jáari. » 
MAT.19.11	Yésu naagil : « Let bugan bugagu ᵽe gújue guyab firim faufu, bare bugagu bugo Aláemit asen yo me, bugo bareil. 
MAT.19.12	Baje waf wammeŋe wájue uĉil ánaine nanamo to m’bayabut : guce súfurah gom kábiriŋ dó ni gar sijail ; bugagu ni bakaner baa bugan bugagu gúnium mo ; bugaguil gulalat búyab min mbi gúju gurok mala Jávi jaju jaa fatiya. An áju me ayab wo gurim gauge gulob me, ayab wo. »
MAT.19.13	Ᵽúrto, ni baj bugan gúŋarul uñil min mbi Yésu arembenil guñenol min alaw molil. Bare ulagoraaw n’gunamo ennuril. 
MAT.19.14	Ñer Yésu naagil : « Jihat uñiaw n’gújoul mbal ínje ! Jambi jífirenil yo, mata Jávi jaju jaa fatiya bugan bugagu gáni me ti bugo guĉil jo. » 
MAT.19.15	Narembenil guñenol, aban náᵽur to akay.
MAT.19.16	Funah fice, ni baj ace áine alof Yésu naagol : « Aligena-bugan ahu, maaro may níarie ikan min ibaj buroŋ bábaerit ? » 
MAT.19.17	Yésu naagol : « Wa uĉile nurorenom mala waf waw wáari me ? An anur bare áarie. Eno maagen mamu numaŋe enogen ni buroŋ babu bábaerit me, úkanum gúboñ gagu. » 
MAT.19.18	Naagol : « Gay go ? » Yésu naagol : « Jamb’umuh an ; jamb’ufilen anaare o jíyavut ; jamb’úkuet ; jamb’ubij uteh apali ; 
MAT.19.19	úkanum ᵽai ni jai, ban núbboli apali ti núbboli me fuhoi. » 
MAT.19.20	Aíne ahu naagol : « Dáuru ᵽe níkanumdokanum. Wa uroŋom bo ñer ekan ? » 
MAT.19.21	Yésu naagol : « Umaŋ me úni an árire bújoŋor Aláemit, ujow uk’unnomen wo nubaj me ᵽe, uban nuŋar síralam sasu usen galeh me ; mamu ᵽan ubaj fubaj n’émit. Ukan mo, mbiban nújoul ulagenom. » 
MAT.19.22	No áine ahu aun me gurim gaugu, ni mujogol ak’ailo ajow akay, mata fubaj fámah nabaje.
MAT.19.23	Ñer Yésu naah ulagorol : « Maagen, ínje ilobul yo : táñitañi nár asanum enogen ni Jávi jaju jaa fatiya. 
MAT.19.24	Nífaro iogul, faŋe ésum eñokombo enogen ni gasun éguje éᵽur babu asanum enogen ni Jávi Aláemit. » 
MAT.19.25	No ulagorol guun me gurim gaugu, n’gujahali faŋ bireg n’guoh : « Ay ᵽiaŋ ñer ájue ayab gaᵽah ? » 
MAT.19.26	Yésu nalujil aban naagil : « Ni bugan bugagu dáuru júut kano, bare n’Aláemit waf waw ᵽe újue ukano. »
MAT.19.27	Ñer Ᵽier naŋar firim fafu min aagol : « Uluj, wóli hum ubuge min jihatulo wafóli ᵽe min jilageni, wa jijae to ñer ebaj ? » 
MAT.19.28	Yésu naagil : « Maagen, ínje ilobul yo : no 
MAT.19.29	Ban ánoan ahale yaŋol, gutiol, gúlinol, ᵽayol, jaol, guñolol, ettamol múmbam, ᵽan ayab meŋ iki an mát’áju aᵽin. Ban ᵽoᵽ Aláemit ᵽan ajisol buroŋ babu bábaerit me. 
MAT.19.30	Jiffas búoh gammeŋe ni bugan bugagu gaamme gútiar ᵽan gúbbañul gúni gúsola, ban may gammeŋe ni gaamme gúsola ᵽan gúbbañul gúni gútiar. »
MAT.20.1	Yésu natajen aah : « Jávi jaju jaa fatiya maa jínie : baje an ala ettam ace áᵽuraliulo tima naliᵽ uroka bi ni 
MAT.20.2	No najuh me guce, najamor ni bugo bi ecamil bacam babu baᵽi me nihi bucami an aroke etufunaha ek’ebao lám, aban naboñil bi ni gafat gagu gal úbiñu waw. 
MAT.20.3	No tinah titebulo me maa, náᵽurul ban najuh uroka guce min gunave ni furobo ésuh yay fámah, m’balet n’ekan wáfowaf. 
MAT.20.4	Naagil : “Buru ᵽoᵽ jujow iki jurok n’gafat úbiñu waw úmbam, ban ᵽan isenul wájahor me ni burok ti bo.” 
MAT.20.5	Ñer bugo may n’gukay mbal úbiñu waw. No tinah tirih me ni ᵽoᵽ no títigo me, afan ahu nabbañ áᵽurul ak’akan manur mamu ni uroka guce. 
MAT.20.6	Tiname mul, nabbañ áᵽurul ban najuh mul uroka guce gurobo to m’balet n’ekan wáfowaf. Ñer naagil : “Wa uĉile n’jinamo tale iki tujon m’bakanut wáfowaf ?” 
MAT.20.7	N’guogol : “Jibajut an aŋaróli burok.” Naagil : “Kan buru may jujow iki jurok ni gafat úbiñu waw úmbam.”
MAT.20.8	No nuĉiga me gállim, afan ahu naah afan urokaol : “Uvógul urokaaw min ucamil ; mb’újogumul n’úsola waw uk’uban n’útiar waw.” 
MAT.20.9	Ñer gajoulo me tiname n’guĉigul ; n’guyab ánoan bacam babu bal an aroke funah. 
MAT.20.10	Mb’uĉiga búsol, útiar waw n’guĉigul. N’gaᵽinoril ᵽan guyab faŋ to, bare may n’guyab ánoan bacam babu banur babu. 
MAT.20.11	No ubuge guyab me guban ánoan bacamol, n’gúmumunor mala wo afan ahu akanil me, 
MAT.20.12	bireg n’guogol : “Jíeh ! Usólaaw min gurok me ᵽiout, bare wóli jayoh me n’jijen kábiriŋ m’bujom bi gállim, nucamóli jireen ni bugo !” 
MAT.20.13	Ñer afan ahu naah ace ni bugo : “Apalom, ikanuti waf wáhojie. Ujamoruta mala ecami bacam baa funah fanur ? 
MAT.20.14	Uŋar bacam ejeni min ujow. Injé imaŋe isen ásola ahu areen n’aw. 
MAT.20.15	Ijúut ᵽiaŋ ikan ni fubajom wásumom me ? Ter ban ulujom jíĉil jaarat mala músum mo nísume ?” »
MAT.20.16	Bi éuñen búnogor babu, Yésu natajen aagil : « Mamu, úsolaaw ᵽan gúbbañul me gúni útiar, min útiar waw gúbbañul gúni úsola. »
MAT.20.17	No gulo me m’bulago bi ejow mbaa Yérusalem, Yésu navoh ulagorol gúᵽur jolil min aagil : 
MAT.20.18	« Juutten, wolal ubugi n’ejow mbaa Yérusalem, ban 
MAT.20.19	ban ᵽan gubenol ni guñen gaa bugan bugagu galet me Esúif min mbi gúfohulorol n’gutegol gusoh ban n’gubbaŋol n’ekurua. Bare funah fúfatten ᵽan ailo ni gaĉet me. »
MAT.20.20	Ni tinah tautu, aar Sebede n’úᵽurol dó nalof Yésu, aban náñuᵽ bújoŋorol bi écinol waf uce. 
MAT.20.21	Ñer Yésu naagol : « Wa numaŋe ikani ? » Aare ahu naagol : « Ulob gaa búoh úᵽurom ubuge gaam maa gúuba mbi gurobo to n’aw, ahu n’gañeni gárib, ahuo n’gamai, no nujae me erobo ni Jávii. » 
MAT.20.22	Ñer Yésu naagol : « Buru jiffasut wa juom n’écin. Jújue ᵽiaŋ jirem éremuma yay yaa sílam yo ínje ijae me erem ? » N’guogol : « Ey, jújue jirem yo. » 
MAT.20.23	Naagil : « Maagen, ᵽan jirem éremumaom ; bare mala erobo ni gáribom ni gamayom, yo, let ínje iĉil yo esen : gurobo gaugu gubaŋibaŋ bi ni bugo Ᵽayom acokor go me. »
MAT.20.24	No uᵽotoraaw bugagu gaamme guñen guun me gurim gaugu, súmutil ni batiay babu gaamme gúuba. 
MAT.20.25	Ñer Yésu navogulil bugo ᵽe, aban naagil : « Jiffase búoh ufan súsuh sasu guogenesowogen ni sembe ró, bugan bugagu búgamah gúvafenevafen n’eogen so. 
MAT.20.26	Jambi ní mo ni buru. Anóan ni buru amaŋ me gujogol an ámah, amundum áni aroka olul ; 
MAT.20.27	ánoan ni buru amaŋ me éni átiar, áni arokaul buru ᵽe. 
MAT.20.28	Mamu may, Añol Arafuhow najoulo mee, let min mb’abaj umigel, bare til min mbi aĉila faŋaol áni amigel ban nasen buroŋol bi eallor buroŋ bugan gammeŋe. »
MAT.20.29	No Yésu ni ulagorol gúᵽur me ésuh yay yo guvoge me Sériko, fítiman fámah ni fulagenil. 
MAT.20.30	Ni baj úpima gúuba garove n’galam bulago babu. No guun me búoh Yésu aam n’égat, n’guoh fatiya : « Ataw, Añol David, enili erumóli ! » 
MAT.20.31	Bugan bugagu n’gunamo ennuril tima n’guᵽanor, bare bugo n’gufaŋ n’gúᵽibe fatiya guoh : « Ataw, Añol David, enili erumóli ! » 
MAT.20.32	Ñer Yésu nailen, aban navogulil naagil : « Wa jimaŋe ikanul ? » 
MAT.20.33	N’guogol : « Ataw, ukanóli min jibbañ jujuh. » 
MAT.20.34	Enilol nerumil min ñer agor gúĉilil. To baenah, úpimaaw n’gujuh, ban n’gunamo elagenol.
MAT.21.1	No Yésu ni ulagorol gulof me Yérusalem iki guŋanden ésuh yay yo guvoge me Betufage, yaamme n’gacaĉ firijaŋ fafu fo guvoge me fal 
MAT.21.2	« Jujow bi n’ésuh yauyu yaamme gayoŋul ; jiĉih me, ᵽan jifaen jujuh asum yaare yo guhoge ni juñol yo ró ; jíjalul so jiŋallom. 
MAT.21.3	An arorenul me, n’juogol : “Ataw asohola so.” To baenah, ᵽan ahalul n’jíŋarul so. » 
MAT.21.4	Ban dáuru ᵽe dibabaj min mbi wo Aláemit alob me ni butum aboñer ahu ukano, no naah me :
MAT.21.5	« Juoh bugaa 
MAT.21.5	Juluj, áviul umu ájaeul mee mbaa buru,
MAT.21.5	abubi, min arembore ni asum,
MAT.21.5	ni juñol asum, juñol ehaj yaᵽulene bíteb
MAT.21.6	Ñer ulagoraaw gaamme gúuba n’gukay ban ni gukan wo Yésu aboñil me. 
MAT.21.7	N’gúŋarul asum yay ni juñol yo, guban n’guremben újuoil ni so, mbiban Yésu narembor ni wo. 
MAT.21.8	Gammeŋe ni fítiman fafu ᵽoᵽ n’gutal újuoil ni bulago babu ; guceil n’gúfaĉul uan n’ununuh waw gutalen ni bulago babu. 
MAT.21.9	Ñer bugan bugagu ᵽe gátinene me Yésu, újogum ni gayab me gayoŋ bi ni garukeneol me, nihi guya uŋan guoh :
MAT.21.9	« 
MAT.21.9	Aláemit ásonien an ahu ájaeul me ni gajaol !
MAT.21.9	Hosanna bi ró fatiya
MAT.21.10	No Yésu anogen me Yérusalem, ésuh yay ᵽe negoror bireg bugan bugagu nihi guroren guoh : « Bare dáuru ay aamme ? » 
MAT.21.11	N’guogil : « Dáuru Yésu, aboñer ahu áᵽullo me Nasaret babu Gálile. »
MAT.21.12	Ᵽúrto, Yésu nanogen ni 
MAT.21.13	Aban naagil : « Aláemit naage ni Bahiĉer babu : “Yaŋom ᵽan guvoh yo yaŋ yaa galaw
MAT.21.14	Mbiban, ni baj úpima ni bugan gahaje gujow gutogol to naamme dó ni gávi-Aláemit gagu, ban nasenil gahoy. 
MAT.21.15	Bare ufan uteŋenaaw ni úᵽajula gúboñ Aláemit bugagu, no gujuh me waf wauwu wajureruti mee wo nakan me ni ᵽoᵽ uñiaw gaŋane ró me nihi guoh « Hosanna Añol David », ni mujogil 
MAT.21.16	bireg n’guogol : « Nuune wo uñiaw ubugi gulobe ? » Yésu naagil : « Ey, niune. Júmusut jijanga gurim gagu gaah me : “Nukane min gasali gúᵽurul n’utum uñiaw, hani ni waa uñil-guboŋ
MAT.21.17	Mbiban nahalil to min áᵽur ésuh yay ajow bi Betani ak’akan bo efuga yay.
MAT.21.18	Tihalen fo ni bujom, no Yésu ábbañeul me mbaa Yérusalem, bieb m’bujogol. 
MAT.21.19	O n’éjoul yay, najuh 
MAT.21.20	No ulagoraaw gujuh me dáuru, n’gujahali bireg n’guoh : « Bare bu jáorum me bífig babu m’bufaen buhay to baenah ? » 
MAT.21.21	Ñer Yésu naagil : « Maagen, ínje ilobul yo : íni me jibaje gáinen mbiban jitehumorut, let wabaj me bífig baubu bare ᵽan júju jikan, bare ᵽoᵽ juoh me firijaŋ faufu : “Utennor to nuomme uk’ulo ni fal !” Ᵽan kano. 
MAT.21.22	Wáfowaf wo jijae me écin ni galaw ni gáinen dó, ᵽan jiyab wo. »
MAT.21.23	Ᵽúrto, Yésu najow bi ni gávi-Aláemit gagu. No naamme n’eligen bugan bugagu, ufan uteŋenaaw ni ufan Esúif yay n’gúkail guogol : « Ni sembe say nukane mee waf wauwu ? Ay aseni so ? » Yésu naagil : 
MAT.21.24	« Injé may ban irorenul eroren yanur pat, ban íni me jíbalom, ᵽan may ilobul ni sembe say nikane mee waf wauwu. 
MAT.21.25	Yoo, sembe sasu saa gábatise so Saaŋ Batis abaj me, bay súᵽullo : n’Aláemit ter ni an ? » N’gunamo ébahulor bugo bareil guoh : « Uogal me n’Aláemit sujoumulo, ᵽan aagolal : “Ñer wa uĉile jíinenut ni o ?” 
MAT.21.26	Ban may uogal me ni an sujoumulo, haa... ! Fítiman fafu ᵽan fúbbañul bi ni wolal, mata bugo ᵽe gujojoh Saaŋ ti aboñer. » 
MAT.21.27	Ñer n’guoh Yésu : « Wóli jiffasut. » O may naagil : « Kan ínje may mat’ilobul ni sembe say nikane mee waf wauwu. »
MAT.21.28	Mbiban Yésu naagil : « Aᵽaa julobom : Baje ace áine abaje úᵽur gúuba. Naah átiar : “Añúm, jama ujow uk’urok ni galagom.” 
MAT.21.29	Naagol : “Imaŋut,” bare búsol nateh mahat min ajow. 
MAT.21.30	Nábaho mbal áutten ahu nalobol elob yay yanur yay. Ahume naagol : “Ᵽayom, nimaŋe, ᵽan ijow,” bare aban akait bo. 
MAT.21.31	Ni buru ñer, ay ni bugo gúuba akane wo ᵽail amaŋ me ? » N’guogol : « Atíar ahu. » Ñer Yésu naagil : « Maagen, ínje ilobul yo : uyaba-búalen bugagu ni sujobu sasu ᵽan guyabul gayoŋ ni Jávi jaju jal Aláemit. 
MAT.21.32	Maagen Saaŋ Batis najoulo mbaa buru bi egitenul bulago babu baĉol me, bare buru jíinenutol. Uyaba-búalen bugagu ni sujobu sasu, bugo gúinenolyinen, ban buru jamat yo me hani búsol jitegut mahat min jíinen ni o. » 
MAT.21.33	Yésu natajen aah : « Juutten ᵽaa mul búnogor be : Baje ala ettam ace aroge 
MAT.21.34	No tinah tulofulo me tal ealen mitiñ mamu, naboñ urokaol bi ni gaogen me úbiñu waw bi éyabul fugabol. 
MAT.21.35	Bare ucokora-bíñu bugagu n’gujoh urokaaw, n’guteh átiar, áutten n’gumugol, áfatten, o, n’gutegol sival ak’aĉet. 
MAT.21.36	Ala gafat gagu nabbañ aboñ uroka guce gafaŋe jammeŋ útiar waw. Bare gaogen me úbiñu waw n’gukanil manur mamu.
MAT.21.37	Búsol, naboñ áᵽurol mbaa bugo ni gaᵽinor gagu ró gaa búoh nemme añolol om, ᵽan gúkanumol. 
MAT.21.38	Bare no gujuh me áᵽur ahu o n’éjoul, n’guogoro : “Umu aĉil me gafumol. Ujaal umugalol, mamu gafumol ᵽan gúbbañul gúni gololal.” 
MAT.21.39	Ñer n’gujogol gúful gúᵽuren tíyaŋ gafat gagu, guban n’gumugol.
MAT.21.40	Ñer maer ban irorenul : no ala gafat gagu ajae me éolul, bu najae me ekan ubugu gaogen me úbiñu waw ? » 
MAT.21.41	N’guogol : « Ᵽan amugil hóji, bugan bugaubugi gaarat mee, aban ᵽan ábahen gafat gagu asen uroka guce guogen, gajae me esenol fugabol mitiñ mamu baaler. »
MAT.21.42	Yésu nabbañ aagil : « Baje Bahiĉer baage :
MAT.21.42	“Ebírih yay yo uteᵽaaw gujunden me,
MAT.21.42	yo ebbanno me éni yáamumma, yaĉil me yaŋ yay.
MAT.21.42	Dó ᵽe búkanum bal Ataw ;
MAT.21.42	ban ni wolal kakan waf wámah
MAT.21.42	Bahiĉer baubu, júmusut jijanga bo ?
MAT.21.43	Yo eĉil me, ínje ilobul yo : Aláemit ᵽan aram Jáviol ni buru ábahen asen bugan guce gajae me eroŋ buroŋ bájahore. [
MAT.21.44	Anóan ajae me eloŋen ébirih yauyu ᵽan alebbor, ban may ánoan o ejae me elo ni o, ᵽan epulujol.]
MAT.21.45	No ufan uteŋenaaw ni 
MAT.21.46	ñer n’gumaŋen ejogol, bare n’gúholi fítiman fafu, mata bugan bugagu gujogoljoh ti aboñer.
MAT.22.1	Yésu nabbañ aŋar búnogor nalob ni bugo naagil : 
MAT.22.2	« Jávi jaju jaa fatiya maa jínie : baje ávi ace aam n’ekan gaggan búyab áᵽurol. 
MAT.22.3	Aví ahumu naboñ urokaol guke évogul bugan bugagu bugo nalob me búyab babu ; bare n’gulat éjoul. 
MAT.22.4	Nabbañ aboñ uroka guce iki guoh gavogi me : “Nísile iban ; síbeom ni sihajom safat me sumugi siban, waf waw ᵽe úrire, jújoul bi fitiñ fafu !” 
MAT.22.5	Bare gavogi me gúkanumut gavoh gagu min til gujow bulagoil gukay, ahu mbaa galagol, ahuo mbaa funnomenol, 
MAT.22.6	bugaguil n’gujoh uroka ávi ahu gúlatien guban n’gumugil.
MAT.22.7	Ñer ávi ahu fiiñol ni fitiñ min aboñ ekosombilol iki gunemen umuga-bugan bugaubugi, guban n’guremen ésugil. 
MAT.22.8	Aban naah urokaol : “Esíl yay ebae, bare gavogeni me gutogut eyab gavoh gaugu. 
MAT.22.9	Jujow ñer bi n’újalingenor ulago waw, ban ánoan o jijae bo me ejuh juvogulol ákail fitiñ fafu.” 
MAT.22.10	Ñer urokaaw n’gutey ulago waw ᵽe iki gúomenul bugan bugagu ᵽe bugo gutoh bo me, gáari me ni gaarat me, ban baŋ babu baa fitiñ fafu ni bimmeŋ kab bugan.
MAT.22.11	No ávi ahu anonulo ró me bi ejuh sijaoraol, naŋanden dó ace áine asimoe bisimo balet baa gaggan gaugu. 
MAT.22.12	Najow ak’atogol to naagol : “Abugeom, aw bu nunonulo dáre aw m’basimout bisimo baa gaggan gauge ?” Aíne ahu butum bilet. 
MAT.22.13	Ñer ávi ahu naah urokaol : “Jujogol, juhoh guñenol ni guolol, mbiban n’júᵽunnol jibelen tíyaŋ n’emoĉ yay baamme ukoŋ ni ejoh émiremma.” »
MAT.22.14	Bi éuñen búnogor babu, Yésu natajen aagil : « Ey, gammeŋe guvogi, bare bugan guman guĉobi. »
MAT.22.15	Ᵽúrto, Eᵽárisie yay n’gujoj bi ejuh bu gujae me ekan min gujoh Yésu ni baloberol. 
MAT.22.16	Ñer n’guboñ guce n’ulagorail bi ni o, manur ni guce bugaa gayoŋ gagu gaa Herod. No guĉih me, n’guogol : « Afanóli, jiffase búoh aw an om ala maagen, ban nuligeneligen bulago Aláemit ni maagen dó m’báhollut ánoan, mata ulujérit ni uul bugan bugagu. 
MAT.22.17	Ulobóli ᵽaa ñer ter sesen min búalen bucami ávi ahu ámah ahu 
MAT.22.18	Bare nemme Yésu naffase gaᵽinoril gaarat mee, naagil : « Bugan ge gálodit maagen, wa uĉile n’jimaŋ eralom gabbut ? 
MAT.22.19	Jiŋallom ᵽaa éralam yay yo nihi jiŋar me n’jicam búalen babu ! » N’guŋallol yanur. 
MAT.22.20	Narorenil aagil : « Buul baube ni gajow gauge sal ay ? » 
