MAT.1.1	Gëtabu ga mwango wamwa Yesu Kiristo, mwana wamwa Daudi, mwana wamwa Iburahamu. 
MAT.18.33	naa ëtigunoneyena veenoo umwoonea uvavi mutumami muuyako mwino naa nene nangoonea veve uvavi?’ 
MAT.18.34	Uvii, müküü wasuu agakheefa ino, agamuduya mutumami wasuu akhasiwe faka faafo nëwamërëfa hirë oong'e. 
MAT.18.35	Na Tata wanë nëwëëgirunde ugumutendea nyenye uvii uvii mwino muu umwe wanyu nëatiumurekea mahutye muunaakwe gwa nkhoo akwe oong'e.”
MAT.19.1	Yesu nënaawadaha urëghëtya nkhani yasii agadua uGalilaya, agenda umukoa wa uYudea, gitumbë ra uyongo ra uYoridani. 
MAT.19.2	Antu vingë vëgamuhonga kuuko, mweesonoo agavaforya. 
MAT.19.3	Afarisayo vëgëtuunga vëgamuhanga, vëgamuwëëya gwa umukwatya, “Wurë, inoneyena mughosya umureka mukhemaakwe gwa intu gëkaku?” 
MAT.19.4	Yesu agavasucha, “Wurë, mwinasomaa mu Maandëko në Meruna mwino Muungu agamutunda muntu ufuma mwandyo agamutenda mughosya nanë mukhema, 
MAT.19.5	na, agahanya: ‘Gusoko ësëë mughosya ugumureka tata ina yiu wakwe veeso vavëë noo vëutendeka mwëërë rumwe.’ 
MAT.19.6	Gwa uvii veesonoo ti vavëë kangë ëgweeso mwëërë rumwe. Uvii, në Muungu wagikhuvëye, mwaamuntu atagëtemanuee. 
MAT.19.7	Ëgweeso veeso vëgamwëëya, Gusokokë, uvii, Musa agaguraghëya mukhema afewe rëandëko ra urekwa?” 
MAT.19.8	Yesu agasucha, “Musa agamuyanjëya muareke akhema vanyu gusoko a ukaku wa nkhoo yanyu. 
MAT.19.9	Ëgweeso naa ëtiwuu ufuma mwandyo. Uvii, nene namwëëra, nyenye gëkaku muntu nëwamureka mukhemaakwe, nësa ti gusoko a üfümbu, waroghoa mukhema ungëja, walehadaa.”
MAT.19.10	Asëywi vakwe vëgamwëëra, “Nësa në mantu a mughosya nanë mukhemaakwe ëuwuu, bahu udëa uroghoa sufu.” 
MAT.19.11	Yesu agavëëra, “Ti voong'e nëvëudaha urëmanya na urëkwatëëra isëyo ërëë, ëgweeso vasaa gutufu nëvafewe na Muungu. 
MAT.19.12	Ëgweeso vërëfo nëvëtina ughosya unë vatendekie uwuu ufuma ufafwa, na vërëfo nëvëtina ughosya unë vatendekie vëtina ughosya gusoko a antu, na vërëfo në vëtina ughosya une vatendekie gwa veeso aghonjo vëtina ughosya gusoko a utemi wa girunde. Mweeso unë ugudaha urëghenyifa ërëë, mweeso nëarëghenyife.”
MAT.19.13	Antu vëgamweetea Yesu ang'ënya anyuughuu avatendëe mëkhono na uvarombea. Ëgweeso asëywi vëgaakenea antu. 
MAT.19.14	Ëgweeso Yesu agahanya, “Vareki ang'ënya vasaa vije kunë nee, taja muvaghëëye, gusoko gwa vasaa nëvëë mwino ang'ënya avaa Utemi wa girunde uu wawe.” 
MAT.19.15	Uvii, agavatendea mëkhono agenda kunë winjë.
MAT.19.16	Muntu umwe agamuhanga Yesu, agamuwëëya, “Musëyi, ntende intuke në ija nëuhange ufanga wa khae na khae?” 
MAT.19.17	Yesu agamwëëra “Asikë nëugumbwëëya intu nëija? Urëfo umwe gutufu nëmuja. Nësa ugufenja gingëa mu ufanga kwatëëra maraghëëyo.” 
MAT.19.18	Muntu wasuu agamuwëëya, “Maragheeyo nëafe?” Yesu agahanya, “Utauraghee, utalehadee, utaivee, utafunyee usudangi wa weegheeghe, 
MAT.19.19	vakurye ho ina yiu wako, na, muyanjë munyafifë wako mwino wianjëte veve mughonjo.” 
MAT.19.20	Mubalanda wasuu agamwëëra, “Asaa oong'e nayakwatëëre udua ung'ënya wanë, itungwee nëtende ntuni ëngë?” 
MAT.19.21	Yesu agamwëëra, “Nësa ugufenja utendake wëë muja, enda mërinje maari ako uvafe atuki, veenoo ugutendeka wina mpamba girunde, faafo njuu ung'onge.” 
MAT.19.22	Mubalanda wasuu nënaa wategheeya asaa agenda kunë winjë wina uvavi, gusoko naa wina maari nyingë.
MAT.19.23	Faafo Yesu agavakhanëa asëywi vakwe, “Tutë namwëëra ëgutendeka gukaku ino gwa mughwarë gingëa mu utemi wa girunde. 
MAT.19.24	Kangë ngumwëëra, uu gooro nanguu gwa ndoghwe ukëra mu njululi ra sëndano ukëra gwa mughwarë gingëa mu utemi wa girunde.” 
MAT.19.25	Asëywi vasaa nënaa vategheeya uvii vëgataka, vëgamuwëëya, “Uvii uu anyu nëudahite utyoekahe?” 
MAT.19.26	Yesu agavararaava, agahanya, “Gwa mwaamuntu intu ërëë rëtiudahëka, ëgweeso kunë Muungu mantu oong'e ëgudahëka utendeka.”
MAT.19.27	Faafo Fetero agahanya, “Naanë see wurë? Gwarekie oong'e gwaguhonga vee guuhanga ntunihe?” 
MAT.19.28	Yesu agavëëra, “Ngumukhanëa tutë, Mwaamuntu nëikwë wëkhaa mwitumbë ra utemi ra üküü wakwe mu urëmi nëufya, nyenye nëmwang'ongie nee mugëkhaa mu matumbë ikumi na avërë muyëramuiya ndughu ikumi na ivëë ya Isiraeli. 
MAT.19.29	Na, muu wasuu nëwarekie khaya, mbesa aunakwe, mba ahaja, mba ihe, mba nyinya, mba vana, mba mëunda gusoko a rina rane, uguhanga mëhënjo ighana na ugusaa ufanga wa khae na khae. 
MAT.19.30	Gweeso, në va mwandyo vëutendeka va umpëo, na va umpëo vëutendeka va mwandyo.”
MAT.20.1	“Gusoko utemi wa girunde wikweti na munya khaya unë agafuma diu në nkuu ufenja anyamwëëmo va urëfa vende utenda mwëëmo u mughunda wakwe wa mësabibu. 
MAT.20.2	Vëgëyanjëya inaawe uvarëfa gënyamwëmo ga itiku (gwa dinari imwedu). Faafo agavatoa mu muunda wakwe wa mësabibu. 
MAT.20.3	Agafuma saa agatatu, agavoona vangëja vimëkië usokoni, vëtina mwëmo. 
MAT.20.4	Agavëëra: Endi nyeenoo mwende utenda mwëmo mu muunda wa mësabibu, neenoo ngumufa gënyamwëmo ganyu! 
MAT.20.5	Uvii, vëgeenda. Munya muunda wasuu agadua kangë saa a mutandatu na saa a kenda, agatenda uvii uvii. 
MAT.20.6	Nanë itungo ra saa ikumi na ëmwe, agadua kangë, agavahanga antu vangëja vimëkie faafo usokoni. Uvii, agavawëëya: ‘Asikë nëmwimëkie afaa mumwë woong'e mutina mwëmoo?’ 
MAT.20.7	Vëgamusucha: ‘Gusoko gutie muntu nëwagufaa mwëmo wa urëfwa.’ Mweeso agavëëra, ‘Endi nyeenoo noo mwende utenda mwëmo mu muunda wa mësabibu.’”
MAT.20.8	Nënaa yuva raharëa, munya muunda wasuu agamwëëra munya ughondanëya mpamba wakwe: “Vataane atendamwëmo uvarëfe gënyamwëmo gawe, andëya na awoo va umpëo ufëwa mwëmo, na umarëye na awoo va mwandyo. 
MAT.20.9	Uvii, vëgaja awoo nënaavafewaa mwëmo itungo ra saa a ikumi na ëmwe, vëgahanga mu muntu gënyamwëmo ga itiku (dinari ëmwedu). 
MAT.20.10	Awoo va mwandyo nënaavafika, naavëiye vëufewa hela nyingë nanguu, ëgweeso nanë veesoonoo vëgafewa mu muntu gënyamwëmo ga itiku. 
MAT.20.11	Vëgaihora hela yawe, vëgaandya umunang'ana müküü wasuu. 
MAT.20.12	Vëgahanya: ‘Antu avaa nëajavafewaa mwëmo itungo ra umpëo vatendaa mwëmo gwa itungo ra saa ëmwedu gutufu asikë ugugutendea sese gwa ugwining'anëya na veeso chu sese gwaghimëëya mwëmo nëukaku gwa itiku na yuva ikharë?’ 
MAT.20.13	Faafo müküü wasuu agamusucha umwe wawe: ‘Mbuyanë, ntinagufenea intu! Wurë, aja gwënagiyanjiya ginako gënyamwëmo ga itikuna? 
MAT.20.14	Hora tutë ako, enda kunë winjë. Nëanjëte umufa uyuu nëwaumpëo mwino veve. 
MAT.20.15	Wurë, ntinoneyëna utenda na mari anë mwino nëanjëte?’ 
MAT.20.16	Yesu agadaha urëghëtya gwa uhanya, ‘Uvii, va umpëo vëutenda va mwandyo na va mwandyo vëutenda va umpëo.’”
MAT.20.17	Yesu nënaa winjë uYerusalemu, agavahora asëywi vakwe vasaa ikumi na vavëë umpëo, na munjëa agavëëra, 
MAT.20.18	“Tegheeyi! Gwinjë uYerusalemu na kuuko Mwaamuntu ugutendewa umëkhono a akumbëki aküü nanë asëyi va Seria, veesoo noo vëumuramuëya auraghwe. 
MAT.20.19	Vëumutoa gwa antu në va ndughu ingëja iisëywe, akhuwe makhotya na ukhomwa, ëgweeso itiku ra gatatu ugufetyëwa.”
MAT.20.20	Faafo nyinya wa vana vamwa Sebedayo agamuhanga Yesu itambëëmwe na vanaakwe, agatungama usonge akwe kunu ugumuromba intu. 
MAT.20.21	Yesu agamuwëëya, “Ugufenja ntunihe?” Mukhema wasuu agamwëëra, “Vëka iraghano mwino vanaanë avaa vavëë vëgikhaa umwe uvaru wako wa gëlëlo na ungëja uvaru wako wa gëmoho mu utemi wako.” 
MAT.20.22	Yesu agasucha, “Mutighune muuromba ntuni. Wurë, muudaha unywea gakuu ga makhasëko nëngugënywa nenena?” Vëgamusucha “Guudaha.” 
MAT.20.23	Yesu agavëëra, “Tutë muunyweera gakuu ganë, ëgweeso gikhaa ugëlëlo namba ugëmoho ganë, ti mwëmo wanë uning'anëëya intu rësëë vëufewa vasaa nëvavëkëywe na Tata wanë.”
MAT.20.24	Asëywi vangëja avoo ikumi nënaa vategheeya asaa, vëgavakheefea vauna vavëë vasaa. 
MAT.20.25	Uvii Yesu agavataana, agavëëra, “Mumanyie mwino atemi va antu në ti Ayahudi vëuvibalaa antu vawe gwa nguu na aküü vasaa vëuvikheeraa na uvatenda mari awe. 
MAT.20.26	Ëgweeso kunë nyee itatendekee uvii, ëgweeso gëkaku muntu nëugufenja utenda müküü mukhatë anyu inoneye atendeke mutumami wa voong'e, 
MAT.20.27	na nëugufenja utenda wa mwandyo mukhatë anyu inoneye atendeke mutumami wanyu. 
MAT.20.28	Uvii uvii, Mwaamuntu inajaa utumamëwa ëgweeso utumama na ufunya uduvi wakwe utendeke ikumbëko ra antu vingë.”
MAT.20.29	Yesu nënaa ufumie uYeriko, mwirundo üküü wa antu ugamuhonga. 
MAT.20.30	Uvii, naa gwina afoku vavëë vikhee umpëo a njëa, na nënaa vategheeya mwino Yesu naa ukëëre faafo, vëgaanga: “Müküü, Mwana wamwa Daudi, uguonëee uvavi!” 
MAT.20.31	Mwirundo usuu wa antu ugavakenea na uvëëra vëkire. Ëgweeso veeso vëgafwaghëëra gwaanga: “Müküü, Mwana wamwa Daudi, uguonee uvavi!” 
MAT.20.32	Yesu agimëka, agavataana na uvawëëya, “Muufenja nëmutendee ntunihe?” 
MAT.20.33	Vëgamusucha, “Müküü, guugunena ugurangwëëye miho itu.” 
MAT.20.34	Uvii, Yesu agavaonea uvavi, agavatenia miho awe na faafo faafo vëgoona kangë, vëgamuhonga.
MAT.21.1	Yesu nënaawahumbeera uYerusalemu na ufika uBetifage mugëtanto ga Miseituni, agavatuma asëywi vakwe vavëë, 
MAT.21.2	agavëëra, “Endi faka ugëjiji nëgëusonge anyu na muumëhanga ndoghwe ëtungiwe nanë mwaandoghwe wakwe. Itarugwëëri muyiete kunë nee. 
MAT.21.3	Nëmuntu wamuwëëya sokokë, mukhanëi: ‘Müküü uguyifenja,’ mweesonoo uguyirekea itambëëmwe.” 
MAT.21.4	Ihanyo rësëë rëgatendeka gusoko asaa nënaa arëghëtiwe na munyagëdaghu ëkhondeke:
MAT.21.5	“Ukhanëi muji wa Sioni:
MAT.21.5	Raraava, mutemi waja kunë veve.
MAT.21.5	Uu mufoo na ureere ndoghwe,
MAT.21.5	mwaandoghwe, mwana wa ndoghwe.”
MAT.21.6	Uvii, asëywi vasaa vëgeenda vëgatenda mwino Yesu naawaraghëëyaa. 
MAT.21.7	Vëgamëeta ndoghwe ësëë na mwanakwe, vëgaara masaa awe gunto ayo, na agikhaa gunto. 
MAT.21.8	Mwirundo üküü wa antu ugaara masaa awe mwibara na antu vangëja vëgatema makhanja amëtë vëgayataantaya munjëa. 
MAT.21.9	Maburi a antu nënaavëmutongeere na vasaa nënaavëmuhongie vëgahanya:
MAT.21.9	“Hosana Mwana wamwa Daudi!
MAT.21.9	Aforiwe wasuu nëujie gwa rina ra Müküü!
MAT.21.9	Hosana gunto girunde!”
MAT.21.10	Yesu nënaaugingëa uYerusalemu, muji woong'e ugijua muhangëëkhano. Antu vëgagiwëëya, “Uyuu uu anyu?” 
MAT.21.11	Antu mu mwirundo wasuu vëgahanya, “Uyuu unë munyagëdaghu Yesu, udua uNasareti mu mukoa wa uGalilaya.”
MAT.21.12	Uvii, Yesu agingëa muHekalu, agavajuncha gunji antu nënaavëurinja na ughura mantu mu Hekalu, agayifënengua mesa ya vasaa nënaa vëukhavisya hela, nanë matumbë a vasaa nënaa vëurinja nkunda. 
MAT.21.13	Agavëëra, “Yiandëkiwe mu Maandëko Meru: ‘khaya anë ëgutaanwa khaya a marombi,’ ëgweeso nyenye mwamëtendie mwino mpanga a ahëmbi.”
MAT.21.14	Afoku nanë virema vëgamwendea kuuko mu Hekalu, Yesu mweesonoo agavaforya. 
MAT.21.15	Uvii, akumbëki aküü na aseyi va Seria nënaavayoona makura nëagayatenda Yesu nanë ang'ënya nënaa vëgaanga mu Hekalu vëuhanya: “Hosana kunë Mwana wamwa Daudi,” vëgakheefa. 
MAT.21.16	Uvii vëgamwëëra, “Wurë utitegheeye nëvëurëhanyana?” Yesu agavasucha, “Nhaa, ntegheeye! Wurë, ëkëë mwinasomana Maandëko ayaa Meru?
MAT.21.16	‘Waatendie ang'ënya në adëru
MAT.21.16	nanë ang'ënya nëvëgonkaa
MAT.21.16	vëduye ikuryo nërëkondekie.’”
MAT.21.17	Uvii, agavareka, agadua gunji a muji ageenda uBetania, agëkhaa kuuko.
MAT.21.18	Yesu nënaa usukie umujini, diu chili, agoona njaa. 
MAT.21.19	Agawoona mutini rumwe umpeo a njëa, agaweendea: ëgweeso agauhanga utina intu mbanduvë ëgweeso matutu matufu. Uvii, agawëëra, “Utafee kangë nkhari khae na khae!” Muugënyafaafo mutini wasuu ugauma. 
MAT.21.20	Asëywi nënaavawoona vëgataka vëuhanya, “Gusokokë mutini uruu wumaa du?” 
MAT.21.21	Yesu agavasucha, “Tutë nene ngumukhanëa, nyenye nëmwatenda mwina uhuvëi gwa udëa uhanga wisaghasaghëi, muudaha ti utenda uvii gutufu, ëgweeso mbesa mwagëkhanëa gëtanto ëkëë: ‘Kurëka wighumëe mwirambo,’ rëutendeka uvii. 
MAT.21.22	Na nëmwina uhuvëi, intu gëkaku nëmwarëromba gwa marombi muuhanga.”
MAT.21.23	Yesu agingëa kangë mu Hekalu waausëya, na nënaaugusëya, akumbëki aküü nanë anyampaa vaantu vëgamuwëëya, “Ugutenda mantu ayaa gwa udahokë? Anyu wagufee udaho uruu?” 
MAT.21.24	Yesu agavasucha, “Na neenoongumuwëëya nyenye iwëëyo rëmwe, nësa muunsucha, uvii, neenoo ngumukhanëa ngutenda mantu ayaa gwa udahokë. 
MAT.21.25	Wurë, udaho wamwa Yohana wa ubadisa ugafuma kunë anyu? Wurë, ugafuma girundena namba gwa antu?” Ëgweeso veeso vëgaauvëëvëtya veeso gwa veeso vii: “Nëgwahanya, ‘Ugafuma girunde,’ mweeso uguguwëëya: ‘Uvii, asikëhe nëmugadëa umuhuvëa?’ 
MAT.21.26	Na nëgwahanya, ‘Ugafuma gwa antu,’ gughoghoofa mwirundo wa antu gusoko voong'e vëmanyie mwino Yohana naa munyagëdaghu.” 
MAT.21.27	Uvii, veeso vëgamusucha Yesu, “Sese gutighunë!” Yesu mweesonoo agavakhanëa, “Neenoo noo ntiumukhanëa ngutenda mantu ayaa gwa udahokë.”
MAT.21.28	“Nyenye mugoona wurëhe? Muntu umwe naa wina vana vavëë. Agamwëëra uyoo wa mwandyo: ‘Mwananë, rëo enda utende mwëmo mu muunda wa mësabibu.’ 
MAT.21.29	Mubalanda wasuu agamwëëra, ‘Ntiinjë!’ Ëgweeso nënaa matungo akëra agafëëntua masëgho, agenda utenda mwëmo. 
MAT.21.30	Tata wasuu agamwëëra mung'ënya wakwe wa gavëë uvii uvii mweeso noo agasucha: ‘Nhaa tata!’ Ëgweeso agadëa gwenda umwëmo. 
MAT.21.31	Anyu mukhatë a avaa në vavëë nëagatenda mwëmo nënaa ihe ugufenja?” Vëgamusucha, “Mung'ënya uyoo wa mwandyo.” Yesu agavëëra, “Tutë namwëëra, anyaukhomboisya kooti nanë afumbu vëgingëa mu utemi wa Muungu ëkëë nyee mwinafika. 
MAT.21.32	Gusoko Yohana agaja kunë nyee agamuraghëëra njëa njija a uduvi na nyee mwinamuhuvëa, ëgweeso anyaukhomboisya usuru nanë alehadi vëgamuhuvëa. Nanë naamwayoonaa asaa oong'e nyenye mwinafëuraa nkhoo yanyu, na mwinahuvëa,”
MAT.21.33	Arë gwina munyakhaya unë agafandëa mësabibu u mughunda. Mweeso agaufëmëya na ikita, na agakura ikhombo raukhamëa divai, mweeso agajenga ikumbu ra urirëa, na agavarekea antu vangëja vëurëme, na mweeso agaenda ung'ë engëja. 
MAT.21.34	Itungo ra ntënange nënaarafika agavatuma atenda mwëmo vakwe gwa anya urëma avoo vende uhora gwa utafa ntënange akwe. 
MAT.21.35	Anyaurëma vasaa vëgavakwata atumami vasaa, umwe vëgamukhuva, ungëja vëgamuuragha na ungëja vëgamutura magwe. 
MAT.21.36	Muntu wasuu agavatuma kangë atumami vangëja, vingë nanguu ukëra va muhënjo wa mwandyo. Anyaurëma vasaa vëgavatendea uvii uvii. 
MAT.21.37	Mpeoayo agamutuma mwanakwe kunu ugusëghanëya, “vëumufa isima mwananë. 
MAT.21.38	Ëgweeso naarë anyaurëma vamwona mwana, veeso vëgagikhanëa veeso gwa veeso, ‘Uyuu në musai, nëgumuraghe sese guhange usai wakwe.’ 
MAT.21.39	Uvii, vëgamukwata, vëgamufunya gunji a muunda wasuu wa mësabibu, vëgamuuragha. 
MAT.21.40	Itungwee, munya muunda wa mësabibu wasuu nëikwë waja uguvatenda wurë anyaurëma vasaahe?” 
MAT.21.41	Veeso vëgamusucha, “Uguvamaa abë vasaa, na muunda wasuu uguvafa anyaurëma vangë nëvëumutafëa ntënange itungo ra ntënange.” 
MAT.21.42	Faafo Yesu agavëëra, “Wurë, mwinasomaana ihanyo ërëë mu Maandëko Meru?
MAT.21.42	‘Gëfandwa ga mukhate
MAT.21.42	gëfandwa ga mukhate ratendaa
MAT.21.42	gëfandwa në gëkuu
MAT.21.42	ra gimëcha nyumba.
MAT.21.42	Muuku unëwarëtendie intu ërëë,
MAT.21.42	ryesonoo ra utako ino kunë see!’”
MAT.21.43	Uvii, nene ngumwëëra nyenye, utemi wa Muungu uguheywa kunë nyee na ufewa antu va ndughu ingëja nëvëuduyaa nkhari yayo. ( 
MAT.21.44	Nëugugwa gunto a igwe rësëë uguunëka mafëgha, na nëramugwëa muntu gëkaku rëumukhalanga.)
MAT.21.45	Akumbëki aküü nanë Afarisayo nënaavategheeya nyinkhori yasee vëgamanya mwino naauguahanya veeso. 
MAT.21.46	Gwa uvii vëgaaufenja njëa a umutunga, ëgweeso vëgaoghofa antu gusoko veeso naavëmumanyie mweeso mwino munyagëdaghu.
MAT.22.1	Yesu agarëghëtya inaawe kangë gwa utumëa nyinkhori: 
MAT.22.2	“Utemi wa girunde wikhweti na mutemi nëagamughondanëëya mwanakwe malëwa a uvire. 
MAT.22.3	Uvii, agavatuma atumami uvataana nënaavareekwaa vije guuvire, ëgweeso nënaavareekwaa vëgahita uja. 
MAT.22.4	Agatuma kangë atumami vangëja, uguhanya, ‘Vaerë nënaavareekwaa: malëwa a sigunkuu anë itungwee akhondaa, njiku yanë na ng'ombe nëighënie yakigitwaa, muu intu rakhondaa, njii guuvire.’ 
MAT.22.5	Ëgweeso veeso vëgadëa ukeera, vëgenda kunë vinjë, umwe umuundaakwe, ungëja umantu akwe, 
MAT.22.6	na vangë vëgaakwata atumami vasaa vëgaatuka, vëgavooragha. 
MAT.22.7	Mutemi wasuu agakheefa, agavatuma asikee vakwe vëamare vauraghi vasaa na uwacha moto muji wawe. 
MAT.22.8	Faafo agavëëra atumami vakwe: ‘Malëwa a uvire akhondaa tutë, ëgweeso nënaavareekwaa naavëtinoneye. 
MAT.22.9	Uvii, endi muntamanuko ya njëa na voong'e vasaa nëmuuvahanga vataani vëje guuvire.’ 
MAT.22.10	Atumami vasaa vëgafuma, vëgeenda munjëa, vëgaveeta antu voong'e, abë nanë aja, khaya a uvire ëgijua aghenyi. 
MAT.22.11	Mutemi nënaawingëa uvoona aghenyi agamumanya umwe nënaa atirie masaa a uvire.” 
MAT.22.12	Mutemi agamuwëëya: “Mbuyanë, wingëaa wurë afaa utikweti isaa ra uvire?” Ëgweeso mweeso agikhaa ukiire twë. 
MAT.22.13	Faafo mutemi agavëëra atumami: “Mutungi mëghuu nanë mëkhono mwende umujughuta gunji mukiti, kuuko ugëëra na usya mëno.” 
MAT.22.14	Yesu agadaha urëghëtya gwa uhanya, “Vingë vëreekiwe ëgweeso akeevu vaahwaaniywe.”
MAT.22.15	Uvii, Afarisayo vëgenda kunë vinjë, vëgisëya mwino vëumukwatya Yesu gwa nkhani yakwe. 
MAT.22.16	Vëgaatuma asëywi vawe itambëëmwe na asëywi va ikhakho ramwa Herode. Vëgamuwëëya, “Musëyi, gumanyie mwino veve wëë muntu në wëmëkie mu tutë na mwino ugusëya njëa a Muungu gwa tutë, utighooghofa muntu mbaumwe, gusoko üküü wa ukumu wa muntu ti intu kunë veve. 
MAT.22.17	Tiarë, gukhanëe masëgho ako. Wurë, inoneyena urëfa kotë kunë Kaisari namba ti uvii?” 
MAT.22.18	Ëgweeso Yesu agamanya ubë wawe agavëëra, “Nyee anyalakuno, njuuchuu muug'ema? 
MAT.22.19	Ndaghëëri hela a ukhombweera kotë.” Veeso vëgamudwëëye hela. 
MAT.22.20	Uvii, Yesu agavawëëya, “Wikhori na mutojo uruu wa mwaanyuhe?” 
MAT.22.21	Vëgamusucha, “Uu amwa Kaisari.” Faafo Yesu agavëëra, “Uvii, mufi Kaisari në amwa Kaisari, na Muungu në akwe Muungu.” 
MAT.22.22	Nënaavategheeya uvii vëgataka, vëgamureka vëgeenda kunë vinjë.
MAT.22.23	Itiku rasëë, Asadukayo akeevuu vëgamwendea Yesu. Vasaa unë avoo nëvëuhanyaa mwino akuyi vëtiufëtya. 
MAT.22.24	Uvii, vëgamwëëra, “Musëyi, Musa agahanya muntu nëuroghoe nëwakuya naa inareka vaana, inoneye muunaakwe amuroghoe mukhema wasuu nëwakuëywe mughosya, vëhange vana gwa ikhondo ra muunaakwe. 
MAT.22.25	Itungwee, afaa ung'iitu naa gwina anaamuntu vëëmufungatë. Wa mwandyo agaroghoa noo agakuya naa ainahangaa vana, agamurekea muunaakwe mukhema wasuu në muhimbë. 
MAT.22.26	Ëgatendeka uvii uvii gwa muunakwe wa gavëë na wa gatatu faka wa mufungatë. 
MAT.22.27	Anaa muntu vasaa voong'e vëgakuya, mukhema wasuu noo agakuya 
MAT.22.28	Wurë, itiku nëikwë akuyi vëufëtya mukhema wasuu ugutenda mukhema wamwaanyuhe mukhatë a anaamuntu vasaa mufungatë? Voong'e mufungatë vëgamuroghoa.”
MAT.22.29	Yesu agavasucha, “Tutë mwahutyaa gusoko mutiamanyie Maandëko Meru nanë nguu ya Muungu! 
MAT.22.30	Gusoko akuyi nëikwë vafëtiwa vëtiuroghoa mbesa uroghowa, vëutenda mwino vamalaëka girunde. 
MAT.22.31	Ëgweeso gwa ihanyo ra akuyi ufëtya, ëkëë mwinasomaa ayoo në Muungu wamukhanëena? 
MAT.22.32	Agahanya, ‘Nene në Muungu wamwa Iburahimu, Isaka nanë Yakobo!’ Uvii, mweeso ti Muungu wa akuyi, ëgweeso unë Muungu wa vasaa nëafanga.” 
MAT.22.33	Mwirundo wasuu wa antu nënaawategheeya uvii ugayataka masëyo akwe.
MAT.22.34	Afarisayo nënaavategheeya mwino Yesu naa waakiryaa Asadukayo, vëgatang'ana itambëëmwe. 
MAT.22.35	Umwe wawe, Munyaumëmanya Seria, agamwëëya Yesu gwa umughema, 
MAT.22.36	“Musëyi uu në iraghëëyo rëëfë nëiküü nanguu mu Seria amwa Musa? 
MAT.22.37	Na mweeso agamweera, ‘Muyanje Müküü Muungu wako gwa nguu yako yoong'e, na gwa nkhoo ako oong'e na gwa ihaa rako roong'e.’ 
MAT.22.38	Erëë unë iraghëëyo në iküü na ra mwandyo. 
MAT.22.39	Ra gavëë rikhwete na rasëë: ‘Muyanje munyafifë wako mwino vee wianjëte mughonjo!’ 
MAT.22.40	Seria oong'e amwa Musa na masëyo a anyagëdaghu ëëmukhatëkhatë a maraghëëyo ayaa avëë.”
MAT.22.41	Afarisayo nënaa vatang'ana itambëëmwe, Yesu agavawëëya, 
MAT.22.42	“Nyenye mumumanyie wurë Masihi? Wurë, uu mwana wamwaanyu?” Vëgamusucha, “Wamwa Daudi.” 
MAT.22.43	Yesu agavëëra, “Uvii, rësëë rëutendeka wurë mwino chuu gwa nguu ya Mwahu Mweru Daudi ugumutaana mweeso Müküü? Gusoko agahanya:
MAT.22.44	‘Müküü agamwëëra Müküü wanë:
MAT.22.44	ëkhaa uvaru wanë wa gëlëlo,
MAT.22.44	faka fananëjiëuvavëka arughu vako
MAT.22.44	fang'ë a mëghuu ako.’
MAT.22.45	Uvii, nësa Daudi chuu ugumutaana Masihi ‘Müküü,’ ugudaha wurë utendeka mwanakwe?” 
MAT.22.46	Gutie muntu mbaumwedu nëagadaha umusucha ukhani. Na ufuma itiku rasëë gutie muntu nëagasoya kangë umuwëëya ëwëëyo.
MAT.23.1	Faafo agawëëra mwirundo wa antu itambëëmwe na asëywi vakwe, 
MAT.23.2	“Aandëki va seria nanë Afarisayo vikhee gëtumbë ramwa Musa
MAT.23.3	Uvii, kwatëëri na utenda intu gëkaku nëvëumukhanëa. Gweesogwayo mutayiigëyee ntendo yawe, gusoko vëtiutenda ayoo nëvëuyatanantya. 
MAT.23.4	Vëutungaa mërigho mëito na uvitwëcha antu mumavegha, ëgweeso veeso aghonjo vëtiufenja mbesa ughoora namba mwaaya vëdahe umëkenka. 
MAT.23.5	Veeso vëutendaa ntendo yawe yoong'e gusoko antu vëvoone. Gusoko vëuryaa mëkhova nëkweti maandëko a Seria gunto a umpandasyu nanë mumëkhono na ugheempya makundo a makoti awe. 
MAT.23.6	Vëanjëte mayoma a ukümü mumalëwa a sigunkuu nanë matumbë a usonge mumasunagogi. 
MAT.23.7	Vëanjëte uramuchwa gwa ukümü usokoni na vëanjëte utaanwa na antu: ‘Museyi.’ 
MAT.23.8	Ëgweeso nyenye mutataanwee mbanduvë ‘Musëyi,’ gusoko musëyi uu nëumwedu gutufu nanyee nyoong'e mwe ndughu ëmwe. 
MAT.23.9	Na mutamutaanë muntu gëkaku ‘Tata’ afaa muurëmi, gusoko Tata wanyu uu në umwe gutufu nëwëë girunde. 
MAT.23.10	Na mutataanwee ‘Atongeeri,’ gusoko mutongeeri wanyu unë umwedu gutufu unë Kiristo. 
MAT.23.11	Nëmüküü mukhatë anyu inoneye atende mutumami wanyu. 
MAT.23.12	Nëugihumbua, ugutununtiwa, nëugitununtyaa uguhumbuwa.”
MAT.23.13	“Hëhëë anyu Aandëki va seria nanë Afarisayo, anyalakuno! Muwuutëa rurye wa utemi wa girunde usonge a miho a antu. Nyenye aghonjo mutigingëa ukhatë, na mutiuvayanjëya nëvëufenja gingëa vingëe.”
