GEN.1.1	Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.
GEN.50.10	Rèngu lasi, ka ra pège loko Yarden ètu era èci, ngara na Atad. Era neꞌe, dhèu biasa mai jꞌèli are. Dꞌai era neꞌe, Yusuf si tangi mamadhe ama na. Aa ra beke hari pidhu mèda.
GEN.50.11	Ropa dhèu Kanaꞌan ètu sèra, ladhe na ra jꞌèra ae titu kèna, hèia ra papeka, aku rèngu na, “We! Miu laladhe ku laa! Babeke mamadhe dhèu Masir se, ra susa bia nga! Jꞌara tatangi rèngu sèmi nèi ni ka.” Nèti èèna ka, ra pangare era èèna, ngara na 
GEN.50.12	Hèia ana-ana Yakob se, tao madhutu sèmi lii moa rèngu uru na. 
GEN.50.13	Ka nedhe rèti ngiꞌu aae Yakob na, lasi padhane asa dꞌara loe dhu padètu dènge rae Makpela dènge Mamre. Abraham hèli nare era neꞌe nèti dhèu suku Het, ngara na Efron, ho jꞌajꞌi mi era udhu rui rèngu.
GEN.50.14	Yusuf padhane nare ama na, hèia nèngu dènge aꞌari na lèpa hari asa Masir. Sama-sama dènge dhèu leo dhu madhutu sèra.
GEN.50.15	Ropa rèngu dꞌai Masir, aꞌa Yusuf se mulai madhaꞌu. Lula ama rèngu aadꞌo heka, ka ra papeka, aku rèngu na, “We! Ta pangee ku la! Sèmi Yusuf tèka dꞌara dènge èdhi era, ho na bꞌala tatao karehe èdhi mi nèngu uru èèna, na èdhi tasamia?” 
GEN.50.16	Hèia rare lii èci, ka ra hia lii laꞌe asa Yusuf, peka na, “Ama wakil. Jiꞌi sanèdꞌe era, lodꞌo ama èdhi mamuri era, na pua jiꞌi 
GEN.50.17	ho padhai lii dènge ama wakil, peka na, ‘Yusuf hudꞌi bhabhèlu eele ka sasala aꞌa na si. Lula uru na ra pajꞌèra ne.’ Jiꞌi ngeꞌa kahèi ama èdhi ne, karèi nèti uru ka mai, na mangajꞌi dhoka mi Ama Lamatua di. Jiꞌi kahèi jꞌajꞌi ana pajuu Lamatua. Nèti èèna ka, jiꞌi mai manèngi abho, lula uru na jiꞌi pajꞌèra le, ama wakil.”
GEN.50.17	Ropa tadèngi lii neꞌe, hèia Yusuf tangi.
GEN.50.18	Èle èèna ka, aꞌa na si mai unu ra, ka patitu kètu urutuu ètu madha na. Hèia ra padhai lii, peka na, “Hudꞌi laa ama tao jiꞌi jꞌajꞌi ènu ama.”
GEN.50.19	Te ngaa Yusuf padhai lii dènge ra, “Miu se aꞌa jaꞌa! Miu baku madhaꞌu ia ka! Dhoka Ama Lamatua di, dhu dènge hak hia huku mi dhèu. Te jaꞌa ne, aadꞌo. 
GEN.50.20	Mema tareꞌa, uru na miu mere lii èci, ho neo pajꞌèra jaꞌa. Te ngaa Ama Lamatua ka dhu ubꞌa eele tatao miu dhu karehe èèna, jꞌajꞌi mi babeꞌa. Nèti èèna ka, Na dedꞌe jaꞌa jꞌajꞌi dhèu kapai ètu neꞌe, sèna ka dhèu ae abhu mamuri dènge karejꞌe. 
GEN.50.21	Nèti èèna ka, jaꞌa peka dènge miu kèna! Baku madhaꞌu ia ka. Jaꞌa pamoa dènge miu se, èèna na, ladhe-leru miu, dènge ana-èpu miu aaꞌi-aaꞌi ra.”
GEN.50.21	Dènge lii padhai lii sèmi neꞌe ne, Yusuf paꞌèra hari dꞌara aꞌa na si.
GEN.50.22	Èle èèna ka, Yusuf pea taruu ètu rai Masir, dènge aꞌari na si, aaꞌi-aaꞌi ra. Nèngu mamuri dꞌai 110 (cangasu canguru) tèu. 
GEN.50.23	Nèngu dꞌai hari nèdhi ana-èpu Efraim kahèi. Aa na leru èpu Manase, nuka ana-ana nèti Makir.
GEN.50.24	Yusuf peka mi aꞌa na si, aku nèngu na, “Aꞌa ku si ee! Jaꞌa rasa na mamadhe jaꞌa dètu le! Te ngaa jaꞌa parcaya, Ama Lamatua tatu ladhe-leru miu. Bèli-camèdꞌa Nèngu ka dhu lere miu kalua nèti rai neꞌe. Nèngu kahèi dhu nèti hari miu lèpa asa rai dhu Na padhadha le pake lii subha, ho hia mi baki èdhi Abraham, Isak dènge ama èdhi Yakob.” 
GEN.50.25	Ka Yusuf manèngi mi aꞌari na si, sèna ka ra subha, peka na, “Miu hudꞌi jaji ku mi dedha jaꞌa. Ladhe lodꞌo dꞌai Ama Lamatua nèti hari miu asa rai Kanaꞌan, miu hudꞌi mèti ngiꞌu aae jaꞌa asa nèi.”
GEN.50.26	Èle èèna ka, Yusuf madhe ètu Masir, dènge umur nèngu 110 (cangasu canguru) tèu. Hèia ra tao bubhu mi ngiꞌu aae na. Ka ra tao asa dꞌara kopa.
MAT.1.1+MAT.1.2	Sasuri ne, lole jꞌara mamuri nèti Yesus Kristus, nuka Dhèu dhu Ama Lamatua padhadha mema ho neo pua mai. Yesus ne, ana-èpu dhèu aae Daud dènge Abraham.
MAT.1.1+MAT.1.2	Karèi nèti Abraham toke dhèu aae Daud, abhu 14 (canguru èpa) bèi-baki. Kabhia Na sèmi neꞌe:
MAT.1.1+MAT.1.2	Abraham matana Isak,
MAT.1.1+MAT.1.2	Isak matana Yakob,
MAT.1.1+MAT.1.2	Yakob matana Yahuda dènge aꞌari na,
MAT.1.3	Yahuda matana Peres dènge Sera (ina ra, ngara na Tamar)
MAT.1.3	Peres matana Herson,
MAT.1.3	Herson matana Ram,
MAT.1.4	Ram matana Aminadab,
MAT.1.4	Aminadab matana Nahason,
MAT.1.4	Nahason matana Salmon,
MAT.1.5	Salmon matana Boas (ina na, ngara na Rahab)
MAT.1.5	Boas matana Obet (ina na, ngara na Rut),
MAT.1.5	Obet matana Isai,
MAT.1.6	Isai matana Daud.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Nèti Daud toke lodꞌo dhu ra babège suku Israꞌel asa Babel, abhu hari 14 (canguru èpa) bèi-baki, nuka:
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Daud matana Soleman (ina na, uru èèna dhèu èmu Uria).
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Soleman matana Rehabeam,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Rehabeam matana Abia,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Abia matana Asaf,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Asaf matana Yosafat,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yosafat matana Yoram,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yoram matana Usia,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Usia matana Yotam,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yotam matana Ahas,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Ahas matana Heskia,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Heskia matana Manase,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Manase matana Amos,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Amos matana Yosias,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yosias matana Yekonya dènge ari na, lodꞌo babège si asa Babel.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Lodꞌo babège si asa Babel, toke dꞌai rara iisi Yesus, abhu 14 (canguru èpa) bèi-baki, nuka:
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Yekonya matana Saltiel,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Saltiel matana Serubabel,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Serubabel matana Abihut,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Abihut matana Elyakim,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Elyakim matana Asor,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Asor matana Sadok,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Sadok matana Akim,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Akim matana Eliut,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Eliut matana Eliasar,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Eliasar matana Matan,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Matan matana Yakob,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Yakob matana Yusuf,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Yusuf ne, dhèu èmu Maria. Maria ne ka dhu nara iisi Yesus Kristus.
MAT.1.17	De karèi nèti Abraham toke Daud, abhu 14 (canguru èpa) bèi-baki; nèti Daud toke lodꞌo ra babège si asa Babel abhu 14 (canguru èpa) bèi-baki; aa nèti lodꞌo ra babège si asa Babel dꞌai Maria nara iisi Yesus, abhu 14 (canguru èpa) bèi-baki.
MAT.1.18	Lii lolo Maria nara iisi Yesus sèmi neꞌe ka:
MAT.1.18	Maria dhu tunanga le dènge Yusuf. Dua ra paꞌèci rèdhi mèka sama sèmi dhèu èmu-kamali, te ngaa teꞌa boe na, Maria dhu dènge le babia nèti Roh Ama Lamatua dhu Mola-Mèci.
MAT.1.19	Ropa Yusuf neꞌa, ka na neo pamaꞌète lii rèngu dua ra. Te ngaa na dꞌèi boe pamakae Maria ètu madha dhèu ae, lula nèngu ne ca dhèu dhu dꞌara mola. Nèti èèna ka, na neo pamau eele lii rèngu ne.
MAT.1.20	Te ngaa lodꞌo dhu na pangee era, dꞌara ca mèda sa, ka nèngu nii. Ètu dꞌara nii ne, ladhe nèdhi ana pajuu Ama Lamatua nèti sorga mai peka dènge ne, aku nèngu na, “Yusuf! Èu ne, ana-èpu dhèu aae Daud. Èu mage makae leo dènge Maria. Te ana dhu na kadꞌo èèna, jꞌajꞌi nèti Roh Ama Lamatua. 
MAT.1.21	Bèli-camèdꞌa Maria nara iisi ana mone ca dhèu. Aa èu hudꞌi pangare Ne, 
MAT.1.22	Jꞌara ne jꞌajꞌi sèmi èèna, lula Ama Lamatua dhu peka mema nèti uru ka, re dhèu nèti lii padhai Na, ngara na Yesaya, dhu suri, peka na,
MAT.1.23	“Mi nanene! Bèli-camèdꞌa abhu ana bhèni ca dhèu dhu kalora iisi,
MAT.1.23	teꞌa boe na, nèngu dhu dènge babia le.
MAT.1.23	Èèna na nara iisi Ana Mone ca dhèu.
MAT.1.23	Ka ra pangare Ne, 
MAT.1.23	(Lii Ibrani, ‘Imanuel’ sasoa na:
MAT.1.23	Ama Lamatua bera-bera dènge èdhi.)
MAT.1.24	Ropa nii èle, Yusuf kèdꞌi nèti bhèjꞌi na. Ka na madhutu ka lii padhai Ama Lamatua dhu na tadèngi ètu dꞌara nii deo na. Ka nare Maria jꞌajꞌi dhèu èmu na. 
MAT.1.25	Te ngaa na jꞌunu paꞌèci boe dènge Maria, toke Maria nara iisi aaꞌi. Nara iisi nare ka, Yusuf pangare Ana ne, 
MAT.2.1	Lodꞌo rara iisi Yesus ètu rae Betlehem, ètu propensi Yudea, dhèu aae Herodes dhu nèdꞌu paredha ètu èèna. Lodꞌo èèna, dhèu pèri-pèri nèti era kajꞌèu, mai nèti bèka dhimu asa kota Yerusalem. Rèngu se, dhu reꞌa mèu ladhe hua-hètu. 
MAT.2.2	Ropa ra dꞌai Yerusalem dhèu se pakarèi, aku rèngu na, “Dhèu Aae nèti dhèu Yahudi, dhu heka rara iisi hiu èèna, era na buli mia, ee? Jiꞌi ngèdhi hua-hètu cue ètu bèka dhimu, dhu jꞌajꞌi mi tadha dhu peka na, rara iisi le Nèngu. Nèti èèna ka, jiꞌi mai neo pahaha iisi mi Nèngu.” 
MAT.2.3	Ropa dhèu aae Herodes tadèngi lii neꞌe, hèia dꞌara na susa. Nèti èèna ka, dhèu aaꞌi-aaꞌi ètu Yerusalem sèra, dꞌara ra susa kahèi.
MAT.2.4	Èle èèna ka, dhèu aae Herodes paroa nare kètu agama Yahudi dènge mese agama aaꞌi-aaꞌi sèra, ka na karèi si, peka na, “Miu peka sèku dènge jaꞌa la! Kristus, dhu Ama Lamatua padhadha tèke èèna, rara iisi Ne ètu mia?”
MAT.2.5	Hèia ra dhaa, aku rèngu na, “Ètu rae Betlehem, propensi Yudea. Te ca dhèu nèti lii padhai Ama Lamatua, ngara na Mika, dhu suri tèke le karèi nèti uru ka, na:
MAT.2.6	‘Wee! Miu dhèu Betlehem ètu propensi Yudea sèra.
MAT.2.6	Baku pangee na, rae miu ne,
MAT.2.6	ca rae iiki dhu dhèu ige boe.
MAT.2.6	Te bèli-camèdꞌa dhèu kapai ca dhèu cèu mai nèti rae neꞌe.
MAT.2.6	Èèna na Nèngu jꞌajꞌi dhèu madhenga mi dhèu Jaꞌa, dhèu Israꞌel.’ ”
MAT.2.7	Ropa tadèngi nare sèmi èèna, hèia dhèu aae Herodes paroa mau-mau dhèu dhu dꞌèlu-mèu ladhe hua-hètu sèra. Ka na karèi, na, “Lodꞌo mia miu ladhe mèdhi hua-hètu ne cèu ètu dedha-liru?” Hèia ra peka dènge ne. 
MAT.2.8	Èle ka, na hia si lasi asa Betlehem. Na moa dènge ra, peka na, “Lami ho tenge palème era, ètu mia Ana ne. Ladhe miu rage, na, lèpa hari mai sèna ka peka dènge jaꞌa. Te jaꞌa neo laku pahaha iisi mi Nèngu kahèi.”
MAT.2.9	Ropa tadèngi rare lii padhai dhèu aae, hèia lasi dènge ka. Kacaꞌa laa, rèngu rèdhi hari hua-hètu dhu uru èèna rèdhi ètu bèka dhimu. Hua-hètu ne cèu ètu madha rèngu, na kako uru nèti rèngu, hèia tèja ètu dedha era Ana ne pea.
MAT.2.10	Ropa rèdhi, hèia ra karejꞌe titu kèna. 
MAT.2.11	Èle ka lasi asa dꞌara èmu, hèia ladhe rèdhi Ana ne dènge ina Na Maria. Hèia ra patitu kètu urutuu ho pahaha iisi mi Ana ne. Ka dhèu se bhoke mèdha dhu kabꞌua rèti hia Ana ne. Ra hia hualaa, kemenyan dènge raa ajꞌu hèu mèngi.
MAT.2.12	Nèbhu boe, ka dhèu se abhu nii nèti Ama Lamatua, peka na, “Lami ia ka asa dhèu aae Herodes.” Nèti èèna ka, ra lèpa hari asa rai rèngu re jꞌara leo.
MAT.2.13	Lodꞌo dhèu dꞌèlu-mèu ladhe hua-hètu se lèpa, hèia ana pajuu Lamatua èci nèti sorga, mai peka dènge Yusuf ètu dꞌara nii, aku nèngu na, “Yusuf! Pakèdꞌi dènge ka dꞌara lai-lai ne! Mèti Ana ne dènge ina Na lami asa Masir. Pea ètu nèi, toke Jaꞌa peka dꞌai lodꞌo mia miu lèpa hari. Te dhèu aae Herodes tenge jꞌara ho pamadhe Ana ne!”
MAT.2.14	Hèia Yusuf kèdꞌi nèti bhèjꞌi. Ka mèda èèna kahèi, nèti dhèu èmu na dènge Ana ne, rai lasi asa Masir. 
MAT.2.15	Ra pea ètu nèi toke dhèu aae Herodes madhe. Jꞌara èèna, nuka sèmi ca dhèu nèti lii padhai Ama Lamatua, ngara na Hosea, suri tèke karèi nèti uru ka, na,
MAT.2.15	“Jaꞌa paroa hari Ana Ku, ho lèpa ka nèti Masir.”
MAT.2.16	Ropa dhèu aae Herodes neꞌa nare, na, dhèu dꞌèlu-mèu ladhe hua-hètu sèra leko-monya ne, hèia na nasa titu kèna. Na paredha sordadꞌu na sèra, aku nèngu na, “Lami asa rae Betlehem nèi, aa asa rae-rae leo dhu padètu ètu èèna. Pamadhe aaꞌi ana mone iiki dhu dua tèu asa haha mai.” Herodes hia paredha ne, lula na sanèdꞌe lii lolo nèti dhèu dꞌèlu-mèu sèra. Na ige karèi nèti rèngu rèdhi hiu-hiu hua-hètu cèu ètu dedha-liru.
MAT.2.17	Jꞌara seꞌe aaꞌi-aaꞌi jꞌajꞌi madhutu ngaa dhu dhèu nèti lii padhai Ama Lamatua, ngara na Yermia, suri tèke, peka na,
MAT.2.18	“Abhu lii tangi dènge lii roma iisi dhèu nèti kota Rama.
MAT.2.18	Rahel tangi dꞌara pèdꞌa,
MAT.2.18	lula ana-ana na madhe aaꞌi.
MAT.2.18	Na dꞌèi boe ca dhèu sa mai pamako ne,
MAT.2.18	lula ana-ana na, aadꞌo heka ca dhèu sa.”
MAT.2.19	Nèbhu-nèbhu ka, dhèu aae Herodes madhe. Lodꞌo èèna, Yusuf si ètu Masir era. Hèia Ama Lamatua pua ana pajuu Na ca dhèu mai nèti sorga, padꞌelo rèhu na mi nèngu ètu dꞌara nii. 
MAT.2.20	Ana pajuu ne lii, aku nèngu na, “Yusuf! Kèdꞌi ka! Mèti ka Ana ne dènge ina Na asa Israꞌel. Te dhèu dhu neo pamadhe Ana ne, madhe le.” 
MAT.2.21	Ropa tadèngi nare, hèia Yusuf kèdꞌi. Èle ka nèti si asa rai Israꞌel.
MAT.2.22	Te ngaa ropa Yusuf tadèngi na, Arkalaus, ana dhèu aae Herodes, dhu jꞌajꞌi dhèu aae limuri ne ètu propensi Yudea, ka na madhaꞌu laꞌe asa Yudea. Èle èèna ka, Ama Lamatua peka hari dènge ne ètu dꞌara nii, na, “Yusuf, èu baku pea ètu Yudea.” Nèti èèna ka, lasi pea asa propensi Galilea, 
MAT.2.23	ètu rae Nasaret. Dènge jꞌara ne lii padhai Ama Lamatua lèke tareꞌa, nuka sèmi ngaa dhu dhèu rèti lii padhai Na suri tèke, na “Bèli-camèdꞌa dhèu paroa Ne, Dhèu Nasaret.”
MAT.3.1	Lodꞌo Yesus dhu kapai le, hèia Yohanis tuka sarani mulai ajꞌa-nori dhèu ètu era dhu dhèu pea boe ètu propensi Yudea. 
MAT.3.2	Na ajꞌa peka na, “Aꞌari pasue! Miu hudꞌi mangaku aa tèke eele ku sasala-sasigo miu, ho lèpa asa Ama Lamatua. Te limuri ne dhèu aaꞌi-aaꞌi bisa jꞌajꞌi dhèu unu Ama Lamatua.”
MAT.3.3	Uru èèna, ca dhèu nèti lii padhai Ama Lamatua, ngara na Yesaya, suri le lula-nèti Yohanis ne, aku nèngu na,
MAT.3.3	“Bèli-camèdꞌa abhu dhèu paꞌoo-parodha ètu dꞌara mamoo, peka na,
MAT.3.3	‘Dhèu aaꞌi-aaꞌi paꞌèra sèna ka tao pabeꞌa jꞌara,
MAT.3.3	ho sèmi mamai Ama Lamatua!
MAT.3.3	Tao pamola jꞌara hia Ne!’ ”
MAT.3.4	Jꞌara mamuri Yohanis ne, ca ropa dènge dhèu rèti lii padhai Ama Lamatua uru sèra. Mèdha-papake na tao nèti rèu badha onta. Dhari hake na nèti kaꞌuri badha. Ngangaꞌa na, kabara dènge dhua nasu oni.
MAT.3.5	Lodꞌo èèna, dhèu ae mai neo paraga dènge Yohanis. Rèngu mai nèti kota Yerusalem, nèti kabarai propensi Yudea aaꞌi-aaꞌi, dènge nèti rae-rae dhu dètu loko Yarden. 
MAT.3.6	Ra bhoka dꞌara ra, aa mangaku sasala-sasigo aaꞌi-aaꞌi, èle ka Yohanis sarani si ètu dꞌara loko Yarden.
MAT.3.7	Lodꞌo èèna, dhèu ae nèti partei agama Parisi dènge dhèu partei agama Saduki, lasi asa era èèna kahèi, manèngi Yohanis sarani si. Te ngaa ropa Yohanis ladhe nèdhi si, hèia na jèke si, peka na, “Heeh! Miu se cakaraa mege dhu kapodꞌe-kabèli. Bèli-camèdꞌa Ama Lamatua huku mi, lula tatao miu dhu bhelu-katubꞌa sèra. Mage mi pangee na, miu bisa rai nèti hahuku Na.
MAT.3.8	De beꞌa risi miu lèpa sa Ama Lamatua, aa tèke eele sasala miu sèra. Èle na, tao jꞌara-jꞌara dhu beꞌa, sèmi ajꞌu dhu hua beꞌa. 
MAT.3.9	Mage mi pangee na, miu se abhu mamuri, lula jꞌajꞌi ana-èpu Abraham. Mi sanèdꞌe lii jaꞌa, ee! Te Ama Lamatua bisa tao hadhu se jꞌajꞌi ana-èpu Abraham kahèi.
MAT.3.10	Baku pamudꞌe! Te abhu dhu kèpe mema kataka, paꞌèra patue aaꞌi-aaꞌi ajꞌu dhu hua beꞌa boe, sèna ka core asa dꞌara ai.
MAT.3.11	Limuri ne, jaꞌa sarani miu pake èi, ho jꞌajꞌi mi tadha dhu peka na, miu se tèke eele sasala-sasala miu. Te ngaa pe abhu ca Dhèu dhu kapai risi nèti jaꞌa, bèli-camèdꞌa mai. Masi ka jꞌajꞌi ana pua-paleha Na, jaꞌa nia boe sa hèi. Èèna na, Nèngu papènu dꞌara miu dènge Roh Ama Lamatua dhu Mola-Mèci. Nèngu tao miu jꞌajꞌi mola-mèci kahèi, sama sèmi dhèu pake ai ho bhubhu maruru.
MAT.3.12	Te Nèngu dhu nèdꞌu kokotai dènge laludhu ètu dꞌara, ho neo tatai eele èto na. Èle èèna, Na bhori laludhu asa dꞌara soka. Te ngaa èto sèra, Na dutu asa dꞌara ai dhu heo robhe-robhe dhu madhe boe.”
MAT.3.13	Lodꞌo èèna, Yesus puru mai nèti Galilea, laꞌe asa loko Yarden. Na mai sèna ka manèngi Yohanis sarani Ne. 
MAT.3.14	Te ngaa Yohanis noꞌo boe. Na pabꞌala peka na, “Tasamia ka jaꞌa sarani Èu? Sale ne, sina ma? Hudꞌi Èu ku dhu sarani jaꞌa. Te èèna ka dhu jaꞌa parluu!”
MAT.3.15	Te ngaa Yesus dhaa, aku Nèngu na, “Pangee ia ka. Te ngaa doe neꞌe, hudꞌi laa èu di dhu sarani Jaꞌa. Dènge jꞌara sèmi neꞌe, èdhi tao madhutu dadꞌèi Ama Lamatua.”
MAT.3.15	Ropa tadèngi nare, ka Yohanis bꞌala, aku nèngu na, “Sadꞌi aku Èu” Hèia Yohanis sarani Yesus.
MAT.3.16	Ropa sarani èle, ka Yesus kalua nèti dꞌara loko. Cagꞌagꞌa laa, liru bhoke eele. Hèia ladhe nèdhi Roh Ama Lamatua puru mai, nuka sèmi koro jꞌaha dhu mai tèka mi Nèngu. 
MAT.3.17	Hèia ra tadèngi lii Ama Lamatua nèti dedha-liru, peka na,
MAT.3.17	“Nèngu ne, Ana pasue Jaꞌa.
MAT.3.17	Nèngu pakarejꞌe taruu dꞌara Jaꞌa.”
MAT.4.1	Èle ka, Roh Ama Lamatua nèti Yesus asa dꞌara mamoo, sèna ka dhèu aae nidhu sèku Ne.
MAT.4.2	Ètu era neꞌe, Yesus naꞌa-ninu boe èpa nguru lodꞌo mèu-mèda. Hèia Na manganga titu kèna. 
MAT.4.3	Ropa Na manganga sèmi èèna, hèia dhèu aae nidhu mai sèku Ne, peka na, “Èu ne tareꞌa-reꞌa Ana Ama Lamatua, do? Ladhe tareꞌa, na, paredha hadhu se, ho jꞌajꞌi ngangaꞌa.”
MAT.4.4	Te ngaa Yesus dhaa, na, “Dhu suri ètu dꞌara Sasuri Mola-Mèci Ama Lamatua, peka na:
MAT.4.4	‘Dhèu rai-haha mamuri mesa boe nèti ngangaꞌa di.
MAT.4.4	Te ngaa rèngu hudꞌi nanene ku Lii Holo-Nori Ama Lamatua,
MAT.4.4	aa tao madhutu dadꞌèi Na kahèi.’ ”
MAT.4.5	Ka dhèu aae nidhu nèti Yesus asa kota Yerusalem, kota Lamatua dhu mola-mèci èèna. Èle ka, na nèti Yesus asa era dhu dedha risi ètu Èmu Kapua Manèngi-Mangajꞌi. 
MAT.4.6	Hèia nidhu ne, peka, “Ladhe Èu ne tareꞌa-reꞌa Ana Ama Lamatua, Èu ridhu sèku asa haha nèi. Te dhu suri tèke ètu dꞌara Sasuri Mola-Mèci Ama Lamatua, na,
MAT.4.6	‘Pe Ama Lamatua pua ana pajuu nèti sorga,
MAT.4.6	sèna ka jꞌaga Èu.’
MAT.4.6	Aa ètu dꞌara Sasuri Mola-Mèci Ama Lamatua, dhu suri kahèi,
MAT.4.6	‘Pe ra kanata ai ra, ho sibhe Èu,
MAT.4.6	sèna ka ngiꞌu Èu pèdꞌa boe, aa haga Èu goi lèke boe hadhu sa hèi.’ ”
MAT.4.7	Te ngaa Yesus bꞌala, aku Nèngu na, “Abhu kahèi dhu suri tèke ètu dꞌara Sasuri Mola-Mèci Ama Lamatua, dhu peka na,
MAT.4.7	‘Ama Lamatua èèna, Lamatua èu.
MAT.4.7	De èu baku pua Ne pake koasa Na, sèna ka padꞌelo bukti, peka na,
MAT.4.7	Nèngu èèna, tareꞌa-reꞌa Ama Lamatua.’ ”
MAT.4.8	Èle èèna ka, dhèu aae nidhu ne nèti hari Yesus asa kolo ledhe dhu dedha aae. Hèia na padꞌelo aaꞌi saraga dènge babeꞌa negara aaꞌi-aaꞌi ètu rai-haha ne. 
MAT.4.9	Ropa na padꞌelo nare, hèia dhèu aae nidhu ne peka, aku nèngu na, “Sadꞌi Èu patitu kètu urutuu, sèna ka pahaha iisi mi jaꞌa, pe jaꞌa hia aaꞌi seꞌe se mi Èu.”
MAT.4.10	Te ngaa Yesus jèke ne, peka na, “He, nidhu! Pakajꞌèu nèti era neꞌe ne! Te Sasuri Mola-Mèci Ama Lamatua, suri na,
MAT.4.10	‘Èu hudꞌi pahaha iisi mi Ama Lamatua,
MAT.4.10	aa èu ne hudꞌi sabꞌa ku dhoka hia Nèngu di.’ ”
MAT.4.11	Ropa dhèu aae nidhu tadèngi lii ne, hèia na tèke eele Yesus. Te ngaa ana pajuu Ama Lamatua nèti sorga mai uri Ne.
MAT.4.12	Tèu èèna, dhèu aae Herodes pamaso Yohanis tuka sarani asa dꞌara èmu bèdho. Ropa Yesus tadèngi, hèia Na lèpa asa Galilea.
MAT.4.13	Laꞌe asa rae Na Nasaret, èle ka laꞌe taruu pea ètu rae Kapernaum. Rae èèna ètu sebhe dano Galilea, ètu rai Sebulon dènge Naftali.
MAT.4.14	Dènge jꞌara ne, Na tao madhutu ngaa dhu dhèu nèti lii padhai Ama Lamatua, ngara na Yesaya, suri tèke, peka na,
MAT.4.15	“Rai Sebulon dènge rai Naftali
MAT.4.15	dhu padètu dènge dano Galilea ètu sebhe haa loko Yarden.
MAT.4.15	Dhèu Yahudi boe pea ètu era sèra kahèi.
MAT.4.16	Rèngu dhu mamuri ètu dꞌara maroga,
MAT.4.16	te ngaa limuri ne, rèdhi le saraa.
MAT.4.16	Aa saraa ne heo le
MAT.4.16	palème mi dhèu aaꞌi-aaꞌi dhu tadhe mèka Ama Lamatua.”
MAT.4.17	Karèi nèti lodꞌo èèna, Yesus mulai ajꞌa-nori dhèu, peka na, “Miu hudꞌi soro kabodho aa tèke eele sasala-sasigo miu, ho mamuri ka dènge mola-mèci! Te limuri ne dhèu aaꞌi-aaꞌi bisa le jꞌajꞌi dhèu unu Ama Lamatua.”
MAT.4.18	Ca tèka, Yesus kako re sebhe dano Galilea. Na paraga dènge dhèu dua dhu paꞌaꞌari. Èci ngara na Simon, dhu tema paroa ne, Petrus. Aa ari na, Anderias. Dua ra dhu pèku iꞌa ètu dano Galilea, lula dua ra dhèu sabꞌa dhasi. 
MAT.4.19	Hèia Yesus paroa si, aku Nèngu na, “Mai ku madhutu Jaꞌa! Miu biasa tenge iꞌa, te ngaa limuri ne Jaꞌa neo ajꞌa miu ho jꞌajꞌi tuka tenge dhèu.” 
