GEN.1.1	Kafa viuḡuwai Guyau abama keta fwayafwaya i fufunisiya. 
GEN.40.23	Eatu ukowa kana tokavenena muka Yosefa ita tukuya, i vinuwataunuwiya.
GEN.41.1	Manamana nuwesi i kakavisiya muninei, Itifita tufomu i kavayuna vitana Naeni ukowa kafakainei i misimisiniya. 
GEN.41.2	Tovanama nenei bunumakau kasi 7 na kasi tufutufuwa yota kasi kita dewadewasi ukowei si vanenemiya keta nabenabe kafakainei, nimwau si kakawa. 
GEN.41.3	Yota bunumakau kasi 7 kasi kita goyosi keta banibaninisi munisiyai si vanenemiya eketa niniusiyai si misiniya. 
GEN.41.4	Kasi kita goyosi keta banibaninisi si misiniya keta kasi 7 na kasi tufutufuwa keta kasi kita dewadewasi, si kanisiya. Nokomai tufomu i kenoviniya.
GEN.41.5	Tovanama i banu-savaviniya, yota i kavayuna. I kitiya witi uguna tamokaḡa nenei, i foka 7 wanosi nakanakasisi yota dewadewasi. 
GEN.41.6	Muniyai yota 7 si foka o wanosi kasi kita vitana fonimana inainana ita taoyayanisi eyo sita wenono. 
GEN.41.7	Wano wenonosi si misinimoka tu wano nakanakasisi keta dewadewasi, si tononisiya. Eketa tufomu i kenoviniya atu i sanamaniya o i kavayuna.
GEN.41.9	Atu tufomu kana ukowa kana tokavenena kasi toviketanuneina, tufomu i iyaviya i bwaduwa, “Ae aiye, kimoki yo yaku fufunagoyo a tukuya. 
GEN.41.10+GEN.41.11+GEN.41.12	Manatuwaina tovanama maneka kana tokaguwana kasi toviketanuneina keta iyau, ku nuwagoyowikiya eketa tuiyo kasi toviketanuneina yana numa sinenei, deniyai ku tenikiya. Tovanama nenei tene Ibeniu tufunakasina tamokaḡa waniya nokomai. Tanake o toviketanuneinanama kana kaetoḡa. Nuwabuna tamokaḡa nama nuwa ka kavayuna. Kama kavayunasima ka iyaviya eketa kasi givina i yausiya nenekiyai o tuninatunina. 
GEN.41.13	Avana i bwaduwiya, naki maisemoka i kikinomana. Iyau ku tene-savavinikuwa yaku kafa mudadava nenei, eatu ya tonuaviya ku visimeisiya keta maneka kana tokaguwana kasi toviketanuneina kayona si nuonosiya eketa tofwana kai etanei si sinavikukiya.”
GEN.41.14	Eketa tufomu bwadu i vininitiya Yosefa fasinei eketa muka mwanenena atu deniyai si oviya. Nauna kana mutukonokono i tanakakanuya keta kana nuya i dawanatamatamanina muniyai yo si niiya tufomu nenei.
GEN.41.15	Eketa tufomu i bwaduwa, “Nuwabuna a kavayuna, eatu muka tamo aitevana kana fata ita yauya nenekuwai. Atu a nowaniya avage tovanama avi kavayuna kuna nowaniya, ka fata kuna yauya.”
GEN.41.16	Atu Yosefa i bwaduwa, “Iyau muka kaku fata, eatu Guyauḡa kana kiyau dewadewana ina veniwa.”
GEN.41.25+GEN.41.26+GEN.41.27+GEN.41.28+GEN.41.29+GEN.41.30+GEN.41.31+GEN.41.32	Keta Yosefa na yana vimogumogu i bwaduwa, “Tufomu yo, ka kavayuna nuwesi kasi nuwanuwa naki tamokaḡa. Aviyavana tova kabegomokena Guyau ina saviviniya fasinei, neneweu i tene-kikinomaniya. Guyau naki i givifakiniya, iba nofe kabegomokena ina saviviniya. Nofe fasinei tamoka kavayunanama atu kawa nuwa i visawaveniwa.
GEN.41.25+GEN.41.26+GEN.41.27+GEN.41.28+GEN.41.29+GEN.41.30+GEN.41.31+GEN.41.32	Bunumakau kasi 7 na kasi tufutufuwa yota kasi kita dewadewasi, maise yota witi fokasi 7 nakanakasisi keta dewadewasi, kasi nuwanuwa manamana 7 mauna. Itifita kana matatafu ina mauna.
GEN.41.25+GEN.41.26+GEN.41.27+GEN.41.28+GEN.41.29+GEN.41.30+GEN.41.31+GEN.41.32	Bunumakau 7 banibaninisi yota kasi kita goyosi munisiyai si vanenemiya, yota witi fokasi 7 fisusi vitana fonimana inainana ita taoyayanisi keta sita wenono, kana nuwanuwa o manamana 7 nenesiyai noga. Manamana 7 mauna muninei, manamana 7 yota sinesiyai noga ina kikinomana. Eketa fiyao Itifita yasi mauna kana tova yawane sina vinuwataunuwiya, uḡuna fafani kana matatafu noga ina munuya.
GEN.41.25+GEN.41.26+GEN.41.27+GEN.41.28+GEN.41.29+GEN.41.30+GEN.41.31+GEN.41.32	Tufomu yo, nofe avana a bwaduwisiya o naki maisemoka Guyau kabegomokena ina saviviniya.
GEN.41.33	Tufomu yo, tamo namoḡa tosanamana atu na nuwatasuyasuyana kuta gibokiya be tanake Itifita kana matatafu ita visimeiya. 
GEN.41.34	Menana tamokatamokaḡa nenesiyai kawakawa kuta vinuwadadanisiya. Ebe manamana 7 mauna yana tova nenei, tovanama kabwaga oyuna kasi tutuya nenesiyai, kawakawasima dawana 5 nenesiyai tamokaḡa sita gigivikaviniya. 
GEN.41.35	Nofe kawakawasima maisa matatafuna sita kwakwiya. Ya visime nenei, menana tamokatamokaḡa nenesiyai maisa matatafuna yasi bonuwai sita totoisiya ebe sita kitavikaviniya namoḡa fasisiyai. 
GEN.41.36	Nofe dawanasima yawane namoḡa ita vibiyawasisiya manamana 7 sinesiyai, tovanama noga ina kikinomana Itifita sinenei. Ebe nofe ketaketanama nenei, namoḡa muka vitanona nenei sita domuna.”
GEN.41.37	Tufomu yana namoḡa nakanakasisi nukusi ketaketanama nuwatasi i oviya. 
GEN.41.38	Eketa tufomu i iyavisiya i bwaduwa, “Venemokena, Guyau kanununa o namoḡa nofe nenei, yota muka tamo namoḡa tonuwatasuyasuya venemokena yo tana nisaḡai maise tanake.”
GEN.41.39	Eyo tufomu Yosefa i iyaviya i bwaduwa, “Uḡuna Guyau o ibasima nofe i gikikinomanisiya neneweu, eketa muka tamo aitevana yana sanamana be yana nuwatasuyasuya maise kwaḡa. 
GEN.41.40	Yaku kafa visime matatafuna kwaḡa nimaweu eketa yaku namonamoḡa matatafusi, ya visimesima sina muniisiya. Eatu wavaḡa kana vifotu fasinei o kwaḡa sifukuwai.”
GEN.41.41	Eketa Yosefa nenei i bwaduwa, “Nofe tova kwaḡa a ginakasiwa Itifita kana matatafu kana tovisime.” 
GEN.41.42	Eketa kana nimabweuna vivigionina,
GEN.41.45	Eketa tufomu Itifita wavana Yosefa i veniya, Safeneti-faniya.
GEN.41.46	Yosefa i vibutuwa bunanige Itifita tufomu fasinei kana manamana 30 nenei. Noko muninei Yosefa i misiniya keta tufomu i venuteweiya eatu Itifita kana matatafu i vadadaniya. 
GEN.41.47	Manamana 7 mauna yana tova sinesiyai fafani Itifita i maunafaga. 
GEN.41.48	Noko manamanasima sinesiyai, Yosefa namoḡa i iyavisiya ebe kabwaga si ooyuna atu tufotufo si vakukusiya keta menaninama tamokatamokaḡa kana bonuwai i totoiya. 
GEN.41.49	Dawana i kisiwaḡa si vimwanauḡuna maise numagama kwadewai, eketa kana ginaḡanaḡa Yosefa i onoviya.
GEN.41.53	Manamana 7 sinesiyai Itifita sinenei, mauna kana tova i kakaviya. 
GEN.41.54	Eatu manamana 7 noga i vibutuwa, naki avana Yosefa i bwaduwiya maisemoka i kikinomana. Fafani matatafuna nenesiyai o noga nakasina i kikinomana, eatu Itifita yana kafa visimeḡa nenei o kabwaga i fakwafakwa. 
GEN.41.55	Tovanama fiyao Itifita si vitanonamoka, si vikokona-bwedibwediya tufomu nenei kabwaga fasinei. Eatu tufomu i iyavisiya i bwaduwa, “Yosefa nenei kwa nai be avana ita iyavimiya maise, kwa savivinei.”
GEN.41.56	Fwayafwaya kana matatafu noga nakasina atu Itifita nenei o nakatamokena. Eketa Yosefa kabwaga kasi bonu i kiyauwa eketa fiyao Itifita nenesiyai i vikimwaneina. 
GEN.41.57	Atu yota mani fafani nenesiyai noga i nakatamoka. Na fasinei namoḡa si nenemiya Itifita eketa Yosefa nenei kabwaga si vivikimwaneya.
GEN.42.1	Eatu tovanama Yakobo i nowaniya vitana Itifita nenei kabwaga, natunatuna nenesiyai i bwaduwa, “Namaise yo kwa nigwanavaḡata. 
GEN.42.2	Kwa vaneneḡa! A nowaniya vitana Itifita nenei kabwaga. Kwa sobu nokomai kwa vikimwane akata tana domuna.”
GEN.42.3	Eketa Yosefa sisitawaḡana kasi 10 si sobuwa Itifita kabwagavikimwane fasinei. 
GEN.42.4	Atu amasi i vinuwana vitana tamo avana goyona ita kikinomana Beniyamina, Yosefa kana tufunuwa nenei. Na fasinei muka ita visimeyei ebe nukusi sita nai nenei. 
GEN.42.5	Fafani Kenani nenei noga naki i goyomoka, na fasinei Yakobo natunatuna yota namoḡa yagwanisi nukusi si sobuwa Itifita kabwagavikimwane fasinei.
GEN.42.6	Noko tovanama nenei fafani matatafuna Itifita sinenei Yosefa i vivisimeiya, eketa namoḡa matatafusi nenesiyai kabwaga i vivikimwaneiya. Eketa tovanama sisitawaḡana si kikinomana, kaevavanei si koduwa fwayafwayai. 
GEN.42.7	Yosefa i kitakinanisiya eatu seba i teweiya vitana muka ita sanamaneisi eketa i kayosanakiya nenesiyai i bwaduwa, “Kwami namaniyei kwa nemai?”
GEN.42.7	Eketa si bwaduwa, “Kima Kenaniyei ka nemiya kabwagavikimwane yawagiki.”
GEN.42.8	Yosefa sisitawaḡana i kinanisiya atu tasike o muka sita kitakinanei. 
GEN.42.9	Kana kavayuna i tukunakasiya fasisiyai eketa i bwaduwa, “Kwami tokitanaḡanaḡa kwa nemiya kwana sanamaniya kawasasa kafa kanasuna ebe yo nemaniyei kwana vibutukiya.”
GEN.42.10	Atu si nufata si bwaduwa, “Aiye, muka. Kima ka kaetoḡa ka nemiya o kabwagavikimwane yawagiki.”
GEN.42.21	Eketa tututausi nenesiyai si vikanusifusifufuwa si bwaduwa, “Noko tovanama nenei taita i bwedisitasita kana ovivita fasinei kana dauna ta kitiya eatu muka tata sineganiganiyei. Na fasinei nofe dauninama ta kakamukoniya o kita kata kuvana.”
GEN.42.23	Yosefa o Itifita fonasiyai i nunusifufuwisiya keta togivina i gigiviniya nenesiyai. Na nenei si bwaduwa vitana muka yasi sifufu ita nowanowaniya.
GEN.45.4	Yosefa Ibeniu fonasiyai sisitawaḡana i iyavisiya i bwaduwa, “Simokaḡa kwa nemai niniukuwai.” Eketa si nemiya niniunei, eyo i bwaduwa, “Iyau taimi Yosefa. Gwadikuma kwa vikimwaneikuwa Itifita nenesiyai. 
GEN.45.5	Noko fasinei muka nuwatami ina dauna be tututaumi kwana vikanuwanuwagoyo, kwa vikimwaneikuwa be a nemiya nofemai fasinei. Atu tanake Guyau i mikiteweikuwa a nemiya namoḡa kasi gifafafana fasinei. 
GEN.45.6	Noga i nemiita manamana nuwesi. Eatu yota manamana 5 si nenemiya nenesiyai, muka tamo aitevana kana fata ina baguna o ina nukabwaga. 
GEN.45.7	Guyau i mikiteweikuwa kunaumi ebe yawasimi ata gifafafanisiya ketaketa dewabauna nenei, ebe susukwa kiyakiyayana muka ina domuna fwayafwaya nofe nenei. 
GEN.45.8	Nofe fasinei kwami muka kwata teweyeiku be ata nemi nofemai, eatu tanake Guyau i teweikuwa. Eketa i tenikuwa togivisawakedana tufomu fasinei, yota yana namonamoḡa yasi tuveka keta yota Itifita kana tovisime.
GEN.45.10	Na uguniu kwata vikukuwayauna, be yami yomuyomu be waḡawaḡau nukusi kwata nemiya fwayafwaya Goseni nenei, niniukuwai kwata vimenana. 
GEN.45.11	Ebe yo manamana 5 nenesiyai yawane noga ina niniya, ana kitikitimiya. Akata ka sabu nukusi vitanona nenei kwana fakwa.”’”
GEN.45.25	Yosefa sisitawaḡana Itifita si teweiya atu si makavinisiya Kenani amasi Yakobo nenei. 
GEN.45.26	Eketa amasi si iyaviya si bwaduwa, “Yosefa noko i fakwafakwa, muka ita mate atu tanake Itifita kana tovisime.” Eatu Yakobo si visabanutuiya eketa muka ita vitumaḡaneisi.
GEN.45.27	Atu matatafuna avana Yosefa i bwaduwiya maise si iyaviya. Keta yota Yosefa waganusoni
GEN.45.28	Eketa i bwaduwa, “O bwadu venemokena. Natuku Yosefa gewa i fakwafakwa. Kwa niyeiku be natuku tafakaina a kitai, fonana a nowaniya, yo muniyai kwana teneviunikuwa.”
GEN.46.1	Eketa Yakobo, yota kana wava kana vinuwa Isineni, ugunina nukusi si vikukuwayauna Itifita fasinei. Eketa tovanama si nemiya Biyasiba, yomuyomu i vibwanaoseisiya amana Aisake yana Guyau nenei. 
GEN.46.2	Na nuwabunanama nenei Guyau kenokitai i iyaviya i bwaduwa, “Yakobo! Yakobo!”
GEN.46.2	Eketa i vinowaniya, “Iyau weka.”
GEN.46.3	Eketa Guyau i bwaduwa, “Iyau Guyau, amau yana Guyau. Muka kuna matuta ku niniya Itifita fasinei, uḡuna noko menaninama nenei susukwau ana givinakasiya. 
GEN.46.4	Iyau nukusi tana sobuwa Itifita eatu yawane yota susukwau nukusi ana makavinimiya nofemai. Eatu kwaḡa o natuu Yosefa nimanei kuna vidawana.”
GEN.46.5	Eketa waganusonisima tufomu i vininitisiya nenesiyai Yakobo natunatuna si totoiya yota kakawasi keta natunatusi, eketa menana Biyasiba si teweiya. 
GEN.46.6+GEN.46.7	Yota yasi yomuyomu be kukuwa matatafuna Kenani nenei kasi fwasimowai i kikinomana, nukusi si niisiya Itifita. Yakobo i misiniya natunatuna namoḡa be vivine keta yota waḡawaḡana nukusi.
GEN.46.28	Yakobo Yuda i visimeiya i venuviketanuna Yosefa ina matakawiya vitana fafani Goseni nenei sina vikaninisaḡa. Tovanama si kikinomana nokomai, 
GEN.46.29	Yosefa yana aviya kana waganusoni si gidewadewiya keta i niya Goseni, amana i venufotefotiya. Tovanama amana i kitiya, i nusiya keta i bwediiya matanubwayouna. 
GEN.46.30	Keta Yakobo Yosefa i iyaviya i bwaduwa, “Kimoki gewa naki tauku matakuwai tafakaiu a kitiya na yawasiu, eyo muniyai kana nufota ina kakavikuwa.”
GEN.48.1	Tamoka tova Yosefa i biganowana amana i visafwavinaḡa. Eketa natunatuna kasi nuwa Manasa keta Ifeneimu i ovisiya keta si niya Yakobo kana kita fasinei.
GEN.48.2	Tovanama Yosefa i kikinomana, Yakobo si iyaviya si bwaduwa, “Natuu Yosefa i nemiya.” Eketa Yakobo matamataveyai atu naki i fiwanemokiya keta i nuvitoiya kana kiviyai.
GEN.48.4	I bwaduwa, ‘Kimoki ka sabu ana givinakasiya. Susukwau ana givigeyaniya ebe kunuma yagwanina ina kikinomana. Yota fwayafwaya nofe ana venisiya susukwau yasi fwayafwayavaḡata.’”
GEN.48.5	Yakobo yana bwadu i nusaviya i bwaduwa, “Eketa natunatuu kasi nuwa Ifeneimu keta Manasa Itifita si tufuwa yo muniyai a nemiya o iyau natunatuku, naki maisemoka Nubeni keta Simiyoni. 
GEN.48.6	Eatu muniyai natunatuu sina tufuwa, enao kwaḡa natunatuu. Eatu yasi fwayafwaya kana vitoniwaga fasinei o sisitawaḡasi Ifeneimu keta Manasa kasi wavai.”
GEN.48.13	Eketa Yosefa natunatuna kasi nuwa i niisiya Yakobo niniunei. Ifeneimu i teniya Yakobo kukikimawana, atu Manasa o kukikikataina. 
GEN.48.14	Eatu Yakobo nimana i tewewenuya keta kikikataina gwadiyei Ifeneimu debabounei i teniya atu kikimawana o i teniya kotokikinuna Manasa nenei. 
GEN.48.15	Eketa Yosefa i sawanuwagabubuwiya i bwaduwa,
GEN.48.15	“Guyaunama amaku Aisake keta waḡaku Ebenaamu nenei si kodukoduwa,
GEN.48.15	tufunakata nofe ita sawanuwagabubuwisiya.
GEN.48.15	Guyaunama yawasiku kana matatafu nenei i kitavikavinikuwa maise yomuyomu kasi tokitavikavina,
GEN.48.15	ita sawanuwagabubuwisiya.
GEN.48.16	Yota Guyau kana kaetoḡanama abamei i ofafafikuwa dauna matatafuna nenesiyai,
GEN.48.16	ita sawanuwagabubuwisiya.
GEN.48.16	A kawakawanunukuwiya be nofe tufunakatasima nenesiyai,
GEN.48.16	namoḡa kaku wava, amaku Aisake keta yota waḡaku Ebenaamu kasi wava, sita tukutukusiya.
GEN.48.16	Keta yota a kawakawanunukuwiya
GEN.48.16	be kasi sabu ita nakata fwayafwaya nofe nenei.”
GEN.48.17	Eatu tovanama Yosefa i kitiya amana kikikataina
GEN.48.18	Eketa i bwaduwa, “Amaku, na muka nemaise. Manasa o kotokikinuna. Na fasinei kikikataiu debabounei ku tenei.”
GEN.48.19	Eatu amana i vikununewanewa i bwaduwa, “Natuku, a sanamaniya avana a savisaviviniya. Kimoki Manasa kana wava ina nakata. Susukwanei yawane kunuma nakasina ina kikinomana. Atu taina o yawane nakatamataina yo tawaḡana. Eketa susukwanei yawane kunuma yagwanisi sina kikinomana.” 
GEN.48.20	Eketa na kuyadayadanama nenei i sawanuwagabubuwisiya i bwaduwa,
GEN.48.20	“Avi tova fiyao Isineni yasi sawanuwagabubu kana tovai, kami wava sina kinana sina bwaduwa,
GEN.48.20	‘Guyau ka kawakawanunukuwiya be ita sawanuwagabubuwiwa vitana Ifeneimu keta Manasa i sawanuwagabubuwisiya maise.’”
GEN.48.20	Noko nenei Ifeneimu kana wava i teneviketanuniya eatu Manasa i vimunifota.
GEN.48.21	Eketa Yakobo Yosefa i iyaviya i bwaduwa, “Ku nowaniya, iyau o kabegomokena be ina kakavikuwa, eatu Guyau o kwami nukusi. Eketa yawane ina makavinimiya waḡawaḡami fwayafwayasiyai.”
GEN.49.8	“Yuda, unaunau sina daviwa
GEN.49.8	keta sina koduwa neneweu.
GEN.49.8	Ka aviya kuna gikayusiya keta kuna vatanisiya.
GEN.49.9	kimoki mani yomuyomu kuna fiwanateweisiya keta kuna visimeisiya.
GEN.49.9	Naki naiyoni maise, tovanama ina gevagevamunuwa muninei yo ina makaviniya ina ketosebaḡa,
GEN.49.9	atu aitevana simo fatafatana yo ina vikasanegwanegwai?
GEN.49.9	Naki mukamokena!
GEN.49.10	Tufomu yana visime kana kiwana Yuda nimanei ina fakwa
GEN.49.10	keta susukwana o tova kana matatafu sina vivitovisimeya
GEN.49.10	kana nivaniva tonikiwana ina nemiya.
GEN.49.10	Nokomai kunuma matatafusi sina vimogumoguwiya.”
GEN.50.15	Yosefa sisitawaḡana si sanamaniya amasi yawasina i kakaviya eketa tututausi si vikanusifusifufuwa si bwaduwa, “Namai tu Yosefa yata fufunagoyo manatuwaina ina tukunakasiya yo ina kwabuyuna.” 
GEN.50.16	Eketa sifufu si vininitiya Yosefa nenei si bwaduwa, “Muniyai yo amata yawasina ina kakaviya, i bwaduwa, 
GEN.50.17	‘Yosefa nofemaise kwana iyaviya. “Sisitawaḡau yasi fufunagoyo neneweu, nuwanuwaku kuna vinuwateweiya.”’ Kima o amau yana Guyau kana kaetoḡa na fasinei ka vikokona-sineganiganiya neneweu ebe yama go'yona kuta vinuwateweisiya.” Tovanama Yosefa bwadu nofe i nowaniya, i bwedisitasita.
GEN.50.18	Eketa sisitawaḡana si nemiya naunei si fekuwa keta si bwaduwa, “Kima ka kaetoḡa.”
GEN.50.19	Eatu i iyavisiya i bwaduwa, “Muka kwana matuta, iyau muka Guyau. 
GEN.50.20	Manatuwaina kwata givikuvavanikuwa eatu Guyau i gikikinomaniya kana dewadewana ebe namoḡa yagwanisi muka sina domuna, maise kimoki ta kitakitiya. 
GEN.50.21	Na fasinei muka kwana matuta, na natunatumi ana kitavikavinimiya.” Nofemaise fonana biganei i sawavininiusiya.
EXO.1.2	Nubeni, Simiyoni, Nebi, Yuda, 
EXO.1.3	Isaka, Sebunoni, Beniyamina, 
EXO.1.4	Dani, Nafatanai, Gada, keta Asa. 
EXO.1.5	Yosefa o waniya Itifita. Yakobo susukwana kasi numatatafu kasi naḡa 70.
EXO.1.6	Muninei Yosefa keta unaunana matatafusi tufudenideni yota aviyaonana noko tufuwinama kana sewasewa si matekooḡa. 
EXO.1.7	Eatu fiyao Isineni susukwasi si vinatunaneuneuwa eketa sabu i nakatamoka. Eketa Itifita fwayafwaya si toḡafotafotiya.
EXO.1.9	Yana sabu nenesiyai i bwaduwa, “Kwa kitai, fiyao Isineni nofe tova naki si tufuteweita. 
EXO.1.10	Taki kata aviya sina vivibututa nenei, Isineni nifanifaita sina tuyanomwanisiya keta sina nuaviita atu nofe fwayafwayanama nenei sina dibwana sina niya. Na fasinei ketaketa tamo ta vinuwadadana-dewadewai ebe muka kasi sabu ina nakatamoka.”
EXO.1.11	Nofe fasinei fiyao Isineni si tenisiya mudadava daunisi nenesiyai. Yota mudadava tamokatamokaḡa kana tovisimeonaona si tenisiya be sina visimeisiya. Eketa namoisima fiyao Isineni si nuyakayakanisiya be menana nuwesi nakanakasisi Fitomi keta Namesese si vikanasiya ebe nokomai tufomu kabwaga be nogonogo ina tenisiya. 
EXO.1.12	Naki namaise dauna kasi nakanakata si venivenisiya, atu fiyao Isineni si teniya be si vinatunaneuneuwa keta si geyanamoka Itifita si gikafufuya. Nofe nenei keta Itifita namoisi fiyao Isineni si matutisiya. 
EXO.1.13+EXO.1.14	Na uḡuna keta mudadava daunamokesi nenesiyai si yoyoḡavinavina. Si nuyakayakanisiya be mota
EXO.2.1	Tovanama noko savivinanama i niniya, Nebi fasekwina sinenei namoḡa tamokaḡa i vikawana-toniwaga. 
EXO.2.2	Gumayogu i visifuḡa keta gwadimonamona namoḡa i vinatuniya. Ayona si kitiya gwadimonamona kotokiwaḡa, na fasinei si teneviuniya yamayamana tonusi. 
EXO.2.3	Atu tovanama muka kasi fata be yota sina teneteneviunei matanubwayouna, kautu kikiyonana waguwagudabu nenei si yoniya kautunama si viya keta kibasi nenei si maifotafotiya be muka ukowa ina kanasuna. Eyo gwadimonamona si totoiya sinenei eketa ukowa Naeni kafakainei kawaununa sinesiyai si teniya. 
EXO.2.4	Gwadimonamona tawaḡana gumayogu i misiniya matakedawanauna eatu i vivinanuya ebe ina kitiya avana ina kikinomana nenei.
EXO.2.5	Noko tovanama nenei, Itifita tufomu natuna gumayogu i sobuwa ukowai towa yawagina, eketa yana fiyavivine o ukowa kafakainei si fanafana. Eatu tufomu natuna gumayogu kautu i kitiya kawaununa sinenei keta yana gumayogu tamokaḡa i iyaviya eketa kautu ukowai i sinaviduduniya keta i viya. 
EXO.2.6	Tovanama kautu i vitanadadiya, i kitiya gwadimonamona i bwedibwediya. Na fasinei i kitasineganiganiiya keta i bwaduwa, “Auu, nofe tanake o Ibeniu gwadimonamona.”
EXO.2.7	Gwadimonamona tawaḡana i niya keta tufomu natuna i vikokoniya i bwaduwa, “Kana fata tamo ne Ibeniu ata iyaviya be gwadimonamona ita visusuya fasiweu?”
EXO.2.8	Eketa yana bwadu i vinowaniya i bwaduwa, “Ika, ku nai.” Gumayogu i niya eketa gwadimonamona tauna ayomokena i ovisiya. 
EXO.2.9	Eketa tufomu natuna i iyavisiya i bwaduwa, “Gwadimonamona nofe kwa vai be kwa visusuya fasikuwai, eatu ana fatimiya.” Eketa gumayogu natusi si niiya numai keta si visusuya. 
EXO.2.10	Tovanama gwadimonamona naki i nakata, si niiya tufomu natuna gumayogu nenei eketa i fayaiya. Gumayogu i bwaduwa, “Ukowai a sinanakasiya fasinei, ana weniya Mosese.”
EXO.2.12	Mosese i kitavinavina atu muka tamo aitevana ita tonetoneyei, eketa tene Itifita i nuvimatiya keta tofwana numagamai i venusanitautauniya.
EXO.2.13	Tova i katakiya tovanama Mosese i makavina-savaviniya, fiyao Ibeniu nasi nuwa i kitisiya si vivikamunumunuwa. Eketa tosinatamaneina i nutoninuvenuviya i bwaduwa, “Ava uḡuna yo unau ku munumunuya?”
EXO.2.14	Atu i kawafatiya i bwaduwa, “Aitevana masi kwaḡa i teneu kama tovisime keta kama tonuvisi? Omasi kuna nuvimatikuwa maise foma tene Itifita ku nuvimatiya?” Mosese i matuta keta nuwasinenei i bwaduwa, “Namoḡa naki si sanamaniya aviyavana a saviviniya.” 
EXO.2.15	Tovanama tufomu biganama noko i nowaniya, ketaketa i nuwasa be Mosese ina nuvimatiya. Eatu Mosese i dibwana keta i niya Midiyani kana fafaniyai i fakwa.
EXO.3.1	Yeteno tanake Midiyani yasi guyau kana tovibwanaose. Nawana Mosese o yana sifi keta gouti kasi tokitavikavina. Tova tamokaḡa yomuyomusima i niisiya kedawanauwai wanakikaoḡowai yavanata kuweyaina keta i kikinomana Sainai,
EXO.3.2	Nokomai Yave kana kaetoḡa abamei kana kitakita vitana kai noyakaina maise, i kenokikinomana kisisiku sifununa sinefounei. Mosese i kitiya kisisiku sifununa i nununuḡa atu muka ita kanakanakoḡoiya. 
EXO.3.3	Mosese nuwasinenei i bwaduwa, “Aa, namaise yo kisisiku sifununa muka ita kanakanakoḡoiya? Yabe simokaḡamoka a vanai niniunei be a kitai ava venemokena i kikikinomana.”
EXO.3.4	Tovanama Yave i kitiya Mosese i nenemiya niniunei be ina toneiya fasinei, kisisiku sifununa sinefounei i bwaduwa, “Mosese! Mosese!”
EXO.3.4	Eketa Mosese i vinowana, “Ika, iyau weka.”
EXO.3.5	Eketa Yave i iyaviya i bwaduwa, “Muka yota kuna vanemai. Na fwayafwayanama nenei ku misimisiniya o tafutafuna, na fasinei ka kaevatakutakuna ku kaki. 
EXO.3.6	Iyau amau yana Guyau, Ebenaamu yana Guyau, Aisake yana Guyau eketa Iyakobo yana Guyau.” Tovanama Mosese nofemaise i nowaniya, i matuta Guyau kana toneyeina fasinei eketa tafakaina i tenefotiya.
EXO.3.7	Atu Yave i iyaviya i bwaduwa, “Namaise Itifita namoisi yasi givikuvakuvavaneina yaku namonamoḡa nenesiyai, naki a kitiya yota yasi bwedi a nowaniya. Nuwanuwasi ana gifafafanisiya aviyaonana kasi tovisimeonaona nenesiyai. Naki a sanamaniya yasi kuvavana. 
EXO.3.8	Na fasinei naki a sobunemiya keta ana ketoyausiya Itifita namoisi nimasiyai ebe ana kikinomanisiya, ana niisiya tamo fafani dewadewana yota nakasina keta maumaunina nenei. Eatu fwayafwayanama o fasekwasima maise fiyao Kenani, fiyao Itai, fiyao Amonai, fiyao Fenisi, fiyao Ivi keta fiyao Yebusi nokomai nofe tova si fakwafakwa. 
EXO.3.9	Bwadu venemokena, yaku namonamoḡa yasi bwedi a nowaniya yota naki a kitiya Itifita namoisi namaise si vivitoagoyogoyowisiya. 
EXO.3.10	Na uḡuna nofe tova a vivisimeiwa kuna niya Itifita tufomu nenei, ebe yaku namonamoḡa fiyao Isineni Itifitei kuna kikinomana-nemiisiya.”
EXO.3.11	Eatu Mosese Guyau nenei i sawaviyagwana i bwaduwa, “Iyau o naki namoḡakaokaoḡo. Eketa fiyao Isineni kasi kikinomaneina fasinei, namaise o ana vaisi tufomu nenei?”
EXO.3.12	Eatu Guyau i iyaviya i bwaduwa, “Ana vinuwiwa eketa tovanama fiyao Isineni Itifitei kuna kikinomana-nemiisiya nenei, nofe koyanama nenei nenekuwai kwana kodukoduwa. Ebe nofe nenei ina vikiyakiyaya vitana Iyau tauku a visimeiwa.”
EXO.3.14	Eketa Guyau Mosese i iyaviya i bwaduwa, “Iyau Mimituwa.
EXO.3.15	Fiyao Isineni nenesiyai kuna bwaduwa, ‘Yave, waḡawaḡami yasi Guyau, Ebenaamu yana Guyau, Aisake yana Guyau eketa Yakobo yana Guyau i visimeikuwa a nemiya nenemiyai.’ Nofe kaku wava fakwafakwa-vaḡasina, muniyai tufuwa si nenemiya yasi inuwe sina tukutukuya.”
EXO.11.1	Yave Mosese i iyaviya i bwaduwa, “Itifita tufomu yana namonamoḡa nukusi, yota tamokaḡamoka ana vimatadawanisiya. Muniyai yo tufomu ina sawateweimiya kwana niya. Atu yami nainama nenei matatafumi ina nukwavikwavinamokimiya. 
EXO.11.2	Nofe tova kuna niya keta fiyao Isineni matatafusi kuna iyavisiya kuna bwaduwa, ‘Kwana niya Itifita namoisi aviyaonana niniumiyai nukusi kwa fakwafakwa, kwana vikokonisiya nogonogo si fufunisiya siniva keta gonudi nenesiyai fasisiyai.’” 
