MAT.1.1	Abraham poho ne Dabid koro poho Yesu Kiristo ekashi shinrit ikiri anuye kambi.
MAT.22.17	Tambe gusu, nekon a E yainu ya? Un nure wa un kore,—Kaisaros otta yatu koropare-i anak ne oupeka ambe ne ya? Shomo ne ya? 
MAT.22.18	Un nure wa un kore, ari itak. Koroka, Shinuma nei utara wen koro ambe eraman wa otta ene itak-hi:—Echi kankapkapeka utara, hemanda gusu echi En koramnukara ya? 
MAT.22.19	Yaku koropare kuni ichen En nukare yan. Nei utara shine denarion koro wa araki nisa. 
MAT.22.20	Orota Shinuma ene itak-hi:—Tan nokaha newa kashiketa anuye wa an ikiri nen korope ne ruwe he an? Kaisaros korope ne shinuma utara ye nisa ruwe ne. 
MAT.22.21	Orowa, nei utara otta Shinuma ene itak-hi:—Tambe gusu Kaisaros otta Kaisaros korope koropare yan; Kamui korope anak ne Kamui otta yange yan, ari itak. 
MAT.22.22	Nei utara tan itak nu chiki iyokunnure wa Shinuma moshima no okai hine paye nisa ruwe ne. 
MAT.22.23	Nei toho ta hetopo-shiknu-ambe isam ari ye Saddokai un utara Shinuma orota araki wa uwepekennu hine ene itak-hi:— 
MAT.22.24	Epakashnu guru, po sak no ainu rai chiki koro iriwak nei machihi ahupkara wa iriwak otta kese kore kuni po hetukure yan, ari Mose itak nisa ruwe ne. 
MAT.22.25	Tap, ainu uiriwak ara wa niu okai; awa, kiyanne guru mat ahupkara, orowa no rai ruwe ne; po sak gusu koro akihi otta machihi hoppa nisa ruwe ne; 
MAT.22.26	tutanu an ainu ne yakka nei no iki, naa otutanu an ainu hemhem arawan uotutanu an ainu pakno hemhem nei no iki nisa ruwe ne. 
MAT.22.27	Ainu uiriwak obitta rai wa isam okaketa nei a shiwentep ne yakka rai okere. 
MAT.22.28	Tambe gusu, hetopo-shiknu ita anak ne nei shiwentep arawa niu otta inan guru machihi ne ruwe? Obitta kon nisa ruwe ne gusu ne na, ari itak. 
MAT.22.29	Koroka, nei utara otta Yesu ese wa ene itak-hi:—Echi utara anak ne, Kamui kambi-sosh newa Kamui mondum erampeutek wa gusu ohaita ruwe ne. 
MAT.22.30	Inambe gusu ne yakun, hetopo-shiknu ita anak ne mat ahuptara ambe hoku ahupkara ambe, mat akore ambe hoku akore ambe isam ruwe ne, koroka, kando otta an Kamui hauturumbe ukorachi ne ruwe ne. 
MAT.22.31	Koroka, rai guru hetopo-shiknu ambe gusu anak,— 
MAT.22.32	Kuani anak ne Abraham koro Kamui ne, Isaak koro Kamui ne, Yakob koro Kamui Ku ne ruwe ne, ari Kamui ye itak echi oro-oitak shomoki ruwe he an? Kamui anak ne rai guru koro Kamui shomo ne, koroka, ishu guru koro Kamui ne ruwe tapan na. 
MAT.22.33	Inne utara tan itak nu chiki, Shinuma koro epakashi koenushkari nisa ruwe ne na.
MAT.22.34	Koroka, Shinuma anak ne Saddokai un utara hau more ruwe ne sekoro Parisee un utara nu chiki yaiuwekarapare nisa ruwe ne. 
MAT.22.35	Awa, Kamui tuitak pita guru shinen Shinuma koramnukara hine uwepekennu wa ene itak-hi:— 
MAT.22.36	Epakashnu guru, tuitak tumugeta pase ikashpaotte inambe ne ruwe he an? sekoro itak. 
MAT.22.37	Orota Shinuma ene itak-hi: Eani sambe osshi pakno hemhem, keutum osshi pakno hemhem, ramu an pakno hemhem, Utarapa ne e koro Kamui omap yan. 
MAT.22.38	Tambe anak pase newa hoshiki no an ikashpaotte ne ruwe ne. 
MAT.22.39	Tutanu an ap anak ne tambe nei no an ruwe ne, Eani yaikota yaiomap korachi aota un guru ne yakka omap yan. 
MAT.22.40	Tan tu ikashpaotte kata tuitak newa uweingarape obitta akopashte wa okai ruwe ne.
MAT.22.41	Orowa, Parisee un utara uwekarapa wa okai rapoketa Yesu shine uwepekennu-i nu wa ene itak-hi:— 
MAT.22.42	Kiristo gusu echi nekon a yainu? Shinuma inan guru koro poho ne ya? Aige, Dabid poho ne sekoro nei utara ye nisa ruwe ne. 
MAT.22.43	Orota Shinuma ene itak-hi:—
MAT.22.43	Yakun, E epokba utara e chikiri choropoketa ku ande pakno,
MAT.22.43	Ku shimon tek samata a,
MAT.22.43	Ani Utarapa anak ne ku Utarapa otta ye,
MAT.22.44	sekorʼan itak ani nep gusu Dabid anak ne ramat oshiketa koro poho epeka no Utarapa ani reikore ya? 
MAT.22.45	Dabid anak ne Shinuma Utarapa ani ye chiki, nekon 
MAT.22.46	a iki wa gusu koro poho ne ya? Orowa shine itak ani poka ese eashkai guru shinen ka isam, aige, nei toho wano Shinuma otta uwepekennu eashkai guru shinen ka isam nisa ruwe ne na.
MAT.23.1	Nei ita Yesu anak ne inne utara newa koikara utara otta ene itak-hi:— 
MAT.23.2	Kambi-nuye utara newa Parisee un utara Mose koro set kashiketa rok ruwe ne: 
MAT.23.3	tambe gusu nep ne yakka nei utara echi kashpaotte chiki, nei no ki wa shikkashima yan: koroka, nei utara ki ikip nei no iteki ki yan, nei utara ye, koroka, yaikota iki shomoki ruwe ne gusu ne na. 
MAT.23.4	Ruwe un, nei utara anak ne pase wa sei hokamba shikehe kara wa ainu utara tapsutu kata ande, koroka, koro shine ashikepet ani nei ambe koshnere shomoki ruwe ne. 
MAT.23.5	Nei utara anak ne aeshikkoingara kuni ne ikip ki ruwe ne: inambe gusu ne yakun, shinuma utara sep pirakteria ushi, orowa, amip chingi porore ruwe ne, 
MAT.23.6	orowa, marapto an-i ta sapane ushiketa rok katu hemhem, 
MAT.23.7	Kamui kora kenru sapane set hemhem, iraugetupa ushita ako-ongami-i hemhem, utara orowa no Rabbi ani aye-i hemhem, konoburu ruwe ne gusu ne na. 
MAT.23.8	Koroka, echi utara anak ne iteki Rabbi ani aye yan: inambe gusu ne yakun, echi koro epakashnu guru anak ne shinen ne, aige, echi utara obitta uiriwak ne ruwe ne. 
MAT.23.9	Naa samata, kanna moshiri ta nen ne yakka michi ani iteki ye yan, inambe gusu ne yakun, kando otta an shinen anak ne echi koro Michi ne ruwe ne. 
MAT.23.10	Naa samata, nishpa ani iteki aye yan, inambe gusu ne yakun, echi kon Nishpa shinep ne, Kiristo ne ruwe ne. 
MAT.23.11	Koroka, echi tumugeta an iyotta pase gurʼanak ne echi koro uitek guru ne kusu ne. 
MAT.23.12	Orowa, nen ne yakka yaikota yairikta ande gurʼanak ne aeoripakka kusu ne; orowa, yaikota yaieoripakka guru anak ne arikta ande kusu ne.
MAT.23.13	Aa kankapkapeka kambi-nuye utara newa Parisee un utara, echi yaisambepokash humi! Inambe gusu ne yakun, utara gusu Kando moshiri echi koapashi: echi utara yaikota ahup shomoki, 
MAT.23.14	orowa, ahup korʼan utara etokotuye ruwe ne gusu ne na.
MAT.23.15	Aa kankapkapeka kambi-nuye utara newa Parisee un utara, echi yaisambepokash humi! shine koikara guru kara kuni ne rep oro ya oro echi nikkotama ruwe ne; orowa, koikara guru anere chiki echi kasu no tup pakno Gehenna un po ne kan ruwe ne gusu ne na.
MAT.23.16	Nen ne yakka Kamui kora kenru koye wa ekambakbe kara chiki, nep ne ka aramu shomo ne; koroka, nen ne yakka Kamui kora kenru un kongani koye wa ekambakbe ki yakun, shosei guru ne ani ye shiknak ru epakashnu echi utara yaisambepokash humi! 
MAT.23.17	Haita newa shiknak echi utara: kongani hene kongani ashkannere Kamui kora kenru hene inambe pase ambe ne ruwe he an? 
MAT.23.18	Shui, nen ne yakka yange set koye wa ekambakbe kara chiki, nep ne ka aramu shomo ne; koroka, nen ne yakka yange set kashiketa okai ayangep koye wa ekambakbe ki chiki, shosei guru ne ruwe ne. 
MAT.23.19	Shiknak echi utara; ayangep hene ayangep ashkannere yange set hene, inambe pase ambe ne ruwe he an? 
MAT.23.20	Tambe gusu, yange set koye wa ekambakbe kara guru anak ne yange set newa kashiketa okai nep ne yakka ukotamge no koye wa ekambakbe ki ruwe ne. 
MAT.23.21	Orowa, Kamui kora kenru koye wa ekambakbe kara guru anak ne Kamui kora kenru newa orota an Kamui ne yakka koye wa ekambakbe ki ruwe ne. 
MAT.23.22	Orowa, kando koye wa ekambakbe kara guru anak ne Kamui araset newa kashiketa a Kamui koye wa ekambakbe ki ruwe ne na.
MAT.23.23	Aa kankapkapeka kambi-nuye utara newa Parisee un utara, echi yaisambepokash humi! Inambe gusu ne yakun, echi utara anak ne hakka mun gusu hemhem, uikiyo mun gusu hemhem, makin mun gusu hemhem, yaku echi sange ruwe ne, koroka, tuitak gusu an aesanniyop newa rampoken newa eishokor-i nei no an pase ambe shomo echi kan ruwe ne: koroka, tap okaibe echi ki kunip ne, orowa nei ambe ne yakka echi shomo ki no an katu anak ne wen ruwe ne. 
MAT.23.24	Shiknak ru epakashnu utara, etutanne kikiri gusu echi rekuchi iun, koroka, rakuda chikoikip echi ruki ruwe ne.
MAT.23.25	Aa kankapkapeka kambi-nuye utara newa Parisee un utara, echi yaisambepokash humi! Inambe gusu ne yakun, itangi newa orowa aibe sei soige echi ashkannere ruwe ne, koroka, onnaige anak ne ibeshikashure ambe newa eikaunu ambe ani eshik ruwe ne. 
MAT.23.26	Shiknak Parisee un guru, itangi newa orowa aibe sei soige ne yakka aashkannere kuni ne hoshiki no nei onnaige ashkannere yan.
MAT.23.27	Aa kankapkapeka kambi-nuye utara newa Parisee un utara, echi yaisambepokash humi! Inambe gusu ne yakun, echi utara anak ne aretaraka tushiri korachi ne ruwe ne, nei soige anak ne atomte ne, koroka, onnaige anak ne rai guru koro pone newa obitta no okai ichakkere ambe ani eshik ruwe ne. 
MAT.23.28	Tap korachi echi utara ne yakka ainu shik orogeta oupeka utara ukorachi anutara, koroka, echi onnaige anak ne kankapkapeka ambe newa wen-buri ani eshik ruwe ne gusu ne na.
MAT.23.29	Aa kankapkapeka kambi-nuye utara newa Parisee un utara echi yaisambepokash humi! Echi utara anak ne uweingara utara koro tushiri kara, orowa, oupeka utara koro iyurui tomtere ruwe ne, aige, ene 
MAT.23.30	itak-hi:—Ekashi okai ita chi utara ne yakka shiknu a chiki, nei utara tura no chi utara anak ne uweingara utara shomo ronnu, ari echi itak. 
MAT.23.31	Tambe gusu echi utara anak ne uweingara utara ronnu guru koro poho utara echi ne sekoro yaiyepaweteshu echi ki ruwe ne. 
MAT.23.32	Tambe gusu echi koro ekashi koro chomba eshikte yan. 
MAT.23.33	Okotko utara, paskuru tokkoni koro sanike ne echi utara, Gehenna oma aesanniyop nekon a echi ehaita kusu ne ya? 
MAT.23.34	Tambe gusu, ingarʼan, uweingara utara hemhem wayashnu utara hemhem kambi-nuye utara hemhem echi orun Ku payere: orowa, echi utara anak ne nei tumugeta sereke okai utara ronnu wa utasa chikuni otta kungi kokikkik kusu ne, sereke utara Kamui kora kenru otta shirikik, orowa, machiya orowa no oya machiya otta keshke kusu ne; 
MAT.23.35	tambe anak ne moshiri kata aohetu oupeka kem, oupeka Aberu kem orowa no yange set newa Kamui kora kenru ukouturugeta echi raige Barakia poho Zakaria kem pakno obitta echi kata aande kuni ne echi ki kusu ne. 
MAT.23.36	Son no echi otta Ku ye, tane okai ainu ikiri otta tap okaibe ek kusu ne.
MAT.23.37	Aa uweingara utara ronnu, orota apayere utara shuma ani kopiyekara Yerusarem kotan, Yerusarem kotan! niwatori chikap koro tekkup choropoketa pon chikap uwekarire korachi, hembak-shui Kuani neyakka echi poho Ku uwekarire rusui? 
MAT.23.38	Awa, echi kopan! Ingarʼan, echi kot chisei anak ne po sak chisei korachi echi gusu an ruwe ne. 
MAT.23.39	Echi otta Ku ye, Utarapa reihei ani ek gurʼanak ne anunuke ne ari an itak ani echi ye pakno echi En nukara shomoki kusu ne gusu ne na.
MAT.24.1	Orowa, Yesu anak ne Kamui kora kenru orowa no soine wa oman shiriki, aine, koikara utara araki wa nei Kamui kora kenru akara ambe orota nukare nisa ruwe ne na. 
MAT.24.2	Koroka, nei utara otta Shinuma ese wa ene itak-hi:—Tan okaibe echi nukara shomoki ya? Son no echi otta Ku ye,—Tan ukata okai shomo ahachire kusu ne a shuma anak ne shine shuma poka shomo aande kusu ne na.
MAT.24.3	Orowa, Shinuma Kanran-ush nupuri kata a wa an rapoketa, koikara utara arorokishne no orota araki wa ene itak-hi:—Tan okaibe hembara ta hetuku ya? orowa, E ek kuni shirosh hemhem, moshiri shiokere kuni gusu an shirosh hemhem, nekon a an shirosh ne ya? un nure wa un kore, ari itak. 
MAT.24.4	Yesu ese wa nei utara otta ene itak-hi:—Inan guru orowa no ne yakka iteki echi kokandama kuni ne yaitubare yan. 
MAT.24.5	Inambe gusu ne yakun, inne utara Ku reihei ye hine araki wa:—Kuani anak ne Kiristo ku ne, ari itak, aine, inne utara ru turainure kusu ne. 
MAT.24.6	Orowa, tumi-koro orushpe hene tumi pahau hene echi nu kusu ne: iteki kimatek no okai yan: inambe gusu ne yakun, tap okaibe anak ne hetuku gusu ne ap ruwe ne: koroka, shiokere-hi anak ne naa shomo ruwe ne. 
MAT.24.7	Uirup anak ne uirup kotumi koro, moshiri anak ne moshiri kotumi-koro kusu ne: orowa, usa okai kotan ta kemush hene iki, shirishimoye bene an kusu ne. 
MAT.24.8	Koroka, obitta tan okaibe anak ne nuwap an kuni-i atpake ne ruwe ne. 
MAT.24.9	Nei ita anak ne echi aeramchuptekte gusu echi ekoshi wa echi raige kusu ne: orowa, Ku reihei ankushkerai obitta, no okai uirup orowa no echi aepokba an kusu ne. 
MAT.24.10	Orowa, nei ita anak ne inne utara ureepetchiu, aige, utashpa uwe-ekoshi, utashpa uwe-etunne kusu ne. 
MAT.24.11	Orowa, inne shunge uweingara utara hopuni wa poron no okai utara ru turainure kusu ne. 
MAT.24.12	Samata, wenbe aporore an kusu ne gusu, inne utara koro omap-i nin kusu ne. 
MAT.24.13	Koroka, okese pakno yaishiporore gurʼanak ne kashi-a-obiuki kusu ne. 
MAT.24.14	Orowa, obitta no okai uirup utara orota an paweteshu ne gusu, ingi-nroshiri ta tan moshiri gusu an pirika orushpe aeupaskuma kusu ne; orowa, shiokere ambe anak ne ek tusu ne na.
MAT.24.15	Tambe gusu uweingara guru ne Danieru ani ayere aetunne iwendep nei ashkanne ushita ash shiri echi 
MAT.24.16	nukara chiki (orooitak guru ramepakari yan) Yudea ta okai utara nupuri orun kokira: 
MAT.24.17	chisei kata an guru chisei otta okaibe uina gusu iteki ran: 
MAT.24.18	orowa toi otta an guru hokannashi mip uk gusu iteki hoshipi yan. 
MAT.24.19	Koroka nei ita honkoro guru newa tononde utara yaisambepokash humi! 
MAT.24.20	Orowa, echi kira-i anak ne iteki mata otta hene Shini toho ta hene an kuni koramkoro yan: 
MAT.24.21	moshiri heashi wano tane pakno, orowa, te wano hembara pakno ne yakka isam pakno nei ita anak ne poro aeramuchuptekbe hetuku kusu ne na. 
MAT.24.22	Orowa, nei toho ataknere shomoki chiki anak ne, nen ne yakka shomo kashi a-obiuki ruwe ne a an na: koroka, anumge wa okai utara gusu nei toho ataknere kusu ne. 
MAT.24.23	Orowa, nei ita Kiristo anak ne teda an, toada an sekoro echi otta ye guru an chiki, iteki eishokoro yau. 
MAT.24.24	Inambe gusu ne yakun, inne shunge Kiristo newa shunge uweingara guru hetuku wa poro shirosh poro iyokunnurep nukare; orowa, eashkai chiki anak ne anumge utara ne yakka kokandama kusu ne. 
MAT.24.25	Ingarʼan, etoko wano tap echi nure ash na. Tambe gusu, shinuma anak ne nupuri kata an sekoro nei utara echi otta ye chiki: 
MAT.24.26	iteki paye: orowa, ingarʼan, chisei onnaigeta an tumbu ta an, sekoro echi otta ye chiki, iteki eishokoro yan. 
MAT.24.27	Inambe gusu ne yakun, imeru anak ne moshiri-pa wano hetuku wa moshiri-gesh pakno anukara korachi; 
MAT.24.28	Kamui poho ek katu ene ani ne. Neita ne yakka kaisei an ita anak ne nei ita kapachiri kouwekarapa kusu ne na. 
MAT.24.29	Koroka, nei toho ta hetuku aeramuchuptekbe nani okaketa, tokap chup akunnere, kunne chup koro pekere atte shomoki, nochiu chup anak ne kando orowa no rapapse, orowa, kando kiroro ashuyeshuyere kusu ne: 
MAT.24.30	orowa, Ainu Poho koro shirosh kando otta anukara kusu ne: orowa no moshni otta okai moshirʼun utara obitta yaituwashkarap, orowa, kiroro newa poro nupeki koro wa kando nishkuru kata o wa ek 
MAT.24.31	Ainu Poho nukara kusu ne Orowa, rappa poro humi ashte hawe tura Shinuma anak ne koro uitekbe payere wa ine rera orowa no kando-pa wano kando-gesh wano koro numge utara uwekarapare kusu ne.
MAT.24.32	Ichijiku chikuni gusu an shine itak-maukushte itak nu yan: koro ni-tek tane hapuru wa ham hetukure yak anak ne, sak ehange ruwe ne sekoro echi eraman; 
MAT.24.33	tap korachi echi utara ne yakka tan okaibe obitta nukara chiki, Shinuma ehange no an, apa samaketa an sekoro echi onnere yan. 
MAT.24.34	Son no echi otta Ku ye, tap ambe obitta auweomare pakno tane okai ainu ikiri isam shomoki kusu ne. 
MAT.24.35	Kando newa toi anak ne aisamka kusu ne, koroka, Ku itak anak aisamka shomoki kusu ne na. 
MAT.24.36	Koroka, nei toho newa pakihi eraman guru isam, kando otta okai hauturumbe ka erampeutek, Poho ne yakka eramu an shomoki, ouse Michi patek eramʼan ruwe ne. 
MAT.24.37	Orowa, Noa toho an korachi Ainu Poho ek pakihi ne yakka ene ani ne. 
MAT.24.38	Inambe gusu ne yakun, pe-san etokota Noa chip otta ahun pakno utara anak ne ibe wa okai iku wa okai, 
MAT.24.39	mat akore hoku akore wa okai wa pe-san hetuku wa nei utara obitta isamka pakno nei utara erampeutek korachi, 
MAT.24.40	Ainu Poho ek pakihi ene ani ne. Nei ita anak ne tu ainu toi otta okai wa shinen auk shinen aande kusu ne: 
MAT.24.41	tu shiwentep nishu otta uta, shinen auk shinen aande kusu ne. 
MAT.24.42	Tambe gusu shiruwande yan: echi koro Utarapa inan toho ta ek ya echi erampeutek ruwe ne gusu ne na. 
MAT.24.43	Koroka, tambe echi onnere yan: ikka guru inan pakihi pakita ek ya sekoro chisei kon nishpa eraman chiki, shiruwande wa koro chisei iteki aopattekka kuni ne kan nangon na. 
MAT.24.44	Tambe gusu echi utara ne yakka etokooiki wa okai yan; inambe gusu ne yakun, echi esanniyo shomoki pakihi ta Ainu Poho ek kusu ne. 
MAT.24.45	Chisei koro guru koro chisei epunginere ausshiunere kipniukesh wayashnu utara nen ne ruwe he an? Nei utara otta nei pakihi epa ita aep koropare kusu ne. 
MAT.24.46	Kon nishpa ek ita nei no iki guru nukara chiki anunuke ne ruwe ne. 
MAT.24.47	Son no echi otta Ku ye, nishpa anak ne koro wa okaibe obitta nei guru esapanere kusu ne. 
MAT.24.48	Koroka, wen ausshiunere guru keutumu ta ku kon nishpa ek moire ari ye; 
MAT.24.49	aige, tura no okai auitek utara shirikik, orowa, ihoshki utara tura no ibe hemhem ki iku hemhem ki chiki, 
MAT.24.50	nei usshiune guru esanniyo shomoki toho ta, ek kuni aramu shomoki pakihi ta kon nishpa ek wa nei guru shiri shirikik, 
MAT.24.51	orowa, kankapkapeka utara tura no eimekbe koropare kusu ne: nei ita anak ne chish hemhem niyorokara hemhem an kusu ne na.
MAT.25.1	Kando moshiri anak ne ratchako koro wa shine mat-ahupkara guru ekanok gusu paye wa niu ne hoku-sak shiwentep utara koheraye ruwe ne. 
MAT.25.2	Ashikne niu anak ne wayashnu ne, ashitnen anak ne wayasap ruwe ne. 
MAT.25.3	Inambe gusu ne yakun, wayasap utara anak ne ratchako koro wa paye ita, shum amba shomoki nisa ruwe ne: 
MAT.25.4	koroka, wayashnu utara anak ratchako tura shum op amba ruwe ne. 
MAT.25.5	Awa, mat-ahupkara guru moire wa gusu, nei utara obitta rubotke wa mokon ruwe ne. 
MAT.25.6	Aige, an noshike pakita, ingarʼan mat-ahupkara guru ek an na, hetak, hopumba wa ekanok gusu soyumba wa araki yan, ari an hawe anu ruwe ne. 
MAT.25.7	Tata otta, nei hoku-sak shiwentep utara obitta hopumba wa koro ratchako kan nisa ruwe ne. 
MAT.25.8	Awa, wayasap utara anak ne wayashnu utara otta ene itak-hi:—Chi kon ratchako tane oraitek gusu, echi koro shum pon no un kore, ari itak. 
MAT.25.9	Koroka, wayashnu utara ese wa ene itak-hi:—Echi paye wa echi eiwange kunip hok yan: ikineipeka echi okai hemhem chi okai hemhem eipak shomoki nangon na, sekoro itak. 
MAT.25.10	Orowa, nei utara shum hok gusu paye wa isam rapoketa, mat-ahupkara guru shirepa nisa ruwe ne; aige, iyetokooiki wa okai utara anak ne nei shuke iwai gusu mat-ahupkara guru tura ahup ruwe ne: orowa, apaushta aashi nisa ruwe ne. 
MAT.25.11	Okaketa moshima okai wayasap utara ne yakka araki wa ene itak-hi:—Utarapa, Utarapa, chi utara gusu apa maka wa un kore, ari itak. 
MAT.25.12	Koroka, nei utara otta shinuma ese wa ene itak-hi:—Son no echi otta ku ye; 
MAT.25.13	echi eramushkare ash na, ari itak. Tambe gusu shiruwande yan; inambe gusu ne yakun, tobo ne yakka pakihi ne yakka echi erampeutek ruwe ne gusu ne na.
MAT.25.14	Shui, ene ani ne:—Shine ainu oya moshiri ta oman, aine, otta koro usshiune utara hotuyekara wa, yaikota korobe shikkashimare nisa ruwe ne. 
MAT.25.15	Awa, shinen otta ashikne taranton kore, shinen otta tup kore, shinen otta shinep kore; nei utara pishno okai ki no an mondum ramepakari wa koropare nisa ruwe ne, orowa, payekai wa oman ruwe ne. 
MAT.25.16	Ashikne taranton akore gurʼanak ne nani nei ambe koro wa ani iraugetupa hine naa ashiknep epirika nisa ruwe ne. 
MAT.25.17	Tup akore guru ne yakka oman wa naa tup epirika nisa ruwe ne. 
MAT.25.18	Koroka, shine taranton akore gurʼanak ne oman wa toitoi ohori hine kon nishpa koro ichen nuina nisa ruwe ne na. 
MAT.25.19	Ohon no shirʼan ko anak ne nei ausshiunere utara kon nishpa ek wa tura no ukosanniyo nisa ruwe ne. 
MAT.25.20	Awa, ashikne taranton akore gurʼanak ne naa moshima ashiknep koro wa ek wa ene itak-hi:—Nishpa, ashikne taranton e en kore, awa, naa moshima okai ashiknep ku epirika nisa ruwe ne na, sekoro itak. 
MAT.25.21	Otta kon nishpa ene itak-hi:—Pirika, ikipniukesh wa pirika usshiune guru: pon no ambe gusu e ikipniukesh, awa, poron no ambe esapane kuni e kara ash kusu ne: e kon nishpa koro nupetne-i otta ahun, ari itak. 
MAT.25.22	Orowa, tup akore guru ne yakka ek wa ene itak-hi:—Utarapa, tu taranton e en kore, awa, naa tup ku epirika nisa ruwe ne. 
MAT.25.23	Otta kon nishpa ene itak-hi:—Pirika, ikipniukesh wa pirika usshiune guru; pon no ambe gusu e ikipniukesh, awa, poron no ambe esapane kuni e kara ash kusu ne: e kon nishpa koro nupetne-i otta ahun, ari itak. 
MAT.25.24	Orowa, shine taranton akore guru ne yakka ek wa ene itak-hi:—Utarapa, aokai anak ne keutum yupke guru a ne wa etoita shomoki ushike wa nange ruwe ne, 
MAT.25.25	e chari shomoki ushike wa umomare ruwe ne, sekoro ku eramu an, awa, ku ishitoma wa oman hine e koro taranton toi tumta ku nuina nisa ruwe ne; ingarʼan, e korope a koro an na, ari itak. 
MAT.25.26	Koroka, otta kon nishpa ese wa ene itak-hi:—Wen newa toranne usshiune guru, ku etoita shomoki ushike wa ku nange, orowa, ku chari shomoki ushike wa ku umomare sekoro e eramu an, 
MAT.25.27	awa, tambe gusu, ku goro ichen ginko otta e omare kunip ne, aige, ku ek ita ku korope risoku tura auk eashkai mwe ne. 
MAT.25.28	Tambe gusu, nei guru koro shine taranton uk wa, wanbe toro guru otta kore yan. 
MAT.25.29	Inambe gusu ne yakun, nen ne yakka koro guru otta akore kusu ne, aige, shinuma nuye an no koro: koroka, koro shomoki guru orowa no korobe poka auk kusu ne na. 
MAT.25.30	Tan raka isam usshiune guru kishima wa soita an kunne ushike un eyapkiri yan: nei ita anak ne chish hemhem niyorokara hemhem an kusu ne na.
MAT.25.31	Koroka, Ainu Poho anak ne koro arakuru newa Kamui hauturunbe obitta tura no ek ita anak ne, nei ita Shinuma arakuru oma araset kata a kusu ne: 
MAT.25.32	orowa, moshiri uirup obitta Shinuma kotchaketa uweakarapare kusu ne: orowa, hitsuji chikoikip pungi anak ne yangi chikoikip tumuge wano hitsuji usaare torachi, nei utara ne yakka ausaare kusu ne: 
MAT.25.33	orowa, oshimon samta hitsuji are, koroka, ohariki samta yangi are kusu ne. 
MAT.25.34	Nei ita anak ne oshimon samta okai utara otta Moshiri Shikkashima guru ene itak-hi:—Ku Michi orowa no anunuke utara, araki wa moshiri asamaha aande pakihi wano echi utara gusu aetokooiki moshiri eikeshkoro yan: 
MAT.25.35	inambe gusu ne yakun, Ku ibe rusui, awa, echi En ibere: Ku iku rusui, awa, echi En ikure: 
MAT.25.36	oya guru Ku ne, awa, echi kot chisei ta En ahunde; Ku atusa, awa, echi En mire: tashum Ku ki, awa, echi En hotanukara: ipakashnu chisei ta Ku 
MAT.25.37	an, awa. En orota echi araki nisa ruwe ne na. Nei ita anak ne oupeka utara ese wa ene itak kusu ne-hi:—Utarapa, hembara Aokai ibe rusui ruwe chi nukara wa E ibere ash ya? Hembara E iku rusui ruwe chi nukara wa E ikure ash ya? 
MAT.25.38	Orowa, hembara, Aokai anak ne oya guru a kopa ash wa chisei otta E ahunde ya? Shui, hembara E atusa ruwe chi nukara wa E imire ya? 
MAT.25.39	Orowa, hembara E tashum ruwe hene, ipakashnu chisei otta E an wa hotanu kara gusu araki ash ya? 
MAT.25.40	Moshiri Shikkashima guru nei utara otta ese wa ene itak kusu ne-hi:—Son no echi otta Ku ye, tan Ku iriwak ne utara tumuge un shinen otta, iyotta ponbe poka echi ki nisa ruwe ne gusu, En otta aki nisa ruwe ne na. 
MAT.25.41	Nei ita anak ne ohariki samta okai utara otta ka ene itak kusu ne-hi:—Aiyoitakushi echi utara, En orowa no paye wa Nitnep newa koro hauturunbe gusu etokooiki wa an hembara pakno ne yakka ush shomoki abe otta ahup yan: 
MAT.25.42	inambe gusu ne yakun, Ku ibe rusui, awa, echi En ibere shomoki: Ku iku rusui, awa, echi En ikure shomoki: 
MAT.25.43	oya guru Ku ne, awa, echi kot chisei orun En ahunde shomoki: atusa, awa, echi En mire shomoki: Ku tashum hene ki, ipakashnu chisei ta Ku an, awa, echi En hotanukara gusu araki shomoki nisa ruwe ne gusu ne na. 
MAT.25.44	Orowa no, nei utara ese wa ene itak kusu ne-hi:—Utarapa, E ibe rusui hemhem ki, E iku rusui hemhem ki, E oya guru ne hemhem, E atusa hemhem, E tashum hemhem, ipakashnu chisei ta E an-i hemhem, hembara chi nukara wa E otta yaishieiwangere shomoki nisa ruwe he an? 
MAT.25.45	Tata otta Shinuma ese wa ene itak kusu ne-hi:—Tan okai utara tumuge un iyotta pon guru otta shomo echi ki nisa ruwe ne gusu, En otta echi iki shomoki nisa ruwe ne, sekoro itak. 
MAT.25.46	Orowa, tan utara anak ne hembara pakno ne yakka okere shomoki apanakte i orun paye: koroka, oupeka utara anak hembara pakno ne yakka inotu ani orun ahup kusu ne na.
MAT.26.1	Orowa, Yesu tan itak obitta ye okere chiki, koro koikara utara otta ene itak-hi:— 
MAT.26.2	Tut ko okaketa kama-kush marapto an kusu ne-hi echi eraman, orowa, Ainu Poho anak ne utasa chikuni otta araige gusu aekoshi ruwe ne. 
MAT.26.3	Nei pakibita Kamui kora kenru esapane utara newa utara koro ekashi utara anak ne Kaiapa ari an reihei ani areikore Kamui kora kenru iyotta pase esapane guru koro tumbu ta uwekarapa wa okai ruwe ne, 
MAT.26.4	awa, arorokishne no Yesu kishima wa raige kuni ukoramkon nisa ruwe ne. 
MAT.26.5	Koroka, ene itak-hi:—Marapto toho ta shomo, ikineipeka utara tumugeta sakayo hopuni kusu ne na, ari itak.
