GEN.1.1	Idi 
DEU.32.31	Ta ti 
DEU.32.32	Ta ti lanutda isu ti nayon ti lanut ti Sodoma, ken aggapu iti taltalon ti Gomorra: dagiti uv-uvasda, uv-uvas ti apro, dagiti sarsar-ayda napait:
DEU.32.33	Ti aracda isu ti 
DEU.32.34	Saan aya nga adda caniac daytoy a sidudulin, nabungon cadagiti gamgamengco?
DEU.32.35	Cuac ti 
DEU.32.37	Ket isu cunananto, 
DEU.32.38	A nangnangan ti taba dagiti datdatonda, ken immininum iti arac nga inumen a datonda? Tumacderda coma, ket tumulongda cadacayo, isuda coma ti mangsalacnib cadacayo.
DEU.32.39	Kitaenyo ita a siac, a 
DEU.32.40	Ta ingatoc sadi langit ti imac, ket cunac, Idinto nga agnanayon a sibibiagac,
DEU.32.43	Agragragsaccayo, O dacayo a nasnacion, a maitimpuyog iti ilina: ta 
DEU.32.44	Ket ni Moises immay ket sinaona amin dagiti sasao daytoy a canta cadagiti pagdengngeg dagiti tattao, isu, ken ni Josue nga anac ni Nun.
DEU.32.45	Ket ni Moises tinurposna ti nagsao cadagitoy a balicas iti amin nga Israel;
DEU.32.46	Ket kinunana cadacuada, 
DEU.32.47	Ta saan a barengbareng cadacayo; gapu ta 
DEU.32.48	Ket ni Jehova nakisao ken Moises iti daydi met la nga aldaw, a kinunana,
DEU.32.50	Ket matayca iti bantay a sang-atam, ket maitiponca iti ilim, 
DEU.32.51	Gapu ta 
DEU.32.52	Ta sica makitamto ti daga iti sangoanam, ngem dicanto sumbrec idiay daga nga itedco cadagiti annac ti Israel.
DEU.33.1	Ket daytoy isu ti 
DEU.33.2	Ket kinunana, ni 
DEU.33.3	Wen, 
DEU.33.4	Ni Moises imbilinna cadatayo ti maysa a 
DEU.33.5	Ket isu idi ti 
DEU.33.7	Ket daytoy 
DEU.33.8	Ket ti maipapan ken Levi, isu kinunana, 
DEU.33.9	A kinunana maipapan iti amana ken inana, 
DEU.33.11	Bendicionam, Jehova, ti cucuana, ket 
DEU.33.12	Ti maipapan ken Benjamin, kinunana, ti ay-ayaten ni Jehova agnaedto a sitatalged iti abayna; salucubanna nga agmalmalem, ket isu agyan iti baet dagiti ab-abagana.
DEU.33.13	Ket iti maipapan ken Jose kinunana, 
DEU.33.14	Ken gapu cadagiti napateg a parabur dagiti bungbunga ti init, ken gapu cadagiti napateg a banbanag ti panagdackel dagiti bulbulan,
DEU.33.15	Ken gapu cadagiti nangrona a banbanag dagiti banbantay a cadaanan, ken gapu cadagiti napateg a banbanag dagiti 
DEU.33.16	Ken gapu cadagiti napateg a banbanag ti daga ken ti kinalabonna, ken ti 
DEU.33.18	Ket iti maipapan ken Zabulon kinunana, 
DEU.33.20	Ket iti maipapan ken Gad kinunana, Bendito coma ti mamadackel ken Gad: agnaed cas 
DEU.33.22	Ket ti maipapan ken Dan kinunana, ni Dan maysa nga 
DEU.33.23	Ket ken Neftali kinunana, O 
DEU.33.24	Ket ken Aser kinunana, 
DEU.33.25	Dagiti balbalunetmo landoc ken suerdanto; ket cas cadagiti al-aldawmo, ti pigsam castanto.
DEU.33.27	Ti agnanayon a Dios isu ti 
DEU.33.29	Nagasatca, O Israel; asino ti pumadpad kenca, a maysa nga umili nga insalacan ni Jehova, 
DEU.34.1	Ket ni Moises simmang-at nanipud iti tantanap ti Moab agingga iti 
DEU.34.2	Ken amin ti Nephtali, ken ti daga ti Efraim ken Manases, ken amin a daga ti Juda, 
DEU.34.3	Ken ti Abagatan, ken ti 
DEU.34.4	Ket ni Jehova kinunana kencuana, 
DEU.34.5	Iti casta ni Moises nga adipen ni Jehova natay idiay iti daga ti Moab, cas mayannurot iti sao ni Jehova.
DEU.34.6	Ket isu naitabon iti lobong ti daga ti Moab iti sango ti Bethpeor: ngem awan ti 
DEU.34.8	Ket dagiti annac ti Israel sinangitanda ni Moises iti tantanap ti Moab bayat iti 
DEU.34.9	Ket ni Josue nga anac ni Nun 
DEU.34.10	Ket nanipud idi awan 
DEU.34.11	Iti amin a pagilasinan ken datdatlag, nga imbaon kencuana ni Jehova tapno aramidenna ida iti daga nga Egipto, ken Faraon, ken iti isu-amin nga ad-adipenna, ken iti amin a dagana.
DEU.34.12	Ken iti amin nga ima a mannacabalin, ken iti amin a dadackel a nacakigkigtot, a ni Moises inaramidna iti imatang ti dagup ti Israel.
JOS.1.1	Ket naaramid iti calpasan ti ipapatay ni Moises nga adipen ni Jehova, a ni Jehova nagsao ken ni Josue nga anac ni Nun, a 
JOS.1.7	Isuna laeng a bumilegca ken umingelca unay, tapno tungpalem nga aramiden iti cas mayalubog iti isu-amin a linteg, a ni Moises nga adipenco imbilinna kenca: 
JOS.1.8	Daytoy a libro ti linteg dinto umadayo ita ngiwatmo: no di ket iti aldaw ken iti rabii 
JOS.1.10	Idin ni Josue binilinna dagiti 
JOS.1.11	Magnacayo ket lasatenyo daytoy a pacarso ket ibilinyo cadagiti tattao, a cunayo, Mangsaganacayo iti taraon: 
JOS.1.12	Ket ni Josue nagsao cadagiti Rubenitas, ken cadagiti Gaditas, ken iti caguddua ti caputotan ni Manases, a kinunana,
JOS.1.13	Lagipenyo ti sao nga imbilin ni Moises, nga adipen ni Jehova cadacayo, a 
JOS.1.14	Dagiti assawayo, annacyo ken dagiti an-animalyo agyandanto iti daga a ni Moises intedna cadacayo iti ballasiw ti Jordan; ngem bumallasiwcayto a siiigam, amin dagiti lallaki a napigsa ken maingel iti 
JOS.1.15	Inggana iti ni Jehova maitednan iti inana cadagiti cacabsatyo, a cas iti 
JOS.1.16	Ket idin simmungbatda ken ni Josue, a kinunada, Amin nga imbilinmo cadacami aramidenminto, ket mapancamto iti uray sadino a pangibaonam cadacami.
JOS.1.17	Cas iti panangipangagmi idi ken ni Moises cadagiti isu-amin a banbanag, casta met ti panangipangagminto kenca: ni Jehova a Diosmo adda coma laeng kenca a cas iti kinaaddana idi 
JOS.1.18	Uray siasino a 
JOS.2.1	Ket ni Josue nga anac ni Nun imbaonna manipud 
JOS.2.2	Ket naidamag idi iti ari ti Jerico, a nacuna, Adtoy, ita a rabii dagiti tattao cadagiti annac ti Israel immayda ditoy a mangsiim iti daga.
JOS.2.3	Ket idin ti ari ti Jerico nagbaon ken ni Raab, a kinunana, Iruarmo dagiti tattao nga immay kenca, ket simrecda iti balaymo; ta immayda a mangsiim iti isu-amin a daga.
JOS.2.5	Ket naaramid a idi umadani ti pannacairikep ti ruangan, idi nasipngeten, dagidi a tattao rimmuarda; ket diac ammo no sadino ti napananda; surutenyo ida iti madaras, ta abutenyo ida.
JOS.2.6	Ngem isu pinaulina ida iti pangatepan, ket inlemmengna ida cadagiti puon ti lino nga inurnosna iti rabaw ti pangatepan.
JOS.2.7	Ket dagiti tattao kinamatda ida iti dalan nga agturong iti Jordan agingga cadagiti pagballasiwan: ket apaman a dagidiay nagcamat cadacuada nacaruarda, rinpcanda di ruangan.
JOS.2.8	Ket idi dida pay nagidda, isu immuli a napan cadacuada iti rabaw ti pangatepan;
JOS.2.9	Ket kinunana cadagiti tattao, siac ammoc a ni Jehova intedna cadacayo daytoy a daga, ket dacami 
JOS.2.10	Ta nangngegmi a ni Jehova pinagmagana dagiti danum ti Baybay a Nalabaga iti sangoananyo, idi a rimmuarcayo sadi Egipto; 
JOS.2.12	Agdawatac ngarud cadacayo itatta, a 
JOS.2.13	Ket biagenyonto ni amac ken ni inac, ken dagiti cacabsatco a lallaki ken babbai, ken amin daydiay a cucuada, ket ispalenyonto dagiti bibiagmi iti patay.
JOS.2.14	Ket dagiti tattao kinunada kencuana, Ti biagmi maipaay iti biagmo, no dicay ipalgac coma daytoy a panggepmi; ket isunto, nga intono ni Jehova itedna cadacami daytoy a daga, agaramidcaminto kenca a sicacaasi ken sipupudno.
JOS.2.15	Idin isu 
JOS.2.16	Ket kinunana cadacuada, Incayo iti bantay: di la ket ta dagiti cumamat, matumpungandacayo: ket agyancayo idiay a silelemmeng iti tallo nga al-aldaw, inggana a dagidiay nga agcamat cadacayo, agawidda, ket iti calpasanna incayo iti dalanyo.
JOS.2.17	Ket dagiti lallaki kinunada kencuana, Dacami dicamto mapabasol iti daytoy a sapatam isu a pinaisapatam cadacami.
JOS.2.18	Kitaem ta intono sumreccami iti daga, sica igalutmonto daytoy a tali a nalabaga iti tawa isu a nangyulogam cadacami, ket sica ummongemto iti balaymo ni 
JOS.2.19	Ket isunto, a siasinoman a rumuar cadagiti ruruangan ti balaymo a mapan iti calzada, ti darana addanto iti rabaw ti olona, ket awanto ti basolmi: ket uray siasinoman a makinaedto kenca iti balaymo, ti 
JOS.2.20	Ngem no sica ipalgacmonto daytoy a panggepmi, dacami ngarud dicamto mapabasol iti daytoy a sapatam isu a pinaisapatam cadacami.
JOS.2.21	Isu simmungbat, Cas ti kinunayo, castan coma. Ket imbaonna ida, ket pimmanawda; ket ingalutna di tali a nalabaga iti tawa.
JOS.2.22	Ket rimmuarda, ket nacagtengda iti bantay ket nagyanda idiay iti tallo nga aldaw, agingga iti nacaawiden dagiti nagcamat cadacuada; ket dagidi nagcamat, nagbirucda cadacuada cadagiti amin a daldalan, ngem dida nasaracan ida.
JOS.2.23	Idin dagidi dua a tattao nagawidda, ket simmalogda iti bantay, ket bimmallasiwda, ket immayda ken ni Josue nga anac ni Nun; ket sinaritada amin dagiti napasamacda.
JOS.2.24	Ket kinunada ken ni Josue, 
JOS.3.1	Ket ni Josue bimmangon a nasapa iti bigat; ket immalisda nanipud 
JOS.3.2	Ket naaramid idi calpasan dagiti tallo nga al-aldaw, a dagiti 
JOS.3.5	Ket ni Josue kinunana cadagiti tattao: 
JOS.3.6	Ket ni Josue nagsao cadagiti papadi, a cunana, 
JOS.3.7	Ket ni Jehova kinunana ken ni Josue, Ita nga aldaw rugiancanto nga itan-oc iti imatang ti amin nga Israel, tapno maammoanda coma, a 
JOS.3.8	Ket ibilinmonto cadagiti papadi a mangawit iti lacasa ti tulag, a cunaem, Intono macaaycayo iti igid dagiti dandanum ti Jordan, agtacdercayto a sitatalna iti Jordan.
JOS.3.9	Ket ni Josue kinunana cadagiti annac ti Israel, Umaycayo ditoy, ket imdenganyo dagiti sasao ni Jehova a Diosyo.
JOS.3.10	Ket ni Josue kinunana, Ditoy maammoanyonto a ti 
JOS.3.11	Adtoy, ti lacasa ti tulag ti 
JOS.3.12	Gapuna a mangalacayo iti 
JOS.3.13	Ket maaramidto, a intono dagiti dapdapan dagiti sacsaca dagiti papadi a mangawit iti lacasa ni Jehova nga Apo iti isu-amin a lubong, maisaaddanto cadagiti dandanum ti Jordan, a dagiti dandanum ti Jordan agbingaydanto, dagiti met laeng dandanum a sumalog manipud surong; ket agintecdanto iti 
JOS.3.14	Ket naaramid nga idi a dagiti tattao pimmanawda nanipud cadagiti toltoldada, tapno agballasiwda iti Jordan, dagiti papadi a nagawit iti 
JOS.3.15	Ket idi a dagidi a nagawit idi lacasa simmalugda iti 
JOS.3.16	A dagiti dandanum a sumalog idi nga aggapu iti surong nagsardengda; ket timmacderda ket nagpangatoda a maysa a gabsuon, iti adayu idiay Adam, nga ili nga adda iti abay ti 
JOS.3.17	Ket dagiti papadi a nangawit idi lacasa ti tulag ni Jehova nagtacderda a siiintec iti daga a namaga iti tengnga ti Jordan; ket isu-amin nga Israel nagballasiwda iti daga a namaga, agingga iti 
JOS.4.1	Ket naaramid, nga idi nga amin ti nacion nalpasda a nagballasiw ti Jordan, a ni Jehova nagsao ken ni Josue, a kinunana,
JOS.4.3	Ket ibilinyo cadacuada, a cunayo, Mangalacayo manipud iti tengnga ti Jordan, iti lugar a nagtacderan a 
JOS.4.4	Idin ni Josue inayabanna dagiti sangapulo ket dua a tattao nga insaganana cadagiti annac ti Israel, iti tunggal caputotan maysa a tao:
JOS.4.5	Ket ni Josue kinunana cadacuada, Magnacayo iti sangoanan ti lacasa ni Jehova a Diosyo iti tengnga ti Jordan, ket tunggal tao cadacayo mangibaclay coma iti maysa a bato, a cas mayalubog iti bilang dagiti caputotan dagiti annac ti Israel;
JOS.4.6	Tapno daytoy isu coma ti maysa a pagilasinan cadacayo, nga intono dagiti annacyo 
JOS.4.7	Iti casta cunayonto cadacuada, Agsipud ta dagiti dandanum ti Jordan nagbisngayda iti sangoanan ti lacasa ti tulag ni Jehova; idi naiballasiw idiay Jordan, dagiti dandanum ti Jordan nagbisngayda: ket dagitoy a batbato isudanto ti 
JOS.4.8	Ket dagiti annac ti Israel inaramidda a casta cas imbilin ni Josue, ket nangalada iti sangapulo ket dua a batbato iti tengnga ti Jordan, cas ni Jehova sinaona ken ni Josue, cas iti bilang dagiti caputotan dagiti annac ti Israel; ket intogotda ida iti nagdagusanda, ket indissoda ida sadiay.
JOS.4.9	Ket ni Josue nangicabil iti sangapulo ket dua a batbato iti tengnga ti Jordan iti disso a nagtacderan dagiti sacsaca dagiti papadi a nangawit idi lacasa ti tulag: ket addada idiay agingga itoy nga aldaw.
JOS.4.10	Ta dagiti papadi a nangawit idi lacasa nagtacderda iti tengnga ti Jordan, aginggana iti naturpos amin a banag a ni Jehova imbilinna ken Josue a saoenna cadagiti tattao, cas mayalubog cadagiti isu-amin a ni Moises imbilinna idi ken ni Josue: ket dagiti tattao nagdarasda ket nagballasiwda.
JOS.4.11	Ket naaramid, nga idi amin dagiti tattao nalpasdan ti nagballasiw, a di lacasa ni Jehova naiballasiw, ken dagiti papadi, iti saclang dagiti tattao.
JOS.4.12	Ket dagiti annac ni Ruben, ken dagiti annac ni Gad, ken ti cagudua ti caputotan ni Manases 
JOS.4.13	Aguppat a pulo a ribu dagiti nasagana a siiigam a makigubat nagballasiwda iti sango ni Jehova a napan iti pagbabacalan, cadagiti tay-ac ti Jerico.
JOS.4.14	Iti daydi nga aldaw ni Jehova 
JOS.4.15	Ket ni Jehova nagsao ken Josue, a kinunana,
JOS.4.16	Bilinem dagiti papadi nga agawit iti 
JOS.4.17	Ni Josue ngarud binilinna dagiti papadi, a kinunana, Sumang-atcayo iti Jordan.
JOS.4.18	Ket naaramid, nga idi a dagiti papadi a nangawit idi lacasa ti tulag ni Jehova simmang-atda nanipud iti tengnga ti Jordan, ket dagiti dapdapan dagiti sacsaca dagiti papadi naitacdangdan iti namaga a daga, a dagiti dandanum ti Jordan nagsublida iti lugarda, ket naglippiasda cadagiti isu-amin a tepteppangna a cas met la idi casisigudna.
JOS.4.19	Ket dagiti tattao simmang-atda idiay Jordan iti maicasangapulo nga aldaw ti umuna a bulan, ket nagpacarsoda idiay 
JOS.4.20	Ket dagidi 
JOS.4.21	Ket nagsao cadagiti annac ti Israel, a kinunana, 
JOS.4.22	Isu ti panangipacaammoyonton coma cadagiti annacyo, a cunaenyo, Ti Israel nagballasiw ditoy Jordan iti namaga a daga.
JOS.4.23	Ta ni Jehova a Diosyo pinagmagana dagiti dandanum ti Jordan nanipud iti sangoyo, inggana iti nacaballasiwcayo, cas ni Jehova a Diosyo inaramidna iti Baybay a Nalabaga, isu a 
JOS.5.1	Ket naaramid, nga idi dagiti amin nga ar-ari dagiti Amorreo, nga addada iti ballasiw wti Jordan iti laudenna, ken amin dagiti ar-ari dagiti Cananeos, nga adda iti 
JOS.5.2	Iti daydi a tiempo ni Jehova kinunana ken ni Josue, Mangaramidca cadagiti 
JOS.5.3	Ket ni Josue nangaramid cadagiti im-muco a pamulinawen, ket kinugitna dagiti annac ti Israel idiay turod dagiti akinsango a cudil.
JOS.5.4	Ket daytoy ti gapuna a ni Josue nangcugit idi: 
JOS.5.5	Ta isu-amin a tattao a rimmuar idiay Egipto nacugitda; ngem isu-amin a tattao a nayanac iti let-ang iti dalan idi naggapuda idiay Egipto, saanda a nagcugit.
JOS.5.6	Ta dagiti annac ti Israel nagnada bayat iti 
JOS.5.7	Ket dagiti 
JOS.5.8	Ket naaramid, nga idi nalpasda a kinugit amin ti nacion, a nagyanda cadagiti disdissoda idiay pacarso, 
JOS.5.9	Ket ni Jehova kinunana ken Josue, Ita nga aldaw inlisic cadacayo ti 
JOS.5.10	Ket dagiti annac ti Israel nagpacarsoda idiay Gilgal; ket nagpascuada idi 
JOS.5.11	Ket nanganda iti apit ti daga iti bigat iti calpasan ti pascua, cadagiti bibingca nga di-nalivaduraan ken 
JOS.5.12	Ket ti 
JOS.5.13	Ket naaramid, nga idi a ni Josue adda iti denna ti Jerico, nga intangadna dagiti matana ket kimmita, ket adtoy, ti 
JOS.5.14	Ket isu kinunana, Saan; ngem siac 
JOS.5.15	Ket ti principe ti buyot ni Jehova kinunana ken Josue, 
JOS.6.1	Ti Jerico napunitan a naimbag a gapu cadagiti annac ti Israel: awan a pulos ti macaruar ket awan met ti macastrec.
JOS.6.2	Ket ni Jehova kinunana ken Josue, Kitaem, 
JOS.6.3	Ket lawlawemto ti ili, amin dagiti tattao ti gubat, lawlawenyonto iti maminsan ti ili. Casta ti aramidemto cadagiti innem nga al-aldaw.
JOS.6.4	Ket pito a papadi mangicuyogdanto cadagiti pito a 
JOS.6.5	Ket isunto, nga, intono pagtimkenda a 
JOS.6.6	Ket ni Josue nga anac ni Nun inayabanna dagiti papadi, ket kinunana cadacuada, Alaenyo ti lacasa ti tulag, ket pito a papadi mangicuyogda coma cadagiti pito a tangtangguyob a sara ti carcarnero a lallaki iti sangoanan ti lacasa ni Jehova.
JOS.6.7	Ket isuda kinunada cadagiti tattao, Magnacayo, ket lawlawenyo ti ciudad, ket dagiti siiigam a tattao magnada coma iti sangoanan ti lacasa ni Jehova.
JOS.6.8	Ket idi a casta, nga, idi a ni Josue nagsao cadagiti tattao, dagiti pito a papadi a siiggem cadagiti pito a tangtangguyob a sara dagiti carcarnero a lallaki nagnada iti sangoanan ni Jehova, ket pagpagunienda dagiti tangtangguyob: ket ti lacasa ti tulag ni Jehova sinurotna ida.
JOS.6.9	Ket dagiti siiigam a tattao napanda iti sangoanan dagiti papadi nga agpagpaguni idi cadagiti tangtangguyob, ket dagiti buybuyot simmurotda idi lacasa, 
JOS.6.10	Ket ni Josue binilinna dagiti tattao, a kinunana, Dicayto agririaw, saan coma a mangngeg ti timecyo, saanto a sumngaw ti uray ania a sao dita ngiwatyo, aginggana iti aldaw a panangibagac cadacayo nga agriawcayo; isunto ti panagriawyon.
JOS.6.11	Iti casta pinailawlawna di lacasa ni Jehova iti ili, a linicmutda iti naminsan: ket napanda iti pacarso ket nagtaengda iti pacarso.
JOS.6.12	Ket ni Josue bimmangon a nasapa unay iti bigat, ket dagidi papadi 
JOS.6.13	Ket dagiti pito a papadi a siiggem cadagiti pito a tangguyob a sara ti carcarnero a lallaki iti sangoanan ti lacasa ni Jehova napanda a cancanayon, ket pinagtimecda dagiti tangguyob: ket dagiti siiigam a tattao napanda iti sangoananda; ket dagiti buybuyot simmurotda iti lacasa ni Jehova, 
JOS.6.14	Ket iti maicadua nga aldaw linawlawda ti ili iti naminsan, ket nagsublida iti pacarso: casta ti inaramidda iti innem nga aldaw.
JOS.6.15	Ket naaramid iti maicapito nga aldaw, a bimmangonda a nasapa unay iti parbangon, ket linawlawda di ili iti casdi met laeng iti naminpito a daras: daydi laeng nga aldaw ti pananglawlawda iti ili cadagiti naminpito a daras.
JOS.6.16	Ket naaramid idi maicapito a daras, idi a dagiti papadi pinagunida dagiti tangguyobda, a ni Josue kinunana cadagiti tattao, Agriawcayo; ta ni Jehova intedna cadacayo ti ili.
JOS.6.17	Ket ti ili 
JOS.6.18	Ngem dacayo, isuna laeng a liclicanyo ti banag a naipaay, di la ket ta idi nga impaayyo, no mangalacayo iti naipaay; iti casta aramidenyo a mailunod ti pacarso ti Israel, ket isu ti 
JOS.6.19	Ngem isu-amin a pirac ken balitoc, ken al-alicamen a suer ken landoc nasantoandanto ken Jehova: maiyegdanto iti paggamengan ni Jehova.
JOS.6.20	Iti casta dagiti tattao nagpuccawda, ket 
JOS.6.21	Ket pinatayda nga inkisap 
JOS.6.22	Ket ni Josue kinunana cadagiti dua a tattao a nagsiim iti daga, Sumreccayo iti balay ti babai a balangcantis, ket iruaryo ditoy ti babai, ken isu-amin a cucuana, a 
JOS.6.23	Ket dagiti agtutubo a lallaki a nagsiim simrecda, ket inruarda ni Raab, 
JOS.6.24	Ket pinuuranda di ili iti apuy, ken 
JOS.6.25	Ngem ni Raab a balangcantis, ken dagiti cabbalay ni amana, ken amin a cucuana, isuda laeng ti nabiag nga inispal ni Josue; ket 
JOS.6.26	Ket ni Josue incumitna cadacuada ti maysa a 
JOS.7.1	Ngem dagiti annac ti Israel nacaaramidda iti panaglabsing iti banag a naipaay; ta ni Acan, nga anac a lalaki ni Carmi, nga anac a lalaki ni Zabdi, nga anac a lalaki ni Zera, ti caputotan ni Juda, nangala iti banag a naipaay: ket ti pungtot ni Jehova simged a maibusor cadagiti anac ti Israel.
JOS.7.2	Ket ni Josue nangibaon cadagiti tattao nanipud Jerico agingga iti Ai, a caabay ti 
JOS.7.3	Ket nagsublida ken Josue, ket kinunada kencuana, Dica coma pasang-aten amin dagiti tattao; no saan laeng a dua wenno tallo a ribu a tattao ti sumang-at ken mangcabil iti Ai; dica pagbannogen amin a tattao idiay; ta bassitda unay.
JOS.7.4	Iti casta simmang-atda idiay dagiti tattao nga agtallo a ribu: ket 
JOS.7.5	Ket dagiti tattao a taga Ai nangpatayda cadacuada iti agtallopulo ket innem a tattao; ket kinamatda ida 
JOS.7.6	Ket ni Josue 
JOS.7.7	Ket ni Josue kinunana, Ay, O Apo Jehova, ania ti gapuna a 
JOS.7.8	O, Apo, ania ti saoecto, iti calpasan a ti Israel timmallicud iti sangoanan dagiti cabusorna!
JOS.7.9	Ta dagiti Cananeo ken isu-amin nga agnaed iti daga isu ti madamagdanto, ket alicubcubendacamto, ket 
JOS.7.10	Ket ni Jehova kinunana ken Josue, Bumangonca; ania ti gapuna aya a nagpaclebca?
JOS.7.11	Ti Israel nagbasol, wen, isuda 
JOS.7.13	Tumacderca, Santificarem dagiti tattao, ket cunam, 
JOS.7.14	Intono bigat ngarud mayasidegcayto cadagiti capcaputotanyo: ket maaramidto, a ti 
JOS.7.16	Iti casta ni Josue bimmangon a nasapa iti bigat, ket inyasidegna ti Israel cadagiti pinutonputot: ket ti caputotan ni Juda naala:
JOS.7.17	Ket isu inyasidegna iti familia ni Juda: ket innalana ti familia dagiti 
JOS.7.18	Ket inyasidegna ti cabbalay a sinaggaysa: ket ni 
JOS.7.19	Ket ni Josue kinunana ken ni Acan, Anacco, Agdawatac kenca, itedmo ti 
JOS.7.20	Ket ni Acan simmungbat ken Josue, ket kinunana, Iti kinapudnona nacabasolac iti maicaniwas ken Jehova, a Dios ti Israel, ket castoy ti inaramidco:
JOS.7.21	Idi nakitac iti tengnga ti samsam ti nasayaat a dalungdong a taga Babilonia, ken dua a gasut a siclo a pirac, ken maysa a bengngal a balitoc a limapulo a siclo ti gantingna, idin inagumac ida, ket innalac ida: ket adtoy, a nailemmengda iti daga iti tengnga ti toldac, ket ti pirac iti babana.
JOS.7.22	Iti casta ni Josue nagbaon cadagiti babaonen, ket nagtarayda a napan iti tolda; ket, adtoy, a nailemmeng iti toldana, ket ti pirac iti babana.
JOS.7.23	Ket innalada idi nanipud iti tengnga ti tolda, ket inyegda ida ken Josue, ken cadagiti isu-amin nga annac ti Israel: ket indissoda ida iti sangoanan ni Jehova.
JOS.7.24	Ket ni Josue, ken isu-amin nga Israel a kimmuyog kencuana, innalada ni Acan nga anac a lalaki ni Zera ken ti pirac, ken ti dalungdong ken ti bengngal a balitoc, ken dagiti annacna a lallaki, ken annacna a babbai, dagiti vacana, ken dagiti asnona, ken dagiti carnerona, ken ti toldana, ken isu-amin nga adda kencuana: ket inyegda ida iti 
JOS.7.25	Ket ni Josue kinunana, Apayapay aya a 
JOS.7.26	Ket 
JOS.8.1	Ket ni Jehova kinunana ken Josue, 
JOS.8.2	Ket aramidemto iti Ai ken iti arina ti cas inaramidmo iti 
JOS.8.3	Iti casta ni Josue timmacder, ken amin dagiti tattao ti gubat, a mapan sumang-at idiay Ai: ket ni Josue pimmili iti tallo ribu a tattao, tattao a mamaingel, ket imbaonna ida iti rabii.
JOS.8.4	Ket imbilinna cadacuada, a cunana, Adtoy, 
JOS.8.5	Ket siac, ken amin dagiti tattao nga adda caniac, umadanicamto iti ili. Ket maaramidto, nga intono rumuarda a sumaranget cadacami, a cas idi immuna, nga 
JOS.8.6	Ket surotendacaminto, inggana iti mayadayumi ida manipud iti ili; ta cunadanto, nagtarayda iti sangotayo a cas idi immun-una: iti casta agtaraycaminto manipud iti sangoananda.
JOS.8.7	Ket tumacdercayto iti pagsaneban, ket alaenyonto ti ili: ta ni Jehova a Diosyo yawatnanto ita imayo.
JOS.8.8	Ket isunto, nga intono malasudanyo ti ili, puuranyonto ti ili; cas iti sao ni Jehova ti aramidenyonto: 
JOS.8.9	Ket ni Josue imbaonna ida: ket napanda iti pagsaneban, ket nagyanda iti nagbaetan ti Bet-el ken Ai, iti 
JOS.8.10	Ket ni Josue bimmangon a nasapa iti bigat, ket inurnosna dagiti tattao, ket simmang-atda, isu ken dagiti lallacay ti Israel, iti sango dagiti tattao sadi Ai.
JOS.8.11	Ket isu-amin dagiti tattao, a dagiti 
JOS.8.12	Ket nangala iti aglima a ribu a tattao, ket incabilna ida iti pagsaneban iti nagbaetan ti Bet-el ken Ai, iti deppaar a laud ti ili.
JOS.8.13	Iti casta insaadna dagiti tattao, a ti met laeng amin a buyot nga adda iti deppaar nga amianan ti ili, ken dagiti agsaneb addada iti bangir a laud ti ili; ket ni Josue napan iti daydi a rabii iti nagtengngaan ti lobong.
JOS.8.14	Ket naaramid idi a ti ari ti Ai isu nakitana, nagdardaras ket bimmangon a nasapa, ket dagiti tattao ti ili rimmuarda a nanggubat a maibusor iti Israel, isu ken dagiti isu-amin a tattaona, iti 
JOS.8.15	Ket ni Josue ken amin nga Israel 
JOS.8.16	Ket isu-amin dagiti tattao nga adda iti ili 
JOS.8.17	Ket awan ti nabati a lalaki idiay Ai wenno idiay Beth-el, a saan a napan kimmamat iti Israel: ket pinanawanda ti ili a silulucat, ket kinamatda ti Israel.
JOS.8.18	Ket ni Jehova kinunana ken Josue. Itayagmo ta gayang nga adda ita imam a iturongmo iti Ai; ta isu yawatconto ita imam. Ket ni Josue intayagna di gayang nga adda idi imana a maiturong iti ili.
JOS.8.19	Ket dagiti agsaneb timmacderda a nasingdat iti yanda, ken nagdarisonda idi apaman nga intayagna di imana, ket sinerrecda di ili ket innalada: ket nagsiglatda, ket pinuuranda di ili.
JOS.8.20	Ket idi a dagiti tattao ti Ai timmalliawda iti licudanda, kimmitada, ket, adtoy, a ti asoc ti ili nagpangato idi nga agpalangit, ket awan ti pannacabalinda nga agtalaw itoy a dalan wenno idiay a dalan; ket dagiti tattao a nagtalawda idi a nagpalet-ang simmangoda cadagidi agcamcamat.
JOS.8.21	Ket idi a ni Josue ken isu-amin nga Israel nakitada a dagiti agsaneb naaladan ti ili ken di asoc ti ili nagpangato idi, iti casta nagsublida manen, ket pinapatayda dagiti tattao ti Ai.
JOS.8.22	Ket dagiti dadduma rimmuarda iti ili a bumosor cadacuada; iti casta nga addada idi iti tengnga ti Israel, dagiti dadduma itoy a sikigan, ket dagiti dadduma idiay a sikigan: ket kinabilda ida, iti casta nga 
JOS.8.23	Ket ti ari ti Ai innalada a sibibiag ket isu inyegda ken Josue.
JOS.8.24	Ket naaramid, idi a ti Israel nalpasnan ti panagpapatayna cadagiti isu-amin a naed ti Ai iti away, iti let-ang a nagsurotanda cadacuada, ket napasagda amin iti tadem ti campilan, inggana iti napucawda, ket iti casta nga isu-amin nga Israel nagsublida iti Ai ket isu kinabilda iti tadem ti campilan.
JOS.8.25	Ket ti dagup ti napasag iti daydi nga aldaw, lallaki ken babbai, sangapulo ket dua a ribu, nga amin met laeng a tattao ti Ai.
