MAT.1.1	Libru yaꞌa kakuneꞌe xixitna Jesucristu. Xixitna‑ia n‑kuu David. Xixitna David n‑kuu Abraham. 
MAT.25.24	Se n‑tnɨɨ ɨɨn ni talento, neꞌe‑s n‑naxee, te xiaꞌan‑s: “Dito, xini‑da xa ma kachi ini‑n. Nataxtnaꞌa‑n xa ña n‑dakeé‑n. Dɨuni nakueka‑n xa ña n‑dadaꞌu‑n. 
MAT.25.25	N‑chinduxi‑da tvini‑n chi n‑yuꞌu‑da nuu‑n. Na tvini‑n yaꞌa”, kuu‑s, xiaꞌan‑s. 
MAT.25.26	Te n‑jaꞌan se kuu xtoꞌo‑s jan: “Lilu‑n. Ña kuaꞌa‑n junukuechi‑n, te kudi‑n. Ando xá naꞌa xa nataxtnaꞌa‑r xa ña n‑dakeé‑r, te dɨuni nakueka‑r xa ña n‑dadaꞌu‑r. 
MAT.25.27	¿Nakuenda ña n‑xe chiꞌi‑n tvini‑r bancu xa kɨu na nxee‑r nakueka‑r tvini n‑taxi‑r xiꞌin daꞌya‑i?”, kuu‑s, xiaꞌan‑s nuu se xinokuechi jan. 
MAT.25.28	Te xiaꞌan‑s nuu se xnii yatni: “Tnɨɨ koio tvini‑s te juñaꞌa se n‑xiaꞌan‑r oꞌon talento 
MAT.25.29	chi ñayiu xnevaꞌa kueꞌe, kueꞌe ka niꞌi‑i. Ñayiu itaꞌu nevaꞌa, dita ñayiu ntdaa xa nevaꞌa‑i. 
MAT.25.30	Se yaꞌa xa ña n‑kuaꞌa‑s junukuechi‑s nuu‑r, dajane‑s nuu nee xa nee nuu ndeꞌe ndaꞌi‑s te ndeꞌe kiti ini‑s”, kuu se kuu xtoꞌo jan, xiaꞌan‑s nuu se ijan.
MAT.25.31	ʼNa ndixi ruꞌu, Ia kuu ñayiu, te ndeꞌe ndii‑r te kunukoo‑r silla nuu taxnuni‑r. Ndixi‑r xiꞌin ángel, ia ka xinokuechi nuu Ianyuux. 
MAT.25.32	Nataka koio ntdantuꞌu ñayiu nuu‑r te kineꞌe dɨɨn‑r ñayiu vaꞌa nuu ñayiu loko ná kida ɨɨn ñayiu xa kineꞌe dɨɨn‑i tkachi nuu nchiva. 
MAT.25.33	Janyuku‑r ñayiu kuu ná kuu tkachi diñi kuaꞌa‑r te janyuku‑r ñayiu kuu ná kuu nchiva diñi datni‑r. 
MAT.25.34	Ijan dada jaꞌan ruꞌu, Ia taxnuni nuu dava ka‑n: “Ta kindeꞌe koio chi n‑kida Taa‑ro Ianyuux xa taꞌu kuu koio‑n. Nu n‑kidavaꞌa‑ia ñuñayiu, n‑kida tuꞌa‑ia nuu taxnuni koio‑n. Xijan kuu taꞌu‑n 
MAT.25.35	chi n‑ka taxi‑n xa n‑xaxi‑r na n‑kojon‑r. N‑yichi‑r ndute te n‑ka taxi‑n xa n‑xiꞌi‑r. Ñayiu toꞌo n‑kuu‑r te n‑ka jaꞌan ñaꞌa‑n veꞌe‑n. 
MAT.25.36	Ñatu daꞌma‑r n‑xio te n‑ka taxi‑n daꞌma. N‑kuꞌu‑r te n‑ka xo ndeka ñaꞌa‑n. N‑yɨndiꞌu‑r vekaa, te n‑ka xitoniꞌni ñaꞌa‑n.” 
MAT.25.37	Ijan dada jaꞌan ndoꞌo xiꞌin dava ka ñayiu n‑kida Ianyuux xa n‑ka nduu‑n ñayiu ñatu ka xndido xtau kuechi n‑ka kida‑n: “Ña naꞌa‑da xa n‑kojon‑n te n‑taxi‑da xa n‑xaxi‑n. Ña naꞌa‑da xa n‑yichi‑n ndute te n‑taxi‑da xa n‑xiꞌi‑n. 
MAT.25.38	Ña naꞌa‑da xa setoꞌo n‑kuu‑n te n‑jaꞌan ñaꞌa‑da veꞌe‑da. Ña naꞌa‑da xa ña n‑xio daꞌma‑n te n‑taxi‑da daꞌma. 
MAT.25.39	Ña naꞌa‑da xa n‑kuꞌu‑n. Dɨuni ña naꞌa‑da xa n‑yɨndiꞌu‑n vekaa te n‑xe kotoniꞌni ñaꞌa‑da.” 
MAT.25.40	Te kachi ruꞌu, Ia taxnuni nuu‑n ntdaa‑n: “Xaxeꞌe xa duꞌa n‑ka kida‑n xaxeꞌe ñayiu yo n‑ka kundaꞌu ndeka‑r, kuenda kɨu mee‑r n‑ka kida ñaꞌa‑n. Xa ndaa kuu xa jaꞌan‑r ya.”
MAT.25.41	ʼÑayiu kunujuiin diñi datni‑r, Jaꞌan‑r nuu‑i: “Xikojuiin koio. N‑jaꞌan Taa‑r xa jɨꞌɨn koio‑n nuu nuꞌu koko nɨkava nɨkuita nuu n‑xani ini‑ia xa niꞌi Satanás xiꞌin ntdaa ángel ndeka‑i taꞌu‑i 
MAT.25.42	chi n‑kojon‑r te ña n‑taxi‑n xa kaxi‑r. N‑yichi‑r ndute, te ña n‑ka taxi‑n xa koꞌo‑r. 
MAT.25.43	Setoꞌo n‑kuu‑r te ña n‑jaꞌan ñaꞌa‑n veꞌe‑n. Ñatu daꞌma‑r n‑xio, te ña n‑taxi‑n daꞌma. N‑kuꞌu‑r te n‑yɨndiꞌu‑r vekaa, ko ña n‑xitoniꞌni ñaꞌa‑n.” 
MAT.25.44	Ijan dada jaꞌan koio‑i nuu‑r: “Ña xnaꞌa‑da xa ña n‑chindee ñaꞌa‑da hora n‑kojon‑n a n‑yichi‑n ndute a setoꞌo n‑kuu‑n a n‑xio vichi‑n a n‑kuꞌu‑n, ni ñatu xnaꞌa‑da xa n‑yɨndiꞌu‑n vekaa, te ñatu n‑xe kotoniꞌni ñaꞌa‑da.” 
MAT.25.45	Te jaꞌan‑r nuu‑i: “Xaxeꞌe xa ña n‑chindee‑n ni ɨɨn ñayiu, ni ñayiu ka kundaꞌu ka, kuenda kɨu ña n‑ka chindee ñaꞌa‑n.” 
MAT.25.46	Dava‑n jɨꞌɨn nuu ndaꞌu yaꞌa koio‑n nɨkava nɨkuita, ko dava‑n, jɨꞌɨn nuu kutuu koio‑n xiꞌin Ianyuux nɨkava nɨkuita chi ka jandixa‑n xa taꞌu tniu Ianyuux —kuu Jesús, n‑jaꞌan‑ia nuu‑da ntdaa‑da.
MAT.26.1	Nu n‑yaꞌa xa n‑jaꞌan Jesús ntdantuꞌu tnuꞌu ijan, te n‑jaꞌan‑ia nuu ntdaa daña, se n‑dakuaꞌa ñaꞌa‑ia:
MAT.26.2	—Xa ka xini‑n xa nuu uu kɨu kuu viko Paxcua. Kɨu ijan kada ɨɨn se kada xa tnɨɨ ñaꞌa koio juxtixia ruꞌu, Ia kuu ñayiu, xa nkuitakaa dika‑r.
MAT.26.3	Tiempu ijan xyuku dutu ka kunxaꞌnu xiꞌin sexaꞌnu ka taxnuni nuu ñayiu Israel nukeꞌe dutu taxnuni ka nani Caifás. 
MAT.26.4	N‑ka kida ɨnuu‑s nuu janda dandaꞌu‑s ñayiu ñuu‑s xa na kuaꞌa tnɨɨ‑s Jesús te kaꞌni ñaꞌa koio‑s. 
MAT.26.5	Ko n‑ka xiaꞌan tnaꞌa‑s:
MAT.26.5	—Maxku duꞌa kada‑ro kɨu kuu viko Paxcua na ñaꞌa ndandita ñayiu nuu‑ro.
MAT.26.6	N‑xee Jesús ñuu nani Betania, te juaꞌan‑ia veꞌe Simón. Ka dandee ñayiu Simón: “Se Teꞌyu Ñɨɨ”, chi n‑xo teꞌyu ñɨɨ‑s. 
MAT.26.7	Ijan n‑xee ɨɨn ñá neꞌe ɨɨn vidriu alabastro ñuꞌu perfume yo yaꞌu. Nɨni nukoo‑ia yuꞌu mexa xa xaxdeꞌñu‑ia, n‑xodo‑ña perfume jan dɨkɨ‑ia. 
MAT.26.8	Nu n‑ka xini daña, se dakuaꞌa ñaꞌa‑ia, te n‑ka kiti ini‑da. N‑ka xiaꞌan tnaꞌa‑da:
MAT.26.8	—¿Nakuenda tɨu perfume yaꞌa? 
MAT.26.9	Nu n‑kuyaꞌu, kueꞌe tvini niꞌi‑ro xa kuu xiꞌin ñayiu ka kundaꞌu n‑kuu.
MAT.26.10	N‑teku Jesús xa n‑ka ndatnuꞌu‑da te n‑jaꞌan‑ia nuu‑da ntdaa‑da:
MAT.26.10	—¿Nakuenda jan tnuꞌu‑n ñá yaꞌa? Ɨɨn xavaꞌa n‑kida ñaꞌa‑ña 
MAT.26.11	chi mee‑n ɨɨn ɨɨn‑n, dani kutuu‑n xiꞌin ñayiu ka kundaꞌu, ko mee‑r, ma kutuu ka‑ro. 
MAT.26.12	Xa n‑xodo ñaꞌa‑ña perfume kuu xa xá n‑kida tuꞌa‑ña yɨkɨ kuñu‑r xa maxku tɨu yachi ni. 
MAT.26.13	Xandaa xakuiti xa davaꞌa nga ñuu nuu jaꞌan‑n nuu ñayiu nax kada koio‑i xa nanitaꞌu‑i, jaꞌan koio‑n nax n‑kida ñaꞌa ñá yaꞌa xa na kunaꞌa ñaꞌa ñayiu mee‑ña —kuu Jesús, n‑jaꞌan‑ia.
MAT.26.14	N‑xeꞌen Judas Iscariote, ɨɨn se n‑xo kandeka tnaꞌa xiꞌin‑da nuu dutu ka taxnuni. 
MAT.26.15	Xiaꞌan‑s:
MAT.26.15	—¿Nadaa tvini taxi‑n te na kandeka‑da‑s xee?
MAT.26.15	Te n‑ka jaꞌan‑s xa juñaꞌa‑s oko uxi moneda kuu plata. 
MAT.26.16	N‑nduku ini Judas xa kada‑s xijan na ma yoo ñayiu kundeꞌa ñaꞌa.
MAT.26.17	Kɨu kiꞌna nu viko ka xaxi ñayiu tila ña n‑kɨu levadura, daa n‑ka xetuꞌa nɨ uxi uu‑da Jesús te n‑ka xijan tnuꞌu‑da‑ia:
MAT.26.17	—¿Ndexu kuu ini‑n xa kada tuꞌa koio‑da xa kaxdini‑ro viko Paxcua? —kuu‑da, ka xiaꞌan‑da.
MAT.26.18	N‑jaꞌan‑ia:
MAT.26.18	—Juaꞌan ñuu katuu yatni. Ijan nitnaꞌa‑n xiꞌin ɨɨn se nitnaꞌa xiꞌin‑n, te duꞌa juñaꞌa‑n nuu‑s: “Jaꞌan maestru‑da: Veꞌe‑n juetniu‑r xa kaxdini‑r xiꞌin se dakuaꞌa‑r viko Paxcua chi vax kuyatni xa yaꞌa‑r ɨɨn xa yaꞌa‑r.”
MAT.26.19	Juaꞌan koio‑s xa kada‑s na n‑taꞌu tniu Jesús. N‑ka kida tuꞌa‑s xa kaxdini koio‑s xiꞌin‑ia. 
MAT.26.20	Nu n‑ñini, te n‑ka nukoo nɨn uxi uu daña, se n‑dakuaꞌa ñaꞌa‑ia xiꞌin‑ia nuu mexa xa kaxdini koio‑da. 
MAT.26.21	Nɨni ka xaxdini‑da xiꞌin‑ia n‑jaꞌan‑ia nuu‑da ntdaa‑da:
MAT.26.21	—Xandaa xakuiti kandeka ñaꞌa ɨɨn‑n jɨꞌɨn nuu se loko.
MAT.26.22	Te yo ndeꞌe n‑ka kukoꞌyo ini‑da, te n‑ka kixeꞌe‑da ka xijan tnuꞌu‑da‑ia:
MAT.26.22	—Maestru, ¿Kuiti mee‑da duꞌa kada ñaꞌa u?
MAT.26.23	N‑jaꞌan‑ia:
MAT.26.23	—Se na dakee ndita xiꞌin‑r tila ɨɨn ni nuu koꞌo, se ijan kada xa tnɨɨ ñaꞌa juxtixia. 
MAT.26.24	Yaꞌa mee‑r, Ia kuu ñayiu, ná yodotnuni tnuꞌu Ianyuux, te ndaꞌu yaꞌa se kada xa tnɨɨ ñaꞌa juxtixia. Vaꞌa ka nuu n‑xiꞌí niꞌno‑s xiti dɨꞌɨ‑s n‑kuu —kuu‑ia.
MAT.26.25	Ijan dada xiaꞌan Judas, se n‑kida xa n‑ka tnɨɨ juxtixia Jesús:
MAT.26.25	—Maestru, ¿kuiti mee‑da duꞌa kada ñaꞌa u?
MAT.26.25	Te xiaꞌan‑ia nuu‑s:
MAT.26.25	—Joon.
MAT.26.26	Nɨni ka xaxdini daña, se dakuaꞌa ñaꞌa‑ia xiꞌin‑ia, n‑tnɨɨ‑ia tila te n‑xijan taꞌu‑ia nuu Ianyuux. Ijan dada n‑taꞌu‑ia tila jan, te n‑jaꞌan‑ia nuu‑da ntdaa‑da:
MAT.26.26	—Tnɨɨ koio tila‑ia te kaxi koio. Tila yaꞌa kuu ñɨɨ‑r.
MAT.26.27	Ijan dada n‑tnɨɨ‑ia taxa ñuꞌu vinu uva te n‑jaꞌan‑ia xa n‑kutaꞌu‑ia nuu Ianyuux te n‑taxi‑ia xa koꞌo koio‑da ntdaa‑da te n‑jaꞌan‑ia:
MAT.26.27	—Koꞌo koio ntdaa‑n. 
MAT.26.28	Xaꞌa kuu nɨñɨ‑r katuu xaxeꞌe xa kada Ianyuux tratu xee xiꞌin kueꞌe ñayiu taxkanu ini‑ia xa n‑ka kida‑i kuechi‑i. 
MAT.26.29	Xandaa xakuiti ma koꞌo ka‑r ndudi uva nde na xee kɨu kixeꞌe Taa‑ro Ianyuux xa taxnuni‑ia.
MAT.26.30	Nu n‑yaꞌa xa n‑ka xita‑da xiꞌin‑ia ɨɨn salmo, juaꞌan koio‑da xiꞌin‑ia Yuku Tnu Olivo.
MAT.26.31	Ijan n‑jaꞌan‑ia nuu‑da ntdaa‑da:
MAT.26.31	—Kujanuu koio‑n xaxeꞌe xa ndeka tnaꞌa‑ro te dandoo ñaꞌa koio‑n xakuaa vitna. Duꞌa yaꞌa xa na jɨn tnaꞌa tnuꞌu Ianyuux yodotnuni. Duꞌa yodotnuni:
MAT.26.31	Kada‑r xa kuú se ñunuu tkachi‑r.
MAT.26.31	Te duꞌa duꞌa kute niꞌno‑tɨ.
MAT.26.32	Na nandoto‑r te kiꞌna ka‑r ku nuꞌu Galilea —kuu‑ia.
MAT.26.33	Xiaꞌan Spedru nuu‑ia:
MAT.26.33	—Juini ntdaa‑s, na kujanuu xaxeꞌe xa ndeka tnaꞌa‑ro xiꞌin‑s te dandoo ñaꞌa‑s, ko daña nuncas ma kujanuu‑da xaxeꞌe xa ndeka tnaꞌa‑ro, ni ma dandoo ñaꞌa‑da.
MAT.26.34	Xiaꞌan Jesús nuu‑s:
MAT.26.34	—Xandaa xakuiti xa xakuaa vitna uni vuelta jaꞌan‑n xa ña xini ñaꞌa‑n, ijan dada kana ɨɨn liꞌi.
MAT.26.35	Xiaꞌan Spedru nuu‑ia:
MAT.26.35	—Juini na kaꞌni ñaꞌa‑s xaxeꞌe xa ndeka tnaꞌa‑ro, nuncas ma jaꞌan‑da xa ña xini ñaꞌa‑da —kuu‑s, xiaꞌan‑s.
MAT.26.35	Dani ka xiaꞌan‑da ntdaa‑da.
MAT.26.36	Ijan dada ndeka ñaꞌa Jesús juaꞌan nuu nani Getsemaní. Ijan n‑jaꞌan‑ia nuu dava‑da:
MAT.26.36	—Nkoo koio yaꞌa nɨni na jɨꞌɨn‑r do ijan xa nkajan taꞌu‑r nuu Ianyuux.
MAT.26.37	Ijan dada ndeka‑ia Spedru, Sua, Jacobo juaꞌan. Daꞌya yɨɨ Zebedeo kuu Sua xiꞌin Jacobo jan. Nu n‑xee‑ia ijan, yo vichi n‑kukoꞌyo ini‑ia. 
MAT.26.38	Te n‑jaꞌan‑ia nuu‑s:
MAT.26.38	—Yo ndeꞌe kukoꞌyo ini‑r. Kuu anu‑r xa kuú‑r. Ndoo koio yaꞌa te kundeꞌa vaꞌa‑n nax na yaꞌa, te dani ruꞌu kundeꞌa vaꞌa‑r nax na yaꞌa tuku.
MAT.26.39	Ijan dada juaꞌan ka‑ia itaꞌu te n‑xe juiin xiti‑ia te n‑xijan taꞌu‑ia nuu Ianyuux. N‑jaꞌan‑ia:
MAT.26.39	—Taa‑ro Ianyuux, nux vatuka xa dakaku ñaꞌa‑n nuu xa uꞌu yaꞌa, dakaku ñaꞌa‑n, ko maxku kada‑n xa juini mee‑da. Kada‑n xa juini mee‑n.
MAT.26.40	Ijan dada n‑naxee‑ia nde nuu xtuu ndruni se ndeka tnaꞌa xiꞌin‑ia juaꞌan. N‑xini‑ia xa ka kidi‑s, te xiaꞌan‑ia nuu Spedru:
MAT.26.40	—¿Ni ɨɨn nunuu ña n‑kuu xa kundeꞌa vaꞌa‑n nax yaꞌa u? —kuu‑ia.
MAT.26.41	Ijan dada xiaꞌan‑ia nuu ndruni‑s:
MAT.26.41	—Chinuu koio naxa yaꞌa te kajan taꞌu koio nuu Ianyuux xa maxku dajaꞌan ñaꞌa Kuiꞌna xa kada koio‑n kuechi. Io anu‑n xa ma kada koio‑n kuechi, ko xaxeꞌe xa ñayiu ñuñayiu ka kuu‑n ma kundedi ini‑n, te kada naꞌi‑n kuechi —kuu‑ia, xiaꞌan‑ia.
MAT.26.42	Vuelta kuu uu juaꞌan‑ia te duꞌa n‑xijan taꞌu‑ia nuu Ianyuux:
MAT.26.42	—Taa‑ro Ianyuux, nux ma kuu xa dakaku ñaꞌa‑n nuu xa uꞌu yaꞌa, na yaꞌa na juini mee‑n.
MAT.26.43	Nu n‑naxee ntuku Jesús nuu xtuu ndruni se ndeka‑ia juaꞌan, te n‑xini‑ia xa ka kidi ntuku‑s chi yo vichi n‑ka kuu nuu‑s xa kidi. 
MAT.26.44	Ɨnka ntuku vuelta n‑dandoo‑ia‑s te juaꞌan‑ia xa kajan taꞌu‑ia nuu Ianyuux vuelta kuu uni. Nani n‑xijan taꞌu‑ia xa kuu uu, dani n‑xijan taꞌu‑ia xa kuu uni.
MAT.26.45	Ijan dada n‑naxee‑ia nuu n‑ka ndoo ndruni‑s te xiaꞌan‑ia nuu‑s:
MAT.26.45	—¿Ka kidi ntuku‑n a? ¿Ka ndetatu naꞌi‑n a? Xa n‑xee hora kada se kada xa tnɨɨ ñaꞌa se unu loko ruꞌu, Ia kuu ñayiu. 
MAT.26.46	Ndokoo koio. Na nuꞌu‑ro chi vaxi‑s —kuu‑ia, n‑jaꞌan‑ia.
MAT.26.47	Nɨni jaꞌan‑ia xijan, n‑xee Judas, se n‑xo kandeka tnaꞌa xiꞌin‑da ntdaa‑da. Kueꞌe se ndeka‑s n‑xee ijan. Xneꞌe se ijan espada‑s xiꞌin karruti‑s n‑ka xee. Dutu ka taxnuni xiꞌin sexaꞌnu ka taxnuni nuu ñayiu Israel n‑ka tundaꞌa ñaꞌa. 
MAT.26.48	Xá daa n‑jaꞌan Judas janda kada‑s xa kutnuni ini se xnetnaꞌa xiꞌin‑s n‑xee ijan jundu kuu Jesús. Duꞌa n‑jaꞌan‑s nuu se ijan:
MAT.26.48	—Se na teyuꞌu‑da, se ijan tnɨɨ koio‑n.
MAT.26.49	N‑xe tuꞌa‑s Jesús, te xiaꞌan‑s nuu‑ia:
MAT.26.49	—Vaꞌa nga taꞌu kuu‑n, Maestru.
MAT.26.49	Te n‑teyuꞌu‑s‑ia.
MAT.26.50	Xiaꞌan Jesús nuu‑s:
MAT.26.50	—Kada xa vax ki kada‑n.
MAT.26.50	Ijan dada n‑ka xetuꞌa se ijan Jesús te n‑ka tnɨɨ‑s‑ia. 
MAT.26.51	N‑tava ɨɨn se ndeka tnaꞌa xiꞌin‑da espada‑s, te n‑xaꞌnde‑s doꞌo se xinokuechi nuu dutu taxnuni ka. 
MAT.26.52	Xiaꞌan Jesús nuu se duꞌa n‑kida:
MAT.26.52	—Dandee naꞌi espada‑n chi ñayiu ka xaꞌni ñayiu espada dɨuni espada kuú koio‑i. 
MAT.26.53	¿Xani ini‑n xa ma kuu kajan taꞌu‑r nuu Ianyuux xa chindee ñaꞌa‑ia u? Nux na juñaꞌa‑r nuu Ianyuux xa tundaꞌa‑ia ángel, ia xinokuechi nuu‑Ia, nunuvii ni tundaꞌa‑ia viꞌi ka uni diko uxi uu mil‑ia, 
MAT.26.54	ko nux daa na kada‑r ma jɨn tnaꞌa na yodotnuni tnuꞌu‑ia —kuu‑ia.
MAT.26.55	Ijan dada n‑jaꞌan‑ia nuu se n‑ka xee ijan:
MAT.26.55	—¿Nakuenda xneꞌe‑n espada‑n xiꞌin karruti‑n n‑ka kixee xa tnɨɨ ñaꞌa koio‑n kuenda kɨu ñaduꞌu kuu‑r? Ndɨkɨu ndɨñuu n‑xo dakuaꞌa‑r ñayiu xiti veñuꞌu Jerusalén. N‑xo xo nukoo‑r ijan te ñayo‑n n‑ka tnɨɨ ñaꞌa, 
MAT.26.56	ko ntdaa xaꞌa io xa yaꞌa xa jɨn tnaꞌa ntdaa xa n‑chidotnuni se n‑ka jaꞌan tnuꞌu Ianyuux nuu ñayiu —kuu‑ia, xiaꞌan‑ia.
MAT.26.56	Hora ijan, ntdantuꞌu‑da n‑ka dandoo Jesús, te n‑ka xino‑da.
MAT.26.57	N‑ka tnɨɨ‑s Jesús, te xndeka ñaꞌa‑s juaꞌan veꞌe Caifás, dutu taxnuni ka, nuu xyuku se ka tuꞌa vaꞌa ley n‑chidotnuni Moisés xiꞌin sexaꞌnu ka taxnuni nuu ñayiu Israel. 
MAT.26.58	Xika xika ni ndijun Spedru‑ia juaꞌan. N‑xee‑s nukeꞌe dutu jan, te n‑nukoo‑s nuu xtuu ñayiu ka xinokuechi nuu dutu jan dava nukeꞌe jan xa kundeꞌa‑s ntdaa xa yaꞌa Jesús. 
MAT.26.59	N‑ka nduku ini dutu ka taxnuni xiꞌin juxtixia Israel na tnuꞌu jaꞌan koio‑s xa tekuechi neñuu‑s‑ia te kaꞌni‑s‑ia. 
MAT.26.60	Juini kueꞌe ñayiu n‑ka tekuechi neñuu Jesús, ko ñatu n‑kundee tnuꞌu‑i. Ijan dada n‑ka xetuꞌa ka uu‑s. 
MAT.26.61	Ka xiaꞌan‑s:
MAT.26.61	—Duꞌa jaꞌan se yaꞌa: “Vatuka kanu‑r veñuꞌu Ianyuux Jerusalén te vatuka nadaxino‑r nuu uni kɨu” —kuu‑s, ka xiaꞌan‑s.
MAT.26.62	N‑ndojuiin dutu taxnuni ka te n‑xijan tnuꞌu‑s‑ia:
MAT.26.62	—¿Ña tuu nax jaꞌan‑n a? ¿Nax kida‑n xikonuu‑n xa duꞌa ka tekuechi ñaꞌa se yaꞌa?
MAT.26.63	Ni ɨɨn tnuꞌu ñatu n‑jaꞌan‑ia. Te xiaꞌan ntuku‑s nuu‑ia:
MAT.26.63	—Xaxeꞌe xa n‑tetutniu ñaꞌa Ianyuux ndixa, taꞌu tniu‑r nuu‑n xa jaꞌan ndaa‑n nuu mee‑n kuu Cristu, Daꞌya Yɨɨ Ianyuux a ñaꞌa.
MAT.26.64	Te xiaꞌan Jesús nuu‑s:
MAT.26.64	—Joon, te na jaꞌan‑r xa xee kɨu jini ñaꞌa koio‑n mee‑r, Ia kuu ñayiu, diñi kuaꞌa Ia taxnuni. Kunukoo‑r ijan xa taxnuni‑r nuu ñayiu, te ndixi‑r nuu viko.
MAT.26.65	N‑ndata dutu taxnuni ka jan dijun‑s xaxeꞌe tnuꞌu n‑jaꞌan Jesús. Xiaꞌan‑s:
MAT.26.65	—Jan kuiꞌa‑s Ianyuux. Ña ndoñuꞌu ka‑ro testiu chi n‑ka teku‑ro xa n‑jan kuiꞌa‑s Ianyuux. 
MAT.26.66	¿A nax ka kachi‑n? —kuu dutu jan, xiaꞌan‑s nuu se xyuku ijan.
MAT.26.66	Te ka xiaꞌan se ijan nuu‑s:
MAT.26.66	—Io kuechi‑s. Na kuú‑s.
MAT.26.67	Ijan te n‑ka tudɨɨ‑s nuu‑ia te n‑ka janñaꞌa‑s. Dava‑s n‑ka katuu nuu‑ia. 
MAT.26.68	Ka xiaꞌan‑s:
MAT.26.68	—Ndoꞌo xa kuu‑n Cristu, jinitnuni jundu n‑janñaꞌa.
MAT.26.69	Nɨni nukoo Spedru nukeꞌe jan, n‑xetuꞌa ñaꞌa ɨɨn soltera xino kuechi nuu dutu jan. N‑jaꞌan‑i:
MAT.26.69	—Dani ndixi n‑xo kunduu‑n xiꞌin Jesús, te Galilea.
MAT.26.70	Xiaꞌan Spedru nuu‑i xa ñaꞌa, te n‑ka teku ntdaa ñayiu xyuku ijan. Xiaꞌan ntuku‑s:
MAT.26.70	—Ña kutnuni. Ñatu xini‑r‑sɨ.
MAT.26.71	Ijan dada juaꞌan‑s yeꞌe ndɨu‑ro nukeꞌe jan, te n‑xini ñaꞌa ɨnka soltera. N‑jaꞌan‑i nuu ñayiu xnii ijan:
MAT.26.71	—Te yaꞌa kuu té n‑xo kunduu xiꞌin Jesús, té Nazaret.
MAT.26.72	Vuelta yaꞌa n‑chinaa Spedru te xiaꞌan‑s:
MAT.26.72	—Ña xini tnaꞌa‑r xiꞌin‑s.
MAT.26.73	Nanaꞌa ni n‑kuu, te n‑ka xetuꞌa ñaꞌa ñayiu xnii ijan. Ka xiaꞌan‑i:
MAT.26.73	—Xandaa xakuiti ndeka tnaꞌa‑n xiꞌin‑s chi ná jaꞌan‑n jaꞌan‑s de —ka kuu‑i, ka xiaꞌan‑i.
MAT.26.74	Te n‑nukuita ntuku‑s chinaa‑s te xiaꞌan‑s xa na yaꞌa‑s ɨɨn xa uꞌu nux vete‑s.
MAT.26.74	—Ña xini‑da‑s —kuu‑s, n‑xiaꞌan‑s.
MAT.26.74	Hora ijan ni n‑kana ɨɨn liꞌi, 
MAT.26.75	te n‑najaꞌan Spedru tnuꞌu n‑jaꞌan Jesús nuu‑s: “Kiꞌna ka jaꞌan‑n uni vuelta xa ña xini ñaꞌa‑n, ijan dada kana liꞌi.”
MAT.26.75	N‑kee dɨɨn‑s te vichi n‑tnau ini‑s te ndeꞌe n‑ndaꞌi‑s.
MAT.27.1	Nu n‑tuu kɨu kuu uu, te n‑ka kida ɨnuu dutu ka taxnuni xiꞌin sexaꞌnu ka taxnuni nuu ñayiu Israel xa kaꞌni koio‑s Jesús. 
MAT.27.2	N‑ka duku ñaꞌa‑s te xndeka ñaꞌa‑s juaꞌan nuu se kuu gobernador romano nani Pilato. 
MAT.27.3	Xaxeꞌe xa n‑xini Judas, se n‑kida xa n‑ka tnɨɨ juxtixia Jesús, xa xá n‑ka jaꞌan‑s xa io kuechi Jesús te kaꞌni koio‑s‑ia, xijan kuu xa n‑natu ini‑s, te n‑xeꞌen‑s veñuꞌu xa n‑nangoneꞌe‑s oko uxi tvini kuu plata jan nuu dutu ka taxnuni xiꞌin nuu sexaꞌnu ka taxnuni nuu ñayiu Israel. 
MAT.27.4	Xiaꞌan‑s:
MAT.27.4	—N‑kida‑da kuechi chi n‑kida‑da xa tnɨɨ juxtixia ɨɨn se ña tuu na kuechi n‑kida.
MAT.27.4	Ka xiaꞌan‑s:
MAT.27.4	—¿Nax kada koio‑r u? Dian koto mee‑n.
MAT.27.5	Te n‑dajane Judas tvini jan xiti veñuꞌu Jerusalén te n‑kee‑s. Juaꞌan‑s, te n‑xe dakueꞌne‑s mee‑s. 
MAT.27.6	N‑ka ndoneꞌe dutu ka taxnuni jan tvini jan, te n‑ka xiaꞌan tnaꞌa‑s:
MAT.27.6	—Ña vaꞌa xa dakeé‑ro tvini yaꞌa alcancía veñuꞌu chi yaꞌu ndɨyɨ n‑kuu.
MAT.27.7	N‑ka kida ɨnuu‑s xa jueen koio‑s ñuꞌu ɨɨn se kidavaꞌa koꞌo xiꞌin kɨdɨ ñuꞌu xa koo ɨɨn nuu ku nkonduxi ñayiu toꞌo. 
MAT.27.8	Xijan kuu xa nde vitna, dandee ñayiu ñuꞌu ijan Ñuꞌu Ndɨyɨ. 
MAT.27.9	N‑xetnaꞌa tnuꞌu n‑chidotnuni Jeremías, se n‑jaꞌan nuu ñayiu xa n‑jaꞌan Ianyuux. Duꞌa n‑chidotnuni‑s: “Oko uxi moneda kuu plata kuu yaꞌu‑s. Yaꞌu n‑xantuu se Israel kuu. 
