LUK.1.1	O danah naŕi Tiofilus, danah kuŕum la os ag tatam keŕ keŕ ig gamnigwa beko atan qeri né ene yeg. 
LUK.4.23	Qere anweg ge, Yesus anan. “Meŕenah, ag geisah nun né dasil ene anlag. ‘Dokta, na nagégé féŕun sewe pasaorar. Kowol are na Kapernaum sewe ig duet ole qe ih na kawan diguwa ewa ole qere se,’ éksi aniŕlag.” 
LUK.4.24	Qere anaŕelle anan, “Da meŕenah amlagwa anina. Profet nug kawag diguwari danahas ag nug pi sumursi. 
LUK.4.25	Am da ag amlagwa anina. Elaisari sénwa saw megalko gu kawa makaŕ kiam am kalam 6 qere laké naŕi Israel atu kunumba nian. Sén qe as qehŕas kuŕum Israel daréw. 
LUK.4.26	Gam Tiwur nug Elaisa mew Israel as qehŕas usih os kéhnurdigri pi atan. Nug Elaisa mew Sarefat Saidon
LUK.4.27	Qe sillah sén profet Elisari sénwa Israel danah kuŕum lepra waŕe ole daréw. Gam olagwa Elisa danah usih os waŕe nusig qe pi sew kawa man. Gam Naman Siriarer
LUK.4.28	Qere anew ge, danah Yuda dilag binag mak lowa deg ole ge né qe dueksi olag uhŕi nounah ban. 
LUK.4.29	Uhŕilag bew aseksi, Yesus beŕweksi kawlag qoukuwa de qe dougwa waneg. Waneksi qouku sékuwa béwa touŕweg nurigri qere seg. 
LUK.4.30	Gam qer seppeg, nug buliko gamlagwa wanko ole ih nusig oko atan.
LUK.4.31	Dimba ge, Yesus Nasaret minko noko Galili atu qe owa Kapernaum qewa atan. Qewa atko ge, Sabat deŕ oswa ge Yuda dilag binag mak lo owa danahas Tiwurdi Né ismaran. 
LUK.4.32	Ismarew ge, ag nusig né qe dueksi dahmak kuŕum og, keŕdi né nusig ge gagragsak am kuakri wittak ole. 
LUK.4.33	Am danah os féŕuwa koulli nou ole Yuda dilag binag mak lowa qewa dian. Nug qalko uŕwan. 
LUK.4.34	“Ei! Yesus Nasaretrer, na ig keŕ sigripri uŕiyam? Na sewe ig paral ménigri te uŕiyam? Da na duirina. Na Tiwurdi Gun Danah,” eko uŕuko anan. 
LUK.4.35	Uŕuko anew ge, Yesus koulli nou qe gagrag anoran. “Na torka danah qe paŕoka beka eit.” Qere anew ge, koulli nou danah qe paŕwurko beko atelle, touŕew danahas nolagwa atko qewew beko atan. Gam nug gurak ospi moran. 
LUK.4.36	Danahas kunum doŕlag new, ag agégé né marieksi aneg. “Uni ge keŕ nénah? Nug kuakri wittak ole am gagragsak olewa koulli nou né mare. Qeri ag dueksi ole paŕwureksi atsi,” éksi aneg. 
LUK.4.37	Qewa ge, Yesus neihwah Galili atu kunumba tualan.
LUK.4.38	Yesus Yuda dilag binag mak lo qe minko danah os wénih Saimon lougwa atan. Qewa ge Saimon numia féŕu gagŕak naŕinah doko niewew, Yesus waŕe qe sew pasaurdigri anoreg. 
LUK.4.39	Géri nug wanko duk noko delle waŕe gaŕa morew ge, as qe waŕe pasaoran. Pasaorew ge, as qe usihri asko ke asilag bawardigri dian. 
LUK.4.40	Kem nowew ge, danahas leilgar waŕe digu kowol kowol ole qe diaressi Yesus dowa uŕiyeg. Uŕiweg ge, nug danahas kunum waŕe asilag usih usih qere feŕlag oŕwelle kunum ole sew pasaoreg. 
LUK.4.41	Am qe ih kawa, koulli nou danahas kuŕum paŕwaressi atessi ole Yesusri uŕweg, “Na Tiwur Bega!” éksi aneg. Gam nug gaŕa marew koŕlag qamteksi né ospi marieg. Keŕdi ag dueg ge nug Kristus. 
LUK.4.42	Kuagŕewew ge, Yesus awen os danah kawawa unuqurdigri atan. Atew ge, danahas nug marieksi atessi peg. Peksi ge, nug minarko atewri dagoreg. 
LUK.4.43	Gam nug anan, “Da Né Kena Tiwur danahas nusgur dilag king delle gumare né qe
LUK.4.44	Qewa ge, nug Né Kena kuswelle, Yuda dilag binag mak lo kuŕumba Yudia atu owa weiré.
LUK.5.1	Deŕ os Yesus Genesaret le koŕe kawa ŕanwa asko dewew, danahas kuŕumnah nug Tiwurdi Né mariew dolagri omoreksi deg. 
LUK.5.2	Deppeg nug ŕanwa kuh aŕit os deppes piatan. Sén qewa, kaké wak danah ag kuh minatweg deppes usu isaressi deppeg piaran. 
LUK.5.3	Yesus nug olko kuh oswa tan, kuh qe Saimonri. Teko Saimon kuh nakok bitlew ŕan minko lewa nurigri amegwa anan. Now ge, Yesus kuhwa delle danahas doulag patan. 
LUK.5.4	Nug doulag patko malako ge, Saimonri anan. “Kuh palniwe nagur le gamagwa wanew, usu kaké wakri paŕwarweg nos,” eko anan. 
LUK.5.5	Anew Saimon koŕewa oko anan, “Danah naŕi, ig tuqan usu touŕehut kuagŕé, gam kaké ospi wam. Gam na anam qeri usu buliko paŕwarwi nolag,” eko anan. 
LUK.5.6	Qere séksi ge, kaké kuŕumnah diarweg usu tataŕlag seg. 
LUK.5.7	Qere sew ge, leilgar kuak usih kuh oswa deg qe dolagri ewta qarweg, duksi kehnarweg beŕweg. Beŕwarweg beweg ge, kuh aŕit olele kaké yanweg ambew, torieksa lewa nolasri ses. 
LUK.5.8	Sén Saimon wénih os ge Pita qere peko ge, unaka Yesus fégwa gatewa yako duk noko ge anan. “Naŕinah, da hipunin danah. Qeri na da paŕwilka eit,” eko anan. 
LUK.5.9	Keŕdi nug leigur kunum ole kaké huhak diareg qe peksi dorlag nan. 
LUK.5.10	Saimon leikuŕ Yems, Yon ole Sebedi békuŕ qe a ole dorlas nan. Géri Yesus Saimonri anan, “Na aw faŕwen. Na gei digumak danah diardip,” eko anan. 
LUK.5.11	Qere anew ge, kuh beŕwatweg ŕanwa tewes, ken kunum mineksi ge, Yesus dimlamdeg.
LUK.5.12	Sén os Yesus nug taun oswa dewew, danah os féŕu kunum lepra waŕe ole qe gumurko duan. Nug doko Yesus peko ge, gatewa yako duk noko Yesus nuqurko anan. “Naŕinah, na ot sew pe, na da féŕulwa waŕe ene sewe kena mar,” eko anan. 
LUK.5.13	Anew ge, Yesus eweg tiorko danah qe féŕuwa meko anan. “Da ol de. Waŕe nasip pasaorar,” eko anew ge, usihri lepra waŕe qe mundan. 
LUK.5.14	Qe dimba, Yesus danah qe gagrag anoran, “Na danah os amegwa awnah anwen. Mosesri Ŕo yakwa ane qe sillah atka féŕun pris
LUK.5.15	Gam Yesus neihwah qe atu kuŕumba tualan. Tualew dueksi ge, danahas nusig né dolagri am waŕe asilgar kusuqko mardigri kuŕumnah uŕiyeksi qagleg. 
LUK.5.16	Gam Yesus sén kuŕum minarko atko awen danah kawawa delle unuqordé.
LUK.5.17	Deŕ os Yesus danahas doulag patelle dewew, Farisi os am Mosesri Ŕo duak danah ole qewa deg. Ag kaw kuŕumbari Galiliri Yudiari am Yerusalemri ole uŕiyeg. Am Tiwurdi gagragsak waŕe danah sew pasaorakri qe Yesus dowa dian. 
LUK.5.18	Sén qewa danah os ag danah eweg fég mousak ole os qaŕqaŕwa méksi maweg. Ag maweksi lo owa nuksi Yesus nohwa melagri seg. 
LUK.5.19	Gam danahas kuŕumnah, géri awen amban. Ambew ge, waŕe danah qe uksi owa nolagri seg, gam ih ospi peg. Géri qaŕqaŕ ole maweksi lo koŕgowa teg. Téksi ge, lo koŕgo siŕeksi oŕe qewa qaŕqaŕ ole paŕoweg now danahas gamlagwa Yesus nohwa meg. 
LUK.5.20	Meweg ge, Yesus olag meŕe mak qe peko anan. “Lal, hipunin nasip kusqém,” eko anoran. 
LUK.5.21	Anew ge, Ŕo duak danah am Farisi agégé né kuŕum marieksi aneg. “Danah uni nug kér danah qeri Tiwur pihlure? Danah ounté la os hipunin kusuqrigri olele kawa. Qe Tiwur nugé nusig kuak,” éksi aneg. 
LUK.5.22	Yesus asilag dahmak qe duan, géri amlagwa anan, “Ag keŕdi olagwa dahmak qere usi? 
LUK.5.23	Keŕ né andil qe kug kawa? ‘Hipunin nasip kusqém,’ te kawa ‘Na aska wei,’ eko andil qe te kug kawa? 
LUK.5.24	Gam ag ere dolag. Tiwur nug Danah Bega wan enewa hipunin kusuqrigri kepaŕko kuakri wittak moran,” eko anan. Yesus buliko ge danah eweg fég kunum mousak ole qe amegwa anan. “Na aska qaŕqaŕ nasip oka mouka ole louw eit,” eko anoran. 
LUK.5.25	Anew ge, usihri danah qe nolagwa asan. Asko qaŕqaŕ nug nian ole qe oko mouko, Tiwur binag sumelle lougwa atan. 
LUK.5.26	Qeri danahas kunum dorlag new Tiwur binag sumessi am ag Tiwurdi gagragsak faŕdeksi aneg. “Ig gei kowol founah os piam,” éksi aneg.
LUK.5.27	Qe dimba ge, Yesus atko takis wak danah os wénih Liwai
LUK.5.28	Qere anew ge, Liwai keke kunum minelle asko Yesus dimlamdan. 
LUK.5.29	Dimba ge, Liwai nug lougwa Yesusri ke naŕi san. Sew ge, takis wak danah kuŕum am danah la os ole a ole ninaqiŕeksi dessi ke qe leg. 
LUK.5.30	Gam Farisi am Ŕo duak danah Farisi dilag ag dougwa piareksi deg qe aseksi Yesus bégur agop né né kuŕum marieg. “Ag takis wak danah am hipunin danah la ole ke am le ole ospi lelew sillah,” éksi aneg. 
LUK.5.31	Anweg ge, Yesus amlagwa anan, “Danahas waŕe kawa ge dokta dowa pi atsi. Gam danahas waŕe ole qe ih dokta dowa atsi. 
LUK.5.32	Da danahas mangu diardildi pi uŕiyin. Gam da hipunin danahas anwi olag bulirigri uŕiyin,” eko anaran.
LUK.5.33	Sén qewa, danah qe Yesus ere amegwa aneg. “Le Luarak danah Yon bégur ge sén kuŕum kurdessi unuqursi. Am Farisi begalgar ag ole qere sési. Gam na begpar ge qere ospi sési ag ke le ole lési,” éksi aneg. 
LUK.5.34	Géri nug né tonak ene anaran, “Danah os as owew, ag nug leigur ke gun marlag olele te? Sén nug qe ole deppeg, kawa. 
LUK.5.35	Gam dimba geisah danah qe uksi atlag, géri nug foula leigur ole pi daweg. Sén qewa ge, leigur qe ke gun melag,” eko anaran. 
LUK.5.36	Yesus nug né tonak os anaran. “Danah ounté nug lamen fou ge parilko sarih nagur os oko am lamen alag oŕe pi titie. Am danah os qere sérig ge, nug lamen fou qe sew nou mérig. Am lamen sarih fou qe lamen alag qe ole amnak usih kawa. 
LUK.5.37	Am danah ounté os nug wain fou bawrak le witakri doŕ gaŕa alagwa pi yane. Am danah os qere sérig ge, wain fou doŕ gaŕa parilko wain wanwa gogoŕdig. Am wain fou doŕ gaŕa le witakri qe ole sew nou mérig. 
LUK.5.38	Danah nug wain fou ge doŕ gaŕa fouwa ih yanar. 
LUK.5.39	Am danah nug wain alag tatam le ole ge, nug wain fou bawrak qeri ospi sew. Nug ane, ‘Wain alag ge kena,’ ” eko anan.
LUK.6.1	Sabat deŕ oswa Yesus bégur ole reis dar owa nuksi ateg. Atessi ge, nug bégur reis qieksi ewlagwa mou oŕoleksi damqéksi leg. 
LUK.6.2	Qere seweg ge, Farisi os piareksi koŕmareg, “Sabat deŕwa qere sakri ge gun, gam ag keŕdi qere séw,” éksi koŕmareg. 
LUK.6.3	Yesus Farisi koŕlagwa oko anan, “Ag Dewit danah nusgur ole laké aqarew seg qeri, Né yak nie ge ospi te ewqéksi dosi? 
LUK.6.4	Dewit Tiwur Loug owa noko, Tiwur nohwari ke beret qe wan. Beret qe gun, danah balbal kunum dilag kawa, pris
LUK.6.5	Yesus buliko anaran, “Danah Bega nug Sabat deŕ gume,” eko anaran.
LUK.6.6	Sabat deŕ oswa Yesus nug Yuda dilag binag mak lowa noko danahas Tiwurdi Néri duak maran. Am danah os eweg kenari mousak ole qewa dian. 
LUK.6.7	Ŕo duak danah am Farisi os ole ag keŕ ihwa os Yesus yagoŕ morlagri ih marieg. Géri ag Yesus Sabat deŕwa waŕe danah kusqarew pelagri kaŕéordéw. 
LUK.6.8	Gam Yesus asilag dahmak qe iŕil duan. Doko ge, danah eweg mousak ole qe amegwa anan. “Aska danahas gamlagwa sirka da,” eko anoran. Géri danah qe asko sirko dian. 
LUK.6.9	Dewew ge, Yesus koŕmaran, “Ag dosi ge, kowol are ge Ŕo dimlamdak? Ig Sabat deŕwa danah kowol kena te sarnig, kawa ig gurak te marnig? Ig danah kena dalagri te kehnarnig, kawa ig danah sarhut paral te melag?” eko koŕmaran. 
LUK.6.10	Nug amnew weiyew danah kunum piarko ge, danah qe anoran. “Ewen tior,” eko anoran. Anew danah qe qere sew ge, eweg sew buliko pasaorko koutoran. 
LUK.6.11	Gam ag uhŕilag bew ge, ag Yesus aregnah sorlagri qe ag agéagé marieg.
LUK.6.12	Qe dimba sén os ge, Yesus Tiwurdi unuqurdigri qoukuwa tan. Teko ge, tuqan usih qe unuqorelle dewew kuagŕan. 
LUK.6.13	Kuagŕew furuwa ge, nug bégur anew qagleg. Qagulweg ge, nug 12 qere kepŕarko ag wenlag aposel
LUK.6.14	Os ge wénih Saimon, Yesus wénih Pita katŕan. Am Endru, nug Saimon kamag. Yems am Yon ole. Am Filip, Batolomiu ole. 
LUK.6.15	Matiu am Tomas ole. Am Yems nug Alfius nag. Am Saimon, nug Silot danah ameg qewari. 
LUK.6.16	Am Yudas, nug Yems nag. Am Yudas Iskariotrer, nug dimba geisah Yesus kegeŕ ewlagwa mérig.
LUK.6.17	Yesus Bégur 12 ole nuksi ge, nug wanko wan uŕemba asko dian. Nug bégur kuŕumnah ole deg. Am danahas kuŕumnah Yudia atu kunumbari am Yerusalem taun qewari am Tair, Saidon ole ŕanwari qe kunum ole deg. 
LUK.6.18	Ag nusig né dolagri am nug feŕlagwa waŕe kusuqrigri ole uŕiyeg. Danahas koulli nou sarew nou marak ole ge, Yesus kusqaran. 
LUK.6.19	Yesusri gagragsak wanko danah kunum kusqaran, qeri danahas kuŕumnah nug féŕu oŕalagri seg.
LUK.6.20	Yesus nug bégur piarko delle anaran, “Danah ag gei o duak dasi, ag olag gamag asar. Keŕdi Tiwurdi kingdom ge asilag. 
LUK.6.21	Danah ag gei laké dasi, ag olag gamag asar. Keŕdi dimba Tiwur sew ag kutuk ospi meweg. Danah ag gei kunnessi dassi, ag olag gamag asar. Keŕdi dimba ag imlag. 
LUK.6.22	Ag Danah Bega dimlamdeppeg, qeri séksi danah ag kegeŕ maressi uksi uksi aqsi am geŕaressi am wenlag seweg nou mew ge, ag olag gamag asar. 
LUK.6.23	Ag asilag qere seweg pe, ag sén qewa gamlag asakwa olessi des. Keŕdi qe noh asilag saw kappa ge naŕinah. Algu alalgar profet
LUK.6.24	Gam danah kehlag ole ag kug os pelag. Ag keke sew olag kena diakri iŕil oweg olele moran. 
LUK.6.25	Danah gei ke léksi koutursi, ag kug os pelag. Ag dimba laké aqardig. Danah ag gei imsi, ag ole geisah Tiwurdi uhŕibak pelag. Dimba ag olag nou mew kuanak naŕi selag. 
LUK.6.26	Ag danah kunum binlag sumbeg ge, ag kug os pelag. Algu alalgar profet darmak dilag ole qere seréw,” eko anaran.
LUK.6.27	Yesus doulag patelle anaran. “Gam ag né dasil dosi ole ag anarina. Ag kegeŕ asilgar dilag olag mousar. Danah os kowol nouni sarweg ge, ag kowol kena sares. 
LUK.6.28	Ag danah os wittak nou marweg ge, ag Tiwur koŕmorweg wittak kena marar. Am danah nouni sarweg ge, ag asilag unuqores. 
LUK.6.29	Danah os na siwen leis ge korew pe, leis ole buliwe korar. Am danah os lamen nasip ow ge, minwe kasuk nasip qe ole war, aw gagansi owen. 
LUK.6.30	Am danah os na kekeri koŕmirew ge, na mor. Am danah os nasip keke ow ge, na buliko mirdigri wagé meka aw sewen. 
LUK.6.31	Danah la ag kowol kena sarlagri olag nie qe sillah, ag ole qere sares. 
LUK.6.32	Ag danah asilag olag mouse ole qe dilag ih olag mousew pe, oun ge ag danah kena eko anardig? Hipunin danah ag ole danah are asilag olag mouse ole qe dilag ih olag mouse. 
LUK.6.33	Am ag kowol kena danah os asilag sési ole qe dilag ih seweg pe, oun ge ag danah kena eko anardig? Hipunin danah ole ag kowol qere ih sési. 
LUK.6.34	Am ag danah keke marsi qe noh marlagri olele duessi marweg pe, oun ge ag danah kena eko anardig? Hipunin danah ole ag hipunin danah leilgar keke marsi qe ag keke noh olele bulieksi marlagri duessi marsi. 
LUK.6.35	Gam ag kegeŕ asilag dilag olag mousar am ag nouni aw sarweg. Ag keke mareksi am noh olagri aw dahmeweg. Ag qere seppeg ge, ag noh naŕi mardig am ag Tiwur Karannah bégur dalag, keŕdi nug danah nou am danah keke marew kena sam éksi pi ansi qe ole nouni pi sare. 
LUK.6.36	Ag danah dilag olag duar, Memlag Tiwur o duak nie ole qe sillah.”
LUK.6.37	“Ag danahas dilag kowol nou aw kepŕessi am nou arweg. Qere seweg ge, Tiwur ole asilag qere sérig. Ag danahas kowol nou asilag noh olagri aw anweg. Qere seweg ge, Tiwur ole asilag qere sérig. Ag danah os nouni sarweg ge, hipunin asilag kusuqqeg, Tiwur ole asilag hipunin kusuqrig. 
LUK.6.38	Ag danah la qe keke mares am Tiwur geisah ag keke mardig. Geisah Tiwur keke yanew ambeko letewew mardig. Ag keke gane danah marsi qe sillah Tiwur ag ole mardig,” eko anaran. 
LUK.6.39	Anko ge, Yesus né tonak os ole amlagwa anan. “Danah os ameg gaŕu nug ameg gaŕu lia omaldigri olele te? Kawa, geisah a olele tolweksa moŕwa nolas. 
LUK.6.40	Sulnir nug duak nusig duak morak danah nusig pi eŕde. Sulnir are nug duak morak danah nusig dowari duak kunum oko malako ge, duak morak danah nusig qe sillah bérig. 
LUK.6.41	Areg na liap amegwa kinkak nagurnah de qeri aminna? Gam na amenwa ker masa naŕi de ge, pite dahmorna? 
LUK.6.42	Na nagégé amenwa ker masa naŕi de ge pite penna am areg liap anorna, ‘Lal, da na amenwa kinkak nagurnah de ge uŕil seina.’ Na darmak gaŕanwa ih Tiwur dimlamdak danah! Na tatam na nagégé amenwa ker masa naŕi ge oka, amen kena mew aminka koutorka ge, na kinkak nagurnah liap amegwa de qe uŕipri olele.”
LUK.6.43	“Ker kena nug mou kena nie. Qe sillah ker nou nug mou nou nie. 
LUK.6.44	Danah ag ker mou tatam peksi ge, ker qe kena te, ker qe nou te ge ag dosi. Danah ag guŕaw mou darér qoum olewari pi usi. Am ag peipé mou ker nagurnah qoum olewari pi tuqsi. 
LUK.6.45	Danah kena nug dahmak kena kuŕum owa nie. Qeri nug kowol kena se. Qe sillah danah nou nug dahmak nou kuŕum owa nie. Qeri nug kowol nou se. Keŕdi nug dahmak nou owa ambak nie qe, koŕewa bew ane.”
LUK.6.46	“Keŕdi ag dasil ‘Naŕinah, Naŕinah,’ éksi ansi, gam ag da koŕel ospi dimlamursi? 
LUK.6.47	Danah os da gumiŕko doko, am da fal doko dimlamurdig ge, da kowol nusig qe mariwi ag dolag. 
LUK.6.48	Nug danah os lo fuan qe sillah. Tatam ge, nug moŕ pesorko oko, wandor lagko kétum qeko koutorko ge lo fuan. Dimba le kue neko lo qe yepian, gam qiakri olele kawa. Keŕdi nug fuko koutoran. 
LUK.6.49	Am danah nug da fal doko pi dimlamde ge, nug danah os moŕ oko, wandor diguwa kétum pi qak lo fuan qe sillah. Géri dimba lo qe le kue neko yepew ge, qiko neko ole kaduŕko nou meko koutoran,” eko anaran.
LUK.7.1	Sén Yesus nug danahas né qene marko malako ge, nug Kapernaum taunwa atan. 
LUK.7.2	Qewa ge, Romdi fan kuri danah nug kekuak nir os ole daré. Kuak nir qeri o naŕi niré ole qe waŕe meko mousdigri malwak nian. 
LUK.7.3	Fan kuri danah nug Yesus qewa dian né qe doko ge, nug Yuda dilag kuri danah meŕarew ateg. Ateksi ge, Yesus amegwa anweg uŕiko kuak nir nusig qe sew waŕe pasaurdigri anoreg. 
LUK.7.4	Yesus dowa ateksi gagragnah ere aneg, “Danah qe kenanah. Na kéhnurdipri olelenah. 
LUK.7.5	Nug ig Yuda isanig o niew binag mak lo isanig fuan.” 
LUK.7.6	Géri Yesus ag ole ateksi, fan kuri danah qe loug mourak waneppeg ge, nug leigur os meŕarew Yesusri né uksi ateksi ere aneg. “O naŕinah, na aw kekuak naŕi sewen. Na da loul owa neripri olele kawa, keŕdi da danah kenanah kawa. 
LUK.7.7	Qeri da duina ge, da na gumirko wanakri olele kawa. Na qere denna am né ih anwe, dasil kekuak nir waŕe pasaorar. 
LUK.7.8	Keŕdi da ole danah wénih ole kekuak miŕe qe kallowa deina. Am da ole fan danah os da kallolwa dasi. Am da usih os amegwa anina, ‘Na eit,’ eko anwi ge, nug ate. Am da la amegwa anina, ‘Na doka,’ eko anwi ge, nug do. Am da dasil kekuak nir qe amegwa anina, ‘Na kekuak ene se,’ eko anwi ge, nug qe se.” 
LUK.7.9	Sén Yesus né qe doko ge, danah qeri o meŕe mak peko wawtuŕko ole o gamag asan. Asew ge, nug buliko danahas ameg naŕi dimlamdeg qe anaran, “Da ag anarina. Israel olagwa danah usih os o meŕe mak ere ole ospi pégin.” 
LUK.7.10	Qe dimba, fan kuri danah leigur meŕarew ateg ge, bulieksi louw uŕiyeksi, kekuak nir qe iŕil sew pasaoran peg.
LUK.7.11	Nagur dimba Yesus taun os wénih Nain qewa atan. Nug bégur am danahas ameg naŕi qe ole nug dimlamdeg. 
LUK.7.12	Nug atko taun ihŕam naŕi qe mourak wanewew ge, danah mousak os mawessi dog. Danah mousak qe anig nug nag usih qe ih ole am nug as qehŕas. Danahas ameg naŕi taun qewari asessi as qe ole aŕié dog. 
LUK.7.13	Naŕinah nug as qe peko ge, o naŕi dow, nug as qe amegwa anan. “Na aw kuanwen.” 
LUK.7.14	Qere anelle ge, unaka wanko danah mousak nian ole qaŕqaŕ qewa eweg man. Eweg mew ge, danah qaŕqaŕ maweg qe asessi deppeg, Yesus anan. “Nir geiŕ, da anirina, na as,” eko anan. 
LUK.7.15	Anew ge, danah mousak qe buliko asko delle ge, digumeko né marian. Yesus nir qe paŕwew anig dowa wanan. 
LUK.7.16	Géri danahas kunum faŕeksi nou méksi Tiwur binag meg. Ag aneg, “Profet naŕi os onigwa bé. Tiwur danah nusgur kehnardigri uŕié,” éksi aneg. 
LUK.7.17	Danahas Yesusri né qe Yudia wanwa am atu lala talilorak nie qe kunumba mariweg tualan.
LUK.7.18	Yon nug bégur ag keke kunum dueg am peg qe nug amegwa anweg, nug békuŕ aŕit uŕwatan. 
LUK.7.19	Nug Naŕinah ere koŕmorlasri anew ates. “Na enan te Tiwur uŕiripri anan, kawa ig danah la te ameg ménig?” 
LUK.7.20	Sén danah aŕit qe Yesus dowa ateksa ge, amegwa anes. “Le Luarak danah Yon anew i na koŕmirnitti gumdekŕu uŕiah. Nug ere ané, ‘Na enan te Tiwur uŕiripri anan, kawa ig danah la te ameg ménig?’ ” eksa koŕmores. 
LUK.7.21	Sén qewa ih Yesus danahas kuŕum waŕe digu digu ole sew pasaoreg am koulli nou danah feŕlagwari kuŕum geŕaran. Am danah amlag gaŕu ole kuŕum sew amlag kena mew bulieksi amneg. 
LUK.7.22	Am danah aŕit qe amlaswa anan, “Bulieksa ateksa Yon keke piap am duap ole qe amegwa anes. Amlag gaŕu ge bulieksi aminsi, félag mousak ge bulieksi weisi, lepra danah ge feŕlag buliko pasaore, doulag itwak ge bulieksi né dosi, danah mousak ge bulieksi assi, am o duak danah ag Né Kena dossi. 
LUK.7.23	Am danah os o meŕe mak gagrag dewew da pi dimiŕdig ge, Tiwur nug wittak murdig.” 
LUK.7.24	Danah aŕit Yonri né oksa uŕies ole qe mundeksa atwes ge, Yesus digumeko danahas amlagwa Yonri anaran. “Ag awen danah kawawa keŕnah pelagri Yon gumdeksi ateg? Ag ulas qaweŕ os oŕwew ulle qe te pelagri ateg? 
LUK.7.25	Kawa ge, ag keŕ qewa pelagri ateg? Ag danah bala kena ole te pelagri ateg? Kawa, danah bala kena kena mési am danah kehlag ole qe king lougwa dasi. 
LUK.7.26	Gam ag keŕ pelagri ateg? Ag profet te pelagri ateg? Yo, da amlagwa anina. Nug profet la kunum eŕarak. 
LUK.7.27	Danah Yon eneri ih Tiwurdi Né yakwa ane. ‘Da dimba geisah meŕ danah dasil méwi atko na nom oko anuqko nasip ih bawardig.’ 
LUK.7.28	Da ag amlagwa anina. Yon nug danah wanwa dasi qe kunum eŕarak. Gam danah nug Tiwurdi Kingdomwa nagurnah de qe nug Yon eŕdak,” eko anaran. 
LUK.7.29	(Danahas kunum takis wak danah ole Yesusri né dueksi olag usihwa “Tiwur ge mangunah,” éksi dahmeg. Keŕdi ag atweg Yon le luaran. 
LUK.7.30	Gam Farisi am Mosesri Ŕo duak danah ole Tiwur ag ih ismaran qe dimoreg, keŕdi ag Yon le luarak mineg.) 
LUK.7.31	Yesus buliko anaran. “Da keŕ né tonakwanah os danahas geiri ismardil? Kowol asilag ge aregnah? 
LUK.7.32	Ag nir nounu sillah. Kaw gamagwa dessi nir nounu la uŕwaressi dasi sillah. ‘Ig asilag dumdum yaltu ge, ag kasi sak minéw. Am ig ginanig kuktu iŕtu, gam ag kuanak minéw,’ éksi ansi. 
LUK.7.33	Le Luarak danah Yon nug uŕiyan am nug ke wain ole ospi leré. Qeri ag aneg, ‘Koulli nou nug féŕuwa de.’ 
LUK.7.34	Danah Bega uŕiyan, nug ke wain ole lewew, ag ansi, ‘Danah ene pes. Nug ke wain ole naŕinah lelle de. Nug takis wak danah am hipunin danah ole liam patak dasi,’ éksi ansi. 
LUK.7.35	Gam danahas Tiwurdi duak usi ole kowol asilagwa ismigsi ge, duak qe keke meŕenah,” eko anan.
LUK.7.36	Farisi os nug Yesus ole ke lelasri anew ge, Yesus Farisi qe lougwa atko ninaqiŕko dian. 
LUK.7.37	Hipunin as os taun qewa daré. Nug Yesus Farisi qe lougwa ke lelle dian né qe doko ge, nug goŕen muŕdig kenanah ole siné ambak oko uŕiyan. 
LUK.7.38	Sén nug wanko Yesus dimugwa fég mourak kunnelle dewew ge, amŕi gogoŕko noko Yesus fég lourew ge, kuri uŕugwa uŕtian. Uŕtielle ge fég kis morko goŕenwa fég waŕwuran. 
LUK.7.39	Farisi Yesus nug lougwa uŕiyan ole qe, kowol qe peko ge, owa ih anan. “Danah uni nug profetnah wen, nug as uni keŕ as nugnéwa eweg me qe dolo am nug as qe hipunin as qe ole dolo.” 
LUK.7.40	Géri Yesus nug danah qeri dahmak doko ge, amegwa anan, “Saimon, da né os ole na amenwa andildi.” Anew ge, Saimon anan, “Aria, duak marak danah, né nasip ge an.” 
LUK.7.41	Yesus anan, “Danah aŕit os ateksa danah qarég ole qe dowa waneksa qarég os anwes matan. Danah os ge anew 10,000 kina moran am danah os ge anew 100 kina ih moran. 
LUK.7.42	Danah aŕit qe qarég qe buliko morakri olele kawa, géri danah nugnéwa qarég os ole qe nugégé kug asilas qe duew doug katian. Qeri danah aŕit qe olaswa oun nug danah qe o kunum ole murdig?” 
LUK.7.43	Saimon anan, “Arté, danah qarég naŕi wan ole qe.” Yesus amegwa anan, “Né noh nasip qe mangu.” 
LUK.7.44	Am Yesus buliko as qe peko delle ge, Saimon amegwa anan. “Na as ene pena te? Da na lout owa ném, am na da fél isdilri le ospi miŕam. Gam as ene ge nug amŕiwa fél uhŕu oko am kuri uŕugwa uŕtié. 
LUK.7.45	Na da kis ospi miŕam. Gam sén da owa ném am uŕiyew geisah e patak as ene da fél bulibuli kis moré. 
LUK.7.46	Na ig kounigwa da kurilwa oliw goŕen nagur ospi waŕwuram, gam as ene goŕen muŕdig olewa da fél waŕwuré. 
LUK.7.47	Qeri da na amenwa anina. Nug o naŕinah miŕe, qeri da hipunin nusig kuŕumnah kusqém. Gam danah os nug hipunin nagur se eko ane qe kusuqwi ge, nug o nagur ih miŕe.” 
LUK.7.48	Qe dimba Yesus as qe amegwa anan, “Hipunin nasip kusqém.” 
LUK.7.49	Danah nug ole ke lessi deg qe agégé nug koŕmorew wane morew duak séssi aneg, “Danah ene ounnah qeri nug hipunin kusqe?” 
