MAT.1.1	Ewana Yesu Kerisonu sirorari sina. Dana Deiwidinu sisia amara. Dana Eibaramunu sisia amara.
MAT.19.16	Mui amarama Yesubai farite wei, Tisa Amara, ane kobererau umate me ibene ibene ibimane wasu wei? 
MAT.19.17	Weiro Yesuma dawaba wei, ane kobererauba wenauerasu? Godi Danu torowana kobererau. Me ibene ibene ibifae ufasuna Godinu tarawatu sina nesia nauegou ua wei. 
MAT.19.18+MAT.19.19	Weiro i amarama wei, abo sina wei? Weiro Yesuma wei, eme da ma uia, yagera da fa, waira da ua, wawei webasuna meo wawei da wia, anu anua amamaba uegou ua, anu aiyeba anu aika neno arama utasu enanari neno arama ua wei. 
MAT.19.20	Eno weiro i reka amarama Yesuba wei, i wenu nesia utebatane, mui anene umau wei? 
MAT.19.21	Weiro Yesuma dawaba wei, anu ununa Godi ari kobererau sibae ufasuna aniate anu ibaiabai nesia oiya ue mate i oi nesia ibaiabai me uwaraba mate Nanu buribi ara wei. Eno ufasuna ana urero ibaiabai mubasu wei. 
MAT.19.22	Weiro i reka amarama nauite dawabai ibaiabai faiyawereba neno siosa uteda Yesu ekodite ani. 
MAT.19.23	Yesuma Danu iwata ueta uwaraba wei, yaba ba wemaro nauawe. Ibaiabai derawere bobo amarama Godinu ure yawotasu dabaro anedana kimuwere anibisu wei. 
MAT.19.24	Nono yaba watane, mui egi danu ifuna kemo, dawa mara ebaro fare anibisuna ina kimu me. Ibaiabai derawere bobo amaranu aneta dabana kimuwere wei. 
MAT.19.25	Weiro Danu iwata ueta uwarama nautate neno kirifu derawere uteda weita, enoba anama wirofisu weita? 
MAT.19.26	Weitaro Yesuma ema ereda wei, emema eno da ufitaro Godima i nesia ufite Danu aika ema ma wirofisu wei. 
MAT.19.27	Weiro Fitama moko wei, yanu ane ane nesia ekoisite Anu buribi araisia wei. Enoba ane mubeisi wei? 
MAT.19.28	Weiro Yesuma emaba wei, ba wemaro nauawe, i Ba Eme Sini Amarama i reka fafisu orofaro Danu kobere yawoeta yaureta deiro yaufisu. Yaubifiro yana Nanu buribi anaita uwarama mui yawoeta yaureta deiro yaufote i Isaraero uwaranu abua tuero (12) yawofoita wei. 
MAT.19.29	Anama danu suini dataeini dabueini arumamini danuaini damamaini koiniboroini beataini Nanu ifuba ekodifisuna duburo mui faiya faiyawere mubite me ibene ibene me ibeibisu wei. 
MAT.19.30	Nono moana dera uwarana iro kikiratu sibitaita. Moana otowa uwarana iro derawere sibitaita Yesuma wei.
MAT.20.1	I Godinu ure yawotasuna ewa sina ari. Mui su ubi amarama waikunaro uyarite moana uwara danu gureifi waiyaro gaukara ufitae gaukara mafie ani. 
MAT.20.2	Ane farina dawaini i gaukara uwaraini oi sina we matatate ido weita. I uwarama mui kowaro gaukara ufitaro i waiya ubi amarama emaba siriwa oi demurai emaba moko mafie weita. Eno weitaba i waiya ubi amarama ema siaia uiro danu waiyaro anita. 
MAT.20.3	Ane beata utebitaro kowa mane abanaro sinina i waiya ubi amara ido maketi ibi orofaro ane farite erina moana uwara waiya utawa me yaubitaro eri. 
MAT.20.4	Eno erite emaba wei, nanu waiyaro aniawete gaukara uawero yanu moko fei ido mama wei. Weiro i uwara ido anita. 
MAT.20.5	Kowa otoro mane inarite nono kowa osugari ue otoroma ane abanaro sinina nono anite enanari ui. 
MAT.20.6	Yawi sinina nono anite erina moana uwara me inaibitaro erite wei, aneba ewa kowaro me inaibinita wei? 
MAT.20.7	Weiro weita, mui amarama gaukara yaba matawa usinuba me inaibinisi weita. Weitaro wei, yaini nanu waiyaro aniawete gaukara uawe wei. Weiro ido anita. 
MAT.20.8	Kowa me siniro dumu sibie uiba waiya ubi amarama danu oi yawotebi amaraba wei, i gaukara uwara wiaro abai fafitaro i duburo waiyaro anita uwara emanu oi mafate nono i abanaro anita uwaraba mafate nono i botai anita uwaraba emanu oi duburo mafasu wei. 
MAT.20.9	Eno weiro i oi yawotebi amarama weiro i kowa otoro anita uwara ido fata. Fataro emaba siriwa oi demurai amara demui demuiba eno matebi. 
MAT.20.10	Enoma enoma utebina i botai waiya ufitae anita uwarama fatate we imuta, ya oi derawere mubeisi we imutaro emaba siriwa oi demurai amara demui demuiba enanari matebi. 
MAT.20.11+MAT.20.12	Matebiro i botai uwarama waiya ubi amaraba kamena weitate weita, i duburo anita uwarama gaukara kikiratu uita. Ya botai anisi uwara waura warairoma ane yawiro kowa yarateda gaukara derawere uisiro nono emaini yaini moko fei arotorowa masinu weita. 
MAT.20.13+MAT.20.14	Weitaro waiya ubi amarama emanu mui amaraba wei, naiye, aba siosawere utawa une. Botai oi sina we matanisite siriwa oi demurai yaini naini eno ufeisi weisiba anu oi ido muate ania. Nanu unu i dubu anita uwaraini ya botai anita uwara arotorowa maetaba iba eno mane wei. 
MAT.20.15	Ewa oina nanuba anene mamauna mamau. Ina ido aba me? Nanu kobererau uetaba ibo utasu, waiya ubi amarama eno wei. 
MAT.20.16	Idoba i dubu uwarama iro botai sibitaro i botai uwarama iro dubu sibitaita, Yesuma eno wei.
MAT.20.17+MAT.20.18	Yesuini Danu iwata ueta uwaraini Jerusaremu suro anita. Anebitana Yesuma Danu iwata ueta uwara tuero (12) ema mune aika odite emaba wei, Jerusaremu suro anaisi eawe. Iro fafero i Ba Eme Sini Amara i dera fuyo ode sina weta uwaraini tarawatu tisa uwaranu age duro odifitaro Dawa uifie webitate i aika uwaranu age duro odifitaita. 
MAT.20.19	Odifitaro i aika uwarama Dawa iruteda domuma ufitate korosiro odifitaita. Dawa ido uifiro kowa rarogonu me sibiro nono uietaroma uyafisu wei.
MAT.20.20	Jebedinu awetama danu amara sadei mune Yesubai woure fari. Wo farite jegirari uteda danu ununa kobererau mubie iba eno ui. 
MAT.20.21	Eno uiro Yesuma wei, ane ufae wei? Weiro i awetama wei, wiaro Anu yawoeta orofaro anibasuna iro nanu mui amara Anu banibira age afuro yaufiro nanu mui amara Anu ewani age afuro yaufisu wei. 
MAT.20.22	Weiro Yesuma wei, yanu wenauereta ya iwata mero ya me sara waita. Nanu uraneta wakiki ogo ifawaisi aba me wei? Weina aiwia ifutu weisi. 
MAT.20.23	Weisiro Yesuma wei, ba waisi, Nanu imau uraneta wakiki ogo ifawaisi. Nono i yaureta kabesi sadei Nanu meba da wemaro da yaufawaisi. Godima i kabesi ue bou uiba Dana webiro yaufitaita wei. 
MAT.20.24	Weiro i moana iwata ueta uwara teni (10) i sina nautate i amara sadeiba ibo uta. 
MAT.20.25	Ibo utaro Yesuma weiro i iwata ueta uwara nesia Dawabai fata. Fataro Yesuma emaba wei, i aika uwaranu dera yawoeta uwarama emanu gaukara uwaraba kimuwere yawoteda emanu imueta emaba kimuwere odaita. Eno utaitana ina ya iwata utaita wei. 
MAT.20.26	Nono yabai eno da ufoita. Yabairoma anama dera amara sibisuna ya nesia durua ufisu. 
MAT.20.27	Anama botai amara sibisuna dawa yanu sabua ueta amara sibisu wei. 
MAT.20.28	Enanari i Ba Eme Sini Amara emema Dawaba durua da ufitaro emeba durua ufie iba ewaro fari. Dawa uifiro Danu wiroeta onono nasiniro itafiro nono Danu ononoma uwara faiyawere moko mae munono ari ufisu wei.
MAT.20.29	Jeriko suroma anita. Anitaro uwara faiyawere emanu buribi anita. 
MAT.20.30	Anebitana diti basugari amara sadei daba gigirariro yaubeda Yesu fare anebiro nausite derawere weisi, Dera Waria Amara, Deiwidinu sisia amara, waba neno arama ua weisi. 
MAT.20.31	Weisiro i guruguru ubita uwarama ibo uteda eno da wiawa weita. Weitana derawere weisi, Dera Waria Amara, Deiwidinu sisia amara, waba neno arama ua weisi. 
MAT.20.32	Weisiro Yesuma inarite wei, yaba ane umane waisi wei? 
MAT.20.33	Weiro weisi, Dera Waria Amara wanu ununa ditima ba efutu weisi. 
MAT.20.34	Weisiro Yesuma neno arama uteda emanu ditiro burina emanu diti forairo ido wirosite ereda Yesunu buribi anisi.
MAT.21.1+MAT.21.2	Jerusaremu suro fafitae ureda mui su Oriwa Maidani gigiraribai ibi Betifeiji suro are fata. Fataro Yesuma Danu iwata ueta amara sadei siaia uite wei, etei kirisi weto suro aniawa. Ane fafawaisina mui donikini danu otowa natuini doie oitaro inaibinuba efawaisina ema ma uregari uawate woure Nabai arawa. 
MAT.21.3	Eno uteibawaro mui amarama yaba ya ane utaisi webisuna yanu Dera Waria Amarama mubie wenu wiawaro yaba mafi wei. 
MAT.21.4	Godinu we bou ueta amarama i sina bodere weiba iba Yesuma eno wei. 
MAT.21.5	I we bou ueta amarama eno wei,
MAT.21.5	I Saioni Orofa uwaraba wia, emanu Dera yawoeta amara emabai fafisu. Dawa dera amara ari da fafisu. Mui donikinu natu deiro yaufite fafisu wia,
MAT.21.5	I we bou ueta amarama eno wei. 
MAT.21.6	I iwata ueta amara sadei ido anisite Yesunu wei sina enanari usi. 
MAT.21.7	I amara sadei i donikini danu otowa natuini woure fasite emanu wadia otowa donikinu dubena deiro oisiro Yesuma ido deiro yauri. 
MAT.21.8	Uwara faiyawere emanu wadia dabaro sane oitaro moana uwara farai tata ture dabaro sane oita. 
MAT.21.9	Moana uwara ko botai anitaro Yesu abanaro aniro nono moana uwarama emanu buribi anebita. Eno utate i botai anebita uwaraini i dubu arebita uwara nesia derawere webita, Godima we mune odiro Deiwidibairoma sirorari ui amara Dawa kobererau. Dana Godinu ifuro ido farinu webita. Godima Dawa ma kobererau ufisu. Ure uwarama Danu ifu we ma derawere utaita. Enoma enoma derawere webita. 
MAT.21.10	Webitaro Yesuma Jerusaremu suro ido fari. Fariro i Jerusaremu uwarama neno wanai uteda weita, ewa amarana ana weita? 
MAT.21.11	Weitaro i dabaro anebita uwarama weita, ewa amarana Godinu we bou ueta amara. Dawana Gareri orofa Nasareta su amara weita.
MAT.21.12	Yesuma i dera dubu su ubarero amui. Amuite oiya ue maeta uwaraini oiya ueta uwaraini yoweriro wawaro anita. Yesuma i oi moko mae matata uwaranu kaiyoini fuyo oita ubani karaini oiya ue mata uwaranu yauretaini mu saniro dowata. 
MAT.21.13	Yesuma eno uite wei, Godinu bukaroma eno wasu, Nanu suna emenu guriguri ueta su. Nono yana Nanu suna waira ueta uwaranu su ari uita wasu wei. 
MAT.21.14	I diti basugari uwaraini i buri bebeu uwaraini ema dera dubu suro Yesubai fataro ema ma wiroi. 
MAT.21.15+MAT.21.16	I dera fuyo ode sina weta uwaraini tarawatu tisa uwaraini Yesunu buna ueta etana i koiniboroma i dera dubu suro weroroka weda Godima we muni odiro Deiwidibairoma sirorari ui Amara Dawa kobererau weitaro nautate ibo utate Yesuba weita, i koiniboronu sina nautasu aba me weita? Weitana aiwia, nautatane wei. Weite wei, ewa sina yawita aba me? I sinana edono, i otowa koiniboroini ama itaita koiniboroini emanu Dera Amaranu ifu we ma derawere ue we ma kobererau utaita. Na iwata, i sina ya yawita wei. 
MAT.21.17	Weite Yesu ema ekodite Jerusaremu suroma Beteni suro ane aini.
MAT.21.18	Wai uriro uyarite Jerusaremu suro owere anebe osi uri. 
MAT.21.19	Osi uriba ane erina mui boruba ana daba gigirariro inaibiro eri. Erite mune ifie ane farina boruba tai uwanawa me tata torowa ibitaro erite i boruba anaba wei, duburo mui tai da uwafasu wei. Weina boruba ana ido tata reora uite sibu uri. 
MAT.21.20	Eno uiro Danu iwata ueta uwarama etate neno kirifu utate weita, i boruba ana anene sau sibu urinu weita? 
MAT.21.21	Weitaro Yesuma emaba wei, yaba ba wemaro nauawe. Yana nauegou ufote imueta sadei sadei da ufoitana Nana i boruba taiba une i enanari ufote nono mui buna ueta ufoita. Etei maidaniba uyate enea ubarero ita weboitana yanu weboita enanari ufisu. 
MAT.21.22	Nauegou ufote imuegou uteda guriguri ufote aneba Godibai wenaueforo Godima yaba mafisu wei.
MAT.21.23	Yesuma dera dubu su ubarero amuite we mawetu ui. We mawetu uina i dera fuyo ode sina weta uwaraini Ju uwaranu baeta uwaraini Yesubai fatate weita, ananu bunaro A eno utasu? Anama buna Aba mairo eno utasu weita? 
MAT.21.24	Weitaro Yesuma emaba wei, yaba Nanu wenauereta botai wemaro yana moko sina weboitana nono anama Naba buna masinuro eno utatane wemau wei. 
MAT.21.25	Joninu babataito ueta, ina ureroma fari aba emebairoma fari wei? Weina sina we mataneda emanu aika weita ane webeisi? Ureroma fari webeisina Joni aneba nautawa uta webisu. 
MAT.21.26	Nono emebairoma fari webeisina i uwara nesia Joni Godinu we bou ueta amara imutaitaba emema yaba ane ufitaita weita? 
MAT.21.27	Emanu aika eno weitate nono Yesuba weita, ya iwata me weita. Weitaro Yesuma wei, moko sina wiawa utaitaba idoba Nanu buna utatane sina yaba da wemau wei.
MAT.21.28	Ewa sina imue eawe Yesuma wei. Mui amaranu amara sadei dawabai ibisi. Damamama danu botai amarabai anite wei, nanu gureifi tai waiyaro aniate gaukara ua wei. 
MAT.21.29	Weiro botai amarama nauite da animau wei. Eno weite duburo danu imueta ma owereda waiyaro anite gaukara ui. 
MAT.21.30	Damamama nono dubu amarabai anite enanari wei. Weiro dubu amarama wei, na animau weirogo nono anawa ui. 
MAT.21.31	Abo amarama danu damamanu sina naui wei? Weina botai amarama weita. Weitaro Yesuma wei, yaba ba wemaro nauawe. I takesi muneta uwaraini emeba uyare fareta awetaini ema ko Godinu ure yawoeta orofaro anibitaro yana aniboita aba me Yesuma wei. 
MAT.21.32	Eno weite nono wei, Jonima farite Godinu kobere sina webina yana dawa nautawa utaro i takesi muneta uwaraini emeba uyare fareta awetaboini emana danu sina nauta. I uwarama eno utaro yana etate yanu ba me ueta dubena afu sanawaba danu sina nautawa uta Yesuma eno wei.
MAT.21.33	Mui kasei sina nauawe Yesuma wei. Mui amarama danu gureifi yo waiyaro waite dowa urite gureifi amune adidiarebita koru ubu uite danu waiya dobo uite danu waiya moana uwarama yawofitae maite mui orofaro ani. 
MAT.21.34	Duburo ayo ureta kowa ido fariro danu gaukara uwara i waiya yawoeta uwarabai gureifi moana mubitae ido siaia ui. 
MAT.21.35	Dawa mui amara siaia uiro ane fariro i amara isuma urebita. Nono dawa mui amara nono siaia uiro ane fariro i ani amara dawa ma uita. Dawa mui amara siaia uiro ane fariro gebiroma uta. 
MAT.21.36	Nono dawa moana gaukara uwara faiyawere siaia utebiro ane farebitaro emaba enanari enoma enoma utebita. 
MAT.21.37	Duburo waiya ubi amarama wei, awonana nanu amara ubi siaia umaro dawaba kakara ufitaita wei. Weite danu amara ubi siaia uiro ani. 
MAT.21.38	Ane fariro i uwarama dawa etate emanu aika weita, etei amarana danu amara ubiba dawa ma uifete danu waiya yana mubeisi weita. 
MAT.21.39	Eno weitate i amara muneda waiya dowa dubenaro satate dawa ma uita Yesuma eno wei. 
MAT.21.40	Eno utaba i waiya ubi amarama fafite i waiya yawoeta uwaraba ane ufisu wei? 
MAT.21.41	Weiro weita, dawa i siosawere uwaraba kimuwere ufiro uifitaita. Eno ufite danu waiya ma dare moana yawoeta uwaraba mafiro ayo ureta kowa fafiro dawaba na didi tai mafitaita weita. 
MAT.21.42	Weitaro Yesuma emaba wei, ewa wemau sina Godinu bukaro yawita. I sinana edono, i su ubu ueta uwaranu mu sata gebirona i botai tutubu ari sini. Ewa yanu Godinu uetaba kamama eraisi. I sinana eno, Yesuma wei. 
MAT.21.43	Idoba yaba watane, Godinu yawotasu orofa yabairoma ma darefite aika uwaraba mafiro i uwarama Godinu gaukara uegou ufitaita. 
MAT.21.44	Anama ewa gebiro deiro buridu ufite gebiro deiro ureifisuna danu torowa tai ure furufafisu wei. Weite wei, nono i gebiroma ananu deiro ureifisuna i gebiroma i amara ure ma musimusi ufiro daido i amara sakai ari sibisu Yesuma wei. 
MAT.21.45	I dera yawoeta uwaraini Ferosi uwaraini i kasei sina nauteda Dawa yaba wasu we imuta. 
MAT.21.46	Eno we imutate Yesu budari ufitae weita. Weitaro i guruguru ubita uwarama Yesu Godinu we bou ueta amara imutaba dera fuyo ode sina weta uwaraini Ferosi uwaraini iyatate ekoita.
MAT.22.1	Yesuma emaba nono mui kasei sinaroma wei. 
MAT.22.2	Dawa wei, Godinu ure yawotasu ewa wemau sina ari. Mui dera kini amarama danu amaranu aweta muneta ogaro ufie ui. 
MAT.22.3	Enoba danu gaukara uwara siaia uiro waya anita. Waya anitaro ogaro ietaba uwara farawa uta. 
MAT.22.4	Ogaro ubi amarama nono moana gaukara uwara siaia ufie uteda wei, aniawete i ogaro ifitae wene uwaraba eno wiawe, nanu ogaro nesia ue bou une. I borumakauini keweawere borumakau nanatuini eno unero ietata nesia ue me sineba i aweta muneta ogaro are iawe wiawe wei. Weiro danu gaukara uwara ido anita. Ane fatate danu wei sina enanari weita. 
MAT.22.5	Weitaro i uwara i sina nautate moana uwarama ema iruteda emanu waiyaro sitowaro aboro aboro wo bagaru ue anita. 
MAT.22.6	Moana uwarama i kini amara danu gaukara uwara mune emaba siosawere uteda utaro uita. 
MAT.22.7	Eno utaba i dera kini amarama ibo derawere ui. Ibo derawere uite danu meremere uwara siaia uiro anita. I danu gaukara ueta uwara ma uita uwarabai ane fatate moko ema ma uitate emanu su su inama yata. 
MAT.22.8	I dera kini amarama danu gaukara uwaraba wei, nanu ogaro me sininuba i botai wene uwarana siosawereba da ifitaita. 
MAT.22.9	Idoba i dera daba daba aboro aboro aniawete abo uwara atawete wiawero afita wei. 
MAT.22.10	Weiro i gaukara uwarama anitate kobere uwaraini siosa uwaraini atatate woure fataro i aweta muneta ogaro su wate fari. 
MAT.22.11+MAT.22.12	I dera kini amara i ogaro itebita uwara efie fari. Farina mui amarana i aweta muneta wadia yurawa uiro erite wei, naiye, a aweta muneta wadia bobo mede nono anene ewa suro amusinu wei? Weiro sina wiawa wate mu ui. 
MAT.22.13	Wate mu uiro kini amarama mui ogaro yawoeta amaraba wei, danu buri age uwane tariate dawa i wawa dumuwere kabesiro saro itafi. I kabesiro uwarama nio bijari uteda i webitaita. 
MAT.22.14	Godima wasu, eme faiyawere arawe wasuroma nono duburona demui demui torowa we mubisu wei.
MAT.22.15	I Ferosi uwarama Yesu ekoitate wawaro anita. Ane emanu unu Yesu irufitaro Yesu ane moko sina webiro budari ufitae iba emanu aika sina sina we matata. 
MAT.22.16	I uwarama eno we matatate emanu iwata ueta uwaraini Erodinu uwaraini siaia utaro Yesubai Danu sina irue naufitae anita. Ane fatate weita, tisa Ana ba amara. Mui amara derawerero nono mui amara kikiratu eno imutawa utasute Godinu sinaini Danu imueta we mawetu uegou utasu. 
MAT.22.17	Eno utasuba Romani gaemani uwarabai takesi mafeisina ina ido aba me? Wiaro naufe weita. 
MAT.22.18	Weitaro Yesuma emanu siosa imueta iwata uite wei, ya meoma weta uwara! Aneba Na iruteda wenaueraita? 
MAT.22.19	I takesi oi maiwero ema wei. Weiro Dawaba siriwa oi mataro muni. 
MAT.22.20	Mune ereda wei, ananu kofirini owawaini ewado ibinu wei? 
MAT.22.21	Weina Sisanu weita. Eno weitaba Yesuma emaba wei, idoro i dera gaemani yawoeta amara Sisanu ane ane dawaba mawete Godinu ane ane Godiba mawe wei. 
MAT.22.22	Weiro i uwarama nautate neno kirifu utate Yesu ekoitate anita.
MAT.22.23	I kowaro moana Sadusi uwara ido fata. I uwarama eme uietaroma da uyafitaita eno imutebita. 
MAT.22.24	I uwarama Yesubai fatate weita, tisa, Mosesinu tarawatu eno wasu, mui amarama aweta mubite aruma amara munawa me ibebe uifiro danu dabuema danu aweta wabu mubite i uieta amaraba aruma amara yanae mubisu wasu weita. 
MAT.22.25	Yanu sina webero naua. Adarabu nesia seweni (7) ibita. I botai amarama aweta munite aruma amara yanae munawa me ibebe ui. 
MAT.22.26	Danu dabuema danu aweta wabu munite enanari me ibebe ui. Enoma enoma i amara seweni (7) enanari utate aruma amara yanae munawa me ibebe uita. 
MAT.22.27	Uie me sitaro duburo i aweta wabu ido ui. 
MAT.22.28	Idoba i uie uyareta kowaro ana amarama i aweta mubisu? Ewa orofaro i uwara nesia i aweta mutaba ana amarama i aweta iro mubisu weita? 
MAT.22.29	Eno Weitaro Yesuma emaba wei, Godinu bukaro sinaini Godinu buna ya iwata meba iba iwawa utaita wei. 
MAT.22.30	I uietaroma uyafitaita kowaro aweta awera da mubitaita. Iro i uwarana Godinu aneru ari iba aweta awera da mubitaita wei. 
MAT.22.31+MAT.22.32	Weite wei, Mosesinu uietaroma ma uyareta sina imue eawe. Mosesima Godinu wei sina eno owawa ue odi, Nana Eibaramunu Godi, Aisikinu Godi, Jeikofunu Godi Mosesima eno owawa ue odiro yana yawita. Godi Dawa i uieta uwaranu Godi me. Dawana i wiroeta uwaranu Godi Yesuma wei. 
MAT.22.33	Weiro i guruguru ubita uwarama nautate Danu we mawetu uetaba neno kirifu uta.
MAT.22.34	Yesuma i Sadusi uwaranu sina weta daba garari uiro Ferosi uwarama nautate nesia ma aitate Yesubai fata. 
MAT.22.35+MAT.22.36	Fataro mui amarama Yesu ue efie uteda wei, tisa abo tarawatuna i botai tarawatu wei? 
MAT.22.37	Weiro Yesuma dawaba wei, anu unu uetaini imueta nesia Godibai odegou uate utebea wei. 
MAT.22.38	Ina i dera botai tarawatu. 
MAT.22.39	Nono muini eno, anu torowaba anu aika neno arama utasu enanari anu aiyemutuba neno arama uegou ua wei. 
MAT.22.40	Mosesini i we bou ueta uwaranu sina nesia i tarawatu sadeibairoma fariro weita Yesuma wei.
MAT.22.41+MAT.22.42	I Ferosi uwara guruguru utaro Yesuma emaba wenauereda eno wei, Godinu Kerisoba ane waita? Dawa ananu amara wei? Weiro Dawaba weita, Dawa Deiwidinu sisia amara weita. 
MAT.22.43	Weitaro Yesuma emaba wei, Godinu Imumu Kotofuma Deiwidiba bunawere imueta maiba aneba Deiwidima Keriso nanu Dera Waria Amara wei? 
MAT.22.44	Dawa eno wei,
MAT.22.44	Godima nanu Dera Waria Amaraba wei, Nanu banibira age afu yauaro Anu wasai uwaraba buna umate Anu buri eminaro odimau,
MAT.22.44	Dawa eno wei. 
MAT.22.45	Deiwidima i sina bodere aneba eno wei? Deiwidima Kerisoba nanu Dera Waria Amara weina Yesude anene danu sisia amara sini wei? 
MAT.22.46	Weiro nautate moko sina wiawa utate i kowaroma mui wenauereta wiawa uta.
MAT.23.1+MAT.23.2	Yesuma i guruguru ubita uwaraini Danu iwata ueta uwaraba wei, i tarawatu tisa uwaraini Ferosi uwaraini Mosesinu tarawatu iwata uteda i Ju uwaranu dubu suro we mawetu utaita wei. 
MAT.23.3	Enoba emanu we mawetu ueta sina nauawete enanari uawete nono emanu ueta sineta enanari da uawe wei. I uwarama sina derawere we mawetu utaitate nono enanari utawa utaita. 
MAT.23.4	I uwarama emenu tarawatu ego ari urumuwere emenu eriro aberaitate emanu age rorou demurairatuma i ego mamawa utaita. 
MAT.23.5	Ane ane uteda emema efitae iba eno utaita. Godinu sina obari ue ageini befororo uwane taritebaitaro ibaita. Kikiratu obarina me, deranono obari ue uwanaita. Nono emanu wadia yafawere barue sanaitaro fa tanasu. Emema ina nesia efitae iba eno barue inaraita. 
MAT.23.6	Ogaro anaitate eme efitae i dera uwaranu yaureta kabesiro yauraita. Ju uwaranu dubu suro amutaitate eme efitae i botai yauraita kabesiro yauraita. 
MAT.23.7	Emanu ununa i maketi kabesiro inaraita uwaranu ario sina naueta. Emanu ununa emema ema dera tisa webitaro naufitae iba eno utaita Yesuma wei. 
MAT.23.8	Ya nesia yatae yabue ya nesia su demurai uwaraba yabai mui amaraba tisa amara da wiawe. Yabai tisa Amara demurai ibinua wei. 
MAT.23.9	Yana ewa orofaro mui amaraba Baba da wiawe. Yanu Baba demurai urero ibinua 
MAT.23.10	Nono mui amaraba dera amara da wiawe. Yabai Dera Amara demurai ibinua Dana Keriso. 
MAT.23.11	Anama yabai derawere sibisuna dawa yanu gaukara amara sibisu. 
MAT.23.12	Anama danu torowa ma derawere ufisuna Godima dawa ma kikiratu ufisu. Anama danu torowa ma otowaratu ufisuna Godima dawa ma derawere ufisu wei.
MAT.23.13	Yesuma we kakara sina eno wei, ya tarawatu tisa uwaraini Ferosi uwaraini ya meoma weta uwara eregou uforo! Godinu ure yawoeta orofa daba garari utaitaba emema anawa utaita. Yana iro anawa utaitaro nono emema emanu unu i ure orofaro anibitae utaitana emanu anaita daba garari utaita. 
MAT.23.14	Ya tarawatu tisa uwaraini Ferosi uwaraini ya meoma weta uwara eregou uforo! Yana wabu awetaboba meoma uteda emanu ibaiabai nesia suini waira utaitate nono guriguri yafawere irue utaita. Enoba Godima ya fanisi derawere mafisu wei. 
MAT.23.15	Ya tarawatu tisa uwaraini Ferosi uwaraini ya meoma weta uwara eregou uforo! Mui amara yanu iwata ueta amara sibie enea ubarero, duero, aboro aboro dobere anaita. Nono mui amarama yanu iwata ueta amara sibisuna yana yanu siosa ueta dawaba maforo siosa derararabo sibiro yaini dawaini uitawa inaro aniboro Godima yaba fanisi mateda dawaba fanisi derawere mafisu wei. 
MAT.23.16	Ya we mawetu ueta uwara diti basugari ueta uwara ariba eregou uforo! Ya eno waita, anama i dera dubu sunu ifuro buna we bou ufisuna ina ba me. Nono anama i dera dubu su ubarero gorunu ifuro buna we bou ufisuna dawa enanari ufisu waita wei. 
MAT.23.17	Ya diti basugari gogore uwara! Ane derawere, i goro aba i dera dubu su? I suma goro ma kakara uiba i suna derawere wei. 
MAT.23.18	Yana eno waita, anama sina weda fuyo oeta kabesinu ifuro we bou ufisuna i kabesi buna meba enanari da ufisu waita. Nono anama i sina weda i fuyonu ifuro we bou ufisuna i fuyona bunawereba enanari ufisu waita. 
MAT.23.19	Ya diti basugari erawa utaita uwara! Anema derawere? I fuyo oeta aba fuyo oeta kabesi? I fuyo oeta kabesima fuyo oeta ma kakara utasuba i kabesina derawere. 
MAT.23.20	Anama sina weda fuyo oeta kabesinu ifuro buna sina wasuna i fuyo oeta kabesini fuyo nesia emanu ifuro buna sina wasu. 
MAT.23.21	Anama sina weda dera dubu sunu ifuro buna sina wasuna dera dubu suini i dera dubu suro ibinu Godinu ifuro buna sina wasu. 
MAT.23.22	Anama sina weda urenu ifuro buna sina wasuna Godinu yaure yawoeta orofaini iro yaubinu Godinu ifuro buna sina wasu wei. 
MAT.23.23	Ya tarawatu tisa uwaraini Ferosi uwaraini ya meoma weta uwara eregou uforo! Yana waiyaro ibaiabaini moana kikiratu ibaiabai nesia taisi odegou utaitate nono i tarawatu buna ememetu, uwaraba kobererau uetaini neno arama uetaini Godi naue imuetaini ina utawa utaita. I taisi oetaini ina nesia da imutawa ufote nono i tarawatu ueta nesia uegou uforo wei! 
MAT.23.24	Ya diti basugari we mawetu ueta uwara! Yana ieta naberoro mimini yonitawa uteda mu sanaitarogo nono dera kemo, dana boro derawere ari nesia ido yonitaita i ari yana i kikiratu tarawatu uegou utaitate nono i derawere tarawatu me sara utaita wei. 
MAT.23.25	Ya tarawatu yawoteda ueta uwaraini Ferosi uwara, yaba watane, eregou uforo! Yana eno utaita, kafusini nabero etu deiro torowa urotaitate nono ubarerona igabuga derawere ibebasu. Enanari yanu ofe deirona urotaitaro nono yanu neno ubarena igabugawere. Iro waira uetaini eme uretaini eno imueta faiyawere imutaita. 
MAT.23.26	Ya Ferosi waita uwara. Yana diti basugari bobo uwara ari. I kafusi ubare botai urofoitana danu wawaro roatarau sibisu. 
MAT.23.27	Ya tarawatu tisa uwaraini Ferosi uwaraini, ya meoma weta uwara eregou uforo! Yana eme uri oeta kabesi ari. Deiro ariowere ina kobererau. Nono ubarero uieta uwaranu taini igabuga ememetu faiyawere ibinu. Yana i ari. 
MAT.23.28	Emema yanu ofe ubuini ibo nawata eraitate dawa kobererau we imutaitaro nono yanu imuetana meorarabo Yesuma wei.
