GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
1SA.9.21	 Na Saulo buaa sɛ: Ɛnyɛ Benyaminni ne me na memfiri Israel mmusuakuo mu ketewa no mu, na ɛnyɛ m’abusua ne Benyamin abusuakuo mu mmusua nyinaa mu ketewa anaa? Na adɛn nti na woka saa asɛm yi kyerɛ me?
1SA.9.22	Na Samuel faa Saulo ne ne somfoɔ no, na ɔde wɔn kɔɔ adidiiɛ, na ɔmaa wɔn atenaeɛ wɔ wɔn a wɔahyia wɔn no ti: Wɔbɛyɛ nnipa aduasa. 
1SA.9.23	Na Samuel ka kyerɛɛ osoodoni no sɛ: Fa nankum a mesee wo sɛ fa sie no bra. 
1SA.9.24	Na soodoni no kɔfaa ɔsrɛ ne deɛ ɛwɔ ho no de bɛsii Saulo anim; na Samuel kaa sɛ: Hwɛ, deɛ wɔagya nie; fa si w’anim di, ɛfiri sɛ wɔde asie ama wo berɛ a wo ne ɔman no bɛdidie.
1SA.9.24	Na Saulo ne Samuel didii da no. 
1SA.9.25	Na wɔfiri sorɔnsorɔnbea hɔ siane baa kuro no mu, na ɔne Saulo kasaa ɛdan atifi. 
1SA.9.26	Na wɔsɔree nhema; na adeɛ rekye no, Samuel frɛɛ Saulo ɛdan atifi sɛ: Sɔre na mennya wo kwan. Na Saulo sɔree, na wɔn baanu no, ɔno ne Samuel, firii adi.
1SA.9.27	Wɔsiane kɔduruu kurotia no, Samuel ka kyerɛɛ Saulo sɛ: Ka kyerɛ aberanteɛ no na ɔmmɛsene nni yɛn anim nkɔ, na ɔsene kɔ a; wo deɛ, gyina ha na menka wo nhyehyɛɛ a Onyankopɔn wɔ ma wo.
1SA.10.1	Ɛnna Samuel faa ngo toa hwie guu n’atifi, na ɔfee n’ano kaa sɛ: Ɛnyɛ sra na AWURADE asra wo asi n’agyapadeɛ so hene ne ɔman Israel so anaa? Na wobɛdi AWURADE nkurɔfoɔ so hene, na woagye wɔn afiri wɔn atamfoɔ a wɔatwa wɔn ho ahyia no nsam. Na yei bɛyɛ nsɛnkyerɛnneɛ ama wo sɛ AWURADE asi wo hene wɔ n’agyapadeɛ so. 
1SA.10.2	 Wofiri me nkyɛn nnɛ rekorɔ yi, wobɛto mmarima baanu wɔ Selsa, Rahel da so, Benyamin hyeɛ so, na wɔbɛka akyerɛ wo sɛ: Mfunumu a wokɔhwehwɛɛ wɔn no, wɔahu wɔn, na hwɛ, w’agya agyae mfunumu no ho dwene, na mo so na ne dadwen abɛsie sɛ: Menyɛ dɛn me ba yi ho? 
1SA.10.3	Na wofiri hɔ kɔ w’anim, na woduru Tabor dupɔn no ho a, mmarima baasa a wɔrekɔ Nyankopɔn nkyɛn Betel bɛhyia wo hɔ, ɔbaako so mmirekyie mmiɛnsa, na ɔbaako so paanoo mua mmiɛnsa, na ɔbaako so bobesa ahina ma. 
1SA.10.4	Na wɔbɛkyea wo, na wɔama wo paanoo mmienu na woagye wɔ wɔn nsam. 
1SA.10.5	Ɛno akyiri no, wobɛduru Gibea-elohim,
1SA.10.6	 Na AWURADE honhom bɛsi wo so, na wo ne wɔn ahyɛ nkɔm, na woadane ayɛ onipa foforɔ. 
1SA.10.7	Na sɛ nsɛnkyerɛnneɛ yi ba mu ma wo a, yɛ deɛ wo nsa bɛso soɔ fa, na Onyankopɔn di w’akyi. 
1SA.10.8	 Na di m’anim siane kɔ Gilgal, na hwɛ, me nso meresiane maba wo nkyɛn mabɛbɔ ɔhyeɛ afɔdeɛ ne asomdwoeɛ afɔdeɛ. Tena hɔ twɛn nnanson kɔsi sɛ mɛba wo nkyɛn mabɛkyerɛ wo deɛ yɛ.
1SA.10.9	Na ɔdanee ne ho sɛ ɔrefiri Samuel nkyɛn akorɔ no, Onyankopɔn maa no akoma foforɔ; na nsɛnkyerɛnneɛ yi nyinaa baa mu da no ara. 
1SA.10.10	 Na wɔduruu kokoɔ no so hɔ no, hwɛ, adiyifoɔ asafo bɛhyiaa no, na Nyankopɔn honhom bɛsii ne so, na ɔhyɛɛ nkɔm wɔ wɔn mu. 
1SA.10.11	Na wɔn a wɔni no kane no nyinaa hunuu no sɛ ɔrehyɛ nkɔm adiyifoɔ mu no, nkurɔfoɔ no sesee wɔn ho wɔn ho sɛ: Ɛdeɛn ne deɛ ayɛ Kis ba no yi? Saulo nso fra adiyifoɔ no mu anaa? 
1SA.10.12	Na obi a ɔfiri hɔnom buaa sɛ: Na wɔn kannifoɔ ne hwan? Enti ɛdanee abebusɛm sɛ: Saulo nso fra adiyifoɔ no mu anaa? 
1SA.10.13	Na ɔwiee nkɔmhyɛ no, ɔbaa sorɔnsorɔnbea hɔ.
1SA.10.14	Na Saulo agya nua bisaa no ne somfoɔ no sɛ: Ɛhe na mokɔeɛ? Na ɔse: Yɛkɔhwehwɛɛ mfunumu no na yɛhunuu sɛ wɔnni hɔ no, yɛkɔɔ Samuel nkyɛn. 
1SA.10.15	Na Saulo agya nua no kaa sɛ: Ka me deɛ Samuel ka kyerɛɛ mo no! 
1SA.10.16	Na Saulo ka kyerɛɛ n’agya nua no sɛ: Ɔkaa no pefee kyerɛɛ yɛn sɛ wɔahunu mfunumu no. Na ahennie no ho asɛm a Samuel kaeɛ no deɛ, wanka ankyerɛ no.
1SA.10.17	Na Samuel hyiaa ɔman no baa AWURADE nkyɛn Mispa. 
1SA.10.18	Na ɔka kyerɛɛ Israelfoɔ no sɛ: Sɛdeɛ AWURADE Israel Nyankopɔn seɛ nie: Me na meyii Israel firi Misraim baeɛ, na megyee mo Misraim nsam ne ahennie a ɛhyɛɛ mo soɔ nyinaa nsam. 
1SA.10.19	 Na mo deɛ, ɛnnɛ moapo mo Nyankopɔn a ɔne deɛ ɔgyee mo mo amaneɛ ne mo ahohia nyinaa mu no, na mose no sɛ: Dabi, na si yɛn so hene. Na afei mommɛgyina AWURADE anim sɛdeɛ mo mmusuakuo ne mo mpempem dodoɔ teɛ.
1SA.10.21	Na ɔmaa Benyamin abusuakuo no pinkyɛe, sɛdeɛ ne mmusua no teɛ; na wɔtwee ntonto maa ɛbɔɔ Matri abusua, na ɛbɔɔ Kis ba Saulo. Nanso wɔhwehwɛɛ no no, wɔanhu no. 
1SA.10.22	Na wɔkɔbisaa AWURADE bio sɛ: Onipa no bɛnya aba anaa? Na AWURADE se: Hwɛ, wakɔhunta nnoɔma no mu. 
1SA.10.23	Na wɔtutuu mmirika kɔfaa no firii hɔ. Na ɔbɛgyinaa ɔman no mu no, na ɔware sene ɔman no nyinaa firi ne mmatiri so kɔ soro. 
1SA.10.24	 Na Samuel ka kyerɛɛ ɔman no nyinaa sɛ: Monhwɛ deɛ AWURADE ayi no, na obiara nte sɛ ɔno, ɔman yi nyinaa mu. Na ɔman no nyinaa bɔɔ ose sɛ: Ɔhene tiri nkwa!
1SA.10.26	Na Saulo nso kɔɔ ne fie Gibea, na ɛdɔm no mu akokoɔdurufoɔ binom a Onyankopɔn aka wɔn akoma no ne no kɔe. 
1SA.10.27	 Na nnipa hunu bi kaa sɛ: Oyi bɛyɛ dɛn na wagye yɛn? Na wɔbuu no animtia, na wɔamfa ayɛyɛdeɛ ammrɛ no. Na ɔyɛɛ sɛ deɛ ɔnteɛ.
1SA.11.2	 Na Amonni Nahas no ka kyerɛɛ wɔn sɛ: Ansa na me ne mo bɛpam no, gye sɛ metutu mo ani nifa nyinaa na mede mayɛ ahohora mato Israel nyinaa so. 
1SA.11.3	Na Yabes mpanimfoɔ no ka kyerɛɛ no sɛ: Ma yɛn nnanson, na yɛnsomasoma abɔfoɔ nkɔ Israel ahyeɛ nyinaa so, na sɛ obi nni hɔ a ɔbɛgye yɛn a, yɛafiri adi aba wo nkyɛn.
1SA.11.4	Ɛnna abɔfoɔ no baa Gibea, faako a Saulo firi bɛkaa asɛm no ɔman no aso mu; na ɔman no nyinaa memaa wɔn nne so sui.
1SA.11.5	Na hwɛ, na Saulo di anantwie akyi firi afuo mu reba; na Saulo kaa sɛ: Ɛdeɛn na ayɛ ɔman yi na wɔresu yi? Na wɔkaa Yabesfoɔ nsɛm no kyerɛɛ no. 
1SA.11.6	 Na Saulo tee nsɛm yi no, AWURADE honhom sii ne so, na ne bo fuu kɛse. 
1SA.11.7	 Na ɔfaa anantwie mpamho twitwaa wɔn asinasini de hyehyɛɛ abɔfoɔ no nsa soma maa wɔkɔɔ Israel asase nyinaa so kɔkaa sɛ: Obiara a wamfiri adi ammɛdi Saulo ne Samuel akyire no, sɛ wɔbɛyɛ n’anantwie nie. Ɛnna AWURADE ho hu tɔɔ ɔman no soɔ, na wɔfiri baa sɛ onipa baako. 
1SA.11.8	Na ɔkan wɔn Besek, na Israelfoɔ no ano si mpem ahasa, na Yuda mmarima si mpem aduasa. 
1SA.11.9	Na wɔka kyerɛɛ abɔfoɔ a wɔbaeɛ no sɛ: Sei na monkɔka nkyerɛ Yabes-gileadfoɔ no nie: Ɔkyena a owia mu reyɛ den no, mobɛnya ɔgyeɛ. Na abɔfoɔ no ba bɛka kyerɛɛ Yabesfoɔ no, wɔn ani gyee. 
1SA.11.10	Na Yabesfoɔ no kaa sɛ: Ɔkyena yɛbɛfiri adi aba mo nkyɛn, na moayɛ yɛn sɛdeɛ ɛyɛ mo ani soɔ nyinaa. 
1SA.11.11	Na adeɛ kyeeɛ no, Saulo buu ɔman no mu asafokuo mmiɛnsa na wɔkɔɔ nsraban no mu anɔpa dasuo mu, na wɔkunkumm Amon kɔduruu awia ketee. Na wɔn a ɛkaeɛ no bɔ petee a anka wɔn mu baanu mpo wɔ faako.
1SA.11.13	 Na Saulo kaa sɛ: Wɔnnkum obiara nnɛ da yi, ɛfiri sɛ ɛnnɛ AWURADE ayɛ nkwagyedeɛ Israel mu. 
1SA.11.14	 Na Samuel ka kyerɛɛ ɔman no sɛ: Mommra mma yɛnkɔ Gilgal, na yɛnkɔyɛ ahennie no foforɔ wɔ hɔ. 
1SA.11.15	Na ɔman no nyinaa kɔɔ Gilgal, na wɔkɔsii Saulo hene AWURADE anim wɔ Gilgal; na wɔbobɔɔ asomdwoeɛ afɔdeɛ AWURADE anim wɔ hɔ. Na Saulo ne Israel mmarima nyinaa ani gyee hɔ sɛ biribi.
1SA.12.2	Na afei, hwɛ, ɔhene no na ɔdi mo anim yi. Na me deɛ, mabɔ akora na mafu dwono, na me mma nso, hwɛ, wɔne mo na ɛwɔ hɔ; na me deɛ, mefiri me mmɔfraase na manante mo anim mabɛduru nnɛ da yi. 
1SA.12.3	 Hwɛ, menie, monni me adanseɛ AWURADE ne deɛ wasra no yi anim, hwan nantwie na mafa? Na hwan afunumu na mafa? Na hwan na madi no amim? Na hwan na mahyɛ ne soɔ anaa hwan hɔ na magye adanmudeɛ na mede mamua m’ani mama no? Na mennane memma mo. 
1SA.12.4	Na wɔse: Wonnii yɛn amim, na wonhyɛɛ yɛn so, na wonnyee obiara hɔ biribiara. 
1SA.12.5	Na ɔka kyerɛɛ wɔn sɛ: AWURADE ne mo danseni, na deɛ wasra no yi ne ɔdanseni nnɛ, sɛ moanhunu biribiara me nsam. Na wɔkaa sɛ: Ɔne danseni.
1SA.12.6	Na Samuel ka kyerɛɛ ɔman no sɛ: Ɛyɛ AWURADE a ɔyii Mose ne Aaron na ɔde mo agyanom firii Misraim asase so bae no. 
1SA.12.7	Na afei mommɛgyina ha, na memmɔ mo soboɔ AWURADE anim, AWURADE teneneedeɛ a wayɛ ama mo ne mo agyanom nyinaa ho: 
1SA.12.8	 Ɛberɛ a Yakob kɔɔ Misraim na Misraimfoɔ hyɛɛ wɔn soɔ no,
1SA.12.9	 Nanso wɔn werɛ firii AWURADE wɔn Nyankopɔn, na ɔtɔn wɔn hyɛɛ Hasor sahene Sisera nsa ne Filistifoɔ nsa ne Moabhene nsa, na wɔne wɔn bɛkoe. 
1SA.12.10	Na wɔsu frɛɛ AWURADE sɛ: Yɛayɛ bɔne sɛ yɛagya AWURADE hɔ akɔsom Baalim ne Astarot, na afei yi yɛn firi yɛn atamfoɔ nsam, na yɛbɛsom wo. 
1SA.12.11	 Na AWURADE somaa Yerubaal, Bedan, Yefta ne Samuel, na ɔyii mo firi mo atamfoɔ nsam hyia maa motenaa ase dwoodwoo. 
1SA.12.12	 Na mohunuu sɛ Amonfoɔ hene Nahas reba mo soɔ no, moka kyerɛɛ me sɛ: Dabi, na ɔhene mmɛdi yɛn so, berɛ a na AWURADE mo Nyankopɔn ne mo hene. 
1SA.12.13	Na afei, hwɛ, ɔhene a moyiiɛ a mosrɛɛ no no nie, na hwɛ, AWURADE asi mo so hene. 
1SA.12.14	Sɛ mosuro AWURADE na mosom no na motie no, na moante AWURADE anomu asɛm so atua na mo ne ɔhene a ɔdi mo soɔ no nyinaa redi AWURADE mo Nyankopɔn akyi a, anka ɛyɛ. 
1SA.12.15	Na sɛ moantie AWURADE na mote AWURADE anomu asɛm so atua a, ɛnneɛ AWURADE nsa bɛda mo so sɛdeɛ ɛdaa mo agyanom soɔ no. 
1SA.12.16	Afei nso mommɛgyina ha nhwɛ adeɛ kɛseɛ a AWURADE rebɛyɛ mo anim yi. 
1SA.12.17	Ɛnyɛ ayuotwa berɛ ne nnɛ? Mɛfrɛ AWURADE na wama aprannaa ne osuo aba, na moahwɛ ahunu sɛ mo bɔne a moayɛ AWURADE anim ne sɛ moabisa ɔhene afa no so.
1SA.12.18	Ɛnna Samuel frɛɛ AWURADE, na AWURADE maa aprannaa ne osuo baa da no. Na ɔman no nyinaa suroo AWURADE ne Samuel sɛ. 
1SA.12.19	Na ɔman no nyinaa ka kyerɛɛ Samuel sɛ: Bɔ AWURADE wo Nyankopɔn mpaeɛ ma wo nkoa, na yɛanwu, ɛfiri sɛ yɛde bɔne yi aka yɛn bɔne nyinaa ho, sɛ yɛabisa ɔhene afa. 
1SA.12.20	Na Samuel ka kyerɛɛ ɔman no sɛ: Monnsuro; moayɛ bɔne yi nyinaa deɛ, nanso AWURADE akyi na monnsane mmfire, na momfa mo akoma nyinaa nsom AWURADE. 
1SA.12.21	 Na mommmane nnkɔdi ade hunu a mfasoɔ ne ɛgyeɛ nni ho no akyi, na ɛyɛ ade hunu. 
1SA.12.22	 Na AWURADE din kɛseɛ no nti ɔrempa ne man, na ɛsɔ AWURADE ani sɛ ɔde mo bɛyɛ ne man; 
1SA.12.23	 me nso, ɛmpare me sɛ mɛgyae mo ho mpaebɔ de ayɛ AWURADE bɔne; na mɛkyerɛ mo kwan pa a ɛtene no. 
1SA.12.24	 Suro nko na monsuro AWURADE, na momfa mo akoma nyinaa nsom no nokorɛ mu. Na monhwɛ adeɛ kɛseɛ a wayɛ ama mo no. 
1SA.12.25	Na sɛ bɔne ara na mobɛyɛ a, ɛnneɛ wɔbɛsesa mo ne mo hene nyinaa akɔ.
1SA.13.1	Saulo bɛdii hene na wadi bɛboro mfirinhyia aduasa.
1SA.13.2	ɔyii Israel mu nnipa mpensa fae. Na wɔn mu mpennu wɔ Saulo nkyɛn, Mikmas ne Betel bepɔ so, na apem wɔ Yonatan nkyɛn Gibea-benyamin; na ɔman a aka no, ɔgyaa wɔn kwan maa wɔkɔɔ wɔn ntomadan mu. 
1SA.13.3	 Na Yonatan kaa Filistifoɔ bansifoɔ a wɔwɔ Geba no gui; na Filistifoɔ teeɛ. Ɛnna Saulo hyɛnee totorobɛnto asase no nyinaa soɔ sɛ: Momma Hebrifoɔ nte! 
1SA.13.4	Na Israel nyinaa tee sɛ Saulo aka Filistifoɔ bansifoɔ no agu, ɛne sɛdeɛ Israel ama wɔn ho ayɛ Filistifoɔ ahi. Na wɔhyiahyiaa ɔman no boaa ano, Saulo nkyɛn wɔ Gilgal.
1SA.13.5	Na Filistifoɔ boaboaa wɔn ano sɛ wɔne Israel rebɛko: Nteaseɛnam mpem aduasa ne apɔnkɔfoɔ mpemnsia ne dɔm a ne dodoɔ te sɛ mpoano anwea. Na wɔforo ba bɛkyeree nsraban Mikmas, Bet-awen apueeɛ. 
1SA.13.6	Na Israel mmarima no hunuu sɛ ɛredene wɔn, (ɛfiri sɛ wɔhyɛɛ ɔman no ahometeɛ), na ɔman no huntahuntaa abodan ne amena ne abotan ne aboda ne mmura mu. 
1SA.13.7	Na Hebrifoɔ no bi twaa Yordan kɔɔ Gad ne Gilead asase so. Na Saulo da so wɔ Gilgal, na ɔman no nyinaa de ahopopoɔ dii n’akyi.
1SA.13.9	Ɛnna Saulo kaa sɛ: Momfa ɔhyeɛ afɔdeɛ ne asomdwoeɛ afɔdeɛ no mmrɛ me. Na ɔbɔɔ ɔhyeɛ afɔdeɛ no. 
1SA.13.10	Na hwɛ, ɔwiee ɔhyeɛ afɔdeɛ no bɔ ara pɛ, na Samuel baeɛ; na Saulo firii adi sɛ ɔrekɔhyia no akyea no. 
1SA.13.11	Ɛnna Samuel kaa sɛ: Ɛdeɛn na woayɛ yi? Na Saulo se: Mehunuu sɛ ɔman no refiri me ho ahwete, na wo nso woamma berɛ a wohyɛeɛ no, na Filistifoɔ aboa wɔn ano Mikmas, 
1SA.13.12	ɛnna mese: Afei Filistifoɔ bɛsiane aba me so Gilgal, nso mennya menyii AWURADE mpaeɛ, enti na mehyɛɛ me ho mebɔɔ ɔhyeɛ afɔdeɛ no. 
1SA.13.13	Na Samuel ka kyerɛɛ Saulo sɛ: Woadi nkwaseasɛm, woanni AWURADE wo Nyankopɔn mmara asɛm a ɔhyɛɛ woɔ no so. Na anka afei na AWURADE rebɛma w’ahennie atim Israel so daa: 
1SA.13.14	 Na afei w’ahennie rennyina. AWURADE bɛhwehwɛ n’akoma so barima afa, na AWURADE asi ne man so hene, ɛfiri sɛ woanni deɛ AWURADE hyɛɛ woɔ no so.
1SA.13.15	Na Samuel sɔre firii Gilgal kɔɔ Gibea-benyamin. Na Saulo kan ɛdɔm a wɔne no wɔ hɔ no, mmarima bɛyɛ ahansia. 
1SA.13.16	Na Saulo ne ne ba Yonatan ne ɛdɔm a wɔne wɔn wɔ hɔ no tenaa Gibea-benyamin, nso na Filistifoɔ akyere nsraban wɔ Mikmas. 
1SA.13.17	Na afomfafoɔ akuo mmiɛnsa firi Filistifoɔ nsram bae: Asafokuo baako te faa Ofra kwan so kɔɔ Sual asase so; 
1SA.13.18	na asafokuo baako te faa Bet-horon kwan so, na asafokuo baako nso te faa ɛhyeɛ a ɛkyerɛ Seboim bonhwa no kwan so kɔɔ ɛserɛ so fam.
1SA.13.20	Na na Israel nyinaa siane kɔ Filistifoɔ nkyɛn kɔse wɔn funtum nnadeɛ ne wɔn nsɔ ne wɔn nkuma ne wɔn kantankrankyi; 
1SA.13.21	na wɔgye funtum nnadeɛ ne nsɔsɔ no biara ho dwetɛbena abupɛn mmiɛnsa mu baako, na wɔse nkuma anaa wɔsiesie nnadeɛ a wɔde ka mmoa nso a, wɔgye dwetɛbena abupɛn mmiɛnsa mu baako mmɔho. 
1SA.13.22	Na koda no, wɔanhunu nkrantɛ anaa pea ɛdɔm a wɔne Saulo ne Yonatan wɔ hɔ no mu biara nsam gye Saulo ne ne ba Yonatan nsam na wɔhunuu bie. 
1SA.13.23	Na Filistifoɔ bansifoɔ no firii adi kɔɔ Mikmas tempɔn kwan so.
1SA.14.1	Na da bi Saulo ba Yonatan ka kyerɛɛ n’abɔfra a ɔkura n’akodeɛ no sɛ: Bra ma yɛnkɔ Filistifoɔ bansifoɔ a wɔwɔ nohoa no ho. Nanso wanka ankyerɛ n’agya. 
1SA.14.2	Na Saulo te Gibea kurotia, atoaa dua a ɛwɔ Migron no ase, na ɛdɔm a na wɔne no wɔ hɔ no bɛyɛ mmarima ahansia. 
1SA.14.3	 Na Ahiya a ɔyɛ AWURADE sɔfoɔ Eli a ɔtenaa Silo no ba Pinehas ba Ikabod nua Ahitub ba hyɛ asɔfotadeɛ no. Na ɔman no nnim sɛ Yonatan kɔ. 
1SA.14.4	Na tempɔn kwan a Yonatan pɛ sɛ ɔfa so kɔ Filistifoɔ bansifoɔ no soɔ no, ɔbotan a ano yɛ nnam wɔ ɔfa ha na ɔbotan a ano yɛ nnam nso wɔ ɔfa ha; baako din de Boses na baako din de Sene; 
1SA.14.5	baako ano kyerɛ atifi fam Mikmas ntentensoɔ, na baako ano kyerɛ anafoɔ fam Geba ntentensoɔ.
1SA.14.7	Na n’akodeɛkurani no ka kyerɛɛ no sɛ: Yɛ deɛ ɛwɔ w’akomam nyinaa; dane wo ho, hwɛ, meka wo ho sɛdeɛ w’akoma pɛ. 
1SA.14.8	Ɛnna Yonatan kaa sɛ: Hwɛ, yɛrebɛtwam akɔ nnipa no ho akɔyi yɛn ho akyerɛ wɔn, 
1SA.14.9	na sɛ wɔka kyerɛ yɛn sɛ: Monnyina hɔ na yɛmmra mo nkyɛn a, ɛnneɛ yɛbɛgyina yɛn gyinabea na yɛremforo nkɔ wɔn nkyɛn. 
1SA.14.10	Na sɛ wɔka sɛ: Momforo mmra yɛn so a, ɛnneɛ yɛbɛforo akɔ, ɛfiri sɛ AWURADE de wɔn ahyɛ yɛn nsa, na yei bɛyɛ yɛn nsɛnkyerɛnneɛ. 
1SA.14.11	Na wɔn baanu no yiyii wɔn ho kyerɛɛ Filistifoɔ bansifoɔ no. Na Filistifoɔ no kaa sɛ: Hwɛ, Hebrifoɔ no refiri adi afiri ntokuro a wɔhuntahuntaa mu no mu. 
1SA.14.12	Na nsraban no mufoɔ buaa Yonatan ne n’akodeɛkurani no sɛ: Momforo mmra yɛn nkyɛn na yɛnkyerɛ mo biribi. Na Yonatan ka kyerɛɛ n’akodeɛkurani no sɛ: Foro di m’akyi, na AWURADE de wɔn ahyɛ Israel nsa. 
1SA.14.13	 Na Yonatan de ne nsa ne ne nan foroe, na n’akodeɛkurani no dii n’akyi, na wɔtotɔɔ Yonatan anim, na n’akodeɛkurani no kunkumm dii n’akyi. 
1SA.14.14	Na nnipa a ɛdi kan a Yonatan ne n’akodeɛkurani kumm wɔn no bɛyɛ nnipa aduonu, wɔ mpasua a ɛbɛyɛ anantwie mpamho funtum kwan fa so. 
1SA.14.15	Na ehu baa nsraban no mu, petee mu ne ɛdɔm no nyinaa mu; bansifoɔ no ne fomfafoɔ no nso ehu kaa wɔn, na asase no wosoe; na ɛyɛɛ ehu kɛse pa ara.
1SA.14.16	Na Saulo awɛmfoɔ a wɔwɔ Gibea-benyamin no hwɛe, na hwɛ, na nnipakuo no rehwete fa ha sene ha. 
1SA.14.17	Ɛnna Saulo ka kyerɛɛ ɛdɔm a wɔne no wɔ hɔ no sɛ: Monkan na monhunu deɛ wafiri yɛn mu korɔ. Na wɔkanee, na hwɛ, na Yonatan ne n’akodeɛkurani nni hɔ. 
1SA.14.18	 Na Saulo ka kyerɛɛ Ahiya sɛ: Kɔfa Nyankopɔn adaka no bra. Nso ɛda no na Nyankopɔn adaka no wɔ Israelfoɔ no nkyɛn. 
1SA.14.19	Na Saulo ne ɔsɔfoɔ no rekasa no, Filistifoɔ nsram kitikitiyɛ no kɔɔ so dɔɔso ara. Ɛnna Saulo ka kyerɛɛ ɔsɔfoɔ no sɛ: Twe wo nsa! 
1SA.14.20	 Na Saulo ne ɛdɔm a wɔka ne ho no nyinaa hyia boaa ano kɔɔ nsraban no mu, na hwɛ, na wɔn nyinaa de nkrantɛ reko tia wɔn ho, na ɛyɛ kitikiti kɛseɛ pa ara. 
1SA.14.21	Nso Hebrifoɔ a na wɔka Filistifoɔ no ho kane a wɔne wɔn foro baa nsraban no mu firi asase a atwa ahyia no soɔ no, wɔn nso bɛkaa Israelfoɔ a wɔka Saulo ne Yonatan ho no ho. 
1SA.14.22	Na Israelfoɔ a wɔkɔhuntahuntaa Efraim bepɔ soɔ no nyinaa tee sɛ Filistifoɔ adwane no, wɔn nso tu saa wɔn ne wɔn koeɛ. 
1SA.14.23	Ɛno nti AWURADE gyee Israel da no; na wɔkoeɛ ara kɔtwaa mu Bet-awen.
1SA.14.24	Na ɛdenee Israel mmarima da no; na Saulo kaa ɔman no ntam sɛ: Nnome nka obiara a ɔbɛdidie ansa na onwunu adwoɔ, na mentɔ m’atamfoɔ so were. Enti ɔman no mu, obiara amfa aduane anka n’ano. 
1SA.14.25	Na ɔman no nyinaa duruu kwaeɛ bi mu no, na ɛwoɔ wɔ fam. 
1SA.14.26	Na ɔman no duruu kwaeɛ no mu no, na hwɛ, ɛwoɔ resosɔ; nanso obiara amfa ne nsa ankɔ n’ano, ɛfiri sɛ ɔman no suro ntam no. 
1SA.14.27	Nso Yonatan deɛ, n’agya reka ɔman no ntam no, wante; na ɔde poma a na ɔkura no ano kaa ɛwoɔ no bi, na ɔde ne nsa kɔɔ n’ano, na n’ani so tetee no. 
1SA.14.28	Na nkurɔfoɔ no mu baako kaa sɛ: W’agya aka dɔm no ntam sɛ: Nnome nka obiara a ɔbɛdidi nnɛ; nso na nkurɔfoɔ no retɔ piti. 
1SA.14.29	Na Yonatan kaa sɛ: M’agya aha asase yi. Monhwɛ sɛ mekaa ɛwoɔ yi kakra mehwɛeɛ yi, m’ani so atete me; 
1SA.14.30	na sɛ anka ɛdɔm yi dii wɔn atamfoɔ asadeɛ a wɔnyaeɛ no bi ɛ! Afei anka ɔkum kɛseɛ na Filistifoɔ kum no bɛyɛ.
1SA.14.31	Na wɔkum Filistifoɔ no da no firi Mikmas kɔduruu Ayalon; na ɛdɔm no tɔɔ piti sɛ. 
1SA.14.32	 Na ɛdɔm no to kɔhyɛɛ asadeɛ no so, na wɔfaa nnwan ne anantwie ne anantwie mma kunkumm wɔn ɛfam, na ɛdɔm no dii no mogya mu. 
1SA.14.33	Na wɔka kyerɛɛ Saulo sɛ: Hwɛ, ɛdɔm no reyɛ AWURADE bɔne sɛ wɔdi no mogya mu. Na ɔkaa sɛ: Moafom, mommuni ɔbo kɛseɛ mmrɛ me nnɛ. 
1SA.14.34	Na Saulo kaa sɛ: Monhwete nkɔ ɛdɔm no mu nkɔka nkyerɛ wɔn sɛ: Momfa mo anantwie ne mo nnwan mmra me nkyɛn mmɛku wɔn ha nni, na monnyɛ AWURADE bɔne sɛ mobɛdi no mogya mu. Na ɛdɔm no nyinaa kurakura wɔn anantwie bae anadwo no bɛkunkum wɔn hɔ. 
1SA.14.35	Na Saulo sii afɔrebukyia maa AWURADE. Ɛno ne afɔrebukyia a ɛdi kan a ɔsi maa AWURADE.
1SA.14.36	Na Saulo kaa sɛ: Momma yɛnsiane nkɔti Filistifoɔ no anadwo yi, na yɛmfom wɔn mfa nkɔduru anɔpa, na yɛannya wɔn mu nipa baako mpo. Na wɔkaa sɛ: Deɛ ɛyɛ wɔ w’ani soɔ nyinaa yɛ! Na ɔsɔfoɔ no kaa sɛ: Momma yɛntwe mpini Onyankopɔn wɔ ha. 
1SA.14.37	 Na Saulo bisaa Onyankopɔn sɛ: Mensiane menti Filistifoɔ no anaa? Wode wɔn bɛhyɛ Israel nsa anaa? Na wammua no da no. 
1SA.14.38	Ɛnna Saulo kaa sɛ: Mo ɛdɔm mu atitire nyinaa, montwe mpini ha, na monhwɛ nhunu adekodeɛ a enti bɔne yi aba nnɛ. 
1SA.14.39	Na sɛ AWURADE a ɔgye Israel te aseɛ yi, sɛ ɛwɔ me ba Yonatan mpo so a, wuo na ɔbɛwuo. Na ɛdɔm no mu biara ammua no. 
1SA.14.40	Ɛnna ɔka kyerɛɛ Israel nyinaa sɛ: Mo deɛ, monkɔ afa, na me ne me ba Yonatan nso nkɔ afa. Na ɛdɔm no ka kyerɛɛ Saulo sɛ: Deɛ ɛyɛ wɔ w’ani soɔ no yɛ! 
