GEN.1.1	Aum Aunfank muak Gott Himmel un Ieed. 
DEU.18.5	De 
DEU.18.6	Een Levit von irjent eene Staut en Israel doaf emma, wan hee well no dee Städ gonen, dee de 
DEU.18.7	un doa en däm Nomen vom 
DEU.18.8	Dee saul krakjt soon Stekj kjrieen aus de aundre Priesta, krakjt eendoont waut hee sest noch kjricht von siene Famielje.
DEU.18.9	Wan jie en daut niee Launt nenn komen woont de 
DEU.18.10	Kjeena saul sienen ieejnen Sän ooda siene ieejne Dochta aus een Opfa vebrennen. Kjeena saul derch Tieekjens sajen, waut noch emol woaren woat, ooda von Hakjsen forschen, 
DEU.18.11	met de Jeista räden, een Fluch opp eenen aundren saten, ooda von vestorwne Menschen no Rot froagen. 
DEU.18.12	Soont sent bie däm 
DEU.18.13	Jie sellen däm 
DEU.18.14	En de Lenda wua jie nengonen woaren, doonen de Menschen werkjlich derch Tieekjens sajen waut noch emol woaren woat un von de Jeista forschen, oba de 
DEU.18.15	De 
DEU.18.16	Jie fruagen no daut, biem Horeb Boajch aun dän Dach aus jie doa vesaumelt wieren. Jie säden to däm 
DEU.18.17	Dan säd de 
DEU.18.18	Ekj woa an eenen Profeet, soonen aus die, jäwen von mank äare Menschen, un ekj woa am miene Wieed en sien Mul jäwen, un hee woat an aules sajen waut ekj am oppjäw to sajen. 
DEU.18.19	Un deejanja dee nich woat no daut Wuat horchen woont hee en mienen Nomen sajcht, von däm woa ekj velangen daut hee selfst to mie auntwuaten woat.
DEU.18.20	Un wan irjent een Profeet sikj woacht eene Bootschoft to jäwen, dee ekj nich von am velangd, ooda eene Bootschoft em Nomen von aundre Jetta jeft, dee saul stoawen. 
DEU.18.21	Wan jie noch emol wundren, woo jie weeten kjennen auf de Bootschoft von irjent eenen Profeet von mie es ooda nich, 
DEU.18.22	dan hoolt em denkj, daut wan een Profeet em 
DEU.19.1	Wan de 
DEU.19.2	sell jie dree Städa besondasch betieekjnen en daut Launt woont de 
DEU.19.3	Jie sellen daut Launt en dree Deels endeelen rom dee besondre Städa, un Wäaj no de Städa moaken. Dan wan irjent wäa eenen Mensch toom doot veuasoakt haft, kaun hee no eent von de Städa ranen.
DEU.19.4	Dit es eene Jeläajenheit fa däm dee eenen Mensch toom doot veuasoakt haft, daut dee no dee Staut ranen kaun un sien Läwen vesechren. Irjentwäa dee sienen Noba gaunz onen Aufsecht toom doot veuasoakt un noch nienich eenen Groll jäajen däm jehaut haft, doaf no eent von dise Städa ranen un läwen. 
DEU.19.5	Toom Biespel, wan jie äara twee em Woolt nengonen Holt to haken, un wan eenem dan biem haken de Akjs vom Stäl flicht un däm aundren doot schleit, dan doaf dee, derch wäm de Doot jekomen es, no eent von dise Städa ranen un sien Läwen raden. 
DEU.19.6	Wan doa mau eene Staut soo betieekjent wia, dan kunn daut sennen daut de Wajch too lank wia fa däm Maun to ranen. Dee waut am schuldich hoolen, kunnen am dan noholen un doot schlonen, wan hee sikj aun dän Doot nich veschulcht haud un noch nienich eenen Groll jäajen däm jehaut haud. 
DEU.19.7	Doawäajen sell jie dree Städa soo betieekjnen.
DEU.19.8	De 
DEU.19.9	Daut wia opp de Bedinjunk, daut jie däm 
DEU.19.10	Dit es doatoo daut jie nich däm oschuldjen daut Läwen nämen, en daut Launt woont de 
DEU.19.11	Wan, oba, een Mensch eenen Groll jäajen wäm haft, un hee plont woo hee däm trafen woat un däm soont aundoonen, daut dee doavon stoawen woat, un dan no eent von dise betieekjende Städa rant, 
DEU.19.12	dan sellen de Leidasch en dee Staut von wua hee kjeem, däm gonen von doa holen. Un see sellen am aun deejanje äwajäwen, dee sien Doot rajchen wellen, soo daut dee am ombrinjen kjennen. 
DEU.19.13	Lot junt daut nich leet doonen om dän. Jie sellen Israel rein hoolen von dee, waut schuldich sent von eenen oschuldjen Mensch doot moaken. 
DEU.19.14	Wan jie en daut Launt woont de 
DEU.19.15	Bloos een Zeij es nich jenuach om eenen Mensch schuldich to moaken fa irjent waut schlajchtet, wuaväa hee beschulcht woat. Doa motten twee ooda dree Zeijen sennen om eenem schuldich to finjen. 
DEU.19.16	Wan irjent wäa sull met eene beese Aufsecht jäajen eenen aundren zeijen, 
DEU.19.17	dan sellen beid, dee wäa vekloacht woat un dee wäa de Kloag väabrinjt, ver däm 
DEU.19.18	De Rechta woaren de Sach dan krakjt noseenen, un wan daut dan rut kjemt daut de Vekjläaja een onopprechtja Zeij jewast es, 
DEU.19.19	dan saul däm bestroft woaren, soo aus de vekloagda wudd bestroft sennen, wan hee schuldich jefungen wort. Soo sell jie daut, waut ojjerajcht es, ut june Medd oppriemen. 
DEU.19.20	Aulemaun woat dan hieren waut met däm wort, un woat sikj ferchten. Un kjeena woat soont dan noch wada doonen. 
DEU.19.21	Lot junt daut nich leet sennen om soonen. De Strof saul een Läwen fa een Läwen, een Uag fa een Uag, eene Tän fa eene Tän, eene Haunt fa eene Haunt, un een Foot fa een Foot sennen. 
DEU.20.1	Wan jie en eenen Kjrich jäajen june Fiend gonen, un seenen daut dee Pieed un Woages haben un een Häa daut väl jrata es aus junt, sell jie junt doch nich enjsten loten von dän. De 
DEU.20.2	Wan jie en eenen Kjrich nengonen wellen, saul ieescht een Priesta komen un ver junt stonen un to junt räden. 
DEU.20.3	Hee saul to daut Häa sajen: Horcht, jie Israeliten. Jie gonen vondoag en eenen Kjrich met june Fiend. Lot junt daut nich de Moot veschorren un enjst junt nich. Jie brucken nich zetren, un jie brucken nich ver dee vegonen. 
DEU.20.4	De 
DEU.20.5	Un dan sellen de aunjestalde junt aunräden un sajen: Es hia een Maun dee sikj een nieet Hus jebut haft, un haft daut noch nich enjeweit? Wan hia soona es, dan saul dee trigj no Hus gonen, daut hee nich em Kjrich stoaft un een aundra Maun weit sien Hus en. 
DEU.20.6	Es hia eena dee sikj eenen Wiengoaden jekoft haft, un haft noch kjeene Arnt von däm jekjräajen? Soona saul ieescht trigj no sien Hus gonen, daut hee nich em Kjrich stoaft un een aundra Mensch sikj to de Frucht freit. 
DEU.20.7	Es hia een Maun dee Velafnis jehaut haft, un es oba noch nich befriet? Dee saul trigj no Hus gonen, aundasch kunn hee em Kjrich stoawen, un een aundra Maun kunn dee nämen, waut am vesproaken es. 
DEU.20.8	De aunjestalde sellen noch wieda sajen: Es hia wäa, dee Angst haft ooda dee nich mootich es? Dee saul trigj no Hus gonen, soo daut dee aundre Mana nich uk dän Moot velieren. 
DEU.20.9	Un wan de aunjestalde ieescht aul dit to daut Häa jesajcht haben, dan sellen Leidasch äwa daut Häa jesat woaren.
DEU.20.10	Wan jie eene Staut entjäajen gonen toom met dee kjriejen, dan beet dee ieescht Frädens Bedinjungen aun. 
DEU.20.11	Wan dee frädlich sent un junt nenn loten, dan sellen aul de Menschen doa june Sklowen woaren. 
DEU.20.12	Wan de Menschen oba sikj nich hanjäwen un wellen met junt kjriejen, dan moakt eenen Rinkj rom de Staut met jun Häa. 
DEU.20.13	Dan, wan de 
DEU.20.14	De Frues un Kjinja oba, un daut Vee un aules waut en de Staut es, waut eenen Wieet haft, kjenn jie fa junt selfst nämen. Freit junt doatoo un brukt von junen Fient siene Sachen. De 
DEU.20.15	Dit es woo jie met Städa doonen sellen, dee een Enj auf sent, un nich eent von dise Städa waut hia sent.
DEU.20.16	Oba en dise Städa, dee de 
DEU.20.17	Lot kjeenem läwen von de Hetita, de Amorita, de Kanaanita, de Perisita, de Hiwita un de Jebusita. Daut es däm 
DEU.20.18	soo daut dee junt nich aul de oppscheiselje Sitten lieren, dee see fa äare Jetta eewen. Daut wudd fa junt Sind jäajen däm 
DEU.20.19	Wan jie noch emol een langet stoot om eene Staut sent om dee entonämen, dan hakt nich de Fruchtbeem dol. Du doascht von de Frucht äten oba nich dän Boom dolhacken. De Beem sent doch nich june Fiend, daut jie dee unjanämen motten. 
DEU.20.20	Jie sellen bloos soone Beem dolhacken, dee nich Frucht jäwen toom äten. Dee kjenn jie brucken toom Jestal buen toom dän Kjrich fieren met de Staut, bat jie dee ennämen kjennen.
DEU.21.1	Wan jie ieescht en daut Launt läwen, woont de 
DEU.21.2	dan sellen de Leidasch un Rechta väakomen un mäten, woo wiet de vestorwna von de Städa en dee Jäajent es. 
DEU.21.3	Dan sellen de Leidasch von de notste Staut een Hoklinkj brinjen, woont noch nienich haft schaufen must un noch nienich een Joch jedroacht haft, 
DEU.21.4	un daut oppe Stap nämen, wua kjeena oppjelockat ooda jeseit haft bie een Stroom met Wota un sellen doa em Tol daut Hoklinkj daut Jenekj bräakjen. 
DEU.21.5	Dan sellen de levitische Priesta doa väakomen. Dee sellen jieda Faul verem Jerecht, un jieda Faul wua Jewault jebrukt worden es, entscheiden. De 
DEU.21.6	Un aul de Leidasch von de Staut dee daut notste aun dän Vestorwnen es, sellen sikj äwa daut Hoklinkj met daut jebroakne Jenekj, de Henj wauschen, 
DEU.21.7	un doabie sajen: Onse Henj haben nich disen Mensch omjebrocht, un onse Uagen sagen nich woo daut wort. 
DEU.21.8	, vejeff dien Volkj, de Israeliten, dee du doch hast friejemoakt. Lot de Schult fa dän Doot von däm oschuldjen Mensch nich opp dien Volkj bliewen. Soo woaren see vejäft sennen doafäa, daut dis Mensch omjebrocht es. 
DEU.21.9	Soo sell jie de Schult fa dän Doot von däm oschuldjen Mensch von mank ons nämen, un soo haundlen aus daut rajcht es ver däm 
DEU.21.10	Un wan jie jäajen june Fiend en eenen Striet gonen, un de 
DEU.21.11	un wan eena doa een schmocket Frumensch sitt, fa dee hee een velangen haft un dee hee haben mucht aus siene Fru, 
DEU.21.12	dan saul hee ar no sien Hus nämen. Doa saul see sikj de Hoa un de Finjanäajel aufschnieden, 
DEU.21.13	un see saul sikj aundre Kjleeda auntrakjen un en daut Hus, von däm dee ar jenomen haft, bliewen. Lot ar ieescht eene gaunze Moonat äwa äare Elren truaren. No däm doaf deejanja ar aus siene Fru nämen un aus Maun un Fru met ar läwen. 
DEU.21.14	Wan dee Maun ar dan well loos sennen, dan saul hee ar friegonen loten. See saul nich fa Jelt vekoft woaren, un dee saul nich aus een Sklow behaundelt woaren, wiels de Maun met ar haft Schaund jedräwen.
DEU.21.15	Well wie sajen doa es een Maun dee twee Frues haft. Hee es eene von dee goot, un es eene von dee nich goot. Nu wan de Maun Säns von beid Frues haft oba de elsta Sän es een Sän von dee, dee hee nich goot es, 
DEU.21.16	dan doaf hee nich dän Sän von däa, dee hee goot es, aus dän elsten aunseenen un dän von dee woone hee nich jleicht, tosied saten. 
DEU.21.17	Hee saul dän elsten Sän von de Fru dee hee nich goot es aus sienen Ieeschtjebuarnen daut dobbelde Oafgoot jäwen von aules waut hee haft. Dee Sän es doch de ieeschte Oaw von dan aus hee to siene Krauft kjeem. 
DEU.21.18	Well wie sajen doa es een Maun, un dee haft eenen Sän dee ieejenkoppich un jäajenaun es, eena dee onjehuarsom es uk wan see am strofen. 
DEU.21.19	Dan sellen de Elren am no de Leidasch vonne Staut nämen, wua dee toopkomen, 
DEU.21.20	un de Elren sellen de Leidasch sajen: Dis Jung, ons Sän, es ieejenkoppich un jäajenaun. Hee horcht nich no ons. Hee veschlendat aules soo ruchloos un drinkjt sea. 
DEU.21.21	Dan sellen de Mana von de Staut am steenjen met Steena bat hee stoaft. Jie sellen soon beeset von mank junt utroden. Daut gaunze Israel woat daut hieren un sikj enjsten.
DEU.21.22	Wan een Mensch dootjemoakt woat fa een Vegonen, daut met däm Doot bestroft saul woaren, un jie am opp eenen Boom henjen, 
DEU.21.23	sell jie däm noch dänselwjen Dach begrowen, un däm nich äwa Nacht loten opp däm Boom henjen. Eena, dee fa soon Vegonen aun eenen Boom henjt, es von Gott unja eenen Fluch un moakt daut Launt orrein. Jie sellen daut Launt woont de 
DEU.22.1	Wan jie eenen Noba sienen Oss ooda Schop loos seenen, sell jie daut nich loos loten un doa von wajchgonen. Jie sellen am daut Tia trigjstalen. 
DEU.22.2	Wan de Noba nich dicht bie wont, ooda jie nich weeten woonen Noba daut jehieet, sell jie daut no Hus nämen bat hee doano kjemt. Dan sell jie am daut trigjäwen. 
DEU.22.3	Krakjt soo sell jie daut met sien Äsel doonen; soo sell jie daut met een Stekj von siene Kjleeda doonen; un soo sell jie daut met irjent waut doonen, waut däm Noba jehieet un hee daut velist. Du doascht daut nich bloos aunseenen un nuscht doamet doonen.
DEU.22.4	Jie sellen nich onen to halpen wieda gonen, wan een Brooda sien Äsel ooda Oss hinjawäajes tofaul kjemt. Jie sellen däm trajcht halpen.
DEU.22.5	Eene Fru saul sikj nich en Mauns Kjleeda kjleeden, un een Maun saul sikj nich en Frues Kjleeda kjleeden. Soon Mensch es waut oppscheiseljet fa däm 
DEU.22.6	Wan wäa toofalich een Voagelnast finjt en een Boom ooda oppe Ieed, un doa een Voagel opp äa Broodsel sett, dan sell jie nich beides daut Broodsel un daut Voagel nämen. 
DEU.22.7	Lot daut Voagel friegonen un nemm bloos daut Broodsel, soo daut et goot met junt gonen kaun un jie lang läwen kjennen.
DEU.22.8	Wan wäa een nieet Hus but, saul hee eenen Tun aun de Kaunt von een plautet Dak moaken. Dan woa jie nich schuldich sennen wan doa wäa von daut Dak felt un sikj doabie dootschleit.
DEU.22.9	Jie sellen nich noch eene tweede Sort von Sot en junen Wiengoaden seien, wiels dan wudd aules waut doa waust, beides de Wiendruwen un waut doa sest noch jeplaunt es, nich fa junt un uk nich fa daut Heilichtum to brucken sennen. 
DEU.22.10	Jie sellen nich met een Oss un een Äsel toop en een Jespaun plieejen. 
DEU.22.11	Jie sellen nich Kjleeda auntrakjen, wua daut Zeich von beides Woll un Lienzeich jewowen es.
DEU.22.12	De Mauntel, däm du brukst toom die bedakjen, saul aun jieda eent von de vea Akjen een zeichnet Zippelkje haben. 
DEU.22.13	Wan een Maun sikj met eene Mejal befriet, un hee ar oba veacht no däm daut see toop jekomen sent, 
DEU.22.14	un hee ar dan eenen schlajchten Nomen jeft un sajcht: Ekj neem dise Fru, un aus ekj met ar toopkjeem, funk ekj daut see ea met wäm jeläajen haud, 
DEU.22.15	dan sellen de Fru äare Elren dän Bewies brinjen, daut see eene Mejal wia, un dän Bewies bie daut Stautspuat ver de Leidasch von de Staut hanlajen. 
DEU.22.16	Un de Voda von de Mejal saul to de Leidasch vonne Staut sajen: Ekj hab disen Maun miene Dochta aus Fru jejäft, un nu well hee ar nich mea. 
DEU.22.17	Hee haft ar eenen schlajchten Nomen jejäft, un haft jesajcht daut miene Dochta nich eene Mejal wia. Hia hab ekj dän Bewies daut see daut wia. Un de Elren sellen daut Loaken vom Kjastinjsdach ver de Leidasch von de Staut opspreeden. 
DEU.22.18	Un de Leidasch von de Staut sellen däm Maun vedakjen, 
DEU.22.19	un dan noch sellen see 100 Selwastekja von am velangen un dee de Fru äaren Voda jäwen. De Mensch haft eenen schlajchten Nomen opp eene israelitische Mejal jebrocht. Un de Fru saul däm Mensch siene Fru bliewen. Hee doaf dee nich tosied saten soo lang aus hee läft. 
DEU.22.20	Wan de Maun oba rajcht es un doa kjeen Bewies es daut see eene reine Mejal wia aus hee ar neem, 
DEU.22.21	dan sellen see de junge Fru bat vere Däa von äa Voda sien Hus brinjen, un de Leidasch von de Staut sellen dee steenjen bat see stoaft. See haft eene Schaund opp Israel jebrocht, doaderch daut see en äa Voda sien Hus haft Huararie jedräwen. Soo sell jie soon beeset von mank junt utroden. 
DEU.22.22	Wan jie finjen daut een Maun met eenen aundren Maun siene Fru licht dan sellen beid de Maun un de Fru dootjemoakt. Soo sell jie soon beeset von mank jun Volkj utroden. 
DEU.22.23	Un wan daut väakjemt, daut eene Mejal dee vesproaken haft sikj met eenem to befrieen, met eenen Maun enne Staut tooplicht, 
DEU.22.24	dan sellen dee aulebeid no daut Stautspuat jebrocht woaren un doa jesteenicht daut see stoawen. De Mejal es schuldich daut see nich jeroopt haft wan see doch enne Staut wia, un de Maun wiels hee sienen Noba siene Mejal Jewault aunjedonen haft. Soo sell jie soon beeset von mank junt utroden.
DEU.22.25	Wan oba een Maun met eene Mejal buten oppem Launt licht, un de Mejal es wäm to Fru vesproaken, dan saul bloos de Maun dee met ar jeläajen haft stoawen. 
DEU.22.26	Dise Mejal sell jie nuscht aundoonen. See haft nuscht jedonen fa waut see met däm Doot bestroft saul. De Faul von dise Mejal es soo aus een Maun, dee von sienen Noba äwafollen woat un dootjeschloagen woat. 
DEU.22.27	Dit wort oppe opne Stap un aus de Mejal schrieech, wia doa kjeena waut komen kunn om ar to halpen.
DEU.22.28	Un wan een Maun eene Mejal, dee kjeenem vesproaken es, Jewault aun deit un met ar licht un de Sach bekaunt woat, 
DEU.22.29	dan saul de Maun dee met ar lach äaren Voda 50 Selwastekja jäwen, un see saul siene Fru sennen, wiels hee ar met Jewault jedwungen haud. Hee doaf dee nienich tosied saten, soo lang aus hee läft.
DEU.23.1	En Maun saul nich Jeschlajchtsvekjia met sien Voda siene Fru haben; hee saul äare Dakj nich aufdakjen. 
DEU.23.2	Een Maun däm siene Hooden en sienen Sak vedorwen sent ooda däm sien Jeschlajchtsjlett auf es, saul nich enne Vesaumlunk ver däm 
DEU.23.3	Een Mensch, dee derch Ehebruch es to Welt jekomen, saul nich enne Vesaumlunk ver däm 
DEU.23.4	Kjeen Amonita ooda Moabita saul enne Vesaumlunk ver däm 
DEU.23.5	Daut es wäajen see junt nich met Broot un Wota entjäajen kjeemen, aus jie hinjawäajes wieren oppem Wajch von Ägipten. Un uk wäajen see dän Bieleam, Beor sien Sän von Petor en Mesopotamien aunneemen om eenen Fluch opp junt to spräakjen. 
DEU.23.6	Oba doch de 
DEU.23.7	Doot nienich waut om an to halpen ooda an rikj to moaken. 
DEU.23.8	Jie sellen eenen Edomita nich veachten. See sent doch june Breeda. Uk eenen Ägipta sell jie nich veachten, wiels jie en äa Launt framde wieren. 
DEU.23.9	Dee äare Nokomen derwen vonne dredde Jennerazion aun enne Vesaumlunk ver däm 
DEU.23.10	Wan jie aus een Häa jäajen june Fiend gonen, sell jie junt von jieda beese Sach rein hoolen. 
DEU.23.11	Wan doa irjent een Maun orrein talt, wiels hee sikj enne Nacht derch een Droom naut jemoakt haft, dan saul hee buta daut Loaga gonen un doa bliewen 
DEU.23.12	bat däm Owent. Dan saul hee sikj met Wota wauschen, un wan de Sonn unja es doaf hee trigj em Loaga komen.
DEU.23.13	Jie sellen buta daut Loaga eene Städ haben, wua jie hangonen wan junt needich es. 
DEU.23.14	Droacht eenen Stock aus een Poat von jun Jereetschoft, soo daut jie kjennen een Loch moaken un jun Aufgank veschoawen. 
DEU.23.15	De 
DEU.23.16	Wan een Sklow von sien Wieet wajchrant un no sest wäm kjemt, sell jie am nich trigj no däm Wieet jäwen. 
DEU.23.17	Hee saul mank junt wonen opp de Städ wua hee well. Jie sellen am nich daut Läwen schwoa moaken. 
DEU.23.18	Kjeene israelitische Mejal saul eenen Huarendeenst doonen fa eenen Aufgott. Kjeen israelitischa Maun saul aus een Huara deenen fa eenen Aufgott. 
DEU.23.19	Jie sellen nich dän Vedeenst von eene Hua ooda von eenen Huara en däm 
DEU.23.20	Jie sellen nich Entras nämen, wan jie junen Noba Jelt ooda to äten, ooda irjent sest waut lieen, soo daut de 
DEU.23.21	No eenen framden derw jie opp Entras utlieen, oba nich no eenen von jun Volkj. Dan woat de 
DEU.23.22	Wan jie däm 
DEU.23.23	Oba jie brinjen kjeene Schult opp junt, wan jie am kjeen Vespräakjen moaken. 
DEU.23.24	Hoolt aules waut jie jesajcht haben, un doot aules waut jie däm 
DEU.23.25	Wan wäa en sienen Noba sien Wiengoaden jeit, kjenn jie doa soo väl äten aus jie wellen, oba plekjt junt nuscht en eenen Korf nenn. 
DEU.23.26	Wan wäa en sienen Noba sien Jeträajd Flekj jeit, doaf hee met de Henj waut plekjen, oba hee doaf nich met eene Sans doa nenn schnieden. 
DEU.24.1	Wan een Maun eene Mejal nemt un befriet sikj met ar, un wan hee no däm waut schaundhauftet aun ar finjt, un ar nich mea haben well, dan kaun hee een Scheedungsbreef utschriewen, un ar dän jäwen un ar wajch schekjen, soo daut see wajchjeit. 
DEU.24.2	Wan dan een aundra Maun sikj dee friet, 
DEU.24.3	un dis tweeda Maun ar nich jefelt, dan kaun hee ar en Scheedungsbreef schriewen, ar dän jäwen un ar wajchschekjen. Wan äa tweeda Maun ar wajchschekjt ooda hee stoaft, 
DEU.24.4	dan doaf äa ieeschta Maun ar nich trigj nämen aus siene Fru. See es dan orrein fa am. Soont wudd däm 
DEU.24.5	Een Maun dee noch nich lang befriet es saul nich met de Armee gonen ooda irjent eene Veauntwuatunk met dee haben. Hee saul een Joa frie sennen von soone Oppgow un tus bliewen, daut hee de Fru jlekjlich moakt, dee hee sikj jenomen haft. 
DEU.24.6	Wan jie wäm waut lieen, dan sell jie nich siene Hauntmäl ooda sien bowaschta Molsteen aus Birj aunnämen, wiels dan wudd jie sien Läwen aus Birj nämen.
DEU.24.7	Wan een Israelit sienen Noba met Jewault nemt un däm aus een Sklow brukt, ooda dän aus een Sklow vekjaft, dan saul dee waut am met Jewault jenomen haft, doot jemoakt. Soo sell jie soone Sind von mank junt utroden. 
DEU.24.8	Paust sea opp wan doa wäa leprakrank es, daut jie krakjt soo doonen aus de levitische Priesta von junt velangen. Soo aus ekj dee väajesajcht hab, soo sell jie onbedinjt doonen. 
DEU.24.9	Vejät nich waut de 
DEU.24.10	Wan jie eenen Noba waut lieen, sell jie nich en sien Hus nengonen om daut Jebirjde auftoholen. 
DEU.24.11	Jie sellen buta daut Hus luaren bat hee daut Jebirjde rutbrinjt. 
DEU.24.12	Un wan hee oam es, dan sell jie nich en daut Jebirjde schlopen. 
DEU.24.13	Wan de Sonn unjajeit, sell jie am de Dakj trigjbrinjen soo daut hee doabennen schlopen kaun, un hee die säajnen kaun. Soont wudd eene jerajchte Sach ver däm 
DEU.24.14	Jie sellen een Oabeida, de oam un schlajcht auf es, nich kjwälen ooda daut Läwen schwoa moaken, eendoont auf daut een Israelit es, ooda een framda, dee en jun Launt un en june Städa wont. 
DEU.24.15	Tol däm aule Dach ea de Sonn unjajeit ut, wiels hee es oam un räakjent doamet. Wan jie daut nich doonen, dan kunn hee däm 
DEU.24.16	Vodasch sellen nich dootjemoakt fa äare Kjinja äa Vegonen, un Kjinja sellen nich dootjemoakt fa äare Vodasch äare Schult. Een jiedra saul fa siene ieejne Sinden bestroft woaren. 
DEU.24.17	Jie sellen nich eenen framden ooda een Weisenkjint sien rajcht vedreien, ooda eene Wätfru äare Kjleeda nämen aus Birjschoft. 
DEU.24.18	Jie sellen doaraun denkjen, daut jie emol Sklowen en Ägipten wieren un daut de 
DEU.24.19	Wan jie june Arnt nenbrinjen, un jie doa eene Goaw vejäten, dan got nich trigj no dee. Lot daut fa de framde, de Weisen, un de Wätfrues. Dan kaun de 
DEU.24.20	Wan eena een Oliewenboom schleit toom de Bäaren aufschedren, dan schlot de Asta nich toom tweeden mol. De äwaje sent fa de framde, de Weisen, un de Wätfrues. 
DEU.24.21	Wan jie de Wiendruwen oppnämen en june Wiengoades, sell jie nich noch gonen noläsen. Dee sent fa de framde, de Weisen, un de Wätfrues. 
DEU.24.22	Jie sellen doaraun denkjen, daut jie emol Sklowen en Ägipten wieren. Daut es wuarom jie dit Jeboot hoolen sellen.
DEU.25.1	Wan twee Mana sikj äwa waut strieden, un dee verem Jerecht komen, sellen de Rechta däm waut oschuldich es friespräakjen, un däm wäa schuldich es daut Uadeel jäwen. 
DEU.25.2	Un wan dee, waut schuldich es, saul jeschloagen woaren, dan saul de Rechta velangen, daut de Schildna sikj ver dän Rechta dol lajcht, un jewesse Schläaj kjricht, doano aus waut hee veschulcht haft. 
DEU.25.3	Bat 40 Schläaj derw jie jäwen oba nich mea. Aundasch kunn daut sennen daut hee doa ver junt veacht woat. 
DEU.25.4	Jie sellen nich eenen Oss een Mulkorf oppsaten biem Jeträajd utklunjen. 
DEU.25.5	Wan Breeda toop wonen un eena stoaft onen daut hee een Sän jekjräajen haft, saul däm Vestorwnen siene Fru nich buta de Famielje eenen Maun jejäft woaren, oba däm Vestorwnen sien Brooda saul ar nämen un sikj met ar befrieen. 
DEU.25.6	Dän ieeschten Sän, dän de Fru dan haft, talt aus däm Vestorwnen siene Oaw, soo daut däm sien Nomen nich mank de Israeliten utstoaft. 
DEU.25.7	Un wan däm Vestorwnen sien Brooda de Fru nich nämen well, dan saul de Wätfru nom Puat gonen wua de Leidasch setten un bekaunt jäwen: Mien Maun sien Brooda deit nich siene Fliet om sienen Brooda sienen Nomen en Israel to behoolen. Hee befriet sikj nich met mie un lat sienen Brooda nich Nokomen tookomen. 
DEU.25.8	Dan sellen de Leidasch von de Staut däm Brooda väakroagen un met am räden. Wan hee dan noch sajcht: Ekj well mie nich met dee befrieen, 
DEU.25.9	dan saul de Wätfru no am gonen un ver de Leidasch am de Schlorr auftrakjen un am em Jesecht spieen un sajen: Dit es waut wie met eenen Maun doonen, dee sien Brooda siene Famielje nich well oppbuen. 
DEU.25.10	Un siene Famielje saul en Israel bekaunt sennen aus de Famielje, wua däm Voda siene Schlorr jenomen es.
DEU.25.11	Wan twee Mana sikj unjarenaunda wellen unjanämen, un eene von äare Frues jeit äaren Maun halpen, wiels hee jeschloagen woat, un see dan dän aundren aum Sak to hoolen kjricht, 
DEU.25.12	sell jie de Fru de Haunt aufschnieden. Jie derwen kjeen Metlieden met ar haben.
DEU.25.13	Jie sellen nich twee veschiedne Jewichta en june Tausch haben, eenen schwandren un eenen leichtren. 
DEU.25.14	Jie sellen nich twee veschiedne Moten en june Hiesa haben, eenen lenja aus de aundra. 
DEU.25.15	Jie sellen een rajchtet Jewicht haben un eene rajchte Mot haben, soo daut jie lang en daut Launt, woont de 
DEU.25.16	Aul dee waut orrajchte Moten un Jewichta brucken, un onopprechtich sent, sent schaundhauft ver däm 
DEU.25.17	Vejät nich waut Amalek to junt deed aus jie oppem Wajch von Ägipten wieren, 
DEU.25.18	woo hee junt toofua aus jie schwak un meed wieren, un hee de latste aufschneet, aul dee waut hinjen jebläwen wieren. Hee haud kjeene Forcht fa Gott. 
DEU.25.19	Doawäajen, nu wan de 
DEU.26.1	Wan jie ieescht en daut Launt nenn trakjen, woont de 
DEU.26.2	dan sell jie emma waut von daut ieeschte, waut jie von daut Launt arnten, en eenen Korf saten, un doamet no de Städ gonen, dee de 
DEU.26.3	Brinjt daut no däm Priesta dee doa em Aumt steit un sajcht to am: Ekj jäw däm 
DEU.26.4	Un de Priesta woat dan junen Korf nämen, un dän verem Aultoa fa däm 
DEU.26.5	un jie sellen dan ver däm 
DEU.26.6	De Ägipta behaundelden ons sea schlajcht. See muaken ons unja schwoare Oabeit lieden. 
DEU.26.7	Dan roopt wie däm 
DEU.26.8	Un de 
DEU.26.9	Un hee brocht ons no dise Städ un jeef ons dit Launt wua Malkj un Honnich rant. 
DEU.26.10	Un nu brinj ekj von daut ieeschte vonne Arnt von daut Launt, daut de 
DEU.26.11	Dankt däm 
DEU.26.12	Jieda dreddet Joa es een Joa toom een Tieendel aufjäwen aun de Leviten, de framde, de Weisen, un de Wätfrues, soo daut dee sikj kjennen saut äten en june Jäajent. 
DEU.26.13	Wan jie daut jedonen haben, dan sajcht ver däm 
DEU.26.14	Von daut waut die jeweit wia, hab ekj nich jejäten soogoa aus ekj em Truastaunt wia, un ekj hab nuscht doavon wiedajejäft wiels ekj orrein wia, un ekj hab nuscht doavon aus een Opfa fa de Vestorwne jejäft. Ekj sie die, 
DEU.26.15	Kjikj rauf opp ons, von diene heilje Städ em Himmel, un säajen ons Israeliten, dee wie dien Volkj sent, en daut Launt woont du ons jejäft hast, doano aus du onse Vodasch opp een Eit vesproaken hast, een Launt wua Malkj un Honnich rant.
DEU.26.16	De 
DEU.26.17	Jie haben vondoag däm 
DEU.26.18	Un de 
