GEN.1.1	Du ujuni Naşibaţi apaş baţi na mboş.
LEV.11.47	Iko yi pdo kaţaş yi iwo pa pdolan nayikrën uko ujinţ na uţop, uko unjaaŋ ude'ana na unwooŋ uunkde'ana. »
LEV.12.2	Ţiiniin na bañaaŋ biki 
LEV.12.3	Unuur uţënk bakreŋ bawalan napoţ kaŧëmp. 
LEV.12.4	Ñaaţ akak aţo ŋnuur iñeen ŋwajanţ na ŋwajanţ kabaa kajinţ ţi pñaak pi atuluŋ ţi kabuk kuŋ. Wal mënţan bŧi aanwo kaban kako kanyimanuŋ këme kaya du blay bi 
LEV.12.5	Woli abuk napoţ ñaaţ, aji wo naţop inëm itëb. Aji wo naţop jibi ajaaŋ awo naţop wal wi awooŋ ţi kañowa, kabaa ţo ŋnuur iñeen paaj na paaj (66) kabaa kak najinţ ţi pñaak pi atuluŋ ţi kabuk kuŋ.
LEV.12.6	« Wal wi ñaaţ akţooŋ kaba ŋnuur ŋuŋ bŧi, wi wi abaaŋ aţij unkaneel wi uşubal kado batërad wa bŧi Nawat Kabuka na ubalab umpoţi këme urikaţe kado bado bţeŋan bi ppënan ipekadu, uwole ñiinţ i i abukuŋ këme ñaaţ. Awo kaţij iko yi bţeŋan yuŋ ţi kadun ki naţeŋan du ukëbi wi 
LEV.12.7	Wal mënţ naţeŋan aţij ŋnŧaam mënţ ţi kadun ki Nawat Kabuka kaşë kado bţeŋan ahilna amiir ipekadu yi ñaaţ. Ajinţ wal mënţ ţi kadun ki Nawat Kabuka.
LEV.12.7	« Uko waŋ wi wi ñaaţ ambukuŋ napoţ ñiinţ këme ñaaţ awooŋ kado.
LEV.12.8	« Woli ñaaţ aanka uko unugni unkaneel, aţij ŋbalab ŋtëb këme ŋrikaţe ŋtëb. Uloŋ uwo katërad bŧi Nawat Kabuka, utëbanţën uwo pa bţeŋan bi ppënan ipekadu. Naţeŋan ado ţi a wal mënţ uko wi bajaaŋ bado pa ppënan ipekadu. Ajinţ wal mënţ ţi këş ki Nawat Kabuka. »
LEV.13.2	« Woli bawin ţi uleef wi ñaaŋ aloŋ uko ji uwur këme uleef kë ufootşa ţi Ŋmbaŋ ŋloŋ, këme undampu ufaaŧţaan, woli uko mënţ uya adoo kak pmaak pi bdoo
LEV.13.3	Naţeŋan aten dko dammaakuŋ. Woli uwel unwooŋ ţi dko mënţ ukak ufaaŧal, kë ujad udiili, pmaak pi bdoo pa. Wi atenuluŋ aba aţup kë aţopi. 
LEV.13.4	Woli katël ki dko mënţ kafaaŧëţi aşë wo kaanwo na ujad undiiluŋ, kë uwel unwooŋ da uunkak ufaaŧal, naţeŋan adëŧ anwooŋ na ujad wuŋ ŋnuur paaj na uloŋ kalowana bañaaŋ. 
LEV.13.5	Ţi unuur uţënk paaj na uloŋ naţeŋan akak atena. Woli awin kë dko danwooŋ na ujad dawoha wo awo daandëmi, adëŧa kalowan bañaaŋ ŋnuur paaj na uloŋ kak. 
LEV.13.6	Woli ŋnuur paaj na uloŋ ŋabani, naţeŋan akak atena. Woli awin kë ujad ukak kajën kanfaaŧţuŋ, awo uundëmi, aţup hënkuŋ kaji ñaaŋ mënţ akak najinţ. Ujad wa, ñaaŋ mënţ awo kanaj imişa yi nul ţañ kaşë kakak najinţ. 
LEV.13.7	Kë woli ujad udëma dëm wi naţeŋan ajakuŋ aji awo najinţ, ñaaŋ ammaakuŋ mënţ awo kakak naţeŋan atena. 
LEV.13.8	Woli atena awin kë ujad udëm na manjoonan, aţup kaji awo naţop : amaak bdoo.
LEV.13.9	« Woli ñaaŋ aloŋ awo na pmaak panhiniiŋ kawo pi bdoo, bañooţa du naţeŋan. 
LEV.13.10	Atena, woli awin ţi katël uwur ufaaŧţaan, kë udo kë uwel unwooŋ da ukak ufaaŧal, kë dko dakak ujad, 
LEV.13.11	pmaak pdiţ pi bdoo pa. Aţup kë ñaaŋ mënţ aţopi. Aankdëŧa pa ptena, ţiki ame bnuura kë awo naţop. 
LEV.13.12	Kë woli pmaak pi bdoo papën ţi uleef wi ñaaŋ aniink wa bŧi du bkow te du ihoţ, dko bŧi di naţeŋan atenaaŋ, 
LEV.13.13	naţeŋan aten namaakal kak. Wal wi akwinuŋ kë pmaak pi bdoo paniink uleef bŧi, aţup kë awo najinţ ţiki uleef bŧi ukak ufaaŧal. 
LEV.13.14	Kë wal wi ujad ukwinanaariiŋ winana akak naţop. 
LEV.13.15	Naţeŋan aten ujad kaţup kë awo naţop. Ujad uwo uţop, pmaak pi bdoo pa. 
LEV.13.16	Woli ujad udaaŋ akak afaaŧ, namaakal aya du naţeŋan, 
LEV.13.17	uŋ mënţ atena. Woli awin kë ujad ukak adaaŋ afaaŧ, aţup kaji namaakal akak najinţ : hënkuŋ aji wo najinţ.
LEV.13.18	« Woli ñaaŋ aloŋ awo na ujad unjebuŋ, 
LEV.13.19	kë ţi dko di ujad mënţ ubiiŋ awo uwur unfaaŧţuŋ këme unţuuŋ kajeenkëţ uşë pën da, aya kawinana du naţeŋan. 
LEV.13.20	Naţeŋan atena : woli dko mënţ daţu kado bhër kë uwel unwooŋ da ufaaŧëţi, naţeŋan aji ţup kaji awo naţop : pmaak pi bdoo paknaţiiŋ ţi uwur mënţ. 
LEV.13.21	Kë woli naţeŋan awin kë wel uunfaaŧ ţi dko di uwur mënţ uwooŋ, kë bhër baanwo da, kë katël kadaaŋi, adëŧa ŋnuur paaj na uloŋ kalowana bañaaŋ. 
LEV.13.22	Woli uwur udëmi, naţeŋan aţup kaji awo naţop : amaaki. 
LEV.13.23	Kë woli uwur uundëmi, aduka jibi uwooŋ, wal mënţ ŋndampu ŋi ujad ŋa, naţeŋan aţup kaji ajinţi. »
LEV.13.24	« Ñaaŋ ayikle ţi uleef na bdoo, kë ŋndampu ŋapën awo ŋfaaŧţaan këme aţu kajeenkëţ, 
LEV.13.25	naţeŋan atena. Woli uwel unwooŋ ţi dko mënţ ukak ufaaŧal, kë dko dadiili, pmaak pi bdoo pajunuŋ ppën ţi dko danyikuŋ duŋ ; naţeŋan aţup kaji aţopi : pmaak pi bdoo pa. 
LEV.13.26	Kë woli naţeŋan atena aşë win kë uwel uunfaaŧëţi, kë dko daandiili, kë katël kadaaŋi, naţeŋan adëŧa ŋnuur paaj na uloŋ kalowana bañaaŋ. 
LEV.13.27	Ţi unuur uţënk paaj na uloŋ, naţeŋan atena ; woli dko dadëmi, aţup kaji awo naţop : pmaak pi bdoo pa. 
LEV.13.28	Kë woli dko danfaaŧţuŋ daandëmi, akak adaaŋ, ŋndampu ŋi pyik ŋa ; naţeŋan aţup kaji awo najinţ : ulu wi pyik wa. »
LEV.13.29	« Woli ñiinţ aloŋ këme ñaaţ awo na pmaak ţi bkow këme bduuh, 
LEV.13.30	naţeŋan aten dko dammaakuŋ duŋ. Woli dko daţu kadiil kë uwel unwooŋ da uţu kaleelëţ awo untiinku, aţup kaji uŋ mënţ awo naţop : iţeeţeeţ iwooŋ ţi bkow këme bduuh. 
LEV.13.31	Kë woli aten pmaak mënţ awin kë dko dadaaŋi, kë uwel uţëlşaa, naţeŋan alowan ţi bañaaŋ anwooŋ na iţeeţeeţ yuŋ ŋnuur paaj na uloŋ. 
LEV.13.32	Ţi unuur uţënk paaj na uloŋ, akak aten namaakal. Woli ujad uundëmi, woli uwel uunleelëţi, kë dko daandiili 
LEV.13.33	anwooŋ na iţeeţeeţ yuŋ apuunka, kaşë kawo aankpuunk dko danwooŋ na iţeeţeeţ ; naţeŋan aşë dëŧa alow bañaaŋ ŋnuur paaj na uloŋ kak. 
LEV.13.34	Ţi unuur uţënk paaj na uloŋ, akak aten dko danwooŋ na iţeeţeeţ : woli daandëmi abot adaaŋ, aţup kaji awo najinţ ; anwooŋ na iţeeţeeţ yuŋ awo i kanaj imişa yi nul, kabaa kawo najinţ. 
LEV.13.35	Kë woli wal wi bajakuŋ aji awo najinţ, iţeeţeeţ idëma katël, 
LEV.13.36	naţeŋan atena : wi iţeeţeeţ idëmuŋ, aando kak aten ten uwel me uleelëţi ţiki ñaaŋ mënţ abi wo wo naţop. 
LEV.13.37	Kë woli iinniink katël aduka ţi dko dloolan kë uwel ujënal upën da, uwooŋ kë ajebi kë awo najinţ ; hënk naţeŋan aţup kaji awo najinţ.
LEV.13.38	« Woli ŋndampu ŋfaaŧal ŋapën ţi katël ki ñiinţ këme ñaaţ, 
LEV.13.39	naţeŋan atena. Woli ŋndampu mënţ ŋafaaŧţi, ŋtu ŋapënuŋ ţi katël : awo najinţ.
LEV.13.40	« Woli ñiinţ aloŋ awo ţi pwaaŋ uwel kë ukjot kë bkow baduka bjinţ, mënţ pmaak pa, awo najinţ. 
LEV.13.41	Woli uwel wi kadun wi wi akwaaŋuŋ, unşuun kë uwo ujinţ ; awo najinţ. 
LEV.13.42	Kë woli ŋndampu ŋjeenkal ŋapën ţi dko dandaŋëşiiŋ duŋ ţi unşuun këme ţi pjuk, uhina kawo pmaak pi bdoo. 
LEV.13.43	Naţeŋan atena : woli aten dko duŋ awin kë dajeenkëţ ţi unşuun këme ţi pjuk, aţu kanaam na pmaak pi bdoo, 
LEV.13.44	ñiinţ mënţ awo na pmaak pi bdoo, aanwo najinţ ; naţeŋan aţup kaji awo naţop, amaak bdoo ţi bkow.
LEV.13.45	« Ñiinţ ammaakuŋ bdoo haŋ awoh imişa intowiiŋ, karañ rañan uwel, agur bduuhul kaşë kahuuran kaji : “Naţop, naţop.” 
LEV.13.46	Wal bŧi wi pmaak pakwooŋ ţi a, afëţ kalow bañaaŋ du bdig bi dko di bafëţuŋ.
LEV.13.47	« Woli kamişa ki babomanaanuŋ muuţ këme ifaal kajab na bŧoh
LEV.13.48	uwole iŧenda këme blaañ bi ifaal këme muuţ, iko bŧi imbomanaanuŋ injan, 
LEV.13.49	woli iko injabuŋ ţi kamişa mënţ këme blaañ këme iko imbomanaanuŋ injan mënţ inaam na pjaagal, këme ajeenkëţ, iwo na bŧoh. Iji iñooţ du naţeŋan aten ya. 
LEV.13.50	Aten ya bnuura kaşë katuh kako kanjabuŋ kuŋ kalowan ka bañaaŋ ŋnuur paaj na uloŋ. 
LEV.13.51	Ţi unuur uţënk paaj na uloŋ, akak aten kako kanjabuŋ kuŋ. Woli awin kë uko unjabuŋ da uhoţalëşaa, bŧoh bwuţaan ba, kako mënţ kaţopi. 
LEV.13.52	Ajej kako mënţ kafël du bdoo, kawole kamişa, paŧenda këme blaañ bi babomanaanuŋ kanjan këme muuţ. Bŧoh bwuţaan ba, ukaaŋ kë kako mënţ kawo kafëlana du bdoo. 
LEV.13.53	Kë woli naţeŋan aten awin kë bŧoh baanhoţalëşa ţi kako mënţ, 
LEV.13.54	ado banaj ka kaşë kakak kalowan ka bañaaŋ ŋnuur paaj na uloŋ. 
LEV.13.55	Woli akak aten kako kuŋ awin kë uko unjabuŋ da uwoha wo jibi ujonuŋ nwoo, woli uundoo hoţalëşa, kawo kaţop. Bawo katër ka bŧi woli kajab du meeţ këme du bdig. 
LEV.13.56	Bë woli naţeŋan aten kako mënţ wi banajuŋ ka, awin kë uko unjabuŋ da ujun ppën, akib dko danjabuŋ duŋ. 
LEV.13.57	Kë woli wi adoluŋ haŋ uko wuŋ ukak abi, ameen kë bŧoh bakaaŋ anaţa, atër kako kanjabuŋ kuŋ bŧi. 
LEV.13.58	Kë woli banaj kako kambiiŋ ajab, kë uko unjabuŋ da upëni, kawo kanaj utëbanţën kahilna kakak kajinţ. 
LEV.13.59	Hënk di di bgah bajakuŋ ţi uko wi bŧoh banjabanuŋ kamişa, blaañ këme iko imbomanaanuŋ injan kahilna kaţup me iwo ijinţ këme iţop. »
LEV.14.2	« Hënk di di bawooŋ kado kado bañow pa ñaaŋ amaakuŋ bdoo
LEV.14.3	naţeŋan apën du bdig bi dko di bafëţuŋ katenna ñaaŋ mënţ. Woli atena awin kë ajebi, 
LEV.14.4	aşë do baţij pa ñaaŋ mënţ ŋkaŧ ŋtëb ŋanwooŋ ŋjeb abot ajinţ ţi këş ki naan, kaţu na bmul bi bko bi bajaaŋ bado Ŧedër, na ptal pjeenkal na kanah ki bko bi bajaaŋ bado 
LEV.14.5	Ado bafaal ukaŧ uŧeek ţi pţukar duuţ, pambomanaanuŋ na ufuuş abot aŧum na meel mampënnuŋ du ukumpëş. 
LEV.14.6	Ajej ukaŧ uloŋ na bmul bi Ŧedër na ptal pjeenkal na kanah ki hiŧop kaŧoop ţi pñaak pi ukaŧ unfaaluŋ. 
LEV.14.7	Alëŧ wal mënţan ţi ñaaŋ ambiiŋ pdolan bţeŋan ŋyaaş paaj na uloŋ kaşë kaţup kaji ajinţ hënkuŋ kabaa kawutan ukaŧ ujeb wuŋ uyiţ uya du uţeeh.
LEV.14.8	« Ñaaŋ ankmbiiŋ pdo bañow anaj imişa yi nul, kapuunk uwel bŧi kaşë kañowa. Wal mënţ aji wo najinţ. Woli abaa, aşë kak du dko di bafëţuŋ kaşë wo aankneej du kaloona ki nul te ŋnuur paaj na uloŋ. 
LEV.14.9	Ţi unuur uţënk paaj na uloŋ, akak apuunk uwel, na bduuh, nkank na uwel bŧi undukiiŋ, kanaj imişa kabot kañowa. Wal mënţ aji jinţ.
LEV.14.10	« Ţi unuur uţënk bakreŋ, ajej ŋkaneel, ŋaanwo kaţakëm nin dko dloŋ këme kawo na ujad uloŋ – ŋkaş ŋtëb na uwaţ uloolan undoluŋ uşubal, na ŋkil kañeen kaloŋ ŋi pşon pi banaakrënuŋ na ukëra, na pŧoof pi ulitru wi ukëra. 
LEV.14.11	Naţeŋan ankjañanuŋ iko ado ñiinţ mënţ abi anaţ ţi kadun ki nji Nawat Kabuka na iko yi aţijuŋ pbi kaţeŋanaan, du ukëbi wi 
LEV.14.12	Ajej uloŋ ţi ŋkaneel ŋkaş ŋuŋ unwooŋ wi bţeŋan bi baluk na pŧoof pi ulitru wi ukëra, kadiiman ya nji Nawat Kabuka jibi ujaaŋ udolana. 
LEV.14.13	Afaal unkaneel du dko di bajaaŋ bafaalna ŋnŧaam ŋi bajaaŋ batërad bŧi Nawat Kabuka du dko dloŋ danyimanuŋ ţi blay. Unŧaam unfaalaniiŋ wuŋ ubi wo wo wi naţeŋan, jibi bţeŋan bi ppënan ipekadu bawooŋ bi nul : bayiman maakan. 
LEV.14.14	Naţeŋan ajej pñaak pi unŧaam kaţu ţi plep pi kabaţ kadeenu ki ambiiŋ pdo bañow na ţi pndëŋ pi kañen kadeenu na ţi pndëŋ pi kahoţ kadeenu. 
LEV.14.15	Woli abaa, ajej ukëra kajeeş ntiinku ţi kañenul kamayu : 
LEV.14.16	ajej pkoñ pi kañen kadeenu kaŧoop ţi ukëra wuŋ kaşë kalët ŋyaaş paaj na uloŋ ţi kadun ki Nawat Kabuka. 
LEV.14.17	Wi wi aşaaŋ ajej ţi ukëra untiinku undukiiŋ ţi kañenul wuŋ kakër ţi plep pdeenu pi ankdolanuŋ bañow, ţi pndëŋ pi kañen kadeenu na ţi pi kahoţ kadeenu kaţu na pñaak pi bţeŋan bi baluk. 
LEV.14.18	Ukëra undukiiŋ ţi kañen ki nul, ajej wa kakër ankdolanuŋ bañow ţi bkow kaşë kado iko injaaŋ ido pa bañow bi ñaaŋ anţopuŋ ţi kadun ki Yawe Nawat Kabuka.
LEV.14.19	« Wal mënţ naţeŋan ado bţeŋan bi ppënan ipekadu kaşë kado iko injaaŋ ido pa bañow bi ñaaŋ anţopuŋ. Wi wi aşaaŋ afaal unŧaam unţijuŋ katër bŧi pa nji Nawat Kabuka. 
LEV.14.20	Aţij wa kaţu du 
LEV.14.21	« Woli ñaaŋ ankdolanuŋ bañow awo najuuk awo aanhil kanug iko yi nheparuluŋ, aţij unkaneel uloolan ukaş pa bţeŋan bi baluk. Bado bţeŋan kadiiman wa Nawat Kabuka. Aţij kak unkil wi pşon pannaakrënuŋ na ukëra, na pŧoof pi ulitru wi ukëra. 
LEV.14.22	Akak aţij ŋbalab ŋtëb këme ŋrikaţe ŋtëb, jibi ahinanaaruŋ, uloŋ uwo pa bţeŋan bi ppënan ipekadu, uloŋ utër bŧi pa Nawat Kabuka. 
LEV.14.23	Ţi unuur uţënk bakreŋ, añooţ naţeŋan iko yi nţupuŋ yuŋ bŧi du ukëbi wi kaloona ki bayiti, ţi kadun ki Nawat Kabuka. 
LEV.14.24	Naţeŋan ajej unkaneel na pŧoof pi ulitru wi ukëra, kadiiman ya nji Nawat Kabuka jibi ujaaŋ udolana. 
LEV.14.25	Afaal unkaneel, kajej pñaak pntiinku kaţu ţi plep pi kabaţ kadeenu ki ambiiŋ pdolan bţeŋan, ţi pndëŋ pi kañen kadeenu na pi kahoţ kadeenu. 
LEV.14.26	Naţeŋan ajeeş wal mënţ ukëra untiinku ţi kañenul kamayu, 
LEV.14.27	kajej pkoñ pi kañen kadeenu kaŧoop ţi ukëra mënţ kaşë kalëŧ na pkoñ puŋ ŋyaaş paaj na uloŋ ţi kadun ki Nawat Kabuka. 
LEV.14.28	Wi adoluŋ haŋ aba, aşë ţu ukëra ţi plep pi kabaţ kadeenu ki ñaaŋ ambiiŋ pdolan bţeŋan, ţi pndëŋ pi kañen kadeenu na pi kahoţ kadeenu yi adooŋ abi ţu pñaak pi unkaneel. 
LEV.14.29	Ukëra undukiiŋ ţi kañen ki naţeŋan ajej wa kajeeş ţi bkow bi ñaaŋ mënţ. Wi wi aşaaŋ aji do ţi ambiiŋ pdolan bañow uko wi bajaaŋ bado ñaaŋ kakakna najinţ ţi kadun ki Nawat Kabuka. 
LEV.14.30	Ajej wal mënţ uloŋ ţi ŋbalab këme uloŋ ţi ŋrikaţe jibi ankdolanuŋ bañow ahiinanuŋ aţij, 
LEV.14.31	kado bţeŋan bi ppënan ipekadu, undukiiŋ uşë utërad bŧi nji Nawat Kabuka na bţeŋan bi ŋdeey. Naţeŋan ado wal mënţ ţi a iko injaaŋ ido pa bañow bi ñaaŋ anţopuŋ. 
LEV.14.32	Hënk di di ñaaŋ anwooŋ na pmaak pi bdoo aşë wo aanţënkbëri awooŋ kado pa bañow bi nul. »
LEV.14.34	« Wal wi nakluŋ kaneej du uŧaak wi 
LEV.14.35	ajug katoh mënţ aya kaţup naţeŋan kaji na a : “Dwin uko unwooŋ ji bŧoh du katoh ki naan.” 
LEV.14.36	Wal mënţ naţeŋan ado bapënan iko bŧi inwooŋ ţi katoh kabaa kaya pten dko danjabuŋ duŋ. Hënk, nin uko uloŋ ţi ka uunkkak uţop. Wi wi abaaŋ aneej ţi ka katen ka. 
LEV.14.37	Aten dko danjabuŋ bnuura : woli uniw uwo na ihër inţuuŋ kanaam na ujaagal këme kajeenkëţ, 
LEV.14.38	apën ţi katoh kaşë kado batuh ka ŋnuur paaj na uloŋ. 
LEV.14.39	Ţi uunuur uţënk paaj na uloŋ, akak du katoh katen ka. Woli awin kë bŧoh badëmi, 
LEV.14.40	ado bapënan knduba kanwooŋ na bŧoh kafël du dko danwooŋ dţop, du bdig bi ubeeka. 
LEV.14.41	Ado bagoot katoh meeţ bŧi, başë bajej iko ingootuŋ yuŋ bafël du dko danwooŋ dţop, du bdig bi ubeeka. 
LEV.14.42	Bajej wal mënţ knduba kloŋ khalu kaţu du di bapënanuŋ iŧeek. Bakak ajej mboş mnhalu kakërna ka.
LEV.14.43	« Woli bŧoh bakak apën wal wi bapënanuŋ knduba kanwooŋ na bŧoh akuţ agoot uniw akak akër wa aba, 
LEV.14.44	naţeŋan akak, katen ka. Woli awin kë bŧoh badëmi, uwooŋ kë bŧoh bwuţaan ba, katoh mënţ kaţopi. 
LEV.14.45	Bafom katoh mënţ, iko yi baniwuŋ na induba na yi babomanaanuŋ imul, na mboş mankërnuŋ ka. Bajej iko mënţ bŧi kafël du dko dţop, du bdig bi ubeeka.
LEV.14.46	« Woli ñaaŋ aloŋ aneej ţi katoh mënţ wal wi batuhuŋ ka, aji wo naţop te utaakal. 
LEV.14.47	Woli ñaaŋ apiinţ du katoh mënţ këme ade da, awo kanaj imişa yi nul.
LEV.14.48	« Kë woli naţeŋan aten katoh awin kë bŧoh baandëm ţi ka wi bapënanuŋ induba injabuŋ abot akër ka, aţup kaji katoh mënţ kawo kajinţ ţiki bŧoh bapën ţi ka. 
LEV.14.49	Woli bado bañow bi katoh mënţ, naţeŋan ajej ŋkaŧ ŋtëb, bmul bi bko bi bajaaŋ bado Ŧedër na ptal pjeenkal, na kanah ki bko bi bajaaŋ bado Hiŧop ; 
LEV.14.50	kaşë kafaal ukaŧ uŧeek ţi pţukar duuţ pambomanaanuŋ na ufuuş abot aŧum na meel mampënnuŋ du ukumpëş. 
LEV.14.51	Ajej bmul bi bko bi bajaaŋ bado ŧedër na kanah ki bko bi bajaaŋ bado hiŧop buŋ na ptal pjeenkal na ukaŧ uloŋ, kaŧoop ţi pñaak pi ukaŧ uŧeek panaakrënuŋ na meel mi ukumpëş. Alëŧ pñaak pntiinku ŋyaaş paaj na uloŋ ţi katoh. 
LEV.14.52	Hënk di di akjinţanuŋ katoh kanţopuŋ kuŋ na pñaak pi ukaŧ, meel mi ukumpëş, ukaŧ ujeb, bmul bi ŧedër na kanah ki hiŧop na ptal pjeenkal. 
LEV.14.53	Awutan wal mënţ ukaŧ ujeb wuŋ uyiţ uya du bdig bi ubeeka du uţeeh. Wi wi aşaaŋ ado ţi katoh uko wi bajaaŋ bado pa pjinţan ka. Wal mënţ kaji kajinţ.
LEV.14.54	« Uko waŋ wi wi bgah bajakuŋ ţi mmaak mi katël, këme mi katël ki bkow, 
LEV.14.55+LEV.14.56	na ţi bŧoh banwooŋ ţi imişa, këme bŧoh banwooŋ ţi katoh ; ţi ŋwur, uleefu unkfootşiiŋ na ţi ŋndampu. 
LEV.14.57	Iko yi pdo mënţ ijaaŋ iţu ñaaŋ ahilan kaji ñaaŋ awo najinţ këme naţop këme uko uloŋ uwo ujinţ këme uţop. »
LEV.15.2	Naţiiniin na babuk Iŧrayel naji na baka : « Woli ñiinţ awin kë amaak bduun kë bakyiih na a, uko unkpënuŋ ţi bduun mënţ uji uţopana ţi kadun ki nji Nawat Kabuka. 
LEV.15.3	Uko mënţ woli upën ţi bduun këme atuh ba, uji uţopan ñiinţ mënţ. 
LEV.15.4	Dko di apiinţaaŋ keeri këme aţo dakak dţop. 
LEV.15.5+LEV.15.6	Woli ñaaŋ aban kalişa mënţ këme aţo ţi pţij pi aţooŋ awo kanaj imişa yi nul kabot kañowa, aji wo naţop te utaakal. 
LEV.15.7	Woli ñaaŋ aban ñiinţ mënţ i bduun bakyiihuŋ, awo kanaj imişa yi nul, kabot kañowa, aji wo naţop te utaakal. 
LEV.15.8	Woli ñiinţ mënţ atëfjër ñaaŋ anwooŋ najinţ, uŋ mënţan awo kanaj imişa yi nul kabot kañowa, aji wo naţop te utaakal. 
LEV.15.9	Woli ñiinţ mënţ aya bayaaş, pţij pi aţooŋ wi akyaaŋ bayaaş paji pakak kaţop. 
LEV.15.10	Woli ñaaŋ aloŋ aban uko uloŋ wi ñiinţ mënţ aţoornuŋ aji wo naţop te utaakal. Woli ñaaŋ ajij uko mënţ, awo kanaj imişa kabot kañowa, aji wo naţop te utaakal. 
LEV.15.11	Woli ñiinţ mënţ aban ñaaŋ aloŋ bë aandunna añow iñen, ñaaŋ i abanuŋ mënţ awo kanaj imişa yi nul kabot kañowa, aji wo naţop te utaakal. 
LEV.15.12	Woli ñiinţ mënţ i bduun bakyiihuŋ aban pţukar pi babomanaanuŋ na ufuuş, pawo kafom. Woli imul yi yi babomanaanuŋ pa, bawo kanaj pa na meel.
LEV.15.13	« Woli ñiinţ i bduun bakyiihuŋ ajebi, kë baankak ayiih, awo kayoonk ŋnuur paaj na uloŋ kabaa kakak kajinţ. Anaj imişa yi nul kabot kañowa na meel mi ukumpëş. Wi wi aşaaŋ awo najinţ. 
LEV.15.14	Ţi unuur uţënk bakreŋ, ajej ŋbalab ŋtëb këme ŋrikaţe ŋtëb kaya kawul naţeŋan du kadun ki Nawat Kabuka du ukëbi wi 
LEV.15.15	Naţeŋan ajej uloŋ ţi ŋkaŧ ŋuŋ, kado bţeŋan bi ppënan ipekadu kaşë katërad bŧi undukiiŋ Nawat Kabuka. Wi abaaŋ wi wi ajaaŋ ado ţi ambiiŋ pdolan bañow uko wi bajaaŋ bado ñaaŋ kakakna najinţ ţi kadun ki Nawat Kabuka.
LEV.15.16	« Woli ñiinţ atoon katoon ki piinţ, awo kañow uleef bŧi aji wo naţop te utaakal. 
LEV.15.17	Kamişa këme kanjan ki itoon mënţ ibanuŋ iwo yi kanaj, iji iwo iţop te utaakal.
LEV.15.18	« Woli ñiinţ na ñaaţ bapiinţi, bawo kañowa, baji bawo baţop te utaakal. »
LEV.15.19	« Woli ñaaţ awo ţi kañowa, aji wo naţop ţi kadun ki nji 
LEV.15.20	Kalişa ki apiinţaaŋ na dko di aţoohaŋ wal wi akñowiiŋ daji dakak dţop. 
LEV.15.21+LEV.15.22	Woli ñaaŋ aban kalişa mënţ këme kako kaloŋ ki aţoornuŋ, awo kanaj imişa yi nul kabot kañowa, aji wo naţop te utaakal. 
LEV.15.23	Woli ñaaŋ aban uko unwohaŋ ţi kalişa ki ñaaţ mënţ apiinţuŋ, këme ţi uko wi aţooŋ, aji wo naţop te utaakal.
LEV.15.24	« Woli ñiinţ apiinţ na ñaaţ ankñowiiŋ, kë pñaak pabana, aji wo naţop ŋnuur paaj na uloŋ, kalişa ki apiinţaaŋ kaji kawo kaţop.
LEV.15.25	« Woli ñaaţ aloŋ atula pñaak ŋnuur ŋŧum ţi ŋanwooŋ ŋaanwo ţi wal wi akñowiiŋ këme woli pñaak patula aţëp ŋnuur ŋi kañowa ki nul, aji wo naţop wal bŧi wi pñaak paktuliiŋ hënk, jibi ajaaŋ awo naţop ţi wal wi akñowiiŋ. 
LEV.15.26	Kalişa ki ñaaţ mënţ apiinţaaŋ kaji kawo kaţop jibi kajaaŋ kawo kaţop ţi wal wi akñowiiŋ. 
LEV.15.27	Woli ñaaŋ aban ya, aji wo naţop, awo kañowa, aji wo naţop te utaakal. 
LEV.15.28	Woli pñaak paţañan ptula, ñaaţ mënţ awo kayoonk ŋnuur paaj na uloŋ kabaa kakak najinţ. 
LEV.15.29	Ţi unuur uţënk bakreŋ, ajej ŋbalab ŋtëb këme ŋrikaţe ŋtëb kaya kawul naţeŋan du ukëbi wi 
LEV.15.30	Naţeŋan ajej uloŋ ţi ŋa kawul pa bţeŋan bi ppënan ipekadu kaşë katërad undukiiŋ bŧi Nawat Kabuka. Hënk, ado ţi ñaaţ ambiiŋ pdolan bañow uko wi bajaaŋ bado ñaaŋ kakakna najinţ ţi kadun ki Nawat Kabuka. »
LEV.15.31	Nawat Kabuka akak aji na bi Moyiŧ na Aaron : « Najakan na bañaaŋ biki Iŧrayel woli baţopi badoki balow bañaaŋ kaţi bakeţ wi bakţopanuŋ dko dyimanaan di nji nfëţuŋ danwooŋ ţi pŧoof pi baka. »
LEV.15.32	Uko waŋ wi wi bgah bajakuŋ ţi ñiinţ ammaakuŋ bduun kë bakyiih na antoonuŋ katoon ki kabuk kë kaţopana. 
LEV.15.33	Hënk di bajakuŋ kak ţi ñaaţ anwooŋ ţi kañowa, ñiinţ këme ñaaţ antoonuŋ, këme ñiinţ ampiinţuŋ na ñaaţ anţopuŋ.
LEV.16.1	Wi 
LEV.16.2	aji na a : « Ţiiniin na Aaron naweeku iji na a awut kado kaţëp blaañ bweek banŧaaŋuŋ na 
LEV.16.3	« Hënk di di Aaron awooŋ kado ji abi ado kaneej du 
LEV.16.4	Awo kawohara kamişa kayul kayimanaan ki babomanaanuŋ ifaal na unfuni wi ifaal, katanara katël ki ifaal kabot kataay ya ţi bkow. Iwo iko iwohara inyimanuŋ yi Aaron awooŋ i kawohara wi añowiiŋ aba.
