MAT.1.1	Ибрагимнен тувган Дауттынъ улы Иса Масихтинъ асылы-тукымы сосындай эди: 
MRK.10.12	Эгер пише де байыннан айырылып, баска эрге барса, ол хатын да зиналык этеди», – деди.
MRK.10.13	Исага, колын тийгистсин деп, саьбийлерди аькелетаган эдилер. Сокталар болса оларды тыйдылар. 
MRK.10.14	Соны коьрип, Иса ашувланды: «Койынъыз сабийлерди, Мага келсинлер. Оларга шырмав этпенъиз, неге десе Алла Патшалыгы сондайлардыкы. 
MRK.10.15	Сизге дурысын айтаман: Алла Патшалыгын баладай кабыл этпеген аьдем ога бир заманда да кирмеек», – деди. 
MRK.10.16	Эм саьбийлерди кушаклап, басларына колын салып, яхшылык тиледи.
MRK.10.17	Иса йолга шыккан вакытта, бирев ювырып келип, тизиннен шоьнъкип, Оннан: «Яхшы Устаз! Оьмирлик яшавдан уьлисли болар уьшин мага не этпеге керек?» – деп сорады.
MRK.10.18+MRK.10.19	Иса: «Неге Мага яхшы деп айтасынъ? Бир Алладан баска эш бирев де яхшы тувыл. Онынъ парызларын билесинъ: „Зиналык этпе, аьдем оьлтирме, урлама, ялган шаатлык этпе, алдатпа, атанъ ман ананъды оьрметле», – деди.
MRK.10.20	Ол Исага явапка: «Устаз! Булардынъ баьрисин де бала шагымнан толтыраман», – деди.
MRK.10.21	Иса суьйип ога карады да: «Сага бир зат етиспейди: кет, бар болган затынъды сат та, акшасын ярлыларга уьлестир, сонда коькте карызна табарсынъ. Оннан сонъ кел, кашынъды коьтерип алып, Меним артымнан ызла», – дегенди айтты.
MRK.10.22	Сосы соьзлерден кисидинъ юзи туьрленип, мыдах болып кетти, неге десе онынъ коьп муьлки бар эди.
MRK.10.23	Иса, тоьгерегине карап, сокталарына: «Байлыгы болганларга Алла Патшалыгына кирмеге калай кыйын!» – деди.
MRK.10.24	Онынъ соьзлери сокталарын сейирсиндирди. Ама Иса тагы да: «Балалар! Байлыкка сенгенлерге Алла Патшалыгына кируьв калай бир кыйын! 
MRK.10.25	Бай аьдемге Алла Патшалыгына кируьвден эсе, туьеге ийне коьзиннен оьтуьв тыныш», – деп айтты.
MRK.10.26	Сокталары бек уьйкен сейирге калдылар эм оьзлери ара: «Солай болса, ким куткарылмага болар экен?» – деп соьйлестилер.
MRK.10.27	Иса оларга карап: «Аьдемлерге бу этип болмас зат, ама Аллага тувыл. Алла баьри затты этип болады», – деди.
MRK.10.28	Сонда Петер: «Мине биз баьри затты да калдырып, Сенинъ артынънан ызладык», – деп соьйлеп баслады. 
MRK.10.29	Иса явап берип: «Сизге дурысын айтаман: Мен эм Ийги Хабар уьшин уьйин, ага-инилерин, аьпте-синълилерин, атасын, анасын, саьбийлерин, эгин ызанларын калдырган аьр аьдем, 
MRK.10.30	Энди, бу шакта юз кере артык уьйлер эм ага-инилер, аьпте-синълилер эм ата-аналар, сабийлер эм эгин ызанларын, соны ман кувгынлыклар да алаяк эм келеек шакта оьмирлик яшав да табаяк. 
MRK.10.31	Ама алдыдагылардынъ коьбиси артта, арттагылардынъ коьбиси алдыда болаяк», – деди.
MRK.10.32	Олар Ерусалимге аькететаган йолга шыкканда, Иса баьрисининъ алдында бара эди. Сокталары саьспеклей эдилер, артыннан келгенлер де корка эдилер. Иса он экисин тагы да касына шакырып, Оьзи мен не болаягын хабарлап баслады: 
MRK.10.33	«Мине биз Ерусалимге бараятырмыз. Онда Аьдем Улы бас дин куллыкшылары ман дин аьлимлерининъ колына берилеек. Олар Оны оьлтирмеге оьким шыгараяклар эм баска миллетлилерге тапшыраяклар 
MRK.10.34	Эм олар Оны, маскаралап, камышылаяклар, Ога туькирееклер эм Оны оьлтирееклер, тек Ол уьшинши куьнинде тирилеек».
MRK.10.35	Сонда Онынъ янына Зебедей уллары Якуп пан Яхъя келип: «Устаз! Бизим бир тилегимиз бар, муны бизге этуьвинъди суьемиз», – дедилер.
MRK.10.36	Иса оларга: «Сизге не этуьвимди тилейсиз?» – деди.
MRK.10.37	«Сен данъклы болганда биримизге онъ янынъда, а баскамызга сол янынъда олтырмага ызын бер», – деп айттылар.
MRK.10.38	Иса: «Не тилегенинъизди билмейсиз. Мен ишеек аяктан ишпеге, Мен шомылдырылаяк сувда шомылдырылмага боларсызба?» – деди.
MRK.10.39	Олар: «Болармыз», – деп явапладылар.
MRK.10.39	Иса: «Мен ишеек аяктан ишеексиз, Мен шомылдырылаяк сувда шомылдырылаяксыз. 
MRK.10.40	А онъ янымда эм сол янымда олтырмага эркинлик беруьв Меним колымда тувыл. Ол орынлар кимлерге аьзирленген болсалар, соларга байыр», – деди.
MRK.10.41	Муны эситип, калган он сокта Якуп пан Яхъяга ашувланып басладылар. 
MRK.10.42	Иса оларды касына шакырып, булай айтты: «Сиз билесиз, миллетлердинъ басшыларына саналганлар халкты юмсайдылар, уьйкен аьдемлери де оларды бойсындырадылар. 
MRK.10.43	Сизинъ аранъызда сондайлар болмасын. Керисинше, сизинъ аранъызда уьйкен болмага суьйген – ыргатынъыз болсын. 
MRK.10.44	Сизинъ аранъызда биринши болмага суьйген – баьринъизге кул болсын. 
MRK.10.45	Неге десе Аьдем Улы да Оьзине куллык эттирер уьшин тувыл, Оьзи куллык этпеге, курман болып коьплерди куткарып, Оьзининъ янын бермеге келген».
MRK.10.46	Иса ман сокталары Ерихога келдилер. Олар коьлем халк пан Ериходан шыгаятырганда, Тимай улы Бартимай йол янында садака тилеп олтыра эди. 
MRK.10.47	Назаретши Иса сонда экенин билгенде, ол: «Даут улы Иса, мени языксын!» – деп, кышкырыклап баслады. 
MRK.10.48	Коьплер оны тыйып, уьндетпеске шалыстылар, ама ол: «Даут улы Иса, мени языксын!» – деп, тагы да бек акырды.
MRK.10.49	Иса, токтап, оны шакырмага буйырды. Олар сокырды шакырып, ога: «Конъилинъ тыныш болсын, коьтерил, Ол сени шакырады», – дедилер. 
MRK.10.50	Сокыр уьстиндеги абасын шешип таслады да, орныннан атылып турып, Исадынъ касына келди.
MRK.10.51	Иса: «Мен сага эткендей не зат тилейсинъ?» – деп сорады.
MRK.10.51	Сокыр: «Устаз! Меним коьргим келеди», – деп тиледи. 
MRK.10.52	Иса: «Бар энди, иманынъ сени сав этти», – деди. Бартимай сол саьатлей коьрип баслады да йол бойы Исадынъ артыннан иерди.
MRK.11.1	Ерусалимге ювыклап, Зейтун тавынынъ касындагы Бетпагей мен Бетхиний эллерине еткенде, Иса эки соктасын алдыга йиберди. 
MRK.11.2	Оларга: «Алдынъыздагы элге барынъыз. Онда киргенлей, уьстине бирев де минмеген, байланып турган яс эшекти табарсыз. Оны шешип, мунда алып келинъиз», – деди. 
MRK.11.3	«Эгер ким де болсын бирев сизге: „Сиз не зат этесинъиз?“ – деп сораса, „Ол Раббийге керек, Ол оны тез артына йиберер“, – деп айтарсыз».
MRK.11.4	Сокталар кеттилер, орамда, бир уьйдинъ капысынынъ касында, байланып турган яс эшекти коьрдилер, оны шешип алдылар. 
MRK.11.5	Онда турганлардынъ кайбирлери: «Сиз не зат этесинъиз? Не уьшин яс эшекти шешип аласынъыз?» – деп сорадылар.
MRK.11.6	Сокталар Иса буйырганша яваплаганда, сол турган аьдемлер ызын бердилер. 
MRK.11.7	Сокталар яс эшекти Исадынъ касына алып келдилер, абаларын эшектинъ уьстине салдылар. Иса онынъ уьстине минди. 
MRK.11.8	Исады оьрметлеп, коьплер абаларын йол уьстине яйдылар, а баскалары, тереклерден бутаклар кесип, йол уьстине тоьсей эдилер. 
MRK.11.9	Алдыда барувшылар да, арттан келуьвшилер де: «Осанна
MRK.11.10	Атамыз Дауттынъ келеек патшалыгы муьбарек болсын! Аллаху-Таалага осанна!» – деп, кышкырып бардылар.
MRK.11.11	Иса Ерусалимге келгенде Алла уьйине барды. Онда Ол баьри затты да карап шыкты. Кеш болган себепли, Иса он экиси мен бирге Бетхинийге кетти.
MRK.11.12	Экинши куьн олар Бетхинийден шыкканда, Иса аш болган эди. 
MRK.11.13	Эректен япыраклы ынжыр терегин коьрип, онда бир зат таппаспанма экен деп, карамага барды, ама теректинъ касына келгенде, япыраклардан баска бир зат та йок экенин коьрди, неге десе аьле де емис заманы етпеген эди. 
MRK.11.14	Сол заманда Иса ынжыр терекке: «Муннан сонъ бир заманда да бирев сеннен емис емесин!» – деди. Сокталары соны эситтилер.
MRK.11.15	Олар Ерусалимге келдилер. Иса Алла уьйининъ каралдысына кирип, онда сатув-алув этуьвшилерди кувып баслады, акша авыстырувшылардынъ сыпыраларын, коьгершин сатувшылардынъ олтыраларын авдарды. 
MRK.11.16	Алла уьйининъ каралдысыннан эш кимге бир зат алып оьтпеге ызын бермеди.
MRK.11.17	Оларга: «„Меним уьйиме, баьри миллетлер уьшин дува уьйи деп аталар“ деп язылган, а сиз оны йолбасарлар отанына айландыргансыз!» – деди.
MRK.11.18	Бас дин куллыкшылары ман дин аьлимлери сол соьзлерди эситип, Оны оьлтируьвдинъ амалын излестирдилер. Оннан коркатаган эдилер, неге десе Онынъ окувы баьри халкты сейирсиндиретаган эди.
MRK.11.19	Кас каралганда, Иса ман сокталары шахардан шыгып кеттилер.
MRK.11.20	Эртеси куьн бара турып, олар ынжыр теректинъ курыганын коьрдилер. 
MRK.11.21	Петер, болган исти эсине туьсирип, Исага: «Устаз! Карашы, Сен каргаган ынжыр тереги курыган!» – деди.
MRK.11.22	Иса явап берип булай деди: «Аллага ынанынъыз. 
MRK.11.23	Сизге дурысын айтаман: Эгер дейим ким де болсын бу тавга: „Коьтерил де денъизге атыл!“ десе, оьзининъ коьнъилинде шекленмей, айтканларынынъ болаягына ынанса, тилеги толтырылар. 
MRK.11.24	Сонынъ уьшин де сизге айтаман: дува эткенде не тилесенъиз де, соны алганынъызга ынанынъыз, сиз ынанганша болар. 
MRK.11.25	Турып дува эткенде кимге де оьпкенъиз бар болса, соны кеширинъиз, Коьктеги Атанъыз да сизинъ куьналарынъызды кеширер. 
MRK.11.26	Ама, эгер сиз аьдемлердинъ куьналарын кеширмейтаган болсанъыз, сонда Коьктеги Атанъыз да сизинъ куьналарынъызды кеширмес».
MRK.11.27	Олар тагы да Ерусалимге келдилер. Иса Алла уьйининъ каралдысында юретаганда, Онынъ касына бас дин куллыкшылары, дин аьлимлери эм аксакаллар келдилер. 
MRK.11.28	Оннан: «Сен буларды кайсы куват пан этесинъ? Буларды этпеге сондай куватты Сага ким берген?» – деп сорадылар.
MRK.11.29	Иса: «Мен де сизден бир зат сорайым. Мага явапланъыз, сонда Мен де сизге буларды кайсы куват пан этетаганымды айтарман. 
MRK.11.30	Яхъядынъ аьдемлерди сувда шомылдырувы коьктен болганма яде аьдемнен ме? Мага явап беринъиз», – деди.
MRK.11.31	Олар оьз ара булай соьйлестилер: «„Коьктен“, – десек, Ол „Сонъ неге ога ынанмадынъыз?“ – деп айтар». 
MRK.11.32	А «Аьдемнен десек…» Олар халктан корктылар, неге десе баьриси де Яхъяды пайхамбар деп санай эдилер.
MRK.11.33	Сонъ Исага явапка: «Билмеймиз», – деп явапладылар.
MRK.12.1	Иса халкты таварыхлар ман уьйретип баслады: «Бир аьдем юзим бавын олтыртады, тоьгерегине кора этеди, юзим эзгиш казып, каравылшыга бийиклев курады, сонъ бавды юзимшилерге ялга берип, тыс элге кетеди. 
MRK.12.2	Заманы еткенде, ол юзим бавыннан емис пайын алаяк болып, юзимшилерге бир кулын йибереди. 
MRK.12.3	Юзимшилер оны ыслап, тоьбелеп, бир зат та бермей артына кайтарадылар.
MRK.12.4	Ол яне баска бир кулын йибереди. Оны да, таслар ман басын тесип, сыйсызлык пан кувадылар. 
MRK.12.5	Ол уьшиншисин де йибереди, оны оьлтиредилер. Соьйтип, коьплеген баскаларын да, кимин тоьбелейдилер, кимин оьлтиредилер.
MRK.12.6	Сонъында ол, „Улымнан уялырлар“ деп, оларга суьйикли улын йибереди.
MRK.12.7	Ама юзимшилер бир бирлерине: „Бу – муьлктинъ асабасы. Кел оны оьлтиреек, муьлк бизге калар“, – дедилер. 
MRK.12.8	Оны ыслап, оьлтиредилер эм бавдан тыска шыгарадылар.
MRK.12.9	Энди юзим бавынынъ иеси не этер экен? Ол келип, сол юзимшилерди оьлтирер, юзим бавын да баскаларга берер. 
MRK.12.10	Аьле сиз: „Уьй курувшылар яравсыз деп таслаган тас муьйистинъ негизин салган тасы болды. 
MRK.12.11	Бу – Раббий эткен ис, оны коьргенде сейирге каламыз“ деген Кие Язувды окымагансызба?»
MRK.12.12	Иса сосы таварыхты оьзлерининъ акында айтканын анълап, (ювыт басшылары) Оны ысламага суьйдилер, ама халктан коркканнан, Исады тынышына калдырып, кеттилер.
MRK.12.13	Сонъ, бир соьзинде терисликти таппага излеп, бир кесек соравлар ман Исага кайбир парисейлерди эм патша Иродтынъ аьдемлерин йибердилер. 
MRK.12.14	Олар келип Ога: «Устаз! Сен туьз соьзли болып, ким де болсын онынъ ойлаганына эс бермегенинъди билемиз. Неге десе кимге де болсын сога ярамага куьреспейсинъ, ама Алладынъ йолына туьз уьйретесинъ. Кесарга
MRK.12.15	Ама Иса олардынъ экиюзли экенлерин биле турып: «Неге сынайсыз Мени? Мага бир динар аькелинъиз, коьрейим», – деди. 
MRK.12.16	Олар аькелдилер. Сонда Иса: «Мунда кимнинъ суьврети эм кимнинъ аты язылган?» – деди.
MRK.12.16	«Кесардыкы», – деп явапладылар.
MRK.12.17	Иса: «Кесардыкын кесарга, Алладыкын Аллага беринъиз», – деди. Олар Онынъ явабына сейирсиндилер.
MRK.12.18	Оннан сонъ, оьлгенлер тирилмес деп айтатаган садукейлер Исага келип, булай деп сорадылар: 
MRK.12.19	«Устаз! Муса (Тауратта) бизге: „Биревдинъ кардашы баласы болмай оьлсе эм пишесин калдырса, ол аьдем тул хатынды алып, оьлген кардашы уьшин тукым тувдырсын“ деп язган. 
MRK.12.20	Ети кардаш бар эди. Бириншиси хатын алды да, баласы болмай, оьлип кетти. 
MRK.12.21	Сол хатынды экиншиси алды эм, баласы болмай, ол да оьлди, уьшиншиси де соьйтип болды. 
MRK.12.22	Етеви де бала калдырмады. Баьрисиннен сонъ хатын да оьлди. 
MRK.12.23	Кыямет куьнинде олар тирилгенлеринде, сол хатын кайсысынынъ пишеси болаяк экен? Неге десе ол етевининъ де пишеси болган».
MRK.12.24	Иса явапка: «Не Кие Язувларды, не Алладынъ куьдиретин билмейсиз, онынъ уьшин янъыласыз тувылма? 
MRK.12.25	Неге десе оьлилерден тирилееклер уьйленеек те, байга бараяк та тувыллар, олар коьктеги маьлеклердей болаяклар. 
MRK.12.26	А оьлгенлердинъ тирилуьви акында сиз Мусадынъ китабында, куьйген коьгемлик акындагы боьликте Алла ога „Мен Ибрагимнинъ, Исхактынъ, Якуптынъ Алласыман“ дегенин окымагансызба? 
MRK.12.27	Алла оьлгенлердинъ тувыл, тирилердинъ Алласы. Солай айтканда, сиз айлак адасасыз», – деди.
MRK.12.28	Дин аьлимлерининъ бириси олардынъ даваласувларын эситти де Исадынъ оларга яхшы явап беруьвин эслеп, Онынъ касына келди эм: «Савлай парызлардынъ ишинде кайсысы энъ маьнелиси?» – деп, сорады.
MRK.12.29	Иса ога: «Баьри парызлардынъ ишинде энъ маьнелиси – „Тынъла, Исраил, Раббий Алламыз сынъар бир Раббий“ деген парыз», – деп яваплады. 
MRK.12.30	«„Раббий Алланъды буьтин юрегинъ, янынъ, акылынъ, куьшинъ мен суьй“. Мине биринши парыз сосы болады. 
MRK.12.31	Экинши парыз – „Ювыгынъды оьзинъди суьйгендей суьй“. Булардан маьнели баска парыз йок».
MRK.12.32	Дин аьлими: «Яхшы айттынъ, Устаз! Тек бир Алла бар, Оннан баска танъири йок деп, акыйкатлай айттынъ, – деди. – 
MRK.12.33	Оны буьтин юрегинъ, зегенинъ, янынъ, куьшинъ мен суьюв эм ювыгынъды оьзинъди суьйгендей суьюв савлай куьйдирилген курманлардан эм баска курманлардан да маьнели». 
MRK.12.34	Иса, онынъ акыллы явап бергенин коьрип: «Сен Алла Патшалыгыннан эрек тувылсынъ», – деди.
MRK.12.34	Соннан сонъ бир аьдем де Ога сорав бермеге йигери батпады.
MRK.12.35	Иса Алла уьйининъ каралдысында уьйретуьв исин юргисте келип: «Неге дин аьлимлери Масихти Дауттынъ Улы деп айтадылар?» – деп сорады. 
MRK.12.36	«Даут оьзи, Кие Рух пан коьнъилленип: „Раббий меним Бийиме: Мен душпанларынъды аягынънынъ астына салганга дейим онъ ягымда олтыр, деп айткан“, – деди. 
MRK.12.37	Даут оьзи Оны „Бий“ деп атайтаган болса, Ол Дауттынъ Улы калай болар?»
MRK.12.37	Коьлем халк Оны бек суьйип тынълады.
MRK.12.38	Иса Оьзининъ уьйретуьвинде оларга: «Дин аьлимлериннен сакланынъыз. Олар узын кийимлер кийип юрмеге, майданларда салам алмага, 
MRK.12.39	Синагогларда энъ йогары орынларда эм тойларда тоьрде олтырмага суьедилер. 
MRK.12.40	Тул хатынлардынъ уьйлерин оьзлерине байырлап, коьзбайлавышка узын дувалар окыйдылар. Ондайлар катырак шуьшлерине еткерилееклер», – деди.
MRK.12.41	Иса Алла уьйине садака йыйылатаган ердинъ карсысында олтырып, халктынъ сонда акша салувын карап турды. Коьплеген байлар коьп те сала эдилер. 
MRK.12.42	Сонда бир ярлы тул хатын келип, эки увак бакыр акша
MRK.12.43	Иса сокталарын шакырып, оларга: «Сизге дурысын айтаман: бу ярлы тул хатын садака йыйылатаган ерге салувшылардынъ баьрисиннен де коьбирек салды. 
MRK.12.44	Неге десе баьриси де оьзлериннинъ артыклыгыннан салдылар, а бу хатын, колайсыз болса да, буьтин барлыгын, яшав уьшин керек болган аьр затын берди», – деди.
MRK.13.1	Иса Алла уьйининъ каралдысыннан шыкканда, Онынъ сокталарынынъ бириси: «Устаз! Карашы кайдай таслар! Кайдай курылыслар!» – деди.
MRK.13.2	Иса ога: «Бу уьйкен курылысларды коьресизбе? Мунда тас уьстинде тас та калмаяк, баьриси де шашылаяк», – деп, яваплады.
MRK.13.3	Ол Зейтун тавынынъ бавырында, Алла уьйининъ карсысында олтырган заманда, Онынъ касына ялгыз Петер, Якуп, Яхъя эм Эндрей келип: 
MRK.13.4	«Бизге айттага, бу затлар кашан болаяк эм булардынъ баьри болаяклары кайдай нышан ман белгиленеек?» – деп, сорадылар.
MRK.13.5	Иса явапка айтып баслады: «Сак болынъыз, ким де болсын бирев сизди адастырмасын. 
MRK.13.6	Коьплер Меним атым ман: „Масих менмен“ деп келееклер эм коьплерди адастыраяклар. 
MRK.13.7	Согыслардынъ давысларын, согыслардынъ хабарларын эситсенъиз, коркпанъыз, неге десе бу затлар болмага керек, тек бу аьли де заманнынъ ахыры тувыл. 
MRK.13.8	Миллет – миллетке, патшалык – патшалыкка коьтерилеек, туьрли ерлерде ер сенъкилдевлер болаяк, ашлыклар болаяк. Булар азаплардынъ биринши белгилери.
MRK.13.9	Сиз сак болынъыз! Сизди оькимге берерлер, синагогларда да тоьбелерлер, Мени уьшин тоьрелердинъ эм патшалардынъ алдына аькетерлер эм сиз оларга шаат боларсыз. 
MRK.13.10	Энъ алды ман баьри де миллетлерге Ийги Хабар яйылмага керек. 
MRK.13.11	Олар сизди оькимге тапшырган вакытта, неди айтармыз деп, куьнибурын кыйналманъыз. Сизге сол саьатте не айтпага берилсе, соны айтарсыз. Неге десе айтаяк сиз тувыл, а Кие Рух болаяк. 
MRK.13.12	Кардашы кардашын, атасы оьз баласын оьлимге тапшыраяк эм балалар ата-аналарына карсы турып, оларды оьлтиртееклер.
MRK.13.13	Меним атым уьшин сизди баьриси де коьрип болмаяклар. Ама ким сонъына дейим шыдаса, сол куткарылаяк.
MRK.13.14	Аьлеклик аькелеек шийкендирген заттынъ тийисли болмаган ерде турганын коьргенинъизде – окувшы анъласын! – сол вакытта Юдеядагылар тавларга кашсынлар. 
MRK.13.15	Ким уьйининъ тоьбесинде болса, оннан бир зат алар уьшин тоьменге туьсип, уьйине кирмесин. 
MRK.13.16	Ким кырда болса, абасын алар уьшин кери кайтпасын. 
MRK.13.17	Сол куьнлерде авыраяклы хатынлар ман бала эмгисткен аналарга бек кыйын болаяк. 
MRK.13.18	Бу зат кыста болмасын деп, дува этинъиз. 
MRK.13.19	Неге десе сол куьнлерде Алла яраткан дуныядынъ басына соьлеге дейим болмаган, муннан сонъ да болмаяк кайгы туьсеек. 
MRK.13.20	Раббий сол куьнлерди кыскартпаган болса, бир аьдем де куткарылмас эди. Ама Ол сайланганлар, Оьзи сайлаганлар уьшин сол куьнлерди кыскарткан. 
MRK.13.21	Сол вакытта ким болса да, сизге: „Масих мине мунда!“ яде „Масих онда!“ десе, ынанманъыз. 
MRK.13.22	Неге десе ялган масихлер эм ялган пайхамбарлар шыгаяклар. Амал болса, сайланганларды да адастырув уьшин туьрли нышанлар коьрсетип, аьжейип ислер этееклер. 
MRK.13.23	Сак болынъыз! Мен сизге баьрисин де алдыдан айттым.
MRK.13.24	Ама сол куьнлерде, сол кайгыдан сонъ куьн каранъаланаяк эм ай оьзининъ ярыклыгын бермеек. 
MRK.13.25	Юлдызлар коьктен туьсееклер, коьктеги куьшлер шайкалаяклар. 
MRK.13.26	Сол вакытта уллы куьдирети эм данъкы ман булытларда келеятырган Аьдем Улын коьрееклер. 
MRK.13.27	Сол вакытта Ол маьлеклерин йибереек те, Оьзининъ сайлаганларын дуныядынъ доьрт ягыннан, ердинъ шетиннен коьктинъ шетине дейим йыяяк.
MRK.13.28	Ынжыр теректен дерис алынъыз: онынъ бутаклары юмсайып, япыраклар йибергенде, энди яз ювыклаганын билесиз. 
MRK.13.29	Соьйтип, сиз де бу затлардынъ болатаганларын коьргенде, (сол заман) ювыкта, эсик алдында экенин билинъиз. 
MRK.13.30	Сизге дурысын айтаман: бу несил йогалып кетпей, бу затлардынъ баьриси болаяк. 
MRK.13.31	Коьк пен ер йогалып кетерлер, тек Меним соьзлерим йогалмаслар.
MRK.13.32	Сол куьннинъ яде саьаттинъ акында бирев де билмейди, не коьктеги маьлеклер, не Улы, тек Ата биледи. 
MRK.13.33	Сак болынъыз, уйкламанъыз, [дува этинъиз,] неге десе сол заманнынъ кашан келеегин билмейсиз. 
MRK.13.34	Сол заман юртын калдырып, кулларына эркинлик, аьр бирине оьзининъ исин берип, капы саклавшыга да уйкламай сак болмага буйырып, йолга шыккан аьдемнинъ аьлине усаяк. 
MRK.13.35	Сонынъ уьшин сак болынъыз, уйкламанъыз, неге десе юрт иеси кайсы заманда да – кеште яде туьн ортасында, коразлар шакырганда яде эртенъликтеме келеегин билмейсиз. 
MRK.13.36	Ол анъламастан келип, сизди уйклап яткан аьлде таппасын. 
MRK.13.37	Сизге айтканымды баьри де аьдемлерге айтаман: сак болынъыз!»
MRK.14.1	Эки куьннен Пасха
MRK.14.2	Ама: «Бу зат байрам куьнлеринде болмасын, халк козгалмага болаяк», – дедилер.
MRK.14.3	Иса Бетхинийде авыр тери маразлы болган Шимоннынъ уьйинде сыпырадынъ янында янтайган заманда, бир хатын ак мермер савыт пан бек баалы, таза нардтан
MRK.14.4	Кайбиревлер, ашувланып, бири бирине: «Неден керек бу ийисли майды зыраф этпеге? 
MRK.14.5	Оны уьш юз динарга сатып, акшасын ярлыларга уьлестирмеге болаяк эди», – дедилер.
MRK.14.6	Ама Иса: «Бу хатынга тийменъиз, неге оны юншытасынъыз? Ол Мага огырлы ис иследи. 
MRK.14.7	Ярлылар аьр заман да сиз бен бирге болаяклар эм суьйген заманынъызда оларга яхшылык этпеге боласынъыз, а Мен сиз бен аьр заман да болмаякпан. 
MRK.14.8	Хатын колыннан келгенин этти: ол Меним кевдемди, оьлеектен алдын майлап, коьмуьвге аьзирледи. 
MRK.14.9	Сизге дурысын айтаман: Ийги Хабар дуныядынъ кайсы ерине яйылса, сонда бу хатыннынъ не эткени де айтылар, оьзи де эске туьсирилер», – деди.
MRK.14.10	Юда Искариот – он экидинъ бири – Исады сатар уьшин бас дин куллыкшыларына барды. 
MRK.14.11	Олар Юдады тынълап, кувандылар, ога акша тоьлемеге соьз бердилер. Юда, Исады олардынъ колларына бермеге онъайлы кезуьв излеп баслады.
MRK.14.12	Пасха козысы шалынатаган ашыткысыз оьтпек байрамынынъ биринши куьнинде сокталары Исага: «Пасха асын каерде ашамага суьесинъ? Биз барып аьзирлейик», – дедилер.
MRK.14.13	Иса эки соктасын шакырып: «Шахарга йолланынъыз, онда сизге шоьлмек пен сув алып бараятырган киси расар. Онынъ артыннан барынъыз. 
MRK.14.14	Ол кирген уьйдинъ иесине: „Устаз, Мен сокталарым ман бирге Пасха асын ашаяк боьлмем кайдады? – дейди“, – деп айтынъыз. 
MRK.14.15	Ол сизге йогарыда ярастырылган, уьйкен, аьзир боьлмеди коьрсетер, сонда бизге асты аьзирленъиз», – деди.
MRK.14.16	Исадынъ сокталары кетип шахарга еттилер, баьри затты да Иса айтканша табып, Пасха асын аьзирледилер. 
MRK.14.17	Кеш болганда, Иса он эки соктасы ман бирге сонда келди. 
MRK.14.18	Олар янтайып, ашап баслаганда Иса: «Сизге дурысын айтаман: Мени мен бирге ашайтаганлардынъ ишинде биринъиз Мени сатаяк», – деди.
MRK.14.19	Сокталары кайгырып, бирисининъ артыннан бириси Оннан: «Мен боларманма, Раббий?» – деп, сорап басладылар.
MRK.14.20	Иса явапка: «Сатаяк – оьтпегин Мени мен тепшекке малатаган он экидинъ бириси. 
MRK.14.21	Аьдем Улы, Онынъ акында язылгандай, сол йол ман барады, ама Аьдем Улын сатаяк аьдемге кайгы! Ол аьдем тувмаган болса яхшы болар эди», – деди.
MRK.14.22	Олар ас ишип турган заманда Иса оьтпекти алды, шуькир айтып, сындырды да, оларга берип: «Алынъыз, бу – Меним шаркым», – деди. 
MRK.14.23	Сонъ Ол колына аякты алды, шуькир дувасын этип, оны сокталарына берди, баьриси де соннан иштилер. 
MRK.14.24	Ол сокталарына: «Бу – Меним каным, ол коьплер уьшин тоьгилип, янъы антласувды беркитер. 
MRK.14.25	Сизге дурысын айтаман: Мен Алла Патшалыгында янъысын ишер куьниме дейим, юзим емисиннен этилгенди энди ишеек тувылман», – деди.
MRK.14.26	Зикир шалганнан сонъ, олар Зейтун тавына йолландылар.
MRK.14.27	Иса сокталарына: «Бу туьнде Меннен себеп баьринъиз де йолдан таяяк, неге десе, „Койшыды оьлтирермен эм койлар таралар“ деп, язылган. 
MRK.14.28	Тирилгеннен сонъ, Мен сизден алдын Галилеяга барарман», – деди.
MRK.14.29	Петер Ога: «Баьриси йолдан тайса да, Мен таймам», – деди.
MRK.14.30	Иса ога: «Сага дурысын айтаман: энди бу кеше кораз эки кере кышкырганша, Меннен уьш кере басынъды алаяксынъ», – деди.
MRK.14.31	Ама ол яне бегитип: «Мага Сени мен оьлмеге керекли болса да, Сеннен эш басымды алмам», – деди. Калганлар да солай айттылар.
MRK.14.32	Гатшеманей деген ерге келдилер. Иса сокталарына: «Мен дува эткенше, булайда олтырып турынъыз», – деди.
MRK.14.33	Оьзи мен бирге Петерди, Якупты эм Яхъяды алып кетти. Мунда Ол саьспеклеп, коьнъили бузылып баслады. 
MRK.14.34	Иса сокталарына: «Яным бек кайгылы, бу кайгы Мени оьлтиреди. Мунда калынъыз эм уяв болып турынъыз», – деди.
MRK.14.35	Бираз алдыга кетип, ерге йыгылды, амал болса, бу азап саьати Меннен кетсин деп, дува этип баслады: 
MRK.14.36	«Абба
MRK.14.37	Кайтып келгенде, сокталарынынъ уйклап турганларын коьрди эм Петерге: «Шимон! Сен уйклайсынъма? Бир саьат уйкламай туралмадынъма? 
MRK.14.38	Азгырувга туьспес уьшин уяв болып турынъыз, дува этинъиз. Ян кайратлы, ден карувсыз», – деди.
MRK.14.39	Ол тагы кетип, сол ок баягы соьзлерди айтып, дува этти. 
