MAT.1.1	Yesu Kristo enye Abraham kple Fia David ƒe dzidzimevi, eƒe dzidzime lae nye esi.
LUK.9.42	Esi ŋutsuvi gbɔna ɖe Yesu gbɔ la, gbɔgbɔ vɔ̃ la gaxlãe ɖe anyigba sesĩe eye wònyamae ŋutɔ. Ke Yesu ɖe gbe na gbɔgbɔ vɔ̃a be wòado go le ɖevia me eye wòdo le eme enumake; ale Yesu da gbe le ɖevia ŋu hetsɔe na fofoa.
LUK.9.43	Ame sia ame ƒe mo wɔ yaa le ale si Yesu ɖe Mawu ƒe ŋusẽ fiae la ta.
LUK.9.43	Esi ameha la nɔ nu ƒom le nu wɔnuku siwo katã wɔm wònɔ ŋu la, Yesu trɔ ɖe nusrɔ̃lawo gbɔ, gblɔ na wo be,
LUK.9.44	“Miɖo to afii eye mialé nya si gblɔ ge mele na mi la ɖe tame. Wole nye Mesia la de ge asi.” 
LUK.9.45	Gake nusrɔ̃lawo mese nya si wògblɔ la gɔme o, elabena wotsyɔ nu woƒe susuwo dzi, gawu la wovɔ̃ be yewoabia egɔme ase.
LUK.9.46	Azɔ ʋiʋli aɖe va ɖo nusrɔ̃lawo dome le ame si anye gã wu. 
LUK.9.47	Ke Yesu nya nya si ʋlim nusrɔ̃lawo nɔ eya ta ekɔ ɖevi sue aɖe da ɖe eƒe axadzi. 
LUK.9.48	Eye wògblɔ na wo be, “Ame si akpɔ ɖevi sue abe esia ƒomevi ene dzi la, ekema nye dzie ma wòkpɔ. Ke ame si le dzinye kpɔm la, Mawu si dɔm ɖa lae ma dzi kpɔm wòle. Ale si miekpɔa ame bubuwo dzii lae woakpɔ hafi anya miaƒe gãnyenye.”
LUK.9.49	Yesu ƒe nusrɔ̃la Yohanes va egbɔ va gblɔ nɛ be, “Aƒetɔ, míekpɔ ame aɖe wònɔ gbɔgbɔ vɔ̃wo nyãm le wò ŋkɔ me ale míegbe nɛ be megawɔe o elabena menye mía dometɔ ɖekae wònye o.”
LUK.9.50	Yesu ɖo eŋu nɛ be, “Mele be miawɔ nenema o, elabena ame si metsi tre ɖe mia ŋu o la le mia dzi.”
LUK.9.51	Esi Yesu ƒe ɣeyiɣi si wòle be wòatrɔ ayi dziƒo nɔ aƒe tum la, eɖo tame kplikpaa ɖo ta Yerusalem, 
LUK.9.52	eye le mɔa dzi la, edɔ amewo ɖo ɖe Samaria kɔƒe aɖe me be woaɖadi xɔ da ɖi na yeƒe vava. 
LUK.9.53	Gake kɔƒea me tɔwo gbe be yewomana xɔ amedɔdɔawo o, esi wònye Yerusalem woɖo yina ta.
LUK.9.54	Esi wova gblɔ nyaa na Yesu la, Yakobo kple Yohanes gblɔ na Yesu be, “Aƒetɔ, míaɖe gbe na dzo be wòatso dziƒo ava fĩa wo oa?” 
LUK.9.55	Gake Yesu trɔ ɖe wo gbɔ eye wògbe nya na wo gblɔ be, “Alo ɖe mienya gbɔgbɔ si tɔgbi tɔ mienye oa maha? Elabena Amegbetɔvi la meva be yeatsrɔ̃ amewo o, ke boŋ bena yeaɖe wo.” 
LUK.9.56	Ale wodzo yi kɔƒe bubu me.
LUK.9.57	Esi wonɔ mɔa dzi nɔ yiyim la, ame aɖe va tu Yesu gblɔ nɛ bena, “Medi be makplɔ wò ɖo ayi afi sia afi si nayi.”
LUK.9.58	Yesu ɖo eŋu nɛ be, “Nyae be, afi si maziɔ nye ta ɖo teti hã mele asinye o. Abeiwo la do le wo si wodɔa eme, xeviwo hã atɔ le wo si wodɔa eme, gake nye ame si nye Mesia la, dɔƒe aɖeke kura mele asinye le xexeame o.” 
LUK.9.59	Egblɔ na ame bubu be, “Dze yonyeme!” Ke ŋutsu la ɖo eŋu be, “Aƒetɔ, na mayi aɖeɖi Fofonye gbã hafi.” 
LUK.9.60	Yesu ɖo eŋu gblɔ nɛ bena, “Na ame siwo nye ame kukuwo la naɖi woƒe ame kukuwo, ke wò ya yi naɖe gbeƒã mawufiaɖuƒe la na amewo.”
LUK.9.61	Ame bubu aɖe si hã wòyɔ la gblɔ nɛ be, “Aƒetɔ, madze yowòme gake na mayi aɖakla nye ƒometɔwo gbã hafi mava.” 
LUK.9.62	Yesu gblɔ nɛ be, “Ame si ɖea eƒe susu ɖa le dɔ si meɖo nɛ ŋu la, medze na mawufiaɖuƒe la me yiyi o.”
LUK.10.1	Azɔ Aƒetɔ Yesu tia nusrɔ̃la bubu blaadre-vɔ-eve eye wòdɔ wo eve, eve ɖo ɖe du kple kɔƒe siwo me eya ŋutɔ ɖo be yeava yi emegbe la me. 
LUK.10.2	Egblɔ na wo be, “Nuŋeŋe la sɔ gbɔ, gake dɔwɔlawo mede ha o, eya ta miɖe kuku na nuŋeŋe la ƒe Aƒetɔ bena, woadɔ dɔwɔlawo aɖo ɖe eƒe nuŋeŋe la me. 
LUK.10.3	Azɔ miheyi eye miɖo ŋku edzi be miele abe alẽ siwo wodɔ ɖo ɖe amegãxiwo dome ene. 
LUK.10.4	Migatsɔ ga aɖeke ɖe asi o, migatsɔ kotoku loo alo afɔkpa dodo bubu o. Migagblẽ ɣeyiɣi le mɔ dzi anɔ gbe dom na amewo o!
LUK.10.5	“Ne miege ɖe aƒe aɖe me la, miyra emetɔwo 
LUK.10.6	nenye be wodze na yayra sia xɔxɔ la ekema anɔ wo dzi ɖaa, ke ne womedze na yayra la o la, agatrɔ va mia gbɔ.
LUK.10.7	“Nenye be mieɖo kɔƒe aɖe me la miganɔ tsatsam tso aƒe me yi aƒe me o, midze aƒe ɖeka ko me, eye miaɖu nu alo ano nu sia nu si wotsɔ ɖo mia kɔme la numaƒomaƒoe. Nenye be wona nane mi la, migagbe exɔxɔ o elabena dɔwɔla ɖe sia ɖe dze na eƒe fetu.
LUK.10.8	“Nenye be miege ɖe du aɖe me eye dua metɔwo xɔ mi nyuie la, ekema miɖu nu sia nu si wotsɔ ɖo miaƒe akɔme. 
LUK.10.9	Mida gbe le dɔnɔ siwo le afi ma la ŋu eye miɖe gbeƒã na wo bena, ‘Mawufiaɖuƒe la va ɖo mia dome vɔ azɔ.’
LUK.10.10	“Ne womexɔ mi le du aɖe me o la, mige ɖe dua ƒe ablɔwo dzi ne miagblɔ be, 
LUK.10.11	‘Míeʋuʋu miaƒe du ƒe ke si lé ɖe afɔwo ŋuti na mí ɖi abe ɖaseɖiɖi ene. Ke minya nyuie be: Mawufiaɖuƒe la gogo.’ 
LUK.10.12	Mele gbe tem ɖe edzi na mi be nuwo anɔ bɔbɔe na Sodom wu du sia le Ʋɔnudrɔ̃gbe la.
LUK.10.13	“Baa na wò Korazin! Baba na wò Betsaida! Elabena ne Tiro kple Sidɔn duwo mee mewɔ nukunu siwo mewɔ le mia dome le la, anye ne ameawo trɔ dzime xoxoxo, ata akpanyakotoku abɔbɔ nɔ afi me. 
LUK.10.14	Le nyateƒe me, tohehe si woana Tiro kple Sidɔn la anɔ wodzoe wu esi woana mi le ʋɔnudrɔ̃gbea. 
LUK.10.15	Mi Kapernaumtɔwo ya ɖe, ɖe wole mia kɔ ge ɖe dzi ayi dziƒoea? Gbeɖe, woaɖiɖi mi ɖe dzomavɔ la me.”
LUK.10.16	Egblɔ na nusrɔ̃lawo be, “Ame siwo xɔ mi la nyee woxɔ. Ame siwo gbe mi la nyee wogbe eye ame siwo gbem la gbe Mawu ame si dɔm ɖa la.”
LUK.10.17	Esi nusrɔ̃la blaadre-vɔ-eveawo trɔ gbɔ la, wogblɔ nɛ dzidzɔtɔe be, “Ne míeyɔ wò ŋkɔ ko la gbɔgbɔ vɔ̃wo gɔ̃ hã ɖoa to mí.”
LUK.10.18	Yesu ɖo eŋu be, “Nyateƒee, nye ŋutɔ mekpɔ Abosam wòge tso dziƒo abe dzikedzo ene! 
LUK.10.19	Mena ŋusẽ mi be miaɖu Futɔ la ƒe ŋusẽwo katã dzi, eye be miazɔ le dawo kple ahɔ̃wo me anya avuzi le wo dzi. Ke nuvevi aɖeke mawɔ mi o. 
LUK.10.20	Gake migakpɔ dzidzɔ bena gbɔgbɔ vɔ̃wo ɖo to mi o. Ke boŋ midzɔ dzi be woŋlɔ miaƒe ŋkɔwo ɖe dziƒonɔlawo dome.”
LUK.10.21	Gbɔgbɔ Kɔkɔe yɔ eƒe dzime fũ kple dzidzɔ blibo eye wògblɔ be, “Mekafu wò, O Fofo, Dzi kple anyigba ƒe Aƒetɔ, be nèɣla nu siawo ɖa tso xexe sia me nunyalagãwo gbɔ eye neɖee fia ame siwo xɔ dziwò se abe ɖeviwo ene. Nyateƒe, Fofo akpe na wò elabena aleae nèdi be wòanɔ. 
LUK.10.22	Nyee nye fofonye ƒe Amedɔdɔ le nu sia nu me. Ame aɖeke menya Vi la o, negbe Fofo la ko, eye ame aɖeke hã menya Fofo la o, negbe Vi la kple ame siwo wòlɔ̃ ɖe eɖokui fia la ko.”
LUK.10.23	Azɔ etrɔ ɖe nusrɔ̃lawo wuieveawo ŋu eye wògblɔ na wo dzaa be, “Wona mɔnukpɔkpɔ gã aɖe mi be miekpɔ nu siwo miekpɔ la. 
LUK.10.24	Nyagblɔɖilawo kple fia siwo nɔ anyi tsã la di vevie be yewoanɔ anyi le ŋkeke siawo me eye yewoakpɔ eye yewoase nu siwo miekpɔ kple nu siwo miese la hafi!”
LUK.10.25	Gbe ɖeka agbalẽfiala aɖe si nya Mose ƒe seawo nyuie ŋutɔ la va be yeado Yesu ƒe nyateƒetɔnyenye kpɔ. Ebiae be, “Nu kae wòle be ame nawɔ be agbe mavɔ nasu esi?”
LUK.10.26	Yesu ɖo eŋu nɛ be, “Ale kee Mose ƒe sea gblɔ tso nu sia ŋuti?”
LUK.10.27	Agbalẽfiala la ɖo eŋu be, “Mose ƒe se la gblɔ be, ‘Lɔ̃ Aƒetɔ wò Mawu la kple wò dzi kple luʋɔ blibo la, kpakple wò susu kple wò ŋusẽ katã hã, eye nàlɔ̃ hawòvi abe wò ŋutɔ ɖokuiwò ene.’ ”
LUK.10.28	Yesu gblɔ nɛ be, “Èɖo eŋu nyuie ŋutɔ, heyi eye nàwɔ esiawo katã, ekema agbe mavɔ la asu asiwò!”
LUK.10.29	Ŋutsu sia di be yeatso afia na ye ɖokui elabena eya ŋutɔ melɔ̃a ame sia ame o, eya ta wòbia Yesu be, “Ame kae nye hanyevi?”
LUK.10.30	Yesu ɖo biabia sia ŋu nɛ kple lododo sia be, “Ŋutsu aɖe si nɔ mɔ zɔm tso Yerusalem yina ɖe Yeriko la va ge ɖe adzodalawo sime. Adzodala siawo ƒoe nyuie eye woɖe ga kple eƒe awuwo le eŋu hegblẽe ɖe mɔa to wònɔ kudɔ ƒom.”
LUK.10.31	“Dzɔgbe nyuietɔe la, Yudatɔwo ƒe osɔfo aɖe va to afi ma yina. Esi wòkpɔ amea le mɔa to la, edze to eŋu yi ɖato mɔa ƒe akpa evelia eye wòdzo le egbɔ. 
LUK.10.32	Levitɔ aɖe si nye ame siwo naa kpekpeɖenu le gbedoxɔ me la dometɔ aɖe hã va kpɔ amea wòmlɔ mɔa to gake eya hã tso eme dzo.”
LUK.10.33	“Gake Samariatɔ, ame siwo womebuna ɖe naneke me o hã va yina eye esi wòkpɔ amea la, eƒe nu wɔ nublanui nɛ ŋutɔ. 
LUK.10.34	Etɔ, dze klo ɖe egbɔ eye wòklɔ eƒe abiawo hetsɔ atike ɖo wo me. Emegbe ekɔe da ɖe eƒe tedzi dzi eye wòkplɔe ɖɔɖɔɖɔ va ɖo amedzrodzeƒe aɖe eye wònɔ egbɔ zã bliboa. 
LUK.10.35	Esi ŋu ke la, Samariatɔ la tsɔ sidi akpe blaeve na amedzrodzeƒe dzikpɔla be wòatsɔ akpɔ amea dzii. Egblɔ kpe ɖe eŋu be, ‘Nenye be nu si miegblẽ ɖe eta sɔ gbɔ wu ga home si metsɔ na mi la, mava xe fea mamlea nenye be megatrɔ va afii’ ” Yesu bia agbalẽfiala la azɔ be,
LUK.10.36	“Le ame etɔ̃ siawo dome ɖe, kae nèbu be enye havi na ame si dze adzodalawo sime?”
LUK.10.37	Ŋutsu la ɖo eŋu nɛ be, “Ame si kpɔ nublanui nɛ lae nye ehavi.” Yesu gblɔ nɛ be, “Eɖo eŋu nyuie, heyi eye wò hã nawɔ nenema.”
LUK.10.38	Yesu kple eƒe nusrɔ̃lawo nɔ woƒe mɔzɔzɔa dzi ɖo ta Yerusalem eye wova ɖo kɔƒe aɖe me. Nyɔnu aɖe si woyɔna be Marta la xɔ woɖe eƒeme. 
LUK.10.39	Marta nɔvi Maria va nɔ Yesu ƒe afɔnu le anyigba nɔ eƒe nyawo sem.
LUK.10.40	Ke Marta ya tsi dzodzodzoe nɔ nu ɖam na Yesu. Sẽ la, Marta te ɖe Yesu ŋu eye wògblɔ nɛ be, “Aƒetɔ mèkpɔe be medze be nɔvinye nanɔ anyi ɖe afi sia eye nye ɖeka manɔ dɔawo katã wɔm oa? Gblɔ nɛ be neva kpe ɖe ŋunye.”
LUK.10.41	Gake Yesu ɖo eŋu nɛ be, “O, Marta, Marta, èle agbagba dzem le fu ɖem na ɖokuiwò le nu geɖewo ŋuti. 
LUK.10.42	Ke nu ɖeka koe le vevie eyae nye nu si Maria tia, eya womele exɔ ge le esi o.”
LUK.11.1	Gbe ɖeka Yesu nɔ gbe dom ɖa le teƒe aɖe. Esi wòwu nu la, eƒe nusrɔ̃lawo dometɔ ɖeka te ɖe eŋu eye wògblɔ nɛ be. “Aƒetɔ, fia gbedodoɖa aɖe mí abe ale si Yohanes fia eƒe nusrɔ̃lawo ene.”
LUK.11.2	Gbedodoɖa si Yesu fia wo lae nye esi. “Mia Fofo, woade bubu wò ŋkɔ kɔkɔe la ŋu ɖaa, na wò Fiaɖuƒea nava kaba. 
LUK.11.3	Na nuɖuɖu mí gbe sia gbe, 
LUK.11.4	tsɔ mia ƒe nu vɔ̃wo ke mí le esi mietsɔ ame siwo da vo ɖe mía ŋuti la tɔwo kewo ta, eye megana be míage ɖe tetekpɔ me o.”
LUK.11.5	Tete egblɔ na wo be, “Le kpɔɖeŋu me xɔ̃ aɖe le mia dometɔ ɖeka si, eye woyi xɔ̃a gbɔ zatitina hegblɔ nɛ be, ‘Xɔ̃nye do abolo etɔ̃ nam, 
LUK.11.6	elabena xɔ̃nye aɖe si le mɔ zɔm la va dzem eye naneke meli matsɔ nɛ woaɖu o.’
LUK.11.7	“Ekema ame si le xɔme la aɖo ŋu be, ‘Megaɖe fu nam o. Míedo ʋɔa xoxo eye nye kple vinyewo míemlɔ anyi. Nyemate ŋu afɔ ava na naneke wò o.’
LUK.11.8	“Mele egblɔm na mi be, nenye be xɔ̃wòa mefɔ ʋu ʋɔa o togbɔ be xɔ̃wò wònye hã la, ne eƒo ʋɔa atraɖii la, afɔ ava tsɔ nu sia nu si dim nèle la na wo elabena èku kutri bia nu si dim nèle la atraɖii. 
LUK.11.9	Alea tututue wònɔna le gbedodoɖa hã me. Ne miebia nu la, woana mi, ne miedi nu la miakpɔe, eye ne mieƒo ʋɔa la woaʋui na mi ɣesiaɣi. 
LUK.11.10	Ame sia ame si bia nu la, xɔa nu si wòbia, ame siwo dia nu la kpɔnɛ eye woaʋu ʋɔa na ame sia ame si aƒoe la.”
LUK.11.11	“Mi ame siwo nye vi fofowo ɖe, nenye be viwo bia abolo wò ɖe, kpee nàtsɔ nɛa? Ne wòbia tɔmelã ɖe, dalãe nàtsɔ nɛa? 
LUK.11.12	Alo ne ebia koklozi ɖe, ahɔ̃e nàtsɔ nɛa? Gbeɖe miewɔa esia o!
LUK.11.13	“Azɔ nenye be mi ame siwo nye nu vɔ̃ wɔlawo mienaa nu si mia viwo bia mi wo la, ɖee mienya be mia Fofo si le dziƒo la anyo dɔme, ana Gbɔgbɔ Kɔkɔe la ame siwo biae la oa?”
LUK.11.14	Gbe ɖeka Yesu nya gbɔgbɔ vɔ̃ do goe le tokunɔ aɖe me eye amea de asi nuƒoƒo me enumake. Ame siwo nɔ afi ma la kpɔ dzidzɔ hetso aseye le nukunu sia ta. 
LUK.11.15	Gake ame aɖewo nɔ ameawo dome siwo gblɔ be, “Mewɔ nuku be ame sia le gbɔgbɔ vɔ̃wo nyam le amewo me o, elabena exɔ ŋusẽ tso Satana, si nye gbɔgbɔ vɔ̃wo ƒe fia la gbɔ!” 
LUK.11.16	Ame bubuwo di tso esi be wòana dzesi aɖewo nadze le yame si afia be eyae nye Mesia la vavã.
LUK.11.17	Yesu dze si nu si nɔ ame siawo katã ƒe susu me eya ta egblɔ be, “Ne dukɔ aɖe me tɔwo ma ɖe wo nɔewo ŋu hele aʋa wɔm la dukɔa agba, nenema ke nenye be aƒe aɖe me yɔ fũ kple dzre la mate ŋu anɔ te o.” 
LUK.11.18	Nenye be enye nyateƒe abe ale si míegblɔe be Satanae le dɔ wɔm le menye be manya eƒe gbɔgbɔ vɔ̃wo ɖa la ale ke eƒe fiaɖuƒe anɔ tee? 
LUK.11.19	Eye nenye be Satana ƒe ŋusẽe le menye ɖe, nu kae le miawo ŋutɔ miaƒe amewo me? Woawo hã tea ŋu nya gbɔgbɔ vɔ̃wo ɖa? Alo miebu be esia fia kɔtee be Satana ƒe gbɔgbɔe le wo mea? Mibia wo se kpɔ be miaƒe nya la nye nyateƒe mahã? 
LUK.11.20	Azɔ ne mele gbɔgbɔ vɔ̃wo nyam kple Mawu ƒe ŋusẽ la, ekema afia be mawufiaɖuƒe la va ɖo mia dome.
LUK.11.21	Nenye be ŋusẽtɔ aɖe kpla eƒe aʋawɔnuwo eye wole eƒe fiasã ŋu dzɔm la eƒe nuwo anɔ dedie. 
LUK.11.22	Gake ne ame si sẽ ŋu wui va dze edzi eye woxɔ ŋusẽ le esi la axɔ eƒe aʋawɔnu siwo ŋu wòle ŋu ɖom ɖa le esi eye wòama eƒe nunɔamesiwo.
LUK.11.23	“Ame si mele dzinye o la tsi tre ɖe ŋunye, eye ne ame aɖe mele kpekpem ɖe ŋunye o la ele nye dɔ me gblẽm nam.”
LUK.11.24	“Nenye be wonya gbɔgbɔ vɔ̃ le ame aɖe me la, gbɔgbɔ vɔ̃a nɔa tsatsam nɔa sitsoƒe dim le dzogbe kple teƒe teƒewo. Nenye be mekpɔ teƒe aɖeke o la, etrɔna yina ɖe ame si me wòdo go le la me. 
LUK.11.25	Ne wòkpɔ be wowɔ yeƒe nɔƒe xoxo la wòle dzadzɛ la, 
LUK.11.26	eyina ɖayɔa gbɔgbɔ vɔ̃ adre bubu siwo vɔ̃ɖi wui la wogena ɖe amea me. Esia wɔnɛ be ame sia ƒe nɔnɔme gblẽna ɖe edzi wu tsã.”
LUK.11.27	Esi Yesu nɔ nya siawo gblɔm la, nyɔnu aɖe si nɔ ameawo dome la do ɣli be, “Mawu neyra dawo ƒodo si me nèmlɔ kple no si nèno.”
LUK.11.28	Yesu ɖo eŋu nɛ be, “Enyo gake woana geɖe wu esia ame siwo sea mawunya la eye wowɔa edzi pɛpɛpɛ.”
LUK.11.29	Esi amehawo le ƒu ƒom ɖe edzi la Yesu gblɔ be, “Esia nye dzidzime vɔ̃ɖi si le dzesi dim, gake womana dzesi aɖeke tsɔ wu Yona ƒe dzesi o. 
LUK.11.30	Elabena ale si Yona nye dzesi na Ninivetɔwoe la, nenema ke Amegbetɔvi la anye dzesi na dzidzime siae.”
LUK.11.31	“Le ʋɔnudrɔŋkekea dzi la, Nyɔnufia si tso Seba la atsi tre afia asi dzidzime sia eye wòabu fɔ wo, elabena ezɔ mɔ tso didiƒe aɖe ke va be yease Salomon ƒe nufiamenyawo. Evɔ ame si de ŋgɔ wu Salomon sãa la le afii gake ame ʋee aɖewo koe ɖoa toe.”
LUK.11.32	“Ninivetɔwo kura gɔ hã abu fɔ dukɔ sia, elabena woawo la wotrɔ dzime esime Yona va gblɔ mawunya na wo, ke ame si kɔ wu Yona boo la le afii gake dukɔ sia gbe be yewomaɖo toe o.
LUK.11.33	“Ame aɖeke mesia akaɖi tsɔnɛ ɣlana ɖe nu te o, ke boŋ etsɔnɛ dana ɖe akaɖiti dzi bena wòaklẽ na ame siwo katã le xɔa me. 
LUK.11.34	Wò ŋkue nye akaɖi na wò ŋutilã. Ne wò ŋku dzi kɔ la, wò ŋuti hã akɔ. Ke ne ŋku vɔ̃ɖi le asiwo la, mate ŋu akpɔ kekeli la o, elabena àtsi viviti me. 
LUK.11.35	Eya ta mikpɔ nyuie bena miagaxe mɔ na kekeli la o. 
LUK.11.36	Nenye be èkɔ le ɖokuiwò me eye viviti aɖeke mele mewo o la, ekema wò gota gome hã aklẽ abe akaɖi keklẽ gã aɖee wosi ɖe mewo ene.”
LUK.11.37	Esi Yesu wu nya siawo gbɔgblɔ nu la Farisitɔ aɖe kpee be wòava ɖu nu le ye gbɔ, ale wòyi ɖe eme hebɔbɔ nɔ kplɔ̃a ŋu. 
LUK.11.38	Ke esi Farisitɔ la kpɔ be Yesu meklɔ ŋui gbã hafi be yeaɖu nu o la, eƒe mo wɔ yaa.
LUK.11.39	Yesu gblɔ nɛ be, “Mi Farisitɔwo la, miewɔa nu le gota abe ɖe miedza ene evɔ miaƒe dzime ya ƒoɖi kpekpekpe ŋubiabiã kpakple tamesesẽ sɔŋ koe le mia me. 
LUK.11.40	Mi movitɔwo! Menye Mawue wɔ nu sia nu godo kple eme oa? 
LUK.11.41	Dzadzɛnyenye nyuitɔe nye esi woɖe fia to dɔmenyowɔwɔ me.
LUK.11.42	“Gake mele egblɔm na mi Farisitɔwo! Togbɔ be mieɖoa ŋku edzi tsɔna miaƒe nukpɔkpɔwo ƒe ewolia nana Mawu hã, miedrɔ̃a ʋɔnu dzɔdzɔe o eye mieŋlɔna be be Mawu ƒe lɔlɔ̃ li gɔ̃ hã. Enyo be miatsɔ miaƒe nukpɔkpɔwo ƒe ewolia aɖo Mawu ŋkume, gake mele be miaŋlɔ nu vevi siawo be o.
LUK.11.43	“Baba na mi Farisitɔwo! Elabena mielɔ̃a bubuteƒenɔnɔ le miaƒe ƒuƒoƒewo eye miedina be amewo nado gbe na yewo kple bubu tɔxɛ nenye be miezɔ to ablɔ dzi va yina. 
LUK.11.44	Le nyateƒe me la ʋunudɔdrɔ̃ sesẽ aɖe le mia lalam. Ɖeko miele abe yɔdo siwo dzi gbe vu tsyɔ ene. Amewo vatoa mia dzi eye womenya nu dziŋɔ si dzi zɔm wole o.”
LUK.11.45	Agbalẽfialawo dometɔ ɖeka si hã nɔ ameawo dome, la yɔe eye wògblɔ nɛ be, “Aƒetɔ, le nya si nègblɔ fifi laa me la, edo vlo miawo hã.”
LUK.11.46	Yesu ɖo eŋu nɛ bena, “Esia le me vavã elabena nu dziŋɔ siawo le miawo hã lalam, elabena miedina be amewo nanɔ xɔse ƒe agbe ɖe ɖoɖo aɖewo nu, evɔ miawo ŋutɔwo la, mietenɛ kpɔ be yewoawɔ ɖe ɖoɖo siawo dzi o. 
LUK.11.47	Baba na mi! Elabena ɖeko miele abe mia tɔgbui siwo wu nyagblɔɖila siwo nɔ anyi tsã va yi la ene. 
LUK.11.48	Hlɔ̃dolawo! Mieda asi ɖe nu si mia fofowo wɔ la dzi be enyo. Nenema ke ko miawo hã miawɔ.
LUK.11.49	“Nu si Mawu gblɔ tso mia ŋu la enye be, ‘Maɖo nyagblɔɖilawo kple apostolowo ɖe mi. Ke miawu ɖewo eye mianya ɖewo de gbe.’
LUK.11.50	“Woatsɔ nya ɖe mi dzidzime sia ŋu be miawoe wu Mawu ƒe nyagblɔɖilawo tso keke xexe sia me ƒe gɔmedzedze ke. 
LUK.11.51	Le nyateƒe me, woabu fɔ mi be miawoe wu ame siwo katã wowu tso Abel dzi va se ɖe Zakaria ame si wowu le vɔsamlekpui kple kɔkɔeƒe la dome la dzi. Le nyateƒe me la, woatsɔ fɔbubu sia ada ɖe mia dzi.
LUK.11.52	“Baba na mi senyalawo elabena mieɣla nyateƒe la ɖe amewo. Esi miawo ŋutɔ miegbe nu le egbɔ ta la, miexea mɔ na ame bubuwo bena womakpɔ mɔ axɔ nyateƒe la dzi ase o.”
LUK.11.53	Esi wòdo go tso afi ma la Farisitɔwo kple agbalẽfialawo tsi tre ɖe eŋu vevie, eye wole biabia vovovowo biam 
LUK.11.54	be woalée le eƒe nuƒoƒo me.
LUK.12.1	Le ɣeyiɣi siawo katã me la, ameha la dzi ɖe edzi akpeakpewo ale gbegbe be afɔɖoƒe meganɔ anyi o. Azɔ etrɔ ɖe eƒe nusrɔ̃lawo ŋu eye wògblɔ na wo be, “Mikpɔ nyuie le Farisitɔwo kple woƒe alakpanuwɔnawo ŋu. Wowɔa nu abe ame nyui ene evɔ wo vɔ̃ɖi ŋutɔ. Gake woƒe alakpanuwɔnawo ava dze go gbe ɖeka. 
LUK.12.2	Ava dze go abe ale si nuʋãnu nana be abolowɔ hona ɖe dzi hlodzoo ene. 
LUK.12.3	Nu sia nu si miegblɔ le viviti me la, woasee le kekeli me, eye nu si mietsɔ do dalĩ le miaƒe xɔgãwo me la woaɖe gbeƒãe be ame sia ame nase.
LUK.12.4	“Nɔvi lɔlɔ̃wo, migavɔ̃ na ame siwo di be yewoawu mi o. Ŋutilã la koe woate ŋu awu, ke womekpɔ ŋusẽ ɖe míaƒe luʋɔwo ya dzi o. 
LUK.12.5	Gake magblɔ ame si wòle be miavɔ̃ la na mi eyae nye Mawu ame si si ŋusẽ le be wòate ŋu awu ame atsɔe aƒu gbe ɖe dzomavɔ me.
LUK.12.6	“Ho nenie akpakpa atɔ̃ xɔna? Menye sidi ʋee aɖe koe oa? Woƒe home mede naneke kura o ɖe? Gake Mawu meŋlɔa wo dometɔ ɖeka pɛ hã be o. 
LUK.12.7	Mawu nya miaƒe taɖawo ƒe xexlẽme gɔ̃ hã. Migavɔ̃ o, elabena miexɔ asi na Mawu sã wu akpakpawo.
LUK.12.8	“Medi be mana kakaɖedzi mi be, Nye, ame si tso Dziƒo la, made bubu mia ŋu le dutoƒe le mawudɔlawo ŋkume nenye be miawo hã mieʋu menye le anyigba sia dzi abe mia xɔlɔ̃ ene. 
LUK.12.9	Ke ame si ke gbe nu le gbɔnye le amewo gbɔ la, nye hã magbe nu la eya hã gbɔ le mawudɔlawo ƒe ŋkume. 
LUK.12.10	Nenye be ame aɖe ƒo nu vɔ̃ɖi le ŋunye la ɖewohĩ woatsɔe akee, ke ame si agblɔ nya vɔ̃ɖi aɖe ɖe Gbɔgbɔ Kɔkɔe la ŋu la womatsɔe akee gbeɖe o.
LUK.12.11	“Nenye be wokplɔ mi va Yudatɔwo ƒe amegãwo kple woƒe ƒuƒoƒedzikpɔlawo ŋkume be yewoadrɔ̃ ʋɔnu mi la, migatsi dzi le nu si miagblɔ la ŋu o. 
LUK.12.12	Gbɔgbɔ Kɔkɔe la ŋutɔ ade nya si tututu miagblɔ la nu na mi ne ɣeyiɣia ɖo.”
LUK.12.13	Ame aɖe do ɣli tso ameawo dome gblɔ nɛ be, “Aƒetɔ, meɖe kuku na wò gblɔ na nɔvinyeŋutsua be wòama fofonye ƒe nuwo me atsɔ tɔnye nam?”
LUK.12.14	Yesu ɖo eŋu nɛ be, “Ŋutsu, ame kae ɖom miaƒe ʋɔnudrɔ̃lae be matso nya sia ƒomevi me? 
LUK.12.15	Kpɔ nyuie! Mègatsi dzi be yeakpɔ nu si menye tɔwò o.” 
LUK.12.16	Azɔ edo lo sia be, “Agble nyui aɖe si wɔa nuku la nɔ gatɔ aɖe si. 
LUK.12.17	Le nyateƒe me, eƒe nukuawo wɔ ale gbegbe be eƒe avawo katã yɔ fũ gba go eye megakpɔ nɔƒe na mamleawo gɔ̃ hã o. Ebu tame le nu si wòawɔ la ŋu vevie, 
