GEN.1.1	Le gɔmedzedzea me Mawu wɔ dziƒo kple anyigba. 
JDG.9.38	Tete Zebul gblɔ nɛ bena: Menye wòe le nu me ɖim le gbɔgblɔm bena: ameka nye Abimelex, ne míasubɔe oa? Esia nye aʋakɔ, si ŋu nèle alɔme ɖem le. Azɔ ho, nayi aɖawɔ aʋa kplii! 
JDG.9.39	Tete Gaal ho dze Sixemtɔwo ŋgɔ, eye wòwɔ aʋa kple Abimelex. 
JDG.9.40	Ke Abimelex nyãe, eye wòsi le enu vaseɖe agbo nu, eye ame geɖewo tsi aʋa. 
JDG.9.41	Abimelex tsi Aruma, ke Zebul nyã Gaal kple nɔviawo, ale be womekpɔ mɔ anɔ Sixem o. 
JDG.9.42	Esi ŋu ke, eye amewo yi agble la, wova gblɔe na Abimelex. 
JDG.9.43	Tete wòmã aʋakɔ la ɖe aʋalɔgo etɔ̃ me, eye wòyi ɖade xa ɖe gbe me. Eye esi wòkpɔ be, amewo do tso dua me gbɔna la, edo ɖewo ŋu, eye wòwu wo. 
JDG.9.44	Abimelex kple aʋalɔgo, si le eŋu la, va xe du la ƒe agbo nu, ke aʋalɔgo eve yi ɖadze amesiwo katã le agble la dzi, eye wowu wo. 
JDG.9.45	Emegbe Abimelex wɔ aʋa kple ɖu la ŋkeke blibo la katã, eye wòxɔ du la hewu eme nɔlawo, eye wògbã du la hewu dze ɖe edzi. 
JDG.9.46	Esi Sixem-mɔ̃metɔwo see la, woyi ɖe mɔ̃, si le mawu Berit ƒe me la me. 
JDG.9.47	Eye wova gblɔe na Abimelex bena, Sixem-mɔ̃metɔwo katã ƒo ƒu. 
JDG.9.48	Tete Abimelex kple aʋakɔ, siwo katã le eŋu la, yi Zalmon-to la dzi, eye Abimelex tsɔ fia lã atilɔ hetsɔ ɖe abɔta, eye wògblɔ na eƒe amewo bena: Netsɔ, miawɔ abe alesi mewɔ miekpɔ ene! 
JDG.9.49	Tete ana ka blibo la lã atilɔwo hedze Abimelex yome, eye wotsɔ wo va kɔ ɖe mɔ̃ la ŋu hetɔ dzo mɔ̃ la. Ale Sixem-mɔ̃metɔwo katã hã ku woanɔ ŋutsu akpe ɖeka hekpe ɖe nyɔnuwo ŋu.
JDG.9.50	Emegbe Abimelex ho ɖe Tebez ŋu, eye wòɖe to ɖe Tebez hexɔe. 
JDG.9.51	Mɔ̃ sesẽa ɖe le dua titina, eye duametɔwo katã, ŋutsuwo kple nyɔnuwo, si yi ɖe afi ma hedo ʋɔ ɖe wo ɖokui nu, eye wode mɔ̃ la tame. 
JDG.9.52	Eye Abimelex te ɖe mɔ̃ la ŋu hewɔ aʋa kplii, eye wòva kekeke mɔ̃ la ƒe agbo nu, be yeatɔ dzoe. 
JDG.9.53	Tete nyɔnua ɖe tsɔ tevi xlã ɖe la na Abimelex, eye wògbã ta le enu. 
JDG.9.54	Enumake wòyɔ eƒe adekplɔvi gblɔ ne bena: Di wò yi, ne natrɔm ɖo, ne womagagblɔ ɖe ŋunye be, nyɔnue wui o! Tete eƒe adekplɔvi da nui wòku. 
JDG.9.55	Esi Israeltɔwo kpɔ bena, Abimelex ku la, amesiame gbugbɔ yi aƒe. 
JDG.9.56	Ale Mawu ɖo Abimelex ƒe nu vlo, si wòwɔ ɖe fofoa ŋu hewu nɔvia blaadreawo la, teƒe nɛ. 
JDG.9.57	Eye Mawu he nu vlo, siwo katã Sixemtɔwo wo la, va wo dzi. Ale Yotam, Yerub-Baal vi, ƒe fiƒode la ɖi wo ŋu.
JDG.10.1	Le Abimelex megbe la Isaxartɔ Tola, si nye Pua, Dodo vi ƒe vi ɖo, be yeaxɔ na Israel, eye wònɔ Samir le Efrayim-to la dzi. 
JDG.10.2	Eye esi wòdrɔ̃ ʋɔnu na Israel ƒe blave vɔ etɔ̃ sɔŋ megbe la, eku, eye woɖii ɖe Samir.
JDG.10.3	Eya megbe Gilead-tɔ Yair do, eye wòdrɔ̃ ʋɔnu na Israel ƒe blave vɔ eve sɔŋ. 
JDG.10.4	Ŋutsuvi blaetɔ̃ nɔ esi, siwo do tedzivi blaetɔ̃, eye du blaetɔ̃ nɔ wo si, esiwo woyɔna be Yair-kɔƒewo vaseɖe egbe, wole Gilead-nyigba dzi. 
JDG.10.5	Eye Yair ku woɖii ɖe Kamon.
JDG.10.6	Eye Israel-viwo yi dzi wɔ nusi medze Yehowa ŋu o, eye wosubɔ Baalwo kple Astarot, Aramtɔwo ƒe mawuwo, Zidontɔwo ƒe mawuwo, Moabtɔwo ƒe mawuwo, Amon-viwo ƒe mawuwo kple Filistitɔwo ƒe mawuwo, ke wogblẽ Yehowa ɖi, eye womesubɔe o. 
JDG.10.7	Eyata Yehowa do dɔmedzoe ɖe Israel ŋu, eye wotsɔ wo dzra na Filistitɔwo kple Amon-viwo. 
JDG.10.8	Eye wote Israel-vi, siwo katã nɔ Yordan ƒe go keme dzi le Amoritɔ, siwo nɔ Gilead ƒe anyigba dzi la, ɖe anyi, eye wosẽ ŋuta le wo ŋu tso ƒe ma dzi ƒe wuienyi sɔŋ. 
JDG.10.9	Eye Amon-viwo tso Yordan, be woawɔ ana kple Yuda kple Benyamin kpakple Efrayim-viwo, eye Israel ɖo xaxa me. 
JDG.10.10	Eyata Israel-viwo ɖo ɣli yɔ Yehowa bena: Miewɔ nuvɔ̃ ɖe ŋuwò, elabena miegblẽ miaƒe Mawu ɖi hesubɔ Baalwo. 
JDG.10.11	Tete Yehowa gblɔ na Israel-viwo bena. Esi Egiptetɔwo, Amoritɔwo, Amon-viwo kple Filistitɔwo, 
JDG.10.12	Zidontɔwo, Amalekitɔwo kple Maontɔwo ɖe fu na mi, eye miedo ɣli yɔm la, nyemexɔ na mi oa? 
JDG.10.13	Ke miawo mìegblẽm ɖi hesubɔ mawu bubuwo, eyata nyemegale mia ɖe ge azɔ akpɔ o. 
JDG.10.14	Miyi ɖado ɣli yɔ mawu, siwo mieha, ne woaxɔ na mi le miaƒe xaxaɣiwo me! 
JDG.10.15	Ke Israel-viwo gblɔ na Yehowa bena: Miewɔ nuvɔ̃, eyata wɔ mí, alesi dze ŋuwò; ke ɖe mí fifia ko! 
JDG.10.16	Tete woɖe mawu bubuawo ɖa le wo ɖokui dome hesubɔ Yehowa; eyata Israel ƒe fukpekpe la mena wòɖe dzi ɖi o.
JDG.10.17	Eye Amon-viwo kpe ta heva ƒu asaɖa anyi ɖe Gilead, eye Israel-viwo hã kpe ta va ƒu asaɖa anyi ɖe Mizpa. 
JDG.10.18	Tete Gileadtɔwo ƒe amegãwo gblɔ na wo bena: Amesi ayi aɖakpe aʋa kple Amon-viwo gbã la, eya anye natɔ ɖe Gileadtɔwo nu!
JDG.11.1	Yefta, Gileadtɔ la, enye ŋutsu kalẽtɔa ɖe, ke gbolovie wònye, eye Gilead ye dzi Yefta. 
JDG.11.2	Eye Gilead srɔ̃ dzi viwo nɛ, eye esi srɔ̃ ƒe viwo tsi la, wonyã Yefta gblɔ nɛ bena: Wòa mànyi dome le mía fofo ƒe me o, elabena nyɔnu bubu vi nènye! 
JDG.11.3	Tete Yefta si le nɔviawo nu yi ɖanɔ Tob-nyigba dzi, eye yakamewo va kpe ta ɖe Yefta ŋu, eye woɖea aʋa kplii. 
JDG.11.4	Esi eteƒe didi ʋee la, Amon-viwo va wo aʋa kple Israel. 
JDG.11.5	Eye esi Amon-viwo ho aʋa ɖe Israel ŋu la, Gilead-ame tsitsiwo yi, be woakplɔ Yefta tso Tob-nyigba dzi vɛ 
JDG.11.6	Wogblɔ na Yefta bena: Va nanye míaƒe aʋafia, ne miawo aʋa kple Amon-viwo! 
JDG.11.7	Tete Yefta ɖo ŋu na Gilead-ame tsitsiwo bena: Menye miawoe le fum, eye mienyãm tso fofonye ƒe me oa? Azã esi mieɖo xaxa me la, mieva gbɔnye! 
JDG.11.8	Gilead-ame tsitsiwo gblɔ na Yefta bena: Esia ta pɛ mieva gbɔwo ɖo, be nayi kpli mi, ne miawo aʋa kple Amon-viwo, eye natre zu nato ɖe Gileadtɔwo katã nu! 
JDG.11.9	Eye Yefta gblɔ na Gilead-ame tsitsiwo bena: Ne miekplɔm meyi ɖawɔ aʋa kple Amon-viwo, eye Yehowa tso wo ɖe asi nam la, ekema manye miaƒe tatɔ. 
JDG.11.10	Gilead-ame tsitsiwo gblɔ na Yefta bena: Yehowa enye ɖasefo le mía dome! Miawo, abe alesi nègblɔ ene kokoko. 
JDG.11.11	Tete Yefta yi kple Gilead-ame tsitsiawo, eye Yefta gblɔ nya siawo katã le Yehowa ŋku me le Mizpa.
JDG.11.12	Eye Yefta do amewo ɖo ɖe Amon-viwo ƒe fia gbɔ gblɔ bena: Nya ka le mía dome, hafi nèho ɖe ŋunye, be nawɔ aʋa kple nye anyigba? 
JDG.11.13	Amon-viwo ƒe fia gblɔ na Yefta ƒe dolawo bena: Elabena Israel xɔ nye anyigba, esime wotso Egipte va, tso Arnon nu vaseɖe Yabok kple Yordan nu; eyata gagbugbɔe nam kpoo! 
JDG.11.14	Tete Yefta gadɔ amewo ɖo ɖe Amon-viwo ƒe fia eho, 
JDG.11.15	eye wògblɔ nɛ bena: Yefta ƒe gbe enye si: Israel mexɔ anyigbaa ɖeke le Moabtɔwo kple Amon-viwo si o. 
JDG.11.16	Elabena esi Israel tso Egipte, eye wòto gbedzi va Avaƒu la nu heva ɖo Kades la, 
JDG.11.17	edo ame ɖo ɖe Edom-fia be, woagblɔ nɛ bena: Na mato wò anyigba dzi ayi! Ke Edom-fia melɔ̃ edzi nɛ o. Eda ame ɖo ɖe Moab-fia gbã, ke eya hã gbe; eyata Israel tsi Kades. 
JDG.11.18	Eye wòto gbedzi hetrɔ Edom-nyigba kple Moab-nyigba ta, eye wova ɖo Moab-nyigba ƒe ɣedzeƒe gome heƒu asaɖa anyi ɖe Arnon ƒe go keme dzi, ke womeva Moab-nyigba dzi o, elabena Arnon ye do liƒo na Moab. 
JDG.11.19	Tete Israel do amewo ɖo ɖe Amoritɔwo ƒe fia Sixon, si no Xesbon la gbo be, woagblɔ nɛ bena: Na mato wò anyigba dzi ayi, vaseɖe esime made denyeƒe! 
JDG.11.20	Ke Sixon meɖo ŋu ɖe Israel ŋu, ne wòana wòato eƒe anyigba dzi ayi o, eye Sixon ƒo eƒe dukɔ blibo la nu ƒu heva ƒu asaɖa anyi ɖe Yaza, eye wòwɔ ana kple Israel. 
JDG.11.21	Tete Yehowa, Israel ƒe Mawu la, tso Sixon kple eƒe dukɔ blibo la de asi na Israel, eye wòsi wo. Ale Israel xɔ Amoritɔ, siwo nye anyigba dzi towo la, ƒe anyigba blibo la wòzu wo to. 
JDG.11.22	Eye woxɔ Amoritɔwo ƒe anyigba blibo la tso Arnon nu vaseɖe Yabok nu, tso gbedzi vaseɖe Yordan nu. 
JDG.11.23	Yehowa, Israel ƒe Mawu la, nyã Amoritɔwo ɖa le eƒe dukɔ Israel ŋgɔ tso, hafi wòa nèbe, yeaxɔe wòanye tɔ wòa? 
JDG.11.24	Me wò mawu Kemos xɔ nane na wò la, eya nye tewò, ke amesiwo katã Yehowa, mía Mawu, nyã le mía ŋgɔ la ƒe anyigba enye mía tɔ. 
JDG.11.25	Wòe nye ame wu Moab-fia Balak, Zipor vi la? Ɖe wòwɔ dzre kple Israel alo wɔ aʋa kplii kpɔa? 
JDG.11.26	Esi Israel nɔ Xesbon kple eƒe duwo, Aroer kple eƒe duwo, kpakple du, siwo katã le Arnon nu me, ƒe alafa etɔ̃ sɔŋ enye si la, nukaŋuti mienyã wo le ɣeyiɣi siawo me kpɔ o? 
JDG.11.27	Nyemeda voa ɖeke ɖe ŋuwò, hafi wòa nèwɔ nu vɔ̃ɖi sia ɖe ŋunye hehe, yeawɔ aʋa kplim o. Yehowa, nye ʋɔnudrɔ̃la, nadrɔ̃e na Israel-viwo kple Amon-viwo egbea! 
JDG.11.28	Ke Amon-viwo ƒe fia meɖo to Yefta ƒe nya, siwo wògblɔ ɖo ɖee la o.
JDG.11.29	Tete Yehowa ƒe gbɔgbɔ dze Yefta dzi, eye wòto Gilead kple Manase heva Mizpe-Gilead; eye woho tso Mizpe-Gilead ɖe Amon-viwo ŋu. 
JDG.11.30	Eye Yefta ɖe adzɔgbe na Yehowa gblɔ bena: Ne ètsɔ Amon-viwo ɖe asi nam vava, 
JDG.11.31	eye megbɔ tso Amon-viwo gbɔ le ŋutifafa me la, ekema nusianu, si ke ado tso aƒenye me ava kpena la, anye Yehowa tɔ, eye matsɔe asa numevɔe. 
JDG.11.32	Tete Yefta ho aʋa ɖe Amon-viwo ŋu, eye Yehowa tsɔ wo ɖe asi nɛ. 
JDG.11.33	Eye wòsi wo tso Aroer vaseɖe Minit heva ke ɖe Abel-Keramim, wole; du blave, eye wòɖu wo dzi vevie ŋutɔ. Ale wobɔbɔ Amon-viwo, ɖe anyi le Israel-viwo ŋku me.
JDG.11.34	Eye esi Yefta gbɔ va aƒe le Mizpa la, kpɔ ɖa, vianyɔnu tsɔ axatsɛ le ɣe ɖum va kpee; ŋutsuvi alo nyɔnuvia ɖeke megale esi o, eyae nye eƒe tesi. 
JDG.11.35	Esi wòkpɔe la, edze eƒe awuwo gblɔ bena: Oo, vinye, èdo nublanuitɔm, eye nèhe dzɔgbevɔ̃e va dzinyea? Meke nu na Yehowa, eye nyemagate ŋu atrɔe o! 
JDG.11.36	Tete wòɖo ŋu nɛ bena: Fofonye, ne èke nu na Yehowa la, ekema wɔm, abe alesi do tso wò nu me ene, elabena Yehowa bia hlɔ̃ wò futɔ, siwo nye Amon-viwo, na wò! 
JDG.11.37	Eye wògblɔ na fofoa bena: Wɔ esia ko nam: Ɖe mɔ nam dzinu eve, ne mia kple xɔ̃nyewo míayi towo dzi aɖafa nye ɖetugbinyenye! 
JDG.11.38	Eɖo ŋu bena: Heyi! Ale wòɖe mɔ nɛ dzinu eve, eye eya kple xɔlɔ̃wo yi ɖafa eƒe ɖetugbinyenye le towo dzi. 
JDG.11.39	Esi dzinu evea nu yi la, egbugbɔ va fofoa gbɔ, eye wòwɔ nyɔnuvi la, abe alesi wòɖe adzɔgbee ene. Ke ŋutsua ɖeke mede asi eŋu kpɔ o. Eye wòtrɔ zu kɔnu le Israel ƒe sia ƒe 
JDG.11.40	be, Israel-nyɔnuviwo yina ɖafaa Gileadtɔ Yefta ƒe vinyɔnu ŋkeke ene le ƒe ɖeka me.
JDG.12.1	Tete Efrayimtɔwo ƒo ƒu ho va anyiehe, eye wogblɔ na Yefta bena: Nukaŋuti nèho ana ɖe Amon-viwo ŋu, eye mèyɔ mí, be míayi kpli wò oa? Miatɔ dzo wò xɔ ɖe dziwò! 
JDG.12.2	Yefta ɖo ŋu na wo bena: Mía kple nye dukɔ míekpe aʋa vɔ kple Amon-viwo, eye meyɔ mi, gake mieva xɔm le wo si o. 
JDG.12.3	Esi mekpɔ be, miele xɔxɔm nam o la, metsɔ nye agbe ke ku, eye meho aʋa ɖe Amon-viwo ŋu, eye Yehowa tsɔ wo de asi nam. Nukaŋuti mieho ɖe ŋunye fifia, be miawɔ aʋa kplim? 
JDG.12.4	Tete Yefta ƒo Gileadtɔwo katã nu ƒu yi ɖawɔ aʋa kple Efrayim, eye Gileadtɔwo si Efrayim; elabena wogblɔ bena: Gileadtɔwo nye Efrayim ƒe ame dzegowo: Gilead le Efrayim kple Manase dome. 
JDG.12.5	Eye Gileadtɔwo xe Yordan-tsoƒewo na Efrayim. Eye ne Efrayimtɔ sisia ɖe va gblɔ be: mina matso tɔa la, Gileadtɔwo bianɛ bena: Efrayimtɔ nènyea? Eɖoa ŋu be: Kpao! 
JDG.12.6	Wogblɔna nɛ be: Gblɔ be Sibolet! Tete wogblɔna be Zibolet; elabena meɖo ŋu ɖo be, wòagblɔe nyuie o. Enumake wolénɛ, eye wowunɛ ɖe Yordan-tsoƒe la. Ale Efrayimtɔ ame akpe blane vɔ eve kũ ɣemaɣi. 
JDG.12.7	Eye Yefta drɔ̃ ʋɔnu na Israel ƒe ade, emegbe Yefta, Gileadtɔ la ku, eye woɖu ɖe Gilead-duwo dometɔ ɖeka me.
JDG.12.8	Eyome Ibzan, amesi tso Betlexem la, drɔ̃ ʋɔnu na Israel. 
JDG.12.9	Edzi ŋutsuvi blaetɔ̃, eye wòɖe srɔ̃ na vianyɔnu blaetɔ̃awo ɖe duta, eɖe nyɔnuvi blaetɔ̃ tso duta na viaŋutsuwo, eye wòdrɔ̃ ʋɔnu na Israel ƒe adre. 
JDG.12.10	Emegbe Ibzan ku, eye woɖii ɖe Betlexem.
JDG.12.11	Elon, Zebulontɔ la, drɔ̃ ʋɔnu na Israel ɖe eyome ƒe ewo. 
JDG.12.12	Eye Elon, Zebulontɔ la ku, woɖi ɖe Ayalon le Zebulon-nyigba dzi.
JDG.12.13	Eyome Piratonitɔ Abdon, Hilel vi, drɔ̃ ʋɔnu na Israel. 
JDG.12.14	Edzi ŋutsuvi blane, eye wòxɔ tɔgbuiyɔvi blaetɔ̃, amesiwo doa tedzivi blaadre, eye wòdrɔ̃ ʋɔnu na Israel ƒe enyi. 
JDG.12.15	Eye Piratonitɔ Abdon ku woɖi ɖe Piraton le Efrayim-nyigba dzi le Amalekitɔwo ƒe to dzi.
JDG.13.1	Ke esi Israel-viwo gawɔ nusi medze Yehowa ŋu o la. Yehowa tsɔ wo de asi na Filistitɔwo ƒe blane sɔŋ. 
JDG.13.2	Ɣemaɣi ŋutsua ɖe tso Zora le Dan-ƒome la me, amesi ŋkɔe nye Manoax, eye srɔ̃ tsi ko, medzi vi o. 
JDG.13.3	Tete Yehowa ƒe ɖɔla ɖe eɖokui fia nyɔnu la gblɔ nɛ bena: Kpɔ ɖa, ètsi ko, eye mèdzi vi o: gake èle fu fɔ ge àdzi ŋutsuvi. 
JDG.13.4	Eyata kpɔ nyuie, ne màgano wein alo aha muamea ɖeke o, eye megaɖu nu makɔmakɔa ɖeke o! 
JDG.13.5	Elabena kpɔ ɖa, èle fu fɔ ge adzi ŋutsuvi, eye talũhɛ made ta ŋu nɛ akpɔ o, elabena Mawu ƒe klu wòanye tso dada ƒe dɔme, eye eya ade asi Israel ɖeɖe me tso Filistitɔwo si me. 
JDG.13.6	Tete nyɔnu la yi ɖagblɔ na srɔ̃a bena: Mawu ƒe amea ɖe va gbɔnye, ele abe mawudɔla ene, eye ŋɔdzi le eŋu ŋutɔ, ke nyemebia afisi wòtso o, eye meyɔ eƒe ŋkɔ hã nam o. 
JDG.13.7	Eye wògblɔ nam bena: Kpɔ ɖa, ele fu fɔ ge adzi ŋutsuvi, eyata megano wein alo aha muamea ɖeke o, eye megaɖu nu makɔmakɔa ɖeke o; elabena ŋutsuvi la anye Mawu ƒe klu tso dada ƒe dome vaseɖe eƒe kugbe.
JDG.13.8	Tete Manoax ɖe kuku na Yehowa gblɔ bena: Oo Aƒetɔ, na Mawu ƒe ame, si nedɔ ɖa la, nagava mia gbɔ zi ɖeka, ne wòafia nusi míawɔ na ɖevi, si woadzi la mí! 
JDG.13.9	Eye Mawu se Manoax ƒe gbe, eye mawudɔla la gava nyɔnu la gbɔ, esime wòle agble me, eye srɔ̃a Manoax mele egbɔ o. 
JDG.13.10	Tete nyɔnu la ƒu du kaba yi ɖagblɔe na srɔ̃a bena: Kpɔ ɖa, ŋutsu, si va gbɔnye tsã la, gava! 
JDG.13.11	Enumake Manoax tsi tre dze nyɔnu la yome heva ŋutsua gbɔ, eye wògblɔ nɛ bena: Wòe nye amesi ƒo nu kple nyɔnu la tsãa? Eɖo ŋu bena: Nyee! 
JDG.13.12	Manoax gblɔ bena Ne wò nya la va me la, ekema kɔ ka woanyi na ɖevi la, eye nuka woawo nɛ? 
JDG.13.13	Tete Yehowa ƒe dɔla la gblɔ na Manoax bena: Nusi megblɔ na nyɔnua la, eya nye vevitɔ, si wòalé be na. 
JDG.13.14	Maɖu nusi tso weinka ŋu o, mano wein alo aha muamea ɖeke o, eye maɖu nu makɔmakɔa ɖeke o; ke boŋ woawo nusiwo katã ŋu meɖe se nɛ le la dzi. 
JDG.13.15	Tete Manoax gblɔ na Yehowa ƒe dɔla la bena: Na míasika wò ɖi, ne miaɖa gbɔ̃via de aɖo akɔwò me. 
JDG.13.16	Yehowa ƒe dɔla la ɖo ŋu na Manoax bena: Ne èsikam ɖi hã la, nyemele wò abolo ɖu ge o; ke nenye numevɔ nèbe, yeasa la, ekema sae na Yehowa! Ke Manoax medze sii bena, Yehowa ƒe dɔla wònye o. 
JDG.13.17	Eye Manoax gblɔ na Yehowa ƒe dɔla la bena: Ŋkɔwò ɖe? Bena ne wò nya la va me la, ne miaɖe bubu ŋuwò. 
JDG.13.18	Yehowa ƒe dɔla la gblɔ nɛ bena: Nukaŋuti nèle nye ŋkɔ, si nye nukunu la, ta biam? 
JDG.13.19	Tete Manoax lé gbɔ̃vi hekpe ɖe nuɖuvɔsa ŋu, eye wosa vɔ le agakpea ɖe dzi na Yehowa. Eye wòwɔ nukunu Manoax kple srɔ̃a wokpɔ. 
JDG.13.20	Esi dzo ƒe aɖewo de dzi le vɔsamlekpuia dzi la, Yehowa ƒe dɔla to vɔsamlekpui la ƒe dzo ƒe aɖeawo me yi dzi Manoax kple srɔ̃ wokpɔ. Tete wotsyɔ mo anyi. 
JDG.13.21	Ke Yehowa ƒe dɔla megaɖe eɖokui fia Manoax kple srɔ̃a kpɔ o Azɔ Manoax dze sii bena, Yehowa ƒe dɔla wònye. 
JDG.13.22	Manoax gblɔ na srɔ̃a bena: Miele kuku ge, elabena miekpɔ Mawu! 
JDG.13.23	Ke srɔ̃a gblɔ nɛ bena: Ɖe wònye Yehowa ɖe wòdi be, yeawu mí la, anye ne mexɔ numevɔsa kple nuɖuvɔsa tso mía si o, eye anye ne mena míekpɔ nusiawo katã, eye míese nusiawo fifia o.
JDG.13.24	Eye nyɔnu la dzi ŋutsuvi hena ŋkɔe bena Simson. Ɖevi la va tsi, eye Yehowa yrae. 
JDG.13.25	Eye Yehowa ƒe gbɔgbɔ ɖe asi edzi dzedze me le Dan ƒe asaɖa, si le Zora kple Estaol dome la me.
JDG.14.1	Simson yi Timnat, eye wòkpɔ nyɔnuvia ɖe le Filistitɔwo ƒe nyɔnuwo dome le Timnat. 
JDG.14.2	Esi wògbɔ la, eka ta na fofoa kple dadaa bena: Mekpɔ nyɔnuvia ɖe le Filistitɔwo ƒe nyɔnuwo dome le Timnat, eyata midee nam! 
JDG.14.3	Fofoa kple dadaa gblɔ nɛ bena: Ɖe nyɔnua ɖeke mele nɔviwòwo ƒe vinyɔnuwo kple nye dukɔ blibo la dome o, eyata nayi aɖade srɔ̃ tso Filistitɔwo, siwo nye bolotɔwo la domea? Simson gblɔ na fofoa bena: Ɖee nam, elabena eƒe nu nyo ŋunye! 
JDG.14.4	Ke fofoa kple dadaa medze sii be, Yehowa gbɔ wotso o; elabena mɔnu dim wòle le Filistitɔwo ŋu. Ɣemaɣi la Filistitɔwoe le Israel-viwo dzi ɖum. 
JDG.14.5	Esi Simson kple fofoa kpakple dadaa woyina ɖe Timnat, eye wova ɖo Timnat-tɔwo ƒe weingblewo gbɔ la, kpɔ ɖa, dzatavia ɖe le gbe tem va do goe. 
JDG.14.6	Tete Yehowa ƒe gbɔgbɔ dze edzi, eye wòvuvui, abe alesi wovuvua gbɔ̃vi ene, evɔ wònye metsɔ naneke ɖe asi o hafi. Ke megblɔ nusi wòwɔ la na fofoa kple dadaa o. 
JDG.14.7	Eye wòyi ɖaƒo nu kple nyɔnu la, eye eƒe nu nyo Simson ŋu. 
JDG.14.8	Eye esi eteƒe didi ʋee, wòyina, be yeakplɔ nyɔnua la, edze gbe, be yeakpɔ dzata kuku la ɖa, eye kpo ɖa, anyi ɖa ɖe dɔ me na dzata la. 
JDG.14.9	Tete woɖee ɖe asi le nyinyim heva fofoa kple dadaa gbã, eye wòna ɖe woawo hã wonyi; ke megblɔe na wo be, dzata ƒe dɔ me yeɖe anyitsi la le o.
JDG.14.10	Eye fofoa va nyɔnua gbɔ. Tete Simson tu aglo le afima, elabena nenema ɖekakpuiviwo wɔna. 
JDG.14.11	Eye esi wokpɔe la, woɖe hafi blaetɔ̃ kpe ɖe eŋu. 
JDG.14.12	Eye Simson gblɔ na wo bena: Mato adzo na mi; ne mieɖe egɔme nam le aglotutuŋkeke adreawo me la, ekema matso awutewui blaetɔ̃ kple atsyɔ̃ɖowu blaetɔ̃ na mi. 
JDG.14.13	Ke ne miete ŋu ɖe egɔme nam o la, ekema miawo miatso awutewui blaetɔ̃ kple atsyɔ̃ɖowu blaetɔ̃ nam! Tete wogblɔ ne bena: To wò adzo la míase! 
JDG.14.14	Eye wògblɔ na wo bena: Nuɖuɖu tso nutsuɖula me, eye nu vivi tso ŋusẽtɔ me. Ke ŋkeke etɔ̃ sɔŋ womete ŋu ɖe adzo la gɔme o. 
JDG.14.15	Le ŋkeke eneagbe la wogblɔ na Simson srɔ̃ bena: Ƒoe ɖe srɔ̃wò nu, ne wòaɖe adzo la gɔme na mí! Ne menye nenem o la, míatɔ dzo mia kple fofowò ƒe aƒe! Alo ɖe miekpe mí, be miawɔ mi ame dahewoea? 
JDG.14.16	Tete Simson srɔ̃ la avi nɛ gblɔ bena: Fu ko nèlém, eye mele lɔ̃yem o; eto adzo na mia ɖe viwo, gake megblɔe nam o! Eɖo ŋu nɛ bena: Kpɔ ɖa, nyemegblɔe na fofonye kple danye gɔ̃ hã o, eye mayi egblɔ ge na wòa? 
JDG.14.17	Eye wòfa avi ne le ŋkeke adre, siwo wotu aglo la me; eye wòɖe egɔme nɛ le ŋkeke adreagbe, elabena eɖe fu nɛ akpa. Eye nyɔnu la yi ɖaɖe adzo la na wo de viwo. 
JDG.14.18	Tete duameviwo va gblɔ nɛ le ŋkeke aɖreagbe, hafi ɣe naɖo to bena: Nuka vivina wu anyitsi? Eye nuka sesẽ wu dzata? Eye wògblɔ na wo bena: Ɖe menye nye nyivi lae mietsɔ ŋlɔ agblee o la, anye ne miele nye adzo la gɔme ɖe ge tututu o. 
JDG.14.19	Eye Yehowa ƒe gbɔgbɔ dze edzi wòyi Askalon ɖawu ŋutsu blaetɔ̃ heɖe wo ŋu nuwo, eye wòtsɔ atsyɔ̃ɖowu blaetɔ̃ na amesiwo ɖe adzo la gɔme. Tete dzi kui wògbugbɔ yi fofoa ƒe me. 
JDG.14.20	Eye wotso Simson srɔ̃ na ehati, si wòɖe kpe ɖe eɖokui ŋu la, wòɖe.
JDG.15.1	Esi eteƒe didi ʋee la, Simson tsɔ gbɔ̃via ɖe le luxaɣi yi srɔ̃a kpo ge ɖae, eye wògblɔ bena Na mayi srɔ̃nye gbɔ le xɔgã me! Ke nyɔnua fofoa mena wòyi o, 
JDG.15.2	eye wògblɔ bena: Mebu be, ɖe nèlé fui keŋ, eyata metsɔe na hawòti. De eƒe tsɛ medze tugbe wui oa? Xɔ eya ɖe eteƒe! 
JDG.15.3	Ke Simson gblɔ na wo bena: Ne mehe dzɔgbevɔ̃e va Filistitɔwo dzi fifia la, nyemeɖi fɔ o. 
JDG.15.4	Tete Simson yi ɖalé abei alafa etɔ̃, eye wòbia akakatiwo; etrɔ asike eve kpe, eye wòbia akakati ɖeka ɖe asike eveawo domee. 
JDG.15.5	Emegbe wòdra akakatiawo heɖe asi le wo ŋu ɖo ɖe Filistitowo ƒe agblewo me; eye ale wòto dzo lu, siwo woxa, kple esiwo le tsitre nu kpakple amitibɔwo. 
JDG.15.6	Filistitɔwo gblɔ bena: Ameka wo nusia? Eye wogblɔ bena: Simson, Timnattɔ ƒe toe wòe, elabena woxɔ srɔ̃a tso na eƒe hati. Tete Filistitowo va tɔ dzo nyɔnu la kple fofoa. 
JDG.15.7	Eye Simson gblɔ na wo bena: Ne miewɔ alea hã la, mabia hiã mi kokoko hafi adzudzɔ! 
