MAT.1.1	Ña'a kùu sivi ma ndian kūu ñivi Jesucristu, ra kūu ñivi ma racha'nu David, chi'in racha'nu Abraham. 
MAT.20.21	―¿Niyi kùuniun? ―kàti ra chi'an.
MAT.20.21	Va ma ña'a ikan, te'en nāka'an ña chi'in ra:
MAT.20.21	―Na tachiun ma nuu chà'ndaun tiñu ña ora chāun ndakan, iin ma ra se'i kunandi chiyo kua'un, ta inga ra kunandi chiyo satiun ―kàti ña.
MAT.20.22	Va Jesuu te'en nāka'an ra chi'an:
MAT.20.22	―Töve chìto ndo niyi kùu ma ña chìkan ndo. ¿A kùu ja'a ndo ko'o ndo ma ña uva ni ko'i, ta kùnduta ndo indukuni ma takua ni kundutai ña kà'an ndo takan? ―kàti Jesuu.
MAT.20.22	Ta ndrakan te'en nāka'an ndra:
MAT.20.22	―Kùu yi ―kàti ndra.
MAT.20.23	Ta Jesuu te'en nāka'an ra chi'in ndra:
MAT.20.23	―Ndicha ña ndyo'o kùu ja'a ndo ko'o ndo ma ña uva ni ko'i, ta juuni kùu ja'a ndo kùnduta ndo ma takua ni kundutai ndia, va taku cha'a' ña chìkan ndo kunandi ndo ma chiyo kua'i, ta chiyo sati̱n, ma Tatái kùu ma ra chìto nda yo ni ku'va ra ma chiyo ikan nuu, ta yöve yu'u ―kàti Jesuu.
MAT.20.24	Ta ora chīni ma inga uchi ma ndra jàkua'a chi'in Jesuu ma ña kā'an ndra, ta kūxaan ndra chi'in ninduvi ndrakan. 
MAT.20.25	Va Jesuu kāna ra ndra, ta te'en nāka'an ra chi'in ndra:
MAT.20.25	―Ndyo'o cha chìto va'a ndo, ña ma ndra kuxini ña chà'nda tiñu nuu ma ñivi ìyo ma nuñu'u' ñuñivi töve jà'a ndra va'a chi'in na, ti ya'a kanduu kini chà'nda ndra tiñu. 
MAT.20.26	Va tañu ndyo'o ndian chìnuni, na töve ìyo yi ña ja'a ndo takan, vati tu ìyo nda ndyo'o ña kùuni ndo jaka'nu ndo ndo, ji'na ìyo yi ja'a ndo tiñu nuu ma inga na. 
MAT.20.27	Ta nda ndyo'o nikuuni, tu kùuni ndo kuu ndo ma ndian nunuu, ìyo yi ña ja'a ndo tiñu nuu ma inga na, 
MAT.20.28	takua jā'a ma ra Se'e ñivi tāchi Ndioo, ña tüvi nī kichi ra kuenda ña jà'a na tiñu nuu ra, vati kīchi ra va kuenda ña jà'a ra tiñu nuu ñivi, ta kuvi ra kuenda ña kùu ra takua kùu iin ya'vi kuenda ña na kakú kua'a' ñivi ―kàti Jesuu.
MAT.20.29	Takan kūu ta ora kēe Jesuu ma ñuu Jericó, nduva'a kua'a' ñivi tāndikun kuà'an chata ra. 
MAT.20.30	Ta ma yu'u iti' kuà'an ra, ikan nandi uvi ta'an ndra kuaá. Ta ora chīni ndra ña yà'a Jesuu ikan, ta te'en kānachaa ndra:
MAT.20.30	―¡Yo'o Racha'nu, ra kùu ñivi David, na kunda'viniun ndyu'u! ―kàti ma ndra kuaá chi'in ra.
MAT.20.31	Tajan ma ñivi nāka'an na chi'in ma ndra kuaá ña na taxiin koyu'u ndra, va ndrakan tiá ga kīcha'a ndra kànachaa ndra te'en:
MAT.20.31	―¡Yo'o Racha'nu, ra kùu ñivi David, na kunda'viniun ndyu'u! ―kàti ndra.
MAT.20.32	Tajan chūndaa ndio Jesuu, ta kāna ra ma ndra kuaá, ta te'en chīkatu'un ra nuu ndra:
MAT.20.32	―¿Niyi kùuni ndo ña ja'i chi'in ndo? ―kàti Jesuu.
MAT.20.33	Ta ndra kuaá ikan te'en nāka'an ndra chi'in ra:
MAT.20.33	―Yo'o Racha'nu, kùuni ndi ña na jandondichiun nuu ndi ―kàti ndra chi'in ra.
MAT.20.34	Tajan Jesuu kūnda'vini ra ndra, ta jānani ra nda'a' ra chata tinuu ma ndra kuaá, ta ma ora ikani kūu nande'e ndra, ta tāndikun ndra chata Jesuu.
MAT.21.1	Ora cha kuàkuyatin Jesuu chi'in ma ndra jàkua'a chi'in ra ma ñuu Jerusalén, ji'na chāa ndra iin ñuu ña nàni Betfagé, ña kandii yatini nuu ndaa ma yuku Olivu. Tajan Jesuu tāchi ra uvi ta'an ma ndra jàkua'a chi'in ra, 
MAT.21.2	ta te'en nāka'an ra chi'in ndra:
MAT.21.2	―Kuà'an ndo ma kuariya ña kàndii ikani. Ta ikan nàta'an ndo iin burra ña ndikun ri ndaa ri ikan chi'in iin burru vali se'e ri. Na ndachi ndo ri, ta kundaka ndo ninduvi ndri kichi ndo nui. 
MAT.21.3	Ta tu ìyo iin ndian chìkatu'un, ña naja ndàchi ndo ri, ta kati ndo chi'in na ña nunua vàchi ndaka ndiko ndi ri, ti chìniñu'u ma racha'nu chito'o ndi ri, kati ndo chi'in na ―kàti Jesuu chi'in ndra.
MAT.21.4	Takan kūu yi, ikan na chinu ma tu'un kā'an ma ra kà'an chi'in tu'un yu'u Ndioo, ora tāa ra te'en nuu tutu ra:
MAT.21.5	Na kukatitu'un ndo te'en nuu ndisaa ma ñivi ìyo ma ñuu Sión:
MAT.21.5	“Na nde'e ndo ña nduva'a nda'vi vàchi ma ra kùu Rey ndo yoso ra iin burru yoko chi'in ma'á ri,
MAT.21.5	se'e ma kiti chìto kuiso karia”,
MAT.21.5	kàti yi.
MAT.21.6	Tajan kēe ndio ma ndra jàkua'a chi'in Jesuu kàcha'an ndra, ta jā'a ndra yi ma tava kā'an ra chi'in ndra. 
MAT.21.7	Takan kūu tajan ndàka ndio ndra ma burru, chi'in ma kiti vali se'e ri chāa ndra nuu ra, ta tīsukun ndra ma ja'ma isukun ndra chata ninduvi ndri, tajan chākoso ndio Jesuu ri. 
MAT.21.8	Ta ikan kūti'vi nduva'a kuii kua'a' ñivi. Ta ndiakan kīcha'a ndio na chàkin na ja'ma isukun na ma tichi iti' nuu kuà'an Jesuu. Ta ìyo inga ndian chā'nu soko yutun, ta chākin na yi ma tichi iti' ndia. 
MAT.21.9	Ta ma ñivi yosonuu, chi'in ma ñivi kàkichi iti' chata, te'en kànachaa ni'i na:
MAT.21.9	―¡Ya'a ga ka'nu kùu ma ra vàchi tata ma rey David! ¡Ya'a ga ií kùu ma ra vàchi chi'in sivi ma Racha'nu! ¡Ta nduva'a na jaka'nu yo Racha'nu Ndioo nuu ìyo ra andivi! ―kàti na.
MAT.21.10	Takan kūu tajan ora kī'vi ndio Jesuu ma ñuu Jerusalén, tajan ndisaa ndio ma ndian ìyo ikan nduva'a nāndiki na jā'a Jesuu ora kī'vi ra ikan. Ta te'en kīcha'a ndio na chìkatu'un ta'an na:
MAT.21.10	―¿Nda ra kùu ra'ya? ―kàti na.
MAT.21.11	Ta ma ñivi kàcha'an chi'in Jesuu te'en nāka'an na chi'in na:
MAT.21.11	―Ra'ya kùu Jesuu, ra kà'an chi'in tu'un yu'u Ndioo, ra kīchi ñuu Nazaret, ña kàndii iti' ñu'u' Galilea ―kàti na.
MAT.21.12	Takan kūu tajan kī'vi ndio Jesuu ma tichi veñu'u ka'nu ma Ndioo, ta tāvani'i ndi'i ra ma ndian ka'ìin xiko, ta jata ma tichi veñu'u. Kānindee ra ma mesa nuu ka'ìin ma ndian sàma xu'un' nuu ma ñivi, ta tayu nuu ka'ìin ma ndian xìko livi ndia. 
MAT.21.13	Tajan te'en nāka'an ndio ra chi'in na:
MAT.21.13	―Nuu ma tutu Ndioo ña tāa ma Moisés te'en kà'an yi: “Ma ve'i kùu yi iin ve'e nuu kà'an ma ñivi chi'i̱n.” Va ndyo'o, jāndakuu ndo yi iin ve'e kuenda ma ndian su'u ―kàti Jesuu chi'in na.
MAT.21.14	Tajan chājayatin ndio ma ndian kuaá ma nuu ndaa Jesuu ma tichi veñu'u ka'nu, chi'in ndian koxo, ta jānda'a ra na. 
MAT.21.15	Va ora ndē'e ma ndra kuxini nuu sutu, chi'in ma ndra matru jàkua'a tutu Ndioo ma ndatu ña jà'a Jesuu, ta naja kua chìni ndra ña endee nanivaa kùu ma ndiakuati ma tichi veñu'u, ña te'en kànachaa na: “Ya'a ga ka'nu kùu ma ra kīchi tata ma rey David”, kàti na, ta nduva'a kūxaan ndra. 
MAT.21.16	Tajan te'en nāka'an ndra chi'in Jesuu:
MAT.21.16	―¿A chìniun ña kàka'an ma ñivi ikan? ―kàti ndra.
MAT.21.16	Ta Jesuu te'en nāka'an ra chi'in ndra:
MAT.21.16	―Juu, chìni̱ ma ña kà'an na, va ¿a takä'an jakua'a ndo nuu ma tutu Ndioo ña tāa Moisés nuu kà'an yi te'en?:
MAT.21.16	Chi'in yaa ña chìta ma ndiakuati,
MAT.21.16	chi'in ma ndian juuni chàxin,
MAT.21.16	chi'in yakan jàna'a ma Ndioo nuu ndo,
MAT.21.16	ña takan ìyo yi ña jaka'nu ndo ra ndia
MAT.21.16	kàti Jesuu.
MAT.21.17	Tajan ndākoo ra ma ñivi ikan, ta kēe ra kuà'an ra inga ñuu ña nàni Betania, nuu kāva ra iin chanikuaa.
MAT.21.18	Ta ora chīkoni'i ndiko Jesuu ma ñuu ka'nu, ma ora na'ani, ta chāñu ndio ma soko ra. 
MAT.21.19	Ta ikan ndē'e ra ña ndaa iin yutun higu yatini ma yu'u iti', ta chājayatin ra ra nuu ndaa run, va tükuii nuva koo ma nuu run, ti mamaa nda'ani run ìyo. Tajan kā'an xaan ndio ra run:
MAT.21.19	―¡Nda vitin, ta iti' nuu, na tüva ni ku'vaun ma chiti! ―kàti Jesuu chi'in run.
MAT.21.19	Ta juuni ma ora ikani nātii run, ta chī'í run. 
MAT.21.20	Ta ora ndē'e ma ndra jàkua'a chi'in ra ma ña kūu, ta ndava kuà'an anima ndra, ta te'en chīkatu'un ndio ndra nuu Jesuu:
MAT.21.20	―¿Niyi tā'an ma yutun higu ña yā'a ga numi nātii run? ―kàti ndra.
MAT.21.21	Ta Jesuu te'en nāka'an ra chi'in ndra:
MAT.21.21	―Ndicha va'i ña kà'in chi'in ndo, ña tu chìnu va'ani ndo ma tu'un Ndioo, ta töve ndo'uvini ndo, na yöve uvaa ma ña jā'i chi'in ma yutun higu i'yani kùu ja'a ndo, vati juuni kùu ka'an ndo te'en, chi'in ma yuku i'ya ndia: “¡Na kundachiyoun chiña, ta nduvaun nuu ma tañu'u!”, kati ndo, ta takan ni kuu yi. 
MAT.21.22	Ta ndisaa ma ña chìkan ndo ora kà'an ndo chi'in ma Racha'nu, tu ndicha ña chànini ndo ña ni kuu yi, ni ni'i ndo yi ―kàti Jesuu chi'in ma ndra jàkua'a chi'in ra.
MAT.21.23	Takan kūu tajan kī'vi ndio Jesuu ma tichi veñu'u ka'nu ña kua jana'a ra, ta ora juuni ndaa ra jàna'a ra nuu ma ñivi, ta chājayatin ndio ma ndra kuxini nuu sutu, chi'in ndra cha'nu kuenda ma ndian judíu nuu ra, ta te'en chīkatu'un ndra nuu ra:
MAT.21.23	―¿Yo chā'a tiñu nuu̱n ña jā'un te'en? ¿Yo kùu ma ndian tīyu'u ñu̱n ña na ja'un yi? ―kàti ndra chi'in Jesuu.
MAT.21.24	Ta Jesuu te'en nāka'an ra chi'in ndra ndia:
MAT.21.24	―Juuni kùuni du mai ndakatu'in iin nakuyi nuu ndo ndia, tu katitu'un ndo ma ña chìkatu'in nuu ndo, tajan katitu'in nuu ndo yo chā'a tiñu nui ña jā'i yi. 
MAT.21.25	¿Yo kùu ma yo tāchi ma Xuva ña na jakunduta ra?, ¿a Ndioo, a ma ñivi? ―kàti Jesuu.
MAT.21.25	Tajan te'en kīcha'a ndio ndra kànita'an yu'u ndra juuni chi'in maa ndra:
MAT.21.25	―Tu kati yo: “Ña Ndioo tāchi ra”, ta rakan ni ka'an ra chi'in yo ña: “¿Naja töve nī jachi'in ndo ña kà'an ra tuva takan?” 
MAT.21.26	Ta na küu kà'an yo ña: “ñivi tāchi ra”, ni kuxaan ma ñivi chi'in yo, vati ndisaa na chànini na ña iin ra kà'an chi'in tu'un yu'u Ndioo kùu Xuva ―kūuni ndra.
MAT.21.27	Yakan va te'en nāka'an ndio ndra chi'in Jesuu:
MAT.21.27	―Töve chìto ndi, yo tāchi ra ―kàti ndra.
MAT.21.27	Tajan Jesuu te'en nāka'an ndio ra chi'in ndra:
MAT.21.27	―Ni yu'u, küu katitu'in nuu ndo yo tīyu'u yu'u ña jà'i ma tiñu i'ya ndia ―kàti Jesuu.
MAT.21.28	Takan kūu tajan Jesuu, te'en nāka'an tuku ra nuu ndra:
MAT.21.28	―¿Naja kua chànini ndo cha'a' ma ña ni ka'in i'ya? Iin ra'ii chīyo uvi ndra se'e ra. Ta rakan, te'en nāka'an ra chi'in iin ra: “Yo'o se'yu, na ku'u̱n kujatiñu̱n nuu kàa ma ndatiñu yo vitin”, kàti ra chi'in ra. 
MAT.21.29	Ta ma ra se'e ra, te'en nāka'an ra chi'in ra: “¡Na küuni̱!”, kāti ra ma ora ikan. Va ora cha yā'a ndio tajan sāma ma kua chànini ra, ta chā'an ra chājatiñu ra. 
MAT.21.30	Ta ikan jan chānde'e ra inga ma ra se'e ra, ta indukuni takua kā'an ra chi'in ma ra nunuu, kā'an ra chi'in ra. Ta ra'ya te'en nāka'an ra: “Va'a tatá, ku'in”, kāti ra. Va töve nī cha'an ra. 
MAT.21.31	¿Nda ra kùu ma ra kāndicha ma tiñu kā'an ma tatá ndra?, kùuni ndo ―kàti Jesuu chi'in ndra.
MAT.21.31	Ta ndrakan te'en nāka'an ndra:
MAT.21.31	―Ma ra nunuu ―kāti ndra.
MAT.21.31	Takan kūu yakan va te'en nāka'an ma Jesuu:
MAT.21.31	―Ndicha va'a ña kà'in chi'in ndo, ña ma ndra nàka'an xu'un' kuenda kuvienu ma ñuu ndo, chi'in ma ñivi ña'a tondo, ji'na ga na ni ki'vi nuu chà'nda Ndioo tiñu kua maa ndo. 
MAT.21.32	Vati ma Xuva ra jàkunduta kīchi jana'a ra nuu ndo naja kuu yi ña koo ndo takua kùuni Ndioo, va ndyo'o töve nī jachi'in ndo ña kà'an ra. Va taku ma ndian nàka'an xu'un' kuenda kuvienu ma ñuu ndo, chi'in ma ñivi ña'a tondo, ndiakan jāchi'in na ña kā'an ra. Va ndyo'o, vaji ndē'e ndo ña takan kūu yi ma i'ya, va töve kùuni ndo sama ndo ma kua kini kua ìyo ndo, ta chinuni ndo ma ña kà'an ra.
MAT.21.33	Takan kūu ta te'en nāka'an tuku Jesuu inga ku'va nuu ndra:
MAT.21.33	―Na taso'o va'a ndo ma inga ku'va ña ni ka'in: Tatiempu chīyo iin ra ìyo iin ñu'u' ka'nu, ta rakan tāchi ra yoku'u uva nuu yi, ta chāsi ra ma nuu kàa yi. Ta juuni jā'a ra iin nuu naku'ni ra ma uva, ta jā'a ra iin torri ka'nu kuenda ña na chaa nuu ra nde'e ra ninii ma nuu kàa vu.
MAT.21.33	’Ta ikan jan jākilaa ndio ra ma ñu'u nuu iin ma ndra jàtiñu chi'in ra, ta kēe ndio ra kuà'an ra iin tiempu ma nuu chika. 
MAT.21.34	Ta ora chāa ndio ma tiempu ña cha kēta ndio ma ndatiñu ikan, tajan tāchi ndio ma ra chito'o ma ñu'u' iin ma ndra jàtiñu kuenda ra ña na ku'va ma ndra jàtiñu nuu ñu'u' ra ma ña ìyo yi ña ndaki'in ra. 
MAT.21.35	Va ma ndra jàtiñu ikan, tīin ndra ma ndra jàtiñu kuenda ra, ta iin ra va kāni ndra, inga ra chā'ni ndra, ta inga ra va kāni ndra chi'in yuu. 
MAT.21.36	Tajan ma ra kùu chito'o ma ñu'u' ikan, tāchi ndiko ra tiá kua'a' ma ndra jà'a tiñu nuu ra nuu ndra kua ma cha'a' nunuu, va ma ndra jàtiñu ikan, indukuni takan jā'a ndra chi'in ndisaa ndra ndia.
MAT.21.37	’Ta ma nuu ndi'inia, va tāchi ndio ra ma ra se'e maa ra, ti te'en chānini ra: “Cha chìto yo ña ni tiñu'u ndra, ta jàchi'in ndra ña kà'an ma ra se'o.” Takan kūuni ra. 
MAT.21.38	Va ora ndē'e ndio ma ndra jàtiñu nuu ñu'u' ra ña vàchi ndio ma ra se'e maa ndio ra, tajan te'en kīcha'a ndra nàtu'un ndra juuni chi'in maa ndra: “Ra'ya kùu ma ra ni kindoo chi'in ma ñu'u' i'ya, na ka'nio ra, ta kindoo yo chi'in ma ñu'u'”, kāti ndra. 
MAT.21.39	Tajan tīin ndio ndra ra, ta tāva ndra ra nuu kàa ma yoku'u uva, ta chā'ni ndra ra.
MAT.21.40	’Ta vitin ora ni kichaa ndio ma ra kùu chito'o ma ñu'u', ¿nayi ni ja'a ra chi'in ma ndra jàtiñu takan?, kùuni ndo ―kàti Jesuu chi'in ndra.
MAT.21.41	Ta ndrakan te'en nāka'an ndra chi'in Jesuu:
MAT.21.41	―Na töve nī kunda'vini chito'o ma yoku'u uva ndra, ti ni ka'ni ra ma ndra kini ikan, ta ni jakilaa ra ma ñu'u' ra nuu inga tuku ma ndra ña kùuni ku'va ndra ma ndatiñu ra nuu ra ora jàtiñu ndra, ma takua ìyo yi ña ja'a ndra ―kàti ndra.
MAT.21.42	Tajan Jesuu te'en nāka'an ra chi'in ndra:
MAT.21.42	―¿A takä'an kuii jakua'a ndo nuu ma tutu Ndioo ña tāa Moisés nuu kà'an yi te'en?:
MAT.21.42	Ma yuu ña jāchiyo ma ndra jàva'a ve'e,
MAT.21.42	yakan kùu ma yuu ka'nu ga kua ndisaa yi,
MAT.21.42	takan jā'a ma Racha'nu,
MAT.21.42	Yakan va ña'a kùu yi iin ña ya'a vii kuenda yo,
MAT.21.42	kàti yi.
MAT.21.43	’Cha'a' yakan kùu yi ña kà'in chi'in ndo ña ma nuu chà'nda Ndioo tiñu, ni namaa ra yi nuu ndo, ta ni ku'va ra yi nuu ma ndian jà'a ma tiñu va'a kuenda ra. 
MAT.21.44	Ta nda ndian nikuuni ña ni nduva chata ma yuu ka'nu ikan, endee ni kuche'e che'e na, tatu ma yuu ikan kòyo yi chata iin ñivi, endee ma yuyaania ni kuu na ja'a yi ―kàti Jesuu.
MAT.21.45	Takan kūu tajan ora chīni ma ndra kuxini nuu sutu, chi'in ma ndian fariseu ma ku'va ña kā'an Jesuu, ikan chā'a ndio ndra kuenda ña chata ndra kà'an ra. 
MAT.21.46	Tajan kūuni ndra tiin ndra Jesuu, va yū'vi ndra ma ñivi, ti ndiakan cha chànini na ña Jesuu kùu ra iin ra kà'an chi'in tu'un yu'u Ndioo.
MAT.22.1	Takan kūu tajan kīcha'a ndiko Jesuu kà'an ra iin ku'va nuu ma ñivi, ta te'en nāka'an ra:
MAT.22.2	―Ma nuu chà'nda Ndioo tiñu kùu yi, takua kùu iin viko tànda'a ña jā'a ma ra kùu rey kuenda ma ra se'e ra. 
MAT.22.3	Tāchi ra ma ndra jàkuu tiñu nuu ra, ña na kukana ndra ma ndian jainvitaa ra, va ma ndiakan nī kuuni na ku'un na. 
MAT.22.4	Tajan tāchi ndiko ma ra kùu rey ma ndra jàkuu tiñu nuu ra inga cha'a', ta te'en nāka'an ra chi'in ndra: “Na katitu'un ndo nuu ma ndian jainvitaa, ña na kichi na, ti cha ìyo va'a ma ña kachi na, vati cha tāchi̱ ña na ka'ni na kua'a' kiti ndu'u janai. Ta na kichi na, ti ndisaa yi cha ìyo va'a”, kati ndo. 
MAT.22.5	Va ma ndian jainvitaa ra töve nī jachi'in na ña kà'an ma ra kùu rey, ti ìyo ndian kēe kuànde'e ma nuu kàndii ñu'u' na, ta ìyo ndian kēe kuà'an nuu ìyo tiñu jà'a na. 
MAT.22.6	Ta inga na, va tīin na ma ndra jà'a tiñu nuu ma rey, ta nduva'a kāni na ndra, ña ndava ni kuvi ndra jà'a na niku. 
MAT.22.7	Tajan nduva'a kāyuni ma ra kùu rey, ta tāchi ndio ra ma ndra jandaru ra, ña na kuka'ni ndra ma ndian kini chà'ni ndií ikan, ta ka'mi ndra ndisaa ma ve'e ña ìyo ma ñuu ndra ndia. 
MAT.22.8	Tajan te'en nāka'an ndio ma rey chi'in ma ndra jàkuu tiñu nuu ra: “Ndisaa nakuyi cha ìyo va'a jā'i kuenda ma viko tanda'a, va ma ndian jainvitaai, na töva ni ku'vai na kichi na i'ya. 
MAT.22.9	Na ku'un ndo nuu kùtisi'in ma kai ka'nu, ta na jainvitaa ndo, ma nda ndian nikuuni ña nàta'an ndo, ta kichi na chi'in ndo ma viko tànda'a i'ya”, kàti ra chi'in ndra. 
MAT.22.10	Tajan kēe ndio ma ndra jàkuu tiñu nuu ma rey kàcha'an ndra iti' kai, ta jāti'vi ta'an ndra tandi'i ma ndian nāta'an ndra ikan, chïto a kùu na ndian va'a a ndian tüvi va'a. Takan jā'a ra ña nī'i ra ñivi kuenda ma viko tànda'a, ña endee chītu ndio ma tichi ve'e ra.
MAT.22.11	’Tajan kī'vi ndio ma ra kùu rey ma tichi ve'e, ikan na kuu nde'e ra ma ndian chājati'vi ta'an ndra ma veto'o, ta ikan ndē'e ra iin ra töve ñu'u ja'ma ña chàku'un na ora chà'an na ma viko tànda'a. 
MAT.22.12	Ta te'en nāka'an ra nuu ra: “Yo'o xaa, ¿naja jā'un ña kī'viun ma i'ya, ta töve ñù'u̱n ma ja'ma ña chàku'un na ora kuà'an na nuu ìyo ma viko tànda'a?”, kàti ra chi'in ra. Va ma ra'ii ikan taxiin kīndoo ra. 
MAT.22.13	Tajan ma rey, te'en nāka'an tuku ra chi'in ma ndra jàkukava ma nuu mesa: “Na ku'ni ndo cha'a ra chi'in nda'a' ra, ta jaketa ndo ra nuke'e nuu naa, ikan ni kuaku ra, ta ni kari'u ma nu'u ra, jà'a ma tundo'o ni nde'e ra.” 
MAT.22.14	Vati nduva'a kua'a' na kànai, va tiani na kùu ma ndian kàchi̱n ―kàti Jesuu.
MAT.22.15	Takan kūu tajan ma ndra fariseu kēe ndio ndra chājando'iin tu'un ndra, naja kua jà'a ndra ña na ka'an Jesuu iin ña tüvi va'a, ta chi'in yakan kùu ni'i ndra naja kua tìsokuati ndra ra. 
MAT.22.16	Tajan tāchi ndio ma ndra fariseu ita'vi ma ndra ìyo kuenda ndra, chi'in ita'vi ma ndra ìyo kuenda Herode. Ta ndrakan te'en nāka'an ndra chi'in Jesuu:
MAT.22.16	―Matru, cha chìto ndi ña yo'o kùu ma ra kà'an tu'un ndaa, ta juuni jàna'a ndaun naja kua kùuni Ndioo ña koo yo, ta töve kì'in kuendaun ña kà'an ma ñivi, vati indukuni ndè'un ndisaa ñivi. 
MAT.22.17	Na katitu'u̱n nuu ndi: ¿A va'a tìa'vi ndi xu'un' nuu ma ra César, ña chà'nda tiñu ma ñuu Roma kùuniun?, ¿a töve? ―kàti ndra chi'in ra.
MAT.22.18	Va Jesuu chā'a ra kuenda, ña na yüvi ña va'a kùu ma ña chànini ndra kuenda ra, ta te'en nāka'an ndio ra nuu ndra:
MAT.22.18	―Ndyo'o ndra kini, ta, ¿naja kùuni ndo janda'viña'a ndo yu'u? 
MAT.22.19	Na jana'a ndo nui naja kua kàa ma xu'un' ña tìa'vi ndo ―kàti Jesuu.
MAT.22.19	Tajan chāki'in ndra iin xu'un' denariu chā'a ndra nuu Jesuu. 
MAT.22.20	Ta ora ndē'e ndio Jesuu yi, ta te'en chīkatu'un ra nuu ndra:
MAT.22.20	―¿Yo nuu kùu ma ña ìyo nuu ma xu'un' i'ya, ta ma sivi ña ìyo nuu yi? ―kàti ra chi'in ndra.
MAT.22.21	Ta ndrakan te'en nāka'an ndra chi'in ra:
MAT.22.21	―Ma ña César, ra chà'nda tiñu ñuu Roma kùu yi ―kàti ndra chi'in Jesuu.
MAT.22.21	Tajan Jesuu te'en nāka'an ra nuu ndra:
MAT.22.21	―Na ku'va ndo ña kùu ña'a ma racha'nu César nuu ra, ta ña kùu ña'a Racha'nu Ndioo nuu Ndioo ―kàti Jesuu chi'in ndra.
MAT.22.22	Ta ora chīni ndra ña kā'an ra takan, ta ndava kuà'an anima ndra, tajan ndākoo ndra ra, ta kuà'an ndra.
MAT.22.23	Ta juuni ma kivi ikan, ìyo ndra saduceu, chānde'e ndra Jesuu. Ta ndrakan kàti ndra, ña tüva nàtaku ma ndian ndií, cha'a' yakan kùu yi ña, te'en chīkatu'un ndra nuu Jesuu:
MAT.22.24	―Matru, Moisés kā'an ra ña, tu iin ra cha tānda'a kùvi ra, ta töve nī chakoo nï'iin se'e ra, ma ra yani ra, ìyo yi ña tanda'a ra chi'in ma ñasi'i ra ña kīndoo nda'vi, ta takan kùu koo se'e ma ra chī'í jà'a ma ra yani ra. 
MAT.22.25	Va'ani, tañu ndyu'u chīyo ucha ta'an ndra, ña kùu ndra yani ndra. Ma ra nunuu tānda'a ra, ta chī'í ra. Ta tava töve nī chakoo se'e ra chi'in ma ñasi'i ra, yakan va kīndoo ma ña nda'vi ikan kuenda ma yani ra, ra uvi. 
MAT.22.26	Ta juuni indukuni takan töve nī chiyo se'e ma ra uvi chi'an, ta chī'í ra ndia. Ta takan ya'a ndi ucha yani ndra ña tānda'a ndra chi'an ta ndisaa ndra chī'í ndia. 
MAT.22.27	Ta ma nuu ndi'inia, chī'í ndio ma ña'a ndia. 
MAT.22.28	Va'ani, ta ma ora ni nataku ndiko ma ndian cha chī'í, ¿nda ndra ni kuu ma iian, tuva ndi ucha ndra ña kùu ndra yani ndra tānda'a ndra chi'an? ―kàti ndra.
MAT.22.29	Ta ma Jesuu te'en nāka'an ra chi'in ndra:
MAT.22.29	―Na yüvi takan kùu yi, takan chànini ndo, ti töve nàkoto ndo naja kua kà'an ma tutu Ndioo, ta naja kua kùu ma ndatu Ndioo ndia. 
MAT.22.30	Vati ora ni nataku ma ndian cha chī'í, na tüva ni tanda'a na, ta tüva ni ku'va na se'e na kuenda ña tànda'a na ndia, ti ni kùu na tava kùu ma ndian kùu tati va'a ña ìyo andivi ña jà'a tiñu nuu Ndioo. 
MAT.22.31	Va ndicha kuii ña nàtaku ndiko ma ndian chī'í, ¿a takä'an jàkua'a ndo nuu ma tutu Ndioo, nuu kà'an ra te'en?: 
MAT.22.32	“Yu'u kùu Ndioo ta indukuni yu'u kùi ra kùmi Abraham chi'in Isaac chi'in Jacob ndia”, kàti yi. I'ya chà'a yo kuenda ña Ndioo töve kùu ra Ndioo ma ndian ndií, ti kùu ra Ndioo ma ndian ndito.
MAT.22.33	Ta ora chīni ma ñivi ma tu'un ña kā'an Jesuu, ndava kuà'an anima na chìni na ña jàna'a ra.
MAT.22.34	Ta ora chīto ma ndra fariseu ña Jesuu jākutaxin ra ma ndra saduceu, tajan kūti'vita'an ndio ndra ma nuu ndaa ra. 
MAT.22.35	Ta iin ma ra meru ndra ña kùu matru jàkua'a tutu ley Ndioo, te'en chīkatu'un ra nuu Jesuu, ña kùuni ra ki'in ra ku'va ra nde'o naja kua kati ra:
MAT.22.36	―Matru, ¿nda tu'un ìyo nuu ma tutu ley Ndioo ka'nu ga yi kua tandi'i ga ma inga tu'un ìyo nuu yi?, kùuniun ―kàti ra.
MAT.22.37	Ta Jesuu te'en nāka'an ra chi'in ra:
MAT.22.37	―“Na kuuni ndo nde'e ndo ma Racha'nu Ndioo chito'o ndo chi'in ndisaa anima ndo, chi'in ndisaa ñandee ndo, ta chi'in ndisaa chinituni ndo.” 
MAT.22.38	Tu'un i'ya kùu tu'un ka'nuga, ta ma tu'un nunuu ña ìyo nuu ma tutu Ndioo. 
MAT.22.39	Ta ma tu'un uvi, cha yatin indukuni kùu yi, ta te'en kà'an yi: “Na kuuni ndo nde'e ndo ma ñivi ìyo yatini xiin ve'e ndo tava kùuni ndo nde'e ndo juuni maa ndo.” 
MAT.22.40	Ta chi'in uvi tu'un i'ya jàchinu yi tandi'i ma ley Ndioo chi'in ma tu'un kā'an ndra kà'an chi'in tu'un yu'u ra taji'na ndia ―kàti Jesuu.
