GEN.1.1	Pamugaan, Allah manjadiakan langit wan bumi. 
GEN.9.15	maka Aku pacangan mangganang parjanjian-Ku nang sudah Kuadaakan lawan ikam wan sagala makhluk nang hidup, sagala nang banyawa. Kada pacangan ada banyu baꞌah ganal lagi nang mahabisi sagala makhluk nang hidup. 
GEN.9.16	Amun balahindang tu ada di langit, maka Aku pacang malihatnya lalu mangganang parjanjian-Ku nang kakal antara Aku lawan sagala makhluk nang hidup nang ada di bumi.”
GEN.9.17	Allah bapirman pulang lawan Nuh, “Nah, itu pang tanda parjanjianKu nang Kuadaakan antara Aku lawan ikam wan sagala makhluk hidup nang ada di bumi.” 
GEN.12.1	“Tinggalakan haja banua ikam, rumah kuitan ikam wan dangsanak dangsanak ikam. Tulak ja ka banua nang pacang Kutuduhakan lawan ikam. 
GEN.12.2	Aku pacangan maulah juriat ikam manjadi suku nang ganal, mambarkahi ikam wan jua maulah ngaran ikam dikatahui wan dihurmati urang banyak. Malalui ikam, Aku pacangan mambarkahi urang lain jua. 
GEN.12.3	Aku pacangan mambarkahi urang-urang nang baik lawan ikam. Sadangkan, nang jahat lawan ikam, pacangan Kukutuk. Wan malalui ikam samunyaan suku suku di bumi pacangan Kubarkahi” ujar Allah bapirman lawan Abram.
GEN.12.4+GEN.12.5	Abram maasi lawan napa nang disuruhakan Allah. Tulak ai sidin matan kota Haran
GEN.12.6	Abram bajalan tarus di banua nitu sampai ka puhun ganal di wadah nang bangaran More, nang parak kampung Sikhem yaitu wadah ibadah. Wayah itu, urang-urang Kanaꞌan bagana di situ.
GEN.12.7	Allah manampaiakan diri-Nya lawan Abram.
GEN.12.7	“Banua Kanaꞌan ini pacang Kubariakan gasan juriat ikam” ujar Allah bapirman ka Abram.
GEN.12.7	Lalu Abram manyusun batu manjadi mija wadah mambanam binatang kurban gasan mahurmati Allah nang sudah manampaiakan diri-Nya lawan sidin. 
GEN.15.1	Imbah itu, Abram manarawang. Wayah sidin manarawang, sidin mandangar ucapan Allah.
GEN.15.1	“Bram, jangan takutan! Aku ni pang nang malindungi wan manulungi ikam. Aku pacangan mambarkahi ikam kaina” ujar Allah.
GEN.15.2	“Ya ALLAH, Tuhan ulun, sabujurannya, gasan apa jua Pian mambariꞌi napa-napa gasan ulun sualnya ulun kaina pacangan kada baisi anak jua sampai ulun maninggal? Budak ulun, si Eliezer, urang Damsyik tupang, kaina nang mawarisi kasugihan ulun. 
GEN.15.3	Pian kada mambari ulun anak, maka budak ulun ai kaina, nang manjadi ahli waris ulun” ujar Abram manyahut.
GEN.15.4	“Kada Bram ai, lain urang nang ini pang, tapi anak kandung ikam saurang nang pacangan manjadi ahli waris ikam kaina!” ujar Allah baucap pulang. 
GEN.15.5	Imbah itu, Allah mambawa Abram kaluar matan tenda.
GEN.15.5	“Janaki pang ka langit! Rekeni bintang-bintang amun ikam kawa marekeninya. Saitu pang kaina banyaknya juriat ikam!” ujar Allah manjalasakan.
GEN.15.6	Lalu bujur bujur parcaya ai Abram lawan napa nang dijanjii Allah. Lantaran itu, Allah maanggap Abram tu urang nang bujur. 
GEN.16.1	Bini Abram, nang bangaran Sarai tu, kada sing anakan jua. Tagal, inya baisi saikung budak babinian urang Mesir nang bangaran Hajar.
GEN.16.2	“Pian tahu ai, kalo? Allah kada mambulihakan ulun baranak. Lantaran itu pang, kawini ja budak ulun tu. Kalo ai ulun kawa baulihi anak matan inya” ujar Sarai baucap lawan Abram.
GEN.16.2	Abram akur haja lawan kahandak bininya tu. 
GEN.16.3	Lalu disarahakan Sarai budaknya tu lawan lakinya gasan jadi madunya. Wayah itu, sudah sapuluh tahun Abram bagana di banua Kanaꞌan. 
GEN.16.4	Abram guring bakumpul lawan Hajar. Lalu batianan ai Hajar. Tagal imbah Hajar tahu amun inya tu batianan, inya jadi wani lawan majikannya, Sarai.
GEN.16.5	“Imbah batianan, inya mahina ulun. Bujur ja ulun saurang nang manyarahakan inya ka Pian. Tapi wayahini inya wani lawan ulun, itu pang kasalahan Pian. Biar haja Allah nang mahakimi siapa nang bujur antara ulun wan Pian” ujar Sarai maniwas lakinya.
GEN.16.6	“Inya tu budak ikam, kalo? Diapa-i ja inya sakahandak ikam napa nang ikam anggap baik” ujar Abram manyahut.
GEN.16.6	Lalu bakajam ai Sarai lawan Hajar, sampai inya tajun maninggalakan majikannya.
GEN.16.7	Lalu malaikat ALLAH manamuinya parak sumber banyu di padang pasir, yaitu di jalan nang baampah ka Syur.
GEN.16.8	“Ui Hajar, budak Sarai, ikam matan mana wan handak ka mana?” ujar malaikat tadi.
GEN.16.8	“Ulun tajun maninggalakan Sarai, majikan ulun” ujar Hajar manyahut.
GEN.16.9	“Babulik ja ka majikan ikam. Biar ja inya balaku kajam lawan ikam, turuti ja napa nang kahandak inya. 
GEN.16.10	Aku pacang manjadiakan juriat ikam banyak banar, sampai kada kawa direkeni lantaran saling banyakan” ujar malaikat Allah tadi. 
GEN.16.15	Hajar manuruti suruhan malaikat wan babulik ka Sarai, lalu inya maranakakan saikung anak lalakian gasan Abram. Anak tu dingarani Ismail ulih Abram. 
GEN.16.16	Wayah itu, Abram baumur lapan puluh anam tahun.
GEN.17.1	Wayah Abram baumur sambilan puluh sambilan tahun, Allah manampaiakan diri-Nya lawan sidin.
GEN.17.1	“Bram, Aku ni Allah Nang Mahakuasa, maasi ja lawan Aku wan lakuakan ja kahandakKu. 
GEN.17.2	Maka, Aku maadaakan parjanjian antara Aku lawan ikam, wan juriat ikam pacangan Kuulah jadi banyak banar” ujar Allah sambil batampai lawan Abram. 
GEN.17.3	Basujut ai Abram. 
GEN.17.4	“Nah, ini nah parjanjianku lawan ikam. Aku bajanji ikam pacangan manjadi padatuan banyak bangsa. 
GEN.17.5	Lantaran itu pang, ngaran ikam lain Abram lagi, kuganti jadi Ibrahim sualnya ikam sudah Kupilih jadi padatuan banyak bangsa.
GEN.17.6	Juriat ikam pacangan Kuulah saling banyakan sampai manjadi bangsa-bangsa. Raja-raja gin pacangan baasal matan ikam jua. 
GEN.17.7	Aku maadaakan parjanjianKu lawan ikam wan juriat ikam turun-tamurun manjadi parjanjian nang kakal. Aku nang manjadi Tuhan ikam wan Tuhan juriat ikam” ujar Allah baucap pulang. 
GEN.17.15	“Sarai bini ikam tu, jangan lagi ikam kiau Sarai. Bamula wayah ini, ngarannya jadi Sarah.
GEN.17.16	Aku pacangan mambarkahinya. Malalui inya, ikam pacangan Kubari saikung anak lalakian. Malahan Sarah pacangan manjadi padatuan bangsa-bangsa. Raja-raja bangsa gin pacangan baasal matan juriat inya” ujar Allah baucap lawan Ibrahim.
GEN.17.17	Basujut ai Ibrahim lalu tatawa lantaran rasa kada mungkin.
GEN.17.17	“Masih kawalah urang nang sudah baumur saratus tahun nang kaya aku ni baulihi anak? Lawan pulang, biniku sudah baumur sambilan puluh tahun. Mana kawa inya maranakakan anak?” ujar Ibrahim bapandir saurangan.
GEN.17.18	“Jakanya Ismail haja nang Pian barkahi jadi ahli waris ulun,” ujar Ibrahim baucap ka Allah.
GEN.17.19	“Sabujurannya, Sarah, bini ikam tu, pacangan maranakakan saikung anak lalakian gasan ikam. Inya pacang ikam ngarani Ishak
GEN.17.20	Sual Ismail, sudah kudangar parmintaan ikam. Inya pacangan Kubarkahi jua. Juriatnya Kuulah manjadi banyak banar. Anak-anaknya pacangan manjadi dua walas raja. Juriatnya pacangan Ku-ulah manjadi bangsa nang ganal. 
GEN.17.21	Tagal parjanjian-Ku pacang Kuadaakan lawan Ishak, nang pacang diranakakan Sarah gasan ikam tahun dudi pas bulan nang kaya ini” ujar Allah manyahut lawan Ibrahim.
GEN.17.22	Tuntung bapandir lawan Ibrahim, Allah maninggalakan sidin. 
GEN.18.1	Suatu hari, Ibrahim rahatan duduk di muhara lawang kemahnya di parak puhun puhun di Mamre. Lalu Allah manampaiakan diri-Nya lawan sidin. Wayah itu, harinya panas manggantang.
GEN.18.2	Pas sidin manangadah sadikit ka jalan, sakalinya ada talu ikung musapir badiri bahadapan lawan sidin.
GEN.18.3	“Pagustian ulun, amun pian hakun, baelang pang di kemah ulun. Jangan balalu haja” ujar Ibrahim baucap.
GEN.18.4	“Biar sadikit banyu diambilakan, jadi pian pian kawa mambasuh batis, lalu dudukan ai baistrahat di bawah puhun nang ini. 
GEN.18.5	Ijinakanlah ulun manyiapakan makanan sakadarnya nyaman pian pian sigar pulang. Lalu, pian pian kawa manarusakan parjalanan. Ulun tarasa tahurmat lantaran pian pian sudah hakun baelang ka wadah kami” ujar Ibrahim baucap pulang.
GEN.18.5	“Ayuja” sahut bubuhannya.
GEN.18.6	Lalu badadas ai Ibrahim mandapati Sarah di kemah.
GEN.18.6	“Ding, lakasi, ambil sabantal galapung gandum nang pambaiknya, adoni, ulah manjadi ruti bulat” ujar Ibrahim ka bininya.
GEN.18.7	Imbah itu, bukah ai Ibrahim ka wadah sapi sapi inguannya. Lalu diambilnya saikung anak sapi nang lamak. Lalu dijulungnya lawan pambantunya. Lalu langsung dimasakakannya. 
GEN.18.8	Diambilnya keju, susu lawan daging anak sapi nang sudah dimasak tu, lalu disurungakan sidin ka bubuhan musapir tu. Parahatan bubuhannya makanan, sidin badiri haja parak bubuhannya di bawah puhun tu.
GEN.18.9	“Mana bini ikam?” ujar bubuhannya batakun.
GEN.18.9	“Itu nah, urangnya ada di dalam kemah!” ujar Ibrahim manyahut.
GEN.18.10	“Nah ingatakan ja, Him ai, tahun dudi, aku pacangan babulik pulang mandapati ikam. Wayah itu, Sarah, bini ikam tu, pacangan baisi saikung anak lalakian” ujar saikung matan bubuhan musapir tu baucap.
GEN.18.10	Sarah umpat mandangarakan jua di lawang kemahnya. 
GEN.18.11	Sabujurnya Ibrahim wan Sarah tu sudah tuha banar, Sarahnya sudah ampih datang bulan. 
GEN.18.12	Lalu katawa ai Sarah.
GEN.18.12	“Sudah tuha nang kaya ini, masih bisa guring bakumpulkah akuni lawan Abahnya? Sidin gin sudah tuha jua” ujar Sarah baucap dalam hatinya.
GEN.18.13	“Kanapa maka Sarah tatawa wan kada parcaya amun inya masih kawa baranak biar inya sudah tuha? 
GEN.18.14	Adalah nang mustahil gasan Allah? Tahun kaina, wayah nang sudah Aku tantuakan tadi tu, Aku pacangan babulik pulang mandapati ikam. Wayah itu pang Sarah pacangan baisi saikung anak lalakian” ujar ALLAH baucap lawan Ibrahim.
GEN.18.15	“Kada, ulun kada katawa” ujar Sarah sambil bakulim lantaran takutan banar.
GEN.18.15	“Iya ai, jangan bakulim! Ikam dasar katawa tadi tu!” ujar Allah manyahut. 
GEN.21.1	ALLAH mambarkahi Sarah, nang kaya nang dipirmanakan-Nya, wan ALLAH malakuakan lawan Sara nang kaya nang dijanjiakan-Nya. 
GEN.21.2	Maka batianan ai Sarah, lalu inya maranakakan saikung anak lalakian gasan Ibrahim wayah sidin sudah tuha, pas wayah nang sudah dijanjiakan Allah. 
GEN.21.3	Ibrahim mangarani anaknya nang hanyar diranakakan Sarah tu, Ishak
GEN.21.4	Lalu Ibrahim manyunat Ishak, anaknya itu, wayah baumur delapan hari, nang kaya nang disuruhakan Allah lawan inya
GEN.21.5	Wayah Ishak diranakakan, Ibrahim sudah baumur saratus tahun.
GEN.21.6	“Allah sudah maulah aku katawa. Satiap urang nang mandangarnya pacang katawa jua nang kaya aku. 
GEN.21.7	Kadada saikung ikung gin nang parcaya amun aku kawa baisi anak. Tagal lihati aku sudah maranakakan saikung anak lalakian gasan lakiku wayah sidin sudah tuha” ujar Sarah baucap ka Ibrahim.
GEN.21.8	Lawas kalawasan, anak tu tambah ganal. Wayah anak tu ampih disusui umanya, Ibrahim baaruh ganal gasan marayakan kajadian nang itu. 
GEN.21.9	Wayah itu, Sarah malihat anak Ibrahim nang diranakakan Hajar, urang Mesir tu, maajaki Ishak. 
GEN.21.10	Lantaran tu, Sarah baucap lawan lakinya, “Abahnya, suruh pang bajauh budak ulun tu lawan anaknya sualnya anak budak tu kada pacangan umpat manjadi ahli waris basama-sama lawan anakku, Ishak.”
GEN.21.11	Kahandak Sarah tu maulah Ibrahim pusang sualnya Ismail tu anak lalakian sidin jua.
GEN.21.12	“Ikam kada usah pusang, Brim ai, sual budak ikam wan anaknya tu. Umpati ja kahandak Sarah tu sualnya matan Ishak ikam pacangan baulihi juriat nang Kujanjiakan tu. 
GEN.21.13	Tapi juriat anak Hajar tu nang pacangan kuulah jua manjadi satu bangsa sualnya inya tu anak ikam jua” ujar Allah baucap lawan Ibrahim.
GEN.21.14	Isuk baisukan, Ibrahim maambil makanan, sabuting kantung kulit nang baisi banyu, lalu diandaknya di bahu Hajar gasan sangu, imbah itu Hajar wan Ismail, anaknya, disuruhnya tulak bajauh. Lalu tulakan ai bubuhannya mangambara di padang gurun nang parak Kota Bersyeba. 
GEN.21.15	Imbah banyu nang di kantung kulit tu puang, dirabahakannya anak tu di bawah pupuhunan halus. 
GEN.21.16	Ditinggalakannya bajauh, lalu inya duduk kira-kira anam puluh depa jauhnya matan situ.
GEN.21.16	“Aku kada purun malihat anakku mati” ujar Hajar baucap dalam hati.
GEN.21.16	Rahatan duduk di situ, inya manangis mahalulung. Anaknya manangis jua.
GEN.21.17	Allah mandangar tangisan anaknya tu.
GEN.21.17	“Kanapa maka ikam sadih banar? Kada usah takutan sualnya Allah sudah mandangar tangisan anak tu matan wadah inya barabah. 
GEN.21.18	Paraki anak ikam, diriakan inya, wan tuntunnya. Ikam musti maharagunya sualnya Aku pacangan maulah inya manjadi bangsa nang ganal” ujar malaikat Allah baucap lawan Hajar matan langit.
GEN.21.19	Lalu Allah malihatakan lawan Hajar sabuah sumur. Hajar mandatangi sumur tu lalu kantung kulitnya diisinya lawan banyu. Imbah itu, anaknya dibariꞌinya minum.
GEN.21.20	Allah manjagai anak tu sampai inya ganal. Inya bagana di padang gurun Paran lalu inya manjadi saikung pamanah nang harat. 
GEN.21.21	Wayah inya bagana di padang gurun tu, inya dibiniakan ulih umanya lawan babinian matan Mesir. 
GEN.22.1	Imbah samuaan kajadian nang itu, Allah mauji kaimanan Ibrahim.
GEN.22.1	“Ui, Ibrahim” ujar Allah baucap.
GEN.22.1	“Pun” sahut Ibrahim.
GEN.22.2	“Bawa Ishak, anak ikam nang saikungannya, nang ikam sayangi tu, lalu tulak ja ka banua Moria. Di situ di salah satu gunung nang pacang Kutuduhakan lawan ikam, parsambahakan inya manjadi kurban banaman gasan Aku” ujar Allah manjalasakan.
GEN.22.3	Isuknya, imbah bangun guring, baisukan banar, Ibrahim mambalah kayu gasan mambanam kurban. Imbah dijaratnya kayu tadi, diandaknya di lapak kaladainya, wan dikiaunya dua ikung pambantunya wan Ishak, anaknya. Lalu tulakan ai bubuhannya ka wadah nang dipadahakan Allah lawan sidin. 
GEN.22.4	Imbah talu hari bajalan, gunung nang itu sudah talihat ulih Ibrahim matan jauh.
GEN.22.5	“Hadangi di sini haja bubuhan ikam lawan kaladai ini. Aku wan anakku handak tulak ka sana, kami handak sambahyang, imbah itu kami babulik pulang ka sini kaina” ujar Ibrahim baucap lawan dua ikung pambantunya.
GEN.22.6	Diambil sidin kayu gasan mambanam kurban tu, lalu disuruh sidin Ishak manyahan kayu tu. Sadangkan sidin saurang mambawa bara api wan lading. Lalu tulakan ai kaduduannya bajalan baimbai.
GEN.22.7	“Bah” ujar Ishak baucap lawan abahnya.
GEN.22.7	“Kanapa nak?” sahut sidin.
GEN.22.7	“Bara api wan kayu sudah ada di sini, tagal anak domba nang cagar dibanam gasan kurban, mana inya bah?” ujar Ishak batakun.
GEN.22.8	“Allah, nak ai, nang pacangan manyadiakan anak domba tu, nang jadi kurban banaman gasan Inya” sahut sidin.
GEN.22.8	Lalu bajalan pulang kaduduannya baimbai.
GEN.22.9	Imbah sampai ka wadah nang dipadahakan Allah tu, Ibrahim manyusun batu maulah mija gasan mambanam kurban. Disusunnya kayu gasan mambanam, dijaratnya Ishak anaknya tu, lalu diandaknya di atas kayu tu nang ada di atas mija batu tu. 
GEN.22.10	Imbah itu, sidin maambil lading. Pas handak manyumbalih anaknya, 
GEN.22.11	bakakajutan tadangar suara malaikat Allah di langit.
GEN.22.11	“Him, Him, Ibrahim!” ujar malaikat Allah mangiau.
GEN.22.11	“Pun” sahut sidin.
GEN.22.12	“Jangan dimatiꞌi anak ikam tu, wan jangan diapa-apai inya, sualnya wayah ini Allah sudah tahu amun ikam tu hurmat wan maasi lawan parintah-Nya. Lawan pulang, ikam langsung hakun mamparsambahakan anak ikam, nang saikungannya tu gasan Allah” ujar malaikat Allah baucap.
GEN.22.13	Ibrahim manulih lalu talihat saikung domba laki di balakang sidin nang tanduknya takait di padang sabat. Diambil sidin domba tu lalu dikurbanakannya gasan mahurupi anaknya. Lalu domba tu dibanamnya.
GEN.22.14	Lantaran itu, wadah nang itu dingarani sidin “Allah manyadiakan”. Lantaran itu pulang, sampai wayah ini urang-urang biasa baucap, “Di atas gunung pacang disadiakan Allah.”
GEN.22.15	Lalu malaikat Allah baucap pulang matan langit lawan Ibrahim.
GEN.22.16	“Aku, Brim ai, basumpah demi ngaranKu saurang. Lantaran ikam sudah balaku nang kaya itu, wan langsung hakun mamparsambahakan anak ikam nang saikungannya gasan Aku, 
GEN.22.17	maka Aku pacangan bujur-bujur mambarkahi ikam. Juriat ikam pacangan Kuulah banyak banar nang kaya bintang di langit wan karangan di pantai. Juriat ikam tu pacangan manguasai kota kota musuhnya. 
GEN.22.18	Malalui juriat ikam, samunyaan bangsa di bumi pacangan Ku-barkahi lantaran ikam maasi lawan pirman-Ku” ujar malaikat tadi manyampaiakan Pirman Allah lawan Ibrahim.
GEN.22.19	Babulik ai Ibrahim wan anaknya mandapati kadua pambantunya lalu bubuhannya tulakan baimbai ka Kota Bersyeba. Lalu, Ibrahim salajur bagana di situ. 
RUT.1.1+RUT.1.2	Wayah itu, ada saikung lalakian nang bangaran Elimele. Inya tu bubuhan urang Efrata nang bagana di kota Betlehem di daerah Yahuda. Lantaran musibah kalaparan tu, maka inya tulakan ka banua Moab lawan Naomi, bininya, lawan Mahlon wan Kilyon, dua ikung anak lalakiannya. Lalu bubuhannya bagana di sana. Wayah bubuhannya masih di sana, 
RUT.1.3	Elimeleh maninggal. Maka tatinggal Naomi, bininya tu, lawan dua ikung anaknya. 
RUT.1.4	Kadua anaknya tu bakulihi bini urang Moab. Ngaran bini Mahlon adalah Rut wan ngaran bini Kilyon adalah Orpa. Sapuluh tahun imbah itu,
RUT.1.5	kadua anak lalakian Naomi tu maninggal jua. Jadi Naomi kahilangan lakinya lawan kadua ikung anaknya.
RUT.1.6	Imbah itu, Naomi mandangar bahwa Allah sudah mambarkahi umat Israil mambari musim katam nang baik. Lantaran itu, Naomi lawan kadua ikung minantunya basisimpun handak maninggalakan banua Moab. 
RUT.1.7	Lalu, bubuhannya tulakan baimbai ka banua Yahuda.
RUT.1.8	“Bubuhan ikam bulik haja ka rumah kuitan ikam. Mudahan ALLAH salalu mambarkahi bubuhan ikam nang kaya bubuhan ikam baik lawan aku wan baik lawan aruah laki laki ikam. 
RUT.1.9	Mudahan atas barakah Allah, bubuhan ikam balaki pulang sakira bubuhan ikam ada nang malindungi pulang” ujar Naomi baucap lawan kadua minantunya tu pas di tangah jalan.
RUT.1.9	Imbah baucap nang kaya itu, Naomi bapamitan lawan mancium kadudua minantunya.
RUT.1.9	Tagal Orpa wan Rut manangis banar. 
RUT.1.10	“Kada Ma-ai, kami umpat lawan pian tulakan ka banua padatuan pian” ujar Orpa wan Rut baucap sambil manangis.
RUT.1.11	“Kada usah nak-ai” ujar si Naomi. “Baik bubuhan ikam babulik ka banua saurang. Gasan apa bubuhan ikam umpat lawan Aku? Aku ni kada kawa lagi maranakakan anak gasan jadi laki bubuhan ikam. 
RUT.1.12	Bulik ja nak-ai. Aku sudah tuha banar amun balaki pulang. Upamanya amun ada lalakian nang hakun babini wan aku, malam ini jua manikah, lalu baanakan pulang lalakian, 
RUT.1.13	Hakunlah bubuhan ikam manahan diri mahadangi sampai anak anak lalakianku ganalan? Asa kada mungkin, bubuhan ikam kada balaki pulang. Kada usah nang kaya itu. Allah sudah mahukum Aku. Jadi aku maras banar malihat napa nang bubuhan ikam musti alami lantaran hukuman Allah tu.”
RUT.1.14	Rut wan Orpa sasain nyaring manangis. Imbah itu, Orpa mancium uma mintuhanya, bapamitan, lalu inya bulik. Tagal Rut kada purun maninggalakan uma mintuhanya tu. 
RUT.1.15	“Rut, lihati ipar ikam sudah bulik ka banuanya saurang wan bulik jua ka dewa-dewanya. Tulak ja ikam nak-ai, turuti ja Orpa, bulik ka banua ikam saurang” ujar Naomi baucap lawan Rut.
RUT.1.16	“Ma, pian jangan manyuruh ulun bulik maninggalakan pian! Ulun handak maumpati pian, ka mana haja pian tulak. Di mana haja pian bagana, ulun gin hakun haja bagana wan pian. Banua pian tu, banua ulun jua.
RUT.1.16	Tuhan nang pian sambah cagar ulun sambah jua. 
RUT.1.17	Di mana haja pian maninggal, di situ jua ulun hakun maninggal wan dikuburakan. Mudahan Allah mahukum ulun sabarat-baratnya, amun ulun maninggalakan pian, kacuali mati haja nang mamisahakan kita” ujar Rut manyahut.
RUT.1.18	Naomi malihat bahwa Rut bakaras banar handak umpat, jadi inya kada bapandir lagi. 
RUT.1.19	Maka batarus ai bubuhannya tulakan ka Kota Betlehem. Pas sampai di sana, tumbur sakotaan. Bubuhan babinian di sana batakun-takun, “Bujurlah inya tu si Naomi?”
RUT.1.20	“Ikam jangan kiau aku Naomi! Kiau haja aku Mara sualnya Allah Nang Mahakuasa sudah mambiarakan Aku hidup marista banar!
RUT.1.21	Wayah aku tulak matan sini aku hidup bakacukupan, tagal wayahini Allah mambawa aku babulik pulang lawan tangan jari sapuluh haja. Lantaran itu pang, jangan lagi bubuhan ikam mangiau aku Naomi. Allah nang Maha kuasa sudah mahukum aku lawan banyak pandaritaan” ujar Naomi.
RUT.1.22	Damintu pang kisahnya kaya apa Naomi bulik matan banua Moab lawan Rut minantunya, urang Moab itu. Bubuhannya sampai di kota Betlehem wayah bamulanya musim katam jalay.
RUT.2.1	Ada urang sugih nang ngarannya Boas. Sidin tu kula arwah Elimeleh, lakinya Naomi. 
RUT.2.2	Pada suatu hari Rut baucap wan Naomi, “Ma, ulun parmisi handak kapahumaan gasan maipiꞌi jalai nang batangkay nang tagugur matan tangan tukang katam. Pangrasa ulun bubuhannya cagar mambiarakan ulun malakuakan nang itu.”
RUT.2.2	“Ayu ha coba ai nak ai! Tulak ja!” ujar Naomi manyahut. 
RUT.2.3	Maka tulak ai Rut ka pahumaan maipiꞌi jelai mairingi bubuhan tukang katam. Kabalujuran inya tulak ka pahumaan ampun Boas.
RUT.2.4	Kada lawas, datang Boas matan Kota Betlehem wan mambari salam lawan bubuhan tukang katam: “Mudahan bubuhan ikam bauntung batuah” ujar nya.
RUT.2.4	“Amiiiiin. Mudahan Allah mambarkahi pian jua” ujar bubuhan tukang katam manyahut.
RUT.2.5	“Siapa babinian tu?” ujar Boas batakun lawan mandurnya.
RUT.2.6	“Inya urang Moab nang hanyar datang lawan Naomi tumatan banua Moab” ujar Mandur manyahut. 
RUT.2.7	“Inya minta izin lawan ulun mairingi bubuhan tukang katam maipiꞌi jalai nang tagugur. Tumatan baisukan, inya bagawi tarus, hanyar haja ampih gasan baistirahat satumat di lampau” ujar Mandur baucap pulang.
RUT.2.8+RUT.2.9	“Ding, ikam maipi disini haja lawan bubuhan tukang katamku nang babinian. Kada usah ikam tulak maipi di pahumaan urang. Iringi haja bubuhan tukang katamku. Jangan jauh pada bubuhannya. Aku sudah manyuruh anak buahku nang lalakian sakira bubuhannya kada mangganggu ikam. Amun ikam haus, ambil haja banyu di tajau-tajau nang sudah diisi ulih anak buahku” ujar Boas baucap lawan Rut.
RUT.2.10	“Tuan, ulun ni urang asing. Kanapa pian baik banar lawan ulun?” ujar Ruth baucap lawan Boas sambil sujut dihadapan sidin.
RUT.2.11	“Aku sudah mandangar habar bahwa ikam ni bakti banar lawan uma mintuha ikam imbah laki ikam maninggal. Aku dangar ikam maninggalakan kuitan lawan banua ikam gasan bagana disini lawan urang-urang nang ikam balum bapatuhan. 
RUT.2.12	Mudahan Allah mambalas bakti ikam. Mudahan ikam dibarkahi Allah, Tuhan nang kita sambah di Israel lantaran ikam sudah datang mancariꞌi lindungan-Nya” ujar Boas manyahuti si Rut.
RUT.2.13	“Ulun himung lantaran Pian baik banar lawan ulun, biar ulun lain anak buah Pian” ujar Rut baucap.
RUT.2.14	“Ayu ha ding ai, datang haja, kada usah basasupanan, makani haja, culupakan rotinya dalam cacapan nang ini” ujar Boas baucap lawan Rut wayah handak makan.
RUT.2.14	Imbah itu, makan ai Rut baimbai lawan bubuhan tukang katam. Boas jua mambariꞌi jalai nang babanam. Rut makan sampai kanyang. Imbah makan, masih ada basisa. 
RUT.2.15+RUT.2.16	Imbah makan, Rut tulak pulang maipiꞌi jalay.
RUT.2.15+RUT.2.16	“Amun inya maipiꞌi jalai nang sudah bajarat, lihatakan haja. Jangan ditagur. Amun kawa, bubuhan ikam basinghaja mancabut ikit-ikit matan nang sudah dijarat-jarat itu. Gugurakan sakira ada nang diipiꞌi-nya,” ujar Boas baucap lawan bubuhan tukang katamnya imbah Rut sudah tulak.
RUT.2.17	Rut maipiꞌi jalai di pahumaan sampai sanja. Imbah itu, inya manapak-napak batang jalai itu. Sakalinya, bakulihi kira-kira satangah balik.
RUT.2.18	Imbah itu, Rut bulik ka wadah mintuhanya di kota Betlehem mambawa kulihannya. Lalu manampaiakan samunyaan kulihannya tu lawan uma mintuhanya. Lawan inya jua mambariꞌi lawan uma mintuhanya tu makanan nang kada kawa dihabisakannya wayah makan tadi.
RUT.2.19	“Di mana ikam bakulihan samunyaan ini? Dipahumaan siapa ikam bagawi hari ini? Mudahan Allah mambarkahi urang nang babuat baik lawan ikam tu” ujar Naomi baucap manakuni Rut.
RUT.2.19	Maka Rut mangisahakan lawan Naomi bahwa inya bagawi di pahumaan ampun lalakian nang ngarannya Boas.
RUT.2.20	“Nak, urang tu kula parak lawan kita jua. Inya am nang mustinya maharagu kita.
RUT.2.21	“Ma, ujar urang tu lawan ulun, ulun bulih haja tatarusan maipiꞌi jalay lawan bubuhan tukang katam sidin tu sampai ampih musim katam” ujar Rut baucap pulang.
RUT.2.22	“Hiꞌih nak ai. Katimbang ikam bagawi di pahumaan urang, bagusnya ikam bagawi lawan bubuhan tukang katam bibinian di pahumaan Boas haja sualnya amun ikam bagawi dipahumaan urang lain takutannya, ikam dingalihi urang” ujar Naomi lawan Rut.
RUT.2.23	Lantaran itu, Rut tatap haja maipiꞌi jalay di pahumaaan ampun Boas sampai tuntung musim katam. Salawas musim katam, Rut bagana lawan uma mintuhanya.
RUT.3.1	Lalu, Naomi mandatangi Rut wan baucap,
RUT.3.1	“Aku musti bausaha sakira ikam balaki pulang, sakira ikam ada nang maharagu, wan ikam bahagia. 
RUT.3.2	Ikam bagawi lawan bubuhan bibinian di pahumaan Boas, kalu? Nah Boas itu kula kita jua. Malam ini, inya cagar tulak manampi jalai di pairikan. 
RUT.3.3	Maka, ikam mandi, baminyak harum. Imbah itu, puruk baju ikam nang pambagusnya. Imbah itu, tulak ka wadah pairikan. Hadangi ja disitu sampai inya tuntung makan lawan nginum. Tagal jangan sampai sidin tahu ikam disana. 
RUT.3.4	Janaki dimana sidin guring. Amun sidin sudah guring, paraki ka situ. Imbah itu, singkai ja salimput intangan batisnya. Lalu barabah ikam parak batisnya. Kaina inya cagar mamadahi lawan ikam napa nang musti ikam lakuakan.”
RUT.3.5	“Inggih Ma-ai”, jawab Rut “Ulun umpati pandiran Pian.”
RUT.3.6	Imbah itu, tulak ai Rut ka wadah pairikan. Di sana digawinya samuaan nang disuruhakan Uma mintuhanya. 
