MAT.1.1	Uriro uvas ma garip ma eap am Iesu Karisito. Iesu irie a gar ang Devit ga Abraham.
MRK.12.2	Tie na tara maiang kuop awain la lopmaiat, asagaong non migana o ubi ga ula mai inamaniap la ubimeng na ubi a wain. Naong meba maialam noba parakiap o uriro ubi. 
MRK.12.3	Pa teip la ubimeng na ubi la tekomeng ira iriro migana o ubi ga avitmeng kirat, ga akalameng ga terigiong agarit. 
MRK.12.4	Ga mamo iang ubi la ina asagaong non migana o ubi ga ula mai. Pa oparagenmeng bugam a ga akirarameng kirat. 
MRK.12.5	Ga ina asagaong non migana o ubi. Pa menamua iriro migana o ubi ga uvara. Ga tubiat ina masagaong papot ma teip o ubi ga mela mai. Pa mavitmeng mirie, pa menamuam mirie ga mevara. 
MRK.12.6	Pa namurit ara migana la unama. Iriro migana, irie kan la poi ang, irie la mitara naong aime. Pa lagorang ara. Urie, asagaong iriro poi ang ga ula mai teip o ubi. Pa mamo ang la agatong, ‘Eba meptang ties ang poi ruang.’ 
MRK.12.7	Pa miriro inamaniap la ubimeng na ubi la man tiesmeng kan kabirana ma gare ro, ‘Iriro migana la eba aram mirier pagap ganam am mamo ang. Tie, bunamung ga aving, meba buaring uriro ubi.’ 
MRK.12.8	Are ratmat ga umaiat a ga menamua ga uvara. Ga agomeng toma malonim o ubi. 
MRK.12.9	Tie, eba mani le akosarang mamo iang ubi a wain? Miptang. Eba muong ga anamum ga meving miriro teip la ubimeng na ubi. Ga eba alang uriro ubi a wain maun noba non teip. 
MRK.12.10	Non ties la iot na babam ula puaru la ties ieng gare ro,
MRK.12.10	‘Etumariap la akosarmeng luguan a tadas ga ut. Pa agatmeng namo iruo tadas la kire, ga agomeng me toma ga ula ut na taralap. Pa tubiat irirot tadas iriet la betong natauan tadas me ngangas a luguan. 
MRK.12.11	Ila Kakani kan la tiesong, ga betong iriro tavuk. Ga bume
MRK.12.11	agima iriro ga bume turupbuaba migat.’ 
MRK.12.11	Uriro ties la iot na babam ula puaru uriet la tale kan ovasming, a?” 
MRK.12.12	Pa miriro inamaniap mila kakanim la mira ra, Iesu la mavureong o ties ga okosarong uriro ties o uvuvuo. Are ratmat ga namo umaiaring a meba maiabung na luguan o arubu. Pa merau me teip ga magaulap, are ratmat ga amaiolai ga mela.
MRK.12.13	Urie, Teip mila kakanim la masagameng non Parasaiop ga non teip a gar ang Herot ga mela ai Iesu. Namo avuvuomeng Iesu meba aramam noba tiesiap mila tale mumurum, meba maiabung na ties me ties ang kan. 
MRK.12.14	Tie mumaio ga amelo gare ro, “Migana o usingnualap, nopet, nunuo migana o ties migat. Ga tale kan nume nurau aime migana ba. Numet okosar uriet namurit ties mai mirier inamaniap, mirie la memanim bop ga mirie la tale mimanim bop. Ot ties migat la nume masingnuala teip ga magaulap a tavuk ang Morowa. Tie, agatnung gare mani? Mumuru le bualang takis aun Kaisar? Migat o karuk?” 
MRK.12.15	Pa oit ara Iesu kakarabunim maiong, ga maulo gare ro, “Me man paga ga tovuvuoming? Miarang kakep ba ga muiong me ogimarang.” 
MRK.12.16	Ga maiaro non kakep me aun. Ga mamarikong, “Iriro muranama ga uriro bonim la auong?” Pa megama, “Ang Kaisar.” 
MRK.12.17	Ga maulo Iesu gare ro, “Tie pagap am Kaisar, mirie le mialam aun Kaisar pa pagap am Morowa, mirie le mialam un Morowa.” Mepto ties ang ga turupmaiaba kirat.
MRK.12.18	Urie, mela non Sadukaiop ai Iesu. Iriro gar ma inamaniap la mime agatmeng gare ro, Inamaniap la mevarar, la tala gat ina temaiara.” Ga mirirot mi inamaniap la betmeng ai Iesu ga amarikmeng gare tiro: 
MRK.12.19	“Moses la omirong non ties gare ro: Leba noba migana la uvara, pa tale amaning kulot, pa magabun ang la man inim ka, tie papa ang iriro migana la ebun ina magiang u uriro magabun meba betmeng lop ba me gar ang papa ang meba tale neba. 
MRK.12.20	Tie non tara 7 ma papap la maionama. Natauan la olagiong magabun, pa tubiat la uvara, ga tale kan amaing kulot. 
MRK.12.21	Are ratmat ga lama narain papa ang la inabun olagiong uriro magabun, ga irie gat la uvara, ga tale kan amaning kulot. Ga lama naien papa liang irie gat la inat akosarong irie namurit tavuk. 
MRK.12.22	Are tie miriro 7 ma pavailup la magimeng iro uriro magabun, ga tale kan memaning kulot, ga mevara. Ga tubiat ivara gat magabun. 
MRK.12.23	Tie tubiat, tara la mevara ra inamaniap ga ina temaiara, uriro magabun la eba auong ba magabun migat? Onit ara, 7 ma teip la magimeng u.” 
MRK.12.24	Tiesmeng gare tiro pa maulo Iesu, ugama, “Tale maset omit ties na babam ula puaru, ga tale maset omit ngangas ang Morowa. 
MRK.12.25	Miptang! Teip ga magaulap la mevara ra, tubiat la eba ina temaiara gat, ga na irie tara tala gat magimeng. Karuk. Ebat maionang gare ba angelop la maionama na panbinim. 
MRK.12.26	Ga titot man ties buong ma teip la mevara ra tubiat eba ina temaiara. Tie, na non umir na babam ula puaru, Moses la omirong ties me kit la betieng kabirana o muaranim o tatak kuguom, ga ogimaong Moses. Pa Morowa la unama tapma na uriro kit ga irie kan la aulo Moses gare ro, ‘Turuo, Morowa ang Abraham, ga Morowa ang Aisak ga ang Iakop. Atabo tale kan ovasming uriro ties’? 
MRK.12.27	Miptang! Morowa la tale kan Morowa maiang inamaniap la mevara. Karuk. Morowa maiang inamaniap mila inim! Pa agatming la mitara ime bangut tapmat, are ratmat ga uriro ties ming la ime ngong migat.” Maulo Iesu Sadukaiop gare tiro.
MRK.12.28	Urie, non migana o usingnualap o maimai la unama kagarat mai ga upto uriro ties maiong. Ga oit ara, uriro ties la upulo Iesu la mitara mumuru, are ratmat ga betong ai Iesu ga amarikong, ugama, “Man maimai ang Morowa la makurupin mirie non maimaiap ga natauan ieng meba obuluo?” 
MRK.12.29	Pa upulo Iesu ties ang gare ro, “Natauan maimai la are ro, ‘Mimi Isarael, miptang maset. Ila Kakani iriet namurit Morowa buang. 
MRK.12.30	Naming aime Morowa, Ila Kakani buang. Naming migat aime na dalap mi ga na muranap mi ga na agariap mim ga na ngangas ming.’ 
MRK.12.31	Lama naraen maimai la are ro, ‘Nanang maime migap nuam ga karorap nuam are la nanung kan me nulam.’ Karuk kan o noba maimai la kakanu ga lekurupin litiro maimaiapien.” 
MRK.12.32	Tie iriro migana o usingnualap o maimai la aulo Iesu gare ro, “Migana o usingnualap, ties nung la mumuru. Migat, Ila Kakani iriet namurit Morowa, ga karuk gat a noba Morowa la unama. 
MRK.12.33	Nabuong migat aime na dalap buo ga na agat buong ga na ngangas buong. Ga nabuong maime migap buam are la nabuong kan me bulam. Iriro tavuk la makurupin mirier kamniavup la mime masuam na kit, ga makurupin mirie gat non kamniavup.” 
MRK.12.34	Iriro migana la tiesong gare ro, ga upto Iesu ties ang ga ait iriro migana la agatong maset ga uaramo ties ula muru. Are ratmat ga aulo Iesu, ugama, “Titot agat nung la betieng gare agat maiong teip ga magaulap am Morowa.” Ga tubiat la merau ga tale gat amarikmeng.
MRK.12.35	Urie, na tara la masinguala Iesu teip ga magaulap a tavuk ang Morowa na luguan o lotu, maulo, ugama, “Miptang. Devit la uvarar, pa gar ma eap am la mime bet. Pa teip o usingnualap o maimai la mime ties gare ro, ‘Kabirana ma miriro eap am Devit eba betang noba are Karisito.’ Tie, are mani ga maiaramo teip o usingnualap o maimai uriro ties namo Karisito la poi ang Devit? 
MRK.12.36	Tinan muranama ang Morowa la ovuvutun agat ang Devit, ga Devit kan la tiesong, ‘Morowa Ila Kakani la aulo Ila Kakani ruang, ugama,
MRK.12.36	“Munang nonang na kilan tuo ila lamige ga onala kukunim ula kakanu ga bonim ula kakanu
MRK.12.36	ga turuo. Ga eba tavamum karorap nuam ga tabum apat kiban nuo, ga eba mabutnang.” ’” 
MRK.12.37	Me uriro ties Devit kan la iva Ila Kakani. Tie, are mani ga iro migana la irie poi ang Devit? Ga gar ila kakani ma teip ga magaulap la mepto ties ang ga temeba.
MRK.12.38	Tie, masinguala Iesu ga maulo, “Temamalienming, me tavuk maiang teip o usingnualap o maimai. Mitara nameng meba miabum sasaip mila laklagam ga menum. Ga mitara nameng meba mialang teip ga magaulap ‘la ula muru’ maun na napup o nebola. 
MRK.12.39	Ga nameng maset meba maiaram napup laike o nunamap na luguan o usingnualap, ga mime na meba maiarang natauan luaga na mangariap mila kakanim. 
MRK.12.40	Mime mavana magaulap mila mevara ra laip maiam, ga mime mavula luguap maiam. Ga mime kakarabim la mime okosar marik ula laklago. Na tara o ties eba maiaving giginanim ula kakanu.”
MRK.12.41	Urie, unama Iesu u mirikbuom ma kakepup na luguan o lotu. Ga man magimaong teip ga magaulap la mumaio maiabu kamniap maiong na mirikbuom. Ga papot ma teip ga magaulap la maiabuam papot ma kakepup. 
MRK.12.42	Pa non magabun ula bau, la uvara ra lai iang, la muio legoieng tatak kakepupien, puoliong gare namurit Toya. 
MRK.12.43	Pa mamarikong Iesu lop am o usingnualap ga mumaio, ga maulo gare ro, “Mirulo migat, uriro magabun ula bau, la uvara ra lai iang, ialam kakepup mila kakanim, makurupin mirie non kakepup la magomeng non teip ga magaulap na mirikbuom ma kakepup na luguan o lotu. 
MRK.12.44	Miriro teip ga magaulap ganam la memanim papot ma kakepup la maiot, pa agomeng it nap na mirikbuom. Pa uriro magabun la kagesieng kan migat pa magoieng mirier kakepup iam ganam ga tale gat imanim kakepup me usau o parak.”
MRK.13.1	Urie, Iesu ga lop o usingnualap la namo amaiolaing luguan o lotu, pa non kulot o usingnualap la ugama, “Migana o usingnualap, magimanang mirobu tadasip mila kakanim ga mirobu luguap mila murum!” 
MRK.13.2	Ga upulo Iesu tiesang gare ro, “Magimanung miriobu luguap mila kakanim, a? Tala kan maiaira noba tadas meba ot nakap bo noba tadas. Karuk. Eba maduremeng ganam ga magomeng me lourup.”
MRK.13.3	Urie, unama Iesu bo pugama Oliva ga agimaong luguan o lotu la ut toma. Ga Petro ga Iemes ga Ioanes ga Andru la mumaio ai. Man nemusmusinmeng ga amarikmeng Iesu. 
MRK.13.4	“Panalava, man tara leba betmeng miriro pagap? Man kaguma leba lake betang, ga apera, miriro pagap ara la namo betmeng?” 
MRK.13.5	Upulo Iesu ties maiong gare ro, “Temamalienming. Babun mivanaong migana ba. 
MRK.13.6	Papot ma inamaniap leba mumaiong ga meivang bonim tuo ga eba memama, ‘Turuo kan iriro migana.’ Ga eba mavanameng papot ma teip ga magaulap. 
MRK.13.7	Ga tubiat, eba miptang tavuk o danunumiap ula kakanu, pa na tara la mipto ties o ifif o danunumiap ula kakanu la betieng na non napup, tie baraba turupmiaba kirat. Miriro pagap la eba lake betmeng pa la lagorang la karuk ka. 
MRK.13.8	Inamaniap a non gar eba temaiara ga nemenamung ga non gar. Ga gar ang non orong eba teara ga neanamung ga gar ang non orong. Ga na non napup eba didirieng kimanam, ga eba memaning tara o abage ula kakanu. Miriro pagap la are ngitngit la lake ime bet iro magabun la namo uvarangeieng. 
MRK.13.9	Pa na iriro tara temamalienming maset. Eba mimaiabung na ties mai kaunselip maiam. Ga eba mivitmeng tapma na luguap o usingnualap. Ga eba mimeraling na irap a gavaman ga orongip. Are ratmat ga eba miaramang bais ula muru mai. 
MRK.13.10	Ga mirier garip ma teip ganam la eba lake meptang migana la uaramo bais ula muru. 
MRK.13.11	Pa tara la mivismeng ga mimaiala meba mila dusming na ties, Baraba mirau ga agatming, ‘Man ties leba paramang? Karuk. Na irie tara, Morowa kan la eba alam mirier tiesiap miun, mirie leba miaramam. Memani, tale kan mimi leba miaramang ties. Karuk. Muranama Ila Babai irie leba ties ang. 
MRK.13.12	Migana leba abung papa ang na ties ga maalava inamaniap meba menamung ga aving. Mamop gat leba akosarmeng iriet namurit tavuk ira ma lop maiam. Ga eba nekaromela lop ga mamop maiam ga nagap maiam, ga eba mamelava inamaniap ga menamum ga meving. 
MRK.13.13	Mime amiuluan tavuk tuang, are ratmat ga teip ga magaulap la eba kiram ba dalap ma me milam. Pa migana ga magabun la dusliong maranit ira tavuk tuang, puoieng na tara leba meving, tie eba ina malagiang Morowa.
MRK.13.14	“Tie, miptang maset. Eba agimaming paga ila kire migat la ume okirara pianam la eba dusang na nap ila puari. Na iriro tara teip ga magaulap la maionama Iudaia eba igomeng me bo kavilap. 
MRK.13.15	Tie, migana la unama bo luguan ga upto ties a iriro paga ila kire la betong, buat gat ula uobu meba aram pagap am. Karuk. Ebat teara ga ala kakalait. 
MRK.13.16	Ga migana la ula na ubi buat gat ina ula na luguan meba arang buruma ang. Karuk. Mimi ganam le temiara ga kakalait mila. 
MRK.13.17	Pa maboruvara magaulap mila mugam na irie tara, ga magaulap la masisimeng tatak lop. Eba memaning giginanim ula kakanu. 
MRK.13.18	Pa marikming me ai Morowa meba tale airang uriro giginanim le betieng na tara a afarat. 
MRK.13.19	Na iriro tara eba betieng giginanim ula kakanu. Maio kan tinan na tara la makosarong Morowa mirier pagap ganam ga muio puoieng titot, giginanim la are tiro la tale kan betieng. Ga tubiat la tala gat betieng giginanim ba gare uriro. 
MRK.13.20	Ga la tale mapapoitong Ila Kakani miriro taraiap mila kiram, tie mirier teip ga magaulap ganam la eba karuk ba maime. Pa ila kakanani la maiteong ara teip ga magaulap am. Ga mabouvara. Ga apapoitong iriro tara. 
MRK.13.21	Na iriro tara, leba amama noba, ‘Agimaming! Karisito la unama kabirana pa!’ Ga noba eba amama, ‘Agimaming! Karisito ipma la unama na irobuma nap!’ Leba tiesmeng gare tiro, tie baraba naganming uriro ties maiong. Karuk. 
MRK.13.22	Miptang! Non karisitop o kakarabunim ga non unulip o kakarabunim leba betmeng ga eba mumaiong mi. Ga eba kakarabim ba ga makosarmeng non ara pagap mirie la tale kan puoong migana ba meba makosarang. At iriro tavuk o kakarabunim la namo mavanameng mirier teip ga magaulap, meba omeuluo ties maiong. Ga leba puomeng migat, tie eba mavanameng teip ga magaulap la maiteong ara Morowa mirie am. 
MRK.13.23	Miriro non ara pagap la tale ka betmeng, mirie la tuga ka lake miralava ma la eba betmeng. Are ratmat ga mirier lap le maset man temamalienming.
MRK.13.24	“Tie, uriro giginanim ula kakanu ula kiro la eba ga lake noba, tie tubiat eba betieng ding ira espan, eba tale era ulang. 
MRK.13.25	Ga mirier matalenglengip la eba omaiolaing pianam maiong na panbinim ga melaming tapmat. Ga non ara kukunim la ime iot na panbinim leba okosarieng ubi, uriro kukunim gano leba betieng ga didirmeng pagap kirat. 
MRK.13.26	Na iriro tara teip ga magaulap leba agimameng Migana migat ang Morowa leba onang na uvau ga muong ga kukunim ang ula kakanu ga lalabie ang ila kakani. 
MRK.13.27	Ga na irie tara eba masagaang angelop am ga mela, ga eba mabolameng teip ga magaulap mirie la maiteong ara mirie am. Eba malagiang na mirier taralap o kimanam ga panbinim.
MRK.13.28	“Tie, miaring agat iro urio kuguom o fik. Na tara muareip o la ame burunam ga babap mila neim la betmeng, omit, la a efan ila papamne la namor betang. 
MRK.13.29	Garet tie, ga tubiat leba agimaming iruo paga leba betang, ga eba amira, Migana migat ang Morowa la namo terigiang la muor kagarat, ga irora ai tabuna. 
MRK.13.30	Mirulo migat, teip ga magaulap onim titot leba ka tale meving, ga eba betmeng miriro pagap ganam. 
MRK.13.31	Panbinim ga kimanam la eba nan ba, pa ties tung la tale kan no.”
MRK.13.32	“Tie, karuk kan a migana ba la oit urie la ga nap o la. Angelop onim na panbinim la tale omait. Migana migat ang Morowa gat la tale kan oit. Mamot namurit la oit uriro. 
MRK.13.33	Temamalienming. Urangaming ga buat maset duriming. Tale amit man tara la eba betmeng misik pagap. 
MRK.13.34	Are migana la aulai luguan ang ga unum ga ula na non nap. Maulo teip o ubi meba mamalienmeng pagap, ga ualo ubi un ut namurit. Ga aulo non migana la ume uale bo tabuna, meba ualeng maset. 
MRK.13.35	Are ratmat ga umialeng maset, memani, tale omit man la leba muong ira ang luguan. Eba muong nabit, o eba muong kabirana o na arubu, o na tara la kukurikmeng purap, o parabira namur, tale amit. 
MRK.13.36	Are ratmat ga babun muo kakalait ga eba mioping la tale urangaming. 
MRK.13.37	Uriro ties la tualo miun, urie la tualo maun mirier teip ga magaulap. Umialeng maset.”
MRK.14.1+MRK.14.2	Urie, o lama narain Iesu la uaramo uriro ties mai lop am o usingnualap. Pa tubiat la aipliong narain lapien, Iudaiap la mime ogima natauan la ula kakanu o lotu. La ieng ula aipieng. Ga na uriro la ula kakanu o lotu eba maiong Iudaiap purun ula karuk o is una. Pa o la o lama narain teip mila kakanim o bais ga teip o usingnualap o maimai la nebolameng ga man tiesmeng gare ro. “Na man alang la eba ubuaring a Iesu ga bunamung ga aving? Agatbuong maset meba obuving alang ba. Pa baraba akosarbuong iriro tavuk na la o parak ula kanu. Babun pumaiaro teip ga magaulap danunumiap ba ula kakanu.”
MRK.14.3	Urie, unama Iesu na pianam Betania na luguan ang Simon, irio migana la tafaong tinan o tapak. Man unama bo luaga, pa muio non magabun. Uriro magabun la iavia non sada a tadas ila mumuri la ame natauan kadi ila kukufong maset, ga mitara maiaba kakepup apat. Pa inavo inos ga aurukieng bo bugam a Iesu. 
MRK.14.4	Pa non inamaniap la maionama, la ogimameng ga kiram dalap ma ume. Ga man tiesmeng kan kabirana ma ga omelo magabun gare ro, “Me man paga ga itiamuat agarit iriro kadi ila kukufang? 
MRK.14.5	Labuairam inamaniap ba meba asaumeng, eba mabula kakepup gare 300 silva ma kakepup ga bualam maun inamaniap mila baim.” Ga obukmela uriro magabun. 
MRK.14.6	Pa ugama Iesu, “Miairang uriro magabun. Me man paga ga mialo giginanim un? Akosarieng tavuk ila mumuri ira ruo.
MRK.14.7	Inamaniap mila baim la eba man maionang busit ga mimi. Ga man tara la miga maagamile, tie maagamile. Pa turuo la tala kan man tunama ga mimi busit. 
MRK.14.8	Paga la namo akosarieng uriro magabun, irie la akosarieng ara. Iabua ikin irama neip tuo marangaieng neip tuo me na una. 
MRK.14.9	Mirulor migat, na mirier napup o kimanam leba mela mana ga maiaramang bais ula muru, eba tiesmeng me iriro paga la akosarieng uriro magabun, ga eba man agatmeng ira a.”
MRK.14.10	Urie, Iudas Iskariot non kulot o usingnualap kabirana ma 12 ma lop o usingnualap, irie la ula mai inamaniap mila kakanim o bais. Namo alang Iesu na kilalap ma. 
MRK.14.11	Mepto uriro ties ga temeba. Ga tiesmeng migat meba maialam kakepup aun. Ga man puaro Iudas la man oisinong alang ba meba alang Iesu na kilalap ma.
MRK.14.12	Urie, tubiat wik maiong Iudaiap meba maiong purun la karuk o is una urie wik la betieng ara. Pumaiaro uriro wik o lama nagala, uriro la meba maiaram lop maiam sipsipup ga menamum ga meving ga meburum na kit, pa nabit eba iat maiom miriro ga lotumeng. Are ratmat ga na uriro la lop am Iesu o usingnualap la amarikmeng gare ro, “Nanung la nuga pala na pianam Ierusalem, ga na man luguan la eba marangapang pagap, ga tubiat eba parakbuong ga iat lotubuong?” 
MRK.14.13	Tie, lesagaong Iesu narain kulen o usingnualap, ga leulo gare ro, “Mala mobung na pianam. Pa non migana la uavio baket ula kakanu o burunam leba mebolaang na alang. Tie, amauluan. 
MRK.14.14	Tara la agimamang la uobu na non luguan, tie amalava mamo ang irie luguan gare ro, Migana o usingnualap la ugama, ‘Lagum la ut kabin tuang turuo ga lop tuam o usingnualap la paga pong uriro parak?’” 
MRK.14.15	Ga eba mesingala a non kabin la ut nakap, la ame luaga ga luaga o nunamap ga pagap la marangameng ara. Orangamang parak buong na irie kabin.” 
MRK.14.16	Tie lila betliong kulen o usingnualap na pianam, ga magimaliong mirier pagap la maiot gare rie la leulo Iesu. Ga orangaliong parak. 
MRK.14.17	Ga tubiat la naminilar muabari, Iesu la muo ga 12 ma lop am o usingnualap, ga parakmeng ga lotumeng. 
MRK.14.18	Man maionama bo luaga ga man parakmeng, pa maulo Iesu, “Mirulor migat, non migana kabirana mi leba toala na kilalap ma inamaniap mila nekaromela ga turuo. Irie migana la parakong ga turuo titot.” 
MRK.14.19	Tiesong Iesu gare tiro, ga giginam dalap ma lop o usingnualap ga mirier ganam ut narit ut narit la aulo gare tiro: Babun agatnung ga namama, “Turuo la tuga okosartang gare tie: Atabo tiesnung me rulam, a?” Amarikmeng gare tiro. 
MRK.14.20	Pa maulo Iesu, “Namurit kabirana mi 12 ma lop o usingnualap titot la parakong ga turuo. Iruo migana la uabua kilan a na koi ga turuo. 
MRK.14.21	Migana migat ang Morowa la eba aving are la ilo ra Babam ula puaru aime. Pa kadik aime irie migana la uala Migana migat ang Morowa maun karorap! Atabo temaieng la tale iaria naga ang iruo migana.”
MRK.14.22	Urie, man parakmeng ka, pa uaro Iesu purun, ga ivo temaieng me aun Morowa, ga opukoula, ga ualo maun lop o usingnualap. Ga ugama, “Miarang. Uriro la neip tuo.” 
MRK.14.23	Ga uaro falo a wain, ga ivo temaieng me aun Morowa, ga ualo maun. Ga mirier ganam la tapmaio a. 
MRK.14.24	Ga maulo, “Iruo la olabuan tuo me akosar mida ila nei. Aruktung meba maagaalie papot ma teip ga magaulap. 
MRK.14.25	Mirulo migat, tala gat taptu a wain puoieng na irie tara leba tapto a wain ila nei una inamon ang Morowa.” 
MRK.14.26	Pumiara o non sasang, ga mela bo pugama oliv.
MRK.14.27	Urie, man menum ka ga mela, pa maulo Iesu, ugama, “Miptang. Mimi ganam la eba ilaming nagan ming ga mialam ibup mi ira ruo ga tomiolaing ga mila. Eva, umir iro babam ula puaru la tiesieng gare ro, ‘Eba menamung ga aving migana o unuleap bo sipsipup ga eba makalameng inamaniap sipsipup tapmat, ga eba mela tapmat.’ Uriro tiesang Morowa titot la namo iaring parak kabirana mi. 
MRK.14.28	Pa tubiat leba ina terara ga temung, tie eba take me milam ga tala na provins Galili.”
MRK.14.29	Pa Petro la aulo, ugama, “Atabo mirie non teip leba maialam ibup ma ira nuo ga eba nomaioalaing ga mela. Pa turuo la tale kan okosartung gare tie. Karuk.” 
MRK.14.30	Pa aulo Iesu gare ro, “Norulo migat, titot na uriro arubu, tara leba ka tale kukurikang pura lie narain tarapien, nunuo la eba tiesnang ma naien ma lap gare ro, tale kan tonit.” 
MRK.14.31	Pa ina tiesong Petro maranit, “Eba taving ga nunuo, eba tale noralava gare tiro, ‘Tale kan norit’. Karuk.” Ga mirier lop o usingnualap ganam la maiaramo uriro namurit ties.
MRK.14.32	Urie, Iesu ga lop am o usingnualap la mela betmeng na non nap la meiva Getesemani. Ga maulo Iesu gare ro, “Man mionang togo. Tuga mariktang.” 
MRK.14.33	Ga alagiong Petro ga Iemes ga Ioanes ga mela ga irie. Dalap a Iesu la giginam ga ogasangenong kirat. 
MRK.14.34	Ga maulo gare ro, “Dalap tuo la giginam maset, ga kagarat ara la tuga taving. Mionang togo ga umialeng maset.” 
MRK.14.35	Ga ula kirat, ga ulum bo kimanam, ga marikong leba ame ba alang, naong me iriro tara ila kire le akabanang. 
MRK.14.36	Ga marikong gare ro, “Aba, Mamo, puonung meba makosarnang mirie pagap ganam. Narung le ovugatnara uro falo ira ruo. Pa baraba onuluan agat tung. Karuk. Onouluo kan agat nung.” 
MRK.14.37	Okosarong ara Iesu uriro marik ga inagat ula mai naien ma lop am o usingnualap ga magimaong la man durimeng. Are ratmat ga imuam ga aulo Petro gare ro, “Simon, durinungit, a? Atabo tale kan puonung meba unaleng, ga muiong puoieng ira namurit nap o la, a? 
MRK.14.38	Umialeng maset ga marikming. Babun betieng uvuvuo ba ira mi ga eba milaming. Migat, dalap mi la nameng meba akosarmeng iriro paga, pa neip mi la tale kan memaning ngangas.” 
MRK.14.39	Ga inagat ula Iesu okosarong marik garet tie la lake ula okosarong. 
MRK.14.40	Ga inagat muo mai lop o usingnualap ga magimaong la man durimeng it, memani irap ma la giginam maset. Ga tara la muo imuam, tale ameit, eba man ba ties leba amelava o. 
MRK.14.41	Urie, inagat ula Iesu okosarong marik ga inagat muo a lama naien tara ga magimaong la man durimeng it. Ga imuam ga ugama, “Atabo miga duriming ga agamilie maset, a? Magaura. Magimaming, titot mumaior inamaniap meba alagimeng Migana migat ang Morowa ga maiabung na kilalap ma inamaniap la mime akosar tavuk ila kire. 
MRK.14.42	Temiara ga bula. Agimaming, migana la namo toala na kilalap ma, iro la betong ara.”
MRK.14.43	Urie, man uaramo ka Iesu uriro ties, pa kakalait betong Iudas. Irie non kulot o usingnualap kabirana ma 12 ma. Ga gar ila kakani ma inamaniap la maiario bainat ga napup ma kuop me danunumiap ga mumaio ga Iudas. Inamaniap mila kakanim o bais ga teip o usingnualap o maimai ga teip mila uke la masagameng miriro garip ma tiep, ga mumaio. 
MRK.14.44	Iriro migana la namo abung Iesu na kilalap ma karorap am la maulo miriro garip ma teip gare ro, “Eba talang udemdem ira non migana. Ga ogimaming uriro, tie eba amira, iriro migana irie Iesu. Tie, umiaring a ga umialeng maset abuo ga alagiming ga ala.” 
MRK.14.45	Ga ula betong puvut ai Iesu. Ga ugama, “O migana ruang o usingnualap.” Tiesong gare tiro ga ademong. 
MRK.14.46	Are ratmat ga miriro garip ma teip la agimameng iriro ga umaiat a Iesu ga avismeng maranit. 
MRK.14.47	Pa dusmeng it lop o usingnualap kagarat ga non kulot kabirana ma la uarano bainat ang ga namo anamung non migana o ubi ang migana o bais. Urie, ogoong bainat ga okiripong kiginam a, ga ilum lourup. 
MRK.14.48	Ga maulo Iesu miriro garip ma inamaniap, ugama, “Are mani ga miaviam bainarip ga napup ma kuop me danunumiap ga mumio meba umiaring tuo? Atabo miga turuo migana ila kire ga eba miranamung, a? 
MRK.14.49	Papaluaip ma lap la tunama ga mimi na luguan ila kakani o lotu, ga man tuaramo ties ang Morowa. Pa na irie tara la tale kan iga umiaring tuo. Karuk. Tie marie ra, uriro umir gano la iot na babam ula puaru, la eba betieng migat.” 
MRK.14.50	Tiesong Iesu gare tiro, ga mirier lop o usingnualap ganam la amaiolai ga igomeng ga mela. 
MRK.14.51	Pa non kubama la auluan Iesu ga muo, ga una non buruma ila pasokong irama neip a. Ga umiat a. 
MRK.14.52	Pa aulai buruma ila pasokong ga igoong un naru neip.
MRK.14.53	Urie, maiala Iesu ga ula na luguan ang miridai ila uke. Pa miridaip mila kakanim ga teip mila uke ga teip o usingnualap o maimai, la mumaio nebolameng na iriro luguan. 
MRK.14.54	Ga namo auluan Petro Iesu, pa urau. Are ratmat ga man unum ga man kogouri ga ula. Pa man unum kan kakaliat. Ga mauluan ga ula uobu na penbut ang miridai ila uke. Pa teip o ubi la mime makosar non ara ubiap la mime aagamelie miridai ila uke la maionama kagarat u kit. Urie, magimaong Petro, ga ula unama ga mirie ga man uet o kit. 
MRK.14.55	Teip mila kanim o bais ga non teip mila kakanim la uke la mamarikmeng non inamaniap meba mumiong mavaikmeng tavukup la ume makosar Iesu. Namo omaioping kiribas ba meba menamung ga aving. Pa tale omiop kiribas ba. 
MRK.14.56	Papot ma inamaniap la maiaramo ties o kakarabunim aime, pa ties maiong la tale nepuoieng. 
MRK.14.57	Pa non teip la dusmeng ga maiaramam non tiesiap o kakarabunim aime Iesu gare ro, 
MRK.14.58	“Papta la tiesong gare ro, ‘Turuo kan leba adurerang iriro luguan o lotu la akosarmeng inamaniap ma kilalap ma. Pa tubiat ma naien ma lap eba ina teraling noba, pa eba tale akosartang ma kilalap.’” 
MRK.14.59	Pa uriro ties la maiaramo la fufulutieng it tapmat ga tale kan nepuoieng. 
MRK.14.60	Ga dusong miridai ila uke na irap ma teip mila uke ga amarikong Iesu gare ro, “Tale iga napulang ties ba, a? Are mani me miriro tiesiap la novuremeng ma?” 
MRK.14.61	Pa tale kan upulo Iesu ties maiong. Ga inagat amarikong miridai ila uke ga ugama? “Atabo migat nunuo Karisito, nunuo Poi ang Morowa ila nakap migat o karuk?” 
