GEN.1.1	Nemetva seilva owai, mani mani lohvnamoa, wo Sesoava sism vena ovm petham manam manam. 
MAT.5.9	Indhana himba nomba perkaramomba suwemsnamba vuthoawol vivpa, heoa indk vithira, manara Sesoava si os unvav hemba, kana ombolnonoa.
MAT.5.10	Indhanamba himba nomba Sesoana besalwevsamba engivpa, wo indhanamba monglava ositv, hemba kin ohuhlinv, heoa indk vithivra, manara Sesoava hemba si hevtindilm sandhavav.
MAT.5.11	Yimba hona indhanamba, memba kamba engivpa, nonamba owapevpa monglava ositvpa, kinmba pelhola ovinvpa, moakoko owol vivpa osva, yimba indhanakokla, 
MAT.5.12	yeoa mindnam indk vithivm, manara Sesoava doa yemba kokolma vinna hevna vuherava, yemba esesmba si os lotvav eva mani eskandma no kindava.
MAT.5.12	Os doarava Sesoana moashulnindmba indhanamba kinmba pelhola vinvna, wo eva yemba si os kinmba pelhola vinvavta.
MAT.5.13	Yimba nomba indhanamba, memba kamba engivpa, yimba maim oi, wan einv pethanindmba. Heva os yeoa novnovhora avm, ata homeis wan yena tepepe vinvm, wo hengava bes vevavmoa owai, indhanamba wohningesapingivav tombaikasram.
MAT.5.14	Yimba katindiva maim oi, wokla lovhueinv pethanindm, Sesoana monamba men os. Mana vemamba pivva senamba woklamsnamba lavraholothuvpa, indhanamba nungliv, lovhoav.
MAT.5.15	Yimba lampuva lavravpa, yimba velawomera indthoavma? Owai, yimba sena indthoai, osm indkumbiva nokambara novvivra.
MAT.5.16	Yimba os maim oi, lampu, yimba beswonam owapevmongova kuksa vev, wo os himba yena wevsabesalm nunglinvrava, Sesoamba okulivra, memba pevpa osva umnivpa ara.
MAT.5.17+MAT.5.18	Yesusva mendah ishunvna no indhanamba, yimba manam osva ningvav, Yesusva prona, kam ishunilm, wuleihalm Mosesna doaraminimomba, eva Sesoana moashulnindna moam, nomba temba indhanamba no moamba engivpa, owai.
MAT.5.17+MAT.5.18	Owai, kava prona, wohengalm no doaraminimom. No moamba eva mendeklinonoata, wo eva an si poswol vevav, wo ovav, sahoklal, owai. Owaimomolva mongova moapetava si shalohol vevavmoa, verava, ovi pethai imhara evhowolvram. Tanamolnam no moamba si wohlohvav yunalm, osm indhanamba si os temurava engwol vivra indakondava.
MAT.5.19	Mongo indhanarini nonora lohvra mongasalm moam Sesoana bukurinim, wo ovra, sahoklal, wo owalm ishunvra, sahoklal, yeoa wuleihu, wo no indhanariniva himba si sesvmomoa kleihavav Sesoaindava ambo. Eva snamba moamba eusilva, himba manam owalmba osva unvav, wuleihu. Sesoava hemba si mullam vrepra vrevav.
MAT.5.19	Wo heva os mongova yeriniva wohengvrava Sesoana moamba, eva numhowol vevrava owalmba, wo no indhanariniva si kuwulmsna wulluhunvav Sesoaindava. 
MAT.5.20	Katekis eva Varisi, himba os uv, kava lehra engiv Sesoana moamba, heva os hena wevsava ambo seposam. Yimba katindiva, yeoa besalwevsam wohengivm pevna indnahonam, seposamba owai, wo noindangas yimba si Sesoatindi nemel avav.
MAT.5.21	Yimba nonora, Mosesva pina simbelva Sesoana moamba doara os ishunna, manam yimba helvakomo vivav indhanamba. Himba nomba indhanarinimba helvakomandhatava, hemba nomba owalva wetat uvra.
MAT.5.22	Doa heva os men kav yemba ishunv, kavna aonghal mahalnindm, yimba pevna owapevrinimba wuspromnatava, yena wetatmomba si lohvav. Eva himba nomba owalmba moakoklanamba okos vetava, mundilva hemba wetat uvav, umnira, yena indkoklava lohv. Osva omnatava hevna mongawa tindirinimba, yimba ambo tovolkola lohv, wo heoa pepeh vera, himba si suwekembellam gavav.
MAT.5.23+MAT.5.24	Yimba pevna owapevrinimba indkokla vretava, nungi lilnam henga epawoho nihra. Wo nonamba yimba novoa venavrava manimani pevnamba Sesoamba altasengrava, wo yimba nengvra henga nomba, osva kava indkokla vrena doa kavna owarinimba, wo dawonam yeoa Sesoamoa sembayangmoa wuleihamnarava, wo garava, henga hemoa nihra pethao, wo os manimani Sesoamoa altasengraoa hohlomno, sembayang venalmba nonamba.
MAT.5.25+MAT.5.26	Yemba indhanariniva mongova wetatramba waingatava, henga nungi lelnam nihra petharava, sehmoa ovro. Honisna veno, os yimba gavav wetatmoramba. Yimba owai venatava pevna sehpevmba, si himba homeis imharavhoamnavm yemba wetatmora. Men yemba kava ishomnav, osva yimba si owainonoa wuleihalahaphovavmoa nomba buiva, verava, yimba boasna wohsovawol vepiara nom, ora, osm kamba umnina.
MAT.5.27+MAT.5.28	Yimba nonora, Mosesva pina simbelva Sesoana moamba doara os ishunna, manam yimba ongariskuiva owapevnamba vivav. Wo heva os men kav yemba ishunv, mongova yeriniva novnangasva ungevlirinimba nonglavrava, muemb nevrava hemba, osva kevralmba, wo doa himba indkokla vei, himba doa nengavnangra kevrei.
MAT.5.29	Yena nihanovpa yemba indkoklamba velmba indthoamnatava, no novoa vilipingo. Lehra yimba mongawa novnamba lohvav, si homeis Sesoa yem sambla novnahonamba pilpiapahavm suwekembella.
MAT.5.30	Yimba pevna nihananglanamba indkoklamba velmba vetava, yeoa wohkovopingo. Homeis mongawa englana loho, si homeis Sesoa yem pilpiapahavm suwekembella sambla englanahonamba.
MAT.5.31	Yimba nonora, Mosesva pina simbelva Sesoana moamba doara os ishunna, tendoriniva hevna ongalmba engvavrava, ehallamba wolaihangalmba, heoa boasna moapetaoa tombaira novol venavrava, os vraohvra, wo os wohengvavra nonahonam.
MAT.5.32	Wo heva os men kav yemba ishunv, mongal indkoklalva mendekliva lohv, tendoriniva hevna ongalmba pelvpiangalmba, osva ungevlirinimba mongova tendoriniva doarava kevratava. Tendoriniva hevna ongalmba ombamorava nisva pelvpiangatava, wo noindava tendoriniva sahonam vev. Himba osva ungevlirinim indkokla vrev, temba mongova tendoriniva hengava hemba pethatava. Sesoava hemba os nengmanavra, memba yimba tendoriniiva ahavpa, memba mani yena tlalma? Wo sisminimba tendorinimba, Sesoava os nengmanavra, yimba doa mongona tendorinina ongalmba pelvrav.
MAT.5.33	Yimba nonora, Mosesva pina simbelva Sesoana moamba doara os ishunna, yimba mana vemamba mendeklimba tanamolnamba wohishomnatava, yeoa wohvengas veo, manam yimba owai vevav. Wo eva mana vemava yimba ona sevratava, yeoa os wohveo, ten pev onam.
MAT.5.34	Wo heva os kav yemba ishunv, moana wevsam sisla ovralm, owai, osoa wuleihu. Manam yimba osva sevrivra, senakembelmba, nomba osva ovra, kava lehra ishov, owai, manara noinda Sesoana kembel, himba di av. 
MAT.5.35	Manam yimba osva sevrivra, hona petha, pevna moamba sisla ovralmba, manara, maim oi, Sesoana ovhoavhokoholvuhe, mongla ialm. Manam yimba osva sevrivra, Yerusalem kota, moamba pevnamba sisla ovralmba, manara memba Sesoana kotava, pina mendekli kuwulna. 
MAT.5.36	Manam yimba osva sevrivra, kana ku, pevna moamba sisla ovralmba, manara, yimba pevhopolmoava es eva vevav, pevna tamba weihaloh vrevav, osva suwihal, eva dombal, eva tamba mongasalva owainonoa.
MAT.5.37	Wo yimba osmba olmba vivrava, osva, memba tanam, osangas umnivm, memba tanam, hengava mongova owai. Wo eva yimba osmba olmba vivrava, owai, osangas umnivm, owai. Manam yimba moamba hoanavho vrivav tokwonamba, sisla ovralmba, ata indhanamba lelnam ningvav, tanam. Temba Setanna wevsa prov.
MAT.5.38	Yimba nonora, Mosesva pina simbelva Sesoana moamba doara os ishunna, esesmba manapenam, yena novpa mongova indhanariniva vilipingatava, eva yeoa henaoa esesm vilipingamno. Mongova indhanariniva yena lomba tembilpingamnatava, eva yeoa henaoa esesm tembilpingamnota.
MAT.5.39+MAT.5.40	Wo heva os daipota kav men ishunv yemba, mongova yemba indhanariniva helvalmba vetava, manam yimba wuspromnavav hemba. Mongova indhanariniva yemba sang polatava, henga mongnasis haravhoamno. Mongova indhanariniva yemba wetat otava duangindava, pevna kayen moanvrarava, moan vraho bayupanasnahonam.
MAT.5.41	Yemba mongova ungundriniva omnatava osva, kana kin ingao ambo nis, manam yimba aongpa vevav, wo manam yimba owaimomo omnavav, yeoa kolvro hemoa, wo hena kinmoa ehallamoa ingao.
MAT.5.42	Mongova indhanariniva yemba osahmanatava, mana vemamba yenamba vralmba dawonamba, ata kava henga wulprovav, kolvro, manam yimba meisva haravhoamnavav.
MAT.5.43+MAT.5.44	Yimba nonora, Mosesva pina simbelva Sesoana moamba doara os ishunna, pevna sehpuinamoa pevna indnahonam indvewol vivm, wo heva os no ungundmoa, temba yemba musk vinvpa, nomoa musk vinvm. Wo heva os daipotava kav men yemba ishunv, ungundm pevna indnahonam indvewol viu elsusoa. No indhanam yem ten ositvm moakoklana, Sesoam osihminivm hem beswonam vewolalmba, 
MAT.5.45	wo osva Sesoa senamini si nongalvav yemba beswonam, wo ovav, yimba kana ombolnonoa, yimba os men kav.
MAT.5.45	Sesoana wevsava os men, himba okombam vrev, pholm eva lovhueinilm indkumbim. Vei besal indhanam eva indhanakoklam, kolvrowolalm hem. Wo eva himba pom wolaihaprinv osoram indhanakokla nindnahonam, besal indhanamangasva owai.
MAT.5.46	Indhanamba nomba yemba hevna indnahonamba indvewol vivrava, eva yimba esesm hemba indvewol vivrata pevna indnahonam, temba besal. Heva os puehalnindva eva hona wevsamba wohengiv, himba indhanamba indvewol viv, nomba temba hemba himba indvewol vivpa. Wo yena wevsaoa kuvhoawol vinda henamoa, yeoa pevna ungundmoa ind vewol vivm pevna indnahonam. Sesoava si yemba esesm noindava vinvav.
MAT.5.47	Wo eva yimba sehmoa owol vivrava pevna sehpuinamba, temba eva mani mendeklima. Manara, eva puehalnindva vivta osva, himba sehmonamba owalmba ishunv hevna sehelmba.
MAT.5.48	Yimba kana aonghal mahalnind, yimba Sesoana mongawatindi, yeoa honamangas ningvm, besal wevsam engilm, os Sesoa ara hev ten avm sena, mana vemakethahui hem.
MAT.6.1	Yesusva mendah ishunvna hevna aonghal mahalnindm, yimba kana mongawatindi, yimba Sesoana wevsamba engvrivrava, manam yimba pevmba enetesna avramana vevra undmoserava, manam yimba owapevmba osva unvav, kam nunglu, kava besalangas lehra. Yimba osva vitava, Sesoava arapevpa senaminiva si yemba esesmba vinvavmoa. 
MAT.6.2	Indhanamba yimba kolvrowol vivrava, manam yimba muserava vivra, noinda indhanamba monglava yemba nungeilvrava, wivewol vivra yemba, himba besal indhanangas.
MAT.6.2	Temba sahoklal wevsava sambla mona indhananamba, kam unvra, lehra viv. Sembayangmera eva monahulumbra osva temba vivpa, mongom vuvna mi pieivna, owalva hemba os pelkleihaomana venav. Ambo osm viv, indhana mongla kam nungeilvrava, wivewol vivra kam, himba hevm besalangas lovahv. Temba hemba wivewol ovivpa, himba indk vithiv hona wivewolmorava, wo heva os Sesoava hemba si esesmba vinvavmoa.
MAT.6.3+MAT.6.4	Nonamba yimba indhanamba kolvrowol vivrava nomba innehuinindmba, poaita vinvm, ata homeis mongo yem nongalvm. Heva os arapev senamini hengas nongalv mana vemamba, eva mana vemamba yimba poaitava vivav, wo noinda himba si yemba esesmba vinvav.
MAT.6.5+MAT.6.6	Yimba Sesoamba isholmba vinivrava, poaita, manam yimba muserava vivav, ata homeis indhana yem nungeilvm. Temba sahoklal wevsa samblamona indhananamba, himba sembayangmera eva monahulumbra domangas lovahthalm vev indkumbina novram, wo Sesoam ishumniv. Himba hevpa indk vithiv, kamba indkumbiva lehra nungeilv. Temba hemba beswonamba nungeilvpa, himba indk vithiv hona wivewolmorava, wo heva os Sesoava hemba si esesmba vinvavmoa sewonamba. Nonamba yimba arapevmba ishomnavpa, pevna kamarrava veo. Yena arapevpa senaminiva wohnonglav mana vemamba, eva poaitava mana vemamba besalva yimba vevav, wo si himba yemba esesmba vinvav.
MAT.6.7	Wo yimba Sesoamba isholmba venavpa, manam yimba tokwonamba ishomnavav, temba nomba moamba plalhui, ambo temba os uvra, lalalala. Temba puehalnindna wevsa osva luhunv, himba Sesoamba tit viniv. Himba os ningv, kava tokwonamba moamba ishumnivpa, dihi Sesoava kamba helwolv.
MAT.6.8	Owai, Sesoava yena arapevpa himba doa nonora luhunvna yena almba, eva nom ora notongohui yimba, wo noinda osva manam yimba tokwonamomba ishumnivav hemba.
MAT.6.9	Yimba Sesoamba ishumnilmba vivpa, honam kana moam engivm,
MAT.6.9	Ara, yimba senakembella wohav, kava os ningv, indkumbioa yena nihilmoa okulivra.
MAT.6.10	Yimba mendekli, kava os ningv indkumbioa yena nemeltindilm saivra.
MAT.6.10	Yena ovsongolnindva yena undmba wohengivna sena, eva kaoa yena undmoa os engilvohrata huioa petharaoa.
MAT.6.11	Yeoa kamoa inneoa dembrehunu detimangas.
MAT.6.12	Kava indkoklava maivithinv indhananamba, temba kamba vinvpa, wo yeoa eva kanaoa os maivethinuta, men ka vivm.
MAT.6.13	Kam kokmondha vewol veo mana vemakoklarinioa, ata homeis kam piasahavm monakoklaram. Kam kokmondha vewol veo Setanna penam.
MAT.6.14	Yimba maivithinvrava indkoklava indhananamba, nomba temba yemba indkoklava vewol vivpa, nonamba Sesoa ara senamini eva si yenamba maivethinvavta. 
MAT.6.15	Wo heva os yimba yunalmba nengeuvmona vevrava no indkoklamba, temba indhanamba monglava yemba vinvpa, Sesoava si yenamba osva maivethinvavmoa.
MAT.6.16	Yimba innemba hlalmba wuleihivrava, wo os Sesoamba sembayang vimnivra, os pevna indnahonam wohviu. Samblamona indhanamba himba seposam viv, himba pethasavna av, osm indhanamba monglava nungeilvra hemba, himba innemba lovahav. Tanam monglava indhanamba wivewol viv hemba, heva os Sesoava si hemba esesmba vinvavmoa, owai.
MAT.6.17	Nonamba yimba innemba lovahavrava, novlomosm poswol vivm, eva ta leiswol vivm, os ten doara pev velvohvnam. 
MAT.6.18	Indhanamba si osva liheivavmoa, heva os Sesoava si lihawol vevav. Pimba nunglivmoa hemba, heva os himba yemba nongalv, yimba mana vemamba vivpa, wo himba si esesmba vinvav yemba.
MAT.6.19+MAT.6.20	Yesusva ishunvna hevna aonghal mahalnindm, mana vema besalva Sesoava doa pimba kokolma vinna senakembella, yeoa nomoa muemb hlawol vevm, manam yimba duus vewol vivav mana vemamba besalmba hona pethariniva.
MAT.6.19+MAT.6.20	Manara, noinda omav, wolwa noi kukuldav mana vemamba besalva huiva. Wo eva yukovnind si tuvpa velavra, yukovnam vralm. Wo heva os mana vemava besalva nalohv Sesoana kembella senamba, yunalm wohnalohvav, mueisowa vilohui diva, os omavhui wolwahui yukovnindhui lohv.
MAT.6.21	Wohva yenamba diva nalohvrava, undva yenamba diangas endvra. 
MAT.6.22	Yeoa mana vemanonoamangas ningvm, wo osva yimba si lovahvav, os ora indhanarini novbesalna, himba upsilmba nonglav, senakembelmangas andra vev. 
MAT.6.23	Yimba hona petharinimangasva ningtava, yimba si os lovahvra, ovra, indhanarini novkoklana. Himba eva es nongalvav, sahonam andra vev, himba sikulmonam wohlohv.
MAT.6.24	Sesoana nengavnangmangas engivm, manam yimba dimangasmba mindnamba ningvra. Andranindrini es hevpa wohenginvra kuwulsamblamba, owai, himba mongomangas und vevra, mongomba owai. Himba mongnangas andra vevra, mongomba meis haravhoamnavra. Manam yimba osva dimba vravra, ovra, kana kuwul.
MAT.6.25	Manam yimba pevmangasva ningvav osva, mani ata pimba hlavav?, mani malotovpa ata kava vewol vivav? Yimba kuvhoawol vev innena pikiannamba. Yimba tit vivma, yena nihva innemba nelmangasva lohvmoa, wo eva yena nihva pikianmba vewolalmangasva lohvmoa?
MAT.6.26	Nungeiltuk, tuawava himba osomba vivmoa, wo eva himba ehlanamba andra vivmoa, innemba dombolmba. Wo heva os Sesoa hemba innemba daswolv. Ye miva lovahv Sesoana novrava, tuawava owai, wo noinda himba yemba kolvrowol vev.
MAT.6.27	Mindnamba nengavnangna wevsa mana vemam, es hevpa yemba kolvravavma?, owai. Yimba mindnamba duus vetava, yunalmba almba, es hevpa yimba wohavavma hona petharava yunalmba?, owai.
MAT.6.28+MAT.6.29	Manam yimba ningvav pikianmba osva, mani si pimba vewol vivav? Bungam nungeiltuk, kulva besal temba posmusrava phowol vevpa. Himba andrava vivmoa, himba englanamba kayenmba kondvravmoa. Heva os Sesoa hemba huhmoh vewol vev besal kulnamba, wo os himba wohkuvheiv Solomon kuwulmba, ten nemet lohnam wohtowond.
MAT.6.30	No bungarava Sesoava besal kulna huhmoh vewol vei hemba. Wo heva os ambo mongawakombanam lohoiva, kongla vepie, wo suwem taihavra. Tanam Sesoava yemba si daswolvav huhmohva, noinda yeoa hemoa pevna undnahonam lovahthamno, heva seposam lovahmanalm owaiva.
MAT.6.31	Wo manam yimba duus vivav osva, kava mani si hlavav? Mani pikianalmba si kava vewol vivav? 
MAT.6.32	Sna wevsava temba puehalnindna, Sesoamba himba tit viniv. Yena arapevpa doara doa lihawol vinna osva, himba honam ningv mindnamba. 
MAT.6.33	Heva os yeoa mindnam nengavnang vivm, Sesoana nemeltindilm saivolm, wo hena wevsabesalm engilm. Wo eva himba si os kolvrowol vevav yemba, nomba temba yimba ningvpa.
MAT.6.34	Manam mindnamba yimba osva duus vivra, simerava mani kin plothunvav kamba? Owai, detimangas yeoa ningvm osva, es hevpa ata kava vivav hona kindava, detiva memba phovpa. Doata simeraminimoa kinmoa manam yimba duus vivav detiva.
MAT.7.1	Yesusva mendah numhowol vevna hevna aonghal mahalnindm, manam yimba ositvav indhanamba osva, yenamba indkoklava lohginv. 
MAT.7.2	Wuleihu, Sesoangas yemoa osetra hengaoa, wo no wevsava yimba temba engivpa, nonamba yimba indhanamba ositvpa, Sesoava eva si os yemba vinvavta.
MAT.7.3	Manam yimba osva unvav pevna sehpevmba, yimba singpong ilvahv pevna novmerava, nonamba yena sehpevpa sahonamba vivrava. Wo eva yimba pevmba os lihavavmoa, kava sahoklalva lohvmoa, snamba maim oi, tipopov yena novmerava.
MAT.7.4	Manam yimba pevna sehpevmba osva unvav, ata ka kilvivav singpongva yena novmeriniva, wo yimba nengvmoa, tipopovpa pevna novriniva. 
MAT.7.5	Owai, seiloa boasna pevna novrini kilvu tipopovoa, wo beswonamba yimba os novvivra, wo os kilvinu pevna sehpevna novrinioa.
MAT.7.6	Sesoana moamba besalva, snal maim oi, bungana huhmoh kul. Manam yimba ishunvav nomba indhanamba, miemsnamba temba vuvt andasuh avramana vevpa. No indhanamba si ningvavmoa Sesoana moamba, temba snal maim oi, mewonda ningvavmoa huhmohmba. Yimba pevna huhmoh besalva dembhatava mewondana novlomossisva, miemba monglana dakonda vevav no huhmohva, eva windemba imharavhoarava, yemba helvevav.
MAT.7.7	Yimba Sesoamba ishomnavpa, manam yimba kivrawuliha vrevav, osva Sesoava yemba si vuhebesalla sandhavav. Yimba aslalvrava, nonglalmba, Sesoava yemba si indthueinvav mana vemava besalva. Yimundtomdaoa elsus lovahthamnavrava, tuvmoa os vindewuvmonavm, wo Sesoava ata ovav, sihaota.
MAT.7.8	Himba nomba Sesoamba osihminivrava, tanam Sesoava henomba si sandhavav vuhebesalla. Indhanamba nomba aslalvrava, nonglalmba, tanam Sesoava si indthueinvav mana vemam besalva. Nomba indhanamba elsusva yimundtomdava tuvpa temba vindewuvpa deuvriniva, Sesoava si os unvav, saivo.
MAT.7.9	Sesoa yena arapev senamini, himba yemba dembrahunilm vinv, nomba yimba temba osihminivrava hemba. Yena ombpovpa yemba osva omnatava, kam newul, wo es hevpa yimba hon tongrahovavma, owai. 
MAT.7.10	Osva himba yemba omnatava, kam tambko, wo es hevpa yimba saipusuhla wuraohvavma, owai.
MAT.7.11	Yimba indhanamba sahoklal, heva os yimba pevna otolmba mana vema besal moang vinv. Wo yena arapevpa senaminiva himba nihvuhinhui, wo himba si tanam daswolvav besalva mana vemava, nonamba yimba hemba osihminivrava.
MAT.7.12	Mana vemava besalva yimba osva ningvrava, indhanaoa os kamoa vinda lehahra, wo eva yeoa wohvinuta hemoa os. Honi mongal plalva Mosesna moana eva owal moashulnindna moana.
MAT.7.13	Nomba monamba temba Sesoana kembellamba dihelgavpa kekelmel, wo heva os yeoa ehlana aslalo, engalmoa no monamoa. Mongova monamba dihelgav, hevm besal, wo vaval saivolmba, indhanamba mindnam osva angalvohv. Indkumbiva no vavalmonam engiv, wo heva os hemba si indkokla vilovav.
MAT.7.14	Yeoa kekelmelmonam engivm, tanam kekelmel tiplakoplamona, wo heva os yimba si pulvovav ehavelkembella, wo yimba si beswonam wohaevulvav. Indhanamba ambo eskand si saivnga vevav, nonglalmba nomba monamba.
MAT.7.15	Yimba kana aonghal mahalnind undundna aevvm. Indhanakoklava men aevulv, yemba si os unvav, yemba moamba besalva men kava wulembinv Sesoanamba. Himba yemba dasalmba si os unvra, wo yimba si hilwilvra hemba, gurubesal, wo heva os tanam himba sahoklal, snal maim ui, allambawonda.
MAT.7.16+MAT.7.17	Indhanam nom nungeilu, es andra viv? Yeoa lesvhoawol viu hemoa, os maim oi, denwitna aral hevna nukm mendenglit owol vev. Wo yimba os lihawol vivav, himba ambo dasalm guruwolmba lovahv.
MAT.7.16+MAT.7.17	Es hevpa pueuvpa yimba leihavavma mandariniva? Es hevpa wombamovpa yimba pueitvavma sumbriniva? Nuktva besal, yimba nungluwularava, wo yimba nonglavav, movolva besal. No nuktva doa merava lalao vev, movolmba yimba nonglavav, sahoklal endv.
MAT.7.18	Nuktva tilva besalva lohvpa, movolva sahoklalva endvavmoa, wo nuktva tilva sahoklalva lohvpa, movolva besalva endvavmoa.
MAT.7.19+MAT.7.20	Nomba denwitva, temba movolmba endpralmba owai velohvpa, doa denwitna aralva ovla wulsiharava, wohhilivutho, suwe tithoa. Hillu hona kana moam, wo indhanana andram lesvhoawol vinu.
MAT.7.21	Eva indkumbiva si saivvavmoa Sesoatindi nemellamba, owai. Kamba ombamora ambo osva alvav, mendekli, wo heva os owai, eva mani indkumbi si saivvavmoa Sesoatindi nemellamba. No indhanangas ten ara senaminina moam engivm, wo henongas hevho si saivvav Sesoaindava.
MAT.7.22	Eunillamba oviva pethaiva mueisowa vewolvrava, wo kava indhanamba lesvhoawol vevrava, monglava indhanamba si os kamba umnivra, mendekli, kava yena moamba indhanamba ishuvmona vinvna, kava tihsongomba indhanana nihmeriniva engilinvna. Kava mendekli andra vina yenanapopol.
MAT.7.23	Wo kava si os hemba wohishopieinvav, lehra, heva os yemba nomba kava tit vinv. Yemba kava osva nongalnamoa, ona, kana aonghal mahalnindnonoa. Yeoa angavm ehallam kanaminioa, manara noinda yimba indhanakokla vilov.
MAT.7.24+MAT.7.25	Indkumbiva himba nomba engivpa kana moamba, himba snal, oi indhanarini nengavnang besalna. Himba deuvm velm vev, doa mandamba himba wosapiha vev petha besallava lumbulla. Wo doa sismba vuvina ponamba vevna, wo hena deuvmba os wiki vrowolloh vina, wo pueumb pro, owai, hena deuvpa beswonam wohlohmanavna.
MAT.7.26+MAT.7.27	Indhanamba nomba hillivrava kana moamba, wo heva os kek vithivmoa, engivmoa, no indhanamba temba snal maim oi, indhanarini nengavnangkoklana. Himba deuvm velm vev, heva os himba popethalla vev, mandana engalla. Wo sismba vuvina ponamba vevna, deuvm nom pulshatha, pueumb pronamba, os tupulusva wulangana.
MAT.7.28+MAT.7.29	Yesusva ishopianamba, wo no indhanamba di aevulvnamba, evekingil vruwul uvna, Yesusna moamba kin vev. Katekisna moamba ambo kolmalmoa, heva os Yesusva aralna moamba kuvuluhv.
MAT.8.1+MAT.8.2	Yesusva oloriniva pihavnamba, Kapaniam kotaram gavna, indhanamba indkumbiva sis pelpathamnavna hemba. Doa mongo kismungil indhanarini pro, hev novlomossis mulumbdandna lohvhoamna Yesusm. Hev omnana, kam sishona vro, yimba nengellava osva, mendekli.
MAT.8.3	Wo doa Yesusva hevna engla luonamba, oholothomnana no kismungil indhanarini inda, omnana, kava wohnengvta mindnam, yemba kolvralmba, yena nihtovpa henga ata beswonam hevnavhora lohvav, wo os venamba, hena nihtovpa beswonam henga kanandhana.
MAT.8.4	Yesus omnana hem, manam yimba muserava honamba ishovav, owai, yeoa gao sembayang andranindrini indam, nethalm. Himba ata yena nihtovmba os naengho vrevav. Wo yeoa Sesoamoa inne dembraho honindaoa, os nemet ten doara Moses novol venam. Osm indkumbiva yemba si os umnivra, Sesoava hemba doa sishona vrena, hena kisva doa selvpena, doa hevna nihna lohv.
MAT.8.5+MAT.8.6	Nonamba Yesusva sihavnamba Kapaniam kotarava, valgonindna kuwulva di avna, 100pelara valgonindnamba himba kuwulva wulluhunvna. Hev Yesusindam pronamba, hev omnana Yesusm, kana andranindriniva men ambo sahonam englamonglahui nendav, yeoa hemoa kolvro, mendekli.
MAT.8.7+MAT.8.8	Yesus omnana hem, ata kava garava domba, hemba ata kava beswonam sishona vrevav. Wo noi kuwul omnana Yesusm, kava mani besal indhanarinima, ata yimba es hevpa kana deuvrava sihavav, owai. Yeoa hui monara sishona vro, wo ata andranindrinimba kanandhavav deuvrava.
MAT.8.9	Kanamba kuwulva lohv, no kuwulna keusingi kava andra vev. Wo eva ka valgonindna kuwulva wulluhunv, himba kana andranind, osva kava mongomba omnatava, dom gao, hom pro mongomba, himba osangas wohviv. Kava os nengv, Sesoava doa yemba anglavuhuvoho vrena, kana andranindrinimoa os veno.
MAT.8.10	Yesusva evekingil vethavna no valgonindna kuwulna moarava, hev unna no indhanam, ten pelpathalohmanavnam hem, hillu honam valgonindna kuwulna moam, himba kamba keknam hevna indnahonam nengmanav. Himba ambo puehalnindrini lohv, wo heva os yimba kana mongawa Israelnindva, kava mongomba snamba nonglavmoa yeriniva, himba hevna indnahonam kamba ningminivmoa, osva memba hona indhanariniva, owai.
MAT.8.11	Yesusva mendah ishunvna no indhanam, hillu, sewonamba Sesoava si hevna nemeltindimba innemba wonnevav, pina simbehumunil noi Apraham, Isak eva Yakop si aevultharava, noi si hlavav. Wo eva mongla puehalnind si kusorava, si os wonhlavav hemba, no puehalnindva kamba keknam hevna indnahonam ningminiv.
MAT.8.12	Wo heva os pina mongawa Israelnindva, himba nomba temba doarava hillinamba Sesoana nemeltindinamomba, himba nomba si hlavavmoa no innemba, owai. Sesoava si hemba sandhavav amballa sikulmonam, wo himba di si wenumbsnamba uwuvra, manara, himba kamba hevna undnahonamba ningminivnamoa.
MAT.8.13	Yesus henga omnana no valgonindna kuwulm, gao deuvram, yena andranindrinimba ata kanandhavav, manara, yimba kamba keknam pevna indnahonam lohvhoamnav. Wo nonamangas no andranindrinimba os kanandhana.
MAT.8.14+MAT.8.15	Henga Yesusva ganamba, Pitana deuvra siha, himba ona nonglana Pitana kolalm, men nihvuvramungil liv. Hev englaval kevra, wo no nihvuvravpa henamba os hoai vena, wo himba venamba, innesowava venavna Yesusmba.
MAT.8.16	Simokokonamba kembelnindva wulkusovna uvavulnindm, eva nom ten tihsongo nihmera aevulungu vinvnam, indkokla vewol vinvnam. Wo Yesus unna no tihsongom, phopiengu vinu, wo os wohphopianamba, os bukethana, wo os Yesusva sishona vewol vena no indhanamba.
MAT.8.17	Yesusva wohengvna Aisaia moashulnindrinina doaraminimom, no moamba os novol velohv,
MAT.8.17	No indhanarini pimba sungiavho vrowol vena pina uvavullava, himba pina kinmba pungeinvna. 
MAT.8.18	Yesusva nongalna, indhanamba kamba mindnam kulthoamnav, wo hev unna hevna aonghal mahalnindm, honaminioa angai, pom lovol verava, ata nomilm aevulthavav popethalla. 
MAT.8.19	Doa himba angalm vevna mongawulm, heva os boasna mongo katekisrini pro Yesusindam, guru, kava yem pethamnalm venav, yimba eva hivemava gavra, kava yem pethamnavra. 
MAT.8.20	Doa Yesusva omnana hem, lehra, heva os beswonam boasna nengo. Tuawava lara ovavhoa vewol viv, miemba lara vilov, noindamba sihalmba. Wo heva os kava owai, kava arana ombol lohv deuvhui, osmba di kava lilohvra.
