MAT.1.1	Kristus Yesus, Zen teipsïn zini Daud Bak mo Auyan-tane.
MAT.24.7	Aha zi ausu nakorena aha zi ausu naban sa ëeija gwer, hen aha ïrïk gïnnï aha ïrïk gïn nïban sa ëeija gwer. Lang yala an san usak yala sa hatanda gwer, hen jïngïlï mam enkam sa taïlïda gwera. 
MAT.24.8	Zen kirekam sa karekna nonol lone sennak lwa gwer. Zen men kiye: We de jaha gwen hap eisbir anensa sëwehe kïnïnna. Zen dekon sa ki hëndep sang-sangna dohonse gwe song gwer.
MAT.24.9	“Emsa sa ahakon dahyo gwer, hëndep emsa sa karek da gwibir, hëndep emsa hen sa damera gwer. Tïngare langnak de zini sa emsa husus neibirida gwer, sap em an Asa de ang gwe-gweblan wenya. 
MAT.24.10	Dekam Asa de taïblïblan nakon beya nik sa etan lwan dahal gwer, hen zen sa hwëna nama de taïblïblan wenyaka husus neibirida gwer, hëndep tameran hap sa nolëgu gwer. 
MAT.24.11	Dekam yasik ta gwibin hip zini beya nik sa anakare ola ban yaïng gwe-gwezal, ‘Ëe an Alap mo olsaë ebe mae hap ayang gulzimꞌin.’ Hen zen zen sa boton san dep zini beyakam sïl dïbirhal gwer. 
MAT.24.12	Dekam jal-jal enkam sa lowehe gwer, hëndep beya nik sa kwasang enlalana eititi neibir. 
MAT.24.13	Hwëna men zen de Asa de taïblïblannak tatem ëzauk gweꞌak, hëndep aumwa hap de yaklanak de zauꞌuk, zen zen sa ëngaya gwer. 
MAT.24.14	Hwëna Alap Zën de ïrïk gïn hïp de ol dawemna insa kim de tïngare lang san nolhala daꞌak, tïngare zi ausu dikim ësane gwen hap, zen dekam tangan sa aumwa hap denak zaul.
MAT.24.15	“Ëe ol tan-tanna ansaë ebe mae hap golzimꞌin: Em esa teipsïn zisi hla lal– Alapsa de lamang tan hap de karek yawalsa de Alap mo golak goltïl zïnnak, men kirekam orep Alap mo ol ayang gul gwen zini Daniel Bak gubiridakake. Zen dekam esa anakan tame ul, ‘Angkam aumwa hap de yaklanak man zauꞌun.’”
MAT.24.15	Hwëna ëe, Matius, ama Yesus mo ola in hap emsa gubiridaꞌan: Em in zen bukuna ansa aha zi hip baca ul gwizimk, dawem enkam srip ulsuk gwizimk. Yesus dekon anakan ayang gulku,
MAT.24.16	“Dekam Yerusalem mo langnak de zini em kwatap san dep ëheya-hya gwek. 
MAT.24.17	Dekam zini men zen de gol homan nakon lowe heꞌak, zen bap zen etan gol mwa san ba maesa de gon hap bïtï gwehan. 
MAT.24.18	Hen nganak de syal tandan wenya, zen bap zen etan gol san dep lwan dahan– baju sal-sal maesa de teisyan hapye. 
MAT.24.19	Kwasang tol, we walya u nubare wenya, hen nama de walassa momkam taïzï gwibin wenya. Zen tol banakan molya ëasendak. 
MAT.24.20	Zep Alapsa emki anakan abe ta gwen, ‘Karek yala in bap zen o dïl gwennak ahaksa Hari Sabatnak jowen.’ 
MAT.24.21	Kirekam abe la gwek, sap Alap kim lang yawala ansa syal gwibirki, hëndep sërkam de karek yala an de jowenkam, kirekam de lang dohon-hon gwenna hom mae jowek. Hen zëno hyanak etan molya kirekam okamanak jowek.
MAT.24.22	Hwëna sap Alap man zëre mo hlïl irin zisi kwasang gwibiridaka, Zen zep anakan hamal hap guku, ‘Karek yawala in bap zen tangan holo gwen. Ki hwëna zini kïtak tangan sa juwer.’
MAT.24.23	“Dekam zi de anakan emsa gubiridanna, ‘Nësa de ngaya tabin hip de Zini men angkam awe gwëꞌara,’ ahaksa, ‘Zëwe gwëꞌara,’ em bahem taïblïbirida gwen. 
MAT.24.24	Sap dekam yasik ta gwibin hip de zini beyakam sa yaïng gwe-gwer, hen zen owas-owasna sërkam de tenggwanbin tangan naka sa syal nei gwibir– anakan dikim emsa boton ta gwibin hip, ‘Ëe an Zen– emsa de ngaya tabin hip de Zi niye.’ Ahaksa anakan de emsa boton ta gwibin hip, ‘Ëe an Alap mo olsaë ep ayang gulzimꞌin.’ Zep hëndep Alap mo hlïl irin zini hen desa de taïblïbiridan hap sa hen ëalp gwesïl. 
MAT.24.25	Zen in zebë kirekam de lwan srëmnak hamal hap emsa tawa ta gubirin– em de desa enlala gwe-gwibin hip. 
MAT.24.26	Zep emsa de zi anakan gubirida gwenkam, ‘Nen ki hla tan. Zen zi ol srëm langna zëwe gwëꞌara,’ em bahem dekam desan sek gwe-gwen. Ahaksa anakan de emsa gubiridankam, ‘Zen awe aning gweꞌara,’ em bahem taïblïbirida gwen. 
MAT.24.27	Sap ngatan zi mo lang nakore Zi Tanganna, ano hata zanna, kïtak ngatansa sa hla nulser– men kirekam nglï ang yala hla nulse gwenanke. 
MAT.24.28	Zep ano hatan hap dena, kïtak de zini sa dam nulsul– men kirekam hen hi agohe de ëwale gwezan hap dena dam nulsuk gwenanke.” 
MAT.24.29	“Lang dohon-honna in kim de hya gwesïꞌïk, zen hëndep dekam sa
MAT.24.29	‘yakla nwena kawesïlï.
MAT.24.29	Benna hen molya ngatan gwek.
MAT.24.29	Hen keisni sa nglï nakon ëlan nahlala.
MAT.24.29	Hen nglïnak de teipsïn-teipsïn dowla-dowala sërkam sa ëïlman gwe nasen gwer.’
MAT.24.30	Hëndep dekam zep sa tïngare langnak de zini nglïnak de owasna hla nulser– ngatan zi mo lang nakore Zi Tanganna Ënaka de enlala gweblan hap de tan-tanna. Dekam tïngare zi ausuna ngalap gosa sa tal– zen kim butnak Asa hla dase guꞌukye, Ëre mo soson naban ngatan yawala ban de ziati gwe zannak.
MAT.24.31	Zen dekam sa sramin auku yawalsa nasalbir– Ëe kimë ëre mo dam taha nakore zini lup gul soneꞌak, zen de ëre mo hlïl irin zisi tïngan en tangan de tagal gulsun hupye, sap yakla hata sezan nakorena, hëndep nikin anen nakorena, hëndep eihya-lip eihya-lip nakorena.”
MAT.24.32	“Zep aumwa hap de yaklasa de dam gulsunnu, zen tenya dëren nakon de langsa dam gulsun makan. Em kime tenya dërenna anakan hla kul gwenan, ‘Man alsïk, hen angkam man etan ala gweꞌan,’ zen dekame anakan tame ul gwenan, ‘Angkam sasa gwen hap ki lwaꞌan.’ 
MAT.24.33	Zen hen kirekam: Tïngare kirekam-kirekam karek yala insa kime hla kul gweꞌak, zen dekam esa anakan dam ulsuk gwer, ‘Angkam Alap Zën de kïtak ïrïk gïlzïn hap denak man zauꞌun!’ 
MAT.24.34	Eiwa denakaë emsa gubiridaꞌan: Em an zene angkam okamanak lowe heꞌan, molye kïtak juwek, zen dekam sa ki tïngan lwal. 
MAT.24.35	Nglï naban kama naban sa jek-jak nër. Hwëna ano ola, zen hëndep denaban sa lwa gwer.”
MAT.24.36+MAT.24.37	“Hwëna zini molya ngatan zi mo lang nakore Zi Tanganna ano lwa halzan hap dena anakan tame nuk, ‘Yaklana’ ahaksa ‘Jamna dekam sa hata zala.’ Alap mo dam taha nakore zini hen molya. Tane zem Aena hen homë tame guꞌun. Zen diki tawana Bian Zë-en. Sap ano lwa halzan hap dena, zen men kirekam orep lwak, Nuh Bak kim golëlowehe gwekake, zen kirekam sa etan lwal. 
MAT.24.38	Sap dekam ho namwa yawala in kim hata srëm gweꞌak, zini dekam tembanekam ëmen-man gwenda gwek, hen we wal zi zënaka kap da gwek. Zen kire enkam ki mumukkum lowe henda gwek, hëndep yaklana in dekam Nuh Bak bul yawala iwe we wal walas zeban golësesek gwe seka. 
MAT.24.39	Hwëna ho namwa yala in kim mumuk ennak lup gulsuk kïnzïꞌak, dekam zep auna ëhlok, ‘Eiyë, an kirekam am lwaꞌan!’ Ëe de etan lwahal zannak zen kirekam sa hen auna ëhlol. 
MAT.24.40	Dekam zi dare de nganak syal ëꞌanka, aha-en naka sa ëre mo dam taha nakore zini neir inehal. Hwëna aha tola zëwe sa hli dal. 
MAT.24.41	Hen we dare de lënsa aleꞌak, aha-en naka sa nul inehal, hwëna aha tola zëwe sa hli nul. 
MAT.24.42	Zep salok-salokkam Asa kara ë gweblak. Sap em molye anakan Asa tawa ëblak, ‘Ano mae mo Teipsïnnï dekam sa etan lwahal zala.’
MAT.24.43	“Emki sap ëenlala gwen: Gol bi nik de anakan tawa gweꞌanam, ‘Ano golak sowë zini namen mo kam sa tïl zïla,’ zen dekam molya nini taꞌanam. Sowë zini in de tïlzïn srëm hap maka saleꞌara. 
MAT.24.44	Zen in zep, em hen kirekam salok-salokkam lowehe gwek, sap em home tame uꞌin– ngatan zi mo lang nakore Zi Tanganna Ëe de lwa halzan hap denaye.
MAT.24.45	“Ano lwa halzan hap dena, zen mae makan: Teipsïn nik de holokam langa san song gweꞌanam. Zëre hon de babu gwe-gwen zini men zen de enlala blalkam gwëꞌanam hen taïblïblan nik, zen zëbe hap maka syala anakan wei yul sone gublu haꞌara, ‘Ano tim bwanak babu gwe-gwen bose omka em ïrïk gïl gwe. Zëbe mae hap tembanena hen sowe henkam gol gwizim.’ 
MAT.24.46	Teipsïn zini in de mumuk ennak lwahal zankam– zen de anakan hla taꞌan zanam, ‘Zen dawemkam ano tim bwanak ïrïk gïl gweka,’ ki zen sa zëbe hap isrip-sri gwibin nika golblala. 
MAT.24.47	Eiwa denakaë emsa gubiridaꞌan: Teipsïn zini in dekam sa zëno bosena esek gul seblala, hen zëre mo kire-kiresa de kïtak kara ta gwibin hip sa gublula.
MAT.24.48	“Hwëna zini in de enlala nik karek gweꞌanam, zen maka enlala gweꞌara, ‘Ano teipsïnnï in na-en molya lwahal zaka.’ 
MAT.24.49	Zen sa hwëna ahakore babu gwen bose zemka tangole gwibiri, hen teipsïn zini in mo te-alakam sa ho mamaksa otde gwibin soson zi bose zeban ziotdeblanda gwera hen golëtembane ta gwera. 
MAT.24.50	Ki sa hwëna mumuk ennak babu gwe-gwen zi karekna in mo tame gun srëmnak teipsïn zini in hata zala. 
MAT.24.51	Dekam sa tok hap zïp so zala. Hen zëno angna dekam sa syauk blanak tak ta sera– men dekon ëk enkam de Biansa ang gwe-gweblan zi mo angna yusyustïn nïban gona ta gwenanke, hen sang-sang hap ëkna ngalk-ngalk da gwibirinke.”
MAT.25.1	“Zep Ëe kimë Alap Zën de ïrïk gïn hïp denaban golhataꞌanzak, zen gulk sun de ol blaoranna an kirekam sa lwal: San de sepulukam de kwalbasa de we oto gulblun hap de zisi pelita ngatan naban hut tu ane gun hup de ëhohle gwenna. Zen pelitana srën-srënkam deirensïk. 
MAT.25.2	Hwëna sepulukam de kwalbasana in, aha-ere taha-tapkam enlala joblo-topna, hen aha-ere taha-tapkam enlala blala. 
MAT.25.3	Sap enlala joblo-top wenya in, zen pelita dang ennak dena kim sek gwek. Tap gwennak de etan yuren hap dena hom kap dak. 
MAT.25.4	Enlala blal wenya in zen en man minyakna hen kap dak– pelita dangnak dinik de tap gwennak de etan yuren hap denaye. 
MAT.25.5	Hwëna we oto gulblun hap de zini in na-en hom hata zaka. Kwalbasana in zen nësblak zep hëndep nwe-alk hap truwek. 
MAT.25.6	Hwëna ngïrïn tatem zep takeranna te sok, ‘Angkam man hataꞌara– we oto gulblun hap de zi niye! Haen, nen angkam hut tu ane gun.’
MAT.25.7	“Sepulukam de kwalbasana in ki zep luk tak, hëndep pelita-pelita zemka ki zep ototo dabiꞌik, hen ki zep tom-tom dak. 
MAT.25.8	Hwëna enlala joblo-top wenya in ki zep enlala blal wenya insa nenbiridak, ‘Abe mae hap em tol minyaksa betek enkam hlë-hle tazimdin, sap ano mae mo pelita-pelitana tïnsïn hïp ëalp gwesïꞌïn.’
MAT.25.9	“Zen hwëna man ding nulzimk, ‘Bëjënë, ki hwëna ëre mae mo hen molya ësowehek. Amki toko san sek gwek– te-alakam de zë teyïsïn hïp.’
MAT.25.10	“Hwëna enlala joblo-top wenya in kim toko san minyak teyïsïn hïp sek gweꞌak, we oto gulblun hap de zini in ki zep hata zaka. Enlala blal wenya in zen ëhohle gwek, desa en dekam zep we oto gulblun hap de zini in tembane yawala iwe dep golëbïtï gweka. Lïlïkïnnï hen dekam zep nayalsïkink. 
MAT.25.11	Enlala joblo-top wenya in kim etan yaïng gwezak, dekam zep sap ëtaken gweꞌak, ‘Bian, bian, abe mae hap em lïlïkïnsï talusuzimdin.’
MAT.25.12	“Hwëna zen man ding gulzimki, ‘Eiwa denakaë emsa gubiridaꞌan: Ëe homë emsa tame tabiꞌin.’
MAT.25.13	“Ëe in zebë hwëna emsa gubiridaꞌan: Salok-salokkam em lowehe gwen. Sap ngatan zi mo lang nakore Zi Tanganna ano etan de lwa halzan hap de yaklana em molye tawa ëblak.”
MAT.25.14	“Zep ano lwa halzan hap dena, zen hen gulk sun de ol blaoranna an kirekam sa lwal: Te-ala beya zini man aha lang san dep holokam de zë gwën hap song gweka. Nonol zëre hon de babu gwen zisi zep gu sonebiridaka– zëbe mae hap de zëre mo kire-kiresa hli tanda guzimhan hap, zen de dekam zëre mo timbwanak te-alasa mam tablan hap syal tan hap. 
MAT.25.15	Te-ala beya zini in hon men zen ëbabu gwek, zëbon mae onakon dan-ahan en anakan dam tasibirki, ‘An syal-syal tanganna zen,’ ahaksa, ‘An hen kire tola.’ Zen zep srën-srënkam zëbe mae hap kap ta guzim halka. Ahana kip emaskam de te-ala yuna aha-ere taha-tap enkam kap tablaka. Ahana kip yuna dan-dan teisyablaka. Hen ahana kip aha-ere yukam zerblaka. Zëna ki zep song gweka.
MAT.25.16	“In zëbe hap emaskam de te-alana aha-ere taha-tapkam de yukam kap tablaka, zen hëndep dekam zep te-alana inkam kire-kiresa lirak ta gwibirki, hëndep dekam aha-ere taha-tap yukam zep etan mas soka. 
MAT.25.17	In zëbe hap dare yukam hen teisyablaka, zen hen kirekam kim syal gweka, dekam etan dare yukam zep mas soka. 
MAT.25.18	Hwëna in zëbe hap aha-ere yukam zerblaka, zen kamasa hul gulku, zao zep te-alana insa aning taka.
MAT.25.19	“Lamkam kim zi yala in etan lwahal zaka, dekam zep etan te-alana insa de apdenak ziaïtblïn hap gu sonebiridaka. 
MAT.25.20	Aha-ere taha-tapkam de yukam men zëbe hap hli tablaka, zen ki zep sepulukam de yukam kap tabla zaka. Zao zep gubluka, ‘Bian, em sap aha-ere taha-tap yukame abe hap hli tablaka. Hwëna emki hla tan. Ëe kimë dekam syal gwe-gwek, etan yuna aha-ere taha-tapkamë mas sok.’ 
MAT.25.21	Zi yala in ki zep ding gulbluka, ‘In aïrïs tangan! Em an abon de babu gwen zini dawem tanganna hen taïblïblanna. Em mese betekkam de zerblanna insa dawemkam ïrïk taka, zep ëe asa etan ebe hap mam tangankam zerblal. Zep ano ïrïk gïlzïn hap de tembane yawalak awe emki tïlzïn– ano alp nakon de hen isrip-sri gwe-gwen hap.’
MAT.25.22	“Ki zep hen in zëbe hap dare yukam teisyablaka hen hata zaka. Ki zep gubluka, ‘Bian, em sap abe hap dare yukame hli soblaka. Hwëna emki sap aken. Ëe hwëna dekam dare yukamë etan mas sok.’ 
MAT.25.23	Zi yala in dekam zep ding gulbluka, ‘In aïrïs tangan! Em an abon de babu gwen zini dawem tanganna hen taïblïblanna. Em mese betekkam de zerblanna insa dawemkam ïrïk taka, zep ëe asa etan ebe hap mam tangankam zerblal. Zep ano ïrïk gïlzïn hap de tembane yawalak awe emki tïlzïn– ano alp nakon de hen isrip-sri gwe-gwen hap.’
MAT.25.24	“Ki zep hen men zëbe hap aha-ere yukam hli tablaka hen hata zaka. Ki zep gubluka, ‘Bian, ëe mesë emsa tame tak. Em in jal-jal enkame ïrïk gïl gwenda. Sap em in ere en mo eiyas gïn nïkore ei nika home tan gwenda, hwëna hen ebon de syal ta gwen wenyik mo irse gwen nakore nakae mamkam ere hap gulin gwenda. 
MAT.25.25	Ëe zebë emsa aïrï gweblak, zebë eno te-alana kamanak lo tasïk. Te-alana in an dë.’
MAT.25.26	“Ki zep ding gulbluka, ‘Em in abon de babu gwen zini jal-jal tanganna hen asang tamna! Ema eiwakam asa anakan tame taka: Ëe homë ëre en mo eiyas gïn nukore ei nika tan gwenan, hwëna aha mo irse gwen nakore ei nikaë gulin gwenan. 
MAT.25.27	Em de kirekam asa tame tankam, ki emaka ano te-alana insa te-ala lam ta gwen golak drë neka– aen de etan lwahal zankam de dekon ap engka en mas gulblun hapye.’ 
MAT.25.28	Dekam zep ahakore babu zemka gubiridaka, ‘Emki zëbon onak de te-alana insa al tablan. Hwëna men zëno yuna dare taha-tapkam lwaꞌara, zëbe hap hwëna ërblak. 
MAT.25.29	Sap zini men zen ano kap tablanna kim syal-syal gwenna, zëbe hap etan beya en tangankam asa kap ta gweblal– dekam de hëndep taha-taha gweblan hap. Hwëna men zen ano kap tablan naka asang gweblanna, men zen betek en maekam nama lwablaꞌanka, desa asa etan al tablal. 
MAT.25.30	Babu gwen zi karekna insa em lang kawesïn sïn dep hiri tan– zini men dekon yusyustïn nïban gona ta gwenanke, hen sang-sang hap ëkna ngalk-ngalk da gwibirinke.’”
MAT.25.31	“Ngatan zi mo lang nakore Zi Tanganna Ëe de teipsïnkïm hata zankam, ëre mo dam taha nakore zini sa tïngan Asa ngïrïn da halzal, hëndep dekam Alap onakore ngatan nabare komal tumnak asa nikinzir. 
MAT.25.32	Ëre mo dam taha nakore zini dekam sa tïngare langnak de zini ëre onak dep tagal nulsul. Ëe dekam asa hlïl– san de otweran zaho ta gwibin zi de zaho zemka hlïnnï kiye, kambingni srën de kang gun, dombana hen srën. 
MAT.25.33	Dekam dombakam de wenya asa ëre mo dam taha san de ëzaun hup gubiridal. Kambingkim de wenya, desa irgwa taha san de ëzaun hup asa gubiridal. 
MAT.25.34	Ki asa hwëna dam taha san dekam de ëzaun wenya insa gubiridal, ‘Haen, nëre mae mo Bian dekakim zë dawemsa ebe mae hap golzimki. Dekam bïtï gwezak– ere mae hap de ëhamal tazimdinni awe dep, mensa orep okamana ansa de yang gulsun srëm nakon Bian ebe mae hap hamal tazimkike. 
MAT.25.35	Sap Ëe kimë usak naban gwë gwek, eme tembanena ap ol gweblak. Kimë ho-hole gwe-gwek, eme ap hona ol gweblak. Ëe kimë aha lang nakon hata gwezak, eme Asa gola kon eirin gwek. 
MAT.25.36	Ëe kimë irkan gwë gwek, eme abe hap pakeanna kap la gweblak. Hen Ëe kimë sang-sang gwe-gwek, eme Asa sam lasïk gwek. Hen bwinak kim Asa se dyain gwek, eme zë Asa du kë gweblak.’
MAT.25.37	“Hwëna enlala dam-damkam de lowehe gwen zini in sa anakan Asa ding nulblir, ‘Bian, ëe bawalkamë usak naban Emsa hla lak?– in dekamë tembanena ebe hap olblakye. Hen bawalkamë ho-hole gwennak Emsa hla lak?– in dekamë hona ebe hap olblakye. 
MAT.25.38	Hen ëe bawalkamë Emsa aha langna kore zi mo kim hla lak?– in dekamë gola kon Emsa eirinkye. Hen Bian, ëe bawalkamë irkan Emsa hla lak?– in dekamë pakeanna ebe hap kap lablakye. 
MAT.25.39	Hen ëe bawalkamë Emsa sang-sang naban hla lak?– hen bwinak de se tya irinnikye, in dekamë Emsa du këblakye.’
MAT.25.40	“Ëe dekam asa hwëna ding gulzim, ‘Eiwa denakaë emsa gubiridaꞌan: Em kime kirekam syal ei gwibik, sap Asa de taïblïblan walas kwasap mae hap, zen dekam Asae mas ë gweblak.’
MAT.25.41	“Ëe dekam hwëna irgwa taha san dekam de ëzaun wenyaka asa gubiridal, ‘An kon em sek gwen. Em an zen– Alap onakore jalsa de hlaun hup de wenya. Tïnsïn srëm syauk bla yala wakuwe em bïtï gwen– mensa Alap dowal mo kïgï hap zëre mo taha trï so gweblan wenya ban dep hamal tazimkike. 
MAT.25.42	Sap Ëe kimë usak naban gwë gwek, em home abe hap tembanena olblak. Hen Ëe kimë ho-hole naban gwë gwek, em home hona abe hap olblak. 
MAT.25.43	Ëe kimë aha lang nakon hata gwezak, em home gola kon Asa eirink. Ëe kimë irkan gwë gwek, em home abe hap pakeanna kap lablak. Hen Ëe kimë sang-sang gwe-gwek, hen bwinak kim Asa se dyain gwek, em home dekam Asa mas ëblak.’
MAT.25.44	“Zen sa hwëna Asa ding nulblir, ‘Bian, ëe bawalkamë usak naban emsa hla lak?– hen ho-hole gwennakye, hen aha lang nakon de hata zannak, hen irkan de gwënnak, hen sang-sang gwennak, ahaksa bwinak de gwënnakye, in dekamë Emsa mas ëbla srëm gwekye.’
MAT.25.45	“Hwëna Ëe dekam asa ding gulzim, ‘Eiwa denakaë emsa gubiridaꞌan: Asa de taïblïblan walas kwasap maena men desae mas eibirida srëm gwe-gwek, zen dekam Asae mas ëbla srëm gwek.’ 
MAT.25.46	Zini in dekam sa syauk bla hï-hïtïnnïk bïtï gwer– hëndep denaban de zë lowehe gwen hapye. Hwëna enlala dam-dam enkam men zen lowehe gwek, zen zen sa hëndep de ëngaya gwen hap dena hla nul.”
MAT.26.1	Yesus kim kirekam tawa tasibirki, ki zep zëre hon de ang ta gwen wenya insa gubiridaka, 
MAT.26.2	“Em tawana: Angkam yaklana dan– yakla yala Paskanak depye. Ngatan zi mo lang nakore Zi Tanganna Asa dekam sa nërgul– te-lidak sonnak dikim Asa makan ta irin hipye.” 
MAT.26.3	Hwëna Yesus in kim kirekam gubiridaka, dekam Alap mo golak de syal tan zi mo mam-mamna hen Yahudi mo nol-nola Alap mo golak de teipsïn tangan zini Kayafas Bak mo golak tagal gweꞌak. 
MAT.26.4	Zen Yesussu de sowëkam balk tan hap de olsa zë aha-en nuꞌik– dekam de tan hap. 
MAT.26.5	Hwëna zen man ëgu gweꞌak, “Yakla yalak awe bap nen balk tan, sap zini beya tangan nik dwam nëblaꞌan. Ki deban mae esa zë hwëna mamkam ëïlman gwer.”
MAT.26.6+MAT.26.7	Yesus dekam zep Betaniak tembane tan hap Simon Bak mo golak asa golëbïtï gweka. Simon Bak in, men zen orep kusta gwekake. Hwëna wenya dekam Yesus hup de kwasangsa goltrëblan hap hatazak. Zep te-ala mamkam de gon minyak, sërkam de irase dawem nabarena, golhatazak. Yesus kim zë asa golëtembane taꞌanka, wenya in dekam zep minyakna inkam Yesussu nola kon hlë tablazak. 
MAT.26.8	Ëe zëre hon de ang ta gwen wenya kimë kirekam wenya insa hla kuk, ëe dekam zebë jakal eibik, hen anakanë zë lonsubiꞌik, “Asya, zen ba hap kirekam tïngan tangan hlei yul soneblanan?! 
MAT.26.9	Dawemna diki minyakna in te-ala hap de lirak gulunam, te-alana mam tangan naka maka nëp zerzimnin. Desa emaka tahalha zi hip kae ë gwebla-zimꞌin.”
MAT.26.10	Yesus hwëna mes ano mae mo ola insa salka, dekam zep asa gubiridaka, “Em ba habe wenya ansa lonsubiꞌin? Zen man tangan sam gwesïl– kirekam de Asa gwëblankamye. 
MAT.26.11	Sap tahalha wenya em desa nama esa olëlowehe tine gwer. Hwëna Asa em molye dakal hap ërgwë gwek. 
MAT.26.12	Insa minyak irase dawemkam Asa hlë tablanan, zen hamal hap ki Asa gwëblanan– deban de kaso hulak Asa drë nwanun hap. 
MAT.26.13	Eiwa denakaë emsa gubiridaꞌan: Tïngare lang san kim Alap onakore ol dawemna nol halada gweꞌak, wenya ansa kirekam abe hap syal gwibir-blinan, desa hen sa aïsïl nei gwibir. Hëndep wenya ansa zep sa eititi neibir srëm gwer.”
MAT.26.14	Dua-blaskam de wenya ano mae mo ahana, ëna Kariot walya Yudas Bak dekam zep Alap mo golak de syal tan zi mo mam-mam san dep song gweka, 
MAT.26.15	zao zep gubiridaka, “Ëe de ebe mae hap zerguzimdinkim, em te-alana banakaꞌen esa abe hap ërblal?” Dekam zep te-ala kasona tiga-pulu enkam nërblak.
MAT.26.16	Dekam zep hëndep Yudas Bak in orana tëblaꞌanka– Yesussu dikim sowëkam balk tan hap denaye.
MAT.26.17	Dekam yakla yala Paskanak dep man golek de gweꞌak– Alap men dekam Mesir kon Israelsa gwis gwe sonekake. Paska yaklanak kim zauk, zen dekam zep hen ëkon gwesïk hanak– aha-ere minggukam de ragi srëmkam rotisa tru ta gwen naye. Dekam Yesus hon de ang ta gwen wenya ëe ki zebë anakan lakensïblïzak, “Bian, endawe esa Paskanak dep de tembanena aban mae zitwenblala?– ëe akakim zao hamal uk.” 
MAT.26.18	Ki zep asa ding gulzimki, “Yerusalem walya, zëbon osan dep em sek gwen. Zao anakan enblak, ‘Bian Guru man emsa gublula, “Ano tïn hïp de yaklanak mes zaul. Ëe zebë dwam gweꞌan– eno golak de ëre hon de ang ta gwen wenya ban Paskanak dep de tembanesa zitwenblan hap.”’”
MAT.26.19	Ëe dekam zebë hëndep zëwe hamal ul guk.
MAT.26.20+MAT.26.21	Kim kawesïk, dekam kim Yesus asa golëtembane taꞌanka, zao zep asa gubiridaka, “Eiwa denakaë emsa gubiridaꞌan: Ebon mae onakon ahanik sa Asa zertrëra– zao de Asa balk tan hapye.”
MAT.26.22	Kirekam kimë asalblak, dekam zebë tangan enlalana ëdowe hanak. Ëe dekam zebë aha-en aha-enkam lakensïk gweblaꞌak, “Bian, san ha asa tol home yap ki gublunda?”
MAT.26.23	Ki zep ap ding gulzimki, “Nen an zene apdenak roti apna kolho honak os-os la ine gweꞌan, ahana sa Asa zertrëra– zao de Asa balk tan hapye. 
MAT.26.24	Men kirekam Alap mo olak ngatan zi mo lang nakore Zi Tanganna abe hap dena lwak, zen hëndep kirekam asa tïl. Hwëna kwasang tol, zini men zen Asa dikim zë balk tan hap zertrëꞌara, zen karekna mam tangan wenyaka sa Alap onakon hlaulu. Zen an zik de jaha gweblan srëmkam maka sam gwesïkï, sap dekam zen molya karekna mam tangan wenya insa goltoweꞌanam.”
MAT.26.25	Kariot walya Yudas in zen zertreizimdin hip ola ziaha-en gulku ki zep gubluka, “Guru, san ha asa tol home yap ki gublula?”
MAT.26.25	Ki zep ding gulbluka, “Eno ola sap eiwa kirekam.”
MAT.26.26	Kimë tembane taꞌak, Yesus ki zep rotina ahanaka gul ineka, dekam zep dawemsa Alap hap rotina in hap golblaka, ki zep ahap gul guku. Desa zep abe mae hap anakare ola ban kap tazimki, “Em twenblandan. An ano timni.”
MAT.26.27	Ki zep hwëna anggur ho nabare mokna zer ineka, dekam zep etan Alap hap dawemna golblaka, ki zep hwëna abe mae hap anakare ola ban zerzimki, “Emki kïtak otdebin. 
MAT.26.28	Sap an ano kala zen. Zen sa ano tim nikon wet sol– Alap mo zi niban de ol ziaha-en gun ësesa dikim sul sonen hapye. Zep zini beya tangankam sa ano kala kon Alap mo nwenak ëdakastïl gwer. 
MAT.26.29	Eiwa denakaë emsa gubiridaꞌan: Ëe molyë na-en etan anakare anggur hona otdek. Hwëna ano Bian mo ïrïk gïnnïk kim de hataꞌak, zen diki dekam asa etan eban mae apdenak ziotdebir.”
MAT.26.30	Ki zebë hwëna Alap hap de tërya apdekam lak. Kimë lasïk, ki zep asa zaitun tra nabare kwatap tek san dep golësek gweka.
MAT.26.31	Zao zep zëre hon de ang ta gwen wenya asa gubiridaka, “Em namen Asa de karek tannak hla tankam kïtak esa aïrïn hïp Asa hli la gukhal. Sap Alap mo olak man lwak,
MAT.26.31	‘Ëe asa zaho ta gwibin zini insa karek tal.
MAT.26.31	Zaho zem dekam sa men-san an-sankam heya-hya gwer.’
MAT.26.32	Hwëna Bian kim de etan Asa ngaya taꞌanka, Ëe asa dekam emsa Galilea san dep ngeirbiridal.”
MAT.26.33	Hwëna Petrus ki zep ding gulbluka, “Bian, ahakore wenya an sap sa Emsa hli dasïl. Aena tangan molyë Emsa hli tak!”
MAT.26.34	Yesus ki zep ding gulbluka, “Eiwa denakaë emsa gubluꞌan: Namen nonol ayang de gun srëmnak, em dekam esa anakan de Asa zabeblanna dan-ahan soblala, ‘Zini in ëe homë tame taꞌan.’”
MAT.26.35	Petrus ki zep etan ding gulbluka, “Bian, ëe apdenak asa Eban lïl. Ëe molyë tangan Emsa zabeblak.” Ëe kïtak kirekam zebë sap ëgu anek.
