MAT.1.1	O lil cai sicavel catar țîrdel‐pe o Iisus Hristos, o ciao le Davidosco, o ciao le Avraamosco. 
MAT.7.25	Peline ăl brîșînda, avile bare paia, marde ăl barvalea andă codou cher hai ni peradea‐les, că sas vazdino p‐o bar. 
MAT.7.26	Ta orsao așunel so Me phenau hai ni cherel‐la, gianau că si sar ăc manuș bi‐goghiaco, cai vazdea pesco cher p‐o chișai. 
MAT.7.27	Peline ăl brîșînda, avile bare paia, phurdeas e barval hai mardea and‐o cher, hai codou cher peleas. Hai baro sas lesco perimos. 
MAT.7.28	Cana o Iisus phandadea, ăl mai but manuș mirinas‐pe catar Lesco sicaimos. 
MAT.7.29	Ou sicavelas‐len sar ech cai si zuralo, hai na sar sicavelas‐len lenghe ăl sicaitorea.
MAT.8.1	Hai sar Ou avilo opral p‐oa plai, but manuș ghele pala Leste. 
MAT.8.2	Hai eta că ăc nasvalo lepratar, pașilo lestar, închinosailo hai phendea‐Lesche: Devla, cana tu camesa, daștis te dichis‐ma. 
MAT.8.3	Hai o Iisus înghiardia o vast leste, machleas‐les vastesa, hai phendea‐Lesche: Camau, au dichisine. Sar phendea i sas sasteardo le lepratar. 
MAT.8.4	Hai phendea‐lesche o Iisus: Dich, te na phen canicasche, gia ta sicadio c‐o rașai, an so trăbul sar phendea o Moise, te avel mărturia anda lende. 
MAT.8.5	Dă sar avelas and‐o Capernaumo, pașilo Lestar ăc sutașo hai rughisardea‐Les. 
MAT.8.6	Hai phenindos: Devla, mîri sluga pașliol and‐o cher nasvalo hai but chinuil‐pe. 
MAT.8.7	Hai o Iisus phendea‐lesche: Cana avaua si te sastearav‐les. 
MAT.8.8	Ta o sutașo boldea hai phendea‐Lesche: Devla, ni meritiu te aves cai beșau me, ta phen numa ăc duma hai mîri sluga sastiola. 
MAT.8.9	I me sem tela aver manuș hai si ma tela mande ostașa manuș hai phenau iechesche: Gia, hai gial; avresche: Au, hai avel; hai mîră slugache phenau: Cher caia, hai cherela. 
MAT.8.10	Așundinos, o Iisus minunisailo, hai phendea colenghe cai avenas pala Leste: Ceaces phenau‐tumenghe: canicaste, and‐o Israelo, ni arachlem cadichi pachiamos. 
MAT.8.11	Hai phenau‐tumenghe că but si te aven anda‐l thana cathar inclel o cham, hai cathar perel o cham, avena hai beșăna che sinia le Avraamosa, le Isaacosa hai le Iacovosa and‐o thagarimos le cerosco. 
MAT.8.12	Ta ăl ciave le thagarimasche avena ciudine avri and‐o calimos le rachiaco; othe avela roimos, hai bare ducha. 
MAT.8.13	Hai o Iisus phendea le sutașosche: Giatar, hai te cherdol‐tuche pala sar pachiaian. Leschi sluga sastili andă codoa ceaso. 
MAT.8.14	Ta avindos o Iisus and‐o cher le Petrosco, dichle lesche sastrunea cai pașliolas nasvali șilendar. 
MAT.8.15	Machleas la c‐o vast, hai muchle‐la ăl șila, uștili pala cadaia hai astardili te slujil‐Le. 
MAT.8.16	Cana peli e reat, ande Leste buten cai sas bengaile, dindos duma inclelas ăl nasulimata anda lende, hai sauărăn nasvalen sasteardea‐le, 
MAT.8.17	Caște maladiol so sas phendo catar o prooroco Isaia, cai phendea: «Amare covlimata lilea‐le, hai amare nas valimata phirardea‐le.» 
MAT.8.18	Hai dichindos o Iisus but manușen pașa peste, poruncisardea le ucenicenghe te nachen părdal o pai. 
MAT.8.19	Ăc manuș sicado pașilo pașa Leste, hai phendea‐lesche: Sicaitorina, me camau te avau pala Tute cai Tu giasa. 
MAT.8.20	Ta o Iisus boldea‐lesche: Ăl vulpi si le thanora garade hai ăl ciriclea si le cherora; ta o Ciao le Manușăsco nai cai te ciol pio șăro. 
MAT.8.21	Aver cai sas anda‐l ucenicea phendea‐Leste: Devla, much‐ma te giau mai anglal te prahau mîră dades. 
MAT.8.22	Ta o Iisus phendea‐lesche: Au pala Mande, hai much le mulen te prahon pe mulen. 
MAT.8.23	Ciutea‐pe and‐e corabia, hai Lesche ucenicea ghele pala Leste. 
MAT.8.24	Hai, eta, ăc bari barval vazdinaili p‐o pai, cadici dă bari că delas opral pă‐i corabia; ta Ou sovelas. 
MAT.8.25	Lesche ucenicea avile pașa Leste, vazde‐Les hai dine mui: Devla, hastra‐amen, că hasaos. 
MAT.8.26	O Iisus phendea‐lenghe: Sostar daran cadea, țîra pachian? Atuncea Ou uștilo, certosardea e barval hai o pai te acion hai acile. 
MAT.8.27	T‐ăl manuș mirinas‐pe hai phenenas: Con si Cadaua, cai e barval hai o pai așunen‐Lestar, hai cheren so Ou phenel? 
MAT.8.28	Hai nachindos Ou părdal and‐ăl thana le Gadarineanghe, avile angla Leste dui manuș bengaile, cai inclenas catar ăl thana muchle, sas cadea dă nasul manuș că naștinas coniva te nachen pa codo‐l thana. 
MAT.8.29	Hai astarde te den mui hai te phenen: So si‐tut amența, Iisuso, Ciao le Devlesco? Avilean cathe angla so si chio timpo, te duchaves‐amen? 
MAT.8.30	Mai dur lendar sas but bale cai hanas ciar. 
MAT.8.31	Ta ăl beng rughinas‐Les, hai phenenas: Cana incalaves‐amen avri, de‐ame drom andă col bale. 
MAT.8.32	Hai Ou phendea‐lenghe: Giantar. Hai on incliste hai ciute‐pe and‐ăl bale. Hai eta, că sauără bale ciudine‐pe and‐o pai hai sea tasile andă codou pai. 
MAT.8.33	Ta ăl manuș cai sas le balența, nașle andă foro ta phende sea so cherdilo bengailența. 
MAT.8.34	Hai eta sa o foro inclisto ta maladiol le Iisusosa; hai cana dichle‐Les, rughisarde‐Les te telearel pa lenghe thana.
MAT.9.1	Ciutindos‐pe and‐e corabia, o Iisus nachlo o pai ta avilo andă pescho foro. 
MAT.9.2	Hai eta, că ande‐Lesche eches șuco dă nasvalo cai pașliolas sa p‐o pato. Cana dichlea o Iisus că pachial, phendea le covlesche: Înghiardo, zuralo ciaveia! Iertime si che bezeha! 
MAT.9.3	Sas othe manuș sicade, cai phenenas andă peste: Cadaua hulil. 
MAT.9.4	O Iisus, cai gianelas so sas andă lengo ilo, phendea‐lenghe: Sostar pachian nasulimata andă tumaro ilo? 
MAT.9.5	So si mai feder te phenau: Iertime si che bezeha, or te phenau: Vazde‐tut hai phir? 
MAT.9.6	Ta te gianen că o Ciao le Manușăsco daștil so si pe phuî te iertil ăl bezeha, phendea le covlesche: Vazde‐tut, le chio pato hai gia tuche chere. 
MAT.9.7	Hai sar uștilo, ghelo că pio cher. 
MAT.9.8	Cana dichle ăl manuș cada‐l buchea, daraile hai lăudisarde le Devles, Cai dinea le manușăs cadea zuralimos. 
MAT.9.9	Cana o Iisus teleardea othar, dichlea ăc manușăs cai beșălas che vama, ou buciolas Matei, hai phendea‐lesche: Au pala Mande. Hai vazdindos‐pe, ghelo pala Leste. 
MAT.9.10	Hai sar beșălas Ou ch‐e sinia, and‐o cher, eta că but manuș vameș hai bezehale avile hai beșle ch‐e sinia le Iisusosa hai Lesche ucenicența. 
MAT.9.11	Ăl fariseia cana dichle, phende le ucenicenghe: Sostar hal tumaro Sicaitori le vameșența hai le bezehalența? 
MAT.9.12	Ta cana Ou așundea, phendea: Na le sastevesten trăbul‐le doctoro, hai le nasvalen. 
MAT.9.13	Gian hai sichion so hachiardiol‐pe cana phendilo: Mila camau, hai na jîrtfa; că ni avilem te dau mui ch‐e pocăința colen cai si orta ta colen cai si bezehale. 
MAT.9.14	Atuncea avile Leste ăl ucenicea le Ioanosche, phenindos: Sostar ame h‐ăl fariseia postis butivar, hai Che ucenicea ni postin? 
MAT.9.15	Hai o Iisus boldea‐lenghe: Roven‐pe cola cai si c‐o abiau, so si o jiamutro lența? Ta avena i codol ghesa cana o jiamutro avela lilo lendar, atuncea postina i on. 
MAT.9.16	Coniva ni ciol ăc pohtan neo c‐ăc zăbuno phurano, că o cinimos avelas mai baro. 
MAT.9.17	Hai ni ciol mol nevi andă niște braghia cherne; ăl braghia paron: e mol ciordol hai hasaol; hai e mol e nevi ciol‐pe and‐ăl braghia neve ta înghiardon e mol hai ăl braghia. 
MAT.9.18	Pala sar delas‐lenghe duma o Iisus, eta că avilo ăc mai baro manuș, hai dinea Lesche cocea hai phendea: Mîri racli ăc țîra mai anglal muli, dă au Tu ta ciu Che vast pă late, hai si te giuvindol‐pe. 
MAT.9.19	O Iisus uștilo hai teleardea pala Leste Pe ucenicența. 
MAT.9.20	Hai eta c‐ăc giuvli cai dă deșudui bărș tabdelas lache rat but, avili palal hai numa machlea pe pașal poghea Lesche. 
MAT.9.21	Oi phenelas andă peste: Numa te macha‐ma catar Lesche poghea hai si te sasteou; 
MAT.9.22	O Iisus boldinailo, hai dichlea‐lan, ta phendea‐lache: Na dara, ceione, pala sar pachian sastilean. Codoi giuvli gheli sastevesti and‐o codou ceaso. 
MAT.9.23	Cana areslo o Iisus and‐o cher colesco mai baro manuș, hai cana dichlea colen cai ghilabenas anda o flauto, hai mai but cai jălinas, phendea‐lenghe: 
MAT.9.24	Den‐tumen rigate, e racliori ni muli, hai sovel. On asanas Lestar. 
MAT.9.25	Ou incaldea sauărăn avri and‐o cher, întrisailo andră, lea le racliora vastestar hai uștili. 
MAT.9.26	Hai gheli e vestea cadai minuneachi anda sauără thana codola. 
MAT.9.27	Cana teleardea othar, lile‐pe p‐oa Iisus dui coră cai denas mui hai phenenas: Avel‐Tut mila amendar, Ciao le Davidosco. 
MAT.9.28	Pala so ghelo and‐o cher, ăl coră aviletar Leste hai o Iisus pușlea‐le: Pachian că daștiu te cherau so manghen? On phende Lesche: Pacheas, Devla! 
MAT.9.29	Atuncea Ou machlilo catar lenghe iacha hai phendea‐lenghe: Cherdol pe tumenghe pala sar pachiaen! 
MAT.9.30	Hai deschiaile lenghe iacha. Hai o Iisus phendea‐lenghe, poruncindos: Dichen te na gianen coniva. 
MAT.9.31	Ta on, sar incliste avri, phende sauărănghe anda Leste, andă sauără thana codola. 
MAT.9.32	Cana telearde on, eta că ande Lesche ăc cibalo hai bengailo. 
MAT.9.33	Pala so sas incalado o beng anda leste, o cibalo dinea i duma. But manuș mirinas‐pe hai phenenas: Dă cana siam ni dichinailo cadea daici and‐o Israelo. 
MAT.9.34	Ta ăl fariseia phenenas: O mai baro le benghesco dinea‐le te incalavel ăl beng. 
MAT.9.35	O Iisus marelas phirindos sauără forosa hai ăl gava, sicavelas le manușăn and‐ăl sinagogi dindos duma e Evanghelia le thagarimaschi, sastearindos orso nasvalimos cai sas and‐ăl manuș. 
MAT.9.36	Ou dichindos cadichi manuș, lea‐Les mila lendar, că sas năcăjime hai hasarde, sar ăl bacrea cai nai le pastori. 
MAT.9.37	Atuncea phendea Pe ucenicenghe: Bari si e buchi cai chidel‐pes o ghiu, hai si ame țîra manuș bucheache. 
MAT.9.38	Rughin le Raies le bucheaco, te încalel Ou manușen bucheache caște chiden o ghiu.
MAT.10.1	Dindos mui Pesche deșudui ucenicea, dinea‐le zuralimos pa orso duho benghesco cai nai ujo, caște încalaven‐le hai te sastearen orso nasvalimos hai covlimos. 
MAT.10.2	O anau le deșudonghe ucenicea si cala: Anglal o Simono, cai phendea‐lesche Petro, hai o Andrei, lesco phral; o Iacovo le Zevedeosco hai o Ioano, lesco phral; 
MAT.10.3	O Filipo hai o Vartolomeo, o Toma hai o Matei o vameșo, o Iacovo le Alfeosco hai o Levi cai phendol lesche i Tadeo; 
MAT.10.4	O Simono Canaanito hai o Iuda Iscarioteano, coua cai bichindea‐Les. 
MAT.10.5	Cadala deșudon dine‐le drom o Iisus, poruncisardea hai phendea‐lenghe: Te na gian and‐ăc than colența cai ni pachian and‐o Del, hai te na intrin and‐o foro c‐ăl Samariteaia; 
MAT.10.6	Ta mai sigo gian caring ăl bacrea ăl hasarde le Israelosche. 
MAT.10.7	Hai giandos te phenen: O thagarimos and‐o cero si pașă. 
MAT.10.8	Sastearen colen cai si covle, giuvinden colen cai si mule, na muchen lepra p‐ăl manuș, încalel le benghen anda lende; bi‐lovengo lilen, bi‐lovengo te den. 
MAT.10.9	Te na len tumende nici sumnacai, nici arginto, nici love andă tumare chisea; 
MAT.10.10	Nici gono, nici dui cavaghea, nici poghimos, nici rovli; că perel le manușăsche cai cherel buchi o hamos. 
MAT.10.11	Andă orso foro hai orso gau intrina, roden te dichen savo meritil, hai acion othe gi cana avela te telearen. 
MAT.10.12	Hai cana tume giana and‐o codoua cher, phenen‐lesche: «O acipen te avel tumare cheresche». 
MAT.10.13	Hai cana andă codou cher si manuș lace, tumaro acipen te muchen‐la pă lende. Hai cana ni avena manuș lace, tumaro acipen te boldel‐pe tumende. 
MAT.10.14	Cana ni dela tume mui dăconiva, hai nici ni camena te așunen tumende, te inclen avri and‐oa cher hai codou foro, hai te chinion o praho pa tumare pîrne. 
MAT.10.15	Ceaces phenau‐tumenghe, and‐o ghes le crisaco, e Sodoma hai Gomora nai te aven cadea doșale sar codo‐l forosche. 
MAT.10.16	Eta me dau‐tume drom sar le bacrean and‐o mașcar le ruvengo; aven goghiasa sar ăl sap hai bi‐doșaco sar ăl porumbeia. 
MAT.10.17	Garadion catar ăl manuș, că on dena‐tume and‐o vast le sinedriesco hai marena‐tume le biciosa andă lenghe sinagogea. 
MAT.10.18	Anda Mande avena înghiarde angla‐l barimata hai angla‐l thagara, te phenel o ceacimos lende hai and‐ăl păgînea. 
MAT.10.19	Hai cana dena tumen pă penghe vast, te nai îngrijorin‐tume so te den duma, că so trăbula te phenen avela tume dino andă codou ceaso; 
MAT.10.20	Că nai sen tume codoua cai den duma, hai o Duho tumaro Dadesco si te del duma tumende. 
MAT.10.21	Ăc phral dela te merel pe phrales, hai o dad pe ciaves hai ăl ciave vazdena‐pe contra pe deanghe hai pe dadenghe hai mundarena‐le. 
MAT.10.22	Avena urîme sauărăndar anda Muro anau; da con înghiarela gi c‐o șăro avela mîntuime. 
MAT.10.23	Cana nașavela tume and‐o codou foro, te nașăn and‐o col‐aver; ceaces phenau‐tumenghe: nai te ter‐menil‐pe ăl foruri le Israelosche, gi cana avela o Ciao le Manușăsco. 
MAT.10.24	O ucenico nai mai opre sar pio sicaitori, hai nici e sluga mai bari catar pio rast. 
MAT.10.25	Aresel o ucenico te avel sar sicaitori, hai e sluga sar o rast. Cana o rast le cheresco phendea‐lesche Beelzebul, cabor mai but cheren colen cai si and‐o cher. 
MAT.10.26	Te na daran lendar, că nai chanci garado te n‐avel sicado, hai chanci tăinuime caște n‐avel pringiando. 
MAT.10.27	So phenau‐tumenghe and‐o tunerico, phenen ch‐e momeli, hai so așunen phendo c‐ăl can, tume te predichin opral p‐ăl chera. 
MAT.10.28	Na daran colendar cai mundaren o corpo, da ni daștin te mundaren o duho; hai mai sigo te daran colestar cai daștil te hasarel i o duho hai o corpo and‐e gheena. 
MAT.10.29	Ni bichindon dui ciriclea c‐ăc parețo? Hai sa ni perel ch‐e phuî bi le gianimasco le Devleschi. 
MAT.10.30	Tumende i ăl bal le șăreschi sea si ghinde. 
MAT.10.31	Cadea că na daran; tume sen but mai scump dă sar but ciriclea. 
MAT.10.32	Orcon mărturisila anda Mande angla ăl manuș, mărturisiva‐les i Me anda lende angla Muro Dad, Cai si and‐o ceri. 
MAT.10.33	Hai orsao ciudela‐pe Mandar angl‐ăl manuș, ciudau‐Ma i Me lestar angla Muro Dad, Cai si and‐o cero. 
MAT.10.34	Te na pachian că avilem te anau o acipen pe phuî; ni avilem te anau o acipen, hai e sabia. 
MAT.10.35	Avilem te deschiarau le ciaves pe dadestar, le cea catar pi dei hai le borea catar pi soacra. 
MAT.10.36	Hai le manușăs avena‐les dușmaia colen cai si lesa and‐o cher. 
MAT.10.37	Coua cai iubil le dades hai le da mai but dă sar Mande, ni meritil Mandar; coua cai iubil le cea or le ciaves mai but dă sar Mande, ni arăsăl Mande. 
MAT.10.38	Hai coua cai ni lel pio trușul te avel pala Mande ni arăsăl Mande. 
MAT.10.39	Sao rodela te hastral pio ghi hasarela‐les, hai sao hasarela‐les anda Mande arachela‐les. 
MAT.10.40	Con primil‐tumen primil‐Man, hai con primil‐Man primil Coles cai dinea Man drom. 
MAT.10.41	Sao primil ăc prooroco and‐o anau avre prooroco primil pochin ăc proorocoschi, hai sao primil ăc manuș ujo and‐o anau avre manușăsco ujo lela pochin manușăsco ujo. 
MAT.10.42	Hai coua cai del pimos eches anda cadala țîcnore numa ăc paharo paiesa șudro, and‐o anau le ucenicosco, ceacimos phenau‐tumenghe: nai te hasarel pi pochin.
MAT.11.1	Pala so sicadia Pe dășudui ucenicen but sicaimata, o Iisus teleardea othar te sicavel le manușăn hai te predichil andă lenghe foruri. 
MAT.11.2	O Ioano așundea, and‐o phandaimos, anda‐l sicaimata le Hristososche, hai dinea drom dui anda‐l ucenice, te pucen‐Les: 
MAT.11.3	Tu san Coua cai trăbul te avel, or ajuchearas avres? 
MAT.11.4	Hai o Iisus phendea‐lenghe: Gian hai phenen le Ioanosche so așundinen hai so dichlen: 
MAT.11.5	Ăl coră dichen hai ăl banghe phiren, el leproșia curățil‐pe hai ăl cașuche așunen, ăl mule giuvindon hai ăl ciorănghe mișto phenen. 
MAT.11.6	Fericime si te avel coua cai Me nai te avau lesche poticnirea. 
MAT.11.7	Pala o telearimos codolengo, o Iisus astarde te del‐lenghe duma buten manușănghe and‐o Ioano: So inclen te dichen andă cadau than mulano? Ăc sulum banghiardi catar e barval? 
MAT.11.8	Dar soste inclisten? Te dichen ăc manușes hureado șucar? Eta, cola cai piraven gada șucar si and‐ăl chera le thagaresche. 
MAT.11.9	Atunci soste inclisten? Te dichen ăc prooroco? Da, phenau‐tumenghe, si mai but dă sar ăc prooroco. 
MAT.11.10	Că ou si coua anda caste si hramome: «Eta, Me dau‐tumenghe drom, angla Tute, Mîră îngeros, cai laciarela Tuche o drom, angla Tute». 
MAT.11.11	Ceacimos phenau‐tumenghe: Ni cherdilo anda‐i giuvli pe phuî te avel mai baro sar o Ioano o Bolitori; o mai țîcnoră and‐o thagarimos le ceresco si mai baro sar leste. 
MAT.11.12	Anda‐l ghesa le Ioanosche Bolitori gi acana o thagarimos le ceroso lel‐pes nașindos hai sao nașăl ciol o vast pă leste. 
MAT.11.13	Gi c‐o Ioano proorocisarde sauără proorocea hai e cris. 
MAT.11.14	Hai cana camen te hachiaren, ou si o Ilia, cai trăbulas te avel. 
MAT.11.15	Saves si can așunimasche, te așunel. 
MAT.11.16	Ta sosa ameana cadal manușăn? Si sar niște ciauără, cai beșăn and‐o marșevo hai den mui avrende, 
MAT.11.17	Phenindos: Ghilabadem tumenghe and‐o fluiero, ta ni chelden; ghilabadem roimasco, ta ni năcăjîsailen. 
MAT.11.18	Că avilo o Ioano, nici handos, nici pindos, hai phenen: Si‐les beng. 
MAT.11.19	Avilo o Ciao le Manușăsco, handos hai pindos, hai phenen: Eta ăc manuș hașbalo, hai cai pel mol, ăc amal le vameșăngo hai le bezehalengo. Ta e goghi sas cherdi ceaci and‐ăl buchea cai cherdea‐le. 
MAT.11.20	Atunci astardea o Iisus te mustrol ăl foruri cai cherdile ăl mai but minunea Lesche, sostar ni pocăisaile. 
MAT.11.21	Vai tuche, Horazine, vai tuche, Betsaido, că te cherdileas ăl minunea cai cherdile andă tumende and‐o Tiro hai and‐o Sidono, d‐anglal pocăisaileas and‐o praho hai and‐o gono. 
MAT.11.22	Ta phenau tumenghe: o Tiro hai o Sidono avela lenghe mai bidoș dă sar tumenghe and‐o ghes le crisaco. 
MAT.11.23	Hai tu, Capernaumona: Nai sanas vazdino gi opre c‐o cero? Ta si te gias tele gi and‐o iado. Că te cherdileas and‐e Sodoma ăl minunea cai cherdile andă tute, on acileas gi aghes. 
MAT.11.24	Ta tumenghe phenau, că e phuî le Sodomachi ni avela cadea doșali sar tumende. 
MAT.11.25	Andă codol ghesa, boldindos, o Iisus phendea: Slăvil‐Tu Tut, Dade, Del le ceresco hai le phuîaco, că Tu garadean cadal buchea colendar ăl goghiaver, hai sicadian‐le le ciaorănghe. 
MAT.11.26	Cadea si, Devla, că Tu camnean cadea. 
MAT.11.27	Sauără sas Ma dine catar Muro Dad hai coniva ni pringianel le Ciaves, aver anda o Dad, hai nici le Dades ni pringianel‐Les coniva aver anda o Ciao hai casche o Ciao te cherel te pringianel Lesche Dades. 
MAT.11.28	Aven Mande sea cai sen chine hai împovărime, hai Me dau‐tumen hodina. 
MAT.11.29	Len Muro jugo pă tumende, hai sichion Mandar, că Me sem lașio hai smerime le ilesa, hai arachena hodina anda tumaro ghi. 
MAT.11.30	Că Muro jugo si lacio, hai Muro pharimos nai pharo.
MAT.12.1	Andă codol ghesa, o Iisus gialas mașcar ăl ghiva, and‐ăc ghes le savatosco, hai Lesche ucenice bocaile hai astardile te moren ghiu and‐ăl vast hai te han. 
MAT.12.2	Cana dichle ăl fariseia cadea, phende‐Lesche: Eta, Che ucenice cheren so ni trăbul and‐o ghes le savatosco. 
MAT.12.3	Ta Ou phendea‐lenghe: Ni citisarden so cherdea o David cana bocailo, ou hai ăl manuș cai sas lesa? 
MAT.12.4	Sar ciutea‐pe and‐o cher le Devlesco hai halea ăl marne cai cionas‐pe anglal hai cai ni cherdolas‐pe lesche te hal codol marne hai nici colenghe cai sas lesa, hai numa le rașaienghe? 
MAT.12.5	Or ni citisarden că, and‐ăl ghesa le savatosche, le rașaia ușteaven p‐o savato and‐o templo, hai sa nai doșale? 
MAT.12.6	Ta Me phenau‐tumenghe că mai baro dă sar o templo si cathe. 
MAT.12.7	Cana gianen so hachiardol so phendol: Mila camau hai na jîrtfa, ni doșarenas colen cai nai‐le doș. 
MAT.12.8	Că o Ciao le Manușăsco si Rai Baro i p‐o ghes le savatosco. 
MAT.12.9	Hai nachindos othar, avilo andă lenghi sinagoga. 
MAT.12.10	Hai eta că othe sas‐Le ăc manuș le vastesa șuco. Hai astarde ta pușle‐Les: Perel‐pe te sasteares and‐o ghes le savatosco? Cadalasa rodenas te arachen‐Les doșalo. 
MAT.12.11	Ou phendea‐lenghe: Sao manuș anda tumende cai te avel‐les ăc bacri hai te perela and‐ăc hău and‐ăc ghes savatosco, ni astarela hai încalavela‐la avri? 
MAT.12.12	Cabor mai but si ăc manuș dă sar ăc bacri! Codolasche perel‐pe te cheres mișto and‐o ghes savatosco. 
MAT.12.13	Atunci phendea codol manușăsche: Lungivar chio vast. Ou lungiosardea o vast hai cherdilo sastevesto sar col‐aver vast. 
MAT.12.14	Pala so înclisto, ăl fariseia dine‐pe duma te hasaren‐Les. 
MAT.12.15	Ta o Iisus, pringiandea‐le, teleardea othar. Hai but avile pala Leste hai Ou sasteardea sauărăn. 
MAT.12.16	Ta Ou poruncisardea te na mai phenen avrenghe, te cheren‐Les pringiando. 
MAT.12.17	Caște maladiol so sas phendo catar o prooroco Isaia, cai phendea: 
MAT.12.18	«Eta Muro Ciao Cai alosardem‐Les, Muro camno Cai Muro ghi camlea‐Les; Ciaua Muro Duho pă Leste, hai anela le neamuren ch‐e cris. 
MAT.12.19	Ni hala‐pe, nici ni dela mui coniva, ni așunela Lesco mui p‐o drom. 
MAT.12.20	Ni phaghela ăc sulum andini, hai ni mundarela ăc feștila cai mai cherel tuî, gi cana cherela te biruil e cris. 
MAT.12.21	Hai andă Lesco anau ăl neamuri ajuchearena o miștimos». 
MAT.12.22	Atunci ande Leste ăc bengailo, coro hai cibalo, ta Ou sasteardea‐les, cadea că o coro hai cibalo delas duma hai dichelas. 
MAT.12.23	But manușă mirinas‐pe, hai phenenas: Ni avela Cadaua o Ciao le Davidosco? 
MAT.12.24	Ta ăl fariseia așunde hai phende: Cadaua ni încalavel le benghen numa le Beelzebulosa, o mai baro le benghengo. 
MAT.12.25	Pringianindos lengo ilo, o Iisus phendea‐lenghe: Orsao thagarimos cai han‐pe mașcar peste aresel mulano, hai orsao foro or cher cai hal‐pe mașcar peste ni închiardol. 
MAT.12.26	Cana o beng încalavel le benghes han‐pe mașcar peste hai aresen deschiarde; atunci sar daștil nghiardol lesco thagarimos? 
MAT.12.27	Hai cana Me incalavau le benghen le Beelzebulosa, tumare ciave sosa încalaven‐le? Codolasche on si te aven tumare crisome. 
MAT.12.28	Ta cana Me le Duhosa le Devlesco încalavau le benghen, eta că areslo tumende o thagarimos le Devlesco. 
MAT.12.29	Sar daștil daconiva te ciol‐pe and‐ăc cher echesco mai zuralo dă sar leste hai te lel lesche sauără buchea, cana ni mai anglal phangleas‐le zurales, hai pala codoia te nanghiarel lesco cher? 
MAT.12.30	Sao nai Manța si Mîrî contra, hai sao ni chidel Manța, risipil. 
MAT.12.31	Codolasche phenau‐tumenghe: Orsao bezeh, hai orsavi hula avela iertime le manușănghe, ta e hula caring o Duho Ujo nai te avel lenghe iertime. 
MAT.12.32	Sao dela duma nasul anda o Ciao le Manușăsco, avela iertime; ta sao dela duma nasul anda o Duho Ujo nai te avel iertime nici acana, nici gi cana na terminila‐pe. 
MAT.12.33	Or phenen că i phabalin si laci hai lesche phabaia si lace, or phenen că i phabalin si nasul hai lesche phabaia nai lace, că pala ăl phabaia pringiandol ăc phabalin. 
MAT.12.34	Sapora samneache, sar daștil te den duma mișto, ăc data cana sen nasul? Că so si tume and‐o ilo del duma tumaro mui. 
MAT.12.35	O manuș o lacio anda pi chisi e laci încalavel so si lacio, ta o manuș o nasul anda pi chisi e nasul încalavel so si nasul. 
MAT.12.36	Phenau tumenghe că anda orsavi duma nasul cai phendola‐pe, o manuș si te avel țîrdino and‐o ghes le crisaco. 
MAT.12.37	Că anda tumare dimata duma avena arachade orta, hai anda tumare dimata duma avena doșale. 
MAT.12.38	Atunci bolde Lesche manuș anda‐l sicade ha‐l fariseia, phenindos: Sicaitorina, camas te dichas Tutar ăc nișan. 
MAT.12.39	Hai Ou boldea hai phendea‐lenghe: Ăc neamo cior hai lagiavesco manghel ăc nișan, ta aver nișan ni dela‐pe lesche, numa o nișan le proorocosco o Iona. 
MAT.12.40	Sar sas o Iona and‐o păr ăc macesco baro trin ghesa hai trin rachea, cadea avela i o Ciao le Manușăsco and‐o ilo le phuîaco trin ghesa hai trin rachea. 
MAT.12.41	Ăl murș anda‐i Ninive uștena ch‐e cris cadal neamosa hai osîndila‐les, că on pocăisaile cana o Iona predichisardea lenghe; eta cathe si mai but dă sar o Iona. 
MAT.12.42	E thagarni cathar perel o cham uștela ch‐e cris cadal neamosa hai osîndila‐les, că avili catar o șăro le phuîaco caște așunel so goghi sas le Solomonos, hai eta cathe si mai but dă sar o Solomon. 
MAT.12.43	Hai cana o duho o nasul înclisto anda o manuș, phirel andă‐l thana bipaiesche, rodindos than te hodinil‐pe ta ni arachel‐les. 
MAT.12.44	Atunci phenel: Si te bolda‐ma andă muro cher cathar înclistem; hai avindos, arachel‐les nangho, șîlado hai laciardo. 
MAT.12.45	Atunci gial hai lel pesa aver efta duhuri mai nasul dă sar peste, hai citindos‐pe andră, beșăn and‐ăc than hai ăl buchea cai cheren‐le acana si cherde mai nasul dă sar anglal. Cadea si te avel i cadal neamosa cior. 
MAT.12.46	Ta sar delas Ou duma le bute manușănghe, eta că Leschi dei hai Lesche phral beșănas avri, hai rodenas te den duma Lesa. 
MAT.12.47	Coniva phendea‐Lesche: Eta Chi dei hai Che phral beșăn avri, hai roden te den duma Tusa. 
MAT.12.48	Hai Ou phendea‐lesche: Con si Mîrî dei hai con si Mîră phral? 
MAT.12.49	Hai, lungiondos o vast caring Pe ucenicea, phendea: Eta Mîrî dei hai Mîră phral. 
MAT.12.50	Că orsao cherel so camel Muro Dad cai si and‐o cero, codoua si Manghe phral hai phei hai dei.
MAT.13.1	Andă codou ghes, o Iisus înclisto and‐o cher hai ghelo pașa‐c pai baro. 
MAT.13.2	Hai chidinea‐pe Leste but manușa, cadichi că Ou beșălas and‐e corabia ha‐l manuș beșănas pe phuî. 
MAT.13.3	Hai dinea lenghe duma but, and‐ăl pildea, hai phendea: Eta o semănători înclisto te semănil. 
