MAT.1.1	Abraham po aso, Dabhit po agijing, anang so Jisu Khristo asar-lar alekha alo bangpo lo.
MRK.2.26	Konam Abiyathor po bor-bangthe kido amun, aro anang Arnam ahem lut damsi, bangthe hel apar ke, kaita kicho-hopot Arnam yok kangton ahimpo cholo, aro alokjor helyok ta pilo.” 
MRK.2.27	Laparake Jisu analiyok pulo, “Kisang-arni munusi aphansi ingholo, munusi ke kisang arnipe aphanke kalek; 
MRK.2.28	la-apotsi Arleng Aso si kisang-arni aphanta ahemphu lo.”
MRK.3.1	Jisu Arnam kachirdom ahem long lutdam phakngo, aro lalong ari atot kangwe arleng ihut kido. 
MRK.3.2	Anali Jisu yok kisang-arni pame unma un-eh ma pusi anangyok ado kipiyok, anang yok lang dun phrong ngo. 
MRK.3.3	Aro anang la ari atot kangwe arlengpo yok pulo, “Amahang wang arjap mot.” 
MRK.3.4	Laparake anang analiyok pulo, “Kisang-arni ke kime asal katiki yok, ma kangho asal katiki yok, arleng pahreng aphan ma, ma kamari aphan?” Manta anali doklipsi dolo. 
MRK.3.5	Jisu anali angthin kangtang hel anat neng dohosi; aneng thisi chikomwelsi analiyok lang si, labang arleng poyok pulo, “Nang aripo pakengot.” Anang ari pakengo, aro labang aripo medetno. 
MRK.3.6	Pharisi hel olesi damo, aro Herodiya pe arleng pen la-amunsi chingrum penpansi pot badi Jisu yok adopisi mari une labang alamthe chipangchimo.
MRK.3.7	Jisu abithang adun hel pen langpepe akungyok damo; aro Galili para, aro Judiya parata rat ako-ong anang phel-phel duno; 
MRK.3.8	Jerusalem, Idumiya, Jordan langjon apar aga parata, Tayar pen Sidon rongpe adung arleng ako-ong anang katiki ahuwit alam arjusi, anang dungyok wango. 
MRK.3.9	Rat hel chidol hur-har hlonghle yok, tilong isi anang dung kahonjok yok, anang adun helyok thano; 
MRK.3.10	piyok pu tene anang ako-ong arleng yok kapame apot, bet ki-un ahuwit arleng anangyok ki-ot ayok chidol rul-ralsi kido. 
MRK.3.11	Konamsi si-ik hel anangyok kithek, mehel anang ngo krep-phrilsi hangsolsi pulo, “Nang ke Arnam Aso!” 
MRK.3.12	Manta Jisu si-ik helyok anang ingho, labang pachitha-ang hlonghle yok than klakngo.
MRK.3.13	Jisu inglong kartulpe long damo, aro inghoyok anang anengo analiyok taramo, aro anali anang dungyok wango. 
MRK.3.14	Aro anang pen anali kidoyok, ingho yok kangthir adun amen bilo, aro kime-alamthe kapahar aphan kitol ayok anang bang kere-hini ayok arwalo, 
MRK.3.15	aro anali si-ik hel ka-ujhar apharan kipi ayok arwalo. 
MRK.3.16	Lasi anang bang kere-hini pachakngo: Pitor (ladi kataram amen, Simon kibi); 
MRK.3.17	Jebidi po aso Jems po, Jems po amuso Johon po (la bang-hiniyok Bonargos, lake suneng-kangder asopo pusi kataram amen bilo); 
MRK.3.18	aro Andriupo, aro Philip po, aro Bartholomiu po, aro Mothi po, aro Thomas po, Alphayus po aso Jems po, aro Thadeyus po, aro Simon Kananiya po, 
MRK.3.19	aro Jisu yok hutur arideng kichampi Judas Iskariyot po, labang bang kere-hini yok anang pachakngo.
MRK.3.19	Laparake anang idon ahem ayok lut damo; 
MRK.3.20	aro labadi rat akithe chingrum phakngo, lasi anali kicho yok apor pahlonghle yongot. 
MRK.3.21	Konam anang hem abang labang arju hlongsi, “Anangke ingcham chipharlo do” pusi kinep ponyok damo. 
MRK.3.22	Aro Jerusalem para kiwang adhok kanong paklang hel pulo, “Anang longke si-ik arecho Belsabul po do, aro la si-ik arecho parasi anang si-ikyok ujharman. 
MRK.3.23	Aro la-amun Jisu analiyok anang dung taramsi athenghlan pensi lam thano, “Si-ik ajiu ke si-ikyok pot badi ujhar un?” 
MRK.3.24	Dakne bak alongri isi abithang adak chilang set-set tene labang alongri chirjap un-eh. 
MRK.3.25	Aro dakne bak ahem bang chilang set-set, tene labang ahem chirjap un-eh ye. 
MRK.3.26	Aro si-ik hel abithang adak chingthursi chilang set-set, labang ta aro chirjap un-eh, manta lahel orsi wangman. 
MRK.3.27	Manta ajakong kido poyok ango bambe tene, kaita anang hem lut dam ke anang bihini chunghupon un-eh; kangnak aphelsi anang hem abihini hel chunghupon det une. 
MRK.3.28	“Khanangsi ne nali thando, munusi asohel apap aro Arnam yok kapatharak alam kangje ahuwit apap ron une; 
MRK.3.29	manta inghosi Jiuli-Kangthir yok patharaknge, anangyok ke jatsi ronpi un-eh ye, manta anangke or-eh len apap ado doman”— 
MRK.3.30	piyok pu tene anali kipu, “Anang long si-ik akangho do.”
MRK.3.31	Laparake Jisu anang ai pen amusohel wango; aro mokol arjap phrongsi, anang dung tolo aro pataram damo. 
MRK.3.32	Isi rat anang dung komwolsi iningsi kido; aro anali anangyok pulo, “Nang aipe, nang muso aro nangjir hel mokol along do, nangyok nangtaram do.” 
MRK.3.33	Aro Jisu pu phakngo, “Ne aipe aro ne-korte hel ke ingho te?” 
MRK.3.34	Aro anang dung chikomwol si kangning abangyok langsi, anang pulo, “Holek si ne aipe aro nemuso hel do! 
MRK.3.35	Piyok pu tene inghosi Arnam kar-ih alam mainot pone, nemuso, aro ingjirpe, aro ne aipe ta anali lo.”
MRK.4.1	Anang langpe akung damsi paklangpon phakngo. Lalong la-an ako-ong arleng anangdung long wang chingrumo, anang langpe long isi tilong along arlusi iningo; aro la ahuwit arleng langpe adung bam alongsi dolo. 
MRK.4.2	Anang pathenghlan si analiyok ako-ong alamthe paklang ponhilo, aro anang kapaklang amun analiyok pulo: 
MRK.4.3	“Onenot! ihut amu kirippo chili amu kiripyok olesi damo. 
MRK.4.4	Aro anang kiripjong akosi, adhok achili amu ke duwar akung jang damo; aro wohel wango aro chongthok det no. 
MRK.4.5	Kamprek chili amu ke lungle kang-ar kido longsek athak jango aro lunglepo karthakthe apotsi, arong wangdapmo. 
MRK.4.6	Aro konam arnipe wango, la-amun phang-oh ongsi, angkur kidam un-eh apot si, kreng hapmo. 
MRK.4.7	Kamprek chili amu ke ingsu aju jangdamo, lalong ingsu arong hel thesi anangyok sok arong hel jol detno, aro athe wang un-eh yongot. 
MRK.4.8	Kamprek chili amu ke akor kido lungle athak jangdamo, aro arong wango, aro arongpe thelo, aro ahrong dingo, aro sok akok polong athe wango, aro thom-kep, aro kep thorok, aro phoro isi athe wango.” 
MRK.4.9	Aro anang pulo, “Nali ano do tene one-not!”
MRK.4.10	Konam Jisu ahudet kido, anang alokjor helpen bang kere-hini adun abang anangyok chikomwol si athenghlan hel aron meso arjulo. 
MRK.4.11	Aro anang analiyok pulo, “Naliyok Arnam-alongri kabutisit acho alamthe nali pido, manta ingho mokol along do, ahuwit abihini athenghlan along wang phrotman: 
MRK.4.12	Labang hel aphan, “anali thek ke theknge, manta chiron un-eh ye, aro karju ke arjuye, manta abhu hlonghle ye, aro pene bak ke nali chirul phaksi wang, aro anali pap ronpi ye, la-anat anali ngot ahuwit alam athenghlan pensi analiyok thando.” 
MRK.4.13	Aro anang analiyok pulo, “Nali labang athenghlan abhu hlonghle yong ma? Laparake ahuwit athenghlan pot badi abhu hlonge? 
MRK.4.14	Labang amu kirip arleng po lamthe ripman. 
MRK.4.15	La mehel ke duwar akung kirip chili amu helo, ingho yok lamthe ripman, konam anali oneman, si-ik jongsi wangman aro anali long kirip alamthe kharpon detman. 
MRK.4.16	Aro ladisi arlong athak kirip chili amupo: konam arleng hel lamthe oneman, anali jongke aneng arongsi chidengman. 
MRK.4.17	Manta anali bithang angkur kangwe anat, aro anang bekso arni yoksi chihiman; laparake, konam lamthe anat aduk-tap, lale honjat wang, jongsi anali lamthe tikang det man. 
MRK.4.18	Aro kamprek amupo mar ke ingsu ajulong ripmo: anali ke, ingho lamthe oneman, 
MRK.4.19	manta pirthepe yok nengpi-ongsi, aro lungle-phalang palorsi, aro boi-bihini alop wango, aro lamthe jol detman, aro athe paklang un-eh yongot. 
MRK.4.20	Aro akime alungle long kirip chili amupo anali ke: anali lamthe arjuman aro mehel chideng man, aro thom-kep, aro kep-thorok aro phoro-isi athe wangman.”
MRK.4.21	Anang analiyok aro pulo, “Me-lur isi gosa athak bibesi, ho arlo lale ki-ih ahong arlo biman ma? 
MRK.4.22	Piyok pu tene paklang si kibi aparke, isi abihini bisitse yong; lale patha-ang si kibi aparke, isi abihini butisit ke bibeyong. 
MRK.4.23	Inghone bak karju ano do pu tene onenot.” 
MRK.4.24	Aro anang anali yokta pulo, “Nali potsi arju man bangpo nengpine one-not; nang kipi alin atengsi nangyok ta alin pachirline, aro layongta ongchot nangpiye. 
MRK.4.25	Piyok pu tene ingho long do, anangyok ongchot pibo; aro ingho beksota wedung, anali pot dochokdo, anang rideng para ponpi detne.
MRK.4.26	Anang aro pulo, “Arnam-alongri poke ihut arlengpo lungle athak chili amu kiripsal badi, 
MRK.4.27	aro amek jange aro thure, anuwe aro anelo, aro chili arong ingbobme aro the-dinge, bang po pot badi chiplang anang chithan un-eh. 
MRK.4.28	Pirthimipe abithangsi, ango ke arwo-pawang man, laparake arong ahrong pawang man, bangpo aphel ke apum, la aphel sok athe-amu pawang man. 
MRK.4.29	Manta sok konam athe mene, jongsi nok-ke ensi dame, piyok pu tene sok kirot apor wang hlengo.”
MRK.4.30	Anang pu pono, “Pot pen te ili Arnam-alongri pangbar une, lale pot athenghlan pen ili pachiklan pon une? 
MRK.4.31	Bangpo ke isi jamu amu badi, bangso, konam lungle long ripme, pirthimipe athak ahuwit amu yok akibek chot; 
MRK.4.32	yongta konam labangso ripme, aro ahuwit bap arongyok thechotman, aro arorem wangman, lasi suneng kangjar awohel labang aben long atar chihorman.”
MRK.4.33	Labadisi ako-ong athenghlan pensi, Jisu anali ka-one un aleng analiyok bangpo alamthe thano; 
MRK.4.34	anang athenghlan kithan aparke ke, anali yok isita thanthe yongot, manta anang abithang adun hel yok ahudetsi ahuwit alamthe mesosi than dakngo.
MRK.4.35	Labang arni, konam anithu apor wang hlengo, anang analiyok pulo, “Ili langpe ha aga apar damsonang doh.” 
MRK.4.36	Aro rat ayok tikang detsi, anali Jisu yok tilong athak anang kidomat matsi pono. Aro kamprek tilong helta anali pen kido. 
MRK.4.37	Isi tomon akithe wangjap mo, aro lang adul tilongyok wang tongo, lasi tilong along lang pleng rang rango. 
MRK.4.38	Manta Jisu tilong angkon long punghul athak aphu bisi, amek jangsi kido; aro la-amun adun hel anangyok pangthuro aro pulo, “O Paklang po hali ke thibo, bangpo nang hali chiron dunde yong ma?” 
MRK.4.39	Anang thuro, aro tomon yok tamo, aro langpe yok pulo, “Ingsam mot, ham mot.” Laparake tomon ingsamo, aro ham detno. 
MRK.4.40	Anang analiyok pulo, “Nali piyok phere do? Minon hok ta krolkre ma?” 
MRK.4.41	Aro anali chiphere ongsi, ihut para ihutyok chipujolo, “Anang ke inghote, tomon pen langpe ta anang yok mengman?”
MRK.5.1	Anali langpe haga apar damsi, Geresani alongri yok wango. 
MRK.5.2	Aro anang tilong para wang kisun amun, jongsi si-ik ajiu kihap ihut arleng ahilik para kiwang anangyok pochakngo. 
MRK.5.3	Anang anang thirihel alongsi kido; aro anangyok kaita anangyok bamthip si, layok ke hirkuli penta bamsi bi un-eh yongo; 
MRK.5.4	piyok pu tene anang aphongten akeng ari hirkuli pen ingnak ngo, manta anang hirkuli kapamet, aro akeng kangnak hirkuli helta kibeng prop; aro ihut ta anangyok pangdom ke bi un-eh si kido. 
MRK.5.5	Anuwe aro anelo anang thiri ahilik hel along kido aro inglong-kartul along dosi arnita hangchersi kido aro abithang yok arlong pen chipachang man. 
MRK.5.6	Konam akaholo para anang Jisu yok thekngo, anang wang katno aro anang yok chirdom hupmo; 
MRK.5.7	aro hang chersi pulo, “O Kithechot Arnam Aso Jisu, nang nepen pot katiki yok do? Ne nangyok Arnam amen pen nang chingduk do, aduk nepiyek.” 
MRK.5.8	Piyok pu tene anang bangpo yok kipu, “O nang si-ik ajiu, labang arlengpo para wang olenot!” 
MRK.5.9	Laparake Jisu ke anangyok arjulo, “Nang men pot te?” Anang angpudun phakngo, “Ne menke amokha, piyok pu tene hali ako-ong do.” 
MRK.5.10	Anang Jisu yok chingduk chohangsi longri para lahel yok padam tolte yok chipabek ngo. 
MRK.5.11	Minonke inglong akung amokha phak pachopansi kido; 
MRK.5.12	aro si-ik ajiuhel Jisu yok chingdukngo, “Haliyok phak hel along hali tolnot; hali lalong lutdam detne.” 
MRK.5.13	Lasi Jisu analiyok hawang pilo. Aro si-ik ajiuhel arlengpo parake olesi damo aro phak helyok hap damo; aro hajar-hini phak apal dam kul-kulsi, langpe long jangdam plupsi thidetno. 
MRK.5.14	Phak kihon abang akeng chiparjangsi rongpe aro longri dungsi lampo pachitha-ang detno. Laparake potsi chiplango arleng hel kilangyok olesi wango. 
MRK.5.15	Anali Jisu adung wango aro si-ik ajiu kihap poyok, lake amokha kihap poyok, pe-rik chi-ik wetsi, aro agiyan hlongsi, arlengpo iningsi kido thekngo aro anali chiphere detno. 
MRK.5.16	Ingho kithek abangke, labang si-ik ajiu kihappo pot badi chiplango, anang aro phak hel alam panirsi analiyok thandetno. 
MRK.5.17	Laparake anali Jisu yok abithang ahol para anang yok chitereksi kidamyok chingdukngo. 
MRK.5.18	La-aphel Jisu tilong athak karlujong akosi, labang si-ik ajiu kihap arlengpo anangpen kidun aphan anangyok chingdukngo. 
MRK.5.19	Manta Jisu anangyok padam hlonghle si pulo, “Nang bithang hem hembang adungyok dam phakngot, aro Hemphu nangyok kajinso si, nali phan konbak akithe asal tikilo, bangpo a-odi analiyok pidamot.” 
MRK.5.20	Aro anang lalong para damsi, Jisu anangyok potsi akithe asal tikilo, bangpo Dekapolis alongri jon-jan than-woro; la-amun ahuwit ta asombhik pahlongo.
MRK.5.21	Konam Jisu tilong pen langpepe haga aparyok dam phakngo, lalong rat ako-ong anang dung wang chingrumo; la-amun anang langpepe akungsi kido. 
MRK.5.22	Laparake Jairas amen kachirdom ahem ahemphu thawang ihut wangsi, anangyok theksi, anang keng-ari otsi, 
MRK.5.23	aro anangyok chinduk jongsi pulo, “Neso peso kithibo detno. Wangot aro anang thak ari bat pinot, lasi anang medet bo aro hrenge.” 
MRK.5.24	La-amun Jisu anang pen duno. Aro Jisu anang pen rat akithe duno, aro anangyok komthip mo. 
MRK.5.25	Minon ke lalongsi nengkan kere-hini para awi kiboi jong kiso, arloso ihut kido. 
MRK.5.26	Anang ajat-jat ojha adung otdamsi jokha kiso chilango, aro jokha nohok panghono, manta kimeye bak ke ingho pon chot-chotno. 
MRK.5.27	Arlosope Jisu alam arjulo, aro rat asitem lutdunsi Jisu aphel aga para wangsi, anangpe long otno, 
MRK.5.28	piyok pu tene anang bithangsi kachipu, “Ne anang ape otdunchet hlongta, ne medetne.” 
MRK.5.29	Jong-jongsi anang awi kiboi jut-hletno; aro anang abang long kido behali hel kimedet ahari hlongo. 
MRK.5.30	Lajongsi Jisu anang para ajakong kidam than unsi, anang rat asitem amahang chirting si arjulo, “Ne pe long ingho te otno?” 
MRK.5.31	Aro anang adun hel anangyok pulo, “Ratmar nangyok konbak pimpro-sorodo nang thek yongta, ingho neyok otno pusi arjudo ma?” 
MRK.5.32	Jisu chighuren-wolsi ingho labang asal tikilo kithekpen ayok lango. 
MRK.5.33	Arlosope anang bithangyok potsi chiplango, chithan unsi, anang chiphere dersi klem klemsi Jisu akeng long chirdomsi asereng alampo anangyok than detno. 
MRK.5.34	Lalong Jisu anangyok pulo, “Ei nesope, nang kikrol si nang pamelo; nengsam damot, aro nang behali kiso medetnot.” 
MRK.5.35	Konam Jisu labang alam kithan amunsi, Arnam ahem thawang Jairas po ahem para wangsi anangyok pulo, “Nang sope thilo. Piyok paklang po yok la-an aduk pido?” 
MRK.5.36	Manta anali potsi kithan Jisu aneng pipesi, anangyok pulo, “Phereyek, krolne do.” 
MRK.5.37	Anang Pitor po pen Jems po aparke kaiyok ta padam tolte yongo aro anang muso Johon po yokdet chi-en chomsi damo. 
MRK.5.38	Konam anang kachirdom ahem thawangpo ahemyok wango, anali hang-taramsi aro surujosi kido wang thekngo. 
MRK.5.39	Konam anang hem arloyok lutdamo, anang analiyok pulo, “Nali piyok te la-an hang-taramsi aro surujo do? Asope thithe lang, ameksi jangdo!” 
MRK.5.40	Aro anali ingnek hulo. Laparake anang lahelyok mokol pa-ole phrotno, aro osope ape aro apo aro anang alok helyok ensi, osope kidoyok lut damo. 
MRK.5.41	Anang osope ayok ari otsi anang yok pulo, “Talitha kum,” la acho alamke, “Oso pe, ne nang thando thurnot!” 
MRK.5.42	Aro jongsi oso pe thuro, aro keng-kam damo; piyok pu tene ospe abo nengkan kere-hini kichok. Labadi si anali asombhik si hlong detno. 
MRK.5.43	Labang alam kaiyok ta pathanthe yok, Jisu analiyok thano; aro osope yok kicho abihini kipiyok pulo.
MRK.6.1	Jisu lalong para olesi, abithang arong ayok wango; aro anang adun helta anang aphel aphel wang duno. 
MRK.6.2	Kisang-arni apot, anang kachirdom ahem along kapaklang yok cheng pono, aro ako-ong karju arleng hel asombhik pahlongo. Anali pulo, “Labang arlengpo lamehel daklong para hlongo? Anang kipi agiyan pot badi? Aro labang arideng parasi la-an ajakong asal tikido, anang ke inghote? 
MRK.6.3	Lake hem kakundar po kalek ma? Mary pe asopo, aro Jems po, Josep po, Judas po aro Simon po anangka kalek ma? Anang angjirpe hel ta ili pen kidohel kalek ma?” Ladisi anang anali pen ado pangthek ngo! 
MRK.6.4	La-amun Jisu analiyok pulo, “Abithang alongri, abithang adon-arat, abithang ajat, abithang ahem aparke, prek along turki ihut jotmahal aman wephoke chiplangple.” 
MRK.6.5	Aro lalong Jisu asombhik asal tiki un-eh yongot, angkhan kiso arleng ayok ari kibat detsi kiso pame uno. 
MRK.6.6	Aro anali kikrol mo anat Jisu asombhik hlongo.
MRK.6.6	La-aphel ke anang kamprek arong-arong arting-worsi paklang pono. 
MRK.6.7	Laparake anang la bang kere-hini adunyok adung taramsi, bang-hini bang-hini pachiloksi analiyok kitol cheng pono, aro analiyok si-ik hel aphuthak apharan si, labang alam thano, 
MRK.6.8	“Nali kidam kiwang aphan tokok detsi enot, chul, him lale, nohok, lamehel isita enponek; 
MRK.6.9	manta keng-op chi-ikngot, aro chol pak-ni chingcholek.” 
MRK.6.10	Anang analiyok aro pulo, “Nali daklong potsi idon ahem lutdam, lalong para olesi damde lengke, lalongne do. 
MRK.6.11	Daknebak athem long nali chidengde tene, aro arleng hel nali lamthe onene pu tene, lalong para olesi kidam amun, analiyok hakhi kichok aphan, nali kengtak chihijir detnot.” 
MRK.6.12	Lasi anali olesi damo aro arlenghel neng chipharlep nange pusi paharpono. 
MRK.6.13	Anali ako-ong si-ik ujharo, aro ako-ong kiso-kilak abangyok jangthu helsi, aro anali kiso pamelo.
MRK.6.14	La-amun Jisu amen chitha-ang detno apot, Herod recho po arjusi pulo, “Johon Baptist po kithi asitem para ingthur phakngo; la-anatsi labang ahuwit jakong kithe anali long tikisi pachok undo.” 
MRK.6.15	Manta kamprek helke pulo, “Anang ke Elija po.” Aro kamprek helke pulo, “Anang atono badi ihut turki po.” 
MRK.6.16	Manta konam Herod po arjulo, anang pulo, “Ne angphun kithuhlet, Johon po burphak ngo.” 
MRK.6.17	Piyok pu tene Herod po abithang amuso Philip po apiso Herodiyas pe yok chi-eno, anang phan ango abithang arleng tolsi, Johon po yok nepsi, akrol along kithal. 
MRK.6.18	Piyok pu tene Johon po Herod po yok kipu, “Nang muso apisope yok ki-enpo, nang phan labangpo kanong longke ingjong.” 
MRK.6.19	Aro La-amun Herodiyas pe anangyok lang un-ehsi, aro anangyok kamariyok rono. Manta anang un-eh yongo, 
MRK.6.20	piyok pu tene Herod po Johon po yok ihut dhorom aro kangthir arleng pusi kithan un, aro Herod po anangyok kiral dun. Konam anang lam arjulo, chiron un-eh phosi dolo; aro anang lam karjuyok akime kihlong. 
MRK.6.21	Manta akime adin wangchok ngo, konam Herod po kiplang adin kamainot asel arni, anang kithe-kiding, thawang helyok aro Galili kido kithe-kiding helyok taramsi anuwe an kapacho ayok honjok ngo. 
MRK.6.22	La-aphel Herodias pe abithang asope hem arloyok wango, aro kano, anang Herod poyok aro anang pen kicho don-ratyok aneng pangsamo; aro recho po asope yok pulo, “Nang pot si anengdo ma nehangot, aro ne nangpiye.” 
MRK.6.23	Aro anang hopot ta chosi anang yok thano, “Nang neyok chihange pu tene, longripo adha yokta, nangyok nang piye.” 
MRK.6.24	So-arloso pe mokol ayok damo, aro anang aipe yok arju damo, “Ne pot abihini chohang nang?” Anang aipe thano, “Johon Baptist po aphu.” 
MRK.6.25	La-jongsi anang parjangsi hem arloyok rechopo adung ayok wang si hango, Johon Baptist po aphu po ipak sengelong minon jong-jong neyok nepinot, ne labang nangchihang do.” 
MRK.6.26	Recho po aneng aduk do ong-ngo; yongta abithang hopot kicho apot, aro kicho adonhel ango apotsi, anangyok mo ke pu-un-eh yongo. 
MRK.6.27	Lajongsi rechopo atoruhel ayok Johon po aphu kapawan yok sonturi ihutyok thansi tolo. La-amun sunturipo damo aro akrol along Johon po aphu po thatsi, 
MRK.6.28	ipak senge along wano, aro so-arlope yok pilo. aro so-arlope ke anang aipe yok pilo. 
MRK.6.29	Konam anang adun hel arjulo, anali wango, aro anang abang abeng po pono aro thiri long bidamo.
MRK.6.30	La-aphel kangthir adun hel Jisu adung ayok wang chingrumsi, anali potsi tikilo, aro potsi paklango, lamehel anang ango panirsi thano. 
MRK.6.31	La-amun anang analiyok pulo, “Nali ahudet nisotjot athem yok wangne, bekso apor sang dammot; piyok pu tene ako-ong arleng hel dam-wangsi kido anat; anali kichoyok aporso ta hlonghle yongo.” 
MRK.6.32	La-amun anali bithang tilong long arlusi ahudet isi nisotjot athem long damo. 
MRK.6.33	Lalong ako-ong arleng analiyok kidam thekngo aro chinisi, anali lalong kihlenghle ango si ahuwit rongso hel para katsi, analiyok ta parjangsi lalong yok hlengo. 
MRK.6.34	La-amun anang olesi, konam suno isi ako-ong arat thekngo aro anang anali phuthak kachineng-ot wang detno; piyok pu tene anali ihut khokhre kangwepho bherabik bik hel badi kido; aro anang analiyok ako-ong alamthe paklang cheng pono. 
MRK.6.35	La-aphel konam apor damo, anang adun hel Jisu adungyok wangsi pulo, “Labang athem nisotjot, aporta aporjoro; 
MRK.6.36	arleng hel kichoyok ahuwit rong hel long damne penebak kicho aphan pachinam nang, analiyok tolnot.” 
MRK.6.37	Manta Jisu anali yok pulo, “Nali anali phan penebak kichoyok pinot.” Anali anang yok pulo, “Hali damsi phoro hini rupa atheng pen him namsi analiyok labang po pacho nang ma?” 
MRK.6.38	Manta anang analiyok pulo, “Konbak ako-ong ahim nali long do? Damne langdamot.” La-aphel konam anali langsi hlongo, anali pulo, “Him plang phongo aro ok jon-ni.” 
MRK.6.39	Laparake anang analiyok thano, “Ahuwit yok pachingrum chom-chomsi bap-aju along pangning yok thano. 
MRK.6.40	Lasi anali asem asemsi angkhan ke phoro isi, angkhan ke kep-phongo, dosi chijeng kri-kri si iningo. 
MRK.6.41	Anang him plang-phongo aro ok-joni ensi, ethakpe yok lango, aro Arnam bor-eh hango, aro himhel ingbengo, aro adun helyok pisi arleng helyok pathak tolo; aro ok jon-ni ta anali ahuwit yok pathak tolo. 
MRK.6.42	Aro anali ahuwit ta chosi aneng ingsamo; 
MRK.6.43	aro anali abeng anohel aro ok abeng pangrumsi pachik kere-hini rungsi wano. 
MRK.6.44	Labang him kicho arleng hajar phongo kido.
MRK.6.45	Lajongsi anang arleng helyok padamtol si, anang adun helyok, anang ango ha aga apar Bethsaida ayok kidam tilong athak parlusi tolo. 
MRK.6.46	La-amun anang kitol tang kreng aphel inglong along kapingkit ayok damo. 
MRK.6.47	Lapara ke anithulo apot, tilong langpe asitem kido, manta anang hudet bam along dolo. 
MRK.6.48	Konam apor tomon kijapsi, adun abang tilong besi aduk kihlong apot, jarlo baji phili apun, langpe athak anang kengkam chijorsi anali dung yok wangsi, analiyok letchorsi kidam ayok chirono. 
MRK.6.49	Manta anang lang athak keng-kam chijorsi kiwang theksi, anali lake si-ik hele pusi hang taramo; 
MRK.6.50	piyok pu tene ahuwit anangyok kithek, aro anali chiron hapmo. Manta jongsi anang analiyok thano, “Ne si, neng chipachip; phereyek.” 
MRK.6.51	Laparake anang tilong ayok arlulo aro tomon ta hamo. Aro anali lang phrongsi chiron un-eh pho ateng asombhik hlongo, 
MRK.6.52	piyok pu tene him kicho alam anali abhu hlongkelo, manta anali angthin chiparthat phakngo.
MRK.6.53	Konam anali arpat tangsi, Genesaret arong hlengsi, aro tilong pasango. 
MRK.6.54	La-amun anali tilong para wang kisun jong-jongsi, rat Jisu yok chini uno, 
MRK.6.55	aro labang alongri dung si arleng hel parjangsi kiso arleng helyok ki-ih tarlong chirung chibatsi Jisu kido along yok wano. 
MRK.6.56	Aro jotmahal rongpe aro rongso anang kilut, la-ahuwit long kiso helyok hathi-chari kido kiso kilak arleng helyok bisi, Jisu yok anali ape so ta pa-ot hlongyok chihango, aro konbak arlengyok otno, lahel ahuwit ta kiso melo.
MRK.7.1	Minonke konam Jerusalem para kiwang Pharisi, aro angkhan kanong paklang hel chikomwolsi wang kido, 
MRK.7.2	anali angkhan adun helyok ari chichamche si akisim ari pensi kicho thek duno. 
MRK.7.3	Piyok pu tene Pharisi aro ahuwit Jihudi helke me-atsi anali arihel chichamche lengke choche, ladisi sar-lar hel abi-pun mainot do, 
MRK.7.4	aro anali hathi-chari para wangsi me-at chichamche lengke jatsi cho-junje; aro labadi kamprek ajat-jat abi-pun do lake senge kangthel, langhan, suria, phule, aro ladi abihini hel langlong kicham ajat-jat abi-apun do. 
MRK.7.5	Lasi Pharisi aro kanong paklang abang Jisu yok arjulo, “Piyok te nang adun hel ke sar-larhel abi-pun badi kengkam chijorje, manta akisim aripen piyok cho-jun do?” 
MRK.7.6	Jisu analiyok thano, “Jisoya po nali nengsik hel me-atsi turkisi thantango, aro kiwi do, ‘Labang arleng hel de-tur penke neyok mainot do, manta anali angthinke ne para kaholo do; 
MRK.7.7	anali arleng awe-awe para kapangning abi-pun helsi kapaklang nange alam pusi pachirli do, akijolsi anali neyok chirdom do.’ 
MRK.7.8	Nali Arnam kanong tikango aro awe awe para munusi abi-punsi meng phakngo.” 
MRK.7.9	Laparake anang analiyok pulo, “Nalike nali sar-lar hel abi-pun chi-enthipsi, Arnam kanong hel me-atsi tikang detno! 
MRK.7.10	Piyok pu tene Mosi po kipu, ‘Nang aipe aro nang apa yok mainotpon;’ aro ‘Inghosi anang aipe, lale anang apa yok kangho ingjeye khanangsi thiye.’ 
MRK.7.11	Manta nali thando, ‘Inghone bak arleng nang wangrap dun pu tene ne para ‘Korban’ chokpeno hoi, (lake Arnam aphan ingtonsi pilo)— 
MRK.7.12	laparake nang apa lale aipe aphan penebak jatsi patiki kelo, 
MRK.7.13	ladisi nali awe-awe parasi kiwang abi-pun hel pachirlisi Arnam alamthe hel pa-orsi wangdo. Aro labadi prek asal tikisi do.” 
MRK.7.14	Laparake arleng helyok anang dung taramdun phakngo aro pulo, “Nali ahuwit, ne lam onenot, aro abhu pahlong: 
MRK.7.15	mokol para arleng apok lut ke kapasuwa un isi abihini ingjong, manta arleng para potsi mokolyok ole, labang helsi arlengyok pasuwaman. 
MRK.7.16	Ingho ka-one ano do, anang onenot.” 
MRK.7.17	Aro konam anang ratyok tikangsi idon ahem lutdamo, anang adun hel labang athenghlan acho alampo Jisu yok arjulo. 
MRK.7.18	Anang analiyok pulo, “Laparake nali ta abhu hlonghe lang ma? Mokol para arleng apok arloyok potsi lut, labang ke anangyok pasuwa un-eh, 
MRK.7.19	anang angthin arlo ke lutle, manta anang apok arlo damsi bayot kidam amun mokol ole detde ma?” (Ladi pusi Jisu ahuwit kicho abihini majit ke kangthir pulo.) 
