MAT.1.1	Abraham é awut ashín, Dawiq é yhangzo yhangshu,
LUK.8.16	Myibung lé tap mù, aû èq nghop tô é le, yhupchong ô má tô tô é le, ó a kut wú kó. Nghut kôlhang, wang lé lô bang myoq wó myâng râ matú kúm gi, tsungjang má tsung to to chyat kut akô. 
LUK.8.17	Hkâsu mù gâ le, a htoqzê loshoq haq tô é zè haî le a joq, a sé a byông htoq loshoq wó zaú tô é zè le haî a joq nghut ri. 
LUK.8.18	Haû mù luî, nungmoq hkâsu wó gyô yu é hkyô lé sidiq nyì keq, haî mù gâ le, wó to sû lé gi, jat byi shirâ, a wó su chyáng mai kúm gi, yhang wó to bûn é mâ é lé lháng, yu pyám byi shirâ nghut lhê." ga taî ri.
LUK.8.19	Haú hkûn, Yesuq é yhângnu eq yhanggu pé gi, Yhâng chyáng lé lô kô le, shiwa byu pé lûm chyûn chyap to kômù, Yhâng chyáng a wó wang ê kó nghut ri. 
LUK.8.20	Haú hkûn, Yhang lé, "Náng nu eq nunggu pé gi, nang lé hui naû luî, shinggan má láng yap bum akô." ga taî kyo akô.
LUK.8.21	Yesuq gi, yhangmoq lé, "Garai Gasâng é mungdang lé gyô yù luî, châng é bang gi, Ngá nu eq Ngá gû pé nghut akô." ga luî, yhangmoq lé tû taî kat ri.
LUK.8.22	Ra-nyí lé, Yesuq gi, Yhâng é chángzô pé lé, "Nga-nhúng nhông he hpoq shut dap e ló sháng." ga taí luî, lhaî má wàng mù gû dap e ló akô. 
LUK.8.23	Yhangmoq gû dap e ló é hkûn lé, Yesuq gi, yhup myhî tô ri. Haú u lé, nhông haú má laidun mó lò luî, lhaî má wuì byíng lô mù, yhangmoq myup shî râ su dut lò nyì bekô nghut ri.
LUK.8.24	Haû mù, yhangmoq gi, Yesuq chyáng huî ê luî, Yhang lé nhaû pun mù, "Yhumsîng ê, Yhumsîng ê, nga-nhúng myup ló nyi ri." ga taî akô.
LUK.8.24	Haú hkûn, Yhang toq luî, laidun eq wuìlhêng pé lé tân kat jáng, haú pé gi, zim za dut ló byuq bê. 
LUK.8.25	Haû mù, Yesuq gi, "Nungmoq é lumjíng myit gi, hkâmá nghut akô lhú?" ga luî, yhangmoq lé myî ri.
LUK.8.25	Yhangmoq kúm gi, gyuq maú byuq bùm kôluî, "Shí yuq gi, hkasû é byù nghut lhê lhà? Yhang hkunmó hkyó jáng, laì eq wuìlhêng pé lháng gyo byi ri-nhung!" ga luî, rayuq eq rayuq myî lhûm bum akô nghut ri.
LUK.8.26	Hau htâng, yhangmoq gi, Galile mau tû tap mâ é Gerase byu pê é mau má jé dap e ló bekô. 
LUK.8.27	Yesuq kong shut doq ló le, haú wâ mâ é nat gang dap é sû rayuq gi, Yhang lé hui ri. Haú yuq gi, yhûm má le a nyi é za, mebu a dap é, lupdùng má myáng myáng nyi nyì sû nghut ri. 
LUK.8.28	Haú yuq gi, Yesuq lé myàng jáng, wut garu luî, yhâng é hkyî wang má paî gop to mù, "Myhang htâng é Garaî Yhangzo Yesuq ê, Nàng gi, ngò eq haî séng lhê lhú? Ngo lé a zing-ri râ matú, ngò nang lé dûng nyi lhê." ga luî, htê mó èq taî garû nyi ri. 
LUK.8.29	Hkâsu mù gâ le, Yesuq gi, agè ashop é nat lé haú yuq gùng mai htoq ló râ matú, tân pyâm é yanmai nghut ri. Byù haú yuq lé nat gâng èq adàm dàm wang júng hkangmó, loq eq hkyî má toqjâng tuî èq tuî shung, kyum xâng tô é eq, zúng tô é nghut kôlhang, lâng hpyit pyám pyám kut é htoq ago, nat gâng èq yhang lé yoso hkaû shut lângmhap yù yù kut nyi ri.
LUK.8.30	Yesuq gi, yhang lé, "Náng myîng haî gâ lhê?" ga myî kat é hkûn, yhang gi, "Legio
LUK.8.31	Nat jùm gi, yhangmoq lé nik dik htûm é Lasang-dong shut a kôn kat râ matú, Yesuq lé chôm dûng nyi bum akô.
LUK.8.32	Haú u lé, waq rajùm mó gi, bùm yàm má dû but zô nyi bum akô nghut ri. Haû mù, yhangmoq gi, waq pê chyáng wàng nhâng laq ga, Yesuq lé ahkáng dum dung dung kut kojáng, Yesuq gi, yhangmoq lé ahkáng byi kat ri. 
LUK.8.33	Haû mù luî, nat gang jùm gi, byù haú yuq chyáng mai htoq ló kôluî, waq pê chyáng wàng byuq bekô nghut ri. Haú hkûn, waq haú jûm gi, gampyoq mai nhông hkaû shut rut din yán wang ló kôluî, myup shi byuq bekô nghut ri.
LUK.8.34	Waq zúng bang gi, haû su dut é lé myàng jáng, hpang din ló kômù, myuq hkaû mâ é bang eq awui ayàm mâ é bang lé ló taî kyô akô nghut ri. 
LUK.8.35	Haû mù, wó gyô é bang gi, haú hkyô lé wú râ matú htoq lé lo akô. Yhangmoq gi, Yesuq chyáng jé lé kô é hkûn, nat gang htoq byuq hui sû, Yesuq é hkyî wang má mebu wut to luî, byù gè rayuq su zùng to láng é lé myàng kômù, gyuq dan bùm bekô nghut ri. 
LUK.8.36	Nat dap sû lé hkâsu kut luî lhoq ge yu é hkyô lé myang é bang gi, góbang lé taî kyô akô nghut ri. 
LUK.8.37	Haú hkûn, Gerase byu pê é mau mâ é lhunglhâng bang gi, gyuq dan dik kôluî, Yesuq lé yhangmoq é mau mai htoq ló byuq râ matú, chôm dûng tôngbán akô. Haû mù luî, Yesuq gi, taû ló byuq râ matú lhaî má wàng bê nghut ri.
LUK.8.38	Nat htoq byuq huî é sû gi, Yesuq htâng cháng râ matú, Yesuq lé dûng tôngbán ri. 
LUK.8.39	Nghut kôlhang, Yesuq gi, "Nàng, yhûm shut sheq ló mù, Garai Gasang, nang lé hkâ-í kut byi bê hkyô lé, ló taî kyo aq." ga luî, yhang lé ló nhâng bê nghut ri. Haú hkûn, yhang htoq ló mù, Yesuq yhang lé hkâ-í kut byi bê hkyô lé, haú wà rawà bang lé ló taî kyô ri.
LUK.8.40	Ahkuî, Galile byu pé gi, Yesuq dum taû lò râ lé láng nyî kô é nghut mù, Yhang dum taû gû dap lo é hkûn gabú myit eq lhom te yu akô. 
LUK.8.41	Haú hkûn, Ya-iruq gâ é tarajong má up sû rayuq gi, jé lé lô mù, Yesuq é hkyî wang má hkyihput htuq luî, yhâng yhûm má lé râ matú ji nyi ri. 
LUK.8.42	Hkâsu mù gâ le, raxe í zân bò bê é, yhangzo byizo te gi, shi ló nyi é yanmai nghut ri.
LUK.8.42	Haû mù, Yesuq cháng e ló le, shiwa byu pé gi, Yhang lé záng htûng lo bum akô. 
LUK.8.43	Haú u lé, raxe í zân sui yuî luî ngunzè lhunglháng ban pyám shoq chi sará pê chyáng yâ wú kôlhang, hká yuq le a wó yâ gè byi é
LUK.8.44	Myiwe haû gi, Yesuq é nunghtáng má huî lé mù, Yhâng é bushi htâng má ê záng kat eq, suí yui é ana gi, ge byuq bê nghut ri.
LUK.8.45	Haú hkûn, Yesuq gi, "Ngo lé, ó yuq záng bê lhú?" ga luî myi jáng, lhunglhâng bang gi, a sé ga he nyi bùm kô é hkûn lé, Petruq gi, "Yhumsîng ê, shiwa byu pé gi, náng é lhînghkyuq mai náng chyáng chyîn chyap wang lo bùm kô é yanmai, nang lé záng bekô râ nghut lhê?" ga taî ri.
LUK.8.46	Yesuq gi, "Byù rayuq ngo lé lé záng mù, ngá chyáng mâ é hpungwup a-tsam htoq ló é lé, ngò châng sé kat ri." ga taî ri.
LUK.8.47	Haû jáng, myiwe myhí haû gi, yhang a wó haq zaú to lô é hkyô lé sé jáng, req req nán lé lô mù, Yesuq é hkyî wang má ngóm gop kat luî, haî mù Yhang lé záng é hkyô eq, hká dông ge ló byuq é hkyô pé lé, shiwa byù banshoq bâng é hí má Yesuq lé taî kyô nyi ri. 
LUK.8.48	Yesuq gi, "Ngá zo ê, náng é lumjíng myit gi, nang lé lhoq gê byi bê nghut ri, ngón za ló aq hkoi!" ga luî, myiwe haû lé taî kat ri.
LUK.8.49	Yesuq gi, dang ru taî nyi ashî hkûn, tarajong má up sû Ya-iruq é yhûm mai byù rayuq jé lé lô luî, "Nung zo gi, shi byuq bê, haû sará lé hkâlhoq hkyik nyî lo." ga luî, Ya-iruq lé taî kyô ri.
LUK.8.50	Yesuq gi, dang haû lé wó gyo jáng, "Hkâgyuq, za lumjíng aq, haû jáng, yhang ge byuq râ nghut lhê." ga luî, Ya-iruq lé taî ri.
LUK.8.51	Yesuq gi, Ya-iruq é yhûm má jé é hkûn lé, Petruq, Yohan, Yakuq, eq haû myiwe zô é yhângnu eq yhângwa mai lai luî, yhûm haú má, ó lé le a wàng nhâng kut ri. 
LUK.8.52	Haú u lé, lhunglhâng bang zoshâng hau é yanmai, ngaubyi ngau-nhap èq yón nyi akô. Yesuq kúm gi, "Hkâ-ngaû kó, yhang shi byuq é a nghut, yhup myhî tô é sheq ru nghut lhê." ga luî, yhangmoq lé taî ri.
LUK.8.53	Zoshâng gi, shi byuq bê lé yhangmoq sé kôluî, yhangmoq gi, Yesuq lé wuìzuì kut pyám byî akô. 
LUK.8.54	Yhang kúm gi, myiwe zo hau é loq má zuî to mù, "Zoshâng ê, toq aq." ga taî kat ri. 
LUK.8.55	Haû mù luî, yhâng woi-nyí dum taû wàng mù, haú hkûn jáng toq yap ri. Haû jáng, Yesuq gi, zoshâng haû lé zôjung byi keq, ga yhangmoq lé taî kat ri. 
LUK.8.56	Haû myiwe zô é yhângnu eq yhângwa nhik gi, gyai maú byuq akô. Nghut kôlhang, Yesuq gi, haû dut é hkyô ó lé le a taî kyo râ matú, yhangnhik lé taí hkûm tô ri.
LUK.9.1	Yesuq gi, haû lagyo raxe í yuq lé wut yù mù, nat gang banshoq lé wó hkat htoq pyám râ matú eq, nolì nojàng wó lhoq gê râ matú, yhangmoq lé wum-o a-tsam eq ahko ahkáng byî ri. 
LUK.9.2	Hau htâng má, Garai Gasâng é mingdán hkyô hko kyo râ eq, nòhpyo lhoq gê byi râ matú nhang htoq kat ri. 
LUK.9.3	Yesuq gi, yhangmoq lé, "Hkyowui é matú, dumbáng, etap, zoshuq, ngùn eq, bu htaí lháng hkâwûn hkâchûng kó. 
LUK.9.4	Nungmoq hká yhûm má wàng kôlhang, haú wâ mai dum htoq ló é buinyì jé shoq, haú yhûm má za nyi nyi keq. 
LUK.9.5	Nungmoq lé a lhom hap yu é bang lé gi, yhangmoq é wà mai htoq ló é hkûn, nungmoq lé a lhom hap yu é saksé dut sháng gaq, nungmoq é hkyiwa má dap é hpuilhaû lé yhangmoq é myoq hí má ko hkyô pyâm to keq." ga taî kat ri. 
LUK.9.6	Haû mù, yhangmoq gi, htoq e ló luî, wà hkang wà mó má haû gabú danglù hko kyo uchyang, hká jé hkâmá nòhpyo lhoq gê byî wún akô.
LUK.9.7	Haû su dut é hkyô banshoq lé, mauzau Herut wó gyô yù luî myit wuî nyi ri. Hkâsu mù gâ le, ra-am gi, Yohan shi é mai dum dui toq lô bê ga, 
LUK.9.8	ra-am gi, Eliyaq dum pô htoq lo ri ga, haû mai, ra-am gi, hí hpyang lhê é myiqhtoi rayuq yuq dum dui toq lô bê ga luî, taî bùm kô é yanmai nghut ri. 
LUK.9.9	Herut gi, "Yohan é ulhum lé, ngò hpyit pyám nhâng bê, nghut kôlhang, shî í wá taî byông bùm kô é gi, ó wá nghut lhê lhú?" ga luî, Yesuq lé myàng shoq ga ho nyi ri.
LUK.9.10	Lagyô pé dum taû lo é hkûn, yhangmoq kut laî lo é hkyô pé, Yesuq lé taî kyô akô. Haú hkûn, Yesuq gi, yhangmoq lé shuî chûng mù, Bet-saida gâ é wà mó shut tsik za e ló byuq ri. 
LUK.9.11	Shiwa byu pé gi, haú hkyô lé châng sé kômù, Yhâng htâng châng e ló akô. Yesuq le yhangmoq lé lhom hap yù mù, Garai Gasâng é mingdán hkyô lé taî kyo luî, nòhpyo gè naù bang lé, lhoq gê byî ri.
LUK.9.12	Buigyùm zó má, lagyo raxe í yuq gi, Yhâng chyáng huî ê mù, "Haû shiwa byu pé lé, awui ayàm mâ é yhûm pé eq wà pé má ló mù, zoshuq hô zo luî ló yhup kó sháng gaq, ló nhâng aq. Hkâsu mù gâ le, ahkuî nga-nhúng gi, yoso má nghut nyi ri." ga luî, Yhang lé taî akô.
LUK.9.13	Haú hkûn, Yesuq gi, "Nungmoq, yhangmoq lé rajung jung byi tso keq." ga tû taî ri.
LUK.9.13	Yhangmoq gi, "Shî myhô bang lé tso râ zoshuq a ê wui le gi, ngamoq chyáng muk-yo muk ngo long eq ngozo í du mai lai luî, haî le a wó nghut ri." ga taî akô. (Hkâsu mù gâ le, yuqgè wuì baú lháng ngo hkyîng kô nghut ri.)
LUK.9.14	Nghut kôlhang, Yesuq gi, "Shí bang lé rahpúng má ngo xê xê kô kut luî, zùng nhang to keq." ga luî, Yhâng e chángzô pé lé taî ri. 
LUK.9.15	Yhangmoq lé Yesuq taî é eq rajung za, banshoq bang lé zùng nhang to bekô. 
LUK.9.16	Haú hkûn, Yesuq gi, haû muk ngo long eq ngozo í du lé yù mù, mauhkûng shut tu wú to luî, jeju ban hkya-on jáng, haú lé ajap jap hpé luî, shiwa byu pé lé, châng to byi râ matú, Yhâng é chángzô pé lé byi kat ri. 
LUK.9.17	Haú hkûn, yhangmoq banshoq bang zô gyî bùm kô é htâng má, haû chángzô pé gi, zô myhit tô é pé lé, raxe í mung byíng shoq wó guq tsîng yu ashî kô nghut ri.
LUK.9.18	Radàm lé, Yesuq gi, Yhang baú kyûdûng nyi é hkûn, chángzô pé le, Yhang eq rahá nghut akô. Hau htâng, Yhang gi, yhangmoq lé, "Shiwa byu pé gi, ngo lé ó yuq nghut lhê ga, taî akô lhú?" ga myî ri.
LUK.9.19	"Ra-am gi, Wui-myhup Sará Yohan ga; góbang gi, Eliyaq ga; dum ra-am gi, hí hpyang lhê é myiqhtoi rayuq yuq dum dui toq lo é nghut ri ga, taî akô." ga luî, yhangmoq tû taî akô.
LUK.9.20	Dum, Yhang gi, yhangmoq lé, "Nghut kôlhang, nungmoq gi, ngo lé ó yuq nghut lhê nghu akô lhú?" ga myî ri.
LUK.9.20	Haú hkûn, Petruq gi, "Nàng gi, Garai Gasang nhâng byî é Hkrisduq nghut ri." ga tû taî ri.
LUK.9.21	Shí hkyô ó lé le a taî kyo sháng gaq ga, Yesuq, yhangmoq lé taî hkûm pyâm ri. 
LUK.9.22	Haû mù, Yhang gi, "Haû Byu Yhangzo gi, zing-rî é myo myo hui zo luî, suwún wuî, hkyangjong agyi pé, tarâ sará pê èq he-ngik pyâm é hui mù, sat pyâm é hui ra râ nghut lhê, hau htâng sum nyí nghû râ buinyì má, lhoq toq yu é hui râ nghut lhê." ga taî ri.
LUK.9.23	Hau htâng, banshoq bang lé Yhang dum xoq taî é gi, "Ngá htâng cháng naû sû ó yuq nghut kôle, yhumsing gùng yhumsîng he-ngik pyám mù, nyí wuî yhumsing é tapzîng lé waq chûng
LUK.9.24	Hkâsu mù gâ le, yhumsing é asak lé hkyi yù naù sû ó yuq nghut kôle, asak sum râ nghut lhê; nghut kôlhang, Ngá é yanmai, yhumsing é asak sum pyâm é sû kúm gi, asak hkyi yu é hui râ nghut lhê. 
LUK.9.25	Byù gi, mingkan gón lé wó sing to kôlhang, yhumsing é asak woi-nyí sûm byuq é nghut le gi, yhang é matú, haî akyû bò râ lhú? 
LUK.9.26	Ngò eq Ngá é dang lé, lhom hap yù râ lé hoq é sû ó yuq lé le, haû Byu Yhangzo gi, yhumsing é hpungwup shingkang eq, Yhâng Wâ é hpungwup shingkang, haû chyoiyúng maumang lagyô pê é hpungwup shingkâng èq jé lé é hkûn, hoq pyám râ nghut lhê. 
LUK.9.27	Ngò, nungmoq lé teng za taí kôlé, shi má yap tô é bang ra-am gi, Garai Gasâng é mingdán lé a myang é za shî kó râ a nghut." gâ ri.
LUK.9.28	Dang haû taî é htâng, shit nyí kô nghut jáng, Yhang gi, kyûdung râ ga Petruq, Yohan, Yakuq pé lé shuî chûng mù, bùm shut doq ló ri. 
LUK.9.29	Kyû dûng nyì le, Yesuq é myoqdong gi, ihpyô isâm htaî lò mù, Yhâng é mebu gi, lhap su duq bang lo ri. 
LUK.9.30	Haú hkûn, wú keq, Mosheq eq Eliyaq gi, hpungwup shingkang eq htoq lé lô luî, Yesuq eq dáng nyo lhûm nyi akô. 
LUK.9.31	Yhangmoq gi, Garai Gasang myit tô é hkyô Yerusalem wà mó má Yesuq shî hkâm é dông mai dik lò râ nghut é hkyô lé taî lhûm nyi akô. 
LUK.9.32	Petruq eq yhâng luzúm nhik gi, yhup mui nyi akô; nghut kôlhang, yhangmoq bûn lo é hkûn lé, Yesuq é hpungwup shingkang lé le, Yhang eq rahá yap to su nhik lé le, myang kat akô. 
LUK.9.33	Haû nhik Yesuq chyáng mai gâng ló nyi é hkûn, Petruq gi, Yesuq lé, "Yhumsîng ê, shí jowò má nga-nhúng nyi le ge ri, haû mù, Nàng é matú ralhum, Mosheq é matú ralhum, Eliyaq é matú ralhum kut, ngamoq lé, zúm sûm lhum saí nhâng laq." ga taî kat kôlhang, yhang haî taî nyi é lé, yhang a sé.
LUK.9.34	Petruq dang taî nyi ashî hkûn lé, mhut jé mù, yhangmoq lé htup zíng lo nyi ri. Mhut haû htup lo nyi é yanmai, yhangmoq gi, gyuq byuq akô. 
LUK.9.35	Haû mhut hkaû mai htoq lo é htê gi, "Shí yuq gi, Ngá zo nghut lhê; Ngò hkyin yu é Sû le nghut lhê; Yhâng é dang gyo keq." gâ ri. 
LUK.9.36	Dang htê haû zim jáng, Yesuq yhang baú nyi tô é lé, yhangmoq myang akô. Yhangmoq myang é hkyô lé, buinyì haú bun haú yoq má, ó lé le a taî kyô é zim za nyi byuq akô.
LUK.9.37	Hau htâng nyí, yhangmoq bùm haû mai gyó ló kô le, byù moq mó gi, Yesuq lé lhom te yu akô. 
LUK.9.38	Haú hkûn, byù hpúng haú mâ é byù rayuq wut garû htoq ló é gi, 
LUK.9.39	"Sará ê, wú aq, ngá é zo te yuqzo gi, nat wang júng mù dàn so dàn loq garû lo lhê, guttsû gi, agut gut dut shoq langhtân nhang lo lhê kut mù, nat gi, yhang lé gyai myáng shoq zing-rî yù yù kut nyi ri. 
LUK.9.40	Nat haû lé hkat pyám byi kó laq nghû luî, Náng é chángzô pé lé ngò dûng wú kôlhang, yhangmoq a wó hkat pyám byi kó. Haû mù, ngá zo lé lhoq gê byi râ matú, ngò gi, nang lé gyai myit lum é eq dûng kat lhê." gâ ri.
LUK.9.41	Haû mù luî, Yesuq gi, "Lumjíng myit a bo é eq agè ashop é amyû pé ê, Ngò gi, hkâ-myháng jé shoq nungmoq eq rahá nyì mù, wó jân nyì râ lhú? Nung zo lé, shí shut shuî lé lô aq." ga tû taî ri.
LUK.9.42	Zoshâng haû, lé lo nyi le lháng, nat gang gi, yhang lé lhoq lhêng to mù langhtân nhang ashî. Yesuq kúm gi, haû agè ashop é nat lé tân kat luî, zoshâng haú lé lhoq gê byi mù, yhâng wa lé dum ap byî ri. 
LUK.9.43	Nyì mi-nyì gi, Garai Gasâng é kô dik é hpungwup a-tsam lé maú hong nyi bum akô.
LUK.9.43	Lhunglhâng bang gi, Yesuq kut é muzó haû lé maú nyi bùm kô le, Yesuq gi, 
LUK.9.44	"Haû Byu Yhangzo gi, byu pê é loq má ap pyâm é hui zo râ nghut lhê. Dang shí hkun lé nungmoq é no má rago gyô wun to keq." ga luî, chángzô pé lé taî ri. 
LUK.9.45	Yhangmoq kúm gi, dang haú lé a sê gyo kó, hkâsu mù ga le, haû gi, yhangmoq é matú a sê gyo sháng gaq ga luî, nghop tô ashî yanmai nghut ri. Dang hau é lichyúm lé, Yesuq chyáng yhangmoq a wám myi kó nghut ri.
LUK.9.46	Hau htâng, lagyô pé gi, hká yuq sheq, kô dik sû nghut lhê lhú ga, rayuq eq rayuq taî myíng myô lhûm nyi akô. 
LUK.9.47	Yesuq kúm gi, yhangmoq é unghkaû má myit nyi é hkyô lé sé byi luî, zoshâng rayuq lé shuî yù mù, Yhâng nàm má shap to luî, 
LUK.9.48	"Shî zoshâng lé Ngá é myìng mai hap sû ó yuq nghut kôle, Ngo lé hap yu é sû nghut bê; Ngo lé hap yù sû ó yuq nghut kôle, haû Ngo lé nhang kat é Sû lé hap yu é le nghut lhê. Haû mù luî, nungmoq banshoq má, je tiq sû gi, je ko sû nghut lhê." ga luî, yhangmoq lé taî ri.
LUK.9.49	Haú hkûn, Yohan gi, "Yhumsîng ê, Náng é myìng láng luî, nat gâng pé lé hkat pyám byî wún é byù rayuq lé, ngamoq myang ri. Yhang gi, ngamoq chyáng a lòm sû nghut é yanmai, yhang lé ngamoq hkûm pyâm é nghut lhê." ga taî ri.
LUK.9.50	Yesuq kúm gi, "Yhang lé hkâhkúm kó, nungmoq é gyè hkyam shut a nyì sû gi, nungmoq é hkyam shut nyì sû nghut lhê." ga luî, yhang lé taî ri.
LUK.9.51	Ahkuî, Yesuq gi, Yhang lé mauhkûng shut shuî toq yû râ buinyì chyâng lò bê nghut mù, Yerusalem wà mó shut ê râ lé myit hpyit to luî, Yhâng é hí má lagyo nhang kat ri. 
LUK.9.52	Lagyo haú bang gi, Yhâng matú râ é hkyô lajang láng râ ga, Samariq wà rawà má wang ló akô. 
LUK.9.53	Nghut kôlhang, Yesuq gi, Yerusalem wà mó shut laî e ló é sû nghut é yanmai, haú wâ bang gi, Yhang lé a lhom hap yù kó. 
LUK.9.54	Haú hkûn, lagyo Yakuq eq Yohan nhik gi, haû lé myàng jáng, "Yhumsîng ê, yhangmoq lé lhoq htên pyám râ matú, ngá-nhik mauhkûng mai myi wut hkyó le, a gè lhú?" ga luî, Yesuq lé myî akô. 
LUK.9.55	Yhang kúm gi, lhing wú luî yhangnhik lé, tân pyâm ri, 
LUK.9.56	haû mù luî, yhangmoq gi, gó wâ shut e ló byuq akô.
LUK.9.57	Yhangmoq haú hkyô má e ló kô le, byù rayuq gi, "Nàng hká e le hká ngò cháng râ." ga luî, Yesuq lé taî ri.
LUK.9.58	Yesuq gi, haú yuq lé, "Wamhkuî pé gi, hkyûng wó akô, nghoq pé le, nghoqsut wó akô. Nghut kôlhang, haû Byu Yhangzo gi, ulhum to jang lháng a wó é nghut ri." ga taî pyám ri.
LUK.9.59	Dum rayuq lé, "Ngá htâng cháng aq." ga taí jáng, haú yuq gi, "Yhumsîng ê, ngá wa lé, ló yhûm pyám râ ahkáng hí byi shi laq." ga taî ri.
LUK.9.60	Yesuq gi, yhang lé, "Shî bê bang
LUK.9.61	Byù rayuq dum, Yhang lé, "Yhumsîng ê, ngò le náng htâng cháng râ, nghut kôlhang, ngá yhumbyù lé hí hkyang ló shit to râ ahkáng byi shi laq." ga taî ri.
LUK.9.62	Yesuq gi, "Yò hpuq li zui mù htâng shut lhing wú sû ó yuq nghut kôlhang, Garai Gasâng é mingdán eq a gingdán." ga luî, yhang lé taî ri.
LUK.10.1	Hau htâng má, Yhumsîng gi, gotû chángzô pé nyhit xê yuq
LUK.10.2	Yesuq gi, yhangmoq lé, "Kyô
LUK.10.3	Nungmoq e ló keq! Wamhkui hpúng má nhang hâng kat é sau zô pé lé su, Ngò, nungmoq lé nhang kat é nghut lhê. 
LUK.10.4	Ngùn htûng eq, etap, hkyî-tsung pé hkâyu chûng kó, hkyô má ó lé le hkâshichyên kûn nyì kó.
LUK.10.5	Nungmoq gi, hká yhûm má wàng e ló kô le, 'Shi yhûm nguingón nyî sháng gaq.' nghû luî, hí taí keq. 
LUK.10.6	Haú yhûm má nguingón hkyô eq gingdán sû nyi é nghut le gi, nguingón hkyô haû gi, haú yuq é ahtoq má joq to râ nghut lhê. Haû a nghut jáng, nguingón hkyô haû gi, nungmoq chyáng dum taû lo byuq râ nghut lhê. 
LUK.10.7	Haú yhûm má nyi to mù, yhangmoq haî byî le haî zo haî shuq keq; hkâsu mù gâ le, mû zui sû gi, zuihpau wó yû gíng lhê; haû mù, nungmoq rayhum htâng rayhûm hkâhtot nyi wún kó.
LUK.10.8	Nungmoq hká wà má wang ló kôlhang, yhangmoq lhom hap yù kô é nghut le gi, nungmoq é hí má yhangmoq htung to byî é zoshuq lé, zo keq, shuq keq. 
LUK.10.9	Haú mâ é nò bang lé lhoq gê byi mù, 'Garai Gasâng é mingdán gi, nungmoq eq chyâng lò bê nghut ri.' nghû luî, yhangmoq lé taî kyo keq. 
LUK.10.10	Nghut kôlhang, nungmoq hká wà má wang ló kô le, yhangmoq a lhom hap yu é nghut le gi, haú wâ mâ é hkyô mó má htoq ê mù, 
LUK.10.11	'Ngamoq é hkyî má dap tô é nungmoq wà mâ é hpuilhaû lháng, nungmoq lé hkyang pû tsô nyì râ matú ngamoq ko hkyô pyâm to byi bê. Nghut kôlhang, Garai Gasâng é mingdán gi, chyâng lò bê hkyô lé, sé to keq.' nghû luî taí keq. 
LUK.10.12	Ngò, nungmoq lé taí kôlé, haú buinyì
LUK.10.13	Kurazin wà mó ê! Nàng dingnyé wó ri! Bet-saida wà mó ê! Nàng dingnyé wó ri! Nungmoq chyáng lé kut shit é laklaí kumlhá pé lé, Turuq myuq eq Sidun myuq má kut shit é ru nghut le gi, yhangmoq, noq noq mai myit lhîng mù, jimê tû wut lhê, myiwap kyaq gyûn lhê kut zung ngûng to bekô râ nghut lhê. 
LUK.10.14	Haû mù, tarâ jéyáng é nyí jé jáng, nungnhik gi, Turuq myuq eq Sidun myuq htoq má je hpuzo
LUK.10.15	Dum mù, Kaperna-um wà nàng ê, nàng gi, mauhkûng jé shoq waq toq é hui râ lhú? A nghut, mosumhkung má sheq gyó râ nghut lhê." ga taî ri.
LUK.10.16	Hau htâng má, chángzô pé lé dum xoq taî é gi, "Nungmoq é dang gyo sû gi, ngá é dang gyo sû le nghut bê; nungmoq lé he-ngik é sû gi, ngo lé le he-ngik é sû nghut bê; ngo lé he-ngik é sû gi, ngo lé nhang kat sû lé le, he-ngik é sû nghut bê." gâ ri.
LUK.10.17	Hau htâng, haû chángzo nyhit xê yuq gi, gabú myit èq dum taû lò mù, "Yhumsîng ê, náng é myìng lé lang jáng, nat gâng pé lháng ngamoq é dang lé gyô bum akô." ga taî akô.
LUK.10.18	Haû su ga taí kôjáng, Yesuq tû taî é gi, "Tsadán gi, mauhkûng htoq mai lhap hpyat é su byit gyó lo é lé ngò myang kat bê. 
LUK.10.19	Wú keq! Ngò gi, nungmoq lé, lhangmuì eq gogok pé lé wó nang râ eq gumlau gyè pê é wum-o a-tsam banshoq lé wó ûng râ ahko ahkáng lé byi bê nghut mù luî, hai èq le nungmoq lé wó lhoq hten râ a nghut lo. 
LUK.10.20	Nghut kôlhang, nat pé nungmoq é dang gyô é lé za hkâgabú nyî kó, mauhkûng htoq mâ é asak jihpán laiká buk má nungmoq é myìng bo to bê lé sheq gabú nyî keq." ga taî ri.
LUK.10.21	Haú u lé, Yesuq gi, Chyoiyúng Woi-nyí má gabú é myit byíng lô mù, "Mauhkûng eq myigung é Yhumsîng, Âwa ê, Nàng gi, haú pé lé, hpaqchyî byéng-yá bò bang eq myit hpaqchyî sé bâng é hí mai haq nghop to luî, zoshâng wuì lé tûn shit bê nghut é yanmai, Ngò, Nang lé hkya-ôn lhê ô. Nghut bê, Âwa ê, haû gi, Nàng ô nau é hkyô nghut ri.
LUK.10.22	Ngá Wa gi, lhunglháng lé Ngá é loq má ap byi to bê. Garai Gasang Yhangzo ó nghut é gi, Âwa Garai Gasang mai lai luî ó le a sé; Âwa ó nghut é lé le, haû Zo eq haû Zo mai sé nhâng râ matú hkyin yu é bang mai lai luî, ó a sé." ga taî ri.
LUK.10.23	Hau htâng má, Yhâng é chángzô pê shut lhing wú luî, yhangmoq lé baú za haq taí kat é gi, "Nungmoq byu-myàng é hkyô pé lé, myang é myoq pé gi, hkungsô wó nyi ri. 
