MAT.1.1	Магьа Ибрагьимдин наслиан вуйи, Давудрин тухмиан вуйи Месигь Исайин ата-бабйир:
LUK.5.22	Исайи, дурарин фикрарин гъаври ахъну, жаваб тувру: «Гьаз дицдар фикрар ичв юкӏвариъ тӏаърачва? 
LUK.5.23	„Яв гунгьарилан хил алдабгъураза“ пуб рягьят вуйин, даршиш „гъудужвну лиц“ пуб? 
LUK.5.24	Инсаниятдин Бализ жилиин гунгьарилан хил алдабгъуз гьюкум айиб учвуз аьгъю хьпан бадали, магьа лигай» – пну, Дугъу паралич кайириз: «Гъудужв кӏуразавуз, гъадабгъну яв ахин, яв хулаз гъарах», – кӏуру.
LUK.5.25	Думура дишла гъудужвну, учв дахънайи ахинра гъадабгъну, Аллагьдин адар апӏури, чан хулаз гъягъюру.
LUK.5.26	Хъа вари мюгьтал шулу ва, Аллагьдин тярифар апӏури, гучӏбаан зегьле дубшну, гьамци кӏури гъахьну:
LUK.5.26	– Гъи аьжаб кереметнан ляхнар гъяркъюндарин ухьуз!
LUK.5.27	Мидхъан хул’ан удучӏву Исайиз налук уч апӏури деънайи Левий кӏуру гъуллугъагьли рякъюру ва дугъаз Чахъди гъач кӏуру. 
LUK.5.28	Думура, чан кеспи гъибтну, Дугъан кьяляхъди, гъудужвну, гъягъюру.
LUK.5.29	Хъасин дугъу чан хулаъ Исайиз аьхю хялижв’вал апӏуру. Душваъ аьхючӏвеъ налукар уч апӏрудар ва дурарихъди гутйириз гъюн йивну дахьнайи жара хяларра айи. 
LUK.5.30	Аьлимарина фарисйири наразивал кади Исайин ученикариз: «Учву налукар уч апӏрударихъдина гунагькрарихъди гьапӏуз ипӏури-убхъури шулчва?» – кӏури гъахьну.
LUK.5.31	Исайи дурариз жаваб вуди гъапну:
LUK.5.31	– Духтир сагъидариз ваъ, хъа аьзарлуйириз лазим ву. 
LUK.5.32	Узу марцци касари ваъ, хъа гунагькрари, чпин гунгьар гардандиъ дидисну, уьмур дигиш апӏбан бадали, дуфнайир вуза.
LUK.5.33	Дурари кӏуруш Исайиз гъапи:
LUK.5.33	– Гьаз Ягь’яйин ва гьацира фарисйирин ученикар кми-кмиди ушвар дисури ва ккарагури шулу, хъа Явдар чпиз ккун гъабши вахтна ипӏури-убхъури гьаз шулу?
LUK.5.34	Исайи дурариз кӏуру:
LUK.5.34	– Швушв хурайирихъди хъайи сумчрин хяларихьди учвхьан ушвар дисуз гъитуз шулинхъа? 
LUK.5.35	Хъа швушв хурайир гужназ гъадагъру вахт гъибди, ва гьадму йигъари ушварра дисиди.
LUK.5.36	Мидихъди сабси Дугъу саб тахалус ктибтуру:
LUK.5.36	– Гьич сарира, цӏийи палатдикан кадабтӏну, йирси палатдик цӏил ктривур, даршиш дугъу цӏийи палатра чӏябгъиди, хъа гьацира дидкан ктабтӏу цӏил йирсибдик балгидира дар. 
LUK.5.37	Ва гьич сарира таза чяхир йирси иржариъ убзидар, фицики таза чяхри иржар гьутӏурччвиди, учвра удубзиди ва иржарра пуч хьиди.
LUK.5.38	Гьаддиз таза чяхир цӏийи иржариъ убзуб лазим ву.
LUK.5.39	Ва гьич саризра, кюгьне чяхир дубхъну, дишлади таза чяхир ккун хьидар, фицики «кюгьне чяхир ужу ву» – кӏури шулу.
LUK.6.1	Султ йигъан Иса дяхин дубзнайи хутӏлариан гъягъбакк ккуркьну, ва Дугъахъ хъайи ученикари, дяхнин кӏулар ктутӏури, хиларигъ ктӏиршури, итӏури шулу. 
LUK.6.2	Фарисйирикан бязидари дурариз кӏуру:
LUK.6.2	– Учву султ йигъан Къанунди гъадагъа дапӏнайи ляхин апӏуранчва?
LUK.6.3+LUK.6.4	Исайи дурариз жаваб туву:
LUK.6.3+LUK.6.4	– Мегер учвуз Давудри, чаз ва чахъ хъайидариз гаш гъабшиган, гьапӏнуш, фици дугъу, Аллагьдин хулаъ учӏвиган, маллйирилан гъайри шликӏан итӏуз ихтияр адру Аллагьдиз бахш дапӏнайи уьлер гъадагъну гъитӏнуш ва чахъди хъайидаризра тувнуш, Гирами китабариъ гъурхунданчва?
LUK.6.5	Хъасин гъапи:
LUK.6.5	– Инсаниятдин Бай султ йигъ’инра Агъа ву.
LUK.6.6	Жара саб султ йигъан Иса мистаз гъягъбакк ва душваъ аьгъювалар тувбакк ккуркьру. Душваъ арччул хил деебццнайи сар кас ади шулу. 
LUK.6.7	Къанунчйирна фарисйир, Исайик тахсир кипбан бадали, Дугъу султ йигъан думу сагъ апӏидайкӏан кӏури, ул хъипнайи. 
LUK.6.8	Амма Исайи, дурарин ниятар аьгъяди, хил дебццнайи касдиз кӏуру:
LUK.6.8	– Гъудужвну гъач, варидарин улихь дийигъ.
LUK.6.8	Думу гъудужвну, улихьна гъюру. 
LUK.6.9	Гьадмуган Исайи дурариз гъапи:
LUK.6.9	– Узу учвхьан гьерхраза: султ йигъан фу апӏуз ихтияр а? Уж’вал, даршиш писвал? Уьмур уьбхюз, дарш пуч апӏуз?
LUK.6.9	Дурар чӏалкьан даркӏури гъузру. 
LUK.6.10	Вардарилан ул илбицну, Исайи гьадму касдиз кӏуру:
LUK.6.10	– Яв хил гьачӏабкк.
LUK.6.10	Дугъу гьаци гъапӏумитӏла, дугъан хил сагъ шулу. 
LUK.6.11	Фарисйирна аьлимар хъюл’ан деллу шулу ва, чпин арайиъ улхури, Исайикан гьапӏруш, аьжуз духьну гъузру.
LUK.6.12	Гьадму йигъари Иса, ккарагбан бадали, дагъдиз удучӏвуру ва ярхи йишвди Аллагьдиз ккарагури шулу.
LUK.6.13	Йигъ улубкьиган, Чан ученикариз дих дапӏну, дурарикан йицӏикьюр кас ктагъуру ва дурариз Чан вакилар кӏуру ччвур тувуру. 
LUK.6.14	Дурар: Петр кӏуру лакӏам хъайи Симонна дугъан чве Андрей, Якьубна Югьанна, Филипна Варфоломей, 
LUK.6.15	Маттана Фома, Алфейин Якьубна Зилот кӏуру лакӏам хъайи Шимон, 
LUK.6.16	Якьубдин Ягьуда ва хъасин душман гъаши Искариот Ягьуда – гьамрар вуйи.
LUK.6.17	Иса, дурарихъди дагъдилан гъафир, дюз майдандиина гъюру. Дугъахъди аьхючӏвеъ Чан ученикарра, вари Ягьудияйианна Ерусалимдиан, хъа гьацира гьюлин гъирагъдихъ хъайи Тир ва Сидон шагьрариан дуфну, 
LUK.6.18	Исайихъ хъпехъуз ва чпи аьзарарихьан сагъ апӏуз гъафидарра, гьацира жинари гъаркӏ апӏурайидарра хъади гъахьну. Хъа, дурар вари сагъ шулира гъахьну. 
LUK.6.19	Вари халкьдиз Исайик кучуз ккунди гъабхьну, фицики Дугъхьан кьувват рабгъури ва диди вари сагъ апӏури гъахьну. 
LUK.6.20	Хъа Дугъу, Чан ученикарилан ул илбицури, гъапи:
LUK.6.20	– Бахтаврар вучва, касиб вуйидар,
LUK.6.20	фицики Аллагьдин Паччагьлугъ учвусдаринуб ву.
LUK.6.21	Бахтаврар вучва, му вахтари гашлудар,
LUK.6.21	фицики тухъ хьидичва.
LUK.6.21	Бахтаврар вучва, му вахтари ишурайидар,
LUK.6.21	фицики аьлхъидичва.
LUK.6.22	Учву инсанариз даккун гъахьиган,
LUK.6.22	учву дурари утӏурккган
LUK.6.22	ва беябур апӏруган,
LUK.6.22	ичв ччвур нянайикк ккипруган
LUK.6.22	Инсаниятдин Бай бадали,
LUK.6.22	бахтаврар вучва.
LUK.6.23	Гьадму йигъан рази йихьай
LUK.6.23	ва шадвал ачмиш апӏинай,
LUK.6.23	фицики аьршариъ учвуз айи пешкеш зурба ву.
LUK.6.23	Учву даккнидарин абйирира
LUK.6.23	пайгъамбрарихъди гьаци апӏури гъахьну.
LUK.6.24	Мураризси дарди, пис гьял хьибди ичв,
LUK.6.24	девлетлуйир,
LUK.6.24	фицики учвуз сарун ужувлар дяркъначвуз.
LUK.6.25	Пис гьял хьибди ичв, му вахтари уьлдюгъну гъярайидар,
LUK.6.25	гьаз гъапиш гаш хьибдичвуз.
LUK.6.25	Пис гьял хьибди ичв, му вахтари аьлхъюрайидар,
LUK.6.25	фицики, гьяйиф дизигну, ишидичва.
LUK.6.26	Учвкан жарадар ужуди улхруганра,
LUK.6.26	пис гьял хьибди ичв,
LUK.6.26	фицики дурарин абйири
LUK.6.26	кучӏлин пайгъамбрариканра гьаци апӏури гъахьну.
LUK.6.27	Хъа вари Узухъ хъебехънайидариз кӏураза: ичв душмнар ккун апӏинай, учву даккнидариз уж’вал апӏинай. 
LUK.6.28	Учву нянатлу апӏурайидариз гьюрматлу гафар апӏинай ва учвуз гиран ктапӏрударихъанди ккарагай. 
LUK.6.29	Яв саб гарцӏликкан бачӏ ккадатуриз тмунубра ккив ва яв зиълан палат илдибтруриз кӏанакк ккайи ккурттра чаз гъадабгъуз манигъ’вал мапӏан. 
LUK.6.30	Увкан тӏалаб апӏурайириз тув ва явуб гъадабгъуриз «кьяляхъ ча» макӏан. 
LUK.6.31	Учвуз учвухъди адмийир фици духьну ккундуш, гьадрарихъди учвура гьаци йихьай. 
LUK.6.32	Хъа эгер учву ккунидартӏан учвуз ккундарш, мидкан фу чухсагъул ачвуз? Фицики гунагькраризра чиб ккунидар ккунди шулу. 
LUK.6.33	Учвуз уж’вал апӏрудариз учвура уж’вал апӏураш, мидкан фу чухсагъул ачвуз? Фицики гунагькрарира гьаци апӏуру. 
LUK.6.34	Хъа эгер учву бурж кьяляхъ апӏуз удукьрурихьна миж кади тувраш, мидкан фу чухсагъул ачвуз? Фицики гунагькрарира чпи буржназ тувкьануб кьяляхъ гъадабгъуз ният ади туври шулу. 
LUK.6.35	Хъа учву ичв душмнар ккун апӏинай, ужувлар апӏинай, кьяляхъ бисуб миж ктарди, буржназра тувай, ва учвуз зурба пешкеш хьибди, ва учву Варитӏанзаанурин баяр хьидичва. Фицики чпиз гъапӏу уж’вал аьгъю даршлударизра, пис касаризра Аллагь гъянир ву. 
LUK.6.36	Гьаци учвура, ичв Адашси, мани юкӏвар ади йихьай.
LUK.6.37	Жарарин диван мапӏанай, Аллагьди ичвра апӏидар; жарар тахсир мапӏанай, учвура тахсир апӏидар. Хил алдабгъай, учвланра алдабгъиди. 
LUK.6.38	Хил ачухъ апӏинай, учвузра тувди: убжнайи ва кӏакӏ алди абцӏнайи уьлчмейиинди ичв танхлиъ абхьди, фицики учву фициб уьлчмейиинди ебцураш, учвузра гьацибдиинди ебциди.
LUK.6.39	Дурариз Исайи тахалусарра ктитуру:
LUK.6.39	– Курихьан кур хъади гъягъюз шулинхъа? Дурар кьюридра ичӏаъ ахьидаринхъа? 
LUK.6.40	Ученик чан мялимтӏан заан дар, амма зегьмет зигури, дубгъури гъабхьиш, гьарсар чан мялимдихъ хъуркьди.
LUK.6.41	Увуз яв чвуччвун улиъ айи чӏюрх гьаз рябкъюрвуз, яв улиъ айи хамхар дярябкърайи вахтна? 
LUK.6.42	Ваяки яв гъардшиз: «Яв улиъ айи чӏюрх адабгъуза», – фици пидива, увуз яв улиъ айи хамхар дярябкърайиган? Эй, кьюб маш гъяйир! Сифте яв улиъ айи хамхар адабгъ, хъа гьадмуган увуз, яв гъардшин ул’ан чӏюрх фици адабгъуруш, рябкъидивуз.
LUK.6.43	Гъяни гьари чӏуру бегьер, чӏуру гьари гъяни бегьер хурдар, 
LUK.6.44	фицики гьарсаб гьар чан йимишдиз лигну аьгъю шулу. Гьаддиз зазарилан инжир, чӏуру хутарилан тӏумутӏ уч апӏури шулдар. 
LUK.6.45	Ужур касди чан кӏван хазнайиан ужуб, хъа чӏурури чан кӏван хазнайиан чӏуруб адабгъуру, фицики инсандин мелз, дугъан юкӏв фти абцӏнаш, гьаддикан улхури шулу.
LUK.6.46	Учву Узуз: «Я Агъа, я Агъа!» гьаз кӏуручва, Узу учвуз гъапиб дарапӏрайиган? 
LUK.6.47	Узухьна дуфну, Узухъ хъебехъну, Йиз гафар тамам апӏру гьарсар кас шлиз ухшар вуш, кӏарзачвуз: 
LUK.6.48	Думу, хулар дивруган, жил дериндиз дирибккну, шибритӏар гъвандиин диву касдиз ухшар ву, фицики, селлер дуфну, шид улубчӏвиган, думу хулар ришвуз гъахьундар, гьаз гъапиш дурар гъвандиин дивнайидар вуди гъахьну.
LUK.6.49	Хъа Йиз гафар ерхьури, дурар тамам дарапӏрайи кас шибритӏар ккадру хулар диву касдиз ухшар ву, фицики шид улубчӏвиган, дурар дишлади ахьну, дармадагъин хьиди.
LUK.7.1	Чахъ хъебехънайидариз пуз ккайи гафар ккудукӏиган, Иса Кафернагьумдиъ учӏвру. 
LUK.7.2	Римдин юзбашийин чаз ккуни сар гъуллугъчи кетӏерццну йикӏру гьялнаъ ади шулу. 
LUK.7.3	Исайикан хабар дубхьну, юзбашийи, чан гъуллугъчи сагъ апӏбан бадали, Думу хъади гъюз жугьдарин агъсакълар гьаъру. 
LUK.7.4	Дурари, Исайихьна дуфну, Дугъкан ижмиди миннат апӏуру:
LUK.7.4	– Му юзбаши Уву кюмек апӏбаз лайикьлу кас ву, 
LUK.7.5	фицики думу кас ич халкь гизаф ккунир ву ва дугъу учуз ккарагру хал тикмиш гъапӏну.
LUK.7.6	Иса дурарихъди гъягъюру. Думу юзбашийин хуларихьна хъуркьради, юзбашийи Исайихьна гьамци пуз чан дустар гьаъру:
LUK.7.6	– Инжиг махьан, Агъа, гьаз гъапиш Уву йиз хулаъ учӏвбаз узу лайикь дарза. 
LUK.7.7	Гьаддиз узу Увухьна гъюзкьан жвув лайикьлур вуди гьисаб гъапӏундарза. Анжагъ Уву саб гаф йип, ва йиз гъуллугъчи сагъ хьиди.
LUK.7.8	Фицики узура жарарин хликк ккайир вуза, ва узуз мютӏюгъ вуйи эскрарра азуз. Дурарикан сариз узу «гъарах» кӏурза – думу гъягъюру, тмунуриз «гъач» кӏурза – гъюру, йиз гъуллугъчийиз «гьамци апӏин» кӏурза, дугъу тамам апӏуру.
LUK.7.9	Му гафар гъеерхьиган, Иса дугъ’ин мюгьтал шулу ва, илдицну, Чан кьяляхъ хъайи халкьдиз кӏуру:
LUK.7.9	– КӀуразачвузки, Израилиъра Аллагьдихъ гьамкьан хъугърайи кас гъяркъюндарзуз.
LUK.7.10	Юзбашийи гьаъдариз, чпи дугъан хулаз хъадакну гъафиган, кетӏерццнайи гъуллугъчи сагъ духьнади рякъюру.
LUK.7.11	Дидхъантина Иса Наин кӏуру шагьриз гъушу. Дугъахъди Чан ученикар ва аьхючӏвеъ халкьра гъягъюри гъахьну. 
LUK.7.12	Хъа Иса шагьрин урнарихьна багахь гъашиган, сар ачӏни хпирин айина-адру бай дукӏну, дугъан майит накьваригъна гъабхуз адабгъури шулу, ва майтихъ хайлин халкьра хъайи. 
LUK.7.13	Агъайиз, балин дада гъяркъиган, язухъ шулу ва дугъаз, мишан, кӏуру. 
LUK.7.14	Хъа багахьна дуфну, Исайи мягьражарик хил катру, майит гъабхурайидар дийигъуру ва Дугъу кӏуру: «Живан! Увуз кӏураза, гъудужв!» 
LUK.7.15	Дукӏнайир за духьну деъру ва улхуз хъюгъру, хъа Исайи думу дадайихьна тувру.
LUK.7.16	Мушв’ин вардарик пис гучӏ кабхъну, Аллагьдин адар апӏури, гьамци кӏури гъахьну:
LUK.7.16	– Ихь арайиз зурба пайгъамбар адахъна, ва Аллагь Чан халкьдин гъайгъушнаъ а.
LUK.7.17	Исайикан гьамциб фикир вари Ягьудия вилаятдиъ ва аьтрафарихъ хъайи миди вуйи юрдариъ рабгъуру.
LUK.7.18	Хъа Ягь’яйиз чан ученикари гьамрар варидарикан ктитуру. 
LUK.7.19	Ягь’яйи, чан ученикарикан кьюриз дих дапӏну, дурар Агъа Исайихьна гьамци гьерхуз гьаъру: «Гъюз ккайи Месигь Уву вуна, даршиш жарариз ккилигуча?»
LUK.7.20	Дурари, Исайихьна дуфну, кӏуру:
LUK.7.20	– Штуан апӏру Ягь’яйи учу Увухьна гьерхуз гьаъна: «Гъюз ккайи Месигь Уву вуна, даршиш жарариз ккилигуча?»
LUK.7.21	Му вахтназ Исайи аьзарарикканна иццрушнариккан гизафдар ккадаъну, жинар кадаъну, аьхючӏвеъ кур вуйидариз акв улупну айи. 
LUK.7.22	Гьаддиз Исайи дурариз жаваб вуди кӏуру:
LUK.7.22	– Душну Ягь’яйиз, учвуз гъяркъдар ва гъеерхьдар кидитай: кур вуйидариз рябкъюра, ликудар лицура, хамран уьзур кайидарин хам марцц шула, кар вуйидариз ебхьура, гъачӏидар чӏиви шула ва касибариз Ужувлан хабар рабгъура. 
LUK.7.23	Шли Уз’ина вуйи хъугъвал дубградарш, думу бахтавар ву.
LUK.7.24	Ягь’яйи гьаъдар гъушхъан, Исайи Ягь’яйикан халкьдиз гьамци кӏуру:
LUK.7.24	– Ичӏи чюлиз фтиз лигуз гъушнийчва? Микӏлу тӏубччвурайи чӏеъдиз лигуз гъушнийчвахъа? 
LUK.7.25	Шлиз лигуз гъушунчва дина? Багьа палтар али касдиз? Хъа дамагънан палтар алахьрудар ва чпиз ккуниси яшамиш шлудар паччгьарин дараматариъ а.
LUK.7.26	Шлиз лигуз гъушунчва учву? Пайгъамбриз лигуз? Ав, кӏуразачвуз, пайгъамбартӏан аьхюриз лигуз гъушунчва. 
LUK.7.27	Гьадму Ягь’яйикан ву гьамци дибикӏнайиб: «Магьа, Яв улихьди Узу Йиз кас гьаъраза: дугъу Яв улихь Яв рякъ ккабалгиди». 
LUK.7.28	КӀуразачвуз: дишагьлийири бабкан гъахидаригъ Ягь’ятӏан зурба кас гъядар; хъа Аллагьдин Паччагьлугъдиъ айидарикан варитӏан бицӏир думутӏан зурба ву.
LUK.7.29	Дугъахъ хъпехъурайи вари халкьди ва налук гъюдюбхрударра кмиди, Ягь’яйин штуан апӏувалиинди цӏийи духьну, Аллагь гьякь вуйиб гардандиъ гъибису. 
LUK.7.30	Хъа фарисйирна къанунчйир, Аллагьдихьан чпиз вуйи ният гьясбикк дарапӏри, Ягь’яйихь штуан гъахьундар.
LUK.7.31	– Гьаму наслин адмийир шлихь тевза ва дурар шлиз ухшар ву? – пну, гьерху Исайи. – 
LUK.7.32	Дурар, чиб-чпиз чӏигъар апӏури, раццариъ гьамци кӏури деънайи бицӏидариз ухшар ву: «Учу учвуз швутӏрамар йивури гъахьунча, хъа учву ялхъвнаркьан гъапӏундарчва; учу учвуз ишлар апӏури гъахьунча, хъа учву ишузкьан гъишундарчва».
LUK.7.33	Штуан апӏру Ягь’я гъафну ва дугъу я уьл ипӏури, ясана чяхир убхъури гъахьундар. Хъа учву: «Дугъаъ жин а», кӏурачва. 
LUK.7.34	Инсаниятдин Бай гъафну, Дугъу ипӏуру ва убхъуру, ва дурари Дугъаз: «Лигай, магьа уьж ва пияниска, налукар гъюдюхрударинна гунагькрарин дуст», кӏурачва. 
LUK.7.35	Аькьюллувал вари аькьюллудари улупну ккун.
LUK.7.36	Фарисйирикан сари Исайикан чан хулаз уьл ипӏуз гъюб теклиф апӏуру. Фарисейин хулаз гъушу Иса гъюн йивну дахъру. 
LUK.7.37	Хъа магьа, гьаму шагьриан вуйи сар гунагькар дишагьлийи, Думу фарисейин хулаъ гъюн йивну дахънайиб аьгъю дубхьну, лизи ругдин гажниъди аьтрин ниъ хъайи ягъсиб хуру ва, 
LUK.7.38	Исайин ликарихъ дийигъну ишури, Дугъан ликар нивгъарихъди кьяши апӏури ва чан кушарихъди марцц апӏури, Дугъан ликариз макар апӏури, гьадму ягъ ктатури шулу.
LUK.7.39	Му ляхин гъябкъиган, теклиф дапӏну, Иса хулаз хъади гъафи фарисейи чав-чакди фикир апӏуру:
LUK.7.39	– Эгер Думу дугъриданра пайгъамбар вуйиш, Чак хилар катрайи дишагьли фуж вуш, Дугъаз аьгъю шлийи. Думу гунагькар даринхъа!
LUK.7.40	Фарисейихьинди илдицну, Исайи дугъаз гъапи:
LUK.7.40	– Я Симон! Увуз кӏуру саб гаф айиз.
LUK.7.40	Дугъу: «Йип, Мялим!» – гъапи.
LUK.7.41	Исайи кӏуру:
LUK.7.41	– Сар пул буржназ туврурихъ кьюр буржлу кас шулу. Дурарикан сар хьудварж динар-пул буржлу вуйи, тмунур – хьцӏур. 
LUK.7.42	Хъа дурарихъ кьяляхъ тувуз пул хътарди хьпаз лигну, дугъу кьюриддизра буржар гьялал апӏуру. Йип ари, гьадму жви гьадрарикан фунуриз артухъди ккун шул?
LUK.7.43	Симонди жаваб тувру:
LUK.7.43	– Аьхю бурж кайириз вушул, пну, фикир апӏураза. Исайи дугъаз: «Ари дюзди фагьум гъапӏунва» кӏуру.
LUK.7.44	Хъа дишагьлийихьинди илдицну, Симондиз гъапи:
LUK.7.44	– Гьаму дишагьли рякъюрануз? Узу яв хулаз гъафунза, уву Узуз ликар жикӏуз шид тувундарва; хъа дугъу Йиз ликар чан нивгъариинди гъижикӏнийиз, чан кушарихьди марцц гъапӏнийиз. 
LUK.7.45	Уву Узуз мак гъапӏундарва, хъа дугъу, Узу гъафихъантина Йиз ликариз сикин дарди макар апӏура. 
LUK.7.46	Уву Йиз кӏулкан ягъ ктатундарва, хъа дугъу Йиз ликарикан ягъ ктатну. 
LUK.7.47	Магьа гьаддиз кӏуразавуз: чан гизаф ккун хьували дугъан аьхючӏвеъ гунгьарилан хил алдабгъурайиб улупура. Хъа шлиз цӏибди багъишламиш’вал тувруш, дугъан ккунивалра цӏибтӏан дар.
LUK.7.48	Дишагьлийиз Исайи кӏуру:
LUK.7.48	– Яв гунгьарилан хил алдабгъна.
LUK.7.49	Хъа дугъан багахь гъюн йивну дахънайидари чиб-чпикди пуз хъюгъю:
LUK.7.49	– Му фуж ву гунгьариланра хил алдабгъуз?
LUK.7.50	Исайи, кӏуруш, дишагьлийиз гъапи:
LUK.7.50	– Яв хъугъували уву гъюрхну, архаин духьну гъарах.
LUK.8.1	Дидхъантина Иса, шагьрариъна гъулариъ, Аллагьдин Паччагьлугъдикан Ужувлан хабар рабгъури, Чан йицӏикьюр ученикарра хъади, лицури гъахьну. 
LUK.8.2	Дурарихъди жинарихьан гъюрхю ва уьзрар сагъ гъапӏу бязи дишагьлийир: чаан ургуб жин удучӏву Магдалайиан вуйи Мар’ям, 
LUK.8.3	Гьироддин мулкар идара апӏурайи Хуздин хпир Югьанна, Сусанна, гьацира чпиз айи-адрубдиинди Дугъан гъайгъу зигурайи жара дишагьлийирра хъади гъахьну.
LUK.8.4	Аьхючӏвеъ халкь уч гъашиган ва вари шагьрариан агьалйир Дугъахьна гъафиган, Исайи тахалусдиинди пуз хъюгъру:
LUK.8.5	– Сар нежбер тум убзуз удучӏвуру. Убзурайиган, гьацӏар удрар рякъюхъ дахьру, малари ликариккан апӏуру ва жакьвари удуру. 
LUK.8.6	Сакьюдар гъван ккайи ругдиин дахьру ва ктучӏвиган ерццуру, гьаз гъапиш дурариз ламушин адарди гъабхьну. 
LUK.8.7	Сакьюдар удрар зазаригъ гъяхьру ва удрартӏан зарбди ктучӏву зазари дурар ккаъру.
LUK.8.8	Хъа сакьюдар авадан ругдик кахьру, ктучӏвиган дурари варжбан артухъ бегьер тувру.
LUK.8.8	Гьамци дупну, Исайи гужал дихниинди гъапи:
LUK.8.8	– Шлин ибариз ебхьураш, гъит ебхьри!
LUK.8.9	Ученикари Дугъхьан гьерхуз хъюгъну:
LUK.8.9	– Му тахалусдин мяна фу ву?
LUK.8.10	Дугъу гъапи:
LUK.8.10	– Учвуз Аллагьдин Паччагьлугъдин сирар аьгъю хьуб тувначвуз, хъа имбудариз му тахалусариътӏан аьгъю хьуб тувнадар. Гьаци вуйиган, лигурашра, дурариз рябкъюрадар ва, ебхьурашра, дурари аннамиш апӏурадар.
LUK.8.11	Му тахалусдин мяна магьа: тумар – Аллагьдин гаф ву. 
LUK.8.12	Рякъ’ина тадахьдар – мурар, чпиз Аллагьдин гаф ебхьурайи, амма чпихьна хъасин иблис дуфну, дурар ебхьурайи гафнахъ хътругъри ва гьаци уьрхювал гъазанмиш дарибшри пну, дурарин кӏваан иблисди гьадму гаф гъабхурайи касар ву. 
LUK.8.13	Хъа гъванариина ахьдар – мурар, Аллагьдин гаф гъеебхьиган, думу шадди кьабул апӏрудар, хъа чпихъ мюгькам ччивар хътарди хьпаз лигну, бязи вахтари хъугърудар, хъа читин гъабшиган, хътругърудар ву. 
LUK.8.14	Хъа зазаригъ гъяхьдар – мурар Аллагьдин гафнахъ хъпехърудар, амма гъайгъушнари, девлетну ва гешт хъапӏбу йисир дапӏну, Аллагьдин гафнахьан гьудучӏврудар ва, гьаддиз, бегьер дархрудар ву. 
LUK.8.15	Хъа авадан ругдиина ахьдар – мурар, Аллагьдин гаф гъеебхьиган, му чпин марцци кӏваъ уьбхрудар ва сабур апӏбиинди бегьер туврудар ву.
LUK.8.16	Исайи хъанара давам апӏуру:
LUK.8.16	– Сарира, чирагъ кабхьну, дид’ин гъаб иливдар вая кроватьдикк ккивдар. Дугъу думу, хулаъ учӏврайидариз акв шлуси, чан йишв’ин дивру. 
LUK.8.17	Фицики ашкар даршлу жиниб фукӏара адар ва, мялум даршиди, арайиз ададабхъру гьич саб сир адар. 
LUK.8.18	Гьаци вуйиган, учву Узухъ дикъатниинди хъебехъай: шлиз аш, дугъаз хъана тувди; хъа шлиз адарш, айибдихьна хьибдизуз кӏурубра тадабгъиди.
LUK.8.19	Исайихьна дадана чвйир гъюру ва дурар, халкь гизаф ади хьпаз лигну, Дугъахьна багахь хьуз даршули айи. 
LUK.8.20	Хъа Исайиз: «Яв дадана чвйир, Уву рякъюз ккунди, чӏат дийигъна», – кӏури, хабар тувру. 
LUK.8.21	Дугъу дурариз жаваб вуди кӏуру:
LUK.8.21	– Йиз дадана чвйир, Аллагьдин гафнахъ хъпехърудар ва думу тамам апӏрудар вуйиз.
LUK.8.22	Сад йигъан Дугъу, Чан ученикарра хъади люткейиъ эъну, дурариз гъапи:
LUK.8.22	– Гьюлин тмуну гъирагъдихъна сирнав апӏидихьа.
LUK.8.22	Дурар люткейиъди гъушу. 
LUK.8.23	Сирнав апӏурайиган, Иса нивкӏуз гъягъюру. Гьюл’ина гужал тӏурфан утӏубччвну, лепйири лютке ккапӏуз хъюгъру, ва дурар хатӏалу гьялнаъ ахьру. 
LUK.8.24	Дурар, Исайихьна дуфну, Думу нивкӏ’ан хъиргну кӏуру:
LUK.8.24	– Мялим! Мялим! Батмиш шулахьу!
LUK.8.24	Хъа Дугъу, гъудужвну микӏлаз ва штун лепйириз гъадагъа апӏуру, ва дурар лал шулу, архаинвал абхъру. 
LUK.8.25	Гьадмуган Исайи дурариз гъапну:
LUK.8.25	– Хъугъ’вал набшдичв?
LUK.8.25	Дурари, гучӏ кабхъну ва мюгьтал духьну, чиб-чпиз кӏури гъахьну:
LUK.8.25	– Му фуж вуйкӏан, микӏаризра, штузра амур апӏрур, ва дурар Мугъаз мютӏюгъра шула?
LUK.8.26	Хъа дурари Галилей уьлкейин гъаншариъ айи Герасин юрдназ сирнав апӏуру. 
LUK.8.27	Иса гъирагъдихъна ктучӏвиган, Дугъахьна ухдихъанмина жинар кайи сар кас гъюру. Думу, учв шагьриан вушра, палтар алалахьди, хулаъ ваъ, хъа накьварин хьарар-дюрхъяригъ яшамиш шулайир вуйи.
LUK.8.28+LUK.8.29	Жин гагь-гагьнак кубчӏвруган, дугъан хилар-ликар зунжрарихьди ва гьялкьйирихьди йитӏуйи, амма дерккуз даршули, дурар кьатӏар апӏуйи, жинди думу аьсси апӏуйи, хъа чӏурариз гьергуйи. Исайи чиркин рюгьназ, мугъ’ан удубчӏв пну, амур апӏуру. Иса гъяркъиган, дугъ’ан чӏигъ утӏубччвуру ва, Дугъан улихьна ккадакну, зарбди кӏуру:
