GEN.1.1	Mu ntangiriro Imana yaremye ijuru n'isi. 
NUM.23.14	Amujyana ahirengeye
NUM.23.15	Balāmu abwira Balaki ati: “Guma iruhande rw'ibitambo byawe bikongorwa n'umuriro, nanjye ngiye hariya hirya guhanūza Uhoraho.”
NUM.23.16	Uhoraho aha Balāmu ubutumwa kugira ngo abushyikirize Balaki. 
NUM.23.17	Balāmu asanga Balaki ahagararanye n'abatware b'Abamowabu, iruhande rw'ibitambo bye bikongorwa n'umuriro. Balaki aramubaza ati: “Uhoraho avuze iki?”
NUM.23.18	Balāmu arahanura ati:
NUM.23.18	“Balaki we, haguruka wumve,
NUM.23.18	mwene Sipori, ntega amatwi.
NUM.23.19	Imana si umuntu kugira ngo ibeshye,
NUM.23.19	si n'ikiremwamuntu kugira ngo yisubireho.
NUM.23.19	Nta cyo ivuga ngo ibure kugikora,
NUM.23.19	icyo isezeranye iragisohoza.
NUM.23.20	Yantegetse guhesha Abisiraheli umugisha,
NUM.23.20	yarawubahaye, sinabihindura.
NUM.23.21	Ntihakabeho ibyago mu bakomoka kuri Yakobo,
NUM.23.21	umubabaro ntukarangwe
NUM.23.21	Uhoraho Imana yabo abe hamwe na bo,
NUM.23.21	ni we mwami bavugiriza impundu.
NUM.23.22	Imana yabakuye mu Misiri,
NUM.23.22	nibahe imbaraga nk'iz'imbogo.
NUM.23.23	Nta bupfumu bwagira icyo butwara abakomoka
NUM.23.23	nta n'umutukīro wafata Abisiraheli
NUM.23.23	Kuva ubu abantu bazatangara bati:
NUM.23.23	‘Dore ibyo Imana yakoreye Abisiraheli!
NUM.23.24	Ni ubwoko bubaduka nk'intare y'ingore,
NUM.23.24	buvumbuka nk'intare y'ingabo,
NUM.23.24	ntiryama itararya umuhigo,
NUM.23.24	ntiryama itaranywa amaraso y'icyo yishe.’ ”
NUM.23.25	Balaki abwira Balāmu ati: “Niba udashoboye kubavuma, nibura wibasabira umugisha!”
NUM.23.26	Balāmu aramusubiza ati: “Mbese sinakubwiye nti: ‘Icyo Uhoraho avuga ni cyo ndi bukore?’ ”
NUM.23.27	Balaki abwira Balāmu ati: “Ngwino nkujyane ahandi hantu. Ahari Imana irakunda ko ubamvumira.” 
NUM.23.28	Balaki amujyana mu mpinga ya Pewori ahitegeye ubutayu. 
NUM.23.29	Balāmu abwira Balaki kumwubakishiriza aho hantu intambiro ndwi, no kumushakira ibimasa birindwi n'amapfizi y'intama arindwi. 
NUM.23.30	Balaki abigenza nk'uko Balāmu abivuze, atambira kuri buri rutambiro ikimasa n'impfizi y'intama.
NUM.24.1	Balāmu abonye ko Uhoraho ashaka guha Abisiraheli umugisha, ntiyajya guhanūza nka mbere, ahubwo arahindukira areba mu butayu, 
NUM.24.2	abona Abisiraheli bashinze amahema bakurikije imiryango yabo. Mwuka w'Imana amuzaho, 
NUM.24.3	maze Balāmu arahanura ati:
NUM.24.3	“Nimwumve ubutumwa bwa Balāmu mwene Bewori,
NUM.24.3	nimwumve ubutumwa bw'umuntu ubonekerwa.
NUM.24.4	Ni ubutumwa bw'umuntu wumva amagambo y'Imana,
NUM.24.4	ni umuntu wabonekewe na Nyirububasha,
NUM.24.4	ni umuntu utwarwa mu iyerekwa akareba.
NUM.24.5	“Mbega ngo amahema y'abakomoka kuri Yakobo araba meza!
NUM.24.5	Mbega ukuntu amahema y'Abisiraheli ashinze neza!
NUM.24.6	Bazamera nk'imigezi itemba mu bikombe,
NUM.24.6	bazamera nk'imirima yegereye uruzi,
NUM.24.6	bazamera nk'ibiti by'imisagavu
NUM.24.6	bazamera nk'amasederi yameze iruhande rw'amazi.
NUM.24.7	Amariba yabo ntazakama,
NUM.24.7	imbuto batera ntizizabura amazi yo kuzivomēra.
NUM.24.7	Umwami wabo azarusha Agagi
NUM.24.7	ubwami bwabo buzashyirwa hejuru.
NUM.24.8	Imana yabakuye mu Misiri,
NUM.24.8	izabaha imbaraga nk'iz'imbogo.
NUM.24.8	Amahanga abarwanya bazayamira bunguri,
NUM.24.8	bazamenagura amagufwa yayo,
NUM.24.8	bazayarasa imyambi bayahamye.
NUM.24.9	Bazaryama nk'intare y'ingabo ihāze,
NUM.24.9	uzabashotōra azabona ishyano!
NUM.24.9	Uzabasabira umugisha na we azawuhabwe,
NUM.24.9	uzabavuma na we azavumwe!”
NUM.24.10	Balaki arakarira Balāmu cyane akubita agatoki ku kandi, aramubwira ati: “Nagutumiriye kuvuma abanzi banjye, none ubahesheje umugisha incuro eshatu! 
NUM.24.11	Hoshi subira iwanyu! Nari nakubwiye ko nzaguhemba bishimishije, none Uhoraho arabikuvukije.”
NUM.24.12	Balāmu aramusubiza ati: “Nabwiye abo wantumyeho ko 
NUM.24.13	naho wampa ifeza n'izahabu byuzuye ingoro yawe, ntaca ku itegeko ry'Uhoraho. Ku bwanjye sinshobora gutanga umugisha cyangwa kuvuma, ngomba kuvuga gusa icyo Uhoraho ambwiye.
NUM.24.14	Ariko ntarasubira iwacu, reka nkumenyeshe uko Abisiraheli bazagenza ubwoko bwawe mu bihe bizaza.” 
NUM.24.15	Nuko Balāmu arahanura ati:
NUM.24.15	“Nimwumve ubutumwa bwa Balāmu mwene Bewori,
NUM.24.15	nimwumve ubutumwa bw'umuntu ubonekerwa.
NUM.24.16	Ni ubutumwa bw'umuntu wumva amagambo y'Imana,
NUM.24.16	ni umuntu usobanukiwe n'ubwenge bw'Isumbabyose,
NUM.24.16	ni umuntu wabonekewe na Nyirububasha,
NUM.24.16	ni umuntu utwarwa mu iyerekwa akareba.
NUM.24.17	“Ndareba umuntu wo mu gihe kizaza,
NUM.24.17	ndamwitegereza ariko aracyari kure.
NUM.24.17	Azakomoka kuri Yakobo,
NUM.24.17	arabagirana nk'inyenyeri,
NUM.24.17	ni umwami uzakomoka kuri Isiraheli.
NUM.24.17	Azamena imitwe y'Abamowabu,
NUM.24.17	azarimbura Abasheti
NUM.24.18	Azigarurira igihugu cy'abanzi be b'Abedomu,
NUM.24.18	azigarurira imisozi yabo y'i Seyiri,
NUM.24.18	Abisiraheli bazakomera.
NUM.24.19	Uzakomoka kuri Yakobo azategeka ibyo bihugu,
NUM.24.19	azarimbura abacitse ku icumu bo mu mijyi yabyo.”
NUM.24.20	Balāmu yeretswe iby'Abamaleki, arahanura ati:
NUM.24.20	“Abamaleki barusha andi mahanga gukomera,
NUM.24.20	ariko amaherezo bazarimbuka.”
NUM.24.21	Yeretswe n'iby'Abakeni, arahanura ati:
NUM.24.21	“Aho mutuye harakomeye,
NUM.24.21	hameze nk'icyari kiri ahirengeye ku rutare.
NUM.24.22	Ariko Abakeni bazakongorwa n'umuriro,
NUM.24.22	Abanyashūru bazabajyana ho iminyago.”
NUM.24.23	Arongera arahanura ati:
NUM.24.23	“Mbega ishyano!
NUM.24.23	Imana nikora ibyo, ni nde uzashobora kurokoka?
NUM.24.24	Abanyashipure bazambuka inyanja,
NUM.24.24	bazatsinda Abanyashūru n'abakomoka kuri Eberi,
NUM.24.24	nyamara Abanyashipure na bo bazarimbuka.”
NUM.24.25	Hanyuma Balāmu yisubirira iwabo, Balaki na we asubira iwe.
NUM.25.1	Igihe Abisiraheli bari i Shitimu
NUM.25.2	Abamowabu batambiraga imana zabo ibitambo, Abamowabukazi bagatumira Abisiraheli kugira ngo baze kwifatanya na bo. Abisiraheli basangiye na bo inyama z'ibyo bitambo, kandi baramya imana zabo. 
NUM.25.3	Bityo Abisiraheli bayoboka ikigirwamana Bāli y'i Pewori, birakaza Uhoraho cyane. 
NUM.25.4	Abwira Musa ati: “Koranya abatware bose b'Abisiraheli, ubamanike
NUM.25.5	Musa abwira abacamanza b'Abisiraheli ati: “Abo mu bantu mushinzwe bayobotse Bāli y'i Pewori, mubice!”
NUM.25.6	Abisiraheli bakiri imbere y'Ihema ry'ibonaniro baririra abishwe, umugabo w'Umwisiraheli azana Umumidiyanikazi mu nkambi, Musa n'abandi Bisiraheli babireba. 
NUM.25.7	Finehasi mwene Eleyazari mwene Aroni umutambyi abibonye, ahaguruka mu ikoraniro ajya gushaka icumu. 
NUM.25.8	Yinjira mu ihema ry'uwo Mwisiraheli amusanga aho yari aryamanye n'uwo mugore, abatera icumu rirabahinguranya. Nuko icyorezo cyari cyateye Abisiraheli kirashira. 
NUM.25.9	Icyo cyorezo cyishe abantu ibihumbi makumyabiri na bine.
NUM.25.10	Hanyuma Uhoraho abwira Musa ati: 
NUM.25.11	“Finehasi mwene Eleyazari mwene Aroni umutambyi yafushye mu cyimbo cyanjye, ntiyihanganira ko Abisiraheli banyimūra. Ni we watumye ndeka kubarakarira, naho ubundi mba nabatsembye. 
NUM.25.12	None umubwire ko musezeranyije kuzamuha amahoro. 
NUM.25.13	Kubera ko yandwaniye ishyaka agahongerera Abisiraheli, musezeranyije ko we n'abazamukomokaho bazaba abatambyi uko ibihe bihaye ibindi.”
NUM.25.14	Umwisiraheli wicanywe n'Umumidiyanikazi, yitwaga Zimuri mwene Salu, umwe mu batware b'amazu y'Abasimeyoni. 
NUM.25.15	Umumidiyanikazi bicanywe, yitwaga Kozibi mwene Suri, wari umwe mu batware b'amazu y'Abamidiyani.
NUM.25.16	Nuko Uhoraho abwira Musa ati: 
NUM.25.17	“Nimutere Abamidiyani mubice. 
NUM.25.18	Ni bo banzi babashutse
NUM.26.1	Nyuma y'icyo cyorezo, Uhoraho abwira Musa na Eleyazari mwene Aroni umutambyi ati: 
NUM.26.2	“Nimubarure Abisiraheli bose mukurikije amazu yabo, muhereye ku bafite imyaka makumyabiri bashobora kujya ku rugamba.”
NUM.26.3	Musa n'umutambyi Eleyazari babibwirira Abisiraheli mu kibaya cya Mowabu, iburasirazuba bw'uruzi rwa Yorodani, ahateganye n'i Yeriko. 
NUM.26.4	Babigenza nk'uko Uhoraho yabitegetse Musa.
NUM.26.4	Dore imiryango y'Abisiraheli yavuye mu Misiri.
NUM.26.5	Umuryango wa Rubeni impfura ya Yakobo wari ugizwe n'amazu akurikira: Abahanoki bakomoka kuri Hanoki, n'Abapalu bakomoka kuri Palu. 
NUM.26.6	Abahesironi bakomoka kuri Hesironi, n'Abakarumi bakomoka kuri Karumi. 
NUM.26.7	Ayo ni yo mazu y'Abarubeni, yari agizwe n'abagabo ibihumbi mirongo ine na bitatu na magana arindwi mirongo itatu. 
NUM.26.8	Abakomoka kuri Palu ni Eliyabu, 
NUM.26.9	n'abahungu be Nemuweli na Datani na Abiramu. Datani na Abiramu ni bo bari bahagarariye Abisiraheli bigometse kuri Musa na Aroni. Bari bafatanyije na Kōra kugomera Uhoraho, 
NUM.26.10	ubutaka burasaduka burabamira, bapfira rimwe na Kōra na bagenzi be magana abiri na mirongo itanu bakongowe n'umuriro. Ibyo byabereyeho kuburira abandi. 
NUM.26.11	Ariko abakomoka kuri Kōra bo ntibishwe.
NUM.26.12	Umuryango wa Simeyoni wari ugizwe n'amazu akurikira: Abanemuweli bakomoka kuri Nemuweli, n'Abayamini bakomoka kuri Yamini, n'Abayakini bakomoka kuri Yakini. 
NUM.26.13	Abazera bakomoka kuri Zera, n'Abashawuli bakomoka kuri Shawuli. 
NUM.26.14	Ayo ni yo mazu y'Abasimeyoni, yari agizwe n'abagabo ibihumbi makumyabiri na bibiri na magana abiri.
NUM.26.15	Umuryango wa Gadi wari ugizwe n'amazu akurikira: Abasefoni bakomoka kuri Sefoni, n'Abahagi bakomoka kuri Hagi, n'Abashuni bakomoka kuri Shuni. 
NUM.26.16	Abozini bakomoka kuri Ozini, n'Aberi bakomoka kuri Eri. 
NUM.26.17	Abarodi bakomoka kuri Arodi, n'Abarēli bakomoka kuri Arēli. 
NUM.26.18	Ayo ni yo mazu y'Abagadi, yari agizwe n'abagabo ibihumbi mirongo ine na magana atanu.
NUM.26.19	Abahungu babiri ba Yuda, Eri na Onani, bapfiriye mu gihugu cya Kanāni. 
NUM.26.20	Ni yo mpamvu umuryango wa Yuda wari ugizwe n'amazu akurikira: Abashela bakomoka kuri Shela, n'Abazera bakomoka kuri Zera, n'Abaperesi bakomoka kuri Perēsi. 
NUM.26.21	Mu Baperēsi harimo Abahesironi bakomoka kuri Hesironi, n'Abahamuli bakomoka kuri Hamuli. 
NUM.26.22	Ayo ni yo mazu y'Abayuda, yari agizwe n'abagabo ibihumbi mirongo irindwi na bitandatu na magana atanu.
NUM.26.23	Umuryango wa Isakari wari ugizwe n'amazu akurikira: Abatola bakomoka kuri Tola, n'Abapuwa bakomoka kuri Puwa. 
NUM.26.24	Abayashubu bakomoka kuri Yashubu, n'Abashimuroni bakomoka kuri Shimuroni. 
NUM.26.25	Ayo ni yo mazu y'Abisakari, yari agizwe n'abagabo ibihumbi mirongo itandatu na bine na magana atatu.
NUM.26.26	Umuryango wa Zabuloni wari ugizwe n'amazu akurikira: Abaseredi bakomoka kuri Seredi, n'Abeloni bakomoka kuri Eloni, n'Abayahilēli bakomoka kuri Yahilēli. 
NUM.26.27	Ayo ni yo mazu y'Abazabuloni, yari agizwe n'abagabo ibihumbi mirongo itandatu na magana atanu.
NUM.26.28	Yozefu yari afite abahungu babiri, Manase na Efurayimu. 
NUM.26.29	Umuryango wa Manase wari ugizwe n'amazu akurikira: Abamakiri bakomoka kuri Makiri, n'Abagileyadi bakomoka kuri Gileyadi mwene Makiri. 
NUM.26.30	Abagileyadi bari bagizwe n'amazu akurikira: Abayezeri bakomoka kuri Yezeri, n'Abaheleki bakomoka kuri Heleki. 
NUM.26.31	Abasiriyēli bakomoka kuri Asiriyēli, n'Abashekemu bakomoka kuri Shekemu. 
NUM.26.32	Abashemida bakomoka kuri Shemida, n'Abaheferi bakomoka kuri Heferi. 
NUM.26.33	Selofehadi mwene Heferi nta bahungu yabyaye, yabyaye abakobwa gusa. Abakobwa be bitwaga Mahila na Nowa na Hogila, na Milika na Tirusa. 
NUM.26.34	Ayo ni yo mazu y'Abamanase, yari agizwe n'abagabo ibihumbi mirongo itanu na bibiri na magana arindwi.
NUM.26.35	Umuryango wa Efurayimu wari ugizwe n'amazu akurikira: Abashutela bakomoka kuri Shutela, n'Ababekeri bakomoka kuri Bekeri, n'Abatahani bakomoka kuri Tahani. 
NUM.26.36	Mu Bashutela harimo Aberani bakomoka kuri Erani. 
NUM.26.37	Ayo ni yo mazu y'Abefurayimu, yari agizwe n'abagabo ibihumbi mirongo itatu na bibiri na magana atanu.
NUM.26.37	Ngabo abakomoka kuri Yozefu hakurikijwe amazu yabo.
NUM.26.38	Umuryango wa Benyamini wari ugizwe n'amazu akurikira: Ababela bakomoka kuri Bela, n'Abashibeli bakomoka kuri Ashibeli, n'Abahiramu bakomoka kuri Ahiramu. 
NUM.26.39	Abashufamu bakomoka kuri Shufamu, n'Abahufamu bakomoka kuri Hufamu. 
NUM.26.40	Mu Babela harimo Abaridi bakomoka kuri Aridi, n'Abanāmani bakomoka kuri Nāmani. 
NUM.26.41	Ayo ni yo mazu y'Ababenyamini, yari agizwe n'abagabo ibihumbi mirongo ine na bitanu na magana atandatu.
NUM.26.42	Umuryango wa Dani wari ugizwe n'inzu y'Abashuhamu bakomoka kuri Shuhamu. 
NUM.26.43	Inzu y'Abashuhamu yari igizwe n'abagabo ibihumbi mirongo itandatu na bine na magana ane.
NUM.26.44	Umuryango wa Ashēri wari ugizwe n'amazu akurikira: Abayimuna bakomoka kuri Yimuna, n'Abayishiwi bakomoka kuri Yishiwi, n'Ababeriya bakomoka kuri Beriya. 
NUM.26.45	Mu Baberiya harimo Abaheberi bakomoka kuri Heberi, n'Abamalikiyeli bakomoka kuri Malikiyeli. 
NUM.26.46	Ashēri yari afite n'umukobwa witwa Sera. 
NUM.26.47	Ayo ni yo mazu y'Abashēri, yari agizwe n'abagabo ibihumbi mirongo itanu na bitatu na magana ane.
NUM.26.48	Umuryango wa Nafutali wari ugizwe n'amazu akurikira: Abayahisēli bakomoka kuri Yahisēli, n'Abaguni bakomoka kuri Guni. 
NUM.26.49	Abayeseri bakomoka kuri Yeseri, n'Abashilemu bakomoka kuri Shilemu. 
NUM.26.50	Ayo ni yo mazu y'Abanafutali, yari agizwe n'abagabo ibihumbi mirongo ine na bitanu na magana ane.
NUM.26.51	Abagabo bose b'Abisiraheli babaruwe, bari ibihumbi magana atandatu na kimwe na magana arindwi mirongo itatu.
NUM.26.52	Uhoraho abwira Musa ati: 
NUM.26.53	“Ngiyo imiryango izagabana igihugu cya Kanāni, bakurikije umubare w'abari muri buri muryango. 
NUM.26.54	Umuryango munini uzahabwe umugabane munini, umuryango muto uhabwe umugabane muto, hakurikijwe ababaruwe. 
NUM.26.55	Buri muryango uzahabwe umugabane hakoreshejwe ubufindo, 
NUM.26.56	kugira ngo bamenye ahazatuzwa imiryango minini cyangwa imito.”
NUM.26.57	Umuryango wa Levi na wo warabaruwe. Wari ugizwe n'amazu akurikira: Abagerishoni bakomoka kuri Gerishoni, n'Abakehati bakomoka kuri Kehati, n'Abamerari bakomoka kuri Merari. 
NUM.26.58	Muri ayo mazu harimo n'Abalibuni n'Abaheburoni, n'Abamahili n'Abamushi n'Abakōra. Kehati yabyaye Amuramu. 
NUM.26.59	Amuramu uwo arongora Yokebedi, umukobwa Levi yabyariye mu Misiri. Yokebedi na Amuramu babyaranye Aroni na Musa, na mushiki wabo Miriyamu. 
NUM.26.60	Aroni yabyaye Nadabu na Abihu, na Eleyazari na Itamari, 
NUM.26.61	ariko Nadabu na Abihu bishwe bazize kuzana imbere y'Uhoraho umuriro udakwiye. 
NUM.26.62	Abalevi b'igitsinagabo bose bamaze ukwezi n'abakurengeje, bari ibihumbi makumyabiri na bitatu. Ntibabaruwe kimwe n'abandi Bisiraheli, kubera ko nta mugabane w'ubutaka bagombaga kubona.
NUM.26.63	Ngiryo ibarura Musa n'umutambyi Eleyazari bakoze igihe Abisiraheli bari mu kibaya cya Mowabu, iburasirazuba bw'uruzi rwa Yorodani, ahateganye n'i Yeriko. 
NUM.26.64	Mu babaruwe icyo gihe, nta muntu n'umwe mu babaruwe na Musa n'umutambyi Aroni mu butayu bwa Sinayi wari ukiriho, 
NUM.26.65	uretse Kalebu mwene Yefune na Yozuwe mwene Nuni. Abandi bose bari baraguye mu butayu, nk'uko Uhoraho yari yarabivuze.
NUM.27.1	Mahila na Nowa na Hogila, na Milika na Tirusa bari abakobwa ba Selofehadi mwene Heferi, mwene Gileyadi mwene Makiri, mwene Manase mwene Yozefu. 
NUM.27.2	Abo bakobwa baza imbere ya Musa n'umutambyi Eleyazari n'abatware n'ikoraniro ryose, ku muryango w'Ihema ry'ibonaniro baravuga bati: 
NUM.27.3	“Data yapfiriye mu butayu nta bahungu asize. Yapfuye azize ibyaha bye, ariko ntiyari mu bafatanyije na Kōra kugomera Uhoraho. 
NUM.27.4	Ntibikwiye rero ko inzu ya data izima kubera ko atabyaye abahungu. Nimuduhe gakondo kimwe na bene wacu.”
NUM.27.5	Musa ashyikiriza Uhoraho ikibazo cyabo. 
NUM.27.6	Uhoraho aramusubiza ati: 
NUM.27.7	“Ibyo abakobwa ba Selofehadi bavuga bifite ishingiro, ubahe ibyari kuba ibya se, bagire gakondo kimwe na bene wabo. 
NUM.27.8	Kandi ubwire Abisiraheli ko umuntu napfa adasize umuhungu, gakondo ye izajya ihabwa umukobwa we. 
NUM.27.9	Niba nta mukobwa afite, gakondo ye ijye ihabwa abavandimwe be. 
NUM.27.10	Niba nta bavandimwe afite, ijye ihabwa ba se wabo. 
NUM.27.11	Niba nta se wabo afite, ijye ihabwa uwo bafitanye isano ya bugufi abe ari we uyiragwa. Ibibazo nk'ibyo Abisiraheli bajye babikemura batyo.” Uko ni ko Uhoraho yategetse Musa.
NUM.27.12	Uhoraho abwira Musa ati: “Uzazamuke ujye mu mpinga y'uriya musozi wo mu bisi bya Abarīmu, uterere amaso witegereze igihugu nahaye Abisiraheli. 
NUM.27.13	Numara kucyitegereza uzapfa nka mukuru wawe Aroni, 
NUM.27.14	kubera ko mutanyumviye ngo mwereke Abisiraheli ubuziranenge bwanjye, cya gihe banyijujutiraga babuze amazi i Meriba.” Meriba ni ya sōko yo hafi y'i Kadeshi mu butayu bwa Tsini.
NUM.27.15	Nuko Musa abwira Uhoraho ati: 
NUM.27.16	“Uhoraho Mana, ni wowe ubeshaho abo waremye. Shyiraho umuntu wo kuyobora Abisiraheli 
NUM.27.17	mu gihe bazaba bari mu ngendo, cyangwa bagabye igitero cyangwa bavuye ku rugamba, be kuba nk'intama zitagira umushumba.”
NUM.27.18+NUM.27.19	Uhoraho asubiza Musa ati: “Nahaye Yozuwe mwene Nuni Mwuka wanjye
NUM.27.20	Umuhe ku butegetsi bwawe kugira ngo Abisiraheli bose bamwumvire. 
NUM.27.21	Yozuwe na we ajye yiyambaza umutambyi Eleyazari kugira ngo amenye icyo nshaka, kandi angishe inama akoresheje Urimu
NUM.27.22	Musa abigenza nk'uko Uhoraho yamutegetse, ahagarika Yozuwe imbere y'umutambyi Eleyazari n'Abisiraheli bose, 
NUM.27.23	amurambikaho ibiganza. Musa atangaza ko ari we uzamusimbura nk'uko Uhoraho yari yabimutegetse.
NUM.28.1	Uhoraho ategeka Musa 
NUM.28.2	kubwira Abisiraheli ati: “Mu bihe byategetswe mujye munzanira ibyokurya by'amaturo atwikwa, kugira ngo impumuro yayo inshimishe. 
NUM.28.3	Dore amaturo atwikwa muzajya muntura: buri munsi mujye muzana abana b'intama babiri badafite inenge kandi batarengeje umwaka, mubanture ho igitambo gikongorwa n'umuriro. 
NUM.28.4	Umwe mujye muwutamba mu gitondo, undi nimugoroba, 
NUM.28.5	muwuturane n'ikiro cy'ifu ivanze na litiro y'amavuta y'iminzenze. 
NUM.28.6	Ibyo bitambo bikongorwa n'umuriro bya buri munsi, byatambiwe bwa mbere ku musozi wa Sinayi. Ni amaturo atwikwa, impumuro yayo ikanshimisha. 
NUM.28.7	Igihe mutamba umwana w'intama mu gitondo mujye muntura n'ituro risukwa, musuke litiro ya divayi mu rugo rw'Ihema ryanjye. 
NUM.28.8	N'igihe mutamba umwana w'intama nimugoroba, mujye mwongera munture ituro ry'ibinyampeke n'irisukwa. Impumuro y'ayo maturo atwikwa iranshimisha.
NUM.28.9	“Ku munsi w'isabato, mujye muntura abana b'intama babiri badafite inenge kandi batarengeje umwaka, n'ibiro bibiri by'ifu ivanze n'amavuta n'ituro risukwa ryabigenewe. 
NUM.28.10	Ibyo bitambo byo ku isabato mujye mubyongera ku bisanzwe bya buri munsi, no ku maturo asukwa yabigenewe.
NUM.28.11	“Ku itariki ya mbere ya buri kwezi, mujye muntura ibimasa bibiri n'impfizi y'intama, n'abana b'intama barindwi batarengeje umwaka, byose bidafite inenge, mubitambe ho ibitambo bikongorwa n'umuriro. 
NUM.28.12	Buri tungo mujye muriturana n'ituro ry'ibinyampeke, ry'ifu ivanze n'amavuta y'iminzenze ku buryo bukurikira: buri kimasa mujye mugiturana n'ibiro bitatu by'ifu, impfizi y'intama muyiturane n'ibiro bibiri, 
NUM.28.13	naho buri mwana w'intama muwuturane n'ikiro kimwe. Impumuro y'ibyo bitambo bikongorwa n'umuriro n'amaturo atwikwa iranshimisha. 
NUM.28.14	Buri tungo kandi mujye muriturana n'ituro risukwa rya divayi ku buryo bukurikira: buri kimasa mujye mugiturana na litiro ebyiri, impfizi y'intama muyiturane na litiro imwe n'igice, naho buri mwana w'intama muwuturane na litiro imwe. Ibyo ni byo bitambo muzajya muntambira ku itariki ya mbere ya buri kwezi. 
NUM.28.15	Uwo munsi mujye muntura n'isekurume y'ihene y'igitambo cyo guhongerera ibyaha, muyongere ku bitambo bikongorwa n'umuriro bya buri munsi, no ku maturo asukwa yabigenewe.
NUM.28.16	“Ku itariki ya cumi n'enye y'ukwezi kwa mbere mujye munyizihiriza Pasika. 
NUM.28.17	Naho ku itariki ya cumi n'eshanu y'uko kwezi, mutangire kwizihiza iminsi mikuru y'imigati idasembuye imara iminsi irindwi. 
NUM.28.18	Mujye muyitangiza ikoraniro ryo kunsenga, mwe kugira imirimo mukora uwo munsi. 
NUM.28.19	Mujye munzanira aya maturo atwikwa: ibimasa bibiri n'impfizi y'intama, n'abana b'intama barindwi batarengeje umwaka, byose bidafite inenge, mubitambe ho ibitambo bikongorwa n'umuriro. 
NUM.28.20	Buri tungo mujye muriturana n'ituro ry'ibinyampeke ry'ifu ivanze n'amavuta ku buryo bukurikira: buri kimasa mujye mugiturana n'ibiro bitatu by'ifu, impfizi y'intama muyiturane n'ibiro bibiri, 
NUM.28.21	naho buri mwana w'intama muwuturane n'ikiro kimwe. 
NUM.28.22	Uwo munsi mujye muntura n'isekurume y'ihene y'igitambo cyo guhongerera ibyaha byanyu. 
NUM.28.23	Ibyo bitambo mujye mubyongera ku gitambo gikongorwa n'umuriro gisanzwe cy'icyo gitondo. 
NUM.28.24	Muri iyo minsi uko ari irindwi, mujye muntura ibyokurya by'amaturo atwikwa. Impumuro yayo iranshimisha. Mujye mubyongera ku bitambo bikongorwa n'umuriro bya buri munsi, no ku maturo asukwa yabigenewe. 
NUM.28.25	Ku munsi wa karindwi, mujye mukora irindi koraniro ryo kunsenga, mwe kugira imirimo mukora.
NUM.28.26	“Ku munsi mukuru w'isarura ry'ibinyampeke, mujye mukora ikoraniro ryo kunsenga, munture n'ituro ry'umuganura w'ibinyampeke, mwe kugira imirimo mukora. 
NUM.28.27	Mujye muntura n'ibimasa bibiri n'impfizi y'intama, n'abana b'intama barindwi batarengeje umwaka, mubitambe ho ibitambo bikongorwa n'umuriro. 
NUM.28.28	Buri tungo mujye muriturana n'ituro ry'ibinyampeke ry'ifu ivanze n'amavuta ku buryo bukurikira: buri kimasa mujye mugiturana n'ibiro bitatu by'ifu, impfizi y'intama muyiturane n'ibiro bibiri, 
NUM.28.29	naho buri mwana w'intama muwuturane n'ikiro kimwe. 
NUM.28.30	Mujye muntura n'isekurume y'ihene y'igitambo cyo guhongerera ibyaha byanyu. 
NUM.28.31	Ayo matungo yose agomba kuba adafite inenge. Ibyo bitambo mujye mubyongera ku bitambo bikongorwa n'umuriro bya buri munsi, no ku maturo y'ibinyampeke n'asukwa yabigenewe.”
NUM.29.1	Uhoraho akomeza kubwira Musa ati: “Ku itariki ya mbere y'ukwezi kwa karindwi
NUM.29.2	Mujye muntura ikimasa n'impfizi y'intama, n'abana b'intama barindwi batarengeje umwaka, byose bidafite inenge, mubitambe ho ibitambo bikongorwa n'umuriro. Impumuro yabyo iranshimisha. 
NUM.29.3	Buri tungo mujye muriturana n'ituro ry'ibinyampeke ry'ifu ivanze n'amavuta y'iminzenze ku buryo bukurikira: ikimasa mujye mugiturana n'ibiro bitatu by'ifu, impfizi y'intama muyiturane n'ibiro bibiri, 
NUM.29.4	naho buri mwana w'intama muwuturane n'ikiro kimwe. 
NUM.29.5	Mujye muntura n'isekurume y'ihene y'igitambo cyo guhongerera ibyaha byanyu. 
NUM.29.6	Mujye mubyongera ku bitambo bikongorwa n'umuriro bya buri kwezi n'ibya buri munsi, no ku maturo y'ibinyampeke n'asukwa yabigenewe. Impumuro y'ayo maturo atwikwa iranshimisha.
NUM.29.7	“Ku itariki ya cumi y'uko kwezi kwa karindwi ntimukagire imirimo mukora, ahubwo mujye mwigomwa kurya, mukore ikoraniro ryo kunsenga. 
NUM.29.8	Mujye muntura ikimasa n'impfizi y'intama, n'abana b'intama barindwi batarengeje umwaka, byose bidafite inenge, mubitambe ho ibitambo bikongorwa n'umuriro. Impumuro yabyo iranshimisha. 
NUM.29.9	Buri tungo mujye muriturana n'ituro ry'ibinyampeke ry'ifu ivanze n'amavuta ku buryo bukurikira: ikimasa mujye mugiturana n'ibiro bitatu by'ifu, impfizi y'intama muyiturane n'ibiro bibiri, 
NUM.29.10	naho buri mwana w'intama muwuturane n'ikiro kimwe. 
