GEN.1.1	Dəkəcop, kɔ Kanu kəwurɛ kɔm k'antɔf. 
GEN.47.11	Kɔ Isifu ɛndəs papa kɔn kɔ awɛŋc aŋa atɔf ŋa Misira. K'ɔsɔŋ ŋa antɔf Misira, nde atɔf ŋa Ramsɛs, pəmɔ tɔkɔ Firawona ɛnaloku kɔ ti mɔ. 
GEN.47.12	Kɔ Isifu ɛntam oŋ kəgbɛkərɛ papa kɔn, awɛŋc aŋa, kɔ afum a papa kɔn fəp pəmɔ tɔkɔ ŋanalanɛnɛ mɔ.
GEN.47.13	Yeri yɛnayi fɛ sɔ atɔf ŋa Misira fəp, bawo dor dɛnasɔtɔ fənɔntər. Atɔf ŋa Misira kɔ atɔf ŋa Kanahan dor dɛŋclɛŋkəs oŋ kəlɛŋkəs dəm afum a tɔf yayɔkɔ. 
GEN.47.14	Kɔ Isifu ɛwɛtəs gbeti fəp mbɛ bɛnayi atɔf ŋa Misira kɔ atɔf ŋa Kanahan mɔ. Pəcsəkpərɛ gbeti babɔkɔ malɔ, kɔ Isifu ɛmbɛrsɛ gbeti babɔkɔ nde kəlɔ ka Firawona. 
GEN.47.15	Ntɛ gbeti ba Misira kɔ Kanahan belip mɔ, kɔ aMisira fəp ŋander nnɔ Isifu eyi mɔ. Kɔ ŋaloku: «Məsɔŋ su yeri! Cepɔ səndefi fɔr yam kiriŋ bawo gbeti beyi fɛ sɔ?» 
GEN.47.16	Kɔ Isifu oloku: «Nəsɔŋ yɔcɔl yonu. Iŋsɔŋ nu kəcom kəsəkpɛ ka yɔcɔl yonu, bawo gbeti beyi fɛ sɔ.» 
GEN.47.17	Kɔ ŋaŋkɛrɛ Isifu yɔcɔl yaŋan. Kɔ Isifu ɔŋsɔŋ ŋa yeri kəsəkpɛ ka yɔcɔl yaŋan: Fəlɛs, yɔcɔl yɛfɛt kɔ yɔpɔŋ, sɔfale. Kɔ Isifu ɔsɔŋ ŋa yeri ya teren tatɔkɔ kəsəkpɛ ka yɔcɔl yaŋan fəp. 
GEN.47.18	Ntɛ teren tatɔkɔ teŋcepər mɔ, kɔ aka Misira ŋander sɔ nnɔ Isifu eyi mɔ teren tɔc-kɔsɔk. Kɔ ŋaloku kɔ: «Səfɔtam kəmɛŋkər əm a gbeti bosu belip, kɔ yɔcɔl yosu yelip. Daka o daka dɛŋcəmɛ fɛ su sɔ, mɛnɛ dis dosu kɔ ntɔf yosu. 
GEN.47.19	Səndefi oŋ fɔr yam kiriŋ ba, kɔ ntɔf yosu? Məway su kɔ ntɔf yosu kəsəkpɛ ka yeri. Tɛm tatɔkɔ səyɔnɛ acar a Firawona, səna kɔ ntɔf yosu. Məsɔŋ su defet səbəc ta sədefi, ntɔf yosu yedefəntərɛ gbəlməs.»
GEN.47.20	Kɔ Isifu ɛwayɛ Firawona ntɔf ya Misira fəp, aka Misira fəp ŋanacaməs ntɔf yaŋan, bawo dor dɛnabɛkər ŋa. Kɔ atɔf ŋɔyɔnɛ oŋ ŋa Firawona. 
GEN.47.21	Kɔ Firawona ɛlɛk afum aŋɛ ŋanayi dəcələŋcər ca Misira mɔ, k'ɛŋkɛrɛ ŋa sədare səpɔŋ. 
GEN.47.22	Mba Isifu ɛnaway fɛ ntɔf ya Sali Almamye, bawo Firawona ɛnamɔnɛ kəway ka ntɔf yaŋan. Sali Almamye ŋayi kəkɛkəs ka Firawona disrɛ, ti tɔ Sali Almamye ŋanatɔcaməsɛ ntɔf yaŋan.
GEN.47.23	Kɔ Isifu oloku afum a Misira: «Iway nu mɔkɔ kɔ ntɔf yonu, nəyɔnɛ mɔkɔ aka Firawona. Defet dɛndɛ: Nəntam kəbɔf dəntɔf. 
GEN.47.24	Kɔ nəndetɛl-ɛ, nəsɔŋ poboc pin pa kətɛl konu kɔ nəyer ki kəcamət-ɛ Firawona. Nəna nəlɛk yoboc maŋkəlɛ nyɛ, yendeyɔnɛ nu yeri ya dɛkɛr kɔ awut, yɔyɔnɛ nu sɔ defet da teren tɔcɔŋc.» 
GEN.47.25	Kɔ ŋaloku Firawona: «Məluksɛ su kəyi doru! Səsɔtɔ kəŋaŋnɛnɛ ka wəbɛ kosu, səndeyɔnɛ wəcar ka Firawona.» 
GEN.47.26	Kɔ Isifu ɛŋcəmbər ti kɔ tɔyɔnɛ mɔkɔ tɔyɔ ta Misira: Poboc pa kəcamət fəp pa Firawona pɔ. Mɛnɛ ntɔf ya Sali Almamye gbəcərəm yɔtɔyɔnɛ ya Firawona.
GEN.47.27	Kɔ Yakuba ɛndɛ atɔf ŋa Misira, atɔf ŋa Kosɛŋ. Kɔ pəyɔnɛ di ndaraŋan k'ɔyɔnɛ kas ka afum alarəm. 
GEN.47.28	Kɔ Yakuba eyi doru meren wəco kɔ camət-mɛrəŋ atɔf ŋa Misira. Kəwon ka Yakuba doru fəp kənasɔtɔ meren 147. 
GEN.47.29	Mataka ma Yakuba kəlɔtəs kəlip, k'ewe wan kɔn Isifu k'oloku kɔ: «Kɔ məfaŋ kəmar im-ɛ, məboc kəca kam aləŋk ŋem tantɔf, məlɛk' em layidi pəsoku disrɛ ndɛ məndetɔmpər' em mɔ: Ilɛtsɛn' am ta məwup im Misira! 
GEN.47.30	K'indefəntərɛ kɔ papa kem aŋa-ɛ, məwurɛn' em Misira. Məkɔ məwup im nde kufu kəŋan kəyi mɔ.» Kɔ Isifu oloku kɔ: «Indeyɔ tɔkɔ məlok' im mɔ.» 
GEN.47.31	Kɔ Yakuba oloku: «Mədɛrəm' em ti.» Kɔ Isifu ɛndɛrəmɛ kɔ ti. Kɔ Yakuba ontontnɛ nde kəfəŋc kɔn dəromp.
GEN.48.1	Ntɛ mes mamɔkɔ meŋcepər mɔ, k'aŋkɔ paloku Isifu a Papa kɔn ɛntamnɛ fɛ. Kɔ Isifu ɛlɛkɛnɛ awut ɔn mɛrəŋ Manase kɔ Ɛfrayim. 
GEN.48.2	K'asɔŋɛ ti Yakuba kəcərɛ, k'aloku kɔ: «Wan kam Isifu eyi kəder nnɔ məyi mɔ.» Kɔ Yakuba oloŋka fənɔntər fɔn k'ɛyɛfɛ, k'ɛndɛ kəfəŋc kɔn kəroŋ. 
GEN.48.3	Kɔ Yakuba oloku Isifu: «Kanu Kəpɔŋ nkɛ kəntam mes fəp ma doru mɔ kənawurər im dare da Lus nde atɔf ŋa Kanahan kɔ kəsɔŋ im temer kədepoc' em pətɔt.
GEN.48.4	Kɔ kəlok' im: ‹Indesɔŋ əm dokombəra, indesɔŋ' am kəla, indesɔŋ' am kəyɔnɛ wətem ka afum alarəm. Indesɔŋ atɔf ŋaŋɛ afum am kɔ məŋcepər-ɛ, atɔf ŋaŋɛ ŋendeyɔnɛ ŋaŋan doru o doru.›» 
GEN.48.5	«Ndɛkəl oŋ, awut mɛrəŋ aŋɛ məŋkom atɔf ŋa Misira a k'indeder nnɔ məyi mɔ, ŋandeyɔnɛ akemi. Ɛfrayim kɔ Manase ŋayɔnɛ akemi, pəmɔ tɔkɔ iyɔ Ruben kɔ Simɔŋ mɔ. 
GEN.48.6	Mba awut aŋɛ məndekom oŋ aŋɛ mɛrəŋ tadarəŋ mɔ, akam ŋandeyi akakɔ, awɛŋc aŋa ŋɔ ŋandesɔtər kɛ. 
GEN.48.7	Kəder kem Padaŋ, kɔ Rasɛl efir im dɔpɔ da Kanahan, ta pəmbɔlɛ su kəbɛrɛ Efrata-ɛ. Difɔ inawup kɔ katina dəndo dɔpɔ da Efrata, nde pəyɔnɛ Betlɛhɛm mɔ.» 
GEN.48.8	Kɔ Yakuba ɔmɔmən awut a Isifu k'eyif: «Are ŋɔ akaŋɛ-ɛ?» 
GEN.48.9	Kɔ Isifu oloku papa kɔn: «Awut em ŋɔ, aŋɛ Kanu kəsɔŋ im nnɔ mɔ.» Kɔ Yakuba oloku: «Ilɛtsɛn' am məyɔ ŋa ŋacɔŋnɛ nnɔ itolanɛ ŋa.» 
GEN.48.10	Detem dɛnalɔləs Yakuba fɔr. Ɛŋc-tam fɛ sɔ kənəŋk. Kɔ Isifu ɔŋcɔŋ awut ɔn nde Yakuba eyi mɔ, kɔ Yakuba oŋcup ŋa, k'ɛmakərnɛ ŋa. 
GEN.48.11	Kɔ Yakuba oloku Isifu: «Inacɛm-cɛmənɛ fɛ sɔ kədenəŋk əm. Mba Kanu kəsɔŋ' em k'inəŋk əm haŋ awut am!» 
GEN.48.12	Kɔ Isifu eliŋ awut kas dələŋk, k'ɛŋcəp kəro dəntɔf. 
GEN.48.13	Kɔ Isifu osumpər mɛrəŋ maŋan fəp waca, pəsumpərɛ Ɛfrayim kəca kətɔt mba pəyi kəca kəmeriya ka Yakuba, k'osumpərɛ Manase kəca kəmeriya mba pəyi Yakuba kəca kətɔt, k'ɔŋcɔŋɛnɛ ŋa sɔ nde wətem kəŋan eyi mɔ. 
GEN.48.14	Kɔ Yakuba ɛntɛŋc kəca kɔn kətɔt, k'endeŋ ki Ɛfrayim dəromp nwɛ ɛnafɛtɛ mɔ, k'endeŋər Manase kəca kɔn kəmeriya dəromp. Ɛnacərɛ bel-bel tɔkɔ ɔŋcyɔ waca wɔn mɔ, ali ntɛ Manase ɛnayɔnɛ wan wəcɔkɔ-cɔkɔ mɔ. 
GEN.48.15	Motolanɛ mmɛ mɔ Yakuba ɛnatolanɛ Isifu:
GEN.48.15	«Kanu Kəpɔŋ nkɛ kənəŋk papa kem aŋa Abraham kɔ Isiyaka tecepərɛnɛ taŋan mɔ,
GEN.48.15	Kanu Kəpɔŋ nkɛ kəŋkɛkəs im kəyɛfɛ ntɛ iyi doru haŋ mɔkɔ mɔ,
GEN.48.16	Mɛlɛkɛ mmɛ mɛŋcyac im pəlɛc mɔ, mɔsɔŋɛ awut aŋɛ!
GEN.48.16	Pawe ŋa tewe tem
GEN.48.16	kɔ mewe ma papa kem aŋa, Abraham kɔ Isiyaka.
GEN.48.16	Kanu kəsɔŋɛ ŋa kəkom pəlarəm nde atɔf ŋaŋɔkɔ dacɔ.»
GEN.48.17	Ntɛ Isifu ɛnəŋk kas pəc-deŋər Ɛfrayim kəca kɔn kətɔt mɔ, kɔ tɔntɔbɔt kɔ. Kɔ Isifu osumpər kəca ka kas, k'ɔŋcɔŋ ntende domp da Manase ta pədeŋər ki Ɛfrayim. 
GEN.48.18	Kɔ Isifu oloku papa kɔn: «Ta məyɔ tantɛ, fɔtɔ Manase ɛbɛk. Nkɔn ɔ pəmar mədeŋər kəca kam kətɔt.» 
GEN.48.19	Kɔ papa kɔn ɛfati, k'oloku: «Iŋcərɛ ti, wan kem. Iŋcərɛ ti! Nkɔn sɔ endeyɔnɛ wətem ka afum alarəm, endebɛk. Mba wɛŋc Tɔŋɔ endebɛk kɔ, awut ɔn ŋandelas tɔf fəp.» 
GEN.48.20	Kɔ Yakuba ontolanɛ ŋa dɔsɔk dadɔkɔ, k'oloku: «Mən' endesɔŋɛ Yakuba pəc-tolanɛ a pəc-kulɛ fɔ: ‹Kanu kəsɔŋ' am kəyi pəmɔ Ɛfrayim, pəmɔ Manase!›» Tatɔkɔ tɔ Yakuba ɛnacəmbər Efrayim Manase kiriŋ. 
GEN.48.21	Kɔ Yakuba oloku Isifu: «Kəfi k'inder! Mba Kanu kəndesolɛ nu. Kəndeluksɛ nu atɔf ŋa atem anu. 
GEN.48.22	Imbɛrɛn' am pɔkɔ awɛŋc əm aŋa ŋantɔdesɔtɔ mɔ
GEN.49.1	Kɔ Yakuba ewe awut ɔn, k'oloku:
GEN.49.1	«Nəloŋkanɛ iloku nu tɔkɔ tendeder nu kiriŋ mɔ.
GEN.49.2	Nəloŋkanɛ, nəcəŋkəl im Awut a Yakuba!
GEN.49.2	Nəcəŋkəl Yisrayel
GEN.49.3	Ruben, məna coco cem,
GEN.49.3	məna nwɛ inakom
GEN.49.3	tɛm ntɛ inayɔ fənɔntər mɔ:
GEN.49.3	Məŋcepər awɛŋc əm aŋa
GEN.49.3	tokom, kɔ fənɔntər.
GEN.49.4	Məyeŋk pəmɔ domun ndɛ dɛŋyɛksɛ dəkəŋgbɔkɔ mɔ,
GEN.49.4	mba məfɔdesɔyɔnɛ wəkiriŋ,
GEN.49.4	Bawo mənapɛsɛ dəkəfəntərɛ da papa kam,
GEN.49.4	Mənayikyikəs kəfəŋc kem kəpɛsɛ ka ki, kɔ wəran kem wəkin.
GEN.49.5	Simɔŋ kɔ Lewy dɛwɛŋca dɔ ŋayɔ:
GEN.49.5	Ŋa ŋantəŋnɛ, ŋasek kəkɔ-yɔ pəlɛc.
GEN.49.6	Ta amera ŋem ŋosol kəmɛŋkəs kəŋan pəlɛc,
GEN.49.6	Ta mɛcɛm-cɛmnɛ mem mɛtəŋnɛ nde ŋantəŋnɛ kəbəpɛnɛ mɔ.
GEN.49.6	Bawo mɛtɛlɛ maŋan disrɛ, ŋandif fum.
GEN.49.6	Kəcuca kəŋan disrɛ, kɔ ŋaŋcopu-copu mura bənta.
GEN.49.7	Intolanɛ mɛtɛlɛ maŋan pəlɛc, bawo mɛmbɛk pɛləsər.
GEN.49.7	Intolanɛ pəlɛc deyeŋki bəkəc daŋan, bawo dɔfɔyɔnɛ nɔnɔfɔr.
GEN.49.7	Indeyerəs ŋa atɔf ŋa Yakuba,
GEN.49.7	Indesaməsər ŋa atɔf ŋa Yisrayel.
GEN.49.8	Yuda, məna, awɛŋc əm aŋa ŋandeyekyekəs əm.
GEN.49.8	Məndesumpər aterɛnɛ am cərɔbɔ.
GEN.49.8	Kɔ awɛŋc əm aŋa ŋandecəp am səbomp fɔr yam kiriŋ.
GEN.49.9	Yuda, kusunuŋku kəwut kɔ məyɔnɛ.
GEN.49.9	Dəkəwatəri-watəri wɛsɛm wam məyɛfɛ, wan kem!
GEN.49.9	Nkɔn oŋnut wɛcək, pəfəntərɛ pəmɔ kusunuŋku.
GEN.49.9	Pəmɔ kusunuŋku kəran: An' ɛntam ki kəyekti ta kəfaŋ-ɛ?
GEN.49.10	Kəgbo ka dɛbɛ kəfɔde kəc-bɔlɛ Yuda,
GEN.49.10	kəgbo ka dɛbɛ kəndeyi yuruya yɔn dəwaca,
GEN.49.10	haŋ tɛm ntɛ wəka kəgbo kaŋkɔ yati endeder mɔ,
GEN.49.10	wəkɔ afum fəp ŋandeyi dəntɔf mɔ.
GEN.49.11	Nkɔn (Yuda) ende pəc-kot sɔfale sɔn dəwiŋ,
GEN.49.11	pəkot wan ka si nde kətɔk ka wiŋ,
GEN.49.11	Ende pəc-yak yamos yɔn dəmember,
GEN.49.11	kɔ bərumus bɔn, dəməŋcɔŋcɔ ma rɛsɛŋ.
GEN.49.12	Member mendesɔŋɛ kɔ fɔr kəyimbərɛ,
GEN.49.12	Mɛsɛ ma wana mendefertər əm sek.
GEN.49.13	Kɔ məna Sabulon, kəba kəsək məndendɛ,
GEN.49.13	nde cibil cəndeyɔ kətənta mɔ.
GEN.49.13	Cələŋcər ca atɔf ŋaŋɔkɔ cəndewɔkəl haŋ Sidoŋ.
GEN.49.14	Isakar, məna sɔfale səpɔŋ sɔ məyɔnɛ,
GEN.49.14	nsɛ səŋfəntərɛ gbɔrɛ mɛrəŋ dacɔ mɔ.
GEN.49.15	Pənəŋk fɔ kəfo kaŋkɔ eyi kəŋesəm mɔ kəntesɛ,
GEN.49.15	k'atɔf ŋɔmbɔt.
GEN.49.15	Pətirmi kumunt padəndəsər kɔ pɛsarɛ,
GEN.49.15	Yɛbəc ya dacar y' endeyi.
GEN.49.16	Dan, endeyɔnɛ afum ɔn wəbɛ.
GEN.49.16	Pəmɔ kusuŋka kəlɔma cusuŋka cələpəs ca Yisrayel cəkɔ.
GEN.49.17	Dan, endeyi pəmɔ abok nŋɛ ŋeyi dɔpɔ mɔ,
GEN.49.17	aŋkisin nŋɛ ŋeyi dɔpɔ kəsək mɔ.
GEN.49.17	Abok nŋɛ ŋɛŋaŋ bənta ya afəlɛs,
GEN.49.17	a tɔsɔŋɛ wəyɛksɛnɛ ka ŋi kətɛmpɛnɛ mɔ.
GEN.49.18	Iŋgbɛkər əm amera Kanu Kəpɔŋ, a məndeyac im!
GEN.49.19	Kadu, kənay
GEN.49.19	pəyɛfɛ pəcəmɛ ŋa darəŋ kəbɛləs.
GEN.49.20	Ndena Aser, yeri yoboŋu yendela di.
GEN.49.20	Antɔf ŋam ŋende ŋɔc-sɔŋ yeri nyɛ pəmar yɔyɔnɛ yeri y' abɛ mɔ.
GEN.49.21	Naftali, were w' ɔyɔnɛ nwɛ weyi kiyi ka wi, ta tes o tes tonkotərnɛ wi mɔ.
GEN.49.21	Ende pəc-koməs awut atɔt
GEN.49.22	Isifu, popoŋ pa kətɔk kəkom pɔyɔnɛ,
GEN.49.22	Popoŋ pa kətɔk kəkom nkɛ kəcəmɛ kəŋgbɔkɔ kəsək mɔ,
GEN.49.22	wara waki wetilsərnɛ damba.
GEN.49.23	Ŋandəkətər kɔ, kɔ ŋampɛn.
GEN.49.23	Apɛnɛ mbəŋcəran ŋanayɔnɛ ayɛfərɛnɛ am.
GEN.49.24	Mba ambəŋcəran ŋɔn ŋende ŋɛtəŋnɛnɛ kɔ nkɔn sərka.
GEN.49.24	Anacaŋəs waca wɔn
GEN.49.24	kətam ka Kanu ka fənɔntər ka Yakuba dəntɔf.
GEN.49.24	Ɔyɔnɛ wəkɛk kɔ togbu pa aka Yisrayel
GEN.49.25	Tewe ta Kanu ka papa kam, nkɛ kəyɔnɛ wəmar kam mɔ,
GEN.49.25	tewe ta Kanu nkɛ kəntam mes fəp ma doru mɔ, nkɛ kəndepoc' am mɔ:
GEN.49.25	Kəpocɛ pətɔt nkɛ kəndeyɛfɛ dareŋc mɔ,
GEN.49.25	kəpocɛ pətɔt nkɛ kəŋyɛfɛ dəntɔf mɔ,
GEN.49.25	kəpocɛ pətɔt ka awut alarəm kɔ yɔcɔl yɛlarəm.
GEN.49.26	Kətolanɛ nkɛ papa kam ontolan' am mɔ,
GEN.49.26	kəŋcepər kətolanɛ pətɔt ka aŋɛ ŋaŋkom im mɔ,
GEN.49.26	haŋ dəkələpsər da mɔrɔ ma doru o doru.
GEN.49.26	Kətolanɛ pətɔt kaŋkɔ kəyi Isifu dəromp,
GEN.49.26	dəndo domp dacɔ da Isifu
GEN.49.26	nwɛ ɔyɔnɛ wəbɛ ka awɛŋc aŋa mɔ!
GEN.49.27	Beŋyamin, kalma k'ɔyɔnɛ nkɛ kəŋwatəri-watəri mɔ.
GEN.49.27	Bət-bət kəwatəri-watəri wɛsəm wa ki,
GEN.49.27	dɔfɔy, pəyerəs yɔsɔtɔ ya ki.»
GEN.49.28	Awut akaŋɛ ŋayɔnɛ cusuŋka wəco kɔ mɛrəŋ ca Yisrayel. Moloku mamɛ mɔ kas kəŋan ɛnaloku ŋa, ntɛ oŋctolanɛ ŋa mɔ. Yakuba ɛnatolanɛ ŋa nwɛ o nwɛ kɔ kətolanɛ kɔn taciŋa.
GEN.49.29	Ntɛ Yakuba elip kətolanɛ awut ɔn mɔ, k'osom ŋa: «Intas kəbəp atem em aŋɛ ŋafi mɔ. Nəwup im kɔ papa kem aŋa, nde kufu kəŋkɔ kəyi nde dalɛ da Hɛfəroŋ wəHewy mɔ, 
GEN.49.30	nde kufu nkɛ kəyi dalɛ da Makpela, Mamre kəsək, nde atɔf ŋa Kanahan. Dalɛ dadɔkɔ dɔ Abraham ɛnaway nnɔ Hɛfəroŋ eyi mɔ, pəyɔnɛ di dəkəwupɛnɛ da afum ɔn. 
GEN.49.31	Difɔ anawup Abraham kɔ wəran kɔn Sara, difɔ anawup Isiyaka kɔ wəran kɔn Rebeka, difɔ inawup sɔ Leya wəran kem. 
GEN.49.32	Dalɛ kɔ kufu nkɛ kəyi di mɔ, Abraham ɛnaway di aHewy dəwaca.» 
GEN.49.33	Ntɛ Yakuba elip kəsom awut ɔn mɔ, k'ɛfəntərɛ dəkəfəŋc. K'eŋgbin kifir k'ɔnɔŋkəlɛnɛ atem ɔn aŋɛ ŋanafi mɔ.
GEN.50.1	Kɔ Isifu ɛntɛmpɛnɛ papa kɔn kəroŋ, k'ombok kɔ kəroŋ, k'oŋcup kɔ. 
GEN.50.2	Kɔ Isifu osom acar ɔn akɔ ŋanayɔnɛ atɛn cɔl mɔ, a ŋasop kas acɔl nŋɛ ŋɔsɔŋɛ ta wəfi ente katəna mɔ. Kɔ atɛn cɔl ŋasop Yakuba acɔl ŋaŋɔkɔ. 
GEN.50.3	Kɔ tɔŋkɔ mata 40. Tɛm tatɔkɔ mataka mamɔkɔ m' aŋc-sop afi acɔl ŋa kətɔte ŋaŋɔkɔ, kɔ aMisira ŋambok kɔ mata 70.
GEN.50.4	Ntɛ mataka ma kəbal kɔn meŋcepər mɔ, kɔ Isifu oloku afum akɔ ŋanayi nde saŋka sa Firawona mɔ, k'oloku ŋa: «K'intam kəsɔtər nu layidi-ɛ, nəloku ntɛ Firawona ilɛtsɛnɛ nu: 
GEN.50.5	Papa kem ɛnasɔŋ' em kədɛrəm, pəc-loku: ‹Kəfi k'inder! Məkɔ məwup im nde kufu kəŋkɔ iŋkay nde atɔf ŋa Kanahan mɔ.› Difɔ ifaŋ kəpɛ ikɔ wup papa kem. K'ilip-ɛ, inder.» 
GEN.50.6	Kɔ Firawona oloku kɔ: «Məpɛ məkɔwup papa kam pəmɔ tɔkɔ ɔsɔŋ' am kədɛrəm mɔ.» 
GEN.50.7	Kɔ Isifu ɛmpɛ kəkɔ-wup papa kɔn. Kɔ ŋampɛ kɔ abeki aka saŋka sa Firawona fəp kəbəp abeki a atɔf ŋa Misira. 
GEN.50.8	Kɔ afum a Isifu fəp, kəlɛk awɛŋc aŋa kəbəp ka afum a papa kɔn, mɛnɛ awut, yɔcɔl yaŋan yɔpɔŋ kɔ yɛfɛt ŋ' anasak atɔf ŋa Kosɛŋ. 
GEN.50.9	Isifu kɔ cibil ca dəntɔf k'ayɛksɛnɛ fəlɛs ŋampɛ kɔ nkɔn, kɔ tɔsɔŋɛ akɔ a Kanahan kəla. 
GEN.50.10	Ŋandebəp pəferere pa Atad, nŋɛ ŋeyi Yurdɛn takəroŋ mɔ, kɔ ŋawup Yakuba dəndo kəyekyekəs disrɛ. Kɔ Isifu ombok kas mata camət-mɛrəŋ. 
GEN.50.11	Kɔ andɛ a atɔf ŋaŋɔkɔ, aka Kanahan, ŋayi kəbal ka Yakuba dəndo pəferere pa Atad. Kɔ ŋaloku: «Defi dɔpɔŋ dɔ dandɛ aMisira dacɔ!» Ti t' asɔŋɛ tofo tatɔkɔ tewe ta «Abel Misira» nde Yurdɛn takəroŋ. 
GEN.50.12	Kɔ awut a Yakuba ŋayɔ tɔkɔ papa kəŋan ɛnaloku ŋa mɔ. 
GEN.50.13	Kɔ awut ɔn ŋaŋkekərɛ kɔ atɔf ŋa Kanahan. Kɔ ŋawup kɔ nde kufu ka dalɛ da Makpela, dalɛ ndɛ Abraham ɛnaway Hɛfəroŋ wəHiti dəwaca mɔ, pəyɔ di dəkəwupɛnɛ da afum ɔn, nde Mamre kəsək. 
GEN.50.14	Ntɛ Isifu elip kəwup papa kɔn mɔ, k'oluksərnɛ Misira kɔ awɛŋc aŋa kɔ akɔ ŋanacəmbər kɔ, kəkɔ-wup papa kɔn mɔ.
GEN.50.15	Ntɛ awɛŋc a Isifu ŋanəŋk fɔ papa kəŋan efi mɔ, kɔ ŋaloku: «Kɔ Isifu ɛŋkafəlɛ pəyɔnɛ wəterɛnɛ kosu, kəluksɛ ka ayɛk ŋa pəlɛc mpɛ sənayɔ kɔ mɔ!» 
GEN.50.16	Kɔ ŋasom a paloku Isifu: «Papa kam ɛnasom ntɛ a pəc-fi: 
GEN.50.17	‹Ntɛ tɔ nəŋkɔ-loku Isifu: Oh! Ilɛtsɛn' am məŋaŋnɛnɛ awɛŋc əm aŋa pəlɛc kɔ kiciya kəŋan, bawo ŋanayɔ əm pəlɛc! Ilɛtsɛn' am məŋaŋnɛ oŋ kiciya ka acar a Kanu ka papa kam!›» Kɔ Isifu ombok ntɛ analoku kɔ moloku mamɔkɔ mɔ. 
GEN.50.18	Kɔ awɛŋc aŋa ŋander ŋa sərka ŋatɛmpɛnɛ Isifu dəntɔf kɔ ŋaloku: «Sən' ɔfɔ akaŋɛ acar am.» 
GEN.50.19	Kɔ Isifu oloku ŋa: «Ta nənesɛ. Cepɔ Kanu k'iyɔnɛ? 
GEN.50.20	Nənasek' em kəyɔ ka pəlɛc. Mba Kanu kənakafəli ti pətɔt, kəlompsɛ ka ntɛ teyi mɔkɔ mɔ, kɔ kəyac ka defi da afum alarəm. 
GEN.50.21	Ndɛkəl oŋ, ta nənesɛ! Indetamɛ nu mɛfaŋ monu fəp kɔ ma awut anu.» Kɔ Isifu ontorɛ torɛ ŋa bəkəc, k'olok' lokərɛ ŋa dim d' antɔf.
GEN.50.22	Kɔ Isifu ɛndɛ Misira nkɔn kɔ afum ɔn. K'eyi doru meren 110. 
GEN.50.23	Kɔ Isifu ɛnəŋk awut a Ɛfrayim haŋ dɛtɛmp maas. Kɔ Makir, wan ka Manase, oŋkom awut ɔn ləŋk ya Isifu kəroŋ. 
GEN.50.24	Kɔ Isifu oloku awɛŋc aŋa: «Kəfi k'inder. Mba Kanu kəndemar nu ilaŋ ti. Kanu kəndepɛnɛ nu nde atɔf ŋɔkɔ kənalɛkɛ Abraham, Isiyaka kɔ Yakuba layidi kəsɔŋ ŋa mɔ.» 
GEN.50.25	Kɔ Isifu ɔsɔŋɛ awut a Yakuba kədɛrəm, pəc-loku: «Kanu kəndemar nu ilaŋ ti. Nəde nəpɛnɛ bɛnt yem, nəbɔlɛnɛ yi nnɔ.» 
GEN.50.26	Kɔ Isifu efi pəsɔtɔ meren 110. K'asop kɔ acɔl nŋɛ ŋɔŋsɔŋɛ wəfi kətɔte katəna mɔ. Kɔ ŋambɛr kɔ kaŋkəra ka tasar pɛpat dəndo atɔf ŋa Misira.
JOS.1.1	Ntɛ defi da Aŋnabi Musa wəcar wəka Kanu Kəpɔŋ deŋcepər mɔ, kɔ Kanu kəloku Yosuwe wan ka Nun wəmarəs wəka Musa: 
JOS.1.2	«Wəcar kem Musa efi. Ndɛkəl oŋ məyɛfɛ, məcali kəŋgbɔkɔ ka Yurdɛn kaŋkɛ, məna kɔ afum akaŋɛ. Nəkɔtɛnɛ afum aŋɛ nde atɔf nŋɛ indesɔŋ aka Yisrayel mɔ. 
JOS.1.3	Nnɔ o nnɔ məŋcəmbər kəcək mɔ, isɔŋ un di pəmɔ tɔkɔ inaloku ti Musa mɔ. 
JOS.1.4	Cələŋcər conu cəndeyɛfɛ nde dətɛgbɛrɛ haŋ Libaŋ, kəkɔ ka kəŋgbɔkɔ kəpɔŋ ka Efərat, kəbəp antɔf məlməl ŋa aka Hit, haŋ nde Kəba Kəpɔŋ ntende dec dɛŋkalɛ mɔ. 
JOS.1.5	Ali fum ɔfɔcəm' am fɔr kiriŋ kiyi kam doru fəp. Isol' am pəmɔ tɔkɔ inasolɛ Musa mɔ. Ifɔdesak əm, ifɔc' am. 
JOS.1.6	Məyeŋk dis, məbaŋsɛ! Bawo mən' endekɔtɛnɛ afum a Yisrayel kəbaŋ atɔf ŋa kɛ nŋɛ inadɛrəm kəsɔŋ atem aŋan mɔ. 
JOS.1.7	Məyeŋk dis gbaŋ, məbaŋsɛ! Məgbətnɛ məkɔt dɔpɔ ndɛ Musa wəcar kem omboc' am mɔ: Ta məkɔ kəca kətɔt, ta məkɔ kəca kəmeriya, ntɛ tɔŋsɔŋ' am kətam mes fəp nnɔ o nnɔ məŋkɔ mɔ. 
