GEN.1.1	Pílen-ruulendo delo, kerayalumpe Shédíbí taleng emla amongem pílen geto.
2KI.5.11	Idola Naaman yagorupe marla gídokula sikepe emto, “Bí agíe gílenla ngok agéplo dagla 
2KI.5.12	Abana, Pharpar, delokke Damaskaslok korong kídíe Israel korong kídíem aiyamanía? Ngo eke elo ursula deelang kumanía?” Dekepe empala bí marla enkartoku.
2KI.5.13	Delo bíkke béérang kídíe bíkkíng aala poto, “Ngoluke abua! Kaalu miri Elisha bí nom bottena agérko lulíg domílo no imadonía? Dekemílo no asilo ursulangka emla bík ponamdem ila, mopít sukunam dem kapeda iman?” 
2KI.5.14	Delo Naaman gíla Jordan asilo lemkínídko Elisha ke pokampe jilum rongem bík asig-ayo kídíe yaamé koo kísape pelam kaku.
2KI.5.15	Delo Naaman bík ami takamem gíbola Elisha kíng aala sikepe poto, “Supak lokke Israel petomlo Shédí kadung, abídlo kamang emla ngo kénbengkai. Depeila ngok aman gebinam sim no ayala laarík sutoika.” 
2KI.5.16	Delo Elisha poyansuto, “Ngok agér gérbinam turna 
2KI.5.17	Naaman Elisha me poto, “No aman sim laapemamílo, ngom gado aména annyi sok getengko kédénglok gurla gemokui, kapeila nokke béérang si 
2KI.5.18	Idola 
2KI.5.19	“Aapíe míípodola enkalangku,” emla Elisha bí poto.
2KI.5.19	Naamanke anyong oolko endokuem, 
2KI.5.20	Elishake béérang Gehaji bí sikepe bík aapílo míísuto, “Ngok ruutum bí Siria ami Naamanme asamrupe melíktoku. Ngo turna 
2KI.5.21	Gehaji Naamanme monmín geto. Naaman bí kangkut suname Gehaji monmín gedung. Dem kaala Naaman guré-gaari delok oila, bím kaarík sudola, “Kape takame aidunía?” emla íngkíto.
2KI.5.22	“Takame aidung,” emla Gehaji poyan sudola pokane, “Ngok ruutum ngom lulíkdung, ‘Ephraim amonglok kaaluna yaamé annyiko supak pak píídung. Bínyim baldín nogdi lok 3000 ko delokke gíídí ege-galuk lok bínyim annyi asak bidope bilangka.’ ”
2KI.5.23	“No ayasula 6000 ko baldín nokdi lok laabilangka,” emla Naaman bí poyansuto. Bí emgapla, nyogon annyi kolo 6000 baldín nokdi demlang gíídí ege-galuk kídídem bík béérang annyikolo gelík bidokupe joolíkla, bínyi Gehajike kerangpe en-getoku. 
2KI.5.24	Edílo bulu díítum delo píítokudín, delo Gehaji ekurang dem bínyi keelok laala, agí ekumlo mepala béérang annyi dem enmotoku. 
2KI.5.25	Delo bí bík ruutum Elishake ampelo dagatoku, “Gehaji no ingkolo yétokan?” emla Elisha íngkíto. “Nok béérang ngo ingko loteng gímang,” emla bí poyansuto. 
2KI.5.26	Idola Elisha bím poto, “Ami delokke guré-gaarilok oila nom kaarík sudodelo ngok aide nokkíng yémín manía? Supak abal, ege-galuk olib tél, onggur arík, mér sobén, mime béérang, milokong béérang em amanpe laadía? 
2KI.5.27	Dekepeila, Naamanke tííd kiname nokkíng lang nok oten ome-oolo kayaryé.” Delo Gehaji Elishake keranglok gínyok getoku. Delokke ila bík amíl takame tapam kísa, tíídpe yabyak lenkai.
2KI.6.1	Kaaluna miri yébosuna kídíde Elishame pokai, “Kaatola, ngoluke duubo sukesi tapét aloodung. 
2KI.6.2	Ngolume Jordan belo gíla, mipile gaang asak pala ngoluke duupekoko erong dope modokupe enmoyika.” Delo bí poyansuto, “Aiyé, enbo sulangka.” 
2KI.6.3	Bulu kelok akonde Elishame enmín gedope emgapla, bí tolíkla, 
2KI.6.4	lekope enbosuto. Bulu Jordanlo pííla ekum esing-tarípe esing teeto. 
2KI.6.5	Dekepe buluke esing teeduk dungem akonlok arem egínge asilo olíkkai. Delo amide, “Ah ngok ruutume, egíng si ami lok koponam kuama,” emla manto. 
2KI.6.6	Delo Shédíke amide íngkíto, “Ingko paklo olíkkan?” Delo olíkko dem sutkan líktoname Elisha esing aagko pala olíkko delo ellík toname arem egíng dem asi teyolo pungon dope ito. 
2KI.6.7	“Laato langku,” emla bí poto. Delo amide egíng dem laatoku.
2KI.6.8	Sirialok rojade Israel rojadem mimak imín sudukdo. Doolung yége bona migom kídíem duubosula lupo poyin bosupala Siria rojade pokai, “Ngo ngok notkoem delo dekena amonglo ilíkyé.” 
2KI.6.9	Delo Elisha bí Israel rojadem pokanmoto, “Ansulangka, delo among kídí delo gígong mapeka, kapeila Siria lok ami kídíe delo mimak notko ilíkyé.” 
2KI.6.10	Depeila Israel rojade Elishake lubinam among kídídem kangkup-kaalat bommoto. Elisha bí rojadem ankup-anlat bomtídope poyilla irum bojéko mopítto. 
2KI.6.11	Sikepe inamsi Siria rojadem yagorupe marmoto. Bí migom kídíem tomdumsula íngkíto, “Sékopak ngoluke arang sok Israel roja danpe aapí gena si, nolu ngom pobimayénía?”
2KI.6.12	“Ngoluke roja ruutuma, ngolu sékokom Israel danpe aapí gena kamang. Idola Israello duuna Elisha min nokke ipko pírteklo ponam agom takam emteng Israel rojaem poyin bidung kune,” emla akonde pokai.
2KI.6.13	Delo rojade poto, “Nolu menape gíla bík dungkoem tattatoka, delo ami melíkla bíme umdope.” Elisha bí Dothanlo duudung emla pokantoku. 
2KI.6.14	Delo bí guré maglíng delokke guré-gaariem Elishame umdope melíkto. Bulu kaamo yohlo Elisha ke dungko doolungdem gargo bomto. 
2KI.6.15	Roh rokom dem Elisha ke béérang de luuyulo lenla kanggong suname deddína Siria maglíngem guré, delokke guré-gaariem doolung dem gargong bomdupe kaato. Delo bí poto, “E, ngok ruutum ngolu kape iyén?” 
2KI.6.16	Bím Elisha poyansuto, “Pesomapeka, kapeila bulum pemílo bojéyanako ngolukíng yédung.” 
2KI.6.17	Delo Elisha kumsuto, “E 
2KI.6.18	Edílo Siria maglíngde toknín todín, delo Elisha bí kumsuto, “E 
2KI.6.19	Dekepe ido delo Elisha bí bulum poto, “Si bedangmang, delokke doolungmang. Ngokkíng gímín getola, ngo nolum noluke matanam ami delo gílíkyé.” Bí bulum Samarilo gílíkto. 
2KI.6.20	Buluk doolung aralo aarongem “
2KI.6.21	Bulum kaala Israel rojade, “Poyilne, ngo bulum peyyin míloya?” emla Elisha me íngkíto. 
2KI.6.22	Elisha poyansuto, “Bulume no petmapeka. Agíke ityi-epug, yoksa lok umnam emteng no petdunía? Bulum donam-tíínam melen bitoka. Dem bulu dopa-tíípala buluke ruutumlo enlat sudokupe.” 
2KI.6.23	Delo bí bulum dobo-tííbola ito. Bulu doyin-tííyin pala enlat sukaku. Delok longe delok ila Siria ami kídíe edílokom Israel amongem maglíng aabom yimang.
2KI.6.24	Méélam delo Siria lok roja Ben-Hadad, bíkke deddína maglíngem melíkla Samari amongem mimakpe aabomla, amongdem langkamto. 
2KI.6.25	Delo Samari among delo botteruna díírí-kenoe pííla, gado dumpong atelem baldín íying píínyi kilogram arepe koto. Perong tayé em 
2KI.6.26	Israel rojade longe konem doolung etor kumgong teyodelok gídagem mime kone, “Ngom igultoika, e roja ruutum,” emla pokai. 
2KI.6.27	Rojade poyansula poto, “
2KI.6.28	Delo bí mimedem íngkíto, “Legangde ingkokoda?” Bí poyansukai, “Si mime si ngom, ‘Nokke oo dem silo ngolu keela dolape delo nyampo ngokke oo sim dolape,’ 
2KI.6.29	emkolok, ngolu ngokke uem keela doto. Silo bíkke uem keedope koname bíkke oo dem rumsuptung.” 
2KI.6.30	Edílo rojade mime delok agomem tattodí, delo bí bík lukdorem yagorupe aapíe kila bétsuto. Doolung etor agéplok gína kídíde rojadem ankí egeme bík galug aralo pítgedope kaato. 
2KI.6.31	Bí pokai, “Shédí bí ngom, Shaphatke oo Elishake dumpongem longe gíyinmang adape silo teetumamílo, mokadaklangka.”
2KI.6.32	Delo Elisha bík ekum delo miro kídíem duubosula duudo. Rojade amiko metosulíkla idodem ami delok píímang adape Elisha miro kídardem sikepe poto, “Nolu kaamanía? Kape kísa si ami petnasi, ngok dumpongem patung dope amiko melíktune. Kaatola, edílo amide pííyédí eyabem sittum langka. Eyabem sittumla dakbom langka. Bík méélamde bíkke ruutumlok gídutmanía?”
2KI.6.33	Bíkke lupo podung adape rojade
2KI.7.1	Elisha poto, “
2KI.7.2	Roja delok tapda sukeng migomde Elishame pokai, “
2KI.7.3	Doolung beyu luuyab delo tííd kina midum appiko duudungai. Bulu sikepe luposuto, “Ngolu sido loope kape so duutíyén? 
2KI.7.4	Doolung arang elo aalaju empene dírí kenoe, deloteng ngolu siyé. So duusulape empene soteng siyé. Depeila ngolu Siria notkolo gílaju. Bulu ayang kaapa suyémílo ngolu turyé. Bulu ayang mape petpak mílo ngolu siyé.” 
2KI.7.5	Kaamo-paang ríson delo bulu gerepla Siria ami kídí notkope ento. Notko ampeng delo píínín name, mitel koteng notko delo duumang. 
2KI.7.6	Kapeila 
2KI.7.7	Dekepe Siria ami kídíde pesolok buluke tombuem, guréem, gadoem delokke abíd-abíd ekurangem notko delo dekepe meyampala, rokom arsang delo agíem motursupe duknyo nyoyintoku.
2KI.7.8	Tííd gena ami kídíde notko delo pííla tombu sonam kolo aato. Bulu dola-tííla ipala uun, baldín, ege-galuk kídíem bomlangkula rumsuptoku. Delo bulu tombu akon deloteng aala ekurang ayoko laala dekedemte rumsuptoku. 
2KI.7.9	Delo bulu pobosukai, “Ngoluke inam si ijiimang, siloke longe si aina longeko. Sim pokanmape ngolu duusup sugedung. Ngolu paangem duuyang mílo ngolukíng adíre pííyé. Kaju menape gíla roja ekum eranglo pobisulape.” 
2KI.7.10	Depeila bulu gíla luuyab dakbomna dem pobito, “Ngolu Siria kídí notkolo aatoname mitel koteng duurík sumang, ami adud-ayud kokom kamang. Guré, gado kídíem pakla, tombu kídíem depe mepala ennyo nyoyinkaku.” 
2KI.7.11	Delo luuyab dakbomna amide gogying líktoname menape roja ekum deloteng legangem tatyinkai. 
2KI.7.12	Rojade yoh delo gerepla bík migom kídíem pokai, “Siria ami kídíe ngolum kape ibomdudín, dem ngo nolum poboyé. Ngolum kenoe pínbomdung emla bulu kéndung. Bulu gínyomílo ngolu buluke notkolo aayérung, delo ngoluke aayém ngolum bulu turdope umpe mííla doolung kídarlo runyok gedung.” 
2KI.7.13	Migom konde poyansuto, “Luune araso emum pekom ami kídar sim sikabona kísape kenoe pínkayé. Iname, ami lok ayoko guré duuna pilngo sim bomla, kape ikanai dem kéndope melík kílaju.” 
2KI.7.14	Delo bulu amieke ullenla guré-gaari annyikolo rojade bulum Siria sipaying kídíem kangkí-tatkídope melíkto. Bí gaari dukbona dem ukumto, “Gíla, kangkítoka.” 
2KI.7.15	Bulu Jordan loope monmín gela kaaname bedang ruubudem Siria ami kídíde buluke ege-galuk, ekuserangem dukdak langkula elpak pakyintung. Dem kaapala ami kídíde enlat sulangkula rojadem poyin bitoku.
2KI.7.16	Ami kídíde Siria ami kídíke dugnyokunam notko delok ekuserangem laasitoku. 
2KI.7.17	Rojade Elishake ekum delo aaduem Elisha kape pobitodín, deke pakpe roja delok míída sukeng migom dem bí doolung luuyab ruutumpe lulígto. Delo bím ami kídíe tujém saayémla ikolok bí sikai. 
2KI.7.18	Kapeila roja dem Elisha sikepe porung bituai, “Nyampo supakke kísalo ettíng kilogram angum demangkom anyat kilogram akkéem baldín nokdi atelpe Samari luuyablo koyé.” 
2KI.7.19	Migomde Shédíke amidem potuai, “
2KI.7.20	Si aropakpe ikai, bím ami kídíe luuyab delo tujém-tuyém kolok bí delo silíkkai.
2KI.8.1	Delo Elishabí itur bikunam koo delok ane deme poto, “Erang takamem sok gílenbola ingko amonglo duubang yédí delo duupong tolangka, kapeila 
2KI.8.2	Mimede Elishake pokampe erang takamem ennyokbola Philistain amonglo dítak kínídko duuto. 
2KI.8.3	Dítak kíníddem duuyin rongem bí enlat sulangkula roja delok agíke ekum among kídíem bidokupe rogupe gíto. 
2KI.8.4	Delopak rojade Gehaji emnam Elishake béérang dem luposudo. Rojade íngkíto, “Elishake irisinyo inam kídíem ngom pobika.” 
2KI.8.5	Gehaji bí rojadem kape kísa Elisha bí sina koo dem turmo tokudín delok legangem podungem delopak koo delok anede ekum arík legape roja delo rogula dagato. Gehaji poto, “Ngok ruutum roja, simoko de mimede, delokke sina Elishake iturkunam bík ue.” 
2KI.8.6	Rojade mimedem legangem íngkí kolok mimede legang takamem lukan bito. Delo rojade bík migom akonem mime delok legangem kaabi-tatbidope lulík geyéla sikepe poto, “Bík ato takamem bilat sulangkuka. Bíkke sok ennyokdak delok ila supak loope edítko bík amonglok murkong paanam kídí emkom bilat sulangkuka.”
2KI.8.7	Elishake Damaskas endo delo Siria lok roja Ben-Hadad kido. Edílo rojadem Elishake delo píínamem pokantodí, 
2KI.8.8	delo rojade Hajaelme sikepe políkto, “Amanko bomla Shédíke amidem kaarík sutoka. Bíme 
2KI.8.9	Damaskas lok kampo yalumna, gaiyalumna ekurangeke uut simon íying appi getengko amanpe gela Hajael Elishame kaaríksupe gíto. Bí Elishake aníndelo aala poto, “Nok oo, Siria lok roja Ben-Hadad bí kinam lok aiyékun dem íngkídope ngom lulíktung.” 
2KI.8.10	Elisha poyansuto, “Gílangkula bím pobi tolangku, ‘No berok rupe aiyéku,’ emlangka. Idola bí siyérung emla 
2KI.8.11	Delo bí Hajael me amige kemír yimape kaatí bomkolok Hajael annyinglok migmoe igepeko kaimato. Delo Shédíke amide kapkai.
2KI.8.12	“Kape ngok ruutum no kapdune?” emla Hajael íngkíto. Bí poyan suto, “Kapeila Israel ami kídíem nok itung-irépenamem ngo kéndung. No língkum kumgong sula duuna luune kídíem eme rílíkyé; koo kídíem yoksalok payinyé; ojing kídíem amonglo gepetlíkla nganga gena mime kídíem akiiem joksalyé.”
2KI.8.13	“Kape kísa nokke ekii kísana béérang si dekena agér iyén?” emla Hajael íngkíto. Elisha poyansuto, “
2KI.8.14	Delo Hajael Elishame mepala bík ruutum rojadelo aatoku. Ben-Hadad bím íngkíto, “Elisha bí nom kape emdon?” Hajael poyan suto, “No berokpe aiyéku emdo.” 
2KI.8.15	Idola longe kondem bí ege bisamnako laala asilo pyompala roja delok mikmo delo egedem tamlumla mokato. Bík sirongem Hajael Siria lok rojape ikai.
2KI.8.16	Israel roja Ahabke oo Joram bí dítak pilngonape rojape iduem Jehoshaphatke oo Jehoram Judahlok rojape ilento. 
2KI.8.17	Bík rojape ilen delo bí takying angum kolang taknyiduai. Delokke Jirusalemlok rojape dítak píínyiko yéto. 
2KI.8.18	Bí Israel roja kídí yénam kísapakpe yéla Ahabke erang ségupe yéto, kapeila bí Ahabke ome em méngpe bomto.
2KI.8.19	Dabidke odong delokke otíng-oyin kídíem agínpe angun dope meyaryé emla bí pébisutuai. 
2KI.8.20	Jehoramke rojape idodelo Edom doolunge Judahlok mirolpe irepla roja dongu sukai. 
2KI.8.21	Depeila Jehoram bík guré-gaari kídíem enbola Jairlo ento. Delo Edom ami kídare bímlang bík sipaying kídíem gargongto, idola yohdem bí pétlen getoku. Bík sipaying kídare agí among danpe duglat suyin getoku. 
2KI.8.22	Silo melope Edom kídíe Judah kídíem mirolpe imín sudung. Delo Libnah emnam among deteng mirolpe irepkai. 
2KI.8.23	Jehoramke rojape ido lokke abíd-abíd legangem, bí ingkona agér eke ituadí dem takam Judah kídílok roja dooying atkumko kitablo atkum manía? 
2KI.8.24	Jehoram bík abu kídílo immín gela, bím Dabidke doolung delo yuto. Jehoramke oo Ahajiah bík sirongem rojape iyanto.
2KI.8.25	Israel roja Ahabke oo Joramke rojape ila takying kolang taknyiko yédo delo Jehoramke oo Ahajiah Judahlok rojape yélento. 
2KI.8.26	Ahajiah rojape ido delo bík dítage tatkying annyi kolang taknyiko ido. Delokke bí Jirusalemlo dítak annyi petomko rojape ito. Bík anede Israel roja Omrike otene. Bík amíne Athaliah. 
2KI.8.27	Bík yédu-yébyange Ahabke ségu kísa 
2KI.8.28	Ahajiah Ahabke oo Joramme enbosula Ramoth Gilead amonglo Siria lok roja Hajaelme mimak imínsupe ento. Siria ami kídíe Joram me mimak delo tarí moketto. 
2KI.8.29	Depeila Joram bí Jejreel amonglo enlat sulangkula tarí moketnamdem duupísupe duutoku. Delo Judahlok roja Jehoramke oo Ahajiah bí Ahabke oo Joramme kaanampe Jejreello ento, kapeila bí kido.
2KI.9.1	Buluke yébosunam opéélok kaaluna miri akonem tomla Elishabí poto, “Nok galugem ugíngke uug delo péllík supala sim tél kaklak sim bomla Ramoth Gileadlo enkala. 
2KI.9.2	No delo pííyém Nimshike oten, Jehoshaphatke oo Jehume matalangka. Bím edílo kaarík suyédí, no bím petom tomngu supala pírtek kolo aabo langka. 
2KI.9.3	Delo tél kaklak sim bomla bím purlum dola sipe polangka, ‘Sikepe 
2KI.9.4	Depe yaamé kaaluna de Ramoth Gileadlo ento. 
2KI.9.5	Bík píído delo sipaying migom kídíe kebangko duubosudo. Bí poto, “Ngo nok legape políknamko kadung.” Delo Jehu bí íngkíto, “Ngoluke ara sokke sékome?” “Nomna, sipaying migom,” emla amide poyansuto. 
2KI.9.6	Jehu gerepla ekumlo aatoku. Delo amide Jehuke dumpong delo tél dem purlík dola poto, “Sikepe Israelke 
2KI.9.7	Ngo ngokke béérang kaalu miri, delokke abíd-abíd béérang kídíem Jejebelke alaglok yilíng bidmonam kídí edoem radokupe, no nok ruutum Ahabke ekum-erangem petyin langka. 
2KI.9.8	Ahabke ekum-erang takame nyokyinyé. Abíldak ruutumdak, ngo Ahab ke milokong takamem Israellok ipakyé. 
2KI.9.9	Ngo Ahijahke oo Baasha keelang Nebatke oo Jeroboamke ekum kísa dope Ahabke ekum erangem iyé. 
2KI.9.10	Jejebel ke simangem Jejreel amonglo ekiie dodope iyé, delokke sékoteng bík simangem yuna kamayé.” Delo bí eyabem siyya pala duktoku.
2KI.9.11	Edílo Jehubí lenlangkula migom angong kídí duupomlo aatokudín migom akonde bím íngkíto, “Kape takame aidunía? De tumna amide ingkoko nokkíng aabomdun?” Jehu poyansuto, “Nolu ami demlang bík ponam kídarem kéndung.”
2KI.9.12	Bulu pokai, “Ma, ngolu kénmang. Ngolum aroem posutola.” Jehu bí poyansuto, “Simoko bík poname, ‘
2KI.9.13	Delo bulu agíke galugem teyong yalum baale delo sotam pala Jehume leraape dakmoto. Bulu bikul mutla, “Jehu bí roje,” emla erím-erímpe gogyito.
2KI.9.14	Nimshike oten, Jehoshaphatke oo Jehu Joramme mirupe rulento. (Joram lang Israel takame Ramoth Gilead among delo Sirialok roja Hajael kelok lamkang dagbomdungai, 
2KI.9.15	Siria roja Hajaelme mimak ido delo Siria ami kídíe tarí moket namdem ipísukupe Joram roja Jejreello aalat sula duudoku.) Dekepe ila, Jehu bí poto, “Nolu sikepe míídumílo doolung sok sékokom gípit-gíyitla legang sim Jejreello pokan goope aimang.”
2KI.9.16	Delo bí guré-gaarilo resangla Jejreelpe ento, kapeila Joram Jejreello tarídem dunggela duudo. Depe idoem Ahajiah roja bím kangkape endo. 
2KI.9.17	Edílo tongi delo dakla kaatíbomna amide Jehuke maglíngdem kaatodí, bí goggong suto, “Ngo maglíngko sokdan aadakpe kaadung.” Joram bí ukumkai, “Gurélok amiko duktosula íngkí motoka, bulu aipeya aadune?”
2KI.9.18	Guré dukna amide Jehume poto, “Ngoluke roje nom aipeya aadune dem íngkídope lulígdung.” Jehu bí poyansuto, “Aipe aala nolu ingkoko iyén? Ngok méélam so gímín getola.” Tongilo dakla kaayanade pokai, “Amide bulum píngkai, idola bí aalat sukumang.” 
2KI.9.19	Depeila rojade annyinape guré dukna amiko melíktoku. Bí edílo bulukíng píngkadí delo bí ííto, “Ngoluke roje nolu aipeya aadune deme íngkídung.” Jehu poyansuto, “Aipe aala nolu ingkoko iyén? Ngok méélamlo gímín getola.”
2KI.9.20	Lekoda kaabomnade pokanto, “Bí bulum píngkai, idola aalat sukumang. Guré-gaari dukkor esi Nimshike oten Jehu kísape kaanamko, kapeila bí tumna ami kísa guré-gaariem dugbomdung.” 
2KI.9.21	Delo Joram ukum líkto, “Gurédem gaarilo kokyon suto.” Guréem gaarilo kokyon sulíkrodem Israellok roja Joram lang Judahlok roja Ahajiah bínyi agí-agí gaarilok Jehume ríksukolo duglento. Bínyi Jehume Jejreellok Nabothke moolop delo ríksuto. Delo Joram Jehume kaala íngkíto, 
2KI.9.22	“Kape Jehu no míípopía aadun?” Jehu bí poyansuto, “Edíloope nokke ane Jejebelke deddípe mimang kumtínam elang moya montronge kadudem, kape kísa míípoe kayén?” 
2KI.9.23	Joram pelkutsula dugdak langkula Ahajiahme gogto, “Ahajiah, si rukupname.” 
2KI.9.24	Jehu iyyi epugem ralnamrupe pugardola yokmoko Joramme gordung annyi pénsamlok apto. Yokmode bík ainangem torkéla, bí guré-gaari delo oletla sikai. 
2KI.9.25	Jehu bí guré sipaying migom Bidkarme ukumto, “Simang dem laala Jejreel lok Nabothke among elo yoblíktoka. Ngonyike, bík abu Ahabke méélamlo dugmín gedo delo, kape kísa 
2KI.9.26	 pobeng bito, ‘Melo ngo Naboth kela bík oo kídíke iyyiem kaato. Delokke ngo nolum sok areem so moolop so dordo kupe iyé.’ Dekemílo supak bík simangdem joola delo moolop delo 
2KI.9.27	Sim inam kídar sim kaapala Judahlok roja Ahajiah bí Beth Haggan bedangpe dugnyok gekai. Jehu bím monmín gedola, “Bímkom apto,” emla bottepe uglíkto. Bulu bím guré-gaari delo Ibleam luune ampengke Gur emnam doolung delo píídoem tarí moketto. Idola bí Megiddope duknyok gela delo silíkkai. 
2KI.9.28	Bík béérang kídíe bík simangdem guré-gaarilok Jirusalemlo gelík langkula, Dabidke doolunglo bík abulok ago ampenglo bímteng yutoku. 
2KI.9.29	Ahabke oo Joramke takying kolang takngo méélamlo Ahajiah Judahlok rojape ito.
2KI.9.30	Delo Jehu Jejreello píngato. Edílo legang takamem Jejebel tattodí, bí bík amigem morí ilíksula, dumídem kampope tuplaabsula, kirkikolok kaalendo.
2KI.9.31	Etor luuyab delo Jehu pédapakdo delo bí íngkíto, “Jimri, no míípopía aadun? No agí ruutumem petsune?” 
2KI.9.32	Jehu bí kirki danpe kaasasudola poto, “Séko bulu ngokke danpe idun?” Mumbal annyi demangkom angumko bím kirkilok kaalendo. 
2KI.9.33	“Bím joola so elbooto,” emla Jehu poto. Dekepeila bulu Jejebel me rumkíngpe yopletto. Bík iyyi kídíe ekum suppi demlang guré kídíem pyakkatto. Jehu bím guré-gaarilok dugjémla, 
2KI.9.34	ekum arang delo aala dolík-tíílík pala poto, “Kaatola béélíknam mime sim, supak bím yutoka, kapeila bí roja ome atome.” 
2KI.9.35	Idola bulu bím yupe emla ekum delok lenla kaaname bík tuklong, delokke ale-alag petome doodo. 
2KI.9.36	Bulu aalat sulangkula Jehume pobitoname bí pokai, “Si 
2KI.9.37	Jejebelke simangdem tona kaimape Jejreel moolop delo dootíla, sékoteng si Jejebel emla kangkén yimayé,’ emla políknam pakpe ikai.”
2KI.10.1	Samari amonglo Ahabke otíng-oyine íying kínídko kato. Jehu bí shitiko atla Jejreellok migom botte delokke doolung miro, Ahab ke otíng-oyin kídíem duubona kídílo melíkto. Shiti delo bí sikepe atto: 
2KI.10.2	“Noluk ruutum Ahabke oo kídíem nolu kaabomdung; delokke nolukíng guré-gaarie, gurée, mimak ekurange, delokke yabgo kumgong sunam doolunge kayindunade, sim shiti sim paayém menarupe, 
2KI.10.3	noluk ruutumlok ami aroyalumna oo akonem ullenla bík abulok roja inam sim imín gedope melíklangka. Delo noluk ruutumke legape mimak maglangka.”
2KI.10.4	Idola bulu bím pesola sikepe pobosuto, “Roja annyi ekai motum lamanam dem kape kísa ngolu ilayén?” 
2KI.10.5	Dekepeila, roja ekum dem kaabomna migom delang luune dem kaabomna migomde abíd miro kídíem dumsula, sikepe Jehume agomko melíkto, “Ngolu nokke béérange, no kape poyédí, depe ngolu iyé. Ngolu séko memkom rojape imodope tolík lamang. No nokke mííbape ilangka.”
2KI.10.6	Delo Jehu annyinape shitiko atla bulum bito: “Nolu ngok magpéépe idumílo, delokke ngok ponamem tatpemílo, noluke ruutumlok oo kídí lokke dumpongem bomla ngokkíng Jejreello nyampo supak kísaem aalangka.” Roja otíng-oyin adong kídíe íying kínídko doolung delok mirope yédungai. Jehuke shitidem paarongem, 
2KI.10.7	miro kídíde roja odong kídí takamem tomdum supala íying kíníddem pakato. Buluke dumpong kídídem kiirolo líkpala Jejreello Jehume melík bito. 
2KI.10.8	Tomlíknam amide pííla Jehume poto, “Bulu roja oo kídíke dumpongem gebitung.”
2KI.10.8	Delo Jehu ukumto, “Dumpong kídídem apom annyi kope doolung luyab delo rokom loope melangka.” 
2KI.10.9	Rokom dem Jehu gílenla, ami kídí kerang delo dagdola poto, “Nolu takam edo tarí kamang. Ngo moko agí ruutumem rungkupla petne, idola séko bulum takam petne? 
2KI.10.10	Kéntola demílo, Ahabke ekum erang legape 
2KI.10.11	Dekepe Jehu, Jejreello duuna Ahabke edung-erang, angong-arum, otíng-oyin, delokke bík míngkesunam migom takamem petyinto. 
2KI.10.12	Delo Jehu gílenla Samaripe ento. Mér Kaabomna Notko emnam among delo, 
2KI.10.13	bí Judahlok roja Ahajiahke edung-erangeke kaaríksula íngkíto, “Nolu séko bulu?” Bulu poyansuto, “Ngolu Ahajiahke edung-erangeke, delokke ngolu rojalok méng ome-oo delokke rani ane em kaape so tokdung.” 
2KI.10.14	“Bulum turdope umtoka,” emla Jehu ukum rodem bulum turdope umpala, kobung ampeng delo midum íying appi kolang annyi dem mokalíkto. Bí mitel koteng meturmato.
2KI.10.15	Delok bí gílangkula bím ríksupe aana Rekhabke oo Jehonadabme kaaríksuto. Delo bím yamrík dola Jehu pokai, “Ngo nom jonbo supe míínam kísa, nokom ngom jonbosupe míídunía?” “E, ngokom jonbosupe míídung,” emdo delo Jehu bí pokai, “Demílo nok alag dem kolo.” Bí delo agí alagdem bisu dodem, bí bím guré-gaarilo sosang dola, 
2KI.10.16	“Ngokkíng aatola, delokke 
2KI.10.17	Edílo Jehu bí Samarilo píílík tokudí, bí 
2KI.10.18	Delo Jehu ami takamem laadum supala poto, “Ahab bí Baalme anyong petomko agér gérbito, idola Jehu bí bojéko agérem gérbiyé. 
2KI.10.19	Supak Baalke kaaluna kídídem, bím kumsuna kídídem, delokke miri kídídem tomtoka. Mitel koteng mepitmape tomlangka, kapeila ngo Baalke legape botterupe soboko pabipe míídung. Séko so aamape iyédí bí turmayé.” Idola Jehu bí Baalke miri kídíem petyinpe emla bulum rukupla tomdumsuto.
2KI.10.20	Jehu poto, “Baalke amínlok duusumko gogdum sutoka.” Delo bulu Jehuke ponamdem takamdem pogoto. 
2KI.10.21	Bí Israel ami takamlo pogong monam legape Baalke miri takame aayinto. Bulu Baalke kumsu supom ekumlo bíísétpe aadum suto. 
2KI.10.22	Jehu bí kumsu supom ege-galuk biyana dem poto, “Baalke miri kídí legape lukdorlok laatoka.” Depeila bí buluke legape lukdorlok laabito. 
2KI.10.23	Delo Rekhabke oo Jehonadab lang Jehu bínyi Baalke miri kídí dem sipe poto, “Kanggong sutola, Baalke miri kídí kékonlo 
2KI.10.24	Bulu delo pabinam aman delokke romnam amanem bipe aralo aato. Kumpom ekum luyu delo midum íying píínyiko dakbom mola Jehu bí sikepe ukum líkto, “Séko keelok arangke ami kídí sim lenmo yékudín, bík ayanpe lenmokuna dem petyanyé.” 
2KI.10.25	Jehu bí romnam amanem birongem ekumdem dakbomna sontori kídídem ukumto, “Gíkala supak atel koteng mepitmape petyin langka.” Depeila bulu yoksalok bulum paka kayinto. Sontori kídíe simang kídídem luyulo elpak pakyin pala, Baal kumpom ekum meromlo aato. 
2KI.10.26	Bulu Baal uyu kumsu bomnam líídung dem joolenla rompakto. 
2KI.10.27	Kumbomnam líídung dem benpakla Baalke kumpom ekum demteng bénpakto. Bénpaknam ekum dem silo loope ami kídíe esi-regum ikengpe idung. 
