MAT.1.1	Yesus Kristus, opirati Daud muno Abraham aya ajavip, avaki no susye so rai:
MRK.8.29	Umba Yesus po manajo pare, “Yara weapamo wapare Risyamo are pi Risy?”
MRK.8.29	Umba Petrus po raura akananto Ai pare, “Injae, Winyirati Mesias.”
MRK.8.30	Umba Yesus po apa arakove maorai pare, “Vemo wapo Sya tamo Mesias ravovo vatane mai nora!”
MRK.8.31	Umba Yesus po apa arakovo utavondi aije manyao pare, “Risyirati Arikainyo Vatan, indati siurijo manakoe nande Rinai. Akarijo Yahudi nawe, syeno akokoe utantuna no Yavaro Amisye raije nawe, kuruno makari mbaro Ananyao Musa raije nawe ware wo rinawatambe. Indati vatane wo inaubaisy, weramu masyote mandei umba ikovakato no wene rai.” 
MRK.8.32	Yesus po ayao umaso raura kakavimbe Apa arakove mai.
MRK.8.32	Weramu Petrus po Yesus aijade teto arijat indamu payao nanto Ai mumuimbe. Petrus pare, “Injae, vemo Nyo ayaowe wato raura nora, weye mamaisye ramu!”
MRK.8.33	Weramu Yesus sarirae akare Po apa arakovo utavondi aije maen, umba Po raura nanto Petrus ai soowabe pare, “Anakakai Akoe, nyusyo ra nto rinaora! Nya ana ndatantona wato mamo Amisye apa ma jewena, yara vatane awa ma.”
MRK.8.34	Umba Yesus po vatano wanuije nawe, Apa arakovo utavondi aije nawe, mawainde. Po raura nanto mai pare, “Vatano rui pi beker pare tavondi Inaije pamo be taiso: opamo akirive taune apa bekere rai, umba po inyo kapite ranawan muno tavondi Rinai kobe. 
MRK.8.35	Are pirati beker pare po apa kovo mine so ramavug, opamo indati apave kovo nuge nuganuije raije ramu. Yara are pirati nanto wene rai weye tavondi Rinai muno po Ayao Kove ravov, opamo indati apave kovo nuge nuganuije rai. 
MRK.8.36	Ranivara vatane inta apaura mine vone so rai vintabo weramu apa kovo nuge nuganuije rakanive ai, weamo apaura mine so raija marudi. 
MRK.8.37	Weye vatane apa kovo nuge nuganuije mamo anakotare inta veano ranigwane kakai.
MRK.8.38	Weapamo wana no vatano ukakainoanive muno wonayo Amisye aije awa yasyine rai. Weramu are pirati samane po Sya tame raura muno po Sya ananyao raura vatano wanui mai, weamo Risy, Arikainyo Vatan, indati risamane Syo aura tavon no Amisye amun arono syakare no mine vone so irati Sya Injaya apa kovo ntiti rautan muno naito kov Amisye mautan tenambe.”
MRK.9.1	Yesus po raura pare, “Syo raura tugaive wasai: Vatane inta una no wapa yasyine so wana unanta wene rai rainy, indati wo Amisye aeno de irati Apa vambunine rautan indamu be akarive Apa kawasae mai no mine vone so.”
MRK.9.2	Masyote kaujentabo akato, Yesus po Petrusa pe Yakobusa pe Yohanesa pe mauga ti usea no unato ntitije inta rai, obo una mumuimbe. Naije wo Yesus aen anakea rawerave ti nsasye no mansamun. 
MRK.9.3	Apa ansune mpoper muno ntumbe rave, mo ansuno rapapi ra mpoper no mine vone so rakivan tenambe. 
MRK.9.4	Naije kobe Yesus apa arakove mandei umawe wo Musa muno Elia yaen yayao nanto Yesus ai. 
MRK.9.5	Umba Petrus po raura nanto Yesus ai pare, “Injayo Kurune, wana no soamo ko dave! Syare reamo randume mandeija yanari: inta ranari Injae namarom, inta ranari Musa amarom, inta ranari Elia amarom.” 
MRK.9.6	Petrus po rauranare naije, weramu apa ana daura ma pantatukambe raija, weye onawamo ujani dave.
MRK.9.7	Kavuratawe kamuro poper inta nde mo mansatatuv, umba udanita anamote inta ngkin no kamure ama uga mare, “Sopamo Sya Arikainyo inanuga no Ai. Wapo araniv kobe rave!”
MRK.9.8	Umba kavuratawe wo usaidijoe raen kiani jakato, vatano uma usaiyo matavonoe mansaumandi vintabo to yara Yesus taune bop.
MRK.9.9	Arono una no unat ti wakajeve, naije Yesus po apa ayao raura nanto mai inda mansaemen dai pare, “Vemo wapo ana wapo raen umawe raura vatano kaijinta mai jinya, yara no ava Risy, Arikainyo Vatan, ikovakato no wene rai rati.”
MRK.9.10	Yesus apa arakovo mandeije umaso ubeta Apa ayao umaso rai, wo ana nande umawe raura vatane maije ramu. Weramu wayao vambinibe ware, “Apa ayao pare kakai ara kovakatoe wato ama tunato raije mamo no tai rui?” 
MRK.9.11	Umba wo Yesus anajo ware, “Veanimaibe kuruno makari mbaro Ananyao Musa raije wo raura ware anawae Elia wepi de wusyimbe rati, umba Mesias dijat?”
MRK.9.12	Yesus po raura akananto mai pare, “Tugae, Elia pamo de wusyin indamu po anakotare ratayao mamai tenambe. Weramu animaisye mi Ayao Amisye mo rinaura? Mo ratoe mare Risy, Arikainyo Vatan, indati risiuri rave muno vatane wo rinave tatugadi. 
MRK.9.13	Muno Syo raura wasai: Elia pamo de to, weye Yohanes Pembaptis opamo vatano po Elia apa anakere raijare pije. Muno vatane wo ave tatugadi mamaisyo awa bekere rai, mamaisy irati urairijo ratoe no Ayao Amisye raijoe rai.”
MRK.9.14	Arono Yesus muno Apa arakovo mandeije umawe wakare no Apa arakovo kaijinta mansai, wo vatano wanuije maen wanugano makiani. Kuruno makari mbaro Ananyao Musa rai inta wayao ensembe nanto Yesus apa arakove umawe mansai. 
MRK.9.15	Arono vatano wanuije umaso wo Yesus aen, upaparo mai umba wansanan indamu wo kove raura Ai. 
MRK.9.16	Yesus po apa arakove umawe manajo pare, “Animaisye mi wapayao ensembe nanto kurune wato mai?”
MRK.9.17	Umba vatane inta no no awa yasyin po raura nanto Yesus ai pare, “Injayo Kurune, syo sya arikainye augare Winai weye anawayo kakaije mo aveti awa ngkao. 
MRK.9.18	Arono anawayo kakaije mo antutup, weamo mo anasine raugaje mo ranepato kopa rai, awa kavavugae muje, atomokane ntitiki, umba anakea mpanyoan tenambe. Syo Nya arakovo utavondi naije manajo indamu wo anawayo kakaije umawe rawatambe, weramu umamaisye ramu.”
MRK.9.19	Umba Yesus po raura akananto mai pare, “Abo! Tugaeyamo weapamo vatano wapanave kobe jewen! Risyamo inatawandi wasai nugoenta to! Rino no wapa yasyine rai, Syo wasanyao nugoenta to, weti nandui rati umba wapare wapanave Rinai? Syare nyo arikainye umawe augavere Rinai.”
MRK.9.20	Weti wo arikainye umawe augavere kobe Yesus ai. Weramu arono anawayo kakaijo nowo arikainye umaso ai mo Yesus aen, kavuratawe mo arikainye umaso aveti anasine mangkangkambe, umba tende doyabe no kopa rai, muno awa kavavugae muje. 
MRK.9.21	Yesus po arikainye umaso apa aja anajo pare, “Opamo beare so maisya tume ruimai to?”
MRK.9.21	Apa aja pare, “No arono mamaunoea ndea panakoe so. 
MRK.9.22	Anawayo kakaije so mo nandeve ai tutira manui rave mare mo aubaisy. Ti intanamo mo aveti temasyo taname rai, umba intanamo mo aveti temasyo mana rai. Injae, naemeno reansai! Ranivara Nya vambunine mamaisy, weamo syare Nyo kove raunande reansai!”
MRK.9.23	Yesus po raura pare, “Vemo nyo raura nyare, ‘ranivara Nya vambunine mamaisy,’ weinya! Nya anave Rinaije mamaun dave. Yara Amisye pare po anakotaro rui vayave raunanto vatano panave Aije ai.”
MRK.9.24	Naije kobe aja gwain pare, “Syanave ivae, weramu syanave mamaun ti syare Nyo kove raunande rinai inda syanave manakoe.”
MRK.9.25	Arono naije Yesus po vatano wanuije maen wansansanan ude wanunugambe, weti pavave Po anawayo kakaije rawatan pare, “Anawayo kakaije, winyirati nyo arikainye so aveti amarikoame mpapaki, awa ngkao, syare winyusyo arikainye so aora! Muno vemo nyakaiso ai jakato inya!”
MRK.9.26	Anawayo kakaije munanto akoeve, mo arikainye umawe aveti anasine ntampopot ai, umba musyo aora. Naije arikainye umaso anakea manin dave maisyare kakaije wemaisy, weti vatano wanui ware kakai to. 
MRK.9.27	Weramu Yesus po arikainye umawe aneme raijaseo, ti seo tet, sauman kobe.
MRK.9.28	Umba Yesus siso no yavar muno Apa arakovo utavondi aije obo utavondi ti una mumuimbe. Umba arakove umaso wo Yesus anajo ware, “Injae, veanimaibe irati reamo anawayo kakaije umaso rawatambe jewen? Veanimaibe reamamaisye jewen?”
MRK.9.29	Yesus po raura nanto mai pare, “Anawayo kakaijo maisyare so maisye rawatan irati ana kaijinta raije jewen, yara wasambayambe wadaura seo obom ndave, wea umba pusyo.”
MRK.9.30	Yesusa pe apa arakovo utavondi aije nawe wusya uno raije raora umba wanya uta no Galilea. Yesus ponayo vatano wanuije wo aeni, 
MRK.9.31	weye Po apa arakovo utavondi aije manyaube. Po raura mai pare, “Risy, Arikainyo Vatan, indati rinamavun nanto vatano mine so mai. Indati wo rinaubaisy, weramu masyote mandei umba ikovakato no wene rai.”
MRK.9.32	Weramu Apa arakovo utavondi aije wantatukambe Apa ana daura umaso ama tunato raije rai, muno ujaniv weti wo anajo raije ramu.
MRK.9.33	Yesusa pe wanya unanta no munijo Kapernaum. Usisa no yavar, umba Yesus po apa arakovo utavondi aije manajo pare, “Animaisye mirati wapayao ensembe rai no unanuije ama yasyine umawe?”
MRK.9.34	Weramu usamane ti umanin bayave. Weye unanuije ama yasyine umawe wayao ensembe ware onawamo are pirati panakoeve mansai.
MRK.9.35	Yesus tuna umba Po apa arakovo abusyinara eane rurum mawainde. Po raura mai pare, “Vatano are pirati pare seo tame rai, syare anuga mpaaje muno opamo apa arakove nawamo panapatambe mai tenambe.”
MRK.9.36	Umba Yesus po arikainyo tuvane inta augavere te no mansamun, umba Po aijade po akepan. Muno Po raura nanto Apa arakove mai pare, 
MRK.9.37	“Are pirati bekobe arikainy tuvano maisyare somaisye ai weye panave Rinai, opamo bekobe Rinai to ije. Muno are pirati bekobe Rinai, opamo bekobe Sya Injayo po inatutire Ai to.”
MRK.9.38	Umba Yohanes po raura nanto Yesus ai pare, “Injayo Kurune, reamo vatane inta aen po anawayo kakaije rawatano Injae nya tame rai. Weti reamo ansopi weye tavono wansaije ramu.”
MRK.9.39	Yesus po raura pare, “Vemo wapo ansopi nora, weye are pirati po Sya tame veano anapaporainye raroron, weamo indati po inaura tantunawije jewen. 
MRK.9.40	Are pirati po wansave tatugadije jewen opamo wama arakova pije. 
MRK.9.41	Are pirati po mana inta raunande wapo ramanam weye watavondijo Mesias rinai, opamo indati po ama ine raen, weye Amisye po kove inta raude ai jaje.”
MRK.9.42	“Weramu are pirati po arikainy tuvano wanave Inaije inta aponae ti po ayao kakaije rave, opamo indati Amisye po parijo mangke raugaje ai. Weti kove mamo orame rapuisyo vatane wato ai amaugusyo no mayane rai indamu mansyan, weye wemirati mangke mamaun, yara mangke Amisye pare po raugaje ai manakoeve mo mangke umaso rakivan.
MRK.9.43	Ranivara naneme mo naugavo ayao kakaije raron, weamo nyo raotar da ndamauta. Weaveti winsiso kovo nuge nuganuije rai naneme intabo ngkovo obo rautan, omamo ngkovo nai. Weramu ranivara winyo ayao kakai rave tutir, weaveti winsiso tanamo mbadururo nuge nuganuije rai naneme jirum rautan, omamo ngkove ramu. 
MRK.9.44	Tanamo mbadurure ratuije omamo mpamoe ramu, muno kangkuname wo anasino kopa rai tutir, weti siurije noa nuge nuganui. 
MRK.9.45	Muno ranivara najoe mo naugavo nyo ayao kakaije rave, weamo nyo raotar da ndamauta. Weaveti winsiso kovo nuge nuganuije rai najoe intabo vayave rautan, omamo ngkovo nai. Weramu ranivara nyo ayao kakai rave tutir, weaveti namaugusyo tanamo mbadururo nuge nuganuije rai najoe jirum rautan, omamo ngkove ramu. 
MRK.9.46	Tanamo mbadurure ratuije omamo mpamoe ramu, muno kangkuname wo anasino kopa rai tutir, weti siurije noa nuge nuganui. 
MRK.9.47	Muno namije mamo mo naugavo ayao kakaije raron, weamo nyo rakewar uje. Weaveti winsiso munijo Amisye be akarive raije rai namije intabo vayave rautan, omamo ngkovo nai. Weramu ranivara nyo ayao kakai rave tutir, weaveti namaugusyo tanamo mbadururo nuge nuganuije rai namije jirum rautan, omamo ngkove ramu. 
MRK.9.48	Tanamo mbadurure ratuije omamo mpamoe ramu, muno uve wo anasino kopa rai tutir, weti siurije noa nuge nuganui.
MRK.9.49	Amisye po taname veano vatano wanave Aije mamer tutudi indamu manuga ndandinit, maisyare muno syene wo garame rataopondijo anakotaro rameseo Amisye aije rai indamu mamaisy. 
MRK.9.50	Weapamo wasaurata irati garame rai. Garam omamo ngkov, yara mare ngkurude to, weamo ngkov akatoe ramu. Weti maisyare muno garame mo kove raunande anaisye rai, maisyare wemai tavon syare wapo kovo saumane raunande indamu wasaumano wasai vambinibe.”
MRK.10.1	Yesus puje no munijo Kapernaum raora umba Po mana Yordan raotar ti siso no Yudea. Vatano wanuije ude akato wanunugambe akiani umba Po mansanyao akato, weye arono rui vatano wanuije ude Ai opamo pananyaube.
MRK.10.2	Vatano Parisije inta ude tavon ware wo atopano Apa ana daura rai. Weti wo anajo ware, “Vatane inta po apa wanya rauguje aora, weamo mamai dako jewena e?”
MRK.10.3	Umba Yesus po raura nakananto pare, “Animaisye mi Musa po wasanyao rai?”
MRK.10.4	Wo raura nanto Ai ware, “Musa po raura pare anya po apa wanya rauguje kai, po ama nyovara wao rauguje ratoe rati indamu mo raugav umba muje kobe.”
MRK.10.5	Umba Yesus po raura akananto mai pare, “Weapamo wasanuga matu wemi mbewar Musa po ananyao umaso raugaje wasai. 
MRK.10.6	Weramu po ratoe tavon pare, ‘Arono munije ama manasyinoe Amisye po vatane yanarijamo anya pe wanya me naye.
MRK.10.7	Maisyare omai ti, anya po akoya me aja pe yapaya ti inya, yara to apa wanya rai, yanasine mbe intabove.’
MRK.10.8	Weti, wenayamo ibe rurumbe akatoe ramu, yara ibe intabove. 
MRK.10.9	Maisyare omai ti, Amisye po anya, wanya umaso yanugande ibe intabove, weti vemo vatane wo yaporabe jirum akato inya.”
MRK.10.10	Arono Yesusa pe usisa yavare rai jakato, Apa arakovo utavondi aije wo anajo anakotare umawe rai. 
MRK.10.11	Umba Yesus po raura nanto mai pare, “Are pirati po apa wanya rauguje aora yara po wanya kaijinta raovan akato, vatano napije serer. 
MRK.10.12	Maisyare omai tavon, wanya inta mo ama anap auguje raora yara mo anya kaijinta aovan akato, weamo wanya namije nserer.”
MRK.10.13	Vatane inta wo awa arikainye maugavere no Yesusa nui indamu Po aneme raugaje ntamijo mai umba Po kove raugaje mai. Weramu Apa arakovo utavondi aije uparijo vatano wo arikainye maugare umaso mansai, weti ware wo mansaorai. 
MRK.10.14	Arono Yesus po umaso raen, pari. Umba Po raura nanto mai pare, “Vemo wapo arikainye umaso mansaorai nora, yara mapaya vayave ra ude Inai kai! Weye vatano maisyare arikainye so mansamaisy onawirati mato sisa kawasaeyo Amisye be akarive mansaije mai. 
MRK.10.15	Syo raura tugaive: are pirati apa anave Amisye aije omamo maisyare arikainye so awa ramaisye jewen, opamo tavondijo kawasaeyo Amisye be akarive maije mai ramu.” 
MRK.10.16	Naije Yesus po arikainye umawe maijade Po makepan, umba Po aneme raugaje ntamijo mai muno Po kove raugaje mai tetebe.
MRK.10.17	Arono Yesus panya Apa unanui anya rai jakato, naije vatane inta pansanan de no Yesusa nui. Umba po vukane ranteter no Amun, po anajo pare, “Kuruno ko dave Winy, animaisye mirati syo rave indamu syaveo kovo nuge nuganuije rai?”
MRK.10.18	Yesus po raura akananto ai pare, “Mbeanimaibe nyare Risya kov? Amisye bo pi kov, yara kaije nawamo jewen. 
MRK.10.19	Winyo Amisye apa ananyaowe raen to no taiso: ‘Vemo nyo vatane maubaisy inya, vemo nyo anaerere rave inya, vemo nyanaonoambe inya, vemo nyayarurijabe vatane mai jinya, vemo nyo vatane maponae inya, muno mbeaje irati inya pe nangkoya me yai.’
MRK.10.20	Vatane umaso po raura akananto Yesus ai pare, “Injayo Kurune, ananyaowe umaso mamo ritavono rai tenambe no arono ikamuramoe.”
MRK.10.21	Yesus po vatane umaso aen muno aemeno ai, umba Po raura nanto ai pare, “Ana inta bo mirati wintavondijo raije ramu. Nyoronto nyo nya ananuge ramavun tenambe umba nyo ama doije raunanto vatano awa ananuge meweno mansaije mai, wea umba Amisye po kove ratayao ti ntuna mo nanyut no munijo ntiti. Wea umba nde ra ntavono Rinai.”
MRK.10.22	Arono vatane umaso po Yesus apa ayao umaso ranaun, amune ntende. Weti puje yara animaumbe rave weye apa ananuge manui rave.
MRK.10.23	Umba Yesus po apa arakovo utavondi aije maen tenambe, Po raura nanto mai pare, “Vatano apa ananuge manui rave opamo sosobe aijo tavondijo kawasaeyo Amisye be akarive maije mai.”
MRK.10.24	Yesus apa arakove unantaive Apa ayao umaso rai. Umba Po raura nakato pare, “Sya arikainye weap, vatane ware utavondijo kawasaeyo Amisye be akarive maije mai, weamo sosobe mai. 
MRK.10.25	Tugae, vatano apa ananuge manui pare siso kawasaeyo Amisye be akarive maije mai omamo nsosobe rave, maisyare unta siso kuwayaisyije apa uga ai, weamo mamaisye ramu.”
MRK.10.26	Yesus apa arakovo utavondi aije upaparo mai, weti wo raura wasai vambinibe ware, “Wakoe! Maisyare omaisyamo are pirati indati kovo nuge nuganuije raunande ai? Vatane inta mamaisyo rai ramu!”
MRK.10.27	Yesus po maen umba pare, “Vatane nawamo umamaisye ramu, yara Amisye bo pi bambunin po kovo nuge nuganui raunande vatane mai. Amisye bambunin po anakotaro rui vayave rave.”
MRK.10.28	Umba Petrus po raura Ai pare, “Injae, Nyo reansaenamo reamo anakotare rapaya vintabo to indamu reantavono Injae nai.”
MRK.10.29	Yesus po raura akananto mai pare, “Syo raura tugaive: are pirati po apa arakovo anya, wanya nao rako, akoya me aja pe nai rako, apa arikainye nawe mapaya ti una, muno po apa yavare ndako apa nawaisye rako rapaya ti ntuna indamu tavondi Rinai muno po Ayao Kove raugavo vatane mai, 
MRK.10.30	opamo Amisye po kovo manakoe raugakanande ai. Amisye pare po yavare, arakovo anya, wanya, akoya, arikainye, muno nawaisye raugakanande ai ti awa manuije nseo rave no nugo naiso. Weramu vatano napije pamo vatano mine so manuga mamuno ai muno wo ave tatugadi weye tavondi Rinai, weramu arono munije ama akari indati Amisye po kovo nuge nuganuije raunanto ai. 
MRK.10.31	Weramu vatano wanui nanawirati wuibe no mine so indati wakare udijat arono munije ama akari. Yara vatano wanui nanawirati udijabe no mine so nawamo indati wakare wuisy akato.”
MRK.10.32	Yesusa pe wanya ti uta no Yerusalem, Yesus wepi puisy. Apa arakovo utavondi aije onawamo manuga mamaun, muno vatano wo marijate ujani dave. Umba Yesus po apa arakovo abusyinara eane rurum mawainde mumuimbe, umba Po ana indati nande Aije raura mansai. 
MRK.10.33	Pare, “Wadanide! Soamo wamare wanta no Yerusalem. Wansisa rai umba Risy, Arikainyo Vatan, indati inamavun nanto irati syeno akokoe muno kuruno makari mbaro Ananyao Musa raije mai, umba wo mangke rapatimugo Rinai inda ikakai. Umba wo inaunanto no vatano Yahudi jewene mansai. 
MRK.10.34	Indati wanaikebe Rinai muno wo inanyipube. Indati wo inanepato kaijo waije rai, umba wo inaubaisy. Weramu masyote mandei umba ikovakato no wene rai.”
MRK.10.35	Yakobus muno Yohanes, onayamo Sebedeus apa arikainye naya, je no Yesusa nui, umba yo raura Ai yare, “Injayo Kurune, ana inta mi ririmbekero rai rimare Nyo raunande irati ririnsamarom.”
MRK.10.36	Weti Yesus po yanajo pare, “Animaisye mirati wuribekero rai ipare Syo raunande isai?”
MRK.10.37	Umba yo raura nanto Ai yare, “Rimbeker rimare ririmamo inta tuna no Injae nanem ngkove rai, inta tuna no nanem ngkakai rai arono wimbe akarive muno Nyo nya kovo ntiti raroron.”
MRK.10.38	Yesus po raura yai pare, “Wuripamo ipantukambe ipa ana idanajo wato rai! Indako ipare itavono Inai ti siurijo manakoe syare Syo ranawan omamo ipo ranawan tavon dako? Muno siurijo kakaijo syare inatawandi raije mamo ipare itavondi isatawandi rai tavon, wuripa mamai dako?”
MRK.10.39	Yo raura akananto Ai yare, “Ririmamaisy aje.”
MRK.10.39	Umba Yesus po raura nakananto yai pare, “Tugae, indati wuripamo itavono Inai ipo siurijo manakoe ranawan, muno isatawandi siurijo kakaije rai. 
MRK.10.40	Weramu are pirati tuna no inanem ngkove muno tuna no inanem ngkakai wemamo Risya syo rapatimuge ramu, yara Amisye pi po rapatimugo are nairati jantuna rai.”
MRK.10.41	Arono Yesus apa arakovo kaijo abusyin wo ana umawe ranaun, uparijo Yakobusa pe Yohanesa pe yai. 
MRK.10.42	Weti Yesus po mawainde vintabo, umba Po raura nanto mai pare, “Wapo raen akarijo mine so manayanambe wo awa vambunine rarorono vatane mai. Muno vatano wanakoe manayanambe wo vatane matutir. 
MRK.10.43	Weramu weapamo wabemo wabe taije maisy inya. Yara are pirati beker pare panakoeve no wapa yasyin, syare opamo panapatambe wasai. 
MRK.10.44	Muno are pirati pare seo tame rai, syare opamo panapatambe vatane mansai tenambe. 
MRK.10.45	Syare wapanapatambe maisyare naije weye Risy, Arikainyo Vatan, ride indamu vatane wanapatambe Rinai omamo jewen, yara ride indamu syanapatambe vatane mai muno Syo inanasine raunande kakai indamu Syo vatane wanui mapaya awa ayao kakaije rai.”
MRK.10.46	Yesusa pe apa arakovo utavondi aije nawe usisa no munijo Yeriko. Arono wusya irati munije umawe raora, umba vatano wanuije wusya vintabo utavono mai. Naije vatano amije ntuba inta tuna no unanuije ama tuga panatambe. Vatane so apa tame mirati Bartimeus, opamo Timeus apa kavo pije. 
MRK.10.47	Bartimeus umaso po Yesus, vatano Nasaret, anauno detowi, weti gwain pare, “Yesus, Daud apa ajavijo Winy, naemeno rinai!”
MRK.10.48	Vatano wanui uparijo ai ware, “Manin!”, weramu gwain akoeve akato pare, “Daud apa ajavijo Winy, naemeno rinai!”
MRK.10.49	Umba Yesus te kobe, Po raura pare, “Wapo awainde.”
MRK.10.49	Umba wo vatano amije ntuba umawe awainde ware, “Winde rati! Muno nanuga mbambunin! Weye Yesus po nawain.” 
MRK.10.50	Vatano amije ntuba umawe po ansuno po veano akepane rapaya ti ntami, umba seo pavave de no Yesusa nui.
MRK.10.51	Yesus po anajo pare, “Animaisye mi nyare Syo raunande nai?”
MRK.10.51	Umba vatano amije ntuba umaso po raura pare, “Injayo Kurune, syare ibekero syo nuge raeni.”
MRK.10.52	Umba Yesus po raura akananto ai pare, “Nyoronto kai. Winyanave Rinai jivae, wirati winsaumanoe.”
MRK.10.52	Naije kobe vatano umaso amije mbar ti po ana raen kakavimbe, muno panya Yesus atavono Apa unanui anya rai.
MRK.11.1	Arono Yesus pararai no Yerusalem, nanto no munijo Betpage muno Betania, no no Pukamo Saitun ama awananem. Umba Yesus po apa arakove rurumo javondijo aije yatutir yuisy. 
MRK.11.2	Pare, “Wurita sisa no munijo mararai no usye wato rai. Naije kobe ripo keledaijo kamuram raokae ti nte no ratuije inta raen. Keledaije ratuije omamo vatane inta useave rai rainya nene. Ti ripo waije raneka rai indamu ipo rauga da ride no Rinui. 
MRK.11.3	Vatan inta ware wo risanajo ware, ‘Ibeanimaibe ipo keledaije wato raneka ti ripo raugav?’ Weamo ipo raura nanto mai ipare, ‘Injayo Yesus pare bekero rai, ti kavinta rati umba Po raugavakare.’ ”
MRK.11.4	Yesus apa arakovo rurume umaso ija nyanta irati keledaijo kamuram umaso rai raokae ti nte no unsanda yavare repon unanuije tuga. Umba yo keledaije umaso raneka. 
MRK.11.5	Vatano usai no ratuije wo yanajo ware, “Ibeanimaibe irati ipo keledaijo kamurame so rapaya?”
MRK.11.6	Umba yo ana uma Yesus po raura yaijoe raura mai, weti vatane umaso wo raura ware, “Ipo keledaije so rauga kai.”
MRK.11.7	Arono yo keledaije rauga ti nyande Yesus ai, Apa arakovo utavondi aije wo awa ansuno veano makepane rayanondijo keledaije ama akiri mona rai, umba Yesus seo tuna rai. 
MRK.11.8	Vatano wanuije wo awa ansuno veano makepane rayanondijo unanuije yasyine rarijat, muno inta wo kaipe waowe rauga no nawaisy wo rayanondijo unanuije rarijat tavon. Umba Yesus panya rai ti to kobe. 
MRK.11.9	Vatano wanuije wanya inta wuisy, inta udijate. Umaso manayanambe tenambe ti ugwain ware,
MRK.11.10	“Amisye ararimbe!
MRK.11.10	Kove ngkov irati Napi de tamo Amisye rautane Ai!
MRK.11.10	Kove ngkov irati wama aneno Daud apa ajavi Apa de be akarive wansaije rai!
MRK.11.10	Amisyo no no munijo ntiti ararimbe!” 
MRK.11.11	Umba Yesus siso no Yerusalem. Arono siso no Yavaro Amisy, panya Po raen kiani tenambe. Weramu mare mbera ngkaumur kobe ti puje to no munijo Betania muno Apa arakovo abusyinara eane rurume utavono Ai.
MRK.11.12	Sansimambe umba Yesusa pe apa arakovo utavondi aije nawe wuje Betania raora, naije Yesus maror. 
MRK.11.13	Po inyo ara inta raen nteto gwaravaimbe, ama waowe muman dave, ti poroto no ama ruk indamu Po ama mane raen. Weramu arono nanto ama ruke rai, Po raen ama mane mewen dai yara ama waowe bo ma, weye ama masyoto mane nande ma nde rainya nene. 
MRK.11.14	Umba Yesus panaamatambe inyo ara umaso rai pare, “No naiso kobe, indati vatane inta po nya mane inta raisy akatoe ramu gao nuge nuganui.” Muno Apa arakovo utavondi aije wo Apa ayao po raura nanto inyo ara umaso ranaun.
MRK.11.15	Naije unanta no Yerusalem, umba Yesus siso no Yavaro Amisy. Umba Po vatano wanamavumbe no naije mawatan. Muno Po vatano wo doi amijo kaijinta raugare raveano doi ami Yahudi ranigwane awa meja rangkukuv, umba Po vatano wo insanijo puname mamavune awa bangkoe rangkukuv tavon. 
MRK.11.16	Umba Po vatane mansopi, pare, “Vemo wapo ananuge rauga wapanya wapo Yavaro Amisye ama wanijateye raideta nora.” 
MRK.11.17	Muno Po vatano nanawije manyao pare, “Ayao Amisye mo ratoe mare, ‘Sya yavare omamo rawainamo yavaro sambaya vatane kotaro ntuna no mine so mansai tenambe.’ Weramu wapo ravea maisyare vatano mamun wanaonoambe awa una rai bo inta ramai dave.”
MRK.11.18	Arono syeno akokoe utantuna no Yavaro Amisye raije nawe, kuruno makari mbaro Ananyao Musa raije nawe wo Yesus apa ana po rave umawe ranaun, ubeker ware wo aubaisy. Weramu wo asyaniv weye vatano wanuije unantaive Apa ananyaowe rai.
MRK.11.19	Mare ngkaumur kobe, weti Yesusa pe apa arakovo utavondi aije nawe wuje irati munijo Yerusalem raora.
MRK.11.20	Awatan ngko dave, Yesusa pe wanawadijo inyo ara umawe ama ruke raito. Muno wo inyo ara umaso raen omamo ngkanena masyo no ama piipe waraya ti ngkakai to. 
MRK.11.21	Petrus aemeno ana namanawe rai weti po raura nanto Yesus ai pare, “Injayo Kurune, nyerato! Inyo ara nyanaamatambe raijoe ngkanen to!”
MRK.11.22	Umba Yesus po raura pare, “Syare wapanave Amisye ai. 
MRK.11.23	Syo raura tugaive: ranivara wapo unate wato raura nanto wapare, ‘Nyansop usya ntento no mayan!’ weamo wadaura somamo Amisye po raunande wasai kobea. Weramu weapamo vemo wamamaundive rai jakato inya, yara wapanave wapare animaisye mirati wapo ranajo nande kobe, naijeamo Amisye po raunande wasai. 
MRK.11.24	Maisyare omai ti, animaisye mi wabe sambayambe wapo ranajo Amisye ai, weamo wapanave kobe wapare Po raunande wasai. Tugae, indati Po raunande kobe wasai.
MRK.11.25	Arono wabe sambayambe, ranivara wasanuga mparijo vatane inta ai ma inta no wasai, weamo syare wata wapo aneme raija dati inda wasanuga nsauman. Syare wapo raveare wemaisy indamu wapa Ajayo no no munijo ntiti Po wapa ayao kakaije rapaya wasai. 
MRK.11.26	Weramu ranivara wapo aneme raijare jewen, indati wapa Ajayo no no munijo ntiti Po wapa ayao kakaije rapaya wasaije ramu.”
MRK.11.27	Wakare akato no Yerusalem, umba Yesus pananave Yavaro Amisye rakiani. Naije syeno akokoe utantuna no Yavaro Amisye raije nawe, kuruno makari mbaro Ananyao Musa raije nawe, akarijo Yahudi nawe ude Ai. 
MRK.11.28	Wo anajo ware, “Vambunino rui mirati Nyo raveare somaisy? Are pirati po vambunine so raugaje Nai?”
