GEN.1.1	Tota hoqarero Kotiva naaruvavata vatavata autu kero vatora. 
PSA.29.7	Noravano Kotiva uva tivaro vira uvavano aaquakaa qovarama kaivaro uti vaira.
PSA.29.8	Viva uva tivaro aahara vataini vai vatava, ekaa qakaa qakaa i vaira. Viva Kadesini Aahara vata qaki qakima kaira.
PSA.29.9	Noravano Kotiva uva tivaro vira uvavano nantaqi nora katari, vo katari vo katari rare raarerama kaimanta ekaa katari mare ratutu vuara.
PSA.29.9	Minti vaimanta Kotira Naavuqi ruvaaqumavi variaka naverai tiha, Kotira mpeqa okaravano takuqi vaivo, tiara.
PSA.29.10	Noravano Kotiva nai avuhainaa taintaqaa oquviro vaiharo nora namariqaa raqiki vairave.
PSA.29.10	Noravano Kotiva Avuhainaava ekaa enta ekaa enta raqikiqiro vuanarove.
PSA.29.11	Noravano Kotiva nai vaiinti nahenti kempukaiqama nimite vairave.
PSA.29.11	Noravano Kotiva nai vaiinti nahenti koqema nimite vaivaro vika muntukaqihairo paru i vaimanta variarave.
PSA.30.1	Noravauvo, are ti ruaruama timitaaramanta ti navutaaka kia vora ntiha vira aru kauro tiaverama, te ai autu tuahere vauro.
PSA.30.2	Noravauvo, are ti Variqavanoma variaro.
PSA.30.2	Te ariara mpo, ti kahaqiane turara are ti uva irira, ti kahaqiararo ti tivaata rukukuqaimanta te ho vaunara.
PSA.30.3	Noravauvo, te qutuvi ruhiqauri vaurara are ti kahaqama timitaaramanta te qaqi vauro.
PSA.30.3	Te qutu vuaka varianaini virera urara, are ti kahaqama timitaaramanta kia qutu vuro.
PSA.30.4	Ne Kotira vaiinti nahenti ihi tivaqi viha vira autu takuqi vaira tuahera kaate. Viva koqe kaiqa, vo kaiqa vo kaiqa ni vara nimitairara irihama, virara koqeve tivaqi vuate.
PSA.30.5	Vira arara itaiva kia vukai vairaitiro, vaaka humpama vi vaira. Viva tinavu koqema timite vaiva kia vaaka taiqa viraitiro, ekaa tenavu qaqi variqi vuaina entara variqiro vuanaro.
PSA.30.5	Entaqi tenavu iqi rataqi vuariraro auquru ntavaqiro viro, toqaqi aaharauqama viraqe tenavu quaheha vairera.
PSA.30.6	Te tentara tiha, Te homa vauro. Kia vo haikavano ti qoraiqama timitaanarove, tuna entara, 
PSA.30.7	are ti koqema timite variaramanta te aiqina voqaara kempukaiqamake vaunara.
PSA.30.7	Noravauvo, te mintimake vauraravata, are ti avuqaahaira kukeqa vuararo ti muntuka qoraiqimanta qeteha vaunara.
PSA.30.8	Noravauvo, te ai aareha ariara, Mpo, ti kahaqiane. 
PSA.30.9	Ti arukaiqe te qutu vuainaraqaahairo kia koqe haikavano qovaraiqianarove.
PSA.30.9	Te qutu vuaka varianaini otu vuarera, ti vaatavano konkomaiqama viro nantiakeroe vi konkomava ai autu tuaheraanarove? (6:5)
PSA.30.9	Vi konkomava kia ho are ti koqema timitenarara vaiinti nahenti tiva nimianarove.
PSA.30.10	Mpo Noravauvo, are ti uva irihara ti aaqurihama timitehara ti kahaqiane, turo.
PSA.30.11	Ti muntuka qoraiqimanta vaurara are tiqaahaira kovaara utavaaqa qaqini varakera, ihi ntaaina utavaaqara nonku timitaaramanta te quaheha ihi nte vauro.
PSA.30.12	Are mintima kera ti koqema timitaanarara ti, te kia evaara vairaiti, te tenta muntukaqihai ihi tivaqi virera.
PSA.30.12	Noravauvo, are ti Variqavanoma variaro.
PSA.30.12	Te ekaa enta variqi viha, ariara koqemave tivaqi virera.
PSA.31.1	Noravauvo, vokiaka ti qoraiqama timitevorave ti, te are iananaini anunarave.
PSA.31.1	Mpo, are kia ti navutaaka qaqi kairamanta kaurira haika ti timiate. Are avuqavu kaiqa vare variaravara tira, ti ruaruama timitaane.
PSA.31.2	Mpo, nena aato ti timira ti uva irira, vaakama ti ruaruama timitaane.
PSA.31.2	Vaiintivano ori onavuqi kukeqaviro vaintemake, te are variananaini oru variarirara are ti kukeqa timitaane.
PSA.31.2	Te ai kempuka vaantaavura avutaqi oru variarirara are ti antua timitaane.
PSA.31.3	Quqaama are ti ori onavu koqeva variaro.
PSA.31.3	Quqaama are ti kempuka vaantaavuravanoma variaro.
PSA.31.3	Are mintimake variaravara tira, nena nora autuara iriharama ti tivita varairaqe te koqe aaraqaa vuare.
PSA.31.4	Hauri te navutaaka vaara vuitaaraqi vuarorave. Vika qoraiqama timitevorave tira, ti antua timitaane.
PSA.31.5	Te tenta qaqi variqi vuainara ai kauquqima vatauro.
PSA.31.5	Noravauvo, are Variqavano quqaa uvaqai ti variaravara tira, quqaama are ti ruaruama timitenarave, turo.
PSA.31.6	Noravauvo, una variqanavu autu tuahere variaka, vikara ti muntukavano kia vaimanta te ariqaa muntuvi vaunarave.
PSA.31.7	Te maara varaunarave, ti qoraiqama timitaarave, are virara iri tavaanarara ti, ai muntukavano tiriara vainara te virara noraiqaake iriqi viha quaheha vairerave.
PSA.31.8	Tiriara navutaaka vira ravaaqavu kevorave tira, are ti tivita varera vuru nahaikanta kaaramanta te ho vi ani vaunara.
PSA.31.9	Mpo Noravauvo, nora maaravano tiqi vaimanta vira kaara te iqi rataqi vi vauraro ti tivu noqa vivaro ti kempukavanovata taiqa vimanta vaunarara irihara are ti aaqurihama timitaane.
PSA.31.10	Ti muntukavano qoraiqimanta te iqi rataqi vi vaunara kaara te qaqi variqi vuaina entava iquqama vivo.
PSA.31.10	Tiqi vai maarava ti kempuka taiqa kaivaro ti vaatavano oqita vimanta vauro.
PSA.31.11	Ti navutaaka tiriara qumina vaiintive ti variamanta ti kenaukavata ti aiqi nota timite variarave. Ti tontivata ti aatu qetake kia te vaunanaini aniarave.
PSA.31.11	Te aaraini ani vauramanta vika ti tave, ti aatu tuqantaavi kantama vuarave.
PSA.31.12	Vaiintivano qutu virara tauru kaantemake, vika tiriaravata tauru kaavo.
PSA.31.12	Vataqohai aututaa taveva rukavuvira qaqira kaara, vira voqaarama te vauro.
PSA.31.13	Oho, te iruramanta ti navutaaka tiriara qetaarire ti, vika evaara evaara uva ti variavo.
PSA.31.13	Vika evaara ruvaaqumavi vaiha ti harukerara nai tiva ami nai tiva ami i variavo.
PSA.31.14	Noravauvo, vika minti ti variamanta, te ariqaa muntuvi vairerave. Are ti Variqavano variaro.
PSA.31.15	Are tiqaa raqiki variaravama variaro.
PSA.31.15	Ti navutaaka ti qoraiqama timitareka auti variakaqihaira ti ruaruama timitaane.
PSA.31.16	Mpo, are ti nena kaiqa vaiinti koqema timitaane. Ai muntukavano tiriara vaivarara tira, are ti ruaruama timitaane.
PSA.31.17	Mpo Noravauvo, te ai aareha ariara ti kahaqiane ti vaunarara tira, hauri are ti navutaaka qaqi kairamanta vika kaurira haika ti timivorave.
PSA.31.17	Are qaqi kairamanta vika nái kaurira haika varaate. Qaqi kairamanta vika qutu vuaka varianaini otu evaara variate.
PSA.31.18	Vika nái nutuqai tuahereha avuqavu ni varia vaiinti nahentika nota nimiteha, vikara tauvaqa vauraa uva ti variavo.
PSA.31.18	Vira kaara are vika no tinta kairamanta kia qaiqaavata vi uvara tiate.
PSA.31.19	Ai aatu qeteha koqe aaraqaa ni variakara irihara, are vo haika vo haika koqe haika vika kaama nimitaanarave.
PSA.31.19	Are vi haikara kia kukeqa kera nimiraitira, ekaa vaiinti nahenti tavaate tira, ariara antua timitaane ti varia vaiinti nahentika qoqaa nimianarave.
PSA.31.20	Are nena vaiinti nahenti kukeqa taaramanta vika ai aaqanto variavaro qora vaiinti vika arukareka tivataa uvava kia qovaraiqira.
PSA.31.20	Vika navutaaka kia ho vikaqaa uva ntuvakeha tiate tira, are nena vaiinti nahenti nena aaqanto kaaramanta variara.
PSA.31.21	Ne Nora Kotira autu tuahera kaate.
PSA.31.21	Vira muntukavano tiriara voqavata vairara ti, te vatukaqi vauramanta navutaaka vatuka vira ututumate ti haru kareka auti variavaro Noravano ti kahaqama timitaira.
PSA.31.22	Noravauvo, vi entara te qeteha tiha, Mpo, are nena aaqantohaira ti qaqirae kaaro? tivake vaurara are ti uva irira ti kahaqama timitaanarave.
PSA.31.23	Ne Kotira vaiinti nahentivauvo, ne Nora Kotirara muntuka vateha variate.
PSA.31.23	Vaiinti nahenti virara noraiqaake iriqi vi variakara, viva vikaqaa koqema kero raqikiqiro vi vaira.
PSA.31.23	Nái nutu tuahere variaka, viva nái qora kaiqa kaara qoraiqama nimite vaira.
PSA.31.24	Ne Nora Kotirara noraiqaake iriha viva tinavu ho kahaqiariravave ti variaka, ne kia qetaraiti, kempukaiqaake vira aaraqaa variqi vuate.
PSA.32.1	Qora kaiqa vare vai uvara nunka amitaarira vaiintiva quaheharo varianaro. Kotiva nai uva raqakai vaiintirara ai uva tauruma amitauro tirava quahaanaro.
PSA.32.2	Kia vo uvavata kukeqa taraitiro, ekaa vi uvara qoqaa tiva qovarama kaaina vaiintira, Noravano Kotiva virara ariqaa kiama uva vaivo tira vaiintiva quaheharo varianaro.
PSA.32.3	Te tenta qora kaiqa varaunara kia tiva qovarama kauna entara, vi entara te ke ke tivaqi vi vauraro ti tivaatavano kia kempuka vaimanta vaunara.
PSA.32.4	Aatitairaqaavata entaqivata are nena kauquqohaira ti ruqutuqira vuararo nora kuarivano itai entara namarivano aaharaiqama vintema kero, ti kempukavano taiqa vimanta vaunara.
PSA.32.5	Te mintiaqi vi, viraqaahai kia tenta qora kaiqa kukeqa karaiti, ekaa vi uvara ai avuqaa tiva qovarama kaunara.
PSA.32.5	Te ariara tiha, Kaiqe te tenta qora kaiqa varauna uvara Nora Kotira avuqaa tiva qovarama kaare, turara are ekaa vi uvara nunka timitaanarave.
PSA.32.6	Are Variqavano minti varianarara ti, vaiinti nahenti qaqi kairamanta vika maaraqi vai entara ariara noraiqaake iriha ai aaraate.
PSA.32.6	Vika ai aaraivara are vika kahaqama nimitairaro maaravano kia huvura namarivano vaiinti ravaaqavu kaintema kero, vika qoraiqama nimitaira ho variate.
PSA.32.7	Maara vaina entara te ariqi kukeqavi variarirara are tiqaa koqema kera raqikinarave.
PSA.32.7	Are ti antua timitaanarara ti, te ariara ihi tivaqi viha are ti ruaruama timitaanarara tirerave.
PSA.32.8	Noravano Kotiva tiriara tiharo, Te are koqe aaraqaa vinara ai umiqarerave. Are vi aararaqaa vi vairaqe te koqe uva maara ai tiva amiqi viha, ariqaa raqikiqi virerave.
PSA.32.9	Are kia ohive, donkive, voqaara variane. Vitanta avu aato kia vairave. Vitanta avuqavu vuate tiro, vaiintivano 
PSA.32.10	Qora kaiqa vare variaka vaivaro naantiara nora maaravano vikaqaa qovaraiqianaro.
PSA.32.10	Kotirara noraiqaake iriqi vi variaka vaivaro Nora Kotira muntukavano vikara vairava vika antua nimitaqiro viramanta vika ho vaivara.
PSA.32.11	Ne avuqavu ni varia vaiinti nahentika, Noravano Kotiva koqe kaiqa, vo kaiqa vo kaiqa vare vairara irihama, nenta muntukaqihai quaheha variqi vuate.
PSA.32.11	Ne vira uva koqemake iriaka, ne quaheha naverai tivaqi vuate.
PSA.33.1	Ne avuqavu ni variaka, Noravano Kotiva koqe kaiqa, vo kaiqa vo kaiqa vare vairara irihama, nenta muntukaqihai quaheha variqi vuate.
PSA.33.1	Vira uva koqemake iri variaka, vika Kotira autu homa tuaheraqi vivarave.
PSA.33.2	Ne 
PSA.33.3	Kotirara irihama ne qaraaka ihi tiva amiteha, koqemake 
PSA.33.4	Noravano Kotiva tivatai uvava quqaa uva vaimanta vaiinti nahenti homa viva vo kaiqa vo kaiqa varairara iriha viraqaa muntuvi vaivara.
PSA.33.5	Nana nana koqe okarave, avuqavu vai okararave, Kotira muntukavano virarama vairo.
PSA.33.5	Ekaa vata maata variaka tavaavaro Kotiva vika koqema nimite vai okarava uritarakero vairo.
PSA.33.6	Noravano Kotiva ti uvava naaruva autu kero vataivaro vaira.
PSA.33.6	Kuarive, torave, opu makauve, viva tivaro ekaa vi haikava vi haikava qovarama viro vaira.
PSA.33.7	Taqu vohaiqaqi namari kaqa kaintema kero, Noravano Kotiva nora namari vohaanaini ruvaaquma kero vataira.
PSA.33.7	Vaiintivano kara vatai naavuraqi kara qantukero vataintema kero, Noravano nora namari vona vona ruvaaqumakero vataira.
PSA.33.8	Kairamanta ekaa naato vatanaaka Nora Kotira aatu qeteha vira vevaaraini variate.
PSA.33.9	Viva uva tivaro maa vatava qovarama viro vairave. Viva uva tivaro ekaa haikavano qovarama viro vairave.
PSA.33.10	Vo vatanaa vo vatanaaka minti mintirerave tivataa uvava vaivarovata, Noravano Kotiva vi aarara kuvai kaimanta vika kia ho nái varareka ia kaiqara vare variara.
PSA.33.11	Mintivarovata, Kotiva tivatai uvava kia taiqa viraitiro, ekaa enta qaqi variqiro vuanaro. Viva te mintirerave ti uvava quqaa qovaraiqama viro, ekaa enta qaqi variqiro vuanaro.
PSA.33.12	Nora Kotirara tinavu Variqavano vaivo tia vatanaaka, vika quaheha variqi vivara. Kotiva tinta vaiinti nahenti variate tiro, nai kaama tai vaiinti nahentika quaheha variqi vivara.
PSA.33.13	Noravano Kotiva naaruvaihairo viavi ekaa vo vatanaa vo vatanaaka tave vaira. 
PSA.33.14	Viva nai avuhainaa taintaqaa vaiharo viavi vataini variaka tave vaira.
PSA.33.15	Viva vaiinti nahenti avu aato autukero vataivara tiro, viva vika vo kaiqa vo kaiqa vare variara kankoma kero iri tave vaira.
PSA.33.16	Hauri avuhainaa vaiinti vovano tiharo, Te airi iqoka vaiinti vataurauka homa navutaaka naatara kararave, tiantora.
PSA.33.16	Hauri iqoka vaiinti vovano tiharo, Te kempuka vaiintima vauro. Kia vovano ti ho arukaanarove, tiantora.
PSA.33.17	Hauri iqoka vaiinti vovano tiharo, Ti ohivano kempuka vaivo. Te homa viraqaa vaiha navutaaka naatara kararave, tiantora.
PSA.33.18	Ho ne iriate. ˻Ne kia vi haikaraqaa muntuvi vairaiti, Kotiraqaa muntuvi variate.˼ Kotira aatu qeteha vira uva koqemake iri variaka, Noravano vikaqaa koqema kero raqiki vaira.
PSA.33.18	Kotiva tinavu aaqurihama timitaanarove ti variaka, viva vikaqaa koqema kero raqikiqiro vuanaro.
PSA.33.19	Viva vika ruaruama nimite vaimanta kia qutuara. Kara kia vai entara viva vikaqaa raqiki vaimanta vika kia qutiraiti, qaqi variqi vi variara.
PSA.33.20	Noravano Kotiva tinavu kahaqiarirava vaimantara ti, tenavu viraraqai noraiqaake iriqi viha vira veka vaunara.
PSA.33.20	Navutaaka tinavu qoraiqama timitevorave tiro, Noravano Kotiva tinavu antua timiteharo tinavu kainke voqaara vaira.
PSA.33.21	Tenavu vira autuvano takuqi vairara noraiqaake iriqi vihara ti, tentanavu muntukaqihai quaheha variqi virera.
PSA.33.22	Noravauvo, kairaqe tenavu ariara viva tinavu kahaqiariravama vaivo, tiarirara are tinavu aaqurihama timitaqira vuane.
PSA.34.1	Te Nora Kotirara koqemave tivaqi virera. Ekaa enta te tenta noqihai vira autu tuaheraqi virera.
PSA.34.2	Noravano Kotiva ti koqema timitairara irihama, te vira autu tuaheraqi virera.
PSA.34.2	Te minti tivaqi vuari nora maaraqi vaika ti uva iri, vikavata quaheha vaivarave.
PSA.34.3	Varaiqenavu vohaaraqi vaiha Noravano Kotiva vo kaiqa vo kaiqa vare vairara iriha, vaiinti nahenti tiva nimiare.
PSA.34.4	Te vo haika vo haika aatu qeteha vira aarauraro Noravano Kotiva ti uva iriro, ti muntuka qihaaqama timitaira.
PSA.34.5	Nora maaraqi vaiha Kotirara tinavu kahaqiane ti variaka, vika kia kaurira haika vararaiti, quaheha vaivara.
PSA.34.6	Te vehiqamavi vaunaraqihai Nora Kotira aarauraro viva ti uva iriro, te vo maara vo maara varaunaraqihairo ti ruaruama timitaira.
PSA.34.7	Kotira aatu qeteha vira uva koqemake iri variaka variavaro Noravano Kotiva atitai 
PSA.34.8	Quqaae Noravano Kotiva vaiinti nahenti koqema nimite vaivave vaivo?
PSA.34.8	Ne nentavano vira avateha tavaate.
PSA.34.8	Viva vainaini oru variaina vaiintiva koqemakero vaiharo quahaanaro.
PSA.34.9	Ne Kotira vaiinti nahenti, ne Nora Kotira aatu qeteha vira uva koqemake iriqi vuate. Vira uva koqemake iri varia vaiinti nahentika kia vo haikaravata aavoqivara.
PSA.34.10	Qaraaka 
PSA.34.10	Vika mintimake variamanta Nora Kotirara noraiqaake iri variaka, vika kia vo haika koqe haikara aavoqivara.
PSA.34.11	Ti vaintivaravauvo, ani iri vaiqe te Nora Kotira aatu qeteha vira uva koqemake iri vai okarara ni tiva nimiare.
PSA.34.12	Ne airi entae maa vataraqaa qaqi variqi viha koqemake vaivarave?
PSA.34.13	Ni muntukavano mintima vairera, ho nenta noqihai kia qora uva tiraiti, kia una uvavata tiate.
PSA.34.14	Qora kaiqa tauvaqa utu amite, koqe kaiqaqai varaqi vuate. Ne vaiinti nahenti muntuka paruma nimite vai okarara avataqi vuate.
PSA.34.15	Noravano Kotiva nai avuqohairo avuqavuqamake ni varia vaiinti nahentika tavamaqiro viharo, vika ike mpo ti varia uvaravata iri vairave. 
PSA.34.16	Viva qora kaiqa vare variaka navutaiqiharo vairo. Vika qutu vimanta vaiinti nahenti vaakama vikara tauru kevarave.
PSA.34.17	Avuqavu ni varia vaiinti nahentika ike mpo tiha Nora Kotira aare varia entara, Noravano Kotiva vika uva iriro, vika vo maara vo maaraqihairo ruaruama nimite vaira.
PSA.34.18	Muntuka qoraiqimanta variaka variavaro Noravano Kotiva vika kahaqireva vika aumanto vaira.
PSA.34.18	Mpo, airi maaravano tinavu qoraiqama timite vaivo ti variaka Noravano Kotiva vika ruaruama nimite vaira.
PSA.34.19	Avuqavu ni varia vaiinti nahentika variavaro vo maara vo maaravano vikaqi qovaraiqi vaimanta variara.
PSA.34.19	Vika mintimake variavarovata, Noravano Kotiva vika kahaqi vaivaro maaravano kia vika anoma kero qoraiqama nimite vaira.
PSA.34.20	Noravano Kotiva vikaqaa koqema kero raqikiqiro vi vaivarora tiro, kia vika vuhaari voqavanovata kinta vuanaro.
PSA.34.21	Qora entavano qovaraiqama viro, qora kaiqa vare variaka arukaanaro.
PSA.34.21	Avuqavu ni varia vaiinti nahentika navutaiqi variaka, Noravano Kotiva vikaqaa nora uvama vataanaro.
PSA.34.22	Noravano Kotiva nai kaiqa vare variaka, ruaruama nimitaira vika koqemake variqi vivara.
PSA.34.22	Kotiva inaini orunte virara tinavu kahaqiane tiaka, viva vika kahaqama nimitaanaro.
PSA.35.1	Noravauvo, ti navutaiqi variaka are náivata navutaiqiane. Ti hampata iqoka raqi variaka are náivata ntaihaane.
PSA.35.2	Himpira nena iqoka utavaaqa nonkutera, kainkevata varera ani ti kahaqiane.
PSA.35.3	Nena vaantaaravata, iqoka rorivata, rauqi varera, ti harireka avataqi aniaka ntaihaane. Are tiriara, Te ai ruaruama amitarerave tiane.
PSA.35.4	Ti haru kareka auti variaka, are vika naatarakera kaurira haika nimiraro vika nutuvano vataini tuvi vuarire.
PSA.35.4	Ti qoraiqama timitareka uva tiva taatau taaka, are vika hampata raquqira viramanta vika qetake anirante vuate.
PSA.35.5	Are 
PSA.35.6	Are vika vi aarara vauriri ntava nimitera konkiraiqama kairaro ai Nora Kotira 
PSA.35.7	Vika qumina uva kaara tiriara aru vuarire ti, vaara vuike vataarave.
PSA.35.7	Vika qumina uva kaara tiriara viraqi aqu vuarire ti, hiqainti quvike vataarave.
PSA.35.8	Oho, naantiara vika qumimaqamake vai entara, are vika vehi autu kena haikara qovarama kaane.
PSA.35.8	Are qaqi kaira vika nái vaara vuiteraqi aru vuate. Are qaqi kaira vika nái hiqainti quvi teraqi aqu vuate.
PSA.35.9	Are vika mintima nimitairaqe te are Noravano Kotiva ti ruaruama timitenarara iriha quahaare.
PSA.35.10	Are ti kahaqama timitenarara iriha te tenta muntukaqihai quaheha minti tirerave: Noravauvo, kia ai voqaara vovano vairave.
PSA.35.10	Voqavata kempuka vataaka uqerara vaiinti nahenti qoraiqama nimitevorave tira, are vika antua nimite varianarave.
PSA.35.10	Airi airaira vataaka vehi vaiinti nahenti qoraiqama nimitaqi vivorave tira, are vika kauquqihaira ruaruama nimite variavave, tirera.
PSA.35.11	Mpo, qora vaiintinavu kia te iruna haikara tiqaa una uva ntuvakeha ti variara.
PSA.35.12	Te vika koqema nimitauramanta vika tinta qoraiqama timite variara kaara ti muntukavano voqama kero maara ntaimantama vauro.
PSA.35.13	Vika rovara varaamanta te vikara ike mpo tiha, kara auramate kovaara utavaaqa nonkute, tenta aru kintate vikara Kotira aarama nimite vaunara.
PSA.35.14	Te tenta tontiarave, qatarave, vakaararave, iqi rata nimitaunantemake, te vikaravata iqi rata nimitaunara.
PSA.35.14	Vaiintivano nai nova qutu vivaro kimaara viro antura ntuvaqiro vintemake, tevata mintiaqi viha vikara iqi rata nimitaunara.
PSA.35.15	Te vikara minturamanta maaravano tiqaa qovaraiqi entara vika kia ti koqema timitaraiti, vika ruvaaqumavi quaheha ti naaraihama timite variara.
PSA.35.15	Kia te tavauna vaiintika enena ti qoraiqama timiteha tauvaqa vauraa uva tiva timite variara.
PSA.35.16	Vika ti naaraihama timiteha, ti qoraiqama timitareka nái aarai 
PSA.35.17	Mpo Noravauvo, tairentae vika minti minti i vaira are kia qaqi tavaraitira, tuvu ti kahaqinarave?
PSA.35.18	Mpo, are mintima kera ti kahaqiraqe te ai vaiinti nahenti ruvaaqumavi vainaini vaiha ariara koqeve tiare. Te vika nivuqaa vaiha ai autu tuahera karerama, turo.
PSA.35.19	Qumina uva kaara ti navutaiqi variaka, kia qaqi kaira vika oqovivi autiha vora ntuva timitaate.
PSA.35.19	Ti iri qoraiqama timite variaka, kia qaqi kaira vika tiriara huviqorama viva nora maaraqi vaivo tiate.
PSA.35.20	Vika antua aantua tivaqi viha, maateraiqiha variakara tauvaqa vauraa uva tiva nimite variara.
PSA.35.21	Vika tiqaa una uva ntuvake tiha, Oho, are qora kaiqa vare variaramanta tenavu ai tavaunarave, ti variara.
PSA.35.22	Vika minti ti variavara are vika qora okara tavaanarara tira, kia evaara variane. Noravauvo, kia ti niaraini variane.
PSA.35.23	Noravauvo, are ti Variqavano variaro.
PSA.35.23	Himpira tuvu ti kahaqiane.
PSA.35.23	Himpira tuvu ti mantaraini vaihara uva tivakera, ti auta ntuva timitaane.
PSA.35.24	Are nena avuqavu okarara irihara, ti uvavata irira, viraqaa kia uva vaivo tiane. Are kia qaqi kairamanta ti navutaaka tiriara, Huviqorama, Kotiva viraqaa uva vataivo, tiate.
PSA.35.25	Are kia qaqi kairamanta vika tiriara, Viva ekaarama taiqa vivo. Tenavu Kotiva vira mintimakero qoraiqama amitaarire turaro mintivo, tiate.
PSA.35.26	Te nora maaraqi vauramanta virara iriha quahe variaka, are vika kaurira haika nimiraro vika avu aato hampiqama viramanta vi anima vuate.
PSA.35.26	Tiriara qumina vaiintive tivakeha nái nutu tuahere variaka, are vika kaurira haika nimiramanta vika nutuvano vataini tuvi vuarire.
PSA.35.27	Vo vaiinti nahenti tiriara tiha, Viva avuqavu vaiintivano vaivo. Viva 
PSA.35.28	Vika minti tiqe tevata are avuqavu ni vaina okarara vaiinti nahenti tiva nimiqi viha aatitainaraqaavata entaqivata ai autu tuaheraqi virera.
PSA.36.1	Qora kaiqavano uva tivaro qora kaiqa vare vai vaiintiva nai muntukaqihairo vira uva iriharo kia Kotira aatu qetaraitiro, vi kaiqara varaqiro vi vairo.
PSA.36.2	Vi vaiintiva nariara noraiqaakero iriharora tiro, viva nai qora kaiqa vare vairara tiharo, Kotiva kia ho vira rantakero tiqaa uva vataanarove, tivaro 
PSA.36.3	vira uvavano qora uva, una uva vaivaro viva haaru koqe avu aato irikeharo kaiqa varai okarara qaqirakero, kia koqe kaiqa voqavata vararaitiro vaira.
PSA.36.4	Entaqi viva nai vaitai taintaraqaa vaiharo, nai avu aatoqihairo qora kaiqa varaainarara iriqiro vi vairo.
PSA.36.4	Viva qora aaraqaa viharo kia qora kaiqa tauvaqa utu amitaraitiro, qaqiqai qora kaiqa vo kaiqa vo kaiqa vare vaira.
PSA.36.5	Noravauvo, are vaiinti nahenti aaqurihama nimite variana okarava vaireva, viva uri aatarakero vata maaqaahairo oru viviro, nai vurura naaruvaini oruntairave.
PSA.36.5	Are kia nena vaiinti nahenti qaqira karaitira, are vikara noraiqaakera iriqira vi variara okarava vaireva, vivavata vata maaqaahairo nai viviro, vurura tonavuvano vairaqaa oruntairave.
PSA.36.6	Nora aiqinavano kempukaiqama kero vaintema kero, ai avuqavu okaravano paama tivakero vairave.
PSA.36.6	Are avuqavuqama kera 
PSA.36.6	Noravauvo, are vaiinti nahentiqaavata, ekaa aantauvahiqaavata, raqiki variaramanta vika koqemavi variara.
PSA.36.7	Mpo Kotio, are vaiinti nahenti aaqurihama nimite variana okarava uri aatarakero nai koqe okarama vairo.
PSA.36.7	Kokoraaravano aroka rairakero nai naati aqu nimitaintema kera, are vataini variaka antua nimite varianara.
PSA.36.8	Ai naavuqi airi kara vaivara are vi karara nena vaiinti nahenti nimiaramanta ne variara.
PSA.36.8	Koqe namarivano tuvira vaiinti nahenti ho ne variantema kera, are nena vaiinti nahenti koqema nimite variaramanta vika ho variara.
PSA.36.9	Namarivano aruvuqihairo nte vaintemakero, qaqi variqi vi varia okarava ariqihairo qovaraiqi vaira.
PSA.36.9	Are tinavu ataama timite variaramanta tenavu koqemake taveha vaunara.
PSA.36.10	Ai koqe okara iri tavaaka, are vikara nena muntuka qaqiqai vataqira vuane. Avuqavu ni variaka, are vika koqema nimitaqira viramanta vika ho variate.
PSA.36.11	Mpo, nái autuara noraiqaake iri variaka, are kia vika qaqi kairamanta vika ti haruate.
PSA.36.11	Hauri qora kaiqa vare variaka ti harireka ti avataqi anivora.
PSA.36.12	Ho tavaate. Qora kaiqa vare variaka ekaara vataini hiqintivi variavo. Vika kia ho qaiqaavata himpivarave.
PSA.37.1	Qora kaiqa vare variaka koqemake vairara, kia virara noraiqaakera iriane.
PSA.37.1	Qora kaiqa vare variaka vataa haikara, tavera, hauri are tevata mintimake vi haikara vataataarave tirora.
PSA.37.2	Ukauvano aaharaiqama vinantemake, vika inaaraiqa varike taiqa vivara.
PSA.37.2	Mauravano tamunta vinantemake, vika qutu vivara.
PSA.37.3	Are Kotirara noraiqaakera iriqira vihara koqe kaiqaqai varaqira vuane.
PSA.37.3	Are mintiaqira virera, are nena vataqaa vairaro kia vo haikavano ai qoraiqama amitairara are koqemakera variqira vinara.
PSA.37.4	Noravano Kotiva ai koqema amitaarire tira, are virara noraiqaakera iriqira vihara virara quahaane.
PSA.37.4	Are mintiaqira viraro viva ai muntukavano vaina haikara amianaro.
PSA.37.5	Qaqi kairaro Noravano Kotiva are vireva ina aarara ai umiqaarire.
PSA.37.5	Virara noraiqaakera iriqira viraro viva ai kahaqiarire.
PSA.37.6	Viva ai kahaqiraro ovavano itaintema kero, ai koqe okaravano takuqi vairamanta vaiinti nahenti vira anomake tavevara.
PSA.37.6	Kuarivano ikaraqaa noraiqaakero itaintemake, vaiinti nahenti are avuqavu ni vaina okarara anomake tavevara.
PSA.37.7	Muntuka paruma kera oru Kotira aaqanto vaihara vira veka vairaro viva ai kahaqiarira.
PSA.37.7	Qora kaiqa vareha koqemake variqi vi variakara, are kia vikara noraiqaakera iriane. Vika qora kaiqa varera nái aatoqi iriqi viha vi kaiqara vare variara, are kia virara tevata mintiataarave tiane.
PSA.37.8	Hauri vo haika kaara ai arara itairara vairora. Arara itainaraqaahairo qora okara autirava qovaraiqianaro.
PSA.37.9	Qora kaiqa vare vaika variqi vi vuru vehi autu taiqa vimanta, Nora Kotirara noraiqaake iri vaika vika Kotiva nái kaama nimitaaina vatara varevara.
PSA.37.10	Qora kaiqa vare variaka inaaraiqa varike taiqavi kia vaivarave. Vi entara are vika rantareva ihara kia ho vika ranta kenara.
