MAT.1.1	I⁴la³ ti²ton³ la⁴jang³⁴ sa¹jeun³ quian¹ Jesucristo a³lang⁴³ jon⁴³tyie¹ A³brang²³ jian³ Da³vei²³.
MAT.8.21	―Hnei³ Se³ño²³, cúa² hnei³ jeu³ ñeih³² ni¹hon⁵ˉ⁵ neih³ˉ⁴.
MAT.8.22	I² a⁴juah⁴ Jesús ne⁵:
MAT.8.22	―Nia³ hnei³ coh⁵cah³ˉ⁴, ua²hon³⁴ a³ti²jaun² m⁴tyi⁴ quieh¹ a³jaun² quian¹.
MAT.8.23	Jon³ a⁴hei³⁴ Jesús joh⁴³ a²úan⁴³ jian³ a⁴han⁵ chie³ quian¹i³. 
MAT.8.24	I² con³ma²tionh²i³ nei² jm³ñei³, jon³ ja³⁴ con³ tyi⁴ tia⁴ i⁴quian³ jm³ si²ha¹ joh⁴³ a²úan⁴³. I² hei⁴i³ ne⁵, ra³cm² pi²³i³. 
MAT.8.25	Jon³ ŋo³⁴ chie³ quian¹i³ ua⁵sie⁴³, juah⁴i³:
MAT.8.25	―Hnei³ Se³ño²³, ¡lie³² hnei³ jnie³²! ¡Quie¹ ma³o¹tyan⁴³ˉ¹!
MAT.8.26	I² jon³ a⁴juah⁴i³:
MAT.8.26	―¿E⁴le³⁴ canh⁴³ˉ³ tionh²ˉ³, hnei³ a³sa⁴hain⁴ hlion⁴?
MAT.8.26	I² jon³ ra⁴hang³²i³, a⁴júan⁴i³ heih⁴³ i²con²³ tyi⁴ jian³ jm³ñei³ i⁴jian³⁴; jon³ a⁴nie³⁴ tai³² o³tan². 
MAT.8.27	I² chie³ hain⁴ tionh², ta² co³ ŋo³⁴ tsei⁴³i³, a⁴juah⁴i³:
MAT.8.27	―¿Hain³ chie³ ne³, lainh⁴ˉ³? Quie¹ la⁴teg⁴ tyi⁴ jian³ jm³ñei³ ma³co⁴³ quieh¹i³.
MAT.8.28	Con³ma²a⁴tyie³⁴ Jesús ta⁵hŋoh³ jm³ñei³, húa³⁴ Gadara, jon³ a⁵han² on³⁴ a³sian³ Gadara jon³ a³a⁴húan³ o³san² a³quian³ m⁴tyi⁴ hlagh³² a³eu⁴³ con³. I² jon³ i²sa⁴li⁴ua⁵jeun³² i¹jan³. 
MAT.8.29	A⁴hleh⁴i³ tia⁴ tionh², a⁴juah⁴i³:
MAT.8.29	―¿Henh⁴ hnoh³ˉ³ i²con²³ jnie³², hnei³ Jesús, A³jon⁴³ Jon⁴dai¹? ¿O⁴ a⁴niah³ˉ³ i²la³ i⁴heh³²ˉ³ jnie³² ma²eu⁴³ pain⁴ naih⁵i² teg³⁴ jm², lainh⁴ˉ³?
MAT.8.30	Jian³ ma²tionh² jeun⁴³ a¹ñi⁴³ i²gm⁴ meih³ a³ti²queuh³. 
MAT.8.31	I² jon³ a⁴m⁴ m⁴tyi⁴ hlagh³² i²con²³ Jesús:
MAT.8.31	―Juah⁴ne³ húah³²ˉ³ jnie³², sai⁴³ hnei³ jnie³² i²con²³ a¹ñi⁴³ jno³ i⁴han⁵ jnie³² naih⁵ ni²tsei⁴³i³ tionh².
MAT.8.32	Jon³ a⁴juah⁴ Jesús i²con²³i³:
MAT.8.32	―Cua³.
MAT.8.32	I² jon³ a⁴húan³i³. A⁴han⁵i³ naih⁵ ni²tsei⁴³ a¹ñi⁴³ hain⁴ tionh². I² a¹ñi⁴³ hain⁴ la⁴jang³⁴, a⁴juan³⁴i³ i²ma²tionh²i³ nei² a²hlo³ ñei⁴³ la⁴teg⁴ joh⁴³ jm³ñei³, i²a⁴chian³⁴i³ la⁴jang³⁴.
MAT.8.33	Jon³ a⁴cm⁴ a³ma²hion⁴³ a¹ñi⁴³ hain⁴, jonh³i³ ta⁵je¹jeu³, a⁴tya⁴i³ jau²³ la⁴jeg³⁴ i⁴a⁴leg³⁴ jian³ liah⁴ a⁴jainh⁴³ li⁵uan⁴ a³ma²quian³ m⁴tyi⁴ hlagh³² hain⁴. 
MAT.8.34	I² jon³ a⁵han² la⁴jang³⁴ a³jeu³ teg⁴ i²sainh⁴³ Jesús; i² con³ma²a⁴je³i³, jon³ a⁴sagh⁴³i³ Jesús i⁴ua⁴hag⁵i³ jeu³ co²³i³ tionh².
MAT.9.1	Ma²jon³ a⁴hei³⁴ Jesús joh⁴³ a²úan⁴³, a⁴han³i³ jm³, a⁴tyanh³i³ jeu³ co²³. 
MAT.9.2	I² jon³ jian³i³ jan³ a³ñih³ a³lo³ a³ra³hein² joh⁴³ a²hyei²³. I² con³ma²a⁴je³⁴ Jesús conh⁴ tei⁴³ i⁴hain⁴i³ tionh², jon³ a⁴sagh⁴³i³ a³lo³ hain⁴:
MAT.9.2	―Júan² hnei³ si³hyonh³, jon²³ quian³⁴ˉ⁴; quie¹ ma³a⁴hain³⁴ chie³² quianh³ˉ³ la⁴jeg³⁴.
MAT.9.3	I² jon³ a⁴júan⁴ co⁴meih³ a²teg²³ quian¹ lai²³ co³hei²tsei³, lain⁴i³: “Hleh² a³ne³ jau²³ i⁴hieh¹ Jon⁴dai¹.” 
MAT.9.4	Quie¹ ñi³ Jesús co³hei²tsei³ i⁴ti²júan³i³ tionh², i² jon³ a⁴sagh⁴³i³ a³hain⁴:
MAT.9.4	―¿E⁴le³⁴ co³hei²tsei³ hlagh³² ti²júanh³ˉ³ naih⁵ m⁴tyi⁴ quianh³? 
MAT.9.5	Júan³²ˉ¹, ¿henh⁴a² tyein² sa⁴jeuh⁴³ li⁴hleh¹ˉ⁴ li⁴tei⁴³ la⁴conh⁴a² li⁵teun⁴ la³, lainh⁴ˉ³? ¿O⁴ li⁴juah¹ˉ⁴: “Ma³a⁴hain⁵ˉ⁵ chie³² quianh³ˉ³”, jian³ o⁴: “No³ hnei³, ŋeng²”? 
MAT.9.6	I² jon³ ne⁵, canh⁴a² li⁴ñih¹ˉ³ i⁴quian³ A³a⁴lang³⁴ Chie³ hain⁴ heih⁴³ i⁴hain³⁴i³ chie³² quieh¹ chie³ cuah³²húa³⁴ la³, ua²ma²jnia³²ˉ⁴ i⁴la³.
MAT.9.6	Jon³ a⁴sagh⁴³i³ a³lo³ hain⁴:
MAT.9.6	―No³ hnei³, quien²³ hnei³ a²hyei²³ quianh³, cuanh³ quianh³ jauh³² quianh³.
MAT.9.7	Jon³ a⁴no³ a³chieh¹ hain⁴, ŋah³i³ jauh³² quieh¹. 
MAT.9.8	I² con³ma²a⁴je³⁴ chie³, ta² co³ ŋo³⁴ tsei⁴³i³ tionh², jon³ a⁴júan⁴i³ júanh⁴³ Jon⁴dai¹ a³a⁴cúa⁴ ua³pei⁴ ne³ i²con²³ chie³.
MAT.9.9	I² con³ma²ua⁵hag⁴³ Jesús i²ma²si²sainh⁴³ jon³, jon³ a⁴jen³i³ jan³ a³ñih³ a³sain³ Ma³te³² a³ua²cua⁴³ jauh³² i²can²³i³ hmah¹, i² jon³ a⁴juah⁴i³:
MAT.9.9	―Nia³ hnei³ coh⁵cah³ˉ⁴.
MAT.9.9	Jon³ a⁴no³ Ma³te³², ŋo³⁴i³ coh⁵cah³² Jesús.
MAT.9.10	I² jon³ ne⁵, ua²queuh³ Jesús a²hei⁴³ jauh³², i² jon³ a⁴tyie³⁴ jeun⁴³ a³can²³ hmah¹ jian³ a³ren³ chie³² a³ti²queuh³ a²hei⁴³ jian²³ Jesús jian³ chie³ quian¹i³ liah⁴. 
MAT.9.11	I² con³ma²a⁴je³⁴ fariseo i⁴jon³ tionh², jon³ a⁴sagh⁴³i³ chie³ quian¹ Jesús:
MAT.9.11	―¿E⁴le³⁴ queuh³ A²teg²³ quianh³ˉ³ jian²³ a³can²³ hmah¹ jian³ a³ti²ren³ chie³²?
MAT.9.12	I² con³ma²a⁴nau⁴ Jesús jau²³ jon³, jon³ a⁴juah⁴i³:
MAT.9.12	―La⁴jang³⁴ a³hei⁴³ tsei⁴³ a⁵sian⁴³ teg³m⁴³ hniah³ quian¹i³, a³chieh¹pa² hniah³ quian¹. 
MAT.9.13	Cua³ ua⁴ma⁴tang²³ henh⁴ ra³juah⁴ ra³sag²: “Quie¹ hno⁵ˉ⁵ i⁴li⁴ñeih⁴ hoh⁴³ˉ³, a⁵jon⁴³ i⁴jangh²ˉ³ jah⁴ i²con²³ˉ⁵”, ra³juah⁴. Quie¹ a⁵sia³ cuan⁵ˉ⁵ juah⁴ i⁴ni³teh⁵ˉ⁵ a³ni²taih⁴³ tionh², a³ren³ chie³²pa², canh⁴a² sag³⁴i³ co³hei²tsei³ quieh¹.
MAT.9.14	Ma²jon³ a⁴tyie³⁴ chie³ quian¹ Juan³ Tei³² i²con²³i³ a³a⁴ŋang⁴, juah⁴i³:
MAT.9.14	―¿E⁴le³⁴ júan³ jnie³² he² i⁴sa⁴quih⁴³ jnie³² hlion⁴ nie⁴³, jian³ fariseo liah⁴? I² chie³ quianh³ˉ³ ne⁵, sa⁴júan³i³.
MAT.9.15	I² jon³ a⁴juah⁴ Jesús:
MAT.9.15	―¿O⁴ li⁴júan³⁴ a³ten² quian¹ a³sanh⁴ chionh⁴ tsei⁴³i³ ta¹la⁴ cua⁴³ a³ñih³ a³sanh⁴ jian²³i³, lainh⁴ˉ³? Quie¹ jia²³ jm² la⁴teg⁴i² te⁴³i³ a³sanh⁴. Ma²jon³ júan³⁴i³ he² tionh² i⁴sa⁴queuh⁴³i³.
MAT.9.16	’Quie¹ i¹jan³ sa⁴tien²³ a²hmh³ don⁵ ca³leuh² a²hmh³ hm²³, quie¹ leuh² hmh³ hm²³ jon³ chieh², jon³ li⁴jeun⁴ a²hmh³ don⁵, jian³ tsei³⁴sa² júah³ i²tseih³² lei⁴. 
MAT.9.17	Jian³ la⁴jon³ liah⁴, i¹jan³ sa⁴ro³ o¹bein² hm³⁴ joh⁴³ a²lo³ don⁵; quie¹ juah⁴ne³ la⁴ne³, jon³ li⁴naih⁵ a²lo³, jon³ tain³⁴ o¹bein² jian³ si⁵hain⁴ a²lo³. I⁴jon³ ro³i³ o¹bein² hm³⁴ joh⁴³ a²lo³ hm²³, canh⁴a² i¹con³ a⁵sia³ i⁴lei⁴ o¹bein² a⁵ga⁴ a²lo³.
MAT.9.18	I² ta¹la⁴ si²hleh²i³ jon³, jon³ ja³⁴ jan³ chie³ tyein², a⁴si⁴jnei⁵i³ ta⁵nei²i³, a⁴juah⁴i³:
MAT.9.18	―A³m⁴ jon³⁴ˉ⁴ jeu³ la⁴jaun³⁴. ¿Sa¹ cúah²ˉ³ ua²teih⁴³ˉ³ si¹cúah³ he³²i³, canh⁴a² li⁴jainh¹i³?
MAT.9.19	I² jon³ a⁴no³ Jesús, ŋo³⁴i³ jian²³ a³hain⁴, jian³ ua⁵han² chie³ quian¹i³ liah⁴. 
MAT.9.20	I² jon³ a⁴tyie³⁴ jan³ a³m⁴ coh⁵cah³²i³, a³chieh¹ ma³quia⁵teun⁴ ñi³, a³lang⁴³ ua³pei⁴ quieh¹, a⁴tang⁴i³ he⁴³ a²cúan³i³. 
MAT.9.21	Quie¹ ma²juah⁴i³ naih⁵ m⁴tyi⁴ quieh¹: “A⁴leg³⁴ na¹a⁴tang⁴ˉ⁴ a²cúan³ pi²³i³, huan⁴ quien⁴ˉ⁴.” 
MAT.9.22	I² Jesús ne⁵, jon³ ua⁵lang⁴i³, a⁴jen³i³ a³m⁴ hain⁴, juah⁴i³:
MAT.9.22	―Júan² hnei³ si³hyonh³, jon²³ quian³⁴ˉ⁴. Ma³a⁴huan⁴pa² quianh³ˉ³ quie¹ ra⁵hainh⁴ˉ³.
MAT.9.22	I² a³m⁴ hain⁴ a⁴huan⁴ quieh¹i³ lia⁴ o²ra³ jon³.
MAT.9.23	I² con³ma²a⁴hei³⁴ Jesús jauh³² quieh¹ chie³ tyein² hain⁴, i²jon³ a⁴jen³i³ a³ti²jai²³ lau⁴³ jian³ chie³ a³ti²hoh⁵ tia⁴. 
MAT.9.24	I² jon³ a⁴juah⁴i³:
MAT.9.24	―Húan³ hnei³ tionh²ˉ³; quie¹ a⁵sian⁴³ yein³ ra³jaun², ra³cm² pi²³i³.
MAT.9.24	I² jon³ ji⁴ŋang⁴ chie³ hain⁴ quieh¹i³. 
MAT.9.25	I² con³ma²a⁴júan⁴ Jesús heih⁴³ i⁴a⁴húan³ a³hain⁴ tionh², i² jon³ a⁴hei³⁴i³ i²ra³quian³ a³maih² hain⁴, a⁴tang⁴i³ si¹cúa³i³, jon³ a⁴no³ a³peih¹ m⁴ hain⁴. 
MAT.9.26	Jian³ ta² ta⁴tsei¹ jau²³ la⁴tan² húa³⁴ jon³ nei² quieh¹i³.
MAT.9.27	I² con³ma²ua⁵hag⁴³ Jesús i²jon³, jon³ ya¹tyein¹ on³⁴ a³taun³² coh⁵cah³²i³, ti²hleh² tia⁴, juah⁴i³:
MAT.9.27	―Hnei³ Sa¹jeun³ Da³vei²³, ¡ua²jieh⁴ ñei⁴ hoh⁴³ˉ³ i²con²³ jnie³²!
MAT.9.28	I² con³ma²a⁴hei³⁴ Jesús jauh³², jon³ a⁴tyie³⁴ a³taun³² hain⁴ i²con²³i³, i² jon³ a⁴ŋang⁴ Jesús i²con²³i³:
MAT.9.28	―¿O⁴ hainh⁴ˉ³ cagh³²ˉ⁴ jm² júan³²ˉ⁴ i⁴ne³, lainh⁴ˉ³?
MAT.9.28	Jon³ a⁴juah⁴i³ tionh²:
MAT.9.28	―Jen³⁴, Se³ño²³.
MAT.9.29	I² jon³ a⁴tei³⁴ Jesús si¹cúa³ m⁴nei²i³ tionh², a⁴juah⁴i³:
MAT.9.29	―Ua²lei⁴ i²conh²ˉ³ liah⁴i² hainh⁴ˉ³.
MAT.9.30	I² jon³ a⁴jnia⁵ m⁴nei²i³ tionh². Jian³ a⁴júan⁴ Jesús heih⁴³ pain⁴ i²con²³i³, juah⁴i³:
MAT.9.30	―Yo⁴ua²li⁴ñi³ i¹jan³.
MAT.9.31	I² con³ma²a⁴húan³i³ tionh², a⁴ta⁴tsei³i³ jau²³ nei² quieh¹ Jesús la⁴tan² húa³⁴ jon³.
MAT.9.32	I² con³ma²ti²húan⁵i³ jauh³², i² jon³ jian³i³ jan³ a³sa⁴hleh² a³quian³ m⁴tyi⁴ hlagh³², jian³i³ i²con²³ Jesús. 
MAT.9.33	I² con³ma²ua⁵hag⁴³ m⁴tyi⁴ hlagh³², jon³ ma⁴lie⁵i³ hleh²i³. Ta² co³ ŋo³⁴ tsei⁴³ chie³ tionh², a⁴juah⁴i³:
MAT.9.33	―I¹conh⁴ sa⁴ma³a⁴niah³²ˉ¹ la⁴ne³ jen² sa¹jeun³ Israel.
MAT.9.34	I² a⁴juah⁴ fariseo tionh² ne⁵:
MAT.9.34	―Con⁴juah⁴ ua³pei⁴ quieh¹ jeu³² m⁴tyi⁴ hlagh³² húa³ a³ne³ m⁴tyi⁴ hlagh³².
MAT.9.35	I² jon³ ne⁵, ŋeng²³ Jesús la⁴jeg³⁴ si³da²³ jian³ la⁴jeg³⁴ jeu³ peih¹, he²³i³ jau²³ quieh¹ Jon⁴dai¹ cuah³ judío, jian³ hleh²i³ jau²³ tsei²³ liah⁴ han⁵ chie³ naih⁵ heih⁴³ quieh¹ A³cua⁴³ ñi⁴jeu⁵, jian³ júan³i³ i⁴huan⁴ quieh¹ la⁴jang³⁴ a³jeu³ a³ti²lang⁴³ chie² la⁴jeg³⁴ nai² jian³ a³ti²can²³ ma²eu⁴³. 
MAT.9.36	I² con³ma²a⁴jen³i³ chie³ jeun⁴³ hain⁴, jon³ joh³ ñei⁴ tsei⁴³i³ i²con²³ a³hain⁴ tionh², quie¹ tionh²i³ i⁴sian³i³ co³hei²tsei³, a³ra³jan⁴ liah⁴i² lang⁴³ a⁵a³siah³ a³sa⁴sian³ jeu³². 
MAT.9.37	Jon³ a⁴sagh⁴³i³ chie³ quian¹:
MAT.9.37	―I⁴chie⁴³pa² juah³ˉ⁴, ta² hlion⁴ i⁴jnia² je¹, a³júan³ ta¹pa² co⁴meih³ leg⁴³. 
MAT.9.38	I⁴jon³ hniah³ mh³²ˉ³ A³don⁵ quieh¹ je¹ i⁴sain³⁴i³ mozo quian¹ i⁴si⁵queun³i³.
MAT.10.1	I² jon³ a⁴teh³i³ quia⁵teun⁴ chie³ quian¹. A⁴cúah³i³ heih⁴³ i⁴húa³⁴i³ m⁴tyi⁴ hlagh³² jian³ i⁴júan³⁴i³ i⁴huan⁴ quieh¹ a³ti²lang⁴³ chie² la⁴jeg³⁴ nai² jian³ a³ti²can²³ ma²eu⁴³.
MAT.10.2	Jian³ i⁴la³ jm³i⁴sain³ a³quia⁵teun⁴ hain⁴ a³a⁴quian³i³ ta¹ quieh¹: co⁴ra⁴lie⁵ Si²úan¹ a³teh²i³ Pe³², jian³ Dre¹ reunh¹i³; Jacobo a³jon⁴³ Zebedeo, jian³ Juan²³ reunh¹i³; 
MAT.10.3	Lei³² jian³ Bartolomé; To³ma²³ jian³ Ma³te³² a³can²³ hmah¹; Jacobo a³jon⁴³ Alfeo, jian³ Lebeo a³ni²tsei¹ jm³i⁴sain³ Tadeo; 
MAT.10.4	Si²úan¹ a³ma²hein² jo³² cananista; jian³ Judas Iscariote, a³hain⁴ a³a⁴cúanh³ Jesús.
MAT.10.5	A³quia⁵teun⁴ ne³ a⁴sain⁴ Jesús, con³ma²a⁴ron⁴³i³ jau²³ co³re³, juah⁴i³:
MAT.10.5	―Sa⁴hniah³ cúah²ˉ³ i²tionh² a³sa⁴lang⁴³ judío, jian³ a⁵ga⁴ jeu³ co²³ chie³ samaritano; 
MAT.10.6	quie¹ hniah³ cúah²ˉ³ i²con²³ jmah³ sa¹jeun³ Israel a³ti²lang⁴³ a⁵a³siah³ a³ŋeng²³ conh²pa². 
MAT.10.7	Cua³ hnei³ ya⁴hleh²ˉ³, juah²ˉ³: “Ma³ja²³ jm² i⁴han⁵ chie³ naih⁵ heih⁴³ hm³⁴ quieh¹ A³cua⁴³ ñi⁴jeu⁵.” 
MAT.10.8	Júan² hnei³ i⁴huan⁴ quieh¹ a³chieh¹ jian³ a³ti²lang⁴³ chie² jyih² o¹ŋeu⁴³ quieh¹, jian³ júan² hnei³ i⁴jainh¹ a³jaun² liah⁴, húa² hnei³ m⁴tyi⁴ hlagh³². Quie¹ ta² a⁴hyanh³pa² hnei³ tionh²ˉ³ ua³pei⁴ la³; a⁵can³ hnei³ hmah¹.
MAT.10.9	’A⁵can³ hnei³ o¹cau³²nie¹, a⁵ga⁴ o¹cau³² tie³, a⁵ga⁴ a²ñi²³ yein⁴ joh⁴³ to³lo³ quianh³ˉ³. 
MAT.10.10	Jian³ sa⁴canh²ˉ³ a²mo³ra² ho³²jeu³, jian³ sa⁴canh²ˉ³ a²cúanh³, conh⁴ heinh² ne³pa² hnei³, jian³ sa⁴hniah³ canh²ˉ³ a²lo³ tsei²³ tagh¹ˉ³ liah⁴ a⁵ga⁴ a²hma³heu¹; quie¹ haih¹ guenh⁴³i³ a³júan³ ta¹.
MAT.10.11	’I² tei⁴³i² a⁴heuh³ˉ³ con³ si³da²³ jian³ o⁴ con³ jeu³ peih¹, hniah³ ŋangh²ˉ³ jainh¹ cua⁴³ jan³ chie³ tsein²³. Jian² hnei³ jauh³² quieh¹ a³hain⁴ la⁴conh⁴i² a⁴jauh²ˉ³ jeu³ jon³. 
MAT.10.12	I² tei⁴³i² heuh¹ˉ³ jauh³², cúan³²i³ hnei³ dai¹ i⁴tionh²i³ hyon³ tsei⁴³i³. 
MAT.10.13	I² juah⁴ne³ tsein³⁴ a³tionh² jauh³² jon³, jon³ li⁴tei⁴³ jau²³ i⁴tionh²i³ hyon³ tsei⁴³i³. I² juah⁴ne³ sa⁴tsein³⁴i³ tionh², jon³ sa⁴li⁴tei⁴³ jau²³ quianh³ˉ³ i²con²³i³. 
MAT.10.14	I² juah⁴ne³ sa⁴a⁴hyei⁴³i³ hnei³ jian³ a⁵ga⁴ a⁴nau⁴i³ jau²³ quianh³ˉ³, jon³ jau²³ hnei³ jauh³² jon³ jian³ o⁴ jeu³ jon³, jian³ poh⁴³ hnei³ o¹hlie³ ti²quin⁴³ si¹tagh¹ˉ³ tionh²ˉ³. 
MAT.10.15	I⁴chie⁴³pa² jeu³⁴ˉ⁴ hnei³ tionh²ˉ³, la⁴teg⁴i² ma³a⁴teg⁴ jm² queih³ Jon⁴dai¹ heih⁴³ i²con²³ chie³, pain⁴ ma²eu⁴³ hyieh⁴ a³tionh² jeu³ jon³ la⁴conh⁴a² a³ma²tionh² jeu³ Sodoma jian³ Gomorra.
MAT.10.16	’¡Jeh³²! Sain¹ˉ⁴ hnei³ la⁴jan³ a⁵a³siah³ tionh²ˉ³ jen² a¹tsai³nau²³. I⁴jon³ júan² hnei³ nei²³ hoh⁴³ˉ³ la⁴jan³ a⁵mh³, jian³ júan² hnei³ i⁴huanh³²ˉ³ la⁴jan³ a⁵ta³cuah³. 
MAT.10.17	Jianh³ˉ³ júan² hnei³ quie¹ cúah⁴³i³ hnei³ joh⁴³ cúa³ si³ta¹, jian³ po³⁴i³ hnei³ cuah³ quieh¹i³ tionh². 
MAT.10.18	Jian³ si⁵jo⁴i³ hnei³ ta⁵nei² si²mah⁴ tyein² tionh² jian³ ta⁵nei² re¹ nei² quien⁴ˉ⁴. I² la⁴ne³ li⁴hleh² hnei³ i²con²³i³ nei² quien⁴ˉ⁴ jian³ i²con²³ a³sa⁴lang⁴³ judío tionh². 
MAT.10.19	I² tei⁴³i² cúah⁴³i³ hnei³, sa⁴hniah³ júanh²ˉ³ co³hei²tsei³ henh⁴ jau²³ jainh²ˉ³ i²con²³i³ jian³ o⁴ henh⁴ hleh²ˉ³; quie¹ o²ra³ jon³ jia²³ jau²³ liah⁴ hniah³ hleh²ˉ³. 
MAT.10.20	Quie¹ a⁵hei⁴³ hnei³ hleh²ˉ³, M⁴tyi⁴ quieh¹ Naih⁴³ˉ³pa² hleh³ con⁴juah⁴ hnei³ tionh²ˉ³.
MAT.10.21	’Quie¹ cúanh⁴³ chie³ a³reunh¹ i⁴jŋangh³i³, jian³ cúanh⁴³ ca³chion²³ si³jon⁴³; jian³ ca³chion²³ li⁴hion²³ jmai³sie²³ i⁴cúanh⁴³i³ i⁴jŋangh³i³. 
MAT.10.22	Jian³ la⁴jang³⁴pa² li⁴hie²³ hnei³ tionh²ˉ³ nei² quien⁴ˉ⁴; i² a³hain⁴ a³tieh¹ liah⁴i² a⁴toh⁴, a³ne³pa² lion⁴. 
MAT.10.23	I² tei⁴³i² hag²³i³ hnei³ con³ jeu³, cm² hnei³ la⁴teg⁴ i²con³. I⁴chie⁴³pa² jeu³⁴ˉ⁴ hnei³, naih⁵i² cúah²ˉ³ la⁴jeg³⁴ jeu³ i²tionh² chie³ Israel, jionh⁴ A³a⁴lang³⁴ Chie³ hain⁴.
MAT.10.24	’I¹jan³ a³ma³tang²³ sa⁴júanh⁴³ la⁴conh⁴a² a²teg²³ jeu³², a⁵ga⁴ júanh⁴³ a³cúa²³ cúa³tag³² la⁴conh⁴a² jeu³². 
MAT.10.25	Quie¹ hniah³ hyein⁴³ a³ma³tang²³ i⁴júanh¹ chie³ quieh¹i³ la⁴jon³ liah⁴i² júanh¹i³ jeu³²i³. Jian³ la⁴jon³ a³cúa²³ cúa³tag³² hniah³ hyein⁴³ i⁴júanh¹ chie³ quieh¹i³ liah⁴i² júanh¹i³ jeu³²i³. Quie¹ juah⁴ne³ teh²i³ a³don⁵ quieh¹ jauh³² a⁵lainh³² Beelzebú, ¿conh⁴a² sa⁴teh³i³ a³tionh² jauh³², lainh⁴ˉ³?
MAT.10.26	’I² la⁴ne³ ne⁵, sa⁴hniah³ canh⁴³ˉ³ chie³. Quie¹ i¹con³ i⁴ni²jleg³ sa⁴sia³ juah⁴ i⁴sa⁴jñeih³. Jian³ i¹con³ i⁴ni²hma² sa⁴sia³ juah⁴ i⁴sa⁴li⁴ñi³ chie³. 
MAT.10.27	I² la⁴jon³ la⁴jeg³⁴ i⁴hleh³ jnia⁴ ta⁵i²nai³, hniah³ hleh² hnei³ ta⁵i²joh¹; la⁴jeg³⁴ i⁴jeu³⁴ˉ⁴ hnei³ ta⁵si²hma², hniah³ hleh²ˉ³ i⁴si²tyeinh¹ˉ³ yeih³². 
MAT.10.28	A⁵júan³ hnei³ canh⁴³ a³jŋangh² heh³²ˉ³, quie¹ sa⁴li⁴jŋangh³i³ m⁴tyi⁴ quianh³ˉ³; eu⁴³a² re³ hniah³ júanh²ˉ³ canh⁴³ a³li⁴jeun³⁴ m⁴tyi⁴ quianh³ˉ³ jian³ li⁴tonh³i³ heh³²ˉ³ qui⁴jeu⁵.
MAT.10.29	’¿O⁴ sa¹ chie⁴³ hnang⁴³i³ on³⁴ jon⁴³tan²³ peih¹ conh⁴ con³ ñi²hña⁴, liah²? Ua²liah⁴a² leg⁴³ la⁴ne³, i¹jan³ sa⁴li⁴tianh⁵ juah⁴ne³ sa⁴cúa²³ Jon⁴dai¹ jeu³. 
MAT.10.30	Quie¹ la⁴teg⁴ hmh⁴jñi³ tyih³ˉ³ ni²hei²³ la⁴jeg³⁴ i²con²³ Jon⁴dai¹. 
MAT.10.31	I² la⁴ne³ jon³ a⁵júan³ hnei³ canh⁴³; quie¹ eu⁴³a² hlion⁴ queinh⁴³ˉ³ tionh²ˉ³ la⁴conh⁴a² jeun⁴³ jon⁴³tan²³ peih¹.
MAT.10.32	’Jian³ la⁴jang³⁴ a³hleh² i⁴lang⁴³ chie³ quian³⁴ˉ⁴ ta⁵nei² chie³, jon³ hleh¹ jnia⁴ liah⁴ i⁴lang⁴³i³ a³quian³⁴ˉ⁴ ta⁵nei² Neih³ˉ⁴ a³cua⁴³ ñi⁴jeu⁵. 
MAT.10.33	Jian³ la⁴jang³⁴ a³hleh² i⁴sa⁴lang⁴³ chie³ quian³⁴ˉ⁴ ta⁵nei² chie³, jon³ hleh¹ jnia⁴ liah⁴ i⁴sa⁴lang⁴³i³ a³quian³⁴ˉ⁴ ta⁵nei² Neih³ˉ⁴ a³cua⁴³ ñi⁴jeu⁵.
MAT.10.34	’¿O⁴ cuan⁵ˉ⁵ i⁴júan³²ˉ⁴ i⁴cua³⁴ chie³ tai³² cuah³²húa³⁴ la³, lainh⁴ˉ³ tionh²ˉ³? A⁵sia³ cuan⁵ˉ⁵ la⁴ne³, quie¹ i⁴han⁵ chie³ ma⁵quein²³ co³hei²tsei³pa². 
MAT.10.35	Quie¹ cuan⁵ˉ⁵ i⁴ua⁵júan³⁴ˉ⁴ i⁴han⁵ chie³ ma⁵quein²³ jo³² a³ñih³ jian²³ jmai³ jian³ a³m⁴ jian²³ sie²³, jian³ a³lo²³i³ jian²³ a³don⁵ a¹sie²³i³. 
MAT.10.36	I² a³li⁴hie²³ quieh¹ chie³ tionh² ne⁵, a³tionh² jauh³² quieh¹ pi²³i³.
MAT.10.37	’I² a³hain⁴ a³hnio³⁴ jmai³sie²³ la⁴conh⁴a² jnia⁴, sa⁴haih¹ li⁴lain⁴i³ chie³ quian³⁴ˉ⁴; conh⁴liah⁴ a³hain⁴ a³hnio³⁴ a³ñih³ jon⁴³ jian³ o⁴ a³m⁴ jon⁴³ la⁴conh⁴a² jnia⁴, sa⁴haih¹ li⁴lain⁴i³ chie³ quian³⁴ˉ⁴. 
MAT.10.38	Jian³ a³sa⁴i²can³⁴ ma²eu⁴³ i⁴si⁴tyein⁵i³ coh⁵cah³ˉ⁴, sa⁴haih¹ li⁴lain⁴i³ chie³ quian³⁴ˉ⁴. 
