MAT.1.1	'E 'akapapa'anga nō te 'ui tupuna o Iēsū Mesia, 'e tamaiti nā Dāvida, 'e tamaiti nā Āberahāma.
MAT.27.40	nā kō maira, “Ko tei vāvā'i i te nao ē, ē ka oti i te 'akatū 'aka'ou i te pō toru anake! E 'akaora i a koe 'ua'orāi, mē ko te Tamaiti a te Atua koe na, ē ka 'eke mai ki raro mei te sātauro mai!”
MAT.27.41	Mei te reira katoa te kau ta'unga nunui, te au Pū'āpi'i Ture ē te aronga pakari ra i te 'āviri'anga mai i a Iēsū, nā kō maira, 
MAT.27.42	“Kua 'akaora aia i ēta'i kē ra, kāre rā e rauka i aia i te 'akaora i aia 'ua'orāi. Ko ia te Ariki o Īserā'ela, kia 'eke mai aia i tēianei mei runga mai i te sātauro, ē ka 'irinaki atu mātou i aia! 
MAT.27.43	Kua 'irinaki 'oki aia ki te Atua! Kia 'akaora te Atua i aia i tēianei, mē ka anoano'ia aia e te Atua. Nāna rāi 'oki i karanga ē, ‘Ko au te Tamaiti a te Atua.’ ”
MAT.27.44	Ē ko ngā tangata keikeiā 'oki i 'akasātauro'ia ma ia katoa ra, kua 'akapērā katoa i te 'akakino'anga mai i aia ra.
MAT.27.45	Ē mei te avatea pū mai rāi, e tae 'ua atura ki te ora toru ra, kua kako rava akera te 'enua kātoatoa i te pōiri. 
MAT.27.46	Ē mei te ora toru ra, kua kāpiki atura a Iēsū ma te reo ma'ata, nā kō atura, “
MAT.27.47	Ē kia 'akarongo ēta'i aronga e tū 'ua ra i reira ra, kua nā kō akera, “Tē kāpiki nei tēia tangata i a Ēlia.” 
MAT.27.48	I taua 'ati'anga rāi, kua 'oro atura tēta'i i ō rātou ra, kua rave atura i tēta'i rimu, ē kua 'akakī atura ki te vinika, tōpiri i'ora ki runga i tēta'i kāka'o, 'apai atura kia inu aia.
MAT.27.49	Kua nā kō akera rā tēta'i pae, “'Eia'a, e 'ākara ana tātou ē, mē ka 'aere mai rāi a Ēlia e 'akaora i aia.”
MAT.27.50	Kua kāpiki 'aka'ou atura a Iēsū ma te reo ma'ata, ē kua tuku atura i te vaerua.
MAT.27.52	Ma'eu akera te au mēnema ra. Ē kua tū maira te au kōpapa o te aronga tapu i moe ra 'e mānganui. 
MAT.27.53	Ē kua 'aere maira rātou ki va'o mei roto mai i te au mēnema ra i muri ake i tōna tū'aka'ou'anga, ē kua tomo atura ki roto i te 'ōire tapu, ē kua kitea'ia mai rātou e te tangata 'e mānganui.
MAT.27.54	Ko te rangatira 'ānere ra ē rātou katoa e tiaki ra i a Iēsū ra, i te kite'anga i te ngāruerue'anga 'enua ē te au mea i tupu ra, roko'ia i'ora rātou e te mataku ma'ata, ē kua nā kō i'ora, “Ko te Tamaiti tikāi tēia a te Atua!”
MAT.27.56	Tei roto 'oki i a rātou a Māria i Māgadala, ē Māria te metua va'ine o Iākōbo rāua ko Iōse ra, ē te metua va'ine 'oki o ngā tamariki a Zebedaio ra.
MAT.27.57	E a'ia'i i'ora, kua 'aere maira tēta'i tangata 'apinga nui nō Ārīmātea mai, ko Iōsēpha te ingoa ē te pipi katoa 'oki aia nā Iēsū, 
MAT.27.58	kua 'aere atura aia ki a Pilato, ē kua pati atura i te kōpapa o Iēsū. I reira kua 'akaue atura a Pilato kia tuku'ia mai te kōpapa. 
MAT.27.59	Kua rave atura a Iōsēpha i te reira, ē kua 'opa i'ora ki te kāka'u 'ōrongā mā ra, 
MAT.27.60	ē kua tuku atura ki roto i tōna 'ua'orāi mēnema 'ōu i pao'ia e ia ki roto i te mato. Kua pōtaka atura aia i tēta'i toka ma'atama'ata ki te ngūtupa o te mēnema ra, 'aere atura. 
MAT.27.61	Tei reira katoa 'oki a Māria i Māgadala, ē tēta'i Māria katoa, i te no'o'anga i mua i te tanumanga ra.
MAT.27.62	E pōpongi akera, koia 'oki i muringa a'o i te rā 'akate'ate'amamao'anga ra, kua putuputu maira te kau ta'unga nunui ē te au Phārīsea ra ki a Pilato, 
MAT.27.63	nā kō maira, “E te 'atu, kua ma'ara i a mātou ē, kua tuatua ana taua tangata pikika'a ra i te ora'anga a ia ra ē, ‘I muri ake i te pō toru, ka tū 'aka'ou au ki runga.’ 
MAT.27.64	Ē nō reira, e 'akaue ake koe kia tiaki meitaki'ia te tanumanga kia tae ki te toru o te pō, kia kore tāna au pipi e 'aere mai e keiā atu i aia, ē te nā kō'anga atu ki te tangata tini ē, kua tū 'aka'ou mai aia mei tei mate maira. Ē ka kino ma'ata atu te pikika'a'anga 'openga i tō tei muatangāna ra.”
MAT.27.65	Kua karanga atura a Pilato ki a rātou, “'E pupu tiaki 'oki tō kōtou. E 'aere atu, e tiaki meitaki ki tā kōtou 'inangaro ra.”
MAT.27.66	'Aere atura rātou, e tiaki meitaki atura i te tanumanga ra, koropini atura i te toka ki te au tiaki.
MAT.28.1	E oti akera te Sābati, kia tae ki te 'ākirāta i te rā mua o te 'ebedoma ra, kua 'aere maira a Māria i Māgadala, ē tēta'i Māria 'oki, e 'ākara i te tanumanga ra. 
MAT.28.2	Ē inā, 'e ngāruerue'anga ma'ata tō te 'enua; nō te mea, kua 'eke mai tēta'i 'āngela a te 'Atu ra mei te rangi mai, kua 'aere mai e 'uri kē atura i te toka, ē kua no'o i'ora ki runga a'o. 
MAT.28.3	Mei te uira ra tōna 'ākara'anga, ē tōna kāka'u mei te kiona ra te teatea. 
MAT.28.4	Rūtetetete i'ora te aronga tiaki ra nō te mataku i aia, e riro atura rātou mei te aronga mate rāi.
MAT.28.5	Kua tuatua maira te 'āngela ki ngā va'ine ra, nā kō maira, “Auraka kōrua e mataku. Kua kite 'oki au ē, tē kimi nei kōrua i a Iēsū tei 'akasātauro'ia ra. 
MAT.28.6	Kāre aia i konei, nō te mea, kua 'akatū'ia ake nei aia mei tāna i 'akakite ra. E 'aere mai, e 'ākara i te ngā'i i vao'o'ia ai aia. 
MAT.28.7	Ē e 'aere viviki ē e 'akakite atu ki tāna au pipi ē, ‘Kua 'akatū'ia ake nei aia mei te aronga mate maira, ē inā, tē 'aere atura aia nā mua i a kōtou ki Galilea. 'Ei reira kōtou e kite atu ei i aia.’ Ko tāku karere tēia ki a kōrua.”
MAT.28.8	Ē kua 'akaruke viviki maira rāua i te mēnema ma te mataku ē te rekareka ma'ata, 'oro atura i te 'akakite atu ki tāna au pipi.
MAT.28.9	Ē inā, kua 'ārāvei maira a Iēsū i a rāua, nā kō maira, “Kia orana.” Kua 'akavaitata atura rāua, mou i'ora i ōna vaevae e tuturi atura ki mua i aia. 
MAT.28.10	I reira, kua karanga maira a Iēsū ki a rāua, “Auraka e mataku! E 'aere e 'akakite ki taku au taeake kia 'aere rātou ki Galilea, 'ei reira rātou e kite mai ei i āku.”
MAT.28.11	Ē kia riro atura taua ngā va'ine ra, inā, kua 'aere mai ēta'i o te au tiaki ki roto i te 'ōire, e 'akakite maira ki te kau ta'unga nunui ra i te au mea kātoatoa i tupu ra. 
MAT.28.12	Ē i te putuputu'anga rātou ma te aronga pakari, kua kotikoti kupenga i'ora rātou ē, e 'ō ake i tēta'i moni ma'ata ki te au va'e'au, 
MAT.28.13	nā kō atura, “E karanga atu kōtou ē, ‘Nā tāna au pipi i 'aere mai i te pō e keiā i aia, i a mātou e moe ra.’ 
MAT.28.14	Ē, mē rongo'ia te reira e te tūtara, nā mātou e 'akamarū i aia, ē e 'akapāpū kia ora kōtou.”
MAT.28.15	Kua rave rātou i te moni ē kua pērā rātou mei tei 'akaue'ia maira. Ē tē toto'a nei taua tuatua i rotopū i te au Ngāti Iūda ē tēia noa ai.
MAT.28.17	ē i tō rātou kite'anga i aia, kua tuturi rātou ki mua i aia; ko tēta'i pae rā, kua 'ēkōkō i aia. 
MAT.28.18	Ē kua 'akavaitata maira a Iēsū, tuatua maira ki a rātou, nā kō maira, “Kua tuku'ia mai ki āku te mana katoa o tō te rangi ē tō te 'enua nei. 
MAT.28.19	Nō reira, e 'aere kōtou e 'akariro i te au 'iti tangata rava rāi 'ei au pipi nāku i te bāpetīto'anga i a rātou i te ingoa o te Metua, ē nō te Tamaiti, ē nō te Vaerua Tapu; 
MAT.28.20	ē i te 'āpi'i'anga atu i a rātou kia 'ākono rātou i te au mea kātoatoa tāku i 'akaue atu ki a kōtou. Ē inā, 'ei vaitata 'ua au i a kōtou i te au rā katoa, e tae 'ua atu ki te 'openga o tēianei ao.”
MRK.1.1	Ko te 'akamata'anga o te tuatua meitaki nō runga i a Iēsū Mesia, te Tamaiti a te Atua. 
MRK.1.2	Kua tupu mei tei tātā'ia ki roto i tā Īsaia peroveta ra,
MRK.1.2	“Tē nā kō maira te Atua, ‘Inā, e tono atu au i tāku karere nā mua i a koe,
MRK.1.2	ē nāna e 'akameitaki i tō'ou ara.’
MRK.1.3	‘Ka 'akate'ate'amamao i te arāta'a o te 'Atu,
MRK.1.3	e 'akatikatika i tōna au mataara.’ ”
MRK.1.4	I pērā a Ioane i te bāpetīto 'aere'anga i te mēdēbara, ē te tuatua 'aere'anga i te bāpetīto tatarā'ara kia matara te 'ara. 
MRK.1.5	Kia 'aka'ope maira tō te 'enua ra tō Iūdea ē tō Iērūsalēma i aia ra, ē bāpetīto kātoatoa'ia i'ora e ia i te kauvai i Iōrīdāna, ma te 'a'aki i tā rātou au 'ara.
MRK.1.7	I tūtū 'aere atura aia, nā kō atura, “Tē 'aere mai nei tēta'i i muringa a'o i āku, 'e ma'ata atu tōna mana i tōku; kāre 'oki au e tau kia tūpou ki raro ē tatara i te 'ītiki tāmaka nōna ra. 
MRK.1.8	I bāpetīto ana 'oki au i a kōtou ki te vai; kāreka aia, e bāpetīto aia i a kōtou ki te Vaerua Tapu.”
MRK.1.9	I reira tō Iēsū 'aere'anga mai mei Nāzarēta i Galilea maira, ē kua bāpetīto'ia i'ora e Ioane i Iōrīdāna. 
MRK.1.10	Ē tei te kake'anga mai aia mei raro mai i te vai, kite akera aia i te rangi i te vete'anga'ia ē te Vaerua Tapu i te 'eke'anga mai ki runga a'o i aia mei te kūkupa ra. 
MRK.1.11	Ē kua kitea maira 'oki tēta'i reo nō te rangi mai i te nā kō'anga mai, “Ko taku Tamaiti 'akaperepere koe, kua mareka rava au i a koe.”
MRK.1.12	Arataki'ia atura aia e te Vaerua Tapu ki te mēdēbara. 
MRK.1.13	Ē i reira aia i taua mēdēbara ra i te tīmata'anga'ia mai e Sātani e 'ā akera nga'uru'anga o te rā. Ē i rotopū aia i te au puaka tā'ae; ē kua mātuāpuru maira 'oki te au 'āngela i aia.
MRK.1.14	Ē kia tiri atu'ia ra a Ioane ki roto i te 'are 'āuri, 'aere atura a Iēsū ki Galilea, i te tūtū 'aere'anga i te tuatua meitaki o te bāsileia o te Atua ra, 
MRK.1.15	nā kō akera, “Kua tae ki te tuātau, kua vaitata mai nei te bāsileia o te Atua. E tatarā'ara kōtou ē ka 'irinaki i te 'ēvangelia nei.”
MRK.1.16	Ē tē 'aere ra a Iēsū nā te pae roto i Galilea ra, kite atura aia i a Simona ē tōna teina ko Ānēderea i te tuku'anga i te kupenga ki taua roto ra. 'E puke ravakai 'oki rāua. 
MRK.1.17	Kua karanga atura a Iēsū ki a rāua, “Ka āru mai kōrua i āku, ē e 'akariro au i a kōrua 'ei ravakai tangata.” 
MRK.1.18	'Akaruke i'ora rāua i tā rāua puke kupenga i reira, ē kua āru maira i aia.
MRK.1.19	Ē tē 'aere atura aia i tēta'i ngā'i iti i'o, kite atura aia i a Iākōbo a Zebedaio ra ē tōna teina ko Ioane, tei runga rāua i te poti, tē 'ono ra i te kupenga. 
MRK.1.20	Kua kāpiki atura aia i a rāua. Vai'o atura rāua i tō rāua metua ko Zebedaio ki runga i te poti ē ngā tāvini o'u'ia ra, āru atura i a Iēsū.
MRK.1.21	'Aere atura a Iēsū mā ki Kāperenāuma. E tae akera ki te Sābati, 'aere atura aia ki roto i te sūnago, 'āpi'i atura i te tangata. 
MRK.1.22	Vā 'ua i'ora rātou i te tū o tāna tuatua. I 'āpi'i 'oki aia ma te mana, kāre mei tā te au Pū'āpi'i Ture ra.
MRK.1.23	Tei roto 'oki i tō rātou sūnago tēta'i tangata, 'e vaerua vi'ivi'i tōna; kua kāpiki 'ua maira nā kō maira, 
MRK.1.24	“Auē, e Iēsū o Nāzarēta ē! 'E a'a tā'au i a mātou nei? I 'aere mai āina koe e tāmate mai i a mātou? Kua kite au i a koe, ko koe te Mea Tapu a te Atua ra.”
MRK.1.25	Kua kauvae atura a Iēsū ki aia, nā kō atura, “Ka mūtēkī, ka 'aere mai ki va'o, vai'o atu i aia.”
MRK.1.26	Kua rave nui i'ora taua vaerua vi'ivi'i ra i aia, kāpiki 'ua maira ma te reo ma'ata, e oti akera, kua 'aere maira ki va'o. 
MRK.1.27	Ūmere anake i'ora te tangata kātoatoa, ē kua 'ēumiumi i'ora rātou rātou 'ua'orāi, nā kō akera, “'E a'a 'ua tēia? 'E a'a 'oki tēianei au tuatua 'ōu? Tē 'akaue nei aia i te au dēmoni vi'ivi'i nei ma te mana, ē tē 'akarongo nei rātou i aia!”
MRK.1.28	E tutuki atura tōna rongo, e pini rava akera taua 'enua ra ko Galilea, kāre i roa'ia.
MRK.1.29	E tae maira a Iēsū ē tāna au pipi ki va'o i taua sūnago ra, 'aere atura a Iākōbo rāua ko Ioane, ē ko rātou rava rāi 'oki ki roto i te 'are o Simona rāua ko Ānēderea. 
MRK.1.30	Tē 'aka'āvai 'ua ra te metua 'ōngai va'ine nō Simona ra, kua mate i te vera. Kua 'akakite maira rātou i aia ki a Iēsū i reira ra. 
MRK.1.31	'Aere atura a Iēsū ki aia, rave atura i tōna rima, 'akatū akera i aia ki runga. Peke atura te vera i reira, kua mātuāpuru maira aia i a rātou.
MRK.1.32	E a'ia'i atura, kia topa te rā ra, kua 'apai maira rātou i te au tangata maki rava rāi ki aia, ē te aronga i uru'ia e te au dēmoni ra. 
MRK.1.33	Kua 'uipā katoa maira tō te 'ōire rava rāi ki te ngūtupa. 
MRK.1.34	Kua 'akaora i'ora aia i te tangata 'e mānganui tei mate i te au maki katoa, ē kua tuaru i te au dēmoni 'e mānganui ki va'o. Ē kāre 'e tika i aia kia tuatua mai taua au dēmoni ra, kua kite 'oki rātou i aia.
MRK.1.35	E pōpongi akera, tū akera a Iēsū ki runga i te 'ākirāta, 'aere atura ki tēta'i ngā'i motuta'a, ē kua pure i'ora aia i reira. 
MRK.1.36	Kua kimikimi atura a Simona mā i aia. 
MRK.1.37	E kite atura rātou i aia, kua nā kō atura, “Tē kimi nei te tangata rava rāi i a koe!”
MRK.1.38	Kua tuatua maira aia ki a rātou, “Ka taki 'aere tātou ki te au 'ōire i vaitata nei kia 'āpi'i katoa atu au i te reira. Ko tōku ia tere i 'aere mai ei au nei.”
MRK.1.40	Kua 'aere maira tēta'i tangata lēpera ki a Iēsū, kua tuturi maira ki mua a'o i aia, nā kō maira, “Kia tika i a koe, e mā au i a koe.”
MRK.1.41	Tangi akera a Iēsū i aia, 'akatoro atura i tōna rima, ē 'akatūkia atura i aia, nā kō atura, “Kua tika ia i āku; kia mā koe.” 
MRK.1.42	Ē tei te pērā'anga atu aia ra, peke atura te lēpera nōna i reira rāi, mā atura taua tangata ra. 
MRK.1.43	Kua ako 'ua atura a Iēsū i aia, tuku atura i aia kia 'aere, 
MRK.1.44	nā kō atura ki aia, “'Aua koe e tuatua 'ua ake ki tēta'i tangata. E 'aere rā, e 'akaāri i a koe 'ua'orāi ki te ta'unga, ē tao'i atu 'ei 'akapāpū'anga atu ki a rātou nō tō'ou tāmā'anga mei tā Mōse i 'akaue maira.”
MRK.1.45	'Aere atura rā aia, e 'akakite 'aere i taua tuatua ra, ē vāria i'ora. Kāre atura e rauka kia 'aere 'akakite 'ua a Iēsū ki taua 'ōire ra, no'o 'ua i'ora i te au ngā'i motuta'a ra. Ē kua 'aere maira 'oki te au tangata ki aia nō te au ngā'i rava rāi.
MRK.2.1	E 'ope akera tēta'i au rā, 'oki 'aka'ou atura a Iēsū ki Kāperenāuma; ē kitea i'ora ē, tei te kāinga aia. 
MRK.2.2	Kua 'uipā maira te au tangata 'e mānganui ki reira, kāre 'oki e ō mai, kāre rāi 'oki i vaitata a'o i te ngūtupa. 'Āpi'i atura a Iēsū i te tuatua a te Atua. 
MRK.2.3	Ē tē 'apaina'ia maira tēta'i 'akangoru e ngā tangata toko'ā. 
MRK.2.4	Kāre ake rā rātou i ō mai nō te ra'i o te tangata, kua 'uaki akera i te tāpoki 'are i te ngā'i tei reira a Iēsū ra, e tuku maira i te 'akangoru ma te ro'i katoa ki raro, nā roto i te ngā'i i 'uaki'ia ra. 
MRK.2.5	E kite atura a Iēsū i tō rātou 'irinaki'anga, kua nā kō atura ki taua 'akangoru ra, “E tama, kua 'akakore'ia tā'au 'ara.”
MRK.2.6	Tēta'i aronga 'āpi'i Ture i te no'o'anga i reira, kua nā kō akera i te 'ēumiumi'anga ki roto i a rātou 'ua'orāi, 
MRK.2.7	“'E a'a tēianei tangata i 'akapērā ai i te 'akakino Atua? E matara 'oki te 'ara i a 'ai, māri rā i te Atua anake?”
MRK.2.8	Tē kite 'ua ra a Iēsū i roto i aia 'ua'orāi ē, tē 'ēumiumi 'ua ra rātou, kua nā kō atura aia ki a rātou, “'E a'a kōtou i 'ēumiumi 'ua ai i taua au mea nei i roto i tō kōtou ngākau? 
MRK.2.9	Ko tē'ea te mea rave ngō'ie atu, ko te tuatua āinei ki te 'akangoru nei ē, ‘Kua matara tā'au 'ara,’ mē kāre ra, ko te tuatua ē, ‘Ka tū ki runga, ka rave i tō ro'i, ka 'aere’? 
MRK.2.10	Ka 'akapāpū rā au ki a kōtou ē, 'e mana tō te Tamaiti a te Tangata i te ao nei kia 'akakore i te 'ara.” Kua nā kō atura aia ki taua tangata 'akangoru ra, 
MRK.2.11	“Tē karanga atu nei au ki a koe, ‘Ka tū, ka rave i tō ro'i, ka 'aere ki tō'ou ngutu'are!’ ”
MRK.2.12	Tū akera aia ki runga i reira rāi, kua rave i'ora i tōna ro'i, 'aere atura ki mua i a rātou rava rāi. Ūmere anake i'ora rātou ma te 'akakakā i te Atua, nā kō akera, “I tēia 'ua nei rāi i kitea ai e tātou tēianei rāvenga.”
MRK.2.13	'Aere 'aka'ou atura a Iēsū ki te pae o te roto o Galilea ra. Kua 'aere maira 'oki te tangata tini i reira ra ki aia, kua 'āpi'i atura aia i a rātou. 
MRK.2.14	Ē tē 'aere atura aia kite atura aia i a Levi a Ālephaia ra, tē no'o ra ki roto i te 'are ko'i tero. Kua nā kō atura a Iēsū ki aia, “Ka āru mai i āku.” Tū akera a Levi ki runga, āru maira i a Iēsū.
MRK.2.15	Ē tē no'o ra a Iēsū i te kaingākai i roto i te 'are o Levi, kua no'o katoa maira te aronga ko'i tero ē te aronga rave 'ara 'e mānganui ma Iēsū katoa ē tāna au pipi ra. 'E mānganui 'oki o taua aronga ra i āru atu i aia. 
MRK.2.16	E kite akera te au Pū'āpi'i Ture ē te au Phārīsea i aia i te kai'anga i te kai, ko ia ma te aronga ko'i tero ē te aronga rave 'ara, kua nā kō maira rātou ki tāna au pipi, “'E a'a aia i kai katoa ai ē i inu ei 'oki ma te aronga ko'i tero ē te aronga rave 'ara nei?”
MRK.2.17	E 'akarongo akera a Iēsū, kua karanga atura aia ki a rātou, “Kāre ē nō te aronga e meitaki te ora'anga te ta'unga, nō te aronga maki rā. Kāre au i 'aere mai e kāpiki i te aronga tuatua tika, i te aronga 'ara rā kia tatarā'ara.”
MRK.2.18	Kua 'akakore te au pipi a Ioane ē tā te au Phārīsea katoa i te kai. Ē kua 'aere maira rātou ki a Iēsū, nā kō maira ki aia, “'E a'a te au pipi a Ioane ē te au pipi a te au Phārīsea i 'akakore ei i te kai, ē tā'au nei au pipi i kore ei i 'akakore i te kai?”
MRK.2.19	Kua nā kō atura a Iēsū ki a rātou, “Tē 'akakore nei āina te au 'oa o te tāne 'ōu ra i te kai, i te no'o katoa'anga o taua tāne 'ōu ra ki ō rātou? Tē no'o ra te tāne 'ōu i rotopū i a rātou, kāre ā rātou 'akakore'angā kai i reira. 
MRK.2.20	Tē vai atura te tuātau e 'apai kē'ia ai te tāne 'ōu ra; 'ei reira rātou e 'akakore ei i te kai.”
MRK.2.21	“Kāre 'e tangata e pānanaki i te kāka'u 'ōu ra ki runga i te kāka'u piro. Kia pērā, 'e ma'ata atu ia te nga'ae o tō te mea piro i taua pānanaki 'ōu ra. 
MRK.2.22	Kāre 'oki 'e tangata e tuku i te uaina 'ōu ki roto i te 'āriki ta'ito. Kia pērā, e nga'ae te 'āriki i taua uaina 'ōu ra, maringi atura ia, ē kino rava atura te 'āriki. 'E 'āriki 'ōu rā tō te uaina 'ōu e tikāi.”
MRK.2.24	Kua tuatua maira te au Phārīsea ra ki aia, “Inā, 'e a'a rātou i rave ei i te mea taukore i te Ture i te Sābati?”
MRK.2.25	Kua karanga atura aia ki a rātou, “Kāre āina kōtou i tatau i tā Dāvida i rave, ē tei kāpiti katoa ki aia, ka apiapi ei rātou, ka pongi ei 'oki? 
MRK.2.26	Ē i tomo aia ki roto i te 'are o te Atua ra, i te ta'unga ma'ata ra i a Ābiātara, ē kua kai i'ora i te mānga o te aroaro ra, ko tei kore i tau i te Ture kia kai, māri rā nā te kau ta'unga anake ra. Ē kua 'apai 'oki nā tei kāpiti katoa ki aia ra?”
MRK.2.27	Kua nā kō atura 'oki aia ki a rātou, “I 'ākono'ia te Sābati nō te tangata, kāre te tangata nō te Sābati. 
MRK.2.28	Ē tēianei ko te Tamaiti a te Tangata nei, ko te 'Atu katoa ia o te Sābati.”
MRK.3.1	Kua tomo 'aka'ou atura a Iēsū ki roto i te sūnago, tei reira 'oki tēta'i tangata rima 'akamate. 
MRK.3.2	Tē 'ākara matariki maira te au tangata i aia mē ka 'akaora aia i taua tangata ra i te Sābati, kia rauka tā rātou tāpepe'anga mai i aia. 
MRK.3.3	Kua karanga atura aia ki te tangata nōna te rima 'akamate ra, “Ka tū mai i rotopū nei.” 
MRK.3.4	Kua ui atura aia ki a rātou, “'E a'a tei tau i te Ture ki rave i te rā Sābati, ko te meitaki āina mē ko te kino? Ko te 'akaora āina mē ko te tā?”
MRK.3.4	Mūtēkī akera rātou. 
MRK.3.5	Kua 'akarau 'aere atura tōna mata ki a rātou rava rāi e pini 'ua ake ma te riri, tē tangi ra 'oki aia nō te mārōki'aki'a o tō rātou ngākau, ē kua karanga atura ki taua tangata ra, “Ka 'akatoro mai ana i tō rima.” Ē tei te 'akatoro'anga ra, ora tākiri akera tōna rima.
MRK.3.6	Kua 'aere atura te au Phārīsea ki va'o i reira rāi ē kua kotikoti kupenga ma te Hērōdiāni ē 'akapē'ea i te tā i a Iēsū.
MRK.3.7	Kua unu'i atura a Iēsū ma tāna au pipi, 'aere atura ki te pae roto ra. Ē kua āru maira tēta'i motu'anga tangata ma'ata nō Galilea ē nō Iūdea mai, 
MRK.3.8	nō Iērūsalēma, nō Idumea, nō te pae i tērā tua mai i a Iōrīdāna ra, ē tō te pae i Tūria ra 'oki ē tō Sīdona; 'e motu'anga tangata ma'ata katoa tei 'aere mai ki aia nō te rongo o te au rāvenga mana nāna ra. 
MRK.3.9	Kua karanga atura aia ki tāna au pipi kia 'akate'ate'amamao mai i tēta'i poti meangiti nōna, kia kore aia e 'aka'ete'ete'ia mai e te au tangata. 
MRK.3.10	'E mānganui 'oki tāna i 'akaora, ē kua 'aka'ete'ete maira te aronga maki 'e mānganui ki aia kia 'akatūkia mai rātou i aia. 
MRK.3.11	Ē te au vaerua vi'ivi'i katoa tei kite mai i aia ra, kua 'akatopa maira ki mua a'o i aia ma te kāpiki'anga i te nā kō'anga mai ē, “Ko te Tamaiti koe a te Atua.”
MRK.3.12	Kua ako 'ua atura aia i a rātou ē, auraka rava rātou e 'a'aki i aia.
MRK.3.13	Ē i muri akera, 'aere atura a Iēsū ki runga i tēta'i maunga, kua kāpiki maira 'oki i te aronga tāna i anoano ra, ē kua 'aere maira rātou ki aia ra. 
MRK.3.14	Kua 'iki atura aia i tēta'i tino nga'uru mā rua (ē ko tāna ia i tapa i te ingoa 'e au 'āpōsetolo), kia āru rātou i aia ē kia unga atu 'oki aia i a rātou e ako 'aere. 
MRK.3.15	Ē kua 'ōronga atu i te mana ki a rātou kia tuaru 'oki i te au dēmoni ki va'o.
MRK.3.16	Tēia 'oki taua tino nga'uru mā rua ra: ko Simona, tāna i tapa ē ko Pētero; 
MRK.3.17	ko Iākōbo a Zebedaio ra, ē ko Ioane, te teina o Iākōbo ra; ko rāua tāna i tapa ē ko Boanere, koia 'oki, ngā tamariki a te māngūngū; 
MRK.3.18	ko Ānēderea 'oki, ko Philipa, ko Baratolomea, ko Mātaio, ko Toma, ko Iākōbo a Ālephaia ra, ko Tādaio, ko Simona te Kananaio ra, 
MRK.3.19	ē ko Iūda Ikariota 'oki tei tuku pikika'a i a Iēsū.
MRK.3.20	'Aere atura a Iēsū ki te kāinga, ē kua putuputu 'aka'ou maira te urupū tangata, kāre akera e meitaki i a Iēsū mā kia kai i te mānga. 
MRK.3.21	E rongo akera tōna 'ua'orāi kōpū tangata, 'aere atura rātou e tāpū mai i aia, nō te mea, kua karanga rātou ē, “Kua 'āuouō'ia!”
MRK.3.23	Kua kāpiki atura a Iēsū i a rātou kia 'aere mai ki aia, ē kua tuatua parabole atura aia ki a rātou, “'E a'a e tikāi kia tuaru a Sātani i a Sātani 'ua'orāi? 
MRK.3.24	Kia mavete tēta'i bāsileia ē te rave i aia 'ua'orāi, kāre 'oki te reira bāsileia e mou. 
MRK.3.25	Ē kia mavete tēta'i ngutu'are tangata ē tē rave i aia 'ua'orāi, kāre rāi te reira ngutu'are tangata e 'okota'i. 
MRK.3.26	Ē kia tū mai a Sātani e rave i aia 'ua'orāi, e mavete i'ora, kāre aia e mou, 'e 'openga rāi i reira tōna.
MRK.3.27	“Kāre 'oki 'e tangata e tomo 'ua ki roto i te 'are o te tangata māro'iro'i ra, ka 'aru ei i tōna 'apinga. E nā mua ana rā aia i te tāpeka i taua tangata māro'iro'i ra, 'ei reira e tikāi kia 'aru aia i tōna kāinga.
MRK.3.28	“Koia mou tāku e karanga atu ki a kōtou na, ka 'akakore'ia te au 'ara rava rāi a te tamariki a te tangata nei, ē pērā katoa te 'akakino Atua tā rātou ka 'akakino ra; 
MRK.3.29	kāreka ia te ka 'akakino i te Vaerua Tapu ra, kāre tākiri rava tāna 'ara e 'akakore'ia, 'ei runga rāi i aia te 'ara mutukore.” 
MRK.3.30	Kua pērā a Iēsū, nō te mea, kua tuatua ana rātou ē, “Tei roto i aia tēta'i vaerua vi'ivi'i.”
MRK.3.31	Kua 'aere maira 'oki i reira tōna metua va'ine ē tōna 'ai taeake, tū maira i va'o, ē kua tono maira i te kāpikipiki i aia. 
MRK.3.32	Kua no'o takapini tēta'i urupū i aia, ē kua karanga atura ki aia, “Inā, tei va'o tō metua va'ine ē tō 'ai taeake, e tiki mai i a koe.”
MRK.3.33	Kua ui maira aia ki a rātou, nā kō maira, “Ko 'ai tōku metua va'ine ē tōku 'ai taeake?” 
MRK.3.34	Kua 'akarau atura tōna mata i te aronga i no'o takapini i aia, nā kō akera, “Inā, tēia tōku metua va'ine ē tōku 'ai taeake! 
MRK.3.35	Nō te mea, ko tei 'ākono i te anoano o te Atua ra, ko tōku ia taeake ē tōku ia tua'ine ē tōku ia metua va'ine.”
MRK.4.2	Ē 'e ma'ata tāna 'āpi'i'anga i a rātou nā roto i te au tuatua parabole, i nā kō maira te 'āpi'i'anga mai:
MRK.4.3	“Ka 'akarongo mai ana! Inā, 'aere atura te rūrū 'ua e rūrū i te 'ua. 
