GEN.1.1	Ba pun iya kelia,
EXO.13.9	Gawai tu deka nyadika pengingat, baka utai ti ditanchangka ba jari, tauka ba kening kita. Gawai tu deka ngasuh kita seruran ngingat sereta belajarka Adat TUHAN, laban TUHAN udah ngena kuasa Iya ti besai mai kita pansut ari menua Ejip. 
EXO.13.10	Intu gawai tu genap taun ba maya ti udah diletak.
EXO.13.11	“TUHAN deka mai kita ngagai menua orang Kanaan, ti udah disemaya Iya ngena sumpah ngagai aki ini kita. Lebuh Iya meri menua nya ngagai kita, 
EXO.13.12	 kita enda tau enda nyerahka anak tuai kita ke lelaki ngagai TUHAN. Genap iku anak tuai jelu kita endang enggi TUHAN, 
EXO.13.13	tang kita enda tau enda meli ari TUHAN genap iku anak tuai keledai kita ke lelaki, ngena siku anak domba, kena kita nyilih anak keledai nya. Enti kita enggai meli keledai nya pulai baru, patahka rekung iya. Kita enda tau enda meli pulai baru genap iku anak tuai kita ke lelaki. 
EXO.13.14	Jemah ila, lebuh anak kita nanyaka reti gawai nya, kita deka nyaut iya munyi tu: ‘TUHAN udah ngena kuasa Iya ti besai, mai kitai pansut ari menua Ejip, alai kitai ti udah nyadi ulun. 
EXO.13.15	Lebuh raja menua Ejip kieh ati, lalu enggai ngelepaska kitai, TUHAN munuh semua anak tuai ti lelaki di menua Ejip, nyengkaum anak mensia enggau anak jelu. Nya kebuah kitai nyerahka genap iku anak tuai jelu ti lelaki nyadika piring ti diberi ngagai TUHAN, tang meli pulai baru anak tuai kitai empu ti lelaki. 
EXO.13.16	Gawai tu nyadika pengingat kitai, baka reti utai ti ditanchangka kitai ba jari, tauka ba kening kitai. Gawai tu kena kitai ngingatka TUHAN ti udah ngena kuasa Iya ti besai mai kitai pansut ari menua Ejip.’ ”
EXO.13.17	Lebuh raja menua Ejip ngelepaska orang Israel, Allah Taala enda nguluka orang Israel nengah jalai ti nebing tasik ngagai menua Pilistin, taja pen jalai nya muntang, laban ku pikir Allah Taala, “Aku enggai ke orang Israel ngubah runding diri, lalu pulai baru ngagai menua Ejip, lebuh sida nemu diri enda tau enda beperang.” 
EXO.13.18	Nya alai, Iya nguluka sida niti jalai ti melit, nengah menua puang, nuju ngagai Tasik Mirah.
EXO.13.20	Orang Israel angkat ari Sukot, lalu nirika kem di Etam, ba tisi menua puang. 
EXO.13.21	Lebuh siang hari, TUHAN bejalai dulu ari sida dalam gentilang remang, nunjukka jalai ngagai sida, lalu lebuh malam hari, Iya bejalai dulu ari sida, dalam tiang api, meri sida penampak, ngambika sida ulih bejalai siang malam. 
EXO.13.22	Tiang mua hari nya endang seruran bejalai dulu ari orang Israel lebuh siang hari, lalu tiang api nya seruran di mua sida lebuh malam hari.
EXO.14.1	Udah nya TUHAN lalu bejaku ngagai Moses, 
EXO.14.2	“Asuh orang Israel nikal, lalu nirika kem sida di mua Pi-hahirot, entara Mikdol enggau Tasik Mirah, semak Baal-sepon. 
EXO.14.3	Raja menua Ejip deka ngumbai orang Israel bejalai segau-segau ngapa di menua nya, diempang menua puang. 
EXO.14.4	Aku deka ngasuh ati raja kieh, lalu iya deka begagaika kita, lalu Aku deka bulih mulia ngalahka iya enggau bala soldadu iya. Nya baru orang Ejip deka nemu Aku endang TUHAN.” Orang Israel lalu ngereja utai nitihka asuh TUHAN.
EXO.14.5	Lebuh orang madahka ngagai raja menua Ejip orang Israel udah rari, iya enggau bala pemesai iya lalu ngubah runding sida. Ku sida, “Nama kebuah kitai nejuka orang Israel rari, lalu badu agi gawa ke kitai!” 
EXO.14.6	Raja lalu nyendiaka kerita perang iya, lalu ngasuh bala soldadu iya mega sedia. 
EXO.14.7	Iya lalu mupuk enggau semua kerita perang iya, nyengkaum enam ratus buah kerita perang iya ti pemadu manah, ti diuluka bala pemesai sida. 
EXO.14.8	TUHAN ngasuh ati raja kieh lalu begagaika orang Israel ti udah gaga ati 
EXO.14.9	Bala soldadu orang Ejip, enggau semua kuda, kerita perang, enggau orang ke nepan kerita perang, begagaika orang Israel lalu betemu enggau sida ba endur alai orang Israel ke nirika kem ngimbai Tasik Mirah semak Pi-hahirot enggau Baal-sepon.
EXO.14.10	Lebuh orang Israel meda raja enggau bala soldadu orang Ejip mansang ngelaban sida, sida takut lalu ngangauka TUHAN, minta Iya nyaup sida. 
EXO.14.11	Ku sida bejaku enggau Moses, “Kati nuan mai kami ngagai menua puang ngambika kami mati laban menua Ejip nadai pendam? Peda nuan utai ti udah dikereja nuan, mai kami pansut ari menua Ejip! 
EXO.14.12	Ukai enda tu utai ti dipadahka kami ngagai nuan, ‘Anang ngachau kami, lalu lakka kami nyadi ulun orang Ejip’? Laban manah agi kami nyadi ulun din ari ke mati di menua puang tu.”
EXO.14.13	Tang ku Moses bejaku ngagai orang mayuh, “Anang takut! Bediri tegap! Nya baru kita deka meda pengelepas ti deka dikereja TUHAN ti kita sehari tu. Nadai kita ulih meda orang Ejip nya agi. 
EXO.14.14	TUHAN deka beperang ngarika kita. Kita semina diau jenuh aja.”
EXO.14.15	Ku TUHAN bejaku ngagai Moses, “Nama kebuah nuan nyabak minta saup? Asuh orang Israel bejalai. 
EXO.14.16	Angkatka tungkat nuan, lalu kedarka iya atas tasik. Ai nya deka bebagi, lalu orang Israel ulih bejalai nengah tasik nya nengah tanah ti rangkai. 
EXO.14.17	Aku deka ngasuh ati orang Ejip kieh, datai ke sida deka mansang ngagai tasik nya, begagaika sida, lalu Aku deka bulih mulia ketegal Aku menang ngelaban raja menua Ejip enggau bala soldadu iya, kerita perang iya, enggau orang ke nepan kerita perang iya. 
EXO.14.18	Lebuh Aku udah ngalahka sida, nya baru orang Ejip deka nemu Aku endang TUHAN.”
EXO.14.19	Melikat TUHAN ti udah bejalai dulu ari bala soldadu orang Israel lalu mindah tunga kebelakang bala orang Israel. Tiang mua hari nya mega mindah lalu 
EXO.14.20	nyeraraka bala orang Ejip ari bala orang Israel. Pemetang mua hari nya mungkus orang Israel, tang lebuh malam hari iya meri sida penampak. 
EXO.14.21	Moses ngedarka jari iya atas tasik nya, lalu TUHAN muputka ai tasik nya ngena ribut ti deras ari timur. Ribut nya muput semalam-malam nya, lalu ngasuh tasik nya rangkai. Ai nya bebagi dua, 
EXO.14.22	 lalu orang Israel bejalai nengah tasik nya nengah tanah ti rangkai. Ai nya nyau bedinding ari sepiak-sepiak sida. 
EXO.14.23	Orang Ejip lalu begagaika sida nengah tasik nya, mai semua kuda, kerita perang, enggau bala orang ke nepan kerita perang. 
EXO.14.24	Lebuh hari nyau deka tawas, TUHAN merening ke baruh ari tiang api enggau ari gentilang remang, ngagai bala soldadu orang Ejip, lalu sida begau abis ati.
EXO.14.25	TUHAN ngasuh kaki kerita perang sida lekat, ngambika kaki kerita perang sida enda tentu ulih bepusin. Ku orang Ejip bejaku, “TUHAN ti beperang ngelaban kitai ngarika orang Israel. Aram kitai rari ari tu!”
EXO.14.26	TUHAN lalu bejaku ngagai Moses, “Kedarka jari nuan atas tasik nya, ngambika ai pulai baru lalu ngelamun orang Ejip enggau kerita perang enggau orang ke nepan kerita perang.” 
EXO.14.27	Moses lalu ngedarka jari iya atas tasik nya, lalu ba rerak tawas pagi nya, ai nya lalu pulai baru ngenalam iya ti dulu. Orang Ejip nguji ngerarika diri ari ai nya, tang TUHAN nikauka sida ngagai tasik nya. 
EXO.14.28	Ai tasik nya pulai baru, lalu ngelamun kerita perang, orang ke nepan kerita perang, enggau semua bala soldadu orang Ejip ti udah begagaika orang Israel ngagai tasik nya. Nadai siku sida idup. 
EXO.14.29	Tang orang Israel bejalai nengah tasik nya nengah tanah ti rangkai, lalu ai nyau bedinding ari sepiak-sepiak sida.
EXO.14.30	Nya alai sehari nya TUHAN nyelamatka orang Israel ari orang Ejip, lalu orang Israel meda bangkai orang Ejip nyau betegaring ba sebelah tebing tasik nya. 
EXO.14.31	Lebuh orang Israel meda pemesai kuasa ti dikena TUHAN ngalahka orang Ejip, sida lalu nangika TUHAN. Sida arapka TUHAN, sereta arapka nembiak Iya, Moses.
EXO.15.1	“Aku deka belagu muji TUHAN, laban Iya udah menang.
EXO.15.1	Iya udah nikauka kuda enggau orang ke nepan kuda ngagai tasik.
EXO.15.2	ti udah ngelepaska aku.
EXO.15.2	Iya Allah Taala aku, lalu aku deka muji Iya
EXO.15.2	ti Allah Taala apai aku, lalu aku deka belagu ngemesaika nama Iya.
EXO.15.3	TUHAN endang tau serang.
EXO.15.3	TUHAN meh nama Iya.
EXO.15.4	“Iya udah nikauka bala soldadu orang Ejip enggau kerita perang sida ngagai tasik.
EXO.15.4	Bala pemesai soldadu ti berani udah lemas dalam Tasik Mirah.
EXO.15.5	Tasik ti dalam udah ngelamun sida.
EXO.15.5	Sida tengelam ngagai buntut tasik baka batu.
EXO.15.6	“Jari kanan Nuan, TUHAN, endang bekuasa,
EXO.15.6	ti ngeredakka munsuh.
EXO.15.7	Nuan ngena kuasa diraja Nuan ngalahka munsuh Nuan.
EXO.15.7	Pengeringat Nuan mau baka api lalu nunu sida baka jerami.
EXO.15.8	Nuan nyepu ngagai tasik, lalu ai betugung tinggi.
EXO.15.8	Ai bediri baka dinding.
EXO.15.8	Buntut tasik nya nyadi tanah ti rangkai.
EXO.15.9	Ku munsuh bejaku, ‘Aku deka ngagai lalu nangkap sida;
EXO.15.9	Aku deka magi pengaya sida, lalu ngambi semua utai ti dikedekaka aku.
EXO.15.9	Aku deka nyintak pedang aku, lalu ngambi semua utai ti dikemisi sida.’
EXO.15.10	Tang Nuan semina sekali aja ngesuhka seput Nuan, TUHAN, lalu orang Ejip lemas.
EXO.15.10	Sida tengelam baka bangkang ba ai ti balat begelumbang.
EXO.15.11	“TUHAN, sapa petara ti sebaka enggau Nuan?
EXO.15.11	Sapa ti sebaka enggau Nuan, ti pemadu bemulia sereta kudus?
EXO.15.11	Sapa ti ulih ngereja kereja ajih, enggau kereja ti nyelai baka ke dikereja Nuan?
EXO.15.12	Nuan ngedarka jari kanan Nuan,
EXO.15.12	lalu tanah nelan bala munsuh kami.
EXO.15.13	Nuan ingatka semaya Nuan, lalu udah nguluka orang Israel ti udah dilepaska Nuan.
EXO.15.13	Ngena pengering Nuan, Nuan udah ngiring sida ngagai menua Nuan ti kudus.
EXO.15.14	Semua bansa udah ninga berita tu, lalu sida getar-getar takut;
EXO.15.14	Orang Pilistin balat takut.
EXO.15.15	Bala tuai orang Edom takut.
EXO.15.15	Orang ke kering di Moap nyau getar-getar takut.
EXO.15.15	Orang Kanaan nyau enda berani agi.
EXO.15.16	Sida balat takut sereta buyan.
EXO.15.16	Sida meda pengering Nuan, O TUHAN,
EXO.15.16	lalu sida tegir-tegir bediri nadai daya, laban takut
EXO.15.16	datai ke bala nembiak Nuan udah mansa,
EXO.15.16	iya nya orang ke udah dilepaska Nuan ari pengidup sida ke nyadi ulun.
EXO.15.17	Nuan mai sida tama, lalu nanam sida ba bukit Nuan,
EXO.15.17	ba endur ti udah dipilih Nuan nyadika endur alai rumah Nuan,
EXO.15.17	iya nya Langkau Kain TUHAN ti udah digaga Nuan Empu.
EXO.15.18	Nuan, TUHAN, deka nyadi Raja belama lama iya.”
EXO.15.19	Orang Israel bejalai nengah tasik nya nengah tanah ti rangkai. Tang lebuh kerita perang orang Ejip, enggau kuda, enggau orang ke nepan kerita perang sida bejalai nengah tasik nya, TUHAN ngasuh ai nya pulai baru, lalu ngelamun sida.
EXO.15.20	Nabi Miriam, menyadi indu Aron, mai tamborin, lalu semua indu ke bukai bela nitihka iya, nebah tamborin sida lalu betanda. 
EXO.15.21	Ku iya belagu ke sida:
EXO.15.21	“Belagu ke TUHAN, laban Iya udah menang.
EXO.15.21	Iya udah nikauka kuda enggau orang ke nepan kuda ngagai tasik.”
EXO.15.22	Udah nya Moses lalu nguluka orang Israel angkat ari Tasik Mirah, lalu bejalai ngagai menua puang Sur. Sida bejalai tiga hari nengah menua puang nya, tang nadai tetemuka ai. 
EXO.15.23	Udah nya sida lalu datai ba endur siti ti dikumbai Marah, tang ai dia pait, lalu sida enda ulih ngirup ai nya. Nya kebuah endur nya dikumbai Marah.
EXO.15.24	Orang mayuh lalu mutap ngelaban Moses, lalu nanya ngagai iya, “Nama utai diirup kami?” 
EXO.15.25	 Moses lalu bebendar besampi ngagai TUHAN. TUHAN lalu nunjukka siti repik kayu. Moses lalu nikauka repik kayu nya ngagai ai nya. Ai nya lalu ulih diirup.
EXO.15.25	Nya meh endur alai TUHAN meri sida adat enggau undang-undang, lalu nya mega endur alai Iya nguji sida. 
EXO.15.26	Ku TUHAN bejaku, “Enti kita deka ngasika Aku enggau pengabis ati kita, ngereja utai ti ngena, sereta ngasika pesan enggau adat Aku, Aku enda ngukum kita ngena penyakit ti udah diasuh Aku ninggang orang Ejip. Aku tu TUHAN ti ngeraika kita.”
EXO.15.27	Hari siti sida lalu datai di Elim. Endur nya bisi dua belas iti mata ai, enggau tujuh puluh pun kayu engkerema. Sida lalu nirika kem sida ngimbai ai nya.
EXO.16.1	Semua orang Israel angkat ari Elim, lalu kena lima belas hari bulan, kedua bulan sida udah angkat ari menua Ejip, sida lalu datai di menua puang Sin, ba entara Elim enggau Sinai. 
EXO.16.2	Lebuh sida di menua puang nya, semua sida mutap ngelaban Moses seduai Aron. 
EXO.16.3	Ku sida bejaku enggau seduai iya, “Manah agi enti TUHAN udah munuh kami di menua Ejip. Din kami ulih duduk lalu makai dagin, enggau ni pemayuh pemakai bukai ti dikedekaka kami. Tang seduai udah mai kami pansut ngagai menua puang tu, ngambika semua kami mati lapar.”
EXO.16.5	Ba hari ti keenam, sida enda tau enda mai ngagai kem dua kali mayuh agi ari ti selama, lalu mela utai nya.”
EXO.16.6	Moses seduai Aron lalu bejaku enggau semua orang Israel, “Lemai tu kita deka nemu TUHAN Empu udah mai kita pansut ari menua Ejip. 
EXO.16.7	Pagila kita deka meda mulia TUHAN. Iya udah ninga kita mutap ngelaban Iya. Kita amat mutap ngelaban Iya, laban kami duai semina nitihka atur Iya aja.” 
EXO.16.8	Ku Moses, “TUHAN Empu ti deka meri kita dagin lebuh lemai hari, enggau sepemayuh roti ti dikedekaka kita lebuh pagi hari, laban Iya udah ninga kita balat amat mutap ngelaban Iya, laban lebuh kita mutap ngelaban kami duai, iya ti bendar, kita mutap ngelaban TUHAN.”
EXO.16.9	Ku Moses bejaku enggau Aron, “Asuh semua orang mayuh datai lalu bediri di mua TUHAN, laban Iya udah ninga jaku putap sida.” 
EXO.16.10	Lebuh Aron benung bejaku ngagai semua orang Israel, sida lalu nguing tunga ngagai menua puang. Tekala nya mulia TUHAN lalu pegari ba remang. 
EXO.16.11	Lalu ku TUHAN bejaku ngagai Moses, 
EXO.16.12	“Aku udah ninga jaku putap orang Israel. Padahka ngagai sida, lebuh lemai hari, sida deka makai dagin, lalu lebuh pagi hari, sida deka makai roti ngemayuh ti dikedekaka sida. Nya baru sida deka nemu Aku tu TUHAN Allah Taala sida.”
EXO.16.13	Lebuh lemai hari, mayuh amat burung empitu terebai ngagai kem, chukup kena mungkur kem nya, lalu lebuh pagi hari, ambun nurun ngelingi kem nya. 
EXO.16.14	Lebuh ambun nya udah lesap, utai ti mipis baka tisik ikan sereta alus baka ais, bisi tinggal ba tanah di menua puang nya. 
EXO.16.15	 Lebuh orang Israel meda utai nya, sida enda ngelala utai nya, lalu sida betanya ngagai pangan diri, ku sida, “Nama utai nya?”
EXO.16.15	Ku Moses bejaku enggau sida, “Tu meh pemakai ti diberi TUHAN ngagai kita. 
EXO.16.16	TUHAN udah bejaku ngasuh genap iku kita ngumpul sepemayuh ti dipeguna kita sebilik, dua liter ke siku-siku kita.”
EXO.16.17	Orang Israel lalu ngumpul utai nya. Sekeda sida ngumpul mayuh agi, sekeda mimit agi. 
EXO.16.18	 Lebuh sida nakar utai nya, orang ke ngumpul mayuh agi, nadai bulih kelalu mayuh, lalu orang ke ngumpul mimit agi, nadai bulih kelalu mimit. Genap iku sida udah ngumpul nyampau ti dipeguna sida siku-siku. 
EXO.16.19	Ku Moses bejaku enggau sida, “Nadai siku kita tau ngalau utai nya ke pagila.” 
EXO.16.20	Tang sekeda ari bala sida enda mendingka Moses, lalu ngalau utai nya. Pagi hari siti, utai nya nyau penuh laban ulat, lalu bebau but. Moses lalu ringat ngagai sida. 
EXO.16.21	Genap pagi, siku-siku sida ngumpul nyampau ti dipeguna sida. Lebuh hari nyau angat, utai nya ti agi tinggal ba tanah, luluh magang.
EXO.16.22	Ba hari ti keenam, sida ngumpul dua kali mayuh agi, empat liter ke genap iku sida. Semua tuai orang Israel datai lalu madahka pasal utai nya ngagai Moses, 
EXO.16.23	 lalu ku iya bejaku enggau sida, “TUHAN udah ngeletak pagila nyadi hari ti kudus alai kitai diau, hari ti diserahka kitai ngagai Iya. Panggang sehari tu utai ti deka dipanggang kita, lalu panduk utai ti deka dipanduk kita. Laluh utai nya patut digalau, lalu ditaruh ke pagila.” 
EXO.16.24	Munyi ti udah diasuh Moses, sida lalu ngalau utai ti laluh ke pagi hari siti. Utai nya enda bari, lalu enda mega diempa ulat. 
EXO.16.25	Ku Moses, “Empa utai nya sehari tu, laban tu Hari Sabat, hari kitai diau, ti diserahka kitai ngagai TUHAN. Nadai kita nemu pemakai nya di luar kem. 
EXO.16.26	Kita enda tau enda ngumpul pemakai dalam enam hari, tang ba hari ti ketujuh, iya nya hari kitai diau, utai nya nadai.”
EXO.16.27	Ba hari ti ketujuh, sekeda orang pansut, deka ngumpul pemakai nya, tang sida nadai tetemuka utai nya. 
EXO.16.28	Udah nya TUHAN lalu bejaku ngagai Moses, “Ni pengelama kita agi mengkang enggai ngasika pesan Aku? 
EXO.16.29	Kita enda tau enda ingat, Aku ti TUHAN, udah meri kita hari alai kita diau. Nya kebuah ba hari ti keenam, Aku deka seruran meri kita pemakai chukup ke dua hari. Semua orang enda tau enda diau ba hari ti ketujuh, lalu enda mindah ari rumah.” 
EXO.16.30	Nya alai, orang Israel enda gawa ba hari ti ketujuh.
EXO.16.32	Ku Moses bejaku, “TUHAN udah bejaku ngasuh kitai ngalau sekeda mana nya, ngambika bisi disimpan ke anak uchu kitai, ngambika sida ulih meda pemakai ti udah diberi TUHAN ngagai kitai di menua puang tu, lebuh Iya mai kitai pansut ari menua Ejip.” 
EXO.16.33	 Ku Moses bejaku enggau Aron, “Ambi sigi kebuk, engkahka dua liter mana dalam kebuk nya, lalu engkahka kebuk nya di mua TUHAN, ngambika ditaruh ke peturun kitai.” 
EXO.16.34	Munyi ti udah dipesanka TUHAN ngagai Moses, Aron lalu ngengkahka utai nya di mua Peti Lampang Batu Adat, lalu ditaruh dia. 
EXO.16.35	 Orang Israel makai mana empat puluh taun, nyentuk ngagai maya sida datai di menua Kanaan, alai sida ke ngentapka diri. ( 
EXO.16.36	Takar ti dikena lebuh maya nya, sebaka enggau dua puluh liter.)
EXO.17.2	Sida lalu mutap ngagai Moses, ku sida, “Beri kami ai irup.”
EXO.17.2	Disaut Moses, “Nama kebuah kita mutap? Nama kebuah kita nguji TUHAN?”
EXO.17.3	Tang orang Israel balat amat aus, lalu sida majak mutap ngagai Moses. Ku sida, “Nama kebuah nuan mai kami pansut ari menua Ejip? Kati nuan deka ngasuh kami, anak kami enggau jelu tupi kami mati aus?”
EXO.17.4	Moses lalu bebendar besampi ngagai TUHAN. Ku iya, “Nama utai ti ulih dikereja aku ke sida tu? Sida nyau sedia deka nuku aku ngena batu.”
EXO.17.5	TUHAN lalu bejaku ngagai Moses, “Bai sekeda tuai orang Israel enggau nuan, lalu bejalai dulu ari bala mayuh. Bai tungkat ti udah dikena nuan malu ai Sungai Nile. 
EXO.17.6	Aku deka bediri di mua nuan ba sigi batu ba Bukit Sinai. Palu batu nya, lalu ai deka pansut ari batu nya, ngambika bisi diirup orang mayuh.” Moses lalu malu batu nya di mua bala tuai orang Israel.
EXO.17.7	Endur nya lalu dikumbai Masah enggau Meribah, 
EXO.17.8	Orang bansa Amalek datai lalu nyerang orang Israel di Repidim. 
EXO.17.9	Moses lalu bejaku enggau Josua, “Pilih sekeda orang ke lelaki, lalu serang orang Amalek nya pagila. Aku deka bediri ba munggu, megai tungkat ti diasuh Allah Taala bai aku.” 
EXO.17.10	Josua lalu ngereja nitihka asuh Moses, lalu mansang nyerang orang Amalek. Moses, Aron enggau Hur lalu niki ngagai tuchung munggu sigi. 
EXO.17.11	Seagi-agi Moses ngedarka lengan iya, orang Israel menang, tang lebuh iya nurunka lengan iya, orang Amalek belabuh menang. 
EXO.17.12	Lebuh lengan Moses nyau lelak, Aron seduai Hur lalu mai sigi batu alai Moses duduk, lalu seduai iya bediri ngimbai iya, lalu nuatka lengan iya enda engkebut nyentuk ngagai padam mata panas. 
EXO.17.13	Nya jalai Josua ngalahka orang Amalek.
EXO.17.15	Moses lalu ngaga siti alta, lalu ngumbai alta nya, “TUHAN Nyadika Menira Aku.” 
EXO.17.16	Ku Moses, “Tuatka tinggi menira TUHAN! 
EXO.18.1	Jetro, mentua Moses ti lelaki, ti nyadi imam orang Midian, bisi ninga pasal semua utai ti udah dikereja Allah Taala ke Moses, enggau ke orang Israel, lebuh TUHAN mai sida pansut ari menua Ejip. 
EXO.18.2	 Nya alai Jetro nemuai ngagai Moses, mai Sipora, bini Moses ke tinggal di menua, 
EXO.18.3	 enggau anak lelaki iya ke dua iku, Gersom seduai Elieser. (Moses udah nyebut, “Aku udah nyadi orang kampar di menua ti nyelai.” Nya kebuah iya meri anak iya nama Gersom.
EXO.18.4	Iya bisi mega udah nyebut, “Allah Taala apai aku udah nyaup aku lalu ngelepaska aku ari pedang raja menua Ejip.” Nya alai iya meri nama Elieser ngagai anak lelaki iya ke siku.
EXO.18.5	Jetro, bini Moses enggau anak Moses ke dua iku lalu nemuai ngagai Moses di menua puang ba endur alai Moses ti udah nirika kem, ba bukit ti kudus nya. 
EXO.18.6	Jetro udah ngirumka pesan ngagai Moses madahka sida deka nemuai ngagai iya. 
EXO.18.7	Moses lalu mansang ngambat Jetro, meremi di mua iya, lalu nyium iya. Sida lalu betanyaka pasal pangan diri, lalu udah nya mansang ngagai langkau kain Moses. 
EXO.18.8	Moses lalu madahka semua utai ti udah dikereja TUHAN ngagai raja enggau ngagai orang Ejip, kena TUHAN ngelepaska orang Israel. Moses mega madahka pasal pemerinsa pengidup orang Israel di rantau jalai, enggau chara TUHAN udah ngelepaska sida. 
EXO.18.9	Lebuh Jetro ninga semua berita nya, ati iya lantang 
EXO.18.10	lalu ku iya bejaku, “Pujika TUHAN, ti udah ngelepaska nuan ari raja orang Ejip enggau ari nembiak iya! Pujika TUHAN, ti udah ngelepaska nembiak Iya ti nyadi ulun! 
EXO.18.11	Diatu baru aku nemu TUHAN lebih agi bekuasa ari semua petara, laban Iya udah ngelepaska orang Israel ari kuasa orang Ejip, lebuh orang Ejip sumbung enggau orang Israel.” 
EXO.18.12	Udah nya Jetro lalu ngenjuk piring tunu segala, enggau piring ti bukai, ngagai Allah Taala. Aron enggau semua tuai orang Israel lalu datai sama enggau iya, deka makai pemakai ti kudus nya di mua Allah Taala.
EXO.18.13	Pagi hari siti, Moses ngatur pechara orang Israel, lalu iya kiruh ngereja pengawa nya berengkah ari pagi nyentuk ngagai malam. 
EXO.18.14	Lebuh Jetro meda semua utai ti dikereja Moses ke orang Israel, iya lalu bejaku, “Nama utai nya ti dikereja nuan ke orang mayuh? Nama kebuah nuan ngereja nya kediri, lalu orang mayuh bediri ditu berengkah ari pagi nyentuk ngagai malam?”
EXO.18.15	Disaut Moses, “Laban sida datai ngagai aku keran deka nemu peneka Allah Taala. 
EXO.18.16	Lebuh sida bisi laya enggau pangan diri, sida datai ngagai aku, lalu aku ngatur sapa sida ke ngena enggau ke salah, lalu aku madahka adat enggau atur Allah Taala ngagai sida.” 
EXO.18.17	Udah nya Jetro lalu bejaku, “Chara nuan ngereja nya enda manah. 
EXO.18.18	Nuan enggau orang ke datai ngagai nuan semina ngelelakka diri empu aja. Pengawa tu kelalu berat ke nuan. Nuan enda ulih ngereja pengawa tu kediri. 
EXO.18.19	Dingaka jaku aku; aku deka meri nuan jaku lalau, lalu Allah Taala deka meruan enggau nuan. Nuan nyadika pengari orang mayuh di mua Allah Taala, lalu mantaika laya sida di mua Iya; 
EXO.18.20	lalu nuan patut ngajar sida adat enggau atur Allah Taala, lalu nerangka ngagai sida chara jalai idup, enggau utai ti patut dikereja sida. 
EXO.18.21	Nuan patut mega milih orang ke landik ari semua orang Israel, orang ke nangika Allah Taala, orang ke tau dikarapka, ke enggai makai suap; lalu asuh sida nyadi tuai megai beribu iku, beratus iku, ngelima puluh iku enggau bepuluh iku orang. 
EXO.18.22	Awakka sida bekereja tetap nyadi hakim ke orang mayuh. Sida tau mai semua pekara ti mar ngagai nuan, tang sida empu patut ngatur semua pekara ti mit. Chara tu deka ngasuh pengawa nuan lempung agi, laban sida bisi nyaup nuan ngereja pengawa nya. 
EXO.18.23	Enti nuan ngereja nya, nitihka pesan Allah Taala, nya baru nuan deka tan ngereja pengawa, lalu semua orang tu pulai ngagai endur sida empu mai pemaik.”
EXO.18.24	Moses mendingka ajar mentua iya, lalu ngereja semua utai ti diasuh iya. 
EXO.18.25	Moses milih orang ke landik ari semua orang Israel, lalu ngasuh sida nyadi tuai megai orang mayuh, megai beribu, seratus, lima puluh, enggau sepuluh iku orang. 
EXO.18.26	Sida bekereja tetap nyadi hakim ke orang mayuh; sida mai pekara ti mar ngagai Moses, tang sida ngatur pekara ti mit.
EXO.18.27	Udah nya, Moses meri selamat tinggal ngagai Jetro. Jetro lalu pulai ngagai menua iya empu.
EXO.19.1+EXO.19.2	Orang Israel lalu angkat ari Repidim, lalu kena satu hari bulan, ketiga bulan sida udah pansut ari menua Ejip, sida lalu datai di menua puang Sinai. Dia sida lalu nirika kem, ba kaki Bukit Sinai. 
EXO.19.3	Moses lalu niki ngagai bukit nya, mansang ngagai Allah Taala.
EXO.19.3	TUHAN lalu ngangauka Moses ari bukit nya, ku Iya, “Sebut munyi tu ngagai peturun Jakop, lalu padahka ngagai orang Israel: 
EXO.19.4	Kita udah meda utai ti udah dikereja Aku ngagai orang Ejip, enggau chara Aku mai kita baka menaul ngagai Aku Empu. 
EXO.19.5	 Nya alai, enti kita deka ngasika Aku, lalu nitihka sempekat Aku, kita deka nyadi nembiak Aku, ke dipilih Aku ari semua bansa di dunya; laban semua dunya tu endang enggi Aku. 
EXO.19.6	 Kita deka nyadi bansa ti diserahka ngagai Aku nyadi perintah imam, bansa ti kudus. Nya meh leka jaku ti deka disebut nuan ngagai orang Israel.” 
EXO.19.7	Moses lalu nurun lalu ngempuruka bala tuai orang mayuh, lalu madahka ngagai sida semua utai ti udah diasuh TUHAN kereja iya. 
EXO.19.8	Semua orang Israel lalu nyaut sama sereta. Ku sida, “Kami deka ngereja semua utai ti udah disebut TUHAN.” Moses lalu madahka jaku sida ngagai TUHAN.
EXO.19.9	Lalu ku TUHAN bejaku ngagai Moses, “Aku deka datai ngagai kita dalam mua hari ti tebal, ngambika orang mayuh ninga Aku bejaku enggau nuan, lalu arapka nuan belama iya.”
EXO.19.9	Moses lalu madahka ngagai TUHAN saut orang mayuh, 
EXO.19.10	lalu ku TUHAN bejaku ngagai iya, “Alai nuan mansang ngagai orang mayuh, lalu asuh sida nuchi diri sehari tu enggau pagila, lalu asuh sida masu gari sida, 
EXO.19.11	ngambika ba hari ti ketiga sida udah chukup sedia; laban ba hari nya Aku deka nurun ngagai Bukit Sinai, dipeda semua orang mayuh. 
EXO.19.12	 Lalu nuan deka ngaga garis ngelingi bukit nya, lalu bejaku ngagai orang mayuh munyi tu, ‘Bejimat kita, enggai ke kita niki ngagai bukit nya, tauka negu kaki bukit nya. Barang sapa negu bukit nya deka dibunuh. 
