GEN.1.1	Tshimolohong, Modimo o ne o hlole mahodimo le lefatshe.
DEU.31.24	Eitse hobane Moshe a qete ho ngola ditaba tsa molao oo bukeng, ho sa hlokwe leha e le e nngwe, 
DEU.31.25	a laela Balevi, ba jarang areka ya selekane sa Jehova, a re: 
DEU.31.26	Nkang buka ena ya molao, mme le e bee haufi le areka ya selekane sa Jehova, Modimo wa lona, e tle e be paki ho wena hona teng. 
DEU.31.27	Hobane ke tseba boikgantsho ba hao le molala wa hao o thata. Bonang, ha esita ke sa ntsane ke phela le lona kajeno, le nnile la ikgantshetsa Jehova, 
DEU.31.28	Mphutheleng baholo bohle ba meloko ya lona, le bahlahlobi ba lona, mme ke tla ba bolella ditaba tsena, ba tle ba di utlwe; mme ke tla bitsa lehodimo le lefatshe ho ba dipaki ho bona. 
DEU.31.29	Hobane ke a tseba hoba ha ke se ke shwele le tla itshenya ruri; mme le tla fapoha tsela eo ke le laetseng yona; mme mehleng ya morao, le tla hlahelwa ke tlokotsi, kahobane le tla etsa ho leng hobe pela Jehova, mme le tla mo phephetsa ka mesebetsi ya matsoho a lona.
DEU.31.30	Moshe a bolella phutheho yohle ya Baiseraele mantswe a sefela sena, a ba a a qeta kaofela.
DEU.32.1	Lona mahodimo, sekehang ditsebe, mme ke tla bua; le wena lefatshe, mamela mantswe a molomo wa ka. 
DEU.32.2	Thuto ya ka e tla rotha jwaloka pula; dipolelo tsa ka di tla qhitsa jwaloka phoka, di be jwaloka pula e tshesane e kolobisang jwang bo botjha, le jwaloka marothodi a nelang jwang. 
DEU.32.3	Hobane ke tla bolela lebitso la Jehova: Rorisang Modimo wa rona!
DEU.32.4	Ke Lefika; mosebetsi wa hae o phethehile, hobane ditsela tsa hae kaofela di lokile: ke Modimo o tshepehang, o se nang bokgopo; o lokile, o kgabane. 
DEU.32.5	Ba itshentse pela wona; ke bana ba ditshila; ke mofuta o kgelohileng, o nang le mano. 
DEU.32.6	Setjhaba se se nang kelello, se hlokang bohlale, na ke hona hoo le putsang Jehova ka hona na? Na hase yena ntatao, ya o ruileng, ya o entseng, ya o tiisitseng na? 
DEU.32.7	Elellwa mehla ya kgale, o lemohe dilemo tsa meloko e mengata; botsa ntatao, mme o tla o ruta; botsa maqheku a hao, mme a tla o bolella. 
DEU.32.8	Yanayare mohla E moholoholo a abelang ditjhaba lefa la tsona, mohla a arohanyang bana ba batho, a bea meedi ya ditjhaba ka palo ya bana ba Iseraele; 
DEU.32.9	hobane kabelo ya Jehova ke setjhaba sa hae; mme Jakobo ke kabelo ya lefa la hae. 
DEU.32.10	 o mo fumane a le nahathothe, feelleng le tshabehang ka bobe le ka mehoo ya tshenyeho; a mo teela hare kahohle, a mo hlokomela, a mo boloka jwaloka hoja e le thaka ya leihlo la hae. 
DEU.32.11	A etsa jwaloka ntsu ha e tsosa madinyane a yona, mme e okaokela hodima wona, e emisa mapheo a yona, e nka 
DEU.32.12	Jehova o mo tsamaisitse e le 
DEU.32.13	O mo hlwesitse dithota tse phahameng tsa lefatshe, a ba a ja dijo tsa naha; a mo momontshitse dinotshi tse tswang mafikeng, le ole e tswang majweng a thata; 
DEU.32.14	 ka sereledi sa dikgomo, le ka lebese la dinku, le ka mafura a dikonyana, le ka dipheleu tse tswaletsweng Bashane; ka diphooko, le ka lefi la koro ya sebelebele e nonneng; mme o nwele veine ya sebele, metsi a mafubedu a morara.
DEU.32.15	Empa Jeshurune a nona, mme a raha. Wa nona, wa iketsa ya nyenya, le ya kgurumeditsweng ke mafura. O lahlile Modimo o mo entseng, o nyedisitse Lefika la poloko ya hae. 
DEU.32.16	Ba o bouledisitse ka 
DEU.32.17	Ba hlabetse bademona, bao e seng Modimo, le medimo eo ba neng ba sa e tsebe, 
DEU.32.18	O lahlile Lefika le o entseng, o lebetse Modimo o o tswetseng.
DEU.32.19	Jehova o bone hoo, mme kgalefong ya hae o lahlile bara ba hae le baradi ba hae; 
DEU.32.20	mme o itse: Ke tla ba patela sefahleho sa ka, mme ke tla bona qetello ya bona hore na e tla ba eng? Hobane ke mofuta o kgelohileng, ke bana ba ke keng ba tshepjwa. 
DEU.32.21	Ba mpouledisitse ka seo e seng Modimo, ba nkgalefisitse ka masawana a bona; le nna ke tla ba bouledisa ka setjhaba seo e seng setjhaba, ke ba halefise ka setjhaba se se nang kelello. 
DEU.32.22	Hobane mollo o hoteditswe kgalefong ya ka, mme o tla tjhesa ho isa tlase nqalong ya bafu; o tla tjhesa lefatshe le tse behwang ke lona, o tjhese le metheo ya dithaba.
DEU.32.23	Ke tla bokella ditlokotsi kaofela hodima bona, mme ke tla ba fula ka metsu ya ka yohle. 
DEU.32.24	Ba tla qetwa ke tlala, ba jewe ke mofuthu wa febere, le ke tshenyo e babang; ke tla ba romela meno a dibatana le mahloko a dinoha tse hahabang leroleng. 
DEU.32.25	Kantle, lerumo le tla bolaya, ka tlung tshoho e tla ba teng; 
DEU.32.26	Nka be ke itse: Ke tla ba fedisa, ke hlakole lebitso la bona hara batho, 
DEU.32.27	hoja ke sa ka ka tshaba phephetso ya dira, le hore bao e leng dira ho bona ba ka fosa ditaba, ba re: Matsoho a rona a phahame, ntho tseo kaofela hase Jehova ya di entseng.
DEU.32.28	Hobane ke setjhaba se hlokang kelello; ha ho kutlwisiso ho bona. 
DEU.32.29	Hojane ba le bohlale ba ka be ba lemohile taba tsena, le ho ela ho fela ha bona hloko! 
DEU.32.30	Motho a le mong o ne a tla phallela ba sekete jwang, mme ba babedi ba ne ba tla lelekisa ba dikete tse leshome jwang, hojane Lefika la bona le sa ka la rekisa ka bona, le hojane Jehova a sa ka a ba lahla? 
DEU.32.31	Hobane lefika la bona ha le jwaloka Lefika la rona; esita le bao e leng dira ho rona, ba ka ahlola jwalo. 
DEU.32.32	Hobane morara wa bona o tswa morareng wa Sodoma le masimong a Gomorra ditholwana tsa bona ke ditholwana tse nang le mahloko, ditholwana tsa bona di a baba. 
DEU.32.33	Veine ya bona ke mahloko a didrakone, ke mahloko a bolayang a qowane.
DEU.32.34	Na taba tseo ha di a bokellwa ho nna, ha di a kwahelwa matlotlong a ka na? 
DEU.32.35	Phetetso e tla ba ya ka, le yona tefetso mohla maoto a bona a thekeselang; hobane letsatsi la tlokotsi ya bona le haufi, mme tse lokiseditsweng bona di a akofa.
DEU.32.36	Hobane Jehova o tla ahlolela setjhaba sa hae, mme o tla rekolohela bahlanka ba hae, ha a bona hobane matla a bona a fedile, mme ho se ho se motho ya ruileng, leha e le motho ya lokolohileng. 
DEU.32.37	O tla re: Medimo ya bona e kae na? Le kae lefika leo ba le tshepileng? 
DEU.32.38	E kae medimo e neng e eja mafura a mahlabelo a bona, e neng e enwa veine ya ditshelo tsa bona? A e eme, e le thuse, e be setshabelo sa lona. 
DEU.32.39	Tadimang jwale hobane ke nna, e, ke nna feela, mme ha ho modimo o mong, haese nna; ke a bolaya, mme ke a phedisa; ke etsa leqeba, mme ke a le fodisa; ha ho motho ya ka o namolelang letsohong la ka. 
DEU.32.40	Hobane ke emisetsa letsoho la ka lehodimong, mme ke re: Ke phela ka ho sa feleng! 
DEU.32.41	Ha ke leotsa lerumo la ka le benyang, mme letsoho la ka ha le tshwara kahlolo, ke tla iphetetsa ho dira tsa ka, ke busetse ho ba ntlhoileng. 
DEU.32.42	Ke tla tahisa metsu ya ka madi, mme lerumo la ka le tla ja nama, e leng madi a ba bolawang, le a ba hapilweng, le a dihlooho tsa marena a dira.
DEU.32.43	Etsang ditlatse tsa thabo, lona ditjhaba, hammoho le setjhaba sa hae; hobane o ya pheteletsa madi a bahlanka ba hae, a itefetse ho dira tsa hae; mme o tla etsetsa lefatshe la hae le setjhaba sa hae pheko.
DEU.32.44	Moshe a tla, mme a bolela mantswe wohle a sefela sena ditsebeng tsa setjhaba, a ena le Joshua, mora Nune.
DEU.32.45	Eitse hobane Moshe a qete ho bolella Baiseraele bohle mantswe ao wohle, 
DEU.32.46	a re ho bona: Beang dipelo tsa lona tabeng tsohle tseo ke le pakelang tsona kajeno, le tle le di laele bana ba lona, ba tle ba itise ho etsa ka dipolelo tsohle tsa molao oo. 
DEU.32.47	Hobane hase lentswe la lefeela leo le le beelwang, empa ke bophelo ba lona, mme ke ka lentswe lena le tla ngatafatsa matsatsi a lona lefatsheng leo le yang ho le rua ka ho tshela Jordane.
DEU.32.48	Ka lona letsatsi leo, Jehova a bolella Moshe, a re: 
DEU.32.49	Nyolohela thabeng eo ya Abarime, qhoweng ya Nebo, e naheng ya Moabe, mabapa le Jeriko, mme o tadime lefatshe la Kanana leo ke le neang bana ba Iseraele, ba tle ba le rue. 
DEU.32.50	O tla shwela thabeng eo o tla nyolohela ho yona, mme o tla phuthelwa ditjhabeng tsa heno, jwaloka Aarone, ngwaneno, ya shweleng thabeng ya Hore, mme a phuthetswe ditjhabeng tsa habo; 
DEU.32.51	kahobane le ntshitetswe hara bana ba Iseraele, metsing a Meriba a Kadeshe, nahathotheng ya Tsine, kamoo le sa kang la ntlotlisa kateng, hara bana ba Iseraele. 
DEU.32.52	Hobane o tla bona lefatshe le le pela hao, empa o ke ke wa kena ho lona, e leng lefatshe leo ke le neang bana ba Iseraele.
DEU.33.1	Ke yona hlohonolofatso Moshe eo monna wa Modimo, a hlohonolofaditseng bana ba Israele ka yona, a eso ho shwe.
DEU.33.2	A re: Jehova o tlile a etswa Sinai; o ba tjhabetse a etswa Seire; a kganya a le thabeng ya Parane; o tlile a etswa makgotleng a diketekete a kgethehileng; ka letsoho la hae le letona, a ba romela mollo wa molao.
DEU.33.3	Efela o rata ditjhaba; bakgethwa ba hae kaofela ba letsohong la hao; ba dula maotong a hao, ba amohela ditaba tsa hao. 
DEU.33.4	Moshe o re laetse molao, e leng lefa la phutheho ya Jakobo. 
DEU.33.5	E ne e le morena ho Jeshurune, ha dihlooho tsa setjhaba di ne di bokane di ena le meloko ya Iseraele.
DEU.33.6	Rubene a ke a phele, a se ke a shwa, mme palo ya batho ba hae e se ke ya eba nyenyane.
DEU.33.8	Haele bakeng sa Levi, a re: Thummime tsa hao le Urime tsa hao di ho mokhethwa wa hao ya o ratang, eo o mo lekileng Massa, eo o mo tsekisitseng metsing a Meriba; 
DEU.33.9	ya itseng bakeng sa ntatae le mmae: Ha ke a ka ka ba bona; mme ha ba tsebe banababo, leha e le bana ba hae ha a ba tsebe; hobane ba tiisitse lentswe la hao, mme ba bolokile selekane sa hao. 
DEU.33.10	Ba tla ruta Jakobo dikahlolo tsa hao, ba rute Iseraele molao wa hao. A ba ke ba o beele dibano dinkong tsa hao, le mahlabelo a phethehileng aletareng ya hao. 
DEU.33.11	Jehova, hlohonolofatsa matla a bona, mme o amohele mosebetsi wa matsoho a bona! Hlaba matheka a ba ba tsohelang matla le a ba ba hloileng, ba tle ba se ke ba boela ba tsoha.
DEU.33.12	Haele bakeng sa Benjamine, a re: Ke moratuwa wa Jehova; o tla aha ka tshepo pela hae: o tla kgurumetswa 
DEU.33.13	Haele bakeng sa Josefa, a re: Naha ya hae e tla hlohonolofatswa ke Jehova ka tse molemo haholo tsa mahodimo, ka phoka le ka tsa bodiba bo leng tlasa 
DEU.33.14	le ka tse monate tse 
DEU.33.15	le ka tse molemo tsa dithaba tsa kgale, le ka tsa bohlokwa tsa maralla a kamehla, 
DEU.33.16	le ka tse molemo tsa lefatshe, le ka ho tlala ha lona; mme mohau wa ya hlahileng sehlahleng o tle o dule hloohong ya Josefa, hloohong ya eo e leng morena hara banababo. 
DEU.33.17	Bokgabane 
DEU.33.18	Haele bakeng sa Sabulone, a re: Thaba, Sabulone, ho tsweng ha hao; le wena Issaskare, 
DEU.33.19	Ba tla biletsa ditjhaba thabeng, ba hlahise mahlabelo a ho loka teng; hobane ba tla anya letlotlo la lewatle, le dintho tsa bohlokwa tse patilweng lehlabatheng.
DEU.33.20	Haele bakeng sa Gade, a re: Ho bokwe ya phatlalatsang Gade. 
DEU.33.21	O ipatletse dilopotsiya 
DEU.33.22	Haele tsa Dane, a re: Dane ke tauana, o tla tlola, a le Bashane.
DEU.33.23	Haele tsa Nefthali, a re: Nefthali, o kgotshe melemo, mme o tletse hlohonolofatso ya Jehova. Rua Bophirimela le Borwa.
DEU.33.24	Haele bakeng sa Asere, a re: Asere o tla hlohonolofatswa ke bana, o tla ratwa ke banababo, mme a tsobunye maoto a hae oleng. 
DEU.33.25	Mekwallo ya hao ke ya tshepe le ya koporo, mme matla a hao a tla lekana le matsatsi a hao.
DEU.33.26	Jeshurune, ha ho ya tshwanang le Modimo; ya o tiisang o kaletse mahodimo le maru bokgabaneng ba hae. 
DEU.33.27	Modimo wa kamehla ke setshabelo sa hao, mme matsoho a sa feleng a katlasa hao. O lelekisa dira pela hao, o re: Di fediswe! 
DEU.33.28	Iseraele o tla aha ka tshepo a nnotshi; sediba sa Jakobo se kolla naheng ya koro le ya veine e ntjha, mme mahodimo a 
DEU.33.29	O lehlohonolo hakakang, Iseraele! Setjhaba ke sefe se tshwanang le wena, setjhaba se pholositsweng ke Jehova, 
DEU.34.1	Moshe a 
DEU.34.2	le naha yohle ya Nefthali, le naha ya Efraime, le ya Manasse, le naha yohle ya Juda, ho isa Lewatleng la Bophirimela, 
DEU.34.3	 borwa, le naha ya Jordane, le lehwatata la Jeriko, motse wa dipalema, ho isa Tsoware.
DEU.34.4	Jehova a re ho yena: Ke lona lefatshe leo ke anetseng Abrahama, Isaaka le Jakobo, ka re: Ke tla le nea ditloholo tsa lona. Ke o bontsha lona, o tle o le bone ka mahlo; empa u ke ke wa kena ho lona.
DEU.34.5	Moshe, mohlanka wa Modimo, a shwela hona teng, naheng ya Moabe, ka taelo ya Jehova. 
DEU.34.6	A patwa naheng ya Moabe, sekgutlong se lebaneng le Bethe-Peore; empa ha ho motho ya tsebileng lebitla la hae ho fihlela letsatsing la kajeno. 
DEU.34.7	Mohla Moshe a shwang, o ne a le dilemo tse lekgolo le nang le mashome a mabedi; mahlo a hae a ne a eso ho fifale; mme matla a hae a ne a eso ho kokobele. 
DEU.34.8	Bana ba Iseraele ba llela Moshe, mahwatateng a Moabe, ka matsatsi a mashome a mararo; matsatsi a dillo le a bofifi ba Moshe a ba a fela.
DEU.34.9	Haele Joshua, mora Nune, o ne a tletse moya wa bohlale; hobane Moshe o ne a mmeile matsoho hodimo; bana ba Iseraele ba mo utlwa, mme ba etsa jwalokaha Jehova a ne a laetse Moshe.
DEU.34.10	Ha ho a ka ha boela ha eba moporofeta Iseraeleng ya jwaloka Moshe, eo Jehova a mo tsebileng, sefahleho 
DEU.34.11	 ka dipontsho tsohle, le mehlolo eo Jehova a mo romileng ho e etsa naheng ya Egepeta, ho Faro, le ho bahlanka ba hae kaofela, le ho naha ya hae yohle; 
DEU.34.12	le ka tsohle tseo 
JOS.1.1	Eitse hobane Moshe, mohlanka wa Jehova, a timele, Jehova a bolella Joshua, mora Nune, qobo ya Moshe, a re: 
JOS.1.2	Moshe, mohlanka wa ka, o timetse; tsoha jwale, o tshele Jordane ena, wena le setjhaba sena kaofela, mme o kene lefatsheng leo ke le neileng bana ba Iseraele. 
JOS.1.3	Ke le neile sebaka sefe le sefe moo le tla hata ka bohato ba maoto a lona, jwalokaha ke boleletse Moshe; 
JOS.1.4	ho tloha lefeelleng le Lebanone ho isa nokeng e kgolo, noka ya Eufrate, fatshe lohle la Bahethe, le ho ya fihla Lewatleng le Leholo, ka nqa bophirimatsatsi; ke yona naha ya lona. 
JOS.1.5	Ha ho motho ya tla tiya pela hao, ka tshiu tsohle tsa ho phela ha hao; ke tla ba le wena, jwalokaha ke bile le Moshe; nke ke ka o tlohela, leha e le ho o lahla. 
JOS.1.6	Iphe matla, o etse ka senna, hobane ke wena o tla ruisa setjhaba sena fatshe leo ke hlapanyeditseng bontata bona, ka re, ke tla ba nea lona. 
JOS.1.7	Feela o iphe matla, o etse ka senna haholo, o hlokomele ho etsa ka molao wohle oo Moshe, mohlanka wa ka, a o laetseng wona. O se ke wa o kgeloha ho ya ka ho le letona, leha e le ho le letshehadi, o tle o atlehe kahohle moo o yang teng. 
JOS.1.8	Buka ena ya molao e se ke ya tloha molomong wa hao; o o nahane motshehare le bosiu, o tle o hlokomele ho etsa ka tsohle tse ngodilweng teng; ke moo o tla atleha metsamaong ya hao, o iketle. 
JOS.1.9	Hleka ha ke a ka ka o laela, ka re, o iphe matla, o etse ka senna na? Se tshohe, mme o se ke wa tshaba, hobane Jehova, Modimo wa hao, o na le wena kahohle moo o yang teng.
JOS.1.10	Ebile Joshua o laela balaodi ba setjhaba, a re: 
JOS.1.11	Fetang hara diahelo, le laele setjhaba, le re: Itokisetseng mefaho, hobane matsatsi a sa tla ba mararo, le ntoo tshela Jordane ena, ho ya rua lefatshe leo Jehova, Modimo wa lona, a le neileng lona ho le rua.
JOS.1.12	Hape, Joshua a bolella Barubene, le Bagade, le ba mothapo o mong wa leloko la Manasse, a re: 
JOS.1.13	Elellwang taba eo Moshe, mohlanka wa Jehova, a le laetseng yona, mohla a reng: Jehova, Modimo wa lona, o le kgatholotse, o le neile fatshe lena. 
JOS.1.14	Ho sale basadi ba lona, le bana ba lona ba banyenyane, le makgomo a lona mose 
JOS.1.15	Jehova a be a khatholle banababo lona jwaloka lona, le bona ba tle ba rue fatshe leo Jehova, Modimo wa lona a ba neileng lona; le ntoo boela fatsheng le ruilweng ke lona, le le rue, e le leo Moshe, mohlanka wa Jehova, a le neileng lona mose 
JOS.1.16	Ba araba Joshua, ba re: Re tla etsa ka tsohle tseo o re laetseng tsona, re ye le hohle moo o ka re romelang teng. 
JOS.1.17	Re tla o utlwa jwalokaha re kile ra utlwa Moshe tabeng tsohle. Feela, Jehova, Modimo wa hao, a be le wena, jwalokaha a bile le Moshe. 
JOS.1.18	Motho leha e ka ba mang le mang, ya eisang molomo wa hao, ya sa mamelang mantswe a hao kahohle kamoo o ka re laelang kateng, o tla bolawa. Feela o iphe matla, o etse ka senna.
JOS.2.1	Jwale, Joshua, mora Nune, ha a le Shittime, a roma banna ba babedi sephiring, ho ya bohlwela, a re: Eyang le lekole lefatshe le Jeriko.
JOS.2.1	Yaba ba ya, mme ba kena tlung ya mosadi oa sehlola, bitso la hae e le Rahaba, ba robala teng. 
JOS.2.2	Ha sebelwa morena wa Jeriko, ha thwe: Bona, ho tlile kwano, bosiung bona, banna ba bana ba Iseraele, ho hlwela lefatshe. 
JOS.2.3	Ebile morena wa Jeriko o romela ho Rahaba, a re: Ntsha banna ba tlileng ha hao, ba keneng tlung ya hao; hobane ba tlile ho qamakisisa lefatshe lohle. 
JOS.2.4	Empa mosadi a nka banna ba babedi bao, a ba pata, mme a re: Efela ho tlile banna ha ka, mme ha ke a ka ka ba tseba hobane ke ba tswang kae. 
JOS.2.5	Etsware, ha ho kwalwa monyako 
JOS.2.6	Athe o ba hlweseditse kahodima ntlo, o ba patile katlasa dithupa tsa matakwane, tseo a di anehileng ka-hodima ntlo. 
JOS.2.7	 ba ba phallela ka tsela ya Jordane, ho ya fihla madibohong; mme ha kwalwa monyako 
JOS.2.8	Yare ba eso ho robale, a hlwella ho bona kahodima ntlo, 
JOS.2.9	a re ho banna 
JOS.2.10	Hobane re utlwile kamoo Jehova a omisitseng metsi a Lewatle le Lefubedu pela lona kateng, mohla le tswang Egepeta, le kamoo le entseng ho marena a mabedi a Baamore kateng, ba mose wane wa Jordane, e leng Sihone le Oge, bao le ba timeditseng. 
JOS.2.11	Eitse hobane re utlwe, ra nyahama dipelo; meya ya rona kaofela ya kgathala pela lona, hobane Jehova, Modimo wa lona, ke Modimo hodi-mo lehodimong, le tlase lefatsheng. 
JOS.2.12	Jwale, ha le ke le ntlhapanyetse ka Jehova hore, jwalokaha ke le entse hantle, le lona le tla etsa ntlo ya ntate hantle. Le nnee pontsho ya nnete, 
JOS.2.13	ya hore le tla pholosa ntate, le mme, le banabeso, le dikgaitsedi, le tsohle tsa bona, le namolele ho phela ha rona lefung.
JOS.2.14	Banna bao ba re ho yena: Ho phela ha rona, ho ke ho neelwe lefu bakeng sa lona! Ha le sa hlahise taba ena ya rona, etlare ha Jehova a se a re neile lefatshe, ruri re tla o etsa ka botle le ka nnete.
JOS.2.15	Ebile o ba theosetsa ka fensetere, ka mohala, hobane ntlo ya hae e be e le hodima lerako la motse; o ne a ahile hodima lerako. 
JOS.2.16	A re ho bona: Ikeleng thabeng, esere mohlomong ba phaletseng ba kgahlana le lona; le ipate teng matsatsi a mararo, ba phaletseng ba be ba boye, le ntoo ya ka tsela ya lona. 
JOS.2.17	Yaba banna ba re ho yena: Re tla lokoloha kanong ena ya hao eo o re antshitseng ka yona. 
JOS.2.18	Bona mohla re kenang lefatsheng la lona, o ke o hokele kgwele ena ya lesika le lefubedu fensetereng eo o re theositseng ka sona; hape, o ke o bokelle ka ha hao ntatao, le mmao, le banabeno, le bohle ba ntlo ya ntatao. 
JOS.2.19	Leha e le mang le mang ya tla tswela kantle ho menyako ya ntlo ya hao, madi a hae a tla ba hodima hlooho ya hae; moo etlaba ha re na molato; mme leha e le mang le mang ya tla ba le wena ka tlung, madi a hae a tla ba hodima dihlooho tsa rona, ha a ka tswa kotsi. 
JOS.2.20	Empa ha o ka tumisa taba ena ya rona, etlaba re lokolohile kanong ya hao eo o re antshitseng ka yona. 
JOS.2.21	A re: Ho be jwalokaha le boletse. Yaba o a ba kgutlisa, ba ikela. Mme a hokela kgwele e kgubedu fensetereng.
JOS.2.22	Ba tloha jwalo, ba fihla thabeng, mme ba hlola teng matsatsi a mararo, ba ba phalletseng ba ba ba kgutla; etswe ba ba phalletseng ba ne ba ba batlile tseleng yohle ba se ke ba ba bona. 
JOS.2.23	Banna bao ba babedi ba kgutla, ba theoha thabeng, mme ba tshela 
JOS.2.24	ba re ho Joshua: Ruri, Jehova o neetse fatshe lohle matsohong a rona, le bohle ba ahileng lefatsheng leo ba nyahame dipelo ke ho re tshaba.
JOS.3.1	Joshua a tsoha e sa le hosasa; ba tloha Shittime, ba tla Jordane, yena, le bana bohle ba Iseraele, mme ba robala teng ba eso ho tshele.
JOS.3.2	Kamora tshiu tse tharo, balaodi ba feta hara diahelo, 
JOS.3.3	ba laela setjhaba, ba re: Ha le bona areka ya selekane sa Jehova, Modimo wa lona, le baprista, Balevi, ba e jara, le lona le tlohe moo le emeng teng, le e sale morao. 
JOS.3.4	Le mpe le siye sebaka mahareng a lona le yona areka, se ka bang ditswe tse kete tse pedi; le se ke la tla haufi le yona, le tle le tsebe tsela eo le tla ya ka yona; hobane ha le eso ho ye ka tsela eo.
JOS.3.5	Joshua a ntoo re ho setjhaba: Itlhwekiseng, hobane Jehova o tla etsa dimakatso hara lona hosasa. 
JOS.3.6	Joshua a bolella le baprista, a re: Jarang areka ya selekane, le etelle setjhaba pele. Ebile ba jara areka ya selekane, ba etella setjhaba pele. 
JOS.3.7	Yaba Jehova o re ho Joshua: Ke tla qala kajeno ho o hodisa pontsheng ho Baiseraele bohle, ba tle ba tsebe hobane ke tla ba le wena jwalokaha nkile ka ba le Moshe. 
JOS.3.8	Wena, o laele baprista ba jereng areka ya selekane, o re ho bona: Etlere ha le fihla metsing a Jordane le eme Jordane.
JOS.3.9	Joshua a re ho bana ba Iseraele: Atamelang, le utlwe mantswe a Jehova, Modimo wa lona. 
JOS.3.10	Joshua a re: Hoo le tla tseba ka hona hobane Modimo o utlwang o hara lona, le hobane o tla lelekisa ruri pela lona Bakanana, le Bahethe, le Baheve, le Baferese, le Bagirgashe, le Baamore, le Bajebuse; 
JOS.3.11	bonang, areka ya selekane sa Morena wa lefatshe lohle e ya tshela Jordane e le eteletse pele. 
JOS.3.12	Jwale ikgetheleng banna ba leshome le metso e mmedi melokong ya Baiseraele, monna a le mong lelokong le leng le le leng. 
JOS.3.13	Etlare ha bohato ba maoto a baprista ba jereng areka ya Jehova, Morena wa lefatshe lohle, bo hata metsi a Jordane, metsi a Jordane a tla aroha; metsi a theohang a etswa hodimo a etse qubu.
JOS.3.14	Yare setjhaba ha se tlohile ditenteng tsa sona ho tshela Jordane, baprista ba jereng areka ya selekane ba etella setjhaba pele. 
JOS.3.15	Ba jereng areka ha ba fihla Jordane, mme maoto a baprista ba jereng areka ha a qala ho kena metsing, (Jordane e ne e tlale, e tlole le mabopo wohle a yona ka nako yohle eo ho kotulwang ka yona) 
JOS.3.16	metsi a theohang, a tswang hodimo, a ema, mme a etsa qubu ho isa holehole, haufi le Adama, motse o pela Tsarthane, mme 
JOS.3.17	Baprista ba jereng areka ya selekane sa Jehova, ba ema ba sataletse mobung o omileng, hare ho Jordane, mme Baiseraele bohle ba tshela mobung o omileng, ho fihlela setjhaba kaofela ha se qetella ho tshela Jordane.
JOS.4.1	Setjhaba kaofela hobane se qetelle ho tshela Jordane, Jehova a bolella Joshua, a re: 
JOS.4.2	Ikgetheleng hara setjhaba banna ba leshome le metso e mmedi, monna a le mong lelokong le leng le le leng; 
JOS.4.3	le ba laele, le re: Itholleng mona, kahare ho Jordane, moo maoto a baprista a neng a eme teng a sataletse, majwe a leshome le metso e mmedi; le ye le wona, mme le a bee moo le tla emisa ka bosiu bona. 
JOS.4.4	Yaba Joshua o bitsa banna ba leshome le metso e mmedi, bao a ba kgethileng hara bana ba Iseraele, monna a le mong lelokong le leng le le leng. 
JOS.4.5	Joshua a re ho bona: Etellang areka ya Jehova, Modimo wa lona, pele kahare ho Jordane, mme monna e mong le e mong a nke lejwe teng, a le jare lehetleng, ka palo ya meloko ya bana ba Iseraele; 
JOS.4.6	e tle e be pontsho ho lona, hore, ha bana ba lona ba ka le botsa mehleng e tlang, ba re: Majwe aa a reng ho lona? 
JOS.4.7	le no re ho bona: Ke hobane metsi a Jordane a ne a kgaolwe pela areka ya selekane sa Jehova; mohla e tshelang Jordane, metsi a Jordane a kgaolwa; mme majwe ana ke kgopotso ya kamehlamehla ho bana ba Iseraele.
JOS.4.8	Bana ba Iseraele ba etsa jwalokaha Joshua a ba laetse, ba thola majwe a leshome le metso e mmedi kahare ho Jordane, jwalokaha Jehova a ne a boleletse Joshua, ka palo ya meloko ya bana ba Iseraele, ba ya le wona moo ba tla emisa teng, ba a bea hona teng. 
JOS.4.9	Hape, Joshua a hloma majwe a leshome le metso e mmedi kahare ho Jordane, hona moo maoto a baprista ba jereng areka ya selekane a neng a eme teng; a sa le teng le kajeno. 
JOS.4.10	Baprista ba jereng areka ba ema kahare ho Jordane, ho fihlela ha ho phethehile tsohle tseo Jehova a neng a di laetse Joshua hore a di bolelle setjhaba, kahohle kamoo Moshe a neng a laetse Joshua kateng. Setjhaba sa akofa, sa tshela. 
JOS.4.11	Setjhaba ha se qetile ho tshela, areka ya Jehova le yona ya tshela, le bona baprista 
JOS.4.12	Bana ba Rubene, le bana ba Gade, le ba mothapo o mong wa leloko la Manasse, ba tshela ba etella bana ba Iseraele pele ba hlometse, jwalokaha Moshe a ne a ba boleletse. 
JOS.4.13	Ya batla ho ba banna ba kete tse mashome a mane ba hlometseng, ba loketseng ntwa, ba feta pela Jehova, ba kena mahwatateng a Jeriko. 
JOS.4.14	Tsatsing lona leo, Jehova a hodisa Joshua pepeneneng ho Baiseraele bohle; ba mo tshaba ke hona ka tshiu tsohle tsa ho phela ha hae, jwalokaha ba ne ba tshabile Moshe.
JOS.4.15	Yaba Jehova o bolella Joshua, a re: 
JOS.4.16	Laela baprista ba jereng areka ya bopaki. hore ba tswe hara Jordane. 
JOS.4.17	Joshua a laela baprista, a re: Tswang hara Jordane. 
JOS.4.18	Baprista ba jereng areka ya selekane sa Jehova, ha ba etswa hara Jordane, mme bohato ba maoto a baprista ha bo hata mobu o omileng, metsi a Jordane a boela tulong tsa wona, mme a nna a matha a tlotse mabopo wohle a wona, jwaloka maoba le maobane.
