MAT.1.1	ھي عيسيٰ مسيح جو شجرو آھي، جيڪو دائود ۽ ابراھيم جو اولاد آھي.
MAT.26.8	شاگرد ھي ڏسي ڪاوڙيا ۽ چيائون تہ ”ھي زيان ڇو ٿو ڪيو وڃي؟ 
MAT.26.9	ھي عطر وڏيءَ رقم ۾ وڪامجي سگھيو ٿي ۽ اُھي پيسا غريبن کي ڏجن ھا.“ 
MAT.26.10	عيسيٰ سندن اھا ڳالھہ ٻڌي چيو تہ ”اوھين ھن عورت کي ڇو ٿا ستايو؟ ھن منھنجي لاءِ تمام سٺو ڪم ڪيو آھي. 
MAT.26.11	 غريب تہ اوھان وٽ ھميشہ آھن پر آءٌ اوھان سان ھميشہ نہ ھوندس. 
MAT.26.12	جڏھن ھن منھنجي جسم تي عطر ھاريو تہ ھن مون کي دفن لاءِ تيار ڪيو. 
MAT.26.13	آءٌ اوھان کي سچ ٿو ٻڌايان تہ سڄيءَ دنيا ۾ جتي بہ خوشخبريءَ جي تبليغ ڪئي ويندي، اُتي ھن عورت جي يادگيريءَ ۾ سندس ڪيل ھن ڪم جو ذڪر بہ ڪيو ويندو.“
MAT.26.14	پوءِ ٻارھن شاگردن مان ھڪڙو جنھن کي يھوداہ اسڪريوتي چوندا ھئا سو سردار ڪاھنن وٽ آيو، 
MAT.26.15	 ۽ کين چيائين تہ ”جيڪڏھن آءٌ عيسيٰ کي اوھان جي حوالي ڪريان تہ پوءِ اوھين مون کي ڇا ڏيندا؟“ تنھن تي انھن کيس ٽيھہ 
MAT.26.16	ان کان پوءِ يھوداہ اھڙي موقعي جي تاڙ ۾ ھو تہ جيئن عيسيٰ کي سندن حوالي ڪري.
MAT.26.17	بي⁠خميري مانيءَ جي عيد جي پھرين ڏينھن تي شاگردن اچي عيسيٰ کان پڇيو تہ ”اوھان جي ڪھڙي مرضي آھي تہ اسين اوھان جي عيد فصح کائڻ جي تياري ڪٿي ڪريون؟“ 
MAT.26.18	عيسيٰ ھنن کي چيو تہ ”شھر ۾ فلاڻي ماڻھوءَ وٽ وڃو ۽ منھنجي لاءِ کيس ٻڌايو تہ ’استاد چوي ٿو تہ سندس وقت اچي ويجھو ٿيو آھي. ھو پنھنجن شاگردن سميت عيد فصح اوھان جي گھر ۾ ملھائيندو.‘“ 
MAT.26.19	شاگردن ائين ئي ڪيو جيئن عيسيٰ کين ٻڌايو ھو ۽ عيد فصح تيار ڪيائون.
MAT.26.20	جڏھن شام ٿي تہ عيسيٰ پنھنجن ٻارھن شاگردن سميت دسترخوان تي اچي ويٺو. 
MAT.26.21	ماني کائيندي عيسيٰ چيو تہ ”آءٌ اوھان کي سچ ٿو ٻڌايان تہ اوھان مان ھڪڙو مون کي پڪڙائيندو.“ 
MAT.26.22	شاگرد ويچارا ڏاڍا غمگين ٿيا ۽ ھڪٻئي پٺيان عيسيٰ کان پڇڻ لڳا تہ ”خداوند، اھو آءٌ تہ نہ آھيان؟“ 
MAT.26.23	 تنھن تي عيسيٰ وراڻيو تہ ”اُھو جنھن پنھنجو گرھہ مون سان گڏ ٿالھيءَ مان ٻوڙيو سو ئي مون کي پڪڙائيندو. 
MAT.26.24	ابن⁠آدم تہ ائين ئي مرندو، جيئن صحيفي ۾ لکيل آھي. پر حيف آھي اُن تي جيڪو ابن⁠آدم کي پڪڙائيندو. ان ماڻھوءَ لاءِ اھو بھتر ھو تہ ھو دنيا ۾ اصل ڄمي ئي نہ ھا.“ 
MAT.26.25	دغاباز يھوداہ ڳالھايو ۽ پڇيائين تہ ”اي سائين! اھو آءٌ تہ نہ آھيان؟“ عيسيٰ وراڻيو تہ ”ائين تہ تون پاڻ ٿو چوين.“
MAT.26.26	جڏھن ھو کائين پيا تہ عيسيٰ ماني کڻي شڪر ڪري ڀڳي ۽ شاگردن کي ڏيئي چيائين تہ ”وٺو ۽ کائو، ھي منھنجو بدن آھي.“ 
MAT.26.27	پوءِ ھن پيالو کڻي شڪر ڪري انھن کي ڏيندي چيو تہ ”اوھين سڀيئي ھن مان پيئو، 
MAT.26.28	 اھو منھنجو رت آھي، جيڪو گھڻن ئي جي گناھن جي معافيءَ لاءِ وھائجي ٿو ۽ جنھن سان خدا جو عھد ٻڌجي ٿو. 
MAT.26.29	آءٌ اوھان کي ٻڌايان ٿو تہ آءٌ تيستائين مئي وري نہ پيئندس، جيستائين پنھنجي پيءُ جي بادشاھت ۾ اوھان سان گڏ نئين مئي نہ پيئان.“ 
MAT.26.30	پوءِ انھن 
MAT.26.32	 تنھن ھوندي بہ آءٌ پنھنجي جيئري ٿيڻ کان پوءِ اوھان کان اڳي ئي گليل ڏانھن ويندس.“ 
MAT.26.33	تنھن تي پطرس ڳالھايو ۽ عيسيٰ کي چيائين تہ ”توڙي جو ٻيا سڀ اوھان کي ڇڏي وڃن، پر آءٌ اوھان کي ڪڏھن بہ نہ ڇڏي ويندس.“ 
MAT.26.34	عيسيٰ ھن کي چيو تہ ”آءٌ تو کي سچ ٿو ٻڌايان تہ اڄ رات ڪڪڙ جي ٻانگ ڏيڻ کان اڳ ۾ تون ٽي دفعا منھنجو انڪار ڪندين.“ 
MAT.26.35	پطرس وراڻيو تہ ”آءٌ ائين ڪڏھن بہ نہ چوندس تہ آءٌ اوھان کي نہ ٿو سڃاڻان، توڙي جو مون کي اوھان سان گڏ مرڻو پوي.“ ٻين سڀني شاگردن بہ اھڙيءَ طرح اقرار ڪيو.
MAT.26.36	پوءِ عيسيٰ پنھنجن شاگردن سان گڏجي گٿسيمني نالي باغ ۾ آيو. اتي پھچي ھن کين چيو تہ ”اوھين ھتي ويھي رھو تہ آءٌ ھُتي وڃي دعا گھران.“ 
MAT.26.37	ھن پطرس ۽ زبديءَ جي ٻن پٽن کي پاڻ سان کنيو ۽ ڏاڍو غمگين ۽ پريشان ٿيڻ لڳو. 
MAT.26.38	ھن انھن کي ٻڌايو تہ ”مون کي ايترو تہ ڏک آھي جو منھنجي دل ٽٽڻ تي آھي. اوھين ھتي ترسو ۽ مون سان گڏ جاڳندا رھو.“ 
MAT.26.39	عيسيٰ ٿورو پرڀرو ويو ۽ پاڻ کي منھن ڀر ڪيرائي دعا گھرڻ لڳو تہ ”اي منھنجا بابا! جيڪڏھن ٿي سگھي تہ ھي پيالو مون تان ٽاريو وڃي، تنھن ھوندي بہ منھنجي نہ پر تنھنجي مرضي پوري ٿئي.“
MAT.26.40	پوءِ ھو شاگردن وٽ موٽي آيو ۽ ڏٺائين تہ ھو سمھيا پيا آھن. تنھن تي ھن پطرس کي چيو تہ ”ڇا اوھين ھڪڙو ڪلاڪ بہ مون سان گڏ جاڳي نہ پيا سگھو؟ 
MAT.26.41	جاڳندا رھو ۽ دعا گھرو تہ شل اوھين ڪنھن آزمائش ۾ نہ پئو. سچ پڇو تہ روح تہ گھري ٿو پر بدن ڪمزور آھي.“
MAT.26.42	عيسيٰ وري ٻيو دفعو پري ويو ۽ دعا گھريائين تہ ”اي منھنجا بابا! جيڪڏھن ھي پيالو منھنجي پيئڻ کان سواءِ ٽري نہ ٿو سگھي تہ پوءِ ڀلي تنھنجي مرضي پوري ٿئي.“ 
MAT.26.43	پوءِ ھو موٽي آيو ۽ ڏٺائين تہ ھو وري ستا پيا آھن، ڇوتہ اھي اکيون بہ نہ پيا پٽي سگھن.
MAT.26.44	وري بہ عيسيٰ انھن کي ڇڏي ويو ۽ ٽيون دفعو بہ دعا گھُري اھي ساڳيا لفظ چيائين. 
MAT.26.45	پوءِ ھو شاگردن وٽ موٽي آيو ۽ چيائين تہ ”ڇا اوھين اڃا تائين ننڊون ۽ آرام پيا ڪريو؟ اِجھو، اھا گھڙي اچي پھتي آھي ۽ ھاڻي ابن⁠آدم گنھگارن جي حوالي ڪيو ويندو. 
MAT.26.46	اٿو، ھلو ۽ ڏسو، جيڪو مون کي پڪڙائي رھيو آھي سو ويجھو اچي پھتو آھي.“
MAT.26.47	اڃا ھن ڳالھايو ئي پئي تہ ٻارھن شاگردن مان يھوداہ نالي شاگرد آيو ۽ ھن سان گڏ ھڪڙي وڏي ٽولي تلوارن ۽ لٺين سان ھئي، جنھن کي سردار ڪاھنن ۽ يھودين جي بزرگن موڪليو ھو. 
MAT.26.48	دغاباز انھن کي اھا نشاني سمجھائي ھئي تہ ’جنھن ماڻھوءَ کي آءٌ چميان تہ اھو عيسيٰ ھوندو ۽ کيس پڪڙجو.‘ 
MAT.26.49	ھو پھچڻ شرط سڌو عيسيٰ وٽ آيو ۽ چيائين تہ ”اي سائين! سلام.“ پوءِ کيس چمي ڏنائين. 
MAT.26.50	تنھن تي عيسيٰ چيس تہ ”ميان، جنھن ڪم لاءِ آيو آھين سو جلدي ڪر.“ پوءِ ھنن اچي عيسيٰ کي ٻڌو ۽ قابو ڪيائونس. 
MAT.26.51	تنھن تي عيسيٰ جي ساٿين مان ھڪڙي سٽ ڏيئي تلوار ڪڍي وڏي سردار ڪاھن جي نوڪر کي ھنئي ۽ سندس ڪن ڪپي وڌائين. 
MAT.26.52	تڏھن عيسيٰ انھيءَ کي چيو تہ ”پنھنجي تلوار مياڻ ۾ وجھہ، ڇاڪاڻ⁠تہ جيڪي⁠بہ تلوار ڪڍن ٿا سي تلوار سان ئي ماريا وڃن ٿا. 
MAT.26.53	تو کي خبر نہ آھي ڇا تہ آءٌ پنھنجي پيءُ کي عرض ڪري ٿو سگھان تہ ھو ھينئر ئي منھنجي مدد لاءِ ٻارھن لشڪرن کان بہ مٿي ملائڪ موڪلي ڏئي؟ 
MAT.26.54	پر انھيءَ صورت ۾ پاڪ لکت ڪيئن پوري ٿيندي جا لکيل آھي تہ ھيئن ضرور ٿيندو؟“ 
MAT.26.55	 پوءِ عيسيٰ ماڻھن کي چيو تہ ”ڇا آءٌ ڄڻ ڪو ڌاڙيل ھوس جو اوھين تلوارون ۽ لٺيون کڻي مون کي پڪڙڻ لاءِ آيا آھيو؟ ھيڪل ۾ ويھي آءٌ روزانو تعليم ڏيندو ھوس، پر اتي تہ اوھان مون کي ڪڏھن بہ نہ پڪڙيو. 
MAT.26.56	پر اھو سڀ ڪجھہ انھيءَ لاءِ ٿيو آھي تہ جيئن نبي جيڪو صحيفي ۾ لکي ويا آھن، سو سچو ثابت ٿئي.“ پوءِ سڀيئي شاگرد عيسيٰ کي ڇڏي ڀڄي ويا.
MAT.26.57	جن عيسيٰ کي پڪڙيو ھو سي کيس وڏي سردار ڪاھن قائفا جي گھر وٺي آيا جتي شريعت جا عالم ۽ بزرگ اچي گڏ ٿيا ھئا. 
MAT.26.58	پطرس ٿورو پٺيان پئي آيو، سو بہ وڏي سردار ڪاھن جي گھر جي اڱڻ ۾ آيو ۽ اندر گھڙي پھريدارن سان گڏ ويھي رھيو، انھيءَ لاءِ تہ جيئن ھو ڏسي تہ آخر ٿئي ڇا ٿو. 
MAT.26.59	سردار ڪاھنن ۽ سڄي ڪائونسل ڪوشش ڪئي تہ عيسيٰ جي خلاف ڪا ڪوڙي شاھدي ملي تہ جيئن کيس موت جي سزا ڏيارين. 
MAT.26.60	پر انھن کي ڪابہ شاھدي ملي نہ سگھي، جيتوڻيڪ ڪيترائي ڪوڙا شاھد آيا. نيٺ ھڪڙا ٻہ شخص آيا 
MAT.26.61	 ۽ چوڻ لڳا تہ ”اسان ھن ماڻھوءَ کي چوندي ٻڌو آھي تہ ’آءٌ خدا جو ھيڪل ڊاھي سگھان ٿو ۽ ٽن ڏينھن کان پوءِ وري ان کي ٺاھي بہ سگھان ٿو.‘“
MAT.26.62	وڏو سردار ڪاھن اُٿي بيٺو ۽ عيسيٰ کي چيائين تہ ”ڇا تو کي ھنن جي الزامن جي جواب ۾ ڪجھہ چوڻو آھي؟“ 
MAT.26.63	پر عيسيٰ ماٺ ۾ رھيو. وري ھن چيس تہ ”زندہ خدا جي نالي تي ھاڻي آءٌ تو کي قسم ٿو ڏيان تہ اسان کي ٻڌاءِ تہ ڇا تون مسيح، خدا جو فرزند آھين؟“ 
MAT.26.64	 عيسيٰ ھن کي وراڻيو تہ ”اھو تہ تو پاڻ چيو آھي، بلڪ آءٌ اوھان کي ٻڌايان ٿو تہ ھن کان پوءِ اوھين ابن⁠آدم کي خدا تعاليٰ جي ساڄي پاسي تي ويٺل ۽ آسماني ڪڪرن ۾ ايندي ڏسندا.“ 
MAT.26.65	 انھيءَ تي وڏي سردار ڪاھن پنھنجا ڪپڙا ڦاڙيندي چيو تہ ”ھن ڪفر بڪيو آھي. اسان کي وڌيڪ شاھدي نہ کپي. ھاڻي اوھان ھن جا ڪفر وارا لفظ ٻڌا آھن. 
MAT.26.66	اوھان جو ڇا خيال آھي؟“ انھن جواب ڏنو تہ ”ھي ڏوھي آھي ۽ ھن کي مارڻ کپي.“
MAT.26.68	۽ چيائون تہ ”اي مسيح! نبوت سان ٻڌاءِ تہ ڪنھن تو کي ڌڪ ھنيو؟“
MAT.26.69	پطرس ٻاھر اڱڻ ۾ ويٺو ھو تہ ھڪ نوڪرياڻيءَ اچي چيس تہ ”تون بہ عيسيٰ گليليءَ سان گڏ ھئين.“ 
MAT.26.70	پر ھن انھن سڀني جي روبرو انڪار ڪندي چيو تہ ”آءٌ نہ ٿو سمجھان تہ تون ڇا ٿي چوين پئي.“ 
MAT.26.71	پوءِ ھو ٻاھر ڏيڍيءَ ۾ ويو، جتي ٻي نوڪرياڻيءَ ھن کي ڏٺو ۽ اُتي بيٺل ماڻھن کي چيائين تہ ”ھي ماڻھو عيسيٰ ناصريءَ سان گڏ ھو.“ 
MAT.26.72	پطرس وري بہ انڪار ڪيو ۽ قسم کڻي چيائين تہ ”آءٌ ان ماڻھوءَ کي نہ ٿو سڃاڻان.“ 
MAT.26.73	ٿوري وقت کان پوءِ جيڪي اتي بيٺا ھئا تن بہ اچي پطرس کي چيو تہ ”تون ضرور انھن مان ھڪڙو آھين، ڇالاءِ⁠جو جھڙي نموني تون ڳالھائين ٿو سو ٻڌائي ٿو تہ تون انھن مان آھين.“ 
MAT.26.74	تنھن تي پطرس لعنت وجھندي چيو تہ ”خدا جو مون تي غضب پوي جيڪڏھن آءٌ سچ نہ ٿو ڳالھايان، ڇوتہ آءٌ ان ماڻھوءَ کي نہ ٿو سڃاڻان.“ انھيءَ دم ڪڪڙ ٻانگ ڏني 
MAT.26.75	۽ پطرس کي عيسيٰ جو چيو ياد اچي ويو تہ ”جيسين ڪڪڙ ٻانگ ڏئي تنھن کان اڳ ۾ تون ٽي دفعا منھنجو انڪار ڪندين.“ تڏھن پطرس ٻاھر نڪري ويو ۽ زاروزار روئڻ لڳو.
MAT.27.1	صبح جو سوير ئي سڀيئي سردار ڪاھن ۽ يھودين جا بزرگ پاڻ ۾ مليا ۽ عيسيٰ کي مارائڻ جا منصوبا جوڙڻ لڳا. 
MAT.27.2	سو ھن کي ٻڌي وٺي ويا ۽ وڃي رومي گورنر پلاطس جي حوالي ڪيائونس.
MAT.27.3	جڏھن دغاباز يھوداہ ڏٺو تہ عيسيٰ کي سزاوار ٺھرايو ويو آھي تڏھن ھن ڏاڍو پڇتايو ۽ اھي ٽيھہ چانديءَ جا سڪا سردار ڪاھنن ۽ بزرگن وٽ موٽائي کڻي ويو. 
MAT.27.4	ھن کين چيو تہ ”مون اھو گناھہ ڪيو آھي جو ھڪ بي⁠گناھہ کي پڪڙايو اٿم.“ پر انھن وراڻيس تہ ”اسان جو ان سان ڪھڙو واسطو؟ اھو تہ تنھنجو ئي ڪم آھي سو تون ئي ڄاڻ.“ 
MAT.27.5	يھوداہ اھي پيسا ھيڪل ۾ ڦٽا ڪري ھليو ويو ۽ وڃي پاڻ کي ڦاھو ڏنائين.
MAT.27.6	پوءِ سردار ڪاھنن اھي سڪا کڻي چيو تہ ”ھي پيسا خون جي بھا آھي، تنھنڪري انھن پيسن کي ھيڪل جي خزاني ۾ وجھڻ جائز نہ آھي.“ 
MAT.27.7	سو ھنن پاڻ ۾ صلاح ڪري انھن پيسن سان ڪنڀر وارو ميدان خريد ڪيو، انھيءَ لاءِ تہ اتي پرديسين واسطي قبرستان ٺاھين. 
MAT.27.8	اھو ئي سبب آھي جو اڄ ڏينھن تائين اھا زمين ”رت جو ميدان“ سڏبي آھي.
MAT.27.10	پوءِ انھن اھي پيسا ڪنڀر جي ميدان لاءِ ڏنا، جيئن خداوند مون کي حڪم ڏنو ھو.“
MAT.27.11	عيسيٰ گورنر جي اڳيان پيش ڪيو ويو، جنھن کانئس سوال پڇيو تہ ”ڇا تون يھودين جو بادشاھہ آھين؟“ عيسيٰ جواب ڏنس تہ ”اھو تہ اوھين پاڻ ٿا چئو.“ 
MAT.27.12	جڏھن سردار ڪاھن ۽ چڱا مڙس مٿس تھمتون ھڻڻ لڳا تہ انھن جي جواب ۾ يسوع ڪجھہ بہ نہ چيو. 
MAT.27.13	تنھنڪري پلاطس ھن کي چيو تہ ”ڇا تون ھي سڀ ڳالھيون ٻڌين ٿو جيڪي ھي تو تي مڙھين ٿا؟“ 
MAT.27.14	پر عيسيٰ جواب ۾ ھڪ لفظ بہ نہ ڪڇيو. تنھن تي گورنر ڏاڍو حيران ٿيڻ لڳو.
MAT.27.15	گورنر جو اھو دستور ھوندو ھو تہ عيد فصح جي موقعي تي ھو ھڪڙي قيديءَ کي آزاد ڪندو ھو، جنھن جي لاءِ رعيت چوندي ھيس. 
MAT.27.16	انھن ڏينھن ۾ ھڪ مشھور ماڻھو قيد ٿيل ھو، جنھن جو نالو برابا ھو. 
MAT.27.17	پوءِ جڏھن ماڻھو اچي گڏ ٿيا تہ پلاطس انھن کان پڇيو تہ ”ٻڌايو تہ اوھان جي خاطر آءٌ ڪنھن کي آزاد ڪريان، برابا کي يا عيسيٰ کي، جيڪو مسيح ٿو سڏجي؟“ 
MAT.27.18	ڇاڪاڻ⁠تہ ھن ڄاتو پئي تہ ھنن حسد کان عيسيٰ کي قيد ڪري وٽس آندو آھي.
MAT.27.19	اڃا ھو انصاف جي ڪرسيءَ تي ويٺو ئي ھو تہ سندس زال چوائي موڪليس تہ ”ھن نيڪ ماڻھوءَ کي ڪجھہ بہ نہ چئجانءِ، ڇالاءِ⁠جو اڄ خواب ۾ مون ھن جي ڪري ڏاڍو ڏک ڏٺو آھي.“ 
MAT.27.20	پر سردار ڪاھنن ۽ بزرگن خلق کي سمجھائي ڇڏيو ھو تہ ھو پلاطس کي چون تہ برابا کي آزاد ڪري ۽ عيسيٰ کي موت جي سزا ڏئي. 
MAT.27.21	گورنر انھن کان پڇيو تہ ”ھنن ٻنھي مان اوھان جي خاطر ڪنھن کي آزاد ڪريان؟“ انھن وراڻيو تہ ”برابا کي!“ 
MAT.27.22	تنھن تي پلاطس انھن کان پڇيو تہ ”پوءِ عيسيٰ کي ڇا ڪريان جيڪو مسيح ٿو سڏجي؟“ انھن سڀني چيو تہ ”ھن کي صليب تي چاڙھي ڪوڪا ھڻو.“ 
MAT.27.23	تنھن تي پلاطس پڇين تہ ”ڇو، ھن ڪھڙو ڏوھہ ڪيو آھي؟“ پر ھنن وٺي ڏاڍيون رڙيون ڪيون تہ ”ھن کي صليب تي چاڙھي ڪوڪا ھڻو.“ 
MAT.27.24	 تنھنڪري جڏھن پلاطس ڏٺو تہ ڪو چارو ئي نہ آھي ۽ اٽلندو فساد ٿو ٿئي، تڏھن ڪجھہ پاڻي کڻي ماڻھن جي اڳيان پنھنجا ھٿ ڌوتائين ۽ چيائين تہ ”آءٌ ھن ماڻھوءَ جي خون کان آجو آھيان. اھا اوھان جي ذميواري آھي.“ 
MAT.27.25	سڀني ماڻھن جواب ۾ چيو تہ ”ڀلي تہ ھن جي خون جي سزا اسان کي ۽ اسان جي ٻارن کي ملي.“ 
MAT.27.26	پوءِ پلاطس برابا کي انھن جي خاطر آزاد ڪري ڇڏيو. پر عيسيٰ کي ھن چھبڪ ھڻائي ماڻھن جي حوالي ڪيو تہ وڃي صليب تي چاڙھي ڪوڪا ھڻنس.
MAT.27.27	پوءِ سپاھي عيسيٰ کي گورنر جي محلات ۾ وٺي آيا ۽ سمورا سپاھي ھن جي چوڌاري ڦري آيا. 
MAT.27.28	انھن عيسيٰ جا ڪپڙا لھرايا ۽ ھڪڙو قرمزي جبو ڍڪايائونس. 
MAT.27.29	تنھن کان پوءِ انھن ھڪڙو ڪنڊن جو تاج ٺاھي ھن جي مٿي تي رکيو ۽ ھڪ لٺ سندس ھٿ ۾ ڏنائون ۽ پاڻ سڀيئي ھن جي اڳيان گوڏا کوڙي چٿرون ڪرڻ لڳا. اھي چون پيا تہ ”سلام، اي يھودين جا بادشاھہ!“ 
MAT.27.30	پوءِ انھن ھن کي ٿڪون ھنيون ۽ اھا ئي لٺ کڻي کيس مٿي تي ڌڪ ھڻڻ لڳا. 
MAT.27.31	جڏھن اھي چٿرون ڪري چڪا تہ اھو قرمزي جبو لھرائي وري کيس ساڳيا ڪپڙا پھرايائونس. پوءِ ھو کيس ٻاھر وٺي آيا تہ جيئن صليب تي چاڙھي ڪوڪا ھڻنس.
MAT.27.32	جڏھن ھو وڃن پيا تہ انھن کي ڪرين شھر جو ھڪڙو ماڻھو مليو جنھن جو نالو شمعون ھو. انھيءَ تي ھنن زور رکيو تہ ھو عيسيٰ جو صليب کڻي ھلي. 
MAT.27.33	پوءِ ھو گلگٿا نالي ھڪڙي جاءِ تي پھتا، جنھن جي معنيٰ آھي ”کوپريءَ جي جاءِ“. 
MAT.27.34	 انھن عيسيٰ کي ڪوڙاڻ گڏيل مئي پيئڻ لاءِ ڏني. پر جڏھن ھن اھو چکيو تڏھن پيئڻ کان انڪار ڪيائين.
MAT.27.36	ان کان پوءِ اُھي اُتي ويھي رھيا ۽ ھن تي پھرو ڏيڻ لڳا. 
MAT.27.37	انھن ھن جي مٿان اھو الزام لکي ھنيو تہ ”ھي يھودين جو بادشاھہ عيسيٰ آھي.“ 
MAT.27.38	پوءِ عيسيٰ سان گڏ ٻن ڌاڙيلن کي بہ صليب تي چاڙھيائون، ھڪ سندس ساڄي ۽ ٻيو سندس کاٻي پاسي.
MAT.27.40	 ”تون تہ ٽن ڏينھن ۾ ھيڪل پيو ڊاھين ۽ ٺاھين، ھاڻي پاڻ کي تہ بچاءِ. جيڪڏھن تون خدا جو فرزند آھين تہ صليب تان ھيٺ لھي تہ ڏيکار.“ 
MAT.27.41	ساڳيءَ طرح سردار ڪاھن، شريعت جا عالم ۽ بزرگ ھن تي چٿرون ڪري چوڻ لڳا تہ 
MAT.27.42	”ھي تہ ٻين کي پيو ڇڏائي پر ھاڻي پاڻ کي نہ ٿو بچائي سگھي. ڇا ھي بني اسرائيل جو بادشاھہ آھي؟ ھاڻي صليب تان لھي اچي تہ ڏسون ۽ ان تي ايمان آڻيون. 
MAT.27.43	 ھو خدا تي ڀروسو ٿو رکي ۽ چوي ٿو تہ ’آءٌ خدا جو فرزند آھيان‘ تہ پوءِ ھاڻي ڏسون تہ خدا ھن کي ڪيئن ٿو بچائي.“ 
MAT.27.44	جيڪي ڌاڙيل ھن سان گڏ صليب تي چاڙھيا ويا اھي بہ ساڳيءَ طرح کيس طعنا ھڻن پيا.
MAT.27.45	منجھند جو سڄي ملڪ ۾ اوندھہ ڇانئجي ويئي، جيڪا ٽپھريءَ تائين ھلي. 
MAT.27.46	 ٽپھريءَ مھل عيسيٰ وڏي آواز سان رڙ ڪري چيو تہ 
MAT.27.47	جيڪي ماڻھو اُتي بيٺا ھئا تن مان ڪن ھن جا اھي لفظ ٻڌا ۽ چيائون تہ ”ھي الياس نبيءَ کي سڏي رھيو آھي.“ 
MAT.27.48	 انھن مان ھڪڙو ماڻھو جلدي ڀڳو ۽ فوم جھڙي ھڪ شيءِ کڻي ڪؤڙي مئي سان ڀري ڪاني جي چوٽيءَ تي ٻڌي عيسيٰ کي پيئڻ لاءِ ڏنائين. 
MAT.27.49	پر ٻين چيو تہ ”ترسو، ڏسون تہ الياس ھن کي بچائڻ لاءِ اچي ٿو يا نہ.“
MAT.27.50	عيسيٰ وري وڏي رڙ ڪئي ۽ دم ڏنائين.
MAT.27.52	قبرون ڦاٽي پيون ۽ ڪيترائي نيڪ ماڻھو جيڪي مري ويا ھئا سي جيئرا ٿي اٿيا. 
MAT.27.53	اھي عيسيٰ جي ٻيھر جيئري ٿيڻ کان پوءِ قبرن مان ٻاھر نڪري اچي پاڪ شھر يروشلم ۾ داخل ٿيا ۽ گھڻن ئي ماڻھن کين ڏٺو.
MAT.27.54	فوجي صوبيدار ۽ ٻيا جيڪي ساڻس گڏ عيسيٰ تي پھرو ڏيئي رھيا ھئا، تن جڏھن زلزلو ۽ ٻيو ڪجھہ ٿيندي ڏٺو تہ ڏاڍا ڊڄي ويا ۽ چوڻ لڳا تہ ”سچ⁠پچ ھيءُ ماڻھو خدا جو فرزند ھو.“ 
MAT.27.55	 اُتي ڪيتريون عورتون بہ ھيون، جيڪي پري کان ڏسي رھيون ھيون. اُھي عيسيٰ جي خدمت ڪرڻ لاءِ ساڻس گڏجي گليل کان آيون ھيون. 
MAT.27.56	انھن ۾ مريم مگدليني، يعقوب ۽ يوسف جي ماءُ مريم ۽ زبديءَ جي پٽن جي ماءُ ھئي.
MAT.27.57	جڏھن شام ٿي تہ ارمٿيا جو رھاڪو ھڪ شاھوڪار ماڻھو اتي اچي پھتو. ھن جو نالو يوسف ھو ۽ ھو بہ عيسيٰ جو شاگرد ٿيو ھو. 
MAT.27.58	ھو پلاطس جي درٻار ۾ ويو ۽ عيسيٰ جي لاش وٺڻ لاءِ عرض ڪيائين. پلاطس حڪم ڏنو تہ ”عيسيٰ جو لاش کيس ڏنو وڃي.“ 
MAT.27.59	پوءِ يوسف لاش ورتو ۽ انھيءَ کي ھڪڙي اُچي صاف ڪفن ۾ ويڙھي، 
MAT.27.60	اُن قبر ۾ رکيائين جيڪا ھن ٽڪر تي پنھنجي لاءِ تازو کوٽائي ھئي. پوءِ ھڪڙو وڏو پٿر ريڙھي قبر جي منھن تي ڏنائين ۽ پاڻ ھليو ويو. 
MAT.27.61	مريم مگدليني ۽ اھا ٻي مريم اچي قبر جي سامھون ويھي رھيون.
MAT.27.63	 ۽ چيائونس تہ ”سائين! اسان کي ياد آھي تہ ھو ٺڳ جڏھن اڃا جيئرو ھو تہ چوندو ھو تہ ’آءٌ ٽن ڏينھن کان پوءِ وري جيئرو ٿي اٿندس.‘ 
MAT.27.64	تنھنڪري اوھين حڪم جاري ڪريو تہ ٽن ڏينھن تائين قبر تي پھرو ڏنو وڃي، متان ھن جا شاگرد سندس ميت چورائي وڃن ۽ وڃي ماڻھن کي چون تہ ھو مئلن مان وري جيئرو ٿي اٿيو آھي. سو متان ھيءَ پوئين ٺڳي پھرين کان بہ وڌيڪ خراب نہ ثابت ٿئي.“ 
MAT.27.65	تنھن تي پلاطس انھن کي چيو تہ ”پوءِ پھريدار وٺي وڃو ۽ ايتري سخت چوڪسي ڪريو جيتري ڪري سگھو.“ 
MAT.27.66	پوءِ ھو پھريدارن کي ساڻ ڪري قبر تي ويا ۽ پٿر تي مُھر ھڻي قبر تي پھرو ڏنائون.
MAT.28.1	سبت جي ڏينھن کان پوءِ جڏھن آچر جي صبح جي پرھہ ڦٽڻ لڳي تہ مريم مگدليني ۽ ٻي مريم قبر ڏسڻ ويون. 
MAT.28.2	ايتري ۾ ڏاڍو زوردار زلزلو آيو ۽ خداوند جو ھڪڙو ملائڪ آسمان مان ھيٺ لٿو ۽ قبر جي منھن واري پٿر کي پاسي تي ريڙھي مٿس چڙھي ويٺو. 
MAT.28.3	ھن جي صورت وڄ جھڙي ھئي ۽ سندس پوشاڪ نوراني ھئي. 
MAT.28.4	پھريدار کانئس اھڙا تہ ڊنا جو مُڙدن وانگر پئجي رھيا.
