GEN.1.1	Qallariypeqa Dios janaj pachata kay pachatawan ruwarqa. 
EXO.4.1	Chaymantataj Moisesqa kuticherqa: Imatataj paykuna chaytaqa creewanqankuri, nitaj kasutapis ruwawankumanchu. Paykunaqa niwanqankuchari: Señorqa, qanman mana rikhurisunkichu, nispa.
EXO.4.2	Señortaj nerqa: Imataj makiykipi kashanri? Moisestaj nerqa: Kayqa tojnuy, nispa.
EXO.4.3	Chanta Señorqa Moisesman nerqa: Pampaman choqay chay tojnuykita, nispa. Paytaj pampaman choqarqa. Chay kikimpachataj tojnonqa katariman tukorqa. Moisestaj manchariywan ayqerqa chay katarimanta. 
EXO.4.4	Chantá Señorqa Moisesman nerqa: Ama ayqeychu, makiykiwan chupanmanta jap'iykuy. Paytaj kasuspa makinwan chupanmanta jap'iykorqa, chay kikimpachataj tojnullanmantaj tukuporqa jap'iykojtinkama.
EXO.4.5	Chay kanqa uj señal, Señorqa qanman rikhurisusqanta, ñaupa tatasniykej Diosnin, Abrahampata, Isaacpata, Jacobpata ima.
EXO.4.6	Chanta Señorqa ujtawan nillarqataj Moisesman: Makiykita ujllayniykiman churaykuy, nispa. Moisestaj makinta ojllayninman churaykorqa, orqhospataj makinta qhawarikorqa lepra onqoywan tukuy llillisqata, rit'i jina yurajpachata. 
EXO.4.7	Chaymanta Señorqa nillarqataj: Ujtawan makiykita ojllaykiman churaykuy, nispa. Moisestaj kasuspa ujtawan makinta ojllayninman churaykorqa. Chaymanta orqhospa qhawarinampajtaj makenqa mana imanasqa rikhurerqa tukuy ukhun jina.
EXO.4.8	Sichus mana creesonqankuchu nitaj kay ñaupaj kaj señalta uyarisonqankuchu chayqa, kay qhepan kaj señalta creesonqanku. 
EXO.4.9	Sichus kay iskay señalta mana creenqankuchu, ni uyarillasonqankupischu chayqa, yakuta mayumanta oqharimunki, chaytataj jallp'aman jich'anki; chay jallp'aman jich'asqayki yakutaj yawarman tukonqa.
EXO.4.10	Chanta Moisesqa nerqa: Ay, Señor! Ni jayk'aj noqaqa runasman allinta parlayta atinichu, mana qan parlawasqaykimantapachallachu, ni qaynallamantachu, nitaj kunallanmantachu, noqa kamachiykeqa unaymantapuni jina kani, qalloyqa parlashajtiy watakullawampuni.
EXO.4.11	Chaymanta Señorqa nillarqataj: Chanta pitaj runaman simita qorqa? Manachu noqa Señor upayachini, lojt'oyachini, ciegoyachini, chayri qhawarichini? 
EXO.4.12	Chayrayku kunanqa riy, noqa simiykinejta parlasaj, yachachisqaykitaj imatachus parlanaykita.
EXO.4.13	Moisesqa nillarqapuni: Ay Señor, waj runata kachakullay ari!, nispa.
EXO.4.14	Señorqa Moisespaj phiñarikuspa nerqa: Chaypaj kashan wauqeyki Aarón, Levita. Noqa yachani, payqa sumajta runasman parlayta yachasqanta, chantapis payqa ñapis jamushanña taripasoj, rikususpataj payqa mayta sonqompi kusikonqa. 
EXO.4.15	Qan paywan parlay, willay imatachus ninayki kashan chayta. Noqataj parlashajtiykichej paywan, jinallataj qanwampis kasaj. Chantaqa yachachisqaykichej imatachus ruwanaykichejta. 
EXO.4.16	Qan parlanki, Aaronman noqapis parlashayman jina, paytaj runasman parlanqa qampis parlashawaj jina, imatachus parlanayki kashan chayta. 
EXO.4.17	Kunanqa kay tojnuykita apakuy, chaywanqa t'ukuna imasta ruwamunki.
EXO.4.18	Moisesqa chaymanta riytawan Jetro suegrompaman kuterqa, nerqataj: Kunanqa kutinay tiyan Egiptoman, ayllusniyta, wauqesniyta ima waturikoj, kausakushankurajchus manachus chayta. Jetrotaj nerqa: Jina kajtenqa, riy ari, allillantaj risuchun.
EXO.4.19	Madianllapiraj kashajtintaj Señorqa ujtawan rikhurispa Moisesman nerqa: Egiptoman kutiy, imaraykuchus qanta wañuchiyta munajkunaqa tukuyninkuña wañuranku.
EXO.4.20	Moisestaj warminta pusariykukuspa, wawasnintawan burroman montaykuchispa Egiptoman kutirerqa; Diospa qosqan tojnu oqharisqa.
EXO.4.21	Chantaqa Señor nillarqataj Moisesman: Egiptoman kutispa faraompa ñaupaqempi kay t'ukunasta qosusqayta, ruwankipuni atiyta qosusqaywan. Noqataj faraompa sonqonta rumiyachisaj, paytaj israelitasta mana llojsejta saqenqachu. 
EXO.4.22	Qanqa ninki faraonman: Señorqa, ajinata nin: Israelqa noqaj kuraj wawaymin. 
EXO.4.23	Ña niykiña, wawayta saqey llojsejta, rispa yupaychamunawampaj. Qantaj llojsejta mana saqeshankichu, chayrayku noqaqa wañuchisaj kuraj wawaykita.
EXO.4.24	Ñanta rishajtintaj, maypichus Moisesqa familianwan uj ch'isi puñunanku kashajtin Señorqa rikhurerqa, wañuchiytataj munarqa. 
EXO.4.25	Seforataj chayta rikuspa, uj q'achi rumita oqharispa, wawampa phichilitumpa qaritampa puntitanta khuchurerqa. Chaymantataj Moisespa chakinta llujchirispa nerqa: Cheqamanta qanqa yawarmanta qosay kanki, nispa.
EXO.4.26	Chaymantaña Señorqa Moisesta rejta saqerqa, Seforataj nerqa, Moisesqa yawarmantapacha qosan kasqanta circuncidasqanrayku.
EXO.4.27	Chaymantataj Señorqa Aaronman parlarqa: Riy ch'in pampaman Moisesta taripaj, nispa. Paytaj kachaykukuspa Moisesta taripamorqa Diospa orqon nisqa chaypi, napaykuspataj wauqenta much'aykorqa. 
EXO.4.28	Chaypi Moisesqa Aaronman allinta willarqa Señor imastachus kamacherqa payman willananta chayta, jinallataj jatuchaj t'ukunasta ruwasqantawan. 
EXO.4.29	Chaymantaqa Moiseswan Aaronwan iskayninku rispa tantacherqanku israelitaspa tukuy kurajkunasninta. 
EXO.4.30	Aarontaj paykunaman willarqa, imastachus Señorqa Moisesman nerqa chayta. Chantapis Moisesqa jatuchaj t'ukunasta ruwananta runaspa ñaupaqempi Diospa kamachisqanman jina.
EXO.4.31	Israelitastaj creerqanku chay nisqanta. Yachaspa Señorqa Israelpa wawasninmanta yuyarikusqanta llakiyninkuta rikusqanta. Jinaspataj tukuyninku qonqoriykukuspa Señorta yupaycharqanku.
EXO.5.1	Chaymantaqa Moiseswan Aaronwan faraonman parlaj rerqanku, nispa: Israelpa Señornin, Diosnintaj ajinata nin: Saqepuway aylluy Israelta ch'inman rispa, chaypi yuyarikuwaspa qarakuta ruwanankupaj.
EXO.5.2	Faraontaj kuticherqa: Pitaj kasqa chay Señor, noqa paypa nisqanta kasunaypaj, israelitastaj rejta saqenaypaj? Noqaqa mana rejsinichu chay Señorta, nitaj saqesajchu israelitas rejta.
EXO.5.3	Paykunataj nerqanku: Hebreospa Diosnin taripawayku, chayrayku rinaykupuni tiyan ch'in pampaman kinsa día puriyta, chaypi rikuchikuta Señorniyku Diosman jaywamunaykupaj, ama ima onqoypis jamuspa wañuchinawaykupaj, chayri ima espadanejtapis wañunaykupaj.
EXO.5.4	Egipto reytaj paykunaman nerqa: Qankunarí, Moisés, Aarón, imaraykutaj runasta llank'ayninkumanta saqechiyta munashankichejri? Riychej qankunapis, llank'anaykichejta ruwamuychej. 
EXO.5.5	Chanta nillarqataj faraonqa: Kunanqa ashkha kanku israelitasqa kay tukuynejpi. Kunanqa qankunachu saqechiwajchej kasqa llank'ayninkuta?, nispa.
EXO.5.6+EXO.5.7	Chay kikin diapacha faraonqa sapa t'aqamanta kaj kurajkunata, capatazkunatawan aswan sinch'ita kamacherqa, nispa: Kunanmanta ñaupajmanqa amaña ichhuta israelitasman qonkichejchu adobesta ruwanankupaj imaynatachus kunan qoshankichej jinataqa; manachayqa paykuna kikin rispa oqharikamuchunku ichhuta. 
EXO.5.8	Qankunataj ninaykichej tiyan, imaynatachus kunankama ruwarqanku ajinallatapuni adobesta ruwanankuta ni uj pisita; imaraykuchus paykunaqa qhellashanku, chayrayku nishanku: Diosniykuman rikuchikuta jaywamusqayku, nispa. 
EXO.5.9	Qankunaqa astawan jasut'ishaspalla sinch'ita llank'achiychej, imatachus ruwanallankupi yuyanankupaj, ama kasunankupaj llulla palabrasta.
EXO.5.10	Chaymanta sapa t'aqata kamachejkuna, capatazkuna ima, llojsiytawan runasman nerqanku: Faraonqa kamachiwayku amaña ichhuta qonasuykuta. 
EXO.5.11	Kunanqa qankuna kikiykichej maymantapis ichhuta oqharikamunaykichej tiyan, nitaj ni uj pisita ruwanaykichejchu tiyan kunankama ruwarqankichej chaymanta.
EXO.5.12	Chaymanta israelitasqa tukuynejta ch'eqerarqanku rastrojosta ichhoj cuentanmanta oqharimoj t'uruta sarunankupaj. 
EXO.5.13	Sapa t'aqata kamachejkunaqa astawan sinch'ita llank'acherqanku, nispa: Tukunaykichej tiyan sapa día mashkhatachus ruwanaykichej kashan chay chhikata, ichhuta qoshajtiyku ruwaj kankichej chay chhikallatataj. 
EXO.5.14	Maytapuni jasut'erqanku faraompa capatazkunasnin israelitas ukhupi capatazkuna churasqas karqanku chaykunata, nispa: Imaraykutaj mana mashkhatachus ruwaj kankichej chay chhikallatataj adobesta ruwankichejchu, ni qayna, nitaj kunampisri?
EXO.5.15	Chaymantataj israelitasmanta capatazkuna, faraonman quejakoj rerqanku, nispa: Imaraykutaj chay jinata ruwanki kay kamachisniykitari? 
EXO.5.16	Manaña qowaykuchu ichhuta, munankitaj adobesta ruwanaykuta; chantapis anchata maqawayku. Chaypajqa runasnillaykitaj juchayoj kanku.
EXO.5.17	Faraontaj paykunaman nerqa: Qankunaqa kankichej qhellas, sinch'i qhellas. Chayrayku ninkichej: Rispa Señorniykuman rikuchikuta jaywamusqayku, nispa. 
EXO.5.18	Riychej ruwanaykichejta ruwamuychej. Ichhutaqa mana qosonqachejchu, chaywan mana chaywan qankunaqa mashkhatachus ruwaj kankichej chay chhikallatapuni adobesta ruwanaykichej tiyan sapa día.
EXO.5.19	Chaymantataj capataz kajkuna israelitasqa, aswan llakiypi rikukorqanku; adobe ruwanasniykichejmanta sapa día mana pisitachu ruwankichej nispa, faraón jinata nejtin.
EXO.5.20	Paykunataj faraonwan parlasqankumanta llojsimuspa Moiseswan Aaronwan jawapi suyashajwan tinkukorqanku. 
EXO.5.21	Paykunamantaj nerqanku: Señorqa rikuchun qankunaj ruwasqaykichejta, cheqanchachuntaj. Qankuna juchayoj kankichej faraón tukuy kamachisnin ima astawan noqanchejta chejninakunawanchejpaj. Qankuna kikiykichej churankichej espadata makisninman, noqanchejta wañuchinawanchejpaj.
EXO.5.22	Moisesqa chaymanta rispa Diosmanta mañakorqa, nispa: Señor, imaraykutaj chay jinatapuni llakichinki kay ayllutari? Chaypajqa imapajtaj kachamuwarqankiri? 
EXO.5.23	Kayman jamuspa faraonman sutiykipi parlasqaymantapacha payqa astawan llakiyman churan israelitasta; qantaj chaymanta manaraj kacharichinkichu aylluykita.
EXO.6.1	Diostaj Moisesman nerqa: Kunanraj rikunki imatachus faraonman ruwasaj chayta. Imaraykuchus paymantaqa sinch'i kallpawampuni kacharichisqaykichej chaymanta ripunaykichejpaj, jinallataj paypis may phiñasqa kacharisonqachej.
EXO.6.2	Diosqa parlallarqapuni Moiseswan, nispa: Noqamin kani Señorqa. 
EXO.6.3	Noqa tukuy atiyniyoj Dios sutiywan rejsichikorqani Abrahamwan, Isaacwan, Jacobwan ima. Señor nisqa sutiywanri paykunaman mana rejsichikorqanichu. 
EXO.6.4	Chantapis paykunawan uj tratota ruwarqani, Canaán jallp'ata qonaypaj. Chay jallp'api paykunaqa karu llajtayoj jinalla karikorqanku pisi p'unchaykunata. 
EXO.6.5	Ña kunanqa rikuniña israelitas sinch'ita ñak'arisqankuta, egipcios sinch'ita llank'achisqankuta, kunanqa yuyarikuni uj tratota ruwasqayta. 
EXO.6.6	Chayrayku nimuy israelitasman: Noqa Señormin, orqhosqaykichej chay jina ñak'arispa egipciospaj llank'anaykichejmanta, chay jina sinch'i kamachi ruway mana atinamanta. Noqa atiyniyta rikuchisaj. Ashkha muchuy mana atinasta rikuchispa kacharichisqaykichej sumaj cheqanta ruwaspa. 
EXO.6.7	Noqa orqhokapusqaykichej: Qankunaqa aylluy kankichej; noqataj Diosniykichej kasaj. Chaypi qankunaqa yachankichej noqamin Señorqa, qankunaj Diosniykichej kasqayta, egipcios mayta ñak'arichispa llank'achisusqaykichejmanta, noqa qankunata orqhosqayta. 
EXO.6.8	Noqa pusasqaykichej, ima jallp'atachus Abrahamman, Isaacman, Jacobman ima, chayaqenkupaj qosqaykichej nerqani chayman. Noqamin kani Señorqa.
EXO.6.9	Chay kikinta Moisesqa israelitasman willamorqa, paykunaqa mana payta kasuta ruwarqankuchu; imaraykuchus paykunaqa may ñak'arisqas kasharqanku, llakisqastaj maytapuni llank'asqankumanta. 
EXO.6.10	Chaymanta Señorqa Moisesman nillarqataj:
EXO.6.11	Rispa faraonman nimuy, saqey israelitasta jallp'aykimanta llojsejta, nispa.
EXO.6.12	Moisestaj Señorman kuticherqa: Qhaway, israelitasqa mana uyariwankuchu; imaynatataj faraón noqata uyariwanqari? Chantapis noqa mana ch'uyata parlayta atishajtiyri?
EXO.6.13	Chaymanta Señorqa Moisestawan Aarontawan kacharqa israelitasman, rey faraonmanwan nimunankupaj, paykuna israelitasta Egipto jallp'amanta orqhonankupaj kamachisqas kasqankuta.
EXO.6.14	Kaykuna karqanku sapa ayllumanta kurajkuna churasqas tatasninkumanta. Israelpa kuraj wawan Rubempata wawasnin karqanku: Hanoc, Falú, Hezrón, Carmi ima. Kaykuna karqanku Rubempa ayllusnin.
EXO.6.15	Kaykuna Simeompa wawasnin karqanku: Jemuel, Jamín, Ohad, Jaquín, Zohar, Saúl ima. Kay Saulpataqa maman cananea karqa. Kaykuna karqanku Simeompa ayllusnin.
EXO.6.16	Kaykuna karqanku Levej wawasnimpa sutisnin kurajmanta sullk'akama: Gersón, Coat, Merari ima. Leveqa pachaj kinsa chunka qanchisniyoj watasta kausarqa. 
EXO.6.17	Gersompa wawasnenqa karqanku familiasninkuman jina: Libni, Simei ima. 
EXO.6.18	Coatqa pachaj kinsa chunka iskayniyoj watasta kausarqa. Wawasnintaj karqanku: Amran, Izhar, Hebrón, Uziel ima. 
EXO.6.19	Merarej wawasnintaj karqanku Mahli, Musiwan. Kaykuna karqanku Levej ayllusnin, mirayninkuman jina, kurajmanta sullk'akama.
EXO.6.20	Amramqa casararqa tian Jocabedwan, wawasninkutaj karqanku Aaronwan, Moiseswan. Amramqa kausarqa pachaj kinsa chunka qanchisniyoj watasta.
EXO.6.21	Izharpa wawasnintaj karqanku Coré, Nefeg, Zincrewan.
EXO.6.22	Uzielpa wawasnintaj karqanku Misael, Elzafán, Sintriwan.
EXO.6.23	Aaronqa casararqa Elisabetwan, mayqenchus karqa Aminadabpa ususin, Naasompa panan. Pay wawasta rejserqa Nadabta, Abiuta, Eleazarta, Itamartawan.
EXO.6.24	Coréj wawasnintaj karqanku: Asir, Elcana, Abiasafwan. Kaykuna karqanku Coréj familiasnin.
EXO.6.25	Aarompa ujnin kaj wawan Eleazar casararqa Futielpa ususinwan, paypa wawantaj karqa Finees. Kaykuna karqanku levitaspa ayllusninmanta kurajkuna layankuman jina.
EXO.6.26	Kaykuna karqanku Aaronwan Moiseswan, mayqenkunamanchus Señorqa nerqa israelitasta orqhomunankuta Egipto jallp'amanta, ashkha soldadosta jina. 
EXO.6.27	Paykunallataj kanku Moiseswan Aaronwan, Egipto rey faraonwan parlamojkuna, israelitasta orqhomunankupaj Egiptomanta.
EXO.6.28	Mayk'ajchus Señorqa Egiptopi Moiseswan Aaronwan parlarqa chaypacha nerqa: 
EXO.6.29	Noqamin kani Señorqa. Rispa Egipto rey faraonman willamuy, imastachus noqa nisqayki chayta.
EXO.6.30	Moisestaj kuticherqa: Señor, noqaqa mana parlayta atinichu, qallullay watakuwan, imaynatataj chay jinata faraonqa uyariwanqari?, nispa.
EXO.7.1	Ujtawan Señorqa Moisesman nerqa: Qhawariy, noqa niyki, qan noqaj cuentaymanta faraompa ñaupaqempi ruwanki, jinallataj wauqeyki Aarón profetayki jina qampa cuentaykimanta parlanqa. 
EXO.7.2	Qan payman willanki noqa imatachá nisqayki chayta; wauqeyki Aarontaj faraonman parlanqa israelitasta jallp'anmanta llojsejta saqenanta. 
EXO.7.3	Noqataj faraompa sonqonta rumiyachisaj, astawantaj ashkhayachisaj may t'ukunasta ruwayta, milagrostawan ruwayta Egipto jallp'api. 
EXO.7.4	Faraonqa mana uyarisonqachejchu, noqataj atiyniyta rikuchisaj Egiptopi, soldadosniyta orqhokapusaj, aylluyta, Egipto jallp'amanta ashkha jasut'iykunata rikuchispa. 
EXO.7.5	Chaymantaraj Egiptopi atiyniyta rikuchejtiy, egipciosqa yachanqanku noqa Señorqa kasqayta, paykunaj chaupinkumanta israelitasta orqhomusqaymanta.
EXO.7.6	Moiseswan Aaronwanqa kikinta ruwarqanku, imaynatachus Señor Dios paykunaman kamacherqa, ajinata. 
EXO.7.7	Chaypacha Moisesqa karqa pusaj chunka watasniyoj; Aarontaj karqa pusaj chunka kinsayoj watasniyoj, faraonwan parlasharqanku chaypacha.
EXO.7.8	Señorqa parlallarqataj Moisesman Aaronmanwan, nispa: 
EXO.7.9	Sichus faraón nisonqachej milagrosta rikuchiychej nispa chayqa, qan ninki Aaronman: Tojnuykita jap'ispa choqay faraompa ñaupaqenman katariman tukunampaj.
EXO.7.10	Moiseswan Aaronwantaj kachaykukorqanku faraonwan parlaj. Paykunaqa ruwarqanku imaynatachus Señor paykunaman kamacherqa chayman jina. Aaronqa tojnunta choqarqa faraompa ñaupaqenman kamachisninwan kashajtin, chay tojnutaj katariman tukorparerqa. 
EXO.7.11	Faraontaj wajyacherqa yachajkunasninta, yatirisnintawan; paykunapis jamuspa kikillantataj ruwarqanku tukuy atiyninkuwan; 
EXO.7.12	Sapa ujninku tojnusninkuta choqallarqankutaj, chaykunapis katariman tukorqanku. Aarompa tojnuntaj tukuynin yachajkunajta, yatirispatawan tojnusninkuta mikhurarqa. 
EXO.7.13	Chay tukuywampis faraompa sonqon astawan rumiyarqa, paykunata mana kasuta ruwarqachu, Señorpa nisqanman jina.
EXO.7.14	Chaymanta Señorqa Moisesman nerqa: Faraompa sonqonqa anchatapuni rumiyan, mana munashanchu israelitas llojsinankuta. 
EXO.7.15	Q'aya tutamanta mayuman uraykushajtin qhawarej rinki. Qantaj chay mayu cantopi suyanki, katariman tukorqa chay tojnuykita. 
EXO.7.16	Chaypitaj ninki: Señormin, hebreospa Diosnin kachamuwan qanman willajta: Saqey ayllayta jallp'aykimanta llojsejta, ch'innejman rispa yupaychanawampaj. Kunankamataj qanqa mana kasukunkichu. 
EXO.7.17	Chayrayku Señorqa nimusunki: Kaypi yachawanki noqa Señor kasqayta: Kay tojnuywan kay mayupi kashaj yakuta wajtasaj, yakutaj yawarman tukonqa. 
EXO.7.18	Tukuy kay yakupi kaj challwas wañonqanku, mayutaj millayta asnanqa, tukuy egipciospis millachikonqanku, kay yakuta ujyayta.
EXO.7.19	Chanta Señorqa Moisesman nillarqataj: Niy Aaronman, tojnunwan Egipto mayu yakusta wajtaramuchun, wayq'ospi, tapisnimpi qochasta, yaku jallch'anasninkuta, maypichá yakus kashan chayta yawarman tukunankupaj. Ajinamanta tukuynin Egiptopi yawar kanqa k'ullu bateasninkupi; jinallataj rumi bateasninkupipis.
EXO.7.20	Moiseswan Aaronwan kikinta ruwarqanku, Dios imaynatachus paykunaman kamacherqa, ajinata. Tojnunta oqharispa Egipto mayu yakuta wajtarqa faraón qhawashajtin. Tukuy mayu yakustaj yawarman tukorqanku. 
EXO.7.21	Jinallataj chay mayupi kaj challwas wañurarqanku. Mayutaj millayta asnarqa, egipciospis mana ujyayta aterqankuchu, imaraykuchus Egiptopi maypichá yaku kaj chaykunapi yawarlla tarikorqa.
EXO.7.22	Egiptomanta tukuy yatiris kikillantataj ruwarqanku imatachus yachasqankuwan. Faraompa sonqontaj astawan rumiyarqa, chayta rikushaspapis paykunata mana kasorqachu, Señorpa nisqanman jina. 
EXO.7.23	Faraonqa chaymanta kutispa wasinman riporqa, chaytapis manapuni kasuta ruwaspa. 
EXO.7.24	Tukuynin Egiptopi yaku wisinasta ruwarakorqanku mayu cantospi yakuta ujyanankupaj, imaraykuchus mayu yakusta mana ujyayta aterqankuchu. 
EXO.7.25	Chay jinata Señorpa ruwasqanqa junt'akorqa qanchis diapi.
EXO.8.1	Señorqa Moisesman nillarqataj: Faraonman rispa nimuy: Señorqa ajinata nimusunki: Saqey aylluyta llojsejta yupaychamunawampaj. 
EXO.8.2	Mana llojsejta saqenki chayri, kayqa, noqa jasut'isaj tukuynin Egiptota k'aylankulaswan. 
EXO.8.3	Mayoqa k'aylankulasta mirachenqa, chaykuna llojsimuspa tukuynejman junt'anqanku, wasiykiman, maypichus puñunki chayman, kamachisniykej wasisninman, tukuy runasniykejman, hornosniykiman, maypichus mikhunasta ruwachinki chaykunamanwan. 
EXO.8.4	K'aylankulasqa patasniykiman wicharenqanku, tukuy Egipto runaspa patanman, jinallataj kamachisniykimampis.
EXO.8.5	Chaymanta Señorqa Moisesman nerqa: Aaronman niy, tojnunta oqharinanta mayusta qhawarispa, wayq'osman, mayusman, qochasman; chaykunamanta jamp'atus llojsimunankupaj tukuynin Egipto jallp'asman.
EXO.8.6	Aarontaj makinta jaywarerqa Egipto yakus pataman, Jinajtinkamataj k'aylankulasqa yakusmanta llojsiykamorqanku tukuynin Egipto jallp'asman junt'aykunankukama. 
EXO.8.7	Tukuy layqaspis kikillantataj ruwaspa k'aylankulasta junt'aykucherqanku Egipto llajtankuman.
EXO.8.8	Jina kajtintaj faraonqa Moisesta Aarontawan wajyachispa nerqa: Señormanta mañaychej ari, k'aylankulasta chinkachinampaj, noqamanta, runasniymantawan karunchachispa, noqataj saqesaj israelitas llojsinankuta Señorman rikuchikusta jaywamunankupaj.
EXO.8.9	Moisestaj kuticherqa: Niway, mayk'ajtaj munanki Señormanta mañanayta qanrayku, kamachisniykirayku, runasniykirayku ima; k'aylankulas karunchakunankupaj qanmanta, palacioykimantawan, mayullapiña qhepakunankupajri?
EXO.8.10	Faraonqa nerqa q'ayapacha, nispa. Moisestaj nerqa: Qampa munasqaykiman jina mañasaj, ajinamanta qan rejsinaykipaj, Señor Diosniyku jinaqa mana pipis kasqanta. 
EXO.8.11	K'aylankulasqa riponqanku qanmanta, palacioykimanta, kamachisniykimanta, runasniykimanta ima, mayullapiña qhepakonqanku.
EXO.8.12	Moiseswan Aaronwan faraompa ñaupaqenmanta llojserqanku. Chaymanta rispa Moisesqa Señormanta mañakorqa, k'aylankulasta faraonman apachimusqanta karunchachinampaj. 
EXO.8.13	Señortaj Moisespa nisqanman jina kasorqa. K'aylankulastaj wañurarqanku wasispi, patiospi, tukuy campospi ima. 
EXO.8.14	Runasqa k'aylankula wañusqasta tantarqanku qotu qotuta. Chantaqa tukuynejpi millayta phututirerqa. 
EXO.8.15	Faraontaj chay imas manaña kajtin qonqaporqa, sonqontapis astawan rumiyarqa, manaña kasorqachu Moiseswan Aaronwan nisqankuta, imaynatachus Señorpa nisqanman jina.
EXO.8.16	Señorqa ujtawan Moisesman nerqa: Aaronman niy ujtawan tojnunta oqharinanta, chaywantaj ñut'u jallp'ata wajtachun, chay ñut'u jallp'a tiwlaman tukuspa, Egipto jallp'aman junt'anampaj.
EXO.8.17	Paykunata ajinata ruwarqanku. Aaronqa tojnunta oqharispa, pampata wajtaspataj jallp'ata oqharicherqa, chaytaj tiwlaman tukuspa Egipto jallp'aman junt'aykorqa. Chay tiwlastaj runasta, uywasta ima tukuykorqa. Tukuynin Egiptopi maynejpipis tiwlallaña karqa. 
EXO.8.18	Yatirisqa kikillantataj ruwaspa imatachus yachasqankuwan mana ajinata ruwayta aterqankuchu. Tiwlasqa tukuynin runasta tukuykorqa, jinallataj uywastapis. 
EXO.8.19	Chaymantaqa chay layqas faraonman nerqanku: Kayqa Diospa jasut'iynin, nispa. Faraonqa astawan sonqonta rumiyacherqa; mana imatapis kasorqachu, Señorpa nisqanman jina.
EXO.8.20	Señorqa ujtawan nillarqataj Moisesman: Q'aya paqarin faraonqa tutamanta mayuman renqa; qampis tutamanta jatarispa riy paywan parlaj. Ajinata ninki: Señorqa ajinata nimusunki: Saqey aylluyta llojsejta yupaychamunawampaj. 
EXO.8.21	Manachus saqenki llojsejta chayqa, noqa apachimusaj imaymana khanikoj ch'uspista qampa pataykiman, kamachisniykiman, runasniykiman, wasisniykiman ima junt'aykunampaj. Tukuy egipciospa wasisninman junt'aykonqanku, tukuy pampasnintinman. 
EXO.8.22	Ajina kashajtintaj, Gosén jallp'apeqa mana kanqachu khanikoj ch'uspisqa, mayqempichus aylluy tiyakushan chaypi; ajinamanta yachanaykichejpaj noqa Señor kay jallp'a patapi kashasqayta. 
EXO.8.23	Ajinata aylluytawan aylluykitawan t'aqasaj. Kaytaj q'ayapacha kanqa.
EXO.8.24	Ajinata Señorqa ruwarqa. Khanikoj ch'uspisqa manchay ashkhas urphurimorqanku, faraompa palacionman, kamachisnimpa wasisninman, tukuynejman junt'aykunankukama. Tukuynin jallp'astapis mana allinta ruwarparerqankuchu.
EXO.8.25	Chaymanta faraonqa Moisesta Aarontawan wajyachispa, nerqa: Rispa Diosniykichejman rikuchikusta jaywamuychej mana kay jallp'amanta ripuspalla.
EXO.8.26	Moisesqa kuticherqa: Jinata kayllapi ruwanaykoqa mana allinchu, ima uywastachus Señor Diosniykuman jaywasqayku chayqa egipciospaj mana allinchu, paykunapajqa Diosninku jina. Sichus egipcios rikuwasqayku chay uywasta rikuchikusta jaywashajta chayqa, mayqenkunatachus paykuna yupaychanku chaytaqa, cheqamanta rumiswan ch'anqaspa wañurparichiwasqayku. 
EXO.8.27	Noqaykoqa rinayku tiyan kinsa día puriyta ch'in pampaman, chaypi Señor Diosniykuman rikuchikuta jaywamunaykupaj, Pay kamachiwasqaykuman jina.
EXO.8.28	Faraontaj nerqa: Noqa saqesqaykichej ch'in pampaman rispa Señor Diosniykichejman rikuchikuta jaywamojta, ama ancha karuman rinaykichej kajtenqa; chaypi noqapajpis mañapuwaychej.
EXO.8.29	Moisestaj kuticherqa: Kaymanta riytawan Señormanta mañapusqayki kay khanikoj ch'upis qanmanta jatarinankupaj, jinallataj kamachisniykimanta, llajtaykimantapis q'ayapacha. Qantaj amallaña ch'aukiyawaykuchu, amañataj jark'aychu israelitas rispa Señorman richuchikusta jaywamojta.
EXO.8.30	Moisesqa chaymanta riytawan palacionmanta rispa, Señormanta mañakorqa. 
EXO.8.31	Señortaj Moisespa imatachus nisqanman jina ruwarqa. Tukuynin khanikoj ch'uspista chinkacherqa faraonmanta, kamachisnimpamanta, runaspa wasisninmanta ima mana ujniyojta. 
EXO.8.32	Faraontaj chayta rikuytawan sonqonta rumiyachillarqataj, mana saqerqachu israelitasta rejta.
EXO.9.1	Chaymanta Señorqa nillarqataj Moisesman: Rispa nimuy faraonman: Hebreospa Diosnenqa ajinata nimusunki: Kacharipuway Israel aylluyta, rispa yupaychamunawampaj. 
EXO.9.2+EXO.9.3	Manachus kacharinki, astawanchus jap'ikullankichejpuni chayqa, Señorqa uywasniykita sinch'i onqoywan atiyninta rikuchispa jasut'enqa, caballosta, burrosta, camellosta, wakasta, ovejasta ima. 
EXO.9.4	Señorqa israelitaspa uywasninta egipciospa uywasninmanta t'aqanqa; chayrayku israelitaspa uywasnenqa ni ujpis wañonqankuchu. 
EXO.9.5	Señorqa ima pachachus kay kananta nerqa: Q'aya pacha kayta ruwasaj, nispa.
EXO.9.6	Q'ayantin pacha Señorqa chayta ruwarqa, Egiptopi tukuy uywas wañurarqanku israelitaspa uywasninrí ni ujpis wañorqankuchu. 
EXO.9.7	Faraonqa israelitaspa uywasninta qhawarejta kacharqa, nitaj uj wañusqatapis tarerqankuchu. Chaywampis faraonqa sonqonta rumiyachillarqapuni, manapuni israelitasta kacharerqachu.
