MAT.1.1	Cay kelkaskaka Jesucristoj ñaupaj tatasninmantamin. Jesuska Abrahammanta jamun Davidmantawan.
MAT.13.51	Jesús yachacojcunata taporka:
MAT.13.51	—¿Tucuy chayta entienderkanquichejchu? Paycunataj cuticherkancu:
MAT.13.51	—Arí, yachachiwajníy, entiendeycu, —nispa.
MAT.13.52	Jesusri paycunaman nerka:
MAT.13.52	—Chayraycu Dios camachin, chaymanta sumaj yachachiska runa uj khapaj wasiyojman rijch'acun. Payka jallch'aska khapaj khoyasninmanta orkhomun mosoj khoyasta unay khoyastapis, —nispa.
MAT.13.53	Chay quiquinchanaswan parlayta tucuytawan Jesuska chaynejmanta llajtanman riporka. 
MAT.13.54	Chayaspa runasta tantacuna-wasincupi yachachisharka. Mayta t'ucuspa runas ninacorkancu:
MAT.13.54	—Cay runari ¿maypitaj cayjina yachayniyoj tucumorkarí? ¿Imaynapitaj cayjina t'ucuna ruwanasta ruwashanrí? 
MAT.13.55	¿Manachu cayka carpintero runaj wawan? ¿Manachu mamanpa sutinpis María? ¿Manachu waukesninpis Jacobo, José, Simón, Judaswan cancu? 
MAT.13.56	Panasninpis ¿manachu kayllanchejpi tiyacuncu? Chanta ¿imaynapitaj tucuy cay imasta yachamorkarí?
MAT.13.57	Paycunataj phiñacuspa Jesusta mana jap'icorkancuchu. Jesusrí paycunaman nerka:
MAT.13.57	—Diosmanta uj willajka sumajpaj khawaskapuni cashan waj llajtaspeka. Llajtanpi, wasinpiwan cajcunalla paytaka manamin sumajpajchu khawancu, —nispa.
MAT.13.58	Chaypitaj Jesuska pisi t'ucuna ruwanasllata ruwarka paypi mana jap'icuskancuraycu.
MAT.14.1	Galilea jallp'api camachej Herodeska chay p'unchaycunapi Jesuspa ruwaskasninmanta uyarerka. 
MAT.14.2	Camachisninmanta curajcunamantaj nerka:
MAT.14.2	—Cay runaka bautizaj Juan wañuyninmanta causarimpuskamin. Chayraycu Diospa atiyninwan t'ucuna ruwanasta ruwashan, —nispa.
MAT.14.3+MAT.14.4	Ñaupajpi Herodeska jap'iycucherka Juanta. Wataycuchiytawantaj carcelman wisk'aycucherka, wauken Felipej warminraycu. Ñaupajpi Juanka payta c'amejpuni carka:
MAT.14.3+MAT.14.4	—Juchamin waukeyquej warmin Herodiasta warmillicunayqueka, —nispa.
MAT.14.5	Chayraycu Herodiaska Juanta wañuchiyta munarka. May ashqha runasmantataj manchachicorka. Paycunaka Diospa willajninpaj Juanta rejserkancu. 
MAT.14.6	Astawanrí Herodespa diachacun chayamorka. Chaypitaj Herodiaspa ususenka wajyaskacunapaj tusorka. Herodesri chaywan mayta cusicorka. 
MAT.14.7	Chayraycu Herodeska Diospa sutinta okharispa nerka warminpa ususinman:
MAT.14.7	—Imatachá mañacuwaskayquita koskayqui, —nispa.
MAT.14.8	Chay sipastaj maman yachaycuchiskanraycu nerka:
MAT.14.8	—Cunitanpacha chuwapi bautizaj Juanpa umanta koway, —nispa.
MAT.14.9	Camachej Herodeska phuticorka. Diospa sutinta okhariskanraycurí paywan cusca tiyacojcunaraycutaj camacherka Juanpa umanta sipasman konancuta. 
MAT.14.10	Chanta soldadosta carcelman cacharka Juanpa umanta khorumunancuta. 
MAT.14.11	Chaymantataj Juanpa umanta uj chuwapi apamorkancu. Sipasmantaj jaywarkancu. Paytaj mamanman aparka.
MAT.14.12	Chayta yachaspa Juanpa yachacojcunan jamorkancu. Ayantataj apacaporkancu p'ampamunancupaj. Chay imasmantataj Jesusman willamoj rerkancu.
MAT.14.13	Jesuska chayta uyariytawan yachacocunanwan barcopi riporka ch'innejman sapallancu canancupaj. Riskanta yachaspataj may ashqha runas llajtasmanta chaquillapi khepanta khaterkancu. 
MAT.14.14	Barcomanta llojsispataj Jesuska may ashqha runasta ricorka. Paycunamantari sonkon nanarka. Qhuyacuspataj onkoskasta thañiracherka.
MAT.14.15	Ch'isiyaycushajtinña yachacojcunanka Jesusman chimpaycorkancu. Nerkancutaj:
MAT.14.15	—Inti yaycushanña. Ch'in pacha caynejka. Chayraycu cay ashqha runasta cachapullayña. Ajinapi ranchosman rispa miqhunata ranticamonkancu, —nispa.
MAT.14.16	Astawanri Jesuska paycunaman cuticherka:
MAT.14.16	—Mana paycunaka ripunancuchu tiyan. Kancuna paycunaman miqhunata koychej, —nispa.
MAT.14.17	Paycunarí nerkancu:
MAT.14.17	—Caypeka phishka t'antaswan iscay challwitasllawan tiyapuwaycu. Chaylla, —nispa.
MAT.14.18	Jesustaj nerka:
MAT.14.18	—Chay capususkayquichejta cayman apamuwaychej, —nispa.
MAT.14.19	Chay ashqha runastataj camacherka pastopi tiyaricunancuta. Chanta chay phishka t'antasta iscay challwitastawan maquisninpi jap'erka. Janaj pachaman khawarispataj qraciasta korka Diosman. T'antasta challwitastawan partispataj yachacojcunaman jaywarka. Paycunataj chay ashqha runasman jaywaramorkancu. 
MAT.14.20	Tucuynincu miqhorkancu sajsacunancucama. Chay partiskasmanta puchojtaj chunca iscayniyoj canastas junt'araj carka. 
MAT.14.21	Chay miqhojcunaka phishka warankajina kharis carkancu. Warmis wawitaswanpis miqhullarkancutaj.
MAT.14.22	Chayta ruwaskantawancama Jesuska yachacojcunanta camacherka:
MAT.14.22	—Barcoman yaycuychej kocha chimpaman ñaupajta rishanayquichejpaj. Nokataj chaycama runasta cacharparipusaj, —nispa.
MAT.14.23	Runasta cacharpariytawan Jesuska sapallan orkoman riporka Dios Tatanwan parlaj. Inti yaycuytañari sapallan payka orkopi cacusharka. 
MAT.14.24	Chaycamataj barcoka jallp'amanta carupi uqhu kochapiña carka. Yacutaj kholchokeyaspa barcotaka mayta apaycachasharka sinch'i wayra contrancupi wayramushaskanraycu. 
MAT.14.25	Jesusrí sut'iyamuytaña yacu patata purispa paycunaman kayllaycusharka. 
MAT.14.26	Yachacojcunanka yacu patanta purishajta ricuspa mayta mancharicorkancu “¡Alma!” nispa. Manchaymantataj khaparerkancu. 
MAT.14.27	Khapariskancutawantaj Jesuska paycunaman nerka:
MAT.14.27	—¡Callpachacuychej! ¡Noka cani! Amaña manchachicuychejchu, —nispa.
MAT.14.28	Pedrotaj cutichispa nerka:
MAT.14.28	—Señorníy, kanchus canqui chayka, niway cay yacu patata kanman jamunayta, —nispa.
MAT.14.29	Jesustaj nerka:
MAT.14.29	—Jamuy, —nispa.
MAT.14.29	Pedrori barcomanta uraycorka. Yacu patanta purispataj Jesusman risharka. 
MAT.14.30	Wayra sinch'i caskanta ricuspa mancharicorka. Yacuman chincaycushaskanpitaj khaparicorka:
MAT.14.30	—Señorníy, jap'iriway, —nispa. 
MAT.14.31	Jesustaj maquinwan payta jap'icorka. Nerkataj:
MAT.14.31	—¡Ancha pisita nokapi jap'icunqui! ¿Imaraycutaj iscayrayarkanquirí?
MAT.14.32	Paycuna barcoman yaycojtincutaj manaña wayrarkachu. 
MAT.14.33	Barcopi cajcunarí Jesusman kayllacuspa yupaycharkancu. Nerkancutaj:
MAT.14.33	—¡Chekamanta kanka Diospa c'ata Wawan canqui!
MAT.14.34	Kochata chimpaytawanka Genesaretman chayamorkancu. 
MAT.14.35	Chaypi tiyacoj runas Jesusta rejsiycorkancu. Chaymantataj runas paymanta willamorkancu. Tucuy onkoskacunatataj payman apamorkancu. 
MAT.14.36	Paycunataj Jesusmanta mañacorkancu p'achanpa t'icasnillantapis llanqharinancuta. P'achanta tucuy llanqharejcunataj thañiskas carkancu.
MAT.15.1	Chaymantaka waquin fariseo partecuna yachachejcunawan Jerusalén llajtamanta jamorkancu. Jesustataj taporkancu:
MAT.15.2	—¿Imaraycutaj yachacojcunayqui unay curajninchejpa yachachiska ruwanasnincuta p'aquincu? Yachacuskanchejmanjina yachacojcunayqueka maquisnincuta mana mayllacuncuchu miqhunancupajka. ¿Imaraycutaj ajinata ruwancurí?
MAT.15.3	Jesustaj cutichispa nerka:
MAT.15.3	—Unay runasmanta yachacuskallayquichejta casushanquichej. Chanta ¿imaraycutaj kancunapis mana casunquichejchu Diospa camachiskanta? 
MAT.15.4	Imaraycuchus Dioska nerka: “Tatayquita mamayquita jatunpaj khaway. Tatanpaj chayrí mamanpaj sajrata parlajka wañuchiska canan tiyan”, nispa. 
MAT.15.5	Kancunarí yachachinquichej uj runa atillan niyta tataman chayrí mamaman: “Mana atinichu yanapasuyta. Kosunay carka chaytaka Diosmanña korkani”. Chay “korkani” nejka manaña jatunpaj tatanta mamantapis khawanchu. 
MAT.15.6	Chaywanri Diospa camachiskanta p'aquinquichej yachacuskasniyquichejta ruwanayquichejpaj. 
MAT.15.7	¡Puraj uya runas! Allinta Diospa unay willajnin, Isaiaska, kancunamanta sut'incharka. Kelkaskanpi Dios nin:
MAT.15.8	Cay runacunaka simisnillancuwan yupaychawancu.
MAT.15.8	Sonkoncurí nokamanta carupi cashan.
MAT.15.9	Paycunaka runaj yachachinasnillancuta yachachincu nokamantapis canmanjinata.
MAT.15.9	Ajinapeka yankhalla yupaychawancu.
MAT.15.10	Chanta chay ashqha runasta paynejman wajyaspa nerka:
MAT.15.10	—Sumajta uyariwaychej niskasniyta entiendenayquichejpaj. 
MAT.15.11	Siminnejta yaycoj miqhunaka runaj yuyayninman juchawan mana ch'ichichanchu. Manachayrí runaj sonkonpi sajra yuyaskan siminnejta llojsimun. Chay parlaskanmin runataka ch'ichichaspa juchallichin, —nispa.
MAT.15.12	Chanta Jesuspa yachacojcunanka payman kayllaycuspa nerkancu:
MAT.15.12	—¿Yachanquichu chay fariseo runas niskayquita uyarispa phiñacuywan khesachasuskancuta?
MAT.15.13	Payri cuticherka:
MAT.15.13	—Tucuy yachachinas mana janaj pachapi tiyacoj Dios Tataymanta cajka k'ala tucuchiskas cankancu. 
MAT.15.14	Sakeychej chaycunata munaynincumanjina ruwanancuta. Paycuna ciegosjina cancu Diospa yachachinasninmantaka. Chaywanpis waj ciegosta pusajcunajinataj cancu. Sichus uj ciego ciegollatataj pusanman chayka, iscaynincu cusca t'okoman urmayconkancu, —nispa.
MAT.15.15	Pedrori Jesusta nerka:
MAT.15.15	—Ch'ichichanamanta niskayquita sut'inchawaycu, —nispa.
MAT.15.16	Paytaj cuticherka:
MAT.15.16	—Kancunapis ¿manallatajchus yuyayniyoj canquichej? 
MAT.15.17	¿Manachu entiendenquichej? runaj miqhuskanka wijsanman yaycuskanta chaymantataj jawaman llojsipun. 
MAT.15.18	Astawanpis runaj sonkon sajrata yuyaskanmanta llojsimoj parlaskanmin runataka juchallichin. 
MAT.15.19	Imaraycuchus runaj sonkonmanta sajra yuyaycuna llojsimun. Chaymanta runata wañuchin, khenchachacun, sajra puriypi causan, suwacun, llullacuytawan willan runa-masinmanta, Diospaj sajrata parlan. 
MAT.15.20	Chaycunamin Diospa ñaupakenpeka jucha cancu. Runaj sonkontataj ch'ichichan. Maquista mana mayllacuspa miqhuyrí manapuni runaj sonkontaka ch'ichichanchu, —nispa.
MAT.15.21	Jesuska chaymanta llojsipuspa Tiro llajta Sidón llajta chaynejman riporka. 
MAT.15.22	Chaypitaj tiyacoj Canamanta uj warmi. Paytaj Jesusman jamorka. Khaparispataj paymanta mayta mañacorka:
MAT.15.22	—Tucuy atiyniyoj Señor, Diospa ajllaskan Cristo canqui. ¡Qhuyacuway nokamanta! Ususiyta supay mayta ñac'arichishan, —nispa.
MAT.15.23	Jesusrí warmiman ni uj palabratapis cuticherkachu. Chayraycu yachacojcunanka Jesusman kayllaycuspa mayta mañarkancu:
MAT.15.23	—Cachapuy chay warmita. Payka khepanchejta khaparispa jamushan, —nispa.
MAT.15.24	Jesusri cuticherka:
MAT.15.24	—Dios Tatayka israel aylluymanta chincaska cajcunallaman cachamuwan. Paycunaka ovejasjina Diospa chekan ñanninmanta pantaporkancu, —nispa.
MAT.15.25	Chaywanpis chay warmeka kayllaycuspa Jesusman c'umuycorka yupaychananpaj. Nerkataj:
MAT.15.25	—¡Señor, yanapariway ari! —nispa.
MAT.15.26	Jesusrí cuticherka:
MAT.15.26	—Wawaspa t'antancuta okharispa alketusman karaycoyka mana allinchu, —nispa.
MAT.15.27	Warmiri nillarkataj:
MAT.15.27	—Arí, Señor, chaywanpis alketuspis miqhuncupuni dueñosnincoj miqhuy t'unasnin mesamanta t'acacojtenka, —nispa.
MAT.15.28	Chanta Jesuska payman cutichispa nerka:
MAT.15.28	—Doña, may sumajta nokapi jap'icunqui. Munaskayquimanjina ruwaska cachun, —nispa.
MAT.15.28	Chay quiquinpacha ususenka thañicaporka.
MAT.15.29	Jesuska jakaymanta llojsispa Galilea kocha cantonejman rerka. Orkoman rispataj chaypi tiyaycucorka. 
MAT.15.30	May ashqha runas payman kayllaycorkancu. Paycunataj apamorkancu wist'usta, ciegosta, mana rimarejcunata, ñuc'usta, ashqha waj onkoyniyojcunatawan. Jesuspa ñaupakenman chay onkoskasta churaycorkancu. Payri paycunata thañicherka. 
MAT.15.31	Ajinaka chay ashqha runas mayta t'ucorkancu. Uyarerkancu mana rimarejcuna parlashajta. Ricorkancu ñuc'us thañicojta, suchus purishajta, ciegos ricushajta. Israel runaspa Diosnincutataj jatunchaspa yupaycharkancu.
MAT.15.32	Jesuska yachacojcunanta payman wajyaspa nerka:
MAT.15.32	—Sonkoy nanawan cay ashqha runasmanta. Quinsa p'unchaytaña nokawan cusca cashancu. Miqhunancupaj manaña ni imapis canchu. Mana miqhuskata cachapuytari mana munanichu, ñanta rishaspapis yarkhaywan llauchhuyapuncuman, —nispa.
MAT.15.33	Chanta yachacojcunan nerkancu:
MAT.15.33	—Cay ch'innejpi cashanchej ¿imaynapitaj ashqha miqhunata tarisunman cay chhica runasta miqhuchinanchejpajrí?
MAT.15.34	Jesusri taporka:
MAT.15.34	—¿Mashqha t'antastaj capusunquichej?
MAT.15.34	Paycunataj cuticherkancu:
MAT.15.34	—Kanchis t'antaslla pisi challwitaspiwan, —nispa.
MAT.15.35	Chanta Jesuska runasta camacherka pampaman tiyaycucunancuta. 
MAT.15.36	Chay kanchis t'antasta maquisninpi jap'erka challwitastawan. Chaycunamantataj Diosman graciasta korka. Ajinaspa chay t'antasta challwitastawan partispa yachacojcunanman jaywallarkapuni. Paycunataj chay ashqha runasman jaywararkancu. 
MAT.15.37	Tucuynincutaj miqhorkancu sajsacunancucama. Chaywanpis t'unasmanta puchuska kanchis jatun canastas junt'araj carka. 
MAT.15.38	Miqhojcunaka tawa warankajina kharis carkancu. Warmispis wawaspis miqhullarkancutaj. 
MAT.15.39	Ajinata Jesús miqhuchiytawan runasta cacharpayarka. Chaymantataj barcoman yaycuspa Magdala jallp'aman riporka.
MAT.16.1	Chanta fariseo partemanta saduceo partemantawan cajcuna Jesusman kayllaycamorkancu. Paycunaka imaynallamantapis Jesusta pantachiyta munasharkancu. Chayraycu paymanta mañarkancu uj jatun ruwanata Dios cachamuskanta yachanancupaj. 
MAT.16.2	Jesús cuticherka:
MAT.16.2	—Kancunaka inti yaycupushajtin ninquichej: “K'ayaka sumaj p'unchay canka, phuyu puca pucata antawaramuskanraycu”. 
MAT.16.3	Tutamantataj ninquichej: “Cunan p'unchayka parankachá yanata phuyumushan”, nispa. Kancunaka phuyusta khawarispa yachanquichej imayna p'unchaychus cananta. Diospa ajllaska Runanmanta ricuchinastarí mana yachanquichejchu reparayta. 
MAT.16.4	Cay sajra ruwajcunawan Diosta wasanchajcunawanka t'ucunapaj uj ricuchinata mañashancu. Diospa willajnin Jonaspa ricuchinalla paycunapaj cashan manataj wajka, —nispa.
MAT.16.4	Paycunata sakespataj riporka.
MAT.16.5	Yachacojcunanka barcopi kochaj ujnin chimpaman chayarkancu. Chaypiña paycunaka t'antata mana apacuskancuta yuyaricorkancu.
MAT.16.6	Jesusri paycunaman nerka:
MAT.16.6	—Reparacuychej, sumajtataj khawacuychej fariseocunaj saduceocunaj t'anta pokochinancumanta, —nispa.
MAT.16.7	Yachacojcunataj paycuna uqhullapi tapunacusharkancu mana t'antata apacamuskancuraycu chayta parlaskanta.
MAT.16.8	Jesusri yuyashaskancuta reparaspa paycunaman nerka:
MAT.16.8	—¿Imaraycutaj kancuna uqhullayquichejpi tapunacushanquichej t'antata mana apacamuskayquichejmanta? ¡Kancunaka ancha pisita Diospi jap'icunquichej! ¿Manarajchu reparanquichej? 
MAT.16.9	¿Nitajchu yuyarinquichej miqhuchiskayta phishka t'antasllamanta phishka waranka runasman? ¿Konkapunquichejchu mashqha canastasta chay puchojta junt'achiskayquichejta? 
MAT.16.10	¿Nitajchu yuyarinquichej kanchis t'antasmanta tawa waranka runasman miqhuchiskaymanta? ¿Mayc'a jatuchej canastasta junt'ataj puchorkarí? 
MAT.16.11	Wakaychacuychej saduceowan fariseowan partecunaj t'anta pok'ochinancumanta nisuskayquichejta ¿imaraycutaj mana entienderkanquichejchu? Mana t'antamantachu parlarkayquichej, —nispa.
MAT.16.12	Chantaraj yachacojcunanka entienderkancu Jesuska mana t'anta pokochina levaduramantachu parlaskanta. Manachayrí fariesocunaj saduceocunaj llulla yachachinasnincuwan ama pantachiskas canancuta paycunaman parlaskanta entienderkancu.
MAT.16.13	Jesuska Filipo jallp'api Cesarea llajta chaynejman chayarka. Chaymantataj yachacojcunanta taporka:
MAT.16.13	—Noka, Diospa cachaska Runanmanta parlaspa, runaska ¿pi caskaytataj nincurí?
MAT.16.14	Paycunataj cuticherkancu:
MAT.16.14	—Waquin nincu bautizaj Juan causarimpuskanta. Waquintaj nincu Diospa unay willajnin Elías cutimuskanta. Waquinrí nincu Diospa unay willajnin Jeremías chayrí Diospa unay willajcunanmanta uj caskayquita, —nispa.
MAT.16.15	Paycunamantaj nerka:
MAT.16.15	—Kancunari ¿pi caskaytataj ninquichej? —nispa.
MAT.16.16	Simón Pedrotaj nerka:
MAT.16.16	—Kanka wiñay causaj Diospa ajllaska Wawan, Cristo canqui.
MAT.16.17	Jesustaj payman cuticherka:
MAT.16.17	—Kan, Jonaspa wawan Simón, may cusiska canqui. Chekatapuni niskayquitaka mana runallachu sut'inchasorka. Manachayrí janaj pacha Dios Tatay caytaka sut'inchasorka. 
MAT.16.18	Noka nillayquitaj kanka Pedro caskayquita. Chaytaj niyta munan rumi. Ujchaska ajllacuskasniytaj sinch'i rumi patapi wasichaskajina cancu. Uqhu pacha supay Satanás chayta manapuni atipankachu. 
MAT.16.19	Llavesta koskayqui Dios camachin, chayman runas yaycunancupaj. Cay pachapi imatapis runas ruwanancuta ninqui chayka, janaj pachapipis niskallataj canka. Cay pachapi imatapis runas ama ruwanancuta ninqui chayka, janaj pachapipis ajina niskallataj canka, —nispa.
MAT.16.20	Chanta Jesuska yachacojcunanman camacherka amaraj pimanpis willanancuta pay Diospa ajllaskan Cristo caskantaka.
MAT.16.21	Chaypachamantapacha Jesuska yachacojcunanman sut'ita willayta kallarerka:
MAT.16.21	—Jerusalén llajtaman rinaypuni tiyan. Chaypitaj israel curajcuna, yupaychana-wasimanta curajcunawan israel yachachejcunapiwan anchata ñac'arichiwankancu. Paycunaka wañuchiwankancupis. Quinsa p'unchaymantataj causarimpunay tiyan.
MAT.16.22	Pedrotaj Jesusta wajnejman pusaspa payta c'amerka:
MAT.16.22	—Señorníy, amapuni ajina cananpaj, Dios kanta qhuyasuchun.
MAT.16.23	Jesusrí Pedroman cutiricuspa nerka:
MAT.16.23	—Anchuriy nokamanta. ¿Supay Satanásjina juchaman urmachiwaytachu munanqui? Kanka mana Diospa yuyaskanmanjinachu yuyashanqui manachayrí runaj yuyayninmanjinalla, —nispa.
MAT.16.24	Chanta Jesuska yachacojcunanman nerka:
MAT.16.24	—Pichari yachacojniy cayta munajka paypa tucuy munayninta sakepunan tiyan. Chaywanpis nokaraycu pay quiquin muchunan tiyan wañunancama. Nokatataj casunawanpuni tiyan. 
MAT.16.25	Chekatapuni pichari causayninta payllapaj wakaychacuyta munajka mana wiñay causayniyojchu canka. Picharí causayninta cay pachapi chincananta sakejka nokata casuskanraycu chayka, chekatapuni wiñay causayniyoj canka. 
MAT.16.26	Reparaychej: Sichus uj runa tucuy cay pacha capuytapis jap'inman, wiñaypajtaj chincapunman chayka ¿ima allintaj paypaj canmanrí? Yachanchejjina runaka causayninta ranticuyta mana atinchu tucuy cay pacha capuywanpis astawan valorniyoj caskanraycu. 
MAT.16.27	Imaraycuchus noka, Diospa cachaska Runan, cutimusaj Dios Tataypa atiyninwan cachamuska angelesninwan cusca. Chaypachataj sapa ujman ruwaskanmanjina kopusaj. 
MAT.16.28	Niyquichej chekamanta noka camachinaypaj jamusaj. Waquin caypi cashajcunamantari mana wañuspa nokata jamushajta ricuwankancu, —nispa nerka Jesús.
MAT.17.1	Sojta p'unchaymantataj Jesuska uj jatun orkoman llojserka. Chaymantaj payka pusaricorka Pedrota, Jacobota, wauken Juantawan paycunallata. 
MAT.17.2	Jesuska paycuna ñaupakencupi wajjina rijch'acuyniyojman cutirparerka. Uyanka paycunaman intijina c'ancharerka. P'achanpis c'anchayjina yuraj yurajman cutirparerka. 
MAT.17.3	Ujllata Moiseswan Eliaswan Jesusta parlanacushaj paycunaman riqhurimorkancu. 
MAT.17.4	Ajinapi Pedro Jesusman nerka:
MAT.17.4	—Señorníy, caypi cacunanchejka sumajmin. Munawaj chayka, caypi quinsa ch'ujllasta ruwasajcu. Ujta kanpaj, ujta Moisespaj, ujtataj Eliaspaj, —nispa.
MAT.17.5	Pedro parlashajtillanraj mana yuyaskamanta uj lliphipej phuyu paycunaman uraycamorka. Chay phuyumantataj Dios Tata parlamushajta uyarerkancu:
MAT.17.5	—Caymin c'ata munaska Wawayka. Paymanta mayta cusicuni. Payta uyariychej, —nispa.
MAT.17.6	Yachacojcunanri chayta uyarispa pampacama c'umuycorkancu Jesusta yupaychanancupaj. Maytataj manchachicorkancu. 
MAT.17.7	Chanta Jesús paycunaman kayllaycuspa allinnincupaj llanqharerka. Nerkataj:
MAT.17.7	—Sayaricuychej. Amaña manchachicuychejchu, —nispa.
MAT.17.8	Paycunataj pataman khawarispa Jesusta sapallantaña ricorkancu.
MAT.17.9	Orkomanta uraycamushajtincu Jesuska paycunata camacherka:
MAT.17.9	—Cay ricuskayquichejtaka ama willanquichejchu, noka, Diospa cachaska Runan, wañuymanta causarimunaycama.
MAT.17.10	Chanta yachacojcunan payta watorkancu:
MAT.17.10	—Yachachejcunanchej nincu manaraj Cristo jamushajtin willaj Eliasraj ñaupajta jamunanta. ¿Imaraycutaj ajinata yachachincurí?
MAT.17.11	Paycunaman cutichispa Jesuska nerka:
MAT.17.11	—Chekata yachachincu Elías ñaupajta jamunanta tucuy imata allinyachinanpaj. 
MAT.17.12	Nokarí niyquichej Eliaska jamuskantaña. Runasri jamuskanta mana repararkancuchu. Astawanpis payta munaynincumanjina ñac'aricherkancu. Ajinallataj paycunaka noka, Diospa cachaska Runanta, munaynincumanjina ñac'arichiwankancu.
MAT.17.13	Chaymanta yachacojcunaka entienderkancu bautizaj Juanmanta chayta parlaskanta.
MAT.17.14	Khepanta ashqha runaswan tincorkancu. Uj runataj Jesusman chimpaycuspa konkoricorka. 
MAT.17.15	Nerkataj:
MAT.17.15	—Señor, wawayta qhuyaripuway ari. Payka t'ucuwan onkoska, anchatataj ñac'arishan. Ashqha cutista ninamanpis yacumanpis urmaycun. 
MAT.17.16	Yachacojcunayquiman payta pusamorkani. Paycunarí mana thañichiyta aterkancuchu.
MAT.17.17	Jesús cuticherka:
MAT.17.17	—¡Ay, Diospi mana jap'icoj, nitaj payta casucoj runas! ¡Mayc'ajcamataj kancunawan casaj! ¡Mayc'ajcamataj kancunata muchuskayquichej! Wawata nokaman pusamuwaychej.
MAT.17.18	Jesustaj chay uj supayta c'amispa wawamanta kharkorka. Wawataj chaymantapacha thañicaporka.
MAT.17.19	Yachacojcunaka Jesús sapallan cashajtin payman kayllaycorkancu. Taporkancutaj:
MAT.17.19	—¿Imaraycutaj chay supayta mana kharkoyta aterkaycuchurí?
MAT.17.20	Jesustaj paycunaman cuticherka:
MAT.17.20	—Kancunaka Diospi ancha pisillata jap'icuskayquichejraycu kharkoyta mana aterkanquichejchu. Chekamanta niyquichej. Uj mostaza mujitujina pisillatapis Diospi jap'icuwajchej chayka, atiwajchej camachiyta cay orkota wajnejman okharicunanta. Orkotaj okhariconka. Diospi chekata jap'icojtiyquichejka tucuy aticonka kancunapaj. 
MAT.17.21	Mana miqhuspa Diosmanta tucuy sonko mañacuyllawan chayjina supayka kharkocun.
MAT.17.22	Yachacojcunan cusca Galilea jallp'api cashajtincu Jesús paycunaman nerka:
MAT.17.22	—Noka, Diospa cachaska Runan, paypa munayninmanjina chejnicoj runasman jaywaycuska casaj. 
MAT.17.23	Paycunari wañuchiwankancu. Quinsa caj p'unchaypitaj causarimusaj, —nispa.
MAT.17.23	Chayta uyarispa yachacojcunan mayta phuticorkancu.
MAT.17.24	Jesús yachacojcunanwan Capernaum llajtaman chayarkancu. Yupaychana-wasipaj kolke jap'ejcuna kayllaycamorkancu Pedrota tapoj:
MAT.17.24	—¿Yachachisojniyquichejka yupaychana-wasipaj kolke konata koncharí?
MAT.17.25	Cuticherkataj:
MAT.17.25	—Arí, kon, —nispa.
MAT.17.25	Chanta Pedro wasiman yaycushajtin Jesuska ñaupajta nerka:
MAT.17.25	—Simón, ¿imaynataj rijch'acusunqui? ¿Picunataj tasa kolketa chayrí impuestota cay pachapi camachejcunaman konancu canman? ¿Llajtancumanta cajcunachu? chayrí ¿waj llajtayojcunachu?
MAT.17.26	Pedrori cuticherka:
MAT.17.26	—Waj llajtayojcuna, —nispa.
MAT.17.26	Jesustaj payman nerka:
MAT.17.26	—Ajinaka llajtayojcunaka mana konancuchu tiyan. 
MAT.17.27	Astawanpis kolke jap'ejcunata ama phiñachinanchejpaj kolketa kosunchej. Kochaman challwata jap'ej riy. Anzuelota yacuman chokaycuy. Ñaupaj caj challwata jap'ispataj yacumanta orkhoy. Chay challwaj siminta quicharispa kolketa tarinqui. Chay kolketa apaspa nokamantawan kanmantawan kolke jap'ejcunaman komuy, —nispa nerka Jesús.
MAT.18.1	Ajinata parlashajtillancu yachacojcunaka Jesusman kayllaycuspa taporkancu:
MAT.18.1	—¿Pitaj aswan curajpaj khawaska cashan Dios tucuyta camachin, chaypi?
MAT.18.2	Jesuska uj wawata wajyaspa chaupincupi sayaycucherka. 
MAT.18.3	Nerkataj:
MAT.18.3	—Chekatapuni niyquichej. Diosman cutirinayquichej tiyan cay wawajinaman tucuspa. Manachayrí Dios camachin, chayman manapuni yaycuyta atinquichejchu. 
MAT.18.4	Chayraycu runaka cay wawajina llamp'u sonkoyojman tucunan tiyan. Ajina llamp'u sonkoyoj cajllata Dios astawan curajpaj khawan pay camachin, chaypi. 
MAT.18.5	Nokapi jap'icuskanraycu cay wawajina llamp'u sonkoyojta “walejta jamunqui”, nejka nokatapis niwan. 
MAT.18.6	‘Pichari nokapi jap'icojcunamanta pisipaj khawaska cajcunata juchaman urmachinman chayka ¡ay phutiy, ari, chay runapajka! Paypajka aswan allin canman wañupunan uj jatun molino rumiwan cuncanpi warqhuycuska. Chaymantataj runas jatun kochapi may uqhuman chincaycuchiska canan. 
MAT.18.7	¡Ay, phutiy ari, cay pacha runaspajka juchaman urmachej imas caskanraycu! Chayjina urmachej imaska cananpuni tiyan. Astawanpis ¡ay, jatun phutiy ari, juchaman urmachej runapajka!
MAT.18.8	‘Maquiyquichus chayrí chaquiyquichus juchaman urmachisunquiman chayka, qhuchurpacuspa wijch'uy. Ñuc'upis chayrí ch'ulla chaquiyojpis wiñay causayniyoj canayqueka aswan allinpuni iscaynin maquisniyoj chayrí iscaynin chaquisniyoj uqhu pacha ninaman wiñaypaj wijch'uska canayquimantaka. 
