MAT.1.1	Yezu Kristə wɔ́ Abəraham ǹdə́ Dəvyidi nɔ̃̌. Nyǐnə ń nàmbala bɛ́ yilə né.
MRK.14.4	Lyì bí byɛ̀bɛ́ bə̀ yʼà jě gàà mɔ́ jàlà lyimə zɛ̃̀ bə̀ nʼê zɔ̀m ǹdə́ dwã bə̀ zhe: “Byè yil ń nə́ ń zhìlì nwə̃̌ y è ye y cɛ̀ èta mɔ́ nánfò? 
MRK.14.5	Bə̀ yʼà wɔ̌ bə̀ yè y kɔn lyɛ̃ dwã zwã̌-àtɔ̀ tum wársɛ, bə mʼe sɛ̃ nə̀mwà nɛ̀.”
MRK.14.5	Sə bə̀ yʼà nʼê zɔ̀m kɛ̃ mɔ́ sõ. 
MRK.14.6	Yezu zɛ̃̀ n wɔ̀ bɛ: “Byè yil á nʼá zhìlì kɛ̃ mɔ́ wu ni? Yẽ̌nə mo. Dɛ̀bɛ́ ń wɛ̀rhɛ́ à yil mó wɔ́ kɔn dɛ̀bɛ́ rə̀ càn. 
MRK.14.7	Nyǐnə nə̀mwà mʼa yə̀ nɛ́ ǹdʼába twéé twéé. Á wɔ̌ á wɛ̀rhɛ́ bɛ cɛ̀nɛ̀ ǹdə á gə́ nʼá yâl nɛ́. Sə è gə wɔ́ àmyɛ́, á tʼá la nɛ nɔ dɛ̃ gakó yé. 
MRK.14.8	Kɛ̃ mɔ́ wɛ̀rhɛ́ kɔn dɛ̀bɛ́ ń wɔ̌, ǹdə́ nwə̃̌ y ń ló à yó mó. Ń dámâ n tɛnɛ à yala nɛ́ lú-bɔ̀l w co yilə. 
MRK.14.9	Zhə̀nà, à nʼâ wə̀l ába: bə̀ gə́ la yò-ècɔ̀nɔ̀ nyí rí bwə̂l mə̀gã̌ mə̀gã̌ gakó, bə̀ mʼa byili kɔn dɛ́ tɛ̀bɛ́ kɛ̃ mɔ́ wɛ̀rhɛ́ mɔ́ myɛ, bə mʼe lyǐrh ń yò.”
MRK.14.10	Rə̀myɛ́ yó, Yezu kwã-lyì bí shí ǹdə́ bə̀lyè y mə̀dù, ń yíl Zhidə Esəkarəyɔtɛ, zhə̀l n wɔ̀ Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé ne, bə̀ ń mà n byili bi bə̀ gə́ mʼa tó né bə zə Yezu. 
MRK.14.11	Bə̀ gə́ cili ń zɔ̀mɛ̀ rɛ́, bə̀ wun yə̀ nyɛ̀n dɛ̃´dɛ̃´, bə zɛ̃̀ bə bwəl mo nyí bə̀ bə̀ mʼa pɔ̃ sə̀byǐ. N zɛ̃̀ n ji kùr ń nə́ ń pyà ń gə́ mà n tó né n myìnì Yezu n pə bə za.
MRK.14.12	Búrú w bə̀ yə̀ sã̀-nə̀byẽ̌ ò wẽ́ ce mó címsí dɛ̃ rɛ́ nã́yéé ré, dɛ̃ rɛ́ tɛ̀bɛ́ bə̀ nʼê gwi pyì-bwâlsɛ́ Pakɛ y címsí jú yil mó yùwə̀, Yezu kwã-lyì bí bwə̀rh mò bə wɔ̀: “Yẽ̀ ǹ nə́ ǹ yâl bə̀ nə́ zhəl nə́ tɛnɛ Pakɛ y címsí kùjú w ní nə́ pɔ̃́?”
MRK.14.13	N zɛ̃̀ n vùr lyì bə̀lyè bə̀ wẽ́ n twĩ̀, n wɔ̀ bɛ: “Zhəlnə cɔ w wa. Á mʼâ nə bal mə̀dù ń zhĩ nɛ̃̌ kɔ̀lɔ́, sʼá tó ń kùrə̀. 
MRK.14.14	Kɛ̀lɛ́ y kɛ̀bɛ́ ń la è wẽ́ zú mú, sʼá wɔ̀ è cə́bal mɔ́ nɛ: ‘Nə́ yó-cə́bal mɔ́ wò bə̀ nə́ bwə̂rh mó bə̀ wɔ́ yẽ̀ jì y ńmyɛ̌ ǹdə́ ń kwã-lyì bí la Pakɛ y címsí ní jú mú ŋwɛ́nɛ́?’ 
MRK.14.15	Sʼá yẽ̌ bə̀ ń mà n byili ába dɛ̃̌-yó jì nánfwɛ̀lɛ̀. Kɔn dɛ̀bɛ́ gakó á zhe rə̀ tum kùjú w tɔnɔ yil mó ŋwɛ́nɛ́ è wẽ́. Wɔ́ gàà á mʼâ tɛnɛ címsí kùjú w ní á pə nə́ba.”
MRK.14.16	Bə zhǐr bə vò cɔ w wa, bə nə kɔn gakó ǹdə Yezu gə́ byili bi ní, bə tɛnɛ Pakɛ y címsí kùjú wə́.
MRK.14.17	Də̀dɛ̀nɛ́ y yi gə́ yúwə́, ńmyɛ̌ ǹdə́ ń kwã-lyì bí shí ǹdə́ bə̀lyè y zɛ̃̀ bə vò. 
MRK.14.18	Bə̀ gə́ tú bə̀ nʼê jí kùjú w yi ní, ń wò bè: “Zhə̀nà, à nʼâ wə̀l ába: ámyɛ̌ mə̀dù la nɛ myìnù n pə bə za. E jà wɔ́ mɔ̀bɔ́ ń nə́ ń tó ne ń jí mú.”
MRK.14.19	Bə̀ gakó wun zhìlì kókó, bə zɛ̃̀ bə̀ nʼê bwə̀rh mò mə̀dù mə̀dù bə̀ zhe: “È wírí è də̀ àmyɛ́ myɛ̌ yé?”
MRK.14.20	N wɔ̀ bɛ: “Wɔ́ ámyɛ̌ shí ǹdə́ bə̀lyè y mə̀dù, mɔ̀bɔ́ ń nə́ ń tó ne ń ce ń jɛ̃̀ y nə̀zhĩ̌ y wẽ́ mó. 
MRK.14.21	Zhə̀nà, Numbyíní Byǐ nə́ ń zhǐr ǹdə Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ gə́ nʼê byili ní ń shò-kwã nɛ́. Sə zwini mʼa zə lò mó mɔ̀bɔ́ ń la mɔ myìnù n pə bə zə mɔ́! Bə̀ gə yʼà yə̀ lò mó ńmyɛ̌ mɔ́ lùl yʼà cɔ̃̀.”
MRK.14.22	Bə̀ gə́ tú bə̀ nʼê jí kùjú w yi ní, Yezu kwè búrú n ce Yi nə̀báná, n kə́ w dwã wa, n pə ń kwã-lyì bí ni n wɔ̀: “Zwẽnə. Tɛ̀bɛ́ wɔ́ àmyɛ́ yala.”
MRK.14.23	N zɛ̃̀ n kwè kâ-zɔ̌m ǹdə́ sɛ̃´ mə̀ wẽ́, n ce Yi nə̀báná, n pə bə̀ gakó ne bə nyɔ̀. 
MRK.14.24	N zɛ̃̀ n wɔ̀ bɛ: “Mɔ̀bɔ́ wɔ́ àmyɛ́ jal, sə mə̀ nʼê byili bə̀ Yi dɔbrɛ́ wɔ́ zhə̀nà. Jal mɔ́ mə̀myɛ́ la tɛ̃´ ló lyì nánzhəzhɔ̌ yilə. 
MRK.14.25	Zhə̀nà, à nʼâ wə̀l ába: à kʼâ tʼâ la sɛ̃´-cǒ byâ nɛ̃̌ nyɔ́ gaga yé, kɔn mʼe yí dɛ̃ rɛ́ tɛ̀bɛ́ à mʼa kʼa nyɔ̀ mə̀ dõ nándùl Yi tənà y wẽ́ mó.”
MRK.14.26	Rə̀myɛ́ kwã nɛ́, bə nún bə cèrhé Yi, bə zɛ̃̀ bə shə́r bə vò Olyivyəəré pyɔ̀ w yó.
MRK.14.27	Yezu wɔ̀ ń kwã-lyì bí ni: “Á gakó mʼâ dùr á yẽ̌ ne. Bə̀ kɛ̃ Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ wẽ́ bə wɔ̀: ‘À mʼa gu vwã̌-ènɔ̀n mɔ́, sə ń pyììsí mʼa làà dwã nɛ.’ ” 
MRK.14.28	Yezu súlí n wɔ̀: “Sə à gə tú à bwìrhì, à mʼa tó yé a vò a dɛ̃̀ ába Gəlile né.”
MRK.14.29	Pyɛɛrɛ zɛ̃̀ n wɔ̀ mɔ̀: “Bá bə̀ gakó gə la dǔr bə yẽ̌ mó myɛ, àmyɛ́ tʼâ la dǔr yé.”
MRK.14.30	Yezu wɔ̀ mɔ̀: “Zhə̀nà, à nʼâ wə̀l mó: zà cəcɛ̃ y cìcì, cə́-bya mʼà la mʼe kúrh twər rə̀lyè, ǹdə́ ǹ wò twər rə̀tɔ̀ bə̀ ǹ yə̀l à pár yé.”
MRK.14.31	Pyɛɛrɛ kwɛrhɛ n mà nyə̀-pɔ̌ dwini shãã ga n wɔ̀: “Bá à gə mʼa tó mó a cì myɛ, à tʼâ la wál bʼà yə̀l ǹ pár gaga yé.” Ń tó-dwã bɛ́ gakó myɛ wɔ̀ èta.
MRK.14.32	Yezu ǹdə́ ń kwã-lyì bí zɛ̃̀ bə vò jàà èdù wẽ́, bə̀ nʼê byẽ̀ jàà y èmyɛ́ bə̀ Zhətəsəməni. N wɔ̀ bɛ: “Jǒmnə nyɔ̀nɔ̀, à la vò a ce Yi.”
MRK.14.33	N zə Pyɛɛrɛ ǹdə́ Zhakɛ ǹdə́ Zhã n mə n zhǐr. Ywẽ zɛ̃̀ rə̀ zhe mo. Ń wu ji kùr ò nʼô zɛ̃̀ dɛ̃´dɛ̃´, 
MRK.14.34	n zɛ̃̀ n wɔ̀ bɛ: “Wu-zhìlù nánfɔ̀lɔ̀ zhe ne, à nʼâ yâl a cì. Mɛ̃na nyɔ̀nɔ̀, sʼá zə á yírhə́.”
MRK.14.35	N twẽ̌ n vò yé né námpɔ́lɛ́, n tu tɛ̃´, ń nə́ ń lwə̀l Yi mùnì ga, ǹdə́ kɔn gə wɔ̌, sə nɔ̀nɔ̀ w kɔ̀bɔ́ bə̀kʼa zə mɔ yé. 
MRK.14.36	Ń yà ń nə́ ń wə̀lə̀: “À Da, ǹ wɔ̌ kɔn gakó. Ce nɔ̀nɔ̀ w kɔ̀bɔ́ vò kwã nɛ́, ò bə̀kʼa yí ni yé. Sə zhə̀n zhə̀nà, è bə̀kʼa yə̀ ǹdə àmyɛ́ gə́ nʼâ yâl nɛ́ yé. È yál ǹdə ǹmyɛ́ gə́ nə́ ǹ yâl nɛ́.”
MRK.14.37	N zɛ̃̀ n kwɛ̃̀ n vò ń kwã-lyì bí bə̀tɔ̀ y sõ, n pwírí bə̀ dɛ̌. N wɔ̀ Pyɛɛrɛ nɛ: “Shəmɔ, ǹ dɛ̌? Ǹ yə̀ ŋwɛ̀nɛ́ ń zə ǹ yírhə́ námpɔ́lɛ́ myɛ cìcì? 
MRK.14.38	Zana á yírhə́, sʼá lwə̀l Yi, mùnì Shətana bə̀kʼa ŋwɛ̀nɛ́ e swèlè ába yé. Numbyíní wu w nʼô yàlá, sə è yala nɛ́ jàn dɛ́ yə̀ yí yé.”
MRK.14.39	N kə́ n vò, n lwə̀l Yi ǹdə ń gə́ yà ń zɔ̀m nɛ́. 
MRK.14.40	N kə́ n kwɛ̃̀ n vò n pwírí ń kwã-lyì bí dɛ̌. Jan dɛ́ yʼà zù bì dɛ̃´dɛ̃´. Bə zɛ̃̀ bə̀ yə̀l bə̀ gə́ mʼa lyár mɔ nɛ́ yé.
MRK.14.41	N kə́ n vò. Ń gə́ ká n bə̀ ń twər rə̀tɔ̀ nyân dɛ́ yó, n wɔ̀ bɛ: “Á gwẽ̌ dɛ̌, á nʼá shìrhə́? Kɔn mâ. Kɔn yú èlâsɛ̃´. Bə̀ la Numbyíní Byǐ zal bə pə lyì byɛ̀bɛ́ bə̀ tʼâ zwẽ Yi nyə́ né ne. 
MRK.14.42	Zɛ̃̀nà dɛ̃̌ nə́ vò. Nyǐ mɔ̀bɔ́ ń la nɛ myìnù mú bwəlse.”
MRK.14.43	Yezu gə́ yà ń gwẽ̌ nə́ ń zɔ̀m yi ní, ń kwã-lyì bí shí ǹdə́ bə̀lyè y mə̀dù já n du, mɔ̀bɔ́ ń yíl Zhidə mó, ńmyɛ̌ ǹdə́ lyì nánjə̀jóló bə̀ yʼà zɔ shìmì, bə pyɛ̀lɛ́ màngwə̂rh bə̀ mʼê bàn Yezu ni. Wɔ́ Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé, ǹdə́ Muyiisi nyə́ né byilnə bé, ǹdə́ náncɛsɛ́ bə̀ yʼà twĩ̀ bì. 
MRK.14.44	Myìnù cə́bal mɔ́ yà ń zɔ̀m n cĩ́ ǹdə́ bɛ n wɔ̀: “Mɔ̀bɔ́ à la yí a kwə̀ə̀lè mó, wɔ́ ńmyɛ̌. Á gə zɔ mɔ, sʼá yìlì mù cɛ̀nɛ̀, ń bə̀ká n vwârh yé.”
MRK.14.45	N já n yí Yezu nyí ni n wɔ̀ mɔ̀: “Yó-cə́bal.” N zɛ̃̀ n kwə̀ə̀lè mò.
MRK.14.46	Lyì-zhâ bɛ́ jʼa yí bə zə Yezu. 
MRK.14.47	Byɛ̀bɛ́ bə̀ yʼà ŋwɛ́nɛ́ gàà mɔ́ mə̀dù já n fwə̂rh shù, n za vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y kɛ̀lɛ́ y tùntùnnə̀ mə̀dù zhɛ̃̌ n pyir.
MRK.14.48	Yezu zɛ̃̀ n wɔ̀ bɛ: “Á zɔ shìmì ǹdə́ màngwə̂rh á mʼá bàn nɛ̀ zal ǹdə ŋwɔ̀l-bal ta? 
MRK.14.49	E jà dɛ̃ gakó, à yʼà tó ába à ŋwɛ́nɛ́ Yi jì y kɔ̀nɔ́ w wa, à nʼâ cèrhè kàrmɔ̀, sə á yə̀ nɛ zal yé. Kɔn mə̂ sə rə tó èta, mùnì kɔn dɛ́ tɛ̀bɛ́ rə̀ kɛ̃ Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ wẽ́ mó pyìrh.”
MRK.14.50	Rə̀myɛ́ yó, ń kwã-lyì bí gakó dùr bə yẽ̌ mo. 
MRK.14.51	Ébɔ́-dâl mə̀dù yà ń pú ń kùrə̀. Ń yà ń dul gàmə̀-lyɔ̀nɔ̀ dúdú. Bə̀ la mɔ zal, 
MRK.14.52	n vwârh n dùr nánlwè n yẽ̌ gàmə̀-lyɔ̀nɔ̀ w nɛ.
MRK.14.53	Bə zə Yezu bə vò Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y sono. Vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó ǹdə́ náncɛsɛ́ ǹdə́ Muyiisi nyə́ né byilnə bé bà, bə jòm dwã yó. 
MRK.14.54	Bə̀ gə́ yʼà zɔ mɔ bə̀ la gàà yi ní, Pyɛɛrɛ yà ń ŋwɛ́nɛ́ kwã nɛ́ kwã nɛ́, n mə n tó n yí n zù vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y sõ kɛ̀lɛ́ wa, n tó Yi jì y yìlnə̀ bé ne ń jě tɛ̃´ ń nə́ ń ywə̀l myǐn.
MRK.14.55	Vwĩ̀-zwə́lnə bé yé né cìnə́ bé ǹdə́ bùr-kárna bɛ́ gùlú w lyì bí gakó yʼà nʼê pyà yò bə̀ la Yezu yó w cṹ, mùnì bə gu mu, sə bə̀ yə̀ nɛ yé. 
MRK.14.56	Lyì nánzhəzhɔ̌ yʼà nʼê gòm kɔma bə̀ ce ń nyí ni, sə bə̀ zɔ̀mà nɛ́ yʼà tʼâ tó dwã yé.
MRK.14.57	Rə̀myɛ́ yó, bə̀ jàlà zɛ̃̀ bə gõ kɔma bə̀ nʼê yâl bə cĩ́ yò ń yó wə, bə wɔ̀: 
MRK.14.58	“Nə́ nyɛ̀ɛ̀ ń nyú wə. Ń wò bə̀ ń mà n wǔr Yi jì y kɛ̀bɛ́ numbyínə́ lù mú, sə dwã nə̀tɔ̀ wẽ́, ń mà n ká n lù è dõ, kɛ̀bɛ́ numbyínə́ jɛ̀rh yə̀ lwì mú.” 
MRK.14.59	Sə ǹdə́ rə̀myɛ́ ga, bə̀ zɔ̀mà nɛ́ yʼà tʼâ tó dwã yé.
MRK.14.60	Rə̀myɛ́ yó, Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y zɛ̃̀ n zhì dɛ̃̌ bə̀ gakó yé né, n bwə̀rh Yezu n wɔ̀: “Ǹ tá ǹ lyár bə̀ kaka? Bə̀kɔ́n yil lyì bí byɛ̀bɛ́ nʼê ce yò ǹ nyí ni?”
MRK.14.61	Sə Yezu shĩ̌ ń nyí, ń yə̀ lyár bə̀ kaka yé. Vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y kə́ n bwə̀rh mò n wɔ̀: “Ǹmyɛ́ ǹ wɔ́ Kristə, Yi rí tɛ̀bɛ́ rə̀ mə̂ ǹdə́ còrhó mó Byǐ mú?”
MRK.14.62	Yezu wɔ̀: “Wɔ́ àmyɛ́, sə á mʼâ nə Numbyíní Byǐ ń jě Yi jàn cə́bal mɔ́ jə̀jĩ́ ni. Á mʼâ nə mɔ myɛ ń wɔ bə́ban wẽ́ ń bànà.”
MRK.14.63	Vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y lyim zɛ̃̀, n kâr ń gàndɛ́ n wɔ̀ bùrsí gùlú w lyì bí ni: “Nə́ kʼé bə zhə̀n-cìnə́ tum zhe kə́dò yé. 
MRK.14.64	Á cìcì nyɛ̀ɛ̀ ń gə́ tùrh Yi ní. Bə̀kɔ́n á nʼá bùlə̀?”
MRK.14.64	Bə̀ gakó tó dwã bə̀ wɔ̀ bə̀ ń mə̂ dwã ǹdə́ gu. 
MRK.14.65	Bə̀ jàlà yʼà nʼê pùrh tə̀tàr ń yó, bə̀ nʼê pyi ń yé y ne bə̀ mà mɔ̀ ǹdə́ jə̀-gúlə́, bə̀ zhe: “Lwar lò mɔ̌ ná-yil ń mà mɔ́!” Yi jì y yìlnə̀ bé myɛ yʼà nʼê mà mɔ̀ jə̀-sə̂rh.
MRK.14.66	Bə̀ gə́ yʼà nʼê bwə̀rh Yezu yi ní, ǹdə́ Pyɛɛrɛ yà ń ŋwɛ́nɛ́ kɛ̀lɛ́ y wu w wẽ́. Kɛ̃-byǐ èdù è wɔ́ Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé gakó náncɛ y tùntùnnə̀, èmyɛ́ mɔ́ zɛ̃̀ e yí, 
MRK.14.67	e nə Pyɛɛrɛ ń jě tɛ̃´ ń nə́ ń ywə̀l myǐn, e nyǐ mu shɛ́shɛ́, e wɔ̀ mɔ̀: “Ǹmyɛ yà ǹ nə́ ǹ tó Nazarɛtɛ lyì bal Yezu mú ni.”
MRK.14.68	Pyɛɛrɛ mà nyə̀-pɔ̌ n wɔ̀: “Àmyɛ́ gaga mɔ́ búl à yə̀l tɛ̀bɛ́ ǹ nə́ ǹ zɔ̀m mɔ́ kùr yé.”
MRK.14.68	N zɛ̃̀ n vò bwə̀r-zɔ́nɔ́ w wa. [Rə̀myɛ́ yó, cə́-bya kúrh.] 
MRK.14.69	Kɛ̃-byǐ y kʼe nə mɔ, e zɛ̃̀ e wɔ̀ lyì bí byɛ̀bɛ́ bə̀ yʼà zhǐ gàà mɔ́ nɛ: “Mɔ̀bɔ́ èta mɔ́ wɔ́ Yezu mú kwã-lò.”
MRK.14.70	Pyɛɛrɛ kə́ n mà nyə̀-pɔ̌.
MRK.14.70	Kɔn yə̀ námpɔ́lɛ́ rə̀myɛ́ kwã nɛ́, byɛ̀bɛ́ bə̀ yʼà zhǐ gàà mɔ́ myɛ wɔ̀ mɔ̀: “Ǹ wɔ́ Gəlile lò zhə̀n zhə̀nà. Sə rə̀myɛ́ nʼê byili bə̀ ǹmyɛ wɔ́ Yezu mú kwã-lò.”
MRK.14.71	Pyɛɛrɛ zɛ̃̀ ń nə́ ń mà nyə̀-pɔ̌ ń mə́ ń dùl Yi ń zhe: “À yə̀l bal mɔ́ mɔ̀bɔ́ á nʼá zɔ̀m ń yò w mó pár yé.”
MRK.14.72	Rə̀myɛ́ yi ní cìcì, cə́-bya kúrh twər rə̀lyè nyân dɛ́. Pyɛɛrɛ zɛ̃̀ n lyǐrh bə̀ Yezu yà ń wò mò: “Cə́-bya mʼà la mʼe kúrh twər rə̀lyè, ǹdə́ ǹ wò twər rə̀tɔ̀ bə̀ ǹ yə̀l à pár yé.” N zɛ̃̀ ń nə́ ń kúrhə́.
MRK.15.1	Cɛ y gə́ tú e lá, Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé, ǹdə́ náncɛsɛ́, ǹdə́ Muyiisi nyə́ né byilnə bé, ǹdə́ bùr-kárna bɛ́ dwã bɛ́ gakó jòm dwã yó, bə ce bə zə Yezu bə lyẽ, bə zə mɔ bə vò e pə Pyəlatɛ nɛ.
MRK.15.2	Pyəlatɛ bwə̀rh mò n wɔ̀: “Wɔ́ ǹmyɛ́ ǹ wɔ́ Zhwifubá pyɔ̌ mɔ́?”
MRK.15.2	Yezu wɔ̀ mɔ̀: “Wɔ́ èta, ǹdə ǹ gə́ wò né.”
MRK.15.3	Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé zɛ̃̀ bə̀ nʼê ce cə̀rh nánzhəzhɔ̌ ń nyí ni.
MRK.15.4	Pyəlatɛ kə́ n bwə̀rh mò n wɔ̀: “Ǹ tá ǹ lyár bə̀ kaka? Ǹ bə cèsé shɛ̀bɛ́ gakó bə̀ nʼê ce ǹ nyí ni mú nyɛ̌ nà?”
MRK.15.5	Sə Yezu kə́ ń yə̀ lyár bə̀ kaka yé. Rə̀myɛ́ jàr Pyəlatɛ dɛ̃´dɛ̃´.
MRK.15.6	Pakɛ címsi gakó, Pyəlatɛ ya n vùr byə̀nə́-jì lò mə̀dù, mɔ̀bɔ́ lyì bí lwə̀l mó. 
MRK.15.7	E jà rə̀myɛ́ yi ní, ǹdə́ lò mə̀dù yà ń ŋwɛ́nɛ́ byə̀nə́-jù w ń yíl Barabaasɛ. Ńmyɛ̌ ǹdə́ ń tó-dwã yʼà ce zɔ̀mà jòm cɔ w wa, sə bə̀ yʼà gu lò. 
MRK.15.8	Lyì-zhâ bɛ́ yí Pyəlatɛ nyí ni, bə lwə̀l mò bə̀ ń wɛ̀rhɛ́ kɔn dɛ́ tɛ̀bɛ́ ń nə́ ń wɛ̀rhɛ́ byin byin gakó mó.
MRK.15.9	Pyəlatɛ wɔ̀ bɛ: “Á nʼá yâl bʼà dwĩ̀ Zhwifubá pyɔ̌ mɔ́ nɛ?”
MRK.15.10	Ń yà ń yě bə̀ wɔ́ bwɛ̃̌-dǔr è ce Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé zə Yezu bə bə̀ ń sono. 
MRK.15.11	Bə cìrh lyì-zhâ bɛ́ bə ce né bə̀ bə̀ lwə̂l Pyəlatɛ nɛ bə̀ ń vǔr Barabaasɛ.
MRK.15.12	Pyəlatɛ kə́ n bwə̀rh bè n wɔ̀: “Sə mɔ̀bɔ́ á nʼá byẽ̀ bə̀ Zhwifubá pyɔ̌ mɔ́, à wɛ̀rhɛ́ mɔ etəra?”
MRK.15.13	Bə kwɛrhɛ bə búbwéé bə wɔ̀: “Ce bə pəpa mɔ də̀-jɔrhɔ́ yó!”
MRK.15.14	Pyəlatɛ kə́ n bwə̀rh bè n wɔ̀: “Bə̀kɔ́n lwɛlɛ ń wɛ̀rhɛ́?”
MRK.15.14	Bə zɛ̃̀ bə búbwéé dɛ̃̌ dɛ̃̌ bə wɔ̀: “Ce bə pəpa mɔ də̀-jɔrhɔ́ yó!”
MRK.15.15	Pyəlatɛ gə́ yà ń nə́ ń yâl n swẽ́ lyì-zhâ bɛ́ wun ni mú ce, n vùr Barabaasɛ, ǹdə bə̀ gə́ lwə̀l mò né, n ce bə mà Yezu ǹdə́ dànə̀shàárɛ, n zɛ̃̀ n pə nyí bə̀ bə̀ zhəl bə pəpa mɔ də̀-jɔrhɔ́ yó.
MRK.15.16	Shə̀dɛ́ɛ́sɛ́ zɛ̃̀ sə zə Yezu sə zù cɔ w cə́bal mɔ́ kɛ̀lɛ́ y wu w wẽ́, sə byẽ̀ sə̀ gùlú w lyì bí púlə́púlə́ bə bə̀ dwã yó. 
MRK.15.17	Bə zù mù kàmə̀-zù-èdɔ̀lɔ̀ nánshɔ̃̀, bə jéé sɔr ǹdə pyɛ̀lɛ̀ yə́-pú ta bə pú ń yó wə, 
MRK.15.18	bə zɛ̃̀ bə̀ zhe: “Nə́ rʼé ce mó Zhwifubá pyɔ̌!”
MRK.15.19	Bə zə eshɔ̀ bə mà mɔ̀, bə pùrh tə̀tàr ń yó, bə̀ nʼê jòm bə̀ nə̀dwə́nə́ yó, bə̀ mʼê wùlì ń yé né. 
MRK.15.20	Bə̀ gə́ fulsi mu èta bə zhɛ̀, bə vùr kàmə̀-zù-shɔ̃̀ w bə̀ yʼà mʼe zù mù mú, bə kʼa zù mù ń gàndɛ́, bə zɛ̃̀ bə zə mɔ bə du sə̀ la vò bə pəpa də̀-jɔrhɔ́ yó.
MRK.15.21	Shərɛnɛ lyì bal mə̀dù ń yíl Shəmɔ ń yà ń shí gɔ, n kwè sɔ́má y èmyɛ́. Wɔ́ ńmyɛ̌ ń lùl Alɛsãdərɛ ǹdə́ Orofyiisi. Bə̀ nyɛ́ɛ́ mɔ jàn n zhĩ Yezu də̀-jɔrhɔ́ wá. 
MRK.15.22	Bə zə Yezu bə vò jàà èdù bə̀ nʼê byẽ̀ bə̀ “Gɔləgɔta”, rə̀ kùr wɔ́: “Yó-kóló jàà”. 
MRK.15.23	Bə zə cə́m bə̀ nʼê byẽ̀ bə̀ myííri bə gùlí sɛ̃´ nɛ bə̀ nʼê pɛ mɔ bə̀ ń zwẽ n nyɔ̀, sə ń yə̀ mɔ zwẽ yé. 
MRK.15.24	Bə zɛ̃̀ bə pəpa mɔ də̀-jɔrhɔ́ w yó, bə kwè ń gàndɛ́ bə tə́ tántɛ́ɛ́ mùnì ga bə lwar lò gakó gə́ mà n jí ní. 
MRK.15.25	È yʼà wɔ́ nəkɔkɔ́lɛ́ ǹdə́ yi rí tú dɛ̃̌.
MRK.15.26	Bə̀ yʼà kɛ̃ bwèlè yó bə wɔ̀: “Zhwifubá pyɔ̌”, bə fwar bwèlè y də̀-jɔrhɔ́ w nɛ, bə mʼe byili ń cu mú kùrə̀. 
MRK.15.27	Bə̀ yʼà súlí bə pəpa vwârhna bə̀lyè də̀-jaárhɛ dwã yó Yezu yala nɛ, mə̀dù ń jə̀jĩ́ ni, mə̀dù ń jə̀gwã̀ nɛ̀. [ 
MRK.15.28	Èta, kɔn dɛ̀bɛ́ Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ byili mú pyìrh. Bə̀ kɛ̃ rə̀ wẽ́ bə wɔ̀: “Bə̀ wɛ̀rhɛ́ mɔ ǹdə lyì-bəlwɛ̀lɛ́ ta.”]
MRK.15.29	Lyì bí byɛ̀bɛ́ bə̀ yʼà nʼê tó gàà bə̀ lyɛ̃ mɔ́ yʼà nʼê zhízhí bə̀ ywẽ́, bə̀ nʼê tùrh mò bə̀ zhe: “Hâyà, ǹmyɛ́ mɔ̀bɔ́ ǹ yà ǹ nə́ ǹ yâl ń wǔr Yi jì y ń ká lù y dwã nə̀tɔ̀ wẽ́ mó, 
MRK.15.30	zwẽ ǹ cìnə̀, ń só də̀-jɔrhɔ́ w yó nə́ nyì!”
MRK.15.31	Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé ǹdə́ Muyiisi nyə́ né byilnə bé myɛ yʼà nʼê mɔ̀n mɔ̀. Bə̀ nʼê zɔ̀m ǹdə́ dwã bə̀ zhe: “Ń zwẽ lyì dwã, n jà ń wàr sə n zwẽ ń cìn yé. 
MRK.15.32	Bə̀ Kristə mó, Esərayɛl lyì pyɔ̌ mɔ́, só tɛ̃´ də̀-jɔrhɔ́ w yó èlâsɛ̃´ nə́ nyì! Nə́ gə nɔ mɔ ń só tɛ̃´, nə́ mʼâ zwẽ nyí.” Byɛ̀bɛ́ bə̀ pəpa də̀-jaárhɛ́ yó ń yala nɛ mɔ́ myɛ yʼà nʼê tùrh mò.
