GEN.1.1	Kì ri cɑ̈gø cøn, Jwøk ɑ́cwɑ̈j-ɑ mɑl kí piny. 
DEU.1.11	Jwøng-ɑ Ácwɑ̈ɑ̈j, ɑ bɑ Jwøøg kweyyi wun, kwɑnni wun ómed yi en ki tyel ɑ́lïp, kɑ kej wun gwøge o dönye ceth, ni kɑ ɑ́kwøbe gøn! 
DEU.1.12	De men-ɑ́ yɑn, yɑ ketɑ, gønyyi wun ólwɑ̈ng yi yɑn kidï ki lidhø? 
DEU.1.13	Kɑ̈bbi wun ki jøg mø wɑ̈thi gen pel, ge ngɑ̈ny kwøb o ge dïdø, nyi kwɑɑny dhɑnhø ɑ́kyel kì wïj kɑl, o ge gwøgɑ gɑ jɑggi wun.’ 
DEU.1.14	Kɑ wu oyïëyø kinni møgɑni døøj. 
DEU.1.15	Codhe, ɑkwɑnyɑ jøg-ɑ wɑ̈thi gen pel, ɑ ngɑ̈ny kwøb, jøg-ɑ ɑ́yieny yi wun, kɑ ge gwøgɑ gɑ jɑggi wun. Kwï gen jɑɑg-ɑ ji ɑ́lïp, møøgø jɑɑg-ɑ ji miyø, møøgø jɑɑg-ɑ pyɑ̈r ɑ́bïj, møøgø jɑɑg-ɑ ji pyɑ̈rø, kɑ yɑ ókɑ̈bbø thyew ki jyɑ̈ggi wɑ̈thi kɑ̈lli wun.
DEU.1.16	“Ge ɑ́köbbɑ kì bøli kenyɑni kinni, ‘Nyi lïngi wun gønyyi jii wun, kɑ kwøbbɑni nyi løøg wun. Nyi løøg wun gøny kidøøj, ying dhɑnhø gönyø kɑ wɑɑd gen, wɑlɑ̀ geki wëdh ɑ gönyø. 
DEU.1.17	Nyi løøgu kwøb yethi wun bong geny, mïdhu ji ge pɑ̈r, cɑgg ge løg møg wɑlɑ̀ møg. Ko di dhɑnhø me böggi yi wun, mɑ́ lögg-ɑ løøg yi wun kɑ̈ɑ̈l-ɑ yï Jwøk. Ke di gøny me teeg, e dhɑl-ɑ wun, muuju en yɑn, óløøg yi yɑn.’ 
DEU.1.18	Wu ɑ́cegɑ thyew kipe gïg-ɑ kyeelø møg-ɑ ɑ́gøggi yi wun.
DEU.1.19	“Aköbbi wɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni i dhwödh wɑ. Kɑ wɑ odhwödhø kì buti Kïti Sinɑy, wɑ bɑ̈ɑ̈n-ɑ ryɑng-ɑ dwøng, ryɑng-ɑ ceg ki böggø, wɑ kedh-ɑ myërri kïtti tyëng Amör. Kɑ wɑ wɑ̈dh-ɑ Kɑdic Berniyɑ̀, 
DEU.1.20+DEU.1.21	ɑköbbɑ wun kinni, ‘Anɑn wu ɑ́wɑ̈nhi myërri kïtti tyëng Amör, piny-ɑ ɑ́mëggi wɑ yi Jwøgee, Jwøng-ɑ Ácwɑ̈ɑ̈j, ɑ bɑ Jwøøg kweyyee. Kedh wun, kwɑny wun en ni kɑ ɑ́kööb Jwøng-ɑ Ácwɑ̈ɑ̈j, wu ko lyebbi wɑlɑ̀ wu ko böggi.’
DEU.1.22	“De yɑ ɑ́köbbi yi wun kinni, ‘Wiy wɑ öd wɑ ki ji møg lyeew pinyɑni møti, o wɑ ónyudhi yi gen ki yuu-ɑ ókɑ̈ɑ̈l yi wɑ, o kɑ̈ddi gen lidh, mɑ bëëd gen kidï.’
DEU.1.23	“Kwøbbɑni ɑ́nënni ge døøj, ɑkɑ̈bbɑ ki jøg-ɑ cwøw pyɑ̈rø wïdɑ́ryew kì wɑ̈thi kɑ̈lli wun bënn, wïj gøl ki dhɑnhø. 
DEU.1.24	Kɑ ge kedh-ɑ myërri kelli kïttì, gïti kɑ ɑ́wɑ̈dhi gen Töör Acköl, kɑ yije yɑb yi gen. 
DEU.1.25	Kɑ ge ódwöögø ge ókɑ̈ddø ki nywøli yenhi pinyɑni, ge okööbø kinni, ‘Piny-ɑ mëggi wɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j, bɑ piny me lɑ̈be med cɑrø.’
DEU.1.27	Wu ɑ́yöd wu ceg-ɑ gøny keti wun kinni ‘Wɑ mɑɑn yi Jwøng-ɑ Ácwɑ̈ɑ̈j! Wɑ ɑ́kɑ̈ɑ̈le wɑ̈g kì Rïp kɑ per kinni, o wɑ cïbe cinggi tyëng Amör, o wɑ nɑ̈g yi gen. 
DEU.1.28	Wɑ kedhi kunɑni kɑ per ngø, e wɑ óböggø?’ Kɑ jøg-ɑ ɑ́ör yi wɑ okööbø kinni i tyëng pönhɑni teg, o ge bɑ̈rrø kibølee, i kɑ̈ddi gen bɑ ɑger ki dör mø wɑ̈dhi mɑl, o tyëng pönhɑni bɑ kwɑrri Anɑk, ge ceg bëëdø gɑ jödd bënn!’
DEU.1.29	“De wu ɑ́köbbɑ kinni, ‘Wu ko böggi yi jiɑni. 
DEU.1.30	Jwøøg wun, Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ cyɑ̈dhi kì bøli wun, ónyïɑ̈ggi kiper wun, ni kɑ ɑ́nyïɑ̈gge kiper wun kì Rïp, kɑ lidh yi wun ki nyingi wun. 
DEU.1.31	 Kɑ lidh yi wun ki kër-ɑ ɑ́kɑ̈lle wun kì yij pɑ̈l, wu kwɑgge’ kwɑggø ni wɑ̈d, gïti kɑ ɑ́wɑ̈nhi wun keny.’ 
DEU.1.32	 De Jwøng-ɑ Ácwɑ̈ɑ̈j nuti gɑ̈nø yi wun, ngö møgɑni ngɑ̈nyi yi wun ge bënn, 
DEU.1.33	e men-ɑ́ en, nyi cyɑ̈dh-ɑ́ɑ̀ bøli wun, o wu yɑ̈bbe ki keny guddi yi wun ki kɑɑl. Nyi cyɑ̈dhi kì bøli wun ɑ́ lööj mɑc kì wɑ̈r, o bɑ lööj pøølø kì dicɑ̈ng e nyodh-ɑ yöö.
DEU.1.35	‘Bong dhɑnhø ɑ́kyel kì kelli wun, wu rïny-ɑ rɑj èn, men-ɑ ókedhi pinyɑni, piny-ɑ lɑ̈be med, piny-ɑ ɑ́kwøbɑ cøn kinni ómëggɑ kweyyi wun. 
DEU.1.36	Dɑ́ Kɑlib wɑ̈d Yepunɑ̀ kete ɑ ókedhi pinyɑni. En ɑ ɑ́mïdhi kwøbbɑ, o piny-ɑ ɑ́lyeewe ómëggɑ en geki wɑ̈dde.’ 
DEU.1.37	O ki gööj wun thyew, Jwøng-ɑ Ácwɑ̈ɑ̈j pyëwe ɑ́rënyi ki yɑn, ɑkööbe kinni, ‘Cɑgg ɑ́ yïn thyew Mosɑ̀, yï pɑ kedhi pinyɑni. 
DEU.1.38	De cïj Jöcwø wɑ̈d Nun, nyel-ɑ nyi køny yïn, bɑ en ɑ ópeej Isrɑil be kwɑnyi pinyɑni.’
DEU.1.39	“Codhe, ɑköbbi wɑ bënn yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, ‘Nyigi wun møg-ɑ nudd ge thønhø, ɑ kwïj gïnrɑj kí gïndøj, gen ɑ ókedhi pinyɑni; gen ɑ nywøl-ɑ ɑ́kwøb yi wun kinni i ge ómɑg yi tyëngmɑ̈ɑ̈nø. Pinyɑni ómëggɑ gen, o ókwɑny yi gen ceth. 
DEU.1.40	De wun, løg wun ri wun, kɑ wu kedhu yij pɑ̈l, wu døøg-ɑ kuni Gøøli Agɑbɑ̀.’
DEU.1.41	“Kɑ wu ólöggø kinni, ‘Mosɑ̀, wø ɑ́røngi kì bøli Jwøng-ɑ Ácwɑ̈ɑ̈j. De ɑnɑn wø kedh-ɑ be nyɑɑg ni kɑ ɑ́kööb Jwøng-ɑ Ácwɑ̈ɑ̈j.’ Akwɑny wun jɑmmi liny, wu orumø kinni i mɑgi myërri kelli kïttì óbëëd e yööd.
DEU.1.42	“De Jwøng-ɑ Ácwɑ̈ɑ̈j yɑ ɑ́köbbe kinni, ‘Kyëddí gen, ge ko kedhi be nyɑɑg, mɑ́ yɑ koo ying me nud kì kelli gen, keløg ge ókedh, ge pɑ tyɑ̈mø.’ 
DEU.1.43	Møg-ɑ ɑ́kwøb yi Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́köbbɑ wun ceth, de wu nuti lïngø. Dhøg Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́pyem wun, kɑ wu kedh-ɑ myërri kelli kïttì wu ótøllø. 
DEU.1.44	Codhe, kɑ tyëng Amör møg-ɑ bëëdø kì kelli kïttɑni wøøw-ɑ kelli wun ni kïc. Kɑ wu cyeddi yi gen, cɑg kì Seir gïti Órmɑ̀, wu pwööd ge’ piny. 
DEU.1.45	Codhe, ɑywøøg wun kö Jwøng-ɑ Ácwɑ̈ɑ̈j, o wu køny yi en, de kwøbbi wun nuti lïngø yi en.
DEU.1.46	“Kɑ wɑ obëëdø kì Kɑdic ki keny me bɑ̈ɑ̈r.
DEU.2.2	“Codhe, ɑköbbi yɑn yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, 
DEU.2.3	‘Wu ɑ́tyëg-ɑ keny me bɑ̈ɑ̈r wu wen-ɑ kït men, løg wun wɑ̈thi wun wɑɑng wuudø. 
DEU.2.4	 Kɑ teedø köbbí kinni, ɑnɑn wu ɑ́cyɑ̈ngi ki kɑ̈li yethi myërri nyiimï wun, wɑ̈ddi Isøø. Ge óbwøg yi wun, 
DEU.2.5	de wu ko nyïɑ̈ggi ki gen, mɑ́ wu pɑ nëngi yi yɑn kì ri piny gen, cɑgg ɑ́ men-ɑ́ keny cïb tyelø yøw. Pinyɑni ɑ́rum ki mëggi kwɑrri Isøø yi yɑn. 
DEU.2.6	Ceg wun ngyew ki gïncɑm geki pï kì yï gen.’
DEU.2.7	“Nyi pɑrru kër-ɑ ɑ́gyëëdh wun yi Jwøng-ɑ Ácwɑ̈ɑ̈j, kì ri gïg-ɑ gøggi yi wun bënn. Wu ɑ́korre kì kɑɑm-ɑ ɑ́wïïn wun kì yij pɑ̈l-ɑ lɑɑj èn. Wu ɑ́konge ki runn pyɑ̈r ɑ́ngwen, kɑ bong-ɑ gïjø mɑ ɑ́jɑ̈ddi wun.
DEU.2.8	“Codhe ɑdhwödh wɑ, wɑ kyëj-ɑ nyiimïee kwɑrri Isøø, wɑ bɑ̈ɑ̈n-ɑ yuu-ɑ kedhi Luuy Omelø, e pödh-ɑ Elɑth geki Edhïön Geber, ɑløg wɑ wɑ̈thee wɑɑng wuudø kì kuni wɑɑng cyɑ̈ɑ̈ng mwøl, wɑ kedh-ɑ Moɑb. 
DEU.2.9	 Kɑ yɑ köbbi yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, ‘Tyëng Moɑb kwɑrri Lot ko nywɑl wun, wɑlɑ̀ wu ko nyïɑ̈ggi ki gen, mɑ́ wu pɑ nëngi yi yɑn kì ri piny gen, ge ɑ́mëggɑ Kɑɑl Aɑr.’ ”
DEU.2.10	(Ádɑ ji mø bɑ jödd mø cwølli gɑ Emïm, ge ɑ́bëëd ɑ Aɑr, ge ɑ́bëëd ge bɑ̈rrø ni kwɑrri Anɑk. 
DEU.2.11	Ge ɑ́cwølli gɑ Repɑim ni kwɑrri Anɑk, de ge nyi cwølli gɑ Emïm yi tyëng Moɑb. 
DEU.2.12	Tyëng Kör ɑ́bëëd ɑ Edöm (Seir) de ge ɑ́cyeddi yi kwɑrri Isøø, kɑ kwɑrri Isøø pëgg-ɑ pinyɑni, ni tyëng Isrɑil kɑ ɑ́lony gen tyëngmɑ̈ɑ̈nø ki cyeddø, kɑ ge pëgg-ɑ piny gen.)
DEU.2.13	“Codhe, ɑbɑ̈ɑ̈n wɑ Dhøg Dhered ni kɑ ɑ́köbbi wɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j. 
DEU.2.14	 Bɑ runn pyɑ̈r ɑ́dɑ̈g wïdɑ́bïdɑ̈g ɑ ɑ́pöödh, kër-ɑ ɑ́dhwödh wɑ kì Kɑdic Berniyɑ̀, gïti kɑ ɑ́bɑ̈ɑ̈n wɑ Dhøg Dhered. Kì bøli kenyɑni rïny-ɑ ɑ́bëëd gɑ jøliny rum thumø ki thøø bënn, ni kɑ ɑ́kööb Jwøng-ɑ Ácwɑ̈ɑ̈j. 
DEU.2.15	Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́bëëd e cɑyy-ɑ gen ceth, gïti kɑ ɑ́tyëge gïn ki nɑ̈gø bënn.
DEU.2.16	“Keny-ɑ ɑ́rum gen ki thøø bënn, 
DEU.2.17	ɑköbbi wɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, 
DEU.2.18	‘Bɑ̈ɑ̈n wun piny Moɑb dicyɑ̈ngtïn wu kɑ̈l-ɑ yuu Aɑr. 
DEU.2.19	 Wu ócyɑ̈ngi ki kwɑrri Amön, ɑ løg Kwɑrri Lot. Ge ko nywɑl wun, wɑlɑ̀ wu ko nyïɑ̈ggi ki gen, kipe wu pɑ nëngi yi yɑn kì ri piny-ɑ ɑ́mëggɑ gen.’ ”
DEU.2.20	(Repɑim, bene nying-ɑ ɑ́bëëd ge nyi cwøl-ɑ tyëng-ɑ ɑ́bëëd kì pinyɑni, o ge cwølli yi tyëng Amön gɑ Dhɑmdhumïm. 
DEU.2.21	Ge ɑ́bëëd ge bɑ̈rrø bënn ni kwɑrri Anɑk. Ge ɑ́bëëd ge gïïr, o ge bɑ jur me teeg cɑrø. De ge ɑ́ryɑ̈g yi Jwøng-ɑ Ácwɑ̈ɑ̈j kipe kinni, o pinyɑni kwɑny yi tyëng Amön, o ge pëggi gen yije. 
DEU.2.22	Gïn ni menɑni ɑ ɑ́gwøg yi Jwøng-ɑ Ácwɑ̈ɑ̈j kipe tyëng Edöm, kwɑrri Isøø ɑ ɑ́bëëd kì Seir; tyëng Kör ɑ́ryɑ̈ge kipe kinni o piny gen kwɑny yi tyëng Edöm, kwɑrri Isøø, o ge pëggi gen yije, ɑ nudd ge bëëd ɑ kenyɑni ɑnɑn. 
DEU.2.23	Piny-ɑ kömi Nɑɑm Omeli Tɑr, ɑ́bëëd-ɑ yi ji mɑ ɑ́kɑ̈ɑ̈l muji Kirit. Kɑ tyëng-ɑ ɑ́ying pinyɑni, ɑ løg tyëng Abɑ̀ nɑ̈g yi gen, ɑkwɑny gen piny gen bëne gïti Gɑdhɑ̀ kì wɑɑng wurlwɑl.)
DEU.2.24	“Kì bɑng kɑ ɑ́rum wɑ ki bɑ̈ɑ̈ni piny Moɑb, ɑköbbi wɑ yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, ‘Anɑn, kedh wun, kɑ Nɑm Arnön bɑ̈ɑ̈n wun. Sïön rɑ̈ɑ̈dh tyëng Amör, ɑ jyɑ̈gø kì Kicbön, cïbɑ’ cinggi wun, geki pinye. Pɑ̈ɑ̈r wun köme, kɑ pinye kwɑny wun. 
DEU.2.25	Cɑg dicyɑ̈ngtïn ceth, dhɑnhø bëne óløgɑ me böggi yi wun. Dhɑnhø bëne dële óceg okïr kenyi lïng gen kinni wu cyɑ̈ngø ki gen.’
DEU.2.26	“Codhe, ɑödɑ ki ji kì Kedemöth, yɑ öd-ɑ yï Rɑ̈dh Sïön kì Kicbön, yɑ kwɑjj-ɑ en kipe mër kinni, 
DEU.2.27	‘Wiy wø kedh wøn wø bɑ̈ɑ̈n-ɑ pinyí. Wø ókedh wø bødh-ɑ yöö ceth. 
DEU.2.28	Wø óceg ngyew ki gïncɑm geki pï kì yï wun. Wø dwɑdd-ɑ bɑ̈ɑ̈ni pinyí kete yøw, 
DEU.2.29	gïti keny-ɑ óbɑ̈ɑ̈n wøn Nɑm Urdun, wø kedh-ɑ piny-ɑ ɑ́mëggi wøn yi Jwøøg wøn, Jwøng-ɑ Ácwɑ̈ɑ̈j. Kwɑrri Isøø møg-ɑ bëëdø kì Edöm, geki tyëng Moɑb møg-ɑ bëëdø kì Aɑr ɑ́rum ki yïëyø, kɑ piny gen bɑ̈ɑ̈n yi wøn.’
DEU.2.30	“De Rɑ̈dh Sïön wɑ ɑ́mɑ̈ɑ̈ne kɑ̈l yij pödhe. Ágöjji tegi wïj geki pëëmø yi Jwøøg wun, Jwøng-ɑ Ácwɑ̈ɑ̈j, kipe kinni, o ótyɑm yi wɑ kɑ pinye kwɑny wɑ, ni kɑ̀ nudd e bëëd-ɑ yi wɑ ɑnɑn.
DEU.2.31	“Codhe, ɑköbbi yɑn yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, ‘Wu ókøny yi yɑn ki tyɑmi Rɑ̈dh Sïön geki pödhe. Dhwödh wun, kedhu be kwɑnyi pinyɑni.’ 
DEU.2.32	Kɑ Sïön bï-ɑ be nyɑɑg ki wɑ geki yɑye bëne, kì buti Yɑɑ̈dh, 
DEU.2.33	de ɑ́cïb cinggee yi Jwøgee, Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ nɑ̈g yi wɑ geki wɑ̈dde kí jøge bënn. 
DEU.2.34	Amɑg wɑ kɑ̈dde bënn, kɑ ge rënyi yi wɑ, kɑ dhɑnhø bëne nɑ̈g wɑ, mɑ̈nn, kí cwøw kí othønhø. Bong dhɑnhø mɑ ɑ́döng e onëënø. 
DEU.2.35	Dhög ɑ́kwɑny yi wɑ, kɑ kɑ̈dd yɑg yi wɑ. 
DEU.2.36	Cɑg kì Aröeer, kì tøg töör Arnön, kí kɑɑl-ɑ dïtörɑni gïti Gilyɑd. Bong kɑɑl dörø mɑ ɑ́döng e nuti cïb cinggee yi Jwøgee, Jwøng-ɑ Ácwɑ̈ɑ̈j. 
DEU.2.37	De wɑ ɑ́cög wɑ nuti kedhi myërri kwɑrri Amön, o wɑ nuti wɑ̈dhi kömi Nɑm Yɑbok, kí myërri kelli kïttì, wɑlɑ̀ wɑ nuti kedhi kɑ̈jj-ɑ ɑ́kyëddi wɑ yi Jwøgee, Jwøng-ɑ Ácwɑ̈ɑ̈j kinni i wɑ ko kedhi yethi gen.
DEU.3.1	“Codhe ɑkedh wɑ, wɑ kedh-ɑ kuni myërri Bɑcɑn, kɑ Rɑ̈dh Og bï-ɑ be nyɑɑg ki wɑ, ki men-ɑ́ yɑye bëne, kì buti Edrey. 
DEU.3.2	De yɑ ɑ́köbbi yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, ‘Yï ko böggi yi en, cïbɑ’ cingí, en kí jøge geki kɑ̈dde bënn. Göggí gïn-ɑ ɑ́göggí Rɑ̈dh Sïön rɑ̈ɑ̈dh tyëng Amör, ɑ ɑ́jyɑ̈ɑ̈g kì Kicbön.’
DEU.3.3	“Codhe, ɑcïb Rɑ̈dh Og kí jøge geki kɑ̈dde cinggee yi Jwøng-ɑ Ácwɑ̈ɑ̈j. Kɑ ge nɑ̈g wɑ bënn. 
DEU.3.4	Kɑ kɑ̈dde bënn yɑg yi wɑ. Bong kɑɑl ɑ́kyel mɑ ɑ́döng e nuti mɑɑg wɑ, wɑ ɑ́mɑg-ɑ kɑ̈dd pyɑ̈r ɑ́bïkyel kì myërri Argöb møg-ɑ ɑ́jɑɑg yi Rɑ̈dh Og, rɑ̈ɑ̈dh Bɑcɑn. 
DEU.3.5	Kɑ̈ddɑni bënn ɑ́bëëd gɑ ɑwen ki dör mø wɑ̈dhi mɑl, dhøggi dörrɑni, dɑ thïg mø bɑ ɑgɑ̈r. O kɑ̈dd-ɑ thønhø ɑ nuti gëddø ki dör pɑ kwɑn. 
DEU.3.6	Kɑ̈ddɑni ɑ́rënyi yi wɑ, kɑ jøg-ɑ cwøw nɑ̈g yi wɑ geki mɑ̈nn kí othønhø, ni men-ɑ ɑ́göggi wɑ kɑ̈ddi Sïön rɑ̈ɑ̈dh Kicbön. 
DEU.3.7	Dhög ɑ́kwɑny yi wɑ, kɑ kɑ̈ddɑni yɑg yi wɑ.
DEU.3.8	“Kì bøli kenyɑni, piny-ɑ løøg Nɑm Urdun kì wɑɑng cyɑ̈ɑ̈ng mwøl, cɑg kì kömi Nɑm Arnön gïti Kïti Kermön ɑ́kwɑny yi wɑ kì yï rɑ̈nhi tyëng Amör ryeet. 
DEU.3.9	(Kïti Kermön cwøl ɑ́ Sïrïön yi tyëng Sïdön, o cwøl ɑ́ Senïr yi tyëng Amör.) 
DEU.3.10	Myërri Og rɑ̈ɑ̈dh Bɑcɑn ɑ́kwɑny yi wɑ, ɑ løg myërr-ɑ kwøømø, kí myërri Gilyɑd, kí Bɑcɑn gïti kɑ̈ddi Cɑlicɑ̀ geki Edrey kì kuni wɑɑng cyɑ̈ɑ̈ng mwøl.”
DEU.3.11	(Rɑ̈dh Og kete ɑ dööngø kì bɑng tyëng Repɑim kɑ ɑ́thumi gen. Sɑrire men-ɑ ógwøgø ɑ́ ngyënyø dødø, bɑ̈re bɑ mïtïr ɑ́ngwen, o lɑ̈je bɑ mïtïr ɑ́ryew, nudd e nud kì Rɑbɑ̀, kɑɑl tyëng Amön.)
DEU.3.12	“Pinyɑni ɑ́mɑg yi wɑ kì bøli kenyɑni, e dhøge cɑ̈g-ɑ́ɑ̀ kɑɑl Aröeer kì kömi Nɑm Arnön, kí budi myërri kïtti Gilyɑd, geki kɑ̈ddi gen bënn, kɑ mëggɑ gøl Ruben geki gøl Gɑd. 
DEU.3.13	Kɑ budi Gøl Mɑnɑsè mëggɑ bun-ɑ ɑ́döng kì ri Gilyɑd, kí Bɑcɑn bëne, piny-ɑ ɑ́jɑɑg yi Og, ɑ løg myërri Argöb bënn.”
DEU.3.13	(Bɑcɑn ɑ́bëëd e cwøl ɑ́ piny Repɑim. 
DEU.3.14	Myërri Argöb bënn, ɑ løg Bɑcɑn gïti keew Gecur geki Mɑɑkɑ̀, ɑ́kwɑny yi Yɑir wɑ̈d Mɑnɑsè. Myërrɑni ɑ́cɑge ki nyinge, ge nudd ge cwølli gɑ myërri Yɑir gïti dicyɑ̈ngtïn.)
DEU.3.15	“Gilyɑd ɑ́mëggɑ gøl Mɑkir wɑ̈d Mɑnɑsè. 
DEU.3.16	Kɑ wïj gøl Ruben geki wïj gøl Gɑd mëggɑ myërr-ɑ cɑ̈gi kì Gilyɑd gïti kömi Nɑm Arnön. Keew gen kì wɑɑng wurlwɑl ying-ɑ dïnɑmɑni. O keew gen kì wɑɑng wuudø bɑ Nɑm Yɑbok, kwëe ɑ bɑ keew Amön. 
DEU.3.17	Keew gen kì wɑɑng cyɑ̈ɑ̈ng böörø, wɑ̈dh-ɑ kömi Nɑm Urdun, o cɑ̈g-ɑ́ɑ̀ Tɑɑy Gɑlelì gïti Luuy Omelø kì wɑɑng wuudø, kɑ gït-ɑ thɑ Kïti Pisgɑ̀ kì wɑɑng cyɑ̈ɑ̈ng mwøl.
DEU.3.19	Mɑ̈nni wun geki othønhø kí dhögi wun bene gen ɑ ódöng kì kɑ̈dd-ɑ ɑ́mëggɑ wun, o ngɑ̈nyi yi yɑn kinni yï wun dɑ dhög mø gïïr. 
DEU.3.20	Køny wun wɑddi wun, tyëng Isrɑil gïti keny-ɑ ócïb gen piny yi Jwøng-ɑ Ácwɑ̈ɑ̈j ni wun kì piny-ɑ ɑ́mëgge gïn, kì løøg Nɑm Urdun kì wɑɑng cyɑ̈ɑ̈ng böörø. O rume cyee, o wu døg wun, ngɑn kedh-ɑ piny-ɑ ɑ́mëggɑ en.’
DEU.3.21	“Codhe, ɑcegɑ Jöcwø kinni, ‘Álidh yi yïn ki wɑngí, eni gïn-ɑ ɑ́göggi Rɑ̈dh Sïön geki Rɑ̈dh Og yi Jwøgí, Jwøng-ɑ Ácwɑ̈ɑ̈j, gïn ni menɑni ɑ ógögge rɑ̈nh-ɑ pinye köme ópɑ̈ɑ̈r yi wun. 
DEU.3.22	Wu ko böggi yi gen, mɑ́ Jwøøg wun, Jwøng-ɑ Ácwɑ̈ɑ̈j, ónyïɑ̈ggø kiper wun.’
DEU.3.24	‘Wuö, Jwøng-ɑ Ácwɑ̈ɑ̈j, ngɑ̈nyi yi yɑn kinni yɑ ɑ́nyudhí’ mø nøg yøw kì ri gïgdøngø møg-ɑ ógwøg yi yïn ki tegí. Bong jwøg megø kì mɑl wɑlɑ̀ kì piny, me cuggi gwøg ki gïg ni møgɑni! 
DEU.3.25	Yïn ɑ Jwøng-ɑ Ácwɑ̈ɑ̈j, wiy yɑ kedhɑ løøg Nɑm Urdun, o piny-ɑ lɑ̈be med kì løøngɑni lidhɑ, piny-ɑ bɑ kwøømø, geki myërri kïtti Lubnɑn.
DEU.3.26	“De Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́bëëd pyëwe dɑ liny ki yɑn, kì bɑng gööj wun. Kɑ yɑ köbbe kinni, ‘Árum, yɑ pɑ dwɑddi lïngø ki møgɑni këti! 
DEU.3.27	Yedhí oledh Kïti Pisgɑ̀, kɑ yï lïïdh wɑɑng wuudø kí wɑɑng wurlwɑl, kɑ yï lïïdh wɑɑng cyɑ̈ɑ̈ng mwøl kí wɑɑng cyɑ̈ɑ̈ng böörø. Gïg-ɑ ólidh yi yïn, ti gen ki nennø kidøøj, mɑ́ yï pɑ pɑ̈nyi kedhi løøg Nɑm Urdun. 
DEU.3.28	Ceg Jöcwø, kɑ cïïj o pyëwe tënge, kipe bɑ en ɑ ópeej ji pinyɑni, o gï mëgge piny-ɑ ɑ́lidh yi yïn.’
DEU.3.29	“Codhe, ɑ pëggi wɑ yij tör-ɑ rwööm ki Betpeor.”
DEU.4.1	Codhe, ɑköbbi teedø yi Mosɑ̀ kinni, “Lïngu cigg-ɑ pwönyɑ wun bënn, o wu ónëën wun, kɑ wu kedh-ɑ yij piny-ɑ mëggi wun yi Jwøøg kweyyi wun, Jwøng-ɑ Ácwɑ̈ɑ̈j. 
DEU.4.2	 Ko di gïn kïdhi yi wun kömi møg-ɑ ɑ́cïgɑ wun, kɑ ko di gïn kɑ̈ɑ̈l yi wun wɑ̈g kì ri gen. Mïdhu ciggi Jwøøg wun Jwøng-ɑ Ácwɑ̈ɑ̈j, cigg-ɑ cïgɑ wun èn. 
DEU.4.3	 Gïn-ɑ ɑ́gwøg yi Jwøng-ɑ Ácwɑ̈ɑ̈j kì Bɑɑl Peor ɑ́lidh yi wun. Tyëng-ɑ ɑ́kwɑjji Bɑɑl ɑ́nɑ̈ge bënn kì kunɑni, 
DEU.4.4	de wun, wu tyëng-ɑ ɑ́mɑ̈gi kì ri Jwøng-ɑ Ácwɑ̈ɑ̈j, wu nudd wu onëënø dicyɑ̈ngtïn.
DEU.4.5	“Wu ɑ́pwönyɑ ki cigg bënn, ni kɑ ɑ́köbbi yɑn yi Jwøgɑ, Jwøng-ɑ Ácwɑ̈ɑ̈j. Mïdhu gen ceth kì piny-ɑ yije kedhi yi wun, ɑ́ men kwɑny yi wun. 
DEU.4.6	Mïdhu ciggɑni, kɑ wu göög wun kì ri gen, o yod yi pödhh-ɑ kyeelø kinni wɑ̈thi wun pel. Keny-ɑ ólïngi gen ciggɑni, ge ókööbø kinni, ‘Á peli wïj geki dïdø me bëëdø kidï, ɑ yï pönh-ɑ dwøng ni men!’
DEU.4.7	“Bong pödhø me nud, cɑgg e dwøng ni ngø, me yïe di jwøg me cyɑ̈gi ki en, kenyi cwøl ge gøn; bong jwøg me pɑ̈ɑ̈r ki Jwøgee, Jwøng-ɑ Ácwɑ̈ɑ̈j, ɑ nyi jwɑn löggø kenyi cwøl wɑ en. 
DEU.4.8	Bong pödhø me nud, cɑgg e di bëëd e dwøng ni ngø, me yïe di cigg mø døøj ni cigg-ɑ ɑ́pwönyɑ wun dicyɑ̈ngtïn. 
DEU.4.9	Bëëd wun nyingi wun yieeb wun! Wɑ̈thi wun ko wëggu wïlø ki gïg-ɑ ɑ́lidh yi wun kí nyingi wun, ki kɑɑm ni kɑɑm-ɑ óbëëd wun kì kömi piny. Köbbi wun nyingi wun geki kwɑrri wun, 
