GEN.1.1	Soo 'udechoo whe'whudit'en whe Yak'usda (Elohim)
GEN.16.14	'Et huwa njan too diz'ai-un 'et 'uwhuhutni Beer-La-Hai-Roi. Whunulh'en Kadesh 'ink'ez Bered bulh whetoh 'uhoont'oh.
GEN.16.15	'Et Hagar duneyaz 'en Abram yughu sulhtsi 'ink'ez Abram duye' yoozi Ishmael yulhni.
GEN.16.16	'Et 'oh whuya whudizulh Abram 'en lhk'udit whunizyat 'on 'at lhk'utat be yus k'ut (86) whe Ishmael yughu yulhtsi.
GEN.17.1	'Et Abram 'en 99 nawhudizut whe, Moodihti (Yahweh) yunalhts'et hainya 'ink'ez 'uyulhni, “Yak'usda 'Uk'enus 'Ultus-un (El Shaddai)
GEN.17.2	'Ink'ez sghuni nyun, si bulh lhadutalneh 'ink'ez 'onus lhane cha tihleh.”
GEN.17.3	'Et Abram yubut nachanitno 'ink'ez Yak'usda (Elohim) 'en yulh yalhduk, njan 'uyulhni,
GEN.17.4	“'Et si whunilh'en, khuni nts'un lhadasla-i 'udun keyoh whut'enne dune lhane 'enne bubá tanleh.
GEN.17.5	'Aw 'on 'un Abram lhunyodutasnelh, nyoozi' Abraham nyo dutanelh, lhelhts'un whut'enne didoh lhane 'enne bubá nyuzusi 'et huwa.
GEN.17.6	Soo ts'ih'un lhane nts'u hakedande nyutiselh, lhelhdoh didohne dune nyutiselh, lerwene 'enne hoonts'i nts'u hahande tileh.
GEN.17.7	'Ink'ez khuni nyun bulh lhadilya-i, 'i 'et duta'alh nts'u haindene 'enne lhan'un te, ilhiz wheni ndi khuni lhadutalneh, Nyak'usda (Elohim) tisleh 'ink'ez nts'u haindene cha.
GEN.17.8	'Ink'ez cha nyun cha 'ink'ez nts'u haindene nk'elh'az, ndi yun nohgha nus'ai, 'awhuz 'et t'enyuzinzun, Canaan yun ts'iyawh nohch'e' oole' 'ilhiz wheni, 'ink'ez buYak'usda tisleh.”
GEN.17.9	'Ink'ez Yak'usda (Elohim) Abraham 'uyulhni, “Nyun ndi khuni nts'un lhadasla-i ootahtun, nts'u haindene tubulh lhan'un te ndi khuni ootahtun.
GEN.17.10	Ndi 'i khuni nts'un lhadasla-i, 'i ootahtun, nyun 'ink'ez si bulh 'ink'ez nts'u haindene nk'elh'azne. Dune ts'oodunne whuzdline nohtoh 'enne ts'iyawh hika dune unli-un hubuhootat'us.
GEN.17.11	Nyun ch'oh cha ooka dune inli-i nyo tit'us, 'et huwa t'entihdzeh ndi khuni lhadilya-i nyun, si bulh.
GEN.17.12	Mbe la lhk'udidzin be yus k'ut suli'-un, 'en cha hitit'us. Duneyaz 'andit whuzdline nyoh whuzdline, k'us sooniya be dune t'enuzuhzun ts'un ohket-un ts'oodun nts'u hainde lhilohne, 'en cha.
GEN.17.13	Mbe la nyoh whuzdline 'ink'ez mbe la sooniya be ohketne, ts'iyawh ka dune unli-un hubotit'us, ndi sghuni nts'un lhadusla-i nus whe lhk'elh'az te 'et ndi 'i gha 'ilhiz wheni be hoodutaht'en.
GEN.17.14	'Ink'ez dune ts'oodun 'aw lhuhuyit'us-un 'en 'udun nehuyolhtelh ndi khuni nts'un lhadasla-i k'eininyuz 'et huwa.”
GEN.17.15	'Et Yak'usda (Elohim) Abraham 'uyulhni, “N'at Sarai dini-un 'et 'etsul 'udonih 'ink'ez Sarah 'i boozi' tileh.
GEN.17.16	'Ink'ez soo hoonzoo-un ooba whutiselh 'ink'ez duneyaz 'en mba nyaz tileh. 'Ink'ez 'en soo hoonzoo-un ooba whutiselh 'ink'ez ndoh hidoh 'enne buloo tileh, 'ink'ez lerwene cha hits'u hatidoh.”
GEN.17.17	'Et Abraham yubut nachanitno 'ink'ez udloh 'ink'ez dudzi yo ts'e 'utni, “Dune 100 be yus k'ut soo toleh ooye' whutaleh? 'Ink'ez Sarah 'en cha 90 be yus k'ut soo tilah ooyaz hole'?”
GEN.17.18	'Ink'ez Abraham Yakusda 'uyulhni, “Ishmael soo nyun ba khuna oole?”
GEN.17.19	'Et Yak'usda (Elohim) 'utni, “'Awundooh Sarah n'at nye' nghu tilhtsi 'ink'ez Isaac dutanelh. Sghuni lhadusla-i 'ilhiz wheni 'en cha oots'un lhadutisleh, mbene la oots'u haindene hukw'elh'az 'enne cha.
GEN.17.20	'Ink'ez Ishmael 'en ghun nyudasts'o. Whunilh'en soo hoonzoo-un oogha whults'ut, 'ink'ez lhane oots'u hainde tileh. Whunizyane 'on 'at nane lerwe ye'ke oots'u hatidoh 'ink'ez 'en didoh-un ncha tíselh.
GEN.17.21	'Et hoonts'i ndi sghuni Isaac ts'un lhadutisleh. Sarah ndo whuya whudizulh nat de, 'et nye' tileh.”
GEN.17.22	'Et yulh yalhduk-un 'etsul 'udija 'ink'ez Yak'usda (Elohim) ndo whenaja.
GEN.17.23	'Et Abraham duye' Ishmael yilhchoot 'ink'ez mbene la yuyoh whuzdline 'ink'ez mbene la sooniya k'elha bubonketne, dune ts'iyawh Abrahm ooyoh dilhts'ine 'et dzin za yuka dune unli-un hubuhuzt'us Yak'usda (Elohim) yulhni hukw'un'a.
GEN.17.24	Abraham 'et 99 be yus k'ut whe yuka dune unli-un huyuzt'us.
GEN.17.25	'Et ooye' Ishmael whunizyat 'on 'at tat be yus k'ut whe ooka dune unli-un huyuzt'us.
GEN.17.26	'Et dzin za Abraham ooye' Ishmael 'en bulh hika dune unline hubuhuzt'us.
GEN.17.27	'Ink'ez mbene la ooyoh dune 'et whut'ine, 'ink'ez sooniya be bubonketne, 'enne cha hika dune unli-un ts'iyawh hubuhuzt'us.
GEN.18.1	'Et Moodihti (Yahweh) 'en Abraham yunalh hainya, njan ndun Mamre, duchun tah terebinth, oak huyulhni, whu'iz whunilghaz whe nimbali dati 'et usda. 
GEN.18.2	Ndo yutan'en 'ink'ez yutilh'en, tane dune yuzih nudilhya whe butilh'en. Nimbali dati ts'e dudilgai 'ink'ez bududilhgai 'ink'ez soo yun ts'e bubut nachaniti.
GEN.18.3	'Ink'ez 'utni, “SMoodih (Adonai) tube sba uszoo whe la 'usinla, 'andit khun te mba 'ut'en-un senghonya' junih.
GEN.18.4	Sla'ineh whe tooyaz ntsool-iyaz whusaooskalh 'ink'ez sih nohke be tunaoohgus, 'ink'ez nyo duchun sa whus'ih 'et sih naoolhyis.
GEN.18.5	'Ink'ez 'et ut'alh-iyaz nohba haóoslelh, 'et sih nohyust'e naóolhyis. 'Et hukw'elh'az sih 'oya lhohdilh. Nts'en'a nohba 'ut'en-un ts'un hahya 'et.” 'Et 'uhuyulhni, “Daja datanelh-un, 'et dineh.”
GEN.18.6	'Et Abraham nimbali t'ah ts'e Sarah yughulgai 'ink'ez 'uyulhni, “Soo 'a tawh 'ultsuk-i lhes, 'i lhadinleh 'ink'ez nilhtlus 'ink'ez ilht'es.”
GEN.18.7	'Et Abraham khuna-i yughulgai 'ink'ez musdoosyaz soo unzoo-i yilhchoot 'ink'ez chilhyaz 'en yutl'ayalhti 'ink'ez soo 'ahoh lhaidutileh ha yilhchoot.
GEN.18.8	'Et butter cha 'ink'ez lilet cha 'ink'ez musdoosyaz lhadutja-i, 'i bubut neininla 'ink'ez buzih usyin whe nahuyit'al.
GEN.18.9	'Et 'uyulhni, “N'at Sarah nts'e 'ut'en?” 'Ink'ez 'utni, “Nyo nimbali t'ah usda.”
GEN.18.10	'Ink'ez 'uyulhni, “Soo 'alha-i be ndo whuya whudizulh-un 'ink'ez 'et Sarah n'at dune ooyaz tileh.” 'Ink'ez Sarah nimbali dati usyin 'ink'ez yoozilhts'ai.
GEN.18.11	'Andit 'et Abraham 'ink'ez Sarah 'en tube hoonyan huzdli'. Yoo'un hizulh 'ink'ez Sarah en buzkeh whutaleh 'et tube 'on 'un hainzut.
GEN.18.12	'Et huwa Sarah duyo ts'e udloh 'ink'ez 'utni, “Nisjan hukw'elh'az 'ink'ez smoodih cha nisjan, 'et de sba hoonzoo whutaleh?”
GEN.18.13	'Ink'ez Moodihti (Yahweh) Abraham 'uyulhni, “Di ha 'utni Sarah udloh, 'ink'ez 'utni, 'alha eh syaz whutaleh tube nisjan hoonts'i?’
GEN.18.14	'Aw hoonli hoonts'i eh Moodihti (Yahweh) 'aw ooba hoolhtus eh? Ndet la 'et newhudizut-un 'et la nohghu naoosja' 'ink'ez Sarah dune ooyaz tileh.”
GEN.18.15	'Et Sarah 'awundooh ni, “'Aw lhuzusdloh,” whenuljut. 'Ink'ez Moodihti (Yahweh) 'uyulhni, “'Awundooh, indloh inle'!”
GEN.18.16	'Et dune dunahudidil 'ink'ez Sodom keyoh ts'e whuz hunilh'en, 'ink'ez Abraham 'on 'un bubulh nunatit'us ha bubulh tiz'az.
GEN.18.17	'Ink'ez Moodihti (Yahweh) 'utni, “Abraham ooch'a whuntis'ih eh datisnelh-un?
GEN.18.18	Alha Abraham 'en didoh-un ncha 'ink'ez tube ulhtus tileh. 'Ink'ez 'en gha ts'iyawh didohne 'enne soo hoonzoo-un bugha hóotalts'ulh.
GEN.18.19	T'eniszin duduzkeh buk'unuhilhye', yoh whut'ine cha buk'elh'az Moodihti (Yahweh) ookw'un'a huhoontun za' hint'oh ts'ih'un ne'hut'en, 'et de la Moodihti (Yahweh) Abraham daja yulhni-un 'et yugha whutalelh.”
GEN.18.20	'Ink'ez Moodihti (Yahweh) 'utni, “Sodom 'ink'ez Gomorrah bulh tube huwu yaduk hooni, hiye tank'us-i tube ntsi'.
GEN.18.21	Whuz buts'un tisyalh 'andit 'ink'ez whuntis'elh daja hutni la sdabe cha hintsi'. 'Alha tila 'uhutni khuni sghu dinkat, 'et 'awundooh de la, 'et t'eoonooszeh.”
GEN.18.22	'Et nyoonne dune lht'anahunist'az 'ink'ez Sodom ts'e hutiz'az, 'et Abraham 'awhuz Moodihti (Yahweh) yubut usyin.
GEN.18.23	'Ink'ez Abraham yenghun neninya 'ink'ez 'uyulhni, “'Et whe eh ndunne ts'ih'un dune hinli 'ink'ez lubeshi 'uhulh'en bulh ts'iyawh gak butilhtselh?
GEN.18.24	Khun te kwulat whunizyane (50) dune, 'enne ts'ih'un dune hinli njan keyoh whutoh 'et. 'Et cha eh ts'iyawh gak butalhtselh 'ink'ez buyun k'ut 'et cha eh gak whutalhtselh? Kwulat whunizyane 'et hudilhts'i hoonts'i?
GEN.18.25	Tube 'aw ndoneh ait'oh dune nzoone 'ink'ez ntsi'ne tubulh gak butalhtselh huba, ts'iyawh lhgha 'uhoot'e'! 'Aw ndi yun k'ut huwun nahiyilh-un, 'en ts'iyawh iloh lakw ts'ih'un un'a 'uhutit'elh?”
GEN.18.26	'Et whe Moodihti (Yahweh) 'utni, “Sodom kwulat whunizyane ts'ih'un 'unt'ohne keyoh hoonli de, 'et de 'aw dalhubutuzislel.”
GEN.18.27	'Et Abraham 'uyulhni, “Si 'ants'i yun lhez usli whe 'ust'oh, 'et hoonts'i Moodihti (Adonai) bulh yatisduk.
GEN.18.28	'Et te kwulai' hukw'elh'ih whe whunizyane 'on 'at kwulane (50) ts'ih'un dune hooni te, 'et whe eh ts'ayawh gak whutalhts'elh ts'uwhut'i whucho 'et?” 'Et 'utni, “Dit whunizyai 'on 'at kwulane (45) nabinla te, 'aw ts'iyawh huboolhts'elh ait'oh.”
GEN.18.29	'Et doo cha za yulh yatilhduk 'ink'ez 'utni, “Dit whunizyane nabinla de?” 'Et 'utni, “'Enne bugha daboosleh ait'oh.”
GEN.18.30	'Ink'ez 'utni, “Moodihti (Adonai) khun te hunolch'eh junih, 'ink'ez yatisduk. Tat whunizyane 'enne ts'ih'un 'unt'ohne nainlane, 'et do'?” 'Et 'uyulhni, “'Et de 'aw gak lhubutuzissel tat whunizyane 'enne bugha.”
GEN.18.31	'Et 'uyulhni, “'Ants'i sich'oh khanaoonust'ai whe 'udusni, Moodihti (Adonai) bulh yasduk, nat whunizyane 'enne nabinlane ts'ih'un 'unt'ohne?” 'Et 'utni, “'Et 'aw gak hubooselh ait'oh ndunne nat whunizyane 'enne bugha.”
GEN.18.32	'Et 'utni, “Khun te Moodihti (Adonai) hunolch'eh junih 'ink'ez doo cha za yatisduk. Whunizyane nainla de 'et do'?” 'Et Moodihti (Yahweh) 'utni, “Whunizyane nasla de, 'enne bugha 'aw dalhubutuzislel.”
GEN.18.33	'Et Moodihti (Yahweh) Abraham yalhduk-un 'etsul 'udija whe 'et 'awet yughu whenaja 'ink'ez Abraham dunimbali bez whenaja.
GEN.19.1	'Et hulhgha nyoonne lizas nane Sodom ts'e hooz'az. Lot Sodom dati-un 'et usda, Lot hubutilh'en dudinya 'ink'ez bubut nachaniti.
GEN.19.2	'Ink'ez 'utni, “Njan whunulh'en smoodihne nohba 'ut'en-un ooyoh ts'e uh'us 'ink'ez 'ulhdzis 'et oohtez sih 'ink'ez nohke tunaoohgus 'ink'ez bundada' 'uda' cho duduh'az 'ink'ez sih tooh'as.” 'Et 'uhuyulhni, “'Awundooh 'et hoonts'i 'andit 'ulhdzis 'et 'az uztitez.”
GEN.19.3	'Et tube cho 'ubulhni, 'et huwa hiyoh highu danin'az 'ink'ez hiyu'alh-i bugha nin'ai ut'alh-i bulh yuntuldoh-i yit 'ink'ez 'i cha buba' yinla 'ink'ez 'uhan'al.
GEN.19.4	'Et yun nehutilgwulh whuts'o nyo keyoh whudune'ne ts'iyawh dunetine cha 'ink'ez chilke cha ts'iyawh nyo yoh whunahusguz.
GEN.19.5	'Ink'ez Lot hits'uhuyih 'ink'ez 'uhuyulhni, “Nyoonne dune 'andit nghu danin'azne nts'e 'uhint'oh ndiz t'ebunilhtih 'et 'ink'ez sih t'ebuznoozeh.”
GEN.19.6	'Et Lot dati buts'u teninya yoh dana'dintan.
GEN.19.7	'Ink'ez 'utni, “'Awundooh sulhtsinke, tube hoontsi' 'et dohneh junih!
GEN.19.8	Whunulh'en 'andit nane stse'ke 'aw dune t'enuszunne ust'i, 'enne nohghu tebostelh 'ink'ez nts'e hukwa' nuhzun k'un'a ne'boolh'en sih. 'Ants'i ndunne dune 'enne buts'ahalhuzoh'ai, njan 'et huwa 'andit syoh dahunin'az whe' hint'oh.”
GEN.19.9	'Et 'uhutni, “'Udun sinyin!” 'Et 'uhutni, “Ndun 'andit 'ants'iya whusainya 'ink'ez 'ants'i nahiyilh-un le' 'utni sih! Nyun 'onus nts'itilelh k'at ndune dune lhabuzdinla de!” 'Ink'ez Lot tube cho n'un hinilht'i 'ankw'us dati dahidanyuz.
GEN.19.10	'Et hoonts'i nyoonne dune nane 'az tehudilne 'ink'ez Lot danahinilhtsus 'ink'ez dana'hudintan.
GEN.19.11	'Ink'ez nyoonne 'az dati higha nane ts'iyawh huhoos̱'en hubuhulhtsi nchane 'ink'ez ntsoolne tubulh, nyoo dati nahuyotan ait'oh k'et nehunintsai.
GEN.19.12	'Ink'ez nyoonne dune Lot 'uhuyulhni, 'Aw eh 'uyoonne cha njan hooloh? Nghundan, nye'ke, ntse'ke 'ink'ez mbe njan keyoh dilhts'i ts'iyawh whusabinle!”
GEN.19.13	Sdabe cha 'uwhudija njan keyoh hoontsi' huwuyaduk, 'et huwa njan gak ts'otilhtselh. Moodihti (Yahweh) whunilh'en whe, 'en Moodihti (Yahweh) 'en ndiz netilh'a' njan gak ts'otilhtselh ha.”
GEN.19.14	'Et Lot teninya 'ink'ez dughundankene ootse'ke ghu dilhts'ine, 'ink'ez 'ubulhni, “Duduhdilh, njan whuch'asuhdilh! Moodihti (Yahweh) njan keyoh gak whutilhtselh!” 'Et ooghundankene 'enne buba 'ants'i la 'utni huninzun.
GEN.19.15	Bundada' yulhkai whe nyoonne lizasne Lot huyulhni, “Soo 'a! Dudinyaih 'ink'ez n'at cha, ntse' nane cha, njan nzih 'unt'ohne, doo ka sih njan nohbulh whudok'un 'ink'ez dzoh notizut!”
GEN.19.16	'Et sa' ne'ut'en 'et nyoonne dune hila ilhchoot, oo'at cha hila ilhchoot, 'ink'ez ootse'ke nane 'enne cha bula ilhchoot, Moodihti (Yahweh) bugha te'ninzun whe, 'ink'ez teboninla keyoh yoo'az ts'e.
GEN.19.17	'Et 'uhooja ts'iyawh teboninla hiyulhni, “Soo 'a tulhghas 'ududoolhyih sih! Khun te k'oh naitoht'en junih, k'us njan 'et te dolhts'i' junih, dzulh k'uz ts'e uhdulh doo ka sih gak oohle'!”
GEN.19.18	'Et Lot 'ubulhni, “Sla'uhneh whe, 'awundooh smoodihne!
GEN.19.19	'Andit nohba 'ut'en-un nohba unzoo be te'nuhzun-i be 'onus whusunilhtan be khusna-i ba sulhyi', 'et hoonts'i 'aw ndo dzulh k'uz toosya' ait'oh doo ka si hoontsi' sulh 'uhoneh 'ink'ez la daoosah.
GEN.19.20	'Andit whunulh'en njan keyoh whuyaz 'et nilhdukw whe' hoont'oh, whuz toosya', 'et de la szul khoona'.”
GEN.19.21	'Ink'ez 'et 'uyulhni, “Whunilh'en tube nla 'usja whe' hoont'oh nja keyoh whuyaz 'aw gak hooselh ait'oh huwu yailhduk-un.
GEN.19.22	Soo 'a 'ududilyih! 'Aw hoonli 'oosneh ait'oh ndet la keyoh ninya whuts'un.” 'Et huwa nyo keyoh Zoar huwhutni.
GEN.19.23	'Awet sa hain'ai 'et Lot Zoar ts'e oozya.
GEN.19.24	''Et Moodihti (Yahweh) tse dunizk'un-i 'ink'ez kwun tubulh 'i Sodom 'ink'ez Gomorrah bulh nayalhtan ndo yak'uz whuts'un, Moodihti (Yahweh) 'en 'uhoonla. 
GEN.19.25	'Et whuz un'a nyo keyoh gak whulhtsi, whunat cha 'et whut'ine cha, yun hanuyeh-i cha.
GEN.19.26	'Et hoonts'i Lot oo'at k'oh whunalh'en whe lisel tse nain'a-i suli'.
GEN.19.27	'Ink'ez Abraham bundada' 'uda' 'et nyo whutsoda' Moodihti (Yahweh) yubut inyin-un, whuz oozya.
GEN.19.28	'Ink'ez Sodom 'ink'ez Gomorrah whulh yun tubulh nyo whulut yun cha oolut 'ants'i dizk'un-i cho le'hoont'oh whe ndo whein'a.
GEN.19.29	'Et 'uhooja Yak'usda (Elohim) nyo keyoh gak whulhtsi hukw'elh'az 'et Yak'usda (Elohim) Abraham nalnih 'ink'ez Lot nyo hoot'e'-un keyoh gak whulhtsi 'uch'anayulh'a 'ink'ez 'uts'un whe yalh'a'.
GEN.19.30	'Et Lot Zoar whuch'a nasja 'ink'ez dzulh toh ts'e nenina, ootse'ke nane cha huyulh 'ut'en. Zoar whutit'elh-un whenuljut, 'ink'ez dutse' bulh nyo tse 'an 'et huwhuti.
GEN.19.31	'Et 'udetso whuzdli-un 'en dulhtus 'uyulhni, “Ndun nebá tube duneti unli 'ink'ez 'aw ndi yun k'ut dune hooloh suli' bubulh 'uts'oot'en-un hooloh, ndi yun huk'une'whuten.
GEN.19.32	'Anih nebá ts'ekoo too' buts'oolhnai' 'ink'ez sih oozih ts'ootez, 'et de la nets'u haindene hoole'.”
GEN.19.33	'Et 'ulhdzis dubá ts'ekoo too' higha nilhdzo 'ink'ez 'udetso whuzdli-un 'en dubá yuchant'elget 'aw t'eoonuszun ndet yuchant'elget, 'ink'ez dunadija-un cha t'eoonuszun.
GEN.19.34	Et 'uhooja 'om bun 'udetso 'udek'oh 'uyulhni, “'Alha sbá 'ulhdzis da' oobulh huste' inle'. Hulhgha doo cha za ts'ekoo too' buts'oolhnai' 'ink'ez nyun bulh hont'e. 'Et de la nets'u haindene hoole'.”
GEN.19.35	'Et 'ulhdzis dubá doo cha za ts'ekoo too' higha nilhdzo 'ink'ez 'udek'oh-un 'en dubá yuchant'inte', 'aw t'eoonuszun ndet yuchant'elget 'ink'ez dunadija-un cha.
GEN.19.36	'Et whe Lot ootse'ke nahult'oh dubá higholchan.
GEN.19.37	'Udechoo whuzdli-un ooyaz dune suli', ink'ez boozi' Moab yulhni. 'En Moab dunene didohne, 'enne 'andit dzin whuts'un bubá unli.
GEN.19.38	'Ink'ez 'udek'oh-un 'en cha dune ooyaz suli' 'ink'ez boozi' Ben-Ammi yulhni. 'Enne Ammon dunene bubá unli 'andit dzin whuts'un.
GEN.20.1	'Ink'ez Abraham 'et whedinya whe nyan wheinya, Kadesh 'ink'ez Shur bulh 'et whulh eguz 'et hoot'e', ink'ez Gerar howhutni whuz cha whuloh te whut'i.
GEN.20.2	'Et Abraham nyoon Sarah du'at, 'en 'ubulhni, “Sulhtus 'unt'oh.” 'Ink'ez Abimelech, Gerar whulerwe, 'en Sarah yilhchoot.
GEN.20.3	'Et hoonts'i Yak'usda (Elohim) Abimelech 'ulhdzis nute whe yughu ninya 'ink'ez 'uyulhni, “A, dune dazsai-un inli whe 'int'oh ndun ts'eke ilhchoot-un uyoon dune 'at 'unt'oh.”
GEN.20.4	'Et hoonts'i Abimelech 'aw yuzih nulhiyal 'ink'ez 'uyulhni, “Moodihti (Adonai) dune ts'ih'un 'unt'ohne didohne ts'iyawh eh butanghan?
GEN.20.5	'Aw lakw sulhdinel, ‘Sulhtus 'unt'oh sulhdinel? 'Ink'ez didutch'oh cha 'utni, ‘Sulhutsin 'unt'oh,’ ni. Sdzi ts'ih'un 'unt'oh 'ink'ez sla cha 'aw lhditsun whe njan 'et dusja.”
GEN.20.6	'Ink'ez Yak'usda (Elohim) 'uyulhni nute whe, “A, t'eoonuszun ndzi ts'ih'un 'unt'oh whe 'inja 'ink'ez si cha ninta' tant'elh-un whuch'a nyostun whe 'ust'oh 'et huwa 'aw ootalhanal.
GEN.20.7	'Andit 'et huwa ndun ts'eke ootl'a nayilhtih, nus hoo'en-un dune 'unt'oh, 'ink'ez si mba tenadoodli 'ink'ez khona'. 'Aw ootl'analhuyilhtel de, 'alha dantantsah whe 'int'oh 'ink'ez mbene la nch'e' unline 'enne cha ts'iyawh.”
GEN.20.8	'Et 'om bun Abimelech 'uda' dudinya 'ink'ez mbene la yuba 'ut'enne ts'iyawh 'anih budani' 'ink'ez ts'iyawh daja ni la ts'iyawh bubudani', 'ink'ez dune ts'iyawh hunilhjoot.
GEN.20.9	'Ink'ez Abimelech, Abraham 'anih yudani' 'ink'ez 'uyulhni, “Dane inla whe 'int'oh? Ndet whe tank'us 'unyusla ha lhe'hoont'oh-un sk'ehoon'ai 'ink'ez njan whulerwe usli-un cha 'ut'en untsi'-i cha? 'Aw ndusonle' huba' lhe'hoot'oh whuz un'a 'usinla.”
GEN.20.10	'Et Abimelech 'en Abraham 'uyulhni, “Daja ninzun whe 'inja 'et dinja yulhni?”
GEN.20.11	'Ink'ez Abraham 'utni, “Dune Yak'usda (Elohim) ehunuljut-un njan keyoh 'aw hooloh nuszun, 'et huwa 'usja 'ink'ez s'at en gha tila sozoolhghelh nuszun.
GEN.20.12	'Et hoonts'i 'alha sulhtus 'unt'oh. Sbá ootse' unt'oh, 'aw sloo ooyaz iloh unt'oh 'ink'ez s'at suli'.
GEN.20.13	'Ink'ez 'et 'uhooja Yak'usda (Elohim) sbá ooyoh huwutisya whe 'et ndun ts'eke dusni, ‘Njan whe inzoo whe 'et ts'iyants'uk sba 'et doneh ntsoh te nit'as te, sulhutsin 'unt'oh doni'.”’
GEN.20.14	'Et Abimelech 'usbai 'ink'ez musdoos dune cha, ts'eke 'ink'ez dune bulh, yunatne' 'ut'enne 'enne cha, ts'iyawh Abraham gha buninla, 'ink'ez yu'at cha yutl'anayalhti.
GEN.20.15	'Ink'ez Abimelech 'utni, “Whunilh'en ndi syun njan mbut whuz'ai, ndet hukwa' ninzun-un, 'et hoont'i.”
GEN.20.16	'Ink'ez Sarah 'en cha 'uyulhni, “Whunilh'en nyulhutsin 1000 silver nukat-i 'i cha oogha inusla. 'I gha mbene la nyulh 'ut'enne cha 'ink'ez 'uyoonne nalh cha, 'awet ts'ih'un mba nawhúsdli' whe' hoont'oh!” 'Et whe hukwa' yudani'.
GEN.20.17	'Et Abraham Yak'usda (Elohim) ts'un tenadidli 'ink'ez Yak'usda (Elohim) Abimelech soo na'yinla, yu'at cha 'ink'ez ts'ekoo yunat ne'ut'enne cha, 'ink'ez bubuzke' whuzdli'.
GEN.20.18	'Et whe Moodihti (Yahweh) ndunne Abimelech ooyoh dilhtsine ts'ekoo ts'iyawh buchan whudana'dinla, ndun Sarah 'en gha.
GEN.21.1	'Ink'ez Moodihti (Yahweh) 'en Sarah yughu ninya 'et whe ndutínelh ni da', 'ink'ez Moodihti (Yahweh) 'en Sarah ba nduja, nts'e datni 'et.
GEN.21.2	Sarah 'en ba Abraham ba ooye' tit'elh 'en duneyaz tileh. Hoonyan whe 'et ndet Yak'usda (Elohim) yuba yulhni-un 'et nduhooja.
GEN.21.3	'Ink'ez Abraham ndun ts'oodun yughu yulhtsi-un, duneyaz, Sarah yulhtsi, Isaac yulhni.
GEN.21.4	'Ink'ez Abraham duye' Isaac hukwa dune unli-un yuzt'us lhk'udit dzin be, be inle' whe daja ni la Yak'usda (Elohim) ndoneh yulhni 'et nduja.
GEN.21.5	'Et Abraham whunizyat whunizyat be yus k'ut (100) whe 'et Isaac yughu yulhtsi.
GEN.21.6	'Ink'ez Sarah 'utni, “Yak'usda (Elohim) usdlo-un sgha oonin'ai. Mbene la sudits'one ts'iyawh la sulh hoodloh.”
GEN.21.7	'Ink'ez cha 'utni, “Mbe suba Abraham yudoni' Sarah ts'oodun e'tilhtuk hidoni', duneti unli, 'et whe dune ooyaz ba 'ust'i suli'.”
GEN.21.8	'Et ts'oodun nuye 'ink'ez 'ulhtuk-un 'etsul 'uja 'et dzin 'et Abraham dune ghu nusuya.
GEN.21.9	'Et Sarah yunilh'en nyoon ts'eke Egypt whut'en ooye' 'unt'oh, Abraham dune ghu yulhtsi-un, yughudloh.
GEN.21.10	'Et huwa Abraham 'uyulhni, “Ndun ts'ekoo 'ulhna 'ink'ez buyaz bulh tenabuninyoot. Ndun 'ulhna buyaz 'en 'aw syaz Isaac ts'iyai nk'elh'az yolhchoot ait'oh”
GEN.21.11	'Ink'ez daja 'utni whe, 'et Abraham ooba nek'e'hoot'oh nyoon ooye' 'en ghun.
GEN.21.12	'Et hoonts'i Yak'usda (Elohim) 'en Abraham 'uyulhni, “Khun te mba dzoh 'uhoot'e' junih, ndun ts'eke k'us duyaz bulh 'en bughun, Sarah daja nyulhni la oozilhts'ai, Isaac 'en la toh ts'e dune whutaleh 'en, nyun nts'u haindene uhutit'elh.
GEN.21.13	'Et hoonts'i ndun ts'eke 'ulhna ooyaz, 'en gha didoh-un tiselh, nts'u hainzut 'et huwa.”
GEN.21.14	'Et Abraham bundada' 'uda' dudinya 'ink'ez ut'alh-i 'ink'ez too cha, duwus k'eyinla 'ink'ez duye', Hagar ooyaz 'en yugha ininla, 'ink'ez whenayalh'a'. 'Ink'ez whenaja ts'eke, Beersheba chunt'oh, dune lhuhóot'ih, 'oh nuya.
GEN.21.15	'Ink'ez nyoo too cha haidalhde, 'ink'ez nyoon duyaz dune 'ilhoghun duchun sa whus'ih-un 'et neinilhti.
GEN.21.16	'Ink'ez yanch'az ts'ihyan natl'adida', k'aza be 'uhututsoh-un 'et 'uwhuldzoh, 'ink'ez didutch'oh 'ududutni, “Ndun syaz datitsah-un 'aw lhozoos'en.” 'Ink'ez yanch'az netladida' 'ink'ez whenintse.
GEN.21.17	'Et Yak'usda (Elohim) ndun ts'oodun utso yuduzts'ai. 'Et whe Yak'usda (Elohim) oolizas 'en Hagar yuts'un huyih yak'uz ts'un, 'ink'ez 'uyulhni, “Hagar, dainja whe 'udini? 'Aw whenilhjut iloh! Yak'usda (Elohim) ndun duneyaz yudants'o whe 'unt'oh.
GEN.21.18	Dudinyaih 'ink'ez ts'oodun dudilhtih, 'ink'ez oola oontun, tube dune oots'u hatidoh whutiselh.”
