GEN.1.4	Dieu vit que la lumière était bonne, et Dieu sépara la lumière et les ténèbres. 
1KI.9.12	Hiram sortit de Tyr, pour voir les villes que lui donnait Salomon : elles ne lui plurent pas. 
1KI.9.13	Il dit : Quelles sont ces villes que tu m’as données là, mon frère ? Et il les appela pays de Kaboul ; c’est ainsi qu’on les appelle jusqu’à ce jour. 
1KI.9.14	Hiram avait envoyé au roi cent vingt talents d’or.
1KI.9.16	Le pharaon, le roi d’Egypte, s’était mis en campagne pour prendre Guézer ; il y avait mis le feu et il avait tué les Cananéens qui habitaient la ville. Puis il l’avait donnée pour dot à sa fille, femme de Salomon. 
1KI.9.17	Salomon bâtit Guézer, Beth-Horôn-le-Bas, 
1KI.9.18	Baalath et Tamar au désert dans le pays, 
1KI.9.19	toutes les villes-entrepôts qui appartenaient à Salomon, les villes pour les chars, les villes pour les attelages, et tout ce que Salomon avait eu envie de bâtir à Jérusalem, au Liban et dans tout le pays qu’il dirigeait. 
1KI.9.20	Tout le peuple qui était resté des Amorites, des Hittites, des Perizzites, des Hivvites et des Jébusites, ceux qui n’étaient pas des Israélites, 
1KI.9.21	leurs fils qui étaient restés après eux dans le pays, ceux que les Israélites n’avaient pu frapper d’anathème, Salomon les astreignit à une corvée d’esclaves – jusqu’à ce jour. 
1KI.9.22	Mais Salomon n’imposa l’esclavage à personne parmi les Israélites, car ils étaient des hommes de guerre, ses fonctionnaires, ses chefs, ses écuyers, les chefs des équipages de ses chars. 
1KI.9.23	Les chefs des préfets qui étaient intendants des travaux de Salomon étaient au nombre de cinq cent cinquante ; ils exerçaient leur autorité sur le peuple qui faisait les travaux.
1KI.9.27	Hiram envoya sur ces bateaux, avec les hommes de Salomon, ses propres hommes, des matelots qui connaissaient la mer. 
1KI.9.28	Ils arrivèrent à Ophir et ils y prirent de l’or, quatre cent vingt talents, qu’ils apportèrent au roi Salomon.
1KI.10.2	Elle arriva à Jérusalem avec une suite très importante, des chameaux portant des essences odoriférantes, de l’or en très grande quantité et des pierres précieuses. Elle vint trouver Salomon et lui dit tout ce qu’elle avait dans le cœur. 
1KI.10.3	Salomon lui expliqua tout ce qu’elle demandait ; il n’y avait rien de caché que le roi ne pût lui expliquer.
1KI.10.4	La reine de Saba vit toute la sagesse de Salomon, la maison qu’il avait bâtie, 
1KI.10.5	les mets de sa table, l’habitation des gens de sa cour, la fonction de ses auxiliaires et leurs vêtements, ses échansons, et les holocaustes qu’il offrait dans la maison du S
1KI.10.6	Elle dit alors au roi : C’était donc vrai, ce que j’ai appris dans mon pays au sujet de tes paroles et de ta sagesse ! 
1KI.10.7	Je n’y croyais pas avant d’être venue et de l’avoir vu de mes yeux. Et on ne m’en avait pas dit la moitié ! Tu as plus de sagesse et de prospérité que ta réputation ne me l’avait laissé entendre. 
1KI.10.8	Heureux tes hommes, heureux tes gens qui se tiennent constamment à ton service et qui entendent ta sagesse ! 
1KI.10.9	Béni soit le S
1KI.10.10	Elle donna au roi cent vingt talents d’or, une très grande quantité d’essences odoriférantes et des pierres précieuses. Il n’arriva plus autant d’essences odoriférantes que celles que la reine de Saba donna au roi Salomon.
1KI.10.12	Le roi fit avec le bois de santal une balustrade pour la maison du S
1KI.10.15	outre ce qui provenait des prospecteurs et du commerce des marchands, ainsi que de tous les rois des populations mêlées et des gouverneurs du pays.
1KI.10.17	et trois cents petits boucliers d’or battu, pour chacun desquels il employa trois mines d’or ; le roi les mit dans la maison-de-la-forêt-du-Liban. 
1KI.10.18	Le roi fit un grand trône d’ivoire et le couvrit d’or fin. 
1KI.10.19	Ce trône avait six marches, et la partie supérieure en était arrondie par-derrière ; il y avait des bras de chaque côté du siège, deux lions debout à côté des bras, 
1KI.10.20	et douze lions debout sur les six marches de part et d’autre. Il ne s’est rien fait de pareil pour aucun royaume. 
1KI.10.21	Tout le service à boissons du roi Salomon était d’or, et toute la vaisselle de la maison-de-la-forêt-du-Liban était d’or fin. Rien n’était d’argent : on n’en faisait aucun cas aux jours de Salomon. 
1KI.10.22	Car le roi avait en mer des bateaux de Tarsis avec les bateaux de Hiram ; tous les trois ans arrivaient les bateaux de Tarsis, apportant de l’or et de l’argent, de l’ivoire, des singes et des paons.
1KI.10.24	Toute la terre recherchait Salomon pour entendre la sagesse que Dieu avait mise dans son cœur. 
1KI.10.25	Chacun apportait son présent, des objets d’argent et des objets d’or, des vêtements, des armes, des essences odoriférantes, des chevaux et des mulets. Il en était ainsi chaque année.
1KI.10.27	Le roi rendit l’argent aussi commun à Jérusalem que les pierres ; il rendit les cèdres aussi nombreux que les sycomores qui sont dans le Bas-Pays. 
1KI.10.28	On amenait les chevaux pour Salomon d’Egypte et de Qevé. Les marchands du roi allaient les acheter à Qevé : 
1KI.10.29	un char montait d’Egypte pour six cents sicles d’argent, et un cheval pour cent cinquante sicles. Ils en amenaient aussi avec eux pour tous les rois des Hittites et pour les rois d’Aram.
1KI.11.2	venant des nations au sujet desquelles le S
1KI.11.3	Il eut sept cents princesses pour femmes et trois cents concubines ; et ses femmes inclinèrent son cœur. 
1KI.11.4	Au temps de la vieillesse de Salomon, ses femmes inclinèrent son cœur vers d’autres dieux ; son cœur ne fut pas tout entier avec le S
1KI.11.5	Salomon suivit Astarté, la déesse des Sidoniens, et Milkom, l’horreur des Ammonites. 
1KI.11.6	Salomon fit ce qui déplaisait au S
1KI.11.7	Alors Salomon bâtit dans la montagne qui est en face de Jérusalem un haut lieu pour Kemosh, l’horreur de Moab, et pour Molek, l’horreur des Ammonites. 
1KI.11.8	Il agissait ainsi pour toutes ses femmes étrangères qui offraient de l’encens et des sacrifices à leurs dieux.
1KI.11.10	Il lui avait ordonné, à ce sujet, de ne pas suivre d’autres dieux ; mais Salomon n’observa pas ce que le S
1KI.11.11	Alors le S
1KI.11.12	Seulement, je ne le ferai pas pendant ta vie, à cause de David, ton père : c’est de la main de ton fils que je l’arracherai. 
1KI.11.13	Je n’arracherai cependant pas tout le royaume ; je laisserai une tribu à ton fils, à cause de David, mon serviteur, et à cause de Jérusalem que j’ai choisie.
1KI.11.15	Au temps où David était en Edom, Joab, le chef de l’armée, qui était monté ensevelir les morts, tua tous les mâles qui étaient en Edom. 
1KI.11.16	Joab y resta six mois avec tout Israël, jusqu’à ce qu’il eût retranché tous les mâles d’Edom. 
1KI.11.17	C’est alors que Hadad s’enfuit avec des serviteurs édomites de son père pour se rendre en Egypte. Hadad était encore un jeune garçon. 
1KI.11.18	Partis de Madiân, ils allèrent à Parân, prirent avec eux des hommes de Parân et arrivèrent en Egypte auprès du pharaon, le roi d’Egypte, qui lui donna une maison, lui assura sa nourriture et lui donna une terre. 
1KI.11.19	Hadad trouva grâce aux yeux du pharaon, à tel point que le pharaon lui donna pour femme la sœur de sa femme, la sœur de Tahpenès, la grande dame. 
1KI.11.20	La sœur de Tahpenès lui donna un fils, Guenoubath. Tahpenès le sevra dans la maison du pharaon ; Guenoubath resta dans la maison du pharaon, au milieu des fils du pharaon. 
1KI.11.21	Hadad apprit en Egypte que David s’était couché avec ses pères et que Joab, le chef de l’armée, était mort. Hadad dit au pharaon : Laisse-moi partir dans mon pays. 
1KI.11.22	Le pharaon lui dit : Que te manque-t-il auprès de moi, pour que tu désires aller dans ton pays ? Il répondit : Rien, mais laisse-moi quand même partir.
1KI.11.24	Il avait rassemblé des hommes auprès de lui ; il était devenu chef d’une troupe armée – lorsque David les massacrait. Ils allèrent à Damas, y restèrent et régnèrent à Damas. 
1KI.11.25	Il fut un adversaire d’Israël pendant tous les jours de Salomon – en plus du mal que faisait Hadad. Il prit Israël en horreur. Il régna sur Aram.
1KI.11.27	Voici dans quelles circonstances il leva la main contre le roi : Salomon bâtissait le Millo et fermait la brèche de la Ville de David, son père. 
1KI.11.28	Jéroboam était un homme fort et vaillant ; Salomon, ayant vu ce jeune homme à l’œuvre, le nomma responsable du travail obligatoire pour toute la maison de Joseph. 
1KI.11.29	En ce temps-là, Jéroboam sortit de Jérusalem et trouva en chemin Ahiya de Silo, le prophète, qui était couvert d’un manteau neuf. Ils étaient seuls tous les deux dans la campagne. 
1KI.11.30	Ahiya prit le manteau neuf qu’il avait sur lui, le déchira en douze morceaux 
1KI.11.31	et dit à Jéroboam : Prends dix morceaux ! Car ainsi parle le S
1KI.11.32	Cependant, une seule tribu lui restera, à cause de David, mon serviteur, et à cause de Jérusalem, la ville que j’ai choisie parmi toutes les tribus d’Israël ; 
1KI.11.33	et cela, parce qu’ils m’ont abandonné et se sont prosternés devant Astarté, déesse des Sidoniens, devant Kemosh, dieu de Moab, et devant Milkom, dieu des Ammonites, et parce qu’ils n’ont pas suivi mes voies pour faire ce qui me convient et pour observer mes prescriptions et mes règles, comme David, son père. 
1KI.11.34	Je ne lui prendrai pas tout le royaume ; je le maintiendrai comme prince tous les jours de sa vie, à cause de David, mon serviteur, que j’ai choisi, et qui a observé mes commandements et mes prescriptions. 
1KI.11.35	Mais je prendrai le royaume à son fils et je t’en donnerai dix tribus. 
1KI.11.36	Je donnerai une tribu à son fils, afin que David, mon serviteur, ait toujours une lampe devant moi à Jérusalem, la ville que j’ai choisie pour y placer mon nom. 
1KI.11.37	Je te prendrai, et tu régneras sur tout ce que tu désires, tu seras roi sur Israël. 
1KI.11.38	Si tu écoutes tout ce que je t’ordonne, si tu suis mes voies et si tu fais ce qui me convient, en observant mes prescriptions et mes commandements, comme l’a fait David, mon serviteur, je serai avec toi, je bâtirai pour toi une maison stable, comme j’en ai bâti une pour David, et je te donnerai Israël. 
1KI.11.39	J’affligerai la descendance de David à cause de cela, mais ce ne sera pas pour toujours.
1KI.11.42	Le temps du règne de Salomon à Jérusalem sur tout Israël fut de quarante ans. 
1KI.11.43	Salomon se coucha avec ses pères et fut enseveli dans la Ville de David, son père. Roboam, son fils, devint roi à sa place.
1KI.12.2	Lorsque Jéroboam, fils de Nebath, l’apprit, il était encore en Egypte, où il s’était enfui pour échapper au roi Salomon – Jéroboam habitait en Egypte. 
1KI.12.3	On le fit appeler. Alors Jéroboam et toute l’assemblée d’Israël arrivèrent et dirent à Roboam : 
1KI.12.4	Ton père a rendu notre joug bien dur ; toi, maintenant, allège le dur esclavage que ton père nous a imposé et le joug pesant qu’il a mis sur nous, et nous te servirons. 
1KI.12.5	Il leur dit : Allez, et revenez me voir dans trois jours. Le peuple s’en alla.
1KI.12.7	Ils lui dirent : Si aujourd’hui tu te fais le serviteur de ce peuple, si tu te mets à leur service, si tu leur réponds bien, ils seront pour toujours tes serviteurs. 
1KI.12.8	Mais Roboam ne tint pas compte du conseil que lui donnaient les anciens ; il prit conseil des jeunes gens qui avaient grandi avec lui et qui se tenaient à son service. 
1KI.12.9	Il leur dit : Que conseillez-vous de répondre à ce peuple qui me tient ce langage : « Allège le joug que ton père a mis sur nous. » 
1KI.12.10	Les jeunes gens qui avaient grandi avec lui lui dirent : Tu parleras ainsi à ce peuple qui t’a tenu ce langage :
1KI.12.10	« Ton père a rendu notre joug pesant ;
1KI.12.10	toi, allège-le-nous ! »
1KI.12.10	Tu leur parleras ainsi :
1KI.12.10	« Mon petit doigt est plus gros que les reins de mon père.
1KI.12.11	Moi, j’alourdirai encore votre joug !
1KI.12.11	Mon père vous a corrigés avec des fouets ?
1KI.12.11	Moi, je vous corrigerai avec des “scorpions” ! »
1KI.12.13	Le roi répondit avec dureté au peuple. Il ne tint pas compte du conseil que lui avaient donné les anciens, 
1KI.12.14	et il leur parla ainsi, d’après le conseil des jeunes gens :
1KI.12.14	Mon père a rendu votre joug pesant ?
1KI.12.14	Moi, j’alourdirai encore votre joug !
1KI.12.14	Mon père vous a corrigés avec des fouets ?
1KI.12.14	Moi, je vous corrigerai avec des « scorpions » !
1KI.12.16	Quelle part avons-nous avec David ?
1KI.12.16	Nous n’avons pas de patrimoine avec le fils de Jessé !
1KI.12.16	A tes tentes, Israël !
1KI.12.16	Maintenant, regarde ta maison, David !
1KI.12.16	Et Israël s’en alla à ses tentes.
1KI.12.19	C’est ainsi qu’Israël s’est révolté contre la maison de David, jusqu’à ce jour.
1KI.12.22	Mais la parole de Dieu parvint à Shemaya, l’homme de Dieu : 
1KI.12.23	Dis à Roboam, fils de Salomon, roi de Juda, et à toute la maison de Juda et de Benjamin, ainsi qu’au reste du peuple : 
1KI.12.24	Ainsi parle le S
1KI.12.26	Jéroboam se dit : Maintenant le royaume pourrait bien revenir à la maison de David, 
1KI.12.27	si ce peuple monte à Jérusalem pour faire des sacrifices dans la maison du S
1KI.12.28	Après avoir pris conseil, le roi fit deux taurillons d’or et dit au peuple : Vous êtes assez montés à Jérusalem ! Voici tes dieux, Israël, ceux qui t’ont fait monter d’Egypte ! 
1KI.12.29	Il en plaça un à Beth-El et il mit l’autre à Dan. 
1KI.12.30	Ce fut là un péché. Le peuple alla devant l’un d’eux jusqu’à Dan. 
1KI.12.31	Jéroboam fit une maison de haut lieu et nomma prêtre n’importe qui, même ceux qui n’étaient pas des fils de Lévi.
1KI.12.33	Il monta à l’autel qu’il avait fait à Beth-El, le quinzième jour du huitième mois, mois qu’il avait choisi de sa propre initiative. Il fit une fête pour les Israélites et monta à l’autel pour offrir de l’encens.
1KI.13.2	Il cria contre l’autel, par la parole du S
1KI.13.3	Ce même jour, il donna un présage, en disant : Tel est le présage indiquant que c’est le S
1KI.13.5	L’autel se fendit, et les cendres grasses qui étaient dessus se répandirent, selon le présage qu’avait donné l’homme de Dieu, par la parole du S
1KI.13.6	Le roi dit à l’homme de Dieu : Apaise donc le S
1KI.13.7	Le roi dit à l’homme de Dieu : Entre avec moi dans la maison pour te restaurer, et je te donnerai un cadeau. 
1KI.13.8	L’homme de Dieu dit au roi : Quand tu me donnerais la moitié de ta maison, je n’entrerais pas chez toi. Je ne mangerai rien, je ne boirai rien en ce lieu, 
1KI.13.9	car cet ordre m’a été donné, par la parole du S
1KI.13.10	Il s’en alla par un autre chemin, il ne prit pas à son retour le chemin par lequel il était venu à Beth-El.
1KI.13.12	Leur père leur dit : Par quel chemin s’en est-il allé ? Ses fils avaient vu par quel chemin s’en était allé l’homme de Dieu qui était venu de Juda. 
1KI.13.13	Alors il dit à ses fils : Sellez-moi l’âne. Ils lui sellèrent l’âne, et il monta dessus. 
1KI.13.14	Il suivit l’homme de Dieu et le trouva assis sous un térébinthe. Il lui dit : Est-ce toi, l’homme de Dieu qui est venu de Juda ? Il répondit : C’est moi ! 
1KI.13.15	Alors il lui dit : Viens manger avec moi à la maison. 
1KI.13.16	Mais il répondit : Je ne peux ni revenir avec toi, ni entrer chez toi. Je ne mangerai rien, je ne boirai rien avec toi en ce lieu ; 
1KI.13.17	car il m’a été dit, par la parole du S
1KI.13.18	Il lui dit alors : Moi aussi, je suis prophète comme toi ; c’est un messager qui m’a dit, par la parole du S
1KI.13.19	L’homme de Dieu revint avec lui pour manger et boire.
1KI.13.21	et il cria vers l’homme de Dieu qui était venu de Juda : Ainsi parle le S
1KI.13.22	parce que tu es revenu et que tu as mangé et bu au lieu dont il t’avait dit : « Tu n’y mangeras rien, tu n’y boiras rien », ton cadavre n’entrera pas dans le tombeau de tes pères.
1KI.13.23	Après qu’il eut mangé et bu, il sella l’âne pour le prophète qu’il avait ramené, 
1KI.13.24	et celui-ci s’en alla ; en chemin, il rencontra un lion, qui le tua. Son cadavre fut jeté sur le chemin : l’âne se tenait à côté de lui, et le lion aussi se tenait à côté du cadavre. 
1KI.13.25	Des passants virent le cadavre jeté sur le chemin et le lion se tenant à côté du cadavre ; ils en parlèrent à leur arrivée dans la ville où habitait le vieux prophète. 
1KI.13.26	Quand le prophète qui l’avait ramené du chemin l’apprit, il dit : C’est l’homme de Dieu qui a été rebelle aux ordres du S
1KI.13.27	Puis il dit à ses fils : Sellez-moi l’âne. Ils le sellèrent. 
1KI.13.28	Il partit et trouva le cadavre jeté sur le chemin, ainsi que l’âne et le lion qui se tenaient à côté du cadavre. Le lion n’avait pas dévoré le cadavre et n’avait pas broyé les os de l’âne. 
1KI.13.29	Le prophète souleva le cadavre de l’homme de Dieu, le déposa sur l’âne et le ramena. Le vieux prophète rentra dans la ville pour se lamenter et l’ensevelir. 
1KI.13.30	Il déposa son cadavre dans son tombeau, et on fit sur lui la lamentation « Quel malheur, mon frère ! ». 
1KI.13.31	Après l’avoir enseveli, il dit à ses fils : Quand je serai mort, vous m’ensevelirez dans le tombeau où est enseveli l’homme de Dieu ; déposez mes ossements à côté de ses ossements. 
1KI.13.32	Car elle se réalisera, la parole qu’il a criée, par la parole du S
1KI.13.34	C’est là le péché de la maison de Jéroboam ; c’est pour cela qu’elle a été détruite et qu’elle a disparu de la terre.
1KI.14.1	En ce temps-là, Abiya, fils de Jéroboam, tomba malade. 
1KI.14.2	Jéroboam dit à sa femme : Déguise-toi, je te prie, pour qu’on ne sache pas que tu es la femme de Jéroboam. Tu iras à Silo. Il y a là-bas Ahiya, le prophète ; c’est lui qui a dit de moi que je deviendrais roi de ce peuple. 
1KI.14.3	Prends avec toi dix pains, des gâteaux et un pot de miel, entre chez lui : il t’annoncera ce qui arrivera au garçon. 
1KI.14.4	La femme de Jéroboam fit ainsi : elle alla à Silo et entra chez Ahiya. Ahiya ne pouvait plus voir, car il avait les yeux fixes par suite de la vieillesse. 
1KI.14.5	Le S
1KI.14.6	Lorsque Ahiya entendit le bruit de ses pas, au moment où elle franchissait la porte, il dit : Entre, femme de Jéroboam ! Pourquoi te fais-tu donc passer pour une autre ? C’est avec un message dur que je suis envoyé vers toi. 
1KI.14.7	Va dire à Jéroboam : Ainsi parle le S
1KI.14.8	j’ai arraché le royaume à la maison de David et je te l’ai donné. Mais tu n’as pas été comme David, mon serviteur, qui a observé mes commandements et qui m’a suivi de tout son cœur, pour ne faire que ce qui me convenait. 
1KI.14.9	Tu as agi plus mal que tous ceux qui ont été avant toi, tu m’as contrarié en allant te faire d’autres dieux et des idoles de métal fondu, et tu m’as rejeté derrière ton dos ! 
1KI.14.10	C’est pourquoi je fais venir un malheur sur la maison de Jéroboam ; je retrancherai de chez Jéroboam tout mâle, l’esclave comme l’homme libre en Israël, et je balaierai la maison de Jéroboam comme on balaie les ordures, jusqu’à ce qu’elle ait disparu. 
1KI.14.11	Celui de la famille de Jéroboam qui mourra dans la ville sera dévoré par les chiens, et celui qui mourra dans la campagne sera dévoré par les oiseaux du ciel – c’est le S
1KI.14.12	Et toi, rentre chez toi. Dès que tu mettras les pieds dans la ville, l’enfant mourra. 
1KI.14.13	Tout Israël se lamentera sur lui et l’ensevelira : c’est le seul de la famille de Jéroboam qui sera mis dans un tombeau, parce que c’est le seul de la maison de Jéroboam en qui se trouve quelque chose de bon devant le S
1KI.14.14	Le S
1KI.14.15	Le S
1KI.14.16	Il livrera Israël à cause des péchés que Jéroboam a commis et qu’il a fait commettre à Israël.
1KI.14.18	On l’ensevelit, et tout Israël se lamenta sur lui, selon la parole que le S
1KI.14.20	La durée du règne de Jéroboam fut de vingt-deux ans. Il se coucha avec ses pères, et Nadab, son fils, devint roi à sa place.
1KI.14.23	Ils se bâtirent, eux aussi, des hauts lieux avec des pierres levées et des poteaux cultuels (des ashéras) sur toute colline élevée et sous tout arbre verdoyant. 
1KI.14.24	Il y eut même des prostitués sacrés dans le pays. Ils imitèrent toutes les abominations des nations que le S
1KI.14.26	Il prit les trésors de la maison du S
1KI.14.27	Le roi Roboam fit à leur place des boucliers de bronze et les confia aux chefs des gardes du corps, qui gardaient l’entrée de la maison du roi. 
1KI.14.28	Toutes les fois que le roi allait à la maison du S
1KI.15.2	Il régna trois ans à Jérusalem. Le nom de sa mère était Maaka, fille d’Abishalom. 
1KI.15.3	Il se livra à tous les péchés que son père avait commis avant lui ; son cœur ne fut pas tout entier avec le S
1KI.15.4	Mais à cause de David, le S
1KI.15.5	Car David avait fait ce qui convenait au S
1KI.15.6	Il y eut guerre entre Roboam et Jéroboam, tous les jours de sa vie.
1KI.15.8	Abiyam se coucha avec ses pères, et on l’ensevelit dans la Ville de David. Asa, son fils, devint roi à sa place.
1KI.15.10	Il régna quarante et un ans à Jérusalem. Le nom de sa mère était Maaka, fille d’Abishalom. 
1KI.15.11	Asa fit ce qui convenait au S
1KI.15.12	Il fit disparaître du pays les prostitués sacrés, et il supprima toutes les idoles que ses pères avaient faites.
1KI.15.14	Mais les hauts lieux ne disparurent pas, quoique le cœur d’Asa fût tout entier avec le S
1KI.15.15	Il apporta à la maison du S
1KI.15.17	Basha, roi d’Israël, partit à l’attaque de Juda. Il bâtit Rama, pour barrer la route à Asa, roi de Juda. 
1KI.15.18	Asa prit tout l’argent et tout l’or qui étaient restés dans les trésors de la maison du S
1KI.15.19	Il y a alliance entre moi et toi, entre mon père et ton père. Je t’envoie de l’argent et de l’or en présent. Va, romps ton alliance avec Basha, roi d’Israël, afin qu’il s’éloigne de moi. 
1KI.15.20	Ben-Hadad écouta le roi Asa ; il envoya les chefs de ses soldats contre les villes d’Israël et mit à mal Iyôn, Dan, Abel-Beth-Maaka, tout Kinroth, en plus de tout le pays de Nephtali. 
1KI.15.21	Lorsque Basha l’apprit, il cessa de bâtir Rama et resta à Tirtsa. 
1KI.15.22	Alors le roi Asa fit appel à tout Juda, sans exempter personne, afin d’emporter les pierres et le bois que Basha employait pour bâtir Rama ; et le roi Asa s’en servit pour bâtir Guéba de Benjamin et le Mitspa.
1KI.15.24	Asa se coucha avec ses pères et il fut enseveli avec ses pères dans la Ville de David, son père. Josaphat, son fils, devint roi à sa place.
1KI.15.26	Il fit ce qui déplaisait au S
1KI.15.27	Basha, fils d’Ahiya, de la maison d’Issacar, conspira contre lui, et Basha l’abattit à Guibbetôn, qui appartenait aux Philistins, pendant que Nadab et tout Israël assiégeaient Guibbetôn. 
1KI.15.28	Basha le mit à mort la troisième année d’Asa, roi de Juda, et il devint roi à sa place. 
1KI.15.29	Lorsqu’il fut roi, il abattit toute la maison de Jéroboam : il ne laissa aucun être vivant à Jéroboam ; il le fit disparaître, selon la parole que le S
1KI.15.30	à cause des péchés que Jéroboam avait commis et qu’il avait fait commettre à Israël, contrariant ainsi le S
1KI.15.32	Il y eut la guerre entre Asa et Basha, roi d’Israël, pendant tous leurs jours.
1KI.15.34	Il fit ce qui déplaisait au S
1KI.16.2	Parce que je t’ai élevé de la poussière, que je t’ai fait chef sur Israël, mon peuple, mais que tu as suivi la voie de Jéroboam, et que tu as fait pécher Israël, mon peuple, me contrariant ainsi par leurs péchés, 
1KI.16.3	je balaie Basha et sa maison ; je rendrai ta maison semblable à la maison de Jéroboam, fils de Nebath. 
1KI.16.4	Celui de la famille de Basha qui mourra dans la ville sera dévoré par les chiens, et celui des siens qui mourra dans la campagne sera dévoré par les oiseaux du ciel.
1KI.16.6	Basha se coucha avec ses pères et fut enseveli à Tirtsa. Ela, son fils, devint roi à sa place. 
1KI.16.7	La parole du S
1KI.16.10	Zimri entra et le mit à mort, la vingt-septième année d’Asa, roi de Juda, et il devint roi à sa place. 
1KI.16.11	Dès qu’il fut roi et qu’il fut assis sur son trône, il abattit toute la maison de Basha, il ne lui laissa aucun mâle, ni rédempteur ni ami. 
1KI.16.12	Zimri détruisit toute la maison de Basha, selon la parole que le S
1KI.16.13	à cause de tous les péchés que Basha et Ela, son fils, avaient commis et fait commettre à Israël, contrariant ainsi le S
1KI.16.15	Or le peuple avait dressé son camp contre Guibbetôn, qui appartenait aux Philistins. 
1KI.16.16	Le peuple qui campait entendit qu’on disait : Zimri a conspiré ; il a abattu le roi ! Ce jour-là, dans le camp, tout Israël investit Omri, le chef de l’armée, de la royauté sur Israël. 
1KI.16.17	Omri et tout Israël avec lui partirent de Guibbetôn et assiégèrent Tirtsa. 
1KI.16.18	Zimri, voyant que la ville était prise, se retira dans le palais royal et mourut en mettant le feu à la maison. 
1KI.16.19	C’était à cause des péchés qu’il avait commis en faisant ce qui déplaisait au S
1KI.16.22	Ceux qui avaient suivi Omri étaient plus forts que ceux qui avaient suivi Tibni, fils de Guinath. Tibni mourut et Omri devint roi.
1KI.16.24	il acheta à Shémer la montagne de Samarie pour deux talents d’argent ; il bâtit une ville sur la montagne et appela la ville qu’il bâtit du nom de Samarie, d’après le nom de Shémer, propriétaire de la montagne.
1KI.16.26	Il suivit en tout la voie de Jéroboam, fils de Nebath, et le péché qu’il avait fait commettre à Israël, contrariant ainsi le S
1KI.16.28	Omri se coucha avec ses pères et fut enseveli à Samarie. Achab, son fils, devint roi à sa place.
1KI.16.30	Achab, fils d’Omri, fit ce qui déplaisait au S
1KI.16.31	Comme si cela avait été peu de chose pour lui de suivre les péchés de Jéroboam, fils de Nebath, il prit pour femme Jézabel, fille d’Eth-Baal, roi des Sidoniens, et il alla servir le Baal et se prosterner devant lui. 
1KI.16.32	Il éleva un autel au Baal dans la maison du Baal qu’il bâtit à Samarie. 
1KI.16.33	Achab fit aussi le poteau cultuel (l’ashéra). Achab fit plus encore pour contrarier le S
1KI.17.2	La parole du S
1KI.17.3	Repars d’ici vers l’est et cache-toi près de l’oued Kerith, qui est en face du Jourdain. 
1KI.17.4	Tu boiras de l’eau de l’oued ; j’ai ordonné aux corbeaux de pourvoir à tous tes besoins là-bas. 
1KI.17.5	Il partit et agit selon la parole du S
1KI.17.6	Les corbeaux lui apportaient du pain et de la viande le matin, du pain et de la viande le soir, et il buvait à l’oued. 
1KI.17.7	Mais après quelque temps, l’oued fut à sec, car il n’y avait pas eu de pluie dans le pays.
1KI.17.8	Alors la parole du S
1KI.17.9	Va à Sarepta qui appartient à Sidon et restes-y. Là-bas, j’ai ordonné à une veuve de pourvoir à tous tes besoins. 
1KI.17.10	Il s’en alla à Sarepta. Comme il arrivait à l’entrée de la ville, il y avait là une veuve qui ramassait du bois. Il l’appela et lui dit : Va me chercher un peu d’eau dans un récipient, je te prie, pour que je boive. 
1KI.17.11	Elle alla en chercher. Il l’appela de nouveau et lui dit : Va me chercher, je te prie, un morceau de pain dans ta main. 
1KI.17.12	Elle répondit : Par la vie du S
1KI.17.13	Elie lui dit : N’aie pas peur, rentre, fais comme tu l’as dit. Seulement, prépare-moi d’abord avec cela une petite galette et tu me l’apporteras ; tu en feras ensuite pour toi et pour ton fils. 
1KI.17.14	Car ainsi parle le S
1KI.17.15	Elle alla faire selon la parole d’Elie et pendant des jours elle eut de quoi manger, elle et sa maison, ainsi que lui. 
1KI.17.16	Le pot de farine ne s’épuisa pas, et la cruche d’huile ne se vida pas, selon la parole que le S
1KI.17.18	Elle dit alors à Elie : Pourquoi te mêles-tu de mes affaires, homme de Dieu ? Es-tu venu chez moi pour évoquer ma faute et pour faire mourir mon fils ? 
1KI.17.19	Il lui répondit : Donne-moi ton fils. Il le prit de ses bras, le monta dans la chambre à l’étage, où il habitait, et le coucha sur son lit. 
1KI.17.20	Puis il invoqua le S
1KI.17.21	Il s’étendit trois fois de tout son long sur l’enfant, invoqua le S
1KI.17.22	Le S
1KI.17.23	Elie prit l’enfant, le descendit de la chambre dans la maison et le donna à sa mère. Elie dit : Regarde, ton fils est vivant. 
1KI.17.24	La femme dit à Elie : Maintenant je sais que tu es un homme de Dieu, et que la parole du S
1KI.18.2	Elie s’en alla pour paraître devant Achab.
1KI.18.2	La famine pressait Samarie. 
1KI.18.3	Achab fit appeler Abdias, l’intendant de la maison. – Or Abdias craignait beaucoup le S
1KI.18.4	lorsque Jézabel massacrait les prophètes du S
1KI.18.5	Achab dit à Abdias : Va par le pays, vers toutes les sources et vers tous les oueds ; peut-être y trouvera-t-on de l’herbe, de sorte que nous pourrons garder en vie les chevaux et les mulets : nous n’aurons pas besoin d’abattre des bêtes. 
1KI.18.6	Ils se partagèrent le pays pour le traverser ; Achab alla seul par un chemin, et Abdias alla seul par un autre chemin.
1KI.18.8	Il lui répondit : C’est moi ; va dire à ton seigneur : « J’ai trouvé Elie ! » 
