MAT.1.1	Abraham tapa, David tapa, Jesu Khrist khanggui thu bu. 
MAT.15.6	A nu leh a pa a jah diing ahi sih a, a zalen diing hi, na chi va. Huchibangin na thugousiah jiahun Pathian thupiah bangmahlou na suaahsahta uhi. 
MAT.15.7	Nanguh milepchiahte aw, Isai in, na tungtaang thu uh ana soilawh kha ngeel hi. 
MAT.15.8	Hi mite’n a kam un ahung naih va, a muuh un ahung zahbawl uh; hizongleh a lungtang un ahung gamlaat uhi. 
MAT.15.9	Abang abang hileh amahun a thuhilhna va mihing thupiah a hilh jiahun, ahung be thawn uhi, ana chih chu, a chi a. 
MAT.15.10	Huin ama’n mipite a kou a, a kawmvah, Ngai unla, hesiam un; 
MAT.15.11	Kam a luut in mi a suniin sih; hizongleh kam a pawt in, hu ngei in mi a suniin hi, a chi a. 
MAT.15.12	Huin a nungjuite a hung va, a kawmah, Pharisaite’n hi thu a jah va a lunghih louh uh na he ei? a chi va. 
MAT.15.13	Hizongleh ama’n a dawng a, Kung chin ka Pa vaan a um suan louh chu bohkhiah in a um diing. 
MAT.15.14	Hite haw ngaihsah sih un; amahuh chu mittaw lamkaite ahi uhi. Mittaw in mittaw mah a pui inchu, kokhuuh ah a kekhawm diing uh, a chi a. 
MAT.15.15	Huin Peter in a dawng a, a kawmah, Hi tehkhinthu ka kawmvah hung hilh chianta’n, a chi a. 
MAT.15.16	Huin Jesu’n, Tutana nanguh zong heetsiamna beia um na hi u'maw? 
MAT.15.17	Kam a luut photmah gil sungah a luut a, huleh dailenna ah paihkhiah in a um chih, na theisiam nai sih u'maw? 
MAT.15.18	Hizongleh kama pawtte chu lungtang a kipana hung pawt ahi a, hute’n chu mi a suniin hi. 
MAT.15.19	Ajiahchu lungtang a kipatin ngaihtuahna giloute, tualthahnate, aangkawmnate, kingaihnate, guuhtaatnate, a tahlou heetpihnate, soisiatnate ahung pawt veu hi. 
MAT.15.20	Hute chu ahi mihing suniin; khut sil louha an neeh in mi a suniin sih, a chi hi.
MAT.15.21	Huin Jesu hu apatin a pawt a, Tura leh Sidon gam lamah a chiahta a. 
MAT.15.22	Huleh, ngai in, hu gam mah apatin Kana an numei khat ahung pawt a, kikou in a kawmah, Aw Lalpa, David Tapa, ka tungah zahngai in, ka tanu dawimatin a gim mahmah hi, a chi a. 
MAT.15.23	Hizongleh ama’n chu kam khat in zong a dawng sih hi. Huin a nungjuite a hung va, a kawmah, Amahnu hi sawlmang in; i nungah a kikoukou ngal a, a chi va. 
MAT.15.24	Ama’n a dawng a, Israel nam belaam mangte kawm loungal ah sawl ka hi sih, a chi a. 
MAT.15.25	Huin numeinu a hung a, Lalpa, hung panpih in, chi’n a bia a. 
MAT.15.26	Hizongleh ama’n a dawng a, tate tanghou laahsah a uite kawma piah a kilawm sih, a chi a. 
MAT.15.27	Huin amahnu’n, Lalpa, hihzaw ahi a, hizongleh uite’n zong a pu uh dohkaan apat tanghou them kia a ne saam uhi, a chi a. 
MAT.15.28	Huin Jesu’n a kawmah, Numei, na ginna thupi hina mai e; na deih bangtahin na tungah um heh, a chi a. Huchi’n a tanu chu hu hun ngei in a damta hi.
MAT.15.29	Huleh Jesu chu hu apatin a chiah a, Galili tuipi kawm ahung tung a; huin taang ah a chiahtou a, huah a touta a. 
MAT.15.30	Huleh mipi nasatah, keengbaite, mittawte, haamthei loute, piangsualte, leh midang tampi hung pui in, a kawmah a hung va, amahuh chu Jesu keengbul ah a koih va, ama’n ana sudam chiat a. 
MAT.15.31	Huchia haamtheiloute hung haama, piangsualte hung hoiha, keengbaite keeng a hung pai leh, mittawte’n hung mu theita uh, chih a muh un, mipite’n thum ah a sa va; huchi'n Israelte Pathian chu a paahtawita uhi.
MAT.15.32	Huin Jesu’n a nungjuite a kawmah a kou a, Mipite tuin ka kawmah ni thum a umta va, neeh diing bangmah a neih louh jiahun, ka hehpih mahmah hi; huleh amahuh angawl in ka chiahsah nuam sih hi, huchilouin zaw lamkal ah a sawlsam kha diing uh, a chi a. 
MAT.15.33	Huin a nungjuite’n a kawmah, Mipi hizah tate vaahna thamzet tanghou hu zaatpi gamdai ah khoi apatin i mu diai? a chi va. 
MAT.15.34	Huin Jesu’n a kawmvah, tanghou beu bangzah na nei viai? a chi a. Huin amahun, Beu sagih leh nga neu tawmtakhat, a chi va. 
MAT.15.35	Huin ama’n mipi chu tual a tou diingin thu a pia a. 
MAT.15.36	Huin tanghou beu sagih leh ngate chu a la a, kipaahthu a soi a, a balkeeh a, nungjuite kawmah a pia a, huleh nungjuite’n mipite kawmah a pia uhi. 
MAT.15.37	Huleh a bawnun a ne va, a vah chiatta uh; huleh a neeh val uh anneng chu bawm sagih a luaahdim uhi. 
MAT.15.38	Huleh a nete chu numei naupang sim louhin, piching saang li ahi uhi. 
MAT.15.39	Huin mipite chu a sawlmang a, kuang ah a tuang a, Magdala gam lamah a hungta hi.
MAT.16.1	Pharisaite zong Sadukaite toh a hung va, amah ze-etna diingin vaan a kipan chiamchihna amahuh ensah diingin a ngen va. 
MAT.16.2	Ama’n a dawng a, a kawmvah, Nitaahlam chiangin, khua a pha diing hi’nte mei san a suaah, na chi veu uhi. 
MAT.16.3	Huleh jingkal chiangin, tuni’n khua a se diing hi’nte mei san a suaah a, a ngiamkai, na chi veu uhi. Nanguh milepchiahte aw, vaan umdan na hesiam va; hizongleh hun chiamchihna na he sih uh. 
MAT.16.4	Khangthah gilou leh aangkawm haatte’n chiamchihna a hawl uh; hizongleh zawlnei Jonah chiamchihna loungal a dang a kipe sih diing, a chi a. Huleh amahuh a nusia a, a chiahta hi. 
MAT.16.5	Huleh a nungjuite’n gaallehlam a tun un, tanghou a po mangngilh va. 
MAT.16.6	Huin Jesu’n a kawmvah, Pharisaite leh Sadukaite tol lahah kiveeng unla pilvaang un, a chi a. 
MAT.16.7	Huleh amahun chu, Tanghou i puaah louh jiahin ahi ve, chi'n a kingaihtuah va. 
MAT.16.8	Jesu’n huchu a hedoh a, a kawmvah, Aw gintawmte, tanghou na neih louh jiah va bang diinga kingaihtuah na hi viai? 
MAT.16.9	Mi saangngaate vaahna tanghou ngaa leh, bawm bangzah aha na dimsah uh, chih tu nasan a hesiam nailoua, na lungsim va zong he zing lou na hi u'maw? 
MAT.16.10	Huleh mi saangli vaahna tanghou beu sagih leh na bawm dimzaat u’zong? 
MAT.16.11	Na kawmvah tanghou thu soi ka hi sih a, Pharisaite leh Sadukaite tol lahah kiveeng un chih soi ka hi zaw chih bang diinga hesiam lou na hi viai? a chi a. 
MAT.16.12	Huin amahun tanghou tol lahah kiveeng un chi hilouin Pharisaite leh Sadukaite thuhilhna lahah pilvaang diingin ahi zaw, chih ahung theita uhi.
MAT.16.13	Jesu chu Caesarea Philippi gam ahung tunin a nungjuite kawmah, Mite’n kei mihing Tapa hi koi ahi ahung chi viai? chi’n a dong a. 
MAT.16.14	Huleh amahun, Lawikhat in, Baptistu John ahi ahung chi va; lawikhat in Elijah huleh a dangte’n Jeremiah ahihlouhleh zawlneite laha khat ahi, ahung chi uhi, a chi va. 
MAT.16.15	Ama’n chu a kawmvah, Ahihleh nangun koi ahi na hung chi viai? a chi a. 
MAT.16.16	Huin Simon Peter in a dawng a, Khrist, Pathian hing Tapa chu na hi, a chi a. 
MAT.16.17	Huleh Jesu’n a dawng a, a kawmah, Simon Barjona na hampha hi, ajiahchu sa leh sisan in ahung heetsah na hi sih a, vaan a um ka Pa hung heetsah ahi zaw hi. 
MAT.16.18	Huleh ke'n zong na kawmah, Nang Peter na hi, chih ka hung hilh ahi; huleh hi suangpi tungah ka kouhtuam ka lemdoh diing hi; huchu misi kulh kotkhaahte’n bangmah a lohbut sih diing. 
MAT.16.19	Huleh na kawmah vaan lalgam chabite ka hung pe diing a, lei a na kaan photmah chu vaan ah kaan ahi diing a, huleh lei a na phel photmah chu vaan ah phel ahi diing, a chi a. 
MAT.16.20	Huin Khrist ahi chih koima hilhlou diingin a nungjuite dettahin thu a pia hi.
MAT.16.21	Hunungsiah chu Jesu’n Jerusalem a, a chiah diing bang, upate, siampu lalte huleh lehkhagialtute laha sil tampi a thuaah diingdan bang, thaha a um diing bang, huleh ni thum ni a, a thoh kiit diing bang a nungjuite a hesah panta hi. 
MAT.16.22	Huin Peter in amah a puituam a, Lalpa, hih in hung gamlaat heh; na tungah a tung hial sih diing, chi'n a taihilh a. 
MAT.16.23	Hizongleh amah chu a kihei a, Peter kawmah, Setan, ka nungah pai in; kei diingin puuhna na hi; nang Pathian silte ngaihtuah louin mihing silte na ngaihtuah zawh jiahin, a chi a.
MAT.16.24	Huin Jesu’n a nungjuite kawmah, Mi koipouh in ahung juih nuam leh mahni gimthuaah khawhsa louin, a kros pua in hung jui heh. 
MAT.16.25	Ajiahchu koipouh a hinna humbit nuamin a taan diing a; huleh koipouh keimah jiaha a hinna taan in a mu diing hi. 
MAT.16.26	Mi’n khovel a pum in nei henla, a hinna taan taleh amah diingin bang a phatuam diai? ahihlouhleh, mi’n a hinna luang in bang ahiai a piah diing? 
MAT.16.27	Mihing Tapa chu a Pa loupinna a angelte toh hung diing ahi ngal a; huchiangin michin a natoh bangjelin a thuh chiat diing hi. 
MAT.16.28	Chihtahzetin na kawmvah ka soi ahi, Hi a dingte a khen chu, mihing Tapa a lalgam a, a hung a muh masiah uh, sihna chiam lou diing a um uhi, a chi hi.
MAT.17.1	Huleh ni guup nungin Jesu’n Peter toh, Jakob toh, huleh a unaupa John toh a tonpih a, a tuamin taang saang tung khat ah a puitou a, 
MAT.17.2	A ma vah a meel ahung limdangta a; a maai ni bangin ahung taang a, a puansilhte chu vaah bangin ahung vaam hi. 
MAT.17.3	Huleh, ngai in, Mosi leh Elijah a kawmva hung kilaah in amah toh a kihou uhi. 
MAT.17.4	Huin Peter in Jesu a houpih a, a kawmah, Lalpa, ei a diingin hitaha um a hoih hi; na ut leh hi-ah bawh thum i bawl diing a, nang a diingin khat, Mosi diingin khat, Elijah diingin khat, a chi a. 
MAT.17.5	A soi laitahin, ngai in, mei vaahtahin amahuh ahung khuhta a; huleh, ngai in, hu mei lah apatin aw khat in, Hichu ka Tapa deihtah ahi, amah ah ka kipaah mahmah hi; amah thu ngai un, a chi a. 
MAT.17.6	Huleh nungjuite’n huchu a jah un, bohkhup in a puuh va, a lau mahmah uhi. 
MAT.17.7	Huin Jesu a hung a, amahuh a khoih a, Thou unla, huleh lau sih un, a chi a. 
MAT.17.8	Huleh a daahdoh uleh, Jesu chauh lou chu, koimah dang a mu sih uhi. 
MAT.17.9	Huleh taang apata ahung kumsuh un, Jesu’n amahuh thu a pia a, Mihing Tapa misi lah apat a thoh kiit masangsiah hi na sil muh uh koimah hilh sih un, a chi a. 
MAT.17.10	Huin a nungjuite'n a kawmah, Ahihleh bang diinga lehkhagialtute'n, Elijah hung masa diing ahi, chi ahi viai? chi'n a dong va. 
MAT.17.11	Huleh Jesu’n a dawng a, Elijah chu a hung masa ngei diing a, silbangkim a bawlthah diing. 
MAT.17.12	Hizongleh ka hung hilh ahi, Elijah chu a hung zouta, amah a he sih va, a tungah a utut un a hih zouta uhi. Huchimahbangin mihing Tapa in zong a lahvah a thuaah saam diing, a chi a. 
MAT.17.13	Huin nungjuite'n Baptistu John thu a kawmva soi ahi chih ahung heta uhi.
MAT.17.14	Huleh mipi lah ahung tunun, koi aha mi khat a kawmah a hung a, a ma a khupdin in, 
MAT.17.15	Lalpa, ka tapa tungah zahngai in; amah hi lungap vei ahi a, a gim mahmah hi; khatveivei chiah mei ah, huleh khatveivei chiah tui ah a puuh veu mei hi. 
MAT.17.16	Huleh na nungjuite kawmah ka hung pui a, a sudam thei sih uhi, a chi a. 
MAT.17.17	Jesu’n a dawng a, Ginna nei lou leh khang thah chihmoh haw, bangtan ahiai ka hung umpih diing, bangtan ahiai ka hung thuaah zoh diing? amah chu hi-ah ka kawmah hung pui un, a chi a. 
MAT.17.18	Huin Jesu’n dawi chu a vau a; a sunga kipatin a pawtta a; huleh naupang chu hu hun ngeiin a damta hi. 
MAT.17.19	Huin nungjuite chu a tuamin Jesu kawmah a hung va, Bang diinga kei un nohdoh thei lou ka hi viai? a chi va. 
MAT.17.20	Huin Jesu’n a kawmvah, Na gintaat louh jiahun ahi; chihtahzetin ka hung hilh ahi, Ankamtang khat bang ginna na neih uleh, hi taang kawmah, Hi apatin hu lamah kituan in, na chi diing va, a kituan mai diing; nanguh diingin sil bawltheih louh mawngmawng a um sih diing. 
MAT.17.21	Bang hitaleh hichibang zaw haamteina leh angawlna loungalin a pawtdoh sih hi, a chi hi.
MAT.17.22	Huleh Galili a, a um laiun, Jesu’n a kawmvah, Mihing Tapa chu mite khuta matsah in a um diing hi; 
MAT.17.23	Huleh amah chu a that diing va, huleh a ni thum ni’n kaihthoh in a um diing, a chi a. Huchi'n a lungkham mahmahta uhi. 
MAT.17.24	Huleh Kepernaum ahung tunun, Pathian biahinn sum dongte Peter kawmah a hung va, Na houtupa un biahinn siah pe veu saam lou ahi maw? a chi va. 
MAT.17.25	Ama’n chu, Pe veu e, a chi a. Huleh Peter chu inn sunga ava luut leh Jesu’n a kawmah, Simon, bang na chi ngaih ei? Lei a lalte’n siah hiin, sum siah hitaleh koite lahah ahiai a laah jel uh? a tate uh lahah ahiai, mi tuam lahah? chi'n ana soikhalh a. 
MAT.17.26	Peter in a kawmah, Mi tuam lahah, a chi a. Jesu’n a kawmah, Huchi ahihleh tate awl a ve maw. 
MAT.17.27	Hitamahleh, nang tuipiah va chiah inla, ngakuai vakhai inla, nga na khaidoh masatpen la in; huleh a kam keeh lechin dangka tengkhat na mu diing; huchu la inla, kei leh nang a dingin a kawmvah pia in, huchilou inzaw i sulunghimohkha diing, a chi hi.
MAT.18.1	Hulai tahin nungjuite Jesu kawmah a hung va, vaan lalgam ah koi a lianpen diai? a chi va. 
MAT.18.2	Huin Jesu’n naupang neu khat a kawmah a kou a, amah chu a lahvah a dingsah a, 
MAT.18.3	Chihtahzetin ka hung hilh ahi, Na lamleet va, naupang neute bang na hung hih louh uleh, vaan lalgam ah na luut het sih diing uh. 
MAT.18.4	Hujiahin koipouh hi Naupang neu banga kingaingiam chu, hu mi ngei chu vaan gam ah a lianpen diing. 
MAT.18.5	Huleh koipouh hitobang naupang khat keimah min a kipaahpih chu kei hung kipaahpih ahi.
MAT.18.6	Hizongleh koipouh keimah hung gingta mi neute laha khat zong puuhsah chu a ngawng ah suang sumheeh lianpi awhsah in tui khang lian thuuhtah ah kheluut leuh amah diingin a hoihzaw hi. 
MAT.18.7	Puuhnate jiahin khovel tung a gih hi! puuhnate chu hung um diing mawng ahi a; hizongleh puuhna umsahtu tung a gih hi! 
MAT.18.8	Huleh na khut aha na keeng aha in ahung suhpuuh leh, saattan inla paaimang in; khut nih aha keeng nih aha nei a kumtuang mei a paih a um sangin, piangsual a, ahihlouhleh keengbaai a hinna a luut nang a diingin a hoihzaw hi. 
MAT.18.9	Huleh na mit in ahung suhpuuh leh kheikhia inla, paaimang in; mit nih nei a gawtmun mei a paih a na um sangin, mit khat nei a hinna a luut nang a diingin a hoihzaw hi. 
MAT.18.10	Hi mineute laha khat zong simmoh lou diingin pilvaang un; ajiahchu a angelte un vaan a um ka Pa meel a en zing uhi, chih ka hung hilh ahi. 
MAT.18.11	Mihing Tapa chu beimangte hundam diinga hung ahi ngal a.
MAT.18.12	Bang na chi ngaih viai? Mi khat in belaam zakhat nei henla, a lahva khat vaahmang taleh, sawmkuaah leh kuaahte chu nusia in, taang a chiah in, a vaahmang pen va hawl lou diing ahiai mah? 
MAT.18.13	Huleh va mu kiitta henla hileh, chihtahzetin ka hung hilh ahi, sawmkuaah leh kuaah vaahmang loute tungah sangin, hu belaam pen tungah a kipaahzaw diing hi. 
MAT.18.14	Huchimah bangin hi mineute laha khat zong a manthai diing hi na Pa uh vaan a um deihlam ahi sih hi.
MAT.18.15	Huleh na unau na tunga a tatleeh leh, chiah inla nang leh amah chauh heet in a khelhna chu va hilh in; ama'n na thu a ngaih leh na unau na zou ahi ding. 
MAT.18.16	Hizongleh a ngaihkhiah louh inchu, heetpihtu nih aha, thum aha kama thu a kichetna diingin, mi khat aha nih aha tonpih in. 
MAT.18.17	Huleh amahuh a ngaihkhiah nuam louha ahihleh, kouhtuamte kawmah tut in; huleh kouhtuamte thu zong a ngaihkhiah saam louh inchu amah chu nang a diingin ginglou leh siahdongmi bang hi heh. 
MAT.18.18	Chihtahzetin ka hung hilh ahi, Leitung a na kaan photmah u’chu vaan a zong kaan ahi diing a; huleh leitung a na phel photmah uh vaan ah phel ahi diing hi.
MAT.18.19	Huleh na kawmvah ka soi kiit hi, Leitung a na lahva mi nih a sil nget diing va a kithutuah uleh ka Pa vaan a um bawlsah in a um diing uhi. 
MAT.18.20	Ajiahchu mi nih aha, thum aha ka min a, a kikhopna photvah a lahvah ka um jel ahi, a chi hi.
MAT.18.21	Huin Peter a kawmah a hung a, Lalpa, ka unau in bangzat vei ahiai ka tunga a khelh leh ka ngaihdam diing? Sagih vei tanin ahi diai? a chi a. 
MAT.18.22	Jesu’n a kawmah, Sagih vei chiang ka hung chi sih hi; sagih vei mun sawmsagih tanchiang ka hung chi zaw ahi. 
MAT.18.23	Hujiahin vaan lalgam chu kumpipa koi aha a suaahte kawma sum hisaap suhfel tum toh tehkhin ahi. 
MAT.18.24	Ahung suhfel pat a ahihleh, mi khat talent saangsawm ba a kawmah ahung pui va. 
MAT.18.25	Hizongleh ama’n piah diing a neih louh tahin a pu in chu amah, a ji leh a tate toh, huleh a neih zousiah toh zuah a dit diing thu a pia a. 
MAT.18.26	Hujiahin suaahpa’n chu khupboh in a bia a, Pu, ka tungah thuaahthei tadih inla, a bawn in ka hung dit diing, a chi a. 
MAT.18.27	Huin hu suaahpa pu in amah chu a hehpihta mahmah a, a hah a, a bat a ngaidamta hi. 
MAT.18.28	Hizongleh hu suaahpa chu a pawt a, a suaah hihpihte laha khat amah sum zakhat ba chu a va mu a, amah chu a man a, Na bat hung pia in chi'n a lawl a meeh a. 
MAT.18.29	Huchi'n a suaah hihpihpa chu a keeng bulaha puuh a, Ka tungah thuaahthei tadih in, ka hung dit veh diing, chi'n a ngen a. 
MAT.18.30	Ahihvangin amah a ut sih a; a bat a dit zoh masiah suangkul ah ava khumta a. 
MAT.18.31	A suaah hihpihte'n a silbawl chu a muh un, a lunghimoh mahmah va, huleh a hung va, sil umtan zousiah a pu uh ahung hilhta uhi. 
MAT.18.32	Huphetin a pu in amah chu a kou a, a kawmah, Aw suaah giloupa, na hung nget ngutngut jiaha na bat zousiah hung ngaidam hi’nga; 
MAT.18.33	Ke’n nang ka hung hehpih banga nang zong na suaah hihpihpa na hehpih sam diing hilou maw? a chi a. 
MAT.18.34	Huin a pu chu a thangtawmta a, a bat zousiah a ditzoh masiah migawtte kawmah a peta hi. 
MAT.18.35	Nanguh koipouh in na lungtang tah va na unaute a tatleehna uh na ngaihdamlouh uleh, Vaan a um ka Pa’n zong huchibangin na tungvah a bawl ve diing ahi, a chi hi.
MAT.19.1	Huleh hichi ahung hi a, Jesu’n hi thute a soi zohin, Galili gam apatin a pawt a, Jordan gaal Judia gam lamah a chiah a; 
MAT.19.2	Huleh mipi nasatah in a jui va, ama’n huah amahuh ana sudam hi. 
MAT.19.3	Pharisaite zong a kawmah a hung va, amah ze-etin a kawmah, Bang jiah pouhin mi’n a ji a khul a siang ei? a chi va. 
MAT.19.4	Huin ama’n a dawng a, a kawmvah, A chiil apat a amahuh siamtu in numei leh pasal in ana siam hi. 
MAT.19.5	Huleh, hijiahin pasal in a nu leh a pa a nuse diing a, a ji a tu diing; huleh a nih un sapumkhat ahung hita diing uh, a chi hi, chih na sim sih u'maw? 
MAT.19.6	Huchi'n amahuh chu nih ahi nawnta sih va, sapumkhat ahita uhi. Hujiahin Pathian in a gawmsa chu mihing in khen sih heh, a chi a. 
MAT.19.7	Amahun a kawmah, Ahihleh bang diinga Mosi in kikhulna lehkha piah a khul diing ahi, chia thu a piah ahiai? a chi va. 
MAT.19.8	Ama’n a kawmvah, Mosi in na lungtang uh khauh jiaha na jite uh khul ahung phalsah ahi; hizongleh a chiil apatin huchibang ahi sih hi. 
MAT.19.9	Huleh ke'n ka hung hilh ahi, Koipouh mi dang toh kingaih jiah hiloua, ji khul a, a dang nei chu aangkawm ahi; huleh khulsa nei photmah zong aangkawm ahi, a chi a. 
MAT.19.10	A nungjuite’n a kawmah, pasal a ji toh kal thu huchi ahihleh, kiteen a hoih lou ahi, a chi va. 
MAT.19.11	Hizongleh ama’n a kawmvah, Hi thu kisoi mi zousiah in a pom thei sih uh, a kawmva piahte lou ngalin. 
MAT.19.12	Michilgeh khenkhat a nu uh gil sung apat huchibanga piang mawng a um va; huleh michilgeh khenkhat, mihing geh thuh zong a um a; huleh michilgeh, vaan lalgam jiaha michilgeha kisiamtawmte zong a um hi. Koipouh a pomthei in pom uheh, a chi hi.
MAT.19.13	Hulaiin a tungva a khut nga a, a haamteisah diingin a kawmah naupang neute ahung pui va; huleh nungjuite'n ana tai va. 
MAT.19.14	Hizongleh Jesu’n, Naupangte chu ka kawma a hung diing uh phalsah unla, khap sih un; vaan lalgam, chu huchibang mite a ahi ngal a, a chi a. 
MAT.19.15	Huleh a tungvah a khut a nga a, hu apatin a chiahta hi.
MAT.19.16	Huleh ngai in, mi khat a hung a a kawmah, Houtupa hoih, kumtuang hinna ka neih theihna diingin bang silpha ahiai ka bawl diing? a chi a. 
MAT.19.17	Ama’n a kawmah, Bang diinga mi hoih hung chi na hiai? Pathian chih louh mi hoih dang a um sih hi; bangteng hitaleh hinna a na luut nuam leh thupiahte zawm in, a chi a. 
MAT.19.18	Ama’n a kawmah, A khoi haw e? a chi a. Jesu’n a dawng a, Tual na thah louh diing ahi, Na aangkawm louh diing ahi, Na guuh louh diing ahi, Heetpihtu tahlou in na pang diing ahi sih. 
MAT.19.19	Na nu leh na pa zah in: huleh, Nangmah na kilungsiat bangin na innveengte na lungsiat diing ahi, a chi a. 
MAT.19.20	Tangvalpa'n chu a kawmah, Hite zousiah chu ka neu apat ka jui zingta hi; bang ka sam na lai ei? a chi a. 
MAT.19.21	Jesu’n a kawmah, Hoihkim keei ning na chih leh, chiah inla, na neih zuah inla, migentheite kawmah pia in, huchi'n vaan ah gou na nei diing; huleh hung inla hung jui in, a chi a. 
MAT.19.22	Hizongleh tangvalpa’n chu hu thu a jah tahin lungkham tahin a chiah mangta hi; sum tampi nei ahih jiahin.
MAT.19.23	Huin Jesu’n a nungjuite kawmah, Chihtahzetin ka hung hilh ahi, mi hausa diingin vaan lalgam luut a hahsa hi. 
MAT.19.24	Huleh ka hung hilh kiit ahi, Mi hausa Pathian gam a, a luut sangin sangawngsaau phin bilvang a, a luut paisuaah a baihlamzaw hi, a chi a. 
MAT.19.25	A nungjuite’n hu a jah un limdang a sa mahmah va, Huchi ahihleh koi hutdamin a um zou diai? a chi va. 
MAT.19.26	Hizongleh Jesu’n amahuh a en a, a kawmvah, Huchu mihing diingin bawl gual ahi sih a; hizongleh Pathian diingin chu bangkim ahi thei hi, a chi hi.
MAT.19.27	Huin Peter in a kawmah, Ngai in, kei un bangkim nusia in ka hung juita va; bang ka mu diing viai leh? chi'n a dong a. 
MAT.19.28	Huin Jesu’n a kawmvah, Chihtahzetin ka hung hilh ahi, Siamthahna ah, mihing Tapa a loupina touphah a, a tou chiangin nanguh kei hung juite chu Israel nam sawmlenihte vaihawm in laltouphah sawmlenih ah na tou saam diing uhi. 
MAT.19.29	Huleh michin ka min jiaha, innte aha, unaute aha, sanggamnute aha, pa aha, nu aha, ji aha, tate aha, gamte aha nusia in chu a lehza a mu diing va, kumtuang hinna a tang diing uh. 
MAT.19.30	Hizongleh mi tampi masapen a umte nunungpen in a um diing va; huleh nunungpen a umte masapen ahi diing uhi.
MAT.20.1	Ajiahchu vaan lalgam hi inn neitu a grep huan a natong dinga mi chial dinga jingkal a pawt bang ahi. 
MAT.20.2	Huleh ama’n natongtute toh ni khat a makhai khat loh diing a, a kilem tahun, a grep huan ah a sawlta a. 
MAT.20.3	Huleh amah chu daah thumna velin a pawtdoh a, midang dawlmun a ding meimeite a mu a, 
MAT.20.4	Huleh a kawmvah, Nanguh zong grep huan ah va kuan un, a kilawmhun ka hung pe ding, a chi a. Huin amahuh chu a chiahta va. 
MAT.20.5	Huleh daah guupna leh daah kuaahna vel dingin a va pawt kiit a, huchi bangmahin a bawl kiit a. 
MAT.20.6	Huleh daah sawm leh daah sawmlekhatna velin a va pawt kiit a, a kawmvah, Bang diinga ding meimei na hi viai? a chi a. 
MAT.20.7	Amahun a kawmah, Koima'n ahung goih louh jiahin, a chi va. Ama’n a kawmvah, Nanguh zong grep huan ah va kuan un; a kilawm bangjel na mu diing uh, a chi a. 
MAT.20.8	Huin nitaahlam ahung hihin, grep huan neitu’n a sumkolpa kawmah, Natongtute kou inla, a nunungpen apatin a masapen tanin a loh uh pia in, a chi a. 
MAT.20.9	Huin daah sawmna leh daah sawmlekhatna vela a goihte a hung uleh, makhai khat chiat a muta va. 
MAT.20.10	Huin a masate a hung un muh tamdeuh a kinem va; hizongleh amahun zong makhai khat chiat mah a muta va. 
MAT.20.11	Huleh hichu a kilaahzoh un inn neitu tungah a phunta va, 
MAT.20.12	Hi a nunungte’n daah khat sung chauh a tong va, keiuh nisa hahlai thuaah a tonggimte toh kibangin na bawlta, chi'n. 
MAT.20.13	Hizongleh ama’n chu a lahva khat a dawng a, Lawm, na tungah bangmah ka sukhial sih hi; makhai khat loh diing a kihoutuaah hilou i'maw? 
MAT.20.14	Nang a chu kilaah inla chiahta in; hi a nunungpen kawmah zong nang ka hung piah zaatmah ka pe ut hi. 
MAT.20.15	Ka neihsa ka utut a ka bawltheih hilou amaw? Ka hoih jiahin na thangsia ahi maw? a chi a. 
MAT.20.16	Hutobangin a nunung chu a masa diing a, huleh a masa chu a nunung diing hi; ajiahchu tampi kouh ahi a, hizongleh tawmtakhat teel ahi; a chi hi.
MAT.20.17	Huleh Jesu Jerusalem khua a, a chiahtouh laiin nungjui sawmlehnihte lampi ah a puituam a, a kawmvah, 
MAT.20.18	Ngai un, Jerusalem zu an in i chiah tou uh ahi; mihing Tapa chu siampu lalte leh lehkhagialtute khutah matsah in a um diing a, huleh amahun si diingin siamlouh a tangsah diing uhi, 
MAT.20.19	Huleh amah chu chiamnuih bawlna diing leh, jep diing leh, kros a khetbeh diingin Jentelte khut ah a pedoh diing uhi; huleh ni thum ni in a thou kiit diing, a chi hi.
MAT.20.20	Huin Zebedi tate nu chu, a tapate toh hung in amah ahung bia va, bang sil aha a ngen a. 
MAT.20.21	Huin ama’n a kawmah, Bang ahiai na deih? a chi a. Amahnu’n a kawmah, Na lalgam a hi ka tapate geel khat na jiat a, khat na vei a, a tou theihna diing uh thu pia in, a chi a. 
MAT.20.22	Hizongleh Jesu’n a dawng a, Na nget uh na he sih uhi. Nangun ka nou dawn diing na dawn thei viai? huleh ka baptisma tan diing na tang thei diing viai? a chi a. Amahun a kawmah, Thei e, a chi va. 
MAT.20.23	Huin ama’n a kawmvah, Ka dawn diing nou chu na dawn ngei diing va, ka baptisma tan diing zong na tang ngei diing uhi; hizongleh ka jiatlam leh ka veilam a tousah diing thu chu keimah piah diing ahi sih hi, ka Pa’n a bawlsahte kawmah piah ahi diing, a chi a. 
MAT.20.24	Huleh sawmte’n hichu ana jah un, unau nihte tungah a lungthahta uhi.
MAT.20.25	Hizongleh Jesu'n amahuh chu a kawmah a kou a, Jentelte vaihawmte chu a tungvah a lal mahmah va, huleh milian milalte'n a tungvah thu a nei mahmah uhi chih na he uhi. 
MAT.20.26	Hizongleh nanguh lahah chu huchi ahi sih diing; koi hitaleh na lahva let uh chu na natong un a um diing ahi. 
