GEN.1.1	In het begin maakte God de hemelen en de aarde. 
1SA.28.9	‘Wilt u mij in de val lokken en ter dood laten brengen?’ wilde de vrouw weten. ‘U weet toch dat Saul alle waarzeggers en geestenbezweerders heeft verdreven?’ 
1SA.28.10	Maar Saul zwoer bij de 
1SA.28.11	Ten slotte zei de vrouw: ‘Nu, wie wilt u dat ik voor u oproep?’ ‘Breng mij in contact met Samuël,’ antwoordde Saul.
1SA.28.12	Toen de vrouw Samuël zag, gilde zij: ‘U hebt mij bedrogen! U bent koning Saul!’ 
1SA.28.13	‘Wees niet bang,’ stelde de koning haar gerust. ‘Wat ziet u?’ ‘Ik zie een bovennatuurlijk wezen vanuit de aarde opkomen,’ was haar antwoord. 
1SA.28.14	‘Waar lijkt het op?’ ‘Het is een oude man, gehuld in een mantel.’ Saul besefte dat het Samuël was en boog diep voor hem. 
1SA.28.15	‘Waarom hebt u mij gestoord door mij terug te halen?’ vroeg Samuël aan Saul. ‘Omdat ik enorme problemen heb,’ antwoordde hij. ‘De Filistijnen zijn met ons in oorlog en de 
1SA.28.16	Maar Samuël antwoordde: ‘Wat heeft het voor zin mij te vragen? De 
1SA.28.17	Hij heeft precies dat gedaan wat Hij had gezegd en u het koninkrijk afgenomen om het aan een ander te geven, aan David. 
1SA.28.18	Dit alles is vandaag over u gekomen, omdat u de aanwijzingen van de 
1SA.28.19	En bovendien, het hele Isräelitische leger zal morgen worden verslagen door de Filistijnen en u en uw zonen zullen hier bij mij zijn.’
1SA.28.20	Na die woorden viel Saul languit op de grond, verstijfd van angst door wat Samuël had gezegd. Hij voelde zich ook slap door de honger, want hij had die hele dag nog niets gegeten. 
1SA.28.21	Toen de vrouw zag hoe angstig hij was, zei zij: ‘Heer, ik gehoorzaamde uw bevel met gevaar voor mijn eigen leven. 
1SA.28.22	Luister nu naar mij en laat mij u wat te eten geven, zodat u weer kracht krijgt voor de terugreis.’ 
1SA.28.23	Maar hij weigerde te eten. De mannen die hem vergezelden, bleven echter aandringen. Ten slotte stond hij van de grond op en ging op het bed zitten. 
1SA.28.24	De vrouw had een vetgemest kalf. Zij ging snel naar buiten, slachtte het en kneedde deeg, waarvan zij ongezuurde koeken bakte. 
1SA.28.25	Zij bracht de maaltijd naar de koning en zijn mannen en zij aten ervan. Daarna stapten ze op en verdwenen in de nacht.
1SA.29.1	Het Filistijnse leger groepeerde zich op dat moment bij Afek, terwijl de Israëlieten hun kamp hadden opgeslagen bij de bronnen van Jizreël. 
1SA.29.2	Toen de Filistijnse koningen hun troepen in compagnieën en bataljons daarheen hadden laten oprukken, marcheerden David en zijn mannen in gezelschap van koning Achis achter in de legereenheid. 
1SA.29.3	De Filistijnse leiders wilden echter weten wat de Israëlieten daar deden. Koning Achis verklaarde: ‘Dit is David, de gevluchte dienaar van koning Saul van Israël. Hij is al jaren bij mij en ik heb sinds zijn komst nooit gemerkt dat hij niet te vertrouwen zou zijn.’ 
1SA.29.4	Maar daar namen de legeraanvoerders geen genoegen mee. ‘Stuur hen terug!’ eisten zij kwaad. ‘Zij kunnen niet samen met ons de strijd in, het risico is te groot dat zij zich dan tegen ons keren. Het is toch duidelijk dat er geen betere manier is waarop hij weer bij zijn meester in de gunst kan komen, dan door ons tijdens de strijd aan te vallen met deze mannen? 
1SA.29.5	Dit is toch dezelfde man over wie de Israëlitische vrouwen bij het dansen zongen: “Saul heeft zijn duizenden verslagen en David zijn tienduizenden!” ’ 
1SA.29.6	Achis liet David en zijn mannen bij zich roepen en zei: ‘Ik zweer bij de 
1SA.29.7	Ga daarom maar stilletjes terug.’
1SA.29.8	‘Waarom word ik op deze manier behandeld?’ wilde David weten. ‘Waarom mag ik niet tegen uw vijanden vechten?’ 
1SA.29.9	Maar Achis was vastbesloten: ‘Wat mij betreft, ik bewonder u alsof u een engel van God was. Maar de leiders zijn er nu eenmaal op tegen dat u met hen meedoet aan de strijd. 
1SA.29.10	Sta morgen maar vroeg op en vertrek zodra het licht wordt.’ 
1SA.29.11	Zo ging David ʼs morgens vroeg terug naar het land van de Filistijnen, terwijl het Filistijnse leger zijn weg naar Jizreël vervolgde.
1SA.30.1	Drie dagen later kwamen David en zijn mannen terug bij hun stad Siklag en merkten tot hun ontzetting dat de Amalekieten in hun afwezigheid de stad hadden overvallen en platgebrand. 
1SA.30.2	Bovendien hadden zij de vrouwen, jong en oud, gevangen weggevoerd zonder iemand van hen te doden, en hun tocht vervolgd. 
1SA.30.3	Toen David en zijn mannen over de rokende puinhopen uitkeken en beseften wat met hun familieleden was gebeurd, 
1SA.30.4	huilden zij tot zij geen tranen meer hadden. 
1SA.30.5	Ook Davids twee vrouwen, Achinoam en Abigaïl, waren ontvoerd. 
1SA.30.6	David werd door zijn mannen in het nauw gedreven, want door het verdriet om hun kinderen dreigden zij hem te gaan stenigen. David bleef echter op God vertrouwen.
1SA.30.7	Hij beval Abjatar het priesterkleed te halen. 
1SA.30.8	Toen vroeg David de 
1SA.30.9+1SA.30.10	 Even later zetten David en zijn zeshonderd mannen de achtervolging op de Amalekieten in. Toen zij bij de beek Besor kwamen, waren tweehonderd mannen zo uitgeput dat zij de beek niet konden oversteken. De andere vierhonderd gingen echter onvermoeibaar verder.
1SA.30.11+1SA.30.12	 Langs de weg in het veld vonden zij een jonge Egyptenaar en brachten die naar David. Hij had drie dagen en nachten niets te eten of te drinken gehad. Daarom gaven zij hem wat brood, een stuk vijgenkoek, twee rozijnenkoeken en wat water, waarvan hij zienderogen opknapte. 
1SA.30.13	‘Wie bent u en waar komt u vandaan?’ vroeg David hem. ‘Ik ben een Egyptenaar, de knecht van een Amalekiet,’ antwoordde de jongen. ‘Mijn meester liet me hier drie dagen geleden achter omdat ik ziek werd. 
1SA.30.14	We waren op de terugtocht, nadat we de Kerethieten in de Negev, het zuiden van Juda en het gebied van Kaleb hadden overvallen. Daarbij hebben we ook de stad Siklag in de as gelegd.’ 
1SA.30.15	‘Kunt u ons naar hen toebrengen?’ vroeg David. De jonge man antwoordde: ‘Als u bij Gods naam zweert mij niet te doden en mij niet aan mijn meester terug te geven, zal ik met u meegaan en u de weg wijzen.’ 
1SA.30.16	Zo bracht hij hen naar het kamp van de Amalekieten. Dat lag verspreid over de velden en de mannen aten, dronken en dansten van vreugde over de enorme buit die zij hadden geroofd uit het land van de Filistijnen en van Juda. 
1SA.30.17	David en zijn mannen stortten zich op hen en richtten die nacht en de hele volgende dag een waar bloedbad aan. De enigen die ontsnapten, waren vierhonderd jonge mannen die er op kamelen vandoor gingen. 
1SA.30.18+1SA.30.19	 Zo bevrijdde David allen die door de Amalekieten waren ontvoerd. De mannen vonden hun familieleden van jong tot oud terug, evenals al hun bezittingen, en David redde ook zijn beide vrouwen. 
1SA.30.20	Zijn mannen dreven al het vee bij elkaar en zeiden: ‘Dit is Davids buit!’
1SA.30.21	Toen zij weer bij de beek Besor en de tweehonderd achtergebleven mannen kwamen, begroette David hen uitbundig. 
1SA.30.22	Maar de slechten onder Davids mannen mompelden: ‘Zij zijn niet met ons meegegaan en krijgen dus ook niets van de buit. Geef hun hun vrouwen en kinderen terug en zeg dat ze moeten maken dat ze wegkomen.’ 
1SA.30.23	Maar David zei: ‘Nee, broeders! Het is een geschenk van de 
1SA.30.24	Denkt u dat ook maar iemand het met u eens is? Wij verdelen de buit onder iedereen: degenen die hebben gevochten krijgen evenveel als degenen die onze eigendommen hebben bewaakt.’ 
1SA.30.25	Vanaf dat moment maakte David dat tot een wet voor heel Israël en deze is nog steeds van kracht.
1SA.30.26	Teruggekomen in Siklag, stuurde David een deel van de buit naar de leiders van Juda, zijn vrienden. ‘Dit is een geschenk voor u, buitgemaakt op vijanden van de 
1SA.30.27+1SA.30.28+1SA.30.29+1SA.30.30+1SA.30.31	De geschenken werden gestuurd aan alle steden waar David en zijn mannen hadden gewoond: Betel, Ramot in het zuiden, Jattir, Aroër, Sifmot, Estemoa, Rachal, de steden van de Jerachmeëlieten, de steden van de Kenieten, Chorma, Bor-Asan, Atach en Hebron.
1SA.31.1	Inmiddels hadden de Filistijnen de strijd aangebonden met Israël. De Israëlitische troepen sloegen op de vlucht en in het gebergte Gilboa vielen vele doden. 
1SA.31.2	De Filistijnen zaten Saul op de hielen en doodden zijn zonen Jonatan, Abinadab en Malkisua.
1SA.31.3+1SA.31.4	 Toen Saul door een groep boogschutters werd ingehaald, werd hij vreselijk bang. Hij zei tegen zijn wapenknecht: ‘Dood mij met je zwaard, voordat deze heidense Filistijnen mij gevangennemen en martelen om de spot met mij te drijven.’ Maar zijn wapenknecht durfde niet, daarom pakte Saul zijn eigen zwaard en liet zich erin vallen. 
1SA.31.5	Toen zijn wapenknecht zag dat Saul dood was, liet hij zich ook in zijn zwaard vallen en stierf met hem. 
1SA.31.6	Zo stierven Saul, zijn wapenknecht, zijn drie zonen en zijn mannen op dezelfde dag.
1SA.31.7	Toen de Israëlieten aan de andere kant van het dal en aan de overkant van de Jordaan hoorden dat hun leger was gevlucht en dat Saul en zijn zonen waren gesneuveld, verlieten zij in allerijl hun woonplaatsen. Deze werden kort daarop door de Filistijnen ingenomen. 
1SA.31.8	Toen de Filistijnen de volgende dag het slagveld afstroopten om de gesneuvelden te plunderen, vonden zij de lijken van Saul en zijn drie zonen in het gebergte van Gilboa. 
1SA.31.9	Zij hakten Sauls hoofd af en namen zijn wapenrusting mee. Deze trofeeën stuurden zij naar de tempels van hun afgoden en alle inwoners van hun land. 
1SA.31.10	Zijn wapenrusting kreeg een plaats in de tempel van Astarte, zijn lichaam werd aan de muur van Bet-San gehangen. 
1SA.31.11	De inwoners van Jabes in Gilead hoorden echter wat de Filistijnen hadden gedaan 
1SA.31.12	en stuurden al hun soldaten op pad. Zij liepen de hele nacht door en kwamen bij Bet-San. Daar haalden ze de lichamen van Saul en zijn drie zonen van de muur. Zij brachten de lijken naar Jabes en verbrandden ze daar. 
1SA.31.13	Daarna begroeven zij de beenderen onder de eikenboom bij Jabes en ze vastten zeven dagen lang.
2SA.1.1+2SA.1.2	Na de dood van Saul ging David terug naar Siklag, na de Amalekieten een vernietigende nederlaag te hebben toegebracht. Drie dagen later kwam een soldaat uit het leger van Saul bij David met gescheurde kleren en stof op zijn hoofd als teken van rouw. Hij liet zich voor David op de grond vallen. 
2SA.1.3	‘Waar komt u vandaan?’ vroeg David hem. ‘Uit het legerkamp van Israël. Ik ben ontkomen,’ antwoordde de man. 
2SA.1.4	‘Wat is er gebeurd?’ vroeg David. ‘Vertel mij hoe de strijd is verlopen.’ De man antwoordde: ‘Ons hele leger is op de vlucht geslagen. Vele mannen liggen dood en gewond op het slagveld en ook Saul en zijn zoon Jonatan zijn gesneuveld.’ 
2SA.1.5	‘Hoe weet u dat zij dood zijn?’ vroeg David. 
2SA.1.6	‘Omdat ik toevallig op de berg Gilboa was en zag hoe Saul zich in zijn speer stortte, terwijl de vijandelijke strijdwagens hem insloten. 
2SA.1.7	Toen hij mij zag, riep hij dat ik naar hem toe moest komen. 
2SA.1.8	“Wie bent u?” vroeg hij. “Een Amalekiet,” antwoordde ik. 
2SA.1.9	“Vooruit, verlos mij uit mijn lijden,” smeekte hij, “want ik lijd vreselijke pijn, maar de dood wil niet komen.” 
2SA.1.10	Daarom doodde ik hem, want ik wist dat hij toch zou sterven. Daarna pakte ik zijn kroon en een van zijn armbanden om die naar u te brengen.’
2SA.1.11	David en zijn mannen scheurden hun kleren van verdriet toen zij dit hoorden. 
2SA.1.12	Zij treurden, huilden en vastten de hele dag om Saul, zijn zoon Jonatan en de mannen van Israël die die dag waren gesneuveld.
2SA.1.13	Toen zei David tegen de jongeman die het nieuws had gebracht: ‘Waar komt u vandaan?’ En hij antwoordde: ‘Ik ben een Amalekiet.’ 
2SA.1.14	‘Waarom hebt u niet geweigerd de koning te doden? Hij was immers een gezalfde van de 
2SA.1.15	Direct daarop beval hij een van zijn jonge mannen: ‘Dood hem!’ Deze deed dat. 
2SA.1.16	‘Dat is uw verdiende loon,’ zei David, ‘want u zei zelf dat u de door God gezalfde koning hebt gedood.’
2SA.1.17+2SA.1.18	 En David schreef een klaaglied voor Saul en Jonatan, waarna hij opdracht gaf dat het aan alle mensen in Juda moest worden geleerd. De tekst hiervan is opgenomen in het Boek van de Oprechte.
2SA.1.19	‘Och Israël, uw trots en vreugde liggen levenloos op de heuvels, machtige helden zijn gevallen.
2SA.1.20	Vertel het niet aan de Filistijnen, want het zou hun plezier doen. Verberg het voor de steden Gat en Askelon, zodat de heidense volken geen leedvermaak zullen hebben.
2SA.1.21	O bergen van Gilboa, laat geen regen of dauw meer op u vallen en laat de graanoogst niet meer rijpen op uw hellingen. Want de machtige Saul is op die plaats gedood. Het schild van Gods uitverkoren koning is daar weggeworpen.
2SA.1.22	Vele vijanden verloren hun leven en helden werden geveld: Jonatans boog en Sauls zwaard misten hun doel nooit.
2SA.1.23	Wat waren zij geliefd en bemind, Saul en Jonatan! Samen leefden zij en samen stierven zij. Zij waren sneller dan arenden en sterker dan leeuwen.
2SA.1.24	Huil nu om Saul, vrouwen van Israël. Hij maakte u rijk met prachtige kleren en gouden sieraden.
2SA.1.25	Deze moedige helden sneuvelden in het heetst van de strijd. Jonatan stierf in de heuvels.
2SA.1.26	Ik huil om u, mijn broeder Jonatan. Wat hield ik veel van u! Uw liefde voor mij was niet te vergelijken met de liefde van vrouwen!
2SA.1.27	Helaas, onze helden zijn gevallen. Beroofd van hun wapens verloren zij hun leven.’
2SA.2.1	David vroeg daarna aan de 
2SA.2.2	Dus verhuisde David met zijn vrouwen Achinoam en Abigaïl. 
2SA.2.3	Ook de mannen die bij hem waren, gingen met hun gezinnen in Hebron wonen. 
2SA.2.4	Daar kwamen de leiders van Juda bij David en zalfden hem tot koning over heel Juda. Kort daarop hoorde David dat de mannen van Jabes in Gilead Saul hadden begraven. 
2SA.2.5	Hij stuurde hun de volgende boodschap: ‘De 
2SA.2.6	Moge de 
2SA.2.7	Verlies de moed niet en wees dapper, nu Saul dood is. Schaar u achter de stam van Juda, die mij als nieuwe koning heeft gekozen.’
2SA.2.8	Maar Sauls opperbevelhebber Abner had Sauls zoon Isboset naar Machanaïm meegenomen en hem daar tot koning gekroond. 
2SA.2.9	Zijn gebied omvatte Gilead, Aser, Jizreël, Efraïm, de stam van Benjamin en de rest van Israël. 
2SA.2.10+2SA.2.11	 Isboset was op dat moment veertig jaar oud. Hij regeerde Israël twee jaar vanuit Machanaïm, terwijl David vanuit Hebron zevenenhalf jaar regeerde over de stam van Juda.
2SA.2.12	Op een dag trok een deel van Isbosets leger onder leiding van Abner van Machanaïm naar Gibeon. 
2SA.2.13	Davids legeraanvoerder Joab, de zoon van Seruja, ging hem met een troepenmacht tegemoet. Zij ontmoetten elkaar bij de bron van Gibeon, waar zij aan weerszijden van de bron halt hielden. 
2SA.2.14	Toen zei Abner tegen Joab: ‘Laten we onze jonge mannen een zwaardgevecht laten houden!’ Dat leek Joab een goed idee. 
2SA.2.15	Uit beide partijen werden twaalf mannen gekozen die het dodelijke spel moesten gaan spelen. 
2SA.2.16	Ieder van hen greep de tegenstander bij de haren en stak hem met het zwaard in de zij. Allen werden op die manier gedood. Sinds die tijd heet die plaats bij Gibeon het Zwaardenveld. 
2SA.2.17	Daarna barstte het gevecht tussen de twee legers los en tegen het einde van die dag werd het duidelijk dat Abner en de mannen van Israël het moesten afleggen tegen Joab en de troepen van David. 
2SA.2.18	Joabs broers Abisaï en Asaël streden ook mee. Asaël kon heel hard lopen en zette de achtervolging in op de vluchtende Abner. 
2SA.2.19	Niets kon hem tot staan brengen. Hij wilde maar één ding: Abner achterhalen. 
2SA.2.20	Toen Abner omkeek en hem zag naderen, riep hij hem toe: ‘Bent u dat, Asaël?’ ‘Ja,’ riep hij terug, ‘ik ben het.’ 
2SA.2.21	‘Achtervolg een van de anderen en pak hem zijn wapenrusting af,’ riep Abner. Asaël wilde echter niet luisteren en bleef doorlopen. 
2SA.2.22	Opnieuw riep Abner: ‘Ga hier weg. Ik kan uw broer Joab niet meer onder ogen komen als ik u moet doden!’ 
2SA.2.23	Maar hij weigerde weg te gaan, daarom stak Abner hem met het botte eind van zijn speer in de buik. De speer doorboorde zijn lichaam en kwam er van achteren weer uit. Asaël zakte in elkaar en stierf. Ieder die erlangs kwam, bleef stilstaan.
2SA.2.24	Toen zetten Joab en Abisaï de achtervolging op Abner in. De zon ging al onder toen zij aankwamen bij de heuvel Amma, die vlak bij Giach lag, langs de weg naar de woestijn van Gibeon. 
2SA.2.25	Abners strijders van de stam van Benjamin hergroepeerden zich op de top van die heuvel. 
2SA.2.26	Abner schreeuwde Joab toe: ‘Moeten onze zwaarden elkaar voor altijd blijven doden? Wanneer zegt u eindelijk uw mensen dat zij moeten ophouden hun broeders te achtervolgen?’ 
2SA.2.27	Joab riep terug: ‘Ik zweer bij God dat wij vanmorgen de achtervolging al zouden hebben gestaakt, als u dit eerder had gezegd.’ 
2SA.2.28	Vervolgens blies hij op zijn trompet. Dat was voor zijn mannen het teken de achtervolging te staken.
2SA.2.29	Die nacht trokken Abner en zijn mannen zich terug door het dal van de Jordaan, staken de rivier over en trokken verder tot zij bij Machanaïm aankwamen. 
2SA.2.30	Joab en zijn mannen gingen eveneens terug naar huis en toen hij zijn gesneuvelden telde, merkte hij dat naast Asaël slechts negentien mannen gedood waren. 
2SA.2.31	Maar onder Abners mannen waren driehonderdzestig doden gevallen, allemaal Benjaminieten. 
2SA.2.32	Joab en zijn mannen namen Asaëls lichaam mee naar Bethlehem en begroeven hem naast zijn vader. Daarna trokken zij de hele nacht door en kwamen bij het aanbreken van de morgen in Hebron aan.
2SA.3.1	Deze strijd vormde het begin van een langdurige oorlog tussen de volgelingen van Saul en David. Davids positie werd steeds sterker, terwijl die van de nakomelingen van Saul steeds zwakker werd. 
2SA.3.2	David kreeg in Hebron diverse zonen. De oudste was Amnon, ter wereld gebracht door Achinoam. 
2SA.3.3	Abigaïl was de moeder van zijn tweede zoon, Kileab. De derde zoon was Absalom van zijn vrouw Maächa, de dochter van koning Talmai van Gesur. 
2SA.3.4	Chaggit bracht de vierde zoon, Adonia, ter wereld en daarna baarde Abital de vijfde zoon Sefatja. 
2SA.3.5	Jitream was de zesde en zijn moeder heette Egla.
2SA.3.6	Terwijl de oorlog voortduurde, werd Abner steeds invloedrijker onder de volgelingen van Saul. 
2SA.3.7	Hij misbruikte zijn positie om met Rispa, een van Sauls bijvrouwen, te slapen. Toen Isboset hem hiervoor ter verantwoording riep, 
2SA.3.8	was Abner woedend. ‘Ben ik soms een Judese hond, dat ik zo word behandeld?’ schreeuwde hij. ‘Is dit mijn beloning na alles wat ik voor uw vader en u heb gedaan, door u niet aan David te verraden: mij lastigvallen over de één of andere vrouw? 
2SA.3.9+2SA.3.10	 God mag mij vervloeken als ik niet alles zal doen om uw hele koninkrijk, van Dan tot Berseba, van u af te nemen en aan David te geven, precies zoals de 
2SA.3.11	Isboset durfde niets terug te zeggen, omdat hij bang was voor Abner.
2SA.3.12	Daarna stuurde Abner boodschappers naar David: ‘Sluit een overeenkomst met mij, dan zal ik alles doen om te zorgen dat u heel Israël in bezit krijgt.’ 
2SA.3.13	‘Goed,’ zei David, ‘maar er komt geen overeenkomst voordat u mijn vrouw Michal hebt teruggebracht.’ 
2SA.3.14	Daarna stuurde David dezelfde boodschap naar Isboset: ‘Geef mij mijn vrouw Michal terug, want ik heb haar gekocht met de voorhuiden van honderd Filistijnen.’ 
2SA.3.15	Daarom haalde Isboset haar weg bij haar man Palti. 
2SA.3.16	Deze volgde Michal tot Bachurim terwijl hij huilde van verdriet. Toen zei Abner tegen hem: ‘U kunt nu beter naar huis gaan.’ Dat deed hij toen.
2SA.3.17	Intussen overlegde Abner met de leiders van Israël en hij herinnerde hen eraan dat zij David al een lange tijd als koning wilden hebben. 
2SA.3.18	‘Daarvoor bestaat nu de kans,’ zei hij tegen hen. ‘Want de 
2SA.3.19	Abner sprak ook met de leiders van de stam Benjamin, waarna hij in Hebron David verslag deed over de vooruitgang die hij had geboekt in de besprekingen. 
2SA.3.20	Twintig mannen vergezelden hem en David bood hun een feestelijke maaltijd aan. 
2SA.3.21	Bij zijn vertrek beloofde Abner David: ‘Ik ga op weg om alle Israëlieten voor u bijeen te roepen, dan zullen zij een verdrag met u sluiten en zult u koning over heel Israël worden, zoals u al zo lang hebt gewild.’ Daarop liet David Abner ongehinderd vertrekken.
2SA.3.22	Maar toen Abner net was vertrokken, keerde Joab met een deel van Davids troepen terug van een strooptocht die hun veel buit had opgeleverd. 
2SA.3.23	Toen Joab hoorde dat Abner kort tevoren de koning had bezocht en ongehinderd weer was vertrokken, 
2SA.3.24+2SA.3.25	 spoedde hij zich naar de koning en vroeg hem boos: ‘Wat hebt u nu gedaan? Waarom hebt u Abner zomaar weg laten gaan? U weet heel goed dat hij hier kwam spioneren.’ 
2SA.3.26	Joab stuurde daarop boodschappers achter Abner aan om hem te zeggen dat hij moest terugkomen. Zij haalden hem in bij de bron Sira en hij ging met hen mee terug. David wist hier echter niets van. 
2SA.3.27	Toen Abner bij Hebron aankwam, nam Joab hem bij de stadspoort terzijde alsof hij hem onder vier ogen wilde spreken. Hij stak hem echter in zijn buik en doodde hem uit wraak voor de dood van zijn broer Asaël.
2SA.3.28	Toen David dit hoorde, verklaarde hij: ‘Ik zweer bij de 
2SA.3.29	Joab en zijn familie zijn de schuldigen. Laat er in Joabs familie altijd iemand zijn die een geslachtsziekte of de schurft heeft, iemand die met krukken loopt, een gewelddadige dood sterft of honger lijdt.’ 
2SA.3.30	Zo doodden Joab en zijn broer Abisaï Abner om wraak te nemen voor de dood van hun broer Asaël in de slag bij Gibeon.
2SA.3.31	David zei tegen Joab en allen die bij hem waren: ‘Scheur uw kleren en kleed u in zakken, we moeten rouwen om Abner.’ En koning David liep achter de baar naar de begraafplaats. 
2SA.3.32	Zij begroeven Abner in Hebron. De koning en alle aanwezigen huilden toen zij bij het graf stonden. 
2SA.3.33+2SA.3.34	 ‘Als een goddeloze kwam Abner aan zijn einde,’ klaagde de koning. ‘Uw handen waren niet vastgebonden, uw voeten waren niet geboeid. U werd vermoord als slachtoffer van een gemene samenzwering.’ En opnieuw huilden alle aanwezigen om hem. 
2SA.3.35+2SA.3.36	 De hele dag van de begrafenis at David niets en iedereen smeekte hem toch iets te eten. Maar David zwoer dat hij niets zou eten tot de zon was ondergegaan. Deze houding van de koning sprak zijn onderdanen erg aan, zij hadden bewondering voor alles wat hij deed! 
2SA.3.37	Zo werd het voor het hele volk, zowel Israël als Juda, duidelijk dat David op geen enkele manier verantwoordelijk was voor Abners dood. 
2SA.3.38+2SA.3.39	 David zei tegen zijn naaste dienaren: ‘Besef wel dat Israël vandaag een groot leider heeft verloren. Ik voel me nu niet geroepen om Joab en Abisaï aan te pakken omdat ik nog maar net koning ben. Moge de 
2SA.4.1	Het nieuws van Abners dood in Hebron bracht koning Isboset in grote verwarring. Hij en zijn onderdanen waren verlamd door angst. 
2SA.4.2+2SA.4.3	 Het bevel over het leger van Israël kwam nu in handen van de broers Baäna en Rechab, die de overvalcommandoʼs van koning Isboset leidden. Zij waren zonen van Rimmon uit Beërot in Benjamin. Mensen uit Beërot worden beschouwd als Benjaminieten, ook al vluchtten zij indertijd naar Gittaïm, waar zij nu nog wonen. 
2SA.4.4	Er leefde ook nog een kleinzoon van koning Saul. Hij heette Mefiboset en was een zoon van Jonatan. Op het moment van de slag bij Jizreël, waarin Saul en Jonatan sneuvelden, was deze Mefiboset vijf jaar oud. Toen het nieuws over de nederlaag de hoofdstad bereikte, vluchtte de verzorgster met het kind, maar in haar haast viel zij en liet het kind vallen. Zo raakte Mefiboset verlamd.
2SA.4.5	Rechab en Baäna kwamen op een middag bij het huis van koning Isboset. Deze hield net een middagslaapje. 
2SA.4.6+2SA.4.7	 Zij gingen het huis binnen en deden net alsof zij een zak tarwe wilden halen. Zij slopen naar zijn slaapkamer, vermoordden hem en hakten zijn hoofd af. Zij vluchtten die nacht de woestijn in en wisten zo te ontsnappen. Het hoofd van Isboset namen zij mee. 
2SA.4.8	In Hebron aangekomen, lieten zij het hoofd aan David zien. ‘Kijk!’ zeiden zij. ‘Hier is het hoofd van Sauls zoon Isboset, die probeerde u te doden. Vandaag heeft de 
2SA.4.9	Maar David antwoordde: ‘Ik zweer bij de 
2SA.4.10	dat toen iemand mij vertelde: “Saul is dood,” en daarbij dacht dat hij mij goed nieuws bracht, ik hem heb gedood. Zo beloonde ik hem voor zijn “goede bericht”. 
2SA.4.11	Dus wat moet ik dan wel niet doen met zulke goddeloze mannen, die een goede man doden die thuis op zijn bed ligt te slapen! Zou ik die niet zéker ter dood veroordelen?’ 
2SA.4.12	Daarom gaf David zijn mannen opdracht hen te doden. Dat deden zij onmiddellijk. Zij hakten hun handen en voeten af en hingen hun lichamen bij de vijver in Hebron. Isbosets hoofd begroeven zij in Abners graf in Hebron.
2SA.5.1	Vertegenwoordigers van alle stammen van Israël kwamen naar David in Hebron en beloofden hem trouw. ‘Wij zijn uw volksgenoten, uw broeders,’ zeiden zij. 
2SA.5.2	‘Zelfs toen Saul nog onze koning was, was u onze werkelijke leider. De 
2SA.5.3	Zo sloot David voor de ogen van de 
2SA.5.4+2SA.5.5	 David was dertig jaar toen hij koning werd. Eerst regeerde hij zevenenhalf jaar vanuit Hebron over Juda. Daarna regeerde hij drieëndertig
2SA.5.4+2SA.5.5	jaar in Jeruzalem over Israël en Juda. In totaal was hij dus veertig jaar aan de macht.
2SA.5.6	Kort daarna leidde David zijn troepen naar Jeruzalem om de strijd aan te binden met de Jebusieten, die daar woonden. ‘U komt hier nooit binnen,’ zeiden zij. ‘Zelfs blinden en lammen zouden u buiten de muren kunnen houden!’ Zo gemakkelijk dachten zij David van zich af te kunnen houden. 
2SA.5.7	Maar David en zijn mannen versloegen hen en veroverden de burcht Sion, die nu de Stad van David wordt genoemd. 
2SA.5.8	Want toen de beledigende boodschap van de verdedigers van de stad David had bereikt, had hij tegen zijn troepen gezegd: ‘Zodra de stad is ingenomen, moeten jullie al die “lamme” en “blinde” Jebusieten van de burcht naar beneden gooien. Ik haat hen. Degene die de stad als eerste inneemt, wordt opperbevelhebber.’ Hiervan stamt het spreekwoord: ‘Blinden en lammen mogen niet binnenkomen!’ 
2SA.5.9	David maakte de burcht Sion tot zijn hoofdkwartier en noemde deze voortaan de Stad van David. Rondom bouwde hij versterkingen. Hij begon bij Millo en bouwde zo verder naar binnen. 
2SA.5.10	Op die manier werd David steeds machtiger, want de 
2SA.5.11	Koning Chiram van Tyrus stuurde cederhout, timmerlui en steenhouwers om een paleis voor David te bouwen. 
2SA.5.12	David besefte nu waarom de 
2SA.5.13	Nadat David van Hebron naar Jeruzalem was verhuisd, trouwde hij nog meer vrouwen en bijvrouwen, van wie hij veel zonen en dochters kreeg. 
2SA.5.14+2SA.5.15+2SA.5.16	Davids kinderen die in Jeruzalem werden geboren zijn: Sammua, Sobab, Natan, Salomo, Jibchar, Elisua, Nefeg, Jafia, Elisama, Eljada en Elifelet.
2SA.5.17	Toen de Filistijnen hoorden dat David koning van heel Israël was geworden, probeerden zij hem gevangen te nemen, maar David werd van hun plan op de hoogte gesteld en verschanste zich in zijn burcht. 
2SA.5.18	De Filistijnen arriveerden en verspreidden zich over het dal van Refaïm. 
2SA.5.19	David vroeg de 
2SA.5.20	Dus verliet David de burcht, trok op naar Baäl-Perasim en versloeg hen daar. ‘Dit heeft de 
2SA.5.21	Onder de zaken die de Filistijnen hadden achtergelaten, waren veel afgodsbeelden. Dat alles werd buitgemaakt door de troepen van David.
2SA.5.22	De Filistijnen kwamen echter terug en verspreidden zich weer over het dal van Refaïm. 
2SA.5.23	Toen David de 
2SA.5.24	Als u door die struiken een geluid hoort gaan van marcherende voeten, val dan aan! Dat is het teken dat de 
