MAT.1.1	Anuu nanülia na koo'uliwo'ukana Jesucristo chi nuu'uliwo'ukai David chi nuu'uliwo'ukai Abraham:
MRK.15.44	Niasa'a Pilato, süka nnojolüin niyaawatüin naa'u Jesús sünain ouktüichipain, nüsakirüin wane sülaülashi surulaat soo'opünaa tia. 
MRK.15.45	Shiasa nütüjaapa saa'u sünain ouktüichipain Jesús, naapüin nümüin José süpüla nüshakatirüinjachin müliashii saa'ujee kuruusakat.
MRK.15.46	Je José, nikeraajatüjülia wane kuluulu kanüliasü “linoin”. Nüshakatirakalaka müliashii sünain nüko'oloin nia süka tü kuluutkot. Eejatüja'a wane woowira akumajiruushi paala nütüma José sulu'u wane ipa müle'o süpüla nüpüshi. Akumajuushi tü shirousekat süka wane ipa müle'o. Ni'itaakalaka müliashii sulu'u tü woowirakat sünain nüsürülüin tü woowirakat süka tü ipakat. 
MRK.15.47	E'nnüsü sütüma María Magdalena oo'ulaka María tü niikat José eejachire ni'itaanüin müliashii.
MRK.16.1+MRK.16.2	Je suwasajaapa aikat süchikijee tü ka'i neemeraakat o'u na judíokana, o'unüsü María Magdalena oo'ulaka María tü niikat Jacobo oo'ulaka Salomé eemüin tü woowirakat eejachire ni'itaanüin Jesús. Nalü'üjüin wane wunu'u jemeta eejuut ayalajuushi paala natüma süpüla ne'itaainjatüin shia naa'u müliashii. 
MRK.16.3	Aashajaajiraashii naya wopulu'u sünain maa:
MRK.16.3	—¿Jarai cheje aakatüinjachika wamüin tü shirousekat so'ulu'ujee tü woowirakat?
MRK.16.4	Shiasa nantapa chamüin, nanta anainrü süsünne'eruushin tü ipa müle'o shirousesükat tü woowirakat. 
MRK.16.5	Je nekerolapa sulu'umüin tü woowirakat, ne'rakalaka wane jima'ai joyotüin nekialu'ujee sünain kasuuin ma'i nüshe'in. Sainkuukalaka ma'i naa'in na jieyuukana sütüma tü ne'rakat. 
MRK.16.6	Nümakalaka chi jima'aikai namüin:
MRK.16.6	—Nnojo jainkuuin aa'in. Tatüjaa aa'ut sünain jüchajaain nüchiki Jesús chi Nazaretje'ewaikai, chi akachennakai paala süpüla ouktaa. Nnojoishi nia yaaya. Oso'iraaitpa naa'in nüchikua. Jürütkaa jümaala ji'rajaaiwa tü nüchikanainkat eejachire nia süpütüin wayuu. 
MRK.16.7	Anakaja joolu'u müleka ju'unüle süpüla jüküjainjatüin nüchiki nümüin Pedro je namüin na waneeirua nikirajüinkana. Meena jia namüin: “O'uneechi joolu'u nia jüpüleerua Galileamüin. Ji'reechi nia cha'aya maa aka tü nümakat paala jümüin”, meena jia —nümakalaka namüin.
MRK.16.8	Nakutkujaakalaka na jieyuukana je ponosü ma'i naa'in tü ne'rakat. Napantajaakalaka yalajee sulu'ujee tü woowirakat. Nnojoliishii aküjayaain süchiki tü ne'rakat sümüin wayuu süka mmolüin ma'i naya.
MRK.16.9	Oso'iraasü naa'in Jesús so'u tü palajatkat ka'i su'ttiakat semaana. Ee'iyataashi nia sümüin María Magdalena watta'a maalü nnojoliiwa'aya shi'rüin nia wayuu. Tü Maríakat anülia, shia tü ayu'nnakat oulia akaratshisü yolujaa paala nütüma Jesús. 
MRK.16.10	Süchikijee shi'rüin Jesús, o'unüsü María sünain aküjaa nüchiki namüin na wayuu nümaajanakana paala. Eejana naya süpüla sünain a'yalaja'alüin süka mojuin ma'i naa'in. 
MRK.16.11	Shiasa'a süküjapa namüin sünain shi'rüichipain Jesús sünain kataa o'u, nnojotsü noonooin amaa tü sünüikikat.
MRK.16.12	Je süchikijee tia, ee'iyataashi Jesús namüin wane piamashii no'uluku sünain waraittüin naya sulu'u wopu. Mayaainje waraittüin nia namaa, nnojoishi nayaawatüin. 
MRK.16.13	O'unüshii naya süchikijee nayaawatapa Jesús sünain aküjaa nüchiki namüin na napüshikana. Otta müshi'iya naairua, nnojoliishii oonooin sümaa tü nanüikikat.
MRK.16.14	Je süchikijee mapa, ee'iyataashi Jesús namüin na nikirajüin polookana waneemüin. Ekaashii naya nüpüla. Nüchiajaain naya süka matsüin nanoula je süka manoujüinyeein naya, süka nnojoliin noonooin sümaa nanüiki na wayuu e'rüshiikana nia süchikijee suso'iraain naa'in.
MRK.16.15	Je shiasa mapa, nümakalaka Jesús namüin na nikirajüinkana: “Ju'una jumata sainküin mmakat süpüshua süpüla aküjaa tachiki tayakai, chi O'tte'erüikai, sümüin wayuu süpüshua'ale'eya. 
MRK.16.16	Chi wayuu eekai nünoujain tanain sünain nuwoutisaajünüin, o'ttaajeechi tatüma. Alu'usa chi eekai nnojolin nünoujain tanain, kasalajaneerü nümüin naainjala.
MRK.16.17	“Chi wayuu eekai nünoujain tanain, naa'inreerü tatüma kasa eekai isain süchiki wayuu, tü nütüjakat apüleerua Maleiwa nümüiwa. Ounteechi ayu'laa yolujaa je aashajawaa süka pütchi waneejatü. 
MRK.16.18	Müleka naapaale wane wüi ouktasiro'ut, je müleka nüsüle wane emeneenajia, nnojoleechi ouktüin sütüma. Je ni'itaapa najapü saa'u wayuu eekai ayuulin, aneerü”, nümakalaka Jesús namüin na nikirajüinkana.
MRK.16.19	Shiasa süchikijee naashajaain chi Senyotkai Jesús namüin, nu'uninnakalaka chaa iipünaamüin eemüin chi Maleiwakai sümaa nüikkalaain nikialu'ujee. 
MRK.16.20	Nayasa'a na nikirajüinkana, no'unakalaka sainküin mmakat süpüshua sünain aküjaa nüchiki sümüin wayuu. Je sütüjaanakalaka aa'ut sütüma wayuu sünain pansaain nanüiki, süka nakaaliijünüin nütüma chi Senyotkai süpüla aa'inraa tü kasa anasü nütüjakat apüleerua Maleiwa nümüiwa.
LUK.1.1+LUK.1.2+LUK.1.3+LUK.1.4	Teófilo, pia kojutkai sütüma wayuu, tashajeerü joolu'u pümüin nüchiki Jesucristo, tü aküjünakat wamüin natüma na e'rapü'ükana tü naa'inrakat kataiwa'aya no'u, na aneekajuushikana süpüla ekirajaa tü shiimainkat. Je wainma wayuu, maa aka wayakana, eekai naapajüin tü nüchikikat Cristo, nashajüin nüchiki sümüin wayuu, süka nayaawatüin saa'u sünain shikeraajüitpain wainma tü pütchi nüküjakat chi Maleiwakai paala. Otta tayakai, süchikijee taapüin nüchiki Cristo, tasakirapü'üin anainrü. Je joolu'u süka tatüjaain saa'u sünain shiimüin tü taapakat achiki, talo'irüin sukuaippa süpüla tashajüinjatüin pümüin, süpüla lotüin pikiiru'u sünain shiimüin süpüshua tü ekirajünakat anain pia.
LUK.1.5	Je paala sümaiwa, wanaa sümaa nuluwataain Herodes sulu'u tü mmakat Judea, eeshi wane wayuu sacerdote judío kanüliashi Zacarías, oo'ulaka tü nu'wayuusekat kanüliasü Elisabet. Nuu'uliwo'u naya Aarón, chi palajachikai sacerdote na'akajee na judíokana. A'yataashi Zacarías nümüin Maleiwa namaa na waneeirua sacerdote aluwataaushikana nütüma Abías. 
LUK.1.6	Otta Zacarías sümaa tü nu'wayuusekat, anashii naya no'ulu'u Maleiwa sümaa lotüin nakuaippa nu'upala süka naa'inrüin waneepia süpüshua tü nuluwataakat anain. 
LUK.1.7	Otta machooinsalii naya sünain laülaain süka maralüin Elisabet.
LUK.1.8+LUK.1.9	Alü'ütsü nakalia na sacerdote aluwataaushikana nütüma Abías süpüla na'yataainjanain nümüin Maleiwa. Wanaa sümaa na'yataain sünain sacerdotein, aneekünüshi Zacarías na'akajee süpüla nikerolüin sulu'umüin tü a'waajüleekat chi Maleiwakai süpüla na'ajüin wane wunu'u jemeta eejuut sünain a'waajaa Maleiwa. 
LUK.1.10	Je wanaa sümaa na'ajüin tü wunu'ukot, eesü jutkatüin süpüshua tü a'waajüsükalüirua yaa anooipa'a sünain aashajawaa nümaa Maleiwa.
LUK.1.11	Antalaa müshi wane aapiee chajee eejee Maleiwa nünainmüin Zacarías. Sha'watüshi chi aapieekai yaa nikialu'ujee sü'ütpa'a tü a'ajüleekat tü wunu'ukot. 
LUK.1.12	Otta ni'rapa chi aapieekai, ayo'ujaasü naa'in sümaa mmolüin ma'i nia neema. 
LUK.1.13	Nümakalaka joo chi aapieekai nümüin:
LUK.1.13	—Zacarías, nnojo mmolüin pia teema. Naapüinjatü chi Maleiwakai joolu'u pümüin tü kasa püchuntakat nümüin. Kachonweerü pümüin tü pu'wayuusekat wane jo'uu toolo. Anakaja pi'itaale nünülia Juain. 
LUK.1.14	Talateerü ma'i saa'in wayuu wainma saapapa nüchiki sünain niweetüin, je talateerü ma'i paa'in nümaa weinshi. 
LUK.1.15	Kojuteechi nia nütüma Maleiwa sümaa eeinjachin chi Naa'inkai sulu'u naa'in waneepia, süpülapünaa jemelin nia je süpüla ka'ikat süpüshua. Je süpüla sütüjaain naa'u wayuu sünain aneekuushin nütüma Maleiwa, anashi müleka nnojoire nüsüin wane asüüshi eekai jashü'üin. 
LUK.1.16	Nükaaliijeerü chi püchonkai wainma tü wayuu Israelkalüirua süpüla sünoujainjatüin nünain chi Maleiwakai. 
LUK.1.17	O'uneechi nia nüpüleerua Maleiwa sünain katsüin naa'in nütüma chi Naa'inkai, maa aka naa'in Elías chi nünüikimaajachikai Maleiwa paala sümaiwa. Je sütüma nünüiki chi püchonkai, aijiraweerü wayuu wainma sümaa süchooin süchikua. Je na wayuukana ayouktapü'ükana nünüiki Maleiwa, nayaawateerü aa'u sünain kekiin na nüchooinkana Maleiwa je o'tteena naya sünain naapüin nanüiki. Shiimü'inya sünain yapajeerüin saa'in wayuu wainma nüpüla Maleiwa sütüma nünüiki chi püchonkai, je kamaneejeena naya nümüin nüntapa nanainmüin —nümakalaka chi aapieekai nümüin Zacarías.
LUK.1.18	Nüsakirakalaka Zacarías chi aapieekai:
LUK.1.18	—Laülaaichi ma'i taya, je ta'wayuuse, laülaairü. ¿Kaseerü tatüjaaka atüma saa'u sünain shiimüin tü püküjaitpakat tamüin süchiki sünain kachonweerüin tü ta'wayuusekat?
LUK.1.19	Nüsouktakalaka chi aapieekai:
LUK.1.19	—Taya Gabrielkai anülia, nüma'anajeejachikai Maleiwa. Aluwataaushi taya nütüma pünainmüin süpüla taküjainjatüin pümüin süchiki tü kasa anasü alateetkat jümüin. 
LUK.1.20	Je süka nnojolin pünoujüin joo tanüiki, manüleechi pia. Je wane'ere'eya paashajaain shikettaajapa süka'iya tü taküjakat achiki pümüin —nümakalaka nümüin Zacarías.
LUK.1.21	Wanaa sümaa naashajaain, asukaasü tü wayuukolüirua yala anooipa'a nüpüla süka kama'ain ma'i nia yala sulu'u tü a'waajüleekat. 
LUK.1.22	Je nujuittaapa, isasü nüchiki naashajaain namaa na wayuukana süka manülin nia. Otta saa'u naashajaain namüin süka najapü, nayaawata aa'u sünain shii'iyataain nümüin wane kasa yala sulu'u tü a'waajüleekat.
LUK.1.23	Shiasa kettaapa sükalia ni'yataain Zacarías sünain sacerdotein nia, o'unüshi nipialu'umüin. 
LUK.1.24	Shiasa süchikijee tia, ipootsü joo Elisabet tü nu'wayuusekat. Süsürülaakalaka maa aka ja'rai kashi. 
LUK.1.25	A'waajüsü Maleiwa sünain: “Nümüliajüin taya chi Maleiwakai saa'u anamiain ma'i nia tamüin. Nnojoleerü joo taya shime'erainpalain wayuu saa'u maralüin taya”, sünain sümüin nümüin.
LUK.1.26+LUK.1.27	Shiasa maa aka aippirua kashi sünain ipoolüin Elisabet, aluwataanüshi chi aapieekai Gabriel nütüma Maleiwa sünainmüin wane majayülü kepiasü sulu'u wane pueulo kanüliasü Nazaret sulu'u tü mmakat Galilea. Otta sünülia tü majayütkat, María. Nnojoyülia shia nünainpünaain wayuu toolo. Achuntuushiirü shia nütüma wane wayuu José anüliai süpüla nu'wayuuse. Otta José, nuu'uliwo'u David chi sülaülakai mma paala sümaiwa. 
LUK.1.28	Nüntakalaka joo chi aapieekai sünainmüin María sünain nümüin sümüin:
LUK.1.28	—¿Jamayaa pia? Eeshi chi Maleiwakai pümaa süka kojutüin ma'i pia nütüma.
LUK.1.29	“¿Jamalu'ut cheje nünüiki tamüin makalaka joolu'u nüsaküin taya?”, majataasü saa'in María süka sainkuuin saa'in sütüma tü nümakat chi aapieekai sümüin. 
LUK.1.30	Ayatshi chi aapieekai aashajaain sümüin:
LUK.1.30	—María, Nnojo mmolüin pia neema Maleiwa, süka nüneeküin pia süpüla wane kasa anasü. 
LUK.1.31	Ipooleerü joo pia. Jemeyuleerü pia nümaa wane jo'uu toolo je pi'itaajeerü nünülia chi jo'uukai Jesúsüin. 
LUK.1.32+LUK.1.33	Kojutshaateechi chi jo'uukai nütüma chi Maleiwa Miyo'ushikai ma'i sümaa: “Pia Tachonka”, nümeechin nümüin. Aneekuushi chi jo'uukai nütüma Maleiwa süpüla nuluwataainjatüin tü wayuu judíokalüirua, tü nuu'uliwo'ukalüirua Jacob, maa aka nuluwataapü'üin paala sümaiwa chi putuushikai David. Müichia nnojolin oo'ulaain suulia aluwatawaa —nümakalaka chi aapieekai sümüin María.
LUK.1.34	Otta sünüiki María nümüin:
LUK.1.34	—¿Jamakuaippatkai taya kachoinjatüin sünain nnojolüin nünainpünaain taya wayuu toolo? —sümakalaka.
LUK.1.35	Asouktüshi joo chi aapieekai:
LUK.1.35	—Chi Maleiwa Miyo'ushikai ma'i, nuluwataainjachi chi Naa'inkai pünainmüin. Ni'itaweetkalaka pümüin kachonwaa, süpüla “Pia Tachon Maainjalasaikai”, süpüla nümünüinjachin chi jo'uukai nütüma Maleiwa. 
LUK.1.36+LUK.1.37	Soto paa'in sünain nnojolüin kasain isain nüchiki Maleiwa. Je wane kasaya: tü püü'itkat Elisabet, tü maratkat paala, aippiruairü kashi sünain ipoolüin shia. Mayaasüje laülaain, kachonsü. Shiimüin sünain nnojolüin kasain isain nüchiki Maleiwa —nümakalaka chi aapieekai sümüin María.
LUK.1.38	Sümakalaka joo María ni'ipajee:
LUK.1.38	—Anuuitpaja joo taya nümüin Maleiwa. Anashi müleka naa'inrüle taka tü püküjakat achiki tamüin.
LUK.1.38	Shiasa süchikijee tia, o'unüshi chi aapieekai süma'anajee.
LUK.1.39+LUK.1.40	Je süchikijee maa aka palitchon ka'i, o'unüsü María sünain suwa'ülaain chaa eemüin Elisabet eere kepiain shia nümaa Zacarías chi su'wayuusekai sulu'u wane pueulo pasanain sünain uuchi sulu'u tü mmakat Judea. Je süntaiwa'aya María nepialu'umüin, süsaküin Elizabet. 
LUK.1.41	Je saapaiwa'aya Elisabet sünüiki María, akutulaashi chi süchonkai yaa süle'eru'u. Je Elisabet, wanaa sümaa tia, antüshi chi Naa'inkai Maleiwa saa'u süpüla sümüin 
LUK.1.42	sümüin María, sünain emetuluin sünüiki:
LUK.1.42	—Anata'aleesüja'a ma'i pia nütüma Maleiwa suulia jieyuu maleekalia. Je anata'aleeshija'a ma'i chi jo'uu jemeyuleetkai amaa pia. 
LUK.1.43	Atak, anasüja müin te'iyouin pia, pia niikat chi Tasenyotsekai. 
LUK.1.44	Taapaiwa'aya pünüiki sünain püsaküin taya, akutulaashi chi tachonkai tale'eru'u süka talatüin naa'in. 
LUK.1.45	Anata'aleesüja'a ma'i pia, süka pünoujain sünain shikettaajünüinjatüin süpüshua tü nüküjakat achiki Maleiwa pümüin —sümakalaka Elisabet sümüin María.
LUK.1.46+LUK.1.47	Ee'irajüsü joo María sünain su'waajüin chi Maleiwakai:
LUK.1.46+LUK.1.47	“Kojutüshi ma'i chi Tamaleiwasekai tatüma süka süpüshua taa'in.
LUK.1.46+LUK.1.47	Talatashaatasü ma'i taa'in nümaa,
LUK.1.46+LUK.1.47	süka niain o'tte'erüinjachin taya
LUK.1.48	je süka nükaaliijain taya nüchepchiakat sa'akajee tamüliala.
LUK.1.48	‘Anata'aleesüja'a ma'i shia nütüma Maleiwa’, meerü tamüin wayuu joolu'u je watta ka'i,
LUK.1.49	süka naa'inrüin kasa anashaatasü ma'i tamüin.
LUK.1.49	Ta'waajüin chi Maleiwakai süka pülashin nia je süka maainjalain.
LUK.1.50	Nümüliajüin paala chi eekai kojutüin nia nütüma,
LUK.1.50	je ayateechi nia amüliajüin na eekana kojutüin nia natüma.
LUK.1.51+LUK.1.52	Je süka pülashin ma'i nia, naa'inrüin tü kasa ponokot saa'in wayuu.
LUK.1.51+LUK.1.52	Na eekana pülain naa'in nuulia, maa aka na sülaülashiikana mma, mapülainsalii nütüma.
LUK.1.51+LUK.1.52	Otta tü wayuu mapülainsatkalüirua, kojutshii naya nütüma.
LUK.1.53	Chi eekai alin jamü nümüin, emirashi kasa anasü nütüma,
LUK.1.53	otta chi washitshikai, ajütünüshi nüma'anajee nütüma sünain majapulu'ujanain.
LUK.1.54	Je waya nüchepchiakana Maleiwa, na nuu'uliwo'ukana Israel, aa'inmajünüshii waya nütüma,
LUK.1.55	süka pansaain nünüiki namüin na watuushikana
LUK.1.55	sünain nümüin namüin, ‘Tamüliajeena waneepia Abraham oo'ulaka na nuu'uliwo'ukana’ ”.
LUK.1.55	Shia tü sümakat María sünain su'waajüin chi Maleiwakai.
LUK.1.56	Je süchikijee maa aka apünüin kashi sünain chain María süma'ana Elisabet, ale'ejüsü shipialu'umüin süchikua.
LUK.1.57	Shiasa kettaapa joo tü sükaliakat Elisabet jemeyulajatkat o'u shia, jemeyuttaalakalaka shia nümaa wane jo'uu toolo. 
LUK.1.58	Je na süpüshikana oo'ulaka na wayuu kepiakana pejepünaa sünain, naapaiwa'aya süchiki, wanaawajiraasü naa'in sümaa Elisabet sünain talatüin ma'i naa'in. Nayaawata aa'uchi chi Maleiwakai sünain nümüliajüin Elisabet, tü maratkat paala, sünain naapüin kachonwaa sümüin.
LUK.1.59	Je nakuaippa na judíokana nümüin wane jo'uu toolo, o'yotoona atachi, süka shiain niyaawasein wane nüpüshikai Maleiwa. Je süntapa mekiisat ka'i nükalia chi süchonkai Elisabet, antüshii na süpüshikana oo'ulaka na kepiakana pejepünaa sünain süpüla e'rajaa sukua tü o'yotoonookat ata.
LUK.1.59	—Anasü Zacaríasüi nünülia wanaawaiwa nünülia nümaa chi nüshikai —müsü naashajiraala na wayuukana.
LUK.1.60	Otta sünüiki tü niikat:
LUK.1.60	—Nnojo. E'itaaneerü Juain nünülia —sümakalaka.
LUK.1.61	Nasouktakalaka joo na wayuukana:
LUK.1.61	—Nnojoishi wayuu eekai Juain nünülia sa'aka tü jüpüshikalüirua.
LUK.1.62	Aashajaashii joo na wayuukana süka najapü nümüin nüshi chi jo'uukai sünain nasakirüin nia sünain tü nünüliainjatkat chi nüchonkai. 
LUK.1.63	Nüsaajitkalaka joo Zacarías wane taapüla süpüla nüshajüinjatüin sünain. Otta tü wayuukolüirua, ainkuusü ma'i saa'in sütüma tü nüshajakat: “E'itaanüitpa Juainjatüin nünülia”, müsü tü nüshajakat. 
LUK.1.64	Je wanaa sümaa yaain nüshajüin, kanü'iraa müshi. Nu'waajakalaka joo chi Maleiwakai. 
LUK.1.65	Ponusü ma'i saa'in tü wayuu e'rajaasükalüirua nukua chi jo'uukai tü ne'rakat. Otta tü wayuu kepiasükalüirua sa'akapünaa tü uuchikat yala sulu'upünaa tü mmakat Judea, yootüshii ma'i naya süchiki süpüshua tü alatakat. 
LUK.1.66	“¿Wanewee cheje wayuu anashi chi jo'uukai miyo'upa nia?”, müshii naya, süka nayaawatüin naa'u sünain naa'inmajünüin nütüma Maleiwa.
LUK.1.67	Otta Zacarías, chi nüshikai chi jo'uukai, antüshi chi Naa'inkai Maleiwa naa'u süpüla nuuntüinjatüin nüküjain süchiki tü naa'inrüinjatkat chi jo'uukai. Müshi nia namüin na wayuukana:
LUK.1.68	“Waya nuu'uliwo'ukana Israel, anashii wa'waajüle chi Wamaleiwasekai.
LUK.1.68	Sotüshii waya naa'in süpüla taashinjanain waya suulia waainjala
LUK.1.69+LUK.1.70	nütüma chi O'tte'erüikai Pülashikai ma'i,
LUK.1.69+LUK.1.70	chi nuu'uliwo'ukai David nüchepchiakai Maleiwa.
LUK.1.69+LUK.1.70	Nia chi aküjünapü'ükai achiki natüma na nünüikimaajanakana Maleiwa paala sümaiwa, na akatannakana suulia kaainjalaa.
LUK.1.71+LUK.1.72	Nikeraajüin chi Maleiwakai tü nümakat namüin na watuushikana sünain nümüliajüinjanain naya,
LUK.1.71+LUK.1.72	tü pütchi e'itaanakat nütüma.
LUK.1.71+LUK.1.72	Je joolu'u, watüjaa aa'ulu sünain nu'tte'ereenain waya
LUK.1.71+LUK.1.72	noulia na wa'ünüükana je noulia na eekai kanain waya naa'in.
LUK.1.73	Pansaasü nünüiki chi Maleiwakai paala nümüin chi watuushikai Abraham sünain nümüin nümüin:
LUK.1.74+LUK.1.75	‘Piakai, namaa na püchooinkana,
LUK.1.74+LUK.1.75	anajiraajeena jia tamaa je akatalaajeena jia suulia jaainjala.
LUK.1.74+LUK.1.75	Takaaliijeena jia süpüla ji'yataainjanain tamüin waneepia
LUK.1.74+LUK.1.75	sümaa nnojolüin mmolüin jaa'in neema na jü'ünüükana,
LUK.1.74+LUK.1.75	süka tajuittireenain jia nama'anajee’, müshi chi Maleiwakai nümüin”.
LUK.1.76	Aashajaashi joo Zacarías nümüin chi jo'uukai:
LUK.1.76	“Tachee, pieechi nünüikimaajachika chi Maleiwa Miyo'ushikai ma'i,
LUK.1.76	süka pu'unajachin nüpüleerua chi Senyotkai süpüla pikeraajüin tü nüpünakat nüpüleerua.
LUK.1.77+LUK.1.78	Paapireena na nüpüshikana Maleiwa sünain nümüliajüinapain naya.
LUK.1.77+LUK.1.78	Je joolu'u, nülatireein naainjala noulia süpüla nu'tte'erüinjanain naya.
LUK.1.77+LUK.1.78	Shiimüin sünain nüjütüinjachin chi O'tte'erüikai wanainmüin chajee iipünaajee
LUK.1.79	süpüla nükaaliijainjanain waya mmotkana seema ouktaa saaliijee waainjala,
LUK.1.79	je süpüla naapüinjatüin wane anaa wamüin”,
LUK.1.79	müshi Zacarías nümüin chi nüchonkai.
LUK.1.80	Otta müshia chi jo'uukai, ataralaashi joo nia sünain yalayalain ma'i. Kepiashi nümüiwa cha'aya isashiipa'a kojuya juya süpülapünaa niweetüin sümüin tü wayuu Israelkalüirua.
LUK.2.1+LUK.2.2	Je tü wayuukolüirua sainküin mmakat süpüshua, aluwataanüshii naya nütüma chi sülaülashikai mma, Augusto Césarkai anülia, kepiakai Roma. Je chi sülaülashikai tü mmakat Siria eere kepiain María, nia Cirenio. Je so'u tü juya ipootkat o'u María, aapinnüsü wayuu süpüshua süpüla ayaawajünaa. Nnojotsü ayaawajünaajüin tü wayuukolüirua paalainka maa aka shiyaawajünüin joolu'u. 
LUK.2.3	Ajütünüsü tü wayuukolüirua süpüshua sulu'umüin suumain süpüla yaawaa cha'aya.
LUK.2.4+LUK.2.5	Otta müshia José, o'unüshi nuumainpa'amüin süpüla ayaawajünaa. O'unüshi sulu'ujee tü pueulokat Nazaret eejachire kepiain sulu'u tü mmakat Galilea chamüin sulu'umüin tü mmakat Judea eemüin wane pueulo kanüliasü Belén, tü nuumainkat David sümaiwa chi nutuushikai. Shia nuumainka José maa'ulu yaa süka niain nülüin David. Otta María, tü nüchuntalakat paala, o'unüsü nümaa sümaa jakütüin ma'i shia. 
LUK.2.6+LUK.2.7	Otta nantapa chamüin Belénmüin, wotüsü tü atunküleekat noulia. Kettaataalakalaka sükalia María süpüla jemeyulüinjatüin shia. Jemeyuttaalakalaka María nümaa chi shi'irumakai sulu'u shipia mürüt. Süko'oyotkalaka chi jo'uukai süka wane kuluulu. Je sutunkirakalaka nia sulu'u wane shiitain mürüt.
LUK.2.8	Je so'u aikat tia, eeshii wane wayuuirua arüleejülii sünain aa'inmajaa na'anneetse süpa'a wane anooishi cha'aya sü'ütpa'a Belén. 
LUK.2.9	Nii'iyalaakalaka wane aapiee chajee iipünaajee namüin sümaa warattuuin tü mmakat nütüma süka nüma'anajeejachin nia Maleiwa. Mmotshaatashii ma'i na arüleejüliikana sütüma tia. 
LUK.2.10	“Nnojo mmolüin jia teema”, nümakalaka chi aapieekai namüin. “Taküjainjatü joolu'u jümüin süchiki wane kasa anasü talatüinjatkat amaa saa'in wayuu süpüshua. 
LUK.2.11	So'u ka'ikat tüü, jemelichipa jümüin wane jo'uu toolo yaa sulu'u Belén, tü nuumainkat David. Nia chi Senyotkai, Cristokai anülia, chi Nüneekajalakai Maleiwa süpüla nu'tte'erüinjatüin wayuu. 
LUK.2.12	Jünteechi anain chi jo'uukai ko'oyooin süka kuluulu sünain ju'letachoin sulu'u wane shiitain mürüt. Je sükajee tia, jütüjaweerü aa'u sünain shiimüin tü tamakat jümüin”, nümakalaka chi aapieekai namüin.
LUK.2.13	Je nümaa chi aapieekai, eweenuwaasü yaawala wane aapieeirua watta saalin iipünaajee sünain na'waajüin Maleiwa nee'irainru'u sünain maa:
LUK.2.14	“Wa'waajüin chi Maleiwakai chaa iipünaa
LUK.2.14	saa'u nii'iyatüin na'anasia sümüin wayuu yaa mmolu'u
LUK.2.14	shii'iree anajiraainjanain naya nümaa”.
LUK.2.15	Shiasa no'unapa na aapieekana nachikua iipünaamüin eemüin Maleiwa, aashajaajiraashii na arüleejüliikana nachikiru'u:
LUK.2.15	—Joo'uya wo'unaiwa Belénmüin we'rajaaiwa tü kasa alatakat, tü nüküjirakat achiki wamüin chi Maleiwakai —müshii naya.
LUK.2.16	No'unakalaka joo na arüleejüliikana sünain nawa'ülaain pueulopa'amüin eere nantüin sünain María je José oo'ulaka chi jo'uukai ju'letachoin sulu'u tü shiitainkat mürüt. 
LUK.2.17	Je na arüleejüliikana süchikijee ne'rüin chi jo'uukai, naküja achikit sümüin wayuu süpüshua sünain kaapiain paala naya nüchiki chi jo'uukai nütüma Maleiwa. 
LUK.2.18	Je na aapakana nanüiki, ponusü ma'i naa'in tü naküjalakat. 
LUK.2.19	Otta María, jülüjasü saa'in waneepia tü shi'rakat paala oo'ulaka tü saapakat achiki joolu'u, sümaa talatüin ma'i saa'in sütüma. 
LUK.2.20	No'unakalaka joo na arüleejüliikana nepialu'umüin sünain na'waajüin Maleiwa saa'u süpüshua tü ne'rakat je süpüshua tü naapakat achiki, sünain wanaawain ma'i shia sümaa tü aküjünakat achiki paala namüin.
LUK.2.21	Shiasa so'u tü mekiisatkat ka'i nükalia chi süchonkai María, keraasü joo nükalia süpüla shi'yotoonüin nüta, süka shiain niyaawasein wane nüpüshikai Maleiwa. Je so'u ka'ikat tia, e'itaanüsü nünülia Jesúsüin, süka shiain e'itaanatüjülüin tia anülieekat nünain nütüma chi aapieekai paala süpülapünaa ipoolüin María.
LUK.2.22	Je saashin tü nüshajakat Moisés, wane wayuu judío süchikijee jemeyulaa, nnojotsü anain shikerolüin sulu'umüin tü a'waajüleekat Maleiwa so'u maa aka wane kashi, süka nnojolüin wulein shia nu'upala Maleiwa. Otta müshi'iya José sümaa María, keraapa nakalia sünain wuleinjanain naya, nalü'üjakalaka chi nachonkai Jerusalénmüin süpüla ne'itaainjachin nia najapulu'u Maleiwa chaa sulu'u tü a'waajüleekat, süka 
LUK.2.23	shiain sotüin naa'in tü nuluwataakat anain Maleiwa sümaiwa paala: “Chi jo'uu e'irumaakai, e'itaanajachi tajapulu'u”. 
LUK.2.24	Eesü nama'ana wuchii o'utünajatkat aa'in nümüin Maleiwa maa aka sümakat tü nüshajakat Moisés: “Piama wawaachi, piama toomas shiale eekai motsoyünnuuchen”.
LUK.2.25	Je nantapa eemüin tü a'waajüleekat, eekalaka napüla wane wayuu kanüliashi Simeón, kepiashi Jerusalén. Nia wayuuka anashi no'ulu'u Maleiwa süka jüüjüüin waneepia nümüin. Na'atapüin Simeón tü ka'i akaaliijünüinjatkat o'u tü wayuu Israelkalüirua nütüma Maleiwa. Eeshi chi Naa'inkai Maleiwa nümaa, 
