MAT.1.1	Книга родства Иисуса Христа, сына давидова, сына авраамля. 
LUK.11.47	Горе вам, яко зиждете гробы пророк, отцы же ваши избиша их: 
LUK.11.48	убо свидетелствуете и соблаговолите делом отец ваших: яко тии убо избиша их, вы же зиждете их гробы. 
LUK.11.49	Сего ради и премудрость Божия рече: послю в них пророки и апостолы, и от них убиют и изженут: 
LUK.11.50	да взыщется кровь всех пророк, проливаемая от сложения мира, от рода сего, 
LUK.11.51	от крове авеля даже до крове захарии, погибшаго между олтарем и храмом: ей, глаголю вам, взыщется от рода сего. 
LUK.11.52	Горе вам законником, яко взясте ключь разумения: сами не внидосте, и входящым возбранисте. 
LUK.11.53	глаголющу же ему сия к ним, начаша книжницы и фарисее бедне гневатися нань и престати его о мнозе, 
LUK.11.54	лающе его, ищуще уловити нечто от уст его, да нань возглаголют.
LUK.12.1	О нихже собравшымся тмам народа, яко попирати друг друга, начат глаголати учеником своим первее: внемлите себе от кваса фарисейска, еже есть лицемерие. 
LUK.12.2	Ничтоже бо покровено есть, еже не открыется, и тайно, еже не уразумеется: 
LUK.12.3	зане, елика во тме ресте, во свете услышатся: и еже ко уху глаголасте во храмех, проповестся на кровех. 
LUK.12.4	глаголю же вам другом своим: не убойтеся от убивающих тело и потом не могущих лишше что сотворити: 
LUK.12.5	сказую же вам, кого убойтеся: убойтеся имущаго власть по убиении воврещи в дебрь огненную: ей, глаголю вам, того убойтеся. 
LUK.12.6	Не пять ли птиц ценится пенязема двема? и ни едина от них несть забвена пред Богом. 
LUK.12.7	Но и власи главы вашея вси изочтени суть. Не убойтеся убо: мнозех птиц унши есте вы. 
LUK.12.8	глаголю же вам: всяк, иже аще исповесть мя пред человеки, и Сын Человеческий исповесть его пред ангелы Божиими: 
LUK.12.9	а отвергийся мене пред человеки отвержен будет пред ангелы Божиими. 
LUK.12.10	И всяк иже речет слово на Сына Человеческаго, оставится ему: а на святаго Духа хулившему не оставится. 
LUK.12.11	Егда же приведут вы на соборища и власти и владычества, не пецытеся, како или что отвещаете, или что речете: 
LUK.12.12	святый бо Дух научит вы в той час, яже подобает рещи. 
LUK.12.13	Рече же ему некий от народа: Учителю, рцы брату моему разделити со мною достояние. 
LUK.12.14	Он же рече ему: человече, кто мя постави судию или делителя над вами? 
LUK.12.15	Рече же к ним: блюдите и хранитеся от лихоимства: яко не от избытка кому живот его есть от имения его. 
LUK.12.16	Рече же притчу к ним, глаголя: человеку некоему богату угобзися нива: 
LUK.12.17	и мысляше в себе, глаголя: что сотворю, яко не имам где собрати плодов моих? 
LUK.12.18	И рече: се сотворю: разорю житницы моя, и болшыя созижду, и соберу ту вся жита моя и благая моя: 
LUK.12.19	и реку души моей: душе, имаши многа блага, лежаща на лета многа: почивай, яждь, пий, веселися. 
LUK.12.20	Рече же ему Бог: безумне, в сию нощь душу твою истяжут от тебе: а яже уготовал еси, кому будут? 
LUK.12.21	Тако собираяй себе, а не в Бога богатея. 
LUK.12.22	Рече же ко учеником своим: сего ради глаголю вам: не пецытеся душею вашею, что ясте: ни телом, во что облечетеся: 
LUK.12.23	душа болши есть пищи, и тело одежды. 
LUK.12.24	Смотрите вран, яко не сеют, ни жнут: имже несть сокровища, ни житницы, и Бог питает их: кольми паче вы есте лучши птиц? 
LUK.12.25	Кто же от вас пекийся может приложити возрасту своему лакоть един? 
LUK.12.26	Аще убо ни мала чесо можете, что о прочих печетеся? 
LUK.12.27	Смотрите крины, како растут: не труждаются, ни прядут: глаголю же вам, яко ни соломон во всей славе своей облечеся, яко един от сих. 
LUK.12.28	Аще же траву, на селе днесь сущу и утре в пещь вмещему, Бог тако одевает: кольми паче вас, маловери? 
LUK.12.29	И вы не ищите, что ясте, или что пиете: и не возноситеся: 
LUK.12.30	всех бо сих языцы мира сего ищут: ваш же Отец весть, яко требуете сих: 
LUK.12.31	обаче ищите Царствия Божия, и сия вся приложатся вам. 
LUK.12.32	Не бойся, малое стадо: яко благоизволи Отец ваш дати вам Царство. 
LUK.12.33	Продадите имения ваша и дадите милостыню. Сотворите себе влагалища неветшающа, сокровище неоскудеемо на небесех, идеже тать не приближается, ни моль растлевает. 
LUK.12.34	Идеже бо сокровище ваше, ту и сердце ваше будет. 
LUK.12.35	Да будут чресла ваша препоясана, и светилницы горящии: 
LUK.12.36	и вы подобни человеком чающым господа своего, когда возвратится от брака, да пришедшу и толкнувшу, абие отверзут ему. 
LUK.12.37	Блажени раби тии, ихже пришед господь обрящет бдящих: аминь глаголю вам, яко препояшется и посадит их, и минув послужит им. 
LUK.12.38	И аще приидет во вторую стражу, и в третию стражу приидет, и обрящет (их) тако, блажени суть раби тии. 
LUK.12.39	Се же ведите, яко аще бы ведал господин храмины, в кий час тать приидет, бдел убо бы, и не бы дал подкопати дому своего: 
LUK.12.40	и вы убо будите готови: яко, в оньже час не мните, Сын Человеческий приидет. 
LUK.12.41	Рече же ему петр: Господи, к нам ли притчу сию глаголеши, или ко всем? 
LUK.12.42	Рече же Господь: кто убо есть верный строитель и мудрый, егоже поставит господь над челядию своею, даяти во время житомерие? 
LUK.12.43	Блажен раб той, егоже пришед господь его обрящет творяща тако: 
LUK.12.44	воистинну глаголю вам, яко над всем имением своим поставит его. 
LUK.12.45	Аще же речет раб той в сердцы своем: коснит господин мой приити: и начнет бити рабы и рабыни, ясти же и пити и упиватися: 
LUK.12.46	приидет господин раба того в день, в оньже не чает, и в час, в оньже не весть: и растешет его, и часть его с неверными положит. 
LUK.12.47	Той же раб ведевый волю господина своего, и не уготовав, ни сотворив по воли его, биен будет много: 
LUK.12.48	неведевый же, сотворив же достойная ранам, биен будет мало. Всякому же, емуже дано будет много, много взыщется от него: и емуже предаша множайше, множайше просят от него. 
LUK.12.49	Огня приидох воврещи на землю, и что хощу, аще уже возгореся? 
LUK.12.50	Крещением же имам креститися, и како удержуся, дондеже скончаются? 
LUK.12.51	Мните ли, яко мир приидох дати на землю? ни, глаголю вам, но разделение: 
LUK.12.52	будут бо отселе пять во единем дому разделени, трие на два, и два на три: 
LUK.12.53	разделится отец на сына, и сын на отца: мати на дщерь, и дщи на матерь: свекры на невесту свою, и невеста на свекровь свою. 
LUK.12.54	глаголаше же и народом: егда узрите облак восходящь от запада, абие глаголете: туча грядет: и бывает тако: 
LUK.12.55	и егда юг веющь, глаголете: зной будет: и бывает. 
LUK.12.56	Лицемери, лице небу и земли весте искушати: времене же сего како не искушаете? 
LUK.12.57	Что же и о себе не судите праведное? 
LUK.12.58	Егда бо грядеши с соперником твоим ко князю, на пути даждь делание избыти от него: да не како привлечет тебе к судии, и судия тя предаст слузе, и слуга всадит тя в темницу: 
LUK.12.59	глаголю тебе: не изыдеши оттуду, дондеже и последнюю медницу воздаси.
LUK.13.1	Приидоша же нецыи в то время, поведающе ему о галилеех, ихже кровь пилат смеси с жертвами их. 
LUK.13.2	И отвещав Иисус рече им: мните ли, яко галилеане сии грешнейши паче всех галилеан бяху, яко тако пострадаша? 
LUK.13.3	Ни, глаголю вам: но аще не покаетеся, вси такожде погибнете. 
LUK.13.4	Или они осмьнадесяте, на нихже паде столп силоамский и поби их, мните ли, яко тии должнейши бяху паче всех живущих во Иерусалиме? 
LUK.13.5	Ни, глаголю вам: но аще не покаетеся, вси такожде погибнете. 
LUK.13.6	глаголаше же сию притчу: смоковницу имяше некий в винограде своем всаждену: и прииде ищя плода на ней, и не обрете: 
LUK.13.7	рече же к винареви: се, третие лето, отнелиже прихожду ищя плода на смоковнице сей, и не обретаю: посецы ю (убо), вскую и землю упражняет? 
LUK.13.8	Он же отвещав рече ему: господи, остави ю и се лето, дондеже окопаю окрест ея и осыплю гноем: 
LUK.13.9	и аще убо сотворит плод: аще ли же ни, во грядущее посечеши ю. 
LUK.13.10	Бяше же учя на единем от сонмищ в субботу: 
LUK.13.11	и се, жена бе имущи дух недужен лет осмьнадесять, и бе сляка и не могущи восклонитися отнюд. 
LUK.13.12	Видев же ю Иисус, пригласи и рече ей: жено, отпущена еси от недуга твоего. 
LUK.13.13	И возложи на ню руце: и абие простреся и славляше Бога. 
LUK.13.14	Отвещав же старейшина собору, негодуя, зане в субботу изцели (ю) Иисус, глаголаше народу: шесть дний есть, в няже достоит делати: в тыя убо приходяще целитеся, а не в день субботный. 
LUK.13.15	Отвеща (же) убо ему Господь и рече: лицемере, кождо вас в субботу не отрешает ли своего вола или осла от яслий, и вед напаяет? 
LUK.13.16	сию же дщерь авраамлю сущу, юже связа сатана, се, осмоенадесяте лето, не достояше ли разрешитися ей от юзы сея в день субботный? 
LUK.13.17	И сия ему глаголющу, стыдяхуся вси противляющиися ему: и вси людие радовахуся о всех славных бывающих от него. 
LUK.13.18	Глаголаше же: кому подобно есть Царствие Божие? и кому уподоблю е? 
LUK.13.19	подобно есть зерну горушну, еже приемь человек вверже в вертоград свой: и возрасте, и бысть древо велие, и птицы небесныя вселишася в ветвие его. 
LUK.13.20	Паки рече: кому уподоблю Царствие Божие? 
LUK.13.21	подобно есть квасу, егоже приемши жена, скры в сатех триех муки, дондеже вскисе все. 
LUK.13.22	И прохождаше сквозе грады и веси, учя и шествие творя во Иерусалим. 
LUK.13.23	Рече же некий ему: Господи, аще мало есть спасающихся? Он же рече к ним: 
LUK.13.24	подвизайтеся внити сквозе тесная врата: яко мнози, глаголю вам, взыщут внити, и не возмогут. 
LUK.13.25	Отнележе востанет дому владыка и затворит двери, и начнете вне стояти и ударяти в двери, глаголюще: Господи, Господи, отверзи нам. И отвещав речет вам: не вем вас, откуду есте. 
LUK.13.26	Тогда начнете глаголати: ядохом пред тобою и пихом, и на распутиих наших учил еси. 
LUK.13.27	И речет: глаголю вам, не вем вас, откуду есте: отступите от мене, вси делателие неправды. 
LUK.13.28	Ту будет плачь и скрежет зубом, егда узрите авраама и исаака и иакова и вся пророки во Царствии Божии, вас же изгонимых вон. 
LUK.13.29	И приидут от восток и запад и севера и юга, и возлягут в Царствии Божии. 
LUK.13.30	И се, суть последнии, иже будут перви, и суть первии, иже будут последни. 
LUK.13.31	В той день приступиша нецыи от фарисей, глаголюще ему: изыди и иди отсюду, яко ирод хощет тя убити. 
LUK.13.32	И рече им: шедше рцыте лису тому: се, изгоню бесы и изцеления творю днесь и утре, и в третий скончаюся: 
LUK.13.33	обаче подобает ми днесь и утре и в ближний ити: яко невозможно есть пророку погибнути кроме Иерусалима. 
LUK.13.34	Иерусалиме, Иерусалиме, избивый пророки и камением побивая посланныя к тебе, колькраты восхотех собрати чада твоя, якоже кокош гнездо свое под криле, и не восхотесте? 
LUK.13.35	Се оставляется вам дом ваш пуст. глаголю же вам, яко не имате мене видети, дондеже приидет, егда речете: благословен грядый во имя Господне.
LUK.14.1	И бысть егда внити ему в дом некоего князя фарисейска в субботу хлеб ясти, и тии бяху назирающе его: 
LUK.14.2	и се, человек некий, имый водный труд, бе пред ним. 
LUK.14.3	И отвещав Иисус рече к законником и фарисеом, глаголя: аще достоит в субботу целити? 
LUK.14.4	Они же умолчаша. И приемь изцели его, и отпусти. 
LUK.14.5	И отвещав к ним рече: котораго от вас осел или вол в студенец впадет, и не абие ли исторгнет его в день субботный? 
LUK.14.6	И не возмогоша отвещати ему к сим. 
LUK.14.7	глаголаше же к званным притчу, обдержя, како председания избираху, глаголя к ним: 
LUK.14.8	егда зван будеши ким на брак, не сяди на преднем месте: еда кто честнее тебе будет званных, 
LUK.14.9	и пришед иже тебе звавый и онаго, речет ти: даждь сему место: и тогда начнеши со студом последнее место держати. 
LUK.14.10	Но егда зван будеши, шед сяди на последнем месте, да егда приидет звавый тя, речет ти: друже, посяди выше: тогда будет ти слава пред званными с тобою: 
LUK.14.11	яко всяк возносяйся смирится, и смиряяйся вознесется. 
LUK.14.12	глаголаше же и ко звавшему его: егда сотвориши обед или вечерю, не зови другов твоих, ни братии твоея, ни сродник твоих, ни сосед богатых: еда когда и тии тя такожде воззовут, и будет ти воздаяние. 
LUK.14.13	Но егда твориши пир, зови нищыя, маломощныя, хромыя, слепыя: 
LUK.14.14	и блажен будеши, яко не имут ти что воздати: воздаст же ти ся в воскрешение праведных. 
LUK.14.15	Слышав же некий от возлежащих с ним сия, рече ему: блажен, иже снесть обед в Царствии Божии. 
LUK.14.16	Он же рече ему: человек некий сотвори вечерю велию и зва многи: 
LUK.14.17	и посла раба своего в год вечери рещи званным: грядите, яко уже готова суть вся. 
LUK.14.18	И начаша вкупе отрицатися вси. Первый рече ему: село купих и имам нужду изыти и видети е: молютися, имей мя отречена. 
LUK.14.19	И другий рече: супруг волов купих пять и гряду искусити их: молю тя, имей мя отречена. 
LUK.14.20	И другий рече: жену поях и сего ради не могу приити. 
LUK.14.21	И пришед раб той поведа господину своему сия. Тогда разгневався дому владыка, рече рабу своему: изыди скоро на распутия и стогны града, и нищыя и бедныя и слепыя и хромыя введи семо. 
LUK.14.22	И рече раб: господи, бысть якоже повелел еси, и еще место есть. 
LUK.14.23	И рече господин к рабу: изыди на пути и халуги, и убеди внити, да наполнится дом мой: 
LUK.14.24	глаголю бо вам, яко ни един мужей тех званных вкусит моея вечери: мнози бо суть звани, мало же избранных. 
LUK.14.25	Идяху же с ним народи мнози: и обращься рече к ним: 
LUK.14.26	аще кто грядет ко мне, и не возненавидит отца своего и матерь, и жену и чад, и братию и сестр, еще же и душу свою, не может мой быти ученик: 
LUK.14.27	и иже не носит креста своего и вслед мене грядет, не может мой быти ученик. 
LUK.14.28	Кто бо от вас, хотяй столп создати, не прежде ли сед разчтет имение, аще имать, еже есть на совершение? 
LUK.14.29	да не, когда положит основание и не возможет совершити, вси видящии начнут ругатися ему, 
LUK.14.30	глаголюще, яко сей человек начат здати и не може совершити? 
LUK.14.31	Или кий царь идый ко иному царю снитися с ним на брань, не сед ли прежде совещавает, аще силен есть срести с десятию тысящ грядущаго со двемадесятма тысящама нань? 
LUK.14.32	аще ли же ни, еще далече ему сущу, моление послав молится о смирении. 
LUK.14.33	Тако убо всяк от вас, иже не отречется всего своего имения, не может быти мой ученик. 
LUK.14.34	Добро есть соль: аще же соль обуяет, чим осолится? 
LUK.14.35	ни в землю, ни в гной потребна есть: вон изсыплют ю. Имеяй ушы слышати, да слышит.
LUK.15.1	Бяху же приближающеся к нему вси мытарие и грешницы, послушати его. 
LUK.15.2	И роптаху фарисее и книжницы, глаголюще, яко сей грешники приемлет и с ними яст. 
LUK.15.3	Рече же к ним притчу сию, глаголя: 
LUK.15.4	кий человек от вас имый сто овец, и погубль едину от них, не оставит ли девятидесяти и девяти в пустыни и идет вслед погибшия, дондеже обрящет ю? 
LUK.15.5	и обрет возлагает на раме свои радуяся: 
LUK.15.6	и пришед в дом, созывает други и соседы, глаголя им: радуйтеся со мною, яко обретох овцу мою погибшую. 
LUK.15.7	глаголю вам, яко тако радость будет на небеси о единем грешнице кающемся, нежели о девятидесятих и девяти праведник, иже не требуют покаяния. 
LUK.15.8	Или кая жена имущи десять драхм, аще погубит драхму едину, не вжигает ли светилника, и пометет храмину, и ищет прилежно, дондеже обрящет? 
LUK.15.9	и обретши созывает другини и соседы, глаголющи: радуйтеся со мною, яко обретох драхму погибшую. 
LUK.15.10	Тако, глаголю вам, радость бывает пред ангелы Божиими о единем грешнице кающемся. 
LUK.15.11	Рече же: человек некий име два сына: 
LUK.15.12	и рече юнейший ею отцу: отче, даждь ми достойную часть имения. И раздели има имение. 
LUK.15.13	И не по мнозех днех собрав все мний сын, отиде на страну далече, и ту расточи имение свое, живый блудно. 
LUK.15.14	Изжившу же ему все, бысть глад крепок на стране той, и той начат лишатися: 
LUK.15.15	и шед прилепися единому от житель тоя страны: и посла его на села своя пасти свиния: 
LUK.15.16	и желаше насытити чрево свое от рожец, яже ядяху свиния: и никтоже даяше ему. 
LUK.15.17	В себе же пришед, рече: колико наемником отца моего избывают хлебы, аз же гладом гиблю? 
LUK.15.18	востав иду ко отцу моему, и реку ему: отче, согреших на небо и пред тобою, 
LUK.15.19	и уже несмь достоин нарещися сын твой: сотвори мя яко единаго от наемник твоих. 
LUK.15.20	И востав иде ко отцу своему. Еще же ему далече сущу, узре его отец его, и мил ему бысть, и тек нападе на выю его, и облобыза его. 
LUK.15.21	Рече же ему сын: отче, согреших на небо и пред тобою, и уже несмь достоин нарещися сын твой. 
LUK.15.22	Рече же отец к рабом своим: изнесите одежду первую и облецыте его, и дадите перстень на руку его и сапоги на нозе: 
LUK.15.23	и приведше телец упитанный заколите, и ядше веселимся: 
LUK.15.24	яко сын мой сей мертв бе, и оживе: и изгибл бе, и обретеся. И начаша веселитися. 
LUK.15.25	Бе же сын его старей на селе: и яко грядый приближися к дому, слыша пение и лики: 
LUK.15.26	и призвав единаго от отрок, вопрошаше: что (убо) сия суть? 
LUK.15.27	Он же рече ему, яко брат твой прииде: и закла отец твой телца упитанна, яко здрава его прият. 
LUK.15.28	Разгневася же, и не хотяше внити. Отец же его изшед моляше его. 
LUK.15.29	Он же отвещав рече отцу: се, толико лет работаю тебе и николиже заповеди твоя преступих, и мне николиже дал еси козляте, да со други своими возвеселился бых: 
LUK.15.30	егда же сын твой сей, изядый твое имение с любодейцами, прииде, заклал еси ему телца питомаго. 
LUK.15.31	Он же рече ему: чадо, ты всегда со мною еси, и вся моя твоя суть: 
LUK.15.32	возвеселитижеся и возрадовати подобаше, яко брат твой сей мертв бе, и оживе: и изгибл бе, и обретеся.
LUK.16.1	глаголаше же ко учеником своим: человек некий бе богат, иже имяше приставника: и той оклеветан бысть к нему, яко расточает имения его: 
LUK.16.2	и пригласив его рече ему: что се слышу о тебе? воздаждь ответ о приставлении домовнем: не возможеши бо ктому дому строити. 
LUK.16.3	Рече же в себе приставник дому: что сотворю, яко господь мой отемлет строение дому от мене? копати не могу, просити стыжуся: 
LUK.16.4	разумех, что сотворю, да егда отставлен буду от строения дому, приимут мя в домы своя. 
LUK.16.5	И призвав единаго когождо от должник господина своего, глаголаше первому: колицем должен еси господину моему? 
LUK.16.6	Он же рече: сто мер масла. И рече ему: приими писание твое, и сед скоро напиши пятьдесят. 
LUK.16.7	Потом же рече другому: ты же колицем должен еси? Он же рече: сто мер пшеницы. И глагола ему: приими писание твое, и напиши осмьдесят. 
LUK.16.8	И похвали господь дому строителя неправеднаго, яко мудре сотвори: яко сынове века сего мудрейши паче сынов света в роде своем суть. 
LUK.16.9	И аз вам глаголю: сотворите себе други от мамоны неправды, да, егда оскудеете, приимут вы в вечныя кровы. 
LUK.16.10	Верный в мале, и во мнозе верен есть: и неправедный в мале, и во мнозе неправеден есть. 
LUK.16.11	Аще убо в неправеднем имении верни не бысте, во истиннем кто вам веру имет? 
LUK.16.12	И аще в чужем верни не бысте, ваше кто вам даст? 
LUK.16.13	Ни кий же раб может двема господинома работати: ибо или единаго возненавидит, а другаго возлюбит: или единаго держится, о друзем же нерадети начнет: не можете Богу работати и мамоне. 
LUK.16.14	Слышаху же сия вся и фарисее, сребролюбцы суще, ругахуся ему. 
LUK.16.15	И рече им: вы есте оправдающе себе пред человеки, Бог же весть сердца ваша: яко, еже есть в человецех высоко, мерзость есть пред Богом. 
LUK.16.16	Закон и пророцы до иоанна: оттоле Царствие Божие благовествуется, и всяк в не нудится. 
LUK.16.17	Удобее же есть небу и земли прейти, неже от закона единей черте погибнути. 
LUK.16.18	Всяк пущаяй жену свою и приводя ину прелюбы деет: и женяйся пущеною от мужа прелюбы творит. 
LUK.16.19	Человек же некий бе богат, и облачашеся в порфиру и виссон, веселяся на вся дни светло. 
LUK.16.20	Нищь же бе некто, именем лазарь, иже лежаше пред враты его гноен 
LUK.16.21	и желаше насытитися от крупиц падающих от трапезы богатаго: но и пси приходяще облизаху гной его. 
LUK.16.22	Бысть же умрети нищему и несену быти ангелы на лоно авраамле: умре же и богатый, и погребоша его: 
LUK.16.23	и во аде возвед очи свои, сый в муках, узре авраама издалеча, и лазаря на лоне его: 
LUK.16.24	и той возглашь рече: отче аврааме, помилуй мя и посли лазаря, да омочит конец перста своего в воде и устудит язык мой, яко стражду во пламени сем. 
LUK.16.25	Рече же авраам: чадо, помяни, яко восприял еси благая твоя в животе твоем, и лазарь такожде злая: ныне же зде утешается, ты же страждеши: 
LUK.16.26	и над всеми сими между нами и вами пропасть велика утвердися, яко да хотящии прейти отсюду к вам не возмогут, ни иже оттуду, к нам преходят. 
LUK.16.27	Рече же: молю тя убо, отче, да послеши его в дом отца моего: 
LUK.16.28	имам бо пять братий: яко да засвидетелствует им, да не и тии приидут на место сие мучения. 
LUK.16.29	Глагола ему авраам: имут моисеа и пророки: да послушают их. 
LUK.16.30	Он же рече: ни, отче аврааме: но аще кто от мертвых идет к ним, покаются. 
LUK.16.31	Рече же ему: аще моисеа и пророков не послушают, и аще кто от мертвых воскреснет, не имут веры.
LUK.17.1	Рече же ко учеником своим: не возможно есть не приити соблазном, горе же, егоже ради приходят: 
LUK.17.2	унее ему было бы, аще жернов оселский облежал бы о выи его, и ввержен в море, неже да соблазнит от малых сих единаго. 
LUK.17.3	Внемлите себе. Аще согрешит к тебе брат твой, запрети ему: и аще покается, остави ему: 
LUK.17.4	и аще седмищи на день согрешит к тебе и седмищи на день обратится, глаголя: каюся: остави ему. 
LUK.17.5	И рекоша апостоли Господеви: приложи нам веру. 
LUK.17.6	Рече же Господь: аще бысте имели веру яко зерно горушно, глаголали бысте убо ягодичине сей: восторгнися и всадися в море: и послушала бы вас. 
LUK.17.7	Который же от вас раба имея орюща или пасуща, иже пришедшу ему с села речет: абие минув возлязи? 
LUK.17.8	Но не речет ли ему: уготовай, что вечеряю, и препоясався служи ми, дондеже ям и пию: и потом яси и пиеши ты? 
LUK.17.9	Еда имать хвалу рабу тому, яко сотвори повеленная? не мню. 
LUK.17.10	Тако и вы, егда сотворите вся повеленная вам, глаголите, яко раби неключими есмы: яко, еже должни бехом сотворити, сотворихом. 
LUK.17.11	И бысть идущу ему во Иерусалим, и той прохождаше между самариею и галилеею. 
LUK.17.12	Входящу же ему в некую весь, сретоша его десять прокаженных мужей, иже сташа издалеча: 
LUK.17.13	и тии вознесоша глас, глаголюще: Иисусе наставниче, помилуй ны. 
LUK.17.14	И видев рече им: шедше покажитеся священником. И бысть идущым им, очистишася. 
LUK.17.15	Един же от них, видев, яко изцеле, возвратися, со гласом велиим славя Бога, 
LUK.17.16	и паде ниц при ногу его, хвалу ему воздая: и той бе самарянин. 
LUK.17.17	Отвещав же Иисус рече: не десять ли очистишася? да девять где? 
LUK.17.18	како не обретошася возвращшеся дати славу Богу, токмо иноплеменник сей? 
LUK.17.19	И рече ему: востав иди: вера твоя спасе тя. 
LUK.17.20	Вопрошен же быв от фарисей, когда приидет Царствие Божие, отвещав им рече: не приидет Царствие Божие с соблюдением: 
LUK.17.21	ниже рекут: се зде, или: онде. Се бо, Царствие Божие внутрь вас есть. 
LUK.17.22	Рече же ко учеником (своим): приидут дние, егда вожделеете единаго дне Сына Человеческаго видети, и не узрите: 
LUK.17.23	и рекут вам: се зде, или: се, онде: не изыдите, ни пожените: 
LUK.17.24	яко бо молния блистающися от поднебесныя на поднебесней светится: тако будет Сын Человеческий в день свой. 
LUK.17.25	Прежде же подобает ему много пострадати и искушену быти от рода сего. 
LUK.17.26	И якоже бысть во дни ноевы, тако будет и во дни Сына Человеческа: 
LUK.17.27	ядяху, пияху, женяхуся, посягаху, до негоже дне вниде ное в ковчег: и прииде потоп и погуби вся. 
LUK.17.28	Такожде и якоже бысть во дни лотовы: ядяху, пияху, куповаху, продаяху, саждаху, здаху: 
LUK.17.29	в оньже день изыде лот от содомлян, одожди камык горящь и огнь с небесе и погуби вся: 
LUK.17.30	по тому же будет и в день, в оньже Сын Человеческий явится. 
LUK.17.31	В той день, иже будет на крове, и сосуди его в дому, да не слазит взяти их: и иже на селе, такожде да не возвратится вспять: 
LUK.17.32	поминайте жену лотову. 
LUK.17.33	Иже аще взыщет душу свою спасти, погубит ю: и иже аще погубит ю, живит ю. 
LUK.17.34	глаголю вам: в ту нощь будета два на одре единем: един поемлется, а другий оставляется: 
LUK.17.35	будете две вкупе мелюще: едина поемлется, а другая оставляется. 
LUK.17.36	Два будета на селе: един поемлется, а другий оставляется. 
LUK.17.37	И отвещавше глаголаша ему: где, Господи? Он же рече им: идеже тело, тамо соберутся и орли.
LUK.18.1	глаголаше же и притчу к ним, како подобает всегда молитися и не стужати (си), 
LUK.18.2	глаголя: судия бе некий в некоем граде, Бога не бояся и человек не срамляяся. 
LUK.18.3	Вдова же некая бе во граде том: и прихождаше к нему, глаголющи: отмсти мене от соперника моего. 
LUK.18.4	И не хотяше на долзе времени. Последи же рече в себе: аще и Бога не боюся, и человек не срамляюся: 
LUK.18.5	но зане творит ми труды вдовица сия, отмщу ея: да не до конца приходящи застоит мене. 
LUK.18.6	Рече же Господь: слышите, что судия неправды глаголет? 
LUK.18.7	Бог же не имать ли сотворити отмщение избранных своих, вопиющих к нему день и нощь, и долготерпя о них? 
LUK.18.8	глаголю вам, яко сотворит отмщение их вскоре: обаче Сын Человеческий пришед убо обрящет ли (си) веру на земли? 
LUK.18.9	Рече же и ко другим уповающым собою, яко суть праведницы, и уничижающым прочих, притчу сию: 
LUK.18.10	человека два внидоста в церковь помолитися: един фарисей, а другий мытарь. 
LUK.18.11	Фарисей же став, сице в себе моляшеся: Боже, хвалу тебе воздаю, яко несмь якоже прочии человецы, хищницы, неправедницы, прелюбодее, или якоже сей мытарь: 
LUK.18.12	пощуся двакраты в субботу, десятину даю всего елико притяжу. 
LUK.18.13	Мытарь же издалеча стоя, не хотяше ни очию возвести на небо: но бияше перси своя, глаголя: Боже, милостив буди мне грешнику. 
LUK.18.14	глаголю вам, яко сниде сей оправдан в дом свой паче онаго: яко всяк возносяйся смирится, смиряяй же себе вознесется. 
LUK.18.15	Приношаху же к нему и младенцы, да их коснется: видевше же ученицы запретиша им. 
LUK.18.16	Иисус же призвав их, глагола: оставите детей приходити ко мне и не браните им: таковых бо есть Царствие Божие: 
LUK.18.17	аминь бо глаголю вам: иже аще не приимет Царствия Божия яко отроча, не имать внити в не. 
LUK.18.18	И вопроси его некий князь, глаголя: Учителю благий, что сотворив, живот вечный наследствую? 
LUK.18.19	Рече же ему Иисус: что мя глаголеши блага? никтоже благ, токмо един Бог: 
LUK.18.20	заповеди веси: не прелюбы твори, не убий, не укради, не лжесвидетелствуй, чти отца твоего и матерь твою. 
LUK.18.21	Он же рече: вся сия сохраних от юности моея. 
LUK.18.22	Слышав же сия Иисус рече ему: еще единаго не докончал еси: вся, елика имаши, продаждь и раздай нищым: и имети имаши сокровище на небеси: и гряди вслед мене. 
