MAT.1.1	Yisa Masia chɔɔŋkʋʋlɩŋ saara wʋnna: die ʋ yiwo Davidi haagɩŋ ta Davidi dɩaŋ dɩ yi Abarahami haagɩŋ.
LUK.18.12	N ŋaaŋ bɔba nʋaŋ daraa ale daraa yʋpɔyɩ mana sʋŋ, ta yɩa fʋ n nyinti baŋ mana sʋŋ kaanɩ.’ 
LUK.18.13	Ama die lampotuosiru wo die dɩ ga a zie saasaa, ta ka yaala ʋ kɔtɩ ʋ sikpeŋ ŋmɩŋsikpeŋ, ta vigi ʋ sikpeŋ ta baarɩ dɩ, ‘Nabidie Ŋmɩŋ, chɩgɩ mɩŋ zɔɔlɩŋ, dama n yiwo tʋntʋmbɩatɩ tieŋ.’ ” 
LUK.18.14	Yisa die dɩ bɩ baarɩ dɩ, “N bala nɩ, die dɩ yiwo lampotuosiru wo Ŋmɩŋ dɩ tuo ʋ jʋʋsɩŋ daa Farasi vuoke; dama vuodieke mana dɩ kɔtɩna ʋ gbaŋ ŋmɩŋsikpeŋ, Ŋmɩŋ nan sʋʋŋ wa tɩŋgbaŋ; ta vuodieke dɩaŋ dɩ sʋʋna ʋ gbaŋ tɩŋgbaŋ, Ŋmɩŋ nan kɔtɩ wa ŋmɩŋsikpeŋ.”
LUK.18.15	Die vuosi bataŋ die dɩ chii ba ballɩnyaalɩsɩ a keŋ Yisa jigiŋ dɩ ʋ nagɩ ʋ nuusi a dɩɩsɩ dɩɩsɩ ba ma, ama die ʋ kʋaŋandɩɩsɩrɩba dɩ yene naa wa, die dɩ nata ba. 
LUK.18.16	Ta Yisa die dɩ wa ballɩbɩsɩsɩ dɩ ba kiere ʋ jigiŋ, ta balɩ a yɩ ʋ kʋaŋandɩɩsɩrɩba dɩ, “Nɩ vaa ballɩbɩsɩsɩ kiere n jigiŋ ta nɩ da kagɩ ba sieŋ dama ba chanchaalɩŋ sɩna Ŋmɩŋ naarɩ. 
LUK.18.17	Wusie maŋ bala nɩ, vuodieke mana dɩ kana ka tuo Ŋmɩŋ naarɩ sɩba bʋabiŋ, kaaŋ wɔŋ juu ke.”
LUK.18.18	Saŋka mi jakʋʋŋ wʋnyɩ die dɩ keŋ Yisa jigiŋ a pɩasɩ wa dɩ, “Dɩdagɩrʋ vɩɩnɩŋ, lalɩa maŋ nan yi ta ye miivoli dieke dɩ wone kpatɩŋ?”
LUK.18.19	Yisa die dɩ yiŋŋi a balɩ wa dɩ, “Bɩa wɩa fʋ wasa mɩŋ vuovɩɩnɩŋ? Vuoŋ wori a yi vuovɩɩnɩŋ, sie Ŋmɩŋ nyɩɩna ma. 
LUK.18.20	Wɔŋ sɩba Ŋmɩŋ mɩraha: ‘Da keŋ yaalɩ vuoŋ hɔgʋ yaa vuoŋ chʋrʋ, da keŋ a kʋʋ vuoŋ, da keŋ a gaarɩ, da keŋ yi ŋmɩnchɩbɩsɩ daansɩatieŋ, yɩma fʋ chʋa aŋaŋ fʋ naa jɩlɩma.’ ”
LUK.18.21	Die daa wa dɩ yiŋŋi a balɩ dɩ, “N yine bʋabiŋ mana a yaa ga mʋʋna, n dɩɩ mɩraha gie mana mɩŋ.”
LUK.18.22	Yisa die dɩ wʋnna naa, die ʋ balɩ yɩ wa dɩ, “Wʋbalɩmɩŋ tɩala fʋ. Nagɩ fʋ nyinti mana a daa ta nagɩ ligirehe a yɩ zɔɔlɩntieliŋ, ta nan dɩ yallɩ nyinti arɩzanna ma; ta a kʋaŋ chaaŋ fʋ keŋ dɩa mɩŋ.” 
LUK.18.23	Ama daa wa die dɩ wʋnna naa, ʋ sʋŋ die dɩ paalɩ chʋʋsɩ, dama die ʋ faasɩ yallɩ wa nyinti pam.
LUK.18.24	Yisa die dɩ mɩŋŋɩ dɩ ʋ sʋŋ chʋʋsɩya mɩŋ, ta baarɩ dɩ, “Dɩ tʋa pam dɩ nyintitieliŋ juu Ŋmɩŋ naarɩ ma. 
LUK.18.25	Dɩ faasɩ tʋa mɩŋ dɩ nyintitieŋ juu Ŋmɩŋ naarɩ ma a tɩaŋ nyɔgɩnɩ dɩ baaŋ nan daagɩ garɩyɩɩŋ vɔrɩŋ ma a nyɩŋ dene.”
LUK.18.26	Die vuodiekemba die dɩ wʋnna wa wa die dɩ pɩasɩ dɩ, “Die nɩŋ manɩa baaŋ nan ye gbatɩtaanɩŋ?”
LUK.18.27	Yisa die dɩ yiŋŋi a balɩ ba dɩ, “Wudieke vuota dɩ kana kaaŋ bɩagɩ a yi, Ŋmɩŋ nɩŋ nan bɩagɩ a yi.”
LUK.18.28	Ta Piita dɩ balɩ wa dɩ, “Ye, die tɩ va wa tɩ nyinti mana ta keŋ dɩ fʋ.”
LUK.18.29	Yisa die dɩ yiŋŋi a balɩ yɩ ba dɩ, “Wusie maŋ bala nɩ, vuodieke mana dɩ vana ʋ tigiŋ yaa ʋ hɔgʋ yaa ʋ nɩmballɩ yaa ʋ chɔɔŋ aŋaŋ nuŋ yaa ʋ ballɩ Ŋmɩŋ naarɩ wɩa, 
LUK.18.30	nan bɩ ye he pam tɩŋgbaŋka gie me a tɩaŋ ʋ vana nyindiekemba ba, saŋŋa dieke dɩ kienene wo, ʋ nan ye miivoli dieke dɩ wone kpatɩŋ.”
LUK.18.31	Womi Yisa die dɩ yaa ʋ kʋaŋandɩɩsɩrɩba baŋ aŋaŋ bale wo a nyɩŋ lʋgɩŋ a balɩ ba dɩ, “Nɩ wʋmma, tɩ gara Jerusalemi, jigidieke ba bala ba yi manɩŋ vuota Bʋa wudiekemba mana die Ŋmɩŋ naazʋalɩba dɩ maagɩna yaa gamma n wɩa wa, 
LUK.18.32	dama ba nan nagɩ mɩŋ a yɩ vuodiekemba dɩ kana a ka yi Juu vuosi nuusi me, dɩ ba vʋarɩ mɩŋ fala ta bɩ zɩa mɩŋ ta tɩɩrɩ nɩntɔbɩtɩ a yi mɩŋ, 
LUK.18.33	a nɩgɩ mɩŋ aŋaŋ kpaasɩŋ ta kʋʋ mɩŋ ama daraa ataa daraaŋ n nan hagɩ kumbu me.”
LUK.18.34	Ama die ʋ kʋaŋandɩɩsɩrɩba die ka sɩba wɩaha kaanɩ gbaŋ chɩaŋ, dama Ŋmɩŋ die ligi wo ba yɩaŋ, die yine die ba ka sɩba wudieke ʋ balala wa chɩasɩ.
LUK.18.35	Yisa die dɩ kenne gbige Jeriko daa yɩɩ wʋnyɩ die dɩ kalɩ sieku nʋaŋ a jʋʋsa. 
LUK.18.36	Die ʋ wʋnna ta kpɩkpaakʋ chʋŋ tɩanna wa, die ʋ pɩasɩ dɩ, “Bɩa yinene?”
LUK.18.37	Die ba balɩ wa dɩ, “Yisa, vuodieke dɩ yine Nazeriti vuoke tɩannana.”
LUK.18.38	Die ʋ faasɩ wa dɩ, “Yisa, Davidi haagɩŋ, chɩgɩ mɩŋ zɔɔlɩŋ.”
LUK.18.39	Ama vuodiekemba die dɩ benne nɩŋka die dɩ natɩ wa ta balɩ wa dɩ ʋ tarɩ watɩ, ama die ʋ faasɩ nata dɩ, “Davidi haagɩŋ, chɩgɩ mɩŋ zɔɔlɩŋ.”
LUK.18.40	Die wɩa Yisa die dɩ zie ta yɩ nʋaŋ dɩ ba yaa daa wa a keŋ ʋ jigiŋ. Die ʋ kenne a gbigi wo, Yisa die dɩ pɩasɩ wa dɩ, 
LUK.18.41	“Bɩa fʋ yaala n yi a yɩ fʋ?”
LUK.18.41	Die ʋ yiŋŋi baarɩ dɩ, “N Yɔmʋtieŋ, n yaala fʋ yuori n ninehe mɩŋ.”
LUK.18.42	Mi Yisa die dɩ balɩ wa dɩ, “Yesime, fʋ yine yada ka wɩa fʋ ye gbaamɩŋ.” 
LUK.18.43	Lele womi die ʋ ninehe dɩ yuori, die ʋ dɩ Yisa ta bɩra Ŋmɩŋ. Die kpɩkpaakʋ dɩ yene wo wo, die ba mana dɩ bɩrɩ Ŋmɩŋ.
LUK.19.1	Ka kʋaŋ chaaŋ Yisa die dɩ ga a juu Jeriko a chʋŋ tɩanna. 
LUK.19.2	Ta daa wʋnyɩ die dɩ bie mi ba wasa wa Zakiyosi, die ʋ yiwo lampotuosiriŋ jakʋʋŋ, ta die yaa nyinti pam. 
LUK.19.3	Die ʋ mɩa ʋ ye Yisa dɩ yine vuodieke, ama die ʋ yine vuogobiri wɩa die ʋ ka bɩagɩ ye wo dama vuosi die dala mɩŋ. 
LUK.19.4	Die wɩa die ʋ chɩgɩ a dɩ kpɩkpaakʋ nɩŋŋa a ga jʋalɩ chunchuliŋ tɩɩŋ dɩ ʋ ye Yisa, dama die ʋ gara mi chaaŋ. 
LUK.19.5	Yisa die dɩ kenne a tʋgɩ mi wo, ʋ daansɩ ŋmɩŋsikpeŋ ta balɩ yɩ wa dɩ, “Zakiyosi, keŋ sʋʋŋ lagɩ lagɩ. Sie n yi fʋ chaanʋ jinne.”
LUK.19.6	Ta Zakiyosi die dɩ yi lagɩ lagɩ a keŋ sʋʋŋ ta waasɩ wa aŋaŋ sʋgɩfɩalɩkpeŋkpɩɩŋ ta yaa wa ga ʋ tigiŋ. 
LUK.19.7	Ta vuodiekemba mana die dɩ yene wo die dɩ piili a vʋʋna wɩa dɩ, “Daa wa gie ga bɩrɩŋ wa chaanʋ tʋntʋmbɩatɩ tieŋ wo tigiŋ me.”
LUK.19.8	A kʋaŋ chaaŋ die Zakiyosi dɩ hagɩ a zie a balɩ yɩ tɩ Yɔmʋtieŋ Yisa dɩ, “N Yɔmʋtieŋ, wʋmma, n nan puo nyindiekemba n yalla bule ta nagɩ kaanɩ a yɩ zɔɔlɩntieliŋ; ta dɩɩ yi maŋ nyɩrɩ wa vuoŋ, n nan yiŋŋi tuŋ wo die bʋnɩɩsa.”
LUK.19.9	Yisa die dɩ balɩ wa dɩ, “Gbatɩtaanɩŋ keŋ tigiri gie vuosi me jinne, dama fʋ gbaŋ yiwo Abarahami haagɩŋ. 
LUK.19.10	Manɩŋ vuota Bʋa keŋye mɩŋ dɩ n yaalɩ vuodiekemba dɩ bana ta ye be a gbatɩ ba taaŋ.”
LUK.19.11	Die vuosi die dɩ yene a wʋmma wɩaha gie wo, Yisa die dɩ bɩ a taaŋ ba nandagɩŋ, dama die ba yile dɩ Yisa dɩ gbigine Jerusalemi wɩa, Ŋmɩŋ naarɩ die baa ka keŋ wo lagɩ lagɩ. 
LUK.19.12	Die wɩa die ʋ baarɩ dɩ, “Daa jakʋʋŋ wʋnyɩ die gana tɩŋgbaŋ saasaa dɩ ba ga kalɩŋ wa naa, ta ʋ yiŋŋi keŋ tigiŋ. 
LUK.19.13	Die ʋ balla ʋ ga wa die ʋ wa ʋ tʋntʋntɩŋ baŋ, ta yɩ yɩ ba salɩma
LUK.19.14	Ama die ʋ tɩka vuosi die ka yaala ʋ wɩa, die wɩa die ba tʋŋ tʋntʋntɩŋ dɩ ba ga balɩ naakpɩɩka dɩ ba ka yaala daa wa gie yi ba naaŋ.
LUK.19.15	“Ama die daa jakʋʋrɩ dɩ ga dii naarɩ ta yiŋŋi keŋ tigiŋ. Die ʋ kenne wo, die ʋ wa ʋ tʋntʋntɩba die ʋ yɩna ba ligirehe a lagɩsɩ, dɩ ʋ yaala ʋ ye ba yene nyʋarɩ die a gʋtɩ. 
LUK.19.16	Nɩŋŋaŋ vuoke die dɩ keŋ a baarɩ dɩ, ‘Jakʋʋŋ, n ye wo salɩma bie baŋ a gʋtɩ fʋ yɩna mɩŋ jadieke wo ma.’ 
LUK.19.17	Die jakʋʋrɩ dɩ baarɩ dɩ, ‘Kpaŋŋɩ fʋ gbaŋ, yiwo tʋntʋntʋ vɩɩnʋ. Fʋ mɩŋŋɩna a pɔgɩlɩ jabike wɩa, n nan nagɩ tɩgɩsɩ baŋ a yi fʋ nuusi me.’ 
LUK.19.18	Die vuodieke dɩ diisine wo dɩ keŋ a baarɩ dɩ, ‘Jakʋʋŋ, n ye wo salɩma ligire bie anʋ a gʋtɩ jadieke fʋ yɩna mɩŋ wa ma.’ 
LUK.19.19	Jakʋʋrɩ die dɩ balɩ a yɩ geŋ wo dɩaŋ dɩ, ‘N nan nagɩ tɩgɩsɩ anʋ a yi fʋ nuusi me.’
LUK.19.20	“Wʋnyɩ dɩaŋ dɩ keŋ a baarɩ dɩ, ‘Jakʋʋŋ fʋ ligire bini wʋnna, die n nagɩ vili wo gachɔɔtɩŋ ma a nagɩ lɔbɩrɩ, 
LUK.19.21	dama die n chɩga fʋ wa ŋmaamɩŋ, dama yiwo vuodieke wɩa dɩ tʋana. Naga jadieke dɩ kana a ka yi fʋ jaaŋ, ta gobe jadieke fʋ kana ka bʋrɩya.’ 
LUK.19.22	Ta jakʋʋrɩ die dɩ balɩ yɩ wa dɩ, ‘Fʋnɩŋ tʋntʋntɩ bɩaŋ, n nan nagɩ fʋ gbaŋ gbaŋ fʋ wʋbalɩka a dii fʋ sarɩya. Sɩba a baarɩ n yiwo vuodieke wɩa dɩ tʋana, ta naga jadieke dɩ kana ka yi n jaaŋ, ta gobe jadieke n kana ka bʋrɩya. 
LUK.19.23	Bɩa yine ta fʋ ka nagɩ n ligirebu a paŋŋɩ aŋ ba yiŋŋi tuŋ mɩŋ aŋaŋ nyʋarɩ? Amʋ n tɩnna a keŋ naa n tɩŋ nan tuoke aŋaŋ nyʋarɩ.’ 
LUK.19.24	Womi die jakʋʋrɩ dɩ balɩ a yɩ vuodiekemba dɩ zene mi wo dɩ, ‘Nɩ tuo ligire bini a nyɩŋ ʋ jigiŋ ta nagɩ gʋtɩ vuodieke dɩ yalla ligire bie baŋ wa.’ 
LUK.19.25	Die ba yiŋŋi balɩ wa dɩ, ‘Jakʋʋŋ, ʋ wɔŋ yaa wa ligire bie baŋ.’ 
LUK.19.26	Die ʋ yiŋŋi a balɩ ba dɩ, ‘N bala nɩ, vuodieke dɩ yalla nyinti, ba nan yɩ wa pam a gʋtɩ, ama vuodieke dɩ wone wo jaaŋ, bɩta gbaŋ ʋ yalla wa ba nan tuoke a nyɩŋ ʋ jigiŋ. 
LUK.19.27	Tɔ, lele n dataasɩ diekemba die dɩ kana ka yaala dɩ n dii naarɩ, nɩ ga yaa ba keŋ giena a kʋʋ ba n nɩŋŋa.’ ”
LUK.19.28	Yisa die dɩ bala wɩaha a kpatɩ wa, die ʋ dɩ ba nɩŋŋa ba gara Jerusalemi. 
LUK.19.29	Die ʋ kenne gbigi Betifiji aŋaŋ Betani tɩgɩsɩ die dɩ benne kunkogiŋ dieke ba wasɩnana Olivi tɩɩsɩ kunkogiri, die ʋ tʋŋ ʋ kʋaŋandɩɩsɩrɩba bale a balɩ yɩ ba dɩ, 
LUK.19.30	“Nɩ gamma tɩŋkpaŋŋɩ dieke dɩ benne nɩ nɩŋŋa wa, nɩ die keŋ juo nɩ nan ye bonpɔlɩ dɩ bɔbɩna zie ta vuoŋ dɩ ye ka jʋalɩ ka. Nɩ forisi ke a yaa ka a keŋ giena. 
LUK.19.31	Ta dɩɩ yi vuoŋ dɩ pɩasɩ nɩ dɩ, ‘Bɩa nɩ forisi ke?’ Nɩ balɩ wa dɩ, ‘Tɩ Yɔmʋtieŋ yaalala ka.’ ” 
LUK.19.32	Die ba ga a ye wudieke gbaŋ gbaŋ die Yisa dɩ bala a yɩ ba wa. 
LUK.19.33	Die ba forisinene bonpɔlɩka, ka tieŋ die dɩ pɩasɩ ba dɩ, “Bɩa nɩ forise bonpɔlɩka?”
LUK.19.34	Die ba yiŋŋi a balɩ wa dɩ, “Tɩ Yɔmʋtieŋ yaalala ka”, 
LUK.19.35	ta die ba datɩ ka a yaa ka a keŋ Yisa jigiŋ. Ta die ʋ kʋaŋandɩɩsɩrɩba die dɩ nagɩ gaatɩ a diisi bonka sikpeŋ ta suŋŋi Yisa dɩ jʋalɩ kalɩ ka ma. 
LUK.19.36	Die ʋ jʋalɩna a gara wa vuosisi dɩ nagɩ ba gaatɩ a jaatɩ sieku me.
LUK.19.37	Die ʋ kenne a gbigi jigidieke sieku dɩ sʋʋna gara Olivi kunkogiri jigiri, ʋ kʋaŋanvuosi mana die dɩ piili a bɩra Ŋmɩŋ aŋaŋ sʋgɩfɩalɩŋ, ta bɩra wa aŋaŋ lɔlɩkpɩɩma yaa gamma mamachi wʋkpɩɩma dieke ba yene wo dɩ,
LUK.19.38	“Ŋmɩŋ yi alibarika yi naaŋ dieke dɩ kienene Nabidie Ŋmɩŋ saaŋ ma.
LUK.19.38	Sʋgɩdʋagɩŋ bemme arɩzanna ma, ta nɩ kɔtɩ Ŋmɩŋ saaŋ sikpeŋ.”
LUK.19.39	Mi Farasisi bataŋ die dɩ benne kpɩkpaakʋ ma wa die dɩ balɩ yɩ Yisa dɩ, “Dɩdagɩrʋ, balɩ fʋ kʋaŋanvuosisi dɩ ba tarɩ watɩ.”
LUK.19.40	Yisa die dɩ yiŋŋi a balɩ ba dɩ, “N bala nɩ, dɩɩ yi ba tarɩ, ama tanaha dɩ dʋana wa nan dɩ nata a bɩra Ŋmɩŋ.”
LUK.19.41	Die ʋ kenne gbigi Jerusalemi ta ye ke wo die ʋ kʋŋ ka wɩa, 
LUK.19.42	ta baarɩ dɩ, “Dɩ yiwo bɩaŋ dɩ jinne nɩ vuosi ka sɩba wudieke dɩ baaŋ dɩ yaa sʋgɩdʋagɩŋ a keŋ ba jigiŋ. Lele ka lɔbɩrɩya mɩŋ ba jigiŋ. 
LUK.19.43	Jerusalemi, saŋŋa nan keŋ fʋ dataasɩ nan mɩɩ gaamɩŋ a giliŋ fʋ lʋga mana dɩ ba tuoli fʋ. Sojasi nan taaŋ giliŋ fʋ jigiŋ mana. 
LUK.19.44	Ba nan ŋmabɩ fʋ mana ta kʋʋ fʋ vuosi. Ba nan chʋʋsɩ nɩ tige mana ta taŋ balɩmɩŋ kaaŋ wɩarɩ a beri ka jigiberisikiŋ. Naa mana nan keŋ yi dama nɩ kana ka mɩŋŋɩ saŋŋa dieke Ŋmɩŋ dɩ kenne dɩ ʋ gbatɩ nɩ a taaŋ wa.”
LUK.19.45	Ka kʋaŋ chaaŋ Yisa die dɩ ga juu Ŋmɩŋ jɩamɩŋ juokpeŋkpɩɩkʋ sʋŋ a piili a yaga vuodiekemba die dɩ daanana nyinti mi wo, 
LUK.19.46	ta bala yɩa ba dɩ, “Dɩ maagɩya Ŋmɩŋ gbaŋkʋ sʋŋ dɩ Ŋmɩŋ baarɩ dɩ, ‘N tigiŋ baa ka yiwo Ŋmɩŋ jʋʋsɩŋ jigiŋ.’ Ama nɩ nagɩ ka a bɩrɩŋ wa gaarɩŋ jigiberisikiŋ?”
LUK.19.47	Die daaŋ mana Yisa die bie wo Ŋmɩŋ jɩamɩŋ juokpeŋkpɩɩkʋ ma a daga vuosi Ŋmɩŋ wɩa. Die Ŋmɩŋ kɩkaabɩtɩba nyɩŋkʋraha aŋaŋ mɩraha dɩdagɩrɩba aŋaŋ tɩka nyɩŋkʋraha die dɩ mɩa dɩ ba kʋʋ wa, 
LUK.19.48	ama die ba ka ye sie dieke ba baaŋ daagɩ yi die, dama vuotamba mana die chɩɩsa wʋmma ʋ wʋbalɩkaha ta ka yaala ba waarɩ ʋ wʋbalɩkaha kaanɩ gbaŋ.
LUK.20.1	Daaŋ kaanɩ Yisa die dɩ bie Ŋmɩŋ jɩamɩŋ juokpeŋkpɩɩkʋ ma a daga vuotamba ta mʋʋla Ŋmɩŋ wʋvɩɩnaha a yɩa vuosi, ta Ŋmɩŋ kɩkaabɩtɩba nyɩŋkʋraha aŋaŋ mɩraha dɩdagɩrɩba aŋaŋ tɩka nyɩŋkʋraha die dɩ keŋ ʋ jigiŋ, 
LUK.20.2	a pɩasɩ wa dɩ, “Balɩ tɩ, mɩnɩa yiko me fʋ yie wɩaha gie? Mɩnɩa yɩna fʋ kanɩŋ yiko ke mi?”
LUK.20.3	Yisa die dɩ yiŋŋi a balɩ ba dɩ, “N gbaŋ n baa n pɩasɩ nɩ wa wʋpɩasɩkɩŋ. Nɩ balɩ mɩŋ, 
LUK.20.4	Jɔɔn vuodieke die dɩ sɩnana vuosi Ŋmɩŋ nyaabʋ, Ŋmɩŋ die yɩna wa kanɩŋ yiko ke mi yaa vuota?”
LUK.20.5	Die ba piili a bala yɩa taŋ dɩ, “Wʋbɩa tɩ baa tɩ balɩ? Dɩɩ yi tɩ baarɩ dɩ Ŋmɩŋ yɩna wa yiko ke mi, ʋ nan baarɩ dɩ ta bɩa wɩa die tɩ ka yiwo yada? 
LUK.20.6	Ta tɩ bɩ baarɩ dɩ, dɩ vuota die yɩna wa, kpɩkpaakʋ gie mana nan taa tɩ tana dama ba yi yada dɩ Jɔɔn die yiwo Ŋmɩŋ naazʋa.” 
LUK.20.7	Die wɩa die ba yiŋŋi balɩ dɩ, “Tɩ ka sɩba jigidieke die ka nyɩnna.”
LUK.20.8	Yisa die dɩ yiŋŋi a balɩ yɩ ba dɩ, “Die nɩŋ, n gbaŋ n kaaŋ balɩ nɩ, vuodieke dɩ yɩna mɩŋ yiko ke gie maŋ yaa yie wɩaha gie.”
LUK.20.9	Womi Yisa die dɩ taaŋ vuotamba nandagɩrɩ gie dɩ, “Daa wʋnyɩ die sone tɩɩsɩ dɩ nyɩnana bie ʋ kʋaŋ ma, ta die nagɩ ka a yɩ tʋntʋntɩŋ nuusi me ta dɩa a ga jigiŋ a ga yʋasɩ. 
LUK.20.10	Die a kpaala saŋŋa dɩ tʋgɩ ʋ tʋŋ ʋ yɔmʋ tʋntʋntɩba jigiŋ dɩ ʋ ga tuo ʋ tʋaŋ a keŋ. Ama die tʋntʋntɩba die dɩ nɩgɩ ʋ yɔmʋ wa ta vaa ʋ yiŋŋi ga aŋaŋ nuuwɩaga. 
LUK.20.11	Die wɩa die ʋ bɩ tʋŋ yɔmʋ gaaŋ, tʋntʋntɩba die dɩ nɩgɩ wa ta nagɩ wa yi viivi me ta vaa ʋ viiri ga aŋaŋ nuuwɩaga. 
LUK.20.12	Womi die ʋ bɩ tʋŋ yɔmʋ dieke dɩ gʋtɩna bʋtaa ma, die ba yɩ wa daŋŋa ta vigi wa taaŋ. 
LUK.20.13	Womi kʋakʋ tieŋ die dɩ baarɩ dɩ ‘Bɩa maŋ baa yi? Die nɩŋ lele n nan tʋŋ n gbaŋ gbaŋ n bʋa dieke n chone. Wʋnɩŋ nɩŋ ba nan yɩ wa jɩlɩma.’ 
LUK.20.14	Ama die tʋntʋntɩba dɩ yene wo wo die ba balɩ yɩ taŋ dɩ, ‘Kʋakʋ tieŋ faarɩ diiru wʋnna. Nɩ vaa tɩ kʋʋ wa ta ʋ faarɩ yi tɩ sɩɩtɩ.’ 
LUK.20.15	Die wɩa die ba nagɩ wa a nyɩŋ kʋakʋ ma a ga kʋʋ wa.”
LUK.20.15	Yisa die dɩ pɩasɩ ba dɩ, “Bɩa kʋakʋ tieŋ dɩ nan yi tʋntʋntɩba gie? 
LUK.20.16	Ʋ nan keŋ a kʋʋ banɩŋ vuosi mi ta nagɩ kʋakʋ a yɩ vuogaasɩ.”
LUK.20.16	Die vuosisi die dɩ wʋnna naa wa, ba baarɩ dɩ “Ŋmɩŋ nagɩ die a ga saasaa.”
LUK.20.17	Yisa die dɩ daansɩ ba ta pɩasɩ ba dɩ, “Ŋmɩŋ wɩɩrɩ gie chɩaŋ?
LUK.20.17	Dɩ ‘Taŋ dieke mɩmɩɩrɩba die dɩ zetine ta baarɩ ba ka yaala ka wa
LUK.20.17	die yine gɔŋgɔŋyʋgɩrɩŋ taŋ vɩɩnɩŋ.’
LUK.20.18	Vuodieke dɩ nanna tanɩ gie sikpeŋ nan ŋmabɩ ŋmabɩ ama vuodieke tanɩ dɩ keŋ nan ʋ sikpeŋ ʋ nan nʋŋ nʋŋ sɩba zɔŋ.”
LUK.20.19	Die mɩraha dɩdagɩrɩba aŋaŋ Ŋmɩŋ kɩkaabɩtɩba nyɩŋkʋraha die dɩ mɩŋŋɩna dɩ ba wɩa Yisa dɩ taana nandagɩrɩ gie wo, die ba mɩa dɩ ba yigi wo mi, ama die ba chɩga vuotamba ŋmaamɩŋ. 
LUK.20.20	Die wɩa die ba maansa daansa wa, die ba bɩ a yɩ mɩmaansɩ daansɩrɩba ligire dɩ ba ga Yisa jigiŋ a ga gaaŋ wa sɩba ba yiwo vuovɩɩna, ta pɩasɩ wa wʋpɩasɩka ta ye dɩ ʋ nan balɩ a chʋʋsɩ aŋ ba yigi wo a ga tɩka jakʋʋrɩ jigiŋ. 
LUK.20.21	Die mɩmaansɩ daansɩrɩba dɩ balɩ yɩ Yisa dɩ, “Dɩdagɩrʋ, tɩ sɩba baarɩ wudieke fʋ balala ta daga wa yiwo wusie, ta ka luge ama a daga Ŋmɩŋ sieŋ aŋaŋ wusie. 
LUK.20.22	Balɩ tɩ, tɩ mɩraha yɩ sieŋ mɩŋ dɩ tɩ tumme lampo a yɩma Romani tɩŋ naaŋ wa Siiza yaa tɩ da tumme?”
LUK.20.23	Ama Yisa die dɩ mɩŋŋɩ ba sanna die wo, ta balɩ yɩ ba dɩ, 
LUK.20.24	“Nagɩ ligiribiŋ a dagɩ mɩŋ. Mɩnɩa nine chaaŋ aŋaŋ ʋ saaŋ diisine ka ma?”
LUK.20.24	Die ba baarɩ dɩ, “Naaŋ Siiza.”
LUK.20.25	Ta Yisa dɩ balɩ yɩ ba dɩ, “Die nɩŋ nɩ nagɩ yɩ Naaŋ Siiza jadieke dɩ yine ʋ sɩɩtɩ ta nagɩ yɩ Ŋmɩŋ dɩaŋ jadieke dɩ yine Ŋmɩŋ sɩɩtɩ.”
LUK.20.26	Die ba ka bɩagɩ a yigi wo aŋaŋ wɩɩŋ vuosisi nɩŋŋa, die ʋ yiŋŋi balɩkʋ die yine be mamachi die ba ka bɩagɩ a balɩ wɩɩŋ.
LUK.20.27	Die Sadusisi bataŋ die dɩ keŋ Yisa jigiŋ; banɩŋ die ba balala dɩ vuosi kaaŋ daansɩ hagɩ kuŋ me; die ba pɩasɩ wa dɩ, 
LUK.20.28	“Dɩdagɩrʋ, Mosisi die maagɩna mɩrɩka gie a yɩ tɩ dɩ, dɩɩ yi ‘Dembiŋ dɩ keŋ faarɩ ʋ hɔgʋ ta kpi ta wo ballɩ, dɩ mʋ daa wa mi nɩmbʋa faarɩ kpihɔgʋ wa amʋ ʋ mɩɩrɩ ballɩ a yɩ vuodieke dɩ kpine wo.’ 
LUK.20.29	Die dembisi bayʋpɔyɩ die benne a yi nɩmballɩ, jakʋʋrɩ chaaŋ die dɩ faarɩ hɔgʋ, ta ka mɩɩrɩ ballɩ ta kpi; 
LUK.20.30	womi vuodieke dɩ diisine bule wo dɩ faarɩ hɔgʋ wa, ta ka mɩɩrɩ ballɩ ta kpi; 
LUK.20.31	vuodieke dɩaŋ dɩ diisine bʋtaa gbaŋ dɩ faarɩ wa ta kpi ta ka mɩɩrɩ ballɩ. Vuotɩalɩkaha mana die dɩ faarɩ hɔgʋ wa ta kpi ta ka mɩɩrɩ ballɩ. 
LUK.20.32	Ka kʋaŋ kʋaŋ chaaŋ hɔgʋ wa dɩaŋ dɩ kpi. 
LUK.20.33	Lele, kuŋ hagɩŋ daraaŋ mɩnɩa hɔgʋ bala ʋ yi wo? Dama ba bayʋpɔyɩ wa mana die faarɩ wa mɩŋ.”
LUK.20.34	Yisa die dɩ yiŋŋi a balɩ ba dɩ, “Tɩŋgbaŋka gie vuosi faara hɔɔŋ ta naga ba lɩaŋ yɩa chʋllɩŋ, 
LUK.20.35	ama vuodiekemba dɩ mʋna aŋaŋ kuŋ hagɩŋ ta nan keŋ hagɩ a bemme dʋnɩa haalɩkʋ ma wa, ka faara hɔɔŋ yaa a naga ba lɩaŋ yɩ chʋllɩŋ, 
