MAT.1.1	Rodovnik Jezusa Kristusa, Davidovega sina, Abrahamovega sina.
MAT.21.18	Ko se je Jezus zjutraj vračal v mesto, je bil lačen. 
MAT.21.19	Ob poti je zagledal smokvino drevo in šel k njemu, toda na njem ni našel drugega kakor listje in mu je rekel: »Naj ne bo nikoli več sadu na tebi!« Drevo se je pri priči posušilo. 
MAT.21.20	Ko so učenci to videli, so začudeno rekli: »Kako to, da se je smokva tako hitro posušila?« 
MAT.21.21	Jezus jim je odgovoril: »Resnično vam povem: če boste imeli vero in ne boste dvomili, boste delali ne samo to, kar se je zgodilo s to smokvo; ampak če boste rekli tej gori: ‘Vzdigni se in se vrzi v morje,’ se bo to zgodilo. 
MAT.21.22	Vse boste prejeli, kar boste prosili v molitvi, če boste verovali.«
MAT.21.23	Prišel je v tempelj, in medtem ko je učil, so stopili k njemu véliki duhovniki in starešine ljudstva ter rekli: »S kakšno oblastjo to delaš? Kdo ti je dal to oblast?« 
MAT.21.24	Jezus jim je odgovoril: »Tudi jaz vam bom postavil vprašanje. Če mi odgovorite nanj, vam bom tudi jaz povedal, s kakšno oblastjo to delam. 
MAT.21.25	Odkod je bil Janezov krst? Iz nebes ali od ljudi?« Ti pa so premišljevali in govorili med sabo: »Če rečemo: ‘Iz nebes,’ nam bo rekel: ‘Zakaj mu torej niste verjeli?’ 
MAT.21.26	Če pa rečemo: ‘Od ljudi,’ potem se bojmo množice, kajti vsi imajo Janeza za preroka.« 
MAT.21.27	Zato so Jezusu odvrnili: »Ne vemo.« On pa jim je rekel: »Tudi jaz vam ne povem, s kakšno oblastjo to delam.«
MAT.21.28	»Kaj se vam zdi? Nekdo je imel dva sina. Stopil je k prvemu in rekel: ‘Sin, pojdi danes delat v vinograd!’ 
MAT.21.29	Odgovoril je: ‘Nočem.’ Toda pozneje se je premislil in šel. 
MAT.21.30	Stopil je k drugemu in rekel isto. Ta je odgovoril: ‘Grem, moj gospod,’ vendar ni šel. 
MAT.21.31	Kateri od teh dveh je spolnil očetovo voljo?« Rečejo: »Prvi.« Jezus jim reče: »Resnično vam povem: cestninarji in nečistnice pojdejo pred vami v božje kraljestvo. 
MAT.21.32	Prišel je namreč Janez k vam in vam kazal pot pravičnosti in mu niste verjeli; cestninarji in nečistnice pa so mu verjeli. Vi ste to videli in se tudi potlej niste skesali, da bi mu verjeli.«
MAT.21.33	»Poslušajte drugo priliko! Bil je hišni gospodar, ki je 
MAT.21.34	Ko se je približal čas trgatve, je poslal svoje služabnike k viničarjem, da bi dobili njegov pridelek. 
MAT.21.35	Viničarji so njegove služabnike zgrabili in enega pretepli, drugega ubili in spet drugega kamnali. 
MAT.21.36	Potem je poslal druge služabnike, več kakor prej, in storili so z njimi prav tako. 
MAT.21.37	Nazadnje je poslal k njim svojega sina, češ: ‘Mojega sina bodo spoštovali.’ 
MAT.21.38	Ko so viničarji zagledali sina, so si rekli: ‘To je dedič. Dajmo, ubijmo ga in se polastimo njegove dediščine!’ 
MAT.21.39	Zgrabili so ga, vrgli iz vinograda in ubili. 
MAT.21.40	Ko bo torej prišel gospodar vinograda, kaj bo storil s temi viničarji?« 
MAT.21.41	Rečejo mu: »Hudobneže bo kruto pokončal, vinograd pa dal v najem drugim viničarjem, ki mu bodo ob svojem času dajali pridelek.« 
MAT.21.42	Jezus jim reče: »Ali niste nikoli brali v knjigah Svetega pisma:
MAT.21.43	Zato vam pravim: vzelo se vam bo božje kraljestvo in dalo ljudstvu, ki bo dajalo njegove sadove.« 
MAT.21.44	Kdor bo padel na ta kamen, se bo razbil; in na kogar bo on padel, ga bo strl.
MAT.21.45	Ko so véliki duhovniki in farizeji slišali njegove prilike, so spoznali, da govori o njih. 
MAT.21.46	Poskušali so ga zgrabiti, pa so se zbali množice, ker ga je imela za preroka.
MAT.22.1	Jezus jim je spet spregovoril v prilikah. 
MAT.22.2	»Nebeško kraljestvo je podobno kralju, ki je napravil svatbo svojemu sinu. 
MAT.22.3	Poslal je svoje služabnike, da skličejo povabljene na svatbo, vendar ti niso hoteli priti. 
MAT.22.4	Znova je poslal druge služabnike z naročilom: ‘Recite povabljenim: Glejte, obed sem vam pripravil. Moji voli in pitana teleta so zaklana in vse je pripravljeno; pridite na svatbo!’ 
MAT.22.5	Ti pa se niso zmenili, temveč so odšli: eden na svojo njivo, drugi po kupčiji; 
MAT.22.6	ostali pa so zgrabili njegove služabnike, jih osramotili in pobili. 
MAT.22.7	Kralj se je tedaj razjezil in poslal svojo vojsko, da so pobili tiste morilce in njihovo mesto požgali. 
MAT.22.8	Nato je rekel služabnikom: ‘Svatba je pripravljena, toda povabljeni jè niso bili vredni. 
MAT.22.9	Pojdite torej na križišča in kogarkoli tam najdete, ga povabite na svatbo.’ 
MAT.22.10	Služabniki so odšli na ceste in zbrali vse, ki so jih našli, hudobne in dobre, in svatovska dvorana se je napolnila z gosti. 
MAT.22.11	Ko je kralj prišel goste pogledat, je opazil tam človeka, ki ni imel svatovske obleke. 
MAT.22.12	Reče mu: ‘Prijatelj, kako si prišel semkaj, ko nimaš svatovske obleke?’ Ta pa je molčal. 
MAT.22.13	Tedaj je kralj ukazal strežnikom: ‘Zvežite mu noge in roke in ga vrzite ven v temo, tam bo jok in škripanje z zobmi.’ 
MAT.22.14	Veliko je namreč poklicanih, toda malo izvoljenih.«
MAT.22.15	Tedaj so farizeji odšli in se posvetovali, kako bi ga ujeli v besedi. 
MAT.22.16	K njemu pošljejo svoje somišljenike skupaj s heródovci in ti ga vprašajo: »Učitelj, vemo, da si resnicoljuben in res učiš tako živeti, kakor hoče Bog, in se ne meniš za nikogar, ker se ne oziraš na osebo. 
MAT.22.17	Povej nam torej, kaj se ti zdi: ali je dovoljeno dajati cesarju davek ali ne?« 
MAT.22.18	Jezus je spoznal njihovo zvitost in rekel: »Kaj me skušate, hinavci? 
MAT.22.19	Pokažite mi davčni denar!« Dali so mu denar. 
MAT.22.20	Nato jih vpraša: »Čigava je ta podoba in napis?« 
MAT.22.21	Odgovorijo mu: »Cesarjeva.« Tedaj jim reče: »Dajte torej cesarju, kar je cesarjevega, in Bogu, kar je božjega.« 
MAT.22.22	Ko so to slišali, so se začudili, ga pustili in odšli.
MAT.22.23	Tisti dan so prišli k njemu saduceji, ki pravijo, da ni vstajenja, in so ga vprašali: 
MAT.22.24	»Učitelj, Mojzes je rekel: 
MAT.22.25	Bilo pa je pri nas sedem bratov. Prvi se je oženil in umrl. Ker ni imel otrok, je zapustil ženo svojemu bratu; 
MAT.22.26	tako tudi drugi in tretji, vsi do sedmega. 
MAT.22.27	Za vsemi je nazadnje umrla tudi žena. 
MAT.22.28	Čigava bo torej ob vstajenju? Vsi so jo namreč imeli za ženo.« 
MAT.22.29	Jezus jim je odgovoril: »Motite se, ker ne poznate ne Svetega pisma ne božje moči. 
MAT.22.30	Ob vstajenju se namreč ne bodo ne ženili ne možile, temveč bodo kakor angeli v nebesih. 
MAT.22.31	O vstajenju mrtvih pa, ali niste brali, kaj vam je rekel Bog: 
MAT.22.32	 Ni pa Bog mrtvih, temveč živih.« 
MAT.22.33	Ko so množice to slišale, so strmele nad njegovim naukom.
MAT.22.34	Farizeji pa so zvedeli, da je saduceje prisilil k molku in so se zbrali na istem kraju. 
MAT.22.35	Eden izmed njih, bil je učitelj postave, ga je skušal in vprašal: 
MAT.22.36	»Učitelj, katera je največja zapoved v postavi?« 
MAT.22.37	Odgovoril mu je: 
MAT.22.38	To je največja in prva zapoved. 
MAT.22.39	Druga pa je njej enaka: 
MAT.22.40	Na teh dveh zapovedih stoji vsa postava in preroki.«
MAT.22.41	Ko so bili farizeji zbrani, jih je Jezus vprašal: 
MAT.22.42	»Kaj mislite o Kristusu? Čigav sin je?« Odgovorijo mu: »Davidov.« 
MAT.22.43	On jim reče: »Kako ga torej David po navdihnjenju imenuje Gospod, ko pravi:
MAT.22.45	Če ga torej David imenuje Gospod, kako more biti njegov sin?« 
MAT.22.46	In nobeden mu ni mogel odgovoriti besede, tudi se ga ni upal od tistega dne kdo še kaj vprašati.
MAT.23.1	Tedaj je Jezus spregovoril množicam in svojim učencem: 
MAT.23.2	»Mojzesovo učiteljsko mesto so zasedli pismouki in farizeji. 
MAT.23.3	Delajte vse in se držite vsega, kar vam rečejo, po njihovih delih pa se ne ravnajte; govorijo namreč, pa ne delajo. 
MAT.23.4	Vežejo težka in neznosna bremena in jih nalagajo ljudem na rame, sami pa jih še s prstom nočejo premakniti. 
MAT.23.5	Vsa svoja dela opravljajo zato, da bi jih ljudje videli. Napravljajo si širše molitvene jermene in podaljšujejo resice na obleki. 
MAT.23.6	Radi imajo častna mesta na gostijah, prve sedeže v shodnicah, 
MAT.23.7	pozdrave na cestah in da jim ljudje pravijo ‘učitelj’. 
MAT.23.8	Vi pa ne pustite, da bi vam rekli ‘učitelj’, kajti eden je vaš Učitelj, vi vsi ste pa bratje. 
MAT.23.9	Tudi na zemlji nikogar ne imenujte ‘oče’, kajti eden je vaš Oče, ta, ki je v nebesih. 
MAT.23.10	Tudi se ne dajte imenovati ‘vodniki’, kajti eden je vaš Vodnik, Kristus. 
MAT.23.11	Največji med vami bodi vaš strežnik. 
MAT.23.12	Kdor se bo poviševal, bo ponižan; in kdor se bo poniževal, bo povišan.
MAT.23.13	A gorje vam, pismouki in farizeji! Hinavci. Pred ljudmi zaklepate nebeško kraljestvo. Sami ne greste noter, tistim, ki bi radi vstopili, pa ne pustite. 
MAT.23.14	[Gorje vam, pismouki in farizeji! Hinavci. Vdovam požirate hiše, medtem ko hinavsko opravljate dolge molitve; zaradi tega boste strože sojeni.]
MAT.23.15	Gorje vam, pismouki in farizeji! Hinavci. Prepotujete morje in kopno, da enega samega pridobite za svojo vero; in ko se to zgodi, ga naredite za sina pekla, dvakrat hujšega od sebe.
MAT.23.16	Gorje vam, slepi vodniki, ki pravite: ‘Če kdo priseže pri templju, ga prisega ne veže; če pa priseže pri tempeljskem zlatu, ga veže.’ 
MAT.23.17	Nespametni in zaslepljeni! Kaj je vendar več: zlato ali tempelj, ki zlato posvečuje? 
MAT.23.18	Pravite tudi: ‘Če kdo priseže pri oltarju, ga prisega ne veže, če pa priseže pri daru, ki je na njem, ga veže.’ 
MAT.23.19	Zaslepljenci! Kaj je vendar več: dar ali oltar, ki dar posvečuje? 
MAT.23.20	Kdor torej priseže pri oltarju, priseže pri njem in pri vsem, kar je na njem. 
MAT.23.21	Kdor priseže pri templju, priseže pri njem in pri tem, ki v njem prebiva. 
MAT.23.22	Kdor pa priseže pri nebu, priseže pri božjem prestolu in pri tistem, ki sedi na njem.
MAT.23.23	Gorje vam, pismouki in farizeji! Hinavci. Desetino dajete od mete, kopra in kumine, opustili pa ste, kar je pomembnejše v postavi: pravičnost, usmiljenje in zvestobo. To bi bilo treba storiti, onega pa ne opustiti. 
MAT.23.24	Zaslepljeni vodniki! Komarja precejate, kamelo pa požirate.
MAT.23.25	Gorje vam, pismouki in farizeji! Hinavci. Kozarec in skledo čistite od zunaj, znotraj pa ste polni ropa in nezmernosti. 
MAT.23.26	Zaslepljeni farizej! Očisti najprej kozarec znotraj, da bo čist tudi zunaj.
MAT.23.27	Gorje vam, pismouki in farizeji! Hinavci. Podobni ste pobeljenim grobovom, ki so na zunaj lepi, znotraj pa so polni mrtvaških kosti in vsakršne gnusobe. 
MAT.23.28	Tako se tudi vi na zunaj kažete ljudem poštene, znotraj pa ste polni hinavščine in krivice.
MAT.23.29	Gorje vam, pismouki in farizeji! Hinavci. Zidate grobnice prerokom in krasite spomenike pravičnih 
MAT.23.30	ter govorite: ‘Če bi mi živeli v dneh naših očetov, ne bi sodelovali z njimi pri prelivanju preroške krvi.’ 
MAT.23.31	Tako sami proti sebi spričujete, da ste sinovi tistih, ki so morili preroke. 
MAT.23.32	Le dopolníte mero svojih očetov! 
MAT.23.33	Kače, gadja zalega! Kako boste ubežali peklenski kazni? 
MAT.23.34	Zato, poglejte, pošiljam k vam preroke, modrijane in pismouke, nekatere boste pobili in križali, druge boste bičali v svojih shodnicah in preganjali od mesta do mesta, 
MAT.23.35	da pride nad vas vsa pravična kri, ki je bila prelita na zemlji, od pravičnega Ábela do krvi Zaharíja, Berehjájevega sina, ki ste ga ubili med templjem in oltarjem. 
MAT.23.36	Resnično vam povem: vse to bo prišlo nad ta rod.«
MAT.23.37	»Jeruzalem, Jeruzalem, ki moriš preroke in kamnáš tiste, ki so k tebi poslani! Kolikokrat sem hotel zbrati tvoje otroke, kakor zbira koklja svoja piščeta pod peruti, pa niste hoteli. 
MAT.23.38	Zato bo vaša hiša zapuščena. 
MAT.23.39	Povem vam pa: odslej me ne boste videli, dokler ne porečete: ‘
MAT.24.1	Jezus je šel iz templja. Ko je odhajal, so stopili k njemu njegovi učenci in mu pogled obrnili na tempeljske stavbe. 
MAT.24.2	Rekel jim je: »Vidite vse to, kajne? Resnično vam povem: tu zagotovo ne bo ostal kamen na kamnu; vse bo porušeno.«
MAT.24.3	Ko pa je sedèl na Oljski gori, so stopili k njemu učenci in ga na samem vprašali: »Povej nam, kdaj bo to in kakšno znamenje bo napovedovalo tvoj prihod in dovršitev sveta?« 
MAT.24.4	Jezus jim je odgovoril: »Glejte, da vas kdo ne premoti! 
MAT.24.5	Veliko jih bo namreč nastopilo pod mojim imenom in bodo govorili: ‘Jaz sem Kristus,’ tako da bodo mnoge zbegali. 
MAT.24.6	Slišali pa boste o vojnah in novice o vojskovanjih; glejte, da se ne daste zbegati! Vse to se namreč mora zgoditi, vendar to še ne bo dovršitev. 
MAT.24.7	Vstal bo narod zoper narod, država zoper državo. Lakota in potresi bodo na raznih krajih, 
MAT.24.8	vendar bo vse to kakor začetek porodnih bolečin. 
MAT.24.9	Takrat vas bodo izročali mučenju in vas bodo morili. Vsi narodi vas bodo sovražili zaradi mojega imena. 
MAT.24.10	Veliko jih bo takrat klonilo. Izdajali bodo drug drugega in se sovražili. 
MAT.24.11	Nastopilo bo veliko lažnih prerokov in bodo mnoge premotili. 
MAT.24.12	Ker bo krivica narasla, bo ljubezen pri mnogih ugasnila. 
MAT.24.13	Kdor pa bo vztrajal do konca, bo rešen. 
MAT.24.14	In ta evangelij kraljestva bodo oznanjali po vsem svetu v pričevanje vsem narodom, in takrat pride dovršitev.«
MAT.24.15	»Ko boste torej videli na svetem kraju gnusobo opustošenja, ki jo je napovedal prerok Daniel – kdor bere, naj razume – 
MAT.24.16	takrat naj beže v hribe, kateri so v Judeji. 
MAT.24.17	Kdor bo na strehi, naj ne hodi dol, da bi kaj vzel iz svoje hiše; 
MAT.24.18	in kdor bo na polju, naj se ne vrača domov po svoj plašč. 
MAT.24.19	Gorje pa nosečim in doječim v tistih dneh! 
MAT.24.20	Molíte, da ne bi bežali pozimi ali na soboto. 
MAT.24.21	Takrat bo namreč velika stiska, kakršne ni bilo od začetka sveta do zdaj in je tudi nikdar več ne bo. 
MAT.24.22	In če tisti dnevi ne bi bili skrajšani, ne bi bil rešen noben človek; toda zaradi izvoljenih bodo ti dnevi skrajšani. 
MAT.24.23	Če vam tedaj kdo poreče: ‘Tukaj je Kristus’ ali ‘Tam je’, ne verjemite, 
MAT.24.24	kajti pojavili se bodo lažni kristusi in lažni preroki. Delali bodo velika znamenja in čudeže, tako da bi lahko zapeljali celo izvoljene, če bi bilo mogoče. 
MAT.24.25	Mislite na to, naprej sem vam povedal. 
MAT.24.26	Če vam torej porečejo: ‘V puščavi je,’ ne hodíte tja; ali ‘V hiši je,’ ne verjemite. 
MAT.24.27	Kakor pride blisk od vzhoda in posveti do zahoda, tako bo tudi s prihodom Sina človekovega. 
MAT.24.28	Kjer je mrhovina, tam se zbirajo jastrebi.«
MAT.24.29	»Takoj po stiski tistih dni bo sonce otemnelo
MAT.24.29	in luna ne bo dajala svetlobe.
MAT.24.29	Zvezde bodo padale z neba
MAT.24.29	in nebeške sile se bodo majale.
MAT.24.30	Tedaj se bo prikazalo na nebu znamenje Sina človekovega in tolkli se bodo po prsih vsi rodovi na zemlji. Videli bodo 
MAT.24.31	Poslal bo svoje angele ob mogočnem donenju trobente in zbrali bodo njegove izvoljene od štirih vetrov, od enega konca neba do drugega.«
MAT.24.32	»Smokvino drevo pa naj vas nauči: Kadar postane njegova veja že mužévna in listje odganja, veste, da je poletje blizu. 
MAT.24.33	Tako tudi vi: kadar boste videli vse to, védite, da je blizu, tik pred vrati. 
MAT.24.34	Resnično vam povem: ta rod ne bo prešel, dokler se vse to ne zgodi. 
MAT.24.35	Nebo in zemlja bosta prešla, moje besede pa zagotovo ne bodo prešle.«
MAT.24.36	»Za tisti dan in uro pa ne vé nihče, ne angeli v nebesih ne Sin, ampak samo Oče. 
MAT.24.37	Kakor je bilo namreč v Nóetovih dneh, tako bo tudi ob prihodu Sina človekovega. 
MAT.24.38	Kakor so namreč v dneh pred potopom jedli in pili, se ženili in se možile do dne, ko je šel Nóe v ladjo, 
MAT.24.39	in niso ničesar zaslutili, dokler ni prišel potop in vse odnesel, tako bo tudi ob prihodu Sina človekovega. 
MAT.24.40	Takrat bosta dva na polju: Bog bo enega sprejel, drugega pustil. 
MAT.24.41	Dve bosta mleli na kamnu: ena bo sprejeta, druga puščena. 
MAT.24.42	Čujte torej, ker ne veste, kateri dan pride vaš Gospod! 
MAT.24.43	Zavedajte se: Hišni gospodar bi ostal buden, če bi vedel, kdaj pride tat, in ne bi pustil spodkopati svoje hiše. 
MAT.24.44	Zato bodite tudi vi pripravljeni, kajti ob uri, ko ne mislite, bo prišel Sin človekov.«
MAT.24.45	»Kdo je torej zvesti in razumni služabnik, ki ga je gospodar postavil nad svojo služinčad, da jo oskrbi z živežem o pravem času? 
MAT.24.46	Blagor tistemu služabniku, ki ga bo njegov gospodar ob svojem prihodu našel, da tako dela! 
MAT.24.47	Resnično vam povem: čez vse svoje premoženje ga bo postavil. 
MAT.24.48	Če pa je služabnik malomaren in si misli: ‘Mojega gospoda še dolgo ne bo’ 
MAT.24.49	in začne pretepati sohlapce, jé in popiva s pijanci, 
MAT.24.50	pa bo prišel gospodar tega služabnika ob dnevu, ko ga ne pričakuje, in ob uri, za katero ne vé; 
MAT.24.51	takrat ga bo grozovito kaznoval in mu dal delež, ki gre hinavcem; tam bo jok in škripanje z zobmi.«
MAT.25.1	»Takrat bo nebeško kraljestvo podobno desetim družicam, ki so vzele svetilke in šle ženinu naproti. 
MAT.25.2	Pet izmed njih je bilo nespametnih in pet pametnih. 
MAT.25.3	Nespametne so vzele svetilke, niso pa prinesle olja s seboj. 
MAT.25.4	Pametne pa so s svetilkami vred vzele olja v posodicah. 
MAT.25.5	Ker se je ženin mudil, so vse podremale in zaspale. 
MAT.25.6	Opolnoči pa je nastalo vpitje: ‘Glejte, ženin gre! Pojdite mu naproti!’ 
MAT.25.7	Tedaj so vse družice vstale in pripravile svetilke. 
MAT.25.8	Nespametne so rekle pametnim: ‘Dajte nam svojega olja, ker naše svetilke ugašajo!’ 
MAT.25.9	Toda pametne so odvrnile: ‘Nikakor! Da ne poide nam in vam, pojdite raje k prodajalcem in si ga kupite!’ 
MAT.25.10	Medtem ko so šle kupovat, je prišel ženin, in tiste, ki so bile pripravljene, so šle z njim na svatbo in vrata so se zaprla. 
MAT.25.11	Pozneje so prišle še druge družice in klicale: ‘Gospod, gospod, odpri nam!’ 
MAT.25.12	On pa jim je odgovoril: ‘Resnično vam povem: ne poznam vas!’ 
MAT.25.13	Čujte torej, ker ne veste ne dneva ne ure!«
MAT.25.14	»Bo namreč kakor s človekom, ki se je odpravljal na potovanje in sklical svoje služabnike ter jim izročil svoje premoženje. 
MAT.25.15	Enemu je dal pet talentov, drugemu dva in tretjemu enega, vsakemu po njegovi zmožnosti, in odpotoval. 
MAT.25.16	Ta, ki je prejel pet talentov, je šel takoj z njimi trgovat in pridobil pet drugih. 
MAT.25.17	Prav tako je tisti, ki je prejel dva, pridobil dva druga. 
MAT.25.18	Oni pa, ki je prejel enega, je šel, skopal jamo in denar svojega gospodarja skril. 
MAT.25.19	Po dolgem času je prišel gospodar teh služabnikov in napravil z njimi obračun. 
MAT.25.20	Pristopil je ta, ki je prejel pet talentov. Prinesel je pet drugih in rekel: ‘Gospod, pet talentov si mi dal, glej pet drugih sem pridobil.’ 
MAT.25.21	Gospodar mu je rekel: ‘Prav, dobri in zvesti služabnik! V malem si bil zvest, čez veliko te bom postavil. Pojdi v veselje svojega gospodarja!’ 
MAT.25.22	Nato je pristopil tisti, ki je dobil dva talenta, in rekel: ‘Gospod, dva talenta si mi dal, glej, dva druga sem pridobil.’ 
MAT.25.23	Gospodar mu je rekel: ‘Prav, dobri in zvesti služabnik! V malem si bil zvest, čez veliko te bom postavil. Pojdi v veselje svojega gospodarja!’ 
MAT.25.24	Nazadnje je pristopil oni, ki je dobil en talent, in rekel: ‘Gospod, vedel sem, da si trd človek: Žanješ, kjer nisi sejal, in pobiraš, kjer nisi dajal. 
MAT.25.25	Zbal sem se in sem šel ter svoj talent zakopal v zemljo. Na, tu imaš, kar je tvojega!’ 
MAT.25.26	Gospodar pa mu je rekel: ‘Malopridni in leni služabnik! Vedel si, da žanjem, kjer nisem sejal, in pobiram, kjer nisem dajal. 
MAT.25.27	Zato bi moral dati moj denar v hranilnico in ob vrnitvi bi jaz prejel svojo lastnino z obrestmi vred. 
MAT.25.28	Vzemite mu talent in ga dajte tistemu, ki jih ima deset; 
MAT.25.29	kajti vsakemu, ki ima, se bo dalo in bo imel obilo, tistemu pa, ki nima, se bo vzelo še to, kar ima. 
MAT.25.30	Neporabnega služabnika pa vrzite ven v temo, kjer bo jok in škripanje z zobmi.’«
MAT.25.31	»Ko pride Sin človekov v svoji slavi in vsi angeli z njim, takrat bo sédel na prestol svojega veličastva. 
MAT.25.32	Pred njim se bodo zbrali vsi narodi in ločil bo ene od drugih, kakor pastir loči ovce od ovnov. 
MAT.25.33	Ovce bo postavil na svojo desnico, ovne pa na levico. 
MAT.25.34	Tedaj bo kralj rekel tistim, ki bodo na desnici: ‘Pridite, blagoslovljeni mojega Očeta! Prejmite v posest kraljestvo, ki vam je pripravljeno od začetka sveta! 
MAT.25.35	Kajti lačen sem bil in ste mi dali jesti, žejen sem bil in ste mi dali piti, tujec sem bil in ste me sprejeli, 
MAT.25.36	nag sem bil in ste me oblekli, bolan sem bil in ste me oskrbeli, v ječi sem bil in ste prišli k meni.’ 
MAT.25.37	Tedaj mu bodo pravični odgovorili: ‘Gospod, kdaj smo te videli lačnega in te nasitili ali žejnega in ti dali piti? 
MAT.25.38	Kdaj smo te videli tujca in te sprejeli ali nagega in te oblekli? 
MAT.25.39	Kdaj smo te videli bolnega ali v ječi in smo prišli k tebi?’ 
MAT.25.40	Kralj jim bo odgovoril: ‘Resnično vam povem: karkoli ste storili enemu izmed teh mojih najmanjših bratov, ste storili meni.’ 
MAT.25.41	Tedaj poreče tudi tistim, ki bodo na levici: ‘Proč izpred mene, prekleti, v večni ogenj, ki je pripravljen hudiču in njegovim angelom! 
MAT.25.42	Kajti lačen sem bil in mi niste dali jesti, žejen sem bil in mi niste dali piti, 
MAT.25.43	tujec sem bil in me niste sprejeli, nag sem bil in me niste oblekli, bolan sem bil in v ječi in me niste oskrbeli.’ 
MAT.25.44	Tedaj bodo tudi ti odgovorili: ‘Gospod, kdaj smo te videli lačnega in žejnega ali tujca ali nagega ali bolnega ali v ječi in ti nismo postregli?’ 
MAT.25.45	Tedaj jim bo odgovoril: ‘Resnično vam povem: vse, česar niste storili enemu izmed teh najmanjših, tudi meni niste storili.’ 
MAT.25.46	Ti pojdejo, da prejmejo večno kazen, pravični pa večno življenje.«
MAT.26.1	Ko je Jezus končal vse te govore, je rekel svojim učencem: 
MAT.26.2	»Veste, da bo čez dva dni velika noč; in Sin človekov bo izdan, da ga bodo križali.« 
MAT.26.3	Tedaj so se zbrali véliki duhovniki in starešine ljudstva na dvoru vélikega duhovnika, ki mu je bilo ime Kajfa. 
MAT.26.4	Sklenili so, da bodo Jezusa z zvijačo prijeli in usmrtili, 
MAT.26.5	vendar so dejali: »Nikar na praznik, da ne nastane hrup med ljudstvom.«
MAT.26.6	Ko je bil Jezus v Betániji v hiši Simona Gobavca, 
MAT.26.7	se mu je približala neka žena. Imela je alabastrno posodico dragega odišavljenega olja in ga zlila na njegovo glavo, ko je sedèl pri mizi. 
MAT.26.8	Ko so učenci to videli, so zagodrnjali: »Čemú ta potrata? 
MAT.26.9	To bi namreč lahko dobro prodali in dali ubogim.« 
MAT.26.10	Jezus je to spoznal in jim rekel: »Kaj delate ženi težave? Saj mi je vendar dobro delo storila. 
MAT.26.11	Uboge imate namreč vedno med seboj, mene pa nimate vedno. 
MAT.26.12	Ko je zlila to olje na moje telo, ga je mazilila za moj pogreb. 
MAT.26.13	Resnično vam povem: kjerkoli po svetu bodo oznanjali ta evangelij, bodo pripovedovali tudi to, kar je ona storila, njej v spomin.«
MAT.26.14	Tedaj je šel eden izmed dvanajsterih, po imenu Juda Iškarijót, k vélikim duhovnikom 
MAT.26.15	in rekel: »Kaj mi hočete dati in vam ga izdam?« Ti pa so mu določili trideset srebrnikov. 
MAT.26.16	Odslej je iskal priložnost, da bi ga izročil.
MAT.26.17	Prvi dan opresnikov so prišli k Jezusu učenci in ga vprašali: »Kje hočeš, da ti pripravimo velikonočno večerjo?« 
MAT.26.18	Odgovoril jim je: »Pojdite v mesto k temu in temu in mu recite: ‘Učitelj pravi: moj čas je blizu, pri tebi želim obhajati velikonočno večerjo s svojimi učenci.’« 
MAT.26.19	In učenci so storili, kakor jim je Jezus naročil ter pripravili večerjo. 
MAT.26.20	Ko se je zvečerilo, je sédel z dvanajsterimi za mizo. 
MAT.26.21	Med jedjo je rekel: »Resnično vam povem: eden izmed vas me bo izdal.« 
MAT.26.22	Učenci so se silno užalostili in ga začeli drug za drugim spraševati: »Saj menda nisem jaz, Gospod?« 
MAT.26.23	On pa je odgovoril: »Kateri je z menoj pomočil roko v skledo, ta me bo izdal. 
MAT.26.24	Sin človekov sicer gre, kakor je o njem pisano, toda gorje tistemu človeku, ki ga izdaja! Boljše bi bilo zanj, da bi se ne bil rodil.« 
MAT.26.25	Oglasil pa se je izdajalec Juda in ga vprašal: »Učitelj, saj menda nisem jaz?« Odvrne mu: »Ti sam si rekel!«
MAT.26.26	Medtem ko so jedli, je Jezus vzel kruh, zmolil nad njim blagoslov, ga razlomil, dal učencem in rekel: »Vzemite, jejte, to je moje telo.« 
MAT.26.27	Nato je vzel kelih, se zahvalil, jim ga dal in rekel: »Pijte iz njega vsi! 
MAT.26.28	To je namreč moja kri, kri zaveze, ki se za mnoge preliva v odpuščanje grehov. 
MAT.26.29	A povem vam: poslej ne bom več pil od tega sadu vinske trte do tistega dne, ko bom pil z vami novega v kraljestvu svojega Očeta.« 
MAT.26.30	Ko so odpeli zahvalno pesem, so odšli proti Oljski gori.
MAT.26.31	Tedaj jim Jezus reče: »Vi vsi se boste to noč pohujšali nad menoj, kajti pisano je:
MAT.26.32	Ko bom pa vstal, pojdem pred vami v Galilejo.« 
MAT.26.33	Peter je posegel v besedo in mu rekel: »Če se bodo vsi pohujšali nad teboj, se jaz nikdar ne bom.« 
MAT.26.34	Jezus mu je rekel: »Resnično ti povem: preden bo to noč petelin zapel, me boš trikrat zatajil.« 
MAT.26.35	Peter mu reče: »Tudi če bi bilo treba umreti s teboj, ne, ne bom te zatajil.« Tako so rekli tudi vsi drugi učenci.
MAT.26.36	Nato pride Jezus z njimi na pristavo, ki se imenuje Getsémani, in jim reče: »Sédite tukaj, medtem stopim tja, da bom molil.« 
MAT.26.37	S seboj vzame Petra in oba Zebedéjeva sinova. Začne se žalostiti in trepetati. 
MAT.26.38	Tedaj jim reče: »Moja duša je žalostna do smrti, ostanite tukaj in čujte z menoj!« 
