MAT.1.1	Knige rodstva Jezuš Kristuša, siná Dávidovoga, siná Abrahámovoga. 
MRK.6.27	I preci je poslao král hohára, zapovedao njemi je prinesti njegovo glávo. 
MRK.6.28	On je pa odíšao, i vzéo njemi je glávo vu temnici, i naprê jo prinesao glávo njegovo vu skledi, i dáo jo je toj devojki, i ta devojka jo je dála materi svojoj. 
MRK.6.29	I gda bi čüli vučenícke njegovi, prišli so i vzéli so têlo njegovo, i položili so je vu grob.
MRK.6.30	I vküp so se spravili Apoštolje k Jezuši, i nazvêstili so njemi vsa, štera so včínili, i štera so včíli. 
MRK.6.31	I erčé njim: hodte ví samí od sêbe vu püsto mesto i počinte si edno malo. Ár ji je dosta bilô, kí so prihájali, i odhájali; i niti k jejstvini ešče so nej meli vrêmena. 
MRK.6.32	I odišli so vu püsto mesto na ládji samí. 
MRK.6.33	I vidilo je je odidôče to lüdstvo, i poznali so ga vnôgi; i peški od vsê mêst so tá vküp bêžali, i preišli so je i k časi so šli k njemi. 
MRK.6.34	I vöidôči vido je Jezuš vnožino lüdstva, i smilüvao se je nad njim; ár so bilí, liki ovcé, štere nemajo pastéra i záčao je je včiti vnôga. 
MRK.6.35	I, gda bi že vnogo vör bilô, pristôpili so k njemi vučenícke njegovi govoréči: kâ je püsto mesto i že je vöra vnôga. 
MRK.6.36	Odpüsti je; da idoči vu okôli bodôče vesnice i mesta küpijo si krüha; ár, ka bi jeli, nêmajo. 
MRK.6.37	Odgovoréči pa erkao njim je: dájte njim ví jesti. I velijo njemi: jeli idôči küpimo za dvê stô sodôv krüha i dámo njim jesti? 
MRK.6.38	On njim pa velí: keliko lêbov máte? idite i poglednite. I, gda bi spoznali, povedali so: pèt i dvê ribici. 
MRK.6.39	I zapovedao njim je, kâ bi vse doli posádili po rédi na zeléno trávo. 
MRK.6.40	I doli so seli po rédi po stô, i po pétdesét. 
MRK.6.41	I gda bi vzéo ti pèt lêbov krüha i ti dvê ribici, zglednovši vu Nebésa, blagoslovo je je, i vlomo je te krüh i dáo ga je vučeníkom svojim, da bi ga njim dáli; i tivi dvê ribici tüdi je vsêm razdêlo. 
MRK.6.42	I jeli so vsi, ino so se nasitili. 
MRK.6.43	I nábrali so drtinja dvanájset košárov puni, i ka je od ríbic ostanolo. 
MRK.6.44	I bilô ji je, kí so jeli te krühe, liki pét jezero možôv. 
MRK.6.45	I preci je prisílo vučenike svoje idti vu ládjo i naprê idti prêk k Betšajdi, dokeč on odpüsti lüdstvo. 
MRK.6.46	I geto je je odpüsto, šô je na brêg molit.
MRK.6.47	I, gda bi večér postano, bíla je ta ládja na srêdi môrja, i on sám na zemli. 
MRK.6.48	I vido je je, kâ so se mantrali vu plavanji (ár je prôti njim bio vöter); i okoli štrte štráže je k njim prišao hodéči na môrji šteo je mímo njih idti. 
MRK.6.49	Oni pa, kak so ga vidili hodéčega na môrji, štímali so, kà je skázanje: i kríčali so. 
MRK.6.50	(Ár so ga vsi vidili i prestrašili so se). I preci je gúčao ž njimi, i erčé njim: vüpajte se; jas sem, ne bojte se. 
MRK.6.51	I šô je k njim vu ládjo i ftišao je vöter; i jáko trdno so se vu sebi strsnoli i čüdivali. 
MRK.6.52	Ár so nej razmeli od ti krühov, ár je njih srcé obtrdjeno bilô. 
MRK.6.53	I prêk plavavši môrja prišli so na zemlo Genezaret, i k brodi so pristôpili. 
MRK.6.54	I vö idôči oni z ládje preci so ga poznali. 
MRK.6.55	I drkajôči po cêloj ovoj držéli záčali so na posteláj one, kí so se hüdô meli, okôli nositi, gde so ga čüli, kâ je tam. 
MRK.6.56	I kamakoli je šô vu vesnice, ali mêsta, ali marofe, vu vilicaj so, polôzili te nemočne betéžne; i prosili so ga, naj se li škrica gvanta njegovoga doteknejo; i, kíkoli so se ga doteknoli, ozdravili so.
MRK.7.1	I vküp so se spravili k njemi Farizeuške i níki pisáčke, kí so z Jerušálema prišli. 
MRK.7.2	Šteri, da bi vidili, kâ so níki z vučeníkov njegovi z občinskimi rokami (tô je, z nemujvanimi) krüh jeli, tôžili so je. 
MRK.7.3	(Ár Farizeuške i vsi Židovje, či do laktá neoperéjo rôk, ne jêjo, zdržávajôči tadánke ti stariši. 
MRK.7.4	I, od placa pridôči, či se ne operéjo, ne jêjo. I vnôga drüga so, štera so gori vzéli na zdržávanje, liki pranjé pehárov i maslinov medeníc ino stolov). 
MRK.7.5	Potom so ga pítali Farizeuške ino pisáčke: zakaj vučenícke tvoji ne hodijo pôleg tadánkov ti stariši; nego z nemujvanimi rokami jêjo krüh? 
MRK.7.6	On pa odgovoréči erčé njim: dobro je proroküvao Ežaiáš od vás skazlívcov; kak je písano: eto lüdstvo me li z vüstami čestí, srcé je pa njihovo daleč kraj od méne. 
MRK.7.7	Zamán me pa čestijo vučéči tákše návuke, ki so zapôvedi človeče. 
MRK.7.8	Ár, tá niháte zapoved Božo, i zdržávate tadánke lüdi prajôči masline i peháre; i drüga prispodobna tákša vnôga činíte. 
MRK.7.9	I pravo njim je: dobro, zametávate zapoved Božo; naj tadánek vaš zdržíte. 
MRK.7.10	Ár je Môšeš erkao: poštüj očo tvojega i mater tvojo; i ki hüdô guči oči, ali materi, smrtjom se naj skonča. 
MRK.7.11	Ví pa právite: či erčé človik oči, ali materi: korban (tô je dár,) kí je od méne, hasni tebi. 
MRK.7.12	I nikaj več njemi ne niháte činiti, oči svojemi, ali materi svojoj. 
MRK.7.13	Zaprávlate Rêč Božo z tadánkom vašim, šteroga ste nastavili; i prispodobna takša vnôga činíte. 
MRK.7.14	I prizvavši vse lüdstvo erčé njemi: poslüšajte me vsi i razmite. 
MRK.7.15	Nikaj nega od zvüna notri vu človeka idôčega, štero bi ga moglo oskrúniti; nego ta vöidôča od njega; ona so štera oskúnijo človeka. 
MRK.7.16	Či što má vühá na poslüšanje, naj poslüša. 
MRK.7.17	I, gda bi notri šô vu hižo od lüdstva, pitáli so ga vučenicke njegovi od te prílike. 
MRK.7.18	I velí njim: tak i ví ste nespametni? Ne razmite, kâ vse, štero od zvüna notri ide vu človeka, nemore ga oskrúniti. 
MRK.7.19	Ár neide vu srcé njegovo; nego vu črvô i vu očiščávnico íde, štera vso jêstvino čisti. 
MRK.7.20	Pravo je pa: kâ, štero z človeka vö ide, tisto oskrúni človeka. 
MRK.7.21	Ár od znôtra z srcá človečega zhájajo hüda mišlênja, práznosti, kurvêštva, lüdomorstva. 
MRK.7.22	Tatíja, skopôst, hüdôba, jálnost, hotlivost, hüdo okô, preklínjanje, gizdost, nespametnost. 
MRK.7.23	Vsa eta hüda od znôtra vö ido i oskrúnijo človeka.
MRK.7.24	I gda bi odnut gori stano, odíšao je na krajíne Tiruša i Šidona. I notri idôči vu hižo, nej je šteo, kâ bi ga što znao; dönok je nej mogao skrívomá bidti. 
MRK.7.25	Ár edna žena, štera je mêle čér vu nečístom dühi, kak je začüla, pridôča spádnola je pred nogé njegove. 
MRK.7.26	(Bíla je pa ta žena Grčka po narodi Širofenicánska); i prosila ga je, kâ bi toga vragá vö vrgao ž njé čéri. 
MRK.7.27	Jezuš pa erčé njé: niháj, naj se prvle nasítijo otroci. Ár je ne dobro vzéti krüh decé i vržti ščencom. 
MRK.7.28	Ona je pa odgovorila i velí njemi: tak, Gospedne; ár i ščenci pod stolom jêjo zdrtinja otrôk. 
MRK.7.29	I erkao ji je: za volo ete rêči idi, vö je odíšao vrág z čéri tvoje. 
MRK.7.30	I pridôča vu hižo svojo, najšla je, kâ je vrág vö odíšao, i čí je na posteli ležála.
MRK.7.31	I pá vö idôči z krájín Tiruša i Šidona, prišao je k môrji Galilee, po srêdi krájine desét mêst. 
MRK.7.32	I nesli so njemi glühoga žmetnogučéčega; i prosili so ga, kâ bi na njega djáo rokô svojo. 
MRK.7.33	I vzeme ga od lüdstva od sebe, vrže prste svoje vu vüha njegova, i plünovši dotekno se je jezika njegovoga. 
MRK.7.34	I gori zglednovši vu Nébo, zdêhno je, i erčé njemi: Efata, tô je, odpri se. 
MRK.7.35	I preci so se ôdprila njegova vüha, i razvézalo se je vezalo jezika njegovoga, i gúčao je ednáko. 
MRK.7.36	I prepovedao njim je, kâ bi nikomi ne pravili; ali od koga bole je on njim prepovedao, od toga bole so oni nazveščávali. 
MRK.7.37	I jáko trdno so se čüdivali govoréči: vse je on dobro včino; glühe je včíno čüti, i nême gúčati.
MRK.8.1	Vu oni dnévi, da bi jáko vnogo lüdstva bilô, i nebi melo kâ jesti, prizvajôči Jezuš vučeníke svoje erčé njim: 
MRK.8.2	Milo mi je to lüdstvo. Ár so že trí dní pri meni i nemajo nikaj, ka bi jeli. 
MRK.8.3	I, či je odpüstim lačne vu hiže njihove, pomenkajo na pôti; ár so niki ž njih z daleka prišli. 
MRK.8.4	I odgovorijo: njemi vučenícke njegovi: odkud bi mogá što ete, eti nasititi z krühom vu püščávi? 
MRK.8.5	I opítao je je: keliko lêbov krüha máte? oni so pa erkli: sedem. 
MRK.8.6	I zapovedao je lüdstvi doli posêsti na zemlo; i vzéo je ti sedem lêbov krüha i hválo dávši vlomo je je, i dáo je je vučeníkom svojim, da bi tá dáli. I tá so je dáli lüdstvi. 
MRK.8.7	Meli so i edno malo ríbic; i hválo dávši velo je tá dati i one. 
MRK.8.8	Jeli so pa i nasitili so se, i nábrali so gori ostánjenoga drobtinja sedem košárov. 
MRK.8.9	Bilô ji je pa, ki so jeli, liki štiri jezero; i odpüsto je je.
MRK.8.10	I preci idôči vu ládjo z vučeníkmi svojmi prišao je vu krájíno Dalmanute. 
MRK.8.11	I vö so šli Farizeuške i záčali so se ž njim štükati, proséči od njega znamênje z nebés, sküšávajôči njega. 
MRK.8.12	I zdêhnovši vu dühi svojem erčé: kâ ete národ znamênje želê? Ali zaistino velim vám: či se dá národi etomi znamênje. 
MRK.8.13	I niháo je je; idôči pa vu ládjo odíšao je prêk na drügi strán.
MRK.8.14	I pozábili so z sebom vzéti krüh; i nej so meli več sebom vu ládji nego li eden lêb krüha. 
MRK.8.15	I zapovedao njim je govoréči: vidite, varte se od kvasá Farizeušov i kvasá Herodešovoga. 
MRK.8.16	I zgovárjali so si med sebom erkôči: kâ krüha nemamo. 
MRK.8.17	Štero geto je zvedo Jezuš, erčé njim: ka si zgovárjate, kâ krüha nemate? Ešče ne pametüjete, niti ne razmite? Ešče obtrdjeno máte srcé vaše? 
MRK.8.18	Očí majôči ne vídite? i vüha majôči ne čüjete? i ne spomenéte se? 
MRK.8.19	Gda sem pét lêbov krüha vlomo med pét jezér; keliko košárov ste nábrali puni zdrtinjom? Velíjo njemi: dvanájset. 
MRK.8.20	Gda sem pa sedem med štiri jezero razdêlo; keliko košárov ste teda nábrali puni z drtinjom? oni so pa erkli: sedem. 
MRK.8.21	I erkao njim je: kakda, ka ne razmite?
MRK.8.22	I prišao je vu Betšajdo; i neséjo njemi ednoga slêpoga i prosijo gá, kâ bi se ga dotekno. 
MRK.8.23	I príjo je rokô toga slêpoga, vö ga je pelao z mesta, i plünovši vu očí njegove; geto je na njega djáo roké svoje, pítao ga je, či kâ vídi. 
MRK.8.24	I gori poglédnovši erčé: vidim lüdí, liki drevje, hodéče. 
MRK.8.25	Potom je pá položo roké na očí njegove, i velí njemi gori glédati. I zvráčeni je i vido je daleč čistô vsa. 
MRK.8.26	I odposlao ga je vu hižo svojo govoréči: niti vu mesto notri neidi, niti ne povê komi vu mesti.
MRK.8.27	I vö je šô Jezuš i vučenícke njegovi vu mêsta Cezáree Filippa. I na pôti je pítao vučeníke svoje govoréči njim: koga me právijo lüdjé bidti? 
MRK.8.28	Oni so pa odgovorili: Ivana krstitela, i drügi Eliáša, drügi pa ednoga z prorokov. 
MRK.8.29	I on njim velí: ví pa koga me právite bidti? odgovoréči pa Peter erčé njemi: tí si Kristuš. 
MRK.8.30	I prepovedao njim je, kâ bi nikomi ne pravili od njega.
MRK.8.31	I záčao, je je včiti, kâ je potrèbno Sini človečemi vnôga trpeti, ino se zavržti od ti starišov, i vládnikov popovski i pisáčov, i vmoriti, i po trétjem dnévi gori stánoti. 
MRK.8.32	I srčno je tô rêč gúčao. Peter ga je pa k sebi vzéo i záčao ga je štrájfati. 
MRK.8.33	On se pa obrné i vidôči vučeníke svoje, poštrájfao je Petra govoréči: idi od méne šatan! ár ne razmiš, štera so Boža; nego štera so človeča. 
MRK.8.34	I prizvajôči to lüdstvo z vučeníkmi svojmi erčé njim: kikoli ščé za menom pojdti, naj zataji sám sebé, i na sé vzeme križ svoj, i tak me nasledüje. 
MRK.8.35	Ár, ki ščé düšo svojo zdržati, zgübíjo; ki pa zgübí düšo svojo za volo mojo i Evangelioma, té jo obdrži. 
MRK.8.36	Ár ka valá človeki, či cêli svêt dobi, i škôdi düši svojoj? 
MRK.8.37	Ali ka na mêno dá človek za düšo svojo? 
MRK.8.38	Ár, kikoli se sramežlüje mené i Rêči moji vu etom národi praznivom ino grêšnom, i Sin človeči se sramežlüvao bode njega, gda pride vu diki Očé svojega svojimi svétimi angelmi.
MRK.9.1	I velí njim: zaistino velim vám, kâ so ništeri med eti stojéčimi, ki z nikakšim tálom ne koštajo smrti, dokeč ne bodo vidili Králevstvo Bože pridôče vu zmožnosti. 
MRK.9.2	I po šéstom dnévi k sebi je vzéo Jezuš Petra i Jakuba i Jánoša, i vzéo je je na brêg veliki od sebe samé; i preobrázo se je pred njimi. 
MRK.9.3	I gvant njegov se je blískao i grátao je bêli jáko, liki snêg, kákšega fárbar na zemli nemre obêliti. 
MRK.9.4	I skázao se je njim Eliáš z Môšešom, i zgučávali so si z Jezušom. 
MRK.9.5	I odgovoréči Peter velí Jezuši: Mešter, dobro je nam eti bidti. Napravmo tak trí šatore, tebi ednoga, i Mêšeši ednoga i Eliáši ednoga. 
MRK.9.6	Ár je nej znao, ka bi gúčao; ár so bilí prestrašeni. 
MRK.9.7	I zvrgao se je eden oblák, šteri je je obsencao. I prišao je glás z obláka govoréči: ete je moj Sin te lübeznivi; toga poslüšajte. 
MRK.9.8	I na nágli se okôli zglednovši nej so več nikoga vidli, nego Jezuša samoga z sebom. 
MRK.9.9	Doli idôči pa z brêga prepovedao njim je, kâ bi nikomi ne pravili, ka so vidili; nego gda Sin človeči z mrtvi stáne. 
MRK.9.10	I tô rêč so zdržali pri sebi spitávajôči se, ka je z mrtvi gori stánoti? 
MRK.9.11	I pítali so ga govoréči: ka pa právijo pisáčke, kâ Eliáš má ešče prvle prídti? 
MRK.9.12	On pa odgovoréči erčé njim: Eliáš istina pride prvle naj nazáj správi vsa; i, liki je písano od Siná človečega, kâ bode vnogo trpo i zavrže se. 
MRK.9.13	Ali velim vám: kâ je i Eliáš prišao (i včínili so njemi kak so šteli) liki je písano od njega.
MRK.9.14	I pridôči k vučeníkom, vido je vnožina lüdstva okoli njih, i pisáče spitávajôče njé. 
MRK.9.15	I preci vse lüdstvo, kak ga je vidilo, čüdivalo se je; i pribêžajôči poklonili so se njemi. 
MRK.9.16	I opítao je te pisáče: ka se spitávate med sebom? 
MRK.9.17	I odgovoréči eden z lüdstva erčé: Mešter, pripelao sem siná mojega k tebi, kí nêmoga dühá má. 
MRK.9.18	I gdekoli ga zgrábi, trga ga, i pêni se, i škríple zobmí svojmi i sêhne; i pravo sem vučeníkom tvojim, naj ga vö zeženéjo, i nej so ga mogli. 
MRK.9.19	On pa odgovoréči njemi velí: oh neveren národ! kak dugo bom pri vás? kak dugo bom vás trpo? neste ga k meni. 
MRK.9.20	I nesli so ga k njemi; i kak ga je vido, preci ga je te nečísti düh trgao, i spadnovši na zemlo, válao se je i peno. 
MRK.9.21	I opitao je očo njegovoga: keliko vremena, je kâ njemi je tô včinjeno? on je pa erkao: od detinstva. 
MRK.9.22	I čestô ga i v ogen vrže, i vu vodô, da bi ga pogübo; ali, či kâ moreš, bojdi nám na pomôč, smilüj se nad nami. 
MRK.9.23	Jezuš njemi je pa erkao: či moreš vervati; vsa so mogôča tomi vervajôčemi. 
MRK.9.24	I preci kričéči te oča toga pojbára skuzami je erkao: verjem, Gospodne, boj na pomôč mojoj nevernosti. 
MRK.9.25	Vidôči pa Jezuš, kâ lüdstvo vküp beži, poštráifao je te nečísti düh govoréči njemi: tí nêmi i glühi düh, jas tebi zapovêdam, idi vö z etoga i več nejdi v njega. 
MRK.9.26	I kričéči i dosta ga trgavši vö je šô; i grátao je liki mrtev tak, da so vnôgi pravili, ka je mr’u. 
MRK.9.27	Jezuš ga je pa zgrabo za rokô, gori ga je potégno, i gori je stano. 
MRK.9.28	I notri idôči vu hižo pítali so ga vučenícke njegovi od sebe: zakaj smo ga mí nej mogli vö vržti? 
MRK.9.29	I erčé njim: eto plemen po nikom nemore vö idti; nego po molítvi ino posti.
MRK.9.30	I odnut vö idôči vküp so šli prêk Galilee; i nej je šteo, kâ bi što znao. 
MRK.9.31	Ár je včio vučeníke svoje i erčé njim: kâ se Sin človeči dá vu rôke lüdstva i vmorijo ga; i vmorjeni na trétji dén gori stáne. 
MRK.9.32	Oni so pa nej razmeli to rêč, i bojali so se ga pítati.
MRK.9.33	I prišli so v Kapernaum, i vu hiži bodôči pítao je je: ka ste se na pôti med sebom spitávali? 
MRK.9.34	Oni so pa múčali; ár so se na pôti od toga med sebom štükali, što de te naj vékši? 
MRK.9.35	I doli sedéči, prizové ti dvanájset i erčé njim: či što ščé prvi bidti, naj bode med vsêmi náj zadnjêši i vsê sluga. 
MRK.9.36	I vzéo je ednoga pojbíča, postavo ga je na srêdo med njé i na nároča ga vzévši erčé njim: 
MRK.9.37	Kikoli ednoga z tákše decé gori prime vu mojem iméni, mené prime; i kikoli mené prime, ne prime mené, nego tistoga, kí je mené poslao.
MRK.9.38	Odgôvoro je pa njemi Jánoš Evangelišta govoréči: Vučitel, vidili smo ednoga vu iméni tvojem zgánjajôčega vragé, kí ne nasledüje nás; i prepovedali smo njemi, da ne nasledüje nás. 
MRK.9.39	Jezuš je pa erkao: ne prepovedávajte njemi. Ár nikoga nega, kí bi činio močí vu iméni mojem; i ki bi mogao, preci hüdo gučati od méne. 
MRK.9.40	Ár, kí je nej prôti nám, z nami je. 
MRK.9.41	Ár, kikoli vám piti dá eden pehár vodé vu iméni mojem záto, kâ ste Kristušovi; zaistino velim vám: z nikakšim tájom nezgübi svoj nájem. 
MRK.9.42	I, kíkoli spáči ednoga z ti náj ménši, kí vu meni verjejo, bole bi njemi bilô, z vnôgim, da bi se njemi mlinski kamen okôli šinjeka djáo, i vu môrje bi se vrgao. 
MRK.9.43	I či te spáči tvoja rôka, odsêkaj jo; lepše je tebi čonklavomi vu žítek idti, liki dvê rokê meti, ino idti vu gehenno vu te nevgaššeni ogen. 
MRK.9.44	Gde njih črv ne merjé i ogen ne vgásne. 
MRK.9.45	I, či ti je nôga tvoja k spáki odsêkaj jo; lepše je tebi idti vu žítek plantavomi, liki dvê nogê meti ino se vržti vu gehenno, vu te nevgaššeni ogen. 
MRK.9.46	Gde njih črv ne merjé i ogen ne vgásne. 
MRK.9.47	I či te okô tvoje spáči, vö je vrži; lepše je tebi edno okô meti ino idti vu králevstvo Bože liki dvê okê meti ino se vržti vu ogen gehenski. 
MRK.9.48	Gde njih črv ne merjé i ogen ne vgásne. 
MRK.9.49	Ár vsáki bode z ognjom soljeni, i vsáki áldov se z soljôv bode solio. 
MRK.9.50	Dobra je sô; či pa sô neslána bode, z kêm jo osolite? mête vu sebi sô, i pokoj mête med sebom.
MRK.10.1	I odnut, geto stáne, ide vu krajíne Judee prêk Jordána; i vküp je prišlo pá lüdstvo k njemi; i, liki je šegô meo, páli je je včio. 
MRK.10.2	I pristôpivši Farizeuške, pítali so ga: či je slobodno môžê, ženo odpüstiti, sküšavajôči ga? 
MRK.10.3	On pa odgovoréči erčé njim: ka vám je zapovedao Môšeš? 
MRK.10.4	Oni so pa erkli: Môšeš je dopüsto líst razlôčenjá napísati i odpüstiti jo. 
MRK.10.5	I odgovoréči Jezuš erčé njim: za volo trdosti srcá vašega je vám tô zapoved písao. 
MRK.10.6	Ali od začétka stvorjenjá možá i ženo je napravo njidva Bôg. 
MRK.10.7	Záto tá nihá človek očo i mater, i pridrüži se k ženi svojoj. 
MRK.10.8	I bodeta dvá edno têlo; záto sta nej več dvá, nego edno têlo. 
MRK.10.9	Ka je záto Bôg vküp zvézao, človek naj ne razlôči. 
MRK.10.10	I vu hiži so ga páli od toga vučenícke njegovi pítali. 
MRK.10.11	I velí njim: kíkoli odpüstí ženo svojo, i vzeme si drügo, praznüje prôti njê. 
MRK.10.12	I, či žena odpüstí možá svojega i k drügomi ide, praznüje.
MRK.10.13	I prinesli so njemi otroke, kâ bi se ji dotekno; vučenícke so pa kárali one, kí so je tá prinášali. 
MRK.10.14	Vidôči pa Jezuš prôti njemi je bilô, i erčé njim: püstite otroke k meni prihájati i ne prepovedávajte njim. Ár je tákši králevstvo Bože. 
MRK.10.15	Zaistino velim vam: kíkoli ne vzeme králevstvo Bože, liki dête; nikak ne bode v njé šô. 
MRK.10.16	I vzéo je je na nároča, položo je rokê na njé i blagoslovo je je.
MRK.10.17	I gda bi on vö šô na pôt, pribeží eden i na kôlina spadnovši svoja pítao ga je: Vučitel dober, ka mám činiti, naj žitek vekivečni öroküjem? 
MRK.10.18	Jezuš njemi je pa erkao: ka me práviš dobroga? nišče je nej dober, nego li eden, Bôg. 
MRK.10.19	Zapôvedi znáš: ne praznüj, ne vmôri, ne kradni, krívo ne svedôči, ne vkani, poštüj očo tvojega i mater. 
MRK.10.20	On pa odgovoréči erčé njemi: Vučitel, eta sem vsa zdržao od mladosti moje. 
MRK.10.21	Jezuš se pa na njega zglednovši polübo ga je, i erčé njemi: edno ti falí Idi, kakoli máš, odáj i dáj siromákom, i meo boš kinč vu Nébi; i potom hodi, nasledüj mené, vzévši kríž na sébe. 
MRK.10.22	On pa razdreséljeni nad tôv rečjôv odíšao je žalosten; ár je meo dosta ládanja.
MRK.10.23	I okôli gledôči Jezuš erčé vučeníkom svojim: kak žmetno ido notri vu králevstvo Bože, kí dosta pênez májo. 
MRK.10.24	Vučenícke so se pa čüdüvali nad rečmí njegovimi. Jezuš pa páli odgovoréči erčé njim: sinki, kak žmetno je tim, kí se vu pênezaj vüpajo, vu králevstvo Bože idti. 
MRK.10.25	Ležê je kumili skôs vüjh iglé idti, liki bogátomi vu králevstvo Bože idti. 
MRK.10.26	Oni so se pa ešče bole čüdivali gôvoréči med sebom: što se tak more zveličati? 
MRK.10.27	Jezuš pa na njé poglednovši erčé: pri lüdi je nemogôče, ali nej pri Bôgi. Ár so vsa mogôča pri Bôgi. 
MRK.10.28	I záčao njemi je Peter praviti: ovo mí smo tá niháli vsa, i nasledüjemo tebé. 
MRK.10.29	Odgovoréči pa Jezuš erčé: zaistino velim vám: niščé je nej, ki je niháo hižo, ali brate, ali sestre, ali očo, ali mater, ali ženo, ali deco, ali njive, za mojo volo, i za evangelioma volo. 
MRK.10.30	Kí ne bi vzéo stôkrát več zdaj vu vrêmeni etom, hiže, i brate, i sestre, i matere, i otroke, i njive zpregánjanjem vréd, i vu pridôčoj vekivečnosti žitek vekivečni. 
MRK.10.31	Vnôgi pa prvi bodo slêdnji, i ti slêdnji prvi.
MRK.10.32	Bilí so pa na pôti gori idôči v Jerušálem i pred njimi je šô Jezuš; i prestrašili so se, i nasledüvajôči bojali so se. I k sebi je vzéo páli ti dvanájset, záčo njim je praviti, ká se njemi zgodijo. 
MRK.10.33	Kâ ovo, práj, gori idemo v Jerušálem, i Sin človeči se dá vládnikom popovskim i pisáčom, osôdijo ga na smrt, i dájo ga poganom. 
MRK.10.34	I ošpôtajo ga, i bičüvali ga bodo, i oplünejo ga, i vmorijo ga, i na trétji dén gori stáne. 
MRK.10.35	I pristôpi k njemi Jakub i Jánoš, sinovje Zebedeušovi govoréči: Vučitel, ščémo, da, kakoli bomo te prosili, včiníš nám. 
MRK.10.36	On pa njim erčé: ka ščéte, naj vám včinim? 
MRK.10.37	Oni so njemi pa erkli: dáj nám, naj eden na desnoj tvojoj, i eden na lêvoj tvojoj sedímo vu díki tvojoj. 
MRK.10.38	Jezuš njim je pa erkao: neznate, ka prosite Morete piti pehár, šteroga jas pijém? i z krstom, z kim se jas krstim, okrstiti? 
MRK.10.39	Oni so njemi pa erkli: moremo. Jezuš njim pa erčé: te pehár istina, šteroga jas pijém, bodte pilí; i z krstom, šterim se jas krstim, se okrstite; 
MRK.10.40	Ali, sedeti z dêsne moje i z lêve moje, nej je moje dati, nego kim je priprávleno. 
MRK.10.41	I slíšavši ti desét, záčali so se srditi na Jakuba i Jánoša. 
MRK.10.42	Jezuš pa njé prizové i velí njim: znáte, kâ, kí se držíjo za vládnike poganov, gospodüjo nad njimi; i ti veliki njihovi oblást májo nad njimi. 
MRK.10.43	Nebode pa tak med vami; nego, kikoli bode šteo bidti veliki med vami, naj bô vaš sluga. 
MRK.10.44	I, kikoli bode šteo, z vás bidti prêdnji, naj bô vsê sluga. 
MRK.10.45	Ár je i Sin človeči nej prišao, kâ bi njemi slüžili; nego naj on slüži í dá düšo svojo na odküplênje za vnôge.
MRK.10.46	I prišli so vu Jeriho; i on vö idôči z Jerihe í vučenícke njegovi i vnogo lüdstva, sin Timeušov, Bartimeuš, slêpi, je sedo kre pôti kôdivajôči. 
MRK.10.47	I slišavši, kâ je blüži Jezuš Názarenski, záčao je kríčati i praviti: Sin Dávidov Jezuš, smilüj se mi. 
MRK.10.48	I štrájfali so ga vnôgi, ka bi mučao. On je pa cd toga bole kríčao: Sin Dávidov, smilüj se mi. 
MRK.10.49	Jezuš pa stáne i velí ga zvati. I oni zovéjo toga slêpoga govoréči njemi: vüpaj se, stani gori, zové te. 
MRK.10.50	On pa doli vrže gvant svoj i gori stanovši šô je k Jezuši. 
MRK.10.51	I odgovoréči velí njemi Jezuš: ka ščéš, naj ti včinim? Te slêpi pa erčé njemi: Mešter, naj preglédnem. 
MRK.10.52	Jezuš njemi je pa erkao: idi, vera tvoja te je zdržála. I preci je pregledno i nasledüvao je Jezuša po pôti.
MRK.11.1	I gda se približávajo v Jerušálem, v Betfágo i v Betánio, pôleg olivečke goré bodôči, pošle dvá z vučeníkov svoji. 
MRK.11.2	I velí njima: idita vu ono vés, štera je pred vama; i preci, kak bodta notri v njô šla, nájdeta žrbé privézano, na kom je nikši človek ešče nej sedo; odvéžta je i pripelajta je. 
MRK.11.3	I či i váma što bode pravo: ka činíta tô? erčita: kâ je Gospôd potrebüje; i preci je esi pošle. 
MRK.11.4	Odíšla sta pa, i najšla sta to žrbé privézano pri dveraj vönej na dvojnoj pôti, i odvézala sta je. 
MRK.11.5	I níki tam stojéči so njima pravili: ka činíta? kâ odvežüjeta to žrbé? 
MRK.11.6	Onedva sta pa njim erkla, liki je zapovedao Jezuš; i odpüstili so je. 
MRK.11.7	I pripelala sta to žrbé k Jezuši i vrgla sta svoj gvant na njé, i posádila sta ga na njé. 
MRK.11.8	Vnôgi so pa gvant svoj prestérali na pôt; ti drügi so pa vêje sekali z drevja, i metali so je na pôt. 
MRK.11.9	I ti naprê idôči i nasledüvajôči so kríčali govoréči: Hošanna blagoslovleni, kí ide vu iméni Gospodnovom. 
MRK.11.10	Blagoslovleno je to idôče králevstvo vu iméni Gospodnovom očé našega Dávida; Hošanna na visini.
MRK.11.11	I notri je šô v Jerušálem Jezuš i vu Cérkev; i geto je vsa okôli pogledno, večerášnja že bodôča vöra, vö je šô v Betánio z timi dvanájsetimi. 
MRK.11.12	I rano vö idôči oni od Betánie lačen je grátao. 
MRK.11.13	I vidôči edno figovo drêvo ôzdaleč majôče lístje; šô je, či bi kâ najšao na njem sáda. I pridôči k njemi níkaj je nej najšao, nego li lístje; ár je nej bilô ešče vrêmen fíg. 
MRK.11.14	I odgovoréči Jezuš erčé njemi: nigdár več z tébe na veke nišče sáda ne jej. I čüli so tô vučenícke njegovi.
