MAT.1.1	Jesucrist ngol lo raz chaan rey David, ne lo raz chaan Abraham kuu ngok tey re zha Israel ndala.
LUK.2.44	Tak mtsow rop zha xgab xid re men ndyaad Jesús, ne leettsa ndaʼa thib wiz ndo zha net. Tsaraa mndelo zha mkwaan zha Jesús xid re zha liz zha ne xid re tawlaz zha, per mzalt Jesús lo zha. 
LUK.2.45	Tsa mretab rop zha Jerusalén tedib welt, ne mkwaan zha Jesús.
LUK.2.46	Ne leettsa mzaal tson wiz tsaraa mzal Jesús lo rop zha. Lee Jesús ndob lee roo gwodoo chaan Diox xid re maestr kuu nloo xkiiz Diox, nkenza Jesús ne naabdiz Jesús lo re maestr. 
LUK.2.47	Ne reta zha kuu nkenza kuu ni Jesús, kwathoz nzegey leettsoo re zha, tak kwathoz nzhaak Jesús, ne nzhaak Jesús nkab lo re zha. 
LUK.2.48	Or mzal Jesús lo xut Jesús ne lo xnaa Jesús, kwathoz mzegey leettsoo rop zha, tsa nzhab xnaa Jesús lo Jesús:
LUK.2.48	―Xgann na, ¿chebee tabaa mtsowa lo nee? Kwathoz nalatt nzhak rop nee xuta ngekwaan nee lu.
LUK.2.49	Lee Jesús mkab ne nzhab:
LUK.2.49	―¿Chebee nkwaan goo na? ¿Chu net goo lee na ndoblo ton lo re kuu nak rtsin Xutʼn?
LUK.2.50	Per lee xut Jesús ne xnaa Jesús myent rop zha kuu nzhab Jesús.
LUK.2.51	Tsa mre Jesús laz Jesús yez Nazaret kon xut Jesús ne kon xnaa Jesús, ne mbin Jesús diiz lo xut Jesús ne lo xnaa Jesús. Per thibka nzo re koree leettsoo Mari xnaa Jesús ne ntsow Mari xgab naa kwan nak re kona. 
LUK.2.52	Ne lee Jesús masraa ndezhen, ne masraa nzhaak Jesús, ne nataak Jesús lo Diox ne lo re men por re kuu ngok lo Jesús.
LUK.3.1	Ne leettsa ndaʼa tsiin liin nabee Tiberio César dita ta nabee Roma, lee Poncio Pilat nak zha kuu nabee yezlyu Judea, lee Herodes nabee Galilea, lee Lip wets Herodes nabee yezlyu Iturea ne yezlyu Traconite, ne lee Lisanias nak zha kuu nabee yezlyu Abilinia. 
LUK.3.2	Ne Anás ne Cáifas nak ngwleyy kuu kwathoz nataak yez Jerusalén tsya. Re wiza lee Juan xgann Zacarí ngoo thib ta yubiz, ne lee Diox mni lo Juan. 
LUK.3.3	Tsa lee Juan mriid dita yezlyu kuu nzi roo yoo Jordán, ne mbez Juan lo re men, ndoblo laa re men net went ne tsee zha mod went kuu nak zha, ne gakleyy zha, tsa tuyy Diox re falt zha. 
LUK.3.4	Ne lee kona ngok taxal nzhab Isaí, kuu ngok profet ndala, or nzhab Isaí:
LUK.3.4	Thib zha kuu ndo yubiz nex gab:
LUK.3.4	“Btexkwaa goo xnet Zha Nabee;
LUK.3.4	bxaal goo thib net nali te zha.” [Is. 40:3]
LUK.3.5	Reta bte ndoblo zhobtse,
LUK.3.5	ne reta yii ne reta lom ndoblo gak nali,
LUK.3.5	ne reta net kuu naral nak ndoblo gak nali,
LUK.3.5	ne lee re net kuu nakap nak tezhobtse,
LUK.3.6	ne reta men wii Zha Kuu Mtaal Diox Nabee, zha kuu telaa re men lo yalguth. [Is. 40:3-5]
LUK.3.7	Leettsa mzin re men kuu gakleyy lo Juan, tsa mbez Juan lo re zha:
LUK.3.7	―¡Goo nak zha kuu nakap nak taxal mbeel! ¿Cho mloo diiz lo goo par zhonn goo lo yalnayii kuu ne Diox yaad? 
LUK.3.8	Bloo goo lee goo mlaaʼa goo re kuu went ne wlipaa mlaa goo mod went kuu nak goo, ne gabt goo lo altaa goo: “¡Leeʼaa nak raz chaan Abraham!” Tak wlipaa na nin lo goo, lee Diox tak tsow, tsa noga re ke ree gak raz chaan Abraham. 
LUK.3.9	Ne lee yeba ndoba xann re ya kuu ndaat xle wen, tsa ga zhay ne ko zhay lo ki.
LUK.3.10	Tsa lee re zha mnaabdiz lo Juan, ne nzhab zha:
LUK.3.10	―¿Kwan ndoblo nee tsow nee?
LUK.3.11	Juan mkab ne nzhab:
LUK.3.11	―Loka cho goo kuu nap chop xab, btaa goo thibe lo zha kuu napte, ne loka cho goo nap kuu wu, btaa gooy wu zha kuu napte.
LUK.3.12	Ne noga myaad chop tson zha kuu ntsow kobral temi chaan yezlyu, kuu nzhax lo zha Roma lo Juan, tsa tsowleyy Juan zha, tsa mnaabdiz zha lo Juan, ne nzhab zha:
LUK.3.12	―Maestr, ¿kwan ndoblo nee tsow nee?
LUK.3.13	Juan nzhab lo re zha:
LUK.3.13	―Bnaab goo beeta kuu ndoblo zha kix zha lo goo.
LUK.3.14	Noga chop tson soldad mnaabdiz lo Juan, ne nzhab:
LUK.3.14	―¿Lee nee kwan ndoblo nee tsow nee?
LUK.3.14	Tsa lee Juan mkab, ne nzhab lo re zha:
LUK.3.14	―Kibt goo chaan re men lafwers, neeka kekit goo zha kon thib kuu wlit, ne ndoblo wen yo leettsoo goo kon temi kuu nzhax lo goo.
LUK.3.15	Lee re men ngebet naa kwan gak. Ne ntsow zha xgab cha lee Juan nak Crist Kuu Mtaal Diox Nabee. 
LUK.3.16	Per lee Juan nzhab lo re zha:
LUK.3.16	―Na, ntsowleyy goo kon nit, per ditsʼn ndeke tedib zha kuu tsowleyy goo kon Mbi Nayon ne kon ki. Mas nataak zhaʼa nake na, kona neeka korre dits labyid zhaʼa ndoblotʼn xakʼn. 
LUK.3.17	Ne nzoʼa ya yaa zha par koo zha paj lo nzob xtil, ne kotsow zha nzob xtil leen loo ta nyetsow nzob xtil, ne lee paj ko zha lo ki kuu thitanax nyuyyt.
LUK.3.18	Tenzhee, ne kwathoz tyen mod mteni Juan re men, ne mndaa Juan kwent Diiz Chul chaan Diox lo re men. 
LUK.3.19	Ne noga rey Herodes mkox lo Juan, tak ngok rop Herodes kon Herodías kuu nak tsaal Lip wets Herodes, ne noga mkox Herodes lo Juan, tak mtsow Herodes tedib net re kuu went, 
LUK.3.20	ne mbint rey Herodes diiz lo Juan, leel tedib kuu mas went mtsow Herodes, mloo Herodes Juan tsib.
LUK.3.21	Ne leettsa ngetsowleyy Juan re men, noga Jesús ngwa ngokleyy, ne leettsa ngeni zha lo Diox lee yibaa mzhaal, 
LUK.3.22	ne lee Mbi Nayon mloo taxal thib palom mla dits Jesús, ne koree mloo lo re men, tsa lee thib bos mroo yibaa ne nzhab:
LUK.3.22	―Lu nak xgann na, kuu kwathoz nke leettsoon ne kwathoz wen nzo leettsoon nen lu.
LUK.3.23	Teeka galbtsii liin nap Jesús leettsa mndelo Jesús mndaa Jesús kwent Diiz Chul chaan Diox. Ne lee re men ngwalaaz lee Jesús nak xgann Che,
LUK.3.23	Che xgann Elí,
LUK.3.24	Elí ngok xgann Matat,
LUK.3.24	Matat ngok xgann Leví,
LUK.3.24	Leví ngok xgann Melquí,
LUK.3.24	Melquí ngok xgann Jana,
LUK.3.24	Jana ngok xgann Che,
LUK.3.25	Che ngok xgann Matatías,
LUK.3.25	Matatías ngok xgann Amós,
LUK.3.25	Amós ngok xgann Nahúm,
LUK.3.25	Nahúm ngok xgann Eslí,
LUK.3.25	Eslí ngok xgann Nagai,
LUK.3.26	Nagai ngok xgann Maat,
LUK.3.26	Maat ngok xgann Matatías,
LUK.3.26	Matatías ngok xgann Semeí,
LUK.3.26	Semeí ngok xgann Josec,
LUK.3.26	Josec ngok xgann Judá,
LUK.3.27	Judá ngok xgann Joanán,
LUK.3.27	Joanán ngok xgann Resa,
LUK.3.27	Resa ngok xgann Zorobabel,
LUK.3.27	Zorobabel ngok xgann Salatiel,
LUK.3.27	Salatiel ngok xgann Nerí,
LUK.3.28	Nerí ngok xgann Melquí,
LUK.3.28	Melquí ngok xgann Adí,
LUK.3.28	Adí ngok xgann Cosam,
LUK.3.28	Cosam ngok xgann Elmadam,
LUK.3.28	Elmadam ngok xgann Er,
LUK.3.29	Er ngok xgann Jesús,
LUK.3.29	Jesús ngok xgann Eliezer,
LUK.3.29	Eliezer ngok xgann Jorim,
LUK.3.29	Jorim ngok xgann Matat,
LUK.3.30	Matat ngok xgann Leví,
LUK.3.30	Leví ngok xgann Simeón,
LUK.3.30	Simeón ngok xgann Judá,
LUK.3.30	Judá ngok xgann Che,
LUK.3.30	Che ngok xgann Jonám,
LUK.3.30	Jonám ngok xgann Eliaquim,
LUK.3.31	Eliaquim ngok xgann Meleá,
LUK.3.31	Meleá ngok xgann Mena,
LUK.3.31	Mena ngok xgann Matatá,
LUK.3.31	Matatá ngok xgann Natán,
LUK.3.32	Natán ngok xgann rey David,
LUK.3.32	rey David ngok xgann Isaí,
LUK.3.32	Isaí ngok xgann Obed,
LUK.3.32	Obed ngok xgann Booz,
LUK.3.32	Booz ngok xgann Salmón,
LUK.3.32	Salmón ngok xgann Naasón,
LUK.3.33	Naasón ngok xgann Aminadab,
LUK.3.33	Aminadab ngok xgann Admín,
LUK.3.33	Admín ngok xgann Arní,
LUK.3.33	Arní ngok xgann Esrom,
LUK.3.33	Esrom ngok xgann Fares,
LUK.3.33	Fares ngok xgann Judá,
LUK.3.34	Judá ngok xgann Kob,
LUK.3.34	Kob ngok xgann Isaac,
LUK.3.34	Isaac ngok xgann Abraham,
LUK.3.34	Abraham ngok xgann Taré,
LUK.3.34	Taré ngok xgann Nacor,
LUK.3.35	Nacor ngok xgann Serug,
LUK.3.35	Serug ngok xgann Ragau,
LUK.3.35	Ragau ngok xgann Péleg,
LUK.3.35	Péleg ngok xgann Heber,
LUK.3.35	Heber ngok xgann Sala,
LUK.3.36	Sala ngok xgann Cainán,
LUK.3.36	Cainán ngok xgann Arfaxad,
LUK.3.36	Arfaxad ngok xgann Sem,
LUK.3.36	Sem ngok xgann Noé,
LUK.3.36	Noé ngok xgann Lamec,
LUK.3.37	Lamec ngok xgann Matusalén,
LUK.3.37	Matusalén ngok xgann Enoc,
LUK.3.37	Enoc ngok xgann Járed,
LUK.3.37	Járed ngok xgann Mahalaleel,
LUK.3.37	Mahalaleel ngok xgann Cainán,
LUK.3.38	Cainán ngok xgann Enós,
LUK.3.38	Enós ngok xgann Set,
LUK.3.38	Set ngok xgann Adán,
LUK.3.38	Adán ngok xgann Diox.
LUK.4.1	Ne kwaro mnabee Mbi Nayon leettsoo Jesús, leettsa mroo Jesús roo yoo Jordán, tsa ndano Mbi Nayon Jesús ta nak yubiz. 
LUK.4.2	Ne chop gal wiz ne chop gal yaal mndo Jesús tya, ne neeka thib kwaa ndowt Jesús, tsaraa mlann Jesús. 
LUK.4.3	Tsa lee Maxuuy ngwalaaz gakedi Jesús, ne nzhab lo Jesús:
LUK.4.3	―Os leeʼa wlipaa Xgann Diox naka, guz lo ke ree tsa reyale pan.
LUK.4.4	Lee Jesús mkab ne nzhab:
LUK.4.4	―Lo xkeets Diox nzhab: “Nabant men beeta kon pan, sinke lee men naban kon reta diiz kuu ndroo roo Diox”. [Dt. 8:3]
LUK.4.5	Tsaraa ndano Maxuuy Jesús yek thib yii naro, ne mloo Maxuuy reta yez kuu nzi lo yezlyu lo Jesús. 
LUK.4.6	Ne nzhab Maxuuy lo Jesús:
LUK.4.6	―Na ta dita yalnabee ne yalney chaan re yez ree loʼa, tsa nabee luy, tak chaan da nake, ne loka cho lo nlazʼn ta nay. 
LUK.4.7	Os leeʼa tobxuba lon ne gola lon, retay gak chaana.
LUK.4.8	Per lee Jesús mkab, ne nzhab:
LUK.4.8	―Beche lon Maxuuy, tak lo xkeets Diox nzhab: “Beeta lo Diox kuu nabee loʼa ndoblo gola ne ndoblo tsowa tsiin lo”. [Dt. 6:13]
LUK.4.9	Tsa mndeno Maxuuy Jesús yez Jerusalén, ne ngwano Maxuuy Jesús yek gwodoo ta mas ya ndab, tsa nzhab Maxuuy lo Jesús:
LUK.4.9	―Os leeʼa wlipaa Xgann Diox naka, gob par yath, 
LUK.4.10	tak lo xkeets Diox nzhab:
LUK.4.10	Diox taal mandad chaan Diox tsa kenap mandad lu,
LUK.4.10	tsa yent kwan taka,
LUK.4.11	ne ten mandad yaaʼa, tsa yent kwan tak niiʼa lo ke. [Sal. 91:11-12]
LUK.4.12	Jesús mkab, ne nzhab:
LUK.4.12	―Noga nzhab lo xkeets Diox: “Kwaanta mod par kediʼa Diox kuu nak Zha Nabee loʼa”. [Dt. 6:16]
LUK.4.13	Ne lee Maxuuy ngogt raa gakedi Jesús, tsa mlaa Maxuuy Jesús thib tyemp.
LUK.4.14	Tsa mre Jesús yezlyu Galilea kon yalney chaan Mbi Nayon, ne dita yezlyuʼa mndediz re men kwent chaan Jesús. 
LUK.4.15	Ne mloo Jesús lo re men ta nkaltaa re zha Israel nteed xkiiz Diox, ne ntsow nataak re men Jesús.
LUK.4.16	Tsa ngwa Jesús yez Nazaret ta mzhen Jesús. Thib wiz sabd kuu ndroxkwan re zha Israel, mndaab Jesús ta nkaltaa re zha Israel nteed zha xkiiz Diox, taxalka nak kostumr Jesús, ne mndeli Jesús lab Jesús xkeets Diox. 
LUK.4.17	Tsa mndaa zha yeets kuu mkee profet Isaí lo Jesús. Ne leettsa mxaal Jesús lo yeets, mzal Jesús ta tenzhee nzhab:
LUK.4.18	Lee Mbi Nayon chaan Zha Nabee ndo kon na,
LUK.4.18	tak mli zha na par tan kwent Diiz Chul chaan zha lo re zha prob,
LUK.4.18	ne mtaal zha na, tsa tetseyʼn leettsoo re zha kuu yent gan leettsoo,
LUK.4.18	noga mtaal zha na, tsa telaan re zha kuu nzo tsib lo Maxuuy,
LUK.4.18	par tegwen ngutlo re syeg;
LUK.4.18	ne par telaan re zha kuu ndakti lo Maxuuy;
LUK.4.19	ne tan kwent chaan wiz kuu leettsa lee Zha Nabee,
LUK.4.19	taa re chaane kuu wen lo re men. [Is. 61:1-2]
LUK.4.20	Tsaraa mthuz Jesús yeets, ne mndaa Jesús yeets lo zha kuu nkenap ta nkaltaa re zha nteed xkiiz Diox, ne mndob Jesús. Ne reta zha kuu nzi tya key mwii zha lo Jesús. 
LUK.4.21	Tsa lee Jesús mndelo nzhab lo re zha:
LUK.4.21	―Naltseree ngok kuu nke lo xkeets Diox lo re goo.
LUK.4.22	Ne reta zha wen mndediz zha Jesús, ne kwathoz mzegey leettsoo zha mbin zha re diiz kuu nzhab Jesús, ne mbez re zha lo altaa zha:
LUK.4.22	―¿Chu leet zha ree nak xgann Che?
LUK.4.23	Tsa mkab Jesús lo re zha, ne nzhab Jesús:
LUK.4.23	―Wlipaa na nin lo goo, lee re goo ntsow goo xgab ne goo diiz ree lon: “Doctor leeka lu btegweʼa lu”. Ne noga ntsow goo xgab ne goo lon: “Lee re kuu mbin nee mtsowa yez Capernaúm, noga nzhee laza btsowe”.
LUK.4.24	Noga nzhab Jesús:
LUK.4.24	―Wlipaa na nin lo goo, neeka thib re profet nkayaat re tawlaz zha zha. 
LUK.4.25	Wlipaa na nin lo goo, kwathoz tyen ngot byud ngoo lazaa yez Israel, tyemp kuu mban profet Lí, leettsa mlat yi tson liin narol, ne mla win dita lo yezlyu. 
LUK.4.26	Per mtaalt Diox Lí lo neeka thib ngot byud zha tawlazaa zha Israel, sinke lee Diox mtaal Lí lo thib ngot byud zha yez Sarepta, kuu nzi ta nabee yez Sidón. 
LUK.4.27	Ne noga ngoo kwathoz tawlazaa kuu mzhaak yiz kuu ndezhoz kwerp zha, tyemp kuu mban profet Eliseo, per neeka thib zha mtegwet Eliseo, sinke beeta Naamán zha yezlyu Siria mtegwe Eliseo.
LUK.4.28	Ne or mbin re zha Israel kuu mkaltaa ta nteed zha xkiiz Diox kona, kwathoz mkezhyan re zha. 
LUK.4.29	Tsa ngwateli re zha ne mloo zha Jesús tya, ne ndano zha Jesús yek yii kuu nzi yeza, tsa tub zha Jesús. 
LUK.4.30	Per lee Jesús mriid xid re zha ne nda Jesús.
LUK.4.31	Tsa lee Jesús ngwa yez Capernaúm, kuu nzi yezlyu Galilea. Ne reta sabd wiz kuu nzhool re zha Israel lo Diox, mloo Jesús lo re men. 
LUK.4.32	Ne kwathoz mzegey leettsoo re zha, mwii zha xa mloo Jesús lo re zha, tak kon yalnabee ni Jesús lo re men.
LUK.4.33	Ne ta nkaltaa re zha nteed zha xkiiz Diox, ndo thib mbyi kuu nzo mbi fyer leettsoo, mretsyath ne nzhab:
LUK.4.34	―¡Blaa nee! ¿Kwan ndaka neʼa nee? ¿Chu ndyaada luuzha nee Jesús zha Nazaret? Nlebeen lu, nen leeʼa nak Zha Kuu Nayon lo Diox.
LUK.4.35	Tsa mkox mbi fyera lo Jesús, ne nzhab Jesús:
LUK.4.35	―¡Btow rooʼa ne broo leettsoo mbyi ree!
LUK.4.35	Tsa lee mbi fyera mlobi mbyiʼa lo yu xid re mena, ne mroo mbi fyera leettsoo mbyiʼa, ne yent kwan mzhaak mbyi. 
LUK.4.36	Reta zha kuu nzi tya kwathoz mzegey leettsoo zha, ne mbez zha lo altaa zha:
LUK.4.36	―¿Cho nak zha ree? Nap zha yalnabee ne yalney ngoo zha re mbi fyer leettsoo re men, ne nzhon re mbi fyer diiz lo zha.
LUK.4.37	Ne kwathoz ney mraats diiz, re kuu mtsow Jesús dita yezlyu Galilea.
LUK.4.38	Tsa mroo Jesús ta nkaltaa re zha Israel nteed xkiiz Diox, ne nda Jesús liz Pey, tsa nzhab re zha lo Jesús lee xnaatsaap Pey ndak xlee, ne mnaab zha lo Jesús tsa tegwe Jesús xnaatsaap Pey. 
LUK.4.39	Tsa mwii Jesús lo ngot, ne ora mkox xlee lo Jesús, ne oraaka mroo xlee ngot. Ne ngwache ngot ne mndaa ngot kuu ndow re zha.
LUK.4.40	Ne leettsa mera bix wiz, reta zha kuu nap mbyiz kuu ndak zhaapaa zhaapaa yiz, myaadno zha re mbyiz lo Jesús, tsa mxoob Jesús yaa Jesús yek re mbyiz ne mtegwe Jesús mbyiz. 
LUK.4.41	Ne noga mloo Jesús mbi fyer leettsoo tyen zha, ne mbezguth re zha ne mbez zha lo Jesús:
LUK.4.41	―¡Lu nak Xgann Diox!
LUK.4.41	Per lee re mbi fyera mkox lo Jesús, ne mlaat Jesús gani re mbi fyera lo Jesús, tak neʼa re mbi fyer lee Jesús nak Crist Kuu Mtaal Diox Nabee.
LUK.4.42	Leettsa ngwani yezlyu tedib wiza, mroo Jesús yeza ne nda Jesús thib ta to thita Jesús. Per lee re men mkwaan Jesús, ne or mzin re zha ta ndo Jesús. Ngwalaaz zha gatekweet zha Jesús par bit Jesús. 
LUK.4.43	Per lee Jesús nzhab lo re zha:
LUK.4.43	―Noga ndoblo tan kwent Diiz Chul kuu ndaa kwent xomod nabee Diox lo re men tedib net re yez, tak par kona mtaal Dioxʼn.
LUK.4.44	Ne mroo Jesús mndaa Jesús kwent Diiz Chul chaan Diox, re yez chaan Judea, ta nkaltaa re zha Israel nteed xkiiz Diox.
LUK.5.1	Thib welt ndo Jesús roo nitdoo kuu le Genesaret, ne kwathoz men mkaltaa lo Jesús ne mzhoo re men Jesús, tak nlaaz re zha gon zha Diiz Chul chaan Diox kuu ndaa Jesús kwent. 
LUK.5.2	Tsa mwii Jesús chop kano roo nitdoo, kuu neeka thib men yent leene, tak lee re zha kuu niit mbel mroo leen kano ndateech yex. 
LUK.5.3	Tsa mkendab Jesús leen kano chaan Simún, ne nzhab Jesús lo Simún tsig Simún kano tut kwat lo nitdoo. Tsa mndob Jesús leen kano, ne mndelo Jesús mloo Jesús lo re men. 
LUK.5.4	Leettsa ngwalo mloo Jesús lo re men, tsa nzhab Jesús lo Simún:
LUK.5.4	―Btsig goo kano lo nit, ne blebi goo yex goo, tsa niit goo mbel.
LUK.5.5	Tsa nzhab Simún lo Jesús:
LUK.5.5	―Maestr, dita yaal mke nee tsiin ne neeka thib mbel mniitta nee, per tak lu ney, kona kobi nee yex nee leen nit.
LUK.5.6	Ne leettsa mloo re zha yex leen nitdoo, kwaro mbel mniit zha, ne asta ndrat yex. 
LUK.5.7	Tsa mtsow re zha seny lo re altaa zha kuu nzo leen tedib kano, tsa yaad re zhaʼa tsow ayud re zha. Ne myaad re zhaʼa mtsow ayud zha, ne mtse zha ropta kano, ne nlaa nlaa tab naats kano leen nitdoo. 
LUK.5.8	Ne leettsa myeen Simún Pey kwathoz mbel mniit re zha, tsa mtobxub Pey lo Jesús ne nzhab Pey:
LUK.5.8	―¡Beche lon, Zha Nabee, tak zha ndab falt nakʼn!
LUK.5.9	Kwathoz mzegey leettsoo Simún kon re altaa Simún, tak kwaro mbel mniit re zha. 
LUK.5.10	Ne noga Santiag ne Juan kuu nak rop xgann Zebedeo, rop zhaʼa nak altaa Simún. Per lee Jesús nzhab lo Simún:
LUK.5.10	―Tsebta, tak desde naltseree gaka zha kuu niit men par Diox.
LUK.5.11	Leettsa ngwalo mtsino re zha kano roo nitdoo, tsa mlaa zha reta kwaa ne mndeke zha dits Jesús.
LUK.5.12	Thib wiz leettsa ndo Jesús thib re yeza, tsa mzin thib zha kuu ndak yiz kuu ndeye lo Jesús, ne or mwii zha lo Jesús, mtobxub zha lo Jesús asta mdiinn yeklo zha lo yu, ne nzhab zha:
LUK.5.12	―Zha Nabee, os leeʼa nlaaza, tak tegweʼa na lo yiz ree.
LUK.5.13	Tsa mxoob Jesús yaa Jesús yek zha, ne nzhab Jesús lo zha:
LUK.5.13	―Nlazʼn weʼa.
LUK.5.13	Ne oraaka mgwe zha. 
LUK.5.14	Tsa nzhab Jesús lo zha:
LUK.5.14	―Neeka thib lo zha yent kwan gaba. Sinke gwa lo ngwleyy, tsa ne zha leeʼa mgweʼa lo yiz kuu mzhaaka, ne btaa gona taxal mnabee Moisés.
LUK.5.15	Per lee re kuu mtsow Jesús masraa mraats, ne kwathoz men mkaltaa mkenza kuu mni Jesús, ne noga mkaltaa re zha tsa tegwe Jesús zha lo yiz kuu ndak zha. 
LUK.5.16	Per lee Jesús mbeche lo re men ne nda Jesús ta yent men, ne tya mndediz Jesús lo Diox.
LUK.5.17	Thib wiz leettsa lee Jesús ngeloo lo re men, xid re mena ndob chop tson fariseo ne chop tson maestr kuu nloo xkiiz Diox, re zhaʼa ndyaad re yez kuu nzi dita ta nabee Galilea, Judea ne Jerusalén, ne nap Jesús yalney chaan Diox ntegwe Jesús re mbyiz. 
LUK.5.18	Tsa mzin chop tson mbyi kuu ngwano thib zha mthans kuu nzoob lo luun, ne nlaaz re zha ko zha mthans leen yuu, tsa kix zha mthans lo Jesús. 
LUK.5.19	Ne ngogt gataab zha leen yuu, tak kwaro men nzi tya, tsa mkendab zha yek yuu, ne mxaal zha lut yek yuu, ne tya mriid zha dib luun mthans, ne mdix zha mthans lo Jesús. 
LUK.5.20	Ne myeen Jesús lee re zha kuu myaadno mbyiza wlipaa nyelaaz Diox, tsa nzhab Jesús lo mbyiz:
LUK.5.20	―Lee re falta myuyya.
LUK.5.21	Tsa lee re maestr kuu nloo xkiiz Diox kon re fariseo mndelo mtsow xgab: “¿Cho nak mbyi ree? ¿Chebee tabaa mbez mbyi ree? Beeta Diox nak cho kuu tak tuyy re falt chaan re men.” 
LUK.5.22	Per lee Jesús myeen naa kwan ntsow re zha xgab, tsa nzhab Jesús lo re zha:
LUK.5.22	―¿Chebee tabaa ntsow goo xgab? 
LUK.5.23	¿Kwan ntsow goo xgab? ¿Kwan mas nagant gapʼn lo mbyiz: “Lee re falta myuyya”, o tegwen zha ne gapʼn lo zha: “Gwache, bzhen luuna ne tyee”? 
LUK.5.24	Per tsowʼn koree lo goo, tsa ne goo lee na, Kuu Mzin Ngok Men, napʼn yalnabee tuyʼn re falt goo.
LUK.5.24	Tsa nzhab Jesús lo zha mthansa:
LUK.5.24	―Loʼa nin, gwache, bzhen luuna ne tyee liza.
LUK.5.25	Ne oraaka lee zhaʼa ngwache, ne mzhen luun, ne ngeyol zha lo Diox ndya zha liz zha. 
LUK.5.26	Kwathoz mzegey leettsoo reta men ne mbil men lo Diox, ne lo tseb re zha nzhab zha:
LUK.5.26	―¡Naltseree si mwiiʼaa thib kuu thoz kuu mtsow Diox!
LUK.5.27	Bluz leettsa ngwalo mriid re koree, tsa mroo Jesús ne mwii Jesús thib zha kuu ntsow kobral temi chaan yezlyu, kuu nzhax lo zha Roma, zhaʼa le Leví, ndob zha roo mes ta nya re men ngix lo zha. Tsa nzhab Jesús lo Leví:
LUK.5.27	―Bteke ditsʼn.
LUK.5.28	Tsa ngwateli Leví ne mlaa Leví reta kwaa, ne mndeke Leví dits Jesús.
LUK.5.29	Tut bluz, mtsow Leví thib ani liz Leví par Jesús, ne tya mkaltaa kwaro re zha kuu ntsow kobral temi chaan yezlyu kuu nzhax lo zha Roma, ne noga nzi tedib net re zha kuu ngeyow kon re zha roo mes. 
LUK.5.30	Per lee re fariseo ne re maestr kuu nloo xkiiz Diox, mndelo zha mrezta zha loo re zha kuu ngeteed lo Jesús, ne nzhab re zha:
LUK.5.30	―¿Chebee nzhow goo ne nzhuu goo kon re zha kuu ntsow kobral temi chaan yezlyu, ne kon re zha kuu ntsowt kuu wen?
LUK.5.31	Jesús mkab ne nzhab lo re zha:
LUK.5.31	―Re zha kuu net ndak, ndechet zha zha kuu tegwe zha, per lee re zha kuu ne ndak, ndeche zha zha kuu tegwe zha. 
LUK.5.32	Ne ndyaltʼn ndyaadchezʼn re zha wen, sinke leen ndyal ndyaadchez re zha kuu nap falt, tsa tsee zha mod went kuu nak zha ne yelaaz zha Diox.
LUK.5.33	Tsa mnaabdiz re zha lo Jesús, ne nzhab zha:
LUK.5.33	―¿Chebee lee re zha kuu ngeteed lo Juan ne re fariseo kwathoz ntsow zha ayun, ne noga kwaro ndediz zha lo Diox, per lee re zha kuu ngeteed loʼa thibka nzhow zha ne nzhuu zha?
LUK.5.34	Jesús mkab ne nzhab:
LUK.5.34	―¿Chu tak tsow goo, wut re zha kuu nzi lo fandan, or kuu lee zha kuu mtseya ndoka lo re zha? 
LUK.5.35	Per too thib wiz kib zha zha kuu mtseyaʼa lo re zha, tsyasi tatsow zha ayun.
LUK.5.36	Ne noga mndaa Jesús thib kwent nanzee lo re zha, ne nzhab Jesús:
LUK.5.36	―Neeka thib zha ngat lut lar kub, ne ngib zhay chu lar gox. Os lee zha tata tsow zhay, ntetsaa zha lar kub, tak lee lar kub nzaalte gwataak cho lar gox. 
LUK.5.37	Ne neeka ngot zha xit ub kuu kub leen gom yid gox. Tak os lee zha tata tsow zhay, lee xit ub kuu kub luux gom gox. Tsa lee xit ub zho ne lee gom gox lux. 
LUK.5.38	Kona lee xit ub kuu kub ndobloy yo leen gom yid kub, tsa roptay lortsin. 
LUK.5.39	Ne reta zha kuu nzhuu xit ub kuu ndaʼa wiz mroo, yowt leettsoo zha gu zha kuu kub, tak gab zha: “Mas wen ndee kuu gox”.
LUK.6.1	Thib sabd, wiz kuu nzhool re zha Israel lo Diox, lee Jesús ndiy thib ta nzhann zha nzob xtil, tsa lee re zha kuu ngeteed lo Jesús mndelo zha mdiits zha ton nzob xtil, ne mtembi zhay kon yaa zha ne ndow zhay, 
LUK.6.2	tsa lee chop tson fariseo mnaabdiz lo re zha, ne nzhab:
LUK.6.2	―¿Chebee ntsow goo thib kuu ndoblotaa tsowaa wiz sabd?
LUK.6.3	Tsa mkab Jesús, ne nzhab Jesús lo re zha:
LUK.6.3	―¿Chu ter lab goo xkeets Diox, naa kwan mtsow David thib welt, leettsa mlann David kon re altaa David? 
LUK.6.4	Mndaab David leen gwodoo chaan Diox, ne mzhen David re pan kuu Nayon lo Diox, kuu beeta re ngwleyy ndoblo wu, ne ndow David pan ne noga mndaa Davide ndow re zha kuu nda kon lee David.
LUK.6.5	Ne noga nzhab Jesús:
LUK.6.5	―Na nak Zha Kuu Mtaal Diox Ngok Men ne napʼn yalnabee, tsa nabeen lo wiz sabd.
